MAT.1.1	Ọnwan wụ ẹkụkwọ banyeni Jizọsị wụ Kraịstị hụn wụ nwa Defidi, nwa Ebraham.
EPH.5.25	Di, nwọn ihiẹn-ọsụsụọ nwunyẹ i kẹ Kraịstị dọn nwọn ihiẹn-ọsụsụọ ụka, gi ufiri ẹ we ndụn a ye, 
EPH.5.26	kẹn'o gi mirin hụ wụ oku-Osolobuẹ chanchan a, dọn ẹ nsọ, 
EPH.5.27	kẹni o wepụha ụka ọghọ jun ẹhụ ihun ẹ, ẹlẹ ụka nwọn ntụpọ mọbụ se alịlị mọbụ ihiẹn ọwụlẹ nọ ẹrịra, kama n'ọ hụn ụzọ wụrụ ụka rị nsọ, nwọnlẹni ihiẹn wẹ gi kọrịan'a. 
EPH.5.28	Ẹrịrazịkwọ, di furu n'o nwọn ihiẹn-ọsụsụọ nwunyẹ ẹ k'o dọn nwọn ihiẹn-ọsụsụọ ẹhụ a. Onyẹ nwọn ihiẹn-ọsụsụọ nwunyẹ ẹ nwọn ihiẹn-ọsụsụọ enwẹn ẹ, 
EPH.5.29	makẹni, onwọnni onyẹ ize ẹhụ a e ze. Kama, ịhịan a zụn ẹhụ a, e mẹmẹ ẹ ọhụnma kẹ Kraịstị e mẹ ụka, 
EPH.5.30	makẹni ẹnyi hụn wụ ụka wụ mkpamkpa ẹhụ a. 
EPH.5.31	“Ufiri ẹ, okẹnnyẹ k'a latọ nẹdi ẹ lẹ nnẹ ẹ, kwọnkẹnmẹ nwunyẹ ẹ, wẹ ẹbụbụọ e họnrin ẹhụ ohu.” 
EPH.5.32	Ihiẹnni e mikẹ; m gi ẹ e ku oku Kraịstị lẹ ụka. 
EPH.5.33	K'osilẹrị, di ya nwọn ihiẹn-ọsụsụọ nwunyẹ ẹ k'o dọn nwọn ihiẹn-ọsụsụọ enwẹn ẹ; nwunyẹ y'a gbaye di ẹ.
EPH.6.1	Ụmụ, e humẹni ni ndị mụnị ụnụ isi kẹ Onyẹ-nwọnni-ẹnyi dọn ku ẹ, makẹni o furu efuru. 
EPH.6.2	“Gbaye nẹdi i lẹ nnẹ i.” Ọnwan wụ iwu ibuzọ nkwa rị, nkwa hụ wụ, 
EPH.6.3	“kẹni ọ rịn'ị mma, n'i nwọn isi-nka elu ụwa.”
EPH.6.4	Nẹdi lẹ nnẹ, atọlẹ ni akpasu ụmụ ụnụ iwe, ka e gi ni ọzụnzụn lẹ nkuzi Di-nwọnni-ẹnyi a zụn wẹ.
EPH.6.5	Idibo lẹ igbọn, e gi ni egun lẹ ẹhụ ọmụma-nni e humẹni ndị ụnụ rị okpuru wẹ isi. E gichanrịn nị obi ụnụ ile e mẹ ẹ, nọkẹ sị Kraịstị kẹ ụnụ rị a gbaye. 
EPH.6.6	Ẹlẹkwọ idẹnya wẹ sụọ — kẹni ịhịan sị ụnụ hụ a rụn — kama, e gi ni akpakalị obi ụnụ e mẹ ẹ rịkẹ igbọn Kraịstị makẹni uche Osolobuẹ rọ. 
EPH.6.7	A shịapụ nị ẹfọ a rụn ọrụn ụnụ nọkẹ ndị rị a rụnnị Di-nwọnni-ẹnyi, ẹlẹ ịhịan. 
EPH.6.8	Makẹni ụnụ a marịnghọ nị Di-nwọnni-ẹnyi jẹnkọ d'a kụ onyẹ-onyẹ ụgwọ ihiẹn-ọma o mẹ — kẹ igbọn kẹ onyẹ nwọn enwẹn ẹ.
EPH.6.9	Ndị ịhịan rị okpuru wẹ, e gizi nị ẹka rị mma ẹrịra e sọn wẹ. Erọnzilẹ ni wẹ egun. Ụnụ a marịnghọ nị ụnụ lẹ wẹ rị okpuru Nna ohu hụn rị elu-igwee hụn ghalẹni e tu onyẹ ịhịan wụ.
EPH.6.10	Nke ikpanzụụn, kakẹnmẹ ni ebe ihiẹn Di-nwọnni-ẹnyi rị, e nwọnkẹnmẹ ikẹn ẹ ahụn hi ogbe. 
EPH.6.11	Yiri ni ihiẹn-agha Osolobuẹ ile, kẹni ụnụ saẹka che Ekwensụ lẹ ẹro ẹ ile ọgụn.
EPH.6.12	Makẹni, ẹlẹ ịhịan nwọn ẹhụ lẹ ẹdeke kẹ ẹnyi lẹ wẹ rị a lụ ọgụn, kanị, eje-mmọn rị ichẹn-ichẹn: ndị-isi eje-mmọn lẹ ndị-ọkịkị wẹ lẹ eje-mmọn ndị rị e mẹ eluni a gba ishi lẹ mmọn ile rị imẹ elu rị a kwadọn njọ kẹ ẹnyi lẹ wẹ rị a lụ.
EPH.6.13	Kọnrin ni nwan agha! Weri ni nwan ihiẹn-agha Osolobuẹ ile, kẹni, eje-ụhụọhịn bịa, ụnụ a hụn ụzọ saẹka turu; kẹni ụnụ saẹka mẹchanrịn ihiẹn ile furuni bụ ụnụ turuhụkwọ ebe ụnụ turu.
EPH.6.14	Turukẹnmẹ ni nwan! Ụnụ e gi ezioku kẹnmẹ ukun nọkẹ akpụkpọ-ukun onyẹ-agha; ụnụ e yiri ezi-omumẹ nọkẹ ẹwuru igwe onyẹ-agha gi e kpumẹ obi. 
EPH.6.15	Yiri ni adụdụ izi-oziọma udọn ụkụ nọkẹ akpụkụ onyẹ-agha. 
EPH.6.16	Buruzi ni okukwe cheni wẹ ile nọkẹ akpaịn onyẹ-agha ụnụ e gi saẹka gbọndọn ọbara-ụta ile rị e nwun ọkụn Eje-onyẹ ahụn rị a gba; 
EPH.6.17	weri ni nzụọpụha Osolobuẹ zụọpụha ụnụ kpumẹ isi rịkẹ okpu onyẹ-agha; ụnụ e weri oku-Chuku hụn wụ ọpịa-agha Mmọn-nsọ, kwọndọn. 
EPH.6.18	E gi ni ekpere lẹ ịrịọ-Osolobuẹ e sọn ihiẹn ile, e mẹ ekpere ogẹn ile kẹ Mmọn-nsọ dọn chọ; mụnrụn nị ẹnya ebe ekpere rị, anịlẹ ni ndụn gụ ụnụ; e mẹni ni ndị nke Osolobuẹ ile ekpere. 
EPH.6.19	E mẹzikwọ nị nị mmẹ nwẹn ekpere, kẹni Osolobuẹ e ye m ihiẹn m sikọ d'e ku, m shịapụ ọnụ nị m zi oziọma, o mẹ m ku ẹ kushi ẹ ikẹn, e mẹ m wẹ marịn ihiẹn-omimi rị imẹ oziọma; 
EPH.6.20	m wụ nwan ụkọ oziọma hụn yi ẹgan, e mẹni ni m ekpere nị m hụn ụzọ e ku ẹ e kushi ikẹn k'o furu nị m'e ku ẹ.
EPH.6.21	Ezi nwẹnẹ ẹnyi wụ Taịkikọsụ, hụn wụzị onyẹ-ọrụn wẹ gi e dọn ẹnya imẹ Di-nwọnni-ẹnyi, k'a gwachanrịn ụnụ ihiẹn ile, kẹni ụnụ marịn ọnọdị m lẹ kẹ ihiẹn nọ ebeni. 
EPH.6.22	Ịya haịn m gi zilanị nị ụnụ ya, nị ụnụ marịn kẹ ẹnyi ile nọ lẹ n'ọ kasị ụnụ obi. 
EPH.6.23	Udọn Chuku-Nẹdi lẹ Di-nwọnni-ẹnyi wụ Jesu Kristi lẹ ihiẹn-ọsụsụọ ya lẹ okukwe wị ya rịnị ndị nke Kraịstị ile. 
EPH.6.24	Ẹfọma Osolobuẹ ya rịnị ndị ile nwọn ihiẹn-ọsụsụọ Onyẹ-nwọnni-ẹnyi wụ Jesu Kristi — ihiẹn-ọsụsụọ hụn ghalẹni a gụ.
PHP.1.1	Pọlụ lẹ Timoti de ẹkụkwọ-ozini. Ẹnyi wụ igbọn Kraịstị wụ Jizọsị. Ẹnyi rị e dejẹnni ndị ile rị imẹ Kraịstị wụ Jizọsị, ndị nsọ Osolobuẹ, hụn rị Filipi, uwẹ lẹ ndị-isi wẹ lẹ ndị-ọrụn ụka wẹ. 
PHP.1.2	Ẹfọma lẹ udọn hụn gha ẹka Chuku Nẹdi ẹnyi lẹ Di-nwọnni-ẹnyi Jesu Kristi bịa ya rịnị ụnụ.
PHP.1.3	M'e ye Osolobuẹ m ekele ogẹn ile m gi a nyanhan ụnụ; 
PHP.1.4	ogẹn ile m gi e mẹ ni ụnụ ile ekpere, m'e gi ịghọghọ e mẹ ẹ, 
PHP.1.5	makẹni ụnụ hụ e yeni m ẹka imẹ ọrụn oziọma ghakwọrị ụhụọhịn ibuzọ hụ ụnụ nụ oziọma d'e rukwọ nwan ogẹnni. 
PHP.1.6	O weghọ m ẹnya nị Onyẹ ahụn bidọn ọrụn-ọmanị imẹ ụnụ k'a gha a rụn a d'e ru n'ọ rụnchanrịn a Ụhụọhịn Kraịstị wụ Jizọsị k'e gi bịa. 
PHP.1.7	O furughọ nị oku ụnụ ile a rị m ẹnịna, makẹni ụnụ rị m obi ogẹn ile! Ẹghẹẹ, makẹni mmẹ lẹ ụnụ hụ e gi ihiẹn Osolobuẹ gi a gọzi ẹnyi e yetarị ẹka: kẹ ebe m rị imẹ ngan kẹ ebe m rị a kwadọn oziọma, e mẹ ihiẹn o gi e werichanrịn ọnọdị. 
PHP.1.8	Osolobuẹ wụ ọshẹri m nị ụnụ a da m ọda-ọda, ọdịda hụn gha ẹka Kraịstị wụ Jizọsị bịa.
PHP.1.9	Ekpere m wụ nị ụnụ e nwọn ihiẹn-ọsụsụọ, e nwọnwaye, ihiẹn-ọsụsụọ ya lẹ amamihiẹn lẹ nghọta zu oke wị, 
PHP.1.10	kẹni ụnụ hụn ụzọ sa ẹka a họrị ihiẹn ka mma sụọ, ụnụ a wụrụ ndị nwọnlẹni ntụpọ mọbụ nkọrịanị Ụhụọhịn Kraịstị k'e gi bịa, 
PHP.1.11	makẹni o ru a hụn w'a nị ndụn ụnụ a mịjungụọ mkpụrụ hụn wụ ezi-omumẹ, hụn gha ẹka Jesu Kristi a bịa. O k'e wẹhẹni Osolobuẹ ọghọ lẹ ọjịja-mma.
PHP.1.12	Umunẹ m, m chọ nị ụnụ marịn nị ihiẹn mẹni m e yegụọ nị oziọma ẹka ghagbarị nke-esi. 
PHP.1.13	O mẹgụọdẹ ịhịan ile rị obi-eze Siza lẹ ndị ọzọ ile marịn nị ufiri Kraịstị kẹ m gi rị ngan.
PHP.1.14	Ngannị wẹ tụ m e mẹgụọzị obi rukẹnmẹ ndị itu-Kraịstị ibe ẹnyi bu ọda alị imẹ Di-nwọnni-ẹnyi, w'e kushi nwan oku-Osolobuẹ ikẹn karị kẹ w'e ku ẹ mbụ — egun arịzị wẹ ẹnya.
PHP.1.15	O nwọnghọ ndị gi iwe-ẹnya
PHP.1.16	e zi ozi Kraịstị yeni ihiẹn-ọsụsụọ, makẹni a marịngụọ wẹ nị Osolobuẹ mẹ wẹ tụ m ngannị kẹni o gi ẹ kwadọn oziọma. 
PHP.1.17	Ndị gi iwe-ẹnya e zi ẹ gi ozi wẹ rị e zini Kraịstị a chọ nke wẹ, ẹlẹ nị wẹ rị e ro oziọma; wẹ rị a chọhụ nị wẹ we afụnfụn cheni afụnfụn m rị a ta imẹ ngannị m rị.
PHP.1.18	Kị rị a? K'ọ rị, k'ọ rị, wẹ hụ e gi ụzọ ile e zi ozi Kraịstị: kẹ wẹ bu ihiẹn rị mma obi kẹ wẹ bu ihiẹn ọzọ obi e zi ẹ. Ịya wụ ịghọghọ m!!
PHP.1.18	Ẹghẹẹ, m k'a gha a ghọghọ.
PHP.1.19	Makẹni, a marịngụọ m nị wẹ k'a hatu m ghahanị ekpere ụnụ lẹ eyemẹka Mmọn Jesu Kristi. 
PHP.1.20	M nwọn olilẹnya ọda-ọda nị egikọ m egun mẹ ihiẹn ifẹnrẹn e gi mẹ m; kama, nị m k'e kuzi oku Kraịstị kikẹnni, kushi ẹ ikẹn kẹ m dọn e ku ẹ mbụ, gi ẹhụ m buli Kraịstị elu, omẹni ịrịn'a ndụn rọ, omẹni ịnwụnn'a ọnwụn rọ.
PHP.1.21	Makẹni, o mẹ nke m, m rị ndụn, m rịnị Kraịstị; m nwụnhụn, erere rọ. 
PHP.1.22	Kanị, m rị ndụn, e gi m'ẹ rụnpụhanị Kraịstị ihiẹn: amarịnzị m nwan hụn m k'a hanrịn! 
PHP.1.23	M ri e roshi azụụnnị, e roshi azụụnnị: k'ọ rị m, a la m ụwanị tọ d'e du Kraịstị nọdị, makẹni ọhụn ka mma. 
PHP.1.24	Kanị, m rị ndụn, ịya k'a ka ụnụ ẹka e yeni.
PHP.1.25	Makẹni ọhụn we m ẹnya, a marịngụọ m nị m k'a rị ndụn sọn ụnụ ile nọdị, kẹni ụnụ a gha ihun, a ghọghọ imẹ okukwe. 
PHP.1.26	Ogẹn ahụn, ọbịbịa m a wụrụ ihiẹn ụnụ e gi nyan isi ọda-ọda imẹ Kristi wụ Jesu n'o mẹkẹ.
PHP.1.27	Ka bisọnmẹni obibi furu oziọma Kraịstị, n'o mẹni kẹ m bịa d'a hụn ụnụ kẹ abịanị m, nị ntịn kẹ m gihụ nụ ukwere ụnụ, e gi m'ẹ dọn nị ụnụ gi mmọn ohu wuzo, gi obi ohu a lụ ọgụn ụnụ gi a kwadọn ihiẹn ile oziọma sị ẹnyi kweri; 
PHP.1.28	ụnụ egini egun ndị-iṅẹnrẹn ụnụ mẹhunmẹ kaka akpohu, hụn ghọsị nị wẹ k'a la ntikpọ, ụnụ nwẹn e nwọnrin nzụọpụha. Wẹ ile ghachanrịn ẹka Osolobuẹ bịa. 
PHP.1.29	Makẹni Osolobuẹ e yeọlẹ ụnụ oghere, ẹlẹ hụn ụnụ e gi kweri ni Kraịstị sụọ kanị hụn ụnụ e gizi tan'a afụnfụn, 
PHP.1.30	makẹni ụnụ e shimẹgụọ nwan ọnwụn hụ ụnụ hụn m rị e shi mbụ, ụnụ a nụgụọzị nị m rịkwọ nwan e shi ẹ.
PHP.2.1	Omẹni w'a kasị ịhịan obi imẹ Kraịstị; omẹni ihiẹn-ọsụsụọ e mẹ ịhịan a rọkọ ibe ẹ obi; omẹni ẹnyi ile hụ e mẹkọ imẹ Mmọn-nsọ; omẹni ịhịan e mẹ ni ibe ẹ ẹfọma, e ro k'ọ rị ibe ẹ, 
PHP.2.2	mẹ ni nwan ịghọghọ m zu oke. Mẹ n'ẹ ghahanị iro ihiẹn ohu, inwọntarị ihiẹn-ọsụsụọ, ikwerigbamanị, ịchụ ihiẹn ohu. 
PHP.2.3	Emẹkwọlẹ ihiẹn ọwụlẹ n'i gi ẹ chọrị nke i sụọ mọbụ nị wẹ hụn ị. Ka e welụa nị enwẹn ụnụ alị, e ye ibe ụnụ ọghọ karị enwẹn ụnụ. 
PHP.2.4	Onyẹ-onyẹ imẹ ụnụ k'a gha a chọ ọrịrịmma ibe ẹ, ẹlẹ nke ya lẹ enwẹn ẹ sụọ.
PHP.2.5	A gụn nị agụngụn ohu hụ Kraịstị wụ Jizọsị gụn:
PHP.2.6	Ọsụọn'a nị Osolobuẹ k'ọ wụ,
PHP.2.6	o mẹdẹni nị ya lẹ Osolobuẹ han.
PHP.2.7	Kama,
PHP.2.7	ọ nọ bu ihiẹn ọ wụ che ụsụọ,
PHP.2.7	wụrụ odibo,
PHP.2.7	a mụ w'a ịhịan;
PHP.2.7	hụnnị ọ wụ ịhịan,
PHP.2.8	o welụa enwẹn ẹ alị, e humẹ isi,
PHP.2.8	d'e ru ebe ọ nọ kweri ni wẹ gbu ẹ —
PHP.2.8	kweridẹ hụn wẹ gi kpọgbu ẹ elu obe!
PHP.2.9	Ufiri ọnwan,
PHP.2.9	Osolobuẹ nọ bushichanrịn a elu,
PHP.2.9	bu ẹ che ọnọdị kachanrịnnị,
PHP.2.9	ye ẹ ẹfan
PHP.2.9	hụn kachanrịn ẹfan ile.
PHP.2.10	Nke wụnị,
PHP.2.10	wẹ kpọhụ ẹfan Jizọsị,
PHP.2.10	ihiẹn ile rị elu-igwee lẹ elu-ụwa lẹ okpuru ụwa
PHP.2.10	sikọ d'e gburịrị osekpu,
PHP.2.11	ọnụ ile k'e kurịrị a
PHP.2.11	nị Jesu Kristi wụ Onyẹ nwọn ihiẹn ile,
PHP.2.11	ọghọ e gi ẹ bịanị Chuku-Nẹdi.
PHP.2.12	Ufiri ẹ, ndị nke m, kẹ ụnụ dọn e humẹni m isi ogẹn mmẹ lẹ ụnụ gi rị ụzọ ohu, e mẹkẹnmẹzidẹ ẹ hụnnị m rịlẹn'a, mẹsọnmẹ ni nwan ẹrịra: e gi ni egun lẹ ẹhụ-ọmụma-nni e bi, e mẹ ihiẹn ile Osolobuẹ e gi zụọpụha ụnụ. 
PHP.2.13	Makẹni Osolobuẹ ya rị ọrụn imẹ ụnụ ogẹn ile, e mẹ ụnụ a sa ẹka a họrị uche ẹ, e mẹzikwọ uche ẹ.
PHP.2.14	E mẹ ni ihiẹn ile wẹ sị ụnụ mẹ — edẹnwịnnwịnlẹ ni; adọlẹ ni adịdọ, 
PHP.2.15	kẹni ụnụ wụrụ ndị nwọnlẹni nkọrịanị, ndị ẹka wẹ rị ọchan; ụmụ Osolobuẹ obibi wẹ nwọnlẹni ntụpọ hụn bi imẹ eje-agbọ zinrinlẹni, e nwun, e ke, imẹ ụwanị kẹ kokisẹ. 
PHP.2.16	E kwọnkẹnmẹ ni oku hụn e ye ndụn, kẹni m hụn ihiẹn m'e gi nyan isi Ụhụọhịn Kraịstị k'a bịa, nị ọsọ m gba lẹ ọrụn m rụn alanị iwi.
PHP.2.17	Ọsụọn'a nwan nị wẹ rị nwan e hupụ ndụn m nọkẹ manya e cheni okukwe ụnụ nọkẹ ẹjan wẹ rị a chụnyeni Osolobuẹ, ẹfọ rị a sụọ m ụsụọ; m rị e sọn ụnụ a ghọghọ! 
PHP.2.18	Ẹfọ ya sụọzị ụnụ nwẹn ụsụọ, ụnụ e sọn m ghọghọ.
PHP.2.19	M rị e lee ẹnya nị Di-nwọnni-ẹnyi wụ Jizọsị k'a nị m zihẹni ụnụ Timoti ẹgwa, kẹni m nụ ozi ụnụ, ndụn a ban m. 
PHP.2.20	Enwọn m onyẹ ọzọ hụn rị kẹ Timoti, hụn gichanrịn akpakalị obi ẹ a chọ ọrịrịmma ụnụ. 
PHP.2.21	Ndị ile họdụnị e ro nke-wẹ, nke-wẹ, ẹlẹ nke Jesu Kristi! 
PHP.2.22	Kanị, nke Timoti, ụnụ lẹ enwẹn ụnụ a marịngụọ onyẹ ọ wụ, nị o sọn m a rụn ọrụn oziọma kẹ nwa dọn e sọn nẹdi ẹ. 
PHP.2.23	M bu ẹ nwan obi nị m zihẹni ụnụ ya ẹgwa, m marịngụhụ kẹ ihiẹn k'a rịnị m ebeni. 
PHP.2.24	Obi e ruzịghọ m alị imẹ Di-nwọnni-ẹnyi nị mmẹ nwẹn lalazị ẹgwa.
PHP.2.25	K'osilẹrị, e rogụọ m'a n'ọ rị mkpa nị m zihẹni ụnụ Ẹpafrọditọsụ nwẹnẹ m imẹ Di-nwọnni-ẹnyi, onyẹ-ọrụn lẹ onyẹ-agha ibe m, hụn ụnụ zihẹ, hụn rị a rụnnị ụnụ ọrụn ghahanị iyeni m ẹka. 
PHP.2.26	M zila a makẹni ụnụ rị a da a ọda-ọda, ọ fụka a nị ụnụ nụ nị emu kụ a. 
PHP.2.27	Ezioku-ezioku, emu te kụ a ọda-ọda, o te d'a nwụn! Kanị Osolobuẹ nọ mẹ omikẹn ẹ, bụ ẹlẹ ịya sụọ k'o mẹn'ẹ kanị mmẹ nwẹn zi, amamgbe ẹkwan m a waye.
PHP.2.28	M zila a nwan ẹgwa, kẹni ụnụ hụn a, ẹfọ a sụọ ụnụ ụsụọ, uhue m e belụa. 
PHP.2.29	Gi ni nwan ịghọghọ nabanhan a makẹ Di-nwọnni-ẹnyi. A gbaye ni ndị nọ kẹ ịya — 
PHP.2.30	makẹni ọrụn Kraịstị e d'a napụ a ndụn a, ebe ọ nọ bu ndụn a che ọb'ẹka n'o nọkin ẹnya ụnụ yeni m ẹka.
PHP.3.1	Umunẹ m, igi mẹkin: m sị ụnụ, a ghọghọ nị imẹ Di-nwọnni-ẹnyi.
PHP.3.1	Ndụn idezini ụnụ ihiẹn m degụnị ụnụ mbụ agụkọ m, makẹni o k'e yeni ụnụ ẹka.
PHP.3.2	Kpachanpụ nị ẹnya makẹ nkitẹ ndị hụ! Kpachanpụ nị ẹnya makẹ ndị ahụn rị e mẹ eje-ihiẹn! Ẹghẹẹ, kpachanpụ nị ẹnya makẹ ndị hụ e bekika ịhịan ẹhụ nị wẹ rị a kwa ugun! 
PHP.3.3	Makẹni, ẹnyi nwẹn wụ ndị hụn kwa ezigbo ugun: ẹnyi ndị rị e fe Osolobuẹ ofufe imẹ-mmọn ghahanị Mmọn-nsọ, ẹnyi ndị gi Kraịstị wụ Jizọsị e dọn ẹnya, a nyan isi, ẹnyi ndị ghalẹni e gi ihiẹn ẹnya e legha e dọn ẹnya, 
PHP.3.4	ọsụọn'a nị mmẹ nwẹn e nwọnzighọ ihiẹn ẹnya e legha hụn nkẹ m'e gi dọn ẹnya, nyan isi. Ẹghẹẹ, onyẹ sị n'o nwọnghọ ihiẹn o gi dọn ẹnya elu-ụwanị, mmẹ ka e nwọn: 
PHP.3.5	Wẹ kwa m ugun kẹ m rị nwa akpọhịn ẹsatọ daị; m wụ nwa-di-alị Izrẹlụ: onyẹ ebọn Bẹnjamini; onyẹ Hibru ndị Hibru mụ
PHP.3.6	o mẹ nke adụdụ, m kpokpo ụka Kraịstị; o mẹ nke ezi-omumẹ Iwu Mozizi, enwọn m nkọrịanị.
PHP.3.7	Kanị, e gigụọ m nwan ufiri Kraịstị gụn ihiẹn ile te bannị m erere ye ihiẹn la iwi. 
PHP.3.8	Ẹlẹdẹ ọhụn sụọ, a gụngụọdẹ m ihiẹn ile ye ihiẹn la iwi, makẹ ufiri ihiẹn hụn ka wẹ ile ọhụnma-ọhụnma, hụn wụ ịmarịn Kraịst Jizọsị Di-nwọnni m, onyẹ hụn m gi nwan ufiri ẹ nị ihiẹn ile la, weridẹ wẹ kẹ nsịn, kẹni m kwọnkẹnmẹ Kraịstị, 
PHP.3.9	a rịchanrịn m imẹ ẹ, ẹlẹ nke onyẹ rị ọchan ẹnya enwẹn ẹ makẹni ọ hụ e dọnmẹ Iwu, kama, rịkẹ onyẹ rị ọchan makẹni o gi Kraịstị e dọn ẹnya — ịrị-ọchan ahụn gha ẹka Osolobuẹ a bịa, hụn wẹ gi okukwe e nwọnhẹn. 
PHP.3.10	M chọ nị m marịn Kraịstị lẹ ikẹn hụ o gi gha ọnwụn lihi, e sọn m'ẹ ta afụnfụn ọ ta, sọn ẹ nwụn ọnwụn ọ nwụn, 
PHP.3.11	kẹn'o nwọndẹ kẹ m dọn rị ndị k'a gha ọnwụn lihi.
PHP.3.12	Ẹlẹni e nwọnhẹngụọlẹ m ihiẹn ahụn mọbụ nị e zuchanrịngụọlẹ m oke. Kama, m'a chụshi ẹ ikẹn, kẹni m nwụndọn ihiẹn hụ Kraịstị wụ Jizọsị gi ufiri ẹ nwụndọn m. 
PHP.3.13	Umunẹ, m'a ra weridẹ enwẹn m kẹ onyẹ nwọnhẹngụn'a. Mba! Kama, ihiẹn ohuni kẹ m'e mẹ: m'a zọ hụn m nwọnhẹngụ, a lịlịma nị m nwọnhẹn hụn rị ihun. 
PHP.3.14	M'a lịlịma, e buchanrịn ihun e zinmẹ ebe m gbakọ, kẹni m nwọnhẹn ihiẹn hụn Osolobuẹ kpọnị ẹnyi oku elu-igwee rị imẹ Kraịstị wụ Jizọsị.
PHP.3.15	Ya wụ, ẹnyi ile ka ẹhụ imẹ Kraịstị furu nwan nị ẹnyi e nwọn ụdị agụngụnnị. O mẹ nwan nị ịhịan rị e ro ihiẹn ichẹn, Osolobuẹ k'e mẹ ẹ ghọta. 
PHP.3.16	Kanị, nị ẹnyi ile e mẹ hụn furu ogo ẹnyi rugụ.
PHP.3.17	Umunẹ m, ụnụ ile, e sọnni nzọmụkụ m; leri ni obibi ndị hụ e lerini ẹnyi. 
PHP.3.18	Makẹni, ndị bu ọda e bi nọkẹ sị wẹ wụ ndị-iṅẹnrẹn obe Kraịstị. A gwaọlẹ m ụnụ ya mgbe ole-lẹ-ole mbụ; m gi nwan ẹnya-mirin a gwazị ụnụ ya. 
PHP.3.19	Wẹ shikọ ntikpọ; ẹfọ wẹ wụ Chuku wẹ; ihiẹn nkẹ e mẹ wẹ ifẹnrẹn kẹ wẹ gi a nyan isi; ihiẹn-ụwa ihiẹn-ụwa kẹ wẹ e ro.
PHP.3.20	Kanị o mẹ nke ẹnyi, ẹnyi wụ ụmụ di-alị elu-igwee; ẹnyi rị nwan a tụ ẹnya Onyẹ-nzụọpụha, Di-nwọnni-ẹnyi wụ Jesu Kristi hụn gha ebẹhụ lala. 
PHP.3.21	O k'e nwọnhutọ ẹhụ ẹnyi ndịnị ụya e ri, a nọ wẹ kẹ ẹhụ a ọghọ jun; ikẹn ẹ ahụn o gi a saẹka e bu ihiẹn ile e che okpuru ẹ k'o sikọ d'e gi mẹ ẹ.
PHP.4.1	Ezi umunẹ m, hụn rị a danị m, ịghọghọ m lẹ ugọn m! Ndị nke m, turukẹnmẹni nwan ẹrịra imẹ Di-nwọnni-ẹnyi!
PHP.4.2	Yodia, dodo! Sintike, dodo! Dodo ni, e gi ni obi ohu e bi, nọkẹ ndị nke Di-nwọnni-ẹnyi. 
PHP.4.3	Ẹghẹẹ, yụ wụ onyẹ-ọrụn ibe m furu wẹ gi e dọn ẹnya, m rị a rịọ ị n'ị yeni ikpoho ndịnị ẹka, makẹni e sọngụọ wẹ m lụnị oziọma ọgụn, uwẹ lẹ Klemẹnti lẹ ndị ọzọ ile mmẹ lẹ wẹ gba a rụn ọrụn — ndị ẹfan wẹ rị imẹ ẹkụkwọ ndụn-itẹbitẹ.
PHP.4.4	A ghọghọ nị imẹ Di-nwọnni-ẹnyi ogẹn ile! E kuzi m'ẹ: a ghọghọ nị!
PHP.4.5	Ịhịan ile wẹ gi ẹka rị mma ụnụ gi e sọn ihiẹn ile marịn ụnụ; Di-nwọnni-ẹnyi lala ẹgwa. 
PHP.4.6	Ehuelẹ ni uhue ihiẹn ọwụlẹ; imẹ ihiẹn ile, e gi ni ekpere lẹ arịrịọ lẹ iye-ekele a gwa Osolobuẹ ihiẹn rị ụnụ mkpa. 
PHP.4.7	Ogẹn hụ, udọn Osolobuẹ hụn wẹ ghalẹni a ghọta e chemẹ obi ụnụ lẹ uche ụnụ imẹ Kraịstị wụ Jizọsị.
PHP.4.8	Umunẹ m, igi mẹkin, m sị ụnụ, e bu ni obi e che ihiẹn ọwụlẹ wụ ezioku, ihiẹn ọwụlẹ w'a gbaye, ihiẹn ọwụlẹ furuni; ihiẹn ọwụlẹ eje-ihiẹn rịlẹni, ihiẹn ọwụlẹ a sụọ ịhịan ụsụọ ẹfọ, ihiẹn ọwụlẹ w'a ja mma; ihiẹn ọwụlẹ rịchanrịn mma, ihiẹn ọwụlẹ wẹ e ku oku ẹ ọhụnma. 
PHP.4.9	E mẹsọnmẹ ni ihiẹn ụnụ mụnarịn m, ihiẹn ụnụ nwọnhẹn ẹka m, ihiẹn ụnụ nụ ọnụ m lẹ ihiẹn ụnụ hụn m ẹka. Ụnụ mẹ wẹ, Osolobuẹ hụn e mẹ obi e ru ịhịan alị k'a nọyeni ụnụ.
PHP.4.10	A ghọghọkakwọ m imẹ Di-nwọnni-ẹnyi nị ụnụ e romẹzi m ikpanzụụnnị. Eziẹ, ụnụ e ro m ero, kanị ụnụ ahụnnị oghere ụnụ e gi ghọsị a. 
PHP.4.11	Ẹlẹni mkpa gi m haịn m gi e ku ihiẹnni. Mba, a mụnrụngụọ m ịnị ihiẹn m nwọn e jun m ẹfọ. 
