GEN.1.2	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä. 
JHN.5.37	Ja Isä, joka on minut lähettänyt, hän on todistanut minusta. Te ette ole koskaan kuulleet hänen ääntänsä ettekä nähneet hänen muotoansa, 
JHN.5.38	eikä teillä ole hänen sanaansa teissä pysyväisenä; sillä te ette usko sitä, jonka hän on lähettänyt. 
JHN.5.39	Te tutkitte kirjoituksia, sillä teillä on mielestänne niissä iankaikkinen elämä, ja ne juuri todistavat minusta; 
JHN.5.40	ja te ette tahdo tulla minun tyköni, että saisitte elämän. 
JHN.5.41	En minä ota vastaan kunniaa ihmisiltä; 
JHN.5.42	mutta minä tunnen teidät, ettei teillä ole Jumalan rakkautta itsessänne. 
JHN.5.43	Minä olen tullut Isäni nimessä, ja te ette ota minua vastaan; jos toinen tulee omassa nimessään, niin hänet te otatte vastaan. 
JHN.5.44	Kuinka te voisitte uskoa, te, jotka otatte vastaan kunniaa toinen toiseltanne, ettekä etsi sitä kunniaa, mikä tulee häneltä, joka yksin on Jumala? 
JHN.5.45	Älkää luulko, että minä olen syyttävä teitä Isän tykönä; teillä on syyttäjänne, Mooses, johon te panette toivonne. 
JHN.5.46	Sillä jos te Moosesta uskoisitte, niin te uskoisitte minua; sillä minusta hän on kirjoittanut. 
JHN.5.47	Mutta jos te ette usko hänen kirjoituksiaan, kuinka te uskoisitte minun sanojani?"
JHN.6.1	Sen jälkeen Jeesus meni Galilean, se on Tiberiaan, järven tuolle puolelle. 
JHN.6.2	Ja häntä seurasi paljon kansaa, koska he näkivät ne tunnusteot, joita hän teki sairaille. 
JHN.6.3	Ja Jeesus nousi vuorelle ja istui sinne opetuslapsinensa. 
JHN.6.4	Ja pääsiäinen, juutalaisten juhla, oli lähellä.
JHN.6.5	Kun Jeesus nosti silmänsä ja näki paljon kansaa tulevan tykönsä, sanoi hän Filippukselle: "Mistä ostamme leipää näiden syödä?" 
JHN.6.6	Mutta sen hän sanoi koetellakseen häntä, sillä itse hän tiesi, mitä aikoi tehdä. 
JHN.6.7	Filippus vastasi hänelle: "Eivät kahdensadan denarin leivät heille riittäisi, niin että kukin saisi edes vähän". 
JHN.6.8	Niin toinen hänen opetuslapsistansa, Andreas, Simon Pietarin veli, sanoi hänelle: 
JHN.6.9	"Täällä on poikanen, jolla on viisi ohraleipää ja kaksi kalaa, mutta mitä ne ovat näin monelle?" 
JHN.6.10	Jeesus sanoi: "Asettakaa kansa aterioimaan". Ja siinä paikassa oli paljon ruohoa. Niin miehet, luvultaan noin viisituhatta, laskeutuivat maahan. 
JHN.6.11	Ja Jeesus otti leivät ja kiitti ja jakeli istuville; samoin kaloistakin, niin paljon kuin he tahtoivat. 
JHN.6.12	Mutta kun he olivat ravitut, sanoi hän opetuslapsillensa: "Kootkaa tähteeksi jääneet palaset, ettei mitään joutuisi hukkaan". 
JHN.6.13	Niin he kokosivat ne ja täyttivät kaksitoista vakkaa palasilla, mitkä olivat viidestä ohraleivästä jääneet tähteeksi niiltä, jotka olivat aterioineet. 
JHN.6.14	Kun nyt ihmiset näkivät sen tunnusteon, jonka Jeesus oli tehnyt, sanoivat he: "Tämä on totisesti se profeetta, joka oli maailmaan tuleva". 
JHN.6.15	Kun nyt Jeesus huomasi, että he aikoivat tulla ja väkisin ottaa hänet, tehdäkseen hänet kuninkaaksi, väistyi hän taas pois vuorelle, hän yksinänsä.
JHN.6.16	Mutta kun ilta tuli, menivät hänen opetuslapsensa alas järven rantaan, 
JHN.6.17	astuivat venheeseen ja lähtivät menemään järven toiselle puolelle, Kapernaumiin. Ja oli jo tullut pimeä, eikä Jeesus ollut vielä saapunut heidän luokseen; 
JHN.6.18	ja järvi aaltoili ankarasti kovan tuulen puhaltaessa. 
JHN.6.19	Kun he olivat soutaneet noin viisikolmatta tai kolmekymmentä vakomittaa, näkivät he Jeesuksen kävelevän järven päällä ja tulevan lähelle venhettä; ja he peljästyivät. 
JHN.6.20	Mutta hän sanoi heille: "Minä se olen; älkää peljätkö". 
JHN.6.21	Niin he tahtoivat ottaa hänet venheeseen, ja kohta venhe saapui sen maan rantaan, jonne he olivat matkalla.
JHN.6.22	Seuraavana päivänä kansa yhä vielä oli järven toisella puolella, sillä he olivat nähneet, ettei siellä ollut muuta venhettä kuin se yksi ja ettei Jeesus mennyt opetuslastensa kanssa venheeseen, vaan että hänen opetuslapsensa lähtivät yksinään pois. 
JHN.6.23	Kuitenkin oli muita venheitä tullut Tiberiaasta lähelle sitä paikkaa, jossa he olivat syöneet leipää, sittenkuin Herra oli lausunut kiitoksen. 
JHN.6.24	Kun siis kansa näki, ettei Jeesus ollut siellä eivätkä hänen opetuslapsensa, astuivat hekin venheisiin ja menivät Kapernaumiin ja etsivät Jeesusta. 
JHN.6.25	Ja kun he löysivät hänet järven toiselta puolelta, sanoivat he hänelle: "Rabbi, milloin tulit tänne?" 
JHN.6.26	Jeesus vastasi heille ja sanoi: "Totisesti, totisesti minä sanon teille: ette te minua sentähden etsi, että olette nähneet tunnustekoja, vaan sentähden, että saitte syödä niitä leipiä ja tulitte ravituiksi. 
JHN.6.27	Älkää hankkiko sitä ruokaa, joka katoaa, vaan sitä ruokaa, joka pysyy hamaan iankaikkiseen elämään ja jonka Ihmisen Poika on teille antava; sillä häneen on Isä, Jumala itse, sinettinsä painanut."
JHN.6.28	Niin he sanoivat hänelle: "Mitä meidän pitää tekemän, että me Jumalan tekoja tekisimme?" 
JHN.6.29	Jeesus vastasi ja sanoi heille: "Se on Jumalan teko, että te uskotte häneen, jonka Jumala on lähettänyt". 
JHN.6.30	He sanoivat hänelle: "Minkä tunnusteon sinä sitten teet, että me näkisimme sen ja uskoisimme sinua? Minkä teon sinä teet? 
JHN.6.31	Meidän isämme söivät mannaa erämaassa, niinkuin kirjoitettu on: 'Hän antoi leipää taivaasta heille syötäväksi'." 
JHN.6.32	Niin Jeesus sanoi heille: "Totisesti, totisesti minä sanon teille: ei Mooses antanut teille sitä leipää taivaasta, vaan minun Isäni antaa teille taivaasta totisen leivän. 
JHN.6.33	Sillä Jumalan leipä on se, joka tulee alas taivaasta ja antaa maailmalle elämän." 
JHN.6.34	Niin he sanoivat hänelle: "Herra, anna meille aina sitä leipää". 
JHN.6.35	Jeesus sanoi heille: "Minä olen elämän leipä; joka tulee minun tyköni, se ei koskaan isoa, ja joka uskoo minuun, se ei koskaan janoa. 
JHN.6.36	Mutta minä olen sanonut teille, että te olette nähneet minut, ettekä kuitenkaan usko. 
JHN.6.37	Kaikki, minkä Isä antaa minulle, tulee minun tyköni; ja sitä, joka minun tyköni tulee, minä en heitä ulos. 
JHN.6.38	Sillä minä olen tullut taivaasta, en tekemään omaa tahtoani, vaan hänen tahtonsa, joka on minut lähettänyt. 
JHN.6.39	Ja minun lähettäjäni tahto on se, että minä kaikista niistä, jotka hän on minulle antanut, en kadota yhtäkään, vaan herätän heidät viimeisenä päivänä. 
JHN.6.40	Sillä minun Isäni tahto on se, että jokaisella, joka näkee Pojan ja uskoo häneen, on iankaikkinen elämä; ja minä herätän hänet viimeisenä päivänä."
JHN.6.41	Niin juutalaiset nurisivat häntä vastaan, koska hän sanoi: "Minä olen se leipä, joka on tullut alas taivaasta"; 
JHN.6.42	ja he sanoivat: "Eikö tämä ole Jeesus, Joosefin poika, jonka isän ja äidin me tunnemme? Kuinka hän sitten sanoo: 'Minä olen tullut alas taivaasta'?" 
JHN.6.43	Jeesus vastasi ja sanoi heille: "Älkää nurisko keskenänne. 
JHN.6.44	Ei kukaan voi tulla minun tyköni, ellei Isä, joka on minut lähettänyt, häntä vedä; ja minä herätän hänet viimeisenä päivänä. 
JHN.6.45	Profeetoissa on kirjoitettuna: 'Ja he tulevat kaikki Jumalan opettamiksi'. Jokainen, joka on Isältä kuullut ja oppinut, tulee minun tyköni. 
JHN.6.46	Ei niin, että kukaan olisi Isää nähnyt; ainoastaan hän, joka on Jumalasta, on nähnyt Isän. 
JHN.6.47	Totisesti, totisesti minä sanon teille: joka uskoo, sillä on iankaikkinen elämä. 
JHN.6.48	Minä olen elämän leipä. 
JHN.6.49	Teidän isänne söivät mannaa erämaassa, ja he kuolivat. 
JHN.6.50	Mutta tämä on se leipä, joka tulee alas taivaasta, että se, joka sitä syö, ei kuolisi. 
JHN.6.51	Minä olen se elävä leipä, joka on tullut alas taivaasta. Jos joku syö tätä leipää, hän elää iankaikkisesti. Ja se leipä, jonka minä annan, on minun lihani, maailman elämän puolesta."
JHN.6.52	Silloin juutalaiset riitelivät keskenään sanoen: "Kuinka tämä voi antaa lihansa meille syötäväksi?" 
JHN.6.53	Niin Jeesus sanoi heille: "Totisesti, totisesti minä sanon teille: ellette syö Ihmisen Pojan lihaa ja juo hänen vertansa, ei teillä ole elämää itsessänne. 
JHN.6.54	Joka syö minun lihani ja juo minun vereni, sillä on iankaikkinen elämä, ja minä herätän hänet viimeisenä päivänä. 
JHN.6.55	Sillä minun lihani on totinen ruoka, ja minun vereni on totinen juoma. 
JHN.6.56	Joka syö minun lihani ja juo minun vereni, se pysyy minussa, ja minä hänessä. 
JHN.6.57	Niinkuin Isä, joka elää, on minut lähettänyt, ja minä elän Isän kautta, niin myös se, joka minua syö, elää minun kauttani. 
JHN.6.58	Tämä on se leipä, joka tuli alas taivaasta. Ei ole, niinkuin oli teidän isienne: he söivät ja kuolivat; joka tätä leipää syö, se elää iankaikkisesti." 
JHN.6.59	Tämän hän puhui synagoogassa opettaessaan Kapernaumissa.
JHN.6.60	Niin monet hänen opetuslapsistansa, sen kuultuaan, sanoivat: "Tämä on kova puhe, kuka voi sitä kuulla?" 
JHN.6.61	Mutta kun Jeesus sydämessään tiesi, että hänen opetuslapsensa siitä nurisivat, sanoi hän heille: "Loukkaako tämä teitä? 
JHN.6.62	Mitä sitten, jos saatte nähdä Ihmisen Pojan nousevan sinne, missä hän oli ennen! 
JHN.6.63	Henki on se, joka eläväksi tekee; ei liha mitään hyödytä. Ne sanat, jotka minä olen teille puhunut, ovat henki ja ovat elämä. 
JHN.6.64	Mutta teissä on muutamia, jotka eivät usko." Sillä Jeesus tiesi alusta asti, ketkä ne olivat, jotka eivät uskoneet, ja kuka se oli, joka oli kavaltava hänet. 
JHN.6.65	Ja hän sanoi: "Sentähden minä olen sanonut teille, ettei kukaan voi tulla minun tyköni, ellei minun Isäni sitä hänelle anna".
JHN.6.66	Tämän tähden monet hänen opetuslapsistaan vetäytyivät pois eivätkä enää vaeltaneet hänen kanssansa. 
JHN.6.67	Niin Jeesus sanoi niille kahdelletoista: "Tahdotteko tekin mennä pois?" 
JHN.6.68	Simon Pietari vastasi hänelle: "Herra, kenen tykö me menisimme? Sinulla on iankaikkisen elämän sanat; 
JHN.6.69	ja me uskomme ja ymmärrämme, että sinä olet Jumalan Pyhä." 
JHN.6.70	Jeesus vastasi heille: "Enkö minä ole valinnut teitä, te kaksitoista? Ja yksi teistä on perkele." 
JHN.6.71	Mutta sen hän sanoi Juudaasta, Simon Iskariotin pojasta; sillä tämä oli hänet kavaltava ja oli yksi niistä kahdestatoista.
JHN.7.1	Ja sen jälkeen Jeesus vaelsi ympäri Galileassa; sillä hän ei tahtonut vaeltaa Juudeassa, koska juutalaiset tavoittelivat häntä tappaaksensa. 
JHN.7.2	Ja juutalaisten juhla, lehtimajanjuhla, oli lähellä. 
JHN.7.3	Niin hänen veljensä sanoivat hänelle: "Lähde täältä ja mene Juudeaan, että myös sinun opetuslapsesi näkisivät sinun tekosi, joita sinä teet; 
JHN.7.4	sillä ei kukaan, joka itse tahtoo tulla julki, tee mitään salassa. Koska sinä näitä tekoja teet, niin ilmoita itsesi maailmalle." 
JHN.7.5	Sillä hänen veljensäkään eivät häneen uskoneet. 
JHN.7.6	Niin Jeesus sanoi heille: "Minun aikani ei ole vielä tullut; mutta teille aika on aina sovelias. 
JHN.7.7	Teitä ei maailma voi vihata, mutta minua se vihaa, sillä minä todistan siitä, että sen teot ovat pahat. 
JHN.7.8	Menkää te ylös juhlille; minä en vielä mene näille juhlille, sillä minun aikani ei ole vielä täyttynyt. 
JHN.7.9	Tämän hän sanoi heille ja jäi Galileaan. 
JHN.7.10	Mutta kun hänen veljensä olivat menneet juhlille, silloin hänkin meni sinne, ei julki, vaan ikäänkuin salaa.
JHN.7.11	Niin juutalaiset etsivät häntä juhlan aikana ja sanoivat: "Missä hän on?" 
JHN.7.12	Ja hänestä oli paljon kiistelyä kansassa; muutamat sanoivat: "Hän on hyvä", mutta toiset sanoivat: "Ei ole, vaan hän villitsee kansan". 
JHN.7.13	Ei kuitenkaan kukaan puhunut hänestä julkisesti, koska he pelkäsivät juutalaisia.
JHN.7.14	Mutta kun jo puoli juhlaa oli kulunut, meni Jeesus ylös pyhäkköön ja opetti. 
JHN.7.15	Niin juutalaiset ihmettelivät ja sanoivat: "Kuinka tämä osaa kirjoituksia, vaikkei ole oppia saanut?" 
JHN.7.16	Jeesus vastasi heille ja sanoi: "Minun oppini ei ole minun, vaan hänen, joka on minut lähettänyt. 
JHN.7.17	Jos joku tahtoo tehdä hänen tahtonsa, tulee hän tuntemaan, onko tämä oppi Jumalasta, vai puhunko minä omiani. 
JHN.7.18	Joka omiaan puhuu, se pyytää omaa kunniaansa, mutta joka pyytää lähettäjänsä kunniaa, se on totinen, eikä hänessä ole vääryyttä. 
JHN.7.19	Eikö Mooses ole antanut teille lakia? Ja kukaan teistä ei lakia täytä. Miksi tavoittelette minua tappaaksenne?" 
JHN.7.20	Kansa vastasi: "Sinussa on riivaaja; kuka sinua tavoittelee tappaaksensa?" 
JHN.7.21	Jeesus vastasi ja sanoi heille: "Yhden teon minä tein, ja te kaikki kummastelette. 
JHN.7.22	Mooses antoi teille ympärileikkauksen — ei niin, että se olisi Moosekselta, vaan se on isiltä — ja sapattinakin te ympärileikkaatte ihmisen. 
JHN.7.23	Sentähden: jos ihminen saa ympärileikkauksen sapattina, ettei Mooseksen lakia rikottaisi, miksi te olette vihoissanne minulle siitä, että minä tein koko ihmisen terveeksi sapattina? 
JHN.7.24	Älkää tuomitko näön mukaan, vaan tuomitkaa oikea tuomio."
JHN.7.26	Ja katso, hän puhuu vapaasti, eivätkä he sano hänelle mitään. Olisivatko hallitusmiehet tosiaan saaneet tietoonsa, että tämä on Kristus? 
JHN.7.27	Kuitenkin, me tiedämme, mistä tämä on; mutta kun Kristus tulee, niin ei kukaan tiedä, mistä hän on." 
JHN.7.28	Niin Jeesus puhui pyhäkössä suurella äänellä, opetti ja sanoi: "Te tunnette minut ja tiedätte, mistä minä olen; ja itsestäni minä en ole tullut, vaan hän, joka minut on lähettänyt, on oikea lähettäjä, ja häntä te ette tunne. 
JHN.7.29	Minä tunnen hänet, sillä hänestä minä olen, ja hän on minut lähettänyt."
JHN.7.31	Mutta monet kansasta uskoivat häneen ja sanoivat: "Kun Kristus tulee, tehneekö hän enemmän tunnustekoja, kuin tämä on tehnyt?"
JHN.7.32	Fariseukset kuulivat kansan näin kiistelevän hänestä; niin ylipapit ja fariseukset lähettivät palvelijoita ottamaan häntä kiinni. 
JHN.7.33	Mutta Jeesus sanoi: "Minä olen vielä vähän aikaa teidän kanssanne, ja sitten minä menen pois hänen tykönsä, joka on minut lähettänyt. 
JHN.7.34	Silloin te etsitte minua, mutta ette löydä; ja missä minä olen, sinne te ette voi tulla." 
JHN.7.35	Niin juutalaiset sanoivat keskenään: "Minne tämä aikoo mennä, koska emme voi löytää häntä? Eihän vain aikone mennä niiden luo, jotka asuvat hajallaan kreikkalaisten keskellä, ja opettaa kreikkalaisia? 
JHN.7.36	Mitä tämä sana on, jonka hän sanoi: 'Te etsitte minua, mutta ette löydä', ja: 'Missä minä olen, sinne te ette voi tulla'?"
JHN.7.38	Joka uskoo minuun, hänen sisimmästään on, niinkuin Raamattu sanoo, juokseva elävän veden virrat." 
JHN.7.39	Mutta sen hän sanoi Hengestä, joka niiden piti saaman, jotka uskoivat häneen; sillä Henki ei ollut vielä tullut, koska Jeesus ei vielä ollut kirkastettu.
JHN.7.41	Toiset sanoivat: "Tämä on Kristus". Mutta toiset sanoivat: "Ei suinkaan Kristus tule Galileasta? 
JHN.7.42	Eikö Raamattu sano, että Kristus on oleva Daavidin jälkeläisiä ja tuleva pienestä Beetlehemin kaupungista, jossa Daavid oli?" 
JHN.7.43	Niin syntyi kansassa eripuraisuutta hänen tähtensä. 
JHN.7.44	Ja muutamat heistä tahtoivat ottaa hänet kiinni. Mutta ei kukaan käynyt häneen käsiksi.
JHN.7.45	Niin palvelijat palasivat ylipappien ja fariseusten luo, ja nämä sanoivat heille: "Miksi ette tuoneet häntä tänne?" 
JHN.7.46	Palvelijat vastasivat: "Ei ole koskaan ihminen puhunut niin, kuin se mies puhuu". 
JHN.7.47	Niin fariseukset vastasivat heille: "Oletteko tekin eksytetyt? 
JHN.7.48	Onko kukaan hallitusmiehistä uskonut häneen tai kukaan fariseuksista? 
JHN.7.49	Mutta tuo kansa, joka ei lakia tunne, on kirottu." 
JHN.7.50	Niin Nikodeemus, joka ennen oli käynyt Jeesuksen luona ja joka oli yksi heistä, sanoi heille: 
JHN.7.51	"Tuomitseeko lakimme ketään, ennenkuin häntä on kuulusteltu ja saatu tietää, mitä hän on tehnyt?" 
JHN.7.52	He vastasivat ja sanoivat hänelle: "Oletko sinäkin Galileasta? Tutki ja näe, ettei Galileasta nouse profeettaa." 
JHN.7.53	Ja he menivät kukin kotiinsa.
JHN.8.1	Mutta Jeesus meni Öljymäelle. 
JHN.8.2	Ja varhain aamulla hän taas saapui pyhäkköön, ja kaikki kansa tuli hänen luoksensa; ja hän istuutui ja opetti heitä. 
JHN.8.3	Silloin kirjanoppineet ja fariseukset toivat hänen luoksensa aviorikoksesta kiinniotetun naisen, asettivat hänet keskelle 
JHN.8.4	ja sanoivat Jeesukselle: "Opettaja, tämä nainen on tavattu itse teosta, aviorikosta tekemästä. 
JHN.8.5	Ja Mooses on laissa antanut meille käskyn, että tuommoiset on kivitettävä. Mitäs sinä sanot?" 
JHN.8.6	Mutta sen he sanoivat kiusaten häntä, päästäkseen häntä syyttämään. Silloin Jeesus kumartui alas ja kirjoitti sormellaan maahan. 
JHN.8.7	Mutta kun he yhä edelleen kysyivät häneltä, ojensi hän itsensä ja sanoi heille: "Joka teistä on synnitön, se heittäköön häntä ensimmäisenä kivellä". 
JHN.8.8	Ja taas hän kumartui alas ja kirjoitti maahan. 
JHN.8.9	Kun he tämän kuulivat ja heidän omatuntonsa todisti heidät syyllisiksi, menivät he pois, toinen toisensa perästä, vanhimmista alkaen viimeisiin asti; ja siihen jäi ainoastaan Jeesus sekä nainen, joka seisoi hänen edessään. 
JHN.8.10	Ja kun Jeesus ojensi itsensä eikä nähnyt ketään muuta kuin naisen, sanoi hän hänelle: "Nainen, missä ne ovat, sinun syyttäjäsi? Eikö kukaan ole sinua tuominnut?" 
JHN.8.11	Hän vastasi: "Herra, ei kukaan". Niin Jeesus sanoi hänelle: "En minäkään sinua tuomitse; mene, äläkä tästedes enää syntiä tee".
JHN.8.13	Niin fariseukset sanoivat hänelle: "Sinä todistat itsestäsi; sinun todistuksesi ei ole pätevä". 
JHN.8.14	Jeesus vastasi ja sanoi heille: "Vaikka minä todistankin itsestäni, on todistukseni pätevä, sillä minä tiedän, mistä minä olen tullut ja mihin minä menen; mutta te ette tiedä, mistä minä tulen, ettekä, mihin minä menen. 
JHN.8.15	Te tuomitsette lihan mukaan; minä en tuomitse ketään. 
JHN.8.16	Ja vaikka minä tuomitsisinkin, niin minun tuomioni olisi oikea, sillä minä en ole yksinäni, vaan minä ja hän, joka on minut lähettänyt. 
JHN.8.17	Onhan teidän laissannekin kirjoitettuna, että kahden ihmisen todistus on pätevä. 
JHN.8.18	Minä olen se, joka todistan itsestäni, ja minusta todistaa myös Isä, joka on minut lähettänyt." 
JHN.8.19	Niin he sanoivat hänelle: "Missä sinun isäsi on?" Jeesus vastasi: "Te ette tunne minua ettekä minun Isääni; jos te tuntisitte minut, niin te tuntisitte myös minun Isäni". 
JHN.8.20	Nämä sanat Jeesus puhui uhriarkun ääressä, opettaessaan pyhäkössä; eikä kukaan ottanut häntä kiinni, sillä hänen hetkensä ei ollut vielä tullut.
JHN.8.22	Niin juutalaiset sanoivat: "Ei kai hän aikone tappaa itseänsä, koska sanoo: 'Mihin minä menen, sinne te ette voi tulla'?" 
JHN.8.23	Ja hän sanoi heille: "Te olette alhaalta, minä olen ylhäältä; te olette tästä maailmasta, minä en ole tästä maailmasta. 
JHN.8.24	Sentähden minä sanoin teille, että te kuolette synteihinne; sillä ellette usko minua siksi, joka minä olen, niin te kuolette synteihinne." 
JHN.8.25	Niin he sanoivat hänelle: "Kuka sinä olet?" Jeesus sanoi heille: "Juuri se, mitä minä puhunkin teille. 
JHN.8.26	Paljon on minulla teistä puhuttavaa ja teissä tuomittavaa; mutta hän, joka on minut lähettänyt, on totinen, ja minkä minä olen kuullut häneltä, sen minä puhun maailman kuulla." 
JHN.8.27	Mutta he eivät ymmärtäneet, että hän puhui heille Isästä.
JHN.8.29	Ja hän, joka on minut lähettänyt, on minun kanssani; hän ei ole jättänyt minua yksinäni, koska minä aina teen sitä, mikä hänelle on otollista." 
JHN.8.30	Kun hän näin puhui, uskoivat monet häneen.
JHN.8.31	Niin Jeesus sanoi niille juutalaisille, jotka uskoivat häneen: "Jos te pysytte minun sanassani, niin te totisesti olette minun opetuslapsiani; 
JHN.8.32	ja te tulette tuntemaan totuuden, ja totuus on tekevä teidät vapaiksi". 
JHN.8.33	He vastasivat hänelle: "Me olemme Aabrahamin jälkeläisiä emmekä ole koskaan olleet kenenkään orjia. Kuinka sinä sitten sanot: 'Te tulette vapaiksi'?" 
JHN.8.34	Jeesus vastasi heille: "Totisesti, totisesti minä sanon teille: jokainen, joka tekee syntiä, on synnin orja. 
JHN.8.35	Mutta orja ei pysy talossa iäti; Poika pysyy iäti. 
JHN.8.36	Jos siis Poika tekee teidät vapaiksi, niin te tulette todellisesti vapaiksi. 
JHN.8.37	Minä tiedän, että te olette Aabrahamin jälkeläisiä; mutta te tavoittelette minua tappaaksenne, koska minun sanani ei saa tilaa teissä. 
JHN.8.38	Minä puhun, mitä minä olen nähnyt Isäni tykönä; niin tekin teette, mitä olette kuulleet omalta isältänne." 
JHN.8.39	He vastasivat ja sanoivat hänelle: "Aabraham on meidän isämme". Jeesus sanoi heille: "Jos olisitte Aabrahamin lapsia, niin te tekisitte Aabrahamin tekoja. 
JHN.8.40	Mutta nyt te tavoittelette minua tappaaksenne, miestä, joka on puhunut teille totuuden, jonka hän on kuullut Jumalalta. Niin ei Aabraham tehnyt. 
JHN.8.41	Te teette isänne tekoja." He sanoivat hänelle: "Me emme ole aviorikoksesta syntyneitä; meillä on yksi Isä, Jumala". 
JHN.8.42	Jeesus sanoi heille: "Jos Jumala olisi teidän Isänne, niin te rakastaisitte minua, sillä minä olen Jumalasta lähtenyt ja tullut; en minä ole itsestäni tullut, vaan hän on minut lähettänyt. 
JHN.8.43	Minkätähden te ette ymmärrä minun puhettani? Sentähden, että te ette kärsi kuulla minun sanaani. 
JHN.8.44	Te olette isästä perkeleestä, ja isänne himoja te tahdotte noudattaa. Hän on ollut murhaaja alusta asti, ja totuudessa hän ei pysy, koska hänessä ei totuutta ole. Kun hän puhuu valhetta, niin hän puhuu omaansa, sillä hän on valhettelija ja sen isä. 
JHN.8.45	Mutta minua te ette usko, sentähden että minä sanon totuuden. 
JHN.8.46	Kuka teistä voi näyttää minut syypääksi syntiin? Jos minä totuutta puhun, miksi ette minua usko? 
JHN.8.47	Joka on Jumalasta, se kuulee Jumalan sanat. Sentähden te ette kuule, koska ette ole Jumalasta."
JHN.8.49	Jeesus vastasi: "Minussa ei ole riivaajaa, vaan minä kunnioitan Isääni, ja te häpäisette minua. 
JHN.8.50	Mutta minä en etsi omaa kunniaani; yksi on, joka etsii ja tuomitsee. 
JHN.8.51	Totisesti, totisesti minä sanon teille: jos joku pitää minun sanani, hän ei ikinä näe kuolemaa." 
JHN.8.52	Juutalaiset sanoivat hänelle: "Nyt me ymmärrämme, että sinussa on riivaaja. Aabraham on kuollut ja profeetat, ja sinä sanot: 'Jos joku pitää minun sanani, hän ei ikinä maista kuolemaa'. 
JHN.8.53	Oletko sinä suurempi kuin isämme Aabraham, joka on kuollut? Ja profeetat ovat kuolleet; keneksi sinä itsesi teet?" 
JHN.8.54	Jeesus vastasi: "Jos minä itse itselleni otan kunnian, niin minun kunniani ei ole mitään. Minun Isäni on se, joka minulle kunnian antaa, hän, josta te sanotte: 'Hän on meidän Jumalamme', 
JHN.8.55	ettekä tunne häntä; mutta minä tunnen hänet. Ja jos sanoisin, etten tunne häntä, niin minä olisin valhettelija niinkuin tekin; mutta minä tunnen hänet ja pidän hänen sanansa. 
JHN.8.56	Aabraham, teidän isänne, riemuitsi siitä, että hän oli näkevä minun päiväni; ja hän näki sen ja iloitsi." 
JHN.8.57	Niin juutalaiset sanoivat hänelle: "Et ole vielä viidenkymmenen vuoden vanha, ja olet nähnyt Aabrahamin!" 
JHN.8.58	Jeesus sanoi heille: "Totisesti, totisesti minä sanon teille: ennenkuin Aabraham syntyi, olen minä ollut". 
JHN.8.59	Silloin he poimivat kiviä heittääksensä häntä niillä; mutta Jeesus lymysi ja lähti pyhäköstä.
JHN.9.1	Ja ohi kulkiessaan hän näki miehen, joka syntymästään saakka oli ollut sokea. 
JHN.9.2	Ja hänen opetuslapsensa kysyivät häneltä sanoen: "Rabbi, kuka teki syntiä, tämäkö vai hänen vanhempansa, että hänen piti sokeana syntymän?" 
JHN.9.3	Jeesus vastasi: "Ei tämä tehnyt syntiä eivätkä hänen vanhempansa, vaan Jumalan tekojen piti tuleman hänessä julki. 
JHN.9.4	Niin kauan kuin päivä on, tulee meidän tehdä hänen tekojansa, joka on minut lähettänyt; tulee yö, jolloin ei kukaan voi työtä tehdä. 
JHN.9.5	Niin kauan kuin minä maailmassa olen, olen minä maailman valkeus." 
JHN.9.6	Tämän sanottuaan hän sylki maahan ja teki syljestä tahtaan ja siveli tahtaan hänen silmilleen 
JHN.9.7	ja sanoi hänelle: "Mene ja peseydy Siiloan lammikossa" — se on käännettynä: lähetetty. — Niin hän meni ja peseytyi ja palasi näkevänä.
JHN.9.8	Silloin naapurit ja ne, jotka ennen olivat nähneet hänet kerjääjänä, sanoivat: "Eikö tämä ole se, joka istui ja kerjäsi?" 
JHN.9.9	Toiset sanoivat: "Hän se on", toiset sanoivat: "Ei ole, vaan hän on hänen näköisensä". Hän itse sanoi: "Minä se olen". 
JHN.9.10	Niin he sanoivat hänelle: "Miten sinun silmäsi ovat auenneet?" 
JHN.9.11	Hän vastasi: "Se mies, jota kutsutaan Jeesukseksi, teki tahtaan ja voiteli minun silmäni ja sanoi minulle: 'Mene ja peseydy Siiloan lammikossa'; niin minä menin ja peseydyin ja sain näköni". 
JHN.9.12	He sanoivat hänelle: "Missä hän on?" Hän vastasi: "En tiedä".
JHN.9.13	Niin he veivät hänet, joka ennen oli ollut sokea, fariseusten luo. 
JHN.9.14	Ja se päivä, jona Jeesus teki tahtaan ja avasi hänen silmänsä, oli sapatti. 
JHN.9.15	Niin myöskin fariseukset kysyivät häneltä, miten hän oli saanut näkönsä. Ja hän sanoi heille: "Hän siveli tahtaan minun silmilleni, ja minä peseydyin, ja nyt minä näen". 
JHN.9.16	Niin muutamat fariseuksista sanoivat: "Se mies ei ole Jumalasta, koska hän ei pidä sapattia". Toiset sanoivat: "Kuinka voi syntinen ihminen tehdä senkaltaisia tunnustekoja?" Ja he olivat keskenänsä eri mieltä. 
JHN.9.17	Niin he taas sanoivat sokealle: "Mitä sinä sanot hänestä, koskapa hän avasi sinun silmäsi?" Ja hän sanoi: "Hän on profeetta". 
