GEN.1.2	Maa oli autio ja tyhjä, pimeys peitti syvyydet, ja Jumalan henki liikkui vetten yllä.
EZK.36.18	Minä syöksin vihani heidän ylleen, koska he olivat tahranneet maan veriteoillaan ja saastuttaneet sen epäjumalillaan. 
EZK.36.19	Minä karkotin heidät toisten kansojen sekaan, ja he hajaantuivat moniin maihin. Minä tuomitsin heidät sen mukaisesti kuin heidän tekonsa ja toimensa ansaitsivat. 
EZK.36.20	Mutta minkä kansojen keskelle joutuivatkin, he tahrasivat minun pyhän nimeni, sillä heistä sanottiin: ’Nämä ovat Herran kansaa, mutta heidän on täytynyt lähteä maastaan.’ 
EZK.36.21	Minä olin murheellinen, koska israelilaiset tahrasivat pyhän nimeni, minkä kansojen keskelle joutuivatkin.
EZK.36.23	Minä osoitan, miten pyhä on suuri nimeni, vaikka se on tahrattu kansojen keskuudessa – te olette tahranneet sen kansojen keskellä. Kansat tulevat tietämään, että minä olen Herra – näin sanoo Herra Jumala – kun minä siinä, mitä teille teen, osoitan pyhyyteni niiden nähden.
EZK.36.24	»Minä otan teidät vieraiden kansojen keskeltä, minä kokoan teidät kaikista maista ja tuon teidät omaan maahanne. 
EZK.36.25	Minä vihmon teidän päällenne puhdasta vettä, niin että te puhdistutte, minä puhdistan teidät kaikesta saastastanne ja epäjumalienne kaikesta iljettävyydestä. 
EZK.36.26	Minä annan teille uuden sydämen ja teidän sisimpäänne uuden hengen. Minä otan teidän rinnastanne kivisydämen pois ja annan tilalle elävän sydämen. 
EZK.36.27	Minä annan henkeni teidän sisimpäänne ja ohjaan teidät seuraamaan säädöksiäni, ottamaan varteen minun käskyni ja elämään niiden mukaan. 
EZK.36.28	Te saatte asua maassa, jonka minä olen isillenne antanut, te olette minun kansani ja minä olen teidän Jumalanne. 
EZK.36.29	Minä vapautan teidät kaikesta, mikä on teitä saastuttanut. Minä saatan viljan kasvamaan ja tuottamaan runsaan sadon, enää en anna teidän nähdä nälkää. 
EZK.36.30	Minä annan puihin paljon hedelmiä ja pelloille runsaan sadon, niin että te ette enää joudu kärsimään toisten kansojen pilkkaa nälänhädän vuoksi.
EZK.36.32	En minä teidän tähtenne tee sitä minkä teen, sanoo Herra Jumala, se teidän tulee tietää. Hävetkää, muistakaa vaellustanne ja hävetkää, israelilaiset!
EZK.36.33	»Näin sanoo Herra Jumala: Sinä päivänä, jona minä puhdistan teidät kaikesta syyllisyydestänne, minä tuon taas asukkaat kaupunkeihin, ja kaikki rauniot rakennetaan jälleen. 
EZK.36.34	Silloin muokataan pelloksi nuo hävitetyt maat, joiden autiuden on jokainen ohikulkija saattanut nähdä, 
EZK.36.35	ja ihmiset sanovat: ’Tuosta autiosta maastahan on tullut kuin Eedenin puutarha. Nuo tuhotut, raunioiksi revityt kaupungit ovat vahvoja linnoituksia, joissa asutaan jälleen.’ 
EZK.36.36	Kansat, jotka silloin vielä ovat ympärillänne, tulevat tietämään, että minä, Herra, olen rakentanut sen, mikä oli raunioina, ja istuttanut aution maan. Minä, Herra, olen puhunut, ja näin minä myös teen.
EZK.36.38	Niin kuin on uhrilampaita Jerusalemissa, niin kuin on laumoittain lampaita juhlan aikaan, niin on oleva rauniokaupungeissa laumoittain ihmisiä. Silloin he tietävät, että minä olen Herra.»
EZK.37.2	Hän kuljetti minua yltympäri niiden ylitse, ja minä näin, että luita oli laaksossa hyvin paljon ja että ne olivat rutikuivia.
EZK.37.3	Herra sanoi minulle: »Ihminen, voivatko nämä luut herätä eloon?» Minä vastasin: »Herra, sinä sen tiedät.» 
EZK.37.4	Hän sanoi: »Sano profeetan sana näille luille, sano niille: Te kuivat luut, kuulkaa Herran sana! 
EZK.37.5	Näin sanoo Herra Jumala näille luille: Minä annan teihin hengen, niin että te heräätte eloon. 
EZK.37.6	Minä panen teihin jänteet, kasvatan ympärillenne lihan ja peitän teidät nahalla, ja minä annan teihin hengen, niin että te heräätte eloon. Silloin te tiedätte, että minä olen Herra.»
EZK.37.7	Minä puhuin saamani käskyn mukaan, ja minun vielä puhuessani alkoi kuulua kovaa kalinaa, kun luut lähenivät toisiaan ja liittyivät yhteen nivel niveleltä. 
EZK.37.8	Minä näin, että niiden päälle kasvoi jänteet ja liha ja että nämä saivat nahan ympärilleen, mutta elämää niissä ei ollut.
EZK.37.9	Herra sanoi minulle: »Ihminen, kutsu sanallasi henkeä ja sano sille: Näin sanoo Herra Jumala: Tule, henki, tule taivaan neljältä tuulelta ja mene näihin surmattuihin, niin että ne heräävät eloon.» 
EZK.37.10	Minä puhuin niin kuin Herra minua käski, ja luihin tuli henki. Ne heräsivät eloon ja nousivat maasta, ja siinä oli luvuton ihmisjoukko.
EZK.37.12	Sen tähden julista heille: Näin sanoo Herra Jumala: Minä aukaisen teidän hautanne, päästän teidät, oman kansani, haudoistanne ja vien teidät Israelin maahan. 
EZK.37.13	Te tiedätte silloin, että minä olen Herra, kun minä aukaisen hautanne ja päästän teidät, kansani, haudoistanne. 
EZK.37.14	Minä panen teihin henkeni, niin että te heräätte eloon, ja vien teidät maahanne. Silloin te tiedätte, että minä, Herra, teen sen minkä olen luvannut tehdä. Näin sanoo Herra.»
EZK.37.15	Minulle tuli tämä Herran sana:
EZK.37.16	»Ihminen, ota puusauva ja kirjoita siihen: ’Juuda ja häneen liittyneet israelilaiset.’ Ota sitten toinen sauva ja kirjoita siihen, Efraimin sauvaan: ’Joosef ja häneen liittyneet Israelin heimot.’ 
EZK.37.17	Aseta ne toistensa jatkeeksi, niin että ne kädessäsi yhdistyvät kuin yhdeksi ja samaksi sauvaksi. 
EZK.37.18	Kun maanmiehesi sanovat sinulle: ’Kerro meille, mitä tällä tarkoitat’, 
EZK.37.19	anna heille vastaus: Näin sanoo Herra Jumala: Minä otan Joosefin ja hänen johtamiensa Israelin heimojen sauvan, sen, joka on Efraimin hallussa, ja liitän sen Juudan sauvan jatkeeksi, yhdistän ne kädessäni yhdeksi ja samaksi sauvaksi.
EZK.37.20	»Sauvojen, joihin sinä kirjoitat, tulee olla kädessäsi niin, että maanmiehesi näkevät ne, 
EZK.37.21	ja sinun tulee sanoa heille: Näin sanoo Herra Jumala: Minä otan israelilaiset niiden kansojen keskeltä, joiden sekaan he ovat joutuneet, minä kokoan heidät joka taholta ja tuon heidät omaan maahansa. 
EZK.37.22	Siinä maassa, Israelin vuorilla, minä teen heistä yhden kansan. Heillä kaikilla on oleva hallitsijanaan yhteinen kuningas, enää he eivät elä kahtena kansana eivätkä kahden kuninkaan alaisina. 
EZK.37.23	He eivät enää myöskään saastuta itseään epäjumalillaan ja iljettävillä patsaillaan eivätkä paljoilla rikkomuksillaan. Minä pyyhin pois heidän syntinsä ja rikkomuksensa, minä puhdistan heidät, ja heistä tulee minun kansani ja minä olen heidän Jumalansa.
EZK.37.25	He saavat asua maassa, jonka minä annoin palvelijalleni Jaakobille ja jossa teidän isänne ovat asuneet. He asuvat siinä ikiaikoihin saakka, he ja heidän lapsensa ja heidän lastensa lapset, ja minun palvelijani Daavid on heidän hallitsijansa ajasta aikaan.
EZK.37.27	Minun asuinsijani on heidän luonaan, minä olen heidän Jumalansa ja he ovat minun kansani. 
EZK.37.28	Kaikki kansat tietävät silloin, että minä olen Herra. Minä pyhitän Israelin, ja minun pyhäkköni on aina heidän keskellään.»
EZK.38.1	Minulle tuli tämä Herran sana:
EZK.38.2	»Ihminen, käännä katseesi kohti Magogin maata, kohti Gogia, Mesekin ja Tubalin ylintä ruhtinasta, ja julista hänelle tuomio. 
EZK.38.3	Sano hänelle: Näin sanoo Herra Jumala: Gog, Mesekin ja Tubalin ylin ruhtinas, minä käyn sinua vastaan! 
EZK.38.4	Minä kuljetan sinua paikasta toiseen, minä panen koukut leukoihisi ja tuon nähtäväksi sinut ja koko sotajoukkosi, hevosesi ja ratsumiehesi, kaikki täysissä varusteissa, koko suuren joukkosi pitkine ja pyöreine kilpineen, miekkamiehiä kaikki. 
EZK.38.5	Heidän kanssaan ovat Persian, Nubian ja Putin miehet, kaikilla kilvet ja kypärät, 
EZK.38.6	heidän kanssaan ovat Gomer ja Bet-Togarma, kaikki perimmän pohjoisen joukot – sinun kanssasi on monia kansoja.
EZK.38.7	»Valmistaudu, varustaudu, sinä ja kaikki sinun joukkosi, jotka ovat luoksesi kokoontuneet. Varaudu olemaan minun käytettävissäni, 
EZK.38.8	sillä aikojen kuluttua sinä saat kutsun ja tehtävän. Kun aika on täysi, sinä tulet sodan jäljiltä rakennettuun maahan, jonka asukkaat ovat palanneet monien kansojen keskeltä. Sinä tulet Israelin vuorille, jotka ovat pitkään olleet autioina mutta ovat saaneet väkensä takaisin kansojen keskeltä. Kaikki asuvat siellä turvallisin mielin. 
EZK.38.9	Silloin tulet sinä, hyökkäät kuin rajuilma, pilven lailla sinä peität koko maan. Sinä hyökkäät kaikkine joukkoinesi, ja sinun kanssasi on monia kansoja.
EZK.38.10	»Näin sanoo Herra Jumala: Sinä päivänä nousee mieleesi ilkeitä ajatuksia, sinä punot juonia 
EZK.38.11	ja sanot: ’Minä hyökkään suojattomaan maahan, käyn ahdistamaan sen asukkaita, jotka elävät rauhassa ja turvallisin mielin eivätkä suojaa itseään ympärysmuureilla, eivät portein eivätkä salvoin. 
EZK.38.12	Minä ryöstän sieltä kaiken ryöstettävän, rosvoan mitä on rosvottavissa.’ Sinä kohotat kätesi raunioita vastaan, jotka on jälleen asutettu, kohti kansaa, joka on koottu takaisin toisten kansojen keskeltä ja joka nyt asuu maan navalla ja on hankkinut karjaa ja vaurastunut. 
EZK.38.13	Kaikki Saban ja Dedanin kauppiaat ja Tarsisin mahtavat kauppamiehet sanovat sinulle: ’Aiotko ryöstää kaiken ryöstettävän, kokositko joukkosi rosvoamaan rosvottavan? Aiotko anastaa hopean ja kullan, kaapata karjan ja kaiken tavaran, ryöstää mahtavan saaliin?’
EZK.38.14	»Sen tähden, ihminen, julista Gogille: Näin sanoo Herra Jumala: Tuohon aikaan, kun minun kansani Israel elää turvallisin mielin, saat sinä kutsun. 
EZK.38.15	Sinä lähdet kotimaastasi pohjoisen periltä, ja sinun kanssasi lähtee monia kansoja, ratsumiehiä kaikki, suuri joukko, suunnaton armeija. 
EZK.38.16	Sinä hyökkäät minun kansaani Israelia vastaan ja peität pilven lailla koko maan. Tämä tapahtuu silloin kun aika on täysi, minä vien sinut silloin maatani vastaan, jotta kansat oppisivat tuntemaan minut. Siinä, mitä sinulle teen, Gog, minä osoitan pyhyyteni kaikkien kansojen nähden.
EZK.38.17	»Näin sanoo Herra Jumala: Juuri sinä olet se, josta minä muinoin puhuin palvelijoideni Israelin profeettojen suulla. He ennustivat, että minä tuon sinut Israelia vastaan. 
EZK.38.18	Ja sinä päivänä, jona Gog hyökkää Israelin maahan, syttyy minun vihani hehku – näin sanoo Herra Jumala. 
EZK.38.19	Täynnä vimmaa, vihaa leimuten minä vannon: tuona päivänä järisee koko Israelin maa. 
EZK.38.20	Minun edessäni vapisevat meren kalat ja taivaan linnut, metsän eläimet, kaikki maassa ryömivät matelijat ja kaikki ihmiset, jotka ovat maan päällä. Vuoret luhistuvat, pengermät sortuvat, ja kaikki muurit murenevat maan tasalle. 
EZK.38.21	Minä nostan kaikilla vuorillani miekat Gogia vastaan, ja kaikki kohottavat miekan ja käyvät toistensa kimppuun – näin sanoo Herra Jumala. 
EZK.38.22	Minä panen täytäntöön Gogin tuomion. Minä lähetän ruton ja vuodatan verta, minä syöksen hänen päälleen ja kaikkien hänen joukkojensa ja kaikkien häntä seuraavien kansojen päälle rankkasateita ja raekuuroja, tulta ja tulikiveä. 
EZK.38.23	Minä osoitan suuruuteni ja pyhyyteni, annan kaikkien kansojen tuntea, kuka minä olen. Ne tietävät silloin, että minä olen Herra.
EZK.39.1	»Ihminen, julista Gogille tuomio. Sano: Näin sanoo Herra Jumala: Gog, Mesekin ja Tubalin ylin ruhtinas, minä käyn sinua vastaan! 
EZK.39.2	Minä kuljetan sinua paikasta toiseen, minä talutan sinua, minä ajan sinut liikkeelle pohjoisen periltä ja tuon sinut Israelin vuorille. 
EZK.39.3	Siellä minä isken jousen vasemmasta kädestäsi ja sivallan oikeasta kädestäsi nuolet. 
EZK.39.4	Israelin vuorilla sinä kaadut, sinä ja kaikki sinun joukkosi ja kansat, jotka ovat mukanasi. Minä annan sinut petolintujen, kaikkien siivekkäiden ja kaikkien metsän eläinten ruoaksi. 
EZK.39.5	Sinä kaadut taistelukentällä, niin minä olen päättänyt, sanoo Herra Jumala.
EZK.39.6	»Minä sinkoan tulen Magogin maahan ja sytytän tuleen meren rannoilla asuvien kansojen maat. Silloin nuo kansat, jotka luulivat olevansa turvassa, tietävät, että minä olen Herra. 
EZK.39.7	Oman kansani Israelin minä opetan tuntemaan pyhän nimeni, enää minä en salli nimeäni häväistävän. Kaikki kansat tulevat tietämään, että minä olen Herra, Israelin Pyhä. 
EZK.39.8	Näin käy, sanoo Herra Jumala, näin tapahtuu. Se päivä tulee, josta minä olen puhunut.
EZK.39.9	»Israelilaiset lähtevät kaupungeistaan, sytyttävät tulen ja heittävät siihen aseet, pyöreät kilvet ja pitkät kilvet, jouset, nuolet, nuijat ja keihäät. Niitä riittää poltettavaksi seitsemän vuotta. 
EZK.39.10	He eivät käy kokoamassa risuja eivätkä kaada metsästä puita, vaan tekevät tulen aseista. He ryöstävät ryöstäjänsä, rosvoavat niiltä, jotka ovat heiltä rosvonneet. Näin sanoo Herra Jumala.
EZK.39.11	»Sinä päivänä minä osoitan Gogille Israelista hautapaikan, Abarimin laakson, joka on Kuolleestamerestä itään, ja se hauta sulkee kulkijoilta tien. Sinne haudataan Gog ja koko hänen korskea joukkonsa, ja sitä laaksoa kutsutaan Gogin joukkion laaksoksi. 
EZK.39.12	Israelilaiset hautaavat heidät puhdistaakseen maansa saastasta, ja tämä työ kestää seitsemän kuukautta. 
EZK.39.13	Maan kaikki asukkaat ovat hautaamassa kaatuneita, ja he saavat siitä kiitoksen sinä päivänä, jona minä tuon julki kunniani. Näin sanoo Herra Jumala.
EZK.39.14	»Noiden seitsemän kuukauden kuluttua on valittava miehiä, jotka työkseen kulkevat ympäri maata ja etsivät hautaamatta jääneitä, jotta nämäkin saataisiin haudatuksi ja maa tulisi puhtaaksi. 
EZK.39.15	Kun joku näistä miehistä näkee ihmisen luut, hänen tulee pystyttää niiden viereen merkki, jotta hautaajat tietävät viedä ne Gogin joukkion laaksoon. 
EZK.39.16	Onpa eräällä kaupungillakin sama nimi, Hamona
EZK.39.17	»Ihminen, näin sanoo Herra Jumala: Sano linnuille, kaikille siivekkäille, ja kaikille metsän pedoille: Tulkaa koolle, kokoontukaa kaikilta tahoilta teurasuhrille, jonka minä teitä varten teurastan, suurelle uhriaterialle Israelin vuorille. Syökää lihaa ja juokaa verta! 
EZK.39.18	Syökää sotasankarien lihaa, juokaa mahtavien ruhtinaiden verta – pässejä, karitsoja, pukkeja, härkiä, Basanin syöttiläitä kaikki! 
EZK.39.19	Te saatte syödä teurasuhristani, jonka minä teitä varten teurastan, te saatte syödä rasvaa kylläksenne ja juoda verta, kunnes juovutte. 
EZK.39.20	Minun pöydässäni te saatte syödä kyllälti hevosia ja ratsuja, sankareita ja sotureita. Näin sanoo Herra Jumala.
EZK.39.21	»Minä osoitan kansoille mahtini ja kunniani. Kaikki kansat saavat nähdä, miten minä panen täytäntöön tuomioni ja kohotan käteni vihollisiani vastaan. 
EZK.39.22	Siitä päivästä alkaen israelilaiset tietävät, että minä olen Herra, heidän Jumalansa, 
EZK.39.23	ja kaikki kansat saavat tietää, että israelilaiset joutuivat pakkosiirtolaisuuteen syntinsä tähden, siksi, että eivät pysyneet minulle uskollisina. Minä kätkin heiltä kasvoni ja annoin heidät vihollistensa käsiin, ja he kaatuivat kaikki miekkaan. 
EZK.39.24	Heidän saastaisuutensa ja heidän rikkomustensa tähden minä tein minkä tein, kätkin kasvoni heiltä.
EZK.39.25	»Sen tähden sanoo Herra Jumala: Nyt minä käännän Jaakobin kohtalon, armahdan koko Israelin heimon ja puolustan kiivaasti pyhän nimeni kunniaa. 
EZK.39.26	Niin israelilaiset saavat unohtaa häpeänsä ja kaiken uskottomuuden, jota ovat minua kohtaan osoittaneet, ja he saavat taas rauhassa asua omassa maassaan, eikä kukaan ahdista heitä. 
EZK.39.27	Kun minä tuon heidät takaisin kansojen keskeltä ja kokoan heidät vihollismaista, niin tällä, minkä heille teen, minä osoitan pyhyyteni kaikkien kansojen nähden. 
EZK.39.28	Ja israelilaiset tietävät, että minä olen Herra, heidän Jumalansa, sillä niin kuin minä vein heidät pakkosiirtolaisuuteen vieraiden kansojen keskelle, niin minä myös kokoan heidät taas omaan maahansa, yhtäkään unohtamatta. 
EZK.39.29	Enää en kätke heiltä kasvojani, vaan vuodatan henkeni Israelin heimon ylle. Näin sanoo Herra Jumala.»
EZK.40.1	Oli pakkosiirtolaisuutemme kahdeskymmenesviides vuosi, vuoden alku, kuukauden kymmenes päivä, ja Jerusalemin kukistumisesta oli kulunut neljätoista vuotta. Tuona päivänä Herra tarttui kädellään minuun ja vei minut 
EZK.40.2	näyssä Israelin maahan. Hän laski minut hyvin korkealle vuorelle, ja minä näin, että sen etelärinteelle oli rakennettu kaupunki.
EZK.40.3	Herra vei minut kaupunkiin, ja sen portilla seisoi mies, joka oli kuin pronssista valettu. Hänellä oli kädessään pellavanuora ja mittakeppi. 
EZK.40.4	Mies sanoi minulle: »Ihminen, katsele ja kuuntele tarkoin, paina mieleesi kaikki mitä sinulle näytän. Juuri siksi sinut on tuotu tänne, että näyttäisin sinulle sen. Ja kaikesta, minkä näet, sinun on tehtävä selko Israelin kansalle.»
EZK.40.5	Minä näin, että siellä oli temppelialue ja sen ympärillä joka puolella muuri. Miehen kädessä oleva mittakeppi oli kuusi kyynärää pitkä, ja kyynärä oli kämmenenleveyden verran tavallista kyynärää pitempi. Hän mittasi kepillä muurin, ja se oli kuusi kyynärää paksu ja kuusi kyynärää korkea.
EZK.40.6	Sitten mies meni idän puoleiselle portille, nousi sen portaat ja mittasi porttiaukon. Se oli kuuden kyynärän syvyinen, samansyvyinen kuin muut porttiaukot. 
EZK.40.7	Porttirakennuksen sivuhuoneet olivat mittakepin pituisia ja levyisiä, ja huoneiden väliseinät olivat viisi kyynärää paksut. Eteishalliin johtava porttiaukko oli sekin kuuden kyynärän syvyinen. 
EZK.40.8	Sitten hän mittasi itse eteishallin. 
EZK.40.9	Se oli ovelta ovelle kahdeksan kyynärää, ja sen pihanpuoleiset seinät olivat kaksikyynäräiset. Tämä eteishalli oli esipihan puolella. 
EZK.40.10	Itäportissa oli molemmin puolin kolme sivuhuonetta, kaikki samankokoisia, ja myös väliseinät olivat samanpaksuiset molemmin puolin.
EZK.40.11	Mies mittasi porttiaukon leveyden, ja se oli kymmenen kyynärää, ja kaikkiaan portti oli kolmentoista kyynärän levyinen. 
EZK.40.12	Sivuhuoneiden edessä oli kyynärän korkuinen aitaus, yhtäläinen käytävän molemmin puolin, ja kukin huone oli kuusi kyynärää pitkä ja kuusi leveä. 
EZK.40.13	Hän mittasi sitten etäisyyden portin sivuhuoneen takaseinästä vastapäisen huoneen takaseinään, katonrajasta katonrajaan, ja se oli kaksikymmentäviisi kyynärää. Oviaukot olivat aina kohdakkain. 
EZK.40.14	Tämän jälkeen hän mittasi eteishallin, joka pisti sisälle esipihaan, ja se oli kaksikymmentä kyynärää leveä. 
EZK.40.15	Portin ulommasta sisäänkäynnistä oli eteishallin pihanpuoleiselle ovelle viisikymmentä kyynärää. 
EZK.40.16	Sivuhuoneissa ja eteishallissa oli molemmin puolin ristikkoikkunat esipihaan päin, ja väliseinissä oli palmunlehväkoristeet.
EZK.40.17	Mies vei minut sitten ulompaan esipihaan. Pihaa kiersi kiveys ja huonerivi, kolmekymmentä huonetta, joiden ovet olivat kiveykselle päin. 
EZK.40.18	Tämä temppelialueen alempi kiveys alkoi porttirakennusten sivuilta ja ulottui pihaan yhtä leveälti kuin ne. 
EZK.40.19	Mies mittasi etäisyyden alaportin päädystä sisemmän esipihan portin ulkoseinään, ja se oli sata kyynärää. Tällainen oli temppelialueen itäinen portti.
EZK.40.19	Sitten oli vuorossa pohjoisportti, 
EZK.40.20	se, joka pohjoisen puolelta johti ulompaan esipihaan. Mies mittasi sen pituuden ja leveyden. 
EZK.40.21	Siinä oli molemmin puolin kolme sivuhuonetta, ja nämä samoin kuin väliseinät ja eteishalli olivat mitoiltaan samanlaiset kuin ensimmäisessä portissa. Porttirakennus oli viisikymmentä kyynärää pitkä ja kaksikymmentäviisi kyynärää leveä. 
EZK.40.22	Eteishalli, ikkunat ja palmunlehväkoristeet olivat samankokoiset kuin siinä portissa, joka aukeaa itään. Tähänkin porttiin johti seitsemän porrasta, ja eteishalli oli esipihan puolella. 
EZK.40.23	Samalla tavoin kuin temppelialueen itäosassa oli pohjoisporttia vastapäätä portti, joka johti sisempään esipihaan. Mies mittasi matkan portilta portille, ja se oli sata kyynärää.
EZK.40.24	Sitten mies vei minut etelän puolelle, ja siellä oli portti, joka antoi etelään. Hän mittasi sen, ja portti, sen väliseinät ja eteishalli olivat samankokoiset kuin aikaisemmat. 
EZK.40.25	Portissa ja sen eteishallissa oli molemmin puolin samanlaiset ikkunat kuin toisissa porteissa, ja koko rakennus oli viisikymmentä kyynärää pitkä ja kaksikymmentäviisi kyynärää leveä. 
EZK.40.26	Siihen johti seitsemän porrasta, ja eteishalli oli esipihan puolella. Portin väliseinissä käytävän molemmin puolin oli palmunlehväkoristeet. 
EZK.40.27	Myös täällä, etelän puolella, oli portti, joka johti sisempään esipihaan, ja kun mies mittasi näiden eteläisten porttien välin, se oli sata kyynärää.
EZK.40.28	Mies vei minut sitten eteläportista sisempään esipihaan. Hän mittasi myös tämän portin, ja se oli samankokoinen kuin edelliset. 
EZK.40.29	Siinä oli samanlaiset sivuhuoneet ja väliseinät ja samanlainen eteishalli kuin toisissa porteissa, siinä ja sen eteishallissa oli ikkunat molemmin puolin, ja koko rakennus oli viisikymmentä kyynärää pitkä ja kaksikymmentäviisi kyynärää leveä. 
EZK.40.30	Eteishallin leveys oli jokaisessa portissa kaksikymmentäviisi kyynärää, ja ovelta ovelle halli oli viisi kyynärää. 
EZK.40.31	Tämä halli oli ulomman esipihan puolella, sen väliseinissä oli palmunlehväkoristeet, ja siihen johti kahdeksan porrasta.
EZK.40.32	Sitten mies vei minut sisempään esipihaan idän puolelta, mittasi portin ja sai samat mitat kuin muistakin porteista. 
EZK.40.33	Sivuhuoneet, väliseinät ja eteishalli olivat nekin mitoiltaan samanlaiset kuin kaikkialla muualla. Portissa ja sen eteishallissa oli ikkunat molemmin puolin, ja koko rakennus oli viisikymmentä kyynärää pitkä ja kaksikymmentäviisi kyynärää leveä. 
EZK.40.34	Eteishalli oli ulomman esipihan puolella, väliseinissä oli käytävän molemmin puolin palmunlehväkoristeet, ja porttiin johti kahdeksan porrasta.
EZK.40.35	Mies vei sitten minut pohjoiselle portille, mittasi sen ja sai samat mitat kuin muista porteista. 
EZK.40.36	Siinäkin oli sivuhuoneet, väliseinät, eteishalli ja ikkunat molemmin puolin, ja koko rakennus oli viisikymmentä kyynärää pitkä ja kaksikymmentäviisi kyynärää leveä. 
EZK.40.37	Eteishalli oli ulomman esipihan puolella, väliseinissä oli käytävän molemmin puolin palmunlehväkoristeet, ja porttiin johti kahdeksan porrasta.
EZK.40.38	Porttirakennuksen eteishallista vei ovi huoneeseen, jossa huuhdellaan polttouhrit. 
EZK.40.39	Eteishallissa oli kummallakin puolen kaksi pöytää, joiden päällä teurastetaan polttouhrit, syntiuhrit ja hyvitysuhrit. 
EZK.40.40	Ulkona, pohjoisportin eteishallin seinustalla oli kummallakin puolen ovea vielä kaksi pöytää. 
EZK.40.41	Näitä pöytiä, joiden päällä uhrit teurastetaan, oli siis kaikkiaan kahdeksan, neljä rakennuksen kummallakin sivustalla. 
EZK.40.42	Polttouhria varten oli edelleen neljä kivestä hakattua pöytää, kaikki puolitoista kyynärää pitkiä, puolitoista kyynärää leveitä ja yhden kyynärän korkuisia. Välineitä, joilla polttouhrit ja teurasuhrit teurastetaan, pidetään 
EZK.40.43	vaaksan mittaisissa nauloissa, jotka kiertävät rivinä huoneen seiniä. Pöydille pannaan uhrilahjaksi tuotujen eläinten lihat.
EZK.40.44	Kahden sisemmän portin sivustalla oli sisempään esipihaan aukeava huone. Toinen huone ulkoni pohjoisportin seinästä ja avautui etelään, toinen eteläportin seinästä ja avautui pohjoiseen. 
EZK.40.45	Mies selitti minulle: »Tämä huone, jonka ovi on etelään päin, on temppelipalvelusta toimittavia pappeja varten. 
EZK.40.46	Huone, jonka ovi on pohjoiseen, on alttaripalvelusta toimittavien pappien huone. Nämä papit ovat Sadokin jälkeläisiä, niitä leeviläisiä, jotka saavat tulla Herran eteen toimittamaan palvelusta.»
EZK.40.47	Mies mittasi esipihan, ja se oli sata kyynärää pitkä ja sata leveä, neliön muotoinen. Alttari oli temppelin edessä. 
EZK.40.48	Hän vei minut temppelin eteishalliin ja mittasi sen etuseinän, ja se oli oven kummallakin puolen viisi kyynärää paksu. Oviaukko oli neljätoista kyynärää leveä, ja sen molemmin puolin oli kolmen kyynärän levyinen seinä. 
EZK.40.49	Eteishalli oli kaikkiaan kaksikymmentä kyynärää leveä, ja ovelta ovelle se oli kaksitoista kyynärää. Sinne johti kymmenen porrasta. Sisäänkäynnin sivuilla oli pylväät, yksi kummallakin puolella.
EZK.41.1	Mies vei minut sisälle itse temppeliin ja mittasi sen oviseinän. Se oli kuusi kyynärää paksu oven molemmin puolin; tämä oli myös oviaukon syvyys. 
EZK.41.2	Oviaukon leveys oli kymmenen kyynärää, ja oven molemmin puolin oli seinää viiden kyynärän leveydeltä. Hän mittasi sitten temppelisalin ja sai sen pituudeksi neljäkymmentä kyynärää ja leveydeksi kaksikymmentä kyynärää.
EZK.41.3	Sitten mies meni perimmäiseen huoneeseen. Hän mittasi oven kummaltakin puolelta seinän, ja se oli kaksi kyynärää paksu. Ovi oli kuuden kyynärän levyinen, ja seinää oli sen molemmin puolin seitsemän kyynärää. 
EZK.41.4	Sitten hän mittasi itse huoneen ja sai sen pituudeksi kaksikymmentä kyynärää ja leveydeksi temppelisalin puoleiselta seinältä mitattuna samoin kaksikymmentä kyynärää. Mies sanoi minulle: »Tämä on kaikkeinpyhin.»
EZK.41.5	Mies mittasi temppelin seinän, ja se oli kuusi kyynärää paksu. Temppeliä kiertävän kylkirakennuksen leveys oli neljä kyynärää. 
EZK.41.6	Kylkirakennuksessa oli kolmessa kerroksessa kaikkiaan kolmekymmentä huonetta. Temppelin ulkoseinä oli kauttaaltaan porrastettu. Huoneiden lattiat olivat porrastusten varassa, niin ettei niitä tarvinnut kiinnittää temppelin seinään. 
EZK.41.7	Huoneet kiersivät temppeliä ja levenivät kerros kerrokselta. Mitä ylemmäs mentiin, sitä leveämpiä nämä temppeliä kiertävät huoneet olivat, ja alimmasta kerroksesta noustiin ylimpään keskikerroksen kautta.
EZK.41.8	Minä näin, että rakennusta reunusti joka puolelta korkea tasanne. Se ulkoni kylkirakennuksen seinästä täyden mittakepin verran, siis kuusi kyynärää. 
EZK.41.9	Kylkirakennuksen ulkoseinä oli viisi kyynärää paksu. 
EZK.41.10	Tämän ja muiden rakennusten välissä oli kaksikymmentä kyynärää leveä avoin tasanne, joka kiersi koko rakennuksen. 
EZK.41.11	Kylkirakennuksesta vei tälle tasanteelle kaksi ovea, toinen pohjoiseen, toinen etelään päin, ja sitä reunusti viisi kyynärää paksu muuri. 
EZK.41.12	Lännen puolella tasanteen reunassa oli rakennus, jota ympäröivät viiden kyynärän paksuiset seinät ja joka oli seitsemänkymmentä kyynärää pitkä ja yhdeksänkymmentä kyynärää leveä.
