GEN.1.1	Nel principio Dio creò i cieli e la terra.
MAT.10.4	Simone lo Zelota
MAT.10.5	Questi sono i dodici che Gesù mandò, dando loro queste istruzioni: «Non andate tra i pagani e non entrate in nessuna città dei Samaritani, 
MAT.10.6	ma andate piuttosto verso le pecore perdute della casa d’Israele. 
MAT.10.7	Andando, predicate e dite: “Il regno dei cieli è vicino”. 
MAT.10.8	Guarite gli ammalati, risuscitate i morti, purificate i lebbrosi, scacciate i demòni; gratuitamente avete ricevuto, gratuitamente date. 
MAT.10.9	Non provvedetevi d’oro, né d’argento, né di rame nelle vostre cinture, 
MAT.10.10	né di sacca da viaggio, né di due tuniche, né di calzari, né di bastone, perché l’operaio è degno del suo nutrimento.
MAT.10.11	In qualunque città o villaggio sarete entrati, informatevi se vi sia qualcuno degno, e lì rimanete finché partirete. 
MAT.10.12	Quando entrerete nella casa, salutatela
MAT.10.13	Se quella casa ne è degna, venga la vostra pace su di essa; se invece non ne è degna, la vostra pace torni a voi. 
MAT.10.14	Se qualcuno non vi riceve né ascolta le vostre parole, uscendo da quella casa o da quella città, scuotete la polvere dai vostri piedi
MAT.10.15	In verità vi dico che, nel giorno del giudizio, la sorte del paese di Sodoma e Gomorra
MAT.10.16	«Ecco, io vi mando come pecore in mezzo ai lupi; siate dunque prudenti come i serpenti e semplici come le colombe. 
MAT.10.17	Guardatevi dagli uomini; perché vi metteranno in mano ai tribunali e vi flagelleranno nelle loro sinagoghe; 
MAT.10.18	e sarete condotti davanti a governatori e re per causa mia, per servire di testimonianza davanti a loro e ai pagani. 
MAT.10.19	Ma quando vi metteranno nelle loro mani, non preoccupatevi di come parlerete o di quello che dovrete dire; perché in quel momento stesso vi sarà dato ciò che dovrete dire. 
MAT.10.20	Poiché non siete voi che parlate, ma è lo Spirito del Padre vostro che parla in voi.
MAT.10.21	Il fratello darà il fratello a morte, e il padre il figlio; i figli insorgeranno contro i genitori e li faranno morire. 
MAT.10.22	Sarete odiati da tutti a causa del mio nome; ma chi avrà perseverato sino alla fine sarà salvato. 
MAT.10.23	Quando vi perseguiteranno in una città, fuggite in un’altra; perché io vi dico in verità che non avrete finito di percorrere le città d’Israele, prima che il Figlio dell’uomo sia venuto.
MAT.10.24	Un discepolo non è superiore al maestro, né un servo superiore al suo signore. 
MAT.10.25	Basti al discepolo essere come il suo maestro e al servo essere come il suo signore. Se hanno chiamato Belzebù
MAT.10.26	Non li temete dunque; perché non c’è niente di nascosto che non debba essere scoperto, né di occulto che non debba essere conosciuto. 
MAT.10.27	Quello che io vi dico nelle tenebre, ditelo nella luce; e quello che udite dettovi all’orecchio, predicatelo sui tetti. 
MAT.10.28	E non temete coloro che uccidono il corpo, ma non possono uccidere l’anima; temete piuttosto colui che può far perire l’anima e il corpo nella geenna. 
MAT.10.29	Due passeri non si vendono per un soldo? Eppure non ne cade uno solo in terra senza il volere del Padre vostro. 
MAT.10.30	Quanto a voi, perfino i capelli del vostro capo sono tutti contati. 
MAT.10.31	Non temete dunque; voi valete più di molti passeri.
MAT.10.32	Chi dunque mi riconoscerà davanti agli uomini, anch’io riconoscerò lui davanti al Padre mio che è nei cieli. 
MAT.10.33	Ma chiunque mi rinnegherà davanti agli uomini, anch’io rinnegherò lui davanti al Padre mio che è nei cieli.
MAT.10.34	Non pensate che io sia venuto a mettere pace sulla terra; non sono venuto a mettere pace, ma spada. 
MAT.10.35	Perché sono venuto a mettere 
MAT.10.37	Chi ama padre o madre più di me, non è degno di me; e chi ama figlio o figlia più di me, non è degno di me. 
MAT.10.38	Chi non prende la sua croce e non viene dietro a me, non è degno di me. 
MAT.10.39	Chi avrà trovato la sua vita la perderà; e chi avrà perduto la sua vita per causa mia, la troverà.
MAT.10.40	Chi riceve voi, riceve me; e chi riceve me, riceve colui che mi ha mandato. 
MAT.10.41	Chi riceve un profeta perché è un profeta, riceverà premio di profeta; e chi riceve un giusto perché è un giusto, riceverà premio di giusto. 
MAT.10.42	E chi avrà dato da bere anche un solo bicchiere d’acqua fresca a uno di questi piccoli, perché è un discepolo, io vi dico in verità che non perderà affatto il suo premio».
MAT.11.1	Quando Gesù ebbe finito di dare istruzioni ai suoi dodici discepoli, se ne andò di là per insegnare e predicare nelle loro città.
MAT.11.2	Giovanni
MAT.11.3	«Sei tu colui che deve venire, o dobbiamo aspettare un altro?» 
MAT.11.4	Gesù rispose loro: «Andate a riferire a Giovanni quello che udite e vedete: 
MAT.11.5	i ciechi recuperano la vista e gli zoppi camminano; i lebbrosi sono purificati e i sordi odono; i morti risuscitano e il vangelo è annunciato ai poveri
MAT.11.6	Beato colui che non si sarà scandalizzato di me!»
MAT.11.7	Mentre essi se ne andavano, Gesù cominciò a parlare di Giovanni alla folla: «Che cosa andaste a vedere nel deserto? Una canna agitata dal vento? 
MAT.11.8	Ma che cosa andaste a vedere? Un uomo avvolto in morbide vesti? Ecco, quelli che portano delle vesti morbide stanno nei palazzi dei re. 
MAT.11.9	Ma che cosa andaste a vedere? Un profeta? Sì, vi dico, e più che un profeta. 
MAT.11.10	Egli è colui del quale è scritto: 
MAT.11.11	In verità io vi dico che fra i nati di donna non è sorto nessuno maggiore di Giovanni il battista; eppure il più piccolo nel regno dei cieli è più grande di lui. 
MAT.11.12	Dai giorni di Giovanni il battista fino ad ora, il regno dei cieli è preso a forza e i violenti se ne impadroniscono. 
MAT.11.13	Poiché tutti i profeti e la legge hanno profetizzato fino a Giovanni. 
MAT.11.14	Se lo volete accettare, egli è l’Elia che doveva venire
MAT.11.15	Chi ha orecchi oda.
MAT.11.16	Ma a chi paragonerò questa generazione? È simile ai bambini seduti nelle piazze che gridano ai loro compagni e dicono: 
MAT.11.17	“Vi abbiamo suonato il flauto e non avete ballato; abbiamo cantato dei lamenti e non avete pianto”. 
MAT.11.18	Difatti è venuto Giovanni, che non mangia e non beve, e dicono: “Ha un demonio!” 
MAT.11.19	È venuto il Figlio dell’uomo, che mangia e beve, e dicono: “Ecco un mangione e un beone, un amico dei pubblicani e dei peccatori!” Ma la sapienza è stata giustificata dalle sue opere».
MAT.11.20	Allora egli prese a rimproverare le città nelle quali era stata fatta la maggior parte delle sue opere potenti, perché non si erano ravvedute: 
MAT.11.21	«Guai a te, Corazin! Guai a te, Betsaida! perché se in Tiro e Sidone fossero state fatte le opere potenti compiute tra di voi, già da molto tempo si sarebbero pentite, con sacco e cenere
MAT.11.22	Perciò vi dichiaro che nel giorno del giudizio la sorte di Tiro e di Sidone sarà più tollerabile della vostra. 
MAT.11.23	E tu, o Capernaum, sarai forse innalzata fino al cielo? No, tu scenderai fino all’Ades
MAT.11.24	Perciò vi dichiaro che nel giorno del giudizio la sorte del paese di Sodoma sarà più tollerabile della tua».
MAT.11.25	In quel tempo Gesù prese a dire: «Io ti rendo lode, o Padre, Signore del cielo e della terra, perché hai nascosto queste cose ai sapienti e agli intelligenti, e le hai rivelate ai piccoli. 
MAT.11.26	Sì, Padre, perché così ti è piaciuto. 
MAT.11.27	Ogni cosa mi è stata data in mano dal Padre mio; e nessuno conosce il Figlio, se non il Padre; e nessuno conosce il Padre, se non il Figlio, e colui al quale il Figlio voglia rivelarlo.
MAT.11.28	Venite a me, voi tutti che siete affaticati e oppressi, e io vi darò riposo. 
MAT.11.29	Prendete su di voi il mio giogo e imparate da me, perché io sono mansueto e umile di cuore; e voi troverete riposo per le anime vostre
MAT.11.30	poiché il mio giogo è dolce e il mio carico è leggero».
MAT.12.1	In quel tempo Gesù attraversò di sabato dei campi di grano; e i suoi discepoli ebbero fame e si misero a strappare delle spighe e a mangiare. 
MAT.12.2	I farisei, veduto ciò, gli dissero: «Guarda! I tuoi discepoli fanno quello che non è lecito fare di sabato
MAT.12.3	Ma egli rispose loro: «Non avete letto quello che fece Davide, quando ebbe fame, egli insieme a coloro che erano con lui? 
MAT.12.4	Come egli entrò nella casa di Dio e come mangiarono i pani di presentazione che non era lecito mangiare né a lui né a quelli che erano con lui, ma solamente ai sacerdoti? 
MAT.12.5	O non avete letto nella legge che di sabato i sacerdoti nel tempio violano il sabato e non ne sono colpevoli? 
MAT.12.6	Ora io vi dico che c’è qui qualcosa di più grande del tempio. 
MAT.12.7	Se sapeste che cosa significa: 
MAT.12.8	perché il Figlio dell’uomo è signore del sabato».
MAT.12.9	Poi, allontanatosi di là, giunse nella loro sinagoga. 
MAT.12.10	Ed ecco, c’era un uomo che aveva una mano paralizzata. Allora essi, per poterlo accusare, fecero a Gesù questa domanda: «È lecito fare guarigioni in giorno di sabato?» 
MAT.12.11	Ed egli disse loro: «Chi è colui tra di voi che, avendo una pecora, se questa cade in giorno di sabato in una fossa, non la prenda e la tiri fuori? 
MAT.12.12	Certo un uomo vale molto più di una pecora! È dunque lecito far del bene in giorno di sabato». 
MAT.12.13	Allora disse a quell’uomo: «Stendi la mano». Ed egli la stese, e la mano ritornò sana come l’altra.
MAT.12.14	I farisei, usciti, tennero consiglio contro di lui per farlo morire. 
MAT.12.15	Ma Gesù, saputolo, si allontanò di là; una gran folla lo seguì ed egli li guarì tutti; 
MAT.12.16	e ordinò loro di non divulgarlo, 
MAT.12.17	affinché si adempisse quanto era stato detto per bocca del profeta Isaia:
MAT.12.22	Allora gli fu presentato un indemoniato, cieco e muto; ed egli lo guarì, in modo che il muto parlava e vedeva. 
MAT.12.23	E tutta la folla stupiva e diceva: «Non è questi il Figlio di Davide?»
MAT.12.24	Ma i farisei, udendo ciò, dissero: «Costui non scaccia i demòni se non per l’aiuto di Belzebù, principe dei demòni». 
MAT.12.25	Ma egli, conoscendo i loro pensieri, disse loro: «Ogni regno diviso contro se stesso va in rovina; e ogni città o casa divisa contro se stessa non potrà reggere. 
MAT.12.26	Se Satana scaccia Satana, egli è diviso contro se stesso; come dunque potrà reggere il suo regno? 
MAT.12.27	E se io scaccio i demòni con l’aiuto di Belzebù, con l’aiuto di chi li scacciano i vostri figli? Per questo essi stessi saranno i vostri giudici. 
MAT.12.28	Ma se è con l’aiuto dello Spirito di Dio che io scaccio i demòni, è dunque giunto fino a voi il regno di Dio. 
MAT.12.29	Oppure, come può uno entrare nella casa dell’uomo forte e rubargli la sua roba, se prima non lega l’uomo forte? Allora soltanto gli saccheggerà la casa. 
MAT.12.30	Chi non è con me è contro di me; e chi non raccoglie con me, disperde.
MAT.12.31	«Perciò io vi dico: ogni peccato e bestemmia sarà perdonata agli uomini; ma la bestemmia contro lo Spirito non sarà perdonata. 
MAT.12.32	A chiunque parli contro il Figlio dell’uomo, sarà perdonato; ma a chiunque parli contro lo Spirito Santo, non sarà perdonato né in questo mondo né in quello futuro. 
MAT.12.33	O fate l’albero buono e buono pure il suo frutto, o fate l’albero cattivo e cattivo pure il suo frutto; perché dal frutto si conosce l’albero. 
MAT.12.34	Razza di vipere, come potete dire cose buone essendo malvagi? Poiché dall’abbondanza del cuore la bocca parla. 
MAT.12.35	L’uomo buono dal suo buon tesoro trae cose buone; e l’uomo malvagio dal suo malvagio tesoro trae cose malvagie. 
MAT.12.36	Io vi dico che di ogni parola oziosa che avranno detta, gli uomini renderanno conto nel giorno del giudizio; 
MAT.12.37	poiché in base alle tue parole sarai giustificato, e in base alle tue parole sarai condannato».
MAT.12.38	Allora alcuni scribi e farisei presero a dirgli: «Maestro, noi vorremmo vedere da te un segno». 
MAT.12.39	Ma egli rispose loro: «Una generazione malvagia e adultera chiede un segno; segno non le sarà dato, se non il segno del profeta Giona. 
MAT.12.40	Poiché, come Giona stette nel ventre del pesce tre giorni e tre notti
MAT.12.41	I Niniviti compariranno nel giudizio con questa generazione e la condanneranno, perché essi si ravvidero alla predicazione di Giona; ed ecco, qui c’è più che Giona! 
MAT.12.42	La regina del mezzogiorno
MAT.12.43	«Quando lo spirito immondo esce da un uomo, si aggira per luoghi aridi cercando riposo e non lo trova. 
MAT.12.44	Allora dice: “Ritornerò nella mia casa da dove sono uscito”; e quando ci arriva, la trova vuota, spazzata e adorna. 
MAT.12.45	Allora va e prende con sé altri sette spiriti peggiori di lui, ed entrati vi prendono dimora; e l’ultima condizione di quell’uomo diventa peggiore della prima. Così avverrà anche a questa malvagia generazione».
MAT.12.46	Mentre Gesù parlava ancora alle folle, ecco sua madre e i suoi fratelli che, stando di fuori, cercavano di parlargli. 
MAT.12.47	{E uno gli disse: «Tua madre e i tuoi fratelli sono là fuori che cercano di parlarti».} 
MAT.12.48	Ma egli rispose a colui che gli parlava: «Chi è mia madre, e chi sono i miei fratelli?» 
MAT.12.49	E, stendendo la mano verso i suoi discepoli, disse: «Ecco mia madre e i miei fratelli! 
MAT.12.50	Poiché chiunque avrà fatto la volontà del Padre mio, che è nei cieli, mi è fratello, sorella e madre».
MAT.13.1	In quel giorno Gesù, uscito di casa, si mise a sedere presso il mare; 
MAT.13.2	e una grande folla si radunò intorno a lui; cosicché egli, salito su una barca, vi sedette; e tutta la folla stava sulla riva. 
MAT.13.3	Egli parlò loro di molte cose in parabole
MAT.13.3	«Il seminatore uscì a seminare. 
MAT.13.4	Mentre seminava, una parte del seme cadde lungo la strada; gli uccelli vennero e la mangiarono. 
MAT.13.5	Un’altra cadde in luoghi rocciosi, dove non aveva molta terra; e subito spuntò, perché non aveva terreno profondo; 
MAT.13.6	ma, levatosi il sole, fu bruciata; e, non avendo radice, inaridì. 
MAT.13.7	Un’altra cadde tra le spine; e le spine crebbero e la soffocarono. 
MAT.13.8	Un’altra cadde nella buona terra e portò frutto, dando il cento, il sessanta, il trenta per uno. 
MAT.13.9	Chi ha orecchi oda».
MAT.13.10	Allora i discepoli si avvicinarono e gli dissero: «Perché parli loro in parabole?» 
MAT.13.11	Egli rispose loro: «Perché a voi è dato di conoscere i misteri del regno dei cieli; ma a loro non è dato. 
MAT.13.12	Perché a chiunque ha, sarà dato e sarà nell’abbondanza; ma a chiunque non ha, sarà tolto anche quello che ha. 
MAT.13.13	Per questo parlo loro in parabole: perché, vedendo, non vedono; e udendo, non odono né comprendono. 
MAT.13.14	E si adempie in loro la profezia d’Isaia che dice: 
MAT.13.16	Ma beati gli occhi vostri, perché vedono; e i vostri orecchi, perché odono! 
MAT.13.17	In verità io vi dico che molti profeti e giusti desiderarono vedere le cose che voi vedete, e non le videro; e udire le cose che voi udite, e non le udirono.
MAT.13.18	«Voi dunque ascoltate che cosa significhi la parabola del seminatore! 
MAT.13.19	Tutte le volte che uno ode la parola del regno e non la comprende, viene il maligno e porta via quello che è stato seminato nel cuore di lui: questo è quello seminato lungo la strada. 
MAT.13.20	Quello seminato in luoghi rocciosi è colui che ode la parola e subito la riceve con gioia, 
MAT.13.21	però non ha radice in sé ed è di corta durata; e quando giunge la tribolazione o persecuzione a motivo della parola, è subito sviato. 
MAT.13.22	Quello seminato tra le spine è colui che ode la parola; poi le ansiose preoccupazioni mondane e l’inganno delle ricchezze soffocano la parola, che rimane infruttuosa. 
MAT.13.23	Quello invece seminato nella terra buona è colui che ode la parola e la comprende; egli quindi porta del frutto e rende il cento, il sessanta e il trenta per uno».
MAT.13.24	Egli propose loro un’altra parabola, dicendo: «Il regno dei cieli può essere paragonato ad un uomo che aveva seminato buon seme nel suo campo. 
MAT.13.25	Ma, mentre gli uomini dormivano, venne il suo nemico e seminò della zizzania in mezzo al grano e se ne andò. 
MAT.13.26	Quando l’erba germogliò ed ebbe fatto frutto, allora apparve anche la zizzania. 
MAT.13.27	E i servi del padrone di casa vennero a dirgli: “Signore, non avevi seminato buon seme nel tuo campo? Come mai, dunque, c’è della zizzania?” 
MAT.13.28	Egli disse loro: “Un nemico ha fatto questo”. I servi gli dissero: “Vuoi che andiamo a coglierla?” 
MAT.13.29	Ma egli rispose: “No, affinché, cogliendo la zizzania, non sradichiate insieme ad essa anche il grano. 
MAT.13.30	Lasciate che tutti e due crescano insieme fino alla mietitura; e, al tempo della mietitura, dirò ai mietitori: ‘Cogliete prima la zizzania, e legatela in fasci per bruciarla; ma il grano, raccoglietelo nel mio granaio’”».
MAT.13.31	Egli propose loro un’altra parabola, dicendo: «Il regno dei cieli è simile a un granello di senape che un uomo ha preso e seminato nel suo campo. 
MAT.13.32	Esso è il più piccolo di tutti i semi; ma, quando è cresciuto, è maggiore degli ortaggi e diventa un albero; tanto che gli uccelli del cielo vengono a ripararsi tra i suoi rami».
MAT.13.33	Disse loro un’altra parabola: «Il regno dei cieli è simile al lievito che una donna prende e nasconde in tre misure di farina, finché la pasta sia tutta lievitata».
MAT.13.34	Tutte queste cose disse Gesù in parabole alla folla e senza parabole non diceva loro nulla, 
MAT.13.35	affinché si adempisse quello che era stato detto per mezzo del profeta: 
MAT.13.36	Allora Gesù, lasciata la folla, tornò a casa; e i suoi discepoli gli si avvicinarono, dicendo: «Spiegaci la parabola della zizzania nel campo». 
MAT.13.37	Egli rispose: «Colui che semina il buon seme è il Figlio dell’uomo; 
MAT.13.38	il campo è il mondo; il buon seme sono i figli del regno; la zizzania sono i figli del maligno; 
MAT.13.39	il nemico che l’ha seminata è il diavolo; la mietitura è la fine dell’età presente; i mietitori sono angeli. 
MAT.13.40	Come dunque si raccoglie la zizzania e si brucia con il fuoco, così avverrà alla fine dell’età presente. 
MAT.13.41	Il Figlio dell’uomo manderà i suoi angeli, che raccoglieranno dal suo regno tutti gli scandali e tutti quelli che commettono l’iniquità, 
MAT.13.42	e li getteranno nella fornace ardente. Lì ci sarà pianto e stridor di denti. 
MAT.13.43	Allora i giusti risplenderanno come il sole nel regno del Padre loro. Chi ha orecchi oda.
MAT.13.44	«Il regno dei cieli è simile a un tesoro nascosto nel campo, che un uomo, dopo averlo trovato, nasconde; e, per la gioia che ne ha, va e vende tutto quello che ha, e compra quel campo.
MAT.13.45	«Il regno dei cieli è anche simile a un mercante che va in cerca di belle perle; 
MAT.13.46	e, trovata una perla di gran valore, se n’è andato, ha venduto tutto quello che aveva e l’ha comprata.
MAT.13.47	«Il regno dei cieli è anche simile a una rete che, gettata in mare, ha raccolto ogni genere di pesci; 
MAT.13.48	quando è piena, i pescatori la traggono a riva, poi si mettono a sedere e raccolgono il buono in vasi, e buttano via quello che non vale nulla. 
MAT.13.49	Così avverrà alla fine dell’età presente. Verranno gli angeli e separeranno i malvagi dai giusti, 
MAT.13.50	e li getteranno nella fornace ardente. Lì ci sarà pianto e stridor di denti.
MAT.13.51	Avete capito tutte queste cose?» Essi gli risposero: «Sì».
MAT.13.52	Allora disse loro: «Per questo ogni scriba che diventa un discepolo del regno dei cieli è simile a un padrone di casa, il quale tira fuori dal suo tesoro cose nuove e cose vecchie».
MAT.13.53	Quando Gesù ebbe finito queste parabole, partì di là. 
MAT.13.54	Recatosi nella sua patria, insegnava nella loro sinagoga, così che stupivano e dicevano: «Da dove gli vengono tanta sapienza e queste opere potenti? 
MAT.13.55	Non è questi il figlio del falegname? Sua madre non si chiama Maria e i suoi fratelli Giacomo, Giuseppe, Simone e Giuda? 
MAT.13.56	E le sue sorelle non sono tutte tra di noi? Da dove gli vengono tutte queste cose?» 
MAT.13.57	E si scandalizzavano a causa di lui. Ma Gesù disse loro: «Un profeta non è disprezzato che nella sua patria e in casa sua». 
MAT.13.58	E lì, a causa della loro incredulità, non fece molte opere potenti.
MAT.14.1	In quel tempo Erode il tetrarca
MAT.14.2	e disse ai suoi servitori: «Costui è Giovanni il battista! Egli è risuscitato dai morti; perciò agiscono in lui le potenze miracolose».
MAT.14.3	Poiché Erode aveva arrestato Giovanni, lo aveva incatenato e messo in prigione a motivo di Erodiade, moglie di Filippo suo fratello; 
MAT.14.4	Giovanni infatti gli diceva: «Non ti è lecito averla». 
MAT.14.5	E benché desiderasse farlo morire, temeva la folla, perché lo considerava un profeta. 
MAT.14.6	Giunto il compleanno di Erode, la figlia di Erodiade ballò nel convito e piacque a Erode; 
MAT.14.7	ed egli promise con giuramento di darle tutto quello che avrebbe richiesto. 
MAT.14.8	Ella, spintavi da sua madre, disse: «Dammi qui, su un piatto, la testa di Giovanni il battista». 
MAT.14.9	Il re, sebbene rattristato, a motivo dei giuramenti e degli invitati comandò che le fosse data, 
MAT.14.10	e mandò a decapitare Giovanni in prigione. 
MAT.14.11	La sua testa fu portata su un piatto e data alla fanciulla, che la portò a sua madre. 
MAT.14.12	E i suoi discepoli andarono a prenderne il corpo e lo seppellirono; poi vennero a informare Gesù.
MAT.14.13	Udito ciò, Gesù si ritirò di là in barca verso un luogo deserto, in disparte; le folle, saputolo, lo seguirono a piedi dalle città. 
MAT.14.14	Gesù, smontato dalla barca, vide una gran folla; ne ebbe compassione e ne guarì gli ammalati.
MAT.14.15	Facendosi sera, i discepoli si avvicinarono a lui e gli dissero: «Il luogo è deserto e l’ora è già passata; congeda la folla, affinché possa andare nei villaggi a comprarsi da mangiare». 
MAT.14.16	Ma {Gesù} disse loro: «Non hanno bisogno di andarsene; date loro voi da mangiare!» 
MAT.14.17	Essi gli risposero: «Non abbiamo qui altro che cinque pani e due pesci». 
MAT.14.18	Egli disse: «Portatemeli qua». 
MAT.14.19	Dopo aver ordinato alla folla di accomodarsi sull’erba, prese i cinque pani e i due pesci e, alzati gli occhi verso il cielo, pronunciò la benedizione; poi, spezzati i pani, li diede ai discepoli e i discepoli alla folla. 
MAT.14.20	Tutti mangiarono e furono sazi; e si raccolsero, dei pezzi avanzati, dodici ceste piene. 
MAT.14.21	E quelli che avevano mangiato erano circa cinquemila uomini, oltre alle donne e ai bambini.
MAT.14.22	Subito dopo, Gesù obbligò i discepoli a salire sulla barca e a precederlo sull’altra riva, mentre egli avrebbe congedato la folla. 
MAT.14.23	Dopo aver congedato la folla, salì sul monte in disparte a pregare. E, venuta la sera, rimase là da solo.
MAT.14.24	Frattanto la barca, già di molti stadi lontana da terra, era sbattuta dalle onde perché il vento era contrario. 
MAT.14.25	Ma alla quarta vigilia
MAT.14.26	E i discepoli, vedendolo camminare sul mare, si turbarono e dissero: «È un fantasma!» E dalla paura gridarono. 
MAT.14.27	Ma subito {Gesù} parlò loro e disse: «Coraggio, sono io; non abbiate paura!» 
MAT.14.28	Pietro gli rispose: «Signore, se sei tu, comandami di venire da te sull’acqua». 
MAT.14.29	Egli disse: «Vieni!» E Pietro, sceso dalla barca, camminò sull’acqua e andò verso Gesù. 
MAT.14.30	Ma vedendo il vento {forte} ebbe paura e, cominciando ad affondare, gridò: «Signore, salvami!» 
MAT.14.31	Subito Gesù, stesa la mano, lo afferrò e gli disse: «Uomo di poca fede, perché hai dubitato?» 
MAT.14.32	E, quando furono saliti sulla barca, il vento si calmò. 
MAT.14.33	Allora quelli che erano nella barca lo adorarono, dicendo: «Veramente tu sei Figlio di Dio!»
MAT.14.34	Passati all’altra riva, vennero nel paese di Gennesaret. 
MAT.14.35	E la gente di quel luogo, riconosciuto Gesù, diffuse la notizia per tutta la regione circostante, e gli presentarono tutti i malati 
MAT.14.36	e lo pregavano che lasciasse loro toccare almeno il lembo della sua veste; e tutti quelli che lo toccarono furono guariti.
MAT.15.1	Allora vennero a Gesù da Gerusalemme dei farisei e degli scribi, e gli dissero: 
MAT.15.2	«Perché i tuoi discepoli trasgrediscono la tradizione degli antichi? Poiché non si lavano le mani quando prendono cibo». 
MAT.15.3	Ma egli rispose loro: «E voi, perché trasgredite il comandamento di Dio a motivo della vostra tradizione? 
MAT.15.4	Dio, infatti, ha detto: 
MAT.15.5	Voi, invece, dite: “Se uno dice a suo padre o a sua madre: ‘Quello con cui potrei assisterti è dato in offerta a Dio’, 
MAT.15.6	egli non è più obbligato a onorare suo padre o sua madre”. Così avete annullato la parola di Dio a motivo della vostra tradizione. 
MAT.15.7	Ipocriti! Ben profetizzò Isaia di voi quando disse:
MAT.15.9	».
MAT.15.10	Chiamata a sé la folla, disse loro: «Ascoltate e intendete: 
MAT.15.11	non quello che entra nella bocca contamina l’uomo; ma è quello che esce dalla bocca che contamina l’uomo!»
MAT.15.12	Allora i discepoli si avvicinarono e gli dissero: «Sai che i farisei, quando hanno udito questo discorso, ne sono rimasti scandalizzati?» 
MAT.15.13	Egli rispose: «Ogni pianta che il Padre mio celeste non ha piantata, sarà sradicata. 
MAT.15.14	Lasciateli; sono guide cieche {di ciechi}; ora se un cieco guida un altro cieco, tutti e due cadranno in un fosso».
MAT.15.15	Pietro allora gli disse: «Spiegaci {questa} parabola». 
MAT.15.16	E Gesù disse: «Anche voi siete ancora incapaci di comprendere? 
MAT.15.17	Non capite che tutto quello che entra nella bocca va nel ventre ed è poi espulso nella latrina? 
MAT.15.18	Ma ciò che esce dalla bocca viene dal cuore, ed è quello che contamina l’uomo. 
MAT.15.19	Poiché dal cuore vengono pensieri malvagi, omicidi, adultèri, fornicazioni, furti, false testimonianze, diffamazioni. 
MAT.15.20	Queste sono le cose che contaminano l’uomo; ma il mangiare con le mani non lavate non contamina l’uomo».
MAT.15.21	Partito di là, Gesù si ritirò nel territorio di Tiro e di Sidone. 
MAT.15.22	Ed ecco, una donna cananea
MAT.15.23	Ma egli non le rispose parola. E i suoi discepoli si avvicinarono e lo pregavano dicendo: «Mandala via, perché ci grida dietro». 
MAT.15.24	Ma egli rispose: «Io non sono stato mandato che alle pecore perdute della casa d’Israele». 
MAT.15.25	Ella però venne e gli si prostrò davanti, dicendo: «Signore, aiutami!» 
MAT.15.26	Egli rispose: «Non è bene prendere il pane dei figli per buttarlo ai cagnolini». 
MAT.15.27	Ma ella disse: «Sì, Signore, eppure anche i cagnolini mangiano delle briciole che cadono dalla tavola dei loro padroni». 
MAT.15.28	Allora Gesù le rispose: «Donna, grande è la tua fede; ti sia fatto come vuoi». E da quel momento sua figlia fu guarita.
MAT.15.29	Partito di là, Gesù venne presso il mare di Galilea e, salito sul monte, se ne stava seduto lassù; 
MAT.15.30	e gli si avvicinò una grande folla che aveva con sé degli zoppi, dei ciechi, dei muti, degli storpi e molti altri malati; li deposero ai suoi piedi ed egli li guarì. 
MAT.15.31	La folla restò piena di stupore nel vedere che i muti parlavano, gli storpi erano guariti, gli zoppi camminavano e i ciechi vedevano, e diede gloria al Dio d’Israele.
MAT.15.32	Gesù, chiamati a sé i suoi discepoli, disse: «Io ho pietà di questa folla, perché già da tre giorni sta con me e non ha da mangiare; non voglio rimandarli digiuni, affinché non vengano meno per strada». 
MAT.15.33	I discepoli gli dissero: «Dove potremmo trovare, in un luogo deserto, tanti pani da saziare una così grande folla?» 
MAT.15.34	Gesù chiese loro: «Quanti pani avete?» Essi risposero: «Sette, e pochi pesciolini». 
MAT.15.35	Allora egli ordinò alla folla di accomodarsi per terra. 
MAT.15.36	Poi prese i sette pani e i pesci; e, dopo aver reso grazie, li spezzò e li diede ai discepoli, e i discepoli alla folla. 
MAT.15.37	E tutti mangiarono e furono saziati; e, dei pezzi avanzati, si raccolsero sette panieri pieni. 
MAT.15.38	Quelli che avevano mangiato erano quattromila uomini, senza contare le donne e i bambini.
MAT.15.39	Poi, congedata la folla, egli salì sulla barca e andò nella regione di Magadan.
MAT.16.1	I farisei e i sadducei si avvicinarono a lui per metterlo alla prova e gli chiesero di mostrare loro un segno dal cielo. 
MAT.16.2	Ma egli rispose loro: {«Quando si fa sera, voi dite: “Bel tempo, perché il cielo rosseggia!” 
MAT.16.3	e al mattino: “Oggi tempesta, perché il cielo rosseggia cupo!” L’aspetto del cielo lo sapete dunque discernere, e i segni dei tempi non riuscite a discernerli?} 
MAT.16.4	Una generazione malvagia e adultera chiede un segno, e segno non le sarà dato se non il segno di Giona». E, lasciatili, se ne andò.
MAT.16.5	I discepoli, passati all’altra riva, si erano dimenticati di prendere dei pani. 
MAT.16.6	E Gesù disse loro: «Guardatevi bene dal lievito dei farisei e dei sadducei». 
MAT.16.7	Ed essi ragionavano tra di loro e dicevano: «È perché non abbiamo preso dei pani». 
MAT.16.8	Ma Gesù se ne accorse e disse: «Gente di poca fede, perché discutete tra di voi del fatto di non aver pane? 
