GEN.1.1	Diɲyɛ tasìige e, Kile à nìɲyiŋi ná ɲìŋke dá. 
GAL.1.10	Ɲaha yii na sɔ̂nŋi numɛ bɛ? Mii na ɲcaa si ntáan sùpyir'á laa, mii na ɲcaa si ntáan Kile á? Sùpyire ɲyii wuuni mii na mpyi bɛ? Mii n'a mpyi na sɔ̂nŋi si ntáan sùpyir'á, mii mpyi na sì n‑pyi Kirisita báarapyi mɛ.
GAL.1.11	Mii la ɲyɛ yii li cè mii cìnmpyiibii, Jwumpe Nintanmpe mii à jwo yii á ke, pu ɲyɛ a fworo sùpya e mɛ. 
GAL.1.12	Mii ɲyɛ a pu ta sùpya á mɛ, wà mú sí ɲyɛ a mii kâla pu na mɛ, ŋka Yesu 
GAL.1.13	Yii à mii pyiŋkanni kyaa lógo mà mii yaha 
GAL.1.14	Yahutuubii Kile kuni ɲaaraŋi i, mii mpyi na yyeɲwɔge shiinbii puni yyaha na. Mii tiibii làdaabii kani mpyi a sàa waha mii na.
GAL.1.15	Ŋka Kile à ɲwɔ mii na mà mii ta mii sàha si mɛ, maa mii cwɔɔnrɔ, mii a báare ur'á. 
GAL.1.16	Amuni, li mú à pyi, l'à sàa bɛ̂ u á mà u Jyaŋi cyêe mii na, mii s'a u kyaa yu 
GAL.1.17	Mpii pi à pyi 
GAL.1.18	Yyee taanre kàntugo na, mii à kàre Zheruzalɛmu kànhe e, mà sà canmpyaa kɛ ná kaŋkuro pyi Pyɛri yyére si u cè. 
GAL.1.19	Ŋka uru ná Kafooŋi Yesu cìnmpworoŋi Yakuba baare e, mii saha ɲyɛ a Yesu tùnntunŋi wabɛrɛ ɲya mɛ. 
GAL.1.20	Kampyi kafinara mii na sémɛni na ntùuge yii á, Kile u ɲyɛ mii shɛ̀rɛfooŋi.
GAL.1.21	Lire kàntugo mii à kàre Siri kìni i, maa yîri wani mà kàre Silisi kùluni i. 
GAL.1.22	Ŋka fo mà sà nɔ lire tèni na, 
GAL.1.23	Pi mpyi a lógo kanna na ŋge u mpyi na pi kyérege si nta pi sige pi àha ndá Jwumpe Nintanmpe na mɛ, na uru u na pu yu sùpyir'á numɛ. 
GAL.1.24	Lire e ke pi na Kile mɛtange yiri mii kurugo.
GAL.2.1	Ɲyɛ yyee kɛ ná sicyɛɛr'à tòro ke, ka mii i núr'a kàre Zheruzalɛmu kànhe e ná Barinabasi i. Titi mpyi a kàre ná wuu e mú. 
GAL.2.2	Mii à nde kùluni tɔɔge lwɔ́, ɲaha na yɛ Kile yabiliŋi u à li cyêe mii na. Mii à nɔ wani ke, maa bínn'a tɛ̀ɛn ná dánafeebii ɲùŋufeebil'e. Jwumpe Nintanmpe mii na yu 
GAL.2.3+GAL.2.4+GAL.2.5	Ɲyɛ mà mii yaha wani, kafinivinibii pìi mpyi a piye pyi dánafee fiige maa ŋwɔhɔ a jyè wuu shwɔhɔl'e si nta ɲcè pyiŋkanni na Yesu Kirisita à wuu shwɔ 
GAL.2.6	Jwumpe Nintanmpe wuu na yu ke, pi sí ɲyɛ a ɲɛn'a yaaga bâra puru na mɛ. (Sèeŋi na, pi tayyérege mpyi ŋkemu ke, kuru ɲyɛ yaaga mii á mɛ, ɲaha kurugo yɛ Kile ɲyɛ a sùpya pwɔ́ɔŋɔ sùpya na mɛ.) 
GAL.2.7	Sèeŋi na, pi à li ta na Kile à mii tun mii u sà a Jwumpe Nintanmpe yu supyishiŋi sanŋ'á, bà u à Pyɛri tun u sà a pu yu Yahutuubil'á mɛ.
GAL.2.8	Kileŋi u à fànhe kan Pyɛri á maa u tun Yahutuubil'á ke, uru mú u à fànhe kan mii á maa mii tun supyishiŋi sanŋ'á. 
GAL.2.9	Amuni, 
GAL.2.10	Pi à wuu ɲáare kanna na wuu àha funŋɔ wwɔ̀ dánafeebii fòŋɔfeebii na wani mɛ. Mii s'à fère sín maa lire pyi.
GAL.2.11	Ɲyɛ tèni i Pyɛri à pa Antiyɔshi kànhe e ke, l'à fwor'a yyére na u karigii pyiŋkanni mpyi a ɲwɔ mɛ, lire e mii à u tìŋɛ maa u cɛ̂ɛgɛ sùpyire puni ɲyii na. 
GAL.2.12	Pyɛri làwwuge ɲùŋke ku ŋke: u mpyi a fyânha na lyî ná 
GAL.2.13	Lir'à pyi ke, ka Antiyɔshi kànhe Yahutuubii dánafeebii sanmpii si mpyi ɲwɔmyahigii shuunnifee Pyɛri fiige. Ali Barinabasi yabiliŋi mpyi a taha pi fye e. 
GAL.2.14	Mii à pa li kàanmucya mà li ta Jwumpe Nintanmpe na sèeŋi ŋgemu yu ke, pi ɲyɛ na ɲaare uru sèeŋi fye e mɛ, ka mii i yi jwo Pyɛri á pi puni ɲyii na:
GAL.2.14	«Mu u ɲyɛ Yahutu ke, Kile kuni yyahe yyére zhèŋi kurugo mu à ɲɛn'a Yahutuubii làdaabii pìi yaha maa mpyi supyishiŋi sanŋi fiige, lire mpyi a ɲwɔ, ŋka numɛ, ɲaha na mu la ɲyɛ si supyishiŋi sanŋi kɛ̂ɛnŋɛ fànhe e si mpyi Yahutuu yɛ? 
GAL.2.15	Mii ná mu, wuu à si Yahutuu, wuu ɲyɛ supyishiŋi sanŋi fiige ŋge u ɲyɛ u ɲyɛ a Kile kuni cè mɛ. 
GAL.2.16	Ŋka lire ná li wuuni mú i, wuu à cè na sùpya sì n‑jà n‑tíi Kile yyahe taan mà lire ɲùŋke pyi na u à 
GAL.2.17	Wuu pi ke, wuu na ɲcaa si ntíi Yesu cye kurugo, ŋka l'aha mpa nta na wuu na 
GAL.2.18	Mu aha fworo Musa Saliyaŋi kuni i mà pa Yesu Kirisita wuuni i, kàntugo yyére maa núr'a fwor'a jyè lire kuni niɲjyeeni i, lire cye kurugo mu maha núr'a pyi Saliyaŋi kɛ̀ɛgɛfoo.
GAL.2.19	Mii wi ke, mii à fworo Musa Saliyaŋi i. Lire e ke mii saha ɲyɛ uru Saliyaŋi ɲwɔh'i mɛ. Uru Saliyaŋi yabiliŋi ŋgahaŋi u à mii pyi mii à fworo u e. Cyire pun'à pyi, bà mii si mpyi si nta mpyi Kile sùpya mɛ. 
GAL.2.20	L'à pyi mu à jwo mii ná Kirisita à kwòro siɲcyan kworokworocige na. Lire kurugo mii yabiliŋi sàha bà u ɲyɛ na naye karigii cwɔɔnre mɛ. Ŋka Kirisita na ɲyɛ mii i. Kyaa maha kyaa mii na mpyi numɛ ke, mii à na cyɛge taha Kile Jyaŋi na maa nta a li pyi. Uru u à mii kyaa táan uy'á, maa uye kan sáraga mii kurugo. 
GAL.2.21	Kile à ɲwɔ mii na maa yaage ŋkemu kan mii á ke, mii sì n‑cyé kuru na mɛ. Kàmpyi Kile mpyi a jwo na mu aha ntaha Musa Saliyaŋi fye e na mu à tíi uru yyahe taan, lire tèni i ke, Kirisita kwùŋi mpyi na sí n‑pyi kaɲwɔɔ baa dɛ!
GAL.3.1	Yii Galati dánafeebii funŋɔ baa sùpyiibii! Jofoo u à yii le kuni nimpiini i yɛ? Mà li ta ɲùŋke na Yesu à kwòro cige na ke, mii à kuru fíniŋ'a jwo yii á. 
GAL.3.2	Yii li cè na yii ɲyɛ a 
GAL.3.3	Di yii à pyi maa mpyi funŋɔ baa shiin bɛ? Kani yii à sìi ná Kile Munaani síŋi i ke, ɲaha na yii la ɲyɛ s'a lire pyi numɛ ná yii yabilimpii sífente e yɛ? 
GAL.3.4	Karigii puni Kile à pyi yii á ke, cyir'à pyi kaɲwɔɔ baa kɛ? Ŋka cyire sí ɲyɛ a yaa cyi pyi kaɲwɔɔ baa mà dɛ! 
GAL.3.5	Yii wíi! Kile ká u Munaani yaha l'à pa yii yyaha cû, ka yii i kakyanhala karii pyi, yii àha raa sɔ̂nŋi na yii na Musa Saliyaŋi kuni ɲaare ke, na lire kurugo u à li pyi mɛ, ŋka Jwumpe Nintanmpe yii à lógo maa dá pu na ke, lire kurugo u à lire pyi.
GAL.3.6	Ɲyɛ nde 
GAL.3.7	Lire e ke yii li cè, mpii pi à dá Kile na ke, pire pi ɲyɛ Ibirayima tùluge shiinbii sèesee wuubii. 
GAL.3.8	Kile Jwumpe Semɛŋi mú s'à jwo a kwɔ̀ na Kile na sí 
GAL.3.9	Ibirayima à dá Kile na, ka Kile si jwó le u á, amuni li mú ɲyɛ shin maha shin ká dá Kile na ke, u sí jwó le urufol'á Ibirayima fiige.
GAL.3.10	Mpii pi na Musa Saliyaŋi kuni ɲaare marii sɔ̂nŋi na Kile sí jwó le pir'á ke, pir'à cwo laŋaŋke e mà kwɔ̀. Ɲaha kurugo yɛ l'à sémɛ Kile Jwumpe Semɛŋi i na: «Yaaga maha yaaga k'à sémɛ Saliyaŋi i ke, ŋgemu ká mpyi u ɲyɛ na cyire kapyaagii kurigii puni ɲaare mɛ, urufol'à láŋa
GAL.3.11	Ɲyɛ nàkaana baa, sùpya sì n‑jà n‑tíi Kile yyahe taan Saliyaŋi cye kurugo mɛ, ɲaha na yɛ l'à sémɛ mú na: «Shinŋi u à tíi ke, dániyaŋi cye kurugo, uru maha mpyi ɲyii na
GAL.3.12	Musa Saliyaŋi kuni ná dániyaŋi wuuni ɲaaraŋi ɲyɛ niŋkin mɛ, ɲaha na yɛ l'à sémɛ mú na: «Ŋgemu la ká mpyi si shìŋi ta Saliyaŋi cye kurugo ke, urufol'à yaa u Saliyaŋi kurigii puni ɲaara
GAL.3.13	Ŋka 
GAL.3.14	Lir'à pyi, Kile à dùbabii mpiimu le Ibirayima á ke, bà pire si mpyi si nɔ supyishiŋi sanŋi na mú Yesu Kirisita cye kurugo mɛ. Kile à u Munaani ɲwɔmɛɛni ndemu lwɔ́ ke, bà wuu si mpyi si lire ta dániyaŋi cye kurugo mɛ.
GAL.3.15	Mii cìnmpyiibii, mii sí kani là yyaha jwo yii á mà tàanna ná sùpyire karigii pyiŋkanni i. Shiin shuunni ká 
GAL.3.16	Ɲyɛ amuni Kile à tunmbyara le ná 
GAL.3.17	Mii jwumpe ɲwɔhe ku ɲyɛ ŋke: Kile à tire tunmbyaare le, yyee ŋkwuu sicyɛɛre ná yyee beɲjaaga ná kɛ (430) kàntugo, ka 
GAL.3.18	Kàmpyi Kile mpyi a sùpyire pyi u koolyii mà tàanna ná Saliyaŋi kuni ɲaaraŋi i, li sàha mpyi na sì n‑pyi ɲwɔmɛɛni kayaala mɛ. Mà li ta Kile à ɲwɔ Ibirayima na ɲwɔmɛɛni cye kurugo.
GAL.3.19	L'aha mpyi amuni, ɲaha kurugo Kile à 
GAL.3.19	Ɲyɛ 
GAL.3.20	Ŋka tèni i Kile à lire ɲwɔmɛɛni lwɔ́ Ibirayima á ke, u kuro ɲyɛ a mpyi toromayyahafooŋi i mɛ. Kile yabiliŋi ye niŋkin u à tíl'a yi jwo Ibirayima á. 
GAL.3.21	Tá lir'à li cyêe na Saliyaŋi à kàntugo wà Kile ɲwɔmyahigil'á? Mà byanhara bá la! Kàmpyi Saliyaŋi mpyi na sí n‑jà shin pyi Kile sùpya, u mpyi na sí n‑jà sùpyire pyi ti tíi mú Kile yyahe taan. 
GAL.3.22	Ŋka Kile Jwumpe Semɛŋi à jwo na 
GAL.3.23	Mà uru dániyaŋi tèni yaha li sàha nɔ mɛ, 
GAL.3.24	Lire pyiŋkanni na, Musa Saliyaŋi à wuu le kuni i fo mà sà ŋkan Kirisita á, bà wuu si mpyi s'a ntɔ̀re ná shintiibil'e Kile yyahe taan dániyaŋi cye kurugo mɛ. 
GAL.3.25	Numɛ mà wuu yaha wuu à dá Kirisita na, wuu saha ɲyɛ Musa Saliyaŋi cye e mɛ.
GAL.3.26	Yii pun'à pyi Kile pyìi dániyaŋi cye kurugo Yesu 
GAL.3.27	Yii mpii pi à 
GAL.3.28	Lire e mu à pyi 
GAL.3.29	Ɲyɛ yii aha nta Kirisita wuu, yii mú na ɲyɛ 
GAL.4.1	Yii na yaha si yi yyaha jwo yii á. Li na ɲyɛ bà tufoo maha ɲwɔmɛɛ lwɔ́ u pyà á mɛ. Mà pyàŋi yaha nàŋkocyɛɛre e, u maha mpyi biliwe fiige, mà li ta u tuŋi yaayi puni ɲyɛ u wuyo. 
GAL.4.2	U byífeebii ná mpii pi na u karigii cwɔɔnre ke, pire maha yaha u na, fo tèni kyaa u tuŋ'à jwo ke, lire ká nɔ.
GAL.4.3	Wuu mú pi ke, wuu mpyi mu à jwo nàŋkopyire mà wuu yaha diɲyɛŋi yasunɲyi làdaabii bilere e. 
GAL.4.4	Ŋka Kile ɲwɔmɛɛni tèn'à fûnŋɔ ke, ka u u u Jyaŋi tun u à si sùpya mà yaha 
GAL.4.5	mpii pi ɲyɛ uru Saliyaŋi ɲwɔh'i ke, bà u si mpyi si pire ɲùŋɔ wwû bilere e, Kile si pi pyi u pyìi mɛ. 
GAL.4.6	Nde l'à li cyêe na yii na ɲyɛ Kile pyìi ke, lire li ɲyɛ Kile à u Jyaŋi Munaani
GAL.4.7	Ɲyɛ lir'à li cyêe na yii à fworo bilere e. Yii à pyi numɛ Kile pyìi. Ná yii s'à pyi u pyìi de, yaayi puni u à bégel'a yaha u pyìibii mɛɛ na ke, yii pi ɲyɛ yire tafeebii.
GAL.4.8	Ɲyɛ tèecyiini i, yii mpyi na sàha ŋkwɔ̀ a pyi ná Kile e mɛ, lire e yii mpyi a yiye le yasunɲyi bilere e, ɲjemu yi ɲyɛ yi ɲyɛ Kile sèe wuŋi mɛ. 
GAL.4.9	Ŋka numɛ yii ɲyɛ ná Kile e, a fo Kile bà u ɲyɛ ná yii e, ɲaha na yii la ɲyɛ si núru yiye le yire diɲyɛŋi yasunɲyi làdaabii bilere e yɛ? Yire yasunɲyi ɲyɛ fànha ná kaɲwɔɔ baa dɛ! 
GAL.4.10	Yii maha canmpyaagii cyìi tɔ̀re canntanya, yiɲyi yà na ɲyɛ amuni, tèrigii cyìi na ɲyɛ amuni, yyeegii cyìi na ɲyɛ amuni, ɲaha na bɛ? 
GAL.4.11	Yii kapyiiŋkil'à mii funŋɔ pɛn, fo mii na sɔ̂nŋi mii kanhare puni sí n‑pyi kaɲwɔɔ baa.
GAL.4.12	Mii cìnmpyiibii, mii à fworo 
GAL.4.12	Mà mii yaha yii yyére yii ɲyɛ a mii mùmpɛnmɛ pyi mɛ. 
GAL.4.13	Yii à li cè na yampe p'à mii pyi mii à tɛ̀ɛn yii shwɔhɔl'e na toɲcyiige, maa Jwumpe Nintanmpe jwo yii á. 
GAL.4.14	Mii yamp'à yii tɛɛnmɛ pɛn, ŋka yii ɲyɛ a ɲjíge maa ɲcyé mii na mɛ, yii à mii cùmɔ lemɛ ɲwɔ mu à jwo 
GAL.4.15	Lire tèni i, yii yyahayi mpyi a táan ná mii i sèl'e. Numɛ taa kuru yyetange de! Mii à dá li na na mii kyaa mpyi a táan yii á, kàmpyi li mpyi na sí n‑jà n‑pyi, yii mpyi na sí yii ɲyiigii wwû n‑kan mii á. 
GAL.4.16	Lire e ke mii na sèeŋi yu yii á ke, lire l'à mii pyi yii zàmpɛn bɛ?
GAL.4.17	Sùpyire ti na Jwumpe Nintanmpe labali na yu ke, tire na dìrili yii kurugo, ŋka sèeshiin bà mɛ. Pi la ɲyɛ si mii ná yii láha wuye na, bà yii si mpyi si zìi ntaha pire fye e mɛ. 
GAL.4.18	L'à ɲwɔ yii kwôro kuni niɲcɛnni i tèrigii puni i, ali mii mɛ́ɛ ká mpyi mii ɲyɛ yii shwɔhɔl'e tèni ndemu i mɛ. 
GAL.4.19	Mii pyìibii, mii na ŋkànre yii kurugo sahaŋki layirilifoo fiige, fo Yesu Kirisita ká yii zòompii puni shwɔ a ta. 
GAL.4.20	Cyage e mii ɲyɛ amɛ ke, li mpyi na sí n‑táan mii i mà pyi yii shwɔhɔl'e nde tèni i, si jwuŋkanni kɛ̂ɛnŋɛ ná yii e, ɲaha na yɛ nde mii sí n‑pyi yii á ke, mii ɲyɛ a li cè mɛ.
GAL.4.21	Mii à jwo yo! Yii mpii la ku ɲyɛ si mpyi 
GAL.4.22	L'à sémɛ na 
GAL.4.23	Bilicwoŋi pyàŋ'à ta mà tàanna ná u sifeebii ɲyii wuuni i, ŋka cileŋɛŋi wuŋ'à ta mà tàanna ná Kile ɲwɔmɛɛni i.
GAL.4.24	Mpe jwumpe ɲwɔh'à cûgo, mpii cyeebii shuunniŋi na ɲyɛ mu à jwo 
GAL.4.25	Ɲyɛ Agari na ɲyɛ Sinayi ɲaŋke fiige Arabubii kìni i, maa mpyi naha Zheruzalɛmu kànhe fiige mú, kuru ná ku shiinbii na ɲyɛ bilere e
GAL.4.26	Ŋka Zheruzalɛmu kànhe ku ɲyɛ nìɲyiŋi na ke, kuru ɲyɛ bilere e mɛ, kuru mú sí ku ɲyɛ wuu nuŋi. 
GAL.4.27	L'à sémɛ na:
GAL.4.27	«Cijiriŋɛ, ta múgure sèl'e,
GAL.4.27	mu u ɲyɛ mu sàha laa yaŋkanna cè mɛ, ta ŋkwúuli funntange e,
GAL.4.27	ɲaha na yɛ ceeŋi nɔ̀ŋ'à wâl'a yaha ke,
GAL.4.27	uru pyìibii sí ɲyaha n‑tòro nɔ̀ɲyiicwoŋi wuubii na
GAL.4.28	Mii cìnmpyiibii, yii pi ke, yii à pyi Ishaka fiige, pyìibii ɲwɔmɛɛni Kile à lwɔ́ maa pi kan Ibirayima á ke, pire pi ɲyɛ yii.
GAL.4.29	Bilicwoŋi pyàŋ'à ta u sifeebii ɲyii taŋkanni na, cileŋɛŋi wuŋ'à ta 
GAL.4.30	Ɲyɛ ɲaha Kile Jwumpe Semɛŋi à jwo yɛ? Y'à sémɛ:
GAL.4.30	«Ma bilicwoŋi ná u jyaŋi kɔ̀rɔ, ɲaha na yɛ u nàzhan ɲyɛ kɔɔge e ná cileŋɛŋi jyaŋi i mɛ
GAL.4.31	Lire kurugo mii cìnmpyiibii, wuu ɲyɛ bilicwoŋi pyìi mɛ, ŋka cileŋɛŋi pyìibii pi à sìi wuu.
GAL.5.2	Yii lógo! Mii Poli, mii sí yi jwo yii á, yii aha nta yii à dá li na na yii à yaa yii 
GAL.5.3	Mii sí núru pu taha yii á, shin maha shin u à uye kan pi à kwɔ̀n ke, urufol'à yaa u a 
GAL.5.4	Yii pi na ɲcaa si ntíi Kile yyahe taan Musa Saliyaŋi cye kurugo ke, yii à kàntugo wà Yesu Kirisita na, lire e Kile sì ɲwɔ yii na si yii shwɔ mɛ. 
GAL.5.5	Wuu pi ke, Kile Munaani à wuu pyi wuu à tɛ̀ɛn li taan na wuu sí n‑tíi Kile yyahe taan wuu dániyaŋi kurugo. 
GAL.5.6	Wuu aha mpyi Yesu Kirisita wwoɲɛɛge e, l'à pyi ŋkwɔ̀n yo, l'à pyi ŋkwɔ̀nmbaa yo, lire là ɲyɛ na wíi mɛ. Nde li na wíi ke, lire li ɲyɛ mà dá Yesu Kirisita na. Wuu ná wuye shwɔ̀hɔlɔ kapyiiŋkii tàange maha lire cyêe.
GAL.5.7	Yii fèŋkanni mpyi a ɲwɔ sèeŋi kuni i, jofoo u à yii yige l'e yɛ? 
GAL.5.8	Yii li cè na yii yyerefooŋi Kile kapyii bà mɛ. 
GAL.5.9	Yii ɲyɛ a cè na: «bwúuruŋi yîrigeyirige yaani nimbileni maha mbyìmpe niɲcwɔnhɔmpe puni yîrige» mà? 
GAL.5.10	Lire ná li wuuni mú i, mii à cyɛge taha Kafooŋi Yesu na na yii sɔ̀nŋɔŋkanni ná mii wuuni sí n‑pyi niŋkin. Ŋka shin maha shin ká yii wurugo ke, Kile sí yoge kwɔ̀n urufoo na.
GAL.5.11	Mii cìnmpyiibii, mii wi ke, mii n'a mpyi na Kile jwumpe yu mà yyaha tíi ná ŋkwɔ̀nŋi i, na sùpya sì n-jà n-shwɔ u baa mɛ, shin mpyi na sì n‑sìi mii yyaha fwɔ́hɔrɔ niɲjaa mɛ. Jwumpe mii na yu, na Yesu Kirisita à kwû kworokworocige na ke, puru mpyi na sì n‑sìi n‑waha wà na mú mɛ. 
GAL.5.12	Mii la ku ɲyɛ, mpii pi ɲyɛ na yii wuruge na yige sèeŋi kuni i ná ŋkwɔ̀nŋi kani i ke, pi àha li dá ŋkwɔ̀nŋi na mɛ, pi piye tùnŋɔ!
GAL.5.13	Mii cìnmpyiibii, yii pi ke, Kile à yii yyer'a yige bilere e, ŋka yii àha lire pyi kaɲuŋɔ s'a yii ɲyii wogigii pyi mɛ. Yii yiye kyaa táan yiy'á, yii raa ɲwɔge yiye na. 
GAL.5.14	Ɲaha na yɛ Kile 
GAL.5.15	Ŋka yii yabilimpii ká yîri yiye fye e, marii yiye nɔni, marii yiye kyaa sige yaaya fiige, yii a yiye kàanmucaa yii àha yiye kɛ̀ɛge ŋkwɔ̀ mɛ.
GAL.5.16	Mpe mii la ɲyɛ si jwo yii á ke, puru pu ɲyɛ: yii a ɲaare yii yyaha tíi ná 
GAL.5.17	Ɲaha kurugo yɛ sùpyaŋi ɲyii wogigii ɲyɛ a táan Kile Munaani á mɛ, Kile Munaani ɲyii wuuni sí ɲyɛ a táan sùpyaŋ'á mɛ. Cyire kapyaagii shuunniŋ'à tùn. Lire e Kile Munaani ká mpyi yii e, yii saha sì raa yii ɲyii karigii pyi mɛ. 
GAL.5.18	Yii aha Kile Munaani yaha l'à yii yyaha cû, 
GAL.5.19	Wuu aha ntaha wuu ɲyii wuuni fye e, wuu kapyiiŋkii cyi maha mpyi ɲcyii: 
GAL.5.20	ná kacyinzunni ná sìŋkanmpe ná pege ná yoge ná yiɲcyɛge ná lùyirintoroni ná fadiyaŋi ná mbèmbaaŋi ná ndàhalaŋi 
GAL.5.21	ná ɲyipɛɛnni ná sinmbyaani ná lakyanhayi ná cyire fiige karigii. Mii à fyânha a yi jwo, ŋka mii sí yi taha, shin maha shin u kapyiŋii ká mpyi cyire ɲcyii, urufoo nàzhan ɲyɛ 
GAL.5.22	Kile Munaani ká sùpyaŋi ŋgemu yyaha cû ke, urufoo kapyiiŋkii cyi maha mpyi ɲcyii: tàange ná funntange ná yyeɲiŋke ná lùtaanni ná sùpyigire ná cɛ̀nmpe ná dánasupyigire ná 
GAL.5.23	ɲùmpiŋke ná cùmayenaŋi. Uru saliya ɲyɛ ŋgemu u ɲyɛ na cyire karigii shiŋi tùnni mɛ.
GAL.5.24	Mpii pi ɲyɛ Yesu 
GAL.5.25	Kile Munaani cye kurugo wuu à shìŋi nivɔnŋi ta, lire kurugo, wuu Kile Munaani yaha li wuu yyaha cû. 
GAL.5.26	Wuu wà kà uye pêe mɛ, wuu àha raa wuye ɲwɔ cwôre mɛ, wuu àha raa wuye yiɲcyɛge pyi mɛ.
GAL.6.1	Mii cìnmpyiibii, yii pi à yiye yaha 
GAL.6.2	Yii yiye tɛ̀gɛ yii i yiye tugure lwɔ́, lire pyiŋkanni na, yii sí 
GAL.6.3	Ŋgemu ká a sɔ̂nŋi na ur'à pwɔ́rɔ pi sanmpii na, mà li ta u ɲyɛ a sìi yafyin mɛ, urufoo na uye ɲwɔ fáanŋi. 
GAL.6.4	Shin maha shin à yaa u uye toroŋkanni kàanmucya sèl'e. L'aha nta l'à ɲwɔ, urufol'à yaa u pyi funntange e, u sí ɲyɛ a yaa u wabɛrɛ wuu fwɔ́hɔrɔ mɛ. 
GAL.6.5	Ɲaha kurugo yɛ Kile sí shin maha shin yíbe u kapyiiŋkii kyaa na.
GAL.6.6	Ɲyɛ ŋgemu ká a yii kâlali Kile jwumpe na ke, yii a yii cyeyaayi yà kaan urufol'á.
GAL.6.7	Yii àha raa yiye ɲwɔ fáanŋa mɛ, sùpya sì n‑jà raa Kile fare mɛ. Sùpyaŋi ká yaage shiŋi ŋgemu nûgo ke, kuru shiŋi u maha ŋkwɔ̀n. 
GAL.6.8	Lire ɲwɔhe ku ɲyɛ na ŋgemu ká a u karigii pyi mà tàanna ná u ɲyii wuuni i ke, kwùŋi u ɲyɛ na urufoo sigili. Ŋka ŋgemu ká a u karigii pyi mà tàanna ná Kile Munaani ɲyii wuuni i ke, 
GAL.6.9	Ɲyɛ l'aha mpyi amuni, wuu àha ŋkànha kacɛnŋkii mpyiŋi taan mɛ, ɲaha kurugo yɛ wuu aha màban le kacɛnŋkii mpyiŋi i, tèni là na ma, wuu sí n‑pa li tɔ̀ɔnŋi ta. 
GAL.6.10	Lire kurugo wuu a kacɛnŋkii pyi sùpyire pun'á tère o tère e wuu à li laage ta ke. Ŋka wuu cìnmpyiibii dánafeebii wuuni l'à lyɛ.
GAL.6.11	Ɲyɛ yii nte sémɛre nintibuunte wíi, mii yabiliŋi cyɛge k'à ti sém'a tùugo yii á. 
GAL.6.12	Mpii la ku ɲyɛ yii raa ŋkwùun fànhe e ke, pi na lire pyi si nta ntáan sùpyir'á. Kabile niŋkin ɲwɔh'i pi ɲyɛ, pi la ɲyɛ sùpyire s'a pi yyaha fwɔ́hɔre na pi na yu na 
GAL.6.13	Mà li ta, pire pi à 
GAL.6.14	Mii wi ke, mii ɲyɛ a sìi na li caa si naye jwo si cye taha yaaga na mà tòro wuu Kafooŋi Yesu Kirisita kworokworocige na mɛ. Kuru kworokworocige kurugo diɲyɛŋi tɔ̀ɔnŋ'à kwɔ̀ mii á, mii tɔ̀ɔnŋi mú s'à kwɔ̀ ŋge diɲyɛŋi i. 
GAL.6.15	Wà à kwɔ̀n yo, wà ɲyɛ a kwɔ̀n mà yo, yaaga ɲyɛ lire e mɛ, zòŋi nivɔnŋi Kile maha le wuu e ke, uru u na wíi. 
GAL.6.16	Mpii pi na li kuni ɲaare ke, Kile u yyeɲiŋke kan pir'á, u u ɲùɲaara ta pi na. Kile sùpyire kyaa na mii ɲyɛ, tire ti ɲyɛ 
GAL.6.17	Sùpya kà núru na kànha mɛ, nɔɔpiiyi yi ɲyɛ mii cyeere na ke, Yesu kurugo mii à yire ta.
GAL.6.18	Mii cìnmpyiibii, wuu Kafooŋi Yesu Kirisita u ɲwɔ yii puni niŋkin niŋkinŋi na u u jwó le yii á. Amiina!
EPH.1.1	Mii Poli u ɲyɛ Yesu 
EPH.1.2	Wuu Tuŋi Kile ná wuu Kafooŋi Yesu Kirisita pi ɲwɔ yii na, pi i yyeɲiŋke kan yii á.
EPH.1.3	Wuu wuu Kafooŋi Yesu 
EPH.1.4	Uru cye kurugo, mà jwo diɲyɛŋi u dá ke, Kile mpyi a wuu cwɔɔnrɔ, bà wuu si mpyi si 
EPH.1.5	U à wuu kyaa táan uy'á, lire na, mà ta diɲyɛ sàha dá mɛ, u à li lwɔ́ uye funŋ'i si wuu pyi u pyìi Yesu Kirisita cye kurugo. Lire l'à pyi u ɲyii wuuni mà yyaha tíi ná wuu e. 
EPH.1.6	Lire e ke wuu pèenɛ taha u na, u kacɛnni nimbwooni kurugo. U à lire pyi wuu á u Jyaŋi Yesu Kirisita cye kurugo, uru ŋgemu kyaa l'à waha u á sèl'e ke.
EPH.1.7	Yesu Kirisita à uye pyi sáraga, maa wuu ɲùŋɔ wwû u sìshange cye kurugo, maa wuu 
EPH.1.8	Kile à sàa cyire pyi maa yákilifente shiŋi puni ná ɲcèŋi shiŋi puni kan wuu á. 
EPH.1.9	Mà tàanna ná u ɲyii wuuni i, kani u mpyi a yal'a yaha Yesu Kirisita cye kurugo, ná li mpyi a ŋwɔhɔ ke, u à lire cyêe wuu na. 
EPH.1.10	Lire li ɲyɛ: tèni ká fûnŋɔ, u sí nìɲyiŋi yaayi ná ɲìŋke wuyi puni le ɲùŋufoo niŋkin cye e, uru u ɲyɛ Kirisita.
EPH.1.11	Kirisita cye kurugo mú, Kile à wuu cwɔɔnrɔ mà pyi uye wuu. U mpyi a lire kani yaa fo tèemɔni i mà tàanna ná u ɲyii wuuni i. 
