GEN.1.1	Paat ra talimpuun i paat ri Aki Kapuuno' napasauk ra limbowon am namingkal ra tana' ti.
1MA.12.28	Pokorongog saujor ru pantula' ra i Jonatan am ulun-ulun nano nakatampos noyo mangayou, nalaa' ilo kaga'. Nampaang ilo ra apui maayo no giu' ra pangkiman nilo am pagiru', 
1MA.12.29	I Jonatan am ulun-ulun nano nakakito ra apui maayo no, kaa' suabon no ayuk ilo nakapandai ra atan ondo' nasauk. 
1MA.12.30	I Jonatan pana nangilou risilo, kaa' kalo nasugut namparakop risilo, sabap ra nakalaup ilo noyo ra Sungoi Iliutirus. 
1MA.12.31	I Jonatan pana liminikou am namulunsar ra ulun Jabadi intor ra bansa' ru Arab. Kinala ilo am longgom nilo ginaau. 
1MA.12.32	Kopongo raginio minugar poyo i Jonatan am minongoi ra Damsyik, am siminuku' ra titikop pagun.
1MA.12.33+1MA.12.34	Liliwa' raginio minongoi i Simon pangayou am nakajalai polos ra Askilon am kubu-kubu giu' ra mamaar no. Kopongo raginio liminikou io am sumuku' ra Jopi, rondo' bandar ra mokoondo' ra kubu, am nampaayan ra saujor nano koson magalung riso sabap nokorongog io noyo ra mamagun moogot mampataak ra bandar mokoondo' ra kubu no ra pulalai ru Raja' Dimitrius.
1MA.12.35	Pakasaguli' i Jonatan giu' ra Jirusalim, nampiau io ra ulun-ulun matutuo ru mamagun am nangatang nababaya' risilo koson mambaal ra kubu-kubu giu' ra Judia, 
1MA.12.36	kinasawat timbok-timbok ru Jirusalim am nambaal ra timbok mapatuliar ondo' masawat lolot ru kubu am bandar koson mampasuai ra kubu maa' raginio pantula' kalo makapantalan am mambali ra mamagun. 
1MA.12.37	Mamagun naguguyu namiot ra pangampin ru bandar, sabap ra santayaran ra timbok tampilon ra sirangon giu' ra galur ru Limayak Kidron nalunsai noyo. Timbok giu' ra tampilon Kapinata niayuk musiti' punaan. 
1MA.12.38	Nambaal niayuk i Simon saguli' ra bandar Adida giu' ra pipilon ru bulur. Bandar no piniot no am pinaatang no kulobon garabang am tataun pamiot ra kulobon.
1MA.12.39	Kopongo raginio minirot i Tripon koson mampaluir ra Raja' Antiokus maa' raginio io galama' masauk ra raja' ru Asia Kalasaan Rabugus. 
1MA.12.40	Kaa' maimamang io ri Jonatan kalo mangiou, am mangayou riso. Ginio ra minongoi i Tripon ra Bit-Sian am kuayan mamparakop am mamatoi ri Jonatan. 
1MA.12.41	Minatong niayuk i Jonatan am 40,000 ngaulun saujor ondo' pinili' ra Bit-Sian koson muma' ri Tripon. 
1MA.12.42	Pakakito ri Jonatan am saujor masuang koson raginio, kalo makakau' i Tripon mamparakop riso. 
1MA.12.43	Inapu no boo i Jonatan ra maayo guang mangurumat, am pinaulig no io ra ngaangai' rangan nano. Inanian i Jonatan ra masuang tangguang. Ngaangai' rangan am pulalai nano pana sinusub gumagaya' ri Jonatan koson riso galama'. 
1MA.12.44	Nangkuot io ri Jonatan, “Kua pantipagon kou ra ulun masuang raginio, alika kalo mangayou takau? 
1MA.12.45	Moonsoi poyo susubon mu ilo muli'. Moonsoi noyo pilion mu kukula' ngaulun koson mayan mababaya' rirun, am baya' no ramon mongoi ra Ptolimais. Bandar no pataakon ku rirun, niayuk kubu-kubu am pulalai-pulalai ra bokon no am ngaangai' pagawai nano, sabap ginio noyo kuayan ru rinatangan kuti ragiti. Mopongo raginio muli' aku.”
1MA.12.46	Nangintopot i Jonatan ri Tripon am minaya' ra bilin nano. Nanusub io ra pulalai-pulalai nano muli' ra Judia. 
1MA.12.47	3,000 ngaulun ayuk inibit nano, 2,000 ngaulun tinatang no ra Galilia, am 1,000 ngaulun ra bokon no minaya' riso. 
1MA.12.48	Kaa' paat i Jonatan sumubol ra bandar Ptolimais, inangaban ru mamagun nano kulobon garabang. Rinakop i Jonatan am ngaangai' ulun minaya' riso pinatoi ra ilang.
1MA.12.49	I Tripon pana nangator ra pulalai ru saujor mantana' am pulalai mangkuda ra Galilia am giu' ra Limayak Jijriil koson mamuso ra ngaangai' saujor ri Jonatan. 
1MA.12.50	Pulalai ru Jaudi nangkara' ra i Jonatan am ngaangai' minaya' riso rinakop noyo am pinatoi. Ilo pana nangikang ra guang ru rondo' am bokon am jiminalai ralalom ru suang ru saujor ondo' nakatampos mangayou. 
1MA.12.51	Pakakito pantula' ra ulun ru Jaudi nakatampos koson totopot mampatoi, lukiat ilo. 
1MA.12.52	Ngaangai' ulun ru Jaudi nakasaboi ra Judia ra naayag kaa' nalaa' kaga'. Ngaangai' mamagun ru Israil nangulir ra mangiluk guang sabap nangkara' ra i Jonatan am ulun minaya' riso minatoi noyo. 
1MA.12.53	Bansa'-bansa' ra mamaar nilo pana minirot koson mamuso ra ulun ru Jaudi. Nangkara' ilo, “Ulun ru Jaudi kolondo' tingganai kapoam mangindangan. Moonsoi noyo ra mangayou takau risilo maa' raginio maluus ilo.”
1MA.13.1	Nokorongog i Simon ra i Tripon nanimung noyo ra saujor ondo' maayo ra kuayan sumubol ra pagun Judia am mamuso raginio. 
1MA.13.2	Nakapandai i Simon ra tanou no nampalaa' ra mamagun am nonontol. Io pana minongoi ra Jirusalim. Nanimung io ra ngaangai' mamagun, 
1MA.13.3	am mirot manimayo risilo ra mindagu, “Nakapandai kau ra mapara' boo suang ondo' binaal ru sasambaloi ru ama' kuno, pabukat-pabukat kuno am aku koson ra Ukum ri Musa am Baloi ri Aki Kapuuno'. Nakapandai kau niayuk intor ra ngaangai' pangayawan am kapaganan ondo' nailian mai. 
1MA.13.4	Ngaangai' pabukat kuno nangkinuo ra painawo nilo sabap ra Baloi ru Tuhan, Ukum am bansa' takau. Intor risilo aku ayuk ondo' lakat poyo naayag. 
1MA.13.5	Kaa' marara' aku mamayag ra inan galama' paat ra makalalaa' ra atan pana. Kalo nangkara' aku ra moonsoi aku poyo intor ra pabukat-pabukat kuno. 
1MA.13.6	Kabalu' pana masuang bansa' ondo' masisang ritakau naguguum noyo koson mamuso ritakau, mingkotog aku mampatoi koson manaung ra bansa' kuno, Baloi ru Tuhan am anak andu' min.”
1MA.13.7	Pokorongog ra ragu-ragu raginio, guang ru mamagun maantak, 
1MA.13.8	am taam ilo ra mosongou kaga', “Kaayag i Simon, tingganai takau ondo' bagu, minalit ri Judas am i Jonatan! 
1MA.13.9	Paningganai no ramon ralalom pangayawan! Ngaangai' susuban muno baalon mai!” 
1MA.13.10	I Simon pana nanimung ra ngaangai' saujor am nalingas nomongo ra timbok-timbok ru Jirusalim am namiot ra ngaangai' pangampin nano. 
1MA.13.11	Nangator io ri Jonatan anak ri Absalom am niayuk rondo' pulalai ru saujor ondo' maayo kaga' giu' ra bandar Jopi. Pinagiru' ri Jonatan mamagun nano, am io galama' pana namagun ra giu' no.
1MA.13.12	Liliwa' raginio i Tripon am rondo' pulalai ru saujor ondo' maayo nangiruan ra bandar Ptolimais koson mamulunsar ra pagun Judia. I Jonatan boborok ri Simon inibit koson ra ulun rinakop. 
1MA.13.13	Paat raginio nangkim i Simon mamaar ra bandar Adida giu' ra igig ru tana' marata'. 
1MA.13.14	Pokorongog i Tripon ra minalit noyo i Simon ri Jonatan boborok nano, am ra nakatampos io noyo koson mangayou riso, nangator io ra bilin nano ri Simon, 
1MA.13.15	“Rinakop mai i Jonatan, boborok muno sabap paat makakandoi, kalo nambayar io ra utang-utang nano ra upis kausinan ru pamarintaan. 
1MA.13.16	Kaa' palabuson mai io amon ru bayarin mu 3,000 ngakilogram pirok ramon am mangator ruo ngaulun anak ungkuyon nano koson ra ulun rinakop koson jamin ra kalo gumuor io ramon malupus io palabuson.”
1MA.13.17	Kabalu' pana nakapandai i Simon ra rinuung io, nangator io niayuk ra ruit no am karuruo ngaulun anak ri Jonatan, sabap marara' io mapasingkual ra guang masisang intor ra mamagun. 
1MA.13.18	Malaa' io risilo mindagu ra i Jonatan pinatoi sabap ra i Simon marara' mangator ra ruit am karuruo ngaulun anak nano. 
1MA.13.19	Binaya' no kinitaak ri Tripon, kaa' liminungkang i Tripon ra bantu' nano am kalo nampalabus ri Jonatan.
1MA.13.20	Kopongo raginio jiminalai i Tripon minaya' ra ralan bokon minongoi ra Adora koson manguasa' am mamuso ra pagun no. Kaa' i Simon am saujor nano nongompong riso ra ati ayuk pana angayan ri Tripon. 
1MA.13.21	Liliwa' raginio saujor ru pantula' giu' ra kubu ru Jirusalim nangator ra ulun-ulun sinusub mongoi ri Tripon koson mampajajal riso maa' raginio mataki' matong mansail ra tana' kaagisan am magibit ra lutu' ra tayar nilo. 
1MA.13.22	Tinampos ri Tripon ngaangai' pulalai mangkuda nano koson mugar intor ra giu' no. Kaa' rondom raginio riminatu' ais batu ra maawas kaga' saboi kalo makaugar ilo. I Tripon pana liminugut am minongoi ra Giliad. 
1MA.13.23	Paat ilo mamaar noyo ra bandar Baskama, pinatoi ri Tripon i Jonatan, am baangkai nano linobong ra giu' no. 
1MA.13.24	Kopongo raginio naruli' i Tripon am minuli' ra pagun nano.
1MA.13.25	I Simon pana nanusub ra kukula' ngaulun nagibit ra baangkai ri Jonatan giu' ra Modiin, maa' raginio maalap kolobong giu' ra bandar ru kinamatuaan nano. 
1MA.13.26	Ngaangai' bansa' ru Israil mangiluk kaga' guang nanulaboi ri Jonatan, am nangulir ilo ra nabuoi kaga'. 
1MA.13.27	Kopongo raginio giu' ra rasawat ru kalabangan ru ama' am pabukat-pabukat nano, pinatirong ri Simon rondo' batu pangkaraan ondo' masawat ondo' makito intor ra maalur. Tampilon ra pagulu am talikuron nano inangkupan ra batu ondo' inasa'. 
1MA.13.28	Io pana nambaal niayuk ra tulu' piramid ondo' nataluma' rondo' am bokon tayar ru ama' am ina' nano am niayuk kaapat-apat ngaulun pabukat nano. 
1MA.13.29	Giu' ra liliut ru piramid-piramid no pinatirong no lugu'-lugu' maayo. Giu' ra rasawat no mokoondo' ra inukiran ra kaukapan ru kinandoi mangayou am giu' ra kiing nano inukiran ra kapal-kapal. Batu pangkaraan no binaal koson ra pangkaraan koson mantilayun, maa' raginio makito ru ngaangai' ulun ondo' masundoi giu' ra raat. 
1MA.13.30	Lobong ondo' binaal ri Simon giu' ra bandar Modiin lakat poyo soroi saboi raino.
1MA.13.31	Liliwa' raginio liminaat i Tripon ra Raja' Antiokus ondo' Koonom, raja' ondo' lakat poyo mamulok no, am namatoi riso. 
1MA.13.32	I Tripon pana nanturung ra kurisi' ru pamarintaan ru Asia Kalasaan Rabugus am namparatong ra kajajawan ra wilayah raginio.
1MA.13.33	Binaal ri Simon kukula' kubu giu' ra pagun Judia am inukapan no ra manara-manara ondo' masawat, timbok-timbok ondo' maikang am kulobon garabang am tataun pamiot ra kulobon. Pinatuntur no niayuk ula' ru akanon giu' ra ralalom no. 
1MA.13.34	Io pana nangator ra ulun sinusub ra Raja' Dimitrius ondo' Karuo koson makitaak maa' raginio wilayah no palabuson intor ra cukai, sabap i Tripon mampagaau ayuk risilo. 
1MA.13.35	Nangator Raja' Dimitrius ra taam ragitio:
1MA.13.36	“Raja' Dimitrius posoboyon ra Tingganai Maayo Imam i Simon, am rangan ru raja'-raja', posoboyon ra bansa' Jaudi am tingganai-tingganai nilo, kaansayan! 
1MA.13.37	Nakaapu akai noyo ra karaun mas am tanggayan palma ondo' inataran muli. Nakatampos akai noyo mambaal ra nabantuan rirun am manulis ra pagawai-pagawai ru cukai maa' raginio mangani' ra kalabusan intor ra cukai. 
1MA.13.38	Ngaangai' ondo' inaru' mai ragili ramuyun parayuson masauk, am kubu-kubu ra binaal min masauk ra longgom min. 
1MA.13.39	Ngaangai' sala' pangaratian am kalungkangan ondo' binaal min saboi raino, inampun mai. Palabuson mai niayuk okou intor ra cukai ru pamarintaan ondo' lakat poyo musiti' muno bayarin am intor ra cukai-cukai ra bokon ondo' saboi raino luluron giu' ra Jirusalim. 
1MA.13.40	Ngaangai' ulun ru Jaudi ondo' maaya', iowon pasubolon ra kandoi magalung ramon ayuk. Ibok kaayag takau ra mobobonsoi.”
1MA.13.41	Ralalom boo ru bilor 170
1MA.13.42	Intor raginio ralalom tumalimpuun naskhah-naskhah am surat-surat nabantuan, ulun ru Jaudi tumalimpuun manulis ra ragu-ragu: “Ralalom bilor kasaa' ru pamarintaan ri Simon, Tingganai Maayo Imam ondo' maayo, panglima am panguasa' ru ulun ru Jaudi.”
1MA.13.44	Ulun ondo' soroi giu' ra rasawat ru kuliamos mangayou no timinindak ra ralalom ru bandar am napatabual ra kajajawan maayo. 
1MA.13.45	Mamagun ru bandar, ungkuyon, ruandu' am lalaing-lalaing nagaloi ra rasawat ru timbok am namparilak ra bayang nilo koson tatandu' mangiluk. Gogolok ilo nakimobonsoi ri Simon am ilo. 
1MA.13.46	Pampiau ilo, “Pakaasi' no ramon! Pai' balasi' kalaatan mai!”
1MA.13.47	I Simon pana nobonsoi risilo am kalo nangayou risilo. Kaa' napagiru' io ra mamagun ru bandar am namasau ra baloi-baloi nilo intor ra sinungkalalaing. Kopongo raginio io am ulun-ulun nano siminubol ra bandar liliwa' narimbai ra rimbai mongompor. 
1MA.13.48	Ngaangai' ondo' nampajamol ra bandar pinatiran no, am pinaayan no ra giu' no ulun ondo' gumagaya' ra Ukum ri Musa. Io niayuk namiot ra pangampin ru bandar am nambaal rondo' istana nano galama'.
1MA.13.49	Liliwa' raginio saujor nano ondo' minayan ra kubu giu' ra Jirusalim kalo makaingkual mongoi ra libung kapoam sumaguli' koson mantalan am mambali. Natutusan ilo kaga' ra akanon, am masuang kaga' intor risilo minatoi ra naitilan. 
1MA.13.50	Pupus no nakimobonsoi ilo ri Simon. Nangiou io, kaa' pinagiru' ilo intor ra giu' no, am kubu no kinapasau intor ra ngaangai' jamol. 
1MA.13.51	Paat ra orou ruo ngoopor am talu ra sila' karuo bilor 171
1MA.13.52	Inaru' ri Simon ra moonong bilor orou raginio musiti' iantakon ra maansukan. Kopongo ragino piniot pangampin ru bulur ru Baloi ri Aki Kapuuno' ondo' nakatingkuang ra kubu. Io am ulun-ulun nano pana namagun ra giu' no. 
1MA.13.53	Liliwa' raginio i Juanis anak ri Simon nasukor noyo, i Simon pana nampasauk riso ra panglima ru ngaangai' pulalai mangayou. Namagun i Juanis giu' ra Gijir.
1MA.14.1	Ralalom bilor 172
1MA.14.2	Paat i Arsakis ondo' Koonom, raja' ru Pirsia am Midia nokorongog ra Raja' Dimitrius siminubol noyo ra wilayah nano, nangator io sangulun panglima am kukula' ngaulun pulalai koson mamparakop ra Raja' Dimitrius ra maayag. 
1MA.14.3	Saujor ru Raja' Dimitrius binulunsar am kinala. Raja' Dimitrius galama' rinakop am inibit minuma' ra Raja' Arsakis am inaput.
1MA.14.4	Buoi ru pamarintaan ri Simon, pagun ru Judia namimio. Piniratan no kaansayan ru bansa' nano. Pamarintaan nano kasagain ru ulun kinuasa' nano, am io inurumat buoi ru bayag nano. 
1MA.14.5	Jopi rondo' bandar raralan ru kapal kinuasa' no, saboi inukab ralan sumuku' ra kapuluan Junani. Binaal moonsoi ri Simon no nambaal riso ra nauligan poyo kaga'. 
1MA.14.6	Kinalangka' ri Simon wilayah ru bansa' nano am nanguasa' ra titikop pagun. 
1MA.14.7	Masuang ulun rinakop ra pangayawan inibit no minuli'. Gijir, Bit-Jur am kubu giu' ra Jirusalim kinuasa' no. Kubu no kinuasa' no intor ra ngaangai' jamol, am kolondo' sangulun pana makaanggal riso.
1MA.14.8	Nangandoi ulun ru Jaudi ra tana' nilo ra moonsoi am mamimio. Tana' pana makaampos am puun-puun tataun nangkawa' ra maawas. 
1MA.14.9	Ungkuyon-ungkuyon mamulok nambayang ra bayang sarampun ru saujor ondo' moonsoi kaga', kaa' ulun-ulun matutuo mantuturung giu' ra rondo' intok mindagu ra bulintok ondo' moonsoi no. 
1MA.14.10	Inula' i Simon akanon tayar ru bandar-bandar am inukapan no ra pangampin ondo' maikang. Io ra nauligan kaga' no giminaai giu' ra titikop pagun. 
1MA.14.11	Nangani' io ra kaansayan ra bansa' nano, saboi naansukan ilo kaga'. 
1MA.14.12	Moonong ulun maayag ra moonsoi giu' ra saau ru puun ru anggur am puun ru ara nano, am kolondo' mampakalaa' risilo. 
1MA.14.13	Ngaangai' raja' ondo' mantula' risilo kinala noyo, am giu' ra pagun no kolondo' ondo' mangayou ra ulun ru Jaudi. 
1MA.14.14	Nangindangan i Simon ra masuang ulun sabansa' riso ondo' musikin. Giminagaya' io ra Ukum ri Musa am namuso ra ngaangai' ulun malaat am minanggal ra ukum. 
1MA.14.15	Baloi ru Tuhan kinaindon no. Io niayuk namparuang ra masuang kaga' kuliamos koson pakuan ru sambayang.
1MA.14.16	Tanou intor ra pinatayan ri Jonatan nampangiluk kaga' ra guang ru ulun ru Roma am Sparta. 
1MA.14.17	Kaa' pokorongog ulun Sparta ra i Simon namalit ra boborok nano koson ra Tingganai Maayo Imam, am ra nanguasa' io ra titikop ru pagun am ngaangai' ru bandar nano, 
1MA.14.18	nanulis ilo ri Simon koson manalimbagu ra pabukatan am pabukatan ragili binaal nilo ri Judas am i Jonatan, pabukat-pabukat nano. Surat ondo' inukir ra sampila' tambaga' 
1MA.14.19	binasa' ra pantuuman ru mamagun giu' ra Jirusalim. 
1MA.14.20	Gitio noyo ralin ru surat ondo' inataran ru ulun Sparta:
1MA.14.20	“Mamagun ru Sparta am tingganai-tingganai nano posoboyon ra Tingganai Maayo Imam i Simon, tingganai-tingganai am imam am niayuk ngaangai' mamagun ru Jaudi, pabukat-pabukat mai, kaansayan! 
1MA.14.21	Ulun-ulun sinusub min minongoi ra mamagun mai nambala' ra akau ngaangai' totopot nauligan am urumaton. Rinatangan nilo napabansuk kaga' ramon. 
1MA.14.22	Pambalaan nilo tinulisan mai noyo ralalom namatasan ra pantuuman ru mamagun koson ragitio: ‘Numinius anak ri Antiokus am i Antipatir anak ri Jason, ulun sinusub ra maatang kaga' ra bansa' Jaudi, minatong ramon koson manalimbagu ra pabukatan mai. 
1MA.14.23	Pantuuman ru mamagun masaga' mangapu risilo ra maayo guang mangurumat am namparalin ra pambalaan nilo ralalom piagam ru bandar koson ra pangkaraan ra tayar ru mamagun Sparta. Ralin intor ra dokumin no binaal tayar ru Tingganai Maayo Imam i Simon.' ”
1MA.14.24	Kopongo raginio nanusub i Simon ri Numinius minongoi ra Roma am nagibit ra tangguang perisai mas ondo' maayo am bagat no 44 ngakilogram koson mamiot ra pabukatan ra ulun ru Roma.
1MA.14.25	Pokorongog mamagun ra ngaangai' kasaukan no, indagu ilo, “Ati kulaan mai makapambalos ra binaal moonsoi ri Simon am anak-anak nano? 
1MA.14.26	Io am pabukat-pabukat nano am ngaangai' sasambaloi ru ama' nano iono ulun ondo' baani kaga'. Pinagiru' nilo noyo ngaangai' pantula' takau am jamin ru kalabusan ru bansa' takau.”
1MA.14.26	Ginio ra nanulis ilo ra sampila' tambaga' ondo' tinair ra batu-batu pangkaraan giu' ra Bulur Sion. 
1MA.14.27	Gitio noyo suang ru tinulisan no:
1MA.14.27	“Paat ra orou koopor am balu' sila' Ilul ra bilor 172,
1MA.14.28	ralalom pantuuman maayo ru imam-imam am mamagun, tingganai-tingganai ru bansa' am ulun-ulun matutuo, pinatanou baal-baal ragitio: 
1MA.14.29	Moonong makamasauk ra pangayawan ra pagun ti, i Simon anak ri Matatias papag ri Joarib am pabukat-pabukat nano nangkinuo ra painawo nilo koson mamayag ra Baloi ri Aki Kapuuno', bansa' am Ukum takau ra pantula'. Nagibit ilo ra pangurumatan maayo ra bansa' takau. 
1MA.14.30	Pinasimpung noyo ri Jonatan bansa' takau am nasauk ra Tingganai Maayo Imam saboi io minatoi. 
1MA.14.31	Kopongo raginio pantula' masaga' mampajunjung am mamuso ra pagun ti am niayuk mampajamol ra Baloi ri Aki Kapuuno'. 
1MA.14.32	Kaa' kiminakat i Simon am nangayou tayar ru bansa' takau. Masuang kaga' ruit nano pinaindangan no koson mampakan am kaukapan ru kinandoi mangayou ra pulalai mangayou ru pagun. 
1MA.14.33	Bandar-bandar giu' ra Judia kinapiot no, mulu' poyo giu' ra Bit-Jur giu' ra balitan, ondo' ragili nasauk ra intok nambulian ra kinandoi mangayou ru pantula'. Pinaayan no boo rondo' pulalai ru Jaudi koson mayan ra bandar no. 
1MA.14.34	Piniot no poyo bandar raralan ru kapal Jopi am bandar Gijir giu' ra balitan Asdod ondo' ragili minayan saujor ru pantula'. Giu' ra bandar-bandar no pinaayan no ulun ru Jaudi, am inukapan ilo ra atan ayuk ondo' makapakuan risilo koson mambaal saguli' ra bandar no. 
1MA.14.35	Pakakito mamagun ra gagaya' ri Simon am ngaangai' ru pinirot nano koson ra kasugutan ru bansa' nano, pinasauk io ra Tingganai Maayo Imam am tingganai nilo. Baal raginio binaal nilo sabap ra binaal-binaal moonsoi am gagaya' nano, sabap ra pinaugar no katimpakan am ralalom ru ngaangai' baal minirot koson mampasingkot ra intok ru bansa' nano.
1MA.14.36	Ralalom pamarintaan nano nakasugut i Simon namuso ra ulun bansa' ra bokon intor ra pagun Judia, niayuk saujor ru pantula' ondo' minayan giu' ra kubu giu' ra Jirusalim am ondo' maindalom mingkual intor ra giu' koson mampajamol ra liliut ru Baloi ri Aki Kapuuno'. 
1MA.14.37	Pinaayan no boo ulun ru Jaudi giu' ra kubu no am piniot no niayuk sabap ra kaansayan ru bandar Jirusalim am titikop pagun. Timbok-timbok ru Jirusalim kinasawat no. 
1MA.14.38	Sabap ra ngaangai' binaal moonsoi no, Raja' Dimitrius nangapu riso koson ra Tingganai Maayo Imam. 
1MA.14.39	Mangurumat kaga' raja' ri Simon am nangani' riso ra panabitan Rangan ru Raja'. 
1MA.14.40	Baal raginio binaal no sabap ra nokorongog io ra ulun ru Roma manabit ra ulun ru Jaudi rangan, pagamung am pabukat nilo. Io niayuk nokorongog ra ulun sinusub ri Simon inuma' ra maayo urumat giu' ra Roma.
1MA.14.41	Mamagun ru Jaudi am imam-imam nilo masaga' mampasauk ri Simon am papag nano ra tingganai am Tingganai Maayo Imam nilo, saboi minatong sangulun nabi ondo' maintopot. 
1MA.14.42	Pinasauk i Simon ra panguasa' ru pagun am panglima ru saujor. Makakuasa' io mampasauk ra ulun ondo' lansanin ra kaukapan ru kinandoi mangayou ru saujor am bandar-bandar mokoondo' ra kubu, tingganai ru kandoi nasuangan am pamarintaan ru libung. Io niayuk inanian ra kuasa' koson manalingapu ra Baloi ri Aki Kapuuno'. 
1MA.14.43	Ngaangai' ru mamagun musiti' gumagaya' riso ralalom ru ngaangai' baal. Ngaangai' surat nabantuan ru pagun musiti' baalon ralalom ru inggalan nano. Inanian io ra kuasa' koson mambayang ra bayang ru pamarintaan am butang mas.
1MA.14.44	Kolondo' sangulun pana intor ra mamagun kapoam imam ondo' makakuasa' koson sulangon rorondo' kapatasan-kapatasan no kapoam manggal ra susuban ri Simon. Inggalarin niayuk mambaal ra pantimungan giu' ra pagun ra kolondo' pangiawan nano, kapoam mambayang ra bayang ru pamarintaan am butang mas. 
1MA.14.45	Osoi ayuk kalo mampalio kapoam gumagaya' ra aturan-aturan no ukumin.
1MA.14.46	Ngaangai' ru mamagun nangiou mangani' ra kuasa' ri Simon koson mambaal ra matanda' ra ngaangai' ru pamatasan no. 
1MA.14.47	I Simon pana nangapu raginio am nakatampos sumauk ra panguasa' masawat kaga', Tingganai Maayo Imam, panglima ru saujor am tingganai ru mamagun am niayuk imam-imam.”
1MA.14.48	Pinatas boo koson ukiron pinabala' no ra sampila' tambaga' am paatangon ginio giu' ra intok ondo' mataki' makito giu' ra intok Baloi ri Aki Kapuuno'. 
1MA.14.49	Ralin nano buliin giu' ra intok kausinan Baloi ri Aki Kapuuno' tayar ri Simon am anak-anak nano.
1MA.15.1	Liliwa' raginio intor ra kapuluan Junani, i Antiokus anak ungkuyon ru Raja' Dimitrius nanulis ra surat posoboyon ri Simon, iono Tingganai Maayo Imam am niayuk panguasa' ru bansa' Jaudi, am ra ngaangai' mamagun. 
1MA.15.2	Koson ragitio bolos ru surat no:
1MA.15.2	“Raja' Antiokus posoboyon ri Simon, Tingganai Maayo Imam am niayuk panguasa' ru bansa' Jaudi, am ra ngaangai' mamagun, kaansayan! 
1MA.15.3	Pamarintaan ru kinamatuaan takau ginaau noyo ru kukula' ngaulun malaat. Makaguang akai gaawon saguli' am manapuli' ra kasugutan no ragili. Nanimung akai no ra saujor maayo am inukapan ra kapal-kapal mangayou. 
1MA.15.4	Masaga' akai masak ra pagun mai am mamuso ra ulun ondo' nampalunsai ra masuang bandar am nanutuk ra pagun.
1MA.15.5	Piniot mai pamusaan ra cukai ra tayar muno am bayarin-bayarin ra bokon no pinuso noyo ru raja'-raja' ragili intor ramon. 
1MA.15.6	Nangani' akai ra kuasa' rirun koson mambaal ra ruit galama' ra tayar ru pagun muno. 
1MA.15.7	Jirusalim am Baloi ri Aki Kapuuno' magulayun pinalabus intor ra cukai. Ngaangai' kaukapan ru kinandoi mangayou ondo' baalon am ngaangai' kubu ondo' baalon am kuasaan muno, magulayun longgom muno. 
1MA.15.8	Suai raginio ngaangai' utang muno ra kausinan ru pamarintaan am atan ondo' musiti' bayarin muno, pinuso koson ra sabubuoi no. 
1MA.15.9	Magaau mai ayuk kurisi' ru raja', aniin mai okou galama' ra pangurumatan maayo, bansa' muno am Baloi ri Aki Kapuuno', saboi masauk ra mauligan kaga' ra titikop ru tana'.”
1MA.15.10	Ralalom bilor 174
1MA.15.11	Inilou i Tripon ri Antiokus am nagiru' ra bandar Dor giu' ra nagas. 
1MA.15.12	Nakaliman i Tripon ra kolondo' kalansanan ra tayar nano, sabap ra iniruanan io noyo ru ngaangai' pulalai nano. 
1MA.15.13	Inawangan ri Antiokus bandar Dor nababaya' ra 120,000 ngaulun saujor am 8,000 ngaulun pulalai mangkuda. 
1MA.15.14	Ralalom ru pamulunsaran no inindangan i Antiokus ru kapal-kapal nano. Bandar no inawangan liningon intor ra lantur am niayuk intor ra raat, saboi kolondo' sangulun pana makasubol kapoam makaingkual.
1MA.15.16	“Intor ri Lukius, konsul ru ulun ru Roma, posoboyon ra Raja' Ptolimius, kaansayan! 
1MA.15.17	Tingganai Maayo Imam i Simon am bansa' ru Jaudi, rangan am pagamung mai, nangator ra ulun sinusub koson manalimbagu ra pabukatan am pabukatan ragili. 
1MA.15.18	Nagibit ilo ra tangguang rondo' perisai mas ra bagat no 44 ngakilogram. 
1MA.15.19	Namatas akai manulis ra ngaangai' raja' am pagun maa' raginio kalo mampajajou kapoam mangayou ra ulun ru Jaudi, bandar-bandar am pagun nilo, kapoam magamung ra ulun ondo' mangayou risilo. 
1MA.15.20	Namatas akai koson mangapu ra perisai no. 
1MA.15.21	Ginio ra amon mokoondo' ulun malaat ondo' nagiru' intor ra pagun Judia am nakitaak ra sindungan giu' ra pagun muno, pataako' ilo ra Tingganai Maayo Imam i Simon maa' raginio ukumin sumugut ra undang-undang nilo.”
1MA.15.22	Nanulis i Lukius ra nogondo' surat posoboyon ra Raja' Dimitrius, i Atalus, i Ariaratis am i Arsakis, 
1MA.15.23	am niayuk posoboyon ra ngaangai' pagun ragitio: Sampsamis, Sparta, Dilos, Mindos, Sikion, Karia, Samos, Pampilia, Likia, Galikarnasus, Rodis, Pasilis, Kos, Sidi, Aradus, Gortina, Knidus, Siprus am Kirini. 
1MA.15.24	Ralin ru surat-surat no niayuk inataran ra Tingganai Maayo Imam i Simon.
1MA.15.25	Raja' Antiokus nangkim giu' ra igig ru bandar Dor. Nanusub io ra pulalai nano marayus-rayus mamulunsar ra bandar no ra kuliamos-kuliamos mangayou binaal nano galama'. Naawangan i Tripon saboi kalo makaingkual am makasubol. 
1MA.15.26	Nangator i Simon ra 2,000 ngaulun saujor napili' koson mangindangan ra Raja' Antiokus. Nangator io niayuk ra mas am pirok am masuang kaga' kaukapan. 
