MAT.1_1.1	לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:
2PE.1_1.12	למרות שאתם יודעים דברים אלה ואף חיים לפיהם, יש בדעתי להזכירם שוב ושוב. 
2PE.1_1.13+2PE.1_1.14	ישוע המשיח אדוננו גילה לי שלא אחיה עוד זמן רב, אך כל עוד אני חי יש בדעתי לשוב ולהזכירכם דברים אלה, 
2PE.1_1.15	בתקווה שיישארו עמכם זמן רב לאחר מותי.
2PE.1_1.16	כשסיפרנו לכם על כוחו וגבורתו של ישוע המשיח ועל שובו אלינו, לא סיפרנו לכם אגדות! במו עיני ראיתי את כבודו ותפארתו. 
2PE.1_1.17+2PE.1_1.18	אני עצמי הייתי עם המשיח על הר־הקודש בשעה שקרן הוד וזוהר, שהעניק לו אלוהים אביו, ובאותו מעמד מרשים שמעתי קול נפלא קורא מן השמים: ”זהו בני אהובי, אשר בו חפצתי.“
2PE.1_1.19	אכן היינו עדים לקיום דברי הנביאים, ואתם תנהגו בחכמה אם תשימו לב לדבריהם, שהם כאלומת אור באפלת העולם. כאשר תהגו באמת שבדברי הנביאים ותאמינו בה, יאיר אור היום את נפשכם, וכוכב השחר, המשיח, יזרח בלבבכם. 
2PE.1_1.20	עליכם לדעת שאיש אינו יכול לפתור את נבואות כתבי־הקודש בכוחות עצמו, 
2PE.1_1.21	שכן אף נבואה לא ניתנה לפי רצון בני־אדם; אלוהים הוא שבחר להשרות את רוחו על אנשים קדושים כדי שיישאו את דברו.
2PE.2_1.1	אך גם נביאי שקר היו בעם־ישראל, כשם שיהיו ביניכם מורי שקר. הם יתכחשו למשיח אשר קנה אותם בדמו, ובפיקחות ועורמה ילמדו אתכם תורות כזב. אנשים אלה יביאו על עצמם אסון פתאומי ונורא. 
2PE.2_1.2	רבים יאמינו לתורות הכזב שלהם שמתירות זנות וניאוף, ובגללם יגדפו אנשים את אמת האלוהים.
2PE.2_1.3	באהבת הבצע שלהם ינצלו מורי השקר את תמימותכם, יספרו לכם שקרים ויגזלו את כספיכם במרמה. אולם דעו לכם כי אלוהים גזר את דינם עוד לפני זמן רב, וקיצם הנורא קרוב! 
2PE.2_1.4	אלוהים משלם לרשעים כגמולם; הוא לא חס אף על המלאכים שחטאו, אלא השליכם לגיהינום וכבל אותם במערות אפלות עד יום־הדין. 
2PE.2_1.5	אלוהים לא חס גם על הדורות הראשונים שחיו לפני המבול. הלא זוכרים אתם כיצד החריב את העולם כולו, בהביאו את המבול על דור הרשעים; הוא הציל רק את נוח ושבעת בני־משפחתו, משום שנוח האמין באלוהים והטיף למעשי צדקה. 
2PE.2_1.6	אלוהים החריב גם את סדום ועמורה; הוא הפכן לאפר ומחה אותן מעל פני האדמה. גורלן של ערים אלה הוא לקח ואזהרה לכל העתידים לבחור בדרך השחיתות והאבדון.
2PE.2_1.7+2PE.2_1.8	אלוהים אמנם הפך את סדום ועמורה, אך הוא הציל את לוט משום שהיה אדם צדיק. לוט שמר על טוהר לבו, למרות שחי בין רשעים שהעציבו אותו מאוד בשחיתותם. 
2PE.2_1.9	כשם שהציל אלוהים את לוט, כך הוא יכול להציל אתכם ואותי מהפיתויים הסובבים אותנו, ולגבי הרשעים – אלוהים ישמור את העונש שיעד להם, עד בוא יום־הדין.
2PE.2_1.10	אלוהים יחמיר במיוחד עם אלה שהולכים אחרי תאוות בשרם ובזים לכל שלטון וסמכות. אנשים אלה גאוותנים, אכזריים, אנוכיים, חצופים ומעזים לבוז גם לסמכות העליונה. 
2PE.2_1.11	אף המלאכים בשמים, שעולים עליהם בחשיבותם ובכוחם, אינם מאשימים בבוז על אלה לפני אלוהים.
2PE.2_1.12	מורי שקר אלה עושים ככל העולה על רוחם, ולועגים לכל מה שאינם מבינים; הם דומים לבהמות טיפשות שנולדו רק כדי להילכד ולמות! אך אנשים אלה יאבדו בשחיתותם. 
2PE.2_1.13	בגלל רשעותם ובגלל הסבל שגרמו לאנשים רבים, יענישם אלוהים במלוא החומרה! אנשים אלה מתענגים על חיי הפריצות וההוללות שהם מנהלים לאור היום; הם בושה וכלימה לכם. הם גם מרמים אתכם בחייהם הכפולים – מחד הם ממשיכים לחטוא, ומאידך משתתפים בחגיגותיכם ובאסיפותיכם כאילו היו ישרים והגונים. 
2PE.2_1.14	עיניהם נואפות ולעולם אינם שבעים ממעשי ניאוף. הם מפתים נשים קלות דעת, והרגילו את לבם לרדוף בצע. ארורים הם! 
2PE.2_1.15	אנשים אלה סטו מהדרך הישרה ותעו כבלעם בן־בעור, אשר אהב את השכר שקיבל תמורת מעשיו המושחתים. 
2PE.2_1.16	אך אתם ודאי זוכרים כי אתונו של בלעם פתחה את פיה בקול אדם, נזפה בו על רשעותו, ומנעה את מעשה השטות שעמד לעשות.
2PE.2_1.17	אנשים אלה הם כבארות מים יבשות, שמבטיחים הרבה ואינם מקיימים דבר; הם נסחפים כעננים בסערה. דינם נגזר להישאר באפלה לעולם ועד. 
2PE.2_1.18	הם מתפארים במעשי הרשע שלהם, ומנצלים חולשות בני־האדם ואת תאוות הבשר, כדי לצוד ולהחזיר לשורותיהם את האנשים שלא מזמן נמלטו מחיים מושחתים כאלה.
2PE.2_1.19	הם מבטיחים חופש, אך הם בעצמם עבדים לחטא ושחיתות; שהרי אדם הוא עבד למה ששולט בו.
2PE.2_1.20	אדם שנמלט מהשחיתות בעולם באמצעות אמונתו במשיח, אך כעבור זמן מתפתה ושב לחיי חטא וטומאה, מצבו חמור מזה שהיה לפנים! 
2PE.2_1.21	לאדם כזה מוטב שכלל לא ידע את דרך הצדקה, משיידע וייסוג מקיום המצוות הקדושות שנמסרו לו. 
2PE.2_1.22	אדם כזה מאמת את דברי המשל: ”הכלב שב על קיאו, והחזיר עולה מן הרחצה להתגולל ברפש.“
2PE.3_1.1+2PE.3_1.2	אחים יקרים, זהו מכתבי השני שאני כותב לכם, ובשניהם השתדלתי לעורר אתכם ולהזכירכם עובדות שכבר למדתם מדברי הנביאים, ומהשליחים שסיפרו לכם את דברי אדוננו ומושיענו.
2PE.3_1.3	תחילה ברצוני להזכירכם כי בימים האחרונים יבואו לצים ורשעים, אשר ילעגו לאמת ויעשו כל מעשה רע העולה על דעתם.
2PE.3_1.4	רשעים אלה יאמרו לכם: ”אם המשיח הבטיח לחזור, היכן הוא? מדוע טרם חזר?“ הם ימשיכו ויאמרו: ”המשיח לא ישוב לעולם! הרי מבריאת העולם ועד עתה לא השתנה דבר – הכול נשאר כשהיה!“
2PE.3_1.5	בכוונה תחילה הם יתעלמו מהעובדה שבראשית ברא אלוהים את השמים ואת הארץ ממים, במוצא־פיו בלבד, 
2PE.3_1.6	ובאמצעות המים – באמצעות המבול – השמיד את דור הרשעים. 
2PE.3_1.7	ובמוצא־פיו ציווה ה׳ לשמור את השמים והארץ, שקיימים עתה, לאש הגדולה ביום־הדין – כשכל הרשעים יאבדו.
2PE.3_1.8	ידידים יקרים, עלינו לזכור כי לגבי אלוהים יום אחד יכול להימשך אלף שנים, ואלף שנים יום אחד בלבד. 
2PE.3_1.9	אלוהים אינו מאחר לשוב אלינו, כפי שרבים חושבים; הוא ממתין בסבלנות לחוטאים רבים שיחזרו בתשובה, כי אינו רוצה שיאבדו. 
2PE.3_1.10	יום ה׳ יבוא בזמן בלתי־צפוי, בדומה לגנב בלילה. אז יחלפו השמים ברעש גדול, יסודות העולם יימסו באש, הארץ וכל אשר בה ישרפו.
2PE.3_1.11	הואיל והכול סביבנו יישרף וימס, חישבו מה קדושים צריכים להיות חייכם!
2PE.3_1.12	צפו לביאת יום האלוהים והשתדלו להחישו. ביום זה הוא יבעיר את השמים ואת יסודות הארץ עד שיימסו. 
2PE.3_1.13	אולם אנחנו מצפים לקיום הבטחת אלוהים: לשמים חדשים וארץ חדשה שבהם ישכון צדק בלבד.
2PE.3_1.14	ידידים יקרים, בהמתינכם להתרחשותם של דברים אלה ולבואו של המשיח, השתדלו לחיות בלי לחטוא; חיו בשלום עם כולם, כדי שבבוא המשיח הוא ימצא אתכם ללא דופי.
2PE.3_1.15	וזכרו, סבלנותו של האדון נותנת זמן לאנשים להיוושע. פולוס, אחינו החכם והאהוב, דיבר על כך ברבים ממכתביו. 
2PE.3_1.16	כמה מדבריו של פולוס אינם קלים להבנה, וחסרי־הדעת והפתאים מסלפים ומעוותים את משמעותם – כפי שעיוותו וסילפו את יתר דברי הכתובים – ובכך יביאו לחורבנם.
2PE.3_1.17	אחים יקרים, אני מזהיר אתכם מראש: אל תלכו אחרי תורת השקר של אותם אנשי־בלייעל, פן תערערו את שיווי משקלכם הנפשי. 
2PE.3_1.18	אדרבא, חזקו את אמונתכם והתעמקו בתורת אדוננו ומושיענו ישוע המשיח, שלו הכבוד והתהילה מעתה ולעולמי עולמים. – אמן.
1JN.1_1.1	אנחנו כותבים לכם על דבר־החיים אשר היה מבראשית: שמענו אותו באוזנינו וראינו אותו במו עינינו. אכן, הבטנו בו ונגענו בו בידינו. 
1JN.1_1.2	אנחנו מספרים לכם על המשיח, שהוא חיי הנצח, אשר היה עם האב בשמים ולאחר מכן נגלה אלינו. כן, אנו מעידים שישוע המשיח – החיים – נגלה אלינו. 
1JN.1_1.3	אני חוזר ואומר: ראינו אותו ושמענו אותו, ואנו מספרים לכם זאת כדי שגם אתם תיהנו מההתחברות שיש לנו עם אלוהים האב ועם בנו ישוע המשיח.
1JN.1_1.4	אנו מספרים לכם זאת מסיבה נוספת: כדי שגם אתם תימלאו שמחה רבה כמונו.
1JN.1_1.5	זאת הבשורה שאלוהים ביקש מאיתנו לבשר לכם: אלוהים הוא אור ואין בו כל חושך. 
1JN.1_1.6	אם אנו אומרים שיש לנו התחברות עם אלוהים בשעה שאנו חוטאים וחיים בחושך, אנחנו משקרים! 
1JN.1_1.7	אך אם אנו חיים באור אלוהים, כמו המשיח, כשדבריו תמיד לנגד עינינו, יש לנו התחברות נפלאה איש עם רעהו, והדם ששפך בעדנו ישוע המשיח מנקה ומטהר אותנו מכל חטא.
1JN.1_1.8	אם אנו טוענים שאין בנו חטא, אנו משלים את עצמנו ומסרבים להכיר באמת. 
1JN.1_1.9	אך אם נתוודה על חטאינו (לפני אלוהים), אנו בטוחים שיסלח לנו ויטהר אותנו מכל רע. 
1JN.1_1.10	אם אנו מכחישים שחטאנו, לא זו בלבד שאנו משקרים, אנו עושים גם את אלוהים לשקרן, שכן הוא אמר שכולנו חטאנו.
1JN.2_1.1	בני היקרים, אני כותב לכם דברים אלה כדי שלא תחטאו. אך אם תחטאו, דעו לכם שיש לנו סנגור לפני אלוהים – ישוע המשיח הצדיק! 
1JN.2_1.2	ישוע המשיח הוא כפרה על חטאינו ועל חטאי העולם כולו; הוא נשא על עצמו את עונשו של ה׳ על החטאים שלנו.
1JN.2_1.3	אם אנחנו משתדלים מאוד לעשות כל מה שהוא אומר לנו, אנחנו יודעים שאנו באמת שייכים לו.
1JN.2_1.4	אם מישהו טוען: ”אני מאמין בישוע המשיח!“ אך אינו שומע בקולו, הוא שקרן. 
1JN.2_1.5	מי שבאמת מאמין במשיח ושומע בקולו, ילמד לאהוב את אלוהים יותר ויותר. 
1JN.2_1.6	אם מישהו טוען שהוא מאמין במשיח, עליו לחיות כמוהו.
1JN.2_1.7	אחים יקרים, איני כותב לכם מצווה חדשה; אני מזכיר לכם מצווה ישנה שציווה לכם אלוהים מבראשית. אף כי שמעתם אותה פעמים רבות 
1JN.2_1.8	היא תמיד חדשה ורעננה, ואף הוכיחה את אמיתותה במשיח ובנו. כשאנו מקיימים את המצווה לאהוב איש את רעהו, החטא והחשכה נעלמים מחיינו, ובמקומם זורח אורו של ישוע המשיח.
1JN.2_1.9	האומר שהוא חי באור המשיח, אך שונא את חברו, הוא עדיין בחשכה. 
1JN.2_1.10	האוהב את חברו חי באור המשיח, אשר מאיר את דרכו ושומר עליו שלא ייכשל. 
1JN.2_1.11	ואילו השונא את חברו הוא בְחשכה רוחנית המעוורת את עיניו, ומשום כך אינו יודע לאן הוא הולך.
1JN.2_1.12	בני היקרים, אני כותב לכם דברים אלה מפני שחטאיכם נסלחו לכם בשם ישוע המשיח מושיענו ולמענו.
1JN.2_1.13	אני כותב לכם, האבות בָאמונה, כי אתם באמת יודעים ומכירים את המשיח אשר חי מבראשית.
1JN.2_1.13	אני כותב לכם, הצעירים באמונה, מפני שהתגברתם על פיתויי השטן.
1JN.2_1.14	ילדי היקרים, כתבתי לכם מפני שאתם יודעים ומכירים את האלוהים אבינו.
1JN.2_1.14	כתבתי לכם, האבות, מפני שאתם מכירים את אלוהי הנצח.
1JN.2_1.14	כתבתי לכם, הצעירים, מפני שאתם חזקים, דבר־אלוהים שוכן בכם ואף התגברתם על פיתויי השטן.
1JN.2_1.15	אל תאהבו את העולם הנתעב הזה ואת כל מה שהוא מציע. אם אתם אוהבים את העולם הרי שאינכם אוהבים באמת את אלוהים. 
1JN.2_1.16	מה כבר מסוגל העולם להציע לכם? תאוות הבשר, תאוות העיניים וגאוות החיים! דברים אלה אינם מאלוהים; מקורם בעולם המרושע הזה. 
1JN.2_1.17	דעו לכם, יבוא יום שכל העולם הזה יחלוף על חטאיו, אך כל השומע בקול ה׳ יחיה לנצח. 
1JN.2_1.18	ילדים יקרים, שמעתם כי שונא־המשיח
1JN.2_1.19	שונאי המשיח היו בעבר גם בין חברי קהילתנו, אך אין ספק שמעולם לא היו חלק מאיתנו, אחרת היו נשארים. עזיבתם הוציאה לאור את האמת.
1JN.2_1.20	אבל אתם שונים מהם, כי רוח הקודש שוכן בקרבכם ואתם יודעים את האמת.
1JN.2_1.21	כתבתי לכם כל זאת לא משום שאינכם יודעים את האמת, אלא להיפך: כתבתי לכם משום שאתם יודעים את האמת, ויודעים להבחין בין שקר לאמת.
1JN.2_1.22	היודעים אתם מיהו השקרן הגדול ביותר? האומר שישוע אינו המשיח. אדם כזה שונא המשיח הוא, שכן אינו מאמין באלוהים האב ובבנו. 
1JN.2_1.23	הרי אדם המתכחש למשיח בן־האלוהים, מתכחש בהכרח גם לאלוהים עצמו, בעוד שאדם שמאמין בישוע המשיח, מאמין גם באלוהים אביו.
1JN.2_1.24	המשיכו להאמין ולעשות את אשר למדתם בהתחלה, כדי שתמיד תהיה לכם התחברות אמיתית ואיתנה עם אלוהים האב ועם בנו ישוע המשיח.
1JN.2_1.25	זכרו, אלוהים עצמו הבטיח לנו חיי נצח.
1JN.2_1.26	כתבתי לכם דברים אלה כדי להזהירכם מפני שונאי המשיח. הם יעשו הכול כדי לסנוור את עיניכם, לסלף את האמת ולהוליך אתכם שולל. 
1JN.2_1.27	אולם אלוהים השכין בכם את רוח הקודש שמלמד אתכם את האמת בלבד, ומשום כך אין לכם צורך מחייב במורה אחר כדי להראות לכם שאלה מורי שקר. על כן שמעו בקולו, התקרבו למשיח ואל תיפרדו ממנו לעולם.
1JN.2_1.28	בני היקרים, היו נאמנים למשיח, כדי שלא תתביישו לפגוש אותו בבואו, אלא להיפך: תשמחו מאוד. 
1JN.2_1.29	מאחר שאנחנו יודעים כי אלוהים צדיק גמור, וכי הוא עושה רק את הנכון והצודק, נוכל להניח כי כל העושה את הנכון והצודק הוא ילדו.
1JN.3_1.1	ראו מה רבה אהבת אלוהים אלינו – הוא אף קרא לנו ”בני אלוהים“! ואין זה כינוי בלבד, אלא עובדה. לצערי, אנשים רבים אינם מאמינים באלוהים, ועל כן אינם מבינים כיצד אנו יכולים להיות בניו. 
1JN.3_1.2	אחי היקרים, עכשיו אנחנו בני אלוהים; איננו יודעים עדיין מה נהיה בעתיד, אנחנו רק יודעים שבבוא המשיח נהיה כמוהו, כי נראהו פנים אל פנים. 
1JN.3_1.3	כל המחזיק בתקווה זאת צריך להישאר טהור ונקי מחטא, כי המשיח עצמו טהור ונקי.
1JN.3_1.4	מי שחוטא, חוטא נגד אלוהים, כי כל חטא נָעָשָה נגד תורת אלוהים. 
1JN.3_1.5	אתם הרי יודעים שהוא בא אלינו בדמות אדם, כדי לקחת על עצמו את העונש על חטאינו, למרות שבו לא היה חטא. 
1JN.3_1.6	אם נתמיד באמונתנו, נשמע בקולו ונעשה את הטוב בעיניו, לא נחטא. הממשיכים לחטוא חוטאים מסיבה פשוטה: הם מעולם לא האמינו במשיח ולא אהבו אותו.
1JN.3_1.7	בני היקרים, אל תניחו לאיש לרמותכם. העושה מעשים טובים עושה אותם משום שהוא עצמו טוב – כמו המשיח ובזכותו. 
1JN.3_1.8	והעושה מעשים רעים מוכיח שהוא שייך לשטן – החוטא הראשון בעולם, שממשיך עדיין במעשיו הרעים – שכן בן־האלוהים בא לבטל את פעולות השטן. 
1JN.3_1.9	בני־אלוהים אינם חוטאים יותר מתוך הרגל, מכיוון שאלוהים האב נתן להם חיים וטבע חדש; הם אינם יכולים להמשיך בהרגל החטא.
1JN.3_1.10	כיצד יכולים אנו להבדיל בין ילדי אלוהים לבין ילדי השטן? כל מי שחי חיי חטא ואינו אוהב את אחיו, אינו שייך למשפחת אלוהים. 
1JN.3_1.11	שהרי כבר מבראשית מסר לנו אלוהים את המצוה: אהבו איש את רעהו.
1JN.3_1.12	אל לנו להידמות לקין, הורג אחיו, אשר השתייך לשטן. מדוע הרג את אחיו? מפני שקין עשה מעשים רעים, וידע היטב שחיי הבל אחיו היו טובים משלו. 
1JN.3_1.13	לכן, אחים יקרים, אל תתפלאו אם העולם שונא אתכם.
1JN.3_1.14	אם אנחנו אוהבים את אחינו המאמינים, אנו יודעים שעברנו ממוות לחיים. בעוד שאדם אשר אין בו אהבה עדיין מת. 
1JN.3_1.15	כל השונא את אחיו רוצח אותו בלבו, ואתם יודעים שלרוצחים אין חיי נצח! 
1JN.3_1.16	מהי אהבה אמיתית? קורבנו של המשיח! כשם שהקריב את חייו למעננו, כך עלינו להקריב את חיינו למען אחינו.
1JN.3_1.17	אדם הנקרא מאמין משיחי, ויש לו מספיק כסף, אך אין הוא עוזר לאחיו העני הנתון במצוקה, אהבת אלוהים אינה שוכנת בו. 
1JN.3_1.18	בני היקרים, הבה נפסיק לדבר על אהבת איש את רעהו; הבה נאהב באמת ונוכיח את אהבתנו במעשים. 
1JN.3_1.19	כך נדע בוודאות שאנו שייכים לאלוהים, וכאשר נעמוד לפניו יהיה מצפוננו נקי ושקט. 
1JN.3_1.20	אך אם חטאנו ומצפוננו מציק לנו, אלוהים יודע בדיוק מה עשינו וכיצד אנו מרגישים.
1JN.3_1.21	ידידי היקרים, אם מצפוננו נקי אנו יכולים לבוא לפני אלוהים בביטחון מלא, 
1JN.3_1.22	והוא ייתן לנו כל מה שנבקש ממנו, שכן אנו שומעים בקולו ועושים את הטוב בעיניו. 
1JN.3_1.23	הזוכרים אתם מה ציווה עלינו אלוהים? להאמין בשם ישוע המשיח בנו ולאהוב איש את רעהו. 
1JN.3_1.24	כל השומע בקול אלוהים ומקיים את מצוותיו, חי באלוהים ואלוהים חי בו. כיצד אנו יודעים זאת? רוח הקודש השוכן בקרבנו מאשר את הדבר.
1JN.4_1.1	ידידי היקרים, היזהרו מפני נביאי־השקר הרבים שמסתובבים בעולם. אל תאמינו בצורה עיוורת לכל מה שאתם שומעים, אלא בחנו את הנאמר – האם דבריהם מרוח הקודש או לא? 
1JN.4_1.2	שאלו את הנביאים האלה אם הם מאמינים ומודים שישוע המשיח, בן־האלוהים, בא לעולם בדמות אדם בשר ודם. אם כן – דבריהם מאלוהים. 
1JN.4_1.3	אם לא – הם נביאי שקר שמדברים בהשראת שונא־המשיח, שעל דבר בואו הוזהרתם. הוא באמת בא, ושנאתו כבר התפשטה בכל העולם.
1JN.4_1.4	בני היקרים, אתם שייכים לאלוהים וניצחתם במערכה נגד האנשים האלה, כי רוח־הקודש ששוכן בכם חזק וגדול מהרוח שבעולם. 
1JN.4_1.5	נביאי שקר אלה שייכים לעולם הזה, וטבעי שהם מתעניינים בענייני העולם, ושהעולם מתעניין בהם. 
1JN.4_1.6	אבל אנחנו בני־אלוהים, ומשום כך רק האוהבים את אלוהים מקשיבים לדברינו. האחרים אינם מקשיבים, כי אינם מבינים כלל על מה אנחנו מדברים. כך אפשר גם לבחון אם הנאמר הוא מאלוהים או לא, שכן אם הנאמר הוא בהשראת אלוהים, העולם כלל לא יקשיב.
1JN.4_1.7	ידידים יקרים, הבה נאהב איש את רעהו, כי אלוהים הוא מקור האהבה. אנשים שמלאים אהבה מעידים כי הם בני־אלוהים וכי הם מכירים אותו אישית. 
1JN.4_1.8	ואילו אנשים חסרי אהבה מעידים שאין הם מכירים את אלוהים, כי אלוהים הוא אהבה.
1JN.4_1.9	אלוהים הוכיח עד כמה הוא אוהב אותנו, כששלח את בנו היחיד למות בידי העולם המרושע הזה, כדי שעל־ידי מותו נזכה בחיי נצח. 
1JN.4_1.10	היודעים אתם מהי אהבה אמיתית? לא אהבתנו לאלוהים, כי אם אהבתו אלינו – כששלח את בנו לסבול את העונש על חטאינו.
1JN.4_1.11	ידידים יקרים, אם אלוהים אהב אותנו כל־כך, גם אנחנו צריכים לאהוב איש את רעהו. 
1JN.4_1.12	אמנם איש לא ראה עדיין את אלוהים, אך כשאנו אוהבים איש את רעהו, אנו מרגישים ויודעים שאלוהים חי בקרבנו, ושאהבתו בנו גדלה ומתחזקת.
1JN.4_1.13	אלוהים השכין בנו את רוח הקודש כאישור והוכחה לכך שהוא חי בנו ושאנו חיים בו. 
1JN.4_1.14	במו עינינו ראינו שאלוהים שלח את בנו להושיע את העולם, ולכן אנו מספרים זאת לכולם. 
1JN.4_1.15	כל המאמין ומודה שישוע הוא בן־האלוהים, אלוהים שוכן בו והוא באלוהים.
1JN.4_1.16	כיצד אנו יודעים שאלוהים אוהב אותנו? ראשית, אנחנו מרגישים את אהבתו; שנית, אנחנו מאמינים לדבריו, שכן הוא אמר לנו שהוא באמת אוהב אותנו. אלוהים הוא אהבה! לכן כל מי שחי באהבה חי באלוהים, ואלוהים חי בו. 
1JN.4_1.17	כשאנו חיים במשיח אהבתנו גדלה ונשלמת, וביום־הדין לא נתבייש ולא נפחד מפניו, אלא נפגוש אותו בביטחון ובשמחה, כי הוא אוהב אותנו ואנו אוהבים אותו.
1JN.4_1.18	איננו פוחדים ממי שאוהב אותנו אהבה מושלמת; אהבתו המושלמת מגרשת כל פחד וחשש. אם אנו פוחדים, הרי זה ממה שהוא עלול לעשות לנו, והדבר מראה שאיננו משוכנעים לגמרי שהוא אוהב אותנו. 
1JN.4_1.19	אם כן, אנחנו אוהבים אותו משום שהוא אהב אותנו תחילה.
1JN.4_1.20	מי שטוען ”אני אוהב את אלוהים!“ אך ממשיך לשנוא את אחיו, הוא שקרן! כי אם אינו יכול לאהוב את אחיו שעומד לפניו, כיצד יוכל לאהוב את האלוהים שלא ראה מעולם? 
1JN.4_1.21	ואלוהים ציווה עלינו לאהוב לא רק אותו, אלא גם את אחינו.
1JN.5_1.1	כל המאמין שישוע הוא המשיח, בן־האלוהים ומושיענו, הוא בנו של אלוהים; וכל האוהב את האב אוהב גם את בניו. 
1JN.5_1.2	מידת אהבתנו לבני־אלוהים מצביעה על מידת אהבתנו לאלוהים. 
1JN.5_1.3	לאהוב את אלוהים פירושו לעשות כל מה שהוא אומר לנו, וזה כלל לא קשה, 
1JN.5_1.4	שכן כל בני־האלוהים מסוגלים לנצח את השטן בכוח האמונה בישוע המשיח.
1JN.5_1.5	מי יכול להילחם ולנצח במערכה נגד השטן? רק מי שמאמין באמת שישוע הוא בן־האלוהים! 
1JN.5_1.6	זהו ישוע אשר בא במים ובדם – לא רק במים (בעת טבילתו), אלא גם בדם (בעת צליבתו). רוח הקודש הוא שמעיד על כך, והרוח מדבר אמת בלבד.
1JN.5_1.7+1JN.5_1.8	אם כן, יש לנו שלושה עדים שעדותם זהה לחלוטין: הרוח, המים והדם. 
1JN.5_1.9	הלא כולנו מאמינים לעדותם של אנשים בבית־משפט, אם כך, מה הקושי להאמין לעדותו של אלוהים? ואלוהים העיד שישוע בנו. 
1JN.5_1.10	כל המאמינים יודעים היטב בלבם שישוע הוא בן־האלוהים. מי שאינו מאמין עושה את אלוהים לשקרן, שכן אינו מאמין לעדותו של אלוהים על בנו. 
1JN.5_1.11	אלוהים העיד על כך שנתן לנו חיי נצח בבנו ישוע המשיח. 
1JN.5_1.12	לכן, המאמין בבן־האלוהים יש לו חיי נצח, ומי שאינו מאמין – אין לו.
1JN.5_1.13	כתבתי זאת לכם, המאמינים בבן־האלוהים, כדי שתדעו שיש לכם חיי נצח. 
1JN.5_1.14	אנו בטוחים שאלוהים מקשיב לכל בקשותינו, בתנאי שאינן נגד רצונו. 
1JN.5_1.15	הואיל ואנחנו בטוחים שהוא מקשיב לכל בקשותינו, אנו יודעים ללא ספק שיענה לנו וימלא אותן.
1JN.5_1.16	אם אתה רואה את אחיך המאמין חוטא חטא שאין עליו עונש מוות, עליך להתפלל בעדו ולבקש מאלוהים שיסלח לו. אלוהים באמת יסלח לו ויטהר אותו, ואף יעניק לו חיים חדשים. אולם אם אחיך ביצע חטא שעונשו מוות, תוכל לחסוך את תפילתך, כי אלוהים בין כך ובין כך לא יסלח לו.
1JN.5_1.17	כמובן שכל מעשה רע הוא חטא, אך איני מתכוון לחטאים הרגילים שעליהם אלוהים סולח. אני מתכוון לחטא שאין עליו סליחה ומחילה.
1JN.5_1.18	אדם המשתייך למשפחת אלוהים אינו חוטא בכוונה תחילה, כי המשיח בן־האלוהים שומר עלינו היטב, והשטן אינו יכול לגעת בנו. 
1JN.5_1.19	אנו יודעים, שאנו ילדי־אלוהים, ושכל העולם סביבנו נתון לשלטון השטן. 
1JN.5_1.20	אנחנו גם יודעים, שהמשיח בן־האלוהים בא לעולם, כדי לעזור לנו להכיר ולדעת את האל האמיתי. זהו האל היחיד והאמיתי וחיי הנצח!
1JN.5_1.21	בני היקרים, היזהרו והישמרו מפני כל דבר, שעלול לתפוס את מקומו של אלוהים בלבכם. – אמן.
2JN.1_1.1	לכבוד המאמינה המשיחית, הגברת הבחירה, וילדיה האהובים עלי ועל כל הקהילה.
2JN.1_1.1	מאת יוחנן – הזקן בזקני הקהילה.
2JN.1_1.2+2JN.1_1.3	אדוננו ואלוהינו יברך את כולנו בשלום, ברחמים ובאהבה, בזכות האמת החקוקה בלבנו לנצח.
2JN.1_1.4	שמחתי מאוד לפגוש כאן אחדים מילדיך, ולהיווכח שהם מתנהגים כראוי, אוהבים את האמת ושומרים את מצוות ה׳.
2JN.1_1.5	גברתי הנכבדה, ברצוני להזכיר לך את אחת המצוות הראשונות שציווה עלינו ה׳: לאהוב איש את רעהו. 
2JN.1_1.6	מי שבאמת אוהב את ה׳ עושה כל מה שה׳ מצווה עליו, והוא הרי ציווה עלינו מבראשית לאהוב איש את רעהו.
2JN.1_1.7	היזהרו ממורי השקר שמסתובבים בכל מקום. אין הם מאמינים שישוע המשיח בא לעולם כבן־אדם בשר ודם. אנשים אלה הם אויבי האמת ושונאי המשיח. 
2JN.1_1.8	היזהרו לבל ישפיעו עליכם, פן תפסידו את הפרס שאתם ואני משתדלים מאוד להשיג. עשו הכול כדי לקבל את שכרכם המלא מהאדון. 
2JN.1_1.9	מי שמנסה להתחכם ולעבור על תורת המשיח – אין האלוהים איתו, ואילו אדם שנשאר נאמן לתורת המשיח – גם האלוהים וגם המשיח איתו.
2JN.1_1.10+2JN.1_1.11	אם ירצה מישהו ללמד אתכם תורה ששונה מתורת המשיח, אל תזמינוהו לביתכם ואף אל תדברו איתו! שהרי כל מי שמעודד אותו נעשה שותף למעשיו הרעים.
2JN.1_1.12	יש לי עוד הרבה לומר, אך לא אעלה זאת על הנייר, שכן אני מקווה לפגוש אתכם בקרוב פנים אל פנים, ואז נוכל לשוחח ולשמוח יחד.
2JN.1_1.13	ילדי אחותך המאמינה מוסרים לך דרישת שלום חמה.
