MRK.1.1	Weni na Yesu Keriso, Meimeituwa natuna, Varana Beibeina ikarei.
MRK.12.29	Yesu ikipote, “Vigheiyena ghe kirakinina na weni nuke: ‘Dam Israel, keviyana! Bada ita Meimeituwa na touna kava Bada. 
MRK.12.30	Ma nuwanuwam tupana, kanumim tupana, am nota tupana ma am rewapana tupana Meimeituwa kwi nuwayuyunei.’
MRK.12.31	Ma vigheiyena gheghena kana viruwa na weni nuke: ‘Kam gwani kevi nuwayuyunei kama tamani kinuwayuyunem na nuke.’ Weni vigheiyenasi asi viruwa na ighe sasara iya kama ruwamtousi nuke.”
MRK.12.32	Vigheiyena touvibeyebeyenina Yesu ivavo kuriya, “Bada, kuvi sisiya bubuna! Sisiya keimatana, ita Meimeituwa na sago kava, ma iya meimeituwa sago ma touna kava.
MRK.12.33	Ma nuwanuwata tupana, ita nota tupana ma ita rewapana tupana Meimeituwa ti nuwayuyunei. Ma kata gwani ti nuwayuyunei kama touta mani tai nuwayuyuneta na nuke. Weni vigheiyenisi ruwa vo teketekesi na irakata kirakai iya kama ghamoghamo ta kapukapuna ma banuwara ta beraberasi Meimeituwa kurina na nuke.”
MRK.12.34	Yesu iviyanei da ikipote bubuna sasara, touna kubina ivavo kuriya, “Tam iya kuti uwama Meimeituwa ina koyagha yawasa kuvouna.” Vagheina ma iya rava sago iti ghapa da iti taravira meyei.
MRK.12.35	Yesu ivivi beyebeyena tempol garina sinenai ma ivavo bo, “Avikubina touvibeyebeyena Mosese ina vigheiyenai evavavo da Keriso na Keivavo Devida pesina? 
MRK.12.36	Kanuma Vokuwayina Devida ivi beyei na weni nuke igiruma, ‘Meimeituwa ivavo, aku Bada kurina, “Kataiyaku wai ke make ma kam ghaviya ana vo nubasi ma kai gaburim wai ana teresi.’”
MRK.12.37	Nani giruminai, Devida ivavo da Keriso na ina Bada, bade ikimakava na Keriso na Devida pesina?” Ma numaduba ere nuwa beibeisi ina sisiya ivivi yanei.
MRK.12.38	Yesu na rava ivivi beyeyesi ma bera sago ivi beyebeyesi na weni, weni nuke ikisi “Ko kita ruvami da touvibeyebeyena Mosese ina vigheiyenai iya ini nuwa teinimi. Asi kayowana da gara gurinakisi ina kote ma ina yawayawara, ma asi kayowana rava ere vi viranisi ini kaikaiwesi vigimagimara dobusi yai. 
MRK.12.39	Bade asi kayowana makemake beibeisi vi beyebeyena numanai ma debai na keikeivavo kasi wasai ina make kam marasi yai. 
MRK.12.40	Asi vi kawavenoveno na gurinakisi da rava ini gheghenisi, ma kwapukwapura ikai teinisi ma asi numa eyapiyapisi. Tousi ravasi na mara muriyai Meimeituwa ina kovogha kirakiyesi!”
MRK.12.41	Yesu Tempol kana puyo kabomina kana meimeiri nevanevanai imake ma rava ikitakitasi asi puyo ku kaboma itereterei. Rava moumourisi ipesari mane ghamanakisi itoutoura. 
MRK.12.42	Bade kwapura keikayokayona ipiti da ina mane gisigisina ipuyowei, kama toyatoya ruwa kava nuke. 
MRK.12.43	Vagheina ma ina touvotaghotagho ighoresi ipiti kuriya ma ikisi bo, “Sisiya keimatana akikimi, weni kwapurina keikayokayona ina puyo na rava yavu asi puyo ighe kuyowesi. 
MRK.12.44	Iyamna na weni, nani ravasi moumourisi asi moura nevapaina kava iverena ma asi moura na ghamanakina emakemake, bade nani wavinena ivi keikayokayo sasara ma kegha da mane tupana yavu gwabinai na iverenei, iya mane sago ita make terei da ina kam wei.”
MRK.13.1	Bade Yesu ma ina touvotaghotagho Tempol ikasikasibu kuyowei, ma ina touvotaghotagho sago ivavo kuriya bo, “Bada, weni vowasi beibeisi ke kitasi, ibeibaighagha! Weni wakimisi ghamanakisi yai ivowasi!”
MRK.13.2	Yesu ivavo bo, “Weni vowasi ghamanakisi ko kitasi! Mara muriyai Dam Jiu kasi ghavighaviya ini bero yavusi. Iya wakima sago tepantepanai ina make.”
MRK.13.3	Bade Yesu ighae Oliv Keyamisi Koyanai imake, ma ikitakita damana ku Tempol. Pita, Jems, Jon ma Anduru, tousi mani duma ma ivi taravirei, 
MRK.13.4	“Ke kiki weni berasi tupana yavu mara avai ina tupuwa. Avai ini matakira da weni berasi na ina tupuwa?”
MRK.13.5	Yesu ivavo bo, “Ko kita ruva da iya rava sago ini bedebedemi ma nuwanuwami ina teina virasi. 
MRK.13.6	Muriyai rava ipesari ina piti kaku wavai. Ma ina vavo bo, ‘Taku Keriso!’ ma rava ipesari ini bedebedesi ma nuwanuwasi ina teina virasi. 
MRK.13.7	Maranai vighavighaviya varana koni yanei ma ghaviya sisiyisi ipesari sasara koni yanesi, iya kona yabumana. Weni berasi kununa ina tupuwa, bade touna na iya damona. 
MRK.13.8	Damdam ini ghaviya vivira meyesi, keivavo ma keivavo ini ghaviya vivira meyesi. Ma nukenuke dobu ipesari sasara ina nukesi ma bade gomara. Weni touna na karena kava, maranai kama wavine manamanawina vituwa kubina ini vavanina damina nuke.
MRK.13.9	“Ko kita ruva bubuna meyemi! Kami ghaviya meyagi babadisi ku imasi ina teremi ma bade vibeyebeyena numasi yai ina gudami. Ko tumetumeku touna kubina ina veinimi ma asi babada maghinusi yai ini taraviremi, ma varaku kona kisi. 
MRK.13.10	Kununa aku touvotaghotagho varaku beibeina ini debei damdam yavu kurisi, ma muriyai damona ina segha.
MRK.13.11	“Ma maranai kami ghaviya ina panimi ma ina vivi taraviremi iya ami nota ina ragharagha da avai koni sisiyei. Iya tamimani ami notai koni sisiya ma Kanuma Vokuwayina kubimi ini sisiya, bade avai Meimeituwa iveremi na nuke kovi sisiya.
MRK.13.12	“Koroto varesina wosina ghaviya ku imasi ina terei da ini siragheni, ma mamai natuna ina verenei da ini siragheni. Ma pipiya avo meira da asi maduwa mau ma asi mami mau ini ghaviyesi ma ghaviya ku imasi ina teresi da ini siraghenisi. 
MRK.13.13	Tami ko tumetumeku kubina rava tupana yavu ina basaremi. Bade rava iyai nuke ina meiri kikina da ku damona, touna na Meimeituwa ini yawasi.”
MRK.13.14	Bade ivavo bo, “Maranai bera bero tomatoma vaghasina bera kasi vivi bero
MRK.13.15	Iyai ina numa vovonai, ko kiya da iya ina soru ina ku numa sinena ina purapura ina ragau, ina vuru yaghina wota inanae. 
MRK.13.16	Bade nuke iyai ina kupurai enoyanoya, ko kiya da iya ina vovira ina rupu ina veiya, ina vuru yaghina wota inanae. 
MRK.13.17	Nani maranai vo kwarakwara ina rakata sasara weivine iyavo manamanawisi ma isusu na ina pananai. 
MRK.13.18	Kovi kawavenoveno Meimeituwa kurina da ami vivuru gavuwana maranai na iya bodu wai. 
MRK.13.19	Vo kwarakwara ina rakata kirakai nani maranai. Maranai Meimeituwa dobu iyamoyamoni na vo kwarakwara iya sago nuke ita tupuwa, ma muriyai na iya nuke ina tupuwa meme. 
MRK.13.20	Bade Bada nani marana ina berai da ina tupo. Mike da iya ini tupoi, rava tupana yavu ina siraghe. Bade ina kayowana da rava ivinesi touna rapenai, na ini yawasisi, touna kubina nani marana ini tupoi.
MRK.13.21+MRK.13.22	Bade Keriso vi bedabedasi ma kikiverena vi bedabedasi kara ina piti ma matakira ma aniba ina berasi da rava ini bedebedesi ma nuwanuwasi ina teina virasi. Ina bera tovoni da Meimeituwa ina vinevine ravasi meiteni ini bedebedesi ma nuwanuwasi ina teina virasi, kade kovokovoghina ina berai. Touna kubina mike da rava ina piti ma ina vavo kurimi, ‘Ko kita, Keriso na weni!’ bo ‘Nokoni!’, nani sisiyina iya kona tumetumei. 
MRK.13.23	Ko kita ruva bubuna! Weni sisiyisi karako akikimi da avai ina tuputupuwa na kovi yapaka.
MRK.13.24	“Bade vo kwarakwara ghamanakina marana ina kovi,
MRK.13.24	‘bera maragata kirakinisi marai na ina nukesi ma yabodiri ini nubakutuvi ma siyamtapa meiteni iya ina neira.
MRK.13.25	Gwamegwame marai ina ririgha.’
MRK.13.26	Bade rava, Koroto Keimatana ina kitai ina pitipiti ghuvai
MRK.13.27	Bade ina aneya ina kitawayesi inanae dobu tupana yavu, namanaki da dobu ivi uwama tawayena ina rava vinevinesi ini ruriyesi.
MRK.13.28	“Kovi nuwanotanota ikimakava keyama fig enumonumoi ma touna notana ko veiya. Maranai ragharaghana emadimadighi ma enumonumoi, bade ko sakovi da keinumo kana mara eseghasegha. 
MRK.13.29	Ketakina sago, maranai kona kitai weni berasi ina tuputupuwa, ko sakovi da Koroto Keimatana eseghasegha. 
MRK.13.30	Sisiya keimatana akikimi weni berasi kununa ina tupuwa, ma weni kimtana emakemake na ruwamtousi ina kitai ma muriyai ina siraghe. 
MRK.13.31	Mara ma dobu ina kovi ma ponaku na iya ina kovi.
MRK.13.32	“Iya rava sago ita sakovi mara ma madegha avai ana vovira. Aneya kunumai iya ita sakovi, Natuna iya ita sakovi ma Mamai kava isakovi. 
MRK.13.33	Iya kota sakovi da marana avai, touna kubina kovi yavayava ma kovi yapaka! 
MRK.13.34	Touna na kama maranai koroto ina numa ina ne kuyowei ku dobu uwama vi yopeyope kubina. Ina bera tupana yavu ina yaraga ku imasi iterei ma asi noya sagosagoweta iveresi. Bade matamkweta toukoyaghina ikiya da ina kita yavayava. 
MRK.13.35	Ketakina sago, ko kita yavayava iya kota sakovi mara avai numa badana ina vovira kubina. Mike da kuririsi yai, bo didibara pounai, bo kokorereko ina raraviya, bo yabodiri ina gheghe tawayei. 
MRK.13.36	Kovi yapaka da iya ina piti kenakenami ma ini ru sakwaremi. 
MRK.13.37	Weni sisiyina akikimi, na rava yavu kurisi avavavo, da kovi yavayava!”
MRK.14.1	Mara ruwa kava emakemake da kam ruwa ghamanakisi ita berai, Sovona Voura* ma Parawa Ist Kegha*. Prist babadisi ma touvibeyebeyena Mosese ina vigheiyenai keta inegwanegwai da gavugavunai Yesu ita paniya ma iti siragheni. 
MRK.14.2	Ivavo bo, “Iya kam maranai ta berai, memara da rava ina kayaya.”
MRK.14.3	Yesu Beteni yai Saimon ina numai, iyai kununa lepera iveiya. Ikamkam ma wavine, alabasta
MRK.14.4	Rava ruwamtousi na ivi nuwaghisi ma ivi ki daguwana, “Avikubina monagha ghabughabuna ivi rekwei? 
MRK.14.5	Iti gimagimarei na mane ghamanakina
MRK.14.6	Ma, Yesu ivavo kurisi, “Ko kita kuyowei! Avikubina koi kayokayoi? Bera beibeina kuriku iberai. 
MRK.14.7	Rava keikayokayosi na tami meiteni ko makemake yavuyavu mara patapatana ma mara avai ami kayowanai na kona vowagusi, ma taku na iya meiteni mara patapatana kata makemake yavuyavu. 
MRK.14.8	Avai inotanotai ita berai, na iberai; monagha ghabughabuna ku ininiku isuwaghi na ivo kavikaviyeku kaku karawaga kubina. 
MRK.14.9	Sisiya keimatana akikimi, rava yavu dobu tupana varaku beibeina ina vivi yanei, na weni wavinena avai kubiku iberai na sisiya kutukutuna rava ini yanei. Rava weni wavinena ina bera ina notai.”
MRK.14.10	Touna murinai Judas Iskariot, touvotaghotagho kasi vi 12, inae prist babadisi kurisi ikisi da ikimakava ku imasi ina terei. 
MRK.14.11	Nuke ivi yanei maranai na ivi nuwa beibai sasara ma ivavo kuriya, “Mane kana verem.” Ma ina gavogavo inegwanegwai da ku imasi ita terei.
MRK.14.12	Parawa Ist Kegha* Kamna marana isegha, touna maranai sipu metemetewisi emunumunuwa Sovona Voura* kamna kubina, touvotaghotagho Yesu ivi tarakasiyanei, “Am kayowana meni ku dobuna kana nae da Sovona Voura kamna kana vo kavikaviyei kubim?”
MRK.14.13	Ina touvotaghotagho ruwa iki tawayesi, ma ikisi bo, “Ko nae ku Jerusalem ma koroto yokowa kibubuna ghamanakina ikavari ma enenae na kona kitai. Kone yavuyavu, 
MRK.14.14	ma, ma ina nenerui na ko rui, ma numa tuwakarena kurina kovi sisiya, “Bada ivavo, ‘Meni papayaraghinai aku touvotaghotagho meiteni Sovona Voura* vavina kana kaniya?’” 
MRK.14.15	Bade papayaragha ghamanakina ini beyemi tepanai, vovo kavikaviyanina, ma makemake wasana meiteni, nani dobunai bera tupana yavu kona vo kavikaviyana kubita.”
MRK.14.16	Ma touvotaghotagho ivo meira, inae ku Jerusalem, avai ikikisi na bera tupana yavu nuke ipananai, ma Sovona Voura* kamna vavina ivo kavikaviyei.
MRK.14.17	Ivivi kuririsi maranai, ina touvotaghotagho asivi 12 meiteni ipiti. 
MRK.14.18	Ikamkam ma Yesu ivavo bo, “Sisiya keimatana akikimi da sanamiyai sago ini benabenameku — ravana meiteni takamkam yavuyavu.”
MRK.14.19	Tupasi yavu ivi nuwaboya kirakai ma sagosagoweta ivi karei da ivivi taravirei, “Iyai? Iya taku bo?”
MRK.14.20	Ikipotesi, “Ami vi 12, parawa ku kaboma ta tupatupa kutuva yavuyavu, sanami yai sago na ini benabenameku. 
MRK.14.21	Taku Koroto Keimatana kubiku, ina tupuwa na kununa kikiverena igiruma na nuke. Bade rava iyai ina berai da ina tupuwa ma ini benabenameku, wayakapo, touna na ku berona ghamanakina ina rui. Ibeibai sasara da ina maduwa iya meyana itituwei.”
MRK.14.22	Ikamkam ma Yesu parawa iveiya, Meimeituwa ivi kaikaiwei, ivo gimai, ma ina touvotaghotagho iveresi. Ivavo bo, “Ko veiya, touna tupuwiku.”
MRK.14.23	Bade wain keyakina iveiya, Meimeituwa ivi kaikaiwei, ma iveresi, ma sagosagoweta iumei. 
MRK.14.24	Ivavo, “Touna taraku. Taraku ina suwagha rava ipesari sasara kubisi, tara na Meimeituwa ina kinuwaghana tousi meiteni ini bagibagiya. 
MRK.14.25	Sisiya keimatana akikimi, iya meyana weni wain na anuma meyei da maranai Meimeituwa ina koyagha yawasa ku vouna na wain vouna anumai.
MRK.14.26	Yevo sago iraviya murinai na Jerusalem ikasibu kuyowei inae Oliv Keyamisi ku Koyana.
MRK.14.27	Yesu ivavo kurisi, “Meimeituwa varana buka sinenai weni nuke evavavo:
MRK.14.27	‘Sipu toukoyaghina ani siragheni, ma sipu ini vuru seiseirana.’
MRK.14.27	Nuke tupamiyavu kona vuru kuyoweku, 
MRK.14.28	bade Meimeituwa ina vo meimeira meyeku ku yawasa, na ani nau ku Galili.”
MRK.14.29	Bade Pita ivavo kuriya, “Namanaki da tousi tupasi yavu ina ne kuyowem, ma iya taku!”
MRK.14.30	Yesu ivavo kuriya, “Sisiya keimatana akikim, weni didibarinai muriyai da kokorereko mara ruwa ina garara, tam kara mara aroba kwa vavo, ‘Avi pupuwei.’”
MRK.14.31	Bade Pita ivavavo tupetupeyana, “Namanaki da ta siraghe yavuyavu, iya meyana ana vavo, ‘Avi pupuwei!’”Ma tupasi yavu sisiyina sago ivavavo wei.
MRK.14.32	Tousi ipiti ku dobu kana wava Getsemani, ma Yesu ivi sisiya ina touvotaghotagho kurisi, “Wa ko make ma ana nae ani kawavenoveno.” 
MRK.14.33	Vagheina ma Pita, Jems ma Jon, ikasi veinisi ma inae, ma nuwanuwana ipukana potei, 
MRK.14.34	ma ivavo kurisi, “Avi nuwaboya sasara ma damiku na berokikina kava ini siragheniku. Wa ko make ma ko vi yavayava.”
MRK.14.35	Ine riya berokina ma, ku dowa itawayei ma ivivi kawavenoveno da kade kovokovoghina keivowavowa ita nevourei. 
MRK.14.36	Ivavo, “Mamai, Aku Mamai, kovokovoghina bera tupana yavu kwa berai, weni keivowavowana keyakina kevei tawayei ma iya anumei, ma iya taku aku kayowanai ma tam am kayowanai.”
MRK.14.37	Bade ivovira meme ma ina touvotaghotagho asi vi aroba ipananasi ikenakena. Pita kurina ivavo, “Saimon, tam ke kenakena bo? Kade vagheina bo kegha da kota mae guriguri?” 
MRK.14.38	Ma ivavo kurisi, “Kanumimi na darudaru da ina kayowana kota berai, ma tupuwimi ina maragata iya kovokovoghina da kona berai. Bade kovi yavayava ma kovi kawavenoveno da ruweyara kona meira potesi.”
MRK.14.39	Ine meme ma ivivi kawavenoveno, sisiyina sago kava ivavavowei. 
MRK.14.40	Bade ivovira meme ma ikitasi da ikenakena. Iya kovokovoghina da ita kita uwara. Ma ivi pupu da avai ita kipotei.
MRK.14.41	Inae, ma mara kana vi aroba ivovira meme ma ivi sisiya kurisi, “Tami karakava ko kenakena ma iyami ko roverovei? Vagheina! Marana isegha! Ko kita, Koroto Keimatana bera bero ravasi ku imasi etereterei. 
MRK.14.42	Kovo meiri, ma tanae. Ko kita, kaku vi benabenama ravana na isegha!”
MRK.14.43	Karakava ivivi sisiya ma Judas, kasi vi 12, isegha. Numaduba meiteni ipiti yavuyavu ere wudisi ma ere serisi. Prist babadisi, touvibeyebeyena Mosese ina vigheiyenai, ma Dam Jiu babadisi, iki tawayesi inae. 
MRK.14.44	Ine nae ma touvibenabenama ikisi da ikimakava ini matakiresi. Ivavo kurisi, “Koroto ana yususuri na, korotona touna. Ko votani, ko paniya ma ko ruteina neyei.”
MRK.14.45	Judas isegha ma mara sago kava ine kuriya ma ivavo, “Bada!” ma ivi iyususuri. 
MRK.14.46	Vagheina ma ivotani ma ivokikini. 
MRK.14.47	Rava sago na imeimeiri na kepata iteina yavui ma itatara da Prist Gheghena ina yaraga sago teinina ikasiyaraghi. 
MRK.14.48+MRK.14.49	Yesu ikisi, “Marana nununai taku na tami meiteni Tempol garina sinenai rava agiugiunisi! Avikubina nani dobunai iya kota votaniku? Taku na kama yapiyapi, na ere kapiyimi ko piti kona votaniku, bo? Bade weni berana na sisiya kikiverena igirumi na etuputupuwa.”
MRK.14.50	Vagheina ma ina touvotaghotagho tupasi yavu ine kuyowei ma ivi vuruwana.
MRK.14.51	Koroto yaragina garai ikasi rupui ma Yesu iwagiwaghisei, ma ravasi ibera tovoni da ita votani, 
MRK.14.52	ma kana gara kava ivotani ma iyamkovekovena ivokavari.
MRK.14.53	Numaduba Yesu ikasi veiya inae Prist Gheghena ina ku numa, bade prist babadisi, Dam Jiu babadisi ma Mosese ina vigheiyena touvibeyebeyena tupasi yavu nake ivi ruriyesi. 
MRK.14.54	Pita uwamai itu kamota inae da Prist Gheghena ina numa ku garina irui. Na, inemake touviyavayava ruwamtousi meiteni, keyamai ivivi muya. 
MRK.14.55	Prist babadisi ma Sanhidiren* tupasi yavu ibera tovoni avai vi wavuna Yesu ku tepana ita terei da iti siragheni, bade iya avai ita pananai. 
MRK.14.56	Matamata vi bedabedasi ipesari sasara Yesu kurina itawayei, ma asi sisiya tupana yavu na bogeibogei.
MRK.14.57	Rava ruwamtousi ivomeiri sisiya vi bedabedasi itawayei kurina. 
MRK.14.58	Tousi ivavo, “Kaviyanei weni nuke ivavo bo, ‘Weni Tempol na rava imasi yai iyamoni, na ani beroi, ma mara aroba murinai sago vouna ana vowai, ma iya rava imasiyai ina yamoni.’”
MRK.14.59	Bade weni ravasi meiteni asi sisiya na bogeibogei yeta.
MRK.14.60	Prist Gheghena maghinosi yai imeira ma Yesu ivi taravirei, “Weni vi wavuna itawayei kurim, avikubina iya kuta kipote?”
MRK.14.61	Bade Yesu ivi yasami ma iya avai ita vavowei. Prist Gheghena ivi taravire meyei, “Tam Keriso bo? Meimeituwa ka Vovo epaipai na Natuna bo?”
MRK.14.62	Yesu ivavo, “Taku touna, ma kona kitaku, ‘Koroto Keimatana, Meimeituwa Maragata Kirakinina kataiyanai ana makemake ma ghuvanai ana vovovira.’”
MRK.14.63	Prist Gheghena nuwanuwana ighisi sasare kana gara iteinasikai ma ivavo bo, “Matamata pesara iya kata kayokayowana meyei! 
MRK.14.64	Meimeituwa ivivi gibowei na ko viyanei bo?
MRK.14.64	Tupasi yavu ivavo, “Touna vigheiyena igasiya kubina ina siraghe.”
MRK.14.65	Bade ruwamtousi Yesu isovai, ma matana garai isaghira gavugavui ma iraviya. Ma ivi taravirei, “Mike da tam na Meimeituwa ina Kikiverena, ke kiki iyai iravim!” Ma touviyavayava iru nevanevai.
MRK.14.66	Pita karakava gaburinai, gari sinenai, maranai Prist Gheghena ina yaraga wavinena iyawara ipiti. 
MRK.14.67	Pita ikitai ivivi muya, ma maninina ikita tupei ma ikiya bo, “Tam sago, Yesu koto Nasaret meiteni.”
MRK.14.68	Ma ivavo da ivi pupuwei. Iki potei, “Iya ata sakovi da avai ki sisiyei,” ma ine kasibau ku ketamatana. Nani maranai kokorereko igarara.
MRK.14.69	Yaraga wavinena nani dobunai ikita meyei ma ivavo meme rava ivivi meiri yana kurisi, “Ravana sago weni touna meiteni!” 
MRK.14.70	Bade Pita ivavo meme da ivi pupuwei.
MRK.14.70	Iya uwamina murinai rava na ivivi meiri yana na Pita iki meyei, “Vagheina tam na sago, tam meiteni na koto Galili.”
MRK.14.71	Ma, ivavo bo, “Tepa vovomi yai avavavo da sisiya kamowa akikimi! Mike da kegha na Meimeituwa ina kovoghiku! Koroto tami koi sisiyei na iya ata sakovi!”
MRK.14.72	Mara sago kava kokorereko mara vi ruwina igarara, ma Pita ina nota ivo vira da ikimakava Yesu ivi sisiya kurina, “Muriyai da kokorereko mara ruwa ina garara, mara aroba kwa vavo da kuvi pupuweku.” Nuwanuwana itamoguda ma itou.
MRK.15.1	Boiboighi nubanubanai prist babadisi, Dam Jiu babadisi, touvibeyebeyena Mosese ina vigheiyenai, ma Sanhedrien tupana ivi boru, ivi vagheina da avai ita berai Yesu kurina. Imana ipatumi ma ikasi veiya ineyei Pailat kurina. 
MRK.15.2	Pailat ivi taravirei, “Tam na Dam Jiu Keivavona bo?”
MRK.15.2	Ma Yesu ikipotei ivavo bo, “Vagheina kuvavo.”
MRK.15.3	Prist babadisi vi wavuwavu ipesari sasara Yesu ivivi wavui, 
MRK.15.4	touna kubina Pailat ivi taravira meyei, “Kade kwa kipotesi bo kegha? Asi vi wavuwavu ku viyanei!”
MRK.15.5	Bade nuke iya sisiya sago ita vavo meyei ma Pailat ivi deiyei.
MRK.15.6	Sovona Voura kamna nununai, maranai Pailat ina bera nuke imakemake, da panipani sago iyai rava ivivi bagheiya na ivovo tariya. 
MRK.15.7	Nani koroto kana wava Barabas dibura numanai korokoroto ruwamtousi meiteni, rava ivi siraghenisi, maranai Rom gabemanina meiteni ivivi ghaviya, na ipanisi. 
MRK.15.8	Maranai numaduba ivi siyagosi, ma ivi karei da Pailat ini baghai, ikimakava marana nununai ivivi nuwa beibeinisi na nuke.
MRK.15.9+MRK.15.10	Pailat isakova kirakiyei da prist babadisi Yesu inuwakapiyei kubina ivo riyei ku imana. Vagheina ma numaduba ivi taraviresi, “Ami kayowana kubimi da Dam Jiu Keivavona ana tariya?” 
MRK.15.11	Bade prist babadisi numaduba isunasi da iti baghai, epaiyana, na Pailat Barabas ina tariya kubisi.
MRK.15.12	Pailat numaduba ivi taravira meyesi, “Bade avai, ko kayokayoweku da ravana sago ko woreworei Dam Jiu Keivavona kurina ana berai?”
MRK.15.13	Iru kwatu potei, “Ke tututani!”
MRK.15.14	Ma Pailat ivi taraviresi, “Avai berana berona iberai?” Iru kwatukwatu kirakai ponasi keidamonai, “Ke tututani!”
MRK.15.15	Pailat ikayowei da numaduba iti nuwabeibeinisi, touna kubina Barabas itariya kubisi. Touvighavighaviya ikisi da Yesu ita wudiya ma ita ru teinaneyei da ita tututani.
MRK.15.16	Touvighavighaviya Yesu iruteina ruwei Pailat ina numa ku garina, ma touvighavighaviya asi rava tupasi yavu iworesi da ivi siyagosi. 
MRK.15.17	Gara yebara dumadumana Yesu ivi kotei ma vadara keyama raghana tonatonanai ikou pipini, ma ku tepapuna ivo tupei. 
MRK.15.18	Ma ivi karei da ivivi namei, “Enosaire! Dam Jiu asi Keivavo!” 
MRK.15.19	Wudi yai tepapuna iraraviya ma isovasovai. Maghinonai kaitupisi yai isorusoru ma irurudunei kama keivavo nuke, ma iberai da ivivi inimayamayai. 
MRK.15.20	Maranai ivi namei ikovi, gara yebara dumadumana ivo tawayei ma kana gara wosina ivi kotei. Ma iruteina kasibuwei da ita tututani kubina.
MRK.15.21	Inenae ma ketaki yai koroto kana wava Saimon, meyagi yoghoyogho wai, irurui ku meyagi ghamanakina na inepotei, ma touvighavighaviya idarui da Yesu kana korosi ita kavari. (Saimon na koto Sairini, Aleksanda ma Rufas asi mamai.) 
MRK.15.22	Yesu iruteina neyei ku dobu sago eworeworei Golgata, (iyamna na “Teuteu dobuna.”) 
MRK.15.23	Nani dobunai wain ma me itupavirai ini vavana bunamina ma ibera tovoni da ita verei da itumai, ma umana ibasarei. 
MRK.15.24	Nani dobunai itututani. Ma kana gara, ituparereghi, ma dais ivi rekwei da ita kitai da iyai mike garana ita veiya.
MRK.15.25	Boiboghi kana madeghapu wai na itututani. 
MRK.15.26	Giruma vi wavu ki sakovina Yesu vovonai itutui kana korosi tepanai na ivavo, “Dam Jiu Keivavo.” 
MRK.15.27+MRK.15.28	Yapiyapi ravasi asi viruwa kasi korosi yai itututanisi Yesu meiteni, sago kataiyanai ma sago dugenai.
MRK.15.29	Rava ine nae ma itatapai, ivivi kunu weiweina ma ivivi namei, “Aa! Kuvavo da tempol kuta rikai ma mara aroba sinenai kuta vowa meyei! 
MRK.15.30	Karaweni na korosi yai ke soru ma kwi yawasa meyem!”
MRK.15.31	Ma bade nuke prist babadisi ma touvibeyebeyena Mosese ina vigheiyenai Yesu ivivi namei, ma ivivi sisiya vivirana, “Rava ruwamtousi ivi yawasisi ma iya kovokovoghina ini yawasa meyei! 
MRK.15.32	Ivavo da touna Keriso, Meimeituwa ina vinevine Touviyawasa, Israel asi Keivavo, karaweni korosi yai ina soru, ta kitai ma ta tumetumei!” Ma asi viruwa Yesu nevanevanai itututanisi na meiteni ivivi varaberowanei.
MRK.15.33	Madeghapu wai dobu tupana nubakutuva iruputani, inae da yabodiri itavira. 
MRK.15.34	Yabodiri itatavira ma Yesu igarara rukwatu ponana ghamanakinai, “Eloi, Eloi, lema sabatani?” Iyamna na, “Aku Meimeituwa, Aku Meimeituwa, avikubina ku ne kuyoweku?”
MRK.15.35	Rava ruwamtousi na ivivi meimeiriyana ma igayogayo na ivi yanei ma ivi pupuwei kubina, ivavo bo, “Koviyana, Elaija eworeworei!” 
MRK.15.36	Ravasi sago ivuru ma purapura ponuponuna iveiya ku wain damidamisina itupakutuvi ma siu damonai itupe susuri. Ma ivopaini Yesu ku mutu kwapirina ma ivavo, “Ko koyaghi mede ta kitai Elaija epitipiti korosi yai ina teresoru wei!”
MRK.15.37	Yesu ponana ghamanakinai igarara ma isiraghe. 
MRK.15.38	Gara nabanabana tempol sinenai irororoke, wasa vokuwaya kirakinina ipapayaraghi, na itamosika tepanai da isoru ku gaburina. 
MRK.15.39	Touvighavighaviya badana korosi maghinonai imeimeiri na Yesu ikimakava isiraghe na ikitai ma ivavo bo, “Weni korotona na vagheina Meimeituwa natuna!” 
MRK.15.40	Weivine ruwamtousi na nani, uwamai imeiri ma ikitakita. Sanasiyai na Meri Magadalin, Meri, Jems kiki ma Joses asi maduwa, ma Salome. 
MRK.15.41	Maranai Yesu Galili yai, weni weivinesi iwagiwagisei ma ivo vowagui. Nani dobunai na bade weivine ipesari sasara iyavo ipiti yavuyavu ku Jerusalem.
MRK.15.42+MRK.15.43	Ivivi kuririsi na tura kayokayowana marana (touna marana na Sabati maghinonai.) Josepa koto Arimatiya isegha. Touna Sanhedrien vovo viviranina sago ivivi koyakoyagha Meimeituwa ina Koyagha ipitipiti kubina. Vagheina ma ere maghitepatorana inerui Pailat kurina ma ivi baghai Yesu tupuwina kubina.
MRK.15.44	Pailat irusakwara, maranai ivi yanei da Yesu namada isiraghe. Touvighavighaviya badana ighorei ipiti ma ivi taravirei mike da namadani kava isiraghe, touvighavighaviya badana ivi segha da isiraghe. 
MRK.15.45	Vagheina ma Pailat Josepa ivi vagheinei da Yesu tupuwina ina veiya.
MRK.15.46	Josepa gara ghavoghavorina kavakavana ma gurinakina igimari, tupuwina itere soruwei, garai igerei ma ku guba itere runi. Wakima bagibaginai ibouni ma ipapai. Muriyai wakima ghamanakina benabenana ma dubidubina itabiri da guba kana nenerui ikasi potai. 
