GEN.1.1	I acakki piny Lubaŋa oketo polo ki lobo. 
ROM.16.10	Wumot Apelle, ma en dano ma genne i Kricito. Wumot jo me ot pa Aricitobulo. 
ROM.16.11	Wumot Kerodion ma en watta, ki jo me ot pa Narocico ma gitye i Rwot, 
ROM.16.12	ma gin aye Terapaina ki Terpoca, ki larema Perici bene ma otiyo tic matek i Rwot. 
ROM.16.13	Wumot Rupo, dano ma ŋene i Rwot, gin ki minne ma alwoŋo ni maa bene. 
ROM.16.14	Wumot bene Acinkerito, Pelegon, Keremec, Patroba, Keremac ki utmego ma gitye kacel kwedgi. 
ROM.16.15	Wumot bene Pilologo ki Julia, Nerea gin ki laminne, ki Olimpa, ki jo pa Lubaŋa ducu ma gitye kacel kwedgi. 
ROM.16.16	Wumotte kekenwu ki mot maleŋ me mar. Lwak jo ma guye Kricito i kabedo mapatpat ducu gumotowu.
ROM.16.17	Abako doga botwu, utmegina, wunen jo ma gikelo apokapoka i lok ma miyo dano poto i bal, ma pe rwatte ki pwony ma yam gipwonyowu kwede. Pe wuribbe ki jo macalo meno. 
ROM.16.18	Jo macalo meno pe gin lutic pa Rwotwa Kricito; rwotgi ma gimaro aye igi. Gibwolo tam pa dano ma gipe ki tam marac, ma kun noŋo giloko lok maber ma winyone mit adada. 
ROM.16.19	Kit winy ma wubedo kwede bot Lubaŋa doŋ owinnye bot jo ducu, meno aye gin mumiyo wuyomo cwinya. Doŋ amito wubed luryeko i gin maber, ento myero wubed maleŋ laboŋo bal; 
ROM.16.20	ci Lubaŋa won kuc binyoto Catan woko oyotoyot piny i te tyenwu. Kica pa Rwotwa Yecu Kricito obed kwedwu.
ROM.16.22	An Tertio aye ma acoyo waraga man amotowu i Rwot.
ROM.16.23	[
ROM.16.24	Kica pa Rwotwa Yecu Kricito obed kwedwu wun ducu. Amen.]
ROM.16.25	Myero wami deyo bot Lubaŋa ma twero miyo wucuŋ matek, macalo apwonyo kwede i lok me kwena maber ma abedo ka titone-ni, ki lok ma gitito i kom Yecu Kricito. Muŋ man yam Lubaŋa okano oliŋ woko litik pi lwak mwaka mapol, ka lacen doŋ oyabo ka maleŋ. 
ROM.16.26	Kombeddi doŋ ginyuto woko ka maleŋ i lok ma lunebi yam gucoyo ma omiyo lurok ducu guŋeyo kit macalo Lubaŋa ma pe to yam ociko, wek omi gulub niye. 
ROM.16.27	Deyo obed bot Lubaŋa nakanaka, ma en keken aye won ryeko, pi Yecu Kricito. Amen.
1CO.1.1	Waraga man oa ki bot Paulo, ma pi mit pa Lubaŋa yam Lubaŋa olwoŋe me bedo lakwena pa Kricito Yecu, ki dok ki bot ominwa Coctene.
1CO.1.3	Lubaŋa Wonwa ki Rwotwa Yecu Kricito omiwu kica ki kuc.
1CO.1.4	Nino ducu amiyo pwoc bot Lubaŋana pi kicane ma en omiyowu i Kricito Yecu, 
1CO.1.5	pien pi bedowu i Kricito omiyo doŋ wudoko lulonyo i yo ducu. Wutye bene doŋ ki ŋec ducu, dok wutwero doŋ lok maber, 
1CO.1.6	pien lok ma wabedo ka titone i kom Yecu Kricito odonyo matek i iwu. 
1CO.1.7	Omiyo mot mo me cwiny pe orem botwu, ma kun pud wutye ka kuro kare me nyuto Rwotwa Yecu Kricito. 
1CO.1.8	En bigwokowu miyo wucuŋ matek nio wa i agikki, noŋo pe wutye ki gin mo ma myero gidotwu iye i nino pa Rwotwa Yecu Kricito. 
1CO.1.9	Lubaŋa ma olwoŋowu me ribbe kacel ki Wode Yecu Kricito Rwotwa, en ŋat ma genne.
1CO.1.10	Abako doga botwu, utmegina, pi nyiŋ Rwotwa Yecu Kricito, ni wun ducu myero wulok lok acel, apokapoka mo pe myero obed tye i kinwu, ento myero wuribbe i cwiny ki tam acel. 
1CO.1.11	Pien jo mogo ma gua ki bot Koloe gutitta lok i komwu, ni meno daa tye i kinwu, utmegina. 
1CO.1.12	Gin ma awaco en aye ni, dano acel acel i kinwu tyeka waco ni, “An dano pa Paulo,” nyo ni “An dano pa Kepa
1CO.1.13	Kricito mono iye opokke? Yam kono giguro Paulo i kom yatariya piwa? Onoŋo yam gibatijawu i nyiŋ Paulo? 
1CO.1.14	Apwoyo Lubaŋa mada pien an gira yam pe abatija dano mo i kinwu, kono abatija Kricipo ki Gayo keken, 
1CO.1.15	wek ŋat mo pe owac ni gibatija en i nyiŋa. 
1CO.1.16	Abatija bene jo ma i ot pa Citepana; pe doŋ atwero po ka onoŋo dok abatija ŋat mukene. 
1CO.1.17	Kricito pe ocwala ka batija dano, ento ka tito lok me kwena maber ma pe atito ki ryeko mo me lok, wek pe omi to pa Kricito i kom yatariya obed gin ma konnye pe.
1CO.1.18	Lok i kom yatariya ki tuŋ bot jo ma tye ka rwenyo woko, nen calo gin me miŋo, ento ki tuŋ botwa, wan jo ma Lubaŋa tye ka larowa, obedo tek pa Lubaŋa. 
1CO.1.19	Pien yam gicoyo ni,
1CO.1.19	“Abityeko ryeko pa jo maryek,
1CO.1.19	abibalo niaŋ pa jo ma ŋeyo piny woko.”
1CO.1.21	Pi ryeko pa Lubaŋa omiyo jo me lobo pe guŋeye pi ryekogi, ento Lubaŋa pi twerone olaro jo muye en pi lok me miŋo ma watito. 
1CO.1.22	Lujudaya gimito neno lanyut mogo, ki jo Grik giyenyo megi ryeko; 
1CO.1.23	ento wan giwa watito pi Kricito ma yam giguro i kom yatariya, ma lokke ki tuŋ bot Lujudaya obedo lok atata, ki bot Lurok nen lok me miŋo. 
1CO.1.24	Ento bot jo ma gilwoŋogi, Lujudaya ki jo Grik, Kricito obedo tek ki ryeko pa Lubaŋa. 
1CO.1.25	Pien miŋo pa Lubaŋa kato ryeko pa dano woko ki ryeko, goro pa Lubaŋa bene tek kato teko ma dano tye kwede woko.
1CO.1.26	Utmegina, koŋ wutam pi lwoŋo ma Lubaŋa olwoŋowu kwede. Jo mapol i kinwu onoŋo pe giryek i kit me lobo, jo mapol i kinwu onoŋo pe gitye ki twero, dok jo mapol i kinwu onoŋo pe gubedo wegi deyo. 
1CO.1.27	Ento Lubaŋa oyero gin mamiŋ me lobo, wek oket lewic i kom luryeko; Lubaŋa oyero gin ma goro i lobo-ni wek oket lewic i kom gin jo matek; 
1CO.1.28	Lubaŋa oyero gin mogo me lobo ma gicayogi, ma rwomgi piny, kadi jami mogo ma pe gitye, wek omi gin ma tye odok gin ata, 
1CO.1.29	wek dano mo pe owakke i nyim Lubaŋa. 
1CO.1.30	Lubaŋa aye mumiyo wubedo i Kricito Yecu, ma Lubaŋa omiyo odoko ryekowa. Pi Kricito bene omiyo Lubaŋa okwanowa ni kitwa atir, olonyowa wadoko jo maleŋ, okokowa bene ki i opii me bal. 
1CO.1.31	Doŋ kit macalo yam gicoyo, “Ŋat ma nyatte myero onyatte pi Rwot.”
1CO.2.1	Utmegina, yam pe abino botwu ki lok mo nyo ki ryeko mo mamalo i kare ma atuco botwu lok me muŋ me yub pa Lubaŋa. 
1CO.2.2	Onoŋo amoko tamma pe me ŋeyo gin mo i kinwu, kono Yecu Kricito keken, kit ma gigure kwede i kom yatariya. 
1CO.2.3	Yam abedo kwedwu ma agoro, abedo ki lworo madwoŋ, koma bene omyel matek. 
1CO.2.4	Lokka ki gin ma atito yam pe obedo lok mo me ryeko me ywayo tamwu, ento onyuto tek pa Cwiny Maleŋ, 
1CO.2.5	wek niyewu pe ocuŋ i kom ryeko pa dano, ento i kom tek pa Lubaŋa.
1CO.2.6	Watito ryeko bot jo muteggi, ento ryeko man pe ryeko me lobo-ni, nyo ryeko pa luloc me kare man, ma twerogi rwenyo woko-ni. 
1CO.2.7	Ento wan watito ryeko pa Lubaŋa ma en muŋ ma gikano, ryeko ma yam Lubaŋa oyubo wa con me kelo deyo botwa. 
1CO.2.8	Pe tye laloc mo me lobo man ma oniaŋ iye; ka nene guniaŋ, kono pe guguro Rwot, won deyo, i kom yatariya. 
1CO.2.9	Ento macalo yam gicoyo,
1CO.2.9	“Gin mogo ma dano pe guneno ki waŋgi, dok bene pe guwinyo ki itgi,
1CO.2.9	gin mogo ma pe donyo i tam pa dano,
1CO.2.9	gin magi en aye gin ma Lubaŋa oyubo pi jo ma mare,”
1CO.2.10	dok gin ma Lubaŋa omiyo Cwiny Maleŋ onyutogi botwa. Pien Cwiny Maleŋ ŋiyo jami ducu, kadi wa tam ma Lubaŋa okano i iye ka matut. 
1CO.2.11	Aŋa ma ŋeyo tam ma tye i i dano mukene? Pe cwiny dano-nu ma tye i iye keken aye ŋeyo? Kit meno bene, pe tye ŋat mo ma ŋeyo tam pa Lubaŋa, kono Cwiny pa Lubaŋa keken. 
1CO.2.12	Yam pe gimiyowa cwiny me lobo man, ento gimiyowa Cwiny ma oa ki bot Lubaŋa, wek omi waniaŋ i kom kit mot ducu ma Lubaŋa miyowa pi kicane. 
1CO.2.13	Meno aye lok ma watito; pe waloko lok ma gipwonyo ki ryeko pa dano, ento watito lok ma Cwiny Maleŋ opwonyowa kwede, kun wanyuto lok me Cwiny bot jo ma tye ki Cwiny pa Lubaŋa. 
1CO.2.14	Ento dano ma pe ki Cwiny pa Lubaŋa pe twero gamo gin ma Cwiny pa Lubaŋa miyo, pien ki tuŋ bote obedo gin me miŋo, en pe twero niaŋ iye, pien gin macalo meno Cwiny Maleŋ aye miyo dano ŋeyo pimo. 
1CO.2.15	Dano ma tye ki Cwiny pa Lubaŋa ŋeyo pimo jami ducu, ento ŋat mo pe ma ŋolo kop i kome. 
1CO.2.16	Yam gicoyo ni,
1CO.2.16	“Aŋa ma ŋeyo tam pa Rwot?
1CO.2.16	Aŋa ma yam miye tam?”
1CO.2.16	Ento wan watye ki tam pa Kricito
1CO.3.1	Ento wun utmegina, yam pe onoŋo atwero lok kwedwu calo jo ma tye ki Cwiny pa Lubaŋa, ento aloko kwedwu macalo jo ma pud tye ki kit ma ginywalogi kwede, macalo litino lukere i Kricito. 
1CO.3.2	Yam apitowu ki cak, pien onoŋo peya wutwero camo cam matek; kadi wa kombeddi bene pud pe wuromo camo cam matek, 
1CO.3.3	pien pud wutye ki kit ma ginywalowu kwede. Ka pud wutye ki nyeko i kinwu, ma wuda kekenwu, meno pe nyuto ni pud wutye i kit ma ginywalowu kwede, kun pud wulubo kit pa dano? 
1CO.3.4	Ka dano mo i kinwu waco ni, “An dano pa Paulo,” ki ŋat mukene bene waco ni, “An dano pa Apolo,” meno noŋo pe nyuto ni wun pud wubedo dano adana?
1CO.3.5	Apolo mono en aŋa? Paulo kono en aŋa? Wan aye lutic ma miyo wuye Yecu. Ŋat acel acel tye ki tic ma Rwot opoko bote. 
1CO.3.6	Yam acoyo kodi, Apolo oonyo iye pii, ento Lubaŋa omiyo odoŋo.
1CO.3.7	Kadi bed kumeno, ŋat mucoyo kodi nyo ŋat ma oonyo iye pii, gin ducu pe gin mo, kono Lubaŋa keken aye ma miyo jami doŋo. 
1CO.3.8	Dano ma ocoyo kodi ki ŋat muonyo pii iye, gin ducu girom, ŋat acel acel binoŋo mucarane muporo tic ma en otiyo. 
1CO.3.9	Pien wan lutic kacel ki Lubaŋa; wun poto pa Lubaŋa, dok bene wun gedo pa Lubaŋa.
1CO.3.10	Pi kica pa Lubaŋa ma gimiya, omiyo aketo te guti me gedo macalo ladit me gedo ma ladiro; ki dano mo mukene tye ka gero ot i wiye. Ento dano acel acel myero ogwokke kit macalo etye kwede ka gedo. 
1CO.3.11	Pien pe tye te guti mo mukene ma gitwero ketone, kono maca ma doŋ tye-ni keken, en aye Yecu Kricito. 
1CO.3.12	Doŋ ka ŋat mo ogedo i wi te guti mukwoŋo-nu ki jabu nyo ryal, nyo godi me wel-gu, nyo yat nyo lum, nyo reŋ kal, 
1CO.3.13	tic ma dano acel acel otiyo binen woko ka maleŋ. Pien mac me Nino maca binyuto tic pa dano acel acel, ci nyuto ka maleŋ kit macalo ticce tye kwede. 
1CO.3.14	Ka ce inen gedo pa dano-nu odoŋ, en gedo ma ogero i kom te guti mukwoŋo-ni, dano meno bilimo bakacic me pwoc. 
1CO.3.15	Ento ka ce gedo pa dano mo owaŋ woko, ci en pe binoŋo kabacic mo me pwoc, ento en kikome bibwot, macalo ŋat ma koŋ owok ki i mac ka doŋ okatti ka maleŋ.
1CO.3.17	Doŋ ka ŋat mo obalo ot pa Lubaŋa, Lubaŋa bene biteke woko; pien ot pa Lubaŋa leŋ, wun kikomwu aye wu ot meno.
1CO.3.18	Ŋat mo pe obwolle kekene. Ka ce dano mo i kinwu tamo ni eryek i lobo man, en koŋ myero olokke odok lamiŋ, ka wek doŋ odok maryek. 
1CO.3.19	Pien gin ma dano me lobo man gitamo ni obedo me ryeko, i nyim Lubaŋa obedo gin me miŋo. Pien yam gicoyo ni, “En mako jo maryek i ryekogi kengi, macalo i owic,” 
1CO.3.20	dok ni, “Rwot ŋeyo ni tam pa luryeko mere gin ma konnye pe.” 
1CO.3.21	Pi meno ŋat mo pe myero owakke i kom dano, pien jami ducu obedo mewu; 
1CO.3.22	kadi ki Paulo, nyo Apolo, nyo Kepa, nyo lobo man, nyo kwo, nyo to, nyo gin ma tye kombeddi, nyo gin ma bibedo tye i anyim. Magi-gu ducu mewu; 
1CO.3.23	wun jo pa Kricito, ki Kricito pa Lubaŋa.
1CO.4.1	Myero ginenwa macalo lutic pa Kricito, ki lugwok muŋ pa Lubaŋa. 
1CO.4.2	Gin ma mitte ki bot lugwok jami, en aye ni myero gubed jo ma genne. 
1CO.4.3	Ki tuŋ bota man lok matidi mo twatwal ka wuŋolo kop i koma, kadi lukiko mo pa dano bene. An kikoma bene pe aŋolo kop i koma kena. 
1CO.4.4	Pien aŋeyo ni cwinya leŋ, ento man pe twero miyo aloyo kop. Rwot aye ma ŋolo kop i koma. 
1CO.4.5	Pi meno, pe wuŋol kop mo ma peya kare oromo, ma pud peya Rwot odwogo. En aye ma bimenyo gin ducu mukanne i piny macol, dok binyuto tam ma tye icwiny dano miyo nen woko ka maleŋ. I kare meno Lubaŋa bipwoyo dano acel acel i kit ma myero.
1CO.4.6	Utmegina, lok magi aloko odok i koma ki i kom Apolo piwu, wek omi wun wapwonnye i komwa ki te lok man, ni, “Wubed kun wulubo gin ma yam gicoyo,” wek dano mo i kinwu pe owakke, ma pako dano acel kun cayo kwede ŋat mukene. 
1CO.4.7	Doŋ aŋa mono ma neno in macalo dano mapat ki jo mukene? Gin aŋo ma itye kwede ma pe gimii amiya? Ka gimii amiya, piŋo iwakke kwede kumeno calo pe gimii amiya nono?
1CO.4.8	Doŋ wuyeŋ woko! Doŋ wudoko lulonyo bene! Doŋ bene wudoko luker, kadi bed wan pe luker! Atikane kono, onoŋo wamito ni wudok luker, wek wan bene wabed luker kacel kwedwu. 
1CO.4.9	Pien atamo ni, Lubaŋa onyutowa wan lukwena calo jo mudoŋ cen twatwal, macalo jo ma giŋolo kop me to i wigi; pien doŋ wadoko ginanena pi jo ma i wi lobo ducu, bot lumalaika ki bot dano. 
1CO.4.10	Doŋ wadoko lumiŋ pi Kricito, ento wun wuryek i Kricito. Wan wagoro, ento wun wutek. Giketo deyo i komwu, ento wan gicayowa acaya. 
1CO.4.11	Nio kombeddi kec tye ka nekowa, orwo pii oketowa woko, boŋowa pe me aruka, gidoŋowa ki ciŋ, ki pacowa-gu bene pe; 
1CO.4.12	wacanne kun watiyo tic matek ki ciŋwa. Ka dano giyetowa, wan walamo gum i komgi; ka giunowa, wan waciro acira; 
1CO.4.13	ka gibalo nyiŋwa, wan wanwerre giwa anwera ki mwolo. Doŋ wadoko calo yugi me wi lobo; wan doŋ cilo me jami ducu.
1CO.4.14	Pe acoyo lok man ni wek lewic omakwu, ento me pwonyowu macalo litinona ma amaro. 
1CO.4.15	Kadi bed wutye ki lupwony alip ki alip ma gitelowu i yo pa Kricito, pe wutye ki wego mapol. Yam adoko wonwu i Kricito pi lok me kwena maber. 
1CO.4.16	Pi meno alegowu, wulub kita. 
1CO.4.17	Man en gin mumiyo acwalo Temceo botwu. Temceo aye latinna ma amaro i Rwot, dok genne. En bipoyo wiwu i yo ma atye ka lubone i Kricito Yecu, ma apwonyo ki jo ducu muye Kricito i kabedo ducu. 
1CO.4.18	Jo mogo i kinwu gitye ka tamo ni an pe abibino botwu, omiyo gitye ka wakke. 
1CO.4.19	Ento ka Rwot oye abio botwu oyot, ka wek abinene tek pa jo ma gitye ka wakke-ni, ento pe lok ma giloko aloka. 
1CO.4.20	Ker pa Lubaŋa pe ocuŋ i kom gin ma giloko aloka ento i kom tek. 
1CO.4.21	Wumito gin aŋo? Wumito abin botwu ki odoo, nyo abin ki mar ki cwiny me mwolo?
1CO.5.2	Pud bene wuwakke pire! Cwinywu pe myero ocwer, wek giryem ŋat ma otimo kit tim macalo meno woko ki i kinwu?
1CO.5.3	An ki tuŋ bota, kadi ape kunnu, cwinya tye botwu kunnu; kit macalo atye kunnu-ni doŋ atyeko ŋolo kop woko i kom dano meno ma doŋ otimo tim marac-ci. 
1CO.5.4	Myero wucokke kacel i nyiŋ Rwotwa, ma noŋo an bene atye kwedwu i cwiny ki tek pa Rwotwa Yecu, 
1CO.5.5	ka doŋ wumi dano macalo man bot Catan wek onek kome woko, wek cwinye aye obilarre i nino pa Rwot. 
1CO.5.6	Wakkewu-ni pe ber. Pe wuŋeyo ni tobi matidi mo yenyo moko ducu ma girubo me tedo mugati? 
1CO.5.7	Wukwany tobi macon woko, wek wubed mugati manyen. I adane, tobi pe i komwu, pien latin romowa me Kato (Paska) doŋ gityero woko, en aye Kricito. 
1CO.5.8	Pe doŋ myero wakweru Katowa ki tobi macon, en tobi me raccwiny ki tim mogo maraco, ento myero wakweru ki mugati ma tobi pe iye, ma en aye leŋ ic ki ada.
1CO.5.9	Yam acoyo botwu i waragana ni meno, pe wuribbe ki jo ma gitimo tim kwele. 
1CO.5.10	Pe onoŋo aloko i kom dano me lobo-ni ma gitimo tim kwele, nyo luworo me jami, ki luyak, nyo jo ma woro cal jogi. Pe kumeno; ka kuman onoŋo myero wua woko ki i lobo. 
1CO.5.11	I adane acoyo botwu ni pe wuribbe ki ŋat mo ma gilwoŋo ni dano pa Kricito, ka otimo tim kwele, nyo ka en obedo laworo me jami, nyo obedo dano ma woro cal jok, gwok nyo layet dano, lamero nyo layak; pe wunywak cam kacel ki kodi dano-nu. 
1CO.5.12	Meno pe ticca me ŋolo kop i kom jo ma pe guye Yecu. Lubaŋa aye ma biŋolo kop i komgi. Pe myero wun aye wuŋol kop i kom jo muye Lubaŋa ma gitye i kinwu? 
1CO.5.13	Wuryem dano marac woko ki i kinwu.
1CO.6.1	Ka dano mo i kinwu tye ki lok mo i kom lawote, piŋo lewic pe make me pido ki dano-nu i nyim jo ma kitgi pe atir, ma ka pido kwede i nyim jo pa Lubaŋa? 
1CO.6.2	Pe wuŋeyo ni jo pa Lubaŋa aye ma biŋolo kop i kom dano me lobo? Ka wun kulu aye ma wubiŋolo kop i kom lobo, ci pe wuromo ŋolo kop mogo matitinone piwu kenwu? 
1CO.6.3	Pe wuŋeyo bene ni wan aye ma wabiŋolo kop i kom lumalaika? Ento kop ma mako kwo ma watye iye-ni kono? 
1CO.6.4	Ka ce wutye ki lok mogo me kwo ma watye iye-ni, piŋo wutero i nyim jo ma pigi pe tek bot jo muye Kricito? 
1CO.6.5	Awaco lok man wek lewic omakwu. Pe tye ŋat mo maryek i kinwu ma romo tyeko lok ma tye i kin omegine? 
1CO.6.6	Ma ka timo kit meno, nen, dano moni dok pido ki ominne kadi wa i nyim jo ma pe guye Kricito.
1CO.6.7	Ka wupido pido i komwu kekenwu kit meno, noŋo pe doŋ wupoto woko? Piŋo pe ber botwu me ciro gin marac? Bedo ber ka kono wuweko dano gubuyowu. 
1CO.6.8	Ma ka timo kit meno, wun kikomwu aye dok wulokke wudok ka timo dano marac, dok bene wubuyo kadi wa utmegiwu.
1CO.6.9	Pe wuŋeyo ni jo ma pe kitgi atir-ri, ker pa Lubaŋa pe bibedo megi? Pe wuwek gibwolwu; kadi lutim tim kwele, nyo jo ma woro cal jogi, ki lutim abor, nyo jo ma buto ki co wadgi, 
1CO.6.10	nyo lukwo, nyo luworo me jami, nyo lumero, nyo luyet dano, nyo luyak, ker pa Lubaŋa pe bibedo megi. 
1CO.6.11	Jo mogo i kinwu bene yam gubedo macalo jo meno. Ento wun doŋ gityeko lonyowu me bedo jo maleŋ, gityeko kwanowu ni wun jo ma kitwu atir pi nyiŋ Rwot Yecu Kricito ki piny Cwiny pa Lubaŋawa.
1CO.6.13	Wuwacci, “Cam tye pi ic, ki ic bene pi cam.” Ento gin aryo-nu ducu Lubaŋa bityekogi woko. Kom pe tye pi tim kwele, ento tye pi Rwot, Rwot bene tye pi kom. 
1CO.6.14	Lubaŋa yam ocero Rwot woko ki i kin jo muto, en bicerowa woko bene pi twerone. 
1CO.6.15	Pe wuŋeyo ni komwu aye obedo dul kom Kricito? Nen myero ka akwanyo dul kom Kricito, aloko odoko dul kom malaya? Pe twerre! 
1CO.6.16	Pe wuŋeyo ni dano ma ribbe ki malaya doko kom acel kwede? Pien “gin aryonu gibidoko kom acel,” macalo yam gicoyo. 
1CO.6.17	Ento ŋat ma ribbe ki Rwot, doko cwiny acel kwede. 
1CO.6.18	Wubol tim kwele woko. Bal mukene ducu ma dano timo tye woko, pe gudo kome; ento ŋat ma timo tim kwele balo kome kene. 
1CO.6.19	Pe wuŋeyo ni komwu aye ot pa Cwiny Maleŋ ma bedo i iwu, ma Lubaŋa omiyo botwu? Wun pe wutye piwu kenwu; 
1CO.6.20	doŋ giwilowu awila ki wel. Pi meno myero wumi komwu oket deyo i kom Lubaŋa.
1CO.7.1	Doŋ me dok i lok ma wucoyo waraga bota pire, bedo ber ka laco mo pe ogudo dako, 
1CO.7.2	ento pi geŋo tim me abor, myero laco acel acel obed ki dakone, ki dako acel acel bene myero obed ki cware. 
1CO.7.3	Laco myero ocob miti pa dakone, ki dako bene myero ocob miti pa cware. 
1CO.7.4	Dako pe loyo kome kene, ento kono cware aye ma loyo; kit meno laco bene pe loyo kome kene ento dakone bene ma loyo. 
1CO.7.5	Dano acel acel pe myero okwer pi kome bot lawote, kono gwok nyo pi kare manok mo keken ma wuyubo ayuba dok wuye kacel, wek wunoŋ kare me bedo ka lego Lubaŋa. Ka lacen dok wuribbe kacel, wek Catan pe obitwu, pi miti ma wutye kwede ma pe jukke. 
1CO.7.6	Awaco lok man kun aye ayeya keken, ento pe aketo macalo cik. 
1CO.7.7	Kono onoŋo twerre amito dano ducu gubed kit macalo atye kwede-ni; ento dano acel acel tye ki kit motte mutiko en, ma Lubaŋa omiye; inoŋo ni dano mo-ni tye ki mot man, ki dano mukene tye ki mapatte.
1CO.7.8	Bot jo ma pud peya gunyomo, ki bot mon ma coggi oto, awaco kit man ni, bedo ber ka kono gubedo macalo an. 
1CO.7.9	Ento ka pe giromo jukke kengi, myero gunyom, pien nyom ber kato ma laco nyo dako obedo ka ciro miti me kom.
1CO.7.11	Ento ka ce dako mo doŋ oweko cware, myero obed kene, nyo odwog cen bot cware, pe oger laco mo mukene. Dok laco bene pe myero oryem dakone.
1CO.7.12	Bot jo mukene-gu, an kikoma aye ma atye ka lok, pe Rwot gire, ni, ka ce Lakricitayo mo tye ki dakone ma pe oye Yecu, ka dako-nu oye me medde ki bedo kwede, laco pe myero oryeme woko. 
1CO.7.13	Ka dako mo bene tye ki cware ma pe oye Yecu, ka ce cware oye me medde ki bedo kwede, pe myero okwere. 
1CO.7.14	Pien laco ma pe oye Yecu doko leŋ pi dakone, ki dako ma pe oye Yecu bene doko leŋ pi cware ma Lakricitayo-ni. Ka pe kumeno, kono litinowu pe gibedo leŋ, ento kit macalo tye gileŋ gigi. 
1CO.7.15	Ento ka ŋat ma pe oye Yecu mito pokke woko ki lawote, wek opokke. Doŋ lok macalo meno Lakricitayo ma laco nyo ma dako pe tye iye ki dic mo, pien Lubaŋa olwoŋowa ni wabed ki kuc. 
1CO.7.16	In dako, iŋeyo niŋniŋ ka ibilaro cwari? Nyo in laco, iŋeyo niŋniŋ ka ibilaro dakoni?
1CO.7.17	Myero doŋ dano acel acel olub kit kwo ma Rwot omiye, en kwo ma yam en tye iye i kare ma Lubaŋa olwoŋe. Man en gin ma aciko ki jo ducu ma guye Kricito. 
1CO.7.18	Tye dano mo ma onoŋo doŋ olirre i kare ma gilwoŋe? En pe myero openy yo me dwoko kome macalo dano ma pe giliro. Tye dano ma onoŋo doŋ pe gilire i kare ma gilwoŋe? En pe myero openy yo me lirre. 
1CO.7.19	Pien bedo ma giliri ki bedo ma pe giliri pe konyo gin mo; ento gwoko cik pa Lubaŋa aye konyo. 
1CO.7.20	Dano acel acel myero obed ki kite macon ma onoŋo en tye kwede i kare ma gilwoŋe. 
1CO.7.21	I kare ma gilwoŋi onoŋo ibedo opii? Pe ipar. Ento ka inoŋo yo me a woko ki i opii, ci ti kwede. 
1CO.7.22	Ŋat ma gilwoŋo me bedo i Kricito ma onoŋo en opii, en aye dano ma Rwot doŋ ogonyo woko ki i opii. Kit meno bene, ŋat ma onoŋo lone kene ka gilwoŋe, doŋ odoko opii pa Kricito. 
1CO.7.23	Wun jo ma giwilo ki wel; pe wudok opii pa dano mo. 
1CO.7.24	Utmegina, dano acel acel myero obed i nyim Lubaŋa ki kite ma ceŋ gilwoŋe kwede ca.
1CO.7.25	Lok ma dok i kom jo ma pud peya gunyomme, pe anoŋo cik mo ma oa ki bot Rwot, ento amiyo tamma iye macalo dano ma Lubaŋa doŋ otyeko timo kica bote, en mumiyo abedo ŋat ma genne. 
1CO.7.26	Doŋ atamo ni, pi can ma odiyowa marac, bedo ber ka dano moni obedo kit macalo tye kwede. 
1CO.7.27	Itye ki dako? Pe item gonyo nyom woko. In dakoni pe? Pe imit nyom. 
1CO.7.28	Ento ka inyomo, noŋo pe itimo bal mo. Nyako bene ka ginyomo noŋo pe otimo bal. Ento jo ma nyomme gibinoŋo ayelayela me kwo me lobo man; amito ni ka twerre kono akwanyo ayelayela meno woko ki i komwu. 
1CO.7.29	Utmegina, gin ma aloko en ene ni, kare doŋ odoko diŋ; cakke kombeddi jo ma tye ki mon myero gubed calo jo ma pe ki mon, 
1CO.7.30	ki jo ma kumo myero gubed calo jo ma pe kumo, jo ma cwinygi yom calo jo ma pe cwinygi yom, jo ma wilo jami gubed calo jo ma pe tye ki gin mo, 
1CO.7.31	jo ma tiyo ki jami me lobo man calo jo ma pe gitye ka tic kwede, pien lobo kit ma tye kwede-ni bitum woko.
1CO.7.32	Amito wubed laboŋo par mo. Dano ma pud peya onyomo, cwinye paro lok pa Rwot, kit ma myero eyom kwede cwiny Rwot. 
1CO.7.33	Ento dano ma doŋ onyomo, paro mere lok me lobo kit ma ebiyomo kwede cwiny dakone; 
1CO.7.34	tamme pokke i dul aryo. Dako ma pe ginyomo, nyo nyako, bene paro lok pa Rwot, wek ebed maleŋ i kome ki i cwinye. Ento dako ma ginyomo paro mere lok me lobo, kit ma myero eyom kwede cwiny cware. 
1CO.7.35	Awaco lok man pi konyowu, pe me geŋowu ageŋa, ento wek omi gin ducu owot kakare, cwinywu bene obed i kom Rwot, ma gin mo pe ywayo tamwu tero woko cen.
1CO.7.36	Ka ŋat mo tamo ni kit bedone ki nyako ma ecikke kwede pe tye atir, ka marre dit i kome, en doŋ myero otim kit macalo cwinye mito, ka tamo ni obed ki meno. Bal mo pe iye, gitwero nyomme megi. 
1CO.7.37	Ento ka dano mo cwinye tek kun pe tye gin mo ma diye, ma doŋ bene noŋo otyeko mine me weko nyako-nu ma pe ginyomme, noŋo otimo ber ka ce twero loyo tamme. 
1CO.7.38	Kumeno ŋat munyomo nyako ma ecikke kwede noŋo otimo ber, ento ŋat ma pe onyomo nyako ma en ocikke kwede noŋo otimo ber makato.
