MRK.1.1	Igii e tanwaran Rokap na Fafas ulo Iesu Karisito, Kalalik ke God.
1TH.4.7	Wara le God biil i tawi pes ta kerer le keren tel sinang laulau, biil. I tawi pes ta kerer isi keren liu ini matngan liu ae i kalkaluu. 
1TH.4.8	Pesu le tikas i ongen ufu fafausum igii, biil i ongen ufu fafausum ken kaltu, biil. I ongen ufu fafausum ke God ae i ta Tanwa Kalkaluu la usuf gam.
1TH.4.9	Biil i fasih kemtuul en sisiit sabin usuf gam na famais kimi usuf foron tualik gam. Wara le God tom ka fausum ta gam isi gamen famais faliu ini gam. 
1TH.4.10	Tekentu kanaka, gam ier kanaka isi foron tualik gam ae na foron falifuh tikii na Masedonia. Isau le kemtuul ka sising gam isi famais kimi ik kuum lalala.
1TH.4.11	I rokap le gamen ier kanaka isi mi na foron matngan sinang aragii: Gamen liu ini siaroh ke gong gam fakau paklu gam na tier ken nenge kaltu. Isau le gamen foimnge inen ami ini liumi arae kemtuul fas ta gam. 
1TH.4.12	Male gamen tel u arae, ke fanu ae biil ri unune, rin bulat lo gam ma biil sabin gamen tapiek arae foron tom fapare.
1TH.4.13	Foron tualik kemtuul, kemtuul ier le gamen usum na fanu ae ri ka met tah. Ke gong gam mamais arae fanu ae biil ri unune le fanu ae ri ka met tah, rin aptih fis sabin. 
1TH.4.14	Kere unune le Iesu i met tah ke ka aptih fis sabin. Pesu kere ka unune le fanseh ae ri unune lo Iesu, ma ri ka met tah, God in faptih fafis ri isi rik la turim tura Iesu, aunbiing in fis sabin. 
1TH.4.15	Foron orek igii kemtuul fas gam ini, i e orek ke Kumguui tom. Kerer ae keren liu papang na biing ae Kumguui in fis sabin, biil keren famu lon fanseh ae ri ka met tah. Biil. 
1TH.4.16	Wara le Kumguui tom in puh tinbae na Kukulii, ini rakrakai na orek, ke famfamu ken foron angelo ik orek, ma kinen tafih ke God ik ninih, ma fanseh ae ri ka met tah ini unune lo Iesu Karisito, rin aptih famu. 
1TH.4.17	Namih, kerer ae kere liu biitom, rin kep turim kerer tura ri na laukaf ubase na mua isi kerek tafe Kumguui na mua. Isi kerek kiis fitliu turim tura Kumguui. 
1TH.4.18	Pesu gamen farakrakai temtem tikii lo gam tom ini foron orek ae.
1TH.5.1	Pesu foron tualik kemtuul, biil kemtuul en sisiit isi fas gam ini aunbiing le biing sah kumguui in fis lo. 
1TH.5.2	Wara le gam ka usum rokap tah le, biing ke Kumguui una fis, in fabitit kerer arae tom sisii i la isi sisii na wor. 
1TH.5.3	Aunbiing ae fanu rin orek aragii, “Biil kemem tafe ti tatawin. Kere liu rokap sau.” Ke fiu in fabitit ri arae fangngungut ae nenge fifin i kalsakai u aunbiing fatat in fafang. Biil i fasih rin alfe u e tatawin ae.
1TH.5.4	Isau le gam foron tualik kemtuul, gam biil tina kubunor, isi biing ae ik fabitit gam arae nenge tom sisii. 
1TH.5.5	Wara le gam berberat tina malal ke gam berberat tina ien. Kerer biil tina wor le tina kubunor, biil. 
1TH.5.6	Pesu gong gam arae fal e fanu ae ri borong muduung. Keren mat ma kerek tumarnge foron wolwol kirer. 
1TH.5.7	Wara le foron tom borborong met, ri borong la na wor. Ke foron tom umin dan rakrakai, ri umin dan rakrakai la na wor. 
1TH.5.8	Isau le kere fanu tina ien, i rokap le keren tumarnge foron wolwol kirer. Keren kilkiliis ini unune ke famais isi rik par kerer arae nenge tom fapaket ae i tel kale matan mangia ini nenge dangan aen. Ma keren nene ini unune sabin le Iesu in faliu kerer, arae nenge tom fapaket i luun at aen. 
1TH.5.9	Wara le God biil i tim pes ta kerer isi keren kalsakai fangungut na palgan ngaliaf kia. Biil. I tim pes ta kerer isi keren kep fafaliu sing Kumguui, Iesu Karisito. 
1TH.5.10	I met tah isi kerer, isi keren liu turim tura, aunbiing in fis sabin, kerer tikii ae kere liu biitom turan fanu ae ri ka met tah. 
1TH.5.11	Pesu gamen ta rokap na orek una lupes temtem tikii lo gam ke farakrakai temtem tikii lo gam arae tom gam tel u la.
1TH.5.12	Foron tualik kemtuul, kemtuul sising gam le gamen bulat lon fanseh ae ri foim rakrakai na fatpoto gam, ma ri parpar kale gam na foim ke Kumguui ma ri ka fausum gam. 
1TH.5.13	Gamen lala bulat lo ri ini famais, wara na foim kiri. Ke gamen liu ini siaroh turan temtem tikii lo gam. 
1TH.5.14	Foron tualik kemtuul, kemtuul sising gam isi gamen fanau foron tom angos ke gamek farkrakai fanseh ae ri binbin la, ke gamek lupes fanseh ae unune kiri biil i rakrakai. Ke gamen fofo ini fanu tikii. 
1TH.5.15	Gamen tumarang, isi gong gam kiliis laulau ini laulau. Foim rakrakai isi gamen tel sinang rokap usuf temtem tikii lo gam ke usuf fal e fanu sabin.
1TH.5.16	Gamen laes la ma sau. 
1TH.5.17	Ke gamen sising la ma sau. 
1TH.5.18	Gamen fot rokap usuf God isi foron tier tikii ae i tapiek la sing gam. Wara le i e wolwol ke God usuf gam ae gam ke Iesu Karisito.
1TH.5.19	Gong gam ti kale foim ken Tanwa Kalkaluu. 
1TH.5.20	Male tikas i orek propet, ke gong gam wol le foron orek kia i tier foes sau. 
1TH.5.21	Gamen tof foron orek tikii, ke foron sinang tikii, ke gamen posefat na foron sinang rokap tikii. 
1TH.5.22	Gamen alfe foron sinang laulau tikii.
1TH.5.23	Kemtuul sising usuf God ae i ta siaroh la in fakalkaluu liu kimi, isi gamek tapiek kalkaluu tikii na mata. Kemtuul sising sabin le God in fofonoi na liu kimi tikii, aragii, na foron tanwa gam, foron wolwol kimi, ke na pununfo gam isi biil rin tiu gam na biing ae Kumguui kirer, Iesu Karisito in fis sabin. 
1TH.5.24	God ae i tawi pes ta gam, i tom orek suut, ma in tel u.
1TH.5.25	Foron tualik kemtuul, gamen sising isi kemtuul. 
1TH.5.26	Aunbiing gam fatafe ini foron tom unune, gamen dorop ri ini famais, ma gamen tel u ini sinang ae i kalkaluu. 
1TH.5.27	Ia sising gam na asa Kumguui le gamen wes foron sisiit igii usuf foron tualik kerer tikii.
1TH.5.28	Famais ke Kumguui kirer, Iesu Karisito in kiis tura gam.
2TH.1.1	Iau Pol, Sailas ke Timoti, kemtuul sisiit usuf gam foron tom unune na Tesalonika, gam fanseh ae gam unune lo God Tama kerer ke Kumguui, Iesu Karisito.
2TH.1.2	Famais ke siaroh usuf gam sing God Tama kerer ke Kumguui Iesu Karisito.
2TH.1.3	Foron tualik kemtuul, i rokap le kemtuul en fot rokap la usuf God isi gam. I tortores le kemtuul en tel u arae, wara le unune kimi i kuum lalala, ke famais kimi usuf temtem tikii lo gam sabin i kuum lalala. 
2TH.1.4	Ma i e wara ke kemtuul ka ususefages gam la usuf foron tom unune na fal e maleh. Kemtuul usefages gam la na unune kimi, ke na tifat kimi na palgan foron tatawin ae gam kalsakai ta u, ke foron fangungut ae fanu ri ta u sing gam.
2TH.1.5	Tifat kimi na tatawin i famalal u le, nagogon ke God i tortores. Gam kalsakai fangungut, wara le gam fakuum matanfuntih kia. Arae God i tawi pes ta gam arae foron tom tortores una matanfuntih kia. 
2TH.1.6	God i tortores ma in ta fangungut usuf fanseh ae ri ta fangungut usuf gam. 
2TH.1.7	Ke in famangeh gam, ae gam kalsakai fangungut ma in tel u sabin arae lo kemtuul. God in tel u arae, aunbiing Kumguui Iesu in puh tinbae na Kukulii ini tara na karfian yiif, ke turan foron rakrakai na angelo kia. 
2TH.1.8	In ta fangungut arae fifiil una foron sinang laulau ken fanseh ae biil ri usum lo God, ke seh ae biil i misuut na Rokap na Fafas ke kirer Kumguui, Iesu. 
2TH.1.9	Fanu ae rin kalsakai fangungut ae biil in to farfarop, i e fiu fitliu, ma rin kiis tapak koseng Kumguui ma ini memeh na rakrakai kia. 
2TH.1.10	Nagogon ae in tapiek na biing ae, aunbiing Kumguui in fis, isi fanu kalkaluu kia rik me u, ke fanseh ae ri unune lo, rin usefages u. Gam sabin tura ri, wara le gam unune tah na foron orek ae kemtuul fas ta gam ini.
2TH.1.11	I e wara, ae kemtuul ka sising la isi gam. Kemtuul sising la usuf God kirer le in foteng gam le gam tortores isi gamek mi na matngan liu ae i tawi pes ta gam isi. Ke na rakrakai kia, in lupes gam, isi gamek tel fasuut foron rokap na foim ae gam ier isi tel u, ke foron sinang tikii ae unune kimi i fatapiek u la. 
2TH.1.12	Kemtuul sising arae, isi asa Iesu Kumguui kirer ik kep memeh, wara lo gam. God sabin in ta memeh usuf gam. Foron tier tikii igii i tapiek, wara na famais ke God kirer ke Kumguui, Iesu Karisito.
2TH.2.1	Foron tualik kemtuul, kemtuul ier isi fas gam ini paipai fis ke Kumguui kirer, Iesu Karisito, ke ini la turim kirer usuf i. Kemtuul sising gam 
2TH.2.2	isi wolwol kimi gong i nut sape ke gong iwu e wolwol kimi, aunbiing gam ongen u le biing ke Kumuui igii mang ka tapiek tah. Male tikas in use u le fal e tanwa ri fas ta u ini, ke, male tikas in fas ta gam ini, ke, male gam wes u na ti fal e buk ae i use u le kemtuul siit ta u usuf gam, gong gam unune lo. 
2TH.2.3	Gong gam somangat pes tikas isi in fambal gam na ti foron matngan sal, wara le biing ae, biil biitom in tapiek papang na aunbiing fanu fuun rin ta pokta ri usuf God ke tom lek nagogon ik tapiek malal, ier ae in fiu fitliu. 
2TH.2.4	In tapiek arae tuui ke God ke ini foron tier tikii ae fanu ri foteng u le foron god ae ri lotu la usuf ri, ke ik falaumet u tom ma ik kiis na Felun Sising ke God, ke in use u tom le, i tom e God.
2TH.2.5	Aunbiing ia kiis tah tura gam, ia fas gam la ini foron tier igii. Arafah, biil mang gam wol pes foron tier ae ia fas ta gam ini? 
2TH.2.6	Gam usum na sanih ae i ti kale u, isau le, aunbiing kia in geges, ke ik tapiek na malal. 
2TH.2.7	Wara le rakrakai ken sinangun lek nagogon igii mang ka foim kum tah na piklinbat. Isau le kaltu ae i ti kale u, in ti kale u biitom, papang na aunbiing kaltu ae i ti kale u la in mangmangal. 
2TH.2.8	Namih, tom lek nagogon ae ik tapiek na malmalal, ke Iesu Kumguui ik falaulau u ini kif na ngusu, ke ik falaulau u ini memeh na paipai fis kia. 
2TH.2.9	Tom lek nagogon ae in tapiek ini rakrakai ke Satan, ke ik finngas in fuun e tier an fabitit, ke foron rakrakai na tier, ke foron fakileng ae biil ri tekentu. 
2TH.2.10	Na foron matngan foim laulau tikii ae in tel u, in fambal fanu ae ri lala la isi fiu. Rin fiu wara le biil ri ier isi somangat pes orek tekentu, isi rik kep fafaliu. 
2TH.2.11	I e wara, ke God ka faruungruung wolwol kiri isi rin unune sau na lem, 
2TH.2.12	isi ri tikii ae biil ri unune na tekentu, ma ri laes sau ini foron sinang laulau, rin fiu na nagogon ke God.
2TH.2.13	Foron tualik kemtuul ae Kumguui i ier kanaka isi gam, i rokap le kemtuul en fot rokap usuf God isi gam, wara le pakanini tom God i tim pes ta gam isi gamen kep fafaliu. I faliu ta gam aunbiing Tanwa Kalkaluu i fakalkaluu pes ta gam ke gam ka unune na tekentu. 
2TH.2.14	Na Rokap na Fafas ae kemtuul fas ta gam ini, God i tawi pes ta gam isi kep fafaliu isi gamek kep memeh ke Kumguui kirer, Iesu Karisito. 
2TH.2.15	Pesu foron tualik kemtuul, gamen tifat ke gamek posefat na foron fafausum ae kemtuul fausum ta gam ini, ke foron fafausum sabin ae kemtuul siit ta u usuf gam.
2TH.2.16	Kumguui kirer tom, Iesu Karisito ke God Tama kerer, i ier kanaka la isi kerer, ke na famais kia i fen ta kerer ini orek an famfamor ae in kiis fitliu, ke in lupes kerer isi keren kiis nene ini unune isi rokap ae in tel u. 
2TH.2.17	Kemtuul sising u aragii, isi in famor gam ke ik farakrakai gam na foron foim tikii kimi, ke na foron rokap na orek kimi sabin.
2TH.3.1	Foron tualik kemtuul, igii e nenge orek sabin ae kemtuul ier isi fas gam ini, le gamen sising isi kemtuul, isi orek ke Kumguui ik sararah sape, isi fanu rik bulat lo arae gam sabin gam bulat ta lo. 
2TH.3.2	Ke gamen sising sabin isi kemtuul, isi God ik faliu kemtuul koseng fanu laulau, wara le biil e fanu tikii ri foron tom unune. 
2TH.3.3	Isau le Kumguui tom orek suut, in farakrakai gam ke ik fofonoi lo gam sabin koseng Satan. 
2TH.3.4	Kemtuul unune lo Kumguui le, gam tel foron tier la tom ae kemtuul fas ta gam ini, ke gamen tel u la tom arae. 
2TH.3.5	Kemtuul sising le in lame wolwol kimi isi gamek usum rokap na famais ke God, ke gamek usum sabin na sinangun tifat na foron tatawin ae Karisito i finngas ta kerer ini.
2TH.3.6	Foron tualik kemtuul, kemtuul sising gam na asa Kumguui, Iesu Karisito le, gamen fin koseng foron tualik kerer ae ri angos la, ae biil ri mi na foron fafausum ae kemtuul fas ta gam ini. 
2TH.3.7	Gam tom, gam ka usum ta lo le, i rokap male gamen mi na tintof ae kemtuul ka tel ta u na matmi. Aunbiing kemtuul kiis turim ta tura gam, biil kemtuul arae foron tom angos. 
2TH.3.8	Ke biil sabin kemtuul ien foes ti inen sing tikas ae biil kemtuul fiil u. Biil. Kemtuul foim rakrakai tom na wor ke na siat ini foron lima kemtuul ke kemtuul ka songsong tom na foron foim ae kemtuul tel u la, isi biil kemtuul en ta tatawin usuf tikas lo gam. 
2TH.3.9	I tortores le kemtuul en sising gam isi gamen lupes kemtuul. Isau le biil, kemtuul foim rakrakai tom isi kemtuul en fofonoi fis tom lo kemtuul, isi kemtuul ek arae rokap na tintof usuf gam isi gamek mi lo. 
2TH.3.10	Aunbiing kemtuul kiis tah tura gam, kemtuul ta ta nagogon igii usuf gam, “Male tikas biil i ier isi foim, ke gong i ien.”
2TH.3.11	Kemtuul ongen u le fal e fanu ae na fatpoto gam ri foron tom angos. Biil ri foim la, ri fakau paklu ri la tom na tier ken fal e fanu keskes. 
2TH.3.12	Na asa Kumguui, Iesu Karisito, kemtuul ti kale foron matngan fanu arae, ke kemtuul ka sising ri isi rik mi na sinangun kiis rokap, ke rik foimnge inen ari ae rin ien lo. 
2TH.3.13	Ke usuf gam foron tualik kemtuul, gamen foim rakrakai isi gamek tel sinang ae i tortores ma gong gam angos lo.
2TH.3.14	Male tikas biil i misuut na foron orek tikii ae kemtuul siit u igii, ke gamen luun matmi lo. Gong gam fatala turim tura, isi i tom ik par failiim liu kia ma ik matlawen kuna. 
2TH.3.15	Isau le gong gam par u aragii nenge tuui kimi, gamen fanau u sau arae nenge tualik gam.
2TH.3.16	Kemtuul sising le Kumguui ae i ta siaroh la, in ta siaroh usuf gam na foron aunbiing tikii ke na foron tier tikii ae gamen tafe u. Kumguui in kiis tura gam tikii.
2TH.3.17	Iau Pol, ia siit orek an famais igii usuf gam ini limang tom. I e fakileng na foron leta tikii kiak. Ia sisiit la tom arae.
2TH.3.18	Famais ke Kumguui kirer, Iesu Karisito in kiis tura gam tikii.
1TI.1.1	Iau Pol, aposel ke Karisito Iesu, na wolwol ke God Tom Fafaliu kirer, ke Karisito Iesu, ae kere kiis nene isi, ini unune.
1TI.1.2	Ia sisiit usuf o Timoti, keng kalalik tekentu na unune. Famais, rokap na fofonoi ke siaroh usuf o sing God Tama kerer, ke Kumguui kirer Karisito Iesu.
1TI.1.3	Igii ia ka farakrakai o sabin isi ok kiis tom aiwa na Efeses, arae ia fas ta o, aunbiing ia la tah una falifuh na Masedonia. On kiis tom aiwa isi ok tikale fanseh ae ri fausum fanu la ini fal e fafausum famfabal. 
1TI.1.4	Ke ok tikale ri isi gong ri muduung sau ini foron titiipapah foes, ma ini foron ususe na foron mat ken fanu, foron ususe arae, biil ti farfarop lo. I fatapiek fakep ini orek sau, ma biil i fakuum foim ke God. Foim ke God i kuum sau ini unune.
1TI.1.5	Ia use rakrakai na orek igii, isi kerek famais faliu ini kerer. Famais ae i la tina balrer ae i fuuh ke tina rokap na wolwol, ke tekentu na unune. 
1TI.1.6	Isau le fal e fanu ri ka la koseng ta foron rokap na sinang igii, ke ri ka mi sau na foron orek foes. 
1TI.1.7	Ri ier isi fausum fanu ini foron nagogon ke God, isau le biil ri usum na sanih ae ri use u. Biil sabin ri usum na kamtinan orek ae, ri wol le imel e tasum kiri lo.
1TI.1.8	Kere usum le i rokap e foron nagogon ke God, male tikas i foim rokap ini. 
1TI.1.9	Kere usum sabin le foron nagogon, biil i tapiek usuf foron tom tortores, biil. Foron nagogon i tapiek sau usuf fanu aragii: Foron tom lek nagogon, foron tabun wong, fanu ae biil ri lotu la una aisa God, foron tom tel sinang laulau, fanu ae biil ri mi la na wolwol ke God, fanu ae ri tel sinang la tina piklinbat, foron tom sisiimete, fanu ae ri siimete foron temri ke foron tinri la, 
1TI.1.10	foron tom tel sinangun puur, kaltu ae i fakekel fis tom ini nenge kaltu, fanu ae ri lose fanu la isi nenge kaltu keskes ik fiil pes ri, foron tom famfabal, foron tom falimlim foes, ke fal e sinang sabin. Foron sinang tikii igii i neng keskes na foron fafausum ae i tekentu. 
1TI.1.11	Fafausum ae i tekentu ifasih ini Rokap na Fafas. Ma i la tinbae sing God ae i fuun ini fafakalok. Ma Rokap na Fafas ae, i fafas ini memeh ke God. God i unune ufu tah usuf iau isi ian fafas ini.
1TI.1.12	Ia fotrokap usuf Kumguui kirer, Karisito Iesu, ae i ta ta rakrakai usuf iau, wara le i unune lo iau, ke ka tim pes ta iau isi ian tel foim kia. 
1TI.1.13	Pakanini ia use falaulau Iesu la, ia ka falaulau foron tom unune ke ia ka ta fangungut usuf ri. Isau le famais ke God usuf iau i laumet kanaka, wara le biil ia usum na foron tier ae ia tel u, ke biil biitom ia unune. 
1TI.1.14	Famais tinbae sing Kumguui kirer usuf iau, i laumet kanaka, ma i la usuf iau turim turan sinangun unune ke turan sinangun famais. Fafen igii, i wara sau lo Karisito Iesu.
1TI.1.15	Orek igii ian use u, i tekentu kanaka ma keren unune lo. Iesu i puh uga na piklinbat isi in faliu pes foron tom tel sinang laulau. Ma ia laulau kanaka lon fanu tikii. 
1TI.1.16	Ma i e wara, God ka finngas famais kia usuf iau, isi Karisito Iesu ik finngas rokap na sinang usuf iau, ae i laumet kanaka, aunbiing i faliu pes ta iau. Ma ia laulau kanaka lon foron tom tel sinang laulau tikii. Pesu, iau arae nenge rokap na tintof usuf fanseh ae rin unune lo Karisito Iesu ma rik kep liu fitliu. 
1TI.1.17	Keren sik asa King ae i liu fitliu, ae biil i met la, ma biil ri par u la, ma i keskes sau i God. Ususefages usuf i biil in to rop. Amen.
1TI.1.18	Timoti, keng kalalik, rakrakai na orek ae ia ta u usuf o, i arae orek poropet ae ri use ta u ulo wo. On sotih rakrakai na foron orek kiri, isi ok fapaket rokap ini Rokap na Fafas. 
1TI.1.19	Sotih rakrakai na unune kiam, ke ok mi na sinang ae o usum le i rokap. Fale fanu biil ri mi lo arae, ke unune kiri ka laulau arae nenge mon ae panaf i pagal u ke ka dom. 
1TI.1.20	Ifasih sabin arae Imeneus ru e Aleksenda. Ia ka ta ufu ta ruh una lima Satan, isi ruk kep usum isi biil sabin run use falaulau God.
1TI.2.1	Tier famu, ia ier isi foron tom unune rin sising. Gamen sising isi sanih gam ier isi, gamen sising isi fanu, ke gamen sising una fotrokap usuf God. Gamen sising arae, isi fanu tikii. 
1TI.2.2	Ke gamen sising sabin isi foron king, ke isi foron famfamu tikii, isi kerek kiis rokap ini siaroh, ke liu ae i kalkaluu, ke liu ae i mi na wolwol ke God. 
1TI.2.3	Male gamen sising arae, ke in rokap kanaka na mata God, Tom Fafaliu kirer, ke in laes ini. 
1TI.2.4	I ier isi faliu pes fanu tikii, ma isi rik usum na tekentu. 
1TI.2.5	Wara le i tikii sau e God, ke i tikii sau e kaltu ae i lame turim fanu tura God, i e Karisito Iesu, 
1TI.2.6	ae i ta ta liu kia tom isi in fiil fafis fanu tikii. Na aunbiing ae God i put ta u, Iesu ka fatekentu wolwol ke God, ae i ier isi faliu pes fanu tikii. 
1TI.2.7	I e wara, God ka tim pes ta iau isi ian tapiek nenge aposel, ke iak fafas ini Rokap na Fafas usuf fanu ae biil ri fan Iudaia, ma iak fausum ri ini unune tekentu. Ia orek tekentu, biil ia to lem.
1TI.2.8	Ia ier isi fanutamat tikii na foron maleh rin sising, ma aunbiing rin sising rin sik limri una mawe ini sinang ae i kalkaluu, biil ini balkut ke ini ti fakep ini orek.
1TI.2.9	Ia ier sabin le kelefin tikii rin kilkiliis ini foron kilkiliis ken kelefin tom. Rin kilkiliis ini foron kaen ae i finngas bulat ke rokap na sinang. Gong ri got ma ri ka fis olri, gong ri me ri tom ini goul le foron kutkute ae i fen kanaka e matri, ke gong sabin ri kilkiliis ini foron kilkiliis ae i fen kanaka e matri. 
1TI.2.10	Isau le kelefin ae ri tara le ri lotu la usuf God, rin kilkiliis ini foron rokap na sinang.
1TI.2.11	Ke aunbiing kelefin ri kep fafausum, i rokap le rin kiis fofo ma rik fapuh ri tom. 
1TI.2.12	Biil ia to somangat ufu ti fifin isi in fausum ti kaltu, le in famu pes u. I rokap le in kiis fofo sau. 
1TI.2.13	Wara le God i fakiis famu ta Adam ke namih Iwa. 
1TI.2.14	Ke biil e Adam ae Satan i fabal ta u. Biil. Fifin ae Satan i fabal ta u, ke sinang laulau ka tapiek. 
1TI.2.15	Isau le God in faliu kelefin na sinangun fafang, male rin tifat na unune, na famais, na sinang kalkaluu ke na tortores na sinang.
1TI.3.1	Orek igii i tekentu kanaka, ma keren unune lo: Male tikas i ier isi tapiek nenge famfamu na lotu, nenge rokap na foim tom ae i tim pes ta u. 
1TI.3.2	Ke le tikas i ier isi tapiek nenge famfamu na lotu, i rokap le sinangu in tara aragii: Biil rin tiu u ini ti tier, in tikii sau e antu, wolwol kia in malal, in tikale foron wolwol laulau kia tom, i e matngan kaltu ae fanu ri bulat la lo, in tom somangat pes fanu una matanfel kia, ke i fasih in fausum fanu. 
1TI.3.3	Ke biil in tom umin dan rakrakai. Biil in tom ngalngaliaf, in kaltu una siaroh, ke biil in kaltu una fapue, ke biil in lala ier la isi pitkalang. 
1TI.3.4	I rokap male in nagogon fakasi matanfel kia, ke in fausum berberat kia la isi rin wong la sing i ke rik bulat la lo. 
1TI.3.5	Male nenge kaltu biil i usum na nagogon fakasi matanfel kia, ke biil i fasih in parpar kale foron tom unune, na lotu ke God. 
1TI.3.6	Male i am sokiliis liu kia sau, ke biil in tapiek nenge famfamu, tarama ka falaumet u tom ma ka luut, ke ka tih na nagogon arae Satan. 
1TI.3.7	I rokap male nenge famfamu na lotu, in matngan kaltu ae fanu biil ri lotu la, rin bulat lo. Male biil, tarama ri ka orek laulau ulo, ke ka fiu na kuun ke Satan.
1TI.3.8	Ifasih sabin usuf foron tom falupes na lotu, i rokap male rin matngan fanu ae i fasih fanu rin bulat lo ri, biil rin kaltu ae iwu la e kerme ri, biil rin fanu una lala umin dan rakrakai, ke biil rin fanu una akalemok. 
1TI.3.9	Rin posefat na tekentu na unune, ke rin usum tom le wolwol kiri i tortores. 
1TI.3.10	Gamen tof famu ta ri bii, male biil ti tier i tikale ri, ke aimang, gamek somangat ufu ri isi kep foim arae foron tom falupes na lotu.
1TI.3.11	Ifasih sabin usuf foron antu ri, rin matngan kelefin ae i fasih fanu rin bulat lo ri, biil rin orek kumkum la. I rokap le in malal e wolwol kiri, ke rin tekentu na foron foim tikii.
1TI.3.12	Ke nenge tom falupes na lotu, in tikii sau e antu, ke in nagogon fakasi berberat kia turan fanu tikii ae na fel kia. 
1TI.3.13	Fanseh ae ri foim rokap arae foron tom falupes na lotu, fanu rin bulat lo ri. Ke unune kiri lo Karisito Iesu in rakrakai lalala.
1TI.3.14	Ia ier isi la sape usuf o, isau le ia wol le, in rokap male ian sisiit famu usuf o. 
1TI.3.15	Male ti tier i tikale iau ma biil ia tapiek sape, o ka usum tah na foron sinang ae fanu ke God rin tel u na fatpoto ri tom. Wara le fanu ke God ae i liu, ri arae nenge rakrakai na tuh na fel, ae i farakrakai orek tekentu. 
1TI.3.16	Tekentu, kere usum tom le, fafausum ae kere unune lo i tier laumet. Pakanini, i kiis mumun tah, isau le igii ka tapiek malal mang. I lame kerer isi unune lo God. Waran fafausum ae i aragii:
1TI.3.16	Karisito i tapiek aragii kaltu,
1TI.3.16	ke Tanwa Kalkaluu ka famalal u le, Karisito i tortores na mata God.
1TI.3.16	Foron angelo ri par ta u,
1TI.3.16	ma fafas lo ka sararah usuf foron mat tikii,
1TI.3.16	ke fanu fuun na piklinbat ri ka unune lo.
1TI.3.16	Ke God ka kep fatatkau u, ma ka fakiis u na memeh kia.
1TI.4.1	Tanwa Kalkaluu i famalal u le, na farfarop na aunbiing, fal e fanu rin ta pokta ri una foron orek tekentu ke God, ma rik mi na foron tanwan famfabal ke na foron fafausum ken foron tanwa laulau. 
1TI.4.2	Foron fafausum ae, i la sing foron tom famfabal ae biil mang tom i fasih rin iliim sinang rokap ke sinang laulau, wara le rokap na wolwol kiri ka rop tah, arae i sok tah na yiif. 
1TI.4.3	Ri fausum fanu le gong ri fakekel, ke gong ri ien ti fal e matngan inen. Isau le God i fakiis ta foron inen igii isi fanseh ae ri unune ma ri usum na tekentu, rin fotrokap lo, ke namih rik ien u. 
1TI.4.4	I tekentu kanaka, wara le foron tier tikii ae God i fakiis ta u i rokap. Biil ifasih keren soke ufu ti tier. I rokap le keren somangat pes u ini fotrokap usuf God. 
1TI.4.5	Wara le orek ke God turan sising, i fakalkaluu foron inen ae, na mata God.
1TI.4.6	Male on fausum foron tuamlik na asa Iesu ini foron tier igii, on tapiek nenge rokap na tom foim ke Karisito Iesu, ke on posefat na tekentu na unune, ke rokap na fafausum ae o ka mi ta lo. 
1TI.4.7	Fin koseng foron titiipapah foes ke foron ususe ae biil ifasih rin lupes o. Isau le on falasan wo tom isi on mi na foron sinang ae i rokap na mata God. 
1TI.4.8	Male kere falasan pununfo kerer isi keren filau rokap, ke in farokap kerer sau na fatuklin aunbiing. Isau male keren falasan kerer isi mi na sinang ae i rokap na mata God, ke in farokap kerer na foron tier tikii, in farokap kerer na liu igii, ke na liu sabin ae namih.
1TI.4.9	Orek igii ia use u i tekentu kanaka, ma keren unune lo. 
1TI.4.10	Kere foim la ke kere ka totof rakrakai la, wara le kere nene ini unune lo God ae i liu, i e Tom Fafaliu ken fanu tikii. In faliu pes fanu tikii ae ri unune lo.
1TI.4.11	On fausum ri ke ok farakrakai ri ini foron tier igii. 
1TI.4.12	Gong o somangat pes tikas isi in puris o wara le o guam, isau le on tapiek nenge rokap na tintof na matan foron tom unune na orek kiam, na sinangum, na famais kiam, na unune kiam ke na liu kiam ae i kalkaluu. 
1TI.4.13	On wes mulmul Buk na Gogoh usuf fanu, ke ok fafas, ke ok fausum ri papang na biing ian tapiek. 
1TI.4.14	Gong o wol fofoes na fafen ae Tanwa Kalkaluu i ta ta u usuf o, aunbiing foron famfamu na lotu ri luun ta limri na olom, ma ri ka sising, ke ri ka orek poropet tah ulo wo.
1TI.4.15	On foim rakrakai ke ok ta tikii liu kiam una foron tier igii, isi fanu tikii rik par liu kiam lo God i kuum lalala. 
1TI.4.16	On fofonoi rokap na sinangum ke na fafausum kiam. On posefat na iun tier igii. Male on tel u arae, ke on faliu wo tom turan fanseh sabin ae ri ongen o.
1TI.5.1	Aunbiing o ier isi fatortores nenge kaltu ae i pang famu lo wo, gong o orek ngaliaf ulo. On faorek u sau arae i nenge tamam, ke foron guam arae foron tuamlik. 
1TI.5.2	Ke on fatortores kelefin ae ri pang famu lo wo, arae le ri foron tinam, ke on fatortores foron tah arae le ri foron fenemlik, ini sinang ae i kalkaluu.
1TI.5.3	On lupes foron makos ae biil tom tikas una lupes ri. 
1TI.5.4	Isau, male nenge makos i mel e berberat kia ke foron tubufifin, ke i rokap le rin finngas famu unune kiri usuf foron fanu lo ri, isi rik kiliis fafis fofonoi ken foron temri ke foron tinri, turan foron tubufifin ri. Wara le matngan sinang arae in falaes God. 
