MAT.1.1	Libri i gjeneallogjisë Iesu Krishtit, birit Davidit, birit Abrahamit.
PHP.4.7	edhe paqtimi i Perëndisë qi kapërcen qish do mendie, ka me rueitunë zemëratë tueja, edhe mendimetë tuei me anë të Iesu Krishtit.
PHP.4.8	Përandai, o vëllazën, sa janë të vërteta, sa 
PHP.4.9	Edhe 
PHP.4.10	Edhe u gëzueshë me të madhet mbë Zotinë, se tashti për mbaskëndai e diftuetë lulëzuem kujdesinë qi keni për mue; edhe për ate kishitë për me pasunë kujdes, por s’patët kohë.
PHP.4.11	Jo se thom 
PHP.4.12	Dij të përungjem, dij edhe të tepërohem; gjithë-ku-do a mbë të gjitha jam mësuem edhe të ngihem edhe të kem uni, edhe të më tepërojn’ edhe të më mengojnë.
PHP.4.13	Të gjitha mundem 
PHP.4.14	Por batë mirë qi muertë piesë bashkë me mue ndë shtrëngim t’em.
PHP.4.15	Edhe ju e dini, o Filippianë, se kur u zu fillë ungjilli, kur dola prei Makedonisë, as ndonji kishë nukë muer piesë me mue për të marrë e për të dhanë, veç ju vetëmë,
PHP.4.16	sepse edhe ndë Thessalonikë nji herë edhe dy herë më dërguetë për nevojënë 
PHP.4.17	Jo se kërkoj të dhanëtë, por kërkoj pemënë qi ashtë shumuem për llogari tuei.
PHP.4.18	Por i ka të gjitha, edhe më tepërojnë; jam mbushunë, sepse prita prei Epafroditit ato qi 
PHP.4.19	Edhe Perëndia em ka për me mbushunë gjithë nevojënë tuei mbas pasëjesë vet ndë laft me anë të Iesu Krishtit.
PHP.4.20	Edhe mbë Perëndinë edhe Atinë t’anë 
PHP.4.21	Falni me shëndet qish do shenjti mbë Iesu Krishtinë. U falenë juve me shëndet vëllazënitë qi janë bashkë me mue.
PHP.4.22	U falenë juve me shëndet gjithë shenjtënitë, por shumë ma fort ata qi janë prei shtëpisë Kaisarit.
PHP.4.23	Hiri i Zotit t’ynë Iesu Krishtit 
COL.1.1	Pauli apostulli i Iesu Krishtit prei dashunimit Perëndisë, edhe Timotheu vëllai:
COL.1.2	mbë shenjtënit edhe mbë vëllazënit besëtarë mbë Krishtinë qi janë ndë Kolosse, hir edhe paqtim 
COL.1.3	I falemi ndersë Perëndisë edhe të Atit Zotit t’ynë Iesu Krishtit, tue u falunë përherë për ju,
COL.1.4	kur ndëgjuem për besënë tuei qi keni mbë Iesu Krishtinë, edhe për dashuninë qi keni mbë gjithë shenjtënit,
COL.1.5	për shpëresënë qi ruhetë për ju ndë qijet, të cillën’ e keni ndëgjuem përpara ndë fjalët të vërtetënisë ungjillit,
COL.1.6	qi erdhi mbë ju, sikurse edhe mbë gjithë botënë, edhe ban pemë, sikurse edhe mbë ju, çë mb’ate ditë qi ndëgjuet’ edhe ngjoftë hirin’ e Perëndisë me vërtetëni,
COL.1.7	edhe sikurse e muertë vesht prei Epafrait të dashunit shërbëtorit shoqit t’ynë, i cilli ashtë për ju besëtar shërbëtor’ i Krishtit,
COL.1.8	edhe ai na diftoi dashuninë tuei ndë Shpirt.
COL.1.9	Përandai edhe na çë mb’ate ditë qi ndëgjuem, nukë pushoimë tue u falunë për ju, edhe tue lypunë qi të mbusheni prei së ngjofëmesë dashunimit ati me qish do dituni, e me urti shpirtënie,
COL.1.10	qi të ecëni sikurse vëjen për Zotinë mbë qish do pëlqim, tue bamë pemë ndë qish do farë pune të mirë, edhe tue u rritunë mbë të ngjofunit të Perëndisë;
COL.1.11	tue marrë fuqi me qish do farë fuqie mbas pushtetit laftit ati, mbë qish do durim e zemërë të gjanë bashkë me gëzim;
COL.1.12	tue iu falunë ndersë Atit qi na bani të zotënitë ndë piesë të shortësë shenjtënavet ndë dritë,
COL.1.13	i cilli na shpëtoi prei pushtetit errësinësë, edhe na pruni ndë mbëretënit të Birit dashunisë vet,
COL.1.14	mb’ate kemi shpërbliminë me anë të gjakut ati, ndëjesën’ e fajevet,
COL.1.15	i cilli ashtë shëmbëllëtyr’ e të padukunit Perëndi’, para-lem’ i gjithë krijesësë,
COL.1.16	sepse prei ati janë krijuem të gjitha, sa janë mbi qijet, edhe sa janë mbi dhet, sa duken’ edhe sa s’dukenë, a shqembe, a zotëni, a urdhëna, a pushtete, të gjitha janë krijuem me anë t’ati edhe për ate.
COL.1.17	Edhe ai ashtë para të gjithëve, edhe të gjitha qindrojnë mb’ate.
COL.1.18	Edhe ai ashtë kryet’ e korpit kishësë, ai asht’ e filluemeja, para-lemë prei së vdekunish, qi të bahet’ ai i parë mbë të gjitha.
COL.1.19	Sepse mb’ate pëlqen 
COL.1.20	edhe me anë t’ati të paqtohenë të gjitha mbë vetëhet t’ati, sepse bani paqtim me anë të gjakut kryqit ati, me anë t’ati, sa janë mbi dhet, a sa janë ndë qijet.
COL.1.21	Edhe ju qi ishitë njiherë të huej edhe anëmiq prei mendiesë me punët e këqia,
COL.1.22	por tashti u paqtoi juve me korpin’ e mishit ati me anë të vdekësë, qi t’u nxierri juve përpara ati shenjtëna e faqe-bardhë e të pazanë me fjalë;
COL.1.23	ndë qofshi ndë besët themeluem e ngulunë, e të mos lueni vendit prei shpëresës’ ungjillit qi ndëgjuetë, edhe qi u predikue mbë gjithë krijesënë qi ashtë ndënë qiell, të cillit 
COL.1.24	Tashti gëzohem ndë pësimet e mia për ju, edhe mbush të mangunat’ e shtrëngimevet Krishtit ndë mish t’em për korpin’ e ati, qi ashtë kisha;
COL.1.25	asai u bash’ unë shërbëtuer mbas kujdesit Perëndisë qi m’u dha për ju, qi të mbush fjalën’ e Perëndisë,
COL.1.26	mysterinë qi ishte mshefunë prei jetëvet e prei faravet, edhe tashti u diftue mbë shenjtënit e ati;
COL.1.27	atyneve Perëndia deshi me diftuem, cilla ashtë pasëja e laftit këti mysteri mbë kombet, i cilli ashtë Krishti mbë ju, shpëresa e laftit,
COL.1.28	qi ate na predikoimë, tue porositunë qish do nieri, e tue mësuem qish do nieri me qish do farë ditunie qi të nxierrimë përpara Iesu Krishtit qish do nieri të kullutë;
COL.1.29	për këte 
COL.2.1	Sepse due ta dini sa luftë të madhe kam për ju, edhe për ata qi janë ndë Laodiki, edhe për gjithë sa s’kanë pamë faqenë t’eme me mish,
COL.2.2	qi të ngushullohenë zemërat’ e atyneve, tue u piekunë bashkë ndë dashuni, edhe mbë qish do farë pasëje të mbushëmesë mendiesë, qi të ngjofinë mysterin’ e Perëndisë edhe Atit, edhe të Krishtit,
COL.2.3	ndë të cillinë janë mshefunë gjithë thesorët’ e ditunisë, edhe të mendiesë.
COL.2.4	Edhe thom këte, qi të mos u gënjejë juve kushi me fjalë të holla,
COL.2.5	sepse ndonëse me mish s’jam përpara jush, por me shpirt jam bashkë me ju, tue u gëzuem e tue pamë rregullinë tuei, edhe qindrimin’ e besësë tuei mbë Krishtinë.
COL.2.6	Sikurse pra e keni marrë Zotinë Iesu Krisht, 
COL.2.7	tue zanë rranjë e tue u ndërtuem mb’ate, edhe tue u forcuem ndë besët, sikurse u mësuetë tue u tepëruem mb’ate me të falunë ndersë.
COL.2.8	Këqyrni mos u gënjejë kushi me anë të filosofisë edhe gënjimit kotë, mbas fjalëvet nierëzëvet qi kanë lanë mbas elementavet botësë, e jo mbas Krishtit.
COL.2.9	Sepse tek ai rri gjithë të mbushunit, e hyinisë korpënisht;
COL.2.10	edhe jeni mbushunë tek ai, i cilli ashtë kryet’ e qish do urdhëni, 
COL.2.11	mbë të cillin’ edhe jeni rreth-premë me rreth-presëje pa zanë me dorë, sepse keni sveshunë korpin’ e fajëvet mishit me anë të rreth-presëjesë Krishtit.
COL.2.12	Jeni vorruem bashkë me ate ndë pagëzimt; prei ati edhe jeni ngjallunë me anë të besësë të vepëruemit Perëndisë, i cilli e ngjalli prei së vdekunish.
COL.2.13	Edhe ju tue qenunë të vdekunë ndë fajet e ndë parreth-presëjen’ e mishit tuei, u bani të gjallë bashkë me ate, mbassi u fali juve gjithë fajetë;
COL.2.14	edhe mbassi shoi dorë-shkresën’ e porosivet qi ishte kundrë nesh, edhe e hoqi prei miedizit, edhe e mbërtheu ndë kryqt,
COL.2.16	Le të mos u gjukojë pra askushi për të ngranë, a për të pimë, a për punë feste, a për muej të ri, a për të shëtuna,
COL.2.17	të cillatë janë hieja e punëvet qi kishinë për me ardhunë, por korpi 
COL.2.18	Askushi le të mos u mengojë prei bravurit me të shtime urtie, edhe me të lutun’ engjujsh, tue hymë mb’ato 
COL.2.19	edhe nukë mba Kryetë, qi prei ati ruhetë gjithë korpi, edhe ashtë lidhunë me gjymëtyrat e me të lidhunat, rritetë 
COL.2.20	Ndë qoftë pra se vdiqtë bashkë me Krishtinë prei këtyne elementavet botësë, përse, sikur jeni të gjallë ndë botët, 
COL.2.21	(mos prekish, mos ngjënoish, mos rrokish,
COL.2.22	qi gjith ato prishenë prei së përdorëmesë), sikurse jan’ urdhënimet’ edhe mësimet’ e nierëzëvet?
COL.2.23	Të cillatë punë dukenë se kanë dituni mbë lutëjenë prei vetiut e mbë mend të ulët’ e mbë të pakursyem të korpit, sepse s’e kanë për ndonji nderë mishinë, por 
COL.3.1	Ndë qofshi ngjallunë pra bashkë me Krishtinë, kërkoni të naltatë, atie ku ashtë ndenjunë Krishti ndë të diathtë të Perëndisë.
COL.3.2	Kini ndër mend ato qi janë nalt, mos ato qi janë mbi dhet.
COL.3.3	Sepse vdiqtë, edhe jeta juei ashtë mshefunë bashkë me Krishtinë te Perëndia;
COL.3.4	kur të diftohetë Krishti 
COL.3.5	Bani pra të vdekuna mishnat’ e korpit tuei qi janë të dheut, kurvëninë, ndynësinënë, pësiminë, dëshërimin’ e keq, edhe lakëmiminë, qi asht’ idhullatri;
COL.3.6	prei atyneve vien zemërimi i Perëndisë përmbi të bijt e të pabindëmesë,
COL.3.7	mbë të cillat edhe ju ecëtë njiherë, edhe shkuetë jetë ndër ato.
COL.3.8	Por tashti hithni të gjitha 
COL.3.9	Mos gënjeni njiani tietërinë, mbassi sveshët nierin’ e vietërë bashkë me punët e ati,
COL.3.10	edhe veshët të rinë qi përtërihetë mbë të ngjofunë mbas shëmbëllesës’ ati qi e ka ndërtuem,
COL.3.11	atie ku s’ashtë Grek e Iudë, rreth-presëje e parreth-presëje, barbar, Shqyth, shërbëtuer, i lirë, por të gjitha edhe mbë të gjitha 
COL.3.12	Vishni pra, si të sgjedhunit’ e Perëndisë 
COL.3.13	tue duruem njiani tietërinë, edhe tue ia falunë njiani tietërit, ndë pastë kushi të qjahetë kundrë ndonjianit, sikurse edhe Krishti ua fali, kështu edhe ju.
COL.3.14	Edhe përmbi gjithë këto 
COL.3.15	Edhe paqtimi i Perëndisë le të mbëretënojë ndër zemërat tueja, mbë të cillin’ edhe jeni thirrunë mbë nji korp, edhe bahi asish qi e dini për nderë.
COL.3.16	Fjala e Krishtit le të rrijë mbë ju me pasëje, me qish do farë ditunie: tue mësuem e tue porositunë njiani tietërinë me psallmë e me hymën e me kankë shpirtënishte, tue kënduem me hir ndë zemërat tueja mbë Zotinë;
COL.3.17	edhe qish do qi të bani me fjalë e me punë, të gjitha 
COL.3.18	Ju gratë, ulni kryetë burravet tuei, sikurse duhetë mbë Zotinë.
COL.3.19	Ju burratë, doni gratë 
COL.3.20	Ju dielmtë, ndëgjoniu përintvet tuei mbë të gjitha, sepse këjo asht’ e pëlqyeshime te Zoti.
COL.3.21	Ju atënitë, mos i nxeni dielmtë tuei, qi të mos u prishetë zemëra.
COL.3.22	Ju shërbëtorëtë, ndëgjoniu zotënavet e mishit tuei mbë të gjitha, mos punoni për faqe porsi ata qi duenë me u pëlqyem te nierëzit, por me zemërë të thieshtë, tue pasunë frikë Perëndinë.
COL.3.23	Edhe gjithë qish të bani, punoni me gjithë shpirt, porsi Zotit, e jo porsi nierëzëvet,
COL.3.24	tue ditunë se keni me e marrë pagën’ e trashëgimit prei Zotit, sepse i punoni Zotit Krisht.
COL.3.25	Por ai qi punon shtrembëtë ka me marrë pagën’ e shtrembënisë, sepse s’ka të mbaitunë kraha.
COL.4.1	Ju zotënitë, epniu shërbëtorëvet pagëtyrën’ edhe të dreitënë, tue ditunë se edhe ju keni Zot ndë qijet.
COL.4.2	Qindroni mbë të falunit, edhe rrini squtë mb’ate me të falunë ndersë,
COL.4.3	tue u falunë përherë edhe për ne, qi të na çeli derën’ e fjalësë Perëndia, qi të flasimë mpshefësinën’ e Krishtit, për të cillën’ unë jam i lidhunë,
COL.4.4	qi ta diftoj, sikurse më duhetë me folunë.
COL.4.5	Ecëni me dituni ndër të përjashtëmit, tue shpërblemë kohënë.
COL.4.6	Fjala juei 
COL.4.7	Gjithë punët’ e mia ka me ua diftuem juve Tyhiku i dashuni vëlla, edhe besatari punëtuer, edhe shërbëtori shoqi em mbë Zotinë,
COL.4.8	të cillin’ e dërgova te ju për këte punë, qi të marri vesht punëtë tueja, edhe të ngushullojë zemëratë tueja,
COL.4.9	bashkë me Onesiminë besëtarin’ edhe të dashuninë vëlla, qi ashtë prei jush; ata kanë me u diftuem juve për gjithë punët qi bahenë këtu.
COL.4.10	U faletë juve me shëndet Aristarhu robi shoqi em, edhe Marku i nipi Barnabësë (qi muertë porosia prei ati; ndë arthtë te ju, pritnia),
COL.4.11	edhe Iesui qi thohetë Iust, të cillëtë janë prei rreth-prerëjesë; këta vetëmë 
COL.4.12	U faletë juve me shëndet Epafrai qi 
COL.4.13	Sepse unë deshmoj për atë, se i përvëlohetë zemëra shumë për ju, edhe për ata 
COL.4.14	U faletë juve me shëndet Lukë miekësi i dashuni, edhe Dema.
COL.4.15	U falni me shëndet vëllazënavet qi janë ndë Laodiki, edhe Nymfasë, edhe kishësë 
COL.4.16	Edhe si të këndohetë letëra ndër ju, bani qi të këndohet’ edhe ndë kishë të Laodikeanëvet, qi të këndoni edhe ju letërënë prei Laodikisë.
COL.4.17	Edhe i thoni Arhippit: Kij kujdes për shërbesënë qi more mbë Zotinë, qi ta mbushish.
COL.4.18	Të falunitë me shëndet 
1TH.1.1	Pauli edhe Siluani edhe Timotheu mbë kishën’ e Thessalonikanëvet mbë Perëndinë Atinë, edhe mbë Zotinë Iesu Krisht: hir 
1TH.1.2	I falemi ndersë përherë Perëndisë për gjithë ju, edhe u përmendimë juve ndë të falunat t’ona,
1TH.1.3	tue kuituem pa pushim punën’ e besësë tuei, edhe mundimin’ e dashunisë edhe durimin’ e shpëresësë mbë Zotinë t’anë Iesu Krishtinë, përpara Perëndisë edhe Atit t’ynë;
1TH.1.4	tue ditun’, o vëllazën të dashunë prei Perëndisë, të sgjedhunitë tuei,
1TH.1.5	sepse ungjilli ynë nuk u ba te ju me fjalë vetëmë, por edhe me fuqi, edhe me Shpirtinë Shenjt, edhe me shumë të mbushëme mendienë, sikurse e dini qish farë qem ndërmiet jush për ju.
1TH.1.6	Edhe ju batë sikurse bam na edhe Zoti, sepse pritët fjalënë ndër shumë shtrëngim, me gëzimin’ e Shpirtit Shenjt,
1TH.1.7	kaqi sa u batë shëmbëllëtyrë mbë gjith’ ata qi besuenë ndë Maqedoni e ndë Ahai.
1TH.1.8	Sepse prei jush nuk’ u përhap fjala e Zotit vetëmë ndë Maqedoni e ndë Ahai, por edhe mbë qish do vend e mbërrini 
1TH.1.9	sepse ata diftojnë për ne qish farë të hymi gjetëm te ju, edhe si u këthyetë te Perëndia prei idhujsh, qi t’i shërbeni Perëndisë gjallë edhe të vërtetit,
1TH.1.10	edhe të pritni Birin’ e ati prei qijevet, qi e ngjalli prei së vdekunish, Iesunë, qi na shpëtoi prei zemërimit qi vien.
1TH.2.1	Sepse vetë ju e dini, o vëllazën, të hymitë t’anë te ju, se nuk’ u ba kot,
1TH.2.2	por si hoqëm keq përpara edhe u sham, sikurse e dini, ndë Filippe, muerëm zemërë te Perëndia unë me folunë te ju ungjillin’ e Perëndisë me shumë të përpiekunë.
1TH.2.3	Sepse mësimi ynë nukë 
1TH.2.4	por sikurse u provuem prei Perëndisë qi t’i zamë besë ungjillit, kështu flasimë, jo sikur t’u pëlqeimë nierëzëvet, por Perëndisë qi provon zemëratë t’ona.
1TH.2.5	Sepse as fjalë me laika nukë folëm ndonjiherë, sikurse e dini, as 
1TH.2.6	as kërkuem laft prei nierëzish, as prei jush, as prei të tierësh, ndonëse mundeshim të baheshim barrë, si apostujt’ e Krishtit,
1TH.2.7	por qem të butë ndërmiet jush, porsi mëndesa qi ngrof ndë gji dielmt e vet;
1TH.2.8	kështu dëshëroheshim për ju, 
1TH.2.9	Sepse e mbani mend, o vëllazën, mundiminë t’anë, edhe fëdigënë, sepse dit’ e natë tue punuem, qi të mos i vem barrë ndonjianit prei jush, predikuem ungjillin’ e Perëndisë te ju.
1TH.2.10	Ju 
1TH.2.11	sikurse e dini, se gjithë-se-cillinë prei jush e porositshim edhe e ngushulloishim, porsi ati dielmt’ e vet,
1TH.2.12	edhe epshim deshmi, sikurse vëjen te Perëndia, qi u thirri juve ndë mbëretënit të vet edhe ndë laft.
1TH.2.13	Përandai edhe na i falemi ndersë Perëndisë pa pushim, se mbassi muertë fjalën’ e Perëndisë qi ndëgjuetë prei nesh, e pritët jo 
1TH.2.14	Sepse ju, o vëllazën, batë sikurse banë kishat’ e Perëndisë qi janë ndë Iude mbë Iesu Krishtinë, sepse edhe ju pësuetë, por ato punë prei atyneve qi janë prei nji kombi me ju, sikurse edhe ata prei Iudejvet,
1TH.2.15	të cillëtë vran’ edhe Zotinë Iesu, edhe profetënit’ e vet, edhe neve na përzunë, edhe Perëndisë s’i pelqejnë, edhe 
1TH.2.16	të cillëtë na ndalinë me folunë te kombet qi të shpëtohenë, për me mbushunë fajet’ e veta përherë; edhe së mbrapëni e mbërrini zemërimi mbi ata.
1TH.2.17	Por na, o vëllazën, sepse u vorfënuem prei jush për pak kohë, me faqe, jo me zemërë, nxituem ma tepërë me shumë dëshërim me pamë faqenë tuei.
1TH.2.18	Përandai deshëm me ardhunë te ju (ma fort unë Pauli) edhe nji herë edhe dy herë, por na ndali Satanai.
1TH.2.19	Sepse cilla 
1TH.2.20	Sepse ju jeni lafti ynë edhe gëzimi.
1TH.3.1	Përandai nukë muftëm me duruem ma, 
1TH.3.2	edhe dërguem Timothenë vëllanë t’anë, edhe shërbëtorin’ e Perëndisë, edhe shokunë t’anë ndë punë t’ungjillit Krishtit, për me u forcuem juve, e për me u ngushulluem juve për besënë tuei,
1TH.3.3	qi të mos tundet’ askushi ndër këto shtrëngime, sepse ju e dini se na jemi vumë për këte.
1TH.3.4	Sepse, kur ishim për-anë jush, u thoshim juve çë përpara, se kemi për me hiekunë shtrëngime, edhe sikurse u ba, edhe e dini.
1TH.3.5	Përandai edhe unë, mbassi s’mundeshë me duruem ma, dërgova për me marrë vesht për besënë tuei, druese mos u ngau juve ai qi nget, edhe shkon mundimi ynë kot.
1TH.3.6	Por tashti qi erdhi Timotheu prei jush te na, pruni zanin’ e mirë për besën’ edhe për dashuninë tuei, edhe se na kuitoni për të mirë përherë, edhe keni mallë me na pamë, sikurse edhe na juve,
1TH.3.7	përandai u ngushulluem, o vëllazën, për ju ndër gjithë shtrëngimin’ edhe nevojënë t’onë, prei besësë tuei,
1TH.3.8	sepse tashti rroimë, ndë qindrofshi ju mbë Zotinë.
1TH.3.9	Sepse qish farë të falunë ndersë mundemi me i dhanë Perëndisë për ju, për gjith’ atë gëziminë qi gëzohemi për ju përpara Perëndisë t’onë,
1TH.3.10	nat’ e ditë tue u lutunë tepërë për me pamë faqenë tuei, edhe me mbushunë të mangunat’ e besësë tuei.
1TH.3.11	Tashti ai Perëndia edhe Ati ynë, edhe Zoti ynë Iesu Krishti, dreitoft’ udhënë t’onë te ju.
1TH.3.12	Edhe Zoti shtoft’ e tepëroftë dashuninë tuei ndërmiet jush, edhe mbë të gjithë, sikurse edhe na 
1TH.3.13	për me forcuem zemëratë tueja pa palavi ndë shenjtëni, përpara Perëndisë edhe Atit t’ynë, ndë të ardhëmen’ e Zotit t’ynë Iesu Krishtit bashkë me gjithë shenjtënit e ati.
1TH.4.1	Përmbaskëndai, o vëllazën, u lutemi juve edhe u porosisimë për Zotinë Iesu, sikurse i muertë prei nesh se si duhetë me ecun’ edhe me i pëlqyem Perëndisë, 
1TH.4.2	Sepse e dini qish farë porosiash u lam juve prei Zotit Iesu.
1TH.4.3	Sepse kyi ashtë dashunimi i Perëndisë, shenjtënimi juei, të hiqni dorë prei kurvënisë;
1TH.4.4	gjithë-se-cilli të dijë me mbaitun’ anën’ e vet ndë shenjtënim e ndë nderë,
1TH.4.5	jo ndë pësime dëshërimi, porsi ata kombetë qi s’ngjofinë Perëndinë.
1TH.4.6	Të mos kapërcejë 
1TH.4.7	Sepse Perëndia nukë na thirri ndë ndynësinë, por ndë shenjtënim.
1TH.4.8	Përandai ai qi shkel 
1TH.4.9	Edhe për dashunimin’ e vëllazënisë s’keni nevojë me u shkruem juve, sepse ju jeni të mësuem prei Perëndisë për me dashunë njiani tietërinë,
1TH.4.10	sepse ju e bani këte mbë gjithë vëllazënit qi 
1TH.4.11	edhe me nxituem të rrini urtë, edhe të bani të tuejatë, edhe të punoni me duert tueja, sikurse u porositëm juve,
1TH.4.12	qi të ecëni ndër të jashtëmit sikurse ka hie, edhe të mos keni nevojë për askend.
1TH.4.13	Edhe nukë due të jeni të paditun’, o vëllazën, për ata qi kanë fjetunë, qi të mos idhënohi, sikurse edhe ata të tierëtë qi s’kanë shpëresë.
1TH.4.14	Sepse ndë besoimë se Iesui vdiq edhe u ngjall, kështu edhe ata qi kanë fjetunë me anë të Iesuit Perëndia ka me i prumë bashkë me ate.
1TH.4.15	Sepse këte ua thomi juve prei fjalësë Zotit, se na të gjallëtë qi kemi mbetunë mbë të ardhëmen’ e Zotit, s’kemi me ua mbërrim’ atyneve qi kanë fjetunë.
1TH.4.16	Sepse Zoti vetë ka me sdripunë prei qielli me urdhënim, me za engjulli të parë, edhe me trumbetë Perëndie, edhe ata të vdekunitë 
1TH.4.17	mbasandai na të gjallëtë qi kemi mbetunë, kemi me u rrëmbyem bashkë me ata ndë renat, për me i dalunë përpara Zotit nd’erët, edhe kështu do të jemi përherë bashkë me Zotinë.
1TH.4.18	Përandai ngushulloni njiani tietërinë me këto fjalë.
1TH.5.1	Edhe për mote e për kohëna, o vëllazën, s’keni nevojë me u shkruem juve,
1TH.5.2	sepse ju e dini fort mirë, se dita e Zotit porsi viedhësi natënë, kështu vien.
1TH.5.3	Sepse kur thonë paqtim edhe siguri, atëherë vien përmbi ata befas të hupunitë, porsi të dhimtunat’ 
1TH.5.4	Por ju, o vëllazën, nukë jeni nd’errësinë, qi t’ua mbërrijë ajo ditë porsi viedhës.
1TH.5.5	Të gjithë ju jeni bij drite e bij dite, nukë jemi të natësë, as t’errësinësë.
1TH.5.6	Le të mos flemë pra sikurse edhe të tierëtë por le të rrimë squtë, edhe le të jemi esullë.
1TH.5.7	Sepse ata qi flenë, natënë flenë, edhe ata qi dehenë, natënë dehenë,
1TH.5.8	por na, mbassi jemi të ditësë, le të jemi esullë, e le të veshimë thuraken’ e besës, e të dashunisë, edhe 
1TH.5.9	Sepse Perëndia nukë na ka urdhënuem për zemërim, por për fitimin’ e shpëtimit me anë të Zotit t’ynë Iesu Krishtit,
1TH.5.10	qi vdiq për ne, qi të rroimë bashkë me ate, kur të jemi squtë, a kur të kemi fjetunë.
1TH.5.11	Përandai ngushulloni njiani tietërinë, edhe ndërtoni njiani tietërinë, sikurse edhe bani.
1TH.5.12	Edhe u lutemi juve, o vëllazën, t’i dini ata qi mundohenë ndër ju, e rrinë përmbi kryet tuei mbë Zotinë, e u mësojnë juve;
1TH.5.13	edhe i nderoni ata me ma tepërë dashuni për punën’ e atyne. Kini paqtim ndërmiet jush.
1TH.5.14	Edhe u lutemi juve, o vëllazën, mësoni të pahymitë ndë rrieshtë, ngushulloni zemër-vogjëlitë, u ndimoni të sëmunëvet, kini zemërë të gjanë mbë të gjithë.
1TH.5.15	Këqyrni mos i bajë kushi tietërit keq për të keq, por kërkoni përherë 
1TH.5.16	Përherë gëzohi.
1TH.5.17	Pa pushim fali.
1TH.5.18	Për qish do gja epni të falunë ndersë, sepse kyi 
1TH.5.19	Mos shueni Shpirtinë.
1TH.5.20	Mos hethni poshtë profetënitë.
1TH.5.21	Provoni të gjitha, mbani të mirënë.
1TH.5.22	Hiqni dorë prei qish do farë të keqeje.
1TH.5.23	Edhe vetë Perëndia i paqtimit u shenjtënoftë juve të tanë, edhe u rueit’ e tanë fryma juei, edhe shpirti, edhe mishi pa palavi ndë t’ardhëmen’ e Zotit t’ynë Iesu Krishtit.
1TH.5.24	Besëtar 
1TH.5.25	O vëllazën, fali për ne.
1TH.5.26	U falni me shëndet gjithë vëllazënavet me të puthunë të shenjtënueshim.
1TH.5.27	U ve mbë be juve mbë Zotinë me u kënduem letëra mbë gjithë shenjtënit vëllazën.
1TH.5.28	Hiri i Zotit t’ynë Iesu Krishtit 
2TH.1.1	Pauli edhe Siluani edhe Timotheu mbë kishën’ e Thessalonikanëvet, mbë Perëndin’ Atinë t’anë, edhe mbë Zotinë Iesu Krisht:
2TH.1.2	hir 
2TH.1.3	Kemi detyrë me iu falunë ndersë përherë Perëndisë për ju, o vëllazën, sikurse vëjen, sepse po shtohetë fort besa juei, edhe po shumohetë dashunia e kuit-do prei gjithë jush mbë njiani tietërinë.
2TH.1.4	Kaqi sa na vetë mburremi për ju ndë kishat të Perëndisë, për duriminë tuei edhe 
2TH.1.6	Sepse 
2TH.1.7	por juve qi shtrëngohi të prajtunë bashkë me ju, kur të diftohetë Zoti Iesu prei qiellit bashkë me engjujt e fuqisë vet,
2TH.1.8	me ziarrm flake, tue ua shpaguem atyneve qi s’ngjofinë Perëndi, edhe atyneve qi nuk’ i ndëgjojn’ ungjillit Zotit t’ynë Iesu Krishtit,
2TH.1.9	të cillëtë kanë me u munduem me të vdierrë të pasosunë prei faqesë Zotit, edhe prei laftit fuqisë ati,
2TH.1.10	kur të vijë të lavdohetë ndër shenjtënit e vet, edhe të mërekullohetë ndër gjith’ ata qi besojnë (sepse ju i zutë besë deshmisë t’onë), nd’ate ditë.
2TH.1.11	Përandai edhe na lutemi përherë për ju, qi t’u bajë Perëndia juei të zotënit’ e së thërritëmesë vet, edhe të mbushi gjithë pëlqimin’ e së mirësë, edhe punën’ e besësë me fuqi,
2TH.1.12	qi të lavdohet’ emëni i Zotit t’ynë Iesu Krishtit ndër ju, edhe ju mb’atë, mbas hirit Perëndisë t’onë, edhe Zotit Iesu Krisht.
2TH.2.1	Tashti u lutemi juve, o vëllazën, për t’ardhunit’ e Zotit t’ynë Iesu Krishtit, edhe për të mbëledhunitë t’anë mb’atë,
2TH.2.2	qi të mos tundi ju shpeit prei mendiesë 
2TH.2.3	Le të mos u gënjejë kushi me ndonji farë mëndyrë, sepse 
2TH.2.4	ai qi rri kundrë edhe ngrihetë përpietë kundrë qish do 
2TH.2.5	Nukë mbani mend, se kur ishiem por për-anë jush, u thoshiem juve këto?
2TH.2.6	Edhe tashti e dini ate qi e përmba, për me u sbëluem ai ndë kohë të vet.
2TH.2.7	Sepse mysteri i paudhënisë tashti vepërohetë, vetëmë deri sa të dali prei miedizit ai qi përmba tashti,
2TH.2.8	edhe atëherë ka me u sbuluem i paudhi, të cillinë Perëndia ka me e vdierrë me frymën’ e gojësë vet, edhe ka me e prishunë me të pamen’ e t’ardhunit vet,
2TH.2.9	i cilli ka me ardhunë mbas të vepëruemit Satanait me qish do fuqi e me shenje e me mërekulli rrene, edhe me qish do gënjim të shtrembëtë, ndërmiet atyneve qi vdirrenë,
2TH.2.10	sepse nukë pritnë dashunin’ e së vërtetësë qi të shpëtohenë.
2TH.2.11	Edhe përandai Perëndia ka me dërguem mb’ata të vepëruem gënjimi, për me i besuem rrenësë,
2TH.2.12	qi të gjukohenë 
