GEN.1.1	Íꞌdóngárá gá ꞌdãá, Múngú gbi ꞌbụ̃ pi vũ be. 
ROM.9.18	Múngú vé ẹ́sị́ ri adri ĩdríkídri ꞌbá ĩri ní ĩpẽé lẽé ẹ́sị́ ĩdríkídri ꞌbãá ĩri ní rĩ ní. Múngú ụ̃sụ̃ dõ ꞌí lẽ ꞌbá rĩ ẽ drị̃ ẽ ícá ũkpó ũkpó, ĩri ícó ꞌo rá.
ROM.9.19	ꞌBá ãzi ri ícó ꞌyo, “Múngú lẽ dõ ꞌbâ ꞌokí tã rĩ sụ̃ ꞌí ní lẽé rĩ tị́nị pírí, ngá ĩri ní ꞌyoó ꞌbâ ũnjí rĩ ãꞌdi? Ãꞌdi ri ícó tã Múngú ní ụ̃tị̃ị́ gí rĩ ŋõ nĩ?” 
ROM.9.20	ꞌBo mi ãꞌdi ꞌi átángá ꞌyoópi Múngú ní ꞌdíni? Ngá ĩ ní údé rĩ, ĩri nyo ícó ꞌyo ꞌbá ꞌi údépi rĩ ní, “Mí údé ma ꞌdíni ãsĩ ꞌdíni rá?”
ROM.9.21	ꞌBá riípi ũdrí gbiípi rĩ, ụ̃rụ́tẹ́ ãlu ãlu ꞌdĩri sĩ, ĩri ícó ũdrí rĩ ãzi gbi, ĩri ĩgĩrĩ múké múké, ĩri ãzi rĩ gbi ĩgĩrĩ ku.
ROM.9.22	Múngú lẽ ívé jĩkó iꞌdaá, ãzini ívé ũkpõ iꞌdaá ꞌbá ĩ ní lẽé úꞌdị́ rĩ pi ní tã lịzú ãní kộpi drị̃gé, ꞌbo ĩri tã ni ꞌdụ mụzú ẹ́sị́ be mãdã. 
ROM.9.23	Múngú ri kpá ívé dị̃ngárá pọ̃wụ̃pọ̃wụ̃ rĩ iꞌda ꞌbá ꞌí ní ũpẽé lẽé ẹ́sị́ múké ꞌbãá kộpi ní rĩ pi ní rá, 
ROM.9.24	ꞌbá ĩri ní ũpẽé rĩ ꞌbâ ꞌi, Yãhụ́dị̃ rĩ pi, ãzini ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi. 
ROM.9.25	Búkũ nẹ́bị̃ Õséyã ní sĩí rĩ agá, Múngú ꞌyo ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ní kĩnĩ,
ROM.9.25	“Ĩmi adriꞌbée ꞌbá mávé ni kuyé ꞌdĩꞌbée, nóni ma ĩmi zị ꞌbá mávé ni.
ROM.9.25	Ĩmi ꞌbá má ní ándúrú lẽé ku ꞌdĩꞌbée, ma ímụ́ ĩmi lẽlẽ.”
ROM.9.26	Búkũ Múngú vé rĩ ꞌyo kpá ꞌdíni kĩnĩ,
ROM.9.26	“Vũrã ãlu ãlu ándúrú má ní ꞌyoó ĩmi ní kínĩ,
ROM.9.26	‘Ĩmi adrikí ꞌbá mávé ni ku ꞌdĩri,’
ROM.9.26	nóni ma ꞌyo,
ROM.9.26	‘Ĩmi ímụ́ adri anji mávé ni, ma Múngú adriípi ídri rú rĩ ꞌi.’ ”
ROM.9.27	Nẹ́bị̃ Ĩsáyã átá ꞌbá Ĩsẽrélẽ vé rĩ pi ã tã sĩ ꞌdíni,
ROM.9.27	“ꞌBá Ĩsẽrélẽ vé rĩ pi ã adrikí dõ kárákará cínyáfã yị̃ị́ agá rĩ tị́nị drãáãsĩyã,
ROM.9.27	ꞌyéŋá ĩ ímụ́ kộpi ẽ ị̃mbị́tã ĩ ní kuú kíníkiniŋá ꞌdĩꞌbée pa áyu.
ROM.9.28	Úpí ri ímụ́ ꞌbá vũ drị̃gé rĩ pi ĩrĩŋã rá,
ROM.9.28	ĩri kộpi ĩrĩŋã mbẽlẽŋá.”
ROM.9.29	Tã rĩ ímụ́ ꞌi nga sụ̃ Ĩsáyã ní ꞌyoó drị̃drị̃ rĩ tị́nị,
ROM.9.29	“Úpí Múngú ã ku té dõ ꞌbá rĩ pi vé
ROM.9.29	úyú ẽ ị̃mbị́tã ku,
ROM.9.29	ꞌbâ té ũdrã céré sụ̃ ꞌbá kụ̃rụ́ Sõdómõ
ROM.9.29	ní ũdrãá ꞌbá kụ̃rụ́ Gõmórã vé rĩ agá rĩ pi be rĩ tị́nị.”
ROM.9.30	ꞌBâ ꞌyokí rí ngóni? ꞌBá ándúrú adriꞌbá Yãhụ́dị̃ rú ku, tã ꞌoꞌbá pịrị ku ꞌdĩꞌbée, kộpi újákí nóni ĩ ícá ꞌbá pịrị Múngú ẹndrẹtị gé, kộpi ní ĩri ẹ̃ꞌyị̃ị́ gí rĩ sĩ. 
ROM.9.31	ꞌBo ꞌbá Ĩsẽrélẽ vé ꞌyoꞌbá kínĩ, ĩ lẽkí ícá pịrị Múngú ẹndrẹtị gé tãị́mbị́ rĩ vé tã sĩ ꞌdĩꞌbée, tãị́mbị́ rĩ sẽ kộpi ícákí ꞌbá pịrị kuyé. 
ROM.9.32	Kộpi ị́sụ́kí tã pịrị kuyé ãsĩ? Kộpi ị́sụ́kí kuyé, kộpi ní adrií ẹ̃ꞌyị̃ngárá ãkó rĩ sĩ, kộpi ꞌbãkí ẹ́sị́ rizú tãị́mbị́ rĩ ꞌdụzú ngazú áyu. Kộpi adrikí sụ̃ ꞌbá riꞌbá ĩ ũsị̃ꞌbá írã ꞌi alaápi kú lẹ́tị agá rĩ ã rụ́ꞌbá gá rĩ tị́nị. 
ROM.9.33	Sĩkí Búkũ Múngú vé rĩ agá kínĩ,
ROM.9.33	“Á ꞌbã írã
ROM.9.33	írã rĩ sẽ kộpi ri uꞌde vũgá,
ROM.9.33	ꞌbá ĩri ẹ̃ꞌyị̃ị́pi rá rĩ, ícó drị̃njá ị́sụ́ ku.”
ROM.10.1	Má ẹ́drị́pị́ị má ọ́mvụ́pị́ị má ní lẽélẽ rĩ pi, tã mâ ẹ́sị́ agá nõlé má ní lẽzú Múngú ri zịzú ꞌbá Ĩsẽrélẽ vé rĩ pi ní rĩ, Múngú ã pa rí kộpi bẽnĩ. 
ROM.10.2	Á nị̃ rá, kộpi ꞌbãkí úvá Múngú ri ị̃njị̃zú, ꞌbo tã Múngú ní lẽé kộpi ã ꞌokí rĩ fi kộpi drị̃gé kuyé. 
ROM.10.3	Kộpi ní lẹ́tị Múngú ní ꞌbá rĩ ãꞌyĩzú adrizú pịrị ꞌí ẹndrẹtị gé rĩ nị̃ị́ kuyé rĩ sĩ, kộpi gãkí lẹ́tị Múngú ní ꞌbá rĩ ãꞌyĩzú adrizú pịrị ꞌí ẹndrẹtị gé ꞌdĩri ꞌdụgá ngagá sĩ, kộpi gõkí lẹ́tị ĩvé ni túngú ni ꞌdụụ́ ngaá áyú. 
ROM.10.4	Kúrísítõ ꞌdụ tãị́mbị́ rĩ ngaá fũú tị ni gé gí, ãní ꞌbá céré ĩri ẹ̃ꞌyị̃ꞌbá gí rĩ pi, Múngú ri kộpi ãꞌyĩ adri ꞌbá pịrị ꞌí ẹndrẹtị gé.
ROM.10.5	Mósẽ kĩnĩ, ꞌbá rĩ ꞌdụ dõ tãị́mbị́ rĩ ngaá rá, ĩri adri Múngú ẹndrẹtị gé pịrị. Sĩ kĩnĩ, “ꞌBá tã ꞌoópi ꞌdíni rĩ, lẽ ã ꞌdụ tã rĩ ngaá sụ̃ tãị́mbị́ rĩ ní lẽé rĩ tị́nị.”
ROM.10.6	ꞌBo ꞌbá adriípi pịrị Múngú ẹndrẹtị gé ẹ̃ꞌyị̃ngárá be rĩ, ĩri ꞌyo, “Lẽ mî ri ꞌyoó mí ẹ́sị́ agá ꞌdãlé, ‘Ãꞌdi ri nga mụ ꞌbụ̃ gé ꞌdãlé Kúrísítõ ri íjị́ vũgá nõó nĩ?’
ROM.10.7	dõku, mî ri ꞌyoó ‘Ãꞌdi ri ícó fi mụ ꞌbụ́ índrí ꞌbá ũdrãꞌbá gí rĩ pi ní adrizú rĩ agá ꞌdãá Kúrísítõ ri inga gõ ídri rú drãngárá gálésĩ nĩ?’
ROM.10.8	Búkũ Múngú vé rĩ ꞌyo kĩnĩ, “Ụ́ꞌdụ́kọ́ rĩ ĩnyiŋáŋá mí be, ĩri ĩfũ mí tị gé, ãzini mî ẹ́sị́ agálésĩ.”
ROM.10.9	Mí ꞌyo dõ mî tị sĩ, “Yẹ́sụ̃ ri Úpí,” ãzini mí ãꞌyĩ dõ mí ẹ́sị́ agá ꞌdãlé ꞌyozú kínĩ, Múngú inga ĩri gõó drãngárá gálésĩla ídri rú rá, Múngú ri mi pa rá. 
ROM.10.10	Mí ẹ̃ꞌyị̃ dõ Kúrísítõ ri mí ẹ́sị́ agá ꞌdãlé gí, mi adri ꞌbá pịrị Múngú ẹndrẹtị gé, ãzini mí ꞌyo dõ mî tị sĩ kínĩ, mi ꞌbá Kúrísítõ vé ni, Múngú ri mi pa rá. 
ROM.10.11	Búkũ Múngú vé rĩ kĩnĩ, “ꞌBá ĩri ẹ̃ꞌyị̃ị́pi rá rĩ, ícó drị̃njá ị́sụ́ ku.”
ROM.10.12	Mi dõ Yãhụ́dị̃gú yã, mí adri dõ Yãhụ́dị̃gú ku yã, adri tã rú ku, ãꞌdiãtãsĩyã Yẹ́sụ̃ ri Úpí ꞌbá rĩ pi vé ni céré, ꞌbá ꞌyoópi kínĩ ã ko ꞌî ĩzã rĩ, ĩri ꞌbá ꞌdĩri ẽ ĩzã ko aga rá. 
ROM.10.13	Sĩkí Búkũ Múngú vé rĩ agá kínĩ, “ꞌBá céré Úpí ã rụ́ zịꞌbá rá rĩ pi, Úpí ri kộpi pa rá.”
ROM.10.14	Kộpi ẹ̃ꞌyị̃kí dõ Úpí ri kuyé, kộpi ícó ĩri ã rụ́ zị ngóni? Kộpi yịkí dõ ụ́ꞌdụ́kọ́ múké ĩrivé rĩ kuyé, kộpi ícó ĩri ẹ̃ꞌyị̃ ngóni? ꞌBá ãzi ũlũ dõ kộpi ní ụ́ꞌdụ́kọ́ múké ꞌdĩri kuyé, kộpi ícó yị ngóni? 
ROM.10.15	Pẽkí dõ ꞌbá ãzi mụụ́ ụ́ꞌdụ́kọ́ múké rĩ ũlũú kuyé, kộpi ícó ụ́ꞌdụ́kọ́ múké rĩ ũlũ íngóni? Sĩkí Búkũ Múngú vé rĩ agá kínĩ, “Ngá múké rĩ, lẽ ꞌbâ ndrekí ꞌbá ụ́ꞌdụ́kọ́ múké rĩ íjị́ꞌbá ũlũꞌbá rĩ pi ꞌbâ mị sĩ.”
ROM.10.16	ꞌBo Ĩsẽrélẽ rĩ pi ã ụrụkọ ẹ̃ꞌyị̃kí ụ́ꞌdụ́kọ́ múké rĩ kuyé. Nẹ́bị̃ Ĩsáyã ꞌyo ꞌdíni kĩnĩ, “Úpí, ãꞌdi ẹ̃ꞌyị̃ ụ́ꞌdụ́kọ́ múké ꞌbá ní ũlũú rĩ rá nĩ?”
ROM.10.17	ꞌBá rĩ yị dõ ụ́ꞌdụ́kọ́ múké rĩ gí, ĩri kúru ẹ̃ꞌyị̃. Ụ́ꞌdụ́kọ́ múké rĩ, ĩri tã Kúrísítõ vé rĩ. 
ROM.10.18	ꞌBo á lẽ zịị́, ẹ̃ndẹ́pị Ĩsẽrélẽ rĩ pi yịkí nyo ụ́ꞌdụ́kọ́ múké rĩ kuyé? Kộpi yịkí rá. Sĩkí Búkũ Múngú vé rĩ agá kínĩ,
ROM.10.18	“Ụ́ꞌdụ́kọ́ Múngú vé rĩ ayi mụzú vũ drị̃gé sĩ céré,
ROM.10.18	átángá ĩ ní átá rĩ, ayi kpá mụzú vũ drị̃gé sĩ céré.”
ROM.10.19	Ẹ̃ndẹ́pị tã rĩ fi nyo ꞌbá Ĩsẽrélẽ vé rĩ pi drị̃gé rá? Ẽ, fi rá. Mósẽ sĩ tã Múngú ní átá Ĩsẽrélẽ rĩ pi vé tã sĩ rĩ ꞌdíni kĩnĩ,
ROM.10.19	“Ma sẽ ĩmi ímụ́ ãꞌyã ꞌbã tãkíri má ní sẽé ꞌbá ãngũ ụrụkọ agá rĩ pi ní rĩ sĩ.
ROM.10.19	Má kãdõ tãkíri sẽé ꞌbá adriꞌbá Yãhụ́dị̃ rú ku tã ní fií kộpi drị̃gé kuyé rĩ pi ní, ĩmî ẹ́sị́ ri ímụ́ ve kộpi ní ũnjí ũnjí.”
ROM.10.20	Ĩsáyã gõ átá ụ̃rị̃ ãkó kĩnĩ, Múngú kĩnĩ,
ROM.10.20	“ꞌBá ma ndãꞌbée kuyé rĩ pi, ị́sụ́kí ma rá.
ROM.10.20	ꞌBá mávé tã zịꞌbá kuyé rĩ pi, má iꞌda ma kộpi ẹndrẹtị gé rá.”
ROM.10.21	ꞌBo Ĩsáyã kĩnĩ, “Múngú átá ꞌbá Ĩsẽrélẽ vé rĩ pi ã tã sĩ kĩnĩ,
ROM.10.21	‘ꞌDụ ụ́ꞌdụ́ ãco, á ri kộpi mãá kộpi ẽ ímụ́kí rí má vúgá,
ROM.10.21	ꞌbo kộpi ẽ drị̃ ũkpó ũkpó, kộpi gãkí ma ẹ̃ꞌyị̃gá sĩ.’ ”
ROM.11.1	Kúru á lẽ zịị́ ꞌdíni, Múngú gã nyo ívé ꞌbá rĩ pi gí? Múngú gã kuyé! Lẽ ĩmi nị̃kí múké ꞌyozú kínĩ, ma Ĩsẽrélẽgú, ma úyú Ãbũrámã vé ni, má íbí ĩfũú sụ́rụ́ Bẹ̃nyẹ̃mị́nẹ̃ vé rĩ agá. 
ROM.11.2	Múngú gã ívé ꞌbá ꞌí ní ũpẽé íꞌdóngárá gá ꞌdãá rĩ pi kuyé. Ĩmi nị̃kí rá Búkũ Múngú vé rĩ kĩnĩ, nẹ́bị̃ Ẽlíyã
ROM.11.3	“Úpí, kộpi úꞌdị́kí mívé nẹ́bị̃ rĩ pi, ãzini kộpi ũŋõkí mívé vũrã rọ̃bọ̃ŋọ̃ zãzú rĩ pi rá, ꞌbá ꞌyéŋá ĩ ní kuú rĩ ma ꞌi. Kộpi nóni ri lẹ́tị ndã lẽzú ma ꞌdịzú.”
ROM.11.4	Múngú újá Ẽlíyã ní ngóni? Újá Ẽlíyã ní kĩnĩ, “Ma ꞌbá be élĩfũ ẹ́zị̂rị̃ (7,000), kộpi ũtị̃kí kũmũcí Bálã
ROM.11.5	Ĩri nyo adri lókí ãndrũ nõri vé rĩ tị́nị, Múngú vé ẹ́sị́ múké rĩ sĩ, ũpẽ ꞌbá mãdãŋáŋá Ĩsẽrélẽ rĩ pi ãsámvú gé adrií ꞌbá ívé ni. 
ROM.11.6	Múngú ri ꞌbá rĩ pi ũpẽ ívé ẹ́sị́ múké rĩ sĩ, ã ũpẽ té dõ ꞌbá rĩ pi ẹ̃zị́ kộpi ní ngaá rĩ sĩ, ĩrivé ẹ́sị́ múké rĩ té adri ẹ̃zị́ ãkó.
ROM.11.7	ꞌDĩri lũ ꞌyozú kínĩ, Ĩsẽrélẽ rĩ pi ndẽé ni pi ị́sụ́kí Múngú vé ẹ́sị́ múké kộpi ní rií ndãá rĩ kuyé, ꞌbo mãdãŋáŋá Múngú ní ũpẽé rĩ pi ị́sụ́kí ẹ́sị́ múké Múngú vé rĩ nĩ. ꞌBo ndẽé ni pi ẽ drị̃ ũkpó ũkpó. 
ROM.11.8	Búkũ Múngú vé rĩ kĩnĩ,
ROM.11.8	“Múngú sẽ kộpi ã úmĩ ja ꞌi rá,
ROM.11.8	kộpi ã ámákí rí tã rĩ ku,
ROM.11.8	ọ̃zụ̃ kộpi ẽ mị,
ROM.11.8	kộpi ã ndrekí rí tã ívé rĩ ku,
ROM.11.8	ãzini ọ̃zụ̃ kộpi ẽ bị́,
ROM.11.8	kộpi ã yịkí rí tã ku
ROM.11.8	ícázú cĩmgbá ụ́ꞌdụ́ ãndrũ nõri gé.”
ROM.11.9	ꞌBãgú Dãwụ́dị̃ ní ꞌyozú kĩnĩ,
ROM.11.9	“Kộpi kádõ rií ĩ úmú ụ̃mụ̃ nyaá, lẽ ã urụkí kộpi,
ROM.11.9	ẽ ĩrĩŋãkí kộpi, ã uzekí kộpi uꞌdeé vũgá.
ROM.11.10	Lẽ kộpi ẽ mị ẽ ẹ̃sị̃, kộpi ã ndrekí rí ãngũ ku,
ROM.11.10	lẽ kộpi ã úgóró ã ọ́trụ́ áwí kú nyonyo.”
ROM.11.11	Á lẽ gõó zịị́ dị̃ị́, Yãhụ́dị̃ rĩ pi uꞌdekí dõ vũgá gí, kộpi gõkí nyo íngá ụrụ ku? Adri ꞌdíni ku. Kộpi ní lẹ́tị Múngú vé ĩ ní adrizú pịrị rĩ gãá sĩ rĩ sĩ, ĩri sẽ Ĩsẽrélẽ rĩ pi adri ãꞌyã sĩ ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ní pangárá ị́sụ́ Yẹ́sụ̃ vúgá rĩ sĩ. 
ROM.11.12	Yãhụ́dị̃ rĩ pi ní Múngú ri gãá sĩ rĩ sĩ, sẽ ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ị́sụ́kí drị̃lé múké Múngú vé rĩ rá. Yãhụ́dị̃ rĩ pi kádõ ímụ́ Múngú ri ẹ̃ꞌyị̃ị́, kúru ĩri sẽ Múngú ri ímụ́ drị̃lé múké sẽ ꞌbá rĩ pi ní aga rá. 
ROM.11.13	Ĩmi ꞌbá adriꞌbá Yãhụ́dị̃ rú ku ꞌdĩꞌbée, agaápi rá rĩ, ma ri tã ꞌdĩri átá ĩmi ní. Múngú ĩpẽ ma ꞌbá áyúãyũ ni rú ĩmi ní, ma ri ẹ̃zị́ nga ũkpõ sĩ Múngú ní, 
ROM.11.14	ãꞌdiãtãsĩyã á lẽ mávé ꞌbá Ĩsẽrélẽ vé rĩ pi ã ꞌbãkí ãꞌyã ĩmi sĩ, kộpi ã ụrụkọ ẽ ị́sụ́kí rí pangárá ãní. 
ROM.11.15	Yãhụ́dị̃ rĩ pi ní Múngú ri gãá sĩ rĩ sĩ, sẽ ꞌbá vũ drị̃gé rĩ pi újákí ẹ́sị́ gí. Kộpi kádõ ímụ́ Múngú ri ẹ̃ꞌyị̃ị́, kộpi gõ íngá adri ídri rú drãngárá gálésĩ. 
ROM.11.16	Ãbũrámã pi ní adrií ẹ́ꞌbị́pị́ị ụrụkọꞌbée be ule rĩ sĩ, kộpivé úyú rĩ pi kpá adri ule, ãnyãngã ụrụkọ ĩ ní íjị́ sẽé Múngú ní rĩ dõ ule, ãnyãngã ọ́mvụ́ agá rĩ pi céré ule, pẹtị rĩ vé úlá dõ ule, ĩrivé drị́tị pi kpá adri ule.
ROM.11.17	Pẹtị rĩ vé drị́tị pi ũŋõkí dõ gí drãáãsĩyã, ĩmi ꞌbá adriꞌbá Yãhụ́dị̃ rú ku ꞌdĩꞌbée, ĩmi pẹtị rĩ vé drị́tị ĩ ní ugaá pẹtị õlívẽ ãzi rụ́ꞌbá gá ni, ĩ jị ũdrõ pẹtị múké ni ã rụ́ꞌbá gá. Pẹtị úlá be múké õlívẽ
ROM.11.18	Lẽ ĩmi rikí ĩmi íngú ꞌyozú kínĩ, ĩmi ndẽkí drị́tị ĩ ní ũŋõó ꞌdĩꞌbée rá ꞌdíni ku. Ĩmi íngúkí dõ ĩmi rá, ĩmi ụ̃sụ̃kí tã ꞌdĩri, ĩmi kokí pẹtị úlá rĩ ẽ ĩzã nĩ ku, pẹtị úlá rĩ ĩmi ĩzã ko nĩ. 
ROM.11.19	Ĩmi ícó ụ̃sụ̃ ꞌyozú kínĩ, “Pẹtị rĩ ẽ drị́tị ĩ ní gaá úꞌbé vũgá gí ꞌdĩꞌbée, ĩri lẹ́tị zị̃ ꞌbá ní fizú adrizú kộpi ã vũrã gá.” 
ROM.11.20	Tã ꞌdĩri tã áda. ꞌBo ũŋõkí kộpi gí, ãꞌdiãtãsĩyã kộpi ẹ̃ꞌyị̃kí Yẹ́sụ̃ ri kuyé, ĩmi tukí pá tị́tị́, ĩmi ní Yẹ́sụ̃ ri ẹ̃ꞌyị̃ị́ gí rĩ sĩ. Lẽ ĩmi íngúkí ĩmi ku, ꞌbo lẽ ĩmi adrikí ụ̃rị̃ sĩ. 
ROM.11.21	Múngú ga dõ pẹtị ẽ drị́tị drị̃drị̃ ꞌdãꞌbée vũgá rá pírí, ícó nyo ĩmi gaá vũgá ku?
ROM.11.22	Lẽ ĩmi nị̃kí ámá múké ꞌyozú kínĩ, Múngú ri ẹ́sị́ be ĩdríkídri ĩmi ní, ꞌbo ĩri tã lị Yãhụ́dị̃ ĩri ẹ̃ꞌyị̃ꞌbá kuyé rĩ pi drị̃gé. ꞌBo lẽ ĩmi ãꞌyĩkí ĩrivé ẹ́sị́ ĩdríkídri rĩ vé tã mụzú nyonyo, ĩmi ãꞌyĩkí dõ ku, ĩ kpá ĩmi uga vũgá rá. 
ROM.11.23	Yãhụ́dị̃ rĩ pi újákí dõ ẹ́sị́ Múngú ri ẹ̃ꞌyị̃zú rá, Múngú ri kộpi ãꞌyĩ rá, ĩri kộpi ꞌbã gõ vúlé, sụ̃ ĩri ní pẹtị rĩ ẽ drị́tị ꞌbãá gõó pẹtị rĩ ã rụ́ꞌbá gá ũzi rĩ tị́nị. Ĩri ũkpõ be tã ꞌdĩri ꞌdụzú ngazú. 
ROM.11.24	Ĩmi adriꞌbá Yãhụ́dị̃ rú ku ꞌdĩꞌbée, ĩmi índrékí sụ̃ pẹtị õlívẽ vé rĩ ẽ drị́tị ĩ ní ugaá mụụ́ ꞌbãá pẹtị ãzi túngú ni ã rụ́ꞌbá gá rĩ tị́nị. ꞌBo Yãhụ́dị̃ lẽꞌbá ĩ újáꞌbá Múngú ri ẹ̃ꞌyị̃ꞌbá rĩ pi, adrikí sụ̃ pẹtị ẽ drị́tị drị̃drị̃ ꞌdãꞌbée tị́nị, Múngú ri ũkpõ be pẹtị ẽ drị́tị drị̃drị̃ ꞌdãri újázú ꞌbãzú pẹtị rĩ ã rụ́ꞌbá gá ꞌdãá ũzi.
ROM.11.25	Má ẹ́drị́pị́ị má ọ́mvụ́pị́ị, á lẽ ĩmi nị̃kí tã ĩ ní ũzụ̃ụ́ kuú mũdũmũdũ rú ꞌdĩꞌbée, lẽ ĩmi íngúkí ĩmi ku, ꞌbá Ĩsẽrélẽ vé rĩ pi ụrụkọ gãkí Múngú ri ẹ̃ꞌyị̃gá sĩ, ꞌbo kộpi ũtẽ ꞌdíni cĩmgbá ĩmi adriꞌbá Yãhụ́dị̃ rú ku Múngú ní ũpẽé ꞌdĩꞌbée ní ímụ́zú Kúrísítõ ri ẹ̃ꞌyị̃zú rĩ gé. 
ROM.11.26	Kúru ĩ ímụ́ ꞌbá Ĩsẽrélẽ vé rĩ pi pa céré, sụ̃ ĩ ní sĩí Búkũ Múngú vé rĩ agá rĩ tị́nị,
ROM.11.26	“ꞌBá ímụ́pi kộpi paápi rĩ, ĩri íbí ímụ́ írã Sĩónã vé rĩ gélésĩ,
ROM.11.26	ĩri ímụ́ úyú ĩfũꞌbá Yõkóbũ agá rĩ pi vé ũnjĩkãnyã ũjĩ kộpi ã rụ́ꞌbá gá sĩ céré.
ROM.11.27	Ũndĩ má ní ímụ́ rụụ́ kộpi be rĩ,
ROM.11.27	ma kộpi trũ ĩvé ũnjĩkãnyã agásĩ céré.”
ROM.11.28	ꞌBá Ĩsẽrélẽ vé rĩ pi ndẽé ni pi ícákí ariꞌba Múngú vé ni, ĩmi ꞌbá adriꞌbá Yãhụ́dị̃ rú ku rĩ pi ẽ ẹ̃ꞌyị̃kí rí ụ́ꞌdụ́kọ́ múké rĩ ãní. ꞌBo Múngú lẽ ꞌbá Ĩsẽrélẽ vé rĩ pi lẽlẽ, ãꞌdiãtãsĩyã ĩri ní kộpivé ẹ́ꞌbị́pị Ãbũrámã ri ĩpẽé Ĩsákã be ãzini Yõkóbũ be rĩ ã tã sĩ. 
ROM.11.29	Ĩmi ndrekí drĩ ká, Múngú sẽ dõ ꞌbá rĩ ní fẽfẽ gí, ãzini zị dõ ĩri gí, ícó ívé yị̃kị̂ újá ku. 
ROM.11.30	Ĩmi ꞌbá adriꞌbá Yãhụ́dị̃ rú ku ꞌdĩꞌbée, ándúrú ĩmi gãkí Múngú ri sĩ, ꞌbo Múngú gõ ívé ẹ́sị́ múké rĩ ꞌbãá ĩmi ní, ãꞌdiãtãsĩyã ꞌbá Ĩsẽrélẽ vé rĩ pi nóni gãkí Múngú ri sĩ. 
ROM.11.31	Yãhụ́dị̃ kárákará rĩ pi ẽ drị̃ ícákí nóni ũkpó ũkpó, ꞌbo Múngú ri ímụ́ ívé ẹ́sị́ múké rĩ ꞌbã kộpi ní, ãꞌdiãtãsĩyã ĩmi ị́sụ́kí rí ẹ́sị́ múké Múngú vé rĩ ãní. 
ROM.11.32	Múngú adi ꞌbá rĩ pi ꞌí drị́gé sĩ, ku kộpi rií ũnjĩkãnyã ꞌoó sụ̃ kộpi ní lẽé rĩ tị́nị, ꞌî ꞌbã rí ívé ẹ́sị́ múké rĩ kộpi ní céré bẽsĩnĩ.
ROM.11.33	Úmĩ Múngú vé rĩ, ãzini tã nị̃ngárá Múngú vé rĩ aga rá,
ROM.11.33	ꞌbá ãzi ícó ĩrivé tã ũlũú bã ku,
ROM.11.33	dõku ꞌbá ãzi ícó tã ĩri ní ꞌoó rĩ ũlũú bã ku.
ROM.11.34	“Ãꞌdi nị̃ úmĩ Úpí Múngú vé rĩ rá nĩ?
ROM.11.34	Dõku ãꞌdi ũlũ ĩri ní tã rá nĩ?”
ROM.11.35	“ꞌBá ngá sẽépi Múngú ní,
ROM.11.35	Múngú ní gõó ngá újá sẽé ĩri ní rá rĩ ãꞌdi ꞌi?”
ROM.11.36	Múngú gbi ngá rĩ pi ãrẽvú céré nĩ,
ROM.11.36	kộpi ri adri ĩrivé ũkpõ sĩ,
ROM.11.36	gbi kộpi ẽ íngúkí rí ꞌi ãní.
ROM.11.36	Ẽ íngúkí Múngú ri mụzú nyonyo! Ãmĩnã.
ROM.12.1	Má ẹ́drị́pị́ị ma ọ́mvụ́pị́ị, Múngú iꞌda ẹ́sị́ ĩdríkídri ívé rĩ ĩmi ní gí. Tã ni sĩ, á mã ĩmi drị́ ị̃rị̃ sĩ, lẽ ĩmi sẽkí ĩmî rụ́ꞌbá Múngú ní rọ̃bọ̃ŋọ̃ rú, ã adri uletere, ã sẽ rí Múngú ní ãyĩkõ. ꞌDĩri lẹ́tị áda Múngú ri ị̃njị̃zú rĩ. 
ROM.12.2	Lẽ ĩmi rikí ĩmi újá tã ꞌoó sụ̃ ꞌbá nyọ̃ọ́kụ́ nõri vé rĩ pi ní rií tã ꞌoó rĩ tị́nị ku, lẽ Múngú ã újá ĩmivé yị̃kị̂ ícá úꞌdí. Kúru ĩmi ícó tã Múngú ní lẽé ĩmi ꞌokí rĩ nị̃ ámá rá, ãzini ĩmi ícó tã múké, ãzini tã ãyĩkõ sẽépi Múngú ní, ĩri ní lẽé rĩ nị̃ ámá rá.
ROM.12.3	Ẹ́sị́ múké Múngú ní ꞌbãá má ní ꞌdĩri sĩ, á lẽ ꞌyoó ĩmi ní céré, lẽ ĩmi ụ̃sụ̃kí ꞌyozú kínĩ, ĩmi ndẽkí tã sĩ céré nĩ ꞌdíni ku. Lẽ ĩmi ámákí ĩmivé adringárá, ẹ̃ꞌyị̃ngárá Múngú ní sẽé ĩmî ẹ́sị́ agá rĩ sĩ. 
ROM.12.4	ꞌBâ rụ́ꞌbá ĩgélé be ãndíãndí, ĩgélé ãlu ãlu ri ívé ẹ̃zị́ be túngú túngú. 
ROM.12.5	ꞌBâ adrikí dõ kárákará drãáãsĩyã, ꞌbá úmúkí ꞌbâ ícá rụ́ꞌbá ãlu Kúrísítõ ã rụ́ꞌbá gá, ꞌbá ãlu ãlu ri pá tu ọ́gụ́pị sĩ. 
