GEN.1.1	Wele gug qocna Anut uqa sao mahaca ifanen. 
1PE.3.7	Eu odiwe age gemugailha agena inondoc cahacdoiaunnu age cisdoc me umeig age aidagail gami me bileigale. Ge, cajaha Anut uqa eeladec uum adeceb cebac bilec catanec oqagan ec age dogina. Cajaha age Anut huqanehul. Euqa caja dewenega eu gagadicca bahic qee, eu dana dewenega wooldoc qee. Eunu age aidagailnu kobol mena odadeiga.
1PE.3.8	Qila ija je i edi qee mudigen odigina. Age cunug cisdoc osolca wawaga osolca bileigale. Age osona culumen sol meigale. Age wawaga meleec cotogail cunugnu nalunuga meigale. Age osonu wawaga qoiale. Age cotogailnu jogoi coboigale. 
1PE.3.9	Anut uqa age uqana eeldoc oqagannu gale don. Eunu uqa age kobol cunug eu odoqagannu utaaden. Eunu dana age kobol me qeena odadecebilfi age ameg me qeena cain wadacduadowain. Odocob dana age je me qee maadecebilfi age je me qee cain wadacduadowain. Eu odi qee, age Anutna eeladec mugumuga oqagannu age Anut uqa dana eu eeladigiannu inondoigale.
1PE.3.10+1PE.3.11+1PE.3.12	Ge, Anutna jaqec je odi madena:
1PE.3.10+1PE.3.11+1PE.3.12	“Tibud uqa ameg eu dana cajaca ititom eundec feciadena.
1PE.3.10+1PE.3.11+1PE.3.12	Odimei uqa gaid age inondoginanu dahig cehena.
1PE.3.10+1PE.3.11+1PE.3.12	Euqa Tibud uqa dana qisol mec kobol odogina eunu cagucag tawena.
1PE.3.10+1PE.3.11+1PE.3.12	Eunu dana oso uqa uqana bilec me bahic caligiannu waug nijecebfi,
1PE.3.10+1PE.3.11+1PE.3.12	uqa saen me bahic figiannu cisdufei,
1PE.3.10+1PE.3.11+1PE.3.12	uqa je me qee cain madeiaun,
1PE.3.10+1PE.3.11+1PE.3.12	uqa uhulec je madecha hibemdoia.
1PE.3.10+1PE.3.11+1PE.3.12	Uqa qisol mec kobol cunug hibemdumei kobol tutuc odeiale.
1PE.3.10+1PE.3.11+1PE.3.12	Uqa malol bilec walimei eu toodoiale,” ena.
1PE.3.10+1PE.3.11+1PE.3.12	(Buk Song 34.12-16)
1PE.3.13+1PE.3.14+1PE.3.15+1PE.3.16+1PE.3.17	Age tutuc odocnu megameg mifeig in uqa age me qee odadigian? Euqa Anut gale donafi age tutuc odoc eunu culumen gahidoqagan eu me. Eunu age kobol tutuc odimeig eunu culumen gahidufeig age ceeleiga! Euqa age cahulec odoc eunu culumen gahidoqagan eu me qee. Anut uqa dana age, age Kraisna kobol me toodogina eunu je me qee maaadi bulamadifeig age je me qee maadec eunu majanaga adigiannu gale dona. Eunu
1PE.3.13+1PE.3.14+1PE.3.15+1PE.3.16+1PE.3.17	“age dananu cain cucuiadowain, age cain jaen aqeiaun,” en.
1PE.3.13+1PE.3.14+1PE.3.15+1PE.3.16+1PE.3.17	(Aisaia 8.12)
1PE.3.13+1PE.3.14+1PE.3.15+1PE.3.16+1PE.3.17	Euqa age Anut amegna wawaga tutuc biliale. Odocob age wawagana Krais cuhanuc agena Tibud mudecebil bilia. Dana age ceteh me i age ocnu susumudi bileginanu, gug doqagannu sisiladecebilfi age saen gaid je wadacduadoqagannu saciadoiga. Odocob age wawaga jocosaigca dana agenu lal qu bibileig je wadacdu maadeiga.
1PE.3.18	Age Kraisnu cisdoiga, uqa dana ititom. Euqa uqa dana cajaca ititom qee cunug agena cudun umei hehuladen. Odocob uqa dana cajaca agena silailnu cagasiadimei ehadimei Anutca lecnu cal men. Krais uqa mahana cocobi dana bilen. Odocob dana age deweg tudocobil cal men. Uqa saen osolna dih cal men, uqa haun qee cal meiaun. Euqa Anut uqa tulidocob haun cajen. Qila uqa sao jobon kis deweg on bilia. 
1PE.3.19	Odimei uqa kis deweg bibilei nuimei kis
1PE.3.20	Kis eu age wele Noa uqana saen euna Anutna je tefacdoin. Noa uqana saen euna qisol mec kobol ben wasecnu odon qa Anut uqa dana cajaca ameg mahuc qee wadacadel. Uqa susumudi lili Noa uqa uqana wag ben mudi hedon. Odocob sihul nag oso, eu dana cajaca 8-pela himec, wag ben tobimeig dunuh lein. Odocob wa sil ben cajimei wag eu u suldocob basai cobon. Odocob Anut uqa dana cajaca 8-pela eu wana cahahaaden. 
1PE.3.21	Anut uqa qila wa joadecna cahahaadena eu odiwe uqa dana cajaca 8-pela eu wana cahahaaden. Eunu wa eu wa joadec qila cahahaadena eu hahunwe. Wa joadec eu age dewenega gegehin cusi qelecnu qee nijel. Wa joadec eu age Anut amegna cataniec biluqagan ec qeel qeti madein. Anut uqa Jisas Krais tulidocob cajen eunu uqa wa joadecna cahahaadecnu ihoc. 
1PE.3.22	Jisas Krais uqa sao jobon ten, Anut eben meulana isec bilina. Odocob ensel cunugca, kis gagadic odoc cunugca, ceteh cunug gagadic odocca eu age Jisas Krais bisalu bilegina.
1PE.4.1	Krais uqa dewegna dain sogoecca gahidon. Odocob oso uqa dewegna dain sogoecca gahidon eu uqa silailna kobol eu wele culen. Eunu ageha jic euna dih uqa cisdonwe age cisdoc eundec gagadicca heweiga. 
1PE.4.2	Ge, gug eunu qila saen ina maha ina bilecnu age dewenegana bibileig age dana agena gale adec me qee dana odogina eundecna cain biluwain. Age Anut gale docna bileigale. 
1PE.4.3	Ge, wele age haiden dana kobol me qee odocnu gale ben adoloi euna ihoc bilein. Agena bilec eu wal kobol majanagaca qeeca, eu gale adec me qeeca, eu ceu jecebil dalul aqecca, eu ja qoqoig dana age cajaca nijegina euca, eu kadan tibud cuha fecca. 
1PE.4.4	Qila age haiden dana agena kobol me qee cunug odogina eundec qee gabanadecebil odoginanu haiden filicitadegina, eunu age deweneganu je me qee maadegina. 
1PE.4.5	Euqa Gesiladec Ben uqa dana cajaca cebac bileginaca dana cajaca cal mein eundecca gesiladigiannu saciadon bilia. Eunu haiden dana age Gesiladec Ben eu uqa amegna tawimeig age ege eetanu kobol me qee odom ec madoqagan. 
1PE.4.6	Ge, gug inu Krais uqa dana cajaca cal mein euha me je qasali maaden.
1PE.4.7	Ceteteh cunug qee migiannu gadac saen eu wele cemenug nijia. Eunu age dumanaganu cisdu cuhadumeig fogo adeiale. Odimeig gaidgaid inondoiga. 
1PE.4.8	Age wawaga meleec cotogailnu nalunuga mifeig age agena silail matinu dahiniga celigian. Odocob age cotogailnu nalunuga mecnu kobol eu kobol leih cunug wooladec. Eunu nalunuga mec eu gagadicca heweigale. 
1PE.4.9	Age cotogail agena loo jona hocobil bilegina eu age loo adegina eunu cain wawaga me qee meiaun. Age loo adimeig cofadi cuhaadeigale. 
1PE.4.10	Age cunug cabi ocnu dumanaga adec filfil Anut adeceb oin. Eunu dumanaga adec euna age cotogail cesuladecnu cabi oiga. Kobol euna age Anutna dumanaga adec filfil ila mecnu cabi dana me biluqagan. 
1PE.4.11	Oso uqa Anutna je madecnu duman uteceb on uqa Anutna je tutuc madigian. Oso uqa cesuladecnu duman uteceb on uqa dana cajaca cesuladecnu cabi eu uqa Anut gagadic odoc uten euna cabi ugian. Eunu dana age ege ceteteh cunug odoqona ec fimeig age Jisas Krais umna Anut binan suluqagannu kobol eu odoigale. Uqa binan fulacdocca, uqa gagadic odocca gaidgaid biliale. Mele.
1PE.4.12	O wawige meleec cotiel ija nalunuga migina, age temadec jaca ageca hocob eunu cain filicituwain. Temadec eundec ageca hocob eu ceteh fil oso bahic ec cain cisdowain. 
1PE.4.13	Temadec euna age Krais uqa dain sogoecca gahidonwe ageha Kraisca osoben dain sogoecca gahidogina, eunu age ceeleigale. Odocob hibna Krais uqa gagadic odoc fulacdocca camasac migian saen euna age wawaga me bahic bileceb gehca ceeloqagan. 
1PE.4.14	Kis gagadic odoc fulacdocca eu Anutna Kis eu ageca bilina. Odocob age Krais ijan hewegina. Eunu dana age eunu je me qee maadecebilfi age cois ceeloqagan. 
1PE.4.15	Euqa gadgad age gemona dana oso uqa dana qagadocob cal menafo, oso heje onafo, oso cahuldonafo, oso dana leih agena cetehnu gugca mecieei cobonafo eunu ameg umei sogoeiaunnu. 
1PE.4.16	Euqa age eundec oso uqa Kristen, eunu sogoifei uqa cain majag doiaun qa Kristen ijan euna uqa Anut binan suliale.
1PE.4.17	Ge, gesilgec sanan mecnu saen wele dodoldona. Odocob Anut uqana dana cajaca eu age casac gesiladigian. Anutna gesiladec eu egeca sanan mecebfi dana cajaca age Anutna me je eunu wawaga qee meleena eunu adi odigian? 
1PE.4.18	Odocob Anutna jaqec je odi madena:
1PE.4.18	“Dana ititom eundec cahahaadecnu cabi bahicfi,
1PE.4.18	dana age Anut hibemdumeig silail kobol odogina eu agenu qa adi tawoqagan?” ena.
1PE.4.18	(Sindaun 11.31)
1PE.4.19	Eunu dana age Anutna gale docna sogoegina eundec age agena cebac bilec Anut ebenna mimeig tutuc dih coboigale. Ge, Anut uqa ege ifani migen, odocob uqa gaid ege me bahic cofgena.
1PE.5.1	Qila ija tamanec cofadec matu odi maadigennu odigina. Ijaha ageca osoben tamanec cofadec. Odocob ija amigulna Krais culumen dain doc sogoeceb fem. Odocob ijaha age gami osobenca gagadic odoc fulacdocca hibna camasac migian eu oqan. Eunu cofadec age cabi odi oqagannu tuliadigina. 
1PE.5.2	Age Anutna dana cajaca cofadi cuhadoigale, age age ebenegana sipsipwe bilegina. Age meen qaig ocnu dih cabi i cain owain. Odocob age cabi i oqagannu dana leih agena gale adecna toodumeig cain odowain. Euqa age Anutna cisdoc toodu cabi i oqagannu gale adeiale. Age cabi i ocnu megameg mimeig cabi u cuhadoigale. 
1PE.5.3	Age dana ben cinigwe bibili bileig Anutna dana cajaca Anut uqa age ebenegana men eu cain cilehadowain. Euqa age kobol me odadoqagan, odocob age dana cajaca jic ihacadecebil tooadoqagan. 
1PE.5.4	Age odi odocobilfi sipsip cofadec meca uqa camasac caleceb saen euna age king katakat gagadic odoc fulacdocca dana cajaca ititom oqagan eu ageha oqagan. King katakat eu ameg me bahic, eu qee qee meiaun.
1PE.5.5	Eu odiwe dana haun ha age tamanec cofadec matu bisalu bileigale. Ge, Anutna jaqec je odi madena:
1PE.5.5	“Anut uqa dana ege binanige suli oqan egina eundec hewadeceb nag megina.
1PE.5.5	Euqa dana wawaga lal qu jogoi cobogina eundec uqa eeladec uum adena,” ena.
1PE.5.5	(Sindaun 3.34)
1PE.5.5	Eunu age cunug agedodoc jogoec kobol umeig cotogail bisalu bileigale. 
1PE.5.6	Anut uqadodoc uqana saen mena age u suladeceb ohis toqagannu gale dona. Eunu agedodoc agena gale adec eu cilehdoigale. Odimeig Anut eben gagadic odocca bisalu bileigale. 
1PE.5.7	Anut uqa agena culumen dain adec sogoecca cunug gahidogina ec dona. Odocob uqa me cofadena. Eunu age agena culumen dain adec sogoecca cunug eu uqa ebenna meigale.
1PE.5.8	Agena cad, Seten, uqa laion osowe gehca euii taliladi cobona. Uqa dana leih aqi jigiannu waladena. Eunu age dumanaga cofdu cuhadoigale. Age mecii cuhadoigale. 
1PE.5.9	Age wawaga meleecna duui tawimeig teidu wooldoiga. Ge, age dogina, age wawaga meleec cotogail mahamaha cunugna bilegina ageha culumen dain adec sogoecca eundec gahidogina eu odiwe age gahidogina. 
1PE.5.10	Anut uqa eelgec uum igec cunug uqana gug. Uqa age Kraisca gabanadeceb age uqana gagadic odoc fulacdocca oqagannu utaaden. Gagadic odoc fulacdocca eu gaid biligian. Age culumen dain adec sogoecca saen gohicna dih gahidoqagan. Odocob hibna Anut uqadodoc age haun me madigian. Odimei uqa me madeceb tatawebil gagadicca biluqagannu hehadigian. 
1PE.5.11	Anut uqa gagadic odoc euca gaidgaid biliale! Mele.
1PE.5.12	Sailas ebenna ija je gohic i jaqiadigina. Uqa ege wawige meleec cotige bahic ec cisdugina. Jaqec je ina ija kobol i Anut uqa dana cajaca cunug odadena eu uqana uum igec bahic ec cesusaadi maadigina. Anutna eelgec uum igec i mele bahic ec maadigina, age euna gagadicca taweigale.
1PE.5.13	Tamanec uqa Babilon
1PE.5.14	Age osolosol cunug wawaga meleec cotogail cotec nalug mecna cotdocobdocobeigale.
1PE.5.14	Cunug age Kraisca gabanadec bilegina eu malol bilec ageca biliale.
2PE.1.1	Ija Saimon Pita, ija Jisas Kraisna cabi dana aposelca. Ija dana cajaca age Jisas Kraisnu wawaga meleena eu jaqiadigina. Jisas Krais uqa egena Anut, uqa egena Cahahagec. Jisas Krais uqa ititom. Age uqanu wawaga meleec wele oin. Eunu agena wawaga meleecca egena wawige meleecca eu ihocihoc. 
2PE.1.2	Age Anut Jisas egena Tibudca eunu dogina. Age alenu dudu cuhadodogin ale eelgec uum igec malol bilecca haunhaun adesiale.
2PE.1.3	Jisas Krais uqa Anut, uqa gagadic odocca. Uqa culgeceb uqanu du cuhadom. Uqa binanca bahic, uqa gagadic meca bahic euna ege uqana bilitoqannu utagen. Odocob uqana gagadic odoc eu cesulgeceb uqa ceteteh cunug eu egena cebac bilec gagadic mecnuca, ege Anutna kobolna cobocnuca ihoc igen. 
2PE.1.4	Jic euna uqa ceteh ben bahic, me bahicca igigian ec je hahun maden eu igen. Euqa Krais uqa ceteh me bahic i igen, odocob uqa euna cesulgeceb wawige cajecnu kobol eu ege dana cajaca mahana biluquna me qee migina eu felacudigeceb busalom. Odocob ege Anutna cebac bilecca, uqa dumanca om.
2PE.1.5	Gug inu dih age odi odoiga. Age wawaga meleena. Odocob age tutuc cobocnu cabi gagadic bahic umeig agena wawaga meleec tubdoiga. Odocob age Anutna cisdoc silec ocnu cabi gagadic bahic oiga. Anutna cisdoc silec eu age adi cobocnu dado madigian. Odocob Anutna cisdoc silec eu agena tutuc coboc tubdoiga. 
2PE.1.6	Odocob age dumanaga me cofdocnu cabi gagadic bahic umeig eu Anutna cisdoc silec tubdoiga. Odocob age wawaga duuecca tawecnu cabi gagadic bahic oiga. Wawaga duuecca tawec eu culumen dain adec sogoecca gahidocnu cesuladigian. Odocob age wawaga duuecca tawec eu dumanaga me cofdoc tubdoiga. Odocob age Anutna kobolna cobocnu cabi gagadic bahic umeig eu age wawaga duuecca tawec tubdoiga. 
2PE.1.7	Odocob age wawaga meleec cotogailnu wawaga qocnu cabi gagadic bahic umeig Anutna kobolna coboc tubdoiga. Odocob age wawaga meleec cotogailnu nalunuga mecnu cabi gagadic bahic umeig wawaga qoc tubdoiga.
2PE.1.8	Age Jisas Krais egena Tibudnu wele doin. Age kobol eundec cunug ocobilfi eu ageca gagadic calecebfi agena Jisas Kraisnu doc eu gauc bilecnu ihoc qee. Eu aig mati bahic qugian. 
2PE.1.9	Ge, dana uqa kobol eundecca qee, uqa ceteh onoca bilia fecnu ihoc qee, uqa dana ameg galuc mec cinigwe. Uqa Anut uqa uqana silail uqa wele moloi eu cagasiteceb cataniec biligen ec dahig celen. 
2PE.1.10	Ija wawige meleec cotiel, Anut uqa age nesili cedadimei age uqana dana cajaca bilecnu utaaden. Eunu age agena cobocna age Anutna dana cajaca ihacecnu kobol eundec cunug cabi gagadic oiga. Ge, age odi odifeig agena wawaga meleec toni qocnu ihoc qee. 
2PE.1.11	Eunu age odi odocobilfi Jisas Krais, egena Tibud, egena Cahahagec uqa geh bahic cesuladeceb age uqana cul dunuh loqagan. Cul euna Jisas Krais uqa king bileceb catanena.
2PE.1.12	Eu mele, age ceteh i cunug wele doin. Age mele je i wele oin, odocob age euna gagadic tawegina. Euqa age kobol eundecnu dahiniga celecdainnu ija kobol eundecnu agena cisdoc gaid fogo duadigen. 
2PE.1.13+2PE.1.14	Ija dugina, nag odi ija deweni i culigen. Egena Tibud Jisas Krais ceteh inu je hahun maten. Eunu saen cunugna ija deweni ina biligina ija agena cisdoc fogo duadigennu haun maadigen eu me bahic ec cisdugina. 
2PE.1.15	Eunu ija ceteh inu maadecnu cabi gagadic ugina. Odocob hibna saen ija wele cal mecemin age je i saen cunugna ceteh inu haun ihoc cisdoqagan.
2PE.1.16	Ege wele egena Tibud Jisas Krais uqa gagadic odocca, odocob uqa ceseli hugian ec maadocomun doin. Euqa ege Jisas Kraisnu je eu maadocomun doin saen euna ege dodo gauc dana agena cisdocnadec toodu qee maadolom. Egedodoc amigegul Jisas Krais uqana gagadic odoc fulacdocca fom.
2PE.1.17	Ege uqaca aluh gunna ono tatawoqon saen Anut Memige uqa binan suldumei gagadic odoc fulacdocca uten. Odimei uqa gagadic odoc fulacdocca uutei Anut uqa king binan meca bahic uqa sao jobondec maden:
2PE.1.17	“Eu ija melami,
2PE.1.17	ija uqanu nalug migina,
2PE.1.17	ija uqanu wawi me nijia,” en.
2PE.1.17	(Matju 17.5; Mak 9.7; Luk 9.35)
2PE.1.18	Ege Anut jejeg eu sao jobondec cacalen dah mom. Ge, saen euna ege uqaca aluh gunna tatawi dom. 
2PE.1.19	Odocob ege je hahun madec dana wele bilein agena jenu gagadic bahic wawige meleecnu ihoc. Agena je eu adi Jisas Kraisnu wawaga meleecnuca, adi cobocnuca cesuladena. Agena je eu gowoc cudun tuna gogowi bilina cinigwe. Eu gogowi bibilen li walag dadaneb malaqa boei
2PE.1.20+2PE.1.21	Euqa age ceteh matu inu casac docnu doiga. Je hahun madec dana oso uqa dana agena gale adecna je hahun qee madel. Euqa Kis Gun uqa dana tuliadeceb age je Anut aden eu madein. Je hahun madec dana agena je eu Anutna jaqec je nijia. Euqa ege dana egena cisdoc himec toodumeb je eu uqana gug sildiadecnu ihoc qee.
2PE.2.1	Eu mele, uhulec je hahun madec dana leih wele Isrel dana cajaca gemona calein. Eu odiwe uhulec iwaladec dana ageha gemona caloqagan. Age jahunimeig uhulec iwaladec je filfil ahoqagan. Uhulec iwaladec je eu Anutna je qee toodoiaun. Dana age uhulec iwaladec je toodoqagaqa eu age fadaloqagan. Odocob uhulec iwaladec dana age Tibud uqa ceseli fajaden eu qee sasac qoqagan. Eunu Anut uqa mahuc bahic fadaladeceb qee moqagan. 
2PE.2.2	Odocob dana mati age agena wal kobol majanagaca qee toodu odoqagan. Eunu age eu odi odocobil dana cajaca age mele cobocnu jic eunu je me qee madoqagan. 
2PE.2.3	Odocob dana eu age ban falec dana bahic eunu age uhulec je mati agena qaig ceteteh diduadoqagannu madoqagan. Euqa wele bahic Anut dana eundec gesiladigiannu deel saciadon bilia. Odocob uqa fadaladigian. Aria, agena fadaladec qee us nijina. Tu gegeldon sumadi bilina.
2PE.2.4	Age dogina, wele ensel leih age silail mein. Odocob Anut uqa ensel eundec qee culadel qa qeladeceb oloqanihna lein. Ono age mama helo tuca onoca bahic Anut saciaduaden euna gihacaden bilegina. Euna age Gesiladec Deel Bennu sumudi bilegina. 
2PE.2.5	Odocob ageha dogina, wele dana cajaca age wa sil ben saona qee nec mahana bilein eu age Anutna kobolna qee coboin. Anut uqa dana cajaca eundec qee culadel qa uqa odocob wa sil ben nimei dana cajaca eundec fadaladen. Euqa Noa uqa ititom kobolnu je maaden. Odocob Anut uqa Noaca dana cajaca 7-pelaca cofadeceb me bilein. 
2PE.2.6	Odocob ageha dogina, Anut uqa madeceb Sodom Gomoraca jobon fadalesin. Uqa jana cijaleceb comis himec qahesin. Uqa hahun ihacadec biligiannu odi odon. Odocob dana cajaca age hibna caloqagan eu age Sodom Gomoraca ale Anutna kobolna qee cobocobil uqa odi fadalalen ec cisdoqagan. Odocob dana cajaca ageha Anutna kobolna qee cobocobilfi Anut uqa age fadaladigian eu odi uqa Sodom Gomoraca fadalalenwe ec cisdoqagan. 
2PE.2.7	Odocob ageha dogina, Lot uqa dana ititom uqa Sodom bilen. Uqa Sodom silail dana agena wal kobol majanagaca qee eu fimei uqa waug culumen ben don. Odocob Anut uqa Lot qee fadaldol qa uqa cahahadon. 
2PE.2.8	Ge, dana waug ititom eu uqa Sodom dana gemona bibilei deel cunugna uqa agena silail kobol fifi duduen. Odocob age Anutna loo je tefacdoin eunu uqa waug geh dain don. 
2PE.2.9	Aria, ceteteh i cunug Tibud odon ec dogina. Eunu age dogina, dana cajaca age Anutna kobolna cobogina eundec temadec ageca calecebfi Tibud uqa temadec eunadec cahahaadecnu dona. Odocob Tibud uqa silail dana agena me qee odoc wele don. Odimei uqa agena ameg me qee wadacadec cofdudu li agena gesiladecnu deel gadacna caligiannu dona. 
2PE.2.10	Dana eundec leih age ameg me qee bahic oqagan. Eu age golanaga me qeenu silileceb kobol gegehinca odogina. Odimeig age Tibud uqa agena ilo biligiannu qee gale adena.
2PE.2.10	Age deboecca, age ija didih ii cobogina. Eunu age ensel fulacdoc gagadic odocca sao jobon bilegina eu agenu je me qee madecnu qee cucuiegina. 
2PE.2.11	Ensel eu age gagadic odocca bahic age ensel leih silail mein eu wooladegina. Euqa ensel eu age ensel silail mein qee cewadegina, odimeig age Tibud amegna agenu je me qee qee gesiladi madegina.
2PE.2.12	Euqa dana eu age dool cus cinigwe. Dool cus age qee cisdogina qa age dewenega gale adec himec toodu odogina. Dool cus eu dana age cedadimeig qagaadoqagannu himec anagail basadein. Eu odiwe uhulec iwaladec dana eu age qee cisdogina. Age ceteh agena gugnu qee dogina eunu je me qee mamadi qesaldogina. Eunu age dool cuswe fadaloqagan. 
2PE.2.13	Age kobol me qee odoin. Eunu age agena ameg umeig sogooqagan. Age cahineg sab wainca gehca jegina eu kobol me bahic ec cisdogina. Age kobol gegehinca wal kobolca oodogin age age gami sab jegina. Eunu age Anutna dana cajaca odadecebil age gegehinca megina. Eu age age majanaga hewadegina. Euqa silail dana eundec age uhulec kobol odogina eunu ceelegina. 
2PE.2.14	Age gaid caja feciadimeig amaga qocob wal kobol eu me ec cisdogina. Age amaga eu silail kobol nenehdogina eu culecwe qee. Age dana wawaga meleec gagadicca qee eundec faninadimeig silail moqagannu diadegina. Age culunuga eu wele ban falecnu kobol iwaldoin. Tibud uqa dana eundec geladigian! 
2PE.2.15	Age jic tutuc culimeig jic ceja qoin. Age jic Belam on eu toodoin. Belam, uqa Bio melah, uqa me qee odocna meen qaig ugiannu gawen. 
2PE.2.16	Odocob Tibud uqa uqana silailnu galac muden. Tibud uqa odocob uqana cesel eu jejegca qee qa dana jejegca mimei je madon. Odimei Tibud uqa je hahun madec dana eu gad kobol odocnu cahacdon.
2PE.2.17	Uhulec iwaladec dana eu age wa mahana hunecebil galalena cinigwe. Age hut fufu ben hu fudocob nuina cinigwe. Eunu Anut uqa agena cudun eu heel tu kaudoc bahic saciaduaden nijia. 
2PE.2.18	Ge, dana eu age deboi gad je caunca qee madegina. Age mamadeig dana leih faninadecebil golanaga cajeceb age wal kobol majanagaca qee filfil odocnu odadegina. Odimeig age kobol euna dana age qila bahic haiden agena jic ceja qoc culegina eu diadecnu cabi ocobil age uhulec iwaladec dana beli tooadegina. 
2PE.2.19	Ceteh oso dana wooldocobfi dana eu ceteh eu uqana cabi dana bilina. Eunu uhulec iwaladec dana eu age maadegina, “Age Anutna loo je toodocnu qee nijel. Age agena gale adec toodocnu ihoc,” adegina. Euqa age odi mamadeig agedodoc age fadalecnu kobolna cabi dana bilegina. 
2PE.2.20	Ge, dana age egena Tibud, egena Cahahagec Jisas Kraisnu dumeig age mahanadec wal kobol cuculdi busalein eu age kobol me qee haun fagadeceb wooladecebfi agena bilec haun eu me qee bahic migian. Agena bilec haun eu age wele hahawan bilein eu wooldona. 
2PE.2.21	Ge, qila age Anut ititom mudecnu jic inu dogina qa age Anutna loo je gun Anutna sos age dana maadecebil oin eu age hibemdoin. Eunu age adi Anut uqa dana ititom mudina ec doin qa age qee docwe moubmi eu me bahic nijoub. 
2PE.2.22	Ceteh ageca calen eu odi dado madec je oso odi madena:
2PE.2.22	“Qa uqa fojimei haun ceseli li uqana fojoc jena,” ena.
2PE.2.22	(Sindaun 26.11)
2PE.2.22	Odocob dado madec je osoha eu odi madena, “Age ho wa joudecebil uqa nui haun oligna wahol nona,” ena.
2PE.3.1	O ijana danah bahic, jaqec je i eu jaqec lecisdoc qila ija age jaqiadigina. Jaqec je lecis ina ija age je inu haun cisdoqagannu agena cisdoc tuliduadigina. 
2PE.3.2	Ija je inu haun maadiginana age Anutna je hahun madec dana age wele ceteh hibna caligiannu dana cajaca maaden eunu haun cisdoqagannu maadigina. Odocob age Tibud egena Cahahagec uqana loo je magen eunuha cisdoqagannu maadigina. Tibud uqa uqana aposel suladeceb ageca limeig aposel conogana Tibudna loo je eu dah mein.
2PE.3.3	Casac age ceteh ben osonu du cuhadoiga, eu odi. Deel cit qocna dana leih age lelanec je madegina eundec caloqagan. Odimeig age wawagana gale adec me qee eu toodoqagan. Age udoc je odi 
2PE.3.4	madoqagan, “Uqa ceseli hugen ec madenfo? Uqa ai? Uqa qee ceseli hoiaun. Ge, ege jajanigeil age wele cal meinnadec leceb qila ceteteh cunug eu gaid odi dih nijina eu odiwe maha i ifanen saennadec leceb qila ceteteh cunug eu gaid nijina!” oqagan. 
2PE.3.5	Age ceteh nijianu cisdumeig doiga ec qee adel. Ceteh eu odi. Wele bahic Anut je madeceb sao calen. Odimei uqa wa umei maha mudeceb wa gemona calen. 
2PE.3.6	Odocob hibna Anut je haun madeceb wa sil ben caleceb maha eu cunug wa jebucdon. Odocob maha hilah eu fadalen. 
2PE.3.7	Euqa qila Anutna je euha taweia, eu odi. Sao mahaca qila bilesina eu jana cijigiannu saciadon nijia ec madena. Sao mahaca ale Anutna Gesiladec Deel Ben caligiannu sumudi bilesina. Deel euna dana cajaca age Anutna kobolna qee cobogina eu gesiladeceb fadaloqagan.
2PE.3.8	Euqa ijana danah bahic, age ceteh osol inu cain dahiniga celeiaun! Tibud amegna deel osol eu odi cabi gel 1,000we, odocob cabi gel 1,000 eu odi deel osolwe. 
2PE.3.9	Tibud uqa odigiannu je hahun maden eu qee daleena eu odiwe leih age uqa daleena ec cisdogina. Euqa uqa dana oso cain fadaleiaunnu gale dona qa cunug age silailnu tului falicdoqagannu gale dona. Eunu uqa camuhulaadi saen cecelac age silailnu tului falicdocnu sumadena.
2PE.3.10	Euqa Tibudna deel eu heje danawe hugian. Odocob deel euna sao uqa geh bahic udududuimei jajanu qeligian. Odocob mahaca ceteteh cunug mahana nijadenaca ja cijeceb fadaloqagan. Eu maha cunugca ceteteh cunug Anut maha mudenca camasac bahic caloqagan.
2PE.3.11	Aria, cisdoiga. Ceteteh i cunug fadaloqagan. Eunu age dana cajaca adi biloub? Age gun kobolna cobimeig Anutna kobol cunug toodoubda. 
2PE.3.12	Age kobol euna cocobi Anutna deel susumudi bileigale. Odimeig age deel eu mahucwe hugiannu cabi gagadic oigale. Deel eunu saoca ceteteh cunug saona nijadenaca eu ja ben cijadeceb qee moqagan. Odocob ceteteh cunug Anut maha muden eu ja ben cijadeceb wawa mi qojogoecebil qee moqagan. 
2PE.3.13	Euqa Anut uqa je hahun wele maden. Uqa sao haun maha haunca mudigian ec maden. Maha haun euna kobol ititom himec biligian. Eunu ege Anutna je hahun eu aig qugiannu susumudi biluquna.
2PE.3.14	Eunu ijana danah bahic, age ceteteh i caligiannu sumudi bilegina. Eunu age susumudi bibileig age Anut amegna tutuc bahic cahuldocca qee biluqagannu cabi gagadic oigale. Odocob age uqaca osoben wawaga malolca bileigale. Odocob Tibudna deelna Anut uqa agena kobol me bahic figian. 
2PE.3.15	Egena Tibud uqa egena silailnu tului falicdocnu sumigina. Age cisdoiga, Tibud uqa ege cahahagecnu kobol eu odi odona. Anut uqa ege cotige bahic Pol cisdoc silecca uten. Odocob uqaha uqana cisdoc silecca toodumei je eundec age jaqiaden. 
2PE.3.16	Uqa uqana jaqec je cunugna ceteteh inu gaid madena. Uqana jaqec jena ceteh leih eu docnu cabi bahic, eu dana docca qee age wawaga gagadicca qee tawegina eu age Polna jaqec je sildi cahuldogina, eu odiwe age Anutna jaqec je leihha sildi cahuldogina. Age odi odoginanu agedodoc fadaloqagannu euca hogina.
