GEN.1.1	Y'n dalleth Duw a formyas an nev ha'n nor. 
TOB.6.13	Ena an den yowynk a leveris dhe'n el, ‘Broder Azarias, my re glewas y feu an vowes res dhe seyth gour ha peub a verwis y'n chambour priosel. 
TOB.6.14	Lemmyn, my yw an unn mab a'n jeves ow thas, hag own a'm beus mars entrav y farwav par dell wrug an re a-ragov, rag yma jevan yn kerensa gensi, ha ny bystik ev nagonan marnas an re a nes dhedhi. Ytho yma own dhymm may ferwiv ha dri bywnans ow thas hag ow mamm dhe'n bedh yn ahwer a'm govis vy. Ha ny's teves mab arall dh'aga ynkleudhyas.’
TOB.6.15	Mes an el a leveris dhodho, ‘A ny berthydh kov a'n geryow gansa may worhemmynnis dhis dha das dhe gemmeres gwreg dhiworth chi dha das? Lemmyn goslow orthiv, broder, rag hi a wra dos ha bos dha wreg; ha na breder a'n jevan rag an keth nos ma hi a vydh res dhis yn demmedhyans. 
TOB.6.16	Pan entrydh an chambour priosel, ty a wra kemmeres regydh a ynkys ha gorra warnedha rann kolonn hag avi an pysk rag gul mog. 
TOB.6.17	Ena an jevan a wra y vlasa ha fia dhe'n fo heb dehweles arta nevra bys vykken. Ha pan dheudh nes dhedhi, sevewgh agas dew, ha pysi war an Duw tregeredhus, hag ev a wra agas selwel ha kemmeres truedh ahanowgh. Na gemmer own, rag hi a veu destnys ragos a-vynitha. Ty a wra hy selwel, ha hi a wra mos genes, hag y tesevav y' fydh fleghes dredhi.’ Pan glewas Tobias an traow ma, ev a goedhas yn kerensa gensi, ha'y spyrys a veu kelmys nes dres eghenn dhedhi.
TOB.7.1	Pan dhrehedhsons Ekbatana ha dos dhe ji Raguel, Sara a vetyas gansa ha'ga salusi. I a dhaskorras hy salusyans, ha hi a's dros a-berth y'n chi. 
TOB.7.2	Ena Raguel a leveris dh'y wreg Edna, ‘Ass yw haval an den yowynk dhe'm kenderow Tobit!’ 
TOB.7.3	Ha Raguel a wovynnas orta, ‘A by le'th owgh, breder?’ I a worthybis dhodho, ‘A vebyon Naftali, an re yw kethyon yn Nineve.’ 
TOB.7.4	Ena ev a leveris dhedha, ‘A aswonnowgh agan broder Tobit?’ Hag i a leveris, ‘Aswonnyn.’ 
TOB.7.5	Ev a wovynnas, ‘Usi ev yn yeghes da?’ I a worthybis, ‘Yma ev yn fyw hag yn yeghes da.’ Ha Tobias a leveris, ‘Ow thas yw ev.’ 
TOB.7.6	Ena Raguel a lemmis yn-bann hag amma dhodho hag oela. Hag ev a'n bennigas ha leverel, ‘Mab an gour nobyl ha mas na!’ Pan glewas Tobit dhe gelli y wolok, trist veu, hag ev a oelas. 
TOB.7.7	Y wreg Edna ha'y vyrgh Sara a oelas ynwedh. I a's degemmeras fest yn kolonnek; 
TOB.7.8	hag i a ladhas hordh a'n flokk ha settya platasow meur a voes a-dheragdha. 
TOB.7.9	Ena Tobias a leveris dhe Rafael, ‘Broder Azarias, kows a'n traow na may kewssys anedha war an vyaj, ha gas an mater dhe vos ervirys.’
TOB.7.10	Ytho ev a geskomunyas an kynnik dhe Raguel. Ha Raguel a leveris dhe Tobias, ‘Deber hag yv, ha bydh lowenek; rag yth yw dha wir dhe gemmeres ow flogh. Mes my a styr dhis an gwirder. 
TOB.7.11	My re ros ow myrgh dhe seyth gour, mes pan dheuth peub anedha dhedhi ev a verwis y'n nos. Mes rag lemmyn bydh lowenek.’ 
TOB.7.12	Ha Tobias a leveris, ‘Ny dhebrav travyth bys pan wredh kevambos fyrv genev.’ Ytho Raguel a leveris, ‘Kemmer hi distowgh, herwydh an lagha. Ty yw hy neskar ha dhiso ji yw hi. An Duw tregeredhus a re dhywgh agas dew sewena rag an gwella.’ 
TOB.7.13	Ena ev a elwis y vyrgh Sara, hag orth hy hemmeres er an dhorn ev a's ros dhe Tobias dhe vos y wreg, ow leverel, ‘Awotta, kemmer hi herwydh lagha Moyses, ha kemmer hi genes dhe'th tas.’ Hag ev a's bennigas. 
TOB.7.14	Ena ev a elwis y wreg Edna, ha kemmeres rol-skrifa ha skrifa an ambos; hag i a settyas aga sel dhodho. 
TOB.7.15	Ena i a dhallathas dybri.
TOB.7.16	Ena Raguel a elwis y wreg Edna ha leverel dhedhi, ‘Hwoer, gwra pareusi an stevell arall ha kemmer hi a-berth ynno.’ 
TOB.7.17	Hi eth ha pareusi an gweli y'n chambour, dell lavarsa dhedhi, ha'y ledya ena, ha oela ragdha. Ena hi a syghas hy dagrow ha leverel dhedhi, 
TOB.7.18	‘Bydh kolonnek, ow myrgh; an Arloedh a nev ha nor re wrontyo lowena dhis yn le dha dhuwon ma. Bydh kolonnek ow myrgh.’
TOB.8.1	Wosa i dhe worfenna dybri, i a ledyas Tobias a-ji dhedhi. 
TOB.8.2	Ha dell esa ow mos, ev a borthas kov a eryow Rafael, hag ev a gemmeras an regydh a ynkys ha gorra warnedha rann kolonn hag avi an pysk ha gul mog. 
TOB.8.3	Ha pan vlasas an jevan an ethenn, ev a fias dhe'n pella rann a Ejyp, ha'n el a'n kolmas.
TOB.8.4	Pan veu aga dew degeys a-ji war-barth, Tobias a sevis a'n gweli ha leverel, ‘Hwoer, sav, ha pysyn may kemmerro an Arloedh tregeredh warnan.’ 
TOB.8.5	Ha Tobias a dhallathas leverel,
TOB.8.5	‘Bennigys osta, a Dhuw agan tasow,
TOB.8.5	ha bennigys yw dha hanow sans ha gloryus bys vykken.
TOB.8.5	Re'th venikko an nevow ha'th kreaturs oll.
TOB.8.6	Ty a wrug Adam ha ri dhodho Eva y wreg
TOB.8.6	avel gweres ha skoedhyans.
TOB.8.6	Anedha re dheuth an agh a dhenses.
TOB.8.6	Ty a leveris, “Nyns yw da bos den y honan;
TOB.8.6	gwren gul gweres ragdho avello ev.”
TOB.8.7	Ha lemmyn, A Arloedh, nyns yw rag lust
TOB.8.7	y kemmerav ow hwoer ma,
TOB.8.7	mes gans lenduri.
TOB.8.7	Gront may kyffiv tregeredh
TOB.8.7	ha kothhe war-barth gensi.’
TOB.8.8	Ha hi a leveris ganso, ‘Amen.’ 
TOB.8.9	Ena i a goedhas yn kosk aga dew rag an nos.
TOB.8.10	Mes Raguel a sevis ha mos dhe balas bedh, gans an preder, ‘Martesen ev ynwedh a wra merwel.’ 
TOB.8.11	Ena Raguel eth a-berth yn y ji 
TOB.8.12	ha leverel dh'y wreg Edna, ‘Dannvon onan a'n maghtethyon dhe weles mars yw byw; ha mar nyns yw, gwren y ynkleudhyas heb denvyth dhe wodhvos yn y gever.’ 
TOB.8.13	Ytho an vaghteth a igoras an daras ha mos a-ji, ha'ga havoes agas dew yn kosk. 
TOB.8.14	Hag hi a dheuth yn-mes ha leverel dhedha y vos yn fyw. 
TOB.8.15	Ena Raguel a vennigas Duw ha leverel,
TOB.8.15	‘Bennigys os ta, a Dhuw, gans pub bennath pur ha sans.
TOB.8.15	Re'th venikko dha syns ha dha greaturs oll;
TOB.8.15	re'th venikko oll dha eledh
TOB.8.15	ha dha bobel dhewisys bys vykken.
TOB.8.16	Bennigys os ta, drefenn ty dhe wul dhymm bos heudhik.
TOB.8.16	Ny hwarva dhymm par dell ownen vy;
TOB.8.16	mes ty re'gan dyghtyas herwydh dha dregeredh meur.
TOB.8.17	Bennigys os ta, drefenn ty dhe dhiskwedhes truedh
TOB.8.17	war dhew flogh unn-dhineythys.
TOB.8.17	Diskwedh tregeredh dhedha, a Vester;
TOB.8.17	ha doro aga bywnans dhe geweras
TOB.8.17	yn sawder gans lowender ha tregeredh.’
TOB.8.18	Ena ev a worhemmynnis orth y servysi dhe lenwel an bedh.
TOB.8.19	Ena ev a ros goel demmedhyans ragdha hag a dhuryas peswardhek dydh. 
TOB.8.20	Ha kyns bos deu dydhyow an goel, Raguel a leveris dhe Tobias gans ti na goedha dhodho diberth kyns bos gorfennys peswardhek dydh an goel demmedhyans, 
TOB.8.21	hag ena y koedha dhodho kemmeres hanter pythow Raguel ha dehweles yn sawder dh'y das, hag y fedha an remenant dhodho ‘Pan varwo ow gwreg ha my.’
TOB.9.1	Ena Tobias a elwis Rafael ha leverel dhodho, 
TOB.9.2	‘Broder Azarias, kemmer servyas ha dew gowrvargh genowgh ha kewgh dhe Gabael dhe Rages yn Media ha kavoes dhymm an arghans; ha doroy e dhe'n goel demmedhyans. 
TOB.9.3	Rag Raguel re dos ma na dhiberthiv; 
TOB.9.4	mes yma ow thas ow nivera an dydhyow, ha mar strechyav hir ev a vydh grevys meur.’ 
TOB.9.5	Ytho Rafael a wrug an vyaj ha triga dres nos gans Gabael. Ev a ros dhodho an akwityans, ha Gabael a dhros an seghyer yn-mes yn-dann sel, ha'ga ri dhodho. 
TOB.9.6	Myttinweyth i a sevis a-varr aga dew war-barth ha dos dhe'n goel demmedhyans. Ha Gabael a vennigas Tobias ha'y wreg.
TOB.10.1	Lemmyn yth esa y das Tobit ow nivera pub dydh, ha pan dheuth dydhyow an vyaj dhe benn ha nyns ens devedhys, 
TOB.10.2	ev a leveris, ‘A yll bos aga bos lettys? Po a yll bos, Gabael dhe verwel ha nyns eus nagonan dhe ri dhodho an arghans?’ 
TOB.10.3	Hag ev o grevys meur. 
TOB.10.4	Ha'y wreg a leveris dhodho, ‘An maw re verwis; rag ev re strechyas an termyn.’ Ena hi a dhallathas kyni ragdho, ha leverel, 
TOB.10.5	‘A nyns ov vy grevys, ow flogh, ma'th esis dhe vones, ty neb yw golow ow dewlagas?’ 
TOB.10.6	Mes Tobit a leveris dhedhi, ‘Bydh kosel ha hedh dha breder; yma ev yn poynt da?’
TOB.10.7	Ha hi a worthybis dhodho, ‘Bydh tawesek ha na'm toell na fella; ow flogh re verwis.’ Ha hi e yn-mes pub dydh dhe'n fordh dredhi may tibarthsons; ny dhybri hi travyth dydhweyth, ha der an nosow ny hedhis hi kyni rag hy mab Tobias, bys pan dheuth peswardhek dydh an goel demmedhyans dhe benn, may tosa Raguel y koedha dhodho triga ena.
TOB.10.8	Tobias a leveris dhe Raguel, ‘Gwra ow dannvon dhe-ves, rag nyns eus govenek dhe'm tas na dhe'm mamm a'm gweles arta.’ 
TOB.10.9	Mes y hwegron a leveris dhodho, ‘Trig genev, ha my a wra dannvon kannasow, hag i a re dhodho derivadow, fatell yw traow genes.’ Tobias a worthybis, ‘Na, dannvon vy dhe'm tas.’ 
TOB.10.10	Ytho Raguel a sevis ha ri dhodho y wreg Sara ha hanter y bythow yn kethyon, chatel hag arghans. 
TOB.10.11	Ha wosa ev dh'aga benniga ev a's dannvonas dhe-ves, ow leverel, ‘An Duw a nev a wra dhywgh seweni, ow fleghes, kyns my dhe verwel.’ 
TOB.10.12	Ynwedh ev a leveris dh'y vyrgh, ‘Gwra enora dha hwegron ha'th hweger; i yw lemmyn dha gerens. Gas vy dhe glewes derivas da ahanas.’ Hag ev a ammas dhedhi. 
TOB.10.13	Hag Edna a leveris dhe Tobias, ‘An Arloedh a nev re'gas drollo dhe dre yn saw, broder ker, ha grontya dhymm dhe weles dha fleghes der ow myrgh Sara, may lowenhahiv a-rag an Arloedh. Otta, my a re ow myrgh dhis yn trest; na wra travyth dh'y duwena.’
TOB.11.1	Wosa hemma Tobias eth war y hyns, ow kormel Duw drefenn ev dhe wul sewen y vyaj. Hag ev a vennigas Raguel ha'y wreg Edna. Yndellma ev a besyas war y vyaj bys pan dheuthons nes dhe Nineve. 
TOB.11.2	Ena Rafael a leveris dhe Tobias, ‘A ny wodhes, broder, fatell essys dha das? 
TOB.11.3	Gwren poenya yn-rag a-dherag dha wreg ha pareusi an chi. 
TOB.11.4	Ha kemmer bystel an pysk y'th leuv.’ Ytho i a holyas aga hyns, ha'n ki eth war aga lergh.
TOB.11.5	Lemmyn Anna o esedhys ow mires a-dro rag gweles hy mab war an fordh. 
TOB.11.6	Ha hi a'n aswonnis, hag ev ow tos, ha leverel dh'y das, ‘Ottomma dha vab ow tos, keffrys ha'n den neb eth ganso!’
TOB.11.7	Rafael a leveris, ‘My a woer, Tobias, y hwra dha das igeri y dhewlagas. 
TOB.11.8	Res vydh dhis ytho elia y dhewlagas gans an vystel; ha pan loesons ev a's rut hag a wra gul dhe'n kennennow gwynn koedha a-ves, hag ev a wra dha weles.’
TOB.11.9	Ena Anna a boenyas dhe vetya gansa, ha koedha war gonna hy mab, ha leverel dhodho, ‘My re'th welas, ow mab; alemma rag parys ov dhe verwel.’ Hag i a dhagrewis aga dew. 
TOB.11.10	Tobit a dhallathas mos war-tu ha'n daras, ha trebuchya. Mes y vab a boenyas dhodho 
TOB.11.11	ha dalghenna y das, hag ev a skoellyas an vystel war dhewlagas y das, ow leverel, ‘Bydh kolonnek, tas.’ 
TOB.11.12	Ha pan dhallathas y dhewlagas dhe loesa ev a's rutyas, ha'n gwynnennow a veu pilys a gornellow y dhewlagas. 
TOB.11.13	Ena ev a welas y vab ha koedha war y gonna hag ev a dhagrewis ha leverel,
TOB.11.14	‘Bennigys os ta a Dhuw,
TOB.11.14	ha bennigys yw dha hanow bys vykken,
TOB.11.14	ha bennigys yw oll dha eledh sans;
TOB.11.14	Rag ty a'm skorjyas,
TOB.11.14	mes ty a gemmeras truedh ahanav;
TOB.11.14	otta, my a wel ow mab Tobias!’
TOB.11.15	Ha'y vab eth a-ji yn unn lowenhe, hag ev a dherivas dh'y das an traow meur o hwarvedhys dhodho yn Media.
TOB.11.16	Ena Tobit eth dhe vetya gans y wohydh dhe yet Nineve, ow lowenhe hag ow kormel Duw. An re a'n gwelas dell eth a's tevo marth drefenn bos golok dhodho. Ha Tobit a wodhva gras a-ragdha bos Duw truedhek dhodho. 
TOB.11.17	Pan nesas Tobit dhe Sara y wohydh, ev a's bennigas, ow leverel, ‘Wolkomm, myrgh! Bennigys yw Duw re'th tros dhyn, ha bennigys yw dha das ha'th vamm.’ 
TOB.11.18	Yndellma yth esa heudhder yn mysk y vreder oll yn Nineve. 
TOB.11.19	Ahikar ha'y noy Nadab a dheuth, ha demmedhyans Tobias a veu solempnys seyth dydh gans lowender meur.
TOB.12.1	Ena Tobit a elwis y vab Tobias ha leverel dhodho, ‘Ow mab, dyght gobrow an den neb eth genes; hag y tal bos res moy dhodho.’ 
TOB.12.2	Ev a worthybis, ‘Tas, ny wrussa ow aperya mar rollen dhodho an hanter a'n pyth a dhres vy tre. 
TOB.12.3	Rag ev a'm dros dhis yn saw, ev a yaghhas ow gwreg, ev a gavas an arghans ragov vy, hag ev a'th yaghhas jy ynwedh.’ 
TOB.12.4	An den koth a leveris, ‘Ev a'n dendilas.’ 
TOB.12.5	Ytho ev a elwis an el ha leverel dhodho, ‘Kemmer an hanter a beub re dresowgh.’
TOB.12.6	Ena ev a's gelwis aga dew yn privedh ha leverel dhedha: ‘Bennigewgh Duw ha ri grasyans dhodho; gwra y meurhe ha godhvos gras dhodho a-rag an re vyw oll, drefenn an pyth a wrug ragowgh. Da yw benniga Duw hag ughelhe y hanow, yn enor ow tisplegya oberow Duw. Na vedhewgh lent dhe rassa dhodho. 
TOB.12.7	Da yw kudha kevrin myghtern, mes diskudha yn splann oberow Duw. Gwrewgh dader, ha ny wra drogedh agas kavoes. 
TOB.12.8	Pysadow yw da keveylys gans penys hag alusen hag ewnhynseth. Boghes gans ewnhynseth yw gwell ages meur gans drogober. Gwell yw ri alusenow ages kuntell owr. 
TOB.12.9	Rag alusen a lyver a vernans, hag y hwra kartha pub pegh dhe-ves. An re a wra gwryth cherita hag ewnhynseth a's tevydh leunder a vywnans; 
TOB.12.10	mes an re a begh yw eskerens aga bywnans aga honan.
TOB.12.11	‘Ny vynnav keles travyth a-dhiworthowgh. My re leveris, “Da yw kudha kevrin myghtern, mes diskudha yn splann oberow Duw.” 
TOB.12.12	Ha lemmyn, ty ha'th wohydh Sara pan byssowgh, my a dhros kovheans a'gas pysadow a-rag an Sans; ha pan ynkleudhsowgh an re varow, keffrys yth esen genowgh. 
TOB.12.13	Pan na hoksys dhe sevel ha gasa dha ginyow rag mos ha maylya an den marow, ny veu kelys ahanav dha ober mas, mes yth esen genes. 
TOB.12.14	Lemmyn Duw a'm dannvonas dhe'th yaghhe, ty ha'th wohydh Sara. 
TOB.12.15	My yw Rafael, onan a'n seyth el sans a dhre pysadow an syns yn-bann ha mos a-dherag golewder an Sans.’
TOB.12.16	Aga dew o ownekhes; hag i a goedhas war aga fas, rag own a's teva. 
TOB.12.17	Mes ev a leveris dhedha, ‘Na vydhowgh ownek; kres re'gas bo! Gormelewgh Duw bys vykken. 
TOB.12.18	Rag ny dheuth vy avel favour a'm parth vy, mes dre vodh agan Duw. Ytho gormelewgh ev bys vykken. 
TOB.12.19	Oll an dydhyow ma ny wren marnas omdhiskwedhes dhis, ha ny dhybris nag eva, mes hwi a welewgh gwelesigeth. 
TOB.12.20	Ha lemmyn gwra godhvos gras dhe Dhuw, rag my a yskynn dhe neb a'm dannvonas. Skrif yn lyver pup-tra re hwarva.’ 
TOB.12.21	Ena i a sevis; mes ny'n gwelsons namoy. 
TOB.12.22	Ytho i a avowas oberow meur ha marthys Duw, ha fatell omdhiskwedhas dhedha el an Arloedh.
TOB.13.1	Ena Tobit a skrifas pysadow a heudhder, ha leverel:
TOB.13.2	‘Bennigys yw Duw a vyw bys vykken, ha'y wlaskor,
TOB.13.2	rag ev a skorj, hag ev a dhiskwedh tregeredh;
TOB.13.2	ev a hembronk yn-nans dhe ifarn hag ev a dhre yn-bann,
TOB.13.2	ha nyns eus denvyth a yll diank a'y dhorn.
TOB.13.3	Gwra y aswonn a-rag an kenedhlow, a vebyon Ysrael,
TOB.13.3	rag ev re'gan skattras yntredha.
TOB.13.4	Gwra dh'y veurder bos aswonnys ena,
TOB.13.4	ha'y ughelhe yn golok pup-tra vyw;
TOB.13.4	drefenn y vos agan Arloedh ha Duw,
TOB.13.4	ev yw agan Tas bys vykken.
TOB.13.5	Ev a wra agan skorjya rag agan kammweythresow;
TOB.13.5	hag arta ev a wra diskwedhes tregeredh,
TOB.13.5	ha'gan kuntell a'n kenedhlow oll
TOB.13.5	may fewgh skattrys.
TOB.13.6	Mar treylyowgh dhodho a leun golonn hag a leun enev,
TOB.13.6	ow kul an pyth yw gwir a-dheragdho,
TOB.13.6	ena ev a wra treylya dhywgh
TOB.13.6	ha ny wra ev kudha y fas ahanowgh.
TOB.13.7	Mes mirewgh orth an pyth a wra ev gul genowgh;
TOB.13.7	godhvydhewgh gras dhodho a leun lev.
TOB.13.7	Gormelewgh an Arloedh a ewnder,
TOB.13.7	hag ughelhe Myghtern an oesow.
TOB.13.8	My a woer gras dhodho yn tir ow hethneth,
TOB.13.8	ha my a dhiskwedh y nerth ha meuredh dhe genedhel a beghadoryon.
TOB.13.8	Kildreylyewgh, hwi beghadoryon, ha gwrewgh ewnder a-dheragdho;
TOB.13.8	piw a woer mara's degemmer ha kemmeres tregeredh warnowgh?
TOB.13.9	My a ughelha ow Duw;
TOB.13.9	ow enev a ughelha an Myghtern a nev,
TOB.13.9	hag a lowenha yn y veuredh.
TOB.13.10	Kewses tus oll, ha godhvos gras dhodho yn Yerusalem.
TOB.13.10	A Yerusalem, an sita sans,
TOB.13.10	ev a'th skorj rag oberow dha vebyon,
TOB.13.10	mes arta ev a gemmer truedh a vebyon an re wiryon.
TOB.13.11	Godhvydh gras yn wordhi dhe'n Arloedh,
TOB.13.11	ha gormel Myghtern an oesow
TOB.13.11	may fo drehevys y dylda ragos arta gans lowena.
TOB.13.12	Re lowenhaho ynnos an re yw kethyon,
TOB.13.12	ha kara ynnos an re yw grevys,
TOB.13.12	dhe oll an henedhow bys vykken.
TOB.13.13	Lies kenedhel a wra dos a bellder dhe hanow an Arloedh Duw,
TOB.13.13	ow toen rohow y'gan dorn, rohow rag an Myghtern a nev.
TOB.13.13	Henedhow a henedhow a re dhis gormel lowenek.
TOB.13.14	Mollothek yw oll an re a'th kas;
TOB.13.14	bennigys bys vykken vydh oll a'th kar.
TOB.13.15	Lowenha ha bydh heudhik rag mebyon an re wiryon;
TOB.13.15	rag i a vydh kuntellys war-barth, hag a wormel Arloedh an re wiryon.
TOB.13.15	Gwynn aga bys an re a'th kar!
TOB.13.15	I a lowenha y'th kres.
TOB.13.16	Gwynn aga bys an re a dhuwenas drefenn dha alarow;
TOB.13.16	rag i a lowenha warnas ow kweles dha wolewder oll,
TOB.13.16	hag i a vydh heudhhes bys vykken.
TOB.13.16	Re wormello ow enev Duw an Myghtern meur.
TOB.13.17	Rag Yerusalem a vydh drehevys yn saffir ha gwyrven,
TOB.13.17	dha fosow yn meyn drudh,
TOB.13.17	ha'n touryow ha'n gorthfosow yn owr pur;
TOB.13.17	Ha stretow Yerusalem a vydh gorhudhys
TOB.13.17	gans meyn a veryl ha rubi,
TOB.13.17	ha meyn a owr dhiworth Ofir.
TOB.13.18	Hy bownderyow oll a wra leverel Halleluya!
TOB.13.18	ha kanmel, ow leverel, “Bennigys yw Duw,
TOB.13.18	re'th ughelhas bys vykken.” ’
TOB.14.1	Omma Tobit a worfennas y eryow a wormola.
TOB.14.2	Ev a'n jeva eth bloedh ha dew-ugens pan gollas y wolok, ha wosa eth blydhen ev a's daskavas. Ev a ros alusenow, ha pesya kemmeres own a'n Arloedh Duw ha'y wormel.
TOB.14.3	Pan veu tevys pur goth, ev a elwis y vab ha'y vebyon-wynn, ha leverel dhodho, ‘Ow mab, kemmer dha vebyon; mir, tevys koth ov vy ha parys ov dhe dhiberth a'n bywnans ma. 
TOB.14.4	Ke dhe Media, ow mab, rag my a leungrys an pyth a leveris Yona an profoes a-dro dhe Nineve, may fydh domhwelys. Mes yn Media y fydh kres rag termyn. Agan breder a vydh skattrys y'n norvys a-dhiworth an tir da, ha Yerusalem a vydh ynyal. Chi Duw ynni a vydh leskys ha magor rag termyn. 
TOB.14.5	Mes Duw a wra kemmeres truedh anedha arta, ha'ga hyrghes arta a-ji dhe'n tir; hag i a dhrehav an chi, kyn na vydh haval dhe'n kynsa bys pan vydh gorfennys termynyow an oes. Wosa hemma i a dhehwel a dylleryow aga hethneth, hag i a drehav Yerusalem yn splannder. Ha chi Duw a vydh drehevys ena gans drehevyans gloryus rag oll an henedhow bys vykken, poran par dell leveris an brofoesi. 
TOB.14.6	Ena oll an Jentilys a wra treylya dhe berthi own a'n Arloedh Duw yn gwiryonedh, hag ynkleudhyas aga idolyow. 
TOB.14.7	Oll an Jentilys a wra gormel an Arloedh ha'y bobel a wra godhvos gras dhe Dhuw, ha'n Arloedh a wra ughelhe y bobel. Ha peub a gar an Arloedh Duw yn gwirder hag ewnder a lowenha, ow tiskwedhes tregeredh dh'agan breder.
TOB.14.8	‘Ytho lemmyn, ow mab, omdenn dhiworth Nineve, drefenn y hwyrvydh yn sur an pyth a leveris an profoes Yona. 
TOB.14.9	Mes gwith an lagha ha'n gorhemmynnow, ha bydh tregeredhus hag ewnhynsek, may fo da genes. Ynkleudh vy yn ta, ha'th vamm genev. Ha na drig unn nos na fella yn Nineve. 
TOB.14.10	Mir, ow mab, orth an pyth a wrug Nadab dhe Ahikar a'n magas, fatell y'n dros a wolow dhe dewlder, ha gans pyth y'n attylis. Mes Ahikar a veu selwys ha Nadab a dhegemmeras attal, ow tiyskynna ev y honan y'n tewlder. Ahikar
TOB.14.11	‘Ytho lemmyn, ow fleghes, prederewgh a'n pyth a wra alusen ha'n pyth yw delivrys gans ewnder.’ Dell leveris hemma ev a verwis yn y weli. Ev a'n jeva kans etek ha dew-ugens bloedh; ha Tobias a'n ynkleudhyas gans enor.
TOB.14.12	Ha pan verwis Anna ev a's ynkleudhyas gans y das. Ena Tobias eth dhe-ves gans y wreg ha'y vebyon dhe Ekbatana, dhe Raguel y hwegron. 
TOB.14.13	Ev a gothhas gans enor, hag ev a ros dh'y hwegron ha'y hweger ynkleudhyansow marthys. Ev a heryas aga substans, ha henna a'y das Tobit. 
TOB.14.14	Ev a verwis yn Ekbatana yn Media dhe kans ha seyth bloedh warn ugens. 
TOB.14.15	Mes kyns es merwel ev a glewas a dhistruyans Nineve, re bia kemmerys gans Nebukadnessar hag Ahasuerus. Kyns y vernans ev a lowenhas a-dro dhe Nineve.
JDT.1.1	Y'n dewdhegves blydhen a reyn Nebukadnessar, esa ow rewlya war an Assyrianys y'n sita veur Nineve, y'n dydhyow Arfaksad, neb a rewlyas war an Medys yn Ekbatana – 
JDT.1.2	ev yw an myghtern a dhrehevis fosow yn kyrghynn Ekbatana gans meyn treghys, tri hevelin yn les ha hwegh kevelin yn hys; a wrug an fosow deg kevelin ha tri-ugens yn ughelder ha hanter-kans kevelin yn les; 
JDT.1.3	orth hy yetow ev a dhrehevis touryow, kans kevelin yn ughelder ha tri-ugens kevelin yn les dhe'n selyow; 
JDT.1.4	hag ev a dhrehevis hy yetow, deg kevelin ha tri-ugens yn ughelder ha dew-ugens kevelin yn les, may halla y luyow keskerdhes yn-mes gans nerth ha'y droeslu gwitha y aray – 
JDT.1.5	yth o y'n dydhyow na may hwe rryas myghtern Nebukadnessar erbynn myghtern Arfaksad war blen meur usi war an oryon a Ragaw. 
JDT.1.6	Yth omguntellas ganso oll an dus a'n vro venydhyek hag oll an dus trigys war lannow an Ewfrates, an Tigris ha'n Hydaspes, ha war an plen may rewlyas Ariogh an Elamysi. Lies kenedhel a junyas gans luyow an Kaldeanys.
JDT.1.7	Nebukadnessar, myghtern a'n Assyrianys, a dhannvonas messaj dhe'n drigoryon oll yn Persia ha dhe'n drigoryon oll yn ranndir an howlsedhes: dhe'n re trigys yn Silisia hag yn Damaskus, Lebanon hag Antilebanon, ha trigoryon oll an arvor; 
JDT.1.8	poblow ranndir Karmel ha Gilead, Galile Ughel ha plen efan Esdraelon; 
JDT.1.9	peub yn Samaria ha'y threvow, ha'n tu arall dhe'n Yordan bys Yerusalem, Bethani, Kelus ha Kadesh hag avon Ejyp; trigoryon Tafnas,
JDT.1.10	bys y'n tu arall a Tanis ha Memfis hogen; ha trigoryon oll Ejyp bys oryon Ethiopia. 
JDT.1.11	Byttegyns, an drigoryon oll y'n tiryow ma a skonyas gorhemmynnow Nebukadnessar, myghtern a'n Assyrianys, ha nagha junya ganso rag gwerrya. Ny's teva own anodho drefenn nag o ev namoy es unn gour y'ga golok; ytho y tannvonsons tre y gannasow gwag aga diwla, yn disenor aga fasow.
JDT.1.12	Ena Nebukadnessar a veu serrys yn fras gans an rannvro kowal ma, hag ev a dos ren y dron ha'y wlaskor may tallfa dial war an tir kowal a Silisia, Damaskus ha Syria, may lattha der an kledha an drigoryon oll y'n tir Moab, ha pobel Ammon ha Yudi kowal, ha pubonan yn Ejyp, bys arvoryow an dhew vor.
JDT.1.13	Y'n seytegves blydhen, ev a hembronkas y lu erbynn myghtern Arfaksad; ev a'n fethas yn kas ha domhwel oll y varghoglu ha'y jarettow. 
JDT.1.14	Yndella ev a fethas y sitys ha dos bys yn Ekbatana, kachya y touryow, ravna y varghasow ha treylya y dekter yn meth. 
JDT.1.15	Ev a gachyas Arfaksad yn menydhyow Ragaw ha'y verya gans guwow helghya, ha'y gisya oll yn tien bys vykken. 
JDT.1.16	Ena ev a dhehwelis dhe Nineve, ev ha'y luyow divers oll, routh vras dres eghenn a gasoryon. I a bowesas ena, ev ha'y luyow, ha kevywya hwegh-ugens dydh.
JDT.2.1	Y'n etegves blydhen, war an nessa dydh warn ugens a'n kynsa mis, y feu kows yn palys Nebukadnessar myghtern an Assyrianys, a-dro dhe dhial war oll an rannvro, par dell lavarsa ev. 
JDT.2.2	Ev a elwis war-barth oll y soedhogyon ha'y ugheloryon ha displetya orta y dowl kevrinek, ha derivas yn leun, yn-mes a'y anow y honan, oll an sherewynsi a'n rannvro. 
JDT.2.3	Ena i a erviras dhe dhistrui kemmys nag obaysa geryow y anow.
