GEN.1.1	Chongpangpülei Kahvangi vangshothü hatü kahdoknyü ling. 
ACT.9.42	Joppa kempülei hapa jung nyingdai, hatü longi 
ACT.9.43	Nyih shohük büpa Joppalei ashakshem lingbü Simon am shemei nyu.
ACT.10.1	Kasarealei shennyak hük Kornelius shei menpü nyu; büpayü Italy Veshan shei nyükpü khongkü kho hük shak kü mübü nyuteke. 
ACT.10.2	Büpayü Kahvang kü hinglempü shennyak; büpa hatü jom shem kemei Kahvang kü nyempü shemong nyuteke. Büpai shennyakthü kü nekaungi shuoh, hatü Kahvang kü düngei phophamteke. 
ACT.10.3	Chem om jem baji mongkü büpai manghkhang hük kü Kahvangei vangsho phongshan hük büpa touei longi lekshi peiyei, “Kornelius” shei eshuoh-ei eeteke. 
ACT.10.4	Büpai büpa kü nyemei veitü, “
ACT.10.5	Shaang Peter shei menpü shennyak hük, Simon nyüknüng Joppalei shennyak hanei shomtuh; 
ACT.10.6	büpayü yungkungei shem nyupü ashakshem lingbü Simon am shemei ngoiyei nyüke” shei eteke. 
ACT.10.7	Mechem büpa mü shah eteipü vangsho phongshan büpa tuhtü lüdaipa, büpai büpalei aa nyi hatü büpa chongphobü hinglempü veshan hük nyük, 
ACT.10.8	hatü büpai hathü kü lemphü epheikü büpai hathü Joppalei shomteke.
ACT.10.9	Nyihphei haümhah hepak kü jomphong yen daipü chingnyü ngoiyaki Peter shem adokei phopnüng aong. 
ACT.10.10	Büpa aeiyei pei, hatü lemhük hahhüei deih; hatü nemnojapü hepak kü büpa yuiyei sha, hatü manghkhang hük ee. 
ACT.10.11	Büpai vangsho aptüktü lemhük ba mü jung ali kü shentü kahdokei shajapü ee. 
ACT.10.12	Hapalei la ali kohpü yem, biühimak hatü shangou lemphü kohshi ee. 
ACT.10.13	Hapheikü büpai ngeü hük, “Paotuh Peter, hathü jüei hahtuh” shei epü dan. 
ACT.10.14	Shejao Peteri, “Anyoh, 
ACT.10.15	Hapa ngeüi büpa kü shao nyipabü, “Mehe Kahvangi daütük, nüngi ha kü nedaüpü shei te-e” shei e. 
ACT.10.16	Hapakei jempa vam, hatü hapayü met shei vangsholei anlang.
ACT.10.17	Shaang Peteri hapa manghkhangü mehe vaihenang shei longi jü-üei nyushingkü ngangahük kü Kornelius-i shompü shennyak jem peiteke. Jomphongü Simon amei shem yemei peshadenei yaongshi nyu. 
ACT.10.18	Jomi halei Peter shei menpü Simon nyüla shei phenüng nyük. 
ACT.10.19	Peteri nedoh-i ha manghkhang nang deihhah-ei nyushingkü Laanghai büpa kü, “Veituh, shennyak jemi nüng yemnyüke. 
ACT.10.20	Shaang yaongtuh, yiütuh, hatü nejü-üi jomphong mü daituh; mehenangkü hathüyü ngei shompeih” shei e. 
ACT.10.21	Hanangkü Peter yiüei hathü kü, “Amphongi yempeyü ngei hih; am mehe nadang kü peiküpa?” shei phe.
ACT.10.22	“Veshan kho hük shak kü mübü Kornelius-i hamphong shompeih. Büpayü daülangpü hatü Kahvang nyempü shennyak hih. Jehoda am peüi büpa kü longi dhüm shuohnyeih. Nüngi mehe e büpai ha banghen shingvaishi daülangpü vangsho phongshani nüng jomei shemei nyükhen eshuohpüja” shei jomphongi jangei e. 
ACT.10.23	Hanangkü büpai jomphong nyükei shüei paümteke.
ACT.10.23	Nyihphei büpa layaongei jomphong mü dai, hatü Joppa leipü vaipüthü hanei büpa mü chemi dai. 
ACT.10.24	Nyihphei jomphong Kasarea ngoi. Kornelius-ü jomphong omdanei nyu, hatü büpalei shem am hatü mongkhen küphüthü kao nyükteke. 
ACT.10.25	Peter ngoija shingkü Kornelius-i büpa mü pong, hatü la tüngei aümei shatü khüm. 
ACT.10.26	Shejao Peteri büpa phukei yaonghütü, “Yaongtuh, ngeiyü shennyak hük mon hih” shei eteke. 
ACT.10.27	Peteri büpa mü shah eteiyei nyutü mongei shüjashingkü longi thaiyei chongjateke; 
ACT.10.28	hatü büpai jomphong kü, “Jehoda am hük Kung am mü küeijemei nevaijü thümhenü shahkung kü nejiü shei am nyingi nyingei nyüke, shejao ngei üpa kao sheihdaipü nevaijü nedaüpü shei ne-ehen Kahvangi ngei kü huphopeih. 
ACT.10.29	Hanangkü mechem ngei kü nyüknüng shompa, ngei nejü-üi peiküpeih. Shaang ngei pheshah, mehe nadang kü ngei nyüknüng shompa?” shei eteke.
ACT.10.30	Kornelius-i jangei, “Nyih ali daiteke, hapa hepak kü dem, jem baji kü ngei shemei phopei nyushingkü ngangahük kü shennyak hük nyangnyangpü ow owtü ngei touei peiyei yaongküpeih. 
ACT.10.31	Büpai ngei kü, ‘Kornelius, Kahvangi nüngi phoppü danteke, hatü nüngi taopathü kü doumei dükpü deih-ei dangteke. 
ACT.10.32	Hanangkü Joppalei Peter shei menpü Simon nyüknüng deishihtuh; büpayü yungching yopailei ashakshem lingbü Simon am shemei ngoiyei nyüke’ shei ephopeih. 
ACT.10.33	Hanangkü shüshülangi nüng nyüknüng shompeih, hatü nüngi kenei peiküteke. Hanangkü shaang 
ACT.10.34	Hahepak kü Peteri jomphong mü ehen pang: Kahvangü baong hanei nenonyu shei ngei hingmei mü nyingnyüke, 
ACT.10.35	shejao jat peülei üpai büpa kü nyem hatü mehe jiüpü dük, hayü büpai yahaokbenüng khih. 
ACT.10.36	Büpai Israel nanglakthü touei Jisu Khrista homei chingmei chongvenei shompü shahjangmei ammi nyingei nyüke– büpayü peüei 
ACT.10.37	Hapa shahjangü Johani baptükpü jung baonghinüng Galil kübü pangei Judea peülei yanei daiteke. 
ACT.10.38	Mekei Kahvangi Nazareth am Jisu Laangha Daülangpai hatü ngani thiteiphu, hatü mekei büpai doumei dükei, hatü mang laanghai shüveihahpüthü meihüpa ammi nyingei nyüke; mehenangkü Kahvang büpa mü nyuteke. 
ACT.10.39	Büpai Judea hatü Jerusalemei dükpü peü kü hamphongü denbüthü nyüpeih. Jomi büpa shophang kü apei jü; 
ACT.10.40	shejao Kahvangi büpa nyih jempabü kü yangei leishih, hatü shakei vamei huhüteke; 
ACT.10.41	hayü shennyak peü touei nevai shejao Kahvangi denbüthü vaihen jepü hamphong touei hatü büpa yangei leipheikü üami büpa mü hah hatü ying hathü touei vamei huteke. 
ACT.10.42	Büpai hamphong kü nanglakthü kü chongvenhen, hatü büpayü yemmü nyupü hatü dipüthülei shahphenbü vaihen Kahvangi jepeih shei denpü shuohhen shahkung shuohpeih. 
ACT.10.43	Üpai büpa kü hinglem, büpalei men kü mang tükpü danghen shei thihivamthü peüi büpa jung denpü shuohnyüke.
ACT.10.44	Mechem Peteri shah eyei nyupa, shah danpü peü kü Laangha Daülangpü yiüei bakteke. 
ACT.10.45	Peter mü peipü Jehoda ami Kung am kü dangkao Laangha Daülangpü thintho khüpnyüke shei longi thama; 
ACT.10.46	mehenangkü hathüi shahlem laolao eyei Kahvang men longpü jomphongi danteke. Hahepak kü Peteri, 
ACT.10.47	“Jeni keiha jomiyao shaang Laangha Daülangpü yahteke; hanei ami jom baptükhen bangei tuh-aokhen je?” shei e. 
ACT.10.48	Hanangkü büpai Jisu Khristalei men kü baptükhen jomphong kü ngeükhüam shuoh. Hapheikü jomi büpa kü nyih kansho hük themhen pheteke.
ACT.11.1	Shaang phongshanthü hatü Judea leipü vaipüthüi Kung amiyao Kahvang shah yahteke shei dan. 
ACT.11.2	Hanangkü mechem Peter Jerusalemei aongjapa, japtükpü vaipüthüi büpa kü eelaei, 
ACT.11.3	“Mehekei nüngi nejappüthü touei daiyei jom mü hahyingpa?” shei e. 
ACT.11.4	Hahepak kü Peteri jomphong kü hük pheikü hük nih-ei ehen chongpang. 
ACT.11.5	“Mechem ngei Joppa chingnyülei phopei nyupa, ngei yuiyei sha, hatü manghkhang hük eepeih. Ba mü lemhük vangsho leipü jung ali kü shentü shanei ngei yopailei peiküpeih. 
ACT.11.6	Ngei hapa kü nenei veishingkü la ali kohpü yemhathü, phaüyem, biühimak hatü shangouthü eepeih. 
ACT.11.7	Shao ngeü hüki ngei kü, ‘Peter, paotuh, ha jüei hahtuh’ shei ephopeih. 
ACT.11.8	Shejao ngei, ‘Anyoh, 
ACT.11.9	Shejao nyipabü vangsho leipü ngeü hüki jangei, ‘Mepa Kahvangi daütük, ha kü nüngi nedaüpü’ shei te-e shei ephopeih. 
ACT.11.10	Hapakei jempa vamküpeih, hatü lemphü vangsholei shüei anlangphopeih. 
ACT.11.11	Hapa hepak kü dem Kasarea leipü ngei nyüknüng shompü shennyak jem ngei ngoipü shemei ngoiküpeih. 
ACT.11.12	Laanghai ngei kü jom mü nejü-üi daihen ephopeih. Ngei mü jeihinaü jom vok omshi daiyei hapa shennyakei shemei ngoipeih. 
ACT.11.13	Büpai vangsho phongshan jem jom shemei peiyei yaongtü, ‘Joppalei shomtuh, hatü Peter shei menpü Simon müei leituh; 
ACT.11.14	nüng hatü nüngei shem am kemei yanghen büpai am kü shahjangmei ephahen’ shei eshuohpü jung büpai hamphong kü eküpeih. 
ACT.11.15	Ngei shah enüng pangjü chongpangpülei jen kü bakpükei Laangha Daülangpü yiüei jom kao bakteke. 
ACT.11.16	i epü shah hük, ‘Johani yungi baptük, shejao amphongü Laangha Daülangpai baptükhen’ shei epü deih-ei peiküpeih. 
ACT.11.17	Jeni 
ACT.11.18	Mechem jomi ha danpa, jomphong nendai, hatü jomi Kahvang men longei, “Shejema Kahvangi Kung am kao yangnyuyem touei mülanghen mong lephen shuohhen khih” shei e.
ACT.11.19	Shaang Stephen kü shüveidoideipü homei yanei daipüthüi Phoenicia, Cyprus hatü Antiokh kü nyupü Jehoda am kü mon shahjangmei eyei dai. 
ACT.11.20	Shejao jomphong khongkü shennyak haneiyü Cyprus hatü Cyrene leipü nyu, hatü jom Antiokhlei peiyei Greek am kao 
ACT.11.21	lei ngan jom mü nyu, hatü shennyak longi hinglem hatü 
ACT.11.22	Jerusalem leipü attoilei hapa shahjang pei, hatü jomphongi Antiokhlei Barnabas shom. 
ACT.11.23	Mechem büpa peipa, Kahvang phahji eeyei büpa mongong, hatü büpai peü kü lanei shuoh-ei 
ACT.11.24	mehenangkü büpayü Laangha Daülangpü hatü hinglempai mapü shennyak mei nyuteke, hatü 
ACT.11.25	Hapheikü Barnabas-ü Saul mü pongnüng Tarsuslei heih, 
ACT.11.26	hatü mechem büpa pongpa, büpai büpa Antiokhlei müei lei. Hanangkü hapa bongyang kemei jijinyi-i attoi am mü thaiyeiyuei nanglak longi kü nyuhteke, hatü Antiokh leipü vaipü nanglakthü kü, “Khristan” shei shongei nyükei pang.
ACT.11.27	Hahepak kü thibüthü hanei Jerusalem leipü Antiokhlei yiü. 
ACT.11.28	Jomphong khongkü Agabus shei menpü hük yaongei kahdoknyü peü kü münghishaü mangshi nyuhen khih shei Laangha homei tetei e, hatü hapayü Klaudius-i vanglem lempü hepak kü vamteke. 
ACT.11.29	Nanglakthüi laophüi aokpü kei peüi Judealei nyupü vaipüthü kü sheühpü shomhen temteke; 
ACT.11.30	jomi hayü Barnabas hatü Saul nyi mü shomei attoi behethü kü dükteke.
ACT.12.1	Ha shan kü Herod ongpai attoi am hanei kü lak shihteke. 
ACT.12.2	Büpai Johanei chenaü Jakob yani jü. 
ACT.12.3	Hakei dükpai Jehoda am mongmeihünyu khih shei eeyei büpai Peter-ao yephen dai. (Hapayü Daw Neshihpü Aan Mo hepak kü nyuteke.) 
ACT.12.4	Mechem büpai Peter yeppa, büpai büpa khoklatei küp, hatü veshan ali ali nyupü khong ali kü büpa yomtuh shei lanei shuoh. Herodi Hompü Mo pheikü nanglakthü touei deiyei büpa shahphenhen deihshi nyu. 
ACT.12.5	Mechem Peter khoklatei nyupa, büpa shing attoi ami lanei Kahvang kü phop.
ACT.12.6	Herodi büpa shahphennüng deihen yashong Peter-ü veshan nyi aa kü nyiamvü nyi shentü shishi nyu, hatü yombüthü shadenei khoklat yomei nyu. 
ACT.12.7	Ngangahük kü 
ACT.12.8	Hahepak kü vangsho phongshani büpa kü, “Shüngshep wongtuh, lathuh thuhtuh” shei e, hatü Peteri hapakei dük. “Ashak ngeih-ei ümtü ngei phei mükei” shei e. 
ACT.12.9	Peteri khoklat leipü vamei büpa phei müei dai, shejao vangsho phongshani mehe dük, hayü hingmei vaila phonehingi nyu; manghkhang hük eenyu vaaishang shei büpai deih. 
ACT.12.10	Jijinyi-i shongpü hatü nyipabü yombüthü peih-ei chingnyülei daipü nyiam shaden ngoi. Hapa shaden nyingnying apdaitü jiji laoei daiyei chingyangshongei kamei nyu; hahepak kü ngangahük kü vangsho phongshani büpa tuhphong. 
ACT.12.11	Hahepak küang Peteri büpa nyingi deih-ei dang hatü, “
ACT.12.12	Büpai ha nyingpheikü büpa Mark sheiyao lebü men menpü Johanei chenyü Mary am shemei heih; halei longi thaiyei phopei chongjateke. 
ACT.12.13	Mechem büpai chingshe shaden kü khungpa, nela hük meni Rhoda oitü vam. 
ACT.12.14	Peterlei ngeü nyingei pinnyü longi mongongei shaden aphen nangjeiyei pinnyü mokei shüei Peter chingshelei yaongshi nyüke shei baong. 
ACT.12.15	Jomphongi pinnyü kü, “Nüngü ngadainyu khih!” shei e. Shejao pinnyüi hapayü hingmei hih shei nedoh-i e. Jomphongi, “Hapayü büpalei vangsho phongshan vaihen hih” shei eteke.
ACT.12.16	Shejao Peteri nedoh-i khung, hatü mechem jomi sha apshuohpa, jomi büpa ee, hatü yashan. 
ACT.12.17	Büpai jomphong kü laki huei nenmü nyuhen e, hatü mekei 
ACT.12.18	Mechem vangngaipa, Peter mehe vaipa shei veshanthü mopei nyu. 
ACT.12.19	Herodi büpa yemjao büpa nedang, hanangkü büpai yombüthü kü meishi dokei veitü jomphong jühen ngeükhüam shuoh. Hapheikü büpa Judea leipü Kasarealei yiüei halei nyu.
ACT.12.20	Shaang Herodü Tyre hatü Sidon nanglakthü kü longi mongshih-ei nyu. Hanangkü jomi khong lingtü büpa mü pongnüng pei. Shongpüba kü jomi ongshemei ongpa chongphopü Blastus yawhei yah. Hapheikü jomi Herod touei peiyei chingmei linghen khümei e; mehenangkü jomei kahmükü ongpalei kahmük leipü hahying shuohpü kü nyaangtü nyuteke.
ACT.12.21	Itteipü nyih Herodi ong-ow temtü ong uoshingei uotü nanglakthü touei shah e. 
ACT.12.22	Nanglakthüi, “Hapayü shennyaki enyu nevai, Kahvangi enyu khih” shei lenei e. 
ACT.12.23	Shejao büpai Kahvang kü müknyinshekhang neshuohpü nangkü ngangahük kü 
ACT.12.24	Shejao Kahvangei shah da khan da hatü vaipüthü longi vam. 
ACT.12.25	Hapheikü Barnabas hi Saul nyi-i jijilei kangpü dousho tempheikü Jerusalemei lei, hatü jiji mü Mark shei lebü men menpü Johanao müei lei.
ACT.13.1	Shaang Antiokh leipü attoilei thibü hatü nyuhbüthü nyuteke. Jomphongü Barnabas, Simon, üpa kü Niger shei nyük, Cyrene am Lucius, Herod governor mü nyuei longpü Manaen, hatü Saul nyu. 
ACT.13.2	Mechem jomi 
ACT.13.3	Hapheikü shüaeiyungleyei phop pheikü jomi jiji kü laki shüngteke, hatü shomteke.
ACT.13.4	Hanangkü Laangha Daülangpai shompü nangkü jomphong Seleucialei yiü, hatü haleipü Cypruslei (yungching homei) heih. 
ACT.13.5	Mechem jomphong Salamis ngoipa, jomphong Jehoda amei Sinagoglei Kahvangei shah chongven. Jiji mü sheühteihen Johanao jiji mü nyuteke. 
ACT.13.6	Mechem jomphong shübaong kemeilei Paphos thahshi daipa, jomphongi phongyomteipü Jehoda am shahshem thibü hük Bar-Jisu shei menpü pongteke. 
ACT.13.7	Büpayü governor Sergius Paulus mü sheühteipü küphü nyu. Hapa governor-ü longi nahpü shennyak hük nyu; büpai Kahvang shah danhahhüpü nangkü Barnabas hi Saul nyi kü nyükteke. 
ACT.13.8	Shejao hapa phongyombü Elymas-i (hayü Greek shah mü büpalei men nyu) jiji khüei yaong, hatü büpai governor-i hinglemhen kübü leplangnüng khe. 
ACT.13.9	Hahepak kü Saul, üpa kü Paul sheiyao nyük, Laangha Daülangpai maei Elymas kü khangei veitü, 
ACT.13.10	“Nüngü kahshihlei ha, jiüpü lemphülei vepa. Nüng keyü lueilem hatü ühing peü maei nyüke. Kangshangpü 
ACT.13.11	Shaang 
ACT.13.12	Mechem governor-i ha eepa, büpai hinglem, mehenangkü 
ACT.13.13	Hapheikü Paphos leipü Paul hatü büpalei küphü nyi Pamphilia kahdok Pergalei yung homei heih. Shejao Johanü jiji tuhphongtü Jerusalemei leidai. 
ACT.13.14	Shejao jiji Perga leipü daiyei Pisidia leipü Antiokh ngoi, hatü Sabbath nyih jiji Sinagoglei peiyei uoteke. 
ACT.13.15	Shahkungnyü hatü thibü laithü iepheikü Sinagog leipü lakchongbüthüi jiji kü shahjang shomei, “Jeihinaü nyi, nanglakthü kü nangthong shah ehen nyujema etuh” shei e. 
ACT.13.16	Hanangkü Paul yaongei lak aülaüei eteke:
ACT.13.16	Israel shennyak, hatü Kahvang kü khümpü am Kung am, ngei epü bangtuh! 
ACT.13.17	Israel nanglakthülei Kahvangi jenei bühipa je, hatü Ijiplei nyushingkü nanglak dahüpeih. Wong longpai büpai hapa kahmük leipü müei lüdaipeih. 
ACT.13.18	Bong pinyi hükshing jahpanei büpai jom kü jungpeih. 
ACT.13.19	Büpai Kananei jat nyet neütüktü büpai jomei kahdok büpalei nanglakthü kü mükjüp vaishi shuohpeih. 
ACT.13.20	Ha peüshep bong 450 yahpeih.
ACT.13.20	Hapheikü büpai Samuel thibülei hepak thahshi kü shahphenbüthü shuohpeih. 
ACT.13.21	Hapheikü nanglakthüi ong hük yüpeih, hatü Kahvangi Benjamin phang kübü Kishlei cheha Saul, ong vaihen shuohpeih, hatü büpai bong pinyi ong vaipeih. 
ACT.13.22	Saul dohtükpheikü büpai David yah-ei jomei ong vaihüpeih. Büpai büpa nang hei e: “Ngelei mongi napükei ngei Jesselei cheha David dangteke; ngei dükhahhüpü dou peü büpai dükkahen.” 
ACT.13.23	Hapa shennyakei hüshompheinaü kübü Kahvangi Israel jat kü lahpükei Yemleipü Jisu shuohteke. 
ACT.13.24	Jisu peishekü Johani Israel am peü kü mong lepei baptükpü jung nyuhteke. 
ACT.13.25	Johani büpalei dou temyaki büpai, “Ngeiyü üpa hih shei deihnya? Ngeiyü ammi omdanpüba nevai. Shejao ngei pheikü hük peikünyüke; ngeiyü büpalei lathuh vü-ao lainüng neaok” shei e.
ACT.13.26	Ngelei jeihinaüthü, am Abraham phang kübü hühihathü, hatü Kahvang nyempü Kung shennyakthü, jen kü hapa yemleipü shahjangü shompeih. 
ACT.13.27	Mehenangkü Jerusalem kü nyupüthü hatü jomei mübüthüi sabbath ieyei jomi ieteipü thihivam shahthü jomi nenying nevaijü nedanaok; hathü shah-ü jomi büpa nyonghüpai dhaümhüpeih. 
ACT.13.28	Jomi büpa jühen shangpü mang meheyao nedangjao jomi Pilat kü büpa jühen yüpeih. 
ACT.13.29	Mechem jomi büpa nang nyangpü peü dükei tempa, jomi büpa shophang leipü yah-ei mahngchong hükei vüphongpeih. 
ACT.13.30	Shejao Kahvangi büpa dipü kübü yangei leishih, 
ACT.13.31	hatü Galil kübü Jerusalem thahshi büpa mü aongpüthü kü nyih longi kü vamei huteke, hatü shaang jomphongü nanglakthü kü ha denpü shuohnyeih. 
ACT.13.32	Hami am touei shahjangmei koei peikünyeih; mepa Kahvangi jenei bühipathü kü dükhen shei lah, 
ACT.13.33	ha jomei hapeüthü jen kü büpai Jisu dipü kübü yangei leishihpai dhaümteke. Nyipabü Menvih Kesho kü ha nyangei nyüke:
ACT.13.33	“Nüngü ngelei Ha, shinnyih ngei nüngei Pa leitepih.”
ACT.13.34	Kahvangi büpa dipü kübü yangei leishihhen, hatü neshehen shei epü hapakei eyei nyüke:
ACT.13.34	“Ngei amphong kü daülangpü,
ACT.13.34	hatü ngei David kü lahpü hingshangpü moihiman shuohhen.”
ACT.13.35	Büpai shao lebü lai kao hapakei enyüke:
ACT.13.35	“Nüngi laophülei Daülangpü Hük mahngchongei neshehühen.”
ACT.13.36	Mehenangkü Davidi büpalei den kü Kahvangei mükhong dükpheikü büpa di, chebü chepa am mü mahng vü, hatü büpalei büm mahngshalei shedai. 
ACT.13.37	Shejao Kahvangi üpa dipü kübü yangei leishih büpa kü ha nevam. 
ACT.13.38	Hanangkü jeihinaüthü, am kü ha nyinghünyeih, Jisu homei mon mang tükpü nyüpeih shei am kü chongvennyeih. 
ACT.13.39	Mosa shahkungi dah neshakhüaokpü lemphü kübü hinglempüthü peü büpa homei dah shaknyüpeih. 
ACT.13.40	Hanangkü thihivamthüi epü ha am kü nejiühühen lituh:
ACT.13.41	“Veituh, amphong mih vüshihpüthü!
ACT.13.41	Am thamatuh, hatü didaituh!
ACT.13.41	Mehenangkü ammei nyih kü ngei dou hük düknyeih;
ACT.13.41	hanei ammi am kü ejao ammi hapa kü hingnelemhen.”
ACT.13.42	Paul hi Barnabas nyi lüdaishingkü nanglakthüi jiji kü ngoikei sabbath kao hathü douthü jung ehen eshuohteke. 
ACT.13.43	Mechem Sinagoglei thaipü yanpa, Jehoda am hatü Kung am Jehoda vaipü vanglem kü leppüthü Paul hi Barnabas nyi phei mü, hatü jijinyi-i jom kü Kahvang phahji kü nedoh-i nyuhen eshuoh.
ACT.13.44	Nepü sabbath kü chingnyü kübü kemei vaishi Kahvang shah bangnüng thai. 
ACT.13.45	Shejao mechem Jehoda ami thaipü khongnyü eepa, jomi mükhakpai ma, hatü Pauli epü kü nyongnyongi lingtü thaüvaüei e. 
ACT.13.46	Hahepak kü Paul hi Barnabas nyiphen mong longei e, “Kahvangei shah am kü shong ehen nadang vaipeih. Shejao ammi ha yaktüktü yangnyuyem danghen ham nechang shei am nyingi shahphenpü nangkü shaangü hami Kung am touei lüdainyeih. 
ACT.13.47	Mehenangkü 
ACT.13.47	‘Kahdoknyü dohpü ngoishi
ACT.13.47	yemleipü danghühen nangkü ngei amphongü
ACT.13.47	Kung am shingvaishi vangngai hük leihüpeih.’ ”
ACT.13.48	Mechem Kung ami ha danpa, jom mongong hatü Kahvang shah kü menvih shuoh, hatü meshüki yangnyuyem danghen je, vaipü am leiteke. 
ACT.13.49	Hapa keiha 
ACT.13.50	Shejao Jehoda ami chingnyü kübü Kung am shennyak mübüthü hatü Kahvang kü vaipü noknyü kü laphen shaopü nyühathü kü ühing ittü Paul hi Barnabas nyi kü shüveitü hapa moidoi leipü changtük. 
ACT.13.51	Hanangkü jijinyi-i jom khüei lathuh hukei dheüphongtü Ikoniumlei heihdai. 
ACT.13.52	Nanglakthü mongongpai hatü Laangha Daülangpai mateke.
ACT.14.1	Ikonium leiyao aihük mü vam. Paul hi Barnabas nyi Jehoda amei Sinagoglei pei, hatü halei longi wong kohshi epai Greek am hatü Jehoda am longi hinglem. 
ACT.14.2	Shejao hingnelempü Jehoda ami hapa jeihinaü nyi khüei Kung am kü ühing ittü jomei mongkü leü nemeipü peihü. 
ACT.14.3	Hanangkü jiji halei 
ACT.14.4	Shejao chingnyü kü nyupüthü khong nyi anei handai; haneiyü Jehoda am kü bangh, haneiyü phongshan nyi kü banghteke. 
ACT.14.5	Hahepak kü Kung am hatü Jehoda am hanei jomei mübüthü khaaitü jiji kü nemei-i dükhen hatü yaongi shükhen showteke. 
ACT.14.6	Mechem phongshan nyi-i ha danpa, jijinyi-i Lykaonia kahdok kübü chingnyü nyi Lystra hatü Derbe hatü lebü kahmükei nyaiyei lüdai; 
ACT.14.7	hatü halei jiji-i shahjangmei chongvenei nyu.
ACT.14.8	Lystralei shennyak hük bühhinüng la khodaitü nekamaoki uoshi nyu. 
ACT.14.9	Pauli shah eshingkü büpai bangei nyu. Pauli büpa kü hüngei veitü meihen mü büpa kü hinglempü nyüke shei veiaokei, 
ACT.14.10	ngeü longpai, “Nüng laülüki yaongtuh” shei e, hatü hapa shennyak laülüki yaong hatü kam. 
ACT.14.11	Mechem khongnyüi Pauli dükpü dou eepa, jomi Lystra amei shah mü, “Jen touei shennyak aimü kahvangthü yiüküteke” shei len. 
ACT.14.12	Jomi Barnabas kü Zeus, hatü Paul kü Hermes shei nyük; mehenangkü Paul-ü shongnyü shah ebü nyuteke. 
ACT.14.13	Zeus kahvangei phopshemü chingnyü pedaülei nyu, hatü haleipü ngongpai mohoh chebaongthü hatü chüyükthü yah-ei peshadenei heih; mehenangkü büpa hatü khongi phongshan nyi kü jakpü moila shuohhü. 
ACT.14.14	Mechem phongshan Paul hi Barnabas nyi-i ha danpa, jijinyi-i ashakviha shaaktüktü lenyaki khongnyü lemei mokei heih. 
ACT.14.15	Küphüthü, mehekei amphongi hapa düknya? Henjiyü am keipü hangku hih, hatü henüng yahlak neshiüpü douthü kübü kahdok, vangsho, yungching hatü halei nyupü lemphü lingpü vanyangyem Kahvang touei lepei leihen shingvaishi henji-i am touei shahjangmei koei peiküpeih. 
ACT.14.16	Peihdaipü denthü kü jatthü peü kü laophü laophülei lem kü daihen büpai hanpeih; 
ACT.14.17	shejao düngei büpai doumei dükpai büpa nyupü huei heihpeih; büpai vangsho leipü vang shomnyeih hatü dühü kü jiüshi betjük jükhünyeih; büpai am hahyingi mahünyeih hatü ammei mong mongongpai maei nyunyeih. 
ACT.14.18	Hathü shah eyei phongshan nyi-i kheyei jakpü moila shuohhen kübü khüamei tuh-aok.
ACT.14.19	Shejao Antiokh hatü Ikonium leipü peipü Jehoda ami khongnyü jomi yawh-ei yah. Hapheikü jomi Paul kü yaongi shüktü didainyeih shei deihshi chingnyü pedaülei shüei ngaiyei tuh. 
ACT.14.20	Shejao mechem vaipüthü büpa shonei thai, büpa paoei chingnyülei shüteke. Nyihphei büpa Barnabas mü Derbelei heihdai.
ACT.14.21	Jiji halei shahjangmei baongtü vaipüthü vamhüpheikü jiji Lystralei lei, hapheikü Ikonium hatü Antiokhlei lei. 
ACT.14.22	Halei jiji-i vaipüthülei laangha wong kohhü, hatü “Shüveidoidei longi homei jen Kahvang ongchingei shüaokhen” shei vaipü kü nedoh-i nyuhen nangthongei e. 
ACT.14.23	Jiji-i attoi ieyei kü jom shing behethü jepheikü phoppü hatü shüaeiyunglepai vaipüthü 
ACT.14.24	Hapheikü jiji Pisidia homei Pamphilialei pei. 
ACT.14.25	Jiji-i Pergalei shahjangmei chongventü Attalialei yiü. 
ACT.14.26	Haleipü jiji Antiokhlei leiteke; halei jiji-i dou temaokpü shingvaishi Kahvang phahji kü menvih shuoh. 
ACT.14.27	Mechem jiji leiyei Antiokh ngoipa, jiji-i attoi am chemi nyük, hatü Kahvangi jiji kü dükpü, hatü mekei Kung am kao hinglemhen shaden appa, ha jung peü shah-om aokteke, 
ACT.14.28	hatü jiji halei vaipüthü mü kansho hük nyu.
ACT.15.1	Shennyak hanei Judea leipü Antiokhlei yiüei jeihinaüthü kü nyuh-ei, “Mosa vanglem kü kei ammi shuw mangjap thahshi am yemleihen neaok” shei e. 
ACT.15.2	Paul hi Barnabas nyi ha nangkü shah daktei; hanangkü Paul hi Barnabas nyi mü lebü hanei Jerusalemei aonghen hatü hapa shahhidou phongshanthü hatü behethü mü shah shükteihen jeteke. 
ACT.15.3	Hanangkü attoi ami jomphong shom, hatü jom Phoenicia hatü Samaria homshingkü jomi Kung am mong leppü jung shah-om shuoh, hatü vaipüthü peü kü mongong longpü koei pei. 
ACT.15.4	Mechem jom Jerusalem ngoijapa, attoi am, phongshanthü hatü behethüi jom mongongshi yah, hatü Kahvangi jom kü dükpü shah-om peü shuoh. 
ACT.15.5	Shejao Pharisee am khong kübü vaipüthü hanei yaongei, “Jomphongao shuw japhen, hatü Mosa shahkung dükhen ngeükhüam shuohhen vongbong” shei e.
ACT.15.6	Phongshanthü hatü behethü chemi ha jung eteihen thai. 
