GEN.1.1	Pathianin a phut taka irnêng le irvân a siama, 
LUK.9.38	Mipui laia pa inkhat chu a khêk suaka, “Irchutirtu, ki nâipa inkhat neisun kha hong en hrangin nang ki ngên a ni; 
LUK.9.39	ramilhli’n a chela, a khêk raka, an rîla, a bâia a khasuai zung chupin a soisaka, thi hrang ang dôrin a rotsan ngai. 
LUK.9.40	Ni irchutirhai hi inhnot suak hranga ki ngên lakin tho thei mahai,” a tia. 
LUK.9.41	Jisua’n “Iamna nei loi, mi pualoihaio, idôr ten mo nin kuang ki omin nangni ki ingaitua hrang? Ni nâipa kha hin hong hruai roh,” a tia. 
LUK.9.42	Khan, nâipang kha a hongin chu, ramilhli khan irnênga an zuan raka, an rîl ta. Jisua’n ramilhli kha thu a pêka, nâipang kha an damtira, a pa kuang a pêk ta. 
LUK.9.43	Pathian sintho roiinpuizia chu ar khêl an ti tak taka.
LUK.9.43	Jisua’n sintho mihaiin ar khêl an la ti laiin, a irchutirhai kuang, 
LUK.9.44	“Nangni ki ihril hrang hi irnghil no roi, Mihriam Nâipa hi mihriamhai kuta ipêk nih a ti,” a tia. 
LUK.9.45	Khan, irchutirhai lakin a omzia inhre thei mahaia. An inhriat thei nona hranga thu irthup a nia, ama lak an chi sikin irdon ngam mahai.
LUK.9.46	Khan, irchutirhai khan tu mo ei laia a roiinpui tak hrang, tiin an irsêla. 
LUK.9.47	Jisua’n an milung inchong an hriata, nâipangte a kaia, an kôla an ngîrtira. 
LUK.9.48	An kuang, “Tukhom hi nâipangte hi ki’rhming sika lôm chu, keima ni lôm a ni; keima ni lôm chu, a ni tîrtu lôm an ni. Nin laia a chîn tak hi a roiinpui tak a ni,” a tia. 
LUK.9.49	Khan, Johana khan ama kha a chongpuia, “Irchutirtu, mi inkhatin ni’rhmingin ramilhli an hnotsuak kin hmua, keini angin nang a zui no sikin khap kin lei itum kêng,” a tia. 
LUK.9.50	Jisua’n a kuang, “Khap no roi, nangni doi loi ka chu nin tianga kop a ni,” a tia.
LUK.9.51	Jisua, irvân a kâi hrang nî a hong nâiin chu, Jerusalema fe ngêt hrangin milung an chonga. 
LUK.9.52	A maton tiang thanginthei hrangin mi a tîra, a ta hranga tinrêng lei irfûktir hrangin Samari khua inkhata an lûta. 
LUK.9.53	Khan Jerusalema fe a nih ti an inhriat sikin lei lôm mahaia. 
LUK.9.54	Khan, irchutir Jakoba le Johana’n an inhriatin chu a kuang, “Rengpa, hihai kâng zit hranga hin Elija angin irvân ata mei koi thâk hrangin ni nuam mo?” an tia. 
LUK.9.55	Khan, Jisua’n anni tiang irheiin a halhaia. 
LUK.9.56	Khanchu, kho danga an fe tâka.
LUK.9.57	Khan, lampuia an fe laiin, mi inkhatin Jisua kuang, “Ni fena tina nang zui ki ti,” a tia. 
LUK.9.58	Jisua’n a kuang, “Sihalhaiin khur an neia, vahaiin irbu an neia; khannisianlân, Mihriam Nâipa chu a lu irnghatna hrang lua nei mah,” a ti pea. 
LUK.9.59	Khanchu, mi dang kuang, “Ni zui roh,” a ti pea. Khan, kha mi khan “Rengpa, fe ki ta, ka pa va irvûi bak ki ti,” a tia. 
LUK.9.60	Jisua’n a kuang, “Mithi’n anni mithi kha irvûi ri sehai; nang chu Pathian Ram thu hi va hril indarh ual roh,” a tia. 
LUK.9.61	Mi dangin a kuang, “Rengpa, nang zui ki ti, khan, ki in mihai chonghoiin ni van thâtir bak roh,” a tia. 
LUK.9.62	Jisua’n a kuang, “Tukhom âl kainaa kut irnghata, hnung tianga en chu Pathian Rama mi ni inruk ni mah,” a ti pea.
LUK.10.1	Kha zoiin chu, Rengpa’n mi dang sômsari inhni an thanga, a bo bopin an fena hrang kho tina le hmun tina a tîr suakhaia. 
LUK.10.2	An kuang, “Bu ât hrang a tama sintho mi lak an tôm. Khasikin, a bu ât hranga mi tîr hrangin bu Neitupa kuang ngên roi,” a tia. 
LUK.10.3	Irngai u ta, ine laia belrate lût angin nangni ki itîr a ni. 
LUK.10.4	Sum kok, hmarsa, kekok hai chôi no roi; lampuia khom tûte chubai no roi. 
LUK.10.5	In nin lûtna kipa, “Hi ina hin irtharngamna om ri se,” ti bak roi. 
LUK.10.6	Irtharngamna irngaiinna mi an omin chu, nin irtharngamna thu kha a chunga om mai a ta, khan an om no’n chu nin irtharngamna thu kha nin chunga hong kîr nôk a ti. 
LUK.10.7	Nin tungna ina vai om unglân, in tin rôl têt tuat no roi, nangni an ipêk ka fâkin in roi, sinthotu chu a hlo hmu rua a ni. 
LUK.10.8	Khua nin lûta, nangni an lômin chu, nangni an ipêk ka chu fa roi. 
LUK.10.9	Kha khuahai khan damloi indam unglân, an kuang, “Pathian Ram nin kuang a zuang tung ta,” ti roi. 
LUK.10.10	Nin lûtna khuaa nangni an lôm no’n chu tuala fe unglân, 
LUK.10.11	Nin khuaa vâiphin kin kea kop ten lua khom nin chunga kin hui nôk zit, khan khomin, Pathian Ram chu nin kuang a zuang tung ta, nin iti hrang a ni. 
LUK.10.12	Nangni ki hril, Pathian Roirêl nia chu, kha khua tuang hrang nêkin chu Sodom khua tuang hrang chu a zâi om ual a ti. 
LUK.10.13	Korazin! Ni chung a rik e! Bethsaida khom ni chung a rik e! Nangnia sinirkhêl thohai kha Tura le Sidon khuaa tho ni sianlân chu, bora silin irvut irnôtin an sual ata irlet ta an ti. 
LUK.10.14	Roirêl nîa chu nin ituang hrang nêkin chu Tura le Sidon tuang hrang chu a zâi om ual a ti. 
LUK.10.15	Nangma Kapernaum khom, irvân dênin inpâk ni ini hrang ma ni? Hremhmuna kêng paithâk ni ini hrang. 
LUK.10.16	Jisua’n a irchutirhai kuang, “Tukhom nin thu irngai chu, ki thu irngai a ni. Tukhom nangni hnôl chu a ni hnôl a ni, tukhom ni hnôl chu a ni tîrtu hnôl a ni,” a tia.
LUK.10.17	Khan, sômsari inhnihai kha raifân takin an hong kîra, “Rengpa, nir hmingin ramilhlihai tenin kin thu an zôm,” an tia. 
LUK.10.18	Jisua’n a sâma, “Setana irvân ata michêk anga zuang tâk ki hmu,” a tia. 
LUK.10.19	An kuang, “Irngai u ta, mirûl, âinuvêt hai, râlpa hrâtna murdi hai sirbe theina ircham nangni ki pêk a ni, ite’n nangni inna viat no ni. 
LUK.10.20	Aniachu, irthahai nin irchamin an om sika hin lôm no roi, irvâna nin irhming irziak a ni sikin lôm ual roi,” a tia.
LUK.10.21	Kha laia khan Jisua kha Irtha Irthiangin raifânin a sipa, “Ka pa, irnêng irvân Rengpa, mi thiamhai laia ni thup khaka, mi’nmôlhai kuang nin puang ngai sikin lômthu kin sir; A ni, ka pa, khaang kha ni lungdo le ni nuamlam tak a ni. 
LUK.10.22	Ka Pa’n itinrêng a nin koltir ta, Nâipa hi tu mo a ini, Pa ti bana chu tukhomin inhre mahai; Pa khom tu mo a ini, Nâipa le Nâipa’n a inpuang nuamhai laia ti no chu, tukhomin inhre mahai,” a tia.
LUK.10.23	Khan, Jisua’n irchutirhai tiang a’rheia, inrûkin, “Hihai nin ihmu hi nin râlvân a sa. 
LUK.10.24	Deipuhai, rênghai tamtakin nin ihmuhai ang hi hmu an nuama chu hmu mahai, nin inhriathai hi inhriat an nuama chu inhre mahai,” a ti pehaia.
LUK.10.25	Dân irchutirtu inkhat Jisua kuang a honga, a kuang, “Irchutirtu, kumtuang hringna ki nei theina hrangin imo ki itho hrang?” a tia. 
LUK.10.26	Jisua’n a sâma, “Dân bua mo a chuang? A itak mo nin itep ngai?” a tia. 
LUK.10.27	Ama khan, “ ‘Rengpa ni Pathian chu ni milung murdi’n, ni hringna murdi’n, ni hrâtna murdi’n, ni lungrîl murdi’n lung ni ithung hrang a ni; nangma lung ni irthung angin ni bômhai khom lung ni ithung hrang a ni ti hi,’ ” a tia. 
LUK.10.28	Jisua khan, “Ni sâm indik e, khaang khan tho’n lân, hring ni ti,” a tia. 
LUK.10.29	Khannisianlân, Dân irchutirtu khan thiam chang nuamin, Jisua kuang, “Tu mo ki bômhai?” a tia.
LUK.10.30	Jisua’n kha thu kha a sâma, “Mi inkhat, Jerusalem ata Jeriko khuaa fe hrang kha, lam chimripa hrâtlâksonghaiin an lei zêma, a puan a diar an khekpai pea, an zêm bita, thi vâng vângin an rotsana. 
LUK.10.31	Kha lama khan Ochai inkhat a zu fea, a hong hmu’n chu a lôi pata. 
LUK.10.32	Khaang dênin Levia irchi mi inkhat khomin kha hmun kha a hong tunga, ama kha a hong hmu’n chu a lôi sa tâka. 
LUK.10.33	Samari mi inkhat inzin fe khan, kha hmun kha a hong tunga, ama kha a hong hmu’n chu lung an kham tak taka, 
LUK.10.34	a va pana, a pophai kha sahriak le uain polin a tuam pe tâka; ama sakuartung chunga ngei khan an chuangtira, khualbûka a fepuia, a enkol tâka. 
LUK.10.35	Zîng nôka chu a duli inhni a kêlsuaa, khualbûk enkoltu kha a pêka, lei enkolin lân, hi nêka hin ni thâmin chu ki zuang kîr nôk tika nang thuan ki ti,” a tia.
LUK.10.36	“Khan, kha mi inthumhai laia a tu tak kha mo hrâtlaksonghai tongtu bômhai ni iam?” a tia. 
LUK.10.37	Ama khan a kuang, “Lunginkhamtu kha,” a tia. Jisua’n, “Nang khom khaang tak khan va tho ro,” a tia.
LUK.10.38	Khan, Jisua le a irchutirhai an inzin malamin, khua inkhata an lûta, nupang a’rhming Marthi’n a ina an tungtirhaia. 
LUK.10.39	Zuarpui inkhat a neia, a’rhming chu Mari a ni, ama kha Rengpa ke bula toiin a thu’nsîr a’rngaia. 
LUK.10.40	Marthi chu sin zongin a buai zapa, a honga, “Rengpa, ki zuarpuinu’n ki bing doka sin hranga a ni imâk hi, ni ingaisak loi ma ni? Ni hong san sian sa no ni mo?” a tia. 
LUK.10.41	Rengpa khan a sâma, “Marthi, Marthi, thil tamtak ni ngaituaa ni ibuai kêng. 
LUK.10.42	Inkhat vai kêng a inang, Mari’n thil dik an thanga, ni isutpai hrang ni mah,” a tia.
LUK.11.1	Voikhat chu hmun inkhata a chongchaia. A hong mongin chu a irchutirhai laia inkhatin a kuang, “Rengpa, Johana’n a irchutirhai chongchai dân a irchutir angin keini khom nir chutir roh,” an tia. 
LUK.11.2	An kuang, “Nin chongchaiin hiang hin ti roi:
LUK.11.2	‘Kin pa, Ni’rhming mahrip om ri se,
LUK.11.2	Ni Ram zuang tung ri se.
LUK.11.3	A ni tin kin rukin bu ni pe roh.
LUK.11.4	Keini khomin kin chunga tho’nsual murdi kin ngaidam ngai angin,
LUK.11.4	Nang khomin kin sualhai ni ngaidam roh,
LUK.11.4	Thêmnaa ni hruai lût no roh,’ ti hi,”
LUK.11.4	a tia.
LUK.11.5	Jisua’n a irchutirhai kuang, “Nin laia mi inkhatin rual nei sianlân, zânlaia a kuang va fe’n, ‘Mala, bai tiam nin pûktir ta’: 
LUK.11.6	Ki rual inzinin a ni hro lika, ite infatir hrang lak nei ma unga,” va ti sianlân; 
LUK.11.7	in sûnga a rualpa’n, ‘Ni hong inbuai ta no roh, mikot kin kal zit ta, ki nâihai leh kin izâl tâk kêng, thoiin nang inhong pe thei no ning,’ ti sianlân; 
LUK.11.8	Nangni ki hril, a rual a ni sikin thoiin va pe no khom sian, a zong ngot ngot sikin thoiin a nuam dôr pe a ti.
LUK.11.9	“Khanchu, nangni ki hril, nghi unglân, pêk ni nin ti; zong unglân hmu nin ti, into unglân inhong pe ni nin ti. 
LUK.11.10	A nghi murdi chu pêk ni an ta, a zong murdi’n hmu an ta, an tôk murdi chu mikot inhong pe ni an ti. 
LUK.11.11	Nangni laia pahai hin, nin nâipahaiin nga nangni nghi sianlân, nga irthûla tu mo mirûl pe hrang? 
LUK.11.12	Ârtui irthûlin khom tu’n mo âinuvêt pe hrang? 
LUK.11.13	Khasikin, nangni mi sualhai luan nin nâihai thil sa pêkna châng nin inhriatin te nin pa irvâna mi khan a nghituhai kha Irtha Irthiang a ipêk hrang mo ni mah!” a tia.
LUK.11.14	Khan, Jisua’n ramilhli chong theiloi inkhat an hnot suaka, a suak le chu chong theiloi kha a hong chong tâka. Mipui khan ar khêl an tia. 
LUK.11.15	Khan, mi senkhatin chu, “Ramilhli rêng Belzebula a ni sikin, ramilhlihai a inhnot suak thei a ni,” an tia. 
LUK.11.16	Senkhatin ama fiana hrangin irvân ata irsinsiana sinirkhêl inentir an inphûta. 
LUK.11.17	Jisua’n an milung inchong an hriata, an kuang, “Kho ram khom irsena, mâni le mâni irdoi ka chu ram chit an ti, in sûngkua khom mâni le mâni irdoi ka chu irhmang an ti. 
LUK.11.18	Setana khom mâni le mâni an irdoiin te, itin mo a ram kha a inding thei hrang? Belzebula sikin ramilhlihai inhnot suak nin ni ibe, a ti pehaia. 
LUK.11.19	Keiin Belzebula sikin inhnot suak ni inlân, nin mihai khan tu sikin mo ramilhli an lei inhnot suak ngai? Khanchu, anni kêng thiamno nangni inchangtir ual hrang. 
LUK.11.20	Khan, Pathian irchama ramilhlihai ki inhnot suak ngai a niin chu, Pathian Ram nin kuang a zuang itung tak tak a ni.
LUK.11.21	Mi hrâtin hriamhrei irkipin a hrung kâr ka chu, neinun murdi kha zômin a om ngai. 
LUK.11.22	Aniachu, ama nêka hrât ualin a hong beia, a hong inhne’n chu, a isong râlthuam kha sutpai a ta, a neinun khom lapai pe a ta, a nu nuamin sempai a ti. 
LUK.11.23	Tukhom, ki tianga kop loi ka chu a ni doi a ni, tukhom ni bûmpui no ka chu a inthek indarh a ni. 
LUK.11.24	“Ramilhli kha, mi sûng ata a suakin chu, irngam hmun zongin tui om loina hmunhaia a’rvâk a’rvâka; khannisian a hmu no sikin, ‘Ki in, ki isuaksan tâknaa khan, kîr nôk chian ki ti,’ a tia. 
LUK.11.25	A hong kîr nôkin chu, phît fâia infel diamin a hmua. 
LUK.11.26	Khanchu, a fea, ama nêka sual ramilhli dang sari a hong hruai lûta, kha khan omhmun an khuar tâka; kha mihriam om dân kha chu matona nêkin a hong siat ual ta a ni,” a tia.
LUK.11.27	Jisua’n kha thu kha an sîr laiin mipui laia nupangnu a khêka, a kuang, “Nupang nang vongtunu le nang donsuinu chu a vân a sa e,” a tia. 
LUK.11.28	Jisua’n a sâma, “Pathian thu inhriata zômhai chu an vân a sa ual,” a ti pea.
LUK.11.29	Khan, mipui an hong pungkhôm mura, Jisua’n, “Atûnlaia mihai hi a sân an sual; irsinsiana sinirkhêl an zonga, Jona irsinsiana ti no chu irsinsiana sinirkhêl zel inentir ni no nihai. 
LUK.11.30	Ninevi kho mihai hranga deipu Jona irsinsiana a ini ang khan, atûnlaia mihai hrangin chu Mihriam Nâipa hi irsinsiana ni a ti. 
LUK.11.31	Roirêl Nia chu sim tianga rêngnu Seba la ngîr a ta, atûnlaia mihai thiamno inchang a ti. Reng Solomona vâr irngai hrang pialin ram hla tak ata a hong sikin. Nangni ki hril Solomona nêka lian ual hin a om. 
LUK.11.32	“Roirêl Nia chu Ninevi mihai khom hong ngîr an ta, thiamno nangni inchang an ti. Jona thuhril sikin an sualna ata an irleta; irngai roi, nangni ki hril, Jona nêka roiinpui ual hin a om,” a tia. 
LUK.11.33	Tûte’n meiser inchokin, hmun irthupa se ngai mahaia, khamphulu khom irkhu ngai mahai, a siana hmuna kêng an sia ngai, mi a lût murdi’n a vâr an hmu theina hrangin. 
LUK.11.34	Ni mit hi ni takpum ta hrangin meiser ang a ni; ni mit a dikin chu ni takpumpui kha invâr zit a ti; a dik no’n chu ni pumpui inthim khak a ti. 
LUK.11.35	Irdîn roh, nangmaa vâr om kha inthim ni lik ni. 
LUK.11.36	Khanchu, meiser, nangni a i-êl invâr hlang ngai ang khan, nin takpum ôn inthimna boi zitin, nin pumpuiin vâr hlang a ti.
LUK.11.37	Khan, Jisua’n an sîr lai khan Farisai inkhatin bu nêk a koia; a fea, bu nêk hrangin a toia. 
LUK.11.38	Farisai khan, kut irsu loia, Jisua’n khalai a i-ot kha a hmu’n chu ar ngai ar khêl oka. 
LUK.11.39	Khan, Rengpa’n a kuang, “Nangni Farisaihai, khilât le khêng a pên tiang nin infâia, khan, nin sûng tiang chu huatirhamna le sualna’n a sip a ni. 
LUK.11.40	Nin invêt bâka! pên tiang siamtu, Pathianin a sûng tiang khom a isiam mo ni ma? 
LUK.11.41	Ni khilât le khêng sûnga thil om kha mi’nrianghai pe unglân chu nin ta hrangin itinrêng a irthiang mai hrang a ni.
LUK.11.42	“Nangni, Farisaihai nangni lan tak pe a ti na! lêngmiser, podina le chîmu tinrênghai sôma inkhat Pathian nin pêk ngai, khannisianlân, dikna le Pathian lungthungna chu nin irngaiinnêp ngai; khahai kha kêng nin itho ngêt ngêt hrang chu, a danghai khom khi mâk ual loiin. 
LUK.11.43	Nangni Farisaihaio, nangni lan tak pe ti, Sinagoka toina satakhai le dukanhaia chubai mûk nin irngaiinhlu ngaia. 
LUK.11.44	Nangni lan tak pe ti, mi’n thân ti inhre loia a chunga mi an ifena ngai ang hi nin ni e,” a tia.
LUK.11.45	Dân irchutirtuhai laia inkhat khan, “Irchutirtu, hi thu ni insîr hin keini khom ni ni dem sa a ni,” tiin a sâma. 
LUK.11.46	Jisua’n, “Dân irchutirtuhaio, nangni khom nangni an tak pe; mi chunga pêl intak, puakrik nin bânga, a pêlpui hrangin chu nin kuthmor luan tôn nuam mak chêi. 
LUK.11.47	Nangni an tak pe vang na! Nin irchibulhai ithat deipuhai thân nin siam insata. 
LUK.11.48	Nin irchibulhaiin deipuhai an lei that kha, nin inhampui inlangna’n, nangni’n an thânhai nin siaminsata. 
LUK.11.49	Khasikin, Pathian vârna’n, ‘Deipuhai le tirtônhai tîr ki ta, senkhathai that an ta, senkhathai dengintheitir an ti,’ a tia. 
LUK.11.50	Khasikin, rammual irsiang ata deipuhai an lei that sikin, atûnlaia mihai hi denginthei ni an ti. 
LUK.11.51	Abela an that ata Zakaria dênin, ama len vâng chu maichâm le hmun irthiang kâra that a ni. Nangni ki ti, khahai sik piala khan atûnlaia mihai chunga phuba lâk ni an ti. 
LUK.11.52	Dân irchutirtuhai khom nangni an tak pe vang na! vârna châbi nin chôipaia, nangni lak lût no chin ni, a lût nuamhai tena nin khâl ngai”, a tia.
LUK.11.53	Khan Jisua’n kha hmun kha a mâkin chu, Dân irchutirtuhai le Farisaihaiin an sêla, thil tamtak an irdona. 
LUK.11.54	A sâm insual a nei le an chel theina hrangin an enirchika.
LUK.12.1	Mipui sâng tamtak irsirpol bet but ang dôr an pungkhôma, Jisua’n a maton taka, a irchutirhai kuang, “Farisaihai chol vârirletna ata irdîn roi. 
LUK.12.2	Ite thupsua thei ni mah, an lang nôk zel ngai, ite inhriat loi hranga ip om mah, inhriat suak a ni nôk ngai. 
LUK.12.3	Zân inthima nin itihai kha sûn khovâra lan puang an ta, chontan sûnga inrûka nin iti kha in chunga chuangin tâng lan sampui an ti, a ti pehaia.
LUK.12.4	“Ki rualhaio, nangni ki hril, takpum thata, kha zoia ite tho thei ta loi chu chi no roi. 
LUK.12.5	Tu mo chi rua, nangni hril ki ti; takpum thata, thi zoi hnunga hremhmuna pai theina thuneitu, Pathian vai kha chi roi; a ni, nangni hril nôk ki ti, Ama vai kha chi roi. 
LUK.12.6	Chongzong ringa poisa hni’n an izuar ngai mo ni ma? Pathianin chu an laia inkhat te lua irhmâi ngai ma. Nin samzâihai ten khom a itep zit kêng. 
LUK.12.7	Chi no roi, chongzong tamtak nêkin nin hlu ual.
LUK.12.8	“Nangni ki hril, mihai makunga ni thop ka chu Pathian vântîrtônhai makunga Mihriam Nâipa hin thop a ti. 
LUK.12.9	Khannisianlân, mihai makunga ni hnôl ka chu Mihriam Nâipa khomin Pathian vântîrtônhai makunga hnôl a ti. 
LUK.12.10	Tukhom Mihriam Nâipa sêl chu ngaidam nih a ta; khannisianlân, Irtha Irthiang sêl ka chu ngaidam ni no ni. 
LUK.12.11	“Khan, nin roirêl hrangin, Sinagoka mani, Ramoptu makunga mani, roirêltuhai makunga mani, nangni an hruai tikin, itin mo ki isâm hrang, imo ki iti hrang, tiin milung inkâng no roi. 
LUK.12.12	Nin iti hrang chu a zoro taka Irtha Irthiangin nangni hril a ti,” a tia.
LUK.12.13	Mipui laia mi inkhatin Jisua kuang, “Irchutirtu, ka upa kuang kin pa irchon mâk ni sem sa hrangin ti pe roh,” a tia. 
LUK.12.14	Jisua’n a sâma, “Mihriam, nangni ta hrangin tu mo roirêltua le irchon sempua ni siam?” a tia. 
LUK.12.15	Khan an kuang, “Irdîn unglân, irzukna tinrêng ata irdîn roi, mihriam hringna bi hi irchon lâmkhîl sika ni mah,” a ti pehaia.
LUK.12.16	Khan, hi chongirkhek hi an sîra, “Mi irchong tak inkhat hi a loia a sân an lâpa. 
LUK.12.17	Khanchu, ar ngaituaa, ‘Itin mo ki itho hrang tâk? ki bu le bâl siana hrang nei zoi ta ma unga,’ a tia. 
LUK.12.18	‘Hiang hin tho ki ti; ki fasiar set ki ta, a nêka lian ual sin ki ta, kha khan ki bu le bâl, ki neinun murdi sia ki ti,’ a tia. 
LUK.12.19	Khanchu, ki’rtha kuang, “Irtha, kum tamtak hrangin sum tamtak ni buk ta; irngamin lân, fa’n lân, inin lân lungthi takin om ro, irti ki ti,” a tia. 
LUK.12.20	Khan, Pathianin a kuang, ‘Mi’nvêt, a vuan zân zel hin ni hringna a iboi hrang tâk kêng, hi thil ni isuahai hi tu ta hrang mo a ini tâk?’ a ti pea. 
LUK.12.21	Khan, Jisua’n, “Pathian tiang irchon buk loia, mâni ta hrang vaia irchon buk chu khaang khan nih an ti,” a tia.
LUK.12.22	Jisua’n a irchutirhai kuang, “Khasikin, nangni ki hril nin takpum fâk nêk hrang, nin sil le kai hrang lunginkâng no roi. 
LUK.12.23	Fâk nêk hrang nêkin hringna a hlu ual, silkai hrang nêkin takpum a hlu ual. 
LUK.12.24	Vaâkhai hi en u ta, bu khom tû mahai; khannisianlân, Pathianin an fahai ngai; nangni chu vahai nêkin chu nin ihlu ual kêng. 
LUK.12.25	Nangni laia lunginkâng sikin tu mo mâni hringna inseitir ual thei? 
LUK.12.26	Hi dôr lua nin itho thei loi khate, imo a da dang len vâng khate nin lunginkânga? 
LUK.12.27	Tûktin pârhai hi en u ta, sin khom zong mahai, puan khom không mahai, khan, nangni ki hril, kha dôra irchong Solomona khom khan hi pârhai hi pha mah. 
LUK.12.28	Khanchu, ram hloisûl, a vuana hring, nangtûka meia tuah nôk hrang lua Pathianin khaang dôra a’rvôtirin te, o nangni iamna tômhaio, khahai nêkin nangni irvôtir no ni mo! 
LUK.12.29	Khasikin, nin fâk nin nêk hrang thua lunginkâng no roi. 
LUK.12.30	Hi hi rammual mi murdi’n an ibuaipui tak ngai a ni; nangni khomin nin innang ngai ti, nin Pa’n an hriat; 
LUK.12.31	Ama Ram kha zong bak unglân, khanchu, hihai khom hi nangni a ipek belsa hrang a ni. 
LUK.12.32	Pôl tômtehaio, chi no roi, Ram nangni pêk hi nin pa nuamlam tak a ni.
LUK.12.33	“Nin inei murdi zuar unglân, inrianghai pe roi, irvâna inru fe loinaa, irthî ifâk thei loinaa khan, sum kok phâi thei loihai, sum hek theiloihai irsiam roi. 
LUK.12.34	Nin irchon omna kipa nin lungrîl khom a om ngai.
LUK.12.35	“Irthok sai diamin, meiser bel sai leh irsiam mai roi. 
LUK.12.36	Siahlo, an pu irnei hruaithe ata zuang hrang lei nghâk chianhai angin. A zuanga mikot a hong intôk le, inhong zôi hrangin. 
LUK.12.37	Siahlo, an pu zuanga irtûng chiana om a ihmuhai chu, mi vânnei an ni. Nangni ki hril, ama kha irsiam a ta, khalâi dohai a ta, an bu nêk donhai a ti.
LUK.12.38	“Zân chimripa, âr khuanchunga mo, a zuanga irtûng chiana om a ihmuhai chu mi vânnei an ni. 
LUK.12.39	Hi hi nin inhriat, inru hong hrang inneitu’n inhre sianlân chu hrung a ta, a in inset no ni. 
LUK.12.40	Khasikin, nangni khom irtûng chianin om roi, nin tûng no lai takin Mihriam Nâipa zuang a ti,” a tia.
LUK.12.41	Petera’n, “Rengpa, hi chongirkhek hi keini vai mo ni ni ihril mi murdi mo?” a tia. 
LUK.12.42	Rengpa’n, “An pu’n a siahlohai hruaitua le an bu sem tika sem ngaitu hrangin sum enkoltu iamom tak le vâr tak a inkung hrang kha tu mo a ini hrang? 
LUK.12.43	A pu a honga, khaanga lei tho siahlo a ihmu chu mi vânnei a ni. 
LUK.12.44	A dik takin nang ki hril, a inei chunga hruaitua hong siam a ti. 
LUK.12.45	Khannisian siahlo khan, ‘Ka pu hong kîr lat no ni,’ tiin nupang pasal zêm sianlân, lei fâk lei nêkin len rui sianlân, 
LUK.12.46	Kha siahlo pu kha ar tûng no kârin, a iam no nikhuaa a pu zuang a ta, tukkhoi a ta, mi iamloihai dongtum indong a ti. 
LUK.12.47	Siahlo, an pu nuamlam inhre chiana tho loi le irtûng loi chu a sate’n zêm ni an ti. 
LUK.12.48	Aniachu, inhre loi sika hremna dôr thil tho chu nêp uala zêm nih an ti. Tukhom tamtak indongtira omhai chu tamtak ingên ni an ti.
LUK.12.49	“Irnêng hâl hranga zuang ki ni, atûn khom kâng zôi ta sian ki ti! 
LUK.12.50	Baptisma ki ichang hrang a om, kha kha ki tho mâka chu ki ning ar hal vang na! 
LUK.12.51	Irnênga irngei inlêng hranga zuang ni ma ung, irsenna inlêng hranga zuang kêng ki ini. 
LUK.12.52	Atûna irthokin in sûng khata mi ringa irsen an ta, inthumin, inhni doi an ta, inhniin inthumhai doi an ti. 
LUK.12.53	Pa’n a nâipa doi a ta, nâipa’n a pa; nu’n a nâinu doi a ta, nâinu’n a nu; a tarpiin a moinu doi a ti, moinu’n a tarpi doi a ti,” a tia. 
LUK.12.54	Jisua’n mipuihai kuang khan, “Misa tâk tiang sûm a hong zîngin chu rua a itho hrang kêng nin tia, a tho khom a tho ngai. 
LUK.12.55	Khan sim tiang phâivua a hong tho nin inhriatin chu, a ilum hrang kêng nin tia, lum khom a lum ngai. 
LUK.12.56	Vârirlethaio! Irnêng irvân nin ena, kho om hrang lam nin inhriata, khannisianlân, atûnlai zoro om lam hi itho mo nin inhriat theiloi?” a tia.
LUK.12.57	“A dik le dikloi kha ithoa mo nangni khomin nin itheithâk mai loi? 
LUK.12.58	Thuneitu makunga ni irdoipui leh nin inlang hrangin, fe pumin ama leh irngeina lam zong roh; khano’nchu, roirêltu makunga nang hruai inlût a ta, Roirêltu’n pulis kuang nang inhlan a ta, pulis khan intângna ina nang khum a ti. 
LUK.12.59	Nang ki hril, poisa khatte khom ni thâk irkip mâka chu, khatak ata kha suak viat no chi ni,” a tia.
LUK.13.1	Kha laitaka khan tuhai mani an oma, Galili rama mi, Pathian kuang thil an inhlan laia Pilata’n a ithathai thurchi Jisua kuang an hril.
LUK.13.2	Jisua’n a sâma, “Khaanga thata an iom kha Galili rama mi danghai nêkin an sual ual nin isôn ma ni? 
LUK.13.3	Sual bîk mahai, nangni ki hril, nangni khom nin irlet no’n chu khaang dênin irhmang nin ti. 
LUK.13.4	Khano’nte, Siloam in irsâng chimin sômhleiriat a idel thathai kha. Jerusalema mi danghai nêkin an isual bîk nin isôn ma ni? 
LUK.13.5	Sual bîk mahai, nangni ki hril, nangni khom nin irlet no’n chu khaang dênin irhmang nin ti,” a tia.
LUK.13.6	Jisua’n hi chongirkhek thu hi an sîr saa; “Mi senkhatin grep irhuana theipui kung a phuna. A ra a zonga hmu maka. 
LUK.13.7	Khanchu irhuan enkoltu kuang, ‘En roh, kum thum hi theipui kunga hin a ra ki zonga, inkhat lua hmu ma ung. Hmun vai kêng a iluana, phûrpai roh,’ a tia. 
LUK.13.8	Khan, irhuan enkoltu’n, ‘Ka pu, kumin chu la om hi ri se, a’rhîlin tuk ki ta, nimnok vur ki ta, 
LUK.13.9	nakum a ra’n te sa a ta, a ra no le phûrpai ni ti,’ ” a tia.
