MAT.1.1	Abraham le David a pasalnai Jisu Khrista hongkanthuina pa le puthui rabu ha hi ani.
HEB.11.16	Tak-ha, ha chang lui a anmanin asat det ram, chung van ram ha an ngai tuia an lui om ani, hava jarra Pathian ning anmani rang khopui an khat a sin pe va hale, anmanin Pathian! ti rang ha jak lai ma u.
HEB.11.17	Pathian ning Abraham jiang a en sin pha han, takngai jarra Abraham in a nai Isak ha kan bol na akat a pek ani, Pathian in chong shakhi a nei pui ha Abraham ani; a chang innom a man pasalnai an khat jak a nei ha a man kan bol na akat pek ranga a kan ning ani. 
HEB.11.18	Pathian in ama jiang “Isak tenna phut tu le te na nei rang ke a ti pe ani.” 
HEB.11.19	Pathian in Isak ha thina tenna phut a man ring tor ret tihi Abraham in a jet hale a takngai na han, Abraham in Isak ha thina an phut a mu ret jui ani.
HEB.11.20	Takngai na hin Isak in Jakob le Isou jiang nuk a hong tung rang chunga ravansat a pek jui.
HEB.11.21	Takngai na in Jakob ning a thi mak ma Josep naingai ravansat a pek jui; hale a man a thiang re ha a o va Pathian chubei a buk jui.
HEB.11.22	Takngai na han Josep ning a thi rang tiang Israel naingai jiang a ti, ijip ram an mak rang chong a ri, a saru hi anmanin an choi rang ha a man chu jui ani.
HEB.11.23	Takngai jarra Mousi a nu le a pan an nei suale tha thum an lui thup ani, anmani nin naite a mel sat ha an mua rengpa chong pek suk khui rang chit lai ma u.
HEB.11.24	Takngai na han Mousi ning a hong lian pha rengpa Pharo a nai numeinu a pasalnai nai ti rang hi jot lai ma u. 
HEB.11.25	Pha bongkhat adik mak a huia om rang nek Pathian mingai le khodengthei suam rang hi a man a dei det jui. 
HEB.11.26	A man nuk pong lo man a mu rang a en na, ijip lal le thum rakip nei rang nek Mesaia rang jarra mol khang rang han a man a nei det tiha a man a jet jui ani.
HEB.11.27	Takngai jarra Mousi ning rengpa lung thak rang ha chit luija, nuk kir ret mak na ranga a man ijip a mak jui ani. 
HEB.11.28	Takngai na in a man kan na ut le thisen suak han a sin na a rapa an nei nai thina ranga anmani ko tok mak na rang ani.
HEB.11.29	Takngai na in Israel naingain tuipuilian ha leipak a char jarra an lui kan tor ani, ijip mingai ning kan rang an ti pha, tuipui tuionglian han a khu de jui.
HEB.11.30	Takngai na han Jerikho khopui bang ha Israel naingai ning ni sa ri an hi suapha khopui bang ha a chim jui ani. 
HEB.11.31	Takngai na han Rahab michukluinu jiang adik lui mingai ha a inna lunghip lungdai tak a man tung jarra, Pathian chong a jui mak ngai an that na rang an phut kan san ring na an mu jui.
HEB.11.32	Kei imo ka la ri de rang? Gidion, Barak, Samson, Jeptha, Daniel, Samuel, hale Pathian chong lui ri ngai chong ri na rang a pha om lai mak jui. 
HEB.11.33	Takngai jarra anmanin ram pumpuija ral an tho va an tor jui, anmanin adik ha an tho jarra Pathian chong shakhi pek ngaiha an tum ani, hale anmanin Sabakkai ngai bai jom an lui ruk. 
HEB.11.34	Mei chuan a kang an lui mandai, chemsei a thina ranga an phut a kan thup ngai, anmani an chit alui don, tak-ha an pang a ranga chit lui jet lai ma u; anmanin ral kan tho na ral rat tak an chang jui, hale ram dang ral mingai ha an tor jui ani. 
HEB.11.35	Takngain phut nupuingai han athi ngaiha a ringa an kan mu ret ani, a dangngai ha ma sua rang an jot mak jarra esella suk manmang na an khanga an thi jui, hava ringkhuo asat det an ring thei na rang ani. 
HEB.11.36	Aher khat an nuisoa an ve, hale a dangngai ha an khit Lung khurra an khum jui ani. 
HEB.11.37	Anmani ngaiha lunga an deng, thing at na han an at bongni an man suak jui, hale chem ma an tuk tan jui, anmani a riang tak khodengthei a, belram vun ansia an lon na mingai ning an esella khodeng an man thei jui. 
HEB.11.38	Anmani ranga ramuol chung hi asat chang lai mak, anmani ral an tan anga, tanga, Damma, Ram karra, khurra, a tong na mun na an che ti tir jui.
HEB.11.39	Hiva mingai hi tak an ngai jarra, an omchan ngai kan jet na an kan mu innom, Pathian chong shakhingai ha ko la mu ma u. 
HEB.11.40	Ajarko Pathian in keini ranga asat det an khat thau rang tho na a na nei pui jui, hale keini le anmaningai ha lungdo tung rang hi Pathian sin var ani.
HEB.12.1	Keini ranga takngai na jet thei na ranga sakhi lian atam tak in kan sir kan panga a na tan jui ani. Siatna a o tit na rang om a lam rakip kan nok na ngai deng jaun pet innang, kan madonna a om kan lungdo mun tiang jong innang risiat tho innang tanrei. 
HEB.12.2	A phut na tenna an phut kan takngai na kan lung ngam na, Jisu ha a torna tunga keini en chak rei, a man Khros chunga mel siat a athi rang ha i jum ngaidon luia, a ral torna ningsat nan a na ngak chak lam ha a ngaidon na Khros lam ha a roa, tun hin Pathian lam lian inn ong na chang tiang ama aongna han a om jui. 
HEB.12.3	Mi sa mak ngai ning Jisu ha hava ang khan an enda nom a khang ha ngaidon ru, hava jarra nangni nan tak nan thei jak hui na ranga nan tha man siat maru, 
HEB.12.4	Ajarko nang nin siat khanga ral nan kan tho puina sunga hin thina tunga ral la khang mak che u. 
HEB.12.5	Nan lungam na rang Pathian a nai anga ana man chu na chong ha nan thei ni jui mo? “Ka nai Puma ning ana man chu pha, asat ngairo, a na ran pha han, na lung man sin maro.” 
HEB.12.6	Ajarko Puma han a lungsiat ngai jak ha a na man chu ani, hale a man a nai a man chang jak a ve a a man chu ani.
HEB.12.7	Pa ning ana man chu na ngai ha a dui ratru, ajarko pong khodeng na thei na ha Pathian in a nai anga ina man chu ani, a pan a nai a man chu mak mi an omngai mo? 
HEB.12.8	Nang ni hiva ngai rakip hin a na man chu mak a chang inko, nang ni anai tak chang ma che, cha zai nai ngaiha nan ni. 
HEB.12.9	Kan tak sa ramuol ta a chang ngai ning keini an na man chua an na man dik chit jak na kan nei, ha a chang inko, a khel det ka tha vai ranga pa a chang ha ko kan lut kan ring rang a suak! 
HEB.12.10	Tak sa ramuol pangai ning pha bongkhat jak an na man chu ke ani, tak-ha keini Pathian a thiang na ha kan tum pui thei na rang hivahi keini satna ranga Pathianin ina var ani. 
HEB.12.11	Keini tanti a na pek pha, keini kan lung a kan nok pha bongkhat ko kan ningsat lai mak, ha a chang innom hava anga man dik na ngaiha nuk ako lunghip lungdai na lo man ringkhuo adik a pek jui.
HEB.12.12	Na kut ban ha domru, hale, nan khup biling ham man ngarru! 
HEB.12.13	Hale nan ke thon na rang lam man tunru, hale nan kut nan ke ngaiha zeng lai noning, dam ver rang ani jui, hale a ke kiak ngain lam ha asat an ro thei na rang le kutsuikesui an nei mak na rang, nan che na lam ha sin man tunru.
HEB.12.14	Mirakip le kan top thei na rang le ringkhuo a thianga om na rang thoru, ajarko hava niluia tu ten Puma mu tor noning. 
HEB.12.15	Pathian manrit na an phut tute nuk tiang an kir mak na rang, hale, ramsul a kha anga a hong kei sua a turin mirakip a man chok mak na rang kan ching theiru. 
HEB.12.16	Esau ning nai ulian a chang na a tum rang ha bulom khat jak a juor anga taksa ramuol tho salui le omchan adik mak tute a hong mak na rang kan ning theiru. 
HEB.12.17	Ajarko nuk a pa ning phual a pek rang ha a man a dei a mit tui suak pumma a hong a chang innom alui theng sa ani thul ret na rang om om mak jarra a kir jui tihi nang in na jet.
HEB.12.18	Israel naingai ning Sinai tangbunga mei chuan rori a jing, Pengkul a ring rasa karra an hong anga nang nin hong mak che u. 
HEB.12.19	Anmanin rasa ngaiha an jet pha a dang rasa an jet mak na rang an lui ri jui, 
HEB.12.20	Ajarko, anmanin chong an ri a khang tor ma u, chong pek ha hingahin an ri, Jiba a tha vai pal an khat in tangbunga a hong sit pha, hava thavang pal ha lunga deng rang ke, anti, 
HEB.12.21	Hava an mu ha iduk chit a om, ajarko Mousi ning kei a tam tak ka chit ka kan nok jui a ti.
HEB.12.22	Nangni ko hava nek a ring chak Pathian om na khopui Zion tang, chung van Jerusalem Thavang Thiang lising lising om na, 
HEB.12.23	chung van na ming jiak man lut na Pathian nai ulianngai ningsat an kan chun na ningsat mirakip chongtan Pathian jiang, hale adik mingai Thavang Thiang lungdo tunga an sin na mun, 
HEB.12.24	chong shakhi thar a sin Jisu jiang, Abel thi sen nek asat det a ri thisen a chai thuan na mu na a hong man nei,
HEB.12.25	Hiva jarra chong a ri pan man ngai siat mak na rang kan ning theiru. Ramuol la chong thang kui pa chong a ngai mak ngal lom ngaidam a om lui inko chunga an phut chong ahong ripa chong a ngai mak ha ko a khel la ngaidam na i mu lui rang ani. 
HEB.12.26	Hava lai tak han a man ramuol a man kan nok jui, tak-ha a tun ko chong sham chong a san na a ri kein a tharra ramuol jak ni luia chung van nom ka man kan nok rang ke. 
HEB.12.27	Han a tharra vei khat a kan tir an ti ret hin a man kan nok phur ngai jak a om ma, a kan tir a kan nok kut sin rakip ha a manmang rang hi a thiang khet a kando jui.
HEB.12.28	Hiva jarra kein in a kan thit mak rengram ha kan tum jui a chang jarra ningsat tak choi man sang rei, Pathian ha kein in chit tak le jak tak a lung kan man tai na rang chubeibuk a manpak rei; 
HEB.12.29	Ajarko han Pathian ha roman mang na mei khet ha ani.
HEB.13.1	Khrista minga ulenaingai a chang nangni ankhat le an khat kan lungsiat chakru. 
HEB.13.2	Nan inna khual mi an hong tung karra asat nianga don na rang thoru, ha ang han mi her khat ning jet lui thai luia chung van Thavang Thiang ngai inna an man tunga an lui don. 
HEB.13.3	Ren inna an khum ma an omngai ha nang nin anmani le an na khum de jui ke tia ngaidon ru; khodeng an thei ngaiha anmani anga keini om khodeng kan thei ke tia ngaidon ru.
HEB.13.4	Luhuong inn nei hi mirakip ning chit jak na nei rase u, hale sang ram a chang ngaiha an khat le an khat tak kan ngai chang rase u, mi chuk lui le omchan adik mak tho ha ko Pathian in chong a tan rang ke. 
HEB.13.5	Peisa ruphai dei na ning ringkhuo chunga vaihom ma rase, na nei sa lep ha nan lungdo tung ha man changru. Ajarko Pathian ning a ti, “Kein nang ni ha na mak chil noning.” 
HEB.13.6	Hiva jarra lung ngam tak hingahin kein in rirei; Puman kei ana kan ruaipui, kei chit noning miring in ka chunga imo an tho tor rang tirei.
HEB.13.7	Pathian chong nang ni jianga an na ripengai, lam a keia alui ngaiha ngaidon chakru, anmaningai hongan mo an lui ringa, hongan mo an lui thi tiha ngaidon chak un na, anmani takngai na ha juiru. 
HEB.13.8	Jisu Khrista ha ko mi jan, ve en ni hale kum sot a anga ngai ani. 
HEB.13.9	Adik lam ma an phut adik mak lam tianga tuang na ranga, adik lui man chuna tiang tuang ma rase u, chak le nek chung chang a dan jui ha chang luia Pathian manrit na han lam kan sin man ngar rang hi kan thavang ranga asat ha ani; hale dan a jui ngai han a nem na i jum nei pui det ma u.
HEB.13.10	Jiwngai biakinn sunga se pa tho thiampungai han keini mai cham chunga kan bol na hi chak jot mak. 
HEB.13.11	Jiwngai thiampulian han siat kan bol na a hong kat ani; tak-ha a tak sa pum ha ko khur sunga an ro ani. 
HEB.13.12	Han Jisu Khrista siatna man thiang na rang khopui tual tiang a hong thi ani, 
HEB.13.13	Hiva jarra ama jak na nei pui ranga ama jiang khur tual tiang suak rei. 
HEB.13.14	keini hiva ramuol chunga hin khopui a det ha nei mak sing; hava jarra kein in a hong rang khopui ha kan en chak ani. 
HEB.13.15	Hiva jarra kein in Jisu Khrista kan bol na anga, Pathian jiang manpak na pek chak rei, kan rasa han a ming ha choi man sang rei. 
HEB.13.16	An khat le an khat kan san suam ma chuan sat tho rang thei nima rei; ajarko Pathian lungtai na rang kan pek ver ha hi ani.
HEB.13.17	Nan lam kaingai chong jui le kan ruaia an chong na be ha juiru, anmanin an sepa tho na chung changa Pathian jiang an la pek rang ani jarra anmanin pong kan sak chil luia nan thavang chunga an na en chak ani, nang nin chong nan jui aninko anmanin ningsat tak chuan nan tho rang ani, hava ni luia an lunga ning dong pumma chuan an tho aninko nang ni ranga a nemna om noning.
HEB.13.18	Keini ranga lam na na nei pe chakru, pha rakip irakip kein in chuan adik ha kan tho jot tihi jet thei na ranga, 
HEB.13.19	hale Pathian ning nang ni jiang keihi a rak a na hong tir na rang lam na na nei peru tia ka na ri.
HEB.13.20	Belramsel a lian tak kan puma Jisu Khrista ha a thina han kum sot chong shakhi sil an nam jui ani. A ma Pathian in thina an phut a man ring jui. 
HEB.13.21	Lunghip lungdai Pathian chuan man tho na rang, nan dei nan ngai tui rakip ama ning na man tung pe rase, Jisu Khrista chunga a man a tai na ha tho rase, han Khrista ha a phat a phat da mahok na ha om rase, Amen.
HEB.13.22	U le naingai hiva mathok na chong thang kui na hi nanngai ranga kei ning ka na ri ani, 
HEB.13.23	Kan u kan nai Timothi renin na an khum tenna an masua jui tihi nan jet rang ka dei, ama a rak tak a hong tung inko, nang ni le kan mu ranga a hong pha ama le kan hong kan ruai rang ke.
HEB.13.24	Pathian mingai rakip le lam a keingai rakip kan chubei lui pekru, Itali a om sap le jar ngai ning chubei an na hong pek.
HEB.13.25	Pathian manrit na han nan renga na om pui chak rase.
JAS.1.1	Puma Jisu Khrista le Pathian suak Jems in ramuol chunga a kan thek chaia a om Pathian mingai jiang chubei ka hong pek ani.
JAS.1.2	Sap le jar ngai, mathemna rakip nan chunga a hong tung pha le kan ravan asat tia ngaidon ru. 
JAS.1.3	Hava anga mathemna han nan takngai in a tor pha, dui torna ranak nan nei han nang nin nang jet ani. 
JAS.1.4	Tak-ha nan dui rat na han lam rakip ama sial na om luia a na tuong ha a thianga jetru, hava jarra ban sam na om luia, a vat mak, lungdo tung ha chang rang nan ni. 
JAS.1.5	Tak-ha nan karra tu a chang innom ching na tianga a ban sam a om inko a pek rang Pathian jiang a man lam rase, ajarko Pathian in mirakip manrit tak le lungsiat tak a apek ani. 
JAS.1.6	Tak-ha nan lam phat han takngai tak le, lunga kei chi keiokna nei chil lui a lamru; ajarko tu a chang innom lunga kei chi keiokna a nei ha ko tui pui chunga phaivou in a sem tui a kan nok anga ani. 
JAS.1.7	Hava anga mi han Puma jianga an phut i jum a mu lui rang ani. 
JAS.1.8	Ajarko a man a chuan tho na chunga han ngaidon jet chiak na i jum a nei lui ani.
JAS.1.9	Ariang achang u le naingai ha Pathian in a dom sang pha, ama a ning man sat rase. 
JAS.1.10	Hale a kan chong ulenai khristianngai ham puma ning a kei thak phat han an ning man sat rase u. Ajarko mi kan chong ngaiha ha ramsul la par a chuai anga a lam ang rang ke. 
JAS.1.11	Ni ahong sang pha, ramsul ha a em charra, a par ha a man voi, hale asat na a choi. Hava anga mi kan chong ham a nei chunga a ngaidon na rakip a lamang rang ke.
JAS.1.12	En sin na chunga takngai lui mi ha a ravan asat; ajarko en sin na ha a man a tor inko, Pathian a lungsiat ngai pek ranga shakhi ring na ha a man mu nati. 
JAS.1.13	Mi an khat in en sin na han a mathem karra, Pathian a na mathem ani; ti ma rase. Ajarko asa mak in Pathian mathem tor mak, hale Pathian in tute khat mathem mak. 
JAS.1.14	Tak-ha mi an khat ha a binga satmak adei na han alut phat han, mathemna a chul ani. 
JAS.1.15	Hiva jarra asat mak ha lungdo a hong tung pha han siatna a man suak, hale siatna ning lungdo a hong tung pha han, thina a hong suak. 
JAS.1.16	U le naingai! Nan tak nan thei jak man kan huong maru! 
JAS.1.17	Kutchoi pek asat rakip le lungdo kutchoi pek rakip vanram an phut a hong ani; hava ha vanram ma varngai a sin Pathian na an phut a hong ani. A man var ngaiha thul chil lui a man jing luia a man var. 
JAS.1.18	A kut sin rakip karra keini ara ma sat tak-ha kan chang thei na rang, chong dik han a lungdo tak keini ha a na hong tuong jui.
JAS.1.19	Ka manrit U le naingai, hivahi ngaidon ru. Chong an ri ha mirakip in a rak tak jet theiru, tak-ha chong ri sot tiang le lung thak na tiang ko nutru. 
JAS.1.20	Ajarko miring lung thak na hin Pathian dik na tianga chuan tho ma. 
JAS.1.21	Hava a thiang mak le adik mak omchan rakip an phut tan deru. Pathian jiang lutru, hale a na san ring tor rang chong nan lung shunga luiru. 
JAS.1.22	Hava chong nan jet han nang ni chuan tho changru, asat mak man kan tor maru. 
JAS.1.23	Ajarko chong an jet a chong jet nuk juia chaun a tho mak mi ha tu a chang innom meng sial la amel akan en na a en suale a mel ha ijamo a ti ha a theini len anga ani. 
JAS.1.24	A man a mel ha ha asat da alui kan en, a en sua le amel ha hong an mo a ti ha thei ni len anga ke ani. 
JAS.1.25	Tak-ha miring dan lungdo tunga lung lut tak a ajet a chuan a tho ama ha Pathian in ravansat a pek rang ke.
JAS.1.26	Tu a chang innom mi ankhat in dik na tiang lung lut mi ka ni tia a kan ngaidon an om mo? A man a lei akanchur tor mak inko, ama dik na ha a nemna bui le asa mak ha ani. 
JAS.1.27	Nu le pa bui mei thai khodengtheingai chunga lungsiat ngaidon na an khodengthei na a en pe le ramuol chunga asat mak an phut a en thei mi ha, Pathian ning idei adik le a thiang ha ani.
JAS.2.1	Ka u ka naingai, lianpui na Puma kan Puma Jisu Khrista a takngai nan chang nuk jui a, miring ngaiha an mit an mai en na chuan tho ni maru. 
JAS.2.2	Tetan na an khat a nan kan chun na mi anni, an khat a nei mi puonsi diar kei asat, sana kut sa vit a hap le a riang mi puonsi diar kei a chet sa a kan sin an hong aninko, 
JAS.2.3	nang in puonsi diar kei asat tho pa ha ko chit jak na nan nei a, ama jiang, “Nang hiva mun hui hin hong ong ro,” nanti a, hale ariangpa jiang han, “Nang ko hanga han ngirro,” nanti aninko, 
JAS.2.4	nan lung ngaidon adik mak han, nan karra khodengthei na a man suok nimak mo? 
JAS.2.5	Ka lungsiat ulenaingai, hiva ramuol chunga ariangke tia nan ngaidon mingai ha Pathian in Thavang Thiang takngai ranga athang suak ani, hale ama rengram ha man tum na ranga a thang suok jui. 
JAS.2.6	Tak-ha nang ninko a riang khodengtheingai ha nan mu dong ket. Nang ni chongtan na mun na a na tuongai ha mi kan chong ngai nima u mo? 
JAS.2.7	Mi kan chong ngai ning Pathian a pek ming asat ha esella an ri ani. 
JAS.2.8	Chong thianga kan mu, “Nang na tak na thei jak na kan lungsiat ang han, na in ri na in tang ham lungsiatro”. 
JAS.2.9	Tak-ha nang nin mi mai nan en na mi nan khui thier inko, dan nan ma khuia siatna nan tho ani, hale dan han siatna a na ma sul jui ani. 
JAS.2.10	Ajarko mi an khat in dan a renga a jui suo aninom dan an khat jak ha ama khui inko, dan a renga ama khui jui ani. 
JAS.2.11	Ajarko, “Numei ka lal maru,” a ti puma han, “Mi that maru,” om a ti. Hiva jarra nang nin mi nan that aninko, numei ka lal animak innom dan nan ma khui jui ani. 
JAS.2.12	Dan nuk jui a chong ri le chuan thoru nan chong ri le nan chuan tho nu kuija Pathian ning chong a jen rang ke. 
JAS.2.13	Ajarko lungsiat na nei lui mi ha Pathian in chong a tan pha han lungsiat mu noning tak-ha manrit na a nei mi han chongtan na ranga chit na nei lai noning.
JAS.2.14	Ka u ka naingai, mi an khat in, ‘Kei ning takngai na ka nei,’ ti sen nang, a chuan ko a do lui mi ha, asat na imo a om? Hava takngai na han a man a kan san ring tor rang mo? 
JAS.2.15	Tetan na an khat a ulenai puan si diar kei le chak rang nek rang an nei mak an om inko, 
JAS.2.16	a man anmani jiang, Pathian in ravansat na pek rase! A lum ma omro, khop charu, ti na ta a nei mak ha ko pek lui a imo a nem na a om rang? 
JAS.2.17	Hava anga chuan kan chel lui takngai ha ko a binga a thisa ani.
JAS.2.18	Tak-ha mi an khat in ti nati, “Nang in takngai na na nei hale kei ning chuan tho na ka nei, chuan kan chel lui a na takngai ha na man muro, kein ka chuan tho han ka takngai na ha na man mu kati,” tia a sang thei ani. 
JAS.2.19	Pathian an khat jak ani ti a nang in tak nan ngai. Adik! Seitanngai ning om tak an ngai, hale an chit a an kan nik. 
JAS.2.20	E mi vet! Chuan kan chel lui a takngai ha ko a nem na om mak tihi na jet jot mo? 
JAS.2.21	Kan pu Abraham ha Pathian le ijamo adik an lui om som? A man a nai Isak ha kan bol na chunga akat ha a chuan a do na ani. 
JAS.2.22	A takngai ha a chuan tho le a kan ruoija, a takngai na ha chuan na lungdo a man tung ha nang in mu mak che mo? 
JAS.2.23	Chong Thianga, “Abraham in Pathian tak a ngai, hale a man a takngai jarra Pathian in a man dik. Hale Pathian in Abraham ha ka sap a ti ani. 
JAS.2.24	Hiva jarra mi an khat ha a chuan tho na han Pathian le kan ruaia adik a tum ani, takngai chian jak han nimak.
JAS.2.25	Rahap an ti nu ham hava hale a kan ang rip ani. A man Jiw mi an tir ngaiha alui don na lam dang khat tiang a kan ruoi puia alui tir jui, hava a chuan jarra han ama nu ha Pathian le kan ruaia adik a tum jui. 
JAS.2.26	Hiva jarra Thavang Thiang kan chel lui tak sha rong ha a thi sa ani; hava anga chuan tho na om lui takngai ham a thi sa ani.
JAS.3.1	Ka u ka naingai! nangni atam lam mi manchu chang maru, ajarko keini mi manchu ngaihi midangngai neka a tat det a chongtan na kan chunga a om rang ke tihi jetru. 
JAS.3.2	Mirakip in ma sial na kan nei chachak. Mi ankhat in a chong ria a suai na a nei mak inko, ama ha a taksa pumpui akanchur tor lungdo tung mi an khat ani. 
JAS.3.3	keinin sakor baija rui kan thun na kan cham kan man juia, kan dei na tiang kan man che tor ani. 
JAS.3.4	Hale rokuang ngaidon ru; hi ang khan alian aninom, a thou pan rokuang yapna han a dei na mun na phaivou a rang in num a man che thei. 
JAS.3.5	Hava anga taksa shunga a sin tak lei hi om ani; tiko a sin tak an khat a chang aninom man kan lian na chong aliana ari suak tor ani.
JAS.3.5	Ramtong a lian tak ha mei chuon a sin tet an khat in a mankang sotor ha ngaidon ru! 
JAS.3.6	Hale lei hi mei anga an khat ani. Tak sa ramuol ringkhuo pumpui a ship a na tor an khat ani! Kan ringkhuo mei shunga a na deng juon rang mei chuong ha lei ani. 
JAS.3.7	Miring in irakip hi a cham ma aman jui tor, a thavang pal chunga vatengai, thuoia a bok a akan son ngai, hale nga ngai, rakip a cham ma a man jui tor. 
JAS.3.8	Tak-ha miring in lei hi ko a cham ma man jui tor mak, lei hi, asat mak, thina turpui a sip ani! 
JAS.3.9	keinin lei hi kan Puma le kan Pa Pathian choi lom nam kan nei, hale Pathian mel anga, kan sap chang pui ngai ham kho khong na kan nei man ani. 
JAS.3.10	Bai an khat jak ten han manpak na chong le kho khong na chong a suak ani. U le naingai, hivahi kein in man suok ma rei. 
JAS.3.11	Tui khur khat jak a ahong suak tui ha a thum le a kha suak mak! 
JAS.3.12	U le naingai, thei chang kung a Olib ra ngai mak, hale darkha ruia thei chang ra ngai mak; animakle ma chi khur han tui thum suakngai mak.
JAS.3.13	Nan karra aching a jet nan om mo? a man ching nale kan ruaia lung nem chaun sat ha tho sen lang, a ringkhuo omchan adik do rase. 
JAS.3.14	Tak-ha na lung shunga sat mak, pham rai siatna a om inko, man kan lian maru, hale adik chunga leisei tho maru. 
JAS.3.15	Hiva anga ching na hi vanram tenna a hong nimak; ramuol chunga seitan le a satlui chong tenna ani. 
JAS.3.16	Ajarko en lal le pham rai siat om na mun han a satlui chuan rakip a om ani. 
JAS.3.17	Tak-ha chung tianga ching na ha ko, ama sat tak a thiang hale lunghip dei, sap le jar chang hi ani; asat kan rol om chil luia, lungsiat nale chuan sat tho na ara a tam tak a sip jui. 
JAS.3.18	Hale an khat le an khat jiang chuan sat a tho ngai chunga an vor chi mu ara ha anni.
JAS.4.1	Kan suol nale kan jei na rakipngai hi nang ni karra hon na an phut a hong suok mo? Hava ha nan tak sa shunga nan thei jak rang dei le ngai tui khop na rang ral a tho chak an phut nimak mo? 
JAS.4.2	Nang nin imo khat nan dei, tak-ha nei tor ma che u, hava jarra mi that ranga nan kan ning, mi nan en lal tak-ha mu tor ma che u, hava jarra nan kan suol la ral nan kan tho ani. Nan dei ha mu tor ma che u, ajarko hava ha Pathian jiang lam ma che u. 
JAS.4.3	Hale nang nin nan lam pha han, nan lung ngaidon adik mak jarra nan lam ha mu tor ma che u, nang nin nan lam ha nan bing a hui na rang jak nan lam jarra nan mu torlui ani.
JAS.4.4	E takngai jot lui mingai, ramuol le sap chang hi Pathian enda ani tihi jet ma che mo? Tu a chang innom ramuol le sap chang rang a dei mi han Pathian a kan enda pui ani. 
JAS.4.5	Pathian in kan shunga a na siak pe thavang ha adik khan na lungdo a nei ani; anti. Chong thiang ha i om ni lui a nan ngaidon mo? 
JAS.4.6	Tak-ha Pathian a na pek manrit na ha angar det jui. Ajarko chong thiang in hingahin a ti, “Pathian in a man kan lian ngai a enda, tak-ha a man kan sin ngaiha a manrit ani.” 
JAS.4.7	Hiva jarra nang ni Pathian jiang lutru. Seitan ha not cheiru, hale seitan ha nang ni tenna tan rang ani jui. 
JAS.4.8	Nang nin Pathian nairu, hale a man a na dep rang ke. E, siat nei mingai; nan kut rasuk thiangru! A sat kan rol ngai, nan lung man thiangru! 
JAS.4.9	Nan ning man dong nang chapru, nan nui na ha chayang siar na man changru hale nan ningsat na lam han chapna man changru. 
JAS.4.10	Pathian mai kunga man kan sinru, ha aninko a man nang ni ha a na dom sang rang ke.
JAS.4.11	U le naingai, nang ni an khat le an khat kan risiat tho maru. Tu a chang innom a u anai a ri siat mi ha dan chunga chong a tan ani. Nang nin dan chunga chong nan tan a chang inko nang ni dan ajui ha ni lai ma che u. 
JAS.4.12	Pathian jak ha dan a pek le chongtan ha ani. Amajak in a na san tor, hale a na mang tor. Na sap chang pui chunga chong atan nang in imo ka ni tia na ngaidon?
JAS.4.13	Ngairu! Nang ni aviar ning, “Ve en ni animakle jinga sova khuopuia son hong che in na kuminkum lal va uol tari, nanti.” 
JAS.4.14	Jinga nan ringkhuo imo a suak rang nang nin jet ma che u! nang ni pha bongkhat suale a mang len rang sum phai anga nan ni ati. 
JAS.4.15	Hiva jarra hingahin tiru Puman a na jot pe a chang inko, keini dam in lang, hi le hi: tho rei tiru. 
JAS.4.16	Tak-ha nang ni man kan lian tak nan om aninko, hava anga man kan lian na rakip ha adik nimak. 
JAS.4.17	Hiva jarra chuan asat tho rang a jet a, a tho mak mi ha siat nei ani.
JAS.5.1	Atun, aneimi kan chong ngai ning ngairu! Nan chunga khodengthei na angakpa ahong rang a chang jarra chap nang chajang siarru! 
JAS.5.2	Nan neingai ha a mang suo jui, nan puon nan diar ngaiha ra lung in a chak so jui. 
JAS.5.3	Nan sana, nan ruphai ngaiha thir e ak in a kal suo jui, hale hiva thir e ak hin nan taksa meia na kang anga rona rang shakhi a chang rang ani. Hiva nikhuo a hong tung tiang hin nang nin phurpai a tam tak nan buk jui. 
JAS.5.4	Nang nin nan luia ranak nan ma sul ngaiha a man pe ma che u. Nan chang atngai an lung hui mak an khek rasa ngairu! An chap rasa ha a lian chung nung Pathian in a jet jui ani. 
JAS.5.5	Hiva ramuol chunga hui thei nale ningsat na ringkhuo nan nei man suo jui. Mi that na rang nikhuo han nan tak nan thei jak a nan kan that. 
JAS.5.6	Hiva jarra nang nin mi dik ngaiha siatna nei anga nan that, hale a man i jum na jiat lai mak.
JAS.5.7	Hiva jarra u le naingai! Puma ahong mak kar je a dui ratru, lui tho mi ning aluia a suak rang chang a ngak ha enru. A man chuk lai tha mang ruo le phaivuo a dai a duija phur le pai achoia a ngak ani. 
JAS.5.8	Nang nin nom hava ang han a dui ratru. Puma hong na rang nikhuo a nai jui, tia ngaidon ru.
JAS.5.9	U le naingai, an khat le an khat kan ri siat maru! Hi aninko Pathian in nan chunga chong tan noning: chongtan rang phat a hong nai jui. 
JAS.5.10	U le naingai, Puma minga chong ri Pathian tashantheingai ha ngaidon ru. Anmanin khodengthei nale pong na chunga dui rat an nei ha kan churu. 
JAS.5.11	Anmanin anrat jarra ravansat tia kan kui. Job a dui rat ha nang nin nan jet jui, hale a torna Job ranga imo Pathian in a siak pe ham nan jet jui. Ajarko Puma manrit nale lungsiat na a sip ani. 
