GEN.1.1	Yn y dechreuad creodd Duw y nefoedd a'r ddaear. 
ROM.1.10	wrth ofyn ganddo, os dyna'i ewyllys, a gaf fi yn awr o'r diwedd, rywsut neu'i gilydd, rwydd hynt i ddod atoch. 
ROM.1.11	Oherwydd y mae hiraeth arnaf am eich gweld, er mwyn eich cynysgaeddu â rhyw ddawn ysbrydol i'ch cadarnhau; 
ROM.1.12	neu yn hytrach, os caf esbonio, i mi, yn eich cymdeithas, gael fy nghalonogi ynghyd â chwi trwy'r ffydd sy'n gyffredin i'r naill a'r llall ohonom. 
ROM.1.13	Yr wyf am i chwi wybod, fy nghyfeillion, imi fwriadu lawer gwaith ddod atoch, er mwyn cael peth ffrwyth yn eich plith chwi fel y cefais ymhlith y rhelyw o'r Cenhedloedd, ond hyd yma yr wyf wedi fy rhwystro. 
ROM.1.14	Groegiaid a barbariaid, doethion ac annoethion—yr wyf dan rwymedigaeth iddynt oll. 
ROM.1.15	A dyma'r rheswm fy mod i mor eiddgar i bregethu'r Efengyl i chwithau sydd yn Rhufain.
ROM.1.16	Nid oes arnaf gywilydd o'r Efengyl, oherwydd gallu Duw yw hi ar waith er iachawdwriaeth i bob un sy'n credu, yr Iddewon yn gyntaf a hefyd y Groegiaid. 
ROM.1.17	Ynddi hi y datguddir cyfiawnder Duw, a hynny trwy ffydd o'r dechrau i'r diwedd, fel y mae'n ysgrifenedig: “Y sawl sydd trwy ffydd yn gyfiawn a gaiff fyw
ROM.1.18	Y mae digofaint Duw yn cael ei ddatguddio o'r nef yn erbyn holl annuwioldeb ac anghyfiawnder pobl sydd, trwy eu hanghyfiawnder, yn atal y gwirionedd. 
ROM.1.19	Oherwydd y mae'r hyn y gellir ei wybod am Dduw yn amlwg iddynt, a Duw sydd wedi ei amlygu iddynt. 
ROM.1.20	Yn wir, er pan greodd Duw y byd, y mae ei briodoleddau anweledig ef, ei dragwyddol allu a'i dduwdod, i'w gweld yn eglur gan y deall yn y pethau a greodd. Am hynny, y maent yn ddiesgus. 
ROM.1.21	Oherwydd, er iddynt wybod am Dduw, nid ydynt wedi rhoi gogoniant na diolch iddo fel Duw, ond yn hytrach wedi troi eu meddyliau at bethau cwbl ofer; ac y mae wedi mynd yn dywyllwch arnynt yn eu calon ddiddeall. 
ROM.1.22	Er honni eu bod yn ddoeth, y maent wedi eu gwneud eu hunain yn ffyliaid. 
ROM.1.23	Y maent wedi ffeirio gogoniant yr anfarwol Dduw am ddelw ar lun dyn marwol, neu adar neu anifeiliaid neu ymlusgiaid.
ROM.1.24	Am hynny, y mae Duw wedi eu traddodi, trwy chwantau eu calonnau, i gaethiwed aflendid, i'w cyrff gael eu hamharchu ganddynt hwy eu hunain.
ROM.1.25	Y maent wedi ffeirio gwirionedd Duw am anwiredd, ac addoli a gwasanaethu'r hyn a grewyd yn lle'r Creawdwr. Bendigedig yw ef am byth! Amen. 
ROM.1.26	Felly y mae Duw wedi eu traddodi i nwydau gwarthus. Y mae eu merched wedi cefnu ar arfer naturiol eu rhyw, ac wedi troi at arferion annaturiol; 
ROM.1.27	a'r dynion yr un modd, y maent wedi gadael heibio gyfathrach naturiol â merch, gan losgi yn eu blys am ei gilydd, dynion yn cyflawni bryntni ar ddynion, ac yn derbyn ynddynt eu hunain y tâl anochel am eu camwedd. 
ROM.1.28	Am iddynt wrthod cydnabod Duw, y mae Duw wedi eu traddodi i feddwl gwyrdroëdig, i wneud y pethau na ddylid eu gwneud, 
ROM.1.29	a hwythau yn gyforiog o bob math o anghyfiawnder a drygioni a thrachwant ac anfadwaith. Y maent yn llawn cenfigen, llofruddiaeth, cynnen, cynllwyn a malais. 
ROM.1.30	Clepgwn ydynt, a difenwyr, caseion Duw
ROM.1.31	heb ddeall, heb deyrngarwch, heb serch, heb dosturi. 
ROM.1.32	Yr oedd gorchymyn cyfiawn Duw, fod y sawl sy'n cyflawni'r fath droseddau yn teilyngu marwolaeth, yn gwbl hysbys i'r rhai hyn; ond y maent nid yn unig yn dal i'w gwneud, ond hefyd yn cymeradwyo'r sawl sydd yn eu cyflawni.
ROM.2.1	Yn wyneb hyn, yr wyt ti sy'n eistedd mewn barn, pwy bynnag wyt, yn ddiesgus. Oherwydd, wrth farnu rhywun arall, yr wyt yn dy gollfarnu dy hun, gan dy fod ti, sy'n barnu, yn cyflawni'r un troseddau. 
ROM.2.2	Fe wyddom fod barn Duw ar y sawl sy'n cyflawni'r fath droseddau yn gwbl gywir. 
ROM.2.3	Ond a wyt ti, yr un sy'n eistedd mewn barn ar y rhai sy'n cyflawni'r fath droseddau, ac yn eu gwneud dy hun, a wyt ti'n tybied y cei di ddianc rhag barn Duw? 
ROM.2.4	Neu, ai dibris gennyt yw cyfoeth ei diriondeb a'i ymatal a'i amynedd? A fynni di beidio â gweld mai amcan tiriondeb Duw yw dy ddwyn i edifeirwch? 
ROM.2.5	Wrth ddilyn ystyfnigrwydd dy galon ddiedifar, yr wyt yn casglu i ti dy hunan stôr o ddigofaint yn Nydd digofaint, Dydd datguddio barn gyfiawn Duw. 
ROM.2.6	Bydd ef yn talu i bawb yn ôl eu gweithredoedd: 
ROM.2.7	bywyd tragwyddol i'r rhai sy'n dal ati i wneud daioni, gan geisio gogoniant, anrhydedd ac anfarwoldeb; 
ROM.2.8	ond digofaint a dicter i'r rheini a ysgogir gan gymhellion hunanol i fod yn ufudd, nid i'r gwirionedd, ond i anghyfiawnder. 
ROM.2.9	Gorthrymder ac ing fydd i bob bod dynol sy'n gwneud drygioni, i'r Iddewon yn gyntaf a hefyd i'r Groegiaid; 
ROM.2.10	ond gogoniant ac anrhydedd a thangnefedd fydd i bob un sy'n gwneud daioni, i'r Iddewon yn gyntaf a hefyd i'r Groegiaid. 
ROM.2.11	Nid oes ffafriaeth gerbron Duw. 
ROM.2.12	Caiff pawb a bechodd heb y Gyfraith drengi hefyd heb y Gyfraith, a chaiff pawb a bechodd dan y Gyfraith eu barnu trwy'r Gyfraith. 
ROM.2.13	Nid y rhai sy'n gwrando'r Gyfraith a geir yn gyfiawn gerbron Duw. Na, y rhai sy'n cadw'r Gyfraith a ddyfernir yn gyfiawn ganddo ef. 
ROM.2.14	Pan yw Cenhedloedd sydd heb y Gyfraith yn cadw gofynion y Gyfraith wrth reddf, y maent, gan eu bod heb y Gyfraith, yn gyfraith iddynt eu hunain. 
ROM.2.15	Y maent yn dangos bod yr hyn a ofynnir gan y Gyfraith wedi ei ysgrifennu yn eu calonnau, gan fod eu cydwybod yn cyd-dystiolaethu â'r Gyfraith, ac felly y mae eu meddyliau weithiau'n eu cyhuddo, ac weithiau hefyd yn eu hamddiffyn. 
ROM.2.16	Yn ôl yr Efengyl yr wyf fi'n ei phregethu, felly y bydd yn y Dydd pan fydd Duw yn barnu meddyliau cuddiedig pawb trwy Grist Iesu.
ROM.2.17	Amdanat ti, fe ddichon dy fod yn cario'r enw “Iddew”, yn pwyso ar y Gyfraith, yn ymffrostio yn Nuw, 
ROM.2.18	yn gwybod ei ewyllys, ac oherwydd dy hyfforddi yn y Gyfraith yn gallu canfod yr hyn sy'n rhagori. 
ROM.2.19	Fe ddichon dy fod yn argyhoeddedig dy fod yn arweinydd i'r dall, yn oleuni i'r rhai sydd mewn tywyllwch, 
ROM.2.20	yn disgyblu'r ffôl, yn dysgu'r ifanc, a hynny am fod gennyt yn y Gyfraith holl gynnwys gwybodaeth a gwirionedd. 
ROM.2.21	Os felly, ti sy'n dysgu arall, oni'th ddysgi dy hun? A wyt ti, sy'n pregethu yn erbyn lladrata, yn lleidr? 
ROM.2.22	A wyt ti, sy'n llefaru yn erbyn godinebu, yn odinebus? A wyt ti, sy'n ffieiddio eilunod, yn ysbeilio temlau? 
ROM.2.23	A wyt ti, sy'n ymffrostio yn y Gyfraith, yn dwyn gwarth ar Dduw trwy dorri ei Gyfraith? 
ROM.2.24	Fel y mae'r Ysgrythur yn dweud, “O'ch achos chwi, ceblir enw Duw ymhlith y Cenhedloedd.” 
ROM.2.25	Yn ddiau y mae gwerth i enwaediad, os wyt yn cadw'r Gyfraith. Ond os torri'r Gyfraith yr wyt ti, y mae dy enwaediad wedi mynd yn ddienwaediad. 
ROM.2.26	Os yw'r sawl nad enwaedwyd arno yn cadw gorchmynion y Gyfraith, oni fydd Duw yn cyfrif ei ddienwaediad yn enwaediad? 
ROM.2.27	Bydd y dienwaededig ei gorff, os yw'n cyflawni'r Gyfraith, yn farnwr arnat ti, sydd yn droseddwr y Gyfraith er bod gennyt gyfraith ysgrifenedig a'r enwaediad. 
ROM.2.28	Nid Iddew mo'r Iddew sydd yn y golwg. Nid enwaediad chwaith mo'r enwaediad sydd yn y golwg yn y cnawd. 
ROM.2.29	Y gwir Iddew yw'r Iddew cuddiedig, a'r gwir enwaediad yw enwaediad y galon, peth ysbrydol, nid llythrennol. Dyma'r un sy'n cael clod, nid gan bobl eraill, ond gan Dduw.
ROM.3.1	Yn wyneb hyn, pa ragorfraint sydd i'r Iddew? Pa werth sydd i'r enwaediad? 
ROM.3.2	Y mae llawer, ym mhob modd. Yn y lle cyntaf, i'r Iddewon yr ymddiriedwyd oraclau Duw. 
ROM.3.3	Ond beth os bu rhai yn anffyddlon? A all eu hanffyddlondeb hwy ddileu ffyddlondeb Duw? 
ROM.3.4	Ddim ar unrhyw gyfrif! Rhaid bod Duw yn eirwir, er i bawb arall fod yn gelwyddog. Fel y mae'n ysgrifenedig:
ROM.3.4	“Fel y'th geir yn gywir yn dy eiriau,
ROM.3.4	a gorchfygu wrth gael dy farnu.”
ROM.3.5	Ond os yw'n hanghyfiawnder ni yn dwyn i'r golau gyfiawnder Duw, beth a ddywedwn? Mai anghyfiawn yw'r Duw sy'n bwrw ei ddigofaint arnom? (Siarad fel dyn yr wyf.) 
ROM.3.6	Ddim ar unrhyw gyfrif! Os nad yw Duw yn gyfiawn, sut y gall farnu'r byd? 
ROM.3.7	Ie, ond
ROM.3.8	“Gadewch i ni wneud drygioni er mwyn i ddaioni ddilyn”—ai dyna yr ydym yn ei ddweud, fel y mae rhai sy'n ein henllibio yn mynnu? Y mae'r rheini'n llawn haeddu bod dan gondemniad.
ROM.3.9	Wel, ynteu, a ydym ni'r Iddewon yn rhagori? Ddim o gwbl!
ROM.3.10	Fel y mae'n ysgrifenedig:
ROM.3.10	“Nid oes neb cyfiawn, nac oes un,
ROM.3.11	neb sydd yn deall,
ROM.3.11	neb yn ceisio Duw.
ROM.3.12	Y mae pawb wedi gwyro, yn ddi-fudd ynghyd;
ROM.3.12	nid oes un a wna ddaioni,
ROM.3.12	nac oes, dim un.
ROM.3.13	Bedd agored yw eu llwnc,
ROM.3.13	a'u tafodau'n traethu twyll;
ROM.3.13	gwenwyn nadredd dan eu gwefusau,
ROM.3.14	a'u genau'n llawn melltith a chwerwedd.
ROM.3.15	Cyflym eu traed i dywallt gwaed,
ROM.3.16	distryw a thrallod sydd ar eu ffyrdd;
ROM.3.17	nid ydynt yn adnabod ffordd tangnefedd;
ROM.3.18	nid oes ofn Duw ar eu cyfyl.”
ROM.3.19	Fe wyddom mai wrth y rhai sydd dan y Gyfraith y mae'r Gyfraith yn llefaru pob dim a ddywed. Felly dyna daw ar bob ceg, a'r byd i gyd wedi ei osod dan farn Duw. 
ROM.3.20	Oherwydd, “gerbron Duw ni chyfiawnheir neb meidrol” trwy gadw gofynion cyfraith. Yr hyn a geir trwy'r Gyfraith yw ymwybyddiaeth o bechod.
ROM.3.21	Ond yn awr, yn annibynnol ar gyfraith, y mae cyfiawnder Duw wedi ei amlygu. Y mae'r Gyfraith a'r proffwydi, yn wir, yn dwyn tystiolaeth iddo, 
ROM.3.22	ond cyfiawnder sydd o Dduw ydyw, trwy ffydd yn Iesu Grist i bawb sy'n credu. 
ROM.3.23	Ie, pawb yn ddiwahaniaeth, oherwydd y maent oll wedi pechu, ac yn amddifad o ogoniant Duw. 
ROM.3.24	Gan ras Duw, ac am ddim, y maent yn cael eu cyfiawnhau, trwy'r prynedigaeth sydd yng Nghrist Iesu, 
ROM.3.25	yr hwn a osododd Duw gerbron y byd, yn ei waed, yn aberth cymod
ROM.3.26	ie, i ddangos ei gyfiawnder yn ddiymwad yn yr amser presennol hwn, sef ei fod ef ei hun yn gyfiawn a hefyd yn cyfiawnhau'r sawl sy'n meddu ar ffydd yn Iesu.
ROM.3.27	A oes lle, felly, i'n hymffrost? Nac oes! Y mae wedi ei gau allan. Ar ba egwyddor? Ai egwyddor cadw gofynion cyfraith? Nage'n wir, ond ar egwyddor ffydd. 
ROM.3.28	Ein dadl yw y cyfiawnheir rhywun trwy gyfrwng ffydd yn annibynnol ar gadw gofynion cyfraith. 
ROM.3.29	Ai Duw'r Iddewon yn unig yw Duw? Onid yw'n Dduw'r Cenhedloedd hefyd? 
ROM.3.30	Ydyw, yn wir, oherwydd un yw Duw, a bydd yn cyfiawnhau'r enwaededig trwy ffydd, a'r dienwaededig trwy'r un ffydd. 
ROM.3.31	A ydym, ynteu, yn dileu'r Gyfraith trwy'r ffydd hon? Nac ydym, ddim o gwbl! Cadarnhau'r Gyfraith yr ydym.
ROM.4.1	Beth gan hynny a ddywedwn am Abraham, hendad ein llinach? Beth a ddarganfu ef? 
ROM.4.2	Oherwydd os cafodd Abraham ei gyfiawnhau trwy ei weithredoedd, y mae ganddo rywbeth i ymffrostio o'i herwydd. Ond na, gerbron Duw nid oes ganddo ddim. 
ROM.4.3	Oherwydd beth y mae'r Ysgrythur yn ei ddweud? “Credodd Abraham yn Nuw
ROM.4.4	Pan fydd rhywun yn gweithio, nid fel rhodd y cyfrifir y tâl, ond fel peth sy'n ddyledus. 
ROM.4.5	Pan na fydd rhywun yn gweithio, ond yn rhoi ei ffydd yn yr hwn sy'n cyfiawnhau'r annuwiol, cyfrifir ei ffydd i un felly yn gyfiawnder. 
ROM.4.6	Dyna ystyr yr hyn y mae Dafydd yn ei ddweud am wynfyd y rhai y mae Duw yn cyfrif cyfiawnder iddynt, yn annibynnol ar gadw gofynion cyfraith:
ROM.4.7	“Gwyn eu byd y rhai y maddeuwyd eu troseddau,
ROM.4.7	ac y cuddiwyd eu pechodau;
ROM.4.8	gwyn ei fyd y sawl na fydd yr Arglwydd yn cyfrif pechod yn ei erbyn.”
ROM.4.9	Y gwynfyd hwn, ai braint yn dilyn ar enwaediad yw? Oni cheir ef heb enwaediad hefyd? Ceir yn wir, oherwydd ein hymadrodd yw, “cyfrifwyd ei ffydd i Abraham yn gyfiawnder”. 
ROM.4.10	Ond sut y bu'r cyfrif? Ai ar ôl enwaedu arno, ynteu cyn hynny? Cyn yr enwaedu, nid ar ei ôl. 
ROM.4.11	Ac wedyn derbyniodd arwydd yr enwaediad, yn sêl o'r cyfiawnder oedd eisoes yn eiddo iddo trwy ffydd, heb enwaediad. O achos hyn, y mae yn dad i bawb sy'n meddu ar ffydd, heb enwaediad, a chyfiawnder felly yn cael ei gyfrif iddynt. 
ROM.4.12	Y mae yn dad hefyd i'r rhai enwaededig sydd nid yn unig yn enwaededig ond hefyd yn dilyn camre'r ffydd oedd yn eiddo i Abraham ein tad cyn enwaedu arno.
ROM.4.13	Y mae'r addewid i Abraham, neu i'w ddisgynyddion, y byddai yn etifedd y byd, wedi ei rhoi, nid trwy'r Gyfraith ond trwy'r cyfiawnder a geir trwy ffydd. 
ROM.4.14	Oherwydd, os y rhai sy'n byw yn ôl y Gyfraith yw'r etifeddion, yna gwagedd yw ffydd, a diddim yw'r addewid. 
ROM.4.15	Digofaint yw cynnyrch y Gyfraith, ond lle nad oes cyfraith, nid oes trosedd yn ei herbyn chwaith. 
ROM.4.16	Am hynny, rhoddwyd yr addewid trwy ffydd er mwyn iddi fod yn ôl gras, fel y byddai yn ddilys i bawb o ddisgynyddion Abraham, nid yn unig i'r rhai sy'n byw yn ôl y Gyfraith, ond hefyd i'r rhai sy'n byw yn ôl ffydd Abraham. Y mae Abraham yn dad i ni i gyd; 
ROM.4.17	fel y mae'n ysgrifenedig: “Yr wyf yn dy benodi yn dad cenhedloedd lawer.” Yn y Duw a ddywedodd hyn y credodd Abraham, y Duw sy'n gwneud y meirw'n fyw, ac yn galw i fod yr hyn nad yw'n bod. 
ROM.4.18	A'r credu hwn, â gobaith y tu hwnt i obaith, a'i gwnaeth yn dad cenhedloedd lawer, yn ôl yr hyn a lefarwyd: “Felly y bydd dy ddisgynyddion.” 
ROM.4.19	Er ei fod tua chant oed, ni wanychodd yn ei ffydd, wrth ystyried cyflwr marw ei gorff ei hun a marweidd-dra croth Sara. 
ROM.4.20	Nid amheuodd ddim ynglŷn ag addewid Duw, na diffygio mewn ffydd, ond yn hytrach grymusodd yn ei ffydd a rhoi gogoniant i Dduw, 
ROM.4.21	yn llawn hyder fod Duw yn abl i gyflawni'r hyn yr oedd wedi ei addo. 
ROM.4.22	Dyma pam y cyfrifwyd ei ffydd iddo yn gyfiawnder. 
ROM.4.23	Ond ysgrifennwyd y geiriau, “fe'i cyfrifwyd iddo”, nid ar gyfer Abraham yn unig, 
ROM.4.24	ond ar ein cyfer ni hefyd. Y mae cyfiawnder i'w gyfrif i ni, sydd â ffydd gennym yn yr hwn a gyfododd Iesu ein Harglwydd oddi wrth y meirw. 
ROM.4.25	Cafodd ef ei draddodi i farwolaeth am ein camweddau, a'i gyfodi i'n cyfiawnhau ni.
ROM.5.1	Am hynny, oherwydd ein bod wedi ein cyfiawnhau trwy ffydd, y mae gennym
ROM.5.2	Trwyddo ef, yn wir, cawsom ffordd, trwy ffydd, i ddod i'r gras hwn yr ydym yn sefyll ynddo. Yr ydym hefyd yn gorfoleddu
ROM.5.3	Heblaw hynny, yr ydym hyd yn oed yn gorfoleddu
ROM.5.4	ac o'r gallu i ymddál y daw rhuddin cymeriad, ac o gymeriad y daw gobaith. 
ROM.5.5	A dyma obaith na chawn ein siomi ganddo, oherwydd y mae cariad Duw wedi ei dywallt yn ein calonnau trwy'r Ysbryd Glân y mae ef wedi ei roi i ni. 
ROM.5.6	Oherwydd y mae
ROM.5.7	Go brin y bydd neb yn marw dros un cyfiawn. Efallai y ceir rhywun yn ddigon dewr i farw dros un da. 
ROM.5.8	Ond prawf Duw o'r cariad sydd ganddo tuag atom ni yw bod Crist wedi marw drosom pan oeddem yn dal yn bechaduriaid. 
ROM.5.9	A ninnau yn awr wedi ein cyfiawnhau trwy ei waed ef, y mae'n sicrach fyth y cawn ein hachub trwyddo ef rhag y digofaint. 
ROM.5.10	Oherwydd os cymodwyd ni â Duw trwy farwolaeth ei Fab pan oeddem yn elynion, y mae'n sicrach fyth, ar ôl ein cymodi, y cawn ein hachub trwy ei fywyd. 
ROM.5.11	Ond heblaw hynny, yr ydym hefyd yn gorfoleddu yn Nuw trwy ein Harglwydd Iesu Grist; trwyddo ef yr ydym yn awr wedi derbyn y cymod.
ROM.5.12	Ein dadl yw hyn. Daeth pechod i'r byd trwy un dyn, a thrwy bechod farwolaeth, ac yn y modd hwn ymledodd marwolaeth i'r ddynolryw i gyd, yn gymaint ag i bawb bechu. 
ROM.5.13	Y mae'n wir fod pechod yn y byd cyn bod y Gyfraith, ond yn niffyg cyfraith, nid yw pechod yn cael ei gyfrif. 
ROM.5.14	Er hynny, teyrnasodd marwolaeth o Adda hyd Moses, hyd yn oed ar y rhai oedd heb bechu ar batrwm trosedd Adda; ac y mae Adda yn rhaglun o'r Dyn oedd i ddod.
ROM.5.15	Ond nid yw'r weithred sy'n drosedd yn cyfateb yn hollol i'r weithred sy'n ras. Y mae'n wir i drosedd yr un ddwyn y llawer i farwolaeth; ond gymaint mwy sydd ar yr ochr arall: helaethrwydd gras Duw a'i rodd raslon i'r llawer, o'r un dyn, Iesu Grist. 
ROM.5.16	Ac ni ellir cymharu canlyniad pechod un dyn â chanlyniad rhodd Duw. Ar y naill law, yn dilyn ar un weithred o drosedd, y mae dedfryd gyfreithiol sy'n collfarnu; ar y llaw arall, yn dilyn ar droseddau lawer, y mae gweithred o ras sy'n dyfarnu'n gyfiawn. 
ROM.5.17	Y mae'n wir i farwolaeth, trwy drosedd yr un, deyrnasu trwy'r un hwnnw; ond gymaint mwy sydd ar yr ochr arall: pobl sy'n derbyn helaethrwydd gras Duw, a'i gyfiawnder yn rhodd, yn cael byw a theyrnasu trwy un dyn, Iesu Grist. 
ROM.5.18	Dyma'r gymhariaeth gan hynny: fel y daeth collfarn ar y ddynolryw i gyd trwy un weithred o drosedd, felly hefyd y daeth cyfiawnhad sy'n esgor ar fywyd i'r ddynolryw i gyd trwy un weithred o gyfiawnder. 
ROM.5.19	Fel y gwnaethpwyd y llawer yn bechaduriaid trwy anufudd-dod un dyn, felly hefyd y gwneir y llawer yn gyfiawn trwy ufudd-dod un dyn. 
ROM.5.20	Ond daeth y Gyfraith i mewn, er mwyn i drosedd amlhau; ond lle'r amlhaodd pechod, daeth gorlif helaethach o ras; 
ROM.5.21	ac felly, fel y teyrnasodd pechod trwy farwolaeth, y mae gras i deyrnasu trwy gyfiawnder, gan ddwyn bywyd tragwyddol trwy Iesu Grist ein Harglwydd.
ROM.6.1	Beth, ynteu, sydd i'w ddweud? A ydym i barhau mewn pechod, er mwyn i ras amlhau? 
ROM.6.2	Ddim ar unrhyw gyfrif! Pobl ydym a fu farw i bechod; sut y gallwn ni, mwyach, fyw ynddo? 
ROM.6.3	A ydych heb ddeall fod pawb ohonom a fedyddiwyd i Grist Iesu wedi ein bedyddio i'w farwolaeth? 
ROM.6.4	Trwy'r bedydd hwn i farwolaeth fe'n claddwyd gydag ef, fel, megis y cyfodwyd Crist oddi wrth y meirw mewn amlygiad o ogoniant y Tad, y byddai i ninnau gael byw ar wastad bywyd newydd. 
ROM.6.5	Oherwydd os daethom ni yn un ag ef trwy farwolaeth ar lun ei farwolaeth ef, fe'n ceir hefyd yn un ag ef trwy atgyfodiad ar lun ei atgyfodiad ef. 
ROM.6.6	Fe wyddom fod yr hen ddynoliaeth oedd ynom wedi ei chroeshoelio gydag ef, er mwyn dirymu'r corff pechadurus, ac i'n cadw rhag bod, mwyach, yn gaethion i bechod. 
ROM.6.7	Oherwydd y mae'r sawl sydd wedi marw wedi ei ryddhau oddi wrth bechod. 
ROM.6.8	Ac os buom ni farw gyda Christ, yr ydym yn credu y cawn fyw gydag ef hefyd, 
ROM.6.9	a ninnau'n gwybod na fydd Crist, sydd wedi ei gyfodi oddi wrth y meirw, yn marw mwyach. Collodd marwolaeth ei harglwyddiaeth arno ef. 
ROM.6.10	Yn gymaint ag iddo farw, i bechod y bu farw, un waith am byth; yn gymaint â'i fod yn fyw, i Dduw y mae'n byw. 
ROM.6.11	Felly, yr ydych chwithau i'ch cyfrif eich hunain fel rhai sy'n farw i bechod, ond sy'n fyw i Dduw, yng Nghrist Iesu.
ROM.6.12	Felly, nid yw pechod i deyrnasu yn eich corff marwol a'ch gorfodi i ufuddhau i'w chwantau. 
ROM.6.13	Peidiwch ag ildio eich cyneddfau corfforol i bechod, i'w defnyddio i amcanion drwg. Yn hytrach, ildiwch eich hunain i Dduw, yn rhai byw o blith y meirw, ac ildiwch eich cyneddfau iddo, i'w defnyddio i amcanion da. 
ROM.6.14	Ni chaiff pechod arglwyddiaethu arnoch, oherwydd nid ydych mwyach dan deyrnasiad cyfraith, ond dan deyrnasiad gras.
ROM.6.15	Ond beth sy'n dilyn? A ydym i ymroi i bechu, am nad ydym dan deyrnasiad cyfraith, ond dan deyrnasiad gras? Ddim ar unrhyw gyfrif! 
ROM.6.16	Onid ydych yn gwybod, os ydych yn eich ildio eich hunain ag ufudd-dod caethwas i rywun, mai caethion ydych i'r sawl sy'n cael eich ufudd-dod; p'run bynnag a ydych yn gaethion i bechod, a marwolaeth yn dilyn, neu'n gaethion i ufudd-dod, a chyfiawnder yn dilyn? 
ROM.6.17	Ond, diolch i Dduw, yr ydych chwi, a fu'n gaethion i bechod, yn awr wedi rhoi ufudd-dod calon i'r patrwm hwnnw o athrawiaeth y traddodwyd chwi iddo. 
ROM.6.18	Cawsoch eich rhyddhau oddi wrth bechod, ac aethoch yn gaethion i gyfiawnder. 
ROM.6.19	Yr wyf yn arfer ymadroddion cyfarwydd, o achos eich cyfyngiadau dynol chwi. Fel yr ildiasoch eich cyneddfau corfforol gynt i fod yn gaethion i aflendid ac anghyfraith, a phenrhyddid yn dilyn, felly ildiwch hwy yn awr i fod yn gaethion i gyfiawnder, a bywyd sanctaidd yn dilyn. 
ROM.6.20	Pan oeddech yn gaeth i bechod, yr oeddech yn rhydd oddi wrth gyfiawnder. 
ROM.6.21	Ond beth oedd ffrwyth y cyfnod hwnnw? Onid pethau sy'n codi cywilydd arnoch yn awr? Oherwydd diwedd y pethau hyn yw marwolaeth. 
ROM.6.22	Ond yn awr yr ydych wedi eich rhyddhau oddi wrth bechod, a'ch gwneud yn gaethion i Dduw, ac y mae ffrwyth hyn yn eich meddiant, sef bywyd sanctaidd, a'r diwedd fydd bywyd tragwyddol. 
ROM.6.23	Y mae pechod yn talu cyflog, sef marwolaeth; ond rhoi yn rhad y mae Duw, rhoi bywyd tragwyddol yng Nghrist Iesu ein Harglwydd.
ROM.7.1	A ydych heb wybod, gyfeillion,—ac yr wyf yn siarad â rhai sy'n gwybod y Gyfraith—fod gan gyfraith awdurdod dros rywun cyhyd ag y bydd yn fyw? 
ROM.7.2	Er enghraifft, y mae gwraig briod wedi ei rhwymo gan y gyfraith wrth ei gŵr tra bydd ef yn fyw. Ond os bydd y gŵr farw, y mae hi wedi ei rhyddhau o'i rhwymau cyfreithiol wrtho. 
ROM.7.3	Felly, os bydd iddi, yn ystod bywyd ei gŵr, ddod yn eiddo i ddyn arall, godinebwraig fydd yr enw arni. Ond os bydd y gŵr farw, y mae hi'n rhydd o'r gyfraith hon, ac ni bydd yn odinebwraig wrth ddod yn eiddo i ddyn arall. 
ROM.7.4	Ac felly, fy nghyfeillion, yr ydych chwi hefyd, trwy gorff Crist, wedi eich gwneud yn farw mewn perthynas â'r Gyfraith, er mwyn i chwi ddod yn eiddo i rywun arall, sef yr un a gyfodwyd oddi wrth y meirw, er mwyn i ni ddwyn ffrwyth i Dduw. 
ROM.7.5	Pan oeddem yn byw ym myd y cnawd, yr oedd y nwydau pechadurus, a ysgogir gan y Gyfraith, ar waith yn ein cyneddfau corfforol, yn peri i ni ddwyn ffrwyth i farwolaeth. 
ROM.7.6	Ond yn awr, gan ein bod wedi marw i'r Gyfraith oedd yn ein dal yn gaeth, fe'n rhyddhawyd o'i rhwymau, i wasanaethu ein Meistr yn ffordd newydd yr Ysbryd, ac nid yn hen ffordd cyfraith ysgrifenedig.
ROM.7.7	Beth, ynteu, sydd i'w ddweud? Mai pechod yw'r Gyfraith? Ddim ar unrhyw gyfrif! I'r gwrthwyneb, ni buaswn wedi gwybod beth yw pechod ond trwy'r Gyfraith, ac ni buaswn yn gwybod beth yw chwant, oni bai fod y Gyfraith yn dweud, “Na chwennych.” 
ROM.7.8	A thrwy'r gorchymyn hwn cafodd pechod ei gyfle, a chyffroi ynof bob math o chwantau drwg. 
ROM.7.9	Oherwydd, heb gyfraith, peth marw yw pechod. Yr oeddwn i'n fyw, un adeg, heb gyfraith; 
ROM.7.10	yna daeth y gorchymyn, a daeth pechod yn fyw, a bûm innau farw. Y canlyniad i mi oedd i'r union orchymyn a fwriadwyd yn gyfrwng bywyd droi yn gyfrwng marwolaeth. 
ROM.7.11	Oherwydd trwy'r gorchymyn cafodd pechod ei gyfle, twyllodd fi, a thrwy'r gorchymyn fe'm lladdodd. 
ROM.7.12	Gan hynny, y mae'r Gyfraith yn sanctaidd, a'r gorchymyn yn sanctaidd a chyfiawn a da.
