GEN.1.1	Pradžioje Dievas sutvėrė dangų ir žemę.
ACT.9.27	Bet Barnabas, pasiėmęs jį, nusivedė pas apaštalus ir jiems papasakojo, kaip kelionėje Saulius regėjęs Viešpatį ir šis kalbėjęs su juo, ir kaip Damaske jis drąsiai pamokslavęs Jėzaus vardu.
ACT.9.28	Taip jis liko su jais Jeruzalėje ir drąsiai kalbėjo Viešpaties Jėzaus vardu.
ACT.9.29	Jis kalbėdavosi ir ginčydavosi su helenistais, o tie kėsinosi jį nužudyti.
ACT.9.30	Tai sužinoję, broliai jį nugabeno į Cezarėją ir iš ten išsiuntė į Tarsą.
ACT.9.31	Tuo tarpu bažnyčios visoje Judėjoje, Galilėjoje ir Samarijoje džiaugėsi ramybe, statydinosi ir augo, gyvendamos su Viešpaties baime ir guodžiamos Šventosios Dvasios.
ACT.9.32	Kartą Petras, lankydamas jas visas, atėjo pas šventuosius, gyvenančius Lydoje.
ACT.9.33	Ten jis užtiko žmogų, vardu Enėją, kuris paralyžiuotas jau aštuoneri metai gulėjo patale.
ACT.9.34	Petras jam tarė: „Enėjau, Jėzus Kristus išgydo tave. Kelkis ir užklok savo patalą!“ Šis bematant atsikėlė.
ACT.9.35	Visi Lydos ir Sarono gyventojai pamatė jį ir atsivertė į Viešpatį.
ACT.9.36	Jopėje gyveno viena mokinė, vardu Tabita, išvertus Dorkadė. Ji garsėjo gerais darbais ir gailestingumo aukomis.
ACT.9.37	Tomis dienomis ji susirgo ir mirė. Ją nuprausė ir paguldė aukštutiniame kambaryje.
ACT.9.38	Kadangi Lyda netoli Jopės, mokiniai, išgirdę ten esant Petrą, pasiuntė pas jį du vyrus, prašydami, kad jis nedelsdamas pas juos atvyktų.
ACT.9.39	Petras pakilęs iškeliavo su jais. Kai tik atėjo, jį nuvedė į aukštutinį kambarį. Ten jį apstojo visos našlės, verkdamos ir rodydamos jam tunikas bei viršutinius drabužius, kuriuos, tebegyvendama su jomis, buvo pasiuvusi Dorkadė.
ACT.9.40	Petras liepė visiems išeiti. Atsiklaupęs pasimeldė ir, atsisukęs į lavoną, tarė: „Tabita, kelkis!“ Ši atmerkė akis ir, išvydusi Petrą, atsisėdo.
ACT.9.41	Jis ištiesė jai ranką ir ją pakėlė. Tada, pašaukęs vidun šventuosius ir našles, parodė jiems ją gyvą.
ACT.9.42	Žinia apie tai pasklido visoje Jopėje, ir daugelis įtikėjo Viešpatį.
ACT.9.43	Jis dar ilgesnį laiką pasiliko Jopėje pas vieną odininką, vardu Simoną.
ACT.10.1	Cezarėjoje gyveno vyras, vardu Kornelijus, vadinamosios italų kohortos šimtininkas.
ACT.10.2	Jis buvo dievotas ir drauge su savo namiškiais bijojo Dievo, gausiai šelpdavo žmones ir nuolat melsdavosi Dievui.
ACT.10.3	Kartą, apie devintą valandą, jis regėjime aiškiai išvydo pas jį ateinantį Dievo angelą, kuris jam tarė: „Kornelijau!“
ACT.10.4	Tas, pažvelgęs į jį, išsigando ir paklausė: „Kas yra, viešpatie?“ Šis jam atsakė: „Tavo maldos ir gailestingumo aukos pakilo Dievo akivaizdon, ir Jis tave prisiminė.
ACT.10.5	Dabar siųsk vyrus į Jopę ir pasikviesk Simoną, vadinamą Petru.
ACT.10.6	Jis svečiuojasi pas vieną odininką, Simoną, kurio namai stovi prie jūros. Petras pasakys tau, ką turi daryti“.
ACT.10.7	Kai su juo kalbėjęs angelas pasitraukė, Kornelijus pasišaukė du tarnus ir vieną pamaldų kareivį iš nuolat šalia esančių valdinių
ACT.10.8	ir, viską jiems išaiškinęs, išsiuntė į Jopę.
ACT.10.9	Rytojaus dieną, kai šitie keliaudami artinosi prie miesto, Petras užlipo ant plokščiastogio melstis. Buvo apie šeštą valandą.
ACT.10.10	Jis pasijuto labai išalkęs ir norėjo užkąsti. Kol jam ruošė valgį, jį ištiko dvasios pagava.
ACT.10.11	Jis išvydo atsivėrusį dangų, iš kurio jam leidosi žemyn kažkoks padėklas, lyg didelė marška, pririšta už keturių kampų ir nuleidžiama žemėn.
ACT.10.12	Jame buvo įvairiausių žemės keturkojų, laukinių žvėrių, roplių ir padangės paukščių.
ACT.10.13	Ir jam pasigirdo balsas: „Kelkis, Petrai, pjauk ir valgyk!“
ACT.10.14	Bet Petras atsakė: „Jokiu būdu, Viešpatie! Aš niekuomet nesu valgęs nieko sutepto ar nešvaraus“.
ACT.10.15	Balsas antrą kartą tarė: „Ką Dievas apvalė, tu nevadink suteptu!“
ACT.10.16	Taip pasikartojo tris kartus, ir tuojau padėklas vėl pakilo į dangų.
ACT.10.17	Petrui tebesvarstant, ką galėtų reikšti matytas regėjimas, štai Kornelijaus pasiuntiniai, išklausinėję, kur Simono namai, sustojo prie vartų.
ACT.10.18	Jie sušukę paklausė: „Ar čia vieši Simonas, vadinamas Petru?“
ACT.10.19	Petrui, vis tebemąstančiam apie regėjimą, Dvasia tarė: „Štai trys vyrai ieško tavęs.
ACT.10.20	Kelkis, lipk žemyn ir keliauk su jais nė kiek nedvejodamas, nes Aš juos atsiunčiau“.
ACT.10.21	Taigi Petras nulipo žemyn pas Kornelijaus siųstus vyrus ir tarė: „Štai aš, kurio ieškote. Su kokiu reikalu atėjote?“
ACT.10.22	Tie atsakė: „Šimtininkas Kornelijus, teisus ir dievobaimingas vyras, turintis gerą vardą visoje žydų tautoje, gavo iš šventojo angelo nurodymą pakviesti tave į savo namus ir išklausyti tavo žodžių“.
ACT.10.23	Tada Petras paprašė juos į vidų ir svetingai priėmė. Kitą rytą iškeliavo su jais. Jį lydėjo keli broliai iš Jopės.
ACT.10.24	Rytojaus dieną jie atvyko į Cezarėją. Kornelijus jų laukė, susikvietęs savo gimines ir artimiausius draugus.
ACT.10.25	Įeinantį Petrą Kornelijus pasitiko ir, puldamas po kojų, išreiškė jam pagarbą.
ACT.10.26	Bet Petras pakėlė Kornelijų, tardamas: „Kelkis! Juk ir aš esu žmogus!“
ACT.10.27	Paskui, kalbėdamasis su juo, įėjo vidun ir, radęs daug susirinkusių,
ACT.10.28	prabilo: „Jūs žinote, kad žydui nevalia bendrauti ar užeiti pas svetimtautį. Bet Dievas parodė man, jog negalima jokio žmogaus laikyti suteptu ar netyru.
ACT.10.29	Štai kodėl pakviestas aš nesipriešindamas atvykau. Taigi klausiu dabar, kokiu reikalu mane pakvietėte?“
ACT.10.30	Kornelijus atsakė: „Kaip tik dabar sukanka lygiai keturios dienos, kai aš savo namuose pasninkavau ir meldžiausi devintą valandą. Ir štai prieš mane stojo spindinčiais drabužiais vyras
ACT.10.31	ir prabilo: ‘Kornelijau, tavo maldos išklausytos, ir Dievas prisiminė tavo gailestingumo aukas.
ACT.10.32	Tad siųsk pasiuntinius į Jopę ir pasikviesk Simoną, vadinamą Petru. Jis yra apsistojęs odininko Simono namuose prie jūros. Atėjęs jis tau viską pasakys’.
ACT.10.33	Taigi aš iš karto pasiunčiau pas tave, o tu gerai padarei, čia atvykdamas. Dabar mes visi esame susirinkę Dievo akivaizdoje, kad išgirstume visa, ką Dievas tau pavedė“.
ACT.10.34	Tada, atvėręs lūpas, Petras pasakė: „Iš tiesų dabar suprantu, kad Dievas neatsižvelgia į asmenis.
ACT.10.35	Jam priimtinas kiekvienos tautos žmogus, kuris Jo bijo ir teisiai gyvena.
ACT.10.36	Jis pasiuntė savo žodį Izraelio vaikams ir per Jėzų Kristų paskelbė taikos Evangeliją. Jis yra visų Viešpats.
ACT.10.37	Jūs žinote, kas yra įvykę visoje Judėjoje, pradedant nuo Galilėjos, po Jono skelbtojo krikšto, –
ACT.10.38	kaip Dievas patepė Šventąja Dvasia ir jėga Jėzų iš Nazareto, ir Jis vaikščiojo, darydamas gera ir gydydamas visus velnio pavergtuosius, nes Dievas buvo su Juo.
ACT.10.39	Mes esame liudytojai visko, ką Jis yra padaręs žydų šalyje ir Jeruzalėje. Jį nužudė, pakabindami ant medžio.
ACT.10.40	Tačiau trečią dieną Dievas Jį prikėlė ir leido Jam pasirodyti,
ACT.10.41	beje, ne visai tautai, o Dievo iš anksto išrinktiems liudytojams, būtent mums, kurie su Juo valgėme ir gėrėme, Jam prisikėlus iš numirusių.
ACT.10.42	Jis mums įsakė skelbti žmonėms ir liudyti, kad Jis yra Dievo paskirtasis gyvųjų ir mirusiųjų teisėjas.
ACT.10.43	Apie Jį visi pranašai liudija, kad kiekvienas, kuris Jį tiki, gauna Jo vardu nuodėmių atleidimą“.
ACT.10.44	Petrui dar tebekalbant šiuos dalykus, Šventoji Dvasia nužengė ant visų, kurie klausėsi žodžio.
ACT.10.45	Su Petru atvykę žydų kilmės tikintieji labai stebėjosi, kad ir pagonims buvo išlieta Šventosios Dvasios dovana.
ACT.10.46	Jie girdėjo juos kalbant kalbomis ir aukštinant Dievą.
ACT.10.47	Tuomet Petras tarė: „Ar kas galėtų uždrausti pasikrikštyti jiems vandeniu – šiems, kurie, kaip ir mes, gavo Šventąją Dvasią?“
ACT.10.48	Ir jis liepė juos pakrikštyti Viešpaties vardu. Po to jie prašė jį pasilikti dar kelias dienas.
ACT.11.1	Apaštalai ir broliai, kurie buvo Judėjoje, išgirdo, kad ir pagonys priėmė Dievo žodį.
ACT.11.2	Todėl, kai Petras atvyko į Jeruzalę, žydų kilmės tikintieji ėmė ginčytis su juo, sakydami:
ACT.11.3	„Tu nuėjai pas neapipjaustytus vyrus ir su jais valgei!“
ACT.11.4	Tada Petras pradėjo jiems iš eilės aiškinti:
ACT.11.5	„Aš kartą meldžiausi Jopės mieste ir Dvasios pagavoje mačiau regėjimą. Kažkoks indas, tarsi didžiulė marška, už keturių kampų leidžiama iš dangaus, nusileido prie manęs.
ACT.11.6	Atidžiai įsižiūrėjęs, pamačiau jame keturkojų žemės gyvių, laukinių žvėrių, roplių ir padangės paukščių.
ACT.11.7	Ir išgirdau balsą, kuris man sakė: ‘Kelkis, Petrai, pjauk ir valgyk!’
ACT.11.8	Aš atsakiau: ‘Jokiu būdu, Viešpatie! Dar niekada suteptas ir nešvarus maistas nebuvo mano burnoje’.
ACT.11.9	Bet balsas iš dangaus prabilo antrą kartą: ‘Ką Dievas apvalė, tu nevadink suteptu!’
ACT.11.10	Taip atsitiko tris kartus, ir vėl viskas pakilo į dangų.
ACT.11.11	Ir štai prie namų, kuriuose aš buvau, tuojau atėjo trys vyrai. Jie buvo siųsti pas mane iš Cezarėjos.
ACT.11.12	Dvasia man pasakė nė kiek nedvejojant keliauti su jais. Su manimi ėjo ir šitie šeši broliai, ir mes kartu atvykome į vieno vyro namus.
ACT.11.13	Jis mums papasakojo savo namuose regėjęs stovintį angelą, kuris jam liepė: ‘Nusiųsk į Jopę žmones ir pasikviesk Simoną, vadinamą Petru.
ACT.11.14	Jis pasakys tau žodžius, kuriais išsigelbėsi tu ir visi tavo namai’.
ACT.11.15	Kai pradėjau kalbėti, Šventoji Dvasia nužengė ant jų, kaip ir pradžioje ant mūsų.
ACT.11.16	Tada prisiminiau Viešpaties žodžius: ‘Jonas krikštijo vandeniu, o jūs būsite pakrikštyti Šventąja Dvasia’.
ACT.11.17	Jeigu tad Dievas suteikė jiems tokią pačią dovaną, kaip ir mums, įtikėjusiems Viešpatį Jėzų Kristų, tai kas gi aš toks, kad galėčiau trukdyti Dievui?!“
ACT.11.18	Tai išgirdę, jie nusiramino ir šlovino Dievą, sakydami: „Vadinasi, Dievas ir pagonims suteikė atgailą, kad jie gyventų“.
ACT.11.19	Išblaškytieji persekiojimo, kuris buvo kilęs dėl Stepono, nukeliavo į Finikiją, Kiprą ir Antiochiją. Jie pamokslavo žodį vien tik žydams.
ACT.11.20	Kai kurie iš jų, būtent kipriečiai ir kirėniečiai, atvykę į Antiochiją, kreipėsi ir į graikus, skelbdami Viešpatį Jėzų.
ACT.11.21	Viešpaties ranka buvo su jais: didelis žmonių skaičius įtikėjo ir atsivertė į Viešpatį.
ACT.11.22	Žinia apie juos pasiekė Jeruzalės bažnyčios ausis, ir ji išsiuntė Barnabą į Antiochiją.
ACT.11.23	Atvykęs ir pamatęs Dievo malonę, jis apsidžiaugė ir visus ragino ryžtinga širdimi pasilikti su Viešpačiu.
ACT.11.24	Mat jis buvo geras vyras, pilnas Šventosios Dvasios ir tikėjimo. Ir Viešpačiui prisidėjo didelis būrys.
ACT.11.25	Tada Barnabas nukeliavo į Tarsą ieškoti Sauliaus
ACT.11.26	ir, radęs jį, atsivedė į Antiochiją. Jiedu ištisus metus darbavosi bažnyčioje ir mokė gausų būrį. Antiochijoje pirmą kartą imta vadinti mokinius „krikščionimis“.
ACT.11.27	Tomis dienomis iš Jeruzalės į Antiochiją atvyko pranašų.
ACT.11.28	Vienas iš jų, vardu Agabas, Dvasios įkvėptas, išpranašavo didelį badą, kuris ištiksiąs visą pasaulį. Ir badas atėjo, Klaudijui valdant.
ACT.11.29	Tada mokiniai, kiekvienas pagal savo išteklius, nusprendė nusiųsti paramą Jeruzalės broliams.
ACT.11.30	Jie taip ir padarė, per Barnabą bei Saulių nusiųsdami tai vyresniesiems.
ACT.12.1	Tuo metu karalius Erodas pakėlė ranką prieš kai kuriuos bažnyčios žmones.
ACT.12.2	Jis nukirsdino kalaviju Jokūbą, Jono brolį.
ACT.12.3	Pamatęs, kad tai patinka žydams, įsakė suimti ir Petrą. Buvo Neraugintos duonos dienos.
ACT.12.4	Suėmęs jį, įmesdino į kalėjimą ir pavedė saugoti keturgubai sargybai po keturis kareivius, o po Paschos ketino išvesti jį prieš minią.
ACT.12.5	Taigi Petras buvo uždarytas kalėjime. O bažnyčia nepaliaujamai meldėsi už jį Dievui.
ACT.12.6	Paskutinę naktį prieš Erodui išvedant Petrą, tas, supančiotas dviem grandinėmis, miegojo tarp dviejų kareivių. Prie durų kalėjimą saugojo sargybiniai.
ACT.12.7	Ir štai ten atsirado Viešpaties angelas, ir kamerą nutvieskė šviesa. Jis sudavė Petrui į šoną ir žadindamas tarė: „Kelkis greičiau!“ Ir nukrito jam grandinės nuo rankų.
ACT.12.8	Angelas kalbėjo toliau: „Susijuosk ir apsiauk sandalus!“ Jis taip ir padarė. Angelas tęsė: „Užsimesk apsiaustą ir eik paskui mane!“
ACT.12.9	Petras išėjo ir sekė paskui jį, nesuvokdamas, kad angelo veiksmai tikri, nes jis tarėsi matąs regėjimą.
ACT.12.10	Praėję pro pirmą ir antrą sargybą, jie prisiartino prie geležinių vartų į miestą, kurie savaime atsidarė. Išėję pro juos, jie leidosi tolyn viena gatve. Staiga šalia ėjęs angelas nuo jo pasitraukė.
ACT.12.11	Petras atsipeikėjęs tarė: „Dabar tikrai žinau, kad Viešpats atsiuntė savo angelą ir išvadavo mane iš Erodo rankų ir nuo viso to, ko tikėjosi žydų minia“.
ACT.12.12	Tai supratęs, jis atėjo prie Morkumi vadinamo Jono motinos Marijos namų, kuriuose daug susirinkusiųjų meldėsi.
ACT.12.13	Petrui beldžiantis į vartų duris, tarnaitė, vardu Rodė, atėjo paklausti, kas ten.
ACT.12.14	Pažinusi Petro balsą, ji iš džiaugsmo pamiršo atidaryti vartus, bet nubėgo vidun ir pranešė, jog Petras stovįs už vartų.
ACT.12.15	Jie jai sakė: „Tu pakvaišai!“ Bet ji tvirtino savo. Tada jie tarė: „Tai jo angelas“.
ACT.12.16	Tuo tarpu Petras toliau beldė. Atidarę jie pamatė Petrą ir nustėro.
ACT.12.17	Ranka davęs ženklą laikytis tyliai, jis jiems papasakojo, kaip Viešpats išvedė jį iš kalėjimo. Jis dar pridūrė: „Praneškite apie tai Jokūbui ir kitiems broliams“. Ir išėjęs jis nuėjo į kitą vietą.
ACT.12.18	Išaušus dienai tarp kareivių kilo nemenkas sąmyšis dėl to, kas galėję nutikti Petrui.
ACT.12.19	Erodas, paieškojęs jo ir neradęs, ištardė sargybinius ir įsakė nubausti juos mirtimi. Po to iš Judėjos nuvyko į Cezarėją ir ten pasiliko.
ACT.12.20	Erodas nirto ant Tyro ir Sidono gyventojų. Bet jie susitarę atvyko pas jį ir, palenkę savo pusėn karaliaus rūmininką Blastą, prašė taikos, nes jų kraštas maitinosi iš karaliaus.
ACT.12.21	Nustatytą dieną Erodas, apsivilkęs karališkais drabužiais, atsisėdo į sostą ir sakė jiems prakalbą.
ACT.12.22	Liaudis ėmė šaukti: „Tai dievo, ne žmogaus balsas!“
ACT.12.23	Ir beregint jį ištiko Viešpaties angelas, kad neatidavė Dievui garbės. Ir jis mirė, kirminų suėstas.
ACT.12.24	O Viešpaties žodis augo ir plito.
ACT.12.25	Barnabas ir Saulius, atlikę savo uždavinį ir paėmę su savimi Joną, vadinamą Morkumi, sugrįžo iš Jeruzalės.
ACT.13.1	Antiochijos bažnyčioje buvo pranašų ir mokytojų: Barnabas, Simeonas, pravarde Juodasis, Liucijus Kirėnietis, Manaenas, augęs kartu su tetrarchu Erodu, ir Saulius.
ACT.13.2	Kartą, kai jie tarnavo Viešpačiui ir pasninkavo, Šventoji Dvasia pasakė: „Išskirkite man Barnabą ir Saulių darbui, kuriam Aš juos pašaukiau“.
ACT.13.3	Tuomet jie pasninkavo ir meldėsi, ir, uždėję ant jų rankas, išleido.
ACT.13.4	Šventosios Dvasios pasiųsti, jie nukeliavo į Seleukiją, o iš ten laivu pasiekė Kiprą.
ACT.13.5	Atvykę į Salaminą, jie pamokslavo Dievo žodį žydų sinagogose. Jiems talkino Jonas.
ACT.13.6	Perėję visą salą iki Pafo, jie susitiko vieną magą, netikrą pranašą žydą, vardu Barjėzų,
ACT.13.7	kuris buvo su prokonsulu Sergijumi Pauliumi, išmintingu vyru. Šis, pasikvietęs Barnabą ir Saulių, norėjo pasiklausyti Dievo žodžio.
ACT.13.8	Bet Elimas – magas (toks šito žodžio vertimas) – jiems priešinosi, stengdamasis atitraukti prokonsulą nuo tikėjimo.
ACT.13.9	Tada Saulius, kitaip vadinamas Pauliumi, Šventosios Dvasios kupinas, įdėmiai pažvelgė į jį
ACT.13.10	ir tarė: „Ak tu, visokių klastų bei piktybių pilnas velnio vaike! Tu, teisumo prieše! Ar nesiliausi kraipęs tiesių Viešpaties kelių?
ACT.13.11	Dabar štai tave ištiks Viešpaties ranka: tu tapsi aklas ir kurį laiką neregėsi saulės“. Ir tučtuojau užgulė jį migla ir tamsa, ir jis ėmė graibytis aplink, ieškodamas, kas jam ištiestų ranką.
ACT.13.12	Tai pamatęs, prokonsulas įtikėjo, apstulbintas Viešpaties mokslo.
ACT.13.13	Išplaukę iš Pafo, Paulius ir jo palydovai atvyko į Pergę, Pamfilijoje. Čia Jonas pasitraukė nuo jų ir sugrįžo į Jeruzalę.
ACT.13.14	O jie, išvykę iš Pergės, atkeliavo į Pisidijos Antiochiją. Sabato dieną nuėjo į sinagogą ir ten susėdo.
ACT.13.15	Po Įstatymo ir Pranašų skaitymo sinagogos vadovai kreipėsi į juos: „Vyrai broliai, jei turite paskatinimo žodį tautiečiams, tarkite!“
ACT.13.16	Tada Paulius atsistojo ir, davęs ranka ženklą nutilti, prabilo: „Izraelio vyrai ir Dievo bijantys žmonės, paklausykite!
ACT.13.17	Šios Izraelio tautos Dievas išsirinko mūsų tėvus, išaukštino juos, gyvenančius kaip ateivius Egipto šalyje, ir iškelta ranka išvedė juos iš Egipto.
ACT.13.18	Apie keturiasdešimt metų Jis pakentė jų elgesį dykumoje,
ACT.13.19	paskui, išnaikinęs septynias tautas Kanaane, išdalino jiems anų žemę.
ACT.13.20	Po to per keturis šimtus penkiasdešimt metų davė teisėjus iki pranašo Samuelio.
ACT.13.21	Tuo laiku jie ėmė prašyti karaliaus, ir Dievas jiems davė Saulių, Kišo sūnų, Benjamino giminės vyrą, keturiasdešimčiai metų.
ACT.13.22	Pašalinęs jį, Jis pakėlė jiems karaliumi Dovydą, apie kurį liudydamas pasakė: ‘Radau Dovydą, Jesės sūnų, vyrą pagal savo širdį, kuris įvykdys visus mano norus’.
ACT.13.23	Iš jo palikuonių, kaip buvo žadėjęs, Dievas iškėlė Izraeliui Gelbėtoją Jėzų.
ACT.13.24	Prieš Jam ateinant, Jonas skelbė atgailos krikštą visai Izraelio tautai.
ACT.13.25	Baigdamas gyvenimo kelią, Jonas pasakė: ‘Kuo jūs mane laikote? Aš nesu Jis. Bet štai po manęs ateina Tas, kuriam aš nevertas atrišti kojų apavo’.
ACT.13.26	Vyrai broliai, Abraomo giminės sūnūs ir čia esantys Dievo bijantys žmonės! Tai jums atsiųstas šis išgelbėjimo žodis.
ACT.13.27	Nes Jeruzalės gyventojai ir jų vyresnieji nepažino Jo ir pasmerkdami įvykdė pranašų žodžius, skaitomus kiekvieną sabatą.
ACT.13.28	Nors nerado Jame jokios mirties vertos kaltės, jie reikalavo iš Piloto, kad Jis būtų nužudytas.
ACT.13.29	Išpildę visa, kas buvo apie Jį parašyta, nuėmė Jį nuo medžio ir paguldė į kapą.
ACT.13.30	Bet Dievas Jį prikėlė iš numirusių.
ACT.13.31	Jis per daugelį dienų rodėsi tiems, kurie buvo su Juo atėję iš Galilėjos į Jeruzalę. Jie yra Jo liudytojai žmonėms.
ACT.13.32	Ir mes jums skelbiame Gerąją naujieną: tėvams duotąjį pažadą
ACT.13.33	Dievas įvykdė mums, jų vaikams, prikeldamas Jėzų, kaip ir parašyta antroje psalmėje: ‘Tu esi mano Sūnus, šiandien Aš pagimdžiau Tave!’
ACT.13.34	O kad Jį prikėlė iš numirusių ir kad Jis neturėjo supūti, Dievas buvo taip nusakęs: ‘Aš ištesėsiu šventus bei tikrus pažadus Dovydui’.
ACT.13.35	Todėl ir kitoje vietoje sakoma: ‘Tu neleisi savo Šventajam matyti supuvimo’.
ACT.13.36	Juk Dovydas, patarnavęs savajai kartai pagal Dievo valią, užmigo, buvo palaidotas prie savo tėvų ir supuvo.
ACT.13.37	O Tas, kurį Dievas prikėlė, nesupuvo.
ACT.13.38	Taigi tebūnie jums žinoma, vyrai broliai, kad per Jį jums skelbiamas nuodėmių atleidimas.
ACT.13.39	Ir kiekvienas, kuris tiki, išteisinamas Juo nuo viso to, nuo ko nepajėgė jūsų išteisinti Mozės Įstatymas.
ACT.13.40	Tad saugokitės, kad jums nepritaptų, kas pasakyta Pranašuose:
ACT.13.41	‘Žiūrėkite, niekintojai, stebėkitės ir pranykite! Nes Aš darau darbą jūsų dienomis, darbą, kuriuo nepatikėsite, jei kas jums pasakos’ „.
ACT.13.42	Žydams išeinant iš sinagogos, pagonys prašė, kad ir kitą sabatą būtų kalbama apie tuos dalykus.
ACT.13.43	Sinagogos susirinkimui pasibaigus, daugelis žydų ir pamaldžių prozelitų sekė Paulių ir Barnabą, kurie, kalbėdami jiems, įtikinėjo pasilikti Dievo malonėje.
ACT.13.44	Kitą sabatą beveik visas miestas susirinko pasiklausyti Dievo žodžio.
ACT.13.45	Išvydusius tokias minias žydus apėmė pavydas, ir jie piktžodžiaudami ėmė prieštarauti tam, ką kalbėjo Paulius.
ACT.13.46	Bet Paulius ir Barnabas drąsiai pasakė: „Pirmiausia jums turėjo būti skelbiamas Dievo žodis. Bet kadangi jūs Jį atmetate ir patys laikote save nevertais amžinojo gyvenimo, tai štai mes kreipiamės į pagonis.
ACT.13.47	Nes taip mums liepė Viešpats: ‘Paskyriau Tave, kad būtum šviesa pagonims, kad būtumei išgelbėjimu iki pat žemės pakraščių’ „.
ACT.13.48	Tai girdėdami, pagonys džiaugėsi ir šlovino Viešpaties žodį; ir įtikėjo visi skirtieji amžinajam gyvenimui.
ACT.13.49	Ir Viešpaties žodis pasklido po visą kraštą.
ACT.13.50	Bet žydai, sukurstę pamaldžias bei gerbiamas moteris ir įtakingus miesto piliečius, sukėlė Pauliaus ir Barnabo persekiojimą ir išvijo juos iš savo žemių.
ACT.13.51	O tie, nusikratę prieš juos nuo kojų dulkes, atvyko į Ikonijų.
ACT.13.52	Mokiniai buvo pilni džiaugsmo ir Šventosios Dvasios.
ACT.14.1	Taip pat atsitiko ir Ikonijuje: jie nuėjo į žydų sinagogą ir kalbėjo taip, kad įtikėjo didelė minia žydų ir graikų.
ACT.14.2	Bet tikėjimui nepaklusę žydai sukurstė pagonis prieš brolius.
ACT.14.3	Tačiau jie ten išbuvo daug laiko ir drąsiai kalbėjo Viešpatyje, kuris liudijo savo malonės žodžius ir per jų rankas darė ženklus ir stebuklus.
ACT.14.4	Miesto gyventojai suskilo: vieni buvo už žydus, kiti už apaštalus.
ACT.14.5	Kai pagonys ir žydai su savo vyresnybe susiruošė juos išniekinti ir užmėtyti akmenimis,
ACT.14.6	jie sužinoję pabėgo į Likaonijos miestus Listrą ir Derbę bei jų apylinkes.
ACT.14.7	Ten jie skelbė Evangeliją.
ACT.14.8	Listroje gyveno vienas vyras nesveikomis kojomis. Jis buvo luošas nuo pat gimimo, niekada nė žingsnio nežengęs.
ACT.14.9	Jis klausėsi Pauliaus kalbant, o šis įdėmiai pažvelgė į jį ir, pamatęs jį turint tikėjimą, kad būtų pagydytas,
ACT.14.10	garsiu balsu pasakė: „Atsistok tiesiai ant savo kojų!“ Tas pašoko ir ėmė vaikščioti.
ACT.14.11	Minia, pamačiusi, ką Paulius padarė, pradėjo garsiai likaoniškai šaukti: „Dievai, pasivertę žmonėmis, nužengė pas mus!“
ACT.14.12	Barnabą jie vadino Dzeusu, o Paulių – Hermiu, nes jis vadovavo kalbai.
ACT.14.13	Priešais jų miestą esančios Dzeuso šventyklos kunigas atvarė prie vartų jaučių su vainikais ir norėjo kartu su minia juos paaukoti.
ACT.14.14	Sužinoję apaštalai Barnabas ir Paulius perplėšė savo drabužius ir puolė į minią,
ACT.14.15	šaukdami: „Vyrai, ką darote?! Juk mes tokie patys žmonės kaip ir jūs. Ir mes jums skelbiame Gerąją naujieną, kad nuo šių tuštybių atsiverstumėte į gyvąjį Dievą, ‘kuris sutvėrė dangų ir žemę, jūrą ir visa, kas juose yra’.
ACT.14.16	Praėjusiais amžiais Jis leido eiti visoms tautoms savais keliais.
ACT.14.17	Tačiau Jis nepaliko savęs nepaliudyto, darydamas gera, duodamas mums lietaus iš dangaus ir vaisingų metų, pripildydamas mūsų širdis maisto ir džiaugsmo“.
ACT.14.18	Tai dėstydami, jiedu šiaip ne taip sulaikė minią, kad jiems neaukotų.
ACT.14.19	Bet iš Antiochijos ir Ikonijaus atvyko žydai ir, perkalbėję žmones, užmėtė Paulių akmenimis ir išvilko už miesto, palaikę jį mirusiu.
ACT.14.20	Susirinkus aplink jį mokiniams, jis atsikėlė ir parėjo į miestą. O rytojaus dieną kartu su Barnabu iškeliavo į Derbę.
ACT.14.21	Šitame mieste jie skelbė Evangeliją ir išmokė daugelį. Paskui grįžo atgal į Listrą, Ikonijų ir Antiochiją.
ACT.14.22	Ten jie stiprino mokinių sielas, ragino juos pasilikti tikėjime ir sakė: „Per daugelį išmėginimų mes turime įeiti į Dievo karalystę“.
ACT.14.23	Kiekvienoje bažnyčioje su malda ir pasninku, uždėdami rankas, jie paskyrė jiems vyresniuosius ir pavedė juos Viešpačiui, kurį šie buvo įtikėję.
ACT.14.24	Apkeliavę Pisidiją, jie atvyko į Pamfiliją.
ACT.14.25	Paskelbę žodį Pergėje, leidosi žemyn į Ataliją.
ACT.14.26	Iš ten išplaukė į Antiochiją, kur buvo pavesti Dievo malonei, kad nuveiktų darbą, kurį dabar pabaigė.
ACT.14.27	Sugrįžę jie sušaukė bažnyčią ir papasakojo, kokius darbus nuveikęs Dievas per juos ir kaip atvėręs pagonims tikėjimo vartus.
ACT.14.28	Ir jie išbuvo su mokiniais netrumpą laiką.
ACT.15.1	Kai kurie, atvykę iš Judėjos, ėmė mokyti brolius: „Jei nesiduosite apipjaustomi pagal Mozės paprotį, negalėsite būti išgelbėti“.
