GEN.1.1	Pradžioje Dievas sukūrė dangų ir žemę. 
EZK.38.7	Pasirenk ir būkite pasirengę tu ir visi tavo pulkai, sutelkti aplink tave. Būk su jais pasirengęs. 
EZK.38.8	Praeis daug dienų, kol tau bus duotas įsakymas ir metų baigmėje žygiuosi į kraštą, atgaivintą po sunaikinimo, į kraštą žmonių, surinktų iš daugelio tautų, į Izraelio kalnus, ilgą laiką buvusius tyrais, prieš žmones, surinktus iš tautų ir dabar visus gyvenančius saugiai. 
EZK.38.9	Ateisi kaip kylanti audra, kaip žemę dengiantis debesis drauge su visais savo pulkais, ir daug tautų eis kartu su tavimi’“.
EZK.38.10	Taip kalba Viešpats 
EZK.38.11	Sakysi sau: ‘Pakilsiu prieš beginklių kaimų kraštą, užpulsiu taikius ir saugiai gyvenančius žmones, visus, gyvenančius be mūro sienų, neturinčius nei velkių, nei durų’, – 
EZK.38.12	eisi imti grobio ir plėšikauti, pulti vėl atstatytų griuvėsių ir tautos, surinktos iš tautų, turtėjančios galvijais ir gėrybėmis, gyvenančios žemės šerdyje
EZK.38.13	Šeba ir Dedanas, Taršišo pirkliai ir visi jo jauni galiūnai klaus tave: ‘Argi tu atėjai imti grobio? Argi sutelkei savo kariauną plėšikauti, grobti sidabro ir aukso, vogti galvijų ir gėrybių, prisiplėšti daug grobio?’
EZK.38.14	Todėl, žmogau, pranašauk ir sakyk Gogui: ‘Taip kalba Viešpats 
EZK.38.15	Ateisi iš savo vietos tolimiausiame šiaurės pakraštyje tu ir daug tautų drauge su tavimi, visi raiti ant žirgų, didžiulė kariauna ir galinga kariuomenė, 
EZK.38.16	ir pakilsi prieš mano tautą Izraelį kaip debesis, uždengiantis žemę. Dienų baigmėje aš atvesiu tave prieš savo kraštą, kad tautos pažintų mane, kai per tave, Gogai, parodysiu savo šventumą jų akyse’“.
EZK.38.17	Taip kalba Viešpats 
EZK.38.18	Tą dieną, kai Gogas įkels koją į Izraelio žemę, – tai Viešpaties 
EZK.38.19	Kupinas pavyduliavimo ir pykčio įniršio aš pareiškiu: ‘Tą dieną Izraelio krašte bus didelis žemės drebėjimas. 
EZK.38.20	Jūros žuvys, padangių paukščiai, laukų žvėrys, visi žeme ropojantys ropliai ir visi žmonės žemėje drebės prieš mane. Kalnai bus nuversti, uolos virs, visi mūrai grius žemėn. 
EZK.38.21	Tuomet pašauksiu prieš Gogą kalaviją iš visų savo kalnų, – tai Viešpaties 
EZK.38.22	Nubausiu jį maru ir kraujo praliejimu, lysiu ant jo ir jo pulkų, ant visų su juo esančių tautų liūties pyla ir kruša, ugnimi ir siera. 
EZK.38.23	Taip apreikšiu savo didybę ir šventumą daugelio tautų akyse. Tuomet jie žinos, kad aš esu 
EZK.39.1	O tu, žmogau, pranašauk Gogui ir sakyk: ‘Taip kalba Viešpats 
EZK.39.2	Vaikysiu tave aplinkui, skatinsiu tave, pakelsiu tave iš tolimiausios šiaurės ir vesiu tave į Izraelio kalnus. 
EZK.39.3	Išmušiu tau iš kairės rankos lanką ir išmesiu tau iš dešinės rankos strėles. 
EZK.39.4	Ant Izraelio kalnų žūsi tu ir visi tavo pulkai, ir su tavimi esančios tautos. Visokiems plėšriems paukščiams ir laukiniams žvėrims atiduosiu tave ryti, 
EZK.39.5	kai gulėsi atvirame lauke, nes aš taip pasakiau, – tai Viešpaties 
EZK.39.6	Siųsiu ugnį prieš Magogą ir tuos, kurie saugiai gyvena pajūrio kraštuose, ir jie žinos, kad aš esu 
EZK.39.7	Padarysiu, kad mano vardas būtų žinomas mano tautai Izraeliui, nebeleisiu, kad mano vardas būtų niekinamas, ir visos tautos žinos, kad aš, 
EZK.39.8	Tikėk manimi, ji atėjo! Ji įvyko, – tai Viešpaties 
EZK.39.9	Tuomet išeis Izraelio miestų gyventojai ir sumes ginklus į ugnį ir sudegins skydus ir šarvus, lankus ir strėles, vėzdus ir ietis; septynerius metus jais kūrens ugnį. 
EZK.39.10	Nerinks malkų laukuose, nekirs medžių miškuose, nes ginklais kūrens ugnį. Jie apiplėš tuos, kurie juos plėšė, ir apgrobs tuos, kurie juos apgrobė’“, – tai Viešpaties 
EZK.39.11	„Tą dieną duosiu Gogui kapo vietą Izraelyje – Abarimų slėnyje į rytus nuo Jūros. Tai užtvers taką keleiviams, nes ten bus palaidoti Gogas ir visa jo kariauna. Jis bus pavadintas Hamon Gogo
EZK.39.12	Izraelio namai, norėdami apvalyti kraštą, septynis mėnesius sugaiš juos laidodami. 
EZK.39.13	Visi krašto žmonės juos laidos. Tai bus jiems garbė tą dieną, kai apreikšiu savo šlovę, – tai Viešpaties 
EZK.39.14	Bus paskirti vyrai, kad nuolat keliautų po kraštą ir laidotų tuos, kurie guli nepalaidoti, idant apvalytų kraštą. Jie tęs paieškas septynis mėnesius. 
EZK.39.15	Kai ieškotojai, keliaudami po kraštą, užtiks žmogaus kaulą, jie pastatys prie jo ženklą, kad duobkasiai palaidotų jį Hamon Gogo slėnyje. 
EZK.39.16	Taip pat ir miesto vardas bus Hamona. Taip bus apvalomas kraštas.
EZK.39.18	Rysite galiūnų kūnus ir gersite žemės vadų kraują; tai avinai, ėriukai, ožiai, jaučiai, visi Bašano penimi gyvuliai. 
EZK.39.19	Rysite riebumo ligi soties ir gersite kraujo ligi pasigėrimo aukos šventėje, kurią jums rengiu. 
EZK.39.20	Prie mano stalo pasisotinsite žirgais ir raiteliais, galiūnais ir visokio rango kariais’“, – tai Viešpaties 
EZK.39.21	„Taip aš parodysiu savo šlovę tautoms. Visos tautos pamatys teismą, kuriame teisiau, ir ranką, kuria jas valdžiau. 
EZK.39.22	O Izraelio namai nuo tos dienos visada žinos, kad aš esu 
EZK.39.23	Ir tautos supras, kad Izraelio namai buvo ištremti tik dėl savo kaltės, nes nebuvo man ištikimi. Todėl nuo jų paslėpiau savo veidą, atidaviau juos jų priešams į rankas, ir jie krito nuo kalavijo visi kaip vienas. 
EZK.39.24	Pasielgiau su jais pagal jų susiteršimą bei nusikaltimus ir paslėpiau nuo jų savo veidą“.
EZK.39.25	Todėl taip kalba Viešpats 
EZK.39.26	Gyvendami saugiai ir nieko nebijodami savo krašte jie užmirš savo gėdą ir visą neištikimybę, kuria man nusikalto, 
EZK.39.27	kai būsiu juos sugrąžinęs iš tautų, surinkęs iš jų priešų kraštų ir parodęs per juos daugelio tautų akyse savo šventumą. 
EZK.39.28	Tuomet jie žinos, kad aš esu 
EZK.39.29	Niekada nebeslėpsiu nuo jų savo veido, nes išliejau savo dvasią ant Izraelio namų“, – tai Viešpaties 
EZK.40.1	Dvidešimt penktų mūsų tremties metų pradžios mėnesio dešimtą dieną, praėjus keturiolikai metų nuo miesto sunaikinimo, tą pačią dieną palietė mane 
EZK.40.2	Ir nuvedė mane dieviškais regėjimais į Izraelio kraštą ir pastatė ant 
EZK.40.3	Kai jis mane ten atvedė, žiūriu, – vyras, kurio išvaizda spindi lyg žalvaris, su linine virve ir 
EZK.40.4	Vyras tarė man: „Žmogau, gerai įsižiūrėk, atidžiai įsiklausyk ir įsidėk į širdį visa, ką tau parodysiu, nes tam esi čia atvestas, kad tai parodyčiau. Visa, ką matysi, paskelbk Izraelio namams“.
EZK.40.6	Tuomet jis žengė pro rytinius vartus ir užkopęs laiptais išmatavo vartų slenkstį; jis buvo vienos nendrės pločio ir vienos nendrės ilgio. Ten buvo 
EZK.40.7	sarginių vienos nendrės ilgio ir vienos nendrės pločio su penkių uolekčių tarpu tarp sarginių ir vienos nendrės pločio slenkstis prie vidinio vartų prieangio. 
EZK.40.8	Jis išmatavo ir vartų vidinį prieangį; jo plotis buvo viena nendrė. 
EZK.40.9	Tuomet išmatavo vartų prieangį; ir jis buvo aštuonių uolekčių dydžio, o jo stulpai – dviejų uolekčių dydžio; vartų prieangis buvo viduje. 
EZK.40.10	Kiekvienoje rytinių vartų pusėje buvo po tris sargines tokio pat dydžio ir su stulpais kiekvienoje pusėje tokio pat dydžio. 
EZK.40.11	Tuomet jis išmatavo vartų angą; ji buvo dešimties uolekčių dydžio, o patys vartai – trylikos uolekčių pločio. 
EZK.40.12	Priešais sargines iš abiejų šonų buvo po vienos uolekties užtvarą; sarginės buvo šešių uolekčių pločio ir ilgio. 
EZK.40.13	Jų angos buvo viena priešais kitą skersai vartų praeigą; išmatavęs vartų plotį nuo vienos sarginės galo iki kitos galo jis gavo dvidešimt penkias uolektis. 
EZK.40.14	Jis išmatavo taip pat šešiasdešimt uolekčių dydžio prieangį ir vartus prie stulpo kiekviename kiemo pakraštyje. 
EZK.40.15	Nuo vartų priekio prie įėjimo ligi vidinio vartų prieangio galo buvo penkiasdešimt uolekčių. 
EZK.40.16	Sarginės ir jų stulpai vartų viduje turėjo langus su langinėmis visur aplink, ir prieangiai turėjo langus visur aplink viduje, o stulpai buvo papuošti palmėmis.
EZK.40.17	Tuomet jis nuvedė mane į išorinį kiemą su kambariais ir grįsta asla visur aplink kiemą. Aplink grįstąją aslą buvo trisdešimt kambarių. 
EZK.40.18	Ši grįstoji asla siekė vartų šoną ir atitiko jų grindinį; tai buvo žemutinė asla. 
EZK.40.19	Jis išmatavo nuotolį nuo žemutinių vartų vidinio priekio ligi vidinio kiemo išorinio priekio; jis buvo šimto uolekčių.
EZK.40.19	Taip buvo rytiniame ir šiauriniame pakraštyje. 
EZK.40.20	Tuomet jis išmatavo išorinio kiemo vartų į šiaurės pusę ilgį ir plotį. 
EZK.40.21	Jų sarginės, po tris kiekvienoje pusėje, jų stulpai ir prieangis buvo tokio pat dydžio kaip ir pirmųjų vartų – penkiasdešimt uolekčių ilgio ir dvidešimt penkių uolekčių pločio. 
EZK.40.22	Jų langai, prieangis ir palmės buvo tokio pat dydžio kaip ir vartų į rytų pusę. Iš lauko į juos aukštyn vedė septynios pakopos, o prieangis buvo viduje. 
EZK.40.23	Priešais šiaurinius vartus, panašiai kaip priešais rytinius vartus, buvo vartai į vidinį kiemą; jis išmatavo nuotolį nuo vartų ligi vartų ir gavo šimtą uolekčių.
EZK.40.24	Tuomet jis pavedėjo mane pietų link; žiūriu, ten vartai į pietų pusę. Jis išmatavo jų stulpus ir prieangį, ir jie buvo tokio pat dydžio kaip kiti. 
EZK.40.25	Vartuose ir jų prieangyje visur aplinkui buvo langai kaip ir kiti langai; vartų ilgis buvo penkiasdešimt uolekčių, o plotis – dvidešimt penkios. 
EZK.40.26	Iš lauko į juos aukštyn vedė septyni laiptai, o jų prieangis buvo viduje. Jų stulpai buvo papuošti palmėmis: viena – viename pakraštyje, kita – kitame. 
EZK.40.27	Ir vidinio kiemo pietų pusėje buvo vartai; jis išmatavo nuotolį nuo tų vartų ligi pietinių vartų ir gavo šimtą uolekčių.
EZK.40.28	Tuomet jis vedė mane pro pietinius vartus į vidinį kiemą. Jis išmatavo pietinius vartus, ir jie buvo tokio pat dydžio kaip kiti. 
EZK.40.29	Jų sarginės, stulpai ir prieangis buvo tokio pat dydžio kaip kiti. Vartuose ir jų prieangyje visur aplinkui buvo langai; jų ilgis buvo penkiasdešimt uolekčių, o plotis – dvidešimt penkios uolektys. 
EZK.40.30	Abiejuose šonuose prieangiai buvo dvidešimt penkių uolekčių ilgio ir penkių uolekčių pločio. 
EZK.40.31	Vartų prieangis buvo išorinio kiemo pusėje, palmės puošė jo stulpus, o laiptai turėjo aštuonias pakopas.
EZK.40.32	Tuomet jis nuvedė mane į vidinį kiemą rytų pusėje ir išmatavo vartus; jie buvo tokio pat dydžio kaip kiti. 
EZK.40.33	Jų sarginės, stulpai ir prieangis buvo tokio pat dydžio kaip kiti. Vartuose ir jo prieangyje visur aplinkui buvo langai; jų ilgis buvo penkiasdešimt uolekčių, o plotis dvidešimt penkios uolektys. 
EZK.40.34	Vartų prieangis buvo išorinio kiemo pusėje, palmės puošė jo stulpus abiejuose šonuose, o laiptai turėjo aštuonias pakopas.
EZK.40.35	Tuomet jis atvedė mane prie šiaurinių vartų ir juos išmatavo; jie buvo tokio pat dydžio kaip kiti. 
EZK.40.36	Jų sarginės, stulpai ir prieangis buvo tokio pat dydžio kaip kiti ir turėjo langus visur aplinkui. Vartų ilgis buvo penkiasdešimt uolekčių, o plotis dvidešimt penkios. 
EZK.40.37	Jų prieangis buvo išorinio kiemo pusėje, palmės puošė jo stulpus abiejuose šonuose, o laiptai turėjo aštuonias pakopas.
EZK.40.38	Šių vartų prieangyje buvo durys į kambarį, skirtą deginamosioms aukoms nuplauti. 
EZK.40.39	Vartų prieangio viduje buvo du stalai viename šone ir du stalai kitame šone, ant kurių būdavo skerdžiama ir deginamoji auka, ir auka už nuodėmę, ir auka už kaltę. 
EZK.40.40	Lauke, palei prieangio sieną, prie šiaurinių vartų įėjimo į prieangį, buvo du stalai ir kitame vartų prieangio šone buvo du stalai. 
EZK.40.41	Taigi keturi stalai buvo viduje ir keturi stalai lauke už vartų, iš viso aštuoni stalai, ant kurių turėjo būti skerdžiamos aukos. 
EZK.40.42	Keturi stalai, skirti deginamajai aukai, buvo iš tašytų akmenų, pusantros uolekties ilgio, pusantros uolekties pločio ir vienos uolekties aukščio. Ant jų turėjo būti dedami įrankiai, kuriais deginamosios atnašos ir aukos buvo skerdžiamos. 
EZK.40.43	Viduje visur aplinkui buvo pritvirtinti plaštakos pločio kabliai, o ant stalų turėjo būti kraunama aukų mėsa.
EZK.40.44	Vidiniame kieme šalia vidinių vartų buvo kambariai giesmininkams: vienas – šalia šiaurinių vartų, atgręžtų į pietus, o kitas – šalia rytinių vartų, atgręžtų į šiaurę. 
EZK.40.45	Jis man paaiškino: „Į pietų pusę atgręžtas kambarys yra kunigams, tarnaujantiems šventykloje, 
EZK.40.46	o kambarys, atgręžtas į šiaurės pusę, yra kunigams, kurie tarnauja prie aukuro. Jie yra Cadoko palikuonys ir tik vieni iš Levio palikuonių gali artintis prie 
EZK.40.47	Jis išmatavo kiemą; – jis buvo šimto uolekčių ilgio ir šimto uolekčių pločio. Jis buvo keturkampis. Aukuras stovėjo priešais šventyklą.
EZK.40.48	Tuomet jis atvedė mane į šventyklos prieangį ir išmatavo prieangio stulpus; jie buvo penkių uolekčių dydžio viename šone ir penkių uolekčių dydžio kitame šone. Vartų plotis buvo keturiolika uolekčių. Šoninės vartų sienos buvo trijų uolekčių viename šone ir trijų uolekčių kitame. 
EZK.40.49	Prieangio ilgis buvo dvidešimt uolekčių ir plotis dvylika uolekčių; aukštyn į jį vedė dešimt pakopų, ir kiekviename šone prie staktų stovėjo stulpai.
EZK.41.1	Tuomet jis privedė mane prie šventosios ir išmatavo stulpus; jų storis viename ir kitame šone buvo šešios uolektys. 
EZK.41.2	Įėjimo anga buvo dešimt uolekčių, o įėjimo angos šoninės sienos buvo penkių uolekčių viename ir kitame šone. Jis išmatavo šventąją; jos ilgis buvo keturiasdešimt uolekčių, o plotis – dvidešimt uolekčių.
EZK.41.3	Įėjęs į vidų jis išmatavo įėjimo angos stulpus – jie buvo dviejų uolekčių, įėjimo angos plotį – jis buvo šešių uolekčių ir įėjimo angos šonines sienas – jos buvo septynių uolekčių. 
EZK.41.4	Jis išmatavo ir kambarį už šventosios; jo ilgis buvo dvidešimt uolekčių, o plotis – dvidešimt uolekčių. Ir tarė jis man: „Tai šventų švenčiausioji“.
EZK.41.5	Tuomet jis išmatavo šventyklos sieną – ji buvo šešių uolekčių storio, – ir visur aplink šventyklą esančius šoninius kambarius – jų plotis buvo keturios uolektys. 
EZK.41.6	Šoniniai kambariai buvo vienas virš kito trijuose aukštuose, po trisdešimt kiekviename aukšte. Visur aplink šventyklos sieną buvo kyšuliai šoniniams kambariams pritvirtinti, kad jie nesiremtų į šventyklos sieną. 
EZK.41.7	Takas į šoninius kambarius aukštuose buvo skirtingo pločio, nes laiptai ėjo aplink visą šventyklą. Todėl šoniniai kambariai platėjo nuo aukšto į aukštą. Nuo žemiausio aukšto buvo kopiama į aukščiausią per vidurinį aukštą.
EZK.41.8	Pastebėjau, kad šventykla visur aplinkui turėjo grįstą pakylą – šoninių kambarių pamatus; jie buvo vienos šešių uolekčių nendrės aukščio. 
EZK.41.9	Šoninių kambarių išorinės sienos storis buvo penkių uolekčių, o tarpas tarp šventyklos šoninių kambarių 
EZK.41.10	ir kiemo kambarių buvo dvidešimt uolekčių pločio aplink visą šventyklą. 
EZK.41.11	Šoniniai kambariai buvo atgręžti į atvirą vietą; vienos durys – šiauriniame pakraštyje, o kitos – pietiniame. Atvirosios vietos plotis visur aplinkui buvo penkios uolektys.
EZK.41.12	Pastatas, atgręžtas į šventyklos kiemą vakarinėje pusėje, buvo septyniasdešimt uolekčių pločio, pastato siena visur aplinkui – penkių uolekčių storio ir devyniasdešimt uolekčių ilgio. 
EZK.41.13	Tuomet jis išmatavo šventyklos ilgį, ir jis buvo šimto uolekčių, o kiemo ir pastato bei jo sienų – šimtas uolekčių. 
EZK.41.14	Jis išmatavo ir rytinį šventyklos pakraštį bei kiemą; ilgis buvo šimtas uolekčių. 
EZK.41.15	Tuomet jis išmatavo ir ilgį pastato, atgręžto į kiemą vakarinėje pusėje, bei jo prieangių iš abiejų pusių; jis buvo šimtas uolekčių.
EZK.41.15	Šventyklos šventoji, vidus ir kiemo prieangiai 
EZK.41.16	visur aplink buvo apmušti lentelėmis, ir visi trys turėjo nišose langus su pinučiais. Nuo slenksčio šventykla visur aplink buvo apmušta medžiu nuo grindų iki langų; langai buvo uždengti; 
EZK.41.17	ligi durų viršaus, net Namų viduje ir iš lauko pusės, vidus ant visų sienų visur aplink ir šventojoje buvo išpuoštas raižiniais – 
EZK.41.18	kerubais ir palmėmis tarp kerubų. Kiekvienas kerubas turėjo du veidus: 
EZK.41.19	žmogaus veidą, atgręžtą į palmę iš vienos pusės, ir liūto veidą, atgręžtą į palmę iš kitos pusės. Tai kartojosi visur šventykloje; 
EZK.41.20	kerubai ir palmės buvo išraižyti ant sienų nuo aslos ligi durų viršaus.
EZK.41.21	Šventosios durų staktos buvo keturkampės. 
EZK.41.22	Priešais šventų švenčiausiąją stovėjo pavidalas, kuris atrodė lyg medinis aukuras, – trijų uolekčių aukščio, dviejų uolekčių ilgio ir dviejų uolekčių pločio. Aukuro kampai, pakojis ir sienos buvo iš medžio. Jis tarė man: „Tai stalas, stovintis priešais 
EZK.41.23	Šventoji ir šventų švenčiausioji turėjo dvejas duris. 
EZK.41.24	Abejos durys turėjo dvi sąvaras: dvi sąvaras vienos durys ir dvi sąvaras kitos. 
EZK.41.25	Ant navos durų buvo išraižyti kerubai ir palmės, kaip ir ant sienų. Lauke, prieangio priekyje, buvo stoginė iš medžio. 
EZK.41.26	Šoninėse prieangio sienose buvo langai nišose ir palmės ant abiejų šonų.
EZK.42.1	Tuomet jis vedė mane pro šiaurinius vartus į išorinį kiemą ir atvedė prie kambarių, buvusių priešais šventyklos kiemą ir pastato šiauriniame šone. 
EZK.42.2	Pastato ilgis šiauriniame pakraštyje buvo šimtas uolekčių, o plotis – penkiasdešimt. 
EZK.42.3	Priešais vidinio kiemo vartus viename pakraštyje ir priešais išorinio kiemo grindinį kitame pakraštyje buvo kambariai – triaukštė stoginė su kambariais. 
EZK.42.4	Kambarių priekyje buvo dešimties uolekčių pločio ir šimto uolekčių ilgio takas, o durys į kambarius buvo šiaurės pusėje. 
EZK.42.5	Viršutinio aukšto kambariai buvo siauresni negu žemutinio ir vidurinio aukšto, nes jame stoginė užėmė daugiau vietos. 
EZK.42.6	Jie buvo visuose trijuose aukštuose, bet tokių stulpų, kaip kiemo stulpai, neturėjo, todėl viršutinio aukšto kambariai ir buvo siauresni, negu žemiau esantys vidurinio ir žemutinio aukšto kambariai. 
EZK.42.7	Siena lauke, lygiagreti kambariams ir priešais kambarius, išorinio kiemo pusėje buvo penkiasdešimt uolekčių ilgio. 
EZK.42.8	Ir kambariai išorinio kiemo pusėje buvo penkiasdešimt uolekčių ilgio, bet kambariai priešais šventyklą buvo šimto uolekčių ilgio. 
EZK.42.9	Po šiais kambariais buvo įėjimas; reikėjo eiti iš rytų pusės, norint įeiti į juos iš išorinio kiemo, 
EZK.42.10	kur prasidėjo išorinė siena.
EZK.42.10	Pietiniame pakraštyje, priešais kiemą ir pastatą, irgi buvo kambarių 
EZK.42.11	su taku priekyje. Jie buvo panašūs į kambarius šiauriniame pakraštyje, tokio pat ilgio ir pločio, su tokiais pat išėjimais, įrengimais ir durimis. 
EZK.42.12	Įėjimai į kambarius pietiniame pakraštyje buvo pasiekiami per įėjimą atitinkamo tako pradžioje iš rytų pusės palei vidaus sieną.
EZK.42.13	Tuomet jis kreipėsi į mane: „Šiauriniai kambariai ir pietiniai kambariai priešais kiemą yra šventi kambariai, kur kunigai, tarnaujantys 
EZK.42.14	Kunigai, įėję į šventąją vietą, neišeis į išorinį kiemą, nepalikę ten drabužių, kuriais apsirengę tarnauja, nes jie šventi. Prieš eidami į žmonėms skirtą vietą, jie turi apsivilkti kitais drabužiais“.
EZK.42.15	Baigęs matuoti šventyklos vidų, jis išvedė mane pro rytinius vartus ir išmatavo ją visur aplinkui. 
EZK.42.16	Matuojamąja nendre jis išmatavo rytinį pakraštį ir gavo penkis šimtus uolekčių matuojamąja nendre. Tuomet apsisuko, 
EZK.42.17	išmatavo šiaurinį pakraštį ir gavo penkis šimtus uolekčių matuojamąja nendre. 
EZK.42.18	Apsisuko, išmatavo pietinį pakraštį ir gavo penkis šimtus uolekčių matuojamąja nendre. 
EZK.42.19	Atsisuko į vakarinį pakraštį, išmatavo ir gavo penkis šimtus uolekčių matuojamąja nendre. 
EZK.42.20	Jis išmatavo šventyklą iš visų keturių šonų. Ji turėjo aplink penkių šimtų uolekčių ilgio ir penkių šimtų uolekčių pločio sieną, kuri skyrė pašventintą vietą nuo paprastos.
EZK.43.1	Tuomet jis atvedė mane prie rytinių vartų. 
EZK.43.2	Žiūriu, 
EZK.43.3	Regėjimas, kurį mačiau, buvo kaip regėjimas, kurį buvau matęs, kai jis atėjo sunaikinti miesto, ir kaip regėjimas, kurį buvau matęs prie Kebaro upės. Puoliau veidu žemėn. 
EZK.43.4	 Šlovei įžengus į šventyklą pro rytų vartus, 
EZK.43.5	dvasia pakėlė mane ir nuvedė į vidinį kiemą. Žiūriu, šventykla sklidina 
EZK.43.6	Vyrui stovint šalia manęs, išgirdau kažką kalbant man iš šventyklos. 
EZK.43.7	Man buvo sakoma: „Žmogau, tai ir mano sosto vieta, ir vieta mano kojų padams. Amžiais čia gyvensiu tarp Izraelio žmonių. Izraelio namai nebeterš daugiau mano šventojo vardo – nei jie, nei jų karaliai savo kekšavimu ir savo karalių lavonais, jiems mirus. 
EZK.43.8	Jie dėjo savo slenkstį prieš mano slenkstį ir savo staktas prieš mano staktas taip, kad tarp manęs ir jų liko tik siena, suteršė mano šventąjį vardą savo bjauriais nusikaltimais, kurių pridarė, ir aš iš pykčio juos sunaikinau. 
EZK.43.9	Dabar teatitolina jie savo kekšavimą ir savo karalių lavonus nuo manęs, ir aš amžinai tarp jų gyvensiu.
EZK.43.10	O tu, žmogau, parodyk Izraelio namams šventyklą; teišmatuoja jie jos matmenis ir tesusigėsta dėl savo bjaurių nusikaltimų. 
EZK.43.11	Kai jie susigės dėl viso, ką padarė, supažindink juos su šventyklos sąranga, įrengimu, išėjimais ir įėjimais, su visa jos sąranga, su visais jos sąrangą nusakančiais įstatais ir nurodymais. Surašyk tai jiems matant, kad jie ištikimai laikytųsi visos jos sąrangos ir visų jos nuostatų. 
EZK.43.12	Toks yra šventyklos kalno viršuje įstatymas: visas plotas aplink bus švenčiausias. Toks yra šventyklos įstatymas.
EZK.43.14	nuo pagrindo ant žemės ligi vienos uolekties pločio apatinės briaunos – dvi uolektys, o nuo mažosios briaunos ligi vienos uolekties pločio didžiosios briaunos – keturios uolektys. 
EZK.43.15	Aukuro židinys – keturių uolekčių aukščio, o nuo aukuro židinio aukštyn kyšos keturi ragai. 
EZK.43.16	Aukuro židinys – keturkampis, dvylikos uolekčių ilgio ir dvylikos uolekčių pločio. 
EZK.43.17	Briauna – keturkampė, keturiolikos uolekčių ilgio ir keturiolikos uolekčių pločio su pusės uolekties pločio apvadu aplink. Aukuro pagrindas aplinkui – vienos uolekties, o jo laiptai atgręžti į rytus“.
EZK.43.19	levitams kunigams iš Cadoko šeimos, kurie artinasi prie manęs man tarnauti, – tai Viešpaties 
EZK.43.20	Paėmęs jo kraujo, pavilgysi juo keturis aukuro ragus, keturis briaunos kampus ir apvadą aplinkui; taip apvalysi jį ir išpirksi. 
EZK.43.21	Taip pat paimsi aukai už nuodėmę jautį; jis bus sudegintas skirtoje Namų vietoje, bet už šventyklos ribų.
EZK.43.22	Kitą dieną paaukosi ožį, neturintį kliaudos, kaip atnašą už nuodėmę; aukuras bus apvalytas, kaip buvo apvalytas jaučiu. 
EZK.43.23	Atlikęs apvalymą, paaukosi iš kaimenės jautuką be kliaudos ir aviną be kliaudos. 
EZK.43.24	Atvesi juos 
EZK.43.25	Septynias dienas kasdien paruoši ožį aukai už nuodėmę; taip pat turės būti paruošti iš kaimenės jautukas ir avinas be kliaudos. 
EZK.43.26	Septynias dienas bus atliekamas aukuro išpirkimas ir apvalymas; taip jis bus pašventintas. 
EZK.43.27	Pasibaigus toms dienoms, pradedant nuo aštuntos dienos, kunigai ant aukuro aukos jūsų deginamąsias atnašas bei bendravimo aukas, ir aš būsiu jums palankus“, – tai Viešpaties 
EZK.44.1	Tuomet jis parvedė mane prie šventyklos išorinių vartų rytiniame pakraštyje; jie buvo uždaryti. 
EZK.44.2	 tarė man: „Šie vartai liks uždaryti. Jie nebus atidaryti! Niekas pro juos neįeis, nes 
EZK.44.3	Vien vadas, kadangi jis vadas, galės juose sėstis ir valgyti duoną 
EZK.44.4	Tuomet jis nuvedė mane pro šiaurinius vartus prie šventyklos priekio. Pažvelgiau, ir štai! 
EZK.44.5	 man tarė: „Žmogau, įsidėk sau į širdį, gerai įsižiūrėk akimis ir atidžiai įsiklausyk ausimis visa, ką tau pasakysiu apie visus 
EZK.44.6	Sakyk maištininkams Izraelio namams: ‘Taip kalba Viešpats 
EZK.44.7	Gausinate jų, įvesdami neapipjaustytos širdies ir neapipjaustyto kūno svetimtaučius, kad jie lankytųsi mano šventykloje, suteršdami mano Namus, kai jūs aukojate man peną – taukus ir kraują. Sulaužėte mano Sandorą savo bjauriaisiais nusikaltimais. 
EZK.44.8	Užuot patys prižiūrėję mano šventąsias atnašas, jūs paskyrėte svetimtaučius, kad už jus jie prižiūrėtų mano šventyklą’“.
EZK.44.9	Taip kalba Viešpats 
EZK.44.10	Tik levitai, nors jie izraelitams klaidžiojant paskui savo stabus pasitraukė toli nuo manęs ir turėjo priimti bausmę už savo kaltę, 
EZK.44.11	bus mano šventyklos tarnai. Jie bus paskirti šventyklos vartams prižiūrėti ir šventykloje tarnauti; jie skers deginamąsias atnašas bei aukas žmonėms ir jiems patarnaus. 
EZK.44.12	Kadangi jie tarnavo žmonėms jų stabų akivaizdoje ir buvo Izraelio namų kaltės priežastis, aš pakėliau prieš juos savo ranką, – tai Viešpaties 
EZK.44.13	Jie nesiartins prie manęs tarnauti kaip kunigai, nesiartins nė prie mano šventųjų atnašų – švenčiausių dalykų, bet turės priimti gėdą už bjauriuosius nusikaltimus, kuriuos darė. 
EZK.44.14	Tačiau paskirsiu juos prižiūrėti šventyklą, kad atliktų visą jos ruošą ir darytų visa, kas reikalinga.
EZK.44.15	O Levio giminės kunigai, Cadoko palikuonys, ištikimai rūpinęsi mano Šventykla izraelitams nuklydus nuo manęs, artinsis prie manęs, kad man tarnautų; jie stosis mano akivaizdoje aukoti taukus ir kraują, – tai Viešpaties 
EZK.44.16	Vien jie eis į mano šventyklą, vien jie artinsis prie mano stalo man tarnauti ir rūpinsis mano tarnyste. 
EZK.44.17	Įeidami pro vidinio kiemo vartus, jie 
