JON.1.1	Keriab Yaweb dora Amitaib nono Yona gam ogureaga. 
LUK.9.37	Dü güre kenegar, Jisas nugeab daidaiwegi simai keab gir ebgadüdi kanedibere, ferefinabur ginbata oguradi, Jisas gamam kaiwen. 
LUK.9.38	Bangar baba ferefinabur kodigo, fere gürede menüm yogeaga, “Sibam sarigegi, na yeb nono kegewebüregüdi igena totonadaiun. Ye nono gürenakuana baba gürena. 
LUK.9.39	Etob kogi güre nu gam manag manag iruwafaigar nono baba kerübgurofaigeaga. Bangar etob kogi babade güfaigar, nono baba kutuafaigüdi kiregirewar sube gam simuk sapa sapafaigeaga. Baba etob kogide mube nub kogifuruafaigüdi, pirika nono baba ebgadügafaigarge. 
LUK.9.40	Bangar nagüb daidaigegiwar etob kogi baba düfotuwebüre igena wangaurugunko, towedige.”
LUK.9.41	Bangar Jisasde dora menüm toweaga, “Ferefinabur nini kob kainanagarge baba, ututun ninib tugu kabia ninib tugu namage. Ye aganbede nini keabnana bürüdi kub ninib kemeieregün? Nono nab igaiudi ogure.” 
LUK.9.42	Bana nono baba Jisas iroto ogurarbere, etob kogi babade buraifotuwar fürügüdi kiregireweaga. Bangeagako, Jisasde etob kogi baba nunurweaga, bangüdi nono baba namabürüdi maig eme duweaga. 
LUK.9.43	Bangar ferefinabur gürenakuti, Keriabüb sogi ere baba kegeudi tergen.
LUK.9.43	Ferefinabur Jisasde daba daba geaga babaurenana ututun toitoiwen, bangar Jisasde nugeab daidaiwegi simai menüm wangeaga, 
LUK.9.44	“Nini dora meme, kagub idadau difürübenar edane. Fereb Nono ferewarüngab kube gam difereregen.” 
LUK.9.45	Bangeagako, daidaigegiwar nini dora babab iginim sibamgedige. Dora babab iginim baba, ninag gam iwageaga, babaure nini idadau sibamgedige. Bangar maig wangebüregüdi totowebüregenko, kimigen.
LUK.9.47	Ninib kob gam ututun baba büreaga baba, Jisas nu sibamgeaga. Babaure mogoi fara fanam güre igaiudi ogura nuge iroto difereaga. 
LUK.9.48	Bangüdi daidaigegi simai menüm wangeaga, “Fere yeure ututungüdi mogoi fara fanam meme ebebearuaburuweaga baba, nu ye ebebearuabriaga. Babaure fere ye ebebearuaburuiaga baba, nu emüga ebebearuaburuweaga, nude suguryar oguran. Amure, fere yanim kene ninag kodigo büreregeaga baba, nu fere yanim tugu.”
LUK.9.50	Bangeagako, Jisasde menüm waweaga, “Fere nini keab karau kene baba, baba ninagüb büreyanüg, amure, baba fünai geaga baba ninagüb fünai sibe babaure tageiburuagana.”
LUK.9.52	Bangar daba daba dugutuwebüre, ferewar kese sugurungar kümünen. Bangar kümüna Samaria distriküb fib güre gam taiden, bangüdi Jisasüb daba daba dugutuwebüregen. 
LUK.9.53	Bangeagako, baba fib gamnab ferewar, Jisas igaiudi nugengab fata gagam kümünegi uruwen. Amure, nini sibam, Jerusalem kümünebüregeaga. 
LUK.9.54	Daidaigegi aküre, Jemsie Jonküre Samaria distriküb ferefinaburüngab kabia baba kegeudi, Jisas menüm totowen, “Eregeam, sin keb yagudar fib nama gamde musudi baba ferewar fükürangeregeaga. Baba fünai gebüregenan baba, na medneagade?” 
LUK.9.55	Bangeagako, Jisasde piruaboudi nunurungeaga. 
LUK.9.56	Bangar fib güre gam kümünen.
LUK.9.57	Jisas daidaigegiwar keab erekobo gam kümünedibere, fere gürede menüm waweaga, “Na fib gürenakuti gam kümüneregün baba, ye daidaineregün.” 
LUK.9.58	Bangar Jisasde menüm waweaga, “Dugumob mam nini kübüdim gam kinegi abuk tugu, ai toi tugu nini deab tutugko, Fereb Nono nu kinegi kur kene.” 
LUK.9.59	Bana Jisasde fere güre menüm waweaga, “Na ogura daie.” Bangeagako, fere babade wageaga, “Eregeam, uruab ye kümüna emüga ub kurbürüdie.” 
LUK.9.60	Bangar Jisasde waweaga, “Ebgade. Fere kugumgen baba, nuge nuge ub kurwanageregen. Na kümüna Keriabüb Korobab dora pitoie.”
LUK.9.62	Bangar Jisasde menüm waweaga, “Fere Keriabüb fünai toadüdi fünaiwarbere kübüdim gamnab daba dabade burbarweaga babanüm fere, nu Keriabüb Korobab fünai geregarge.”
LUK.10.2	Bangüdi menüm wangeaga, “Küm gam daba epüra fanam ebeabgafotuwarge. Bangeagako kiregegib sarua fere namai büredige. Babaure küm Emeure sibdibwane, bangar kim sarua ferewar sugurungar kümüna nugeab daba tobgeregen.
LUK.10.4	Nini kegeam far tugu far tugu kebemara enegi tugu kemeidi ninag keab kümünagana. Bangüdi ferefinabur erekobo gam kaingüdi fereberengagana. 
LUK.10.5	Nini fata güre gam iruwaboidiba, bana nini dora meme kese doragane, ‘Meme fata gamnab ferefinaburwar, kob dab fanam bürane.’ 
LUK.10.6	Bana fere güre kob dab fanam büregib baba fata gam bürarba, ninib dora nama baba fere gam kim büreregeaga. Bangeagako babanüm fere sibe bürargegarba, ninib dora nama ninag gamna maigeregeaga. 
LUK.10.7	Nini fata gürena baba gamna bürane. Bangüdi daba daba gürenakuti nugede dünügeregen baba gürena nifaigane, baba daba dünügedi nenan baba, baba ninagüngab mur, amure, fere saruagafaigeaga baba, nu nugeab mur deregeaga. Babaure nini fata itutwagana.
LUK.10.9	Nini baba fib ere gam subo fere büren baba namabürügane. Bangüdi babawar gam dora menüm pitoiane, ‘Keriabüb Koroba ogura nini gam etogeaga.’ 
LUK.10.10	Bangeagako nini kümüna fib ere güreb güb gam iruwar, igaingüdi nugengab fata gam kümünegi uruwediba, bana nini kümüna fib ereb erekobo gam biboudi, menüm doragane, 
LUK.10.11	‘Ninib fib ere gamnab kübüdim nom sinib kebe gam büreaga baba, sini düfotuwenan. Baba, nini menüm abatarüngebüre, baba kabia genan babade nini menmen tugu. Bangeagako nini idadau utungane. Keriabüb Koroba ogura etogeaga.’ 
LUK.10.12	Ye nini wangün, dü Keriabüde ferefinabur dora gam difürüngebüre uruageaga gam, kub baba, baba fib ere gamnab ferefinabur gam taideregeaga, kub baba Sodom fib erewar gam taideaga baba, kürüna emegerweregeaga.”
LUK.10.14	Bangeagako Keriabüde ferefinabur dora gam difürüngebüre dü uruageaga gam, kub nini gam taideregeaga baba kub, Tair simaie Saidon simai gam taideaga baba, kürüna emegerweregeaga. 
LUK.10.15	Bana Kaperneam simai, nini Keriabüde sirarüngaberar fib nama gam komeregenangagana. Kürüna kene. Nini kürüna gemuna fere kumegingab fib gam kaneregenan.”
LUK.10.17	Kuri Fere simai nonob tugu bede fogo aküre Jisasde sugurungar kümünen baba, nini maigüdi oguradi kürüna ebebearwen. Wagen, “Erekokai, sini nagüb yanim yanbawenan, bangar etob kogkogi sinib dora daiwen.” 
LUK.10.18	Bana Jisasde menüm wangeaga, “Ye Satan kegeun, fib nama ebgadüdi uyankengenimüb meram sibe musuweaga. 
LUK.10.19	Edane. Ye ninag yanim dünügafotun, bangar ninag kogi fürüngegib matu toi tugu makaras toi tugu, bitobaitongeregenan. Bangüdi nini Satanüb sogi gürenakuti emegerweregenan. Satan ninagüngab karauianüg. Bangar nini daba gürede kogifürüngeregarge. 
LUK.10.20	Bangeagako nini fidoudi menüm doragagana, ‘Etob kogi simai sinib dora daiwen.’ Kene. Nini nagüngab yanim Keriabüde nugeab budi gam fib nama gam bag feifotuweaga babaure ebebearwane.”
LUK.10.21	Baba sese gam, Etob Kedebüde gar Jisasüb kob ebebearweaga, bangar Jisasde menüm wageaga, “Emüga, na fib nama gamnab tugu kübüdim gamnab tugu Erekokai, ye naure esegün, amure, na meme daba daba ferewar sibam nama tugu, ututun nama tugu gam iwagafürün, bangüdi na ferewar mogoi farafara sibe büren gam abatargün. Emüga, na nagüb ututun daiudi na banüm bangün.” 
LUK.10.22	Jisas namana menüm wageaga, “Emüga nu, daba daba gürenakuti yeb kube gam difereaga. Bangar Nono nu, am fere güre fanamde sibamgarge. Emüga nugenakuana fanam nu sibamgeaga. Bana Emüga tugu, am fere güre fanamde sibamgarge. Nonoie, ferewar nono nugede, Eme abatarüngeaga, nini gürena Emüga sibamgen.”
LUK.10.24	Ye nini wangün, egime kiari fere epürage tugu erekokayau epürage tugu, nini daba daba ninag mügar kegewenan baba kegewebüregen, bangeagako nini kegewedige. Bangüdi nini dora ninag edfaigenan baba edebüregen, bangeagako nin ededige.”
LUK.10.26	Bangar Jisasde menüm totoweaga, “Am dora kabia gam büreaga? Na ninaifotudi aranüm utungun?” 
LUK.10.27	Bangar kabiab sibam ferede menüm dora toweaga, “Nini Keriab kob duwane, Erekokai sigeab. Nini kürüna nagüngab kob gamde kob duwane, nagüngab etob gamde, nagüngab sogi gamde, nagüngab ututun gamde tugu. Bangüdi ninagüde ninag kob duenan sibe, büreanmana kürüna kob dünügane.” 
LUK.10.28	Bangar Jisasde menüm waweaga, “Ebabako, na dora kainana toun. Na bangüdiba, na gotogegi nama tüpür tüpür deregün.”
LUK.10.30	Bangar Jisasde dora menüm toweaga, “Fere güre Jerusalem ebgadüdi Jeriko fib ere gam kaneaga. Bangarbere be ferewar erekobo gam iwagüdi büren babade, orudi nub daba daba gürenakuti kiregen, bangafotudi kümünen, bangedi nu erekobo gam kinbüreaga, bangüdi kumebürenanageaga. 
LUK.10.31	Baba sese gam kobegegi fere güre baba erekobo daiudi kaneagaba, fere erekobo gam kinbüreaga baba kegeweaga, bangüdi erekobo kureb gamde katudi emegerudi kaneaga. 
LUK.10.32	Banüm sibenana Livaib gin gamnab fere güre tugu ogura baba gam taideaga, bangüdi baba fere kegeweaga, bangüdi erekobo kureb gamde katudi emegerudi kaneaga.
LUK.10.34	Nu baba fere iroto kümünadi, edi toi nub gam wel tugu wain mum tugu kubekubeiweaga, bangüdi korotaugeaga. Bangafotudi baba fere atügüdi, nugeab donki gam diferar gotogeaga. Bangüdi igaiudi guruwegi fata güre gam kümünadi, idadau fere baba taugeaga. 
LUK.10.35	Bana dü kuri gam kegeam silva aküre baba guruwegi fatab eme duweaga, bangüdi menüm waweaga, ‘Na meme fere idadau tauge. Meme fere taugüdi nagüb kegeam gürekoi namana ebgafotudiba, bana ye maig maigüdiba, maigabürneregün.’”
LUK.10.36	Bana Jisasde baba kabiab sibam fere menüm totoweaga, “Na aranüm utungun? Baba fere küi baba, wonide baba fere be ferewarde kogifuruwen babab bureiab bürebeaga?” 
LUK.10.37	Bangar wageaga, “Fere nure kororabwar saguweaga baba fere.” Bangar Jisasde menüm waweaga, “Na kümünabenau, baba kabia sibenana ge.”
LUK.10.39	Marta nu mebe güre tugu, yanim nub Maria. Maria nu ogura Erekokaib kebe iroto gotogeaga, bangüdi dora nub edeaga. 
LUK.10.40	Bangeagako, Marta nuge daba ekotagegib fünai gugub geaga babaure ututun toitoiweaga. Bangüdi Jisas gam kümünadi menüm waweaga, “Erekokai, maba yeb nu ye ebgaiadar igenakuana fanam daba ekotagün. Na babaure utungabge dag? Wawab ogura sagie.” 
LUK.10.41	Bangeagako Erekokaide dora nub menüm toweaga, “Marta, na daba daba gürenakutiure ututun toitoiudi kob kumun. 
LUK.10.42	Na daba gürena fanamure ututunuge. Meme daba Mariade debüregeaga baba, kürüna nama fanam, babaure tageiburubge, nu daba nama debüregeaga.”
LUK.11.2	Bangar Jisasde menüm wangeaga, “Nini sibdibwebüreba, menüm doragane,
LUK.11.2	‘Sinib Emsig, yanim nab
LUK.11.2	kedeb büreregeaga.
LUK.11.2	Koroba nab ogureregeaga.
LUK.11.3	Dü gürenakuti gürena gürena gam daba sige,
LUK.11.3	daba tugu dü babab gürena.
LUK.11.4	Gürewarde sin gam menmengafaigen baba,
LUK.11.4	sin unaigafaigenan.
LUK.11.4	Babaure na sinib menmen toi unaigafotuge.
LUK.11.4	Na banaka fururegi wagab
LUK.11.4	sin gam taidebeagana.’ ”
LUK.11.5	Bangar Jisasde namana menüm wangeaga, “Fere güre ninag kodigo nu epeiab tugugarba, utumnonou kümüna epeiab baba menüm waweaga, ‘Mai, ye bret küi siebüregüdi na gam oguran, kurie maig toweregün. 
LUK.11.6	Igeab epeai güre ogura fata gam kaiar, daba kenegar na gam oguran.’ 
LUK.11.7	Bana bangar fere fata goime büreaga babade dora menüm towarba, ‘Na fünai siegena. Ye fub manage fürtaudi, mogoi keab kinfotuwenan, maig siradüdi daba daba dünegi siroiaga.’ Fere büreab gam dora banüm towebeagade? Kenenai. 
LUK.11.8	Ye wangün, fata eme siradüdiba, büreab daba daba gürenakuti kene baba, kiregüdi duweregeaga. Büreab kob kainanagamde saguwebüregarge. Kene. Amure, büreabüde igboroborowar siroiweregeaga babaure, bangeregeaga. 
LUK.11.9	Babaure ye wangün, ninag daba dabauregüdiba, sibdibubenar Keriab totowar dünügeregeaga. Nini daba daba fitakakaudiba, kegeweregenan. Nini fub poroporowarba, Keriabüde fub taibürüngeregeaga. 
LUK.11.10	Fere gürenakuti Keriabure sibdibwafaigen baba, nini daba daba kiregafaigen. Fere daba fitafaigeaga baba, kegefaigeaga. Fere fub poroporofaigeaga baba, Keriabüde fub taiburuafaigeaga.
LUK.11.12	Bana mogoi gürede wagüdi, emüga wagib güre sie güdi banüm eme totowarba, emede makaras güre duwebeagade, io? Baba tugu kenenai. 
LUK.11.13	Nini mogoi emewar, kabia kogi fanam güfaigenanko, ninagüngab mogoi daba nama nama dünügegi nini idadau sibamgenan. Babaure, nini sibamgeregenan, ninagüngab Emnüg fib nama gam büreaga baba, ferewarde totowen baba, Etob Kedeb dünügebüre ebebearweregeaga.”
LUK.11.14	Jisasde etob kogi güre fere güre gam bürüdi, fere babab sube gütüwataweaga baba etob kogi dufotuweaga. Etob kogi uriawarbere, baba sube güt baba dorageaga. Bangar ferefinabur kegeudi tergen. 
LUK.11.15	Bangeagako, fere gürekoide wagen, “Nu Belsebulrüb sogi gamde etob kogiwar kudengafaigeaga. Belsebul nu etob kogiwarüngab taba fere.” 
LUK.11.16	Bangar fere gürekoide, Jisas fururebürewadi, Jisas totowedi dora migu güre bera sibe idawebüre güdi totowen. Nu Keriabüb fünai geagade güdi sibamgebüre dora migu güre idawebüre totowen. 
LUK.11.17	Bangeagako, Jisas ninib ututun sibamgeaga babaure, menüm wangeaga, “Kantri güre gamnab ferewar aküresari taidüdi waragediba, baba kantri nu koigeregeaga. Baba tugu, fata gin gürena gamnab fere simai aküresari taidüdi nuge nuge waragediba, baba fata gin koigeregeaga. 
LUK.11.18	Ninagüde wagenan, ye Belsebulrüb sogi gamde etob kogi toi düfotugafaigün. Be Satanüb gin aküresari taidüdi nuge nuge karau karaugediba, Satan nu daba daba taugegi sogi tugu büreregarge. 
LUK.11.19	Belsebulrüde sagiafaigeaga baba kainana garba, wonide ninag Israelüngab gin sagüngüdi etob kogi toi düfotugafaigen? Ninagüngab gindenana dora ninib baba, kainanage güdi abatarüngeregen. 
LUK.11.20	Bangeagako, Keriab nuge sogi siar etob kogi toi dufoturba, nini sibamgane, Keriabüb Koroba manage ninag gam ogurafotuweaga.
LUK.11.21	“Fere güre sogi tugude keime maga aküresari sob banüm debetaudi fata nugeab taugarba, nub daba daba gürenakuti idadau büreregeaga. 
LUK.11.22	Bangeagako, fere güre sogi ere tugude taidüdi fere baba küre waragüdi emegerwarba, fere babab marai daba daba gürenakuti kiregaderegeaga. Fere baba, marai daba daba baba bürar baba kekia biboudi sogi deaga. Bangüdi nub daba daba gürenakuti gürewar kabatangeregeaga.
LUK.11.25	Bangüdi fata baba ina gasafotudi karün nama nama diferen baba kümüna kegeweregeaga. 
LUK.11.26	Babaure nu kümüna etob kogi toi nonob tugu nuge kabia kogi güfaigeaga baba, emegerwegiwar igaingeregeaga. Bangüdi fata baba gam irudi büreregen. Egime fere nub gotogegi kogi baba erege, mügarba, kürüna erekokaigeregeaga.”
LUK.11.28	Bangeagako, Jisasde wageaga, “Banümgena, menüm wagegi, ferewar Keriabüb dora edüdi daiwen baba, nini ebebearweregen.”
LUK.11.30	Jona nu egime bera sibe Keriabüde Ninive fib ereb ferewar abatarüngeaganwaib. Banüm gürena meme sese gamnab ferefinabur gam, Fereb Nono nu, Keriabüde bera sibe abatarüngeregeaga. 
LUK.11.31	Keriabüde ferefinabur dora gam difürüngegi dü uruageaga gam, Sebayaub finege erekokayau nu dora gam biboweregeaga. Bangüdi meme sese gamnab ferefinaburüngab kabia kogiure dorageregeaga. Amure, baba finege erekokayau nu, kürüna kütüb büreagako, Solomonde nugeab sibam nama pitoiaga baba edebüre Israel ogureaga. Bangeagako, fere güre mügar meag büreaga baba nu Solomonüb sibam kürüna emegerweaga. 
LUK.11.32	Keriabüde ferefinabur dora gam difürüngeaga gam, Niniveb ferewar dora gam biboweregen. Bangüdi meme sese gamnab ferefinaburüngab kabia kogiure dorageregen. Amure, Ninivewar nini Jonade dora pitoiaga baba edüdi kob piruwen. Bangeagako, fere güre mügar meag büreaga baba, nu Jona kürüna emegerweaga.”
LUK.11.34	Ege nagüb baba, nagüb mubeb nan sibe. Ege nagüb nama garba, mube nab meramgeregeaga. Banüm gürena, ege nab kogi garba, mube nab gituwataweregeaga. 
LUK.11.35	Babaure idadau tauge, meram nag gam büreaga baba, kumatauneregeaga banai. 
LUK.11.36	Mube nagüb gituwegi fanam kene, gürenakuti meramgabowarba, bana mube nagüb nan meramde noregi sibe gürenakuti meramgaboweregeaga.”
LUK.11.38	Farisi baba Jisas kegeweaga baba, gotogüdi daba neaga. Amure, yag fidfotudi daba nargegar, ututun toitoiweaga. 
LUK.11.39	Bangeagako, Erekokaide menüm waweaga, “Nini Farisiwar, yag negi noi tugu fade tugu nigeyau baba idadau gasafaigenan. Bangeagako, gama gam ba, be kabia tugu kabia kogkogi nini gam gobeaga. 
LUK.11.40	Nini susukuna ferewar! Fere daba daba obgoira idaweaga baba, gama gam tugu idaidaweaga. 
LUK.11.41	Bangeagako, daba daba fade gam büren baba, fere daba daba sigagen baba dünügane, bangar baba daba dabade sagüngeregen. Nini bangeregenan baba, ninagüngab daba daba gürenakuti urun büreregegin.
LUK.11.45	Kabiab sibam fere güre dora baba edüdi Jisas menüm waweaga, “Sibam sarigegi, na Farisiwar gam dora babanüm gün baba, na sin tugu kogifürüsigün.” 
LUK.11.46	Bangar Jisasde wageaga, “Kabiab sibam ferewar nini tugu dabnana. Nini daba daba kub tugu degi kabia sibe genan, bangüdi ferewar dünügenan, bangar kemeiegi dirugungeaga. Bangeagako, ninagüde fanam kube magi güre difürüdi, kub toi baba sagüngüdi kemeifaigarge.
LUK.11.48	Ninag matananügmanade fere kiangegi kabia abatarungedi, ninagüde nama kabia güdi maig gürewar abatarüngafaigenan. Bangar ninagüde ferefib karün nübürüngafaigenan. Amure, matananügmanade kiari ferewar kiasorungedi kugumgen.
LUK.11.49	“Keriabüb ututun nama surur baba menüm wageaga, ‘Ye kiari ferewar tugu dora turewegi ferewar tugu sugurungür baba ferewar gam kümüneregen. Bangar ferewarde, gürekoi kogifürüngüdi kiasorungedi kugumgeregen.’ 
LUK.11.50	Babaure kiari ferewar kiasorungen baba ferewarüngab menmen baba, Keriabüde kübüdim meme taibereaga sese gamnana toadüdi ogura mügar taideaga. Baba menmen baba, mügarüb ferefinabur gam büreregeaga, bangar baba menmenüb kub kaiweregen. 
LUK.11.51	Kiari ferewar kiasorungen baba, Abel gamde tuadüdi ogura Sekaraia gam kenegen. Baba fere nu bai feregi kur tugu Keriabüb fata kodigo orfotuwen. Io, ye wangün, baba kabia kogi gürenakutib mur kogi baba, ferefinabur mügar büren baba gam taideregeaga.
LUK.11.53	Bana Jisas fata nuge büreaga baba ebgadeaga. Bangar kabiab sibam ferewarie Farisiwar keab Jisasure kob koigen, bangüdi toto eib eib totowen. 
LUK.11.54	Sarabewedi dora güre namage maig towar, dora gam diferebüregüdi, toto totowen.
LUK.12.2	Baba daba gürenakuti kotobata büreaga baba, agüba tataigeregen. Bangar iwagegi dora gürenakuti baba, fere sibamgeregen. 
LUK.12.3	Babaure, ninag dora gürenakuti utumnonou doragenanwaib baba, ferefinabur sida tugu ederegen. Dora gürenakuti ninag dab fanam fata goime doragenanwaib baba, fata kekia biboudi ferefinabur gam pitoieregen.”
LUK.12.5	Bangeagako, ninag wonurenana dag kimigaga babaure, ye wanügebüregün. Nini Keriabure kimigane. Keriab nu fere orfotudiba, fere baba keb gam fotuwegi nu yanim tugu. Ye kainana wangün, nini Keriabure kimigane.
LUK.12.6	“Ninag sibam, fere nini aküre magi fanam gamde, ai fanam fanam taba tugu murgafaigen. Bangar Keriab nu baba ai toi, güre fanamure kaguduafaigarge. 
LUK.12.7	Baba tugu, Keriab ninagüb taba sara toi gürenakuti ninaifotuweaga, bangüdi ninag idadau sibamgeaga. Babaure, nini kimigagana. Keriab ninag taungeaga baba, ai toi fanam fanam taungegi kabia emegerweaga. Babaure nini ai fanam fanam epüra emegerüngarge.”
LUK.12.9	Bangeagako, fere nu yeb gin gamnabge güdi banüm ferefinabur wangarba, ye tugu nu yeb gegüdi banüm Keriabüb dora dugurewegi simai wangere.
LUK.12.12	Baba sese gamnana Etob Kedebüde dora nini gam maig towegi baba abatarüngeregeaga.”
LUK.12.13	Ferefinabur gin ere baba kodigo, fere gürede Jisas menüm waweaga, “Sibam sarigegi, emüga yeb manage kumeaga, babaure nade igeab awai wawab daba daba emügade ureadi kümüneaga baba, kabataudi güresari siebüregüdigün.” 
LUK.12.14	Bangeagako, Jisasde totoweaga, “Aranüm? Ye ninaküreb dora nanaregi tugu daba daba kabatagegi tugu fere bürürge.” 
LUK.12.15	Bangüdi ferefinabur menüm wangeaga, “Nini dabnana kege kegeudi bürane. Nini irimsorum daba daba kiregebüre ege neregenan banai. Nag daba daba epürage tuguko, baba daba daba nagüb sibe gotogegi nama deregabge.”
LUK.12.16	Bangar Jisas nini gam komina dora güre menüm pitoiaga, “Kegenam fere güreb küm gam daba epüra fanam ferarge. 
LUK.12.17	Bangar fere baba arangüigüdi, banüm utungeaga, ‘Igeab daba gürenakuti sapagegi baba, igeab daba fata baba towarge.’ 
LUK.12.18	Bangar menüm wageaga, ‘Igeab daba fata toi gürenakuti esuafotugüdi, fata ere ere tuweregün, banguidagugüdi utungeaga. Bangüdi igeab wit magi gürenakuti tugu igeab daba daba nama baba fata toi gam sapagere. 
LUK.12.19	Bangar igeure menüm wageregün. Ye kümdan toi degib daba daba nama epüra fanam tobgafotun. Bana mügar kabereregün. Bangüdi kobe erekokai bata kobegüdi daba yag nüdi ebebearuabüreregün.’ 
LUK.12.20	Bangar Keriabüde menüm waweaga, ‘Na kürüna nanauro fere. Na mügar meme utumnonounana kumeregün. Bangar nag daba daba gürenakuti dugutuafotunwaib baba, wonide debeaga?’” 
LUK.12.21	Bangar Jisasde wageaga, “Baba daba fere nugengab daba daba tobgafaigen baba gam taideregeaga, bangeagako, Keriabüb ege gam koigeb büren.”
LUK.12.22	Bana bangar Jisas nugeab daidaigegi simai wangeaga, “Ye menüm wangün, nini komina dora baba utungübenar, ninagüb gotogegi namaure ututungüdi am daba nübügogüdi, banüm doragagana. Baba tugu ninagüngab ututun toitoiudi mube gam am ude dagübugogüdi, banüm doragagana. 
LUK.12.23	Gotogegi nama nu daba negib daba gürenage, baba tugu mube nu ude dagegib daba gürenage. 
LUK.12.24	Arokwar utungane, nini daba orfaigedige, daba tobugafaigedige. Nini daba fata kene, daba daba sapagegi fata kene. Bangeagako, Keriabüde daba dünügafaigeaga. Bana ferefinabur niniba, ai toi kürüna emegerüngenan. 
LUK.12.25	Nini gam güre, idadau büregib kabiaure ututun toitoiwarba, baba ututun toitoiwegib kabiade nugeab gotogegi namab sese baba, fanam buruwaurebeagade? Kenenai. 
LUK.12.26	Bana ninagüngab ututun toitoiwegib kabiade, ninagüb gotogegib sese fanam buruwaurebeagade? Kenegarba, nini amure daba güregüreure kürüna ututun toitoiwenan?
LUK.12.28	Mügar baba sibir toi meag bag büreaga baba, kiarigenana ferede kitkatüdi keb gam fobotgeregen. Ug sibir sibir baba, Keriabüde karün nübürüngafaigeaga. Babaure, ferefinabur nini kob kainana fanamere tugu baba, nini menüm utungane, ninag tugu Keriabüde karün nama nama, nübürüngeregeaga. 
LUK.12.29	Babaure, nini am daba nüb, am yag nübügüdi, kororabgüdi banüm ututun toitoiwagana. 
LUK.12.30	Kübüdim gamnab ferefinabur gürenakuti, daba daba babanüm fitaudi kororabgafaigen. Bangeagako, ninagüngab emnüg nu sibamgafotuweaga, nini baba daba daba deregenan. 
LUK.12.31	Babaure nini Keriab uruwar ninagüngab erekokayau büregi utun dar, nugede korobangeregeaga. Bangüdi baba daba daba tugu dünügeregeaga.”
LUK.12.33	Nini uruwar ferewarde ninagüngab daba daba gürenakuti murugedi, baba kegeam, fere daba daba kene babawar dünügane. Nini kegeam far koigafaigarge babanüm dane, bangüdi fib nama gamnab daba nama nama tobgane. Fib nama gam, daba daba kenegafaigarge, be ferede düfaigedige, sam kokogide daba daba kogifuruwafaigedige. 
LUK.12.34	Ninagüngab daba nama nama arag arag dag büreaga baba, baba fib gam gürena ututun ninagüngab tugu büreregeaga.”
LUK.12.36	Fere güre finege degib dü gam, eregeam güre büreregeaga, finege degib dü baba gam, kobe ere kobegedi eregeam baba daba nifotudi, ureadi maig ogurebüregar sarua ferewarde momofaigen baba ferewar sibe, nini bürane. Nu ogura fub poraurarba, pirikanana fub taifotuweregen. 
LUK.12.37	Eregeam oguradi nugeab sarua mogoi toi ara kinedi kegengarba, bana baba sarua mogoi toi nini ebebearweregen. Ye nini gam kainana wagün, eregeam nugede, nugeab ude sigagabürüdi sogsogi dageregeaga, bangüdi wanügar daba nebüre kurebdir kinbougeregegin. Bangar nugede oguradi daba dünügeregeaga. 
LUK.12.38	Bana eregeam sigerügde, kuaida omonana doragegin sese gam oguradi, sarua mogoi toi kegengar ara kinedigegarba, baba sarua mogoi toi nini ebebearweregen.
LUK.12.40	Nini tugu bigsaisaiwane. Fereb Nono nu ogureregargegüdi utungeregenan baba sese gam, nu ogureregeaga.”
LUK.12.41	Pitade Jisas menüm totoweaga, “Erekokai, komina dora baba sin gürena sigünde, ede ferewar gürenakuti gam tugude?” 
LUK.12.42	Bangar Erekokaide menüm wageaga, “Am taugegi nu ututun nama tugu, fünai nugeab tugu nama güfaigeaga, baba fere, eregeam nu taugegi babanüm, sarua mogoi toi nugeab taugebüre uruagafaigeaga. Bangüdi eregeamde daba negi sese uruageaga baba sese gamnana, taugegide sarua mogoi toi gam tugu daba agüregeregeaga. 
LUK.12.43	Sarua mogoi babanüm baba, nu saruwagabürarbere, eregeam nugeab maig ogura kegeweregeaga baba sese gam, nu ebebearweregeaga. 
LUK.12.44	Ye nini gam kainana wagün, eregeam nugeab daba daba gürenakuti taugegi, sarua mogoi baba uruageregeaga. 
LUK.12.45	Bangeagako, baba sarua mogoi menüm utungeaga, ‘Igeab Eregeam pirika ogureregargegüdi,’ sarua mogoi gürekoi tugu sarua finabur tugu kiasorungeaga. Bangüdi daba tugu yag tugu nüdi nanaurogeaga. 
LUK.12.46	Bana sarua mogoi baba dü güre gam ara bigsaisaigarbere, eregeam ogureregeaga, baba tugu, sese güre gam ara sibamgarbere ogureregeaga. Bangar eregeamde sarua mogoi baba kürüna kogifurudi, fere simai dora ara edibe wegi simai keab difereregeaga.
LUK.12.48	Bangeagako, sarua mogoi güre baba, eregeamüb ututun sibamgarge baba, gege degi kabia geaga, bangeagako, eregeamde fanamere oreregeaga. Fere gürenakuti daba daba epüra fanam deginwaib baba, nini daba daba epüra fanam maig toweregegin. Fere gürenakuti fere güreb kube gam daba daba epüra fanam diferegin baba, bana wawedi maig daba daba epüra fanam namana maig toweregeaga.”
LUK.12.49	Jisas namana menüm wageaga, “Ye kübüdim gam keb fotuwebüre oguranwaib, bangar keb baba pirikanana burirwebüre utungun. 
