MAT.1.2	Burahemu wamuzhala Isaka. Isaka akimuzhala Jakobu. Jakobu akimuzhala Juda na nduguze a kilume. 
2TI.2.11	Bai thiu musemo wa kukuluhirika.
2TI.2.11	Chamba fwafwa hamwenga naye, fundaishi hamwenga naye.
2TI.2.12	Fukimukana iye naye andahukana.
2TI.2.13	iye ni mwaminifu tha kapindi,
2TI.2.13	mana iye k'adima kudzikanaiza mwenye.
2TI.2.15	Uwe, henda wadimazho, umwanyese Mulungu kukala unafwaha, na u muhendzi wa kazi ase na haya na yo kaziye na kidza adimaye kurielezat'o ro neno ra ujeri. 
2TI.2.16	Dziike kure na masumuriro ga kizuzu garigo k'agakimulungu, mana at'u mario manadzangiza-ngiza kahi za maut'u gago nikukala manamushalahukira Mulungu p'ore-p'ore. 
2TI.2.17	Masumuriro gago ga kizuzu, be ni kududuka vivii, na kukala here kironda cha rika. Mufano wa at'u mahendao maut'u dza gago ni Humenayo na Fileto. 
2TI.2.18	At'u alume aa airi mangamika ngira na wo ujeri makiulozera mongo. Ndo bai manaambiriza andziyao kukala at'u magonya kufufulwa kare. Nao kwa kuhenda vizho manaahenda angine mahende wasiwasi kahi za kumukuluhira Mulungu. 
2TI.2.19	Ela hamwenga na vizho wo musinji uriwoikwa ni Mulungu, u nju-nju-nju, nawo musinji uwo una muhuri uu: “Ye Bwana anamanya o mario ni akwe” na mungine unaamba, “Kila mut'u arihadzaye dzina ra Bwana naariche uthiriri.” 
2TI.2.20	Kahi za nyumba yoyosi bomu, muna viya zha kila samupuli. Muna zha kutengezwa na fedha, na zha dhahabu, na hatha zha muhi na ulongo. Viya vingine vihumirwa kwa haja bomu-bomu h'akeye, na vingine zho vinahumirwa kilacha kwa shuhuli za vivi-vivi. 
2TI.2.21	Bai chamba mut'u anahendza ahumirwe kwa shuhuli bomu, be suthi adzitsuse kamare kula kwa zo shuhuli za vivi-vivi. Akihenda vizho bai, andakala yudzahendywa mueri na wa mana kwa iye Bwana, na andakala a thayari kuhumirwa kwa kazi yoyosi mbidzo.
2TI.2.23	Usithathe, kudzangiza-ngiza kahi za k'anani za kizuzu na za kipambavu, mana uwe unamanya kukala mwishowe ni h'uwoh'uwo kunenezana 
2TI.2.24	Muhumiki wa Bwana k'av̱irya akale ni wa h'uwoh'uwo kunenezana na at'u, hat'uhe iye, niakale ni mut'u mup'ore kwa at'u osi, akale anadima kufundishat'o bila vitsukizi. 
2TI.2.25	Aryahu at'u ambao ma kinyume naye, anav̱irya aakanye kwa up'ore ngaa Mulungu aagaluze mioyo yao na madime kuumanya ujeri, 
2TI.2.26	Kidza maleukwe na mauchimbire wo muhego wa Shethani, ariye were waagwira na akialazimisha mathuwe zho zhakwe.
2TI.3.2	At'u mandadzihendza o enye kare, mandahendza p'esa kukira kiasi, mandadzidai na kudzikut'ula. Ao vizho mandahukana-hukana at'u, k'amandaasikira azhazi ao bule, hatha muv̱era wenye nawo mandakala k'amana, mandakosa kukala aeri. 
2TI.3.3	H'aya zho go, ao vizho k'amandahendza mut'u, kusamehe kwenye k'amandasamehe, mandadzala nyambo, mandakala av̱ara na masiogut'ika kitsutsu, kidza mario vizho vii be ndo viafwahizazho. 
2TI.3.4	H'aya, ao vizho mandaasaliti andziyao k'amandambirika, na mandadzionya k'amuna. Ao mandamwika k'anda Mulungu na mathuwe maut'u ga kuafwahiza. 
2TI.3.5	Kidza mandaonekana kukala mana Mulungu sana, ela ko sozho, zo nguvu za dini manazikana. Vikara uwe dziike kure na at'u dza vizho ao.
2TI.3.7	Anaache ao manadzifundisha kwenda-kwenda, ela bai k'amadima kufikira kiwango cha kuumanya ujeri. 
2TI.3.8	Jane na Jambure majeza kushindana na Musa, na aa nao manahenda ut'u dza uwo, manapingana na ujeri, zo akili za at'u aa be zagonya kwanongeka na ro kuluhiro rao si ra jeri. 
2TI.3.9	Ela kwani wamba vindafururiza? K'avindafururiza bule, mana vindafikira siku, kila mut'u andawona lwazu wo uzuzu wao, mana vizho ndizho virizhoakalira ani Jane na Jambure.
2TI.3.11	H'aya zho mbai, uwe unamanya viryahu nirizhoteswa na thabu zangu unazimanya. Garyahu gosini garigonikala ko Anitiokia, Ikonio na Lusitera unagamanya. Wee, mut'u mimi navumirira mateso sana. Ela hamwenga na vizho Bwana wanithizha na gago gosi. 
2TI.3.12	Kwandza kila ahendzaye kuishi maisha ga kimulungu kwa kumuthuwa Masihi Jesu, andateswa thu. 
2TI.3.13	H'aya athiriri na alongo mandakaza kukala ai, mandakenga at'u na ao nao makengwe ni angine. 
2TI.3.14	Ela uwe bai, sikengwe bule, enderera kuthuwa garyahu urigofundishwa na kugakuluhira, kwani o mariokufundisha unaamanya. 
2TI.3.15	Kidza unamanya kukala go Maoro maeri gadimago kukulachiza hatha ukapata wokolwi kukirira na kuluhiro kahi za Masihi Jesu, be uwe wagamanya hangu uchere muthithe. 
2TI.3.16	Bai Maoro gosini gaorwa kwa nguvu za Mulungu, nago bai ganafwaha kwa kuafundishira at'u, kuchemera at'u madziokosa, kurekebishira ut'u uriwo k'ombo na kidza ni madzo kwa kualongoza at'u kuishi maisha gav̱iryago. 
2TI.3.17	Kusudhi ye mut'u wa Mulungu akale thayari na kila kit'u cha kuhendera kazi zosi mbidzo.
2TI.4.2	Kwa ut'u uwo bai hubiri ro neno ra Mulungu thuwe. Hubiri wakathi wosi, ufwahao na hatha usiwofwaha. Chemera makosa, kanya at'u, na kidza uap'e moyo. Avumirire thuwe na uafundishe. 
2TI.4.3	Mana kundakudza makathi ambago at'u mandakala k'amendzi kaheri kusikira mafundisho ga jeri, mandichohenda ni kuthuwa th'amaa zao na kudzikundzumanyira alimu mandioafundisha vizho marizho manamala kusikira. 
2TI.4.4	Mandakahala kusirikiza wo ujeri na hat'uhe mathuwe kusirikiza maut'u ga ngano-ngano. 
2TI.4.5	Ela uwe bai kala matso kahi za maut'u gosi, vumirira mashaka na uhende kazi ya kuambiriza at'u Uv̱oro Udzo. Bai henda yo kaziyo t'ot'ot'o here muhumiki wa Mulungu.
2TI.4.7	Nami yo k'ondo dzaipigat'o, na cho charo dzakigonyat'o na nichere ninamukuluhira Mulungu vizho. 
2TI.4.8	Kidzichobaki ni kwenda mulunguni, na kwendagerwa yo zawadi yangu ya hachi, ambayo ye Bwana, ariye ni mulamuli wa hachi waniikira na andanip'a yo siku ya mwisho. Bai zawadi ii sindaigerwa h'akiyangu bule, ela indagerwa osini mario manathariza kwa hamu, kudzakwe.
2TI.4.9	Vikara, henda bidhii unifikire, kidza be usitoe bule. 
2TI.4.10	Mana Dema, kuku k'ako, wafwahirwa ni maut'u ga urumwengu wa vikara, bai akiniricha achenda Th'esalonike. H'aya Kiresike ye wakwenda Galatia na Tito achenda Dalimatia. 
2TI.4.11	Haha be niriye naye ni Luka h'akeye. Ningahendza umuhale Mariko na udze naye, mana iye anadima kunifwaha sana kahi za ii kazi nihendayo kuku. 
2TI.4.12	Tukiko namuhuma Efeso. 
2TI.4.13	Vikara chamba udzakwatya kudza, nirehera yo k'andzu yangu niriyoiricha mikononi mwa Karipo, ko T'eroa. Pia ndzo na viryahu zhuwo, haswa viryahu zha k'ingo.
2TI.4.15	Uwe nawe, baha udzimanyirire naye, kwani mut'u iye washindana naswi sana wakathi hurihokala hunahubiri.
2TI.4.17	Vikara ganakala gaga, ye Bwana k'anirichire bule iye wakala hamwenga nami, akinangiza nguvu na nichadima kuhubiri wo Uv̱oro wosi kwa at'u osi mario si Ayahudi. Bai ko kanwa ka simba k'akanipatire bule, nathizhwa. 
2TI.4.18	Ye Bwana andanithizha na mai gosi, na andahakikisha nidzafika kahi za uthawaliwe wa mulunguni salama salimini. Bai nguma nayende ko kwakwe iye hatha kare na kare! H'aami.
2TI.4.20	Erasito wasala ko Korintho, T'erofimo nikimuricha ni mukongo ko Mileto. 
2TI.4.21	Henda chadi udze kabila wakathi wa mwaka. Yubulu, P'ude, Lino na Kilaudia na o ndugu angine osi madzakulamusa.
TIT.1.2	Na pia nahumwa niahendye makale na hakika ya kupata uzima wa kare na kare. Uzima uu walagwa kapindi na kapindi ni Mulungu, na Mulungu k'anena ulongo bule. 
TIT.1.3	Na vivi vikara kwa wakathiwe mwenye, adzawonyesa lwazu-lwazu kukirira na ko kuhubiri wo Uv̱oro Udzo. Na kwa malagizo ga iye Mulungu mwokoli wehu, nagerwa kazi ii ya kuhubiri, kwa kukala iye Mulungu wanona ninakuluhirika kwa kazi iyo.
TIT.1.7	Kwa kukala bishopu ni mut'u wa kuimirira kazi ya Mulungu, suthi akale k'ana kaila kokosi. Asikale mut'u wa kudzionya, hedu mut'u wa roho ya hehi. Kidza asikale murevi, hedu mut'u wa kuhendza k'ondo. Pia iye vizho, asikale mut'u wa kuhumira ngira zisizofwaha kupatira p'esa. 
TIT.1.8	Ela bishopu niakale ni mut'u mutseki. Kidza niakale ni mut'u ahendzaye kuhenda madzo, mwenye akili na adimaye kudzizulia na mai. Maisha ga kwakwe nigakale ni ga hachi na ga kumufwahiza Mulungu. 
TIT.1.9	H'aya zho mbai, suthi akale ni mut'u ariye go mafundisho ga jeri arigogapata wagagwira ngwa. Vivi vindamuhendya adime kuap'a moyo at'u angine na gago mafundisho ga jeri, na pia aanyese aryahu magapingao haryahu makoseraho.
TIT.1.11	At'u aa ni manyamazwe kamare, kwa kukala madzayononga midzi ya at'u kwa kufundisha maut'u gasigov̱irya. Nao manahenda vivi kwa lengo ra kupata p'esa. 
TIT.1.12	Mumwenga wao, nabii wao mwenye kula kuko K'irete waamba kukala “Ak'irete ni alongo siku zosi, ma here nyama a tsakani, ni akaha na madziotona.”
TIT.1.14	masisirikize ngano za Kiyahudi hedu kugwira malagizo ga at'u mario k'amendzi ujeri.
TIT.1.16	At'u aa manaamba kukala manamumanya Mulungu, ela zho vihendo zhao vinanyesa kukala k'amamwendzi bule. Madzaola na k'amasikira, kidza k'amafwaha kwa ut'u wowosi udzo.
TIT.2.2	Ambire o athumia makale at'u a kudziunya na alachu. Masikale at'u a madhe-madhe bule, nimakale na nguvu kahi za kuluhiro, kahi za mahendzo na kahi za kuvumirira.
TIT.2.4	ili madime kuafundisha anaache hirimu maahendze alume ao na ana ao, 
TIT.2.5	madzizulie na mai, makale aeri, na matsundze midzi yao t'ot'ot'o. Kidza mandaafundisha makale at'u enye mioyo midzo, na maasikirao alume ao, ili neno ra Mulungu risihukanwe bule.
TIT.2.8	Fundisha gago mafundisho ga jeri, ili ao mahadhuio magwirwe ni haya kwa kukosa rorosi ra kunena dzulu zehu.
TIT.2.10	Masiaiyire mabwana ao bule, ela hat'u ha vizho ni madzionyese kukala ni at'u adzo na mario manakuluhirika kahi za ngira zosi. Vivi vindaahendya manyese kukala gago mafundisho dzulu za Mulungu mwokoli wehu ganafwahiza.
TIT.2.11	Kwani Mulungu wanyesa nemaye lwazu kwa ut'u wa kuakola at'u osini. 
TIT.2.12	Na nema iyo, inafufundisha furiche kuishi maisha garigo si ga kimulungu. Kidza inafuhendya furiche garyahu futs'ots'erwago ni urumwengu fuhende, na hat'u ha vizho fuishi maisha ga kudzizulia na mai, na garigo karakara. Kidza fuishi maisha ga kimulungu kahi za urumwengu uu wa vikara, 
TIT.2.13	kuno funaithariza na hakika iryahu siku bomu ya raha. Siku iyo nguma ya Mulungu wehu mubomu, mwokoli wehu Masihi Jesu
TIT.2.14	Iye Masihi wadzilazha mwenye kwa ut'u wehu siswi, ili ahuthizhe na uwi, na ahuhendye at'u aeri na a kwakwe mwenye, at'u enye t'it'i ya kuhenda madzo.
TIT.2.15	Gafundishe maut'u gaga na uhumire wadimi wa kwako wosi wakathi ukalaho unaap'a moyo na kuachemera. Usiriche mut'u akakuv̱udhya bule.
TIT.3.2	Ambirize kwamba masimunene vii mut'u yoyosi na masinenezane, ela hat'u ha vizho nimakale ap'ore kwa at'u osi, na mamuheshimu kila mut'u.
TIT.3.5	akifwakola. Si kwa ut'u wa mahendo madzo hurigogahenda, ela ni kwa mbazize. Akifwakola kwa kuhugesa, ambako kukirira na kuko, Roho Mweri anahup'a kuzhalwa lusha na mitoere misha. 
TIT.3.6	Mulungu wafuhumira Roho Mweri kukirira kwa Jesu Masihi mwokoli wehu bila kipimo, 
TIT.3.7	ili siswi huriohendywa ahachi kwa iyo nema ya kwakwe, fuhendywe fuupate uryahu uzima wa kare na kare furio na th'amaa nao.
TIT.3.8	Bai gaga nidzigokwambira be ganakuluhirika. Nikahendza uone kukala at'u manang'alirwa ni mafundisho gaga, ili aryahu mamukuluhirao Mulungu mahakikishe kukala manahenda mahendo madzo. Maut'u gaga ni madzo na gandamufwaidhisha kila mut'u. 
TIT.3.9	Ela dziike kure na k'anani zisizo mana, na minyilili mire ya akare. Usinenezane na at'u kamare hedu kukosana dzulu za yo Sheria ya Kiyahudi. Maut'u gaga k'agana mana na k'agana faidha yoyosi.
TIT.3.11	Kwani mut'u dza yuyu unamanya kukala ana dambi na adzanongeka kidza anadzipiga ulongo mwenye.
TIT.3.14	At'u ehu masiishi maisha garigo k'agana faidha, ela hat'u ha vizho ni madzambozeze kamare kahi za kuhenda madzo. Ni maasaidhie aryahu mario mana mahitaji ga mana.
TIT.3.15	At'u osi mario hamwenga nami haha, madzakulamusa. H'aya, naswi hulamusire aryahu mario manahuhendza na manamukuluhira Masihi dza siswi. Bai nema naikale hamwenga nanwi nyosini.
PHM.1.2	Kidza hunayandhika kwa dada Afiya, na ndugu Arikipo, shikari mwandziwehu kahi za Bwana, na hatha kwa kanisa rithungananaro nyumbani mwako.
PHM.1.3	Nema na dheri kula kwa Mulungu Babiyehu, na Bwana Jesu Masihi, navikale kwenu.
PHM.1.5	kwani ninasikira dzulu za ro kuluhiro uriro naro kahi za Bwana Jesu, na go mahendzo urigo nago dzulu za at'u osi a Mulungu. 
PHM.1.6	Ninavoya kukala uwo ushirika uriwo nawo kahi za kumukuluhira Jesu, ukale na nguvu, ili umanye garyahu madzo gosi garigo kahi za Masihi, ni hachi yehu fugapate. 
PHM.1.7	Ndugu yangu, nina raha nyinji, na ninasikira kwangizwa nguvu kwa ut'u wa go mahendzogo, kwani udzaangiza nguvu za kiroho at'u a Mulungu.
PHM.1.9	ela kwa kukala funahendzana, naona baha nihende kukuvoya. Mimi P'aulo niriye ni muthumia, na mimi vizho ni mufungwa kahi za Masihi Jesu ninakuvoya. 
PHM.1.10	Ninakuvoya kwa ut'u wa Onesimo ariye vivi ni mwanangu kahi za Masihi, mana wamukuluhira Jesu wakathi nirihomuhubiri haha kifungoni. 
PHM.1.11	Haho nyuma, Onesimo
PHM.1.12	Bai namudzya kwako kaheri, kwa vizho muhokere kwani iye be a moyoni mwangu. 
PHM.1.13	Were nahendza nithuwe kukala naye kuku kwangu ili ahale hat'uho anihumikire mimi kahi za kufungwa kwangu kwa ut'u wa Uv̱oro Udzo wa Mulungu. 
PHM.1.14	Ela sihendzeze kutengeza ut'u bila ruhusayo, ili wo udzowo usikale ni udzo wa kuhenda kulazimishwa, ela ukale ni wa kuhendza mwenye. 
PHM.1.15	Na hangine sababu iriyomwamboza ko kwako kwa muda, were ni kwamba ukadime kumuhokera kaheri na akale nawe kare na kare. 
PHM.1.16	Charo kiki iye si mutumwa thu, ela a zaidhi ya mutumwa. Iye ni ndugu muhendzwi haswa kwangu mimi na hatha zaidhi sana kwako uwe here mutumwao na nduguyo kahi za Bwana.
PHM.1.17	Kwa vizho kala unanithala here mwandziyo furiye ngara kahi za kuluhiro, be muhokere ye Onesimo here ungazhonihokera mimi. 
PHM.1.18	Na kala ana ut'u wowosi ariwokukosera, hedu kala unamwisa ut'u wowosi, vizho zhosi navikale dzulu yangu mimi. 
PHM.1.19	Mimi P'aulo nandhika vivi na mukono wangu wenye, nindariha, ela kumbukira kukala ninakwisa hatha yo rohoyo. 
PHM.1.20	H'aya bai, ndugu yangu, ningahendza umuhokere kahi za Bwana, nawe undakala udzanihendera ut'u udzo wa kuniburudisha moyo wangu kahi za Masihi. 
PHM.1.21	Na kwa kukala ninakumanya kukala u mut'u musikizi, ninakuorera nikimanya kukala undahenda hatha zaidhi ya vivi nidzizhovivoya mumu.
PHM.1.22	Hamwenga na vizho nithayarishira hat'u ha kulala, kwani ninakuluhira kukala kukirira na mavoyo genu, nindambozwa haha jela na nikuzhoge kuko kwenu.
PHM.1.24	Kidza udzalamuswa ni Mariko, na Arisitariko, na Dema, na Luka, mario ni ahendzi a kazi andzangu.
HEB.1.1	Haho kapindi, Mulungu wanena na akare ehu kukirira kwa manabii. Wanena nao mara nyinji na kwa ngira tofauti-tofauti. 
HEB.1.2	Ela kahi za siku zizi za mwisho, Mulungu wanena naswi kukirira kwa Mwanawe mwenye. Mulungu waumba urumwengu wosi kukirira kwa Mwana yuyu, kidza akimutsagula kwamba vit'u zhosi vikale vindakala zhakwe. 
HEB.1.3	Mwana iye anafwanyesa yo nguma ya Mulungu yenye. Ukimona iye udzamona Mulungu. Urumwengu wosi unaenderera kwa amuri ya kwakwe iriyo na nguvu. Arihokala adzagonya kufwa na kuatsusa at'u dambi zao, wakwenda mulunguni achendakelesi mukono wa kurya wa Mulungu, ariye iye ndiye mwenye nguvu dzulu ya zhosi.
HEB.1.5	Kwani k'akuna malaika hatha mumwenga ariyeambwa ni Mulungu kukala,
HEB.1.5	“Uwe u Mwanangu;
HEB.1.5	mimi vivi rero nidzakala Babayo.”
HEB.1.5	Kidza k'akuna malaika ariyeambwa ni Mulungu kukala,
HEB.1.5	“Mimi nindakala Babaye,
HEB.1.5	Naye andakala Mwanangu.”
HEB.1.6	“Malaika osi a Mulungu namamuvoye.”
HEB.1.7	“Iye nikuahendya malaikae makakala lupeho,
HEB.1.7	nikuahendya ahumikie makakala moho wa kuaka.”
HEB.1.8	“H'ewe Mulungu, uwe undathawala hatha kare na kare,
HEB.1.8	Uthawaliwo ni wa hachi.
HEB.1.9	Uwe unahendza hachi, udzamena uthiriri.
HEB.1.9	Ndosa mimi Mulungu, Mulunguo uwe, nakutsagula
HEB.1.9	nikikumwagira mafuha
HEB.1.10	“Haho chaho, uwe Bwana waumba urumwengu
HEB.1.10	na ukiumba mulunguni kwa mikonoyo mwenye.
HEB.1.11	Vivi zhosi vindangamika, ela uwe undasala;
HEB.1.11	vindathumika here nguwo.
HEB.1.12	Nawe undavikundza here amba.
HEB.1.12	Vizho vindagaluka,
HEB.1.12	ela uwe k'undagaluka bule.
HEB.1.12	Miakayo k'aina mwisho bule.”
HEB.1.13	“Kelesi mukono wangu wa kurya
HEB.1.13	muhaka mahadhuio niathambaraze kamare
HEB.1.13	ts'ini za magulugo.”
HEB.2.2	Wo uv̱oro uriworefwa ni malaika wakala ni wa jeri hatha kila mut'u ariye k'augwirire hedu kuuthuwa wangizwa akili kihachi kulengana na makosage mwenye. 
HEB.2.3	Vidze vindakaladze kala k'ahundaujali wokolwi uno ubomu vino? Ni lwazu kukala kala k'afundaujali, k'afundathia bule. Ho kwandza, wokolwi uu watangazwa ni Bwana mwenye, gonya aryahu mariousikira makidzafuhakikishira kukala ni wa jeri. 
HEB.2.4	Na wakathi uwo vizho, Mulungu akimboza ushahidhiwe. Iye wahenda miujiza minji tofauti-tofauti, na akilazha vigerwa zha Roho Mweri here arizhohendza iye mwenye.
HEB.2.5	Kwani hatha uwo urumwengu fuunenawo haha, uwo urumwengu udzawo, Mulungu k'apangire kukala malaika ndio mandiothawala. 
HEB.2.6	Na Maoro ganamboza ushahidhi dzulu ya vivi. Kwani hana hat'u haambaho kukala,
HEB.2.6	“H'ewe Mulungu, kwani mudamu ni kit'u chani hatha umukumbukire?
HEB.2.6	Hedu ye mwanadamu ni h'ani hatha umujali?
HEB.2.7	Uwe wamuhendya akale muthithe kukira malaika kwa muda,
HEB.2.7	gonya ukimup'a nguma na ishima,
HEB.2.8	Vikara, kuika kila kit'u ts'inize, manaye ni kukala k'ahana kit'u hatha kimwenga kirichosala. Ela here virizho, k'ahudzaona kukala vit'u zhosi vi ts'ini za uthawali wa mudamu. 
HEB.2.9	Ela fukimulola Jesu, funaona kukala wahendywa akale muthithe kukira malaika kwa muda. Kwa udzo ariwo nawo Mulungu, Jesu akiafwerera at'u osi. Na kwa ut'u wa go mateso arigogapata kahi za kifwa, Mulungu akimup'a nguma na ishima bomu. 
HEB.2.10	Kwani Mulungu ariyeumba vit'u zhosi kwa ut'u we iye, wahenda karakara kamare kumwangiza Jesu kahi za mateso ili akadime kuareha ana anji kahi za ngumaye. Kukirira na mateso gaga Mulungu wamuhendya Jesu akale kamili na athoshe kualongoza at'u aangize kahi za wokolwi.
HEB.2.12	Kwani wanena akiamba,
HEB.2.12	“H'ewe Bwana, nindaambira ndugu zangu dzuluzo.
HEB.2.12	Kahikahi za muthunganano wao, nindakulika.”
HEB.2.13	“Nindamukuluhira iye Bwana.”
HEB.2.13	Kidza anauya haho kaheri na kuamba,
HEB.2.13	“Thimino haha na o ahoho arionip'a Mulungu.”
HEB.2.15	na aarichire huru at'u osi mariokala ni atumwa kahi za maisha gao gosi kwa ut'u wa kugoha kifwa. 
HEB.2.16	Kwani vi lwazu kamare kukala iye wakudzaaviza at'u a lukolo lwa Burahemu, k'adzire aviza malaika! 
HEB.2.17	Kwa vizho were ni karakara kamare Jesu akale here nduguze kahi za kila ngira. Naye wakala vivi ili kwamba adime kukala mulombi mubomu mwenye, mwaminifu na wa mbazi kahi za kumwambozera Mulungu sadaka ya kuausiza dambi at'u osi. 
HEB.2.18	Na kwa kukala Jesu wateswa na akijezwa, iye ana wadimi wa kuaviza at'u majezwao.
HEB.3.2	Iye wakala mwaminifu kwa Mulungu ariyemutsagula, here dza zho Musa arizhohumika kwa waminifu kahi za nyumba yosi ya Mulungu. 
HEB.3.3	Ela here dza viryahu muaki wa nyumba agerwazho ishima kukira yo nyumba ariyoiaka, Jesu naye waonewa kukala anav̱irya kugerwa nguma zaidhi kumukira Musa. 
HEB.3.4	Kwani kila nyumba ina muakiwe, ela Mulungu ndiye muaki wa vit'u zhosi. 
HEB.3.5	Vikara, ingahokala Musa were ni mwaminifu kahi za nyumba yosi ya Mulungu, ela were ni muhumiki thu. Iye were anamboza ushahidhi wa maut'u garigo were Mulungu andaganena mbereni. 
HEB.3.6	Ela Masihi ye wakala mwaminifu here mwana aimiriraye mudzi wa babaye. Na siswi fu nyumba ya Mulungu, kala yo th'amaa huriyo nayo kahi za Masihi hundaigwira kuyunya kwa uhakika na kuinyeth'era.
HEB.3.7	“Rero musikiraho mumirowe,
HEB.3.8	Dza viryahu akare enu marizhomupinga Mulungu
HEB.3.8	wakathi marihomujeza ko nyika.
HEB.3.9	Ao magaona gago gangu nirigoahendera
HEB.3.9	miaka mirongo mine ko nyika,
HEB.3.9	ela o makinijeza vizho.
HEB.3.10	Kwa ut'u uwo wenye bai, natsukirwa zhomu nikiamba,
HEB.3.10	‘Myoyo ya at'u aa inaangamiza kwenda-kwenda,
HEB.3.10	k'amathuwa malagizo gangu.’
HEB.3.11	‘K'amandangira ng'o haryahu hat'u hangu ha kuoya.’ ”
HEB.3.12	Ndugu zangu, kila mumwenga wenu naadzimanyirire p'ore akangirwa ni moyo mui, na kutsakuluhira, hatha akamuricha Mulungu ariye moyo. 
HEB.3.13	Kanyanani enye kwa enye, p'ore mut'u akakengwa ni dambi akahenda singo nyomu hatha akakahala kumusikira Mulungu. Kwani iyo “Rero” iriyonenwa ni Roho kufuonya, be vivi idzahulenga siswi. 
HEB.3.14	Na kala ro kuluhiro rehu furirokala naro hangu ho chaho, fundarigwira hatha mwisho, be funa muthalo hamwenga na Masihi. 
HEB.3.15	Kwani Maoro ganaamba kukala,
HEB.3.15	“Rero musikiraho mumirowe,
HEB.3.15	sihendeni singo nyomu,
HEB.3.15	here akare enu marizhomupinga Mulungu.”
HEB.3.17	Na ni ano h'ani mariomutsukiza Mulungu kwa miaka mirongo mine? Ni ao mariohenda dambi na makifwa kuko nyika. 
HEB.3.18	Na hatha haryahu Mulungu ariholaha akiamba kukala “K'amandangira haryahu hat'u hangu ha kuoya,” were anaaamba aryahu mariokosa kumusikira. 
HEB.3.19	Kwa vizho funaona kukala at'u aryahu k'amadimire kwangira kwa ut'u wa kutsakuluhira kwao.
HEB.4.1	Bai cho kilagane arichoika Mulungu dzulu za at'u kwangira haryahu hat'uhe ha kuoya, kichereko hatha vivi. Kwa vizho nafudzimanyirire, p'ore angine enu mukakosa kwangira kuko. 
HEB.4.2	Kwani uwo uv̱oro udzo wa hat'u ha kuoya wambirizwa kwa o akare ehu dza zho Uv̱oro Udzo urizhohubiriwa kwehu siswi. Ela uv̱oro uwo k'auafwahire kit'u, mana mawambirwa ela k'amaukuluhirire. 
HEB.4.3	Ela siswi fukuluhirao, nikwangira kahi za haryahu hat'u ha kuoya. Ela ao mario k'amakuluhirire, Mulungu mwenye wanena akiamba,
HEB.4.3	“Nalaha kwa k'oro za kwangu, kukala,
HEB.4.3	‘K'amandangira ng'o haryahu hat'u hangu ha kuoya.’ ”
HEB.4.3	Mulungu wanena vivi, ingahokala kaziye ya kutengeza hat'u ha kuoya were waigonya kare hangu kuumbwa kwa urumwengu. 
HEB.4.4	Kwani Maoro, gananena dzulu ya yo siku ya fungahe. Ganaamba, “Mulungu wahenda kazize akizimarigiza, na siku ya fungahe akioya.”
HEB.4.6	Aryahu at'u a kwandza kuhubiriwa Uv̱oro Udzo wa kwangira haryahu hat'u ha kuoya, k'amadimire kwangira, kwa kukala k'amamusikirire Mulungu. Ela vikara, kwa kukala cho kilagane cha Mulungu kichere lwazu, 
HEB.4.7	iye waika siku nyingine kwa at'u mangire, iriyo ni “Rero.” Bada ya muda mure, iye wanena kukirira na muthawali Daudi kahi za Maoro gadzigohadzwa kare, akiamba,
HEB.4.7	“Rero musikiraho mumirowe,
HEB.4.7	sihendeni singo nyomu.”
HEB.4.9	Kwa vizho bai, kusere na siku ya kuoya kwa at'u a Mulungu. 
HEB.4.10	Kwani kila andiyengira kahi za kuoya kwa Mulungu, andaoya kula kwa kazize zosi, here Mulungu arizhohenda kula kwa kazize. 
HEB.4.11	Kwa vizho bai, nafujeze here zhadimikikazho, fwangire kahi za haryahu hat'u ha kuoya, ili kwamba hasikale na mut'u hatha mumwenga, andiyekosa kwangira kwa ut'u wa kuko kutsamusikira Mulungu.
HEB.4.13	K'akuna chumbe chochosi kiricho ndani-ndani zhomu, hatha Mulungu akale k'adima kuchona. Iye anaona kila kit'u, mana kwakwe iye vit'u zhosi vi halamu na vinaoneka lwazu. Kidza fundakwenda hukanenet'o dzulu za mahendo gehu gosi mbere za kwakwe iye.
HEB.4.15	Iye mulombi wehu, be ni mulombi ariye anafuonera mbazi kahi za unyonge wehu. Kwani wajezwa kwa kila ngira, dza zho fujezwazho siswi, ela k'ahendere dambi bule. 
HEB.4.16	Kwa vizho nafukisongerere kihi cha endzi cha Mulungu mwenye nema hasiho woga. Haho hundadima kuhokera mbazi na nema, vit'u vindizhofwaviza wakathi hukikala huna haja nazho.
HEB.5.2	Iye nikuaonera mbazi at'u masiomanya kit'u, na at'u mahendao makosa kwa kukala ye mwenye naye ni mut'u munyonge dza o angine. 
HEB.5.3	Ndosa akikala anamboza sadaka ya kuusizwa dambi, nikudzimbozera ye mwenye, kidza akaambozera o at'u nao. 
HEB.5.4	Na k'akuna mut'u adimaye kudzitsagula mwenye kare thu, kwa kukala anahendza ishima ya kukala mulombi mubomu. Hatha bule. Mut'u akala mulombi mubomu kwa kuifwa ni Mulungu, here Haruni arizhoifwa.
HEB.5.5	“Uwe u mwanangu,
HEB.5.5	mimi vivi rero nidzakala babayo.”
HEB.5.6	“Uwe u mulombi hatha kare na kare,
HEB.5.6	ulombi wa kwako undakala karakara na uryahu wa Melikizedeki.”
HEB.5.8	Na ingahokala Jesu were ni Mwana wa Mulungu, wadzifundisha kukala musikizi kula kwa go mateso arigogapata. 
