PSA.2.1	Ango solian da no Dios no nasiones aya. Ango paro o aro a planohen da a abo so kayayawan. 
1CO.15.4	Nivovon sia as nakapirwa na maviay do ichatdo na karaw a akma so vinata no Skriptura, 
1CO.15.5	as nakapavoya na di Pedro as kwanasaw dira do gropo da no dose saya a apostoles. 
1CO.15.6	Kapavoya na pa dira do nakpeh sawri a maypangay a dadima yatos (500) a kakakteh a sira so tayto pa maviay so kaaroan da a aran mian dana dira o nadiman. 
1CO.15.7	Napavoya pa sia mirwa di Santiago as kanira no atavo sawri a apostoles, 
1CO.15.8	as do kwanasaw am napavoya diaken a asa ako a nayvadiw a apostol a dia inahahaw do panganohdan taya, 
1CO.15.9	takwan yaken o máhbo dana a apostol as di mayanong a tawagan so apostol do nakaoyod na nahara no kasobna kano kakey ko a omrarayaw so timban aya no Dios. 
1CO.15.10	Pero makayamot do grasia na diaken no Dios am tayto ako a mayserbi sia. Arava nabo o sinmo no grasia aya no Dios diaken ta no kakawyoran na am tayto a rakorakoh o natrabaho ko kano kadwan amna do tanyan koava ya ta makayamot ya a atavo do grasia no Dios a marawat ko. 
1CO.15.11	Amna mayalit o kasira na anmana no kayaken no napawnonong so Evanghelio aya amna nawri o tayto a rakoh so sinmo o nakatayto nio na a manganohed.
1CO.15.12	An ara nayvangon si Cristo a akma so pawnonongen namen am ango paro iyan da dinio no makavata pa sia o kabo no mayvangon a yapo do kadimanan. 
1CO.15.13	As an abo mirwa a maviay am akma ya so kavata so nakadi na pa mayvangonan ni Cristo, 
1CO.15.14	as an di pa minirwa a maviay si Cristo am arava o sinmo no kapawnonong namen as kabo pa no inakyan nio nia o saray nioaya, 
1CO.15.15	as katayto namen a maydaydaday dinio takwan tayto namen a pawnonongen o nakapayvangon sia no Dios si Cristo a nia so dia parin an vatahen ta o kabo no nadiman a mirwa pa maviay. 
1CO.15.16	Takwan an abo makapayvangon a nadiman am nayvangon ava si Cristo. 
1CO.15.17	An oyod o nakadi na minirwan a maviay ni Cristo am arava o sinmo no nakapanganohed nio as katayto pa dia pinakaboan no gatogatos nio, 
1CO.15.18	as kabo no viay da a abo so pandan no atavo dana sawri a nadiman. 
1CO.15.19	As an no yanan no panapanayahen ta di Cristo as voyvoh do viay ta do tana aya am arava o maypakasi pa kaniaten do atavo a tawo.
1CO.15.20	Amna no kakawyoran na am nayvangon si Cristo a iya so nanoma kano sitnanan no mayvangon a nadiman dana. 
1CO.15.21	Akma so kadiman no atavo a makayamot do asa ka tawo am mian pa anti o kapirwa a maviay a makayamot do asa ka tawo, 
1CO.15.22	takwan no atavo a tayatayabo ni Adan am makarawat so kadimanan a akma so kapirwa a maviay no atavo a mian di Cristo. 
1CO.15.23	Amna mapia o kawnonot no kapirwa a maviay. Nanoma si Cristo a mayvangon as do ito a kapayvidi na am mayvangon sa anti o mian dana sia, 
1CO.15.24	as kawara dana anti no kavosan na do katayoka narana anti sia parawaten ni Cristo o paypatolan na do Dios Ama do karahan no kapabo na sia o ipakapamarin sa a machisobna sia. 
1CO.15.25	Takwan si Cristo am mavidin anti a maypatol a manda do kapangay sira no Dios o omlaban aya sia do panayahboan no kokod na. 
1CO.15.26	As no manawdi anti a rarayawen kano pabohen am no kadimanan. 
1CO.15.27	As mapanmo ta o kapakapanghomis ni Cristo do atavo a aran do kadimanan a akma so nakatolas a Chirin no Dios, “Tinongdo sia no Dios a mamanito do atavo.” Amna machangay ava o Dios Ama do vatan aya so atavo takwan iya o tomnoroh di Cristo so akmaya sia a ipakapamarin na. 
1CO.15.28	As an napaytavo dana anti ni Cristo a homisen o kalaban na as kapamanito narana do atavo am parinyen na anti o karakohan na a mian do panayahboan no Dios Ama tapian iya o maynolay as kano pamatohen no atavo.
1CO.15.29	An di sa mirwa a maviay o nadiman dana sa am ango sinmo na dira do nadiman dana saya o nakapabawtismo da no maviay pa a makayamot dira. 
1CO.15.30	Anmana makey kami paro a pakasisien kano mian do pangananawan no viay an abo viay an nakarahan o viay do tana aya? 
1CO.15.31	Oyod o vatahen koaya a kafermi no viay ko do kadelikadoan a akma so kaoyod no kavata ko sia o kainio no kasoyosoyotan ko do kapayserbi ko do Apo taya a si Jesu Cristo. 
1CO.15.32	Anmana ara paro inakyan ko nia o kapasalap ko so viay ko do pangananawan do Efeso a akma so kaparin da no machilaban do mangamomo sa vinyay an di mayvangon o nadiman? An nawri sigoro o kaparin na am, “Koman ta as kapaychaynoynom as kakonswelo ta, ta do omonot a araw am madiman ta as kanawri no tawsan no atavo.” 
1CO.15.33	Amna maychawaw tava a akma sira so makavata aya sia ya, ta rarayawen no mararahet a kaychayvan o mapia a dadakay. 
1CO.15.34	Makapia kamo so kapangtokto as katadichokod nio na dia o tayto nioaya pinaychawawan, ta tayto sa dinio o nayrahet so kaintindian da do komwan do Dios. Tayto ko ya vatahen dinio tapian ipachisnek nio o akmaya sia a kaparin nio.
1CO.15.35	Mapanmo ko o katayto da no kadwan a makavata sia o, “An ara mirwa a maviay o nadiman am maypango o kaparin na nia as kano ango anti o kaparin no karakohan da.” 
1CO.15.36	Amna ara paroava o aran dekey a kapanmoan nio sia ya do mismo ta eksperiensia? Mapanmo ta o kadi na tovoan no asa ka tinokos a votoh an di pa diman o karakohan nawri, as an nahta o votoh aya am nawri dana o kapachitadi no vayo a tovo kano viay na. 
1CO.15.37	As no vayo a tovo na am machitarek do nanoma ori a votoh no trigo anmana no kadwan a tinokos mo, 
1CO.15.38	ta torohan sa no Dios so vayo a karakohan da a nawri so machinaho dira.
1CO.15.39	As mapanmo ta pa o kadi na alitan no itoroh aya no Dios a karakohan. Matatarek o karakohan da no tawo, vinyay, manomanok kano among. 
1CO.15.40	Akma pa sawri o kayan no karakohan a sivog do ato no tana aya as kayan pa no machitarek a karakohan da no mian do tohos. Asna maytarek o avid da niaya. 
1CO.15.41	Ta aran no avid no araw am machitarek pa do avid no vohan kano vitohen sira as kapachitarek da pa no vitohen do kadwan dira.
1CO.15.42	Do akmaya sia a sinerbi ko a pakomparan so kaparin no kapirwa a maviay am maintindi ta o kakawyoran aya a tayto ko pawnonongen dinio. No ivovon aya a karakohan am katadian so vayo as dia rarayaw a karakohan. 
1CO.15.43	No nivovon aya am arava o mapaparin na as kano mahta, pero payvangonen anti ya a oyod a mavid as abo so kakahan. 
1CO.15.44	No karakohan aya a nivovon am voyvoh o komwan do tana aya a pinatapatakan nia pero katadian anti ya no vayo a karakohan a makawnot do kaparin no viay do hanyit. An ara o pinatapatak a karakohan do tana aya am akma pa sawri o kayan no karakohan a pinatapatak do hanyit. 
1CO.15.45	Niaya o akma so nakatolas a makavata sia, “Si Adan am inamaog a asa ka tawo,” pero si Cristo a iya so abnekan so nanawdi a Adan am tod ava tawo, ta asa sia a ka makapamarin a makatoroh so viay a abo so pandan. 
1CO.15.46	As no karakohan aya a pinatapatak do viay do tana aya am manma as do kwanasaw am marawat o vayo aya a karakohan a mato as makawnot do kaparin no viay do hanyit. 
1CO.15.47	No nanoma aya a tawo a si Adan am inamaog a yapo do tana asna no nanawdi a Adan a si Cristo am yapo do hanyit. 
1CO.15.48	Sira o mian do tana aya am mian o karakohan da a akma so inamaog a yapo do tana asna sira o mian do hanyit am akma so karakohan ni Jesus o karakohan da. 
1CO.15.49	As akma pa so nakayapo ta do tana a akma si Adan am makarawat ta pa anti so karakohan a yapo do hanyit a akma si Cristo.
1CO.15.50	No tayto a paytavoan no vatahen koaya dinio a kakakteh am niaya. No karakohan ta sichangoriaw a yapo do tana am permanente ava ya, dawa maparin ava ya a makasdep do paypatolan aya no Dios do hanyit a matarek so kaparin akma so kadi na parinyan a makarawat so viay a abo so pandan no makalo aya a mararayaw a karakohan ta.
1CO.15.51	Vatahen ko pa dinio o akmaya sia a makakniknin a kakawyoran a pinapanmo diaken no Dios. Do ito a araw am maytavo ta anti a katadian so karakohan amna maytavo tava anti a madiman. 
1CO.15.52	Maparin anti ya do asa ka momento a akma so kachimit no mata do kapanglop no manawdi aya trompeta. Ta do kapanglop anti no trompeta aya am payvangonen sa anti o nadiman a mian so vayo a karakohan a di dana parin a mararayaw as yaten a tori pa maviay am katadian pa anti o karakohan ta no karakohan a akma so tinoroh dira do pinayvangon saya. 
1CO.15.53	Takwan no plano no Dios am kaylangan o katadi dia o karakohan taya a mararayaw kano madiman no dia parin a mararayaw as abo so kavosan. 
1CO.15.54	As an nakatongtong anti ya am nawri dana o kabo dana kano nakahomis no kadimanan a akma so kavata sia no nakatolas a Chirin no Dios o,
1CO.15.54	“No kadimanan am nahomis as kapabo dana anti sia.”
1CO.15.55	“Dino paro yanan no ipakapamarin kano ayet na a tomoroh so pakasisian no kadimanan.”
1CO.15.56	No iyan aya no ipakapamarin no kadimanan am makayamot do gatos as no gatos am mian o ayet na a makayamot do kayan no panyokoyokoran a pasadahen. 
1CO.15.57	Amna rakoh o kapamahemahes ta do Dios do katayto na tomoroh diaten so panghomisan ta a makayamot do Apo taya a si Jesu Cristo.
1CO.15.58	Dawa ichaddaw ko a kakakteh, mayanong ta mahni as kadi ta abdibdisan do tayto taya paytetnekan a kakawyoran. As kadi ta mangolangolayan do kapayserbi ta do Apo taya takwan masigoro ta o kayan no sinmo no atavo a nitrabahoan ta sia.
1CO.16.1	Do komapet do paychekepekepehen nioaya kartos a isidong sira so kakakteh ta sa do Jerusalem am ichahoho ko o kaparin nio sia ya a akma so niyokoyokoran ko nira no mian do timtimban do Galacia. 
1CO.16.2	Maday do manoma a araw no dominggo am mayponged kamo a mapataywawa so paychepehen nio a omononot do napakayan nio tapian di dana anti nawri kagolpi nio sia kolektahen an mawara ako. 
1CO.16.3	An makarapit ako anti dinio am mamarin ako anti so tolas a ipanaynayvi da no pinidi nio sa a manangay no ipanidong taya dira do kakakteh ta saya do Jerusalem. 
1CO.16.4	Amna an nawri kaylangan o kangay ko pa do Jerusalem am machirayay dana sa anti diaken.
1CO.16.5	Manam so kangay ko dinio am tayto ko pa planohen o kasali ko do Macedonia. 
1CO.16.6	Mavidividin ako pa anti dinio daw ta tarek ako anti a mian pa dinio do amian aya as kanawri dana anti no kapadinaw nio diaken do biahe ko, 
1CO.16.7	ta an ara do piahen no Dios am makey ako a makayendes so kayan ko dinio, 
1CO.16.8	amna mavidin ako pa do Efeso aya a manda do araw no Pentecoste, 
1CO.16.9	do katayto pa no maywang a oportonidad ko a mian so rakoh a mapatongtong do komwan do Evanghelio aya amna tayto sa aro o omsaloval so akmaya sia trabaho.
1CO.16.10	An mawara anti dinio si Timoteo am iyavayava nio so kapiahen takwan rarayay ko ya a mayserbi do Apo taya. 
1CO.16.11	Pakadekeyen nioava sia asna no kasoyot nio a mapaveavek sia do kapayvidi na diaken do katayto namen a malit kanira no kakakteh saya dia a ompanapanaya sia.
1CO.16.12	No komapet do kakteh taya a si Apollos am rakoh o nakahoho ko nia o kapachirayay na dira do kakakteh ta sawri a nangay a ombisita dinio amna vinata na o kadi na pa makangayan dinio sichangoriaw, pero an mian anti o kapaypasonong no oportonidad na am mangwan pa anti dinio dawri.
1CO.16.13	Fermi kamo a rakoh so kapananggal as kapakahni nio a diabdibdis do saray nioaya. Makakma kamoy matotoneng dana do atavo a parinyen nio as kapakangdet nio. 
1CO.16.14	Tiban nio o kayan no addaw nio a nawri so fermi a mapawnot dinio do atavo a parinyen nio.
1CO.16.15	Masinchad nio sa a kakakteh o familia ni Estefanas a sira so nachipanopanoma a manganohed di Cristo do Acaya
1CO.16.16	Do akma saya sia so kaparin a kakakteh ta kanira no atavo sa a pachirawatan no Dios am mayanong o katoroh nio dira so anib as kadngey nio sira.
1CO.16.17	Tayto ko ichasoyot o katayto da nawara da Estefanas, Fortunatus kani Achaicus, ta do chinaboan nio am sira o tayto a naparapas dinio, 
1CO.16.18	as tayto rakoh o nakapasoyosoyot da diaken as alit pa nia sigoro dinio. Kapiahen nio o kasinchad nio do akma saya sia so kaparin a tawo.
1CO.16.19	Tayto sa mapakapia so Dios dinio o atavo sa kakakteh ta do timtimban do provinsia aya no Asia. Sa Aquila kani Priscilla pa kanira no tayto a makpekpeh do vahay da am alit pa no katayto da mapakapia so Dios dinio. 
1CO.16.20	Tayto pa sa mapakapia so Dios dinio o atavo saya kakakteh sa a rarayay ko dia. Mapakapia kamo so Dios do kadwan dinio a makakakteh.
1CO.16.21	Yaken a si Pablo o mismo a mapatolas so kapakapia koaya so Dios dinio. 
1CO.16.22	An sino diaddaw no Apo taya am tadichokoran na sia. Apo namen, mawara ka na.
1CO.16.23	Bendisionan kamo pa no Apo taya a si Jesus as katoroh na pa dinio so grasia na. 
1CO.16.24	Ichaddaw koynio a kakakteh a makayamot di Cristo Jesus. Amen.
2CO.1.1	Si Pablo ako a pinidi no Dios a apostol ni Jesu Cristo a makayamot do inolay no Dios as kani Timoteo a kakteh ta. Tayto kami a maytolas dinio do timban aya no Dios do Corinto as kaninio atavo a tawotawo no Dios do provinsia no Acaya.
2CO.1.2	Bendisionan kamo no Dios Ama as kano Apo taya a si Jesu Cristo as kapakarawat nio pa so grasia kano kaydamnayan no aktokto.
2CO.1.3	Pamahmahsan ta kano dadayen ta o Dios as Ama no Apo taya a si Jesu Cristo a iya so pakayapoan no atavo a kasisien kano sidong, 
2CO.1.4	a iya so tayto a mapangdengdet kano mapagsagsal diamen do atavo a pandidiwan namen a nia mismo a ichaparin namen pa a manidong kano mapangdengdet sira so mian do pandidiwan do kaparin namen a mapatoyo sia o chinaproyban namen aya a kapichapian kano sidong na diamen no Dios do pinandidiwan namen, 
2CO.1.5	takwan do chinaharan no pinandidiwan namen a akma so nakapandidiw ni Cristo am minonot o rakoh a tinoroh na a sidong a nia so chinapayagwanta namen. 
2CO.1.6	As an mian o pandidiwan namen am makayamot ya do kachita namen sia o kalibrian nio kano kapaypagsal namen dinio as an mian o marawat namen a sidong kano angdet do pandidiwan am niaya pa mismo o ichaparin namen a somidong dinio a mayagwanta do payparahanan taya a pakasisian. 
2CO.1.7	Dawa tayto a rakoh o kasaray namen nia o kaparin nio a mayagwanta a makayamot do katoroh na dinio so sidong kano angdet a akma so nakasidong na diamen.
2CO.1.8	Kakakteh, ichahoho namen pa a ipapanmo dinio o nakaoyod namen a nanngannga kano narakoh so pinandidiwan do provinsia no Asia ta do vata namen as nawri dana o tawsan no viay namen. 
2CO.1.9	Do chinadidiwan namen sia am nawri dana o natongdo a oras no kadiman namen amna sinerbi na ya no Dios a inanawo diamen a di machidepende do tanyan namen a maparin an dia voken a no kasaray namen no Dios a iya so mirwa a omviay sira so nadiman. 
2CO.1.10	Pinavawa na o masigorado ori a kadimanan namen kanaw as katayto na mavidin a machonong diamen, dawa iya o tayto namen a pinarawatan sia o viay namen a omlibri diamen do pannganngan namen. 
2CO.1.11	Mavidin nio yamen a ipachahoahok tapian makapachisoyot kamo pa dira do aro saya a mamahemahes do Dios do katayto da makavoya sia o kasisien no Dios a atbay no kapachahoahok da diamen.
2CO.1.12	Magsal kami a makavata sia o kasigorado namen sia o nakapia no kaparin no viay namen do salapan no atavo a tawo as kanatonan dinio, ta natayo ava o viay namen do kawnot namen do kanamonamoan a yamot do sidong no grasia diamen no Dios asna do tanyan namen ava ya a mapaparin. 
2CO.1.13	As an maytolas kamiaya dinio amna pavatahen namen o ichakey namen a vatahen do kaintindian nio sia. As ichahoho ko an mapia o kapayiintindi ta, 
2CO.1.14	tapian do kapia no kapaysisinchad ta kano kapayiintindi ta am maparin ta a ichagsal o kadwan diaten a akma so kagsal ko anti ninio an mawara o kapayvidi no Apo taya a si Jesus.
2CO.1.15	Dawa do kapanmo ko so kapia no kapaypapanmo ta am niplano ko o kangay ko dinio so maypidwa tapian masoyosoyot ta a maychakasa. 
2CO.1.16	Ta niplano ko o kasali ko dinio do kapangwan ko do Macedonia as alit na pa do kapayvidi ko a mangwan do Judea tapian ichayangay nio pa yaken a padinawen. 
2CO.1.17	Amna makayamot do nakadi na makatohoran no plano koaya amna vatahen nio na paro o kaakma ko so kaaroan no tawo a nawri so konsideran o tanyan da ichapia a nia so ichasonong a omdibdis so plano da?
2CO.1.18	Akma so kaparin na ichasaray no chirin no Dios am maparin nio a ichasaray o pinawnonong namen dinio. 
2CO.1.19	As no tayto namen aya pawnonongen dinio kanira no rarayay ko saya sa Timoteo kani Silvanus
2CO.1.20	Ta iya o tayto a ipakatongtong no atavo a promisa no Dios as pakayapoan no ipamato ta so Dios.
2CO.1.21	Iya o Dios aya a tayto a omparin diaten atavo a mavidin a mahni so saray ni Cristo a iya pa so minpidi diaten, 
2CO.1.22	as kapataywawa na diaten a tawotawo na a yanan no Espirito na a nia so ipasigorado na so manam na pa sa a parawaten diaten.
2CO.1.23	As no Dios taya mismo o hapen ko a testigo do kapanmo na sia o kabo no matarek a pinakayapoan no di kori nanyeng a mangwan dinio dawri do Corinto an dia no kapavawa ko dinio do marahmet a disiplina. 
2CO.1.24	Amna pangayen nioava do aktokto nio o kahoho namen a fermi a manmanma dinio do komwan do panganohdan taya takwan arava o yokoyokoran ko ninio do komapet diaya asna no tayto namen a ichahoho am no kapakatoroh namen so kasoyosoyotan dinio.
2CO.2.1	Pinasivog ko o kadi ko mirwan a mangay a omdisiplina dinio, 
2CO.2.2	ta ango paro inakyan ko nia o kapakaynyenyen ko dinio a tayto a makatoroh diaken so kasoyosoyotan. 
2CO.2.3	No chinatarem no natolas kori dinio do nanma am no kahoho ko nia o kapaysonosonong pa no atavo a manam so kapayvovoya ta, ta maraway sigoro an inio a yanan no kasoyosoyotan ko o mismo a pakayapoan no kangsah ko, as alit na pa sigoro o kadi na nawrian no ichasoyot nio o kayan no didiwen ko. 
2CO.2.4	Nasonong ava o nakapaytolas kori dinio so akma sawri so kaparin a tolas, ta no kakawyoran na am pinachirayayan no hoo ko, dawa pangayen nioava do aktokto nio o kakey ko a mapakaynyenyen dinio asna no kakey ko a mapapanmo sia dinio o rakoh a addaw ko ninio.
2CO.2.5	Oyod o kayan no napayrahet diaten amna no chinarahmetan na nia am yaken ava asna inio. 
2CO.2.6	As no asa aya a ka tawo a pinakayapoan na nia am tayto dana nanawob o tinoroh nio sia a disiplina kano ipaynananawo nio sia. 
2CO.2.7	Dawa paychakasan nio na sia pakaboan as kapia dana no karisibi nio sia, ta tarek na ichararayaw o manghavas aya a kapanehseh na. 
2CO.2.8	Tayto ko akdawen dinio o karisibi nio na sia a mapavoya dia so rakoh a addaw. 
2CO.2.9	No pinaytolas kori dinio am no kakey ko pawri a omdididiw sia an ara nio anohdan o niyokoyokoran ko sawri ninio. 
2CO.2.10	Tayto ko ipakamia o nakapakabo nioaya do mian aya so sinadan as an mapakabo ako am makayamot do kaniaya no mapia dinio as kano mayanong do salapan ni Cristo. 
2CO.2.11	Asa pa ipayanong no kapakabo ta am tapian abo kawtapan na diaten ni Satanas takwan mapanmo ta o kaoyod na aro no parinyen na a ipanentasion.
2CO.2.12	Do nakapangwan ko do Troas a mapawnonong so Evanghelio aya a komapet di Cristo am minyan o mapia a oportonidad ko a mayserbi do Apo taya. 
2CO.2.13	Amna do kalijat ko nia o kadi kori nakavoyan so kakteh taya a si Titus a pachinngeyan ko so komapet dinio am nakadekey ako dawri as nakangay ko na do Macedonia.
2CO.2.14	Amna pamahmahsan ko o Dios a iya so tayto a mapasinchad niamen a pachirawatan ni Cristo a nia so ichaparin namen a mapapanmo no komapet sia a akma so kasingaw no angot no pabango. 
2CO.2.15	Takwan makayamot di Cristo am akma tay pabango a mapia so angot do Dios a nia so tayto a mangot no atavo, mayalit o tayto dana sa nalibri as kanira no machisiay anti do Dios. 
2CO.2.16	Niaya am angot no kadimanan dira do machisiay aya anti do Dios amna angot pa ya no viay dira do mian dana so vayo a viay a abo so pandan. Do akmaya sia a mato a trabaho am sango paro mayanong kano maparin a parawatan sia! 
2CO.2.17	Do sidong no Dios am magsal kami a makavata sia o kadi namen a akman so kadwan a tayto a maychakartos do kapananawo da takwan manamonamo o aktokto namen a mayserbi di Cristo, ta no Dios o napangay diamen do akmaya sia a anongen a iya so pachisalapan namen nia o viay namen.
2CO.3.1	Kaylangan paro pa o kapapiropirwa namen sia o kapasinchad namen dinio anmana kaylangan paro pa o kayan no rekomendasion namen dinio anmana no kapaparin namen so yapo dinio a tolas a akma so paparinyen da no kadwan saya mananawo? 
2CO.3.2	Omba, ta inio o mismo a kaliran sia no tawo o kasivog namen a pachirawatan no Dios. 
2CO.3.3	No viay nioaya a pinayavayo ni Cristo o tayto a liren no tawo a nia so sinerbian diamen ni Cristo a kwinta mapatolas sia. Amna tanoro ava o minpatolas sia ya an dia voken a no Espirito no maviay aya a Dios, as no tayto aya chinatolasan am arava akma so chinatolasan no pidipidit sa a bato, ta tayto a matolas as malir do tawo a chinatadian so viay.
2CO.3.4	Magsal kami a mapamato so trabaho namen aya a makayamot di Cristo do kasaray namen no Dios. 
2CO.3.5	Ta makayamot ava ya do aran ango a maparin namen do tanyan namen an dia voken a do kasolivan kano ipakapamarin a parawaten diamen no Dios. 
2CO.3.6	Iya o Dios aya a minparin diamen a ministro do vayo a paypanmoan. No vayo aya a paypanmoan am mian ava ya do nakatolas a panyokoyokoran an dia voken a do Espirito no Dios takwan no nakatolas aya a panyokoyokoran am nawri o ipavoya na o kapayanong ta makarawat so kastigo, pero no Espirito aya am tomoroh so viay a abo so pandan.
2CO.3.7	Do nanma aya a kaparin no kapayserbi do panayahboan no panyokoyokoran am oyod a mato, ta do nakapagtin sia o pidipidit saya do chinatolasan dawri a bato am katiban dava no Israelita sawri o komnyay ori a dangoy ni Moises a aran no nakatolas saya dia am mian o kavosan da as mapagtin so kastigo a kadimanan dira do mapasada sia. 
2CO.3.8	Amna do sichangoriaw am matoato paroava o kaparin no kapayserbi do panayahboan no makatoroh aya so viay a no Espirito no Dios? 
2CO.3.9	Ta an no kapayserbi aya do panayahboan no tomoroh aya so kastigo as mato am chapanngo no katoato no kapayserbi aya do panayahboan no tomoroh aya so kasinchad dana dira no Dios o tawotawo a mahosto do salapan na? 
2CO.3.10	As no kakawyoran na am no adan aya a mato so kavoyan sia am tayto nangopas do nakawara no matoato aya a kaparin no kapayserbi, 
2CO.3.11	ta an mian o avid no mangopas am matoato paroava o di aya mangopas as dia machipanda?
2CO.3.12	Dawa makayamot do akmaya sia agsal namen am mangdet kami a omnanawo nia do kaintindian da sia no atavo, 
2CO.3.13	a dia akma si Moises a yosad pa omolib so dangoy na do salapan da no Israelita sawri do kapangopas no kominnyay ori a katitiban na, 
2CO.3.14	as sira o Israelita am navidin a mawlib o kaintindian da sia a nia so tayto da kaparin a manda sichangoriaw do kalir da so pinatolas aya ni Moises a nanma a paypanmoan. Amna no olib aya no aktokto da am komaro a makayamot do ka si Cristo no yanan no inmonmoan kano kaintindian so nanma saya a nakatolas. 
2CO.3.15	As manda sichangoriaw am mawlib o kaintindi da so inmonmoan no liren da a pinatolas sa ni Moises. 
2CO.3.16	Amna an sincharan da o Apo taya am maintindi da o kakawyoran aya. 
2CO.3.17	As no Apo taya am no Espirito aya a iya so tayto a tomoroh so kalibrian do atavo a kavahoran no tawotawo a yanan na. 
2CO.3.18	Amna yaten a tayto dana chinaywangan so aktokto as tayto dana makasinchad kano manganohed do mato aya a Apohen ta am iyavayohen na yaten no Espirito aya tapian maypangay o kavoyan sia do mismo ta viay o kaparin ni Cristo.
2CO.4.1	Dawa do katayto namen a nakarawat so akmaya sia trabaho a makayamot do kasisien no Dios am mavidin kami a magsal so aktokto as dia dispresio, 
2CO.4.2	as katayto namen a maydidichan do atavo a matayo kano mangotap a kaparin no kapananawo as kapapanmo namen no kakawyoran aya so madirecho do kaintindian sia. Do akmaya sia trabaho am magsal kami do salapan no tawo kano Dios do kanamonamo no aktokto namen. 
2CO.4.3	As an mian sa o di makaintindi so pawnonongen namen aya Evanghelio am makayamot ya do kaskeh da a manganohed no tayto dana saya mangwan do kakastigoan. 
2CO.4.4	Takwan tayto sa nivotavota ni Satanas a iya so maynolay do di pa nanganohed tapian di sa kasehdangan do Evanghelio no makakniknin aya a Mangahwad ta a si Cristo a iya so kasincharan so Dios, 
2CO.4.5	as tayto a voyvoh a si Jesu Cristo o pawnonongen namen a asa ka Apohen asna no karakohan namen ava, takwan tod kami a pachirawatan ni Jesus a tayto a mayserbi dinio. 
2CO.4.6	Ta no Dios aya a iya so napasitnan so sehdang kaychowa do asa ka voko no chirin na o tayto pa tomnoroh so sehdang do aktokto namen tapian mapanmo namen o makakniknin aya a ipakapamarin no Dios a mian di Jesu Cristo.
2CO.4.7	As yamen a tayto akmay mahaha a banga o pinanahoran na so oyod aya a rakoh so balor a kaynakman tapian nawri o maypatalamad o rakoh a ipakapamarin no Dios diamen, ta arava o mapaparin namen do tanyan namen. 
2CO.4.8	Manngannga kami amna makapayagwanta kami. Machispang kami amna madispresio kamiava. 
2CO.4.9	Atetekan kami amna kanonolay kamiava. Mian o katoneng da diamen a dimanen amna mawara o kalibrian namen. 
2CO.4.10	Tayto kami a fermi a mayrara so sentensia no kadimanan a akmay fermi dana a logar a dimanen a akma so kaparin ni Jesus kaychowa tapian mavoya do mismo namen aya karakohan o katayto na sivog a maviay ni Jesus. 
2CO.4.11	Oyod o katayto no viay namen do pangananawan a makayamot di Cristo tapian matalamad o ipakapamarin aya ni Cristo do karakohan namen aya a masonong a mararayaw. 
2CO.4.12	Kakawyoran na sia am no tayto aya paswadan namen so viay namen a trabaho am mayinmonmoan so kapakarawat nio so viay a abo so pandan.
2CO.4.13	Mian o nakatolas a makavata sia, “Chinasaray ko o Dios as naparin ko ya a pangononongan.” Niaya o tayto namen a mismo a kaparin do kanawri no pawnonongen namen o tayto namen aya a chinasaray kano pinanganohdan. 
2CO.4.14	Makayamot do kapachividang namen di Cristo am tayto namen a ichasaray o kapayvangon anti diamen no napayvangon aya so Apo taya a si Jesus do ito araw a kapachichasa namen anti dinio a machivayat do Dios. 
2CO.4.15	As no atavo saya a tayto namen a pakasisian am makayamot do kachita namen so ichapia nio. Ta do karoaro no papanmoan nia o grasia na am karoaro no mamahemahes do Dios a nia so ipamato so ngaran na.
2CO.4.16	Dawa madispresio kamiava as aran akma sawri o kapaypakaha no karakohan namen amna fermi a omyavayo o angdet kano soyot namen a mayserbi di Cristo. 
2CO.4.17	Takwan no tayto aya maynyed a pakasisian do tana aya o pakayapoan no ipakarawat ta anti so abo so kapachikomparan as abo so pandan a kasoyosoyotan, 
2CO.4.18	ta nawri ava o paylalakaman namen o mavoya no mata do ato no tana aya an dia voken a no komwan sa do hanyit o tayto namen a chitachitahen. Takwan no atavo a mavoya no mata am mangopas kano mabo sa anti pero no tayto ta pa saya dia voya am nawri sa o abo so kavosan.
2CO.5.1	As mapanmo ta ta an mararayaw o karakohan ta do tana aya am mian anti o karakohan ta do hanyit a di dana rarayaw a inamaog no Dios. 
2CO.5.2	As oyod o kasanib ta mahoho nia o katadi dana dia o karakohan ta no yapo aya do hanyit, 
2CO.5.3	takwan an payvangonen na yaten am mian anti o vayo a karakohan ta asna tod tava anti a pahad. 
2CO.5.4	As do kaviay ta pa do tana aya am fermi ta makey a omdichan do pakasisian amna no katod tava keyan a komaro do viay do tana aya asna no kahoho ta a makarawat so vayo aya a karakohan a tadi no nanma ori a karakohan ta a makalo a mararayaw. 
2CO.5.5	Niaya am no Dios o minpromisa nia as tayto na pinasigorado do nakatoroh na nia o Masanto aya a Espirito diaten.
2CO.5.6	Dawa masaray ta do aran ango a maparin do viay ta do kapanmo ta sia o kasavat ta anti do Apo taya an karoan ta o karakohan ta do tana aya. 
2CO.5.7	Takwan ara sava nawri o pachidependian ta o mavoya no mata ta, ta no Dios o ichasaray ta do atavo do viay ta. 
2CO.5.8	As makayamot dia am magsal ta a makavata sia o kapipia ta so kakaro ta do karakohan ta do tana aya tapian makasavat ta na do Apo taya. 
