MRK.1.1	Eiwa God da Mai, Yesu Keriso,
ACT.19.33	Edo Judah embomaimi Judah embo da (1) dao Alexander, awa tamundo doregarida dombuda mitetero maundo petedo isite ipami ge doworote iwata esisina. Edo ine embomainde ge mina tain, “Nanekare Judah embomaimi ge beyae da ji tae Artemis da yaida.” 
ACT.19.34	Ata iji ainde awamane dave edo gido embo awa Judah orobeda edo gumbari awa, awamane berarimi ge yavi da (1) ami ora tote (2) aorogatedo esitera, “Epesisi da Artemis awa bajinabé!”
ACT.19.35	Edo nasi bajinada ove gaiari embomi embomai doregesitera awa gemi dedegesiri maundo damodamo esitera. Edo ainda amboda ami sisina, “Epesisi embobo, embomai yai berarida gido dave edo era awa, kaena Epesisi nasida isima edo era awa eutu god bajinabé Artemis da oro kotopuda sima ari embomai. Daedo, embomai yai berarida awa gari, kaenato eutu god da dumain kotopu utuda edo gundo dudurisina awa kaenane sima edo era.
ACT.19.36	Aindabé, ge eiwa embo da aimi tema ainyae, awatedo, imomane ge dowo edo tepotapo ainyae! 
ACT.19.37	Imomane embo tote (2) eiwa budo einda gumbewa. Awarata, awamane awa oro kokotopuda roviravi beono ari embo ae, edo ge bebegae eutu god itomaneda daoda tae. 
ACT.19.38	Awatedo, edo Demetrius ae ainda buro embobo demi bekumba ge embo neinda yai piain tetera gido awa, katari yai awa isira edo gisijijiegari awamane itera. Awamane akuta katari yaida gundo bekumba mina ara ore. 
ACT.19.39	Edo imomane ge nenei tedogain jipapa ewa gido awa, nasi embomaida doregari matawa sima edo era, ainda gumbuwo sirigore. 
ACT.19.40	Aindabé ge yavi ikanade eiwa boroko idegesira awa, edo aindabé kaena einda gundo doregedo iwata tepotapo etera, ata kaenato doregarida moka davebé awa itae, Rome da gisijiarimi kaenamonde tae esira, ‘Imomane Rome da aodari ajiregain jipapa etewa.’” 
ACT.19.41	Edo amboda embo ami ge eiwa sisina, imo awara tesiri embomai berari dodo maunsitera.
ACT.20.1	Edo anana edo ge ikanade awa Epesisi embomaimi sitera awa itae esisina. Ainda amboda, Paul mi ambodani dao tesiri ainda yai guputera. Ango etero budo ategedo awamane taigedo yai Masedonia da mamain esisina. 
ACT.20.2	Edo imo yai ainda temundo maunteite kondade ari ge jiwaemi embomainde simene maundo yai Gurisi ainda idegesisina. 
ACT.20.3	Edo imo yai ainda sima eiri kariga tamonde (3) itae esisina. Ainda amboda imo un made yai Siria da temaintedo siya eiri Judah embomaimi sinigambari edo ge jijiritera awa ingido gosisina. Awatedo, imo overegedo yai Masedonia da torido idegedo eite mamaina awa kasisina. 
ACT.20.4	Edo embobo Paul ambodarido yai Asia da daedo maunsitera awa eire: Sopater, nasi Beria embo; Aristarchus ae Secundus de, nasi Tesalonaika embobo; Gaius ae Timothy de awa nasi Debi embobo; edo Tychicus ae Trophimus de, yai Asia embobo. 
ACT.20.5	Ango edo embo eiwamane Toroas nasida gisi maundo nakare sima esitera. 
ACT.20.6	Ata Bread Badari Siwo Piaeda Bondo ainda amboda, nakare un made Pilipai nasida edo gaigedo temundo maunsitera. Edo deguta ipa da (5) itae esiri nakare Toroas nasida denembedo awamane tamundo yai ainda deguta 7 sima esitera.
ACT.20.7	Edo Deguta Bajina pura tuturoda, iji nonde ambodani bread engegain gundo dada etero, Paul awamanede daedo gupusina. Paul sipo nei mamaintedo siya edo itae edo ine awamanede ge tedo ainda atopatari matawa pipiteite isiri maundo muyae toropu esisina. 
ACT.20.8	Edo mando do ikane jiumbari ainda awamane doregetero keimo jiwae ijimbedo pipisitera. 
ACT.20.9	Edo mando demo jiumbari ainda maisinga dao Eutychus awa anumbedo isite jitaomi jisi burau esisina. Ango edo Paul ge site isiri jitaomi amundo mando tude tamonde ari ainda tamonda nei ainda edo teumbedo butuda dudurisina. Edo embo awa jiero erorisina, ata besisina. 
ACT.20.10	Ata Paul ikane edo wotedo baongo dadari edo maisinga awa tandojisina. Edo sisina, “Maisinga eiwa wasiride isira. Awa embo, gaegae edo itomane do buriya eure!” 
ACT.20.11	Ango edo Paul tenda yai dá ainda visido bread engegedo injisina.
ACT.20.12	Edo embomaimi maisinga awa wasiride gido gido gisijido ainda mandoda kundo maundo dubodavebé dave esitera.
ACT.20.13	Edo nakare Asosi nasida gisi mamain un ma buritera. Awarata, Paul mi un ma bae, butu begatada ainto edo Asosi nasida ounda ma bain kotembesisina. Awatedo, embo ami nanekare gisi ango orote sisina. 
ACT.20.14	Edo iji angode imo nakare Asosi nasida ainda tambiri, nakare embo awa budo daedo un made maundo Mitailene nasida esitera. 
ACT.20.15	Edo nakare yai ainda edo gaigesitera. Deguta neinde gundo gatega Kiosi da demonda esitera. Edo deguta neinde yai awa dodo temundo gundo Samosi gategada denembedo Torogilium nasida sima esitera. Edo deguta neinde nasi awa dodo temundo Miletus nasida guputera. 
ACT.20.16	Aindabé Paul yai Asia iji nenei ainda itari jipapa ae, awatedo, imo gaigedo nasi Epesisi awa daginegain kotembesisina. Imo Jerusalem nasida Pentekos Deguta gumbae gisida idegain kotembesisina, awatedo, burigibé eiunte maunsisina.
ACT.20.17	Edo nasi Miletus ainda edo Paul mi ge pisido nasi Epesisi da Yesu gebé ari embomainda doregarida yai, awamaneda orobeda kopuru mamai gumborote sisina. 
ACT.20.18	Edo iji ainde ainda yai gumbero ine awamanede sisina, “Imomane gotewa, deguta tuturoda yai Asia da na guputena, edo itari nato imomane toropuda nongo nongo isima edo esiteni, awa imomane gari. 
ACT.20.19	Edo Judah embomaimi kotembari bebegae nato yai eite memesi neindekainde pipiteiworo budo esitena. Edo na atoto eite ae jijiu de daedo Badari da buro edo esitena. 
ACT.20.20	Edo imomane awa gari, na kondade ari ge da ji dowae, ata imondemane ge awa karigedo esitena, edo emboda jisida imomane mando tegeri eite atopasido esitena. 
ACT.20.21	Edo Judah embomainde edo daedo Guriki embomainde ge duga tedo esitena, awamaneda jimbo bebegae dodo God da yai wareregedo gebé ari kaenato Badari Yesu da yai piorote tedo esitena.
ACT.20.22	“Edo giwo, na awa Asisi mi ao gaiesiri Jerusalem mauntena.
ACT.20.23	Edo eiwa akuta na gari, nasi babain berarida na etega eite Asisi Kotopu mi ge duga site sisina awa, asi okain aurimi ari ae buriya de yai ainda na sima eira. 
ACT.20.24	Ata rorae engogomi na gigitemainyae, aindabé, nato pepeta ari butuda do yawade itae ain jipapa ena edo buro ro Badari Yesu mi namonde pipisisina daedo. Edo nato betari o wasiri awa embo na kotemainyae. Ata nanemi bino daveda ge duga embomainde tano God da dave ari awamaneda yai arapa aina.
ACT.20.25	“Nanemi itomane yai berarida maundo God da gisijiarida ge karigedo esitena. Edo iji boroko giwo! Nane gotena awa, inemanemi nato dombu tekago gainyae. 
ACT.20.26+ACT.20.27	Aindabé, na ge itadaita tae, ata God da sirigari berari imomane embo tedo esitena, awatedo, nanemi deguta einde imondemane ge duga teno gotewa, embo da jida ororoda bekumba ami na bainyae. 
ACT.20.28	God mi ainda Mai da ororo topomi ainda gebé ari embomainda doregari awa oriesisina. Edo Asisi Kotopu mi esiri imomane awamaneda gisijijiegari esitewa. Awatedo, imomane akuta dave edo goteite gebé ari embomai daedo sima dave edo ewo, dá ango wo sima ari embobomi awamaneda wo sipumane sima edo era. 
ACT.20.29	Na gotena awa, amboda nane imomane dodo aimano, embo bebegae abu sino gorobade ango ami itomane doda torido gumbara, Yesu gebé ari embomaida doregari usibesi ain. 
ACT.20.30	Edo daedo, embo nenei itomane ami akuta erido ge pitawa tedo ambodani kundo aimbaro awamane ambo ambo orote ara. 
ACT.20.31	Awatedo, simagewo! Edo nongo edo nane imondemane berari duberi tamonde (3) dedegari ge awa dowae, ijide muyaende jijiude matawa tedo esitena awa, kotembu kotembu ewo!
ACT.20.32	“Awatedo nanonameji,
ACT.20.33	Nane embo neneinda butu rorae, silver ango, gold ango, gongosini ango awa jipapa ae edo esitena. 
ACT.20.34	Edo imomane akuta garibé, ipa nato emi nato jipapa berari awa embo buro edo esitena, dá ango, nato buro emboboda jipapa awa embo buro edo esitena. 
ACT.20.35	Edo buro berari ango edo esitena eiwa imomane gawate. Na jipapa ena awa, inemane buro engomi awa embo buburau awa kondade ewo. Edo Badari Yesu da ge awa kotembeteite giwo! Ami sisina, ‘Ao ari bajina awa piarida isira, ata ao ari saka awa kumbarida isira.’”
ACT.20.36	Edo imo ge eiwa itae edo, baongo dadari edo ae awamane berari de daedo benunu sisina. 
ACT.20.37	Edo awamane berarimi ji bajinabé tedo Paul tanjido munegeteite ategesitera. 
ACT.20.38	Aindabé ine ge sisina awa, awamanemi ainda dombu tenda gainyae, ami esiri awamane memesi bajinabé buritera. Edo imonde daedo un mada maunsitera.
ACT.21.1	Ango edo nakare awamane ategedo dodo ainda amboda un ma budo gaigedo dambu darido temundo nakare gundo Kos gategada esitera. Edo sipo neinde nakare Rodesi gategada esitera. Ainda edo nakare aundo Patara nasida ainda denembesitera. 
ACT.21.2	Ainda edo nakare un ma nei yai Poenisia mamain eiri tamundo nakare maundo ma ainda visido gaigedo maunsitera. 
ACT.21.3	Edo nakare gundo gatega Saipurasi ipa andada goteite daginegedo yai Siria ainda maunsitera. Aindabé un mada buro embobomi roviravi Taia nasida piain jipapa etero, yai ainda nakare maundo denembesitera. 
ACT.21.4	Ango edo nakare yai ainda ambodani tamundo awamanede deguta 7 sima esitera. Edo Asisi Kotopu mi buro ro Paul da yai idegaina awa embomainde yai ainda tesiri gido awamanemi Paul de sitera, “Imo Jerusalem visido mamainyae.” 
ACT.21.5	Ata iji ainde natokare sima ari deguta awamanede daedo awa itae esiri, nakare dodo natokare pepeta ari tenda tuturo edo maunsitera. Ambodani berari edo awamaneda asinimai de, mamai de, namondekare daedo, nasi dodo idegesitera. Edo korapopo ainda, nakare berari daedo baongo dadari edo benunu sitera. 
ACT.21.6	Ainda amboda mina atega edo awamane dodo nakare maundo mada vivisitera. Edo awamane egenembedo awamaneda mandoda maunsitera.
ACT.21.7	Edo nakare un made Taia nasida dodo Pitolemais nasida maundo denembesitera. Edo nasi ainda nakare nanonameji
ACT.21.8	Ango edo sipo neinde awa nakare, Paul da ambodarari embobode, imonde daedo temundo nasi Seseria gundo ainda esitera. Edo nakare maundo bino dave karigari embo, Philip, ainda mandoda torido ainde daedo sima esitera. Edo Philip awa embobo ajigari 7 da doda matu avigesitera.
ACT.21.9	Edo embo ainda maingagara ipa ao pasido (4) awa ibono jimbae. Edo Asisi Kotopu mi awamaneda yai ge teuri awamanemi ge awa embomainde karigedo esitera.
ACT.21.10	Edo nakare yai ainda deguta jiwae itero peroveta dao Agabus yai Judea ainda edo wotedo gupusina. 
ACT.21.11	Ango edo embo awa natokare yai gundo Paul da bupuri kundo ami akuta ainda ipatai bundedo awa sisina, “Eiwa Asisi Kotopu mi ro tesira, ‘Judah embomai Jerusalem isima era ami bupuri einda topo awa engo bundara. Edo awamanemi embo awa yai nei embomainda ipada piara.’”
ACT.21.12	Awatedo, nakare ge eiwa ingido nakare ae embo yai ainda isima era ainde ami kondade ari ge Paul de tenda tenda tedo esitera, imo Jerusalem visiurekae. 
ACT.21.13	Ata embo ami mina sisina, “Imomane ro evi? Ji engo site do nato ewo bededo evekara eira. Na matu siya etena. Awatedo, edo Jerusalem mamano yai ainda awamanemi na bundara, awa awara. Ko aindabé nato gebé ari awa Badari Yesu da yai, awamane na daro betana, awa awara daedo.” 
ACT.21.14	Edo nakare embo ainda jipapa kundo wareregari tao ae. Awatedo, nanekaremi tetera, “Awara, Badari mi ainda jipapa awa are.” Edo ge nenei tari awa doturitera.
ACT.21.15	Edo amboda natokare iji yai ainda itae esiri, nakare siya baiya edo Jerusalem visido maunsitera. 
ACT.21.16	Edo Seseria nasida ambodani nenei awa namondekare daedo maunsitera. Edo awamanemi awamaneda otawo dao Mnason daedo kundo maunsitera. Edo ainda mandoda nakare gundo daedo itorote jipapa esisina. Embo awa Saipurasi gategada embo, edo ami ainda gebé ari Yesu da yai iji matuda pipisisina. Ango edo gundo imo Yesu da atopatari ambo ambo edo esisina.
ACT.21.17	Ango edo nakare Jerusalem idegetero nanonameji nakare dubodavebéde buritera. 
ACT.21.18	Edo sipo neinde Paul awa namondekare daedo James gain maunsisina. Edo gebé ari embomainda orobeda kopuru mamai berari gundo doregesitera. 
ACT.21.19	Edo Paul awamanede ategari pisido ainda amboda, ine, nongo edo God mi imo kondade esiri Judah embomai aeda yaida buro jiwae esisina awa, udugedo tesiri gositera. 
ACT.21.20	Edo iji ainde ge awa ingido awamane Badari dasiga edo esitera. Ango edo awamanemi sitera, “Nameji Paul, imo goteta awa, Judah embomai bé jiwaebé (10,000’s) nandogo ami gundo Yesu gebé esitera. Edo awamane berari Aodari
ACT.21.21	Ata ito buro ari ge awamaneda yai gumbiri ingera awa, inemi Judah embomai berari, avekave Judah embomai aeda yai isima edo era atopasido eta, Moses da Aodari dodo ambo ambo eorekae. Edo inemi awamanede site, awamaneda mai jijianda tamo jiugorekae edo awamaneda ewowo gawowoda atopatari ambo ambo ainyae tedo eta. Ata, nakare awa imo ge ango embomainde atopasido eta awa gebé ae. 
ACT.21.22	Awatedo, nakare nongo ari? Kaenato gebé ari Judah embomaimi imo gumbeta ge awa ingido sinigambari edo gundo dada ara. 
ACT.21.23	Awatedo, nakare imo burobé eiwa atate jipapa era. Natokare embobo ipa ao pasido (4) ami tarigari Badari da yai pipitara. 
ACT.21.24	Imo embobo eiwamane kundo maundo awamanede dada eyo. Edo imo awamanede daedo Judah embomainda oro kotopu bajinada maundo dono teiarida sirigari ambo ambo ave. Edo inemi awamaneda rorou da da awa orieyo, awamaneda kopuru tu kaporé. Ango edo embomai berarimi gido gara, ge ito yaida awamane gisi ingitara awa gebé ae, ata imo akuta dambu darido pepeta eite Aodari kera edo eta.
ACT.21.25	Ata nanekaremi, Judah embomai ae ainkaimi gundo gebé etera awamane embo, ge katedo ove gaiedo pietero maunsisina. Awamaneda yai aodari nenei piae doturitera, tepo aodari eiwawa akuta kera orote pipisitera: indari ove kewaride rorou pisido era awa inainyae, ororo inainyae, wo asimi duboda kaingari betari inainyae, edo viro ainyae.
ACT.21.26	Edo sipo neinde Paul embobo ipa ao pasido (4) kundo imo akuta ae awamanede daedo dono teiarida sirigari tuturo esitera. Ango edo Paul Judah embomainda oro kotopu bajinada torido pirisi maneda yai maundo deguta bé rori awamaneda dono teiari itae ara, awa karigesiri gositera. Edo imo awamaneda rorou ikade ikade deguta dá ainde kundo gundo piaro Badari da yai piorote sisina. 
ACT.21.27	Edo iji ainde dono teiarida sirigari ainda deguta 7 aikae daginegain eiri, Paul tekago Judah embomainda oro kotopu bajinada gupusina. Edo Judah embomai nenei yai Asia edo gumbari ami Paul Judah embomainda oro kotopu bajina doda gido awamane embomai berari yai ainda doregedo itera awa ao gaiedo esitera. Edo awamanemi embo awa tanjido, 
ACT.21.28	aorogasitera, “Israel embomai, kondade ewo! Embo emimi yai berarida maundo atopasido eira awa, embo berarimi Israel embomai de, Aodari de, Judah embomainda oro kotopu bajina einde sinigambari orote. Edo boroko Guriki embo nenei kundo Judah embomainda oro kotopu bajina doda torido yai kotopu eiwa esiri dono esira.” 
ACT.21.29	(Aindabé awamanemi Epesisi embo dao Trophimus awa, ae Paul de nasi bajina doda gositera, awatedo, Paul mi embo awa, Judah embo ae, kundo Judah embomainda oro kotopu bajina doda torari ango kotembesitera.)
ACT.21.30	Ango etero boraebé nasi bajinada embomai berari ge awa ingido erido sinigambari bajinabé esitera. Edo awamanemi dada edo tumundo gundo Paul Judah embomainda oro kotopu bajinada yaida awa tanjido dumundo kundo arapada idegetero burigibé Judah embomainda oro kotopuda manguro awa engiregesitera. 
ACT.21.31	Iji dá ainde awamanemi embo awa daro betarate ero, bino eiwa pietero Rome da itoroda badari
ACT.21.32	Ango edo embo awa burigibé itoro embobo ae itoroda gisijijiegari
ACT.21.33	Edo itoroda badari gundo aikae eite Paul kundo ge okain tedo, asi okain aurimi ari tote (2) emi embo awa bundorote sisina. Edo embo ami tedogosisina, “Embo eiwa averi? Embo emi buro ro esiri?” 
ACT.21.34	Edo embomai doregari bajinada ami aorogatedo ge dá awa dá awa tero nenei ge evekara sitera. Edo geda yavi bajinabé esiri gebé tambari tao ae. Awatedo, ge okain tedo itoro embobode Paul kundo itoro emboboda oroda mamborote sisina. 
ACT.21.35	Ango edo awamanemi Paul gisijido kundo itoro emboboda oro ririda atutumbetero embo jisi da sinigambari eite Paul gido dain etero itoro embobomi embo awa tanjido kundo ririda vitain maunsitera. 
ACT.21.36	Edo embomai jiwaebémi embo ainda amboda gupeite aorogatedo sitera, “De betare!” ango sitera.
ACT.21.37	Edo iji angode itoro embobo Paul kundo itoro emboboda oroda aikae torain ero embo ami itoroda badaride tedogosisina, “Na imonde ge nei tae etenita?”
ACT.21.37	Edo itoroda badarimi mina sisina, “Na kore ena! Imo Guriki ge teta? 
ACT.21.38	Na kotembetena, imo awa Egypt embo. Embo awa iji matubé ainde Rome da gisijiari teugain goroba aindami dari betari embobo jiwaebé (4,000) awa gisijido kundo maundo idegedo abu damodamoda maunsisina.”
ACT.21.39	Ango edo Paul mi sisina, “Na awa Egypt embo ae. Na awa bé Judah embo. Nasi bajina Tasus yai Silisia ainda doda awa nato engari nasi. Edo nato nasi awa daotari edo embomai berari awa gari. Na imo tedogotena, imo na awara ari piato embomainde ge tanita?”
ACT.21.40	Ango tesiri itoroda badarimi embo ainde awara ari pipisisina. Edo Paul erido ririda petedo embomai ge doworote ainda ipa jiri erorisina. Edo embomai berari ge dodo damodamo etero Paul awamanede Hiburu gemi sisina,
ACT.22.1	“Nanonameji ae mamono de, na torari ge eiwa ingiwo!” 
ACT.22.2	Edo iji ainde Paul mi Hiburu gemi tesiri ingido, awamane bé ge tokain takain etero Paul ge tedo sisina:
ACT.22.3	“Na awa bé Judah embo. Nasi Tasus awa nato engari nasi yai Silisia ainda doda. Ata Jerusalem einda gundo ginuma eite babojitena. Edo Gamaliel nato yai ewowo gawowo kaenatoda aodari berari awa kera anate atopaposisina. Edo na awa dá imomane berari boroko God da aodari udugedo kera edo ewa ango. Edo na God dave edo kera ain jipapa bajinabé esitena. 
ACT.22.4	Ango edo nanemi Badari da Begata ambo ambo ari embomai, awamaneda yai memesi neindekainde piono betora. Edo embo de eutu de bundedo kundo maundo bundari oroda piedo esitena. 
ACT.22.5	Edo pirisida gisijiari bajina ae Judah embomainda orobeda kopuru mamai berari demi na awa embo ge tari tao ari, ge ro nane tetena awa gebé. Awamanemi ove nenei awamaneda Judah otatawode Damasikas nasi ounda itera awa gaiedo pietero na buritena. Edo na ove awa kundo Damasikas nasida maunsitena. Ango edo Badari da Begata ambo ambo ari embomai ounda asi okain aurimi ari ami bundedo kundo Jerusalem einda gundo awamaneda rirowa borote sitena.
ACT.22.6	“Ango edo na pepeta edo gundo Damasikas nasi ainda aikae eno iji toropu eiri, burigibé pararabé parara utuda edo wotedo nato yai datembesisina. 
ACT.22.7	Edo na butuda durudo ge siri yavi ingitena, ‘Saul, Saul! Ro awa embo memesi neindekainde namonde pisido esi?’
ACT.22.8	“‘Imo averi Badari?’ nanemi mina sitena.
ACT.22.8	“‘Na awa Yesu Nasaret Embo, ande inemi memesi neindekainde pisido eta,’ ami mina sisina. 
ACT.22.9	Edo embobo namonde daedo pepeta edo maunsite parara awa gido adu esitera. Ata awamanemi embo namonde ge sira ainda ge yavi dave edo gae.
ACT.22.10	“Nane tedogositena, ‘Na nongo ani Badari?’
ACT.22.10	“Edo Badari mi mina sisina, ‘Imo erido Damasikas maundo toriyo! Yai ainda imonde buro ro berari atate God mi avigesisina awa, tari gata.’ 
ACT.22.11	Edo pararabé pararami esiri jisi nato guba esisina. Ango esiri embobo na daedo pepeta esitera ami na ipada jido kundo maundo Damasikas totoritera.
ACT.22.12	“Ango edo nasi ainda embo dao Ananias isinesina. Edo embo awa God tou eite ainda aodari ambo ambo edo esisina. Awatedo, Judah embomai yai ainda imo tou ikanebé edo esitera. 
ACT.22.13	Edo embo awa gundo nato demonda petedo namonde sisina, ‘Nameji Saul, ito jisi dave ari tenda bu!’ Edo iji dá ainde na pangedo embo awa gositena.
ACT.22.14	“Ango edo embo ami sisina, ‘Ingenato ewowo gawowoda God mi imo avigesisina awa ainda udojipapa gatate. Edo daedo ami imo avigesisina awa ainda Embo Wasiri Dambu Darari gido, edo ainda beda ge yavi ingatate. 
ACT.22.15	Edo ainda yai ro jisimi gido dengoromi ingeta imo embo berarida yai karigato gara. 
ACT.22.16	Edo boroko, imo ro sima esi? Eriyo bapataito ari ito bate. Badari da daoda gebé eite benunu teyo. Edo Badari mi ito jimbo bebegae kotembedo dowari itae are.’
ACT.22.17	“Ainda amboda, na egenembedo Jerusalem maundo Judah embomainda oro kotopu bajinada torido benunu site awa garago girago gositena. 
ACT.22.18	Edo yai ainda na Badari goteno ami namonde sisina, ‘Embomai yai einda na awa averi inemi awamanede karigata awa, gebé ae ara. Awatedo, burigibé Jerusalem ainda idegedo mambuyo!’
ACT.22.19	“‘Badari,’ nane sitena, ‘awamane awa garibé nane Judah embomainda benunu oro jiwaeda torido maundo awamane ainkaimi imo gebé eiworo awa bundedo vededo esitena. 
ACT.22.20	Edo iji angode ito bino karigari embo Stephen detero besisina, na daedo yai ainda petedo isite awara ari pipisitena. Edo embomaimi Stephen detero beteiri awamaneda dademo ombari nato yaida pietero sima esitena.’
ACT.22.21	“Edo Badari mi namonde sisina, ‘Nanemi imo yai aikamanabéda piano Judah embomai aeda yai mambata. Awatedo, mambuyo!’”
ACT.22.22	Edo embomai Paul da ge matawa ingite itero embo ami ge ango sisina. Ata iji angode ge eiwa gido awamanemi tuturo edo ge yavi ikanebé tedo esitera, “De betare! Embo eiwa butu einda itari tao ae!”
ACT.22.23	Ango edo awamanemi sinigambari eite aorogatedo awamaneda dademo ombari kokumbedo Paul dari iwata eite konipo kundo ikane agaugesitera. 
ACT.22.24	Aindabé, Judah embomai aoro bajinabé gateite embo ainde sinigambaribé era, awatedo, Rome da itoroda badarimi ainda embobode ge okain sisina, Paul kundo gundo awamaneda oroda piorote. Edo awamanede sisina, Paul awa bajinabé vededo ge okain taro embo ainda buriyabé rori awa tari gain. 
ACT.22.25	Ango edo awamanemi embo awa ipatai ududugedo bundedo vedain esitera. Ata Paul mi itoroda gisijiari demonda petedo isiri ainde sisina, “Imo Rome da aodari dato erigari na vedain esita? Na awa Rome embo.
ACT.22.26	Ango edo itoroda gisijiarimi ge eiwa ingido itoroda badarida yai maundo embo ainde tedogosisina, “Imo ro esi? Embo eiwa Rome embo.”
ACT.22.27	Edo itoroda badarimi Paul da yai gundo ainde sisina, “Namonde te! Imo awa Rome embo ta?”
ACT.22.27	Ami mina sisina, “Gebé.”
ACT.22.28	Edo itoroda badarimi sisina, “Nato Rome emboda dero eiwa ganu bajinabémi oriesitena!”
ACT.22.28	“Ata nato mamo ae ai de awa Rome embobo,” Paul mi mina sisina.
ACT.22.29	Iji dá ainde, embobo ainkain Paul da yai gundo imo buriya rori awa taro tari gain eite, burigibé awamane Paul dodo yai eve idegesitera. Edo aindabé itoroda badarimi Paul matu bundedo ainda amboda gidogogo edo Paul awa Rome embo, imo daedo adu esisina.
ACT.22.30	Edo itoroda badarimi ro embo Judah embomaimi Paul bekumba eteri awa gain esisina. Awatedo, sipo neinde, ami ge tesiri ainda embobomi Paul da asi okain aurimi ari awa kundo teugesitera. Edo daedo itoroda badarimi pirisi babain ae awamaneda Sanhedrin embobo berari de ge okain tedo gumborote sisina. Edo awamane gundo doregetero itoroda badarimi Paul kundo wotedo awamaneda dombuda piesiri peposisina.
ACT.23.1	Edo Paul mi Sanhedrin embobo jisi ni bé eite sisina, “Nanonameji, nanemi God da jisida dokotembari dave berarimi wasiri nato eite gundo boroko deguta tega eiwa etena.” 
ACT.23.2	Ango edo pirisida gisijiari bajina dao Ananias mi embobo Paul da demonda petedo itero awamanede ge okain tedo embo awa beda dorote sisina. 
ACT.23.3	Edo Paul mi embo ainde sisina, “God mi imo daina, giyo! Imo awa mando kipa pon dave, ata do donode angomi anumbedo isite aodari jido na kateta. Edo ge okain tedo na dorote teta, ata aodari awa inemi deteto erigeteira!”
ACT.23.4	Edo embobo Paul da demonda petedo isite awamanemi ainde sitera, “Imo God da pirisida gisijiari bajina tedojijiresita?”
ACT.23.5	Edo Paul mi mina sisina, “Nanonameji, na doiyo bé tena! Embo eiwa pirisida gisijiari bajina awa na bé gidogogo ae. Edo God da Ge Gaiari isira awa, ‘Imo ito embomainda gisijiarida yai ge beyae teote.’”
ACT.23.6	Ata Paul mi embo ainde itero gosisina awa Sadusi mane edo nei awa Parasi mane. Ango gido imo Sanhedrin da yai ge yavi ikanadebé eite sisina, “Nanonameji, na awa Parasi embo edo Parasi mai. Aindabé nato tumonda ari awa God mi embo bebetegarida jiari erara, awatedo, imomane na awa katewa.” 
ACT.23.7	Edo iji ainde imo ge eiwa sisina awa, Parasi mane edo Sadusi mane ge baiedo embo yai ainda doregesitera, awa kupo avigesiri kupo avigesiri evekara esitera. 
ACT.23.8	(Sadusi manemi betarida erari awa itae gebé edo esitera, edo anelamane ae asisi evekara de itae gebé edo esitera. Ata Parasi manemi betarida erari awa isira gebé edo esitera. Edo daedo awamanemi anelamane ae asisi evekara de itera awa gebé edo esitera.)
ACT.23.9	Edo awamanemi tuturo edo ge baiedo yavi bajinabé esitera. Edo Aodarida atopapasigari awa Parasi maneda jisi da ami erido petedo ge okain bajinabé baitera, “Nakare embo einda beyae da ji tambae etera. Awarata, asisimi ta anelami embo einde ge sisini tarora? Awatedo, kaena God de duduno ainyae.”
ACT.23.10	Edo Parasi mane ae Sadusi mane demi erido mina isimba mana isimba esitera. Edo itoroda badarimi embo doregari tote (2)mi Paul awa dumbaro pitoko ae esira gido adu esisina. Awatedo, embo ami ge okain tedo, ainda itoro embobo wotedo maundo Paul awamaneda ipada jido taimbedo kundo gundo itoro emboboda oroda tororote sisina.
ACT.23.11	Edo muyae deguta dá ainde Badari gundo Paul da demonda petedo sisina, “Paul, do jinenegedo petedogogo eyo! Imo Jerusalem einda embomainde nato daoda ge karigeteto gera. Edo dá ango, imo Rome embomainda yai nato daoda ge daedo karigato gara.”
ACT.23.12	Edo sipo neinde Judah embobo nenei dada edo Paul daro betarate ge jijiritera. Ango edo ge mina tara edo tarigari tedo sitera, “Paul wasiride isira ainde awa kaena un inainyae ko indari inainyae isimango embo awa daro betari, ainda amboda indari indara.” Edo awamane God da yai benunu sitera, awamaneda tarigari awa sima ae dumbae aro gido God mi awamaneda yai begá piarate. 
ACT.23.13	Embobo kotembari eiwa budo dada edo sirigesitera, awamaneda ajigari awa visido 40 daginegari. 
ACT.23.14	Edo embobo eiwamanemi pirisi babain ae orobeda kopuru mamai deda yai gundo sitera, “Nakare tarigari okain bé God da jisida tetera, nakare indari da ji inainyae isimango Paul daro betari, ainda amboda indari indara. 
ACT.23.15	Awatedo, imomane ae Sanhedrin demi itoroda badarida yai maundo tedogari piewo, embo awa audo Paul itomane yai kundo wotedo gumbare. Ango ari udumbedo ge pitawami engo tawa, imomane Paul da katarida tedogari nenei piain jipapa ewa. Edo embo awa gumbari gain awa sima eite itewa, ango tawa. Ata embo awa gupeiari itomane yai aikae gumbae gisida, nanekaremi matu siya edo daro betaina.”
ACT.23.16	Ango tetero, ata Paul da metoromi awamaneda dari betari ge ingido maundo itoro emboboda oroda torido Paul de ge awa tesiri gosisina. 
ACT.23.17	Edo Paul mi itoroda gisijijiegarida embo da (1) dao tesiri gumbiri sisina, “Imo maisinga eiwa kundo maundo itoroda badarida yai eyo. Ainda doda ge isira awa embo ainde tare.”
