GEN.1.1	Könakönahiŋe Anutunöŋ Suep aka gölme miwikŋaim etkiyök. 
2PE.3.11	Öröyuai pakpak mi tandök mewö julkula qahöwakŋeaŋgöra eŋön mönö ambazip denöwöŋi aka malgetka dop kölbawak? Miaŋgöra mönö ahakmeme sarakŋi wuataŋgöba Kraist ewö aka malbingö köl guliba malme. 
2PE.3.12	Iŋini Anutugö nalö ketaŋi mi kam kuŋgumapköra mamböta zilaŋ kamapkö nupŋi kapaŋ köla memba malje. Nalö miaŋgöreŋ gölmegö öröyuaiŋi aka wehön köiŋ seŋgelau aka mewöŋi mi könöwiba jeba bolbolgöma. Anutunöŋ suepkö öröyuaiŋi mi körek köndeŋmöndeŋ aliga julkula jem teköma. 
2PE.3.13	Mewö jem tekömapmö, Anutunöŋ yuai asuhumapkö keu jöhöi ahözawi, neŋön miaŋgö dop Suep gölme dölökŋi miwikŋaim etkimapkö mambörakzin. Mi miwikŋaim etkiiga miaŋgöreŋ aŋgota ahakmeme diŋdiŋi wuataŋgöba malbin.
2PE.3.14	O wölböt alaurupni, eŋön nalö ketaŋi mi kam kuŋgumapkö mamböta malje. Miaŋgöra mönö kewö akingö kapaŋ köla kinme: Uruŋini sarakŋi aiga Anutunöŋ töwöt boromŋinaŋgö keuŋi kun qahö miwikŋaiiga yambuk ösupközeaŋgöra luainöŋ malme. 
2PE.3.15	Mamböta Kembuninaŋgö uru tandökŋaŋgöra kewö mötmöriba malme: Yaŋön iŋini uruŋini meleŋda kunbuk letotmegö nalöŋi mem körim al eŋgiba ösöŋ mamböt eŋgiba malja. Wölböt alanini Pol yaŋön mewöyök keu miyök ohom eŋgiyökmö, Anutunöŋ mötkutukutu öŋgöŋgöŋi waŋgiiga miaŋgö dop keuŋi ohom eŋgiyök. 
2PE.3.16	Miaŋgö keuŋi mi kimbiŋi pakpak miaŋgöreŋ jiba ohomakzapmö, Buŋa Kimbiŋaŋgö uruŋe keuŋi tosatŋi mi lömbötŋambuk. Miaŋgöra tosatŋan mi möt asaribingö jaram tiba lömbörimakze. Gukmaulem ambazip koŋgwarak qeba tötöpinpin laŋ malakzei, yeŋön kimbiŋi kimbiŋi mi laŋ möwöramgömakze. Miaŋgö dop Polgö keuŋi mewöyök meleŋqeleŋ aketka supapköba sohomakza. Mewö möwöramgöba kinda nanŋini mem bölim aŋguba könöp sianöŋ geme.
2PE.3.17	Yeŋön gememö, wölböt alaurupni, eŋön mewö asuhumapkö keuŋi lök qeljiŋe möta malje. Miaŋgöra mönö nanŋini galöm mem aŋguba malme. Iwilele ambazip köna siŋgiba qiwitipkömakzei, eŋön mönö yeŋgö kelök keuŋinan öröm eŋgii eŋguataŋgöba jiŋjauŋ anbepuk. Malmalgö tandö pöwöwöm köhöikŋi miaŋgöreŋök mewö tala kaman kölbepuk. 
2PE.3.18	Kembunini Jisösgö kalem möriamŋe kinjei, miaŋgöreŋ mönö kunbuk suariba köhöiba malme. Amötqeqe Tonini Kraistkö könaŋi möt kutuzei, mi mönö toroqeba möt yaköm soroköba malme. I möpöseininga qetŋi nalö kewöŋe aködamun-ŋambuk aka könaŋgep teteköŋi qahö mewö ahöm öŋgöma. Keu mi ölŋa.
1JN.1.2	Oyaeŋkoyaeŋ malmalgö Toŋan asuhuiga neŋön i eka könaŋi naŋgöba jiba dangunu ewö kinjin. Malmal teteköŋi qahö miaŋgö Toŋan Iwibuk mala kota eta asuhum neŋgiyöhi, neŋön miaŋgö Buŋaŋi jim asariba uruŋini kuŋguzin. 
1JN.1.3	Neŋön Iwi aka yaŋgö Nahönŋi Jisös Kraist yetpuk urunini jöhöba mohot maljin. Iŋini mewöyök uruŋini nembuk jöhöba mohot malbingöra yuai eka mörini, mi jim tuarim eŋgizin. 
1JN.1.4	Sösöŋgainöŋ urunini kokolak qei malbingöra keu ki jim tuariba ohozin. Mewö.
1JN.1.5	Buŋa keu yaŋgö Nahönŋaŋgöreŋök möta jim tuarim eŋgizini, mi kewö: Anutunöŋ asakŋaŋgö Toŋi akza aka yaŋgöreŋ söŋaup kun qahö ahöza. 
1JN.1.6	“Neŋön yambuk urunini jöhöba mohot maljin,” mewö jitnöŋ jiba töndup aiakaninan jipjap aka söŋaupnöŋ maljin ewö, mönö keu muneŋ jiba ahakmemeninan keu ölŋi qahö wuataŋgömakzin. 
1JN.1.7	Anutunöŋ asakŋaŋgö uruŋe maliga neŋön miaŋgö dop aiakanini asakŋaŋgö uruŋe ahakzin ewö, mönö sutnine urunini jöhöm aŋguba mohok malinga Nahönŋi Jisös Kraistkö sepŋan mönö siŋgisöndoknini pakpak saŋgoŋmakza.
1JN.1.8	Urunine siŋgisöndok qahö ahöza, mewö jibinak ewö, mönö nanini tilipköm aŋguinga keu ölŋan urunine qahö kinma. Qahö! 
1JN.1.9	Siŋgisöndoknini jim miwikŋaizin ewö, yaŋön mönö uruŋi diŋdiŋaŋgö dop jöhöjöhö keuŋi pöndaŋ wuataŋgöba siŋgisön-doknini mosöta ahakmemenini goŋgoŋi pakpak saŋgoŋmakza. 
1JN.1.10	“Siŋgisöndok qahö ahin,” mewö jibin ewö, mönö keu Toŋi oŋgiringa Anutunöŋ muneŋ jiji azi tandök aiga keuŋan urunine qahö kinma. Mewö.
1JN.2.1	O (koko) gömokurupni, iŋini siŋgisöndok akepuköra keu ki ohozal. Mi ohozalmö, kunöŋ töndup siŋgisöndok akawak ewö, awörök köiput Toninan mönö ahöm neŋgiza. Jisös Kraist yaŋön Iwigö kösutŋe mala keu pakpak diŋdiŋanök kewöta ak neŋgimakza. 
1JN.2.2	Awörök köiput Tonini yaŋön siŋgisöndokninaŋgö töwaŋi ala köl könjörat neŋgiyök. Mi neŋgö siŋgisöndokörök qahöpmö, mönö gölmeŋi gölmeŋi neŋgöreŋ siŋgisöndok mi mohotŋe köl könjöratmamgöra kömuyök. Mewö.
1JN.2.3	Anutugö jöjöpaŋ keuŋi tem kölakin ewö, mewö miaŋön i möt waŋgizini, mi ölöp uruyahötŋi qahö möt yaközin.
1JN.2.4	Kunŋan “Anutu möt waŋgizal,” jiba jöjöpaŋ keuŋi qahö tem köla wuataŋgömakzawi, yaŋön mönö muneŋ jiji ambaziwa aiga keu ölŋan yaŋgö uruŋe qahö kinja. 
1JN.2.5	Qahöpmö, kunöŋ Anutugö keuŋi tem köla wuataŋgömakzawi, Anutugö urukalemŋan mönö ölŋa yaŋgö uruŋi kokolak qei aködamunŋambuk malja. Mewö miaŋön Anutubuk qekötahöba mohok maljini, mi möt yaközin. 
1JN.2.6	Kunŋan “Anutubuk qekötahöba maljal,” jizawi, yaŋön mönö Jisösnöŋ ahakmemeŋi ahök, mönö miaŋgö dop aka memba malma. Mewö qahö aka maliga qahö dop kölja. Mewö.
1JN.2.8	Töndup miaŋgö jimkutukutuŋi dölökŋi mi eŋgöra ohozal. Söŋaupnöŋ ayapkömamgö aiga asakŋi ölŋan lök asarim qarimakzawi, miaŋgöra jöjöpaŋ keu miaŋgö ölŋan mönö Anutugöreŋ aka eŋgöreŋ ahuba ahöza.
1JN.2.9	Kunŋan jitŋan “Asakŋe maljal,” jizapmö, alaŋi kazik ak waŋgizawi, yaŋön mönö toroqeba söŋaup uruŋe malja. 
1JN.2.10	Kunŋan alaŋi jöpaköm waŋgimakzawi, yaŋön mönö asakŋaŋgö uruŋe pöndaŋ maliga silikŋan tosatŋi siŋgisöndok akŋegöra qahö kondorakza. 
1JN.2.11	Mewömö, kunŋan alaŋi kazik ak waŋgizawi, yaŋön mönö ömuŋe jipjap mala ahakmemeŋi söŋaup uruŋe ahakza. Söŋaupnöŋ jeŋi mem sohoiga jaŋjuŋ aka maljawaŋgöra aka denike anmawi, mi nanŋak qahö möt kutumakza. Qahö.
1JN.2.12	O nahönböraturupni, Jisösnöŋ kömumba qet ketaŋi memba maljawaŋgöra aka Anutunöŋ eŋgö siŋgisöndokŋini mosöta kösöloŋanim teköyök. Miaŋgöra keu ki eŋgöra ohozal. 
1JN.2.13	O iwiurupni, kunöŋ könakönahiŋeyök mala kotzawi, iŋini i möt waŋgiba mala kotze. Miaŋgöra keu ki eŋgöra ohozal. O gwaböurupni, iŋini bölöŋaŋgö Toŋi luhut al waŋgiba maljei, miaŋgöra keu ki eŋgöra ohozal. Nahönböraturupni, iŋini Iwigö könaŋi möt kutuba maljei, miaŋgöra keu ki eŋgöra ohozal.
1JN.2.14	Iwiurup, kunöŋ könakönahiŋeyök mala kotzawi, iŋini i möt waŋgiba mala kotze. Miaŋgöra keu ki ohobiga eŋgöreŋ kaza. Azi gwaböurup, iŋini Anutugöreŋ Buŋa keu uruŋine algetka köhöiba kiniga ösum-mumuŋinambuk aka bölöŋaŋgö Toŋi luhut al waŋgiba malje. Miaŋgöra keu ki ohobiga eŋgöreŋ kaza. Mewö.
1JN.2.15	Iŋini gölmegö ahakmeme bölöŋi aka yuai pakpak miaŋgöreŋ ahözawi, miaŋgöra kude ak eŋgima. Kunŋan uruŋan gölmegö ahakmemegöra ak waŋgiza ewö, Iwigö urukalemŋan mönö yaŋgö uruŋe qahö kinja.
1JN.2.16	Gölmegö ahakmeme mi kewö: Ambazipnöŋ sileŋinaŋgö sihim kömbönaŋini bölöŋi mörakze. Yuai jeŋinan eka eksihim aka köpösöŋgömakze aka gölmegö malmalŋinaŋgöra piririköba töröraiba sileŋini memba öŋgömakze. Mi aka urukönöp tosatŋi mi Iwigöreŋök qahö kaza. Qahö! Mi mönö gölmegö ahakmeme bölöŋi akza. 
1JN.2.17	Gölmegö ahakmemenöŋ göröŋ qema aka miaŋgö sihimŋi bölöŋi bölöŋi mi mewöyök göröŋ qememö, kunŋan Anutugö jit sihitŋi tem köla wuataŋgömakzawi, yaŋön mönö böŋ qeba nalö teteköŋi qahö mal köhöima. Mewö.
1JN.2.18	O (koko) gömokurupni, Kraistkö salupŋe
1JN.2.19	Tuarenjoŋ ambazip mieŋön nanine kambunöhök mala neŋgömosöta anget. Uruŋini nembuk muneŋ-muneŋ jöhöba mötnarip könagesö sutnine laŋ mala buratiget. Neŋgöreŋ könagesö ölŋi akeak ewö, mönö nembuk pöndaŋ qekötahöba mohokŋe malbinak. Neŋgömosöta tikep kinjei, silik miaŋön mönö könaŋini kewö kondeliga eka mötzin: Yeŋgöreŋök kunöŋ nembuk ölŋa mohot qahö aka malök.
1JN.2.20	Yeŋön tikep kinjemö, Kraistnöŋ Uŋaŋi Töröŋi eŋgö uruŋine mokoiga bedu memba inahöm eŋgiiga körek eŋön keu ölŋi möt kutuba malje. 
1JN.2.21	Iŋini keu ölŋi qahö möt kutubepuköra aka keu ki qahö ohom eŋgizal. Mewögöra qahöpmö, iŋini keu ölŋi möt kutuze aka keu ölŋan keu muneŋi kun kondotmamgö osimakza. Miaŋgöra keu ki ohom eŋgizal.
1JN.2.22	Jisösnöŋ Amötqeqe Toŋi Kraist akzapmö, kun daŋön keu mi qaŋ köljawi, yaŋön mönö isimkakalek ambaziwa akza. Yaŋön Kraistkö salupŋe kinda tuarenjoŋ ak waŋgiba Iwi aka yaŋgö Nahönŋi mi mohokŋe qaŋ köl etkimakza. 
1JN.2.23	Kunŋan Iwigö Nahönŋi qaŋ kölakzawi, yaŋön Iwiŋi qahö öne malja. Kunŋan Nahönŋi jim miwikŋaimakzawi, yaŋön mönö Iwi mewöyök miwikŋaiba yambuk malja.
1JN.2.24	Iŋini Buŋa keu könakönahiŋeyök möta kotkeri, mi uruŋine köhöiba kinmapköra galömŋini meme. Buŋa keu möta kotkeri, miaŋön uruŋine kinma ewö, iŋini mewöyök mönö böŋ qeba Iwi aka yaŋgö Nahönŋi yetpuk qekötahöba kinme. 
1JN.2.25	Kraistnöŋ jöhöjöhö keu kewö neŋgii ahöza, “Nömbuk kinme ewö, mönö oyaeŋkoyaeŋ malmal eŋgibiga teteköŋi qahö mal köhöime.”
1JN.2.26	Tosatŋan esapköba jaŋjuŋ mem eŋgimakzei, nöŋön yeŋgöra aka keu mi ohom eŋgizal. 
1JN.2.27	Tosatŋan jaŋjuŋ ahakzemö, Kraistnöŋ Uŋa Töröŋi eŋgö uruŋine mokoiga bedu memba inahöm eŋgimakza. Uŋa yaŋön uruŋine böŋ kini qahö löwörime ewö, eŋön mönö böhi kungöra qahö osime. Mi kewögöra: Yaŋgö Uŋaŋan mönö ahakmemegö keu pakpak kusum eŋgimakŋa. Bedu memba inahöm eŋgimakzawi, miaŋön yuai muneŋi kun qahöpmö, mötmöt ösumŋi öl töhönŋanök akza. Miaŋgöra keu ölŋi kusum eŋgiyöhaŋgö dop mönö keuŋi pakpak tem köla Kraistpuk töp qekötahöba kinme.
1JN.2.28	O (koko) gömokurupni! Iŋini mönö Kraistpuk töp qekötahöba kinme. Yambuk kinda malinga kunbuk asuhumawi, nalö miaŋgöreŋ qahö közöl neŋgiiga gamu qakŋe qahö mömölaköba anbinmö, ölöp yaŋgö jeŋe awösamkakak qakŋe tamehök kinbin. 
1JN.2.29	Kraistnöŋ solanŋi akzawi, iŋini keu mi möt kutuze ewö, mönö keu ki mewöyök ölöp möt asarime: Ambazip körekŋan ahakmeme solanŋi ahakzei, yeŋön mönö mewöyök Anutugöreŋök ahuba nahönböraturupŋi akze. Mewö.
1JN.3.2	O wölböt alaurupni, nalö kewöŋe nini Anutugö nahönböraturupŋi aka maljin. Mewö mala könaŋgep denöwö aka malbini, mi aukŋe qahö asuhuyök. Mohok kun mötzini, mi kewö: Yaŋön kunbuk aukŋe asuhuiga kaisoŋgolomŋi ölŋi jeninan ekini, nalö miaŋgöreŋ mönö letota i ewö akin. 
1JN.3.3	Denike yeŋön Kraistköra jörömqöröm mewöŋi ak waŋgizei, yaŋön mönö i köl könjörat mem eŋgiiga yaŋgö tandök ewö sarakŋi aka malme.
1JN.3.4	Denike yeŋön siŋgisöndok akzei, yeŋön mönö köna keu qeba walöŋmakze. Siŋgisöndok mi iwilele ahakmemeya. 
1JN.3.5	Kraist nanŋak siŋgisöndokŋi kun qahö yaŋön nanine siŋgisöndoknini köl könjöratmamgöra eta asuhuyöhi, mi ölöp mötze. 
1JN.3.6	Denike yeŋön Kraistpuk böŋ qeba kinjei, yeŋön siŋgisöndok qahö aka malje. Kunŋan siŋgisöndok toroqeba ahakzawi, yaŋön Jisös qahö eka könaŋi qahö möt kutuba malja. Mewö.
1JN.3.7	O (kokourupni) gömökurupni! Kunŋan jaŋjuŋ mem eŋgibapuköra mönö galömŋini mem aŋguba malme. Kraistnöŋ solanŋi akzawi, yaŋgö dop ahakmeme solanŋi törörök wuataŋ-gömakzawaŋön mönö solanŋi akza. 
1JN.3.8	Bölöŋaŋgö Toŋan köna-könahiŋeyök siŋgisöndok aka kota malja. Miaŋgö dop denike yeŋön siŋgisöndok ahakzei, yeŋön mönö Bölöŋi Toŋaŋgö buŋaya akze. Anutugö Nahönŋan mönö yaŋgö nupŋi yaiŋ memamgöra eta asuhuyök.
1JN.3.9	Denike yeŋön Anutugöreŋök asuhugeri, yeŋgöreŋök kunŋan malmal qainŋi kun uruŋe ahözawaŋgöra mönö siŋgisöndok qahö toroqeba ahakza. Ahuahu dölökŋi ahuba maljawaŋgöra aka siŋgisöndok toroqeba akŋamgö osimakza. 
1JN.3.10	Denike yeŋön Anutugö nahönböratŋi aka denike yeŋön Bölöŋi Toŋaŋgö nahönböratŋi akzei, mi kewö kewöta möt asaribin: Kunŋan ahakmeme solanŋi qahö wuataŋgömakzawi, yaŋön mönö Anutugö buŋaŋi qahö akza. Mewöŋanök kunŋan alaurupŋi qahö jöpaköm eŋgimakzawi, yaŋön Anutugö buŋaya qahö akza. Miaŋgö aiwesökŋi mewö.
1JN.3.12	Kein (Kain) yaŋön Bölöŋi Toŋaŋgö buŋaya mala munŋi qei kömuyök. Nini mönö i ewö aka malbinbuk. Yaŋön kewögöra munŋi qeyök: Nanŋi ahakmemeŋan bölöŋi ahökmö, munŋaŋ-göreŋan solanŋi ahök. Mönö miaŋgöra qeyök.
1JN.3.13	O urumeleŋ alaurupni, gölme ambazipnöŋ kazik ak eŋgime ewö, miaŋgöra mönö kude welipköme. 
1JN.3.14	Nini urumeleŋ alaurupnini jöpaköm eŋgimakzinaŋgöra aka keu ki möt asarizin: Nini kömup köhöikŋaŋgö jaböŋi walöŋda malmal köhöikŋe aŋgota maljin. Kunŋan urukalem qahö ahakzawi, yaŋön mönö toroqeba kömup köhöikŋaŋgö uruŋe kinma. 
1JN.3.15	Ambazip alaurupŋini kazik ak eŋgimakzei, körek yeŋön mönö köhömuŋi eŋgueŋgu ambaziwa akze. Malmal köhöikŋi mi eŋgueŋgu ambazip mewöŋi kungö uruŋe qahö ahöza, mi ölöp möt yaköze.
1JN.3.16	Jisös Kraistnöŋ malmalŋi neŋgöra aka köleŋda mosöta jöpaköm aŋguaŋgugö könaŋi mewö kondel neŋgiiga eka möt kutuzin. Neŋön mönö mewöŋanök malmalnini urumeleŋ alaurup yeŋgöra aka köleŋda mosöringa dop kölma. 
1JN.3.17	Kunŋan gölmegö öröyuaiŋi dopŋe memba maliga alaŋan yuaigöra osiba mözöqözöröŋ aiga ekzapmö, töndup ekbonep aka uruŋi jöhöza ewö, Anutugö urukalemŋan mönö yaŋgö uruŋe denöwö kinbawak? 
1JN.3.18	O (koko) gömokurupni, jöpaköm aŋguaŋgu mi numbu jitninan keu töhönök timbiliba jimakinbukmö, mi mönö ahakmemeninan keu ölŋi wuataŋgöba aka malbin.
1JN.3.19	Nini keu ölŋaŋgö buŋaya akzin me qahö? Akzin ewö, mönö ölöp urunini bönjöŋ köliga Anutugö jemesoholŋe awösamkakak kinbin. Keu mi nanini kewöt aŋguba kewö möt kutubin: 
1JN.3.20	Uruninan yuai bölöŋaŋgöra aka jim neŋgiza ewö, nini keu ki ölöp möt yaközin: Anutunöŋ kewötkewöt Tonini aka keunini diŋdiŋanök kewötma. Anutugö mötmötŋan mönö nanine mötmötnini oŋgita öŋgöŋgöŋi aiga keu pakpak ölöp möt teköza. Miaŋgöra ölöp urunini bönjöŋ köliga malbin.
1JN.3.21	O wölböt alaurupni, uruninan qahö jim neŋgiza ewö, nini mönö Anutugö jemesoholŋe awösamkakak aka tamehök kinbin. 
1JN.3.22	Nini Anutugö jöjöpaŋ keuŋi tem köla ahakmemenini dop köl waŋgimakzawaŋgö dop aka memba malakzin. Miaŋgöra yuai kungöra köuluköba qesim waŋgibini, mönö mia neŋgii buŋa qem aŋgubin.
1JN.3.24	Denike yeŋön Anutugö jöjöpaŋ keuŋi tem kölakzei, yeŋön mönö Anutubuk qekötahöba malgetka Anutunöŋ yembuk lapingöba kinja. Yaŋön nembuk lapingöba kinjawi, mi Uŋaŋi Töröŋi neŋgiiga urunine saŋep ala maljawaŋgöra möt kutuzin. Mewö.
1JN.4.1	O wölböt alaurupni, kezapqetok ambazip takapulakaŋi gwötpuk mi gölme dop liliköba maljei, miaŋgöra keu pakpak mi zilaŋ kude memba möt narime. Anutugö Uŋaŋan me öme kunŋan sölölöhöiga asuhuzawi, mi mönö mutuk esapesapnöŋ ala kewötme. 
1JN.4.2	Anutugö Uŋaŋaŋgö könaŋi mi mönö kewö kewöta möt miwikŋaime, “Jisös Kraistnöŋ eta silebuk aka malök,” denike yeŋön keu mi jim miwikŋaimakzei, yeŋön mönö körek Anutugö buŋaya akze. 
1JN.4.3	Kunŋan Jisösgö könaŋi mewö qahö jim miwikŋaimakzawi, yaŋön Anutugö buŋaya qahö akza. Kraist tuarenjoŋaŋgö ömeŋan mönö yaŋgö uruŋi sölölöhöiga keu jimakza. Kunöŋ asuhuba Kraistkö salupŋe kinda tuarenjoŋ ak waŋgimawi,
1JN.4.4	O (koko) gömokurupni, iŋini Anutugö buŋaya aketka Uŋa Töröŋan uruŋine kinda gölmegö ömewörömeŋi mi eŋgoŋgita luhut al eŋgimakza. Miaŋgöra kezapqetok ambazip takapulakaŋi mi ölöp luhut al eŋgiba malje. 
1JN.4.5	Yeŋön gölmegö buŋaya aketka gölmegö ömeŋan sölölöhöm eŋgimakze. Miaŋgöra gölmegö ahakmemeŋi wuataŋgöba keu jigetka urumeleŋgö kopa ambazip yeŋön keuŋinaŋgöra kezap ala mörakze.
1JN.4.6	Nini Anutugö buŋaya ahinga Uŋa Töröŋan sölölöhöm neŋgimakza. Anutu möt waŋgizeaŋön mönö neŋgö keuninaŋgöra kezap ala mörakze. Anutugö buŋaya qahö akzei, yeŋön neŋgö keuninaŋgöra kezap qahö ala mörakze. Keu ölŋaŋgö Uŋaŋi aka isimkakalekö ömeŋi yetkö könaŋiri mi mönö mewö kewöta möt kutumakzin. Mewö.
1JN.4.7	O wölböt alaurupni! Anutunöŋ jöpaköm aŋguaŋgugö jalöŋi akza. (Miaŋgöra urukalem mi o jeŋaŋgö tandök ewö ahöba korakza.) Miaŋgöra nini mönö jöpaköm aŋguba malbin. Mewö aka maljini, körek neŋön mönö Anutu möt waŋgiba yaŋgöreŋök ahuahu dölökŋi ahuba maljin.
1JN.4.8	Anutunöŋ urujöpakö Toŋi akza. Mewö akzawaŋgöra kunŋan ambazip qahö jöpaköm eŋgimakzawi, yaŋön mönö Anutu qahö möt waŋgiba tönpin malja. 
1JN.4.9	Anutunöŋ urukalemŋi kewö kondeli sutnine asuhuyök: Yaŋön Nahönŋi mohok-kunŋan nam köl neŋgii mal köhöibingöra aka melaiiga gölmenöŋ erök. 
1JN.4.10	Nini Anutu jöpaköm waŋgiinmö, miaŋön urukalemgö könaŋi qahö. Urujöpakö könaŋi mi kewö: Anutunöŋ jöpaköm neŋgiba siŋgisöndoknini köl könjöratmamgöra Nahönŋi melaiiga neŋgöreŋ erök.
1JN.4.11	O (koko) gömokurupni, Anutunöŋ mewö önöŋi qahö jöpaköm neŋgiyöhaŋgöra neŋön mönö mewöŋanök uruninan jöpaköm aŋgumakin. Urukalem qahö ak aŋguinga qahö dop kölja. 
1JN.4.12	Kunŋan kun Anutu nalö kunöŋ qahö ehökmö, jöpaköm aŋguba maljin ewö, Anutunöŋ mönö urunine lapingöba kiniga urukalemŋan urunini kokolak qeiga aködamuninambuk maljin.
1JN.4.13	Nini Anutubuk qekötahöba malinga yaŋön urunine lapingöba kinjawi, mi Uŋaŋi Töröŋi neŋgiyöhaŋgöra aka möt kutuba uruyahöt qahö ahakzin. 
1JN.4.14	Iwinöŋ Nahönŋi gölmeŋi gölmeŋi neŋgö Amötqeqe Tonini akŋapköra melaiiga erök. Neŋön mi eka möta naŋgöba jimakzin. 
1JN.4.15	Kunŋan “Jisös Anutugö Nahönŋi akza,” jiba jim miwikŋaimakzawi, Anutunöŋ mönö yaŋgö uruŋe lapingöba kiniga yaŋön Anutubuk qekötahöba malja.
1JN.4.16	Anutunöŋ uruŋan jöpaköm neŋgimakzawi, nini miaŋgö könaŋi möta miaŋgöreŋ möt narimakzin. Anutunöŋ urujöpakö Toŋi akza. Mewö akzawaŋgöra kunŋan ambazip jöpaköm eŋgiba maljawi, yaŋön mönö Anutubuk qekötahöba kiniga Anutunöŋ yaŋgö uruŋe lapingöba malja. 
1JN.4.17	Mewö malinga köŋgörököm neŋgiiga Anutugö urukalemŋan urunini kokolak qeiga aködamu-ninambuk maljin. Nini Kraistkö tandök ewö gölme kusukŋi kiaŋgöreŋ maljin. Mewö maljinaŋgöra aka Anutugö jimtekötekö nalö ketaŋe Kraistkö jeŋe aŋgota miaŋgöreŋ awösamkakak aka tamehök kinbin.
1JN.4.18	Anutunöŋ jöpaköm neŋgiiga kinda öne töhön keŋgötnini mötpinbuk. Siŋgisöndok ambazip yeŋön Anutunöŋ siŋgisöndok-ŋinaŋgö likepŋi meleŋ eŋgibapuköra keŋgötŋini mörakzemö, Anutugö urujöpakŋan urunini kokolak qeza ewö, miaŋön mönö keŋgöt mötmöt pakpak yakörim tekömakza. Miaŋgöra kunŋan keŋgötŋi mörakzawi, yaŋön jöpaköm neŋgimakzawaŋgö könaŋi mi törörök qahö möt teköza.
1JN.4.19	Yaŋön mutuk jöpaköm neŋgiyöhaŋgöra aka nini urukalem ahakzin. 
1JN.4.20	Kunŋan “Anutu jöpaközal,” jizapmö, alaŋi kazik ak waŋgimakzawi, yaŋön mönö muneŋ jiji ambaziwa akza. Miaŋgö könaŋi kewö: Alaŋi eka töndup qahö jöpaköm waŋgiza ewö, yaŋön Anutu qahö eka i mönö denöwö jöpaköm waŋgibawakto? 
1JN.4.21	Kunŋan Anutu jöpaköm waŋgimakzawi, yaŋön mönö alaurupŋi mewöyök jöpaköm eŋgiba malma. Anutunöŋ jöjöpaŋ keuŋi mewö al neŋgiyök. Mewö.
1JN.5.1	Denike yeŋön Jisös möt nariba “Amötqeqe Tonina akza,” jimakzei, körek yeŋön mönö Anutugöreŋök ahuahu dölökŋi ahuba malje. Denike yeŋön Iwi jöpakömakzei, körek yeŋön mönö yaŋgö Nahönŋi mewöyök jöpaköm waŋgimakze. 
1JN.5.2	“Anutugö nahönbörat-urupŋi jöpaköm eŋgizin,” jiinga keu miaŋgö ölŋi mi nanini kewögöra kewöt aŋguba mötzin: Anutu jöpaköm waŋgiba jöjöpaŋ keuŋi tem köla wuataŋgömakzin ewö, mönö Anutugö nahönbörat-urupŋi mewöyök jöpaköm eŋgimakin. Miaŋgö aiwesökŋi mewö. 
1JN.5.3	Anutu jöpaköm waŋgibingö ölŋi mi temkölköl. Anutugö jöjöpaŋ keuŋi wuataŋgöinga dop kölja. Jöjöpaŋ keuŋi tem kölinga lömbötŋambuk qahö akŋa.
1JN.5.4	Anutugöreŋök ahuahu dölökŋi ahuini, körek neŋön ölöp yaŋgö jitŋi tem köla gölmegö ahakmeme bölöŋi luhut alakin. Anutunöŋ mötnarip neŋgiiga miaŋgö qakŋe köuluköinga lök gölmegö ahakmeme bölöŋi memba et alök. Luhut albingö köna murutŋi kun qahö ahöza. 
1JN.5.5	Neŋön luhut qahö albinak ewö, denike yeŋön mönö mi akeak? Jisösnöŋ Anutugö Nahönŋa akzawi, mi möt narizawaŋön mönö gölmegö ahakmeme bölöŋi luhut alakza. Mewö.
1JN.5.6	Jisös Kraistnöŋ Anutugö Nahönŋa akzawi, mi denöwö mötzin? Jisösnöŋ oe geiga Jonöŋ o melun mem waŋgiiga Anutunöŋ nalö miaŋgöreŋ keu mi jiiga mötket aka könaŋgep sepŋi mokomamgö aiga miaŋgöreŋ qet kun Suepnöhök asuhuiga mötket. Keu onöŋ indim mohok asuhuyöhi, miyök qahö. Suep Toŋan keu naŋgöba jiyöhi, miaŋgö aiwesökŋi mi o aka sep, yahöt mi. Toroqeba Uŋa Töröŋan keu mi jimakza. Yaŋön keu ölŋaŋgö Toŋi akzawaŋgöra aka muneŋ jimamgö osimakza.
1JN.5.7	Naŋgönaŋgö keu karöbut mi mewö mörin ahöza. 
1JN.5.8	Keu karöbut mieŋgö aiwesökŋini mi Uŋa, o aka sep. Keuŋini mi öröröŋ aukŋe möringa dop köl teköza. 
1JN.5.9	Keu jakeŋe kaŋgota naŋgönaŋgö ahakzei, mi ölöp möt aŋgön kölakzinmö, Anutugö naŋgönaŋgö keuŋan mönö ambazip keunini oŋgita pöwöwöm köhöikŋi akza. Anutunöŋ Nahönŋaŋgöra “Nani Nahöna!” qeta könaŋi mewö aukŋe naŋgöba jiyök. Miaŋgöra keu mi andö qebinbuk.
1JN.5.10	Kunŋan Anutugö Nahönŋi möt narimakzawi, naŋgönaŋgö keu Toŋan mönö nanŋak yaŋgö uruŋe maliga yaŋgö könaŋi ölöp möt yaköza. Kunŋan Anutu qahö möt narimakzawi, yaŋön mönö naŋgönaŋgö keu Toŋi nanŋi memba et aliga muneŋ jiji azia ahakza. Anutunöŋ keu kötŋi Nahönŋaŋgöra naŋgöba jiyöhi, yaŋön keu mi qahö möt narizawaŋgöra mönö Anutu nanŋi andö qeba qetalakza. 
