MAT.1.1	Mokanda mobatata baYesu Masiya, mwana oDawidi, mwana oAbalayama. 
HEB.2.15	na bo acingoe basusu baya badaka a libuli masu mabu masusu, a cina ebɔ bobogwa. 
HEB.2.16	Mojɔ bo elomu ende editi a mojɔ mobabwɛnji-baDiko, oko a mojɔ mobana baAbalayama. 
HEB.2.17	Oko boa ebɔngɔ na nde bo adae na bananango elimo emɔci, amɛci mɛnɛ, bo adae nganga monɛnɛ owa na ejimeli a elomu eNjambe, a bopa lisiko a mojɔ mojibe jibato. 
HEB.2.18	Iyo adi na ngulu a bokɔmeja baya badi a tei ebomeka, mojɔ bo adingoa yo mɛnɛ yana amekama yo.
HEB.3.1	Baninga basɛnɔke, baya babeama a bokatana a elomu eDiko, toma lɛni Yesu, Obwɛnji na Nganga Monɛnɛ oejimeli esu. 
HEB.3.2	Iyo adaka na lisuma ai yona omohɔ, o amaka da Mose na lisuma a ndako ende esusu. 
HEB.3.3	Na Yesu na Mose ko, Yesu anɔi na ekumu; mojɔ bo moyoeli ondako adi na ekumu, te ndako eyoaka yo. 
HEB.3.4	Tu ndako edi na moyoeli; edi Njambe ko yona oyoa leka losusu. 
HEB.3.5	Mose adaka na lisuma o mokɔmɛli ondako eNjambe bo atate tati engando jia jibalama oko ngɔngɔ. 
HEB.3.6	Masiya ko adaka na lisuma limwana a ndako eNjambe. Ndako emina edi oko so, bokapea boku oko a suka ejimeli esu, na njingo esu yena edi ekumu esu. 
HEB.3.7	A mojɔ momina Mwembo Mosɛnɔke mobalaka bo,
HEB.3.7	Oka’kani monɔkɔ monde busa bu,
HEB.3.8	T’opingejaeni oko milema minu o akɔ bo a ehole ebokeja kɛlɛ, A busa bobomeka a lisobe.
HEB.3.9	Batata banu bameka mbi a esika emina,
HEB.3.9	Na banɛ bilomu bimbi bianga macinda mabae.
HEB.3.10	A mojɔ momina, mbi naka kɛlɛ na elulu emina, na nabala bo,
HEB.3.10	Milema Mibu midi na bosusu oko milaboake,
HEB.3.10	Baijeba nongo njea jimbi.
HEB.3.11	Na mbi nabɛlɛ bɛli a kɛlɛ embi bo,
HEB.3.11	Batakwea nongo a liheme limbi.
HEB.3.12	Anganjamani baninga, bo okina onu asaka da na molema mobe mokitɛ, mua modi bolaboja no a njea eNjambe obomɔ. 
HEB.3.13	Salehanani tu busa yana adi so na ekenge ye “busa bu” a kɔpi esu, okina onu asaka da na ebaso a molema, cina eepulu ebobe. 
HEB.3.14	Mojɔ bo libondo lisu lidi a tei eMasiya, bokapea boku oko a suka, ejimeli yena edaka na su a libangake, 
HEB.3.15	yana adi so na ehole eekenge ye,
HEB.3.15	Oka’kani monɔkɔ monde busa bu,
HEB.3.15	T’opingejaeni oko milema minu o akɔ bo a ehole ebokeja kɛlɛ.
HEB.3.16	Na badaka na lipanga ndani? oko baya baka, ee, oko bo basusu baya bamana na Mose a Ejipeto. 
HEB.3.17	Na bakeja Njambe kɛlɛ bianga macinda mabae ndani? Oko baya bakɔ bobe, na njemba jibu jidika a lisobe. 
HEB.3.18	Na abɛlɛ bɛli ai nda bo batakwea a liheme linde?—oko baya badaka na lipanga. 
HEB.3.19	Oko boa bocineaka bo baibɔngɔ bo bakwee a mojɔ mokitɛ.
HEB.4.1	Oko boa, adi so na sako ebokwea a liheme linde, yɛni so bodae na bɔ bo okina onu asaka kputoa. 
HEB.4.2	Mojɔ bo iso boki koko Mwako Mopele, o ama bo ka. Bwɛnji ko boka bo bonama oko bonama, ema bo baya baka bwɛnji baibosɔ na ejimeli. 
HEB.4.3	Iso ko baya bajimi bokweaka a liheme, o ahala yo bo,
HEB.4.3	Nabɛlɛ bɛli a kɛlɛ embi bo,
HEB.4.3	Ibo batakwea nongo e liheme limbi.
HEB.4.3	Bilomu binde ko bisia oko a bobanga bongondo. 
HEB.4.4	Mojɔ bo abala a ekina esika a mojɔ mobusa bosambo bo,
HEB.4.4	Njambe ahema a bilomu binde bisusu a busa bosambo.
HEB.4.5	Abala koko a esika ye bo,
HEB.4.5	Ibo batakwea nongo a liheme limbi.
HEB.4.6	Oko boa, isa baya baka Mwako Mopele baibɔngɔ bo bakwee cina elipanga, sako ebokwea edikai a mojɔ mobakina batongo, bo bakwee. 
HEB.4.7	Njambe ajima koko bokina busa a mojɔ momina, oko busa bu, o abala yo na Dawidi ngɔngɔ mɛnɛ ekenge emi so bala bo,
HEB.4.7	Oka’kani monɔkɔ monde busa bu,
HEB.4.7	T’opingejaeni oko milema minu.
HEB.4.8	Mojɔ bo, Yoswa, akɔkɔ yo pa bato liheme, ka Njambe aibala ngɔngɔ a mojɔ mobusa botongo. 
HEB.4.9	Oko boa, liheme liSabata lidikai a mojɔ mobato baNjambe. 
HEB.4.10	Mojɔ bo, moto akakwea a liheme liNjambe, ahemaka a hilomu hinde, o ahema Njambe a bilomu binde.
HEB.4.11	A mojɔ momina, bobwani boda na bingi a bokwea a liheme limina, bo pɛpɛ nongo moto odi bokwa na ekɔmɛli emina elipanga. 
HEB.4.12	Mojɔ bo, Ebaeli eNjambe edi mɔ, edi na ndangasa, na enɔi ambombo na bopɔlu. Ekwɛlɛkɛ moto a bobɔteja molema na mwembo, na mongi na libɔngɔ; na esambejaka malɛ na mikano mimolema. 
HEB.4.13	Pɛpɛ nongo moto odi bosabomba ai yo, na mijɔ misusu midi bohu na mbundu mɛnɛ a miso mande yona osambejaka so.
HEB.4.14	Adi so ko na Nganga Monɛnɛ yona onɔi oho Diko, oko Yesu Mwana ’Njambe, kwani bopee boku ejimeli esu. 
HEB.4.15	Mojɔ bo, iso boditi na Nganga Monɛnɛ yona opeliti wa ai so yana adi so na bwɛmbu, oko Nganga Monɛnɛ yona onɔ njea jisusu jibomeka o akɔkɔ so, pɛ ko bokɔ nongo bobe. 
HEB.4.16	A mojɔ momina, so bobwani bobatama na mongbɛlɛngɔ momonganji, pɛpɛ nongo mokakwano, bo bosɛ wa, na bo bobolojae monganji a bokɔmeja so a ehole etaka.
HEB.5.1	Bahɔkɔ Nganga Monɛnɛ bihole bisusu a tei ebato bo akwee bosiili a sibano ebato na Njambe, na bo apɛ bipeeli na masiko a mojɔ mojibe. 
HEB.5.2	Ajebi boda na molema mo yɛmbu ai bato baya badi na libumi, na baya badi balaboake, mojɔ bo yo abindani na bwɛmbu yo mɛnɛ. 
HEB.5.3	A mojɔ momina, abwani bopa masiko, te a mojɔ mojibe jibato pɛ, oko a mojɔ mojibe jinde mɛnɛ pongono. 
HEB.5.4	Moto atasabakea a ekumu emina yo mɛnɛ; Njambe amobeaka o akɔ yo na Alona. 
HEB.5.5	Oko boa, Masiya aisabakea Nganga Monɛnɛ yo mɛnɛ. Okina amohɔ, oko yona obala na nde bo,
HEB.5.5	Wɛ odi Mwana’mbi;
HEB.5.5	Mbi naboti wɛ busa bu.
HEB.5.6	Na abalaka koko a esika etongo bo,
HEB.5.6	Wɛ odi Nganga na bosusu mɛnɛ,
HEB.5.6	Oko na bonganga boMalekisedeke.
HEB.5.7	Yesu, yana adaka yo ya nase, angaka, na angɔɔnɔkɔ na bopipo, na mbisoli pongono, ai yona obwana bomoheleja a bogwa. Na yo amoka cina elisuma linde ai Njambe. 
HEB.5.8	Nongo adaka yo Mwana, akoa lisuma oko na minɔngɔ misɔ yo. 
HEB.5.9	Na ama yo bɔngɔ a njea jisusu, ami da oko moboloja omohelo na bosusu ai bato basusu baya bamosumaka. 
HEB.5.10	Na Njambe amobakea Nganga Monɛnɛ obo-nganga boMalekisedeke.
HEB.5.11	Iso bobwani bobala na nu ngando jinɛnɛ a mojɔ momina; jidi ko na kpɔkɔsɔ a bocingea, mojɔ bo odini na bohoka mweka e dɛye. 
HEB.5.12	Ino obwanini boda bakoja ehole eyai; e dɛye ko otakakani moto no bɛnɛ a bokoja no koko mijɔ Miboso mɛnɛ miEbaeli eNjambe. Okindoini bato baya babwani na mabɛi, te nongo dia dimosuku. 
HEB.5.13	Mojɔ bo, yona onungaka mabɛi alandoakini na mijɔ Mibodongo; adi oko mwana mokɛkɛlɛkɛ. 
HEB.5.14	Dia lidi a mojɔ mobato bapingake, baya balandoi na ekɔmɛli ebokokeleja mijɔ, baya babwani bobɔteja bopele na bobe.
HEB.6.1	A mojɔ momina, bobwani bokina mijɔ miMasiya mia midi o mijɔ Mibana, bo bonɔe a mijɔ Mibosuku. Bobwaniti bosɔnibɔ koko a botanda eyoeli-ecina, oko bohekoja bomolema a bokina bilomu bingasangasa, na ejimeli ai Njambe, 
HEB.6.2	na bileho a mojɔ batisimo, bobakea bomɔmɔ, bongɔ bobagwake, na bosambeja bua bodi na bosusu. 
HEB.6.3	Njambe akajima, so bodi bokɔ boa. 
HEB.6.4	Mojɔ bo, isa bato basi bohu, na balɛli epeeli eDiko, na basi epeeli eMwembo Mosɛnɔke, 
HEB.6.5	na balɛli ebaeli epele eNjambe, na ngulu engondo ebodoa, 
HEB.6.6	bato bamina bakalaboa, njea editi bo bahekojae koko milema, mojɔ bo babakeaka koko Mwana ’Njambe a mole-mobokea na bolulea bobu bɛnɛ, na bamopɔmbejaka a boso bobato. 
HEB.6.7	Mojɔ bo, mokpɔtɔ mokasɔ mbua baya bakwaka a esika emina bihole hisusu, na mokabota leka a mojɔ mobato baya balia gbie, bojongoa boNjambe bodi a mokpɔtɔ momina. 
HEB.6.8	Isa ko mobotaka oko njubɛ na njani pɛ, motabɔngɔ nongo, moditi na bojongoa; mobwani oko na mosa.
HEB.6.9	Baninga, nongo abalaka so boa, njingo esu a mojɔ monu editi boa; edi a mojɔ mongando jipele jia jicingi na boheleja. 
HEB.6.10	Mojɔ bo Njambe t’abungake mojɔ; atabosa elomu enu, na epaeli enejaka no a kombe ende yana akɔmɛkɛ no bato baNjambe, na obakɔmɛkɛni oko e dɛye. 
HEB.6.11	Posa esu edi bo moto na moto a tei enu adae na bingi a bobanea tɛndɛ ende esusu oko a suka mɛnɛ. 
HEB.6.12	PƐ bodani na bomɛli. Ikoanani ko na bato baya basangoaka njikano cina eejimeli na lingbangba.
HEB.6.13	Mojɔ bo, yana akina Njambe Abalayama sako, abɛlɛ bɛli a kombe ende mɛnɛ. Aihɔnɔ bobɛlɛ bɛli a kombe eokina otongo, mojɔ bo pɛpɛ nongo okina otongo odi boso bonde. 
HEB.6.14	Abala bo,
HEB.6.14	Soti mɛnɛ, mbi nâjongoa wɛ oko na bojongoa;
HEB.6.14	Nâhɛjɛ mbota ewɛ oko bohɛjɛ.
HEB.6.15	Oko boa, Abalayama, ama yo da na lingbangba, ami ko sɔ oko bodikeja. 
HEB.6.16	Bato babɛlɛkɛ bɛli a kombe emoto yona odi boso bobu, na isa badi na kitɛ, kitɛ emina edi bosia a mojɔ mobɛli. 
HEB.6.17	Oko boa Njambe abɛlɛ bɛli pongono, mojɔ bo apala bo basangoli bandi-keja bacingee na soti bo bodikeja bonde botakputoa nongo. 
HEB.6.18	A mojɔ momina, so baya bacii bo bobolame, bobwani bosapingeja na bopea boku njingo yena edi a boso bosu, cina emijɔ mi Mibae mia mitakputoa nongo, mojɔ bo Njambe atahɔnɔ bokosea na mijɔ mimina. 
HEB.6.19	Iso bopeli njingo emina o longo emwembo, njingo esoti na embilimake yena ekweaka a dɔngɔ ditongo diehuako. 
HEB.6.20	Na Yesu yo mɛnɛ asui hoso bosu, na akwei a tei eesika emina a mojɔ mosu, mojɔ bo adi Nganga Monɛnɛ na bosusu, oko na bonganga boMalekisedeke.
HEB.7.1	Iyo Malekisedeke, kumu oSalema, adaka nganga oNjambe obonɔ. Asongana na Abalayama yana ahulaka yo a bowa bakumu a bila, na amojongoa. 
HEB.7.2	Abalayama amokaba libondo lidomi lileka losusu. Cina ekombe ende edi boso Kumu oBodongo; na adi koko Kumu oSalema; cina emina edi Kumu oBowi. 
HEB.7.3	Apeliti sango isa nango, pɛpɛ koko mbota; masu mande pɛpɛ libangake, ehelo ende pɛpɛ suka; adi nganga na bosusu na elimo eMwana ’Njambe.
HEB.7.4	Lɛni moto omina monɛnɛ, mojɔ bo Abalayama amopa libondo lidomi lileka lopea yo a bila. 
HEB.7.5	Bana baLewi baya badi a elomu enganga, badi na kpaci eMobeko bo basɛ libondo lidomi ai bato, oko ai bato babu bɛnɛ, nongo adi bo bana baAbalayama. 
HEB.7.6	Iyo ko yona oditi na bu mbota, asɔ libondo lidomi ai Abalayama yona odaka na ndikeja, na amojongoa. 
HEB.7.7	Mojɔ modi bohu mɛnɛ bo moto yona ojongoaka anɔi yona osɔkɔ bojongoa, pɛ kitɛ. 
HEB.7.8	Ibaya basɔkɔ libondolidomi ya, badi oko bato babogwa; iyo ko adi mɔ, na tati edi a mojɔ momina. 
HEB.7.9	Oko boa bobwani bobala bo Lewi yo mɛnɛ, yona osɔkɔ libondo lidomi, akaba libondo lidomi yana akɔ Abalayama boa, 
HEB.7.10	mojɔ bo adaka oko a sɔpɔ jitata onde yana asongana yo na Malekisedeke.
HEB.7.11	Isa bonganga boLewi bodi bobɔngeja bato soti, (mojɔ bo bato basɔ Mibeko cina ebonganga bomina) ebɔngi bo okina nganga otongo adoe mojɔ moye, te nongo na bonganga boAlona, oko na bonganga boMalekisedeke? 
HEB.7.12	Mojɔ bo bonganga boyene bodi na Mobeko moyene pongono. 
HEB.7.13	Mijɔ mi Mibalama a mojɔ momoto olikota litongo, na pɛpɛ nongo moto olikota limina okɔ elomu ehtumbu. 
HEB.7.14	Na mojɔ modi bohu mɛnɛ ho Kumu osu adaka olikota liYuda, na Mose ailanga nongo kombe elikota limina a mojɔ mobonganga. 
HEB.7.15	Mojɔ momina monɔi na bohu a mojɔ monganga otongo yona odoa na elimo eMalekisedeke, 
HEB.7.16	yona odi nganga na ngulu ebomɔ bua bodi na bosusu, te nongo na kpaci emokina mobeko a mojɔ mombota ende. 
HEB.7.17	Mojɔ bo tati edi a mojɔ monde bo,
HEB.7.17	Wɛ odi nganga na bosusu obonganga boMalekisedeke. 
HEB.7.18	Ekina ekɔmɛli eyou ehɛngɛmɛ cina bo edaka e yɛmbu, na eibɔngɔ. 
HEB.7.19	(Mojɔ bo Mobeko moibɔngeja eka). Na njingo etongo eboloi yena enɔi na bopele, na so bodi bobatama na Njambe oko na njingo emina. 
HEB.7.20	Mojɔ momina moitaka bɛli. 
HEB.7.21	BaLewi bakwea a elomu enganga, pɛ bobɛlɛ nongo bɛli. Yesu ko adi nganga cina ebɛli ende yona obala na nde bo,
HEB.7.21	Kumu abɛli bɛli, na aditi na ebaeli etongo.
HEB.7.21	Wɛ odi nganga oko na bosusu.
HEB.7.22	A mojɔ momina, Yesu adi mokando moMokongo mua monɔi na bopele.
HEB.7.23	Mojɔ motongo, nganga badaka banɛnɛ; baihɔnɔ boyeyoa, a mojɔ mobogwa. 
HEB.7.24	Iyo ko adi nganga oko na bosusu, cina bo yo mɛnɛ adi oko na bosusu. 
HEB.7.25	A mojɔ momina, yo abwani boheleja na bosusu mɛnɛ, baya badoaka al Njambe na njea ende, mojɔ bo yo adi mɔ oko na bosusu bo adae mosili a mojɔ mosu.
HEB.7.26	Nganga monɛnɛ yona odi boa abwana na su soti, mosɛnɔke, pɛpɛ nongo lindo, pɛpɛ nongo litɔnɔ, mobɔtɔnɔke na babe, yona ongɔjɔmɔ a Diko yena enɔi. 
HEB.7.27	Iyo abwaniti bopa masiko tu busa, o akɔkɔ nganga batongo a mojɔ mojibe jibu bɛnɛ na jibato batongo pongono. Iyo akɔ boa ehole emɔci yena ebwani na bosusu, yana asapa yo mɛnɛ lisiko. 
HEB.7.28	Mobeko mohɛngɛkɛ bato a elomu enga-nga baya badi oko ba yɛmbu; ebaeli ebɛli ko, yena edoa ngɔngɔ jiMobeko, ehɛngɛkɛ Mwana yona odi mobɔngɔke oko na bosusu mɛnɛ.
HEB.8.1	Cina engando jimi so bala edi bo, Iso bodi na Nganga Monɛnɛ o boa, yona odi a ebɔ ebami emongbelɛngɔ moKumu oDiko. 
HEB.8.2	Adi mokɔmɛli a tei eesika esɛnɔke, a tei eEtondo esoti yena epika Kumu, te moto. 
HEB.8.3	Nganga basusu bahɛngɛmɛkɛ a bopa bipeeli na masiko. Oko boa yo koko abwani boda na eka a bopa. 
HEB.8.4	Akɔki yo da ya nase, ka aditi nongo nganga, cina bo nganga badi ya baya bapaka bipeeli o adi ekɔmɛli eMobeko. 
HEB.8.5	Elomu ekɔkɔ bo edi embete na elimo eesika esɛnɔke oho Diko; mojɔ bo yana akana Mose bopika Etondo, Njambe amoleha bo, Toma nganjama bo okɔe leka losusu oko na elimo yena eboloi ai wɛ a mono. 
HEB.8.6	E dɛye ko, elomu esɔ Masiya enɔi yena ebu bou mɛnɛ, mojɔ bo adi mosili oMokongo mua monɔi mua moyou, cina bo modi na madikeja maya manɔi na bopele. 
HEB.8.7	Isa mokongo moboso mobɔngɔ na soti, ka pokiso eiboloa a mojɔ momokongo moMibae. 
HEB.8.8	Njambe anɛ mijɔ Mibu yana abala yo bo,
HEB.8.8	Kumu abalaka bo, A masu mangɔngɔ,
HEB.8.8	Mbi nadi bobakea mokongo moyene
HEB.8.8	Na likota liYisalaele, na likota liYuda.
HEB.8.9	Te nongo o mokongo mobakea mbi na basangwa’bu,
HEB.8.9	A busa bopea mbi bo na ebɔ
HEB.8.9	Bo nabamanejae a Ejipito;
HEB.8.9	Mojɔ bo, ibo baiyeyoa a mokongo mombi,
HEB.8.9	Na mbi nababulɛ oko bobulɛ. Ebaeli eKumu edi boa.
HEB.8.10	Kumu abalaka bo, Mokongo mobakeabí mbi a masu mangɔngɔ
HEB.8.10	Na likota liYisalaele modi oko mu;
HEB.8.10	Mbi nasabí Mibeko mimbi a tei emiembo mibu;
HEB.8.10	Namisɔnɔbí a milema mibu.
HEB.8.10	Mbi nadabí Njambe obu,
HEB.8.10	Na bo badabí bato bambi.
HEB.8.11	Moto atabalabí koko na mina’nde Isa moto na mwangwa’nde bo, Jeba Kumu.
HEB.8.11	Mojɔ bo bajebabí mbi kanga basusu mɛnɛ,
HEB.8.11	Na bakɛkɛlɛkɛ na banɛnɛnɛ pongono.
HEB.8.12	Mojɔ bo nadabí na wa a mojɔ momabunga mabu,
HEB.8.12	Na nitalɛ koko jibe jibu.
HEB.8.13	Abalaka yo a mojɔ moMokongo moyene, anjaka mua moboso o eka yena editi koko na cina. Na isa eka editi koko na cina, na isa ebengi bogwa, edikai mweka pɛ bo edimoe na bosusu.
HEB.9.1	Mokongo moboso modaka na Mibeko a mojɔ mobosakoa, na modaka na esika ebosakoa ya nase. 
HEB.9.2	Mojɔ bo bapika Etondo, na epei-epaka, na mesa, na milɛmbɛ mia mitandama a boso boNjambe; leka lomina lodaka a ekenge eboso; kombe eesika emina edi Esika-eBosɛnɔ. 
HEB.9.3	Etondo etongo edaka a tei, a ngɔngɔ jingbungbu ejibae; kombe eesikaemina edi Esika-enɔi-Bosɛnɔ. 
HEB.9.4	Litumbu lia liluama na wɔlɔ lidaka ena, na edejai emokongo yena ehuama na wɔlɔ; esei yena eluama na wɔlɔ edaka a tei a mojɔ momanna, na pango aAlona yena etɔ, na matai maMokongo. 
HEB.9.5	Bilimo biekumu bidaka a diko diedejai, na esie emina ehua mongbelɛngɔ mowa. Botabala a mojɔ mocina jileka lu losusu e dɛye.
HEB.9.6	Bakolea leka losusu boa, bo nganga bakwee a etondo eboso masu masusu a mojɔ moelomu ebu. 
HEB.9.7	A tei eetondo ebibae ko, nganga monɛnɛ akweaka oko yo buki tu yanga ehole emɔci, na t’akputoake botomba makia bo amapejae a mojɔ monde mɛnɛ, na a mojɔ mojibe jibato. 
HEB.9.8	Mwembo Mosɛnɔke monejaka na mojɔ momina bo njea ebokwea a tei eEsika-enɔi-Bosɛnɔ eipaka boloa a ehole edaka Etondo eboso. 
HEB.9.9	Mojɔ momina modi oko mondɛ a mojɔ moehole ye, yana apaka bo bipeeli na masiko maya mabwaniti bobɔngeja molema momoto yona osakoaka; 
HEB.9.10	ngando jimina jicingi na boyaka, na bomwaka, na bososa na madiba; Mibeko a mojɔ momokuku mia midi na kpaci oko a ehole ehobɔngeja.
HEB.9.11	Yana ko adoa Masiya, Nganga Monɛnɛ a mojɔ mongando jipele jibodoa, yo anɔ njea eetondo yena enɔi na bukɛ na bopele (eipikama na mɔmɔ, eiyoama na ekɔmɛli engondo ye), 
HEB.9.12	na akwea a Esika-eBosɛnɔ ehole emɔci pɛ yena ebwani na bosusu; aikwea na makia makambɛli na bana-bangɔmbɔ, oko na makia mande mɛnɛ, na aboloja lisiko lia lidi oko na bosusu. 
HEB.9.13	Mojɔ bo, isa makia mangɔmbɔ na kambɛli na mihulu mimwana-ngɔmbɔ mia mimɛsɛkɛ bo ai bato baekia Mibabɔngejaka a njea emokuku, 
HEB.9.14	esingaiti makia maMasiya yona osapa lisiko, pɛpɛ nongo litɔnɔ, ai Njambe a njea eMwembo mua modi na bosusu; madi bosɛnoja milema minu a bilomu bigwake, bo okɔmɛeni Njambe obomɔ.
HEB.9.15	A mojɔ momina, yo adi mosili oMokongo Moyene, bo baya babeama basɛ lisango lia lidikejama, lia lidi na bosusu, cina ebogwa bua bobasikoaka a jibe jia jidi a cina eMokongo moboso. 
HEB.9.16	Mojɔ bo isa lisango lidi, yona okinaka lisango limina adi bopeta gwa. 
HEB.9.17	Moto amiti gwa, otongo atasangoa; lisango libwaniti isa moto yona okinaka lisango adi oko mɔ. 
HEB.9.18	A mojɔ momina Mokongo moboso mobakeama na makia. 
HEB.9.19	Mojɔ bo, Mose, ama yo langa mijɔ misusu miMiheko ai bato basusu, ami tomba oko makia mabana-bangɔmbɔ na makambɛli, na madiba na makambule makpetu na kasa jilitindi, na amɛsɛ mokanda mɛnɛ na bato basusu pongono. 
HEB.9.20	Na abala bo, Ima madi makia maMokongo mobakei Njambe na nu. 
HEB.9.21	Amɛsɛ koko boa Etondo na leka losusu lobo-sakoa, oko na makia. 
HEB.9.22	Edi Soti bo Mibeko mikojaka bo leka losusu losɛnoaka na makia; makia mamiti sopea, bo yɛ bojibe boditi.
HEB.9.23	Isa leka lua lodaka oko bimbete bingando jiDiko losɛnoa a mojɔ momasiko mamina, ngando jiDiko mɛnɛ jibwana na masiko maya manɔi masiko mamina na bopele. 
HEB.9.24	Mojɔ bo Masiya aikwea a Esika-eBosɛnɔ yena eyoama na mɔmɔ, yena edi oko embete pɛ eEsika-eBosɛnɔ esoti; akwea a Diko mɛnɛ bo amae a boso boNjambe e dɛye a mojɔ mosu. 
HEB.9.25	Aikwea bo asapɛ bihole binɛnɛ, o akweaka Nganga Monɛnɛ a Esika-eBosɛnɔ yanga na yanga na makia maya maditi makia mande mɛnɛ. 
HEB.9.26	Akɔki yo kɔ boa, ka adingoe bihole binɛnɛ, banga na libangake lingondo. Iyo ko adoa ehole emɔci pɛ a suka ebianga, bo asapɛ yo mɛnɛ lisiko a bodongeja bobe. 
HEB.9.27	Bato te babambake bogwa, bua bodi ehole emɔci, na ngɔngɔ jimina oko esambi. 
HEB.9.28	Oko boa Masiya pongono asapa lisiko ehole emɔci, bo atombe muna mojibe jibato banɛnɛ; na adoabi koko, te a mojɔ mobobe, oko a boheleja haya bamonjaka yo na tɛndɛ.
HEB.10.1	Mibeko midi oko embete pɛ engando jipele jibodoa, te elimo mɛnɛ engando jimina. A mojɔ momina, Mibwaniti bolongeja na soti baya badoaka na masiko yanga na yanga. 
HEB.10.2	Isa mabwani, ka bato bakina bopa masiko. Akɔki bo sɛnoa, ka baya basakoaka batada koko na ejebeli ebobe. 
HEB.10.3	Masiko mamina ko malɛjɛkɛ bato a mojɔ mobobe yanga na yanga. 
HEB.10.4	Cina bo makia mangɔmbɔ na maka-mbɛli mabwaniti bodongeja jibe nongo mweka. 
HEB.10.5	A mojɔ momina, Masiya, yana adoa yo a ngondo, abala bo,
HEB.10.5	Wɛ t’opalake masiko na bipeeli;
HEB.10.5	Osɛlingoi ko mokuku a mojɔ mombi;
HEB.10.6	Wɛ Posepake nongo na masiko malitumbu, na bipeeli a mojɔ mobobe.
HEB.10.7	Oko boa, mbi nabali bo, Mbi yona;
HEB.10.7	Mbi nadoi bo nakɔe bolulea bowɛ Njambe;
HEB.10.7	Mojɔ momina mosɔnɔmɔ a mokanda moMisɔnɔ a mojɔ mombi.
HEB.10.8	Abala boso bo, Wɛ t’opalake na t’osepake na masiko, na bipeeli, na bipeeli bilitumbu, na masiko a mojɔ mobobe (bapaka leka lomina cina eMibeko). 
HEB.10.9	Na ngɔngɔ, abala bo, Mbi yona; mbi nadoi bo nakɔe bolulea bowɛ. Oko boa adongejaka mua moboso, bo abakee mua moMibae. 
HEB.10.10	Na so bohɛngɛmɛ ai Njambe cina ebolulea bomina, a mojɔ moepeeli emokuku moYesu Masiya o lisiko ehole emɔci, yena ebwani na bosusu.
HEB.10.11	Nganga basusu bakɔkɔ elomu ebu busa na busa; bapaka masiko bihole bisusu amɛci, maya mabwaniti bodongeja jibe nongo mweka. 
HEB.10.12	Masiya ko, ama yo pa lisiko limɔci lia libwani na bosusu mɛnɛ, ami da oko a ebɔ ebami eNjambe, 
HEB.10.13	na ambaka oko bo soki jinde jidae ebakei a cina jibibota binde. 
HEB.10.14	Cina bo, yo abɔngeja na bosusu, baya bahɛngɛmɛ ai Njambe, oko na lisiko limɔci. 
HEB.10.15	Mwembo Mosɛnɔke mongamejaka koko mojɔ momina ai so. Mojɔ bo, abala boso bo,
HEB.10.16	Kumu abalaka bo, Imu modi Mokongo mobakeabí mbi na bu
HEB.10.16	A suka emasu mamina;
HEB.10.16	Nasabí Mibeko mimbi a tei emilema Mibu;
HEB.10.16	Namisɔnɔbí oko a bolɛ bobu.
HEB.10.17	Na abala ngɔngɔ bo,
HEB.10.17	Nitalɛ koko jibe jibu, na mapanga mabu, na ikina.
HEB.10.18	Oko boa isa jibe jikinami, jibwaniti koko na lisiko a mojɔ mojibe.
HEB.10.19	A mojɔ momina baninga, so bodi na njea bohu a bokwea a Esika eBosɛnɔ, cina emakia maYesu, 
HEB.10.20	oko na njea eyene, njea ebomɔ ehoja yo a ngbungbu, oko mokuku monde mɛnɛ. 
HEB.10.21	Na adi so na Nganga Monɛnɛ a ndako eNjambe, 
HEB.10.22	bobwani bobatama na molema mosoti na ejimeli enɛnɛ, pɛpɛ kitɛ, na milema misu mibɔtɔnɔke na ejebeli ebobe, na mikuku misu misosamake na madiba mapele. 
HEB.10.23	Yɛni so bopee boku njingo ejimaka so, pɛ nongo bokamakama, mojɔ bo yo atakputoja nongo sako ekina yo. 
HEB.10.24	Kinani bodae na mbambano a mojɔ moepaeli na bilomu bipele. 
HEB.10.25	Bobwaniti bokputoa a matitana o akɔkɔ bakwa; hɛjɛni bingi a bolehana moto na mina’nde moto, o anɛkɛ no bo Busa bomina bokɛkɛ adoe.
HEB.10.26	Bokakɔ bobe na bolulea bosu bɛnɛ, yana adi so na ejebeli enjea esoti, likina lisiko litongo a mojɔ mojibe liditi. 
HEB.10.27	Edikai oko njingo eesambi yena ekɔkɔ maneene, na mosa monɛnɛ mua modi botumba soki. 
HEB.10.28	Isa moto yona osɛtoja Mibeko miMose agwa na sanga, cina etati ebatati babae isa basato, 
HEB.10.29	esingaiti moto yona opɔmbejaka Mwana ’Njambe, yona osɛtojaka makia maMokongo maya mamohɛngɛ ai Njamhe, o eka engasa, na asambojaka Mwembo momonganji moNjambe. 
HEB.10.30	Mojɔ bo so bojebaka yona obala bo,
HEB.10.30	Likundu lidi mojɔ mombi; mbi nakundabí.
HEB.10.30	Na abala koko bo,
HEB.10.30	Kumu asambejabí bato bande.
HEB.10.31	Modi mojɔ mobɔ bonɛnɛ a bokwa a mɔmɔ maNjambe obomɔ.
HEB.10.32	Toma lɛni masu maboso. Yana asɔ no bohu a masu mamina, odakani na lingbangba a tei eminɔngɔ o bila mɛnɛ. 
