GEN.1.1	I början skapade Gud himlarna och jorden.
PHM.1.7	Jag har själv blivit mycket glad och uppmuntrad av din kärlek, min bror, eftersom du har gett nytt mod åt de heliga.
PHM.1.8	Även om jag i Kristus frimodigt skulle kunna befalla dig vad du kan förväntas göra, 
PHM.1.9	vill jag nu på grund av kärlek vädja till dig, jag Paulus, en gammal man som nu också är en fånge för Kristus Jesus skull.
PHM.1.10	Jag vädjar till dig för Onesimos, mitt barn, som jag fått här i fängelset. 
PHM.1.11	Du hade inte särskilt stor nytta av Onesimos
PHM.1.12	När jag nu skickar honom tillbaka till dig är det som om jag sände en del av mig själv. 
PHM.1.13	Jag hade helst velat ha honom kvar här, så att han kunde hjälpa mig i ditt ställe, när jag nu sitter fängslad för evangeliets skull. 
PHM.1.14	Men jag ville inte göra någonting utan att först ha fått ditt tillstånd. Om du gör något gott ska det ju inte vara av tvång, utan av fri vilja. 
PHM.1.15	Kanske var det därför han skildes från dig under en kort tid, för att du sedan skulle få honom tillbaka för alltid, 
PHM.1.16	men inte längre som en slav, utan något mycket mer: en älskad bror. För mig är han mycket kär, men för dig måste han vara det ännu mer, både som människa och som en som tillhör Herren.
PHM.1.17	Om du ser mig som din vän, så ta emot honom på samma sätt som du skulle ha tagit emot mig. 
PHM.1.18	Har han skadat dig på något sätt eller är skyldig dig något, så sätt upp det på min räkning. 
PHM.1.19	Jag, Paulus, skriver här med min egen hand
PHM.1.20	Ja, min bror, låt mig nu få nytta
PHM.1.21	Detta skriver jag, fullt övertygad om att du kommer att göra det jag ber dig om och mer än så.
PHM.1.22	Så ber jag dig om en sak till: ha ett rum i ordning åt mig, för jag hoppas att ni tack vare era böner ska få återse mig.
PHM.1.23	Epafras, som också sitter fängslad här för Kristus Jesus skull, hälsar till dig. 
PHM.1.24	Det gör också mina medarbetare Markus, Aristarchos, Demas och Lukas.
PHM.1.25	Nåd från vår Herre Jesus Kristus åt er ande.
HEB.1.1	För länge sedan talade Gud, i olika omgångar och på olika sätt, till våra förfäder genom profeterna, 
HEB.1.2	men nu vid den här tidens slut har han talat till oss genom sin Son, som han har bestämt till att ärva allting och genom vilken han också har skapat världen
HEB.1.3	Sonen utstrålar Guds egen härlighet. Han är avbilden av hans väsen, och han bär upp allting med sitt mäktiga ord. När han hade utfört syndareningen, satte han sig ner på Majestätets högra sida i höjden.
HEB.1.4	Han står alltså långt över änglarna, liksom det namn han fått ärva är överlägset deras. 
HEB.1.5	Gud har ju aldrig sagt till någon ängel:
HEB.1.5	”Du är min Son.
HEB.1.5	Idag har jag blivit din Far
HEB.1.5	Och återigen:
HEB.1.5	”Jag ska vara hans Far,
HEB.1.5	och han ska vara min Son.”
HEB.1.6	Och när Gud låter sin förstfödde
HEB.1.6	”Alla Guds änglar ska tillbe honom.”
HEB.1.7	När han talar om änglarna, säger han:
HEB.1.7	”Han gör vindarna till sina budbärare
HEB.1.7	och eldslågorna till sina tjänare.”
HEB.1.8	Men till Sonen säger han:
HEB.1.8	”Gud, din tron består i tid och evighet.
HEB.1.8	Din kungaspira är rättens spira.
HEB.1.9	Du har älskat rättfärdighet och hatat det orätta.
HEB.1.9	Därför, Gud, har din Gud smort dig
HEB.1.9	mer än dina medbröder.”
HEB.1.10	Och:
HEB.1.10	”Herre, i början lade du jordens grund,
HEB.1.10	och himlarna är dina händers verk.
HEB.1.11	De ska försvinna, men du består.
HEB.1.11	De ska alla bli som utslitna kläder.
HEB.1.12	Du ska rulla ihop dem som kläder
HEB.1.12	och byta ut dem som en mantel.
HEB.1.12	Men du är densamme,
HEB.1.12	och dina år ska aldrig ta slut.”
HEB.1.13	Aldrig har Gud sagt till någon ängel:
HEB.1.13	”Sätt dig på min högra sida
HEB.1.13	tills jag har lagt dina fiender
HEB.1.13	som en pall under dina fötter.”
HEB.1.14	Är inte änglarna tjänare, andar, som har sänts ut för att tjäna dem som får frälsningen som arv?
HEB.2.1	Därför måste vi vara noga med att hålla oss till det budskap vi har hört, så att vi inte glider bort ifrån det. 
HEB.2.2	Redan det budskap som gavs genom änglar gällde, och varje överträdelse och olydnad fick sitt rättvisa straff. 
HEB.2.3	Hur ska vi då kunna komma undan om vi ignorerar den underbara räddningen? Det var ju Herren själv som först förkunnade den, och vi har sedan fått den bekräftad av dem som lyssnade till honom. 
HEB.2.4	Gud har också bekräftat den genom tecken och under och olika kraftgärningar och genom att dela ut den heliga Anden efter sin vilja.
HEB.2.5	Den kommande världen som vi talar om ska inte styras av änglar. 
HEB.2.6	Det står ett klart vittnesbörd om detta på ett ställe:
HEB.2.6	”Vad är då en människa att du tänker på henne,
HEB.2.6	en människoson, att du lägger märke till honom?
HEB.2.7	Du gjorde honom lite lägre än änglarna
HEB.2.7	och krönte honom med härlighet och ära.
HEB.2.8	Allting lade du under hans fötter.”
HEB.2.8	Och när han lade allting under honom, utelämnade han ingenting. Vi ser dock ännu inte att allting har lagts under honom. 
HEB.2.9	Men vi ser att Jesus, som var lite lägre än änglarna, nu har krönts med härlighet och ära, därför att han var villig att lida och dö. Genom Guds nåd skulle han möta döden för allas skull.
HEB.2.10	När Gud, för vilken och genom vilken allting finns till, ville föra många barn till härlighet, fann han att den som leder många till frälsningen måste fullkomnas genom lidande. 
HEB.2.11	Både den som helgar och de som helgas har samma ursprung, och därför skäms inte Jesus för att kalla dem sina syskon
HEB.2.12	Han säger:
HEB.2.12	”Jag ska göra ditt namn känt för mina bröder.
HEB.2.12	Jag ska prisa dig mitt i församlingen.”
HEB.2.13	Vidare:
HEB.2.13	”Jag hoppas på honom”,
HEB.2.13	och:
HEB.2.13	”Se, jag och barnen som Gud har gett mig.”
HEB.2.14	Men när nu barnen är människor av kött och blod, måste också han på samma sätt bli en människa, för att genom sin död kunna bryta djävulens makt, han som var Herre över döden. 
HEB.2.15	Så befriade Jesus alla dem som hela livet varit slavar under sin dödsfruktan. 
HEB.2.16	Det var ju inte änglar Jesus kom för att hjälpa. Nej, han kom för att hjälpa Abrahams efterkommande
HEB.2.17	Därför måste han på alla sätt bli lik sina syskon, så att han kunde bli en barmhärtig och trogen överstepräst inför Gud och försona folkets synder. 
HEB.2.18	Och eftersom han själv led när han prövades, kan han hjälpa dem som prövas.
HEB.3.1	Heliga syskon, ni som har fått del av en himmelsk kallelse, se på Jesus, som vi ju bekänner som vår apostel och överstepräst.
HEB.3.2	Han var trogen mot den som hade utsett honom, på samma sätt som Mose var trogen mot Gud i hela Guds hus
HEB.3.3	Men Jesus har visat sig mer värd att äras än Mose, på samma sätt som en byggmästare måste äras mer än det hus han har byggt. 
HEB.3.4	För varje hus har en byggmästare, och Gud är byggmästaren som ligger bakom allt.
HEB.3.5	Visst var Mose trogen som tjänare i hela Guds hus, för att vittna om det som senare skulle förkunnas. 
HEB.3.6	Men Kristus
HEB.3.7	Därför säger den heliga Anden:
HEB.3.7	”Om ni idag hör hans röst,
HEB.3.8	så förhärda inte era hjärtan
HEB.3.8	som ni gjorde under upproret,
HEB.3.8	på prövningens dag i öknen
HEB.3.9	där era fäder satte mig på prov. De prövade mig
HEB.3.9	fastän de hade sett mina gärningar 
HEB.3.10	i fyrtio år.
HEB.3.10	Därför blev jag förbittrad på detta släkte,
HEB.3.10	och jag sa: ’De far alltid vilse i sina hjärtan.
HEB.3.10	De känner inte mina vägar.’
HEB.3.11	Därför svor jag i min vrede:
HEB.3.11	’De ska aldrig komma in i min vila.’ ”
HEB.3.12	Se därför upp, syskon, så att ingen av er har ett ont och trolöst hjärta och vänder sig bort från den levande Guden. 
HEB.3.13	Uppmuntra varandra varje dag, så länge det heter idag, så att ingen av er förhärdas av syndens lockelser. 
HEB.3.14	Vi får del av Kristus, om vi ända till slutet håller fast vid den övertygelse vi hade i början. 
HEB.3.15	Glöm alltså inte varningen:
HEB.3.15	”Om ni idag hör hans röst,
HEB.3.15	så förhärda inte era hjärtan
HEB.3.15	som under upproret.”
HEB.3.16	Men vilka var det då som hörde och ändå gjorde uppror? Jo, det var ju alla de som fick lämna Egypten med Mose som ledare. 
HEB.3.17	Och vilka var det som Gud sedan var förbittrad på under fyrtio år? Jo, det var samma människor som syndade och blev liggande döda i öknen. 
HEB.3.18	Och vilka gällde eden han svor: ”De ska inte få komma in i min vila?” Jo, det var dessa som vägrade att lyda. 
HEB.3.19	Vi ser alltså att det var på grund av sin otro som dessa människor inte fick komma in.
HEB.4.1	Låt oss därför noga och med fruktan ta vara på varandra, så att ingen blir efter på vägen, medan Guds löfte om att få komma in i hans vila fortfarande gäller. 
HEB.4.2	Vi har ju fått höra samma glada budskap som de en gång. Men de som hörde budskapet den gången hade ingen nytta av det, eftersom de inte tog emot det i tro. 
HEB.4.3	Vi däremot som tror får gå in i den vila som Gud talade om när han sa:
HEB.4.3	”Därför svor jag i min vrede:
HEB.4.3	’De ska aldrig komma in i min vila.’ ”
HEB.4.3	Ändå har hans verk varit färdiga ända sedan världens skapelse. 
HEB.4.4	Det är sagt någonstans om det sjunde dygnet: ”Gud vilade på det sjunde dygnet från allt sitt verk.”
HEB.4.5	Men på det här stället står det: ”De ska aldrig komma in i min vila.”
HEB.4.6	Det står alltså att några ska få komma in i den vilan, men de som först fick höra evangeliet kunde inte komma in, eftersom de var olydiga. 
HEB.4.7	Gud bestämde därför en ny dag och kallar den idag, när han långt senare lät David säga vad som redan tidigare var sagt:
HEB.4.7	”Om ni idag hör hans röst,
HEB.4.7	så förhärda inte era hjärtan.”
HEB.4.8	Om Josua hade fört dem in i vilan, så skulle Gud inte efteråt ha talat om en ny dag. 
HEB.4.9	Därför har Guds folk en sabbatsvila att se fram emot. 
HEB.4.10	Den som går in i Guds vila får vila från sitt verk, så som Gud vilade från sitt. 
HEB.4.11	Låt oss därför göra allt för att komma in i den vilan, så att ingen kommer på fall genom att följa exemplet av deras olydnad.
HEB.4.12	Guds ord är nämligen levande och verksamt. Det är skarpare än ett dubbeleggat svärd, och det tränger djupt in i vårt innersta. Det åtskiljer själ och ande, leder och märg, och avslöjar hjärtats uppsåt och tankar. 
HEB.4.13	Ingenting skapat kan döljas för honom. Allting är naket och uppenbart för honom, och inför honom måste vi en gång stå till svars.
HEB.4.14	Då vi nu har en stor överstepräst som har farit upp genom himlarna, Jesus, Guds Son, låt oss hålla fast vid vår bekännelse. 
HEB.4.15	Vi har inte en överstepräst som inte förstår våra svagheter, utan en som själv har blivit prövad på alla sätt precis som vi, men utan synd. 
HEB.4.16	Låt oss därför frimodigt komma fram till nådens tron och få barmhärtighet och finna nåd när vi behöver hjälp.
HEB.5.1	Varje överstepräst utses bland människor och har i uppdrag att representera andra människor inför Gud. Han bär fram gåvor och offer för människors synder. 
HEB.5.2	Han kan ha medlidande med de okunniga och vilsegångna, eftersom han själv är svag 
HEB.5.3	och måste därför bära fram syndoffer både för sig själv och för folket. 
HEB.5.4	Denna ära är inget som någon själv tar på sig. Man blir kallad av Gud, precis som Aron blev.
HEB.5.5	Därför tog inte heller Kristus på sig äran att vara överstepräst. Nej, han fick den av honom som sa till honom:
HEB.5.5	”Du är min Son.
HEB.5.5	Idag har jag blivit din Far.”
HEB.5.6	På ett annat ställe säger han:
HEB.5.6	”Du är präst för evigt,
HEB.5.6	så som Melkisedek.”
HEB.5.7	Medan han levde här på jorden grät han och ropade högt och bad till honom som kunde rädda honom från döden. Och han blev bönhörd på grund av sin gudsfruktan. 
HEB.5.8	Fastän han var Son, lärde han sig att lyda genom det lidande han gick igenom. 
HEB.5.9	När han blev fullkomnad, blev han upphovet till evig frälsning för alla som lyder honom. 
HEB.5.10	Gud kallade ju honom till att bli överstepräst, så som Melkisedek.
HEB.5.11	Det finns mycket mer vi kunde säga om det här, men ni är tröga till att lyssna och därför är det svårt att få er att förstå. 
HEB.5.12	Ni borde vid det här laget kunna undervisa andra, men i stället behöver ni än en gång bli undervisade om grundsatserna i Guds budskap. Ni behöver åter mjölk, inte fast föda! 
HEB.5.13	Den som fortfarande lever på mjölk är ett spädbarn och kan inte förstå en undervisning om rättfärdighet. 
HEB.5.14	Den fasta födan däremot är till för vuxna, för dem som genom lång träning har lärt sig att skilja mellan gott och ont.
HEB.6.1	Låt oss därför nu lämna det man först behöver lära sig om Kristus och gå vidare till en undervisning som passar vuxna. Vi vill inte börja om från början igen och lägga grunderna: omvändelse från döda gärningar och tro på Gud, 
HEB.6.2	undervisning om skillnaden i betydelse mellan dopet och andra tvagningar
HEB.6.3	Så vill vi göra, om Gud tillåter det.
HEB.6.4	För de människor som en gång blivit upplysta och smakat den himmelska gåvan, fått del av den heliga Anden 
HEB.6.5	och smakat Guds goda ord och den kommande tidsålderns krafter, 
HEB.6.6	men sedan avfallit, dem kan man omöjligen få att vända tillbaka, eftersom de korsfäster Guds Son igen och förlöjligar honom.
HEB.6.7	En åker som suger åt sig det regn som ofta faller och ger bonden en god skörd får en välsignelse från Gud. 
HEB.6.8	Men om åkern bara ger tistlar och törnen, då är den värdelös, och risken är stor att den drabbas av en förbannelse och slutet blir att den bränns av.
HEB.6.9	Men vad er beträffar, mina älskade, är vi övertygade om att det förhåller sig bättre med er och er frälsning, även om vi talar på det här sättet. 
HEB.6.10	Gud är ju inte orättvis, utan minns hur hårt ni har arbetat för honom och hur mycket ni älskar honom, i och med att ni nu liksom tidigare tjänar de heliga. 
HEB.6.11	Vi önskar därför att var och en av er ända fram till slutet ska göra allt detta med samma iver, så att ert hopp blir uppfyllt. 
HEB.6.12	Var inte tröga, utan ta de människor till föredöme som genom tro och tålamod får del av vad Gud har lovat.
HEB.6.13	Då Gud gav sitt löfte till Abraham svor han vid sig själv, eftersom det inte fanns någon högre att svära vid, 
HEB.6.14	och sa: ”Ja, jag ska välsigna dig och göra dina efterkommande
HEB.6.15	Sedan väntade Abraham med stort tålamod och fick till slut vad som var utlovat.
HEB.6.16	Människor svär en ed vid någon som är högre än de själva. Eden bekräftar det som sagts, så att det blir slut på alla diskussioner. 
HEB.6.17	Gud ville göra klart för dem som skulle ärva det utlovade hur oföränderligt hans beslut är, och därför bekräftade han det med en ed. 
HEB.6.18	Båda dessa bekräftelser
HEB.6.19	Detta hopp är för våra själar ett ankare, tryggt och säkert, och det når innanför förhänget
HEB.6.20	dit Jesus gick in för oss, öppnade vägen,
HEB.7.1	Denne Melkisedek var kung i Salem
HEB.7.2	och Abraham gav åt honom en tiondel av allting. Namnet Melkisedek betyder för det första ”rättfärdighetens kung”, men som Salems kung var han också ”fredens kung”. 
HEB.7.3	Han står där utan far eller mor eller släktregister. Hans tid saknar början och hans liv har inget slut. Därför är han lik Guds Son, präst för alltid.
HEB.7.4	Tänk på hans storhet: patriarken Abraham gav honom en tiondel av det bästa krigsbytet. 
HEB.7.5	De av Levis
HEB.7.6	Men Melkisedek hörde ju inte till denna prästsläkt, och ändå fick han ta emot en tiondel av Abrahams byte och välsigna honom som hade fått Guds löften. 
HEB.7.7	Och ingen förnekar att det är den ringare som välsignas av den som är större.
HEB.7.8	I det ena fallet tar dödliga människor emot tionde, men i det andra fallet en om vilken det vittnas att han alltid lever. 
HEB.7.9	Man skulle kunna säga att Levi, som får ta emot tionde, också gav tionde genom Abraham. 
HEB.7.10	Även om Levi ännu inte var född fanns han ju ändå i sin förfader Abrahams kropp när denne mötte Melkisedek.
HEB.7.11	Om man nu hade kunnat uppnå fullkomlighet genom det levitiska prästämbetet – på den grunden hade ju folket fått lagen – varför skulle det då behöva komma en annan präst, en som var lik Melkisedek, och inte lik Aron? 
HEB.7.12	Men när prästämbetet ändras, måste också lagen ändras. 
HEB.7.13	Den präst som är omtalad här tillhör ju en annan stam där ingen någonsin har tjänstgjort vid altaret. 
HEB.7.14	Vår Herre kom från Judas stam, som alla vet, och Mose har ingenting sagt om några präster från den stammen.
HEB.7.15	Det här blir allt klarare, när det nu uppstår en annan präst lik Melkisedek, 
HEB.7.16	en präst inte enligt lagens föreskrifter om jordisk härstamning, utan i kraft av ett oförstörbart liv. 
HEB.7.17	Det vittnas ju om honom:
HEB.7.17	”Du är präst för evigt,
HEB.7.17	så som Melkisedek.”
HEB.7.18	Alltså upphävs den tidigare föreskriften, eftersom den var svag och till ingen nytta. 
HEB.7.19	Lagen kan ju inte göra någonting fullkomligt. Men ett bättre hopp har infunnit sig, genom vilket vi närmar oss Gud.
HEB.7.20	Detta skedde dock inte utan ed. De andra blev präster utan ed, 
HEB.7.21	men Jesus blev präst genom hans ed som sa till honom:
HEB.7.21	”Herren har svurit
HEB.7.21	och kommer inte att ändra sig:
HEB.7.21	’Du är präst för evigt.’ ”
HEB.7.22	Denna ed är garantin för det bättre förbund som Jesus har upprättat.
HEB.7.23	De andra prästerna måste vara många, eftersom döden satte stopp för deras tjänst. 
HEB.7.24	Men eftersom han lever för evigt, är hans prästämbete oförgängligt. 
HEB.7.25	Därför kan han också för all framtid rädda dem som kommer till Gud genom honom. Han lever ju för alltid och kan vädja för dem.
HEB.7.26	Jesus är just en sådan överstepräst som vi behövde, en som är helig, oskyldig, utan fläck, skild från syndare och upphöjd över himlarna. 
HEB.7.27	Han behöver inte som de andra översteprästerna varje dag först offra för sina egna synder och sedan för folkets. Nej, det gjorde han en gång för alla, när han offrade sig själv. 
HEB.7.28	De överstepräster som tillsätts enligt lagen är vanliga människor med svagheter. Men genom den ed som kom efter lagen har det tillsatts en som är Son och som är fullkomlig för evigt.
HEB.8.1	Huvudpunkten i det vi vill säga är alltså att vi har en överstepräst som sitter på högra sidan av Majestätets tron i himlen
HEB.8.2	och tjänar i helgedomen, i det sanna förbundstältet, som inte är rest av människor utan av Herren själv.
HEB.8.3	En översteprästs uppgift är att bära fram gåvor och offer, och därför måste också denne bära fram något. 
HEB.8.4	Om han fortfarande var här på jorden skulle han inte vara präst, för här finns det redan präster som bär fram de offer lagen kräver. 
HEB.8.5	Men dessa tjänar i en helgedom som bara är en ofullständig skuggbild av den som finns i himlen. När Mose skulle resa upp tältet, sa ju Gud till honom: ”Var noga med att göra allt efter den förebild som visats dig på berget.”
HEB.8.6	Kristus däremot har ett överlägset prästämbete, för han är medlare i ett bättre förbund, som vilar på bättre löften.
HEB.8.7	Om det första förbundet hade varit utan brist, hade det inte behövt ersättas med ett annat. 
HEB.8.8	Men Gud anklagade folket för dess brister och sa:
HEB.8.8	”Det ska komma en tid, säger Herren,
HEB.8.8	då jag ingår ett nytt förbund med Israels och Juda folk,
HEB.8.9	inte ett sådant förbund som jag ingick med deras förfäder,
HEB.8.9	när jag tog dem vid handen och förde dem ut ur Egypten.
HEB.8.9	De höll ju inte fast vid mitt förbund,
HEB.8.9	och därför brydde jag mig inte om dem längre, säger Herren.
HEB.8.10	Men detta är det förbund jag efter denna tid
HEB.8.10	ska ingå med Israels folk, säger Herren:
HEB.8.10	Jag ska lägga mina lagar i deras sinnen
HEB.8.10	och skriva dem i deras hjärtan.
HEB.8.10	Jag ska vara deras Gud,
HEB.8.10	och de ska vara mitt folk.
HEB.8.11	Då ska ingen längre behöva undervisa någon annan och säga:
HEB.8.11	’Lär känna Herren’,
HEB.8.11	för då ska alla känna mig,
HEB.8.11	från den minste till den störste.
HEB.8.12	För jag ska förlåta dem deras ondska,
HEB.8.12	och jag ska aldrig mer komma ihåg deras synder.”
HEB.8.13	Han talar alltså om ett nytt förbund, och det betyder att det första är föråldrat, och det gamla och föråldrade ska snart försvinna.
HEB.9.1	I det första förbundet fanns det föreskrifter för gudstjänsten och den jordiska helgedomen.
HEB.9.2	Tältet inreddes så att i det första rummet stod ett lampställ och ett bord med skådebröden. Det rummet kallades det heliga. 
HEB.9.3	Bakom det andra förhänget fanns ett rum som kallades det allra heligaste. 
HEB.9.4	Där i anslutning till det stod ett rökelsealtare av guld och en guldöverdragen förbundsark. I den förvarade man en kruka av guld med manna
HEB.9.5	Ovanpå arken stod härlighetens keruber
HEB.9.6	Efter att allt detta hade ställts i ordning gick prästerna ständigt in i det första rummet i tältet för att utföra sin tjänst. 
HEB.9.7	Men i det innersta rummet fick bara översteprästen gå in, en gång om året, och då alltid med blod, som han offrade för sina egna och folkets synder som de hade begått i sin tanklöshet.
HEB.9.8	Så visar den heliga Anden att vägen in i helgedomen inte är öppnad så länge den första helgedomen finns kvar. 
HEB.9.9	Det är en bild som syftar på vår egen tid, då man bär fram gåvor och offer som inte kan göra samvetet fullkomligt hos den som offrar. 
HEB.9.10	De är bara yttre föreskrifter om mat och dryck och olika tvagningar, och de skulle bara gälla fram till tiden för en bättre ordning.
HEB.9.11	Men nu har alltså Kristus kommit som överstepräst för detta nya förbund, med allt det goda det för med sig. Han har gått genom det stora och fullkomliga tält, som inte är gjort av människor och därför inte tillhör den här världen. 
HEB.9.12	En gång för alla gick han in med blod i helgedomen, inte med blod från getter och kalvar,
HEB.9.13	Om nu blodet från getter och tjurar och askan från en kviga, som stänktes på de orena,
HEB.9.14	hur mycket mer ska då inte blodet från Kristus rena våra samveten från döda gärningar, så att vi kan tjäna den levande Guden. Kristus bar ju fram sig själv som ett felfritt offer åt Gud genom kraften i den eviga Anden.
HEB.9.15	Kristus är alltså medlare i ett nytt förbund, för att de kallade ska få det utlovade eviga arvet, nu när han dött för att befria dem från överträdelserna som de begått under det första förbundet.
HEB.9.16	Där ett testamente
HEB.9.17	Testamentet gäller ju först efter hans död; det träder inte i kraft så länge han lever. 
HEB.9.18	Därför kunde inte heller det första förbundet instiftas utan blod. 
HEB.9.19	När Mose hade läst upp alla lagens bud för hela folket, tog han blod från kalvar och getter, tillsammans med vatten, röd ull och isopstjälkar och stänkte det över lagboken och över allt folket. 
HEB.9.20	Sedan sa han: ”Detta blod bekräftar det förbund Gud har befallt er att hålla.” 
HEB.9.21	På samma sätt stänkte han blod på tältet och på alla föremål som skulle användas där.
HEB.9.22	Ja, enligt lagen renas nästan allt med blod. Utan att blod utgjuts finns det ingen förlåtelse.
HEB.9.23	Det var därför nödvändigt att avbilderna av det som finns i himlen renades på det sättet. Men de himmelska tingen själva krävde ett mycket bättre offer. 
HEB.9.24	Kristus har ju inte gått in i någon helgedom som är gjord av människor och bara är en bild av den verkliga. Nej, han gick in i själva himlen för att nu träda fram inför Gud själv för vår skull. 
HEB.9.25	Hans offer var inte ett offer som måste göras om många gånger, så som översteprästen varje år går in i helgedomen med blod som inte är hans eget. 
HEB.9.26	Nej, då hade ju Kristus behövt lida gång på gång ända sedan världens skapelse. Men nu kom han vid tidsåldrarnas slut för att en gång för alla offra sig själv och därmed utplåna synden.
HEB.9.27	Det är bestämt att människan en gång ska dö och sedan dömas. 
HEB.9.28	Därför offrades Kristus bara en gång, för att ta bort mångas synder. Men han ska uppenbara sig en andra gång, fast inte för syndens skull, utan för att rädda
HEB.10.1	Lagen ger bara en skugga om allt det goda som skulle komma, inte om tingens verkliga väsen. Därför kan den aldrig genom de offer som år efter år ständigt bärs fram göra dem som träder fram fullkomliga. 
HEB.10.2	I så fall skulle man ju ha slutat att offra, eftersom de som offrar en gång för alla skulle ha blivit renade och inte längre haft några synder på sitt samvete. 
HEB.10.3	Men nu fortsätter i stället dessa offer att år efter år påminna om synderna. 
HEB.10.4	Blod från tjurar och getter kan ju aldrig ta bort synder.
HEB.10.5	Därför säger Kristus, när han kommer till världen:
HEB.10.5	”Offer och gåvor önskade du inte.
HEB.10.5	Men en kropp har du berett åt mig.
HEB.10.6	Brännoffer och syndoffer gladde dig inte.
HEB.10.7	Då sa jag:
HEB.10.7	’Se, här är jag.
HEB.10.7	I bokrullen står det skrivet om mig.
HEB.10.7	Jag vill göra din vilja, Gud.’ ”
HEB.10.8	För det första säger han: ”Offer och gåvor och brännoffer och syndoffer önskade du inte, och de gladde dig inte”, fastän lagen förutsätter att de bärs fram. 
HEB.10.9	Sedan säger han: ”Se, jag har kommit för att göra din vilja.” Så upphäver han det första och fastställer det andra. 
HEB.10.10	Genom Guds vilja har vi helgats i och med att Kristus kropp offrades en gång för alla.
HEB.10.11	Varje präst tjänstgör dag efter dag och bär fram samma offer som aldrig kan ta bort några synder. 
HEB.10.12	Men Jesus bar fram ett enda offer för synden för alla tider och har sedan satt sig ner på Guds högra sida, 
HEB.10.13	och där väntar han nu på att hans fiender ska läggas som en pall under hans fötter.
HEB.10.14	Genom ett enda offer har han ju för all framtid fullkomnat dem som blir heliga.
HEB.10.15	Den heliga Anden vittnar också om detta för oss. Han säger först:
HEB.10.16	”Detta är det förbund jag ska ingå med dem
HEB.10.16	efter de där dagarna, säger Herren:
HEB.10.16	Jag ska lägga mina lagar i deras hjärtan
HEB.10.16	och skriva dem i deras sinne.”
HEB.10.17	Sedan tillägger han:
HEB.10.17	”Jag ska aldrig mer komma ihåg
HEB.10.17	deras synder och överträdelser.”
HEB.10.18	Så när synderna nu har blivit förlåtna, behövs det ju inga fler offer.
HEB.10.19	Tack vare Jesus blod kan vi nu, syskon, frimodigt gå in i helgedomen
HEB.10.20	på den nya, levande väg som öppnats för oss genom förhänget, hans kropp.
HEB.10.21	Så när vi nu har en stor överstepräst över Guds folk, 
HEB.10.22	låt oss då gå fram med uppriktigt hjärta, i trons fulla övertygelse, med hjärtat renat från ett ont samvete och kroppen tvättad i rent vatten
HEB.10.23	Låt oss stadigt hålla fast vid hoppet vi bekänner oss till, för han som gett oss löftena är trofast. 
HEB.10.24	Låt oss också ge akt på varandra och uppmuntra varandra till kärlek och goda gärningar. 
HEB.10.25	Låt oss inte överge våra samlingar, så som vissa brukar göra. Låt oss i stället uppmuntra varandra, särskilt som ni ser att dagen närmar sig.
HEB.10.26	Om vi med vett och vilja fortsätter att synda efter att vi har lärt känna sanningen, då finns det inte längre något offer för synderna. 
HEB.10.27	Nej, då väntar en fruktansvärd dom och en förtärande eld som ska utplåna Guds fiender. 
HEB.10.28	Redan den som vägrade att lyda Moses lag blev skoningslöst dödad, om två eller tre vittnen kunde bevisa hans skuld. 
HEB.10.29	Hur mycket värre ska då inte straffet bli för den som trampar på Guds Son, vanhelgar förbundsblodet som han helgades i, och smädar nådens Ande? 
HEB.10.30	Vi känner ju honom som har sagt: ”Hämnden är min, och jag ska straffa dem”, och: ”Herren ska skaffa rätt åt sitt folk.”
HEB.10.31	Det är fruktansvärt att falla i den levande Gudens händer.
HEB.10.32	Tänk tillbaka på hur det var under den första tiden, när ni just hade blivit upplysta. Då höll ni ut under stora och svåra lidanden. 
HEB.10.33	Ni blev hånade, misshandlade och förlöjligade inför människor, och ni ställde också solidariskt upp för andra som blev utsatta för samma sak. 
HEB.10.34	Ni led med dem som kastades i fängelse, och när man tog era ägodelar var ni ändå glada, eftersom ni visste att ni ägde något bättre, något som består.
HEB.10.35	Fortsätt att vara lika frimodiga. Det ger en stor belöning. 
HEB.10.36	Det krävs uthållighet av er för att ni ska kunna göra Guds vilja och få vad han har lovat.
HEB.10.37	”Om en kort tid kommer han som ska komma.
HEB.10.37	Han ska inte dröja.
HEB.10.38	Men min rättfärdige ska leva genom tro.
HEB.10.38	Om han däremot drar sig undan
HEB.10.38	är han till ingen glädje för mig mer.”
HEB.10.39	Men vi tillhör inte dem som drar sig undan och går förlorade. Nej, vi tillhör dem som tror och räddar sitt liv.
HEB.11.1	Tron är en övertygelse om det vi hoppas, en visshet om det som ännu inte kan ses. 
HEB.11.2	Genom sin tro fick förfäderna sitt vittnesbörd.
HEB.11.3	Genom tro förstår vi att världen skapades genom ord från Gud, och att det vi ser inte har blivit till av något synligt.
HEB.11.4	Genom tro kunde Abel bära fram ett större offer än Kain och fick genom tro vittnesbördet att han var rättfärdig. Gud vittnade ju själv om hans offer. Genom tro talar han fortfarande, trots att han är död.
HEB.11.5	Genom tro rycktes Henok upp utan att behöva dö. Man kunde inte hitta honom längre, för Gud tog bort honom.
HEB.11.6	Utan tro är det omöjligt att behaga Gud. Den som vill komma till honom måste ju tro att han finns och att han belönar dem som söker honom.
