MAT.1.1	Guijtz ni rusule' laj retoxpeṉgoldoo xten Jesucrist xi'n toDavid, xi'n toAbraham.
HEB.7.24	Niluxh Jesucrist rajpni yäḻnabajṉ par tejpas, ṉaj najczani bixhojz par tejpas. 
HEB.7.25	Ni'c rajcza rusḻaani bejṉ lo dojḻ par tejpas. Rusḻaani guiraa renani rbig lo Dios por laani, sa'csi anabajṉni par tejpas te canabni lo Dios xcuent laareni.
HEB.7.26	Jesucrist najc bixhojzro nani rquiinnu. Laani najc dxan, dini niujn dojḻ, agubicajni lo rebeṉ-dojḻ, huäjszani jiaaru xhaguibaa. 
HEB.7.27	Dini gac si'c stecuaa rebixhojz ni nanab ju't man guixe-guixee te guze'c bixhojzroni lo Dios te ganid jiaa lagajc xtojḻni. Dxejcti sajc guibi'ni guze'cnini lo Dios xcuent xtojḻ rebejṉ. Niluxh Jesucrist tejtis huält gudejdni trabajw, bejnnini cheni cuajni lo crujz, baxhe'ni xtiejnni xcuent nuure, gujtni. Si'c gudijxni xtojḻnu par tejpas. 
HEB.7.28	Leii xten Moisés rusaan gac bixhojzro te bejṉ nani rejt, niluxh didxlii ni gunii Dios con lagajc lajni guleni tejni gac bixhojzro lagajc Xi'nni nani naya, nani nabaṉsa'c par tejpas.
HEB.8.1	Diidx ni sajcru loj rediidx ni caniinu najc scree: bixhojz ni najc xpixhojzronu agurej xladbee Dios lo xcäḻrdimbicha'ni xhaguibaa. 
HEB.8.2	Neṉ yu' ni najc dxan, neṉ guidoo ni benchee Dios yu' bixhojzre, xhet neṉdi guidoo ni runchee rebeṉ lo guedxliuj. 
HEB.8.3	Guiraa rebixhojz rajc rudeedreni gojṉ lo Dios, rajcza ju'treni guidxaa te gusejcreni lo Dios xcuent xtojḻreni, ni'cni nanab ga'p Jesucrist xhi gudeedni lo Dios. 
HEB.8.4	Paru suga'ni lo guedxliujre, nicla bixhojz dini niajc, sa'csi yu' bixhojz ni rudeed regojṉ si'c ni rnibee xleii Moisés. 
HEB.8.5	Niluxh redzuun ni rujn rebixhojzga najc si'c te balaa xten guira'ti ni yu' xhaguibaa. Najnnu najcreni balaa sa'csi balijdx Dios Moisés cheni agojl gunni xquidoo Dios, räjp Dios lojni: “Bahuii te gunlu guira'ti si'cpac ni baluiä lojlu lo dan Sinaí.” 
HEB.8.6	Niluxh xpixhojznu Jesucrist rujn dzuun ni sajcru, sa'csi najcni nani suga' galäii xnezyuj Dios loj rebeṉ guedxliuj, gusule'ni diidx ni gunii Dios cheni bejnni xhigabcoob, basa'nni didxcoob loj rebeṉ guedxliuj. Luxh didxcoobre sacduxhruni.
HEB.8.7	Paru niajc nusiejch leii ni badeed Dios galooli lo Moisés lajz rebejṉ, di niquiin niujn Dios ste xhigabcoob. 
HEB.8.8	Niluxh bahuii Dios xhet cayunsa'cdi rebeṉ guedxluij, dxejc räjpni:
HEB.8.8	N̲aj rniliä sidzujṉ redxej che gunä stee xhigab,
HEB.8.8	jia'n stee diidx loj rexpejṉ Israel näjza loj rexpejṉ Judá te xca'reni didxcoob.
HEB.8.9	Xhet si'cdi xhigab ni benä che bia'nä diidx loj retoxtadgoldooreni neṉ redxej ni gunazä ṉaareni te gulää́reni lajdx rebeṉ Egipto.
HEB.8.9	Laareni direni nusoob xtidxä ni'c basa'näreni, diruna niuäreni.
HEB.8.9	Si'c gunii Dad, Gueb Dios.
HEB.8.10	Niluxh diidx nani runä xhigab rlazä jia'n diidx loj rexpejṉ Israel neṉ redxejre gac scree, räjp Dad:
HEB.8.10	Sunä chu rexleiä lo xcäriejnreni, sucuaäza xtidxä neṉ lastooreni.
HEB.8.10	Dxejcti narä gacä Xtiosreni, laareni gac rexpeṉä.
HEB.8.11	Rut chu tejdi guluii sa'ni,
HEB.8.11	nicla bejtzni, nicla chu stee bejṉ gäbreni, “coḻyembee Dad”,
HEB.8.11	sa'csi alanumbee guiraareni narä, rebäz sigajc rebeṉgool.
HEB.8.12	Narä sulaslazäreni susiaä redzundxuudx ni bejnreni, diru lazä guizaj rextojḻreni, nicla latzsiaj ni bejnreni.
HEB.8.13	Che bia'n Dios didxcoob, diidx nani bia'nni galoo agujcni didx-biejw, luxh nani anajc didx-biejw, xhetru sajcdini.
HEB.9.1	Laaca ṉaj. Diidx ni bia'n galoo badeed leii xho gunreni che rajṉreni Dios, näjza xho gac guidoo lo guidxliujre. 
HEB.9.2	Guc-chee guidoo dxejcti gojḻ te ladro galäiini te gujcni tio'p yu'. Yu' ni najc ganid laani yudxan. Ro'c suga' candilieer, näjza mex cadro naga' yätxtiil ni aguc le' 
HEB.9.3	Ni rojp yu'ga najc dejtz ladro, ro'c najc yudxanduxh. 
HEB.9.4	Ro'c suga' te guiib cadro ru' yaal. Najcni ganax oor. Ro'c yu'za te guijn ni laa “arco de pacto”, najcwni ganax oor, sigajc dejtzni, sigajcza neṉni. Neṉga yu' te bo't ganax oor. Neṉ bo'tga, yu' yätxtiil ni laa mana. Lagajcza neṉ guijnga yu' bar xten toAarón nani biga', guyu' bid lojni, näjza guij cadro bacuaa Dios xleii toMoisés. 
HEB.9.5	Yejc guijnga caj tio'p figur oor ni najc si'c xangl Dios. Laareni rujn racbee bejṉ suga' Dios ro'c. Lagajc redee rusäuu con rexhigareni cadro ruxhe' bixhojzro xtiejn guidxaa xcuent xtojḻ rebejṉ. Ro'cti di gacdiru guiniirunu xcuentreni ṉaj.
HEB.9.6	Che gulujx gusucheereni, riu' rebixhojz si'csi si'c neṉ guidoo, neṉ yudxan te rajṉreni Dios si'c gunibee Dios. 
HEB.9.7	Niluxh neṉ stee yu'ga ni laa yudxanduxh, ro'c rajc riu' bixhojzrotis. Xtebtisni riu'ni, luxh tejtis huält neṉ teb ijz, te chanäni xtiejn reguidxaa ni gudeedni te jia xtojḻni näjza te jia xtojḻ rebejṉ ni najc xpejṉ Israel. 
HEB.9.8	Luxh guiraa reni'c ruluii Sprit Dxan xten Dios loonu, gajd yudxanduxh guxal che sugasijc yu' ganid, yu' ni laa dxan, cadro sanuu rajṉreni Dios. 
HEB.9.9	Guiraa ni gujc galoo najc si'c te balaa, baluiini xho gacni ṉaj. Regon näjza reman ni rudeedreni lo Dios direni nusansa'c xcäriejn reni rudeed gojn lo Dios, sa'csi xtiejn reman rusäutisni lo xtojḻ rebejṉ. 
HEB.9.10	Dee najc ganaxtis xhi rajwni, ni rä'ni, con yäḻrobnis, o xhi stee dzuun ni rujn bejṉ te ria ganaxtis tiejxhreni che guidzujṉli dxej cheni guchaa Dios guira'ti.
HEB.9.11	Niluxh abiääd Jesucrist, ṉaj laani najc bixhojzro xcuent redidxcoob ni sajcru ṉaj. Nacoob guidoro cadro biu' bixhojzre, nasa'cruni ṉaj. Xhet con ṉaadi bejṉ guc-cheeni. Dizani gac guidoo guedxliujre. 
HEB.9.12	Abiu' Jesucrist cadro najcpac yu' ni laa dxanduxh, niluxh xhet xtiejndi redxib, regon; ganax lagajc xtiejnni ca'ni biu'ni yudxanduxh tejtis huält, te si'c basḻaani nuure lo dojḻ par tejpas. 
HEB.9.13	Reni basia xtojḻ bejṉ galoo najc redee: xtiejn regon näjza redxib, näj cobdäj xten reguidxaa ni rejc neṉ guidodxanga; bastiojbni guiro'preni yejc reni yu' xtojḻni. 
HEB.9.14	Paḻga basia redee xtojḻ bejṉ, aticaxh xtiejn Jesucrist sajc gusia dojḻ, sa'csi rajpni yäḻnabajṉ par tejpas. Lagajc laani badeedni xtiejnni lo Dios. Niluxh najcni renya sa'csi dini niujn dojḻ, rusiazani xcäriejnnu xcuent retzuun ni xhet sajcdi, te chunu loj Dios ni nabajṉ par tejpas.
HEB.9.15	Ni'cni Jesucrist najc nani suga' galäii: nez lo Dios näjza nez loj rebeṉ guedxliuj xcuent didxcoob. Yäḻgujt xten Jesucrist najc te gudzucajni xtojḻ rebeṉ näjza xtojḻ renani bejn si'cni caj lo leii, te xca' guiraa reni agurejdx Dios yäḻnabajṉ par tejpas, si'c bia'n diidx galooli. 
HEB.9.16	Didxcoobre najc si'c che rlajz tej bejṉ guinibee xho guidis xhixtenni che agojl guetni, nanab gucuaa bejṉga lo te guijtz xho guidisni, dxejcti gucuaani lajni. Niluxh xhet sajcdi guijtzga che gajd bejṉga guet. 
HEB.9.17	Xhet sajcdi guijtzga che nabaṉsijc nani bejnni. Sajcni che agujt bejṉga. 
HEB.9.18	Ni'cni che bia'n Dios diidx loj rexpejṉ Israel galoo, gujt te man te bixe' rejn. 
HEB.9.19	Che gulujx gunii Moisés rediidx si'c ni caj lo leii loj guiraa rexpejṉ Israel, bagu'tni rebiseṟ, redxib, cua'ni rejnga näjza nis, bahuajdxni guid-xiil xniaa näjza te la' yajg balagbäz, hysopo, dxejcti bastiojbni rejn yejc guijtz cadro caj leii, näjza yejc rebejṉ. 
HEB.9.20	Dxejc guniini lojreni: “Rejnre najc seen sile'pac diidx ni abaxhaḻ Dios lojtu.”
HEB.9.21	Sigajcza bastiojb Moisés rejn guidoo näj guiraa renani rquiin rebixhojz che rajṉreni Dios. 
HEB.9.22	Leii xten Moisés rnibee jia guiralii con rejn, palga di rejn guixe', di xtojḻ bejṉ jia.
HEB.9.23	Ni'cni biquiinpac gujt remanre, bixe' xtiejnni te basiani reni najc xpalaa reni yu' xhaguibaa, niluxh reni yu' xhaguibaa rquiin guixe' xtiejn te ni sajcru. 
HEB.9.24	Di Jesucrist niu' neṉ guidoo ni benchee rebejṉ, ni najc xpalaa guidoopac xten Dios xhaguibaa. Laani biu'ni lagajc xhaguibaa, te laani suga'ni nez lojpac Dios te caniini xcuent nuure loj Dios. 
HEB.9.25	Bixhojzro xten xpeṉ Israel biu' neṉ yu' ni laa dxanduxh tejtis huält neṉ teb ijz, ca'ni xtiejn reguidxaa. Niluxh Crist biu' xquidoopac Dios xhaguibaa tejtis huält par tejpas, luxh ca'ni lagajc xtiejnni. Di guiquiin jiu'runi balti huält. 
HEB.9.26	Palga nanab gunni si'cni rujn rebixhojz, sajpni por niejtni te chinaduxh huält cheli birixtiej guedxliuj. Luxh ṉaj, cheni bidzujṉ dxej, baluiloj Jesucrist tejtis huält, lagajc laani badeedzani xtiejnni lo Dios cheni gujtni, cuajni lo crujz te si'c badzucajni par tejpas xtojḻ rebejṉ. 
HEB.9.27	Guiraa bejṉ nanabpac guetreni tejtis huält, dxejctiru sidejdreni yäḻguxhtis xten Dios. 
HEB.9.28	Sigajcza tejtis huält badeed Jesucrist xtiejnni ni bixe' lo crujz te badzucajni xtojḻ xhidalduxh bejṉ. Luxh loj renani cabäjzni suluiilojni stehuält, xhet te gudzucajdiruni dojḻ, alga te gusa'ni xcäḻrusḻaa renani cabäjzni.
HEB.10.1	Sa'csi leii xten toMoisés najctis si'c te balaa xten nani siääd ṉaj. Niluxh dini gac si'cpac redidxcoobga. Ni'cni leii, con xtiejn reguidxaa ni rxe' cazob ijz digacdi gunsa'cni rebejṉ nani guibig lo Dios, sa'csi di xtiejn man gudzucajpac rextojḻreni. 
HEB.10.2	Paru niajc nibicajpac xtojḻ reni rudeed xtiejn guidxaa, aguläjz rudeedreni xtiejn guidxaa, sa'csi che gubicaj xtojḻreni, diru xcäriejnreni gumbee dojḻ. 
HEB.10.3	Niluxh yäḻrejt man näj yäḻrudeedreni rejn casob ijz rusnajtisreni lajzreni xcuent dojḻ. 
HEB.10.4	Sa'csi digacdi gudzucajpac regon näjza xtiejn redxib xtojḻ bejṉ.
HEB.10.5	Ni'cni che biääd Jesucrist lo guedxliuj räjpni lo Dios:
HEB.10.5	Di rlajzlu xtiejn guidxaa niclaza regon niluxh abejnlu gacä nigui-guedxliuj.
HEB.10.6	Dilu nichaglajz yäḻrejc xten guidxaa niclaza yäḻrudeed rejn, niclaza gojn ni rudeed rebejṉ te gusiani xtojḻreni.
HEB.10.7	Dxejc räpä: “Narä basiälä te gunä si'cni rlajzlu Dad, Dios, (si'cni caj neṉ reguijtz xcuent ni sacä).”
HEB.10.8	Che gulujx gunii Jesucrist diidxga: “Di rlajzlu, dizalu guidxaglajz xcäḻrejt guidxaa näjza regon niclaza xcäḻrejc guidxaa, niclaza yäḻrudeed rejn xcuent xtojḻ bejṉ si'cni caj lo leii gun bejṉ.” 
HEB.10.9	Dxejcti räjpni: “Narä siälä, te gunä si'cpac ni rlajzlu, Dad Dios.” Dxejc badzucaj Jesucrist nani gujc galoo, te guläxtiejni didxcoob ni bia'n Dios loonu ṉaj. 
HEB.10.10	Abasia Dios lastoonu sa'csi bejn Jesucrist si'c rlajz Dios cheni baxhe'ni xtiejnni lo crujz tejtis huält par tejpas.
HEB.10.11	Guiraa rexpixhojz Israel rujnreni dzuun guixe-guixee te rudeedreni lagajctis guidxaa, näjza xtiejn reman, guiraa si'ctis ni caj lo leii, niluxh reni'c digacdi gudzucaj dojḻ. 
HEB.10.12	Niluxh Jesucrist tejtis huält baxhe' xtiejnni lo crujz te badzucajni xtojḻ rebejṉ par tejpas. N̲aj agurejni xladbee Dios cadro rnibeeni. 
HEB.10.13	Ro'c cabäjzni guiraa ni rdxe'ch lojni te cuereni ladzni'ni. 
HEB.10.14	Ni'cni tejtis huält cuajni lo crujz te basiani par tejpas guiraa renani ahuililajz xtiidxni. 
HEB.10.15	Sigajcza rnii Sprit Dxan xten Dios loonu; najni:
HEB.10.16	Diidx nani jiannää́reni neṉ redxejre gac scree,
HEB.10.16	naj Dad Dios: sucuaä rextidxä lo xcäriejnreni,
HEB.10.16	susäḻäza xtidxä neṉ lastooreni.
HEB.10.16	Dxejcti räjpni:
HEB.10.17	Diru lazä guizaj rextojḻreni nicla rextoḻguijdxreni.
HEB.10.18	Ni'cni, cheni abia xtojḻ bejṉ, diru quiquiin gudeedreni guidxaa te jia rextojḻreni.
HEB.10.19	Ni'cni resa'nu, na'c guidxejbtu, sajc jiu'nu yudxanduxh cadro bixe' xtiejn Dad Jesucrist nani abadeedni lo Dios. 
HEB.10.20	N̲aj yu' te nezyuj, nezsiucoob, nezyuj xten xcäḻnabaṉcoobnu ni baxhalni che badzucajni ladroga. Ni'c säloj cheni biu'ni neṉ yudxanduxh, badeedni lagajc xtiejnni lo Dios. 
HEB.10.21	Jesucrist najc xpixhojzronu nani rnibee rexpejṉ Dios. 
HEB.10.22	Ni'cni do'o guibigrunu lo Dios guideb lastosa'cnu, na'c guidxejbdinu, na'cza guitujydinu. Con yäḻrililajzpac abia lastoonu xcuent rexhigabguijdx, abidiibza tiejxhnu lo nis-ya. 
HEB.10.23	Do'o chanuu sudzu'tznu lo xtiidxni nani huililajznu, na'c guchaanu xhigabnu sa'csi susoob Dios diidx ni bia'nni loonu. 
HEB.10.24	N̲aj do'o guihuii xho jiennu te gacnäj sa'nu te si'c chonälajznu sa'nu nägajcza te jiennu ganax dzunsa'c. 
HEB.10.25	Na'c jiennu si'c rujn rebejṉ nani diru jiääd che rdxagsa'nu. Nanab guiliidxnu resa'nu sa'csi ṉaj asiäddzuṉgajxh dxej ni guibi' Dad Jesucrist.
HEB.10.26	Palga chanuu jienrunu dojḻ, niluxh abiejn diajgnu xtidx Jesucrist, diru gacdi guibicaj xtojḻnu dxejc. 
HEB.10.27	Dxejcsii guidxeebtisnu guilääznu yäḻguxhtisduxh xten Dios näj guiboo ni guze'c renani rdxe'ch loj Dios. 
HEB.10.28	Cheni guyu' chu tej ni di niujn si'c caj lo xleii Moisés, niluxh bidxaag xtidx tio'p o choṉ ni nancheepac, räjpreni dini nusoob leii, gujt bejṉga, rut balaslajzdini. 
HEB.10.29	Maazru yäḻrusacsíduxh nanab ted renani ruläj yejc Xi'n Dios cheni direni gusobdiajg xtiidxni. Alga ruṟo'nreni xtiejnni ni baxhe'ni lo crujz te basianini. Rusanxtujyzani Sprit Dxan xten Dios nani badeed didxcoob lojni. 
HEB.10.30	Anancheenu gunii Dios: “Narä susquixä bejṉ; loä siguijx bejṉ”, räjp Dios. Stehuält guniini: “Dad sujn yäḻguxhtis rexpejṉni.” 
HEB.10.31	¡Cosduxh gac bejṉ ni jiajb ladzṉaa Dios nani nabajṉ par tejpas!
HEB.10.32	Niluxh coḻsnaj lajztu xho gujctu galoo; cheni entis cua'tu xtidx Dios, xho batip lajztu, gudejdtu trabajw sa'csi cua'tu xtidx Dios. 
HEB.10.33	Guyu' resa'tu gudéreni lojni, yu' reni basacsí la'tu nez loj rebejṉ. Guyu'za huält astoo gudejdzatu trabajw sa'csi cahuiitu rebejṉ nani basacsíreni, cadejdzareni trabajw. 
HEB.10.34	La'tu banaj lajztu renani yu' latzguiib, guideb yäḻrbalajz batip lajztu che cua'reni guiraa xhixtentu, sa'csi gucbeetu xhaguibaa rajptu reyäḻnasa'c ni sajcru, niluxh yu'ni par tejpas. 
HEB.10.35	Na'c gunijttu xcäḻrililajz xtidx Jesucrist, sa'csi yäḻrililajzga gun xca'tu yäḻnabajṉ par tejpas. 
HEB.10.36	La'tu nanab cuedxitu te che abejntu ni rlajz Dios, dxejc xca'tu nani aguniini guniidxni. 
HEB.10.37	Sa'csi xtidx Dios ni bia'n rnii:
HEB.10.37	Asiäddzuṉgajxhpac dxej ni jiäädni,
HEB.10.37	asiäddzuṉgajxhpac dxej ni jiääd nani siääd, dipacni gaclaa.
HEB.10.38	Renani nabaṉsa'c sibaṉnäj yäḻrililajz,
HEB.10.38	niluxh palga yu' chutej ni guidxejb chalilajz,
HEB.10.38	dini'c gun guibaa lazä.
HEB.10.39	Niluxh nuure dinu gac si'c reni rusaan yäḻrililajz te nitreni loj dojḻ. Nuure najcnu renani rililajz xtidx Jesucrist te ḻaa xaimnu par tejpas.
HEB.11.1	¿Xhini'c najc yäḻrililajz? Yäḻrililajz säloj cabääznu sajcpac tejni gajd gac, yu'pacza ni mase dinu fiini, najcni si'cni abahuiinuni. 
HEB.11.2	Dios huinälajz retoxtadgoldoonu sa'csi huililajzreni xtiidxni.
HEB.11.3	Sa'csi rililajznu, najnnu benchee Dios reguedxliuj, bencheeni guibaa, bencheezani guiraa nani rhuiinu. Con xtiidxtisni bencheeni nani dinu guihuii.
HEB.11.4	Gojpza toAbel yäḻrililajz badzubyaalni rexquidxaani lo Dios. Yäḻrbijbyaal xtenni sajcru loj yäḻrbibyaal xten toCaín. Ni'cni gunii Dios najc toAbel beṉsa'c. N̲aj mase agujt Abel, sanuutis racbeenu xcuent yäḻrililajz ni gojpni.
HEB.11.5	Sigajcza gojp Enoc yäḻrililajz, ni'c sinä Dios Enoc xhaguibaa, guideb nabajṉni, te na'c niejtni. Diru rebejṉ nidxälni sa'csi asinä Diosni xhaguibaa. Luxh räjp Dios xcuentni che gajd Dios jinäni, gubaṉsa'cni, baspaani lajz Dios. 
HEB.11.6	Rut chu tejdi sajc guspaa lajz Dios palga dini chalilajz, sa'csi che guibigni lojni, nanab chalilajzni yu' Dios, chalilajzzani sudeed Dios xcäḻnasa'cni loj renani rguiilni, nalajznu renani rlajz gumbeepac Dios.
HEB.11.7	Gojpza toNoé yäḻrililajz. Che räjp Dios lojni siajbpac nisguij ni gajdreni fii, huililajzni. Bejnni si'c ni räjp Dios. Bidxejbni sa'csi najni rusoob Dios xtiidxni, ni'c bencheeni te canuduxh te di niejt rexi'nni. Sa'csi gojpni yäḻrililajzga, bejnni gubibde rebejṉ guedxliuj, gunijtreni sa'csi direni nililajz xtiidxni. Dxejcti cua'ni yäḻnabaṉsa'c ni siääd xcuent yäḻrililajz.
HEB.11.8	Sa'csi gojp toAbram yäḻrililajz, basoobni xtidx Dios che gurejdx Diosni, biriini lajdxni te huijni cadro gudeed Dios yuj lojni te cuääzni ro'c. Biriini lajdxni, mase dini gan caro chääni. 
HEB.11.9	Gojp toAbram yäḻrililajz, ni'c huiläjzni si'c beṉzijt loj reyuj ni räjp Dios gudeedni lojreni. Ro'c guläjzreni si'c lajdx beṉzijt. Guläjzni neṉ reyuguijd, sigajcza bejn toIsaac näjza toJacoob, sa'csi näjza lojreni räjp Dios gudeedni yujga. 
HEB.11.10	Niluxh toAbram cayunloj te guejdx nani sudzu'tz, te guejdx nani cuäxtiej Dios, nani gunchee lagajc Dios.
HEB.11.11	Sigajcza gojp toSara yäḻrililajz te mase anajcni beṉgool niluxh agudejd chu xi'nni, cua'ni yäḻrnibee xten Dios te gujcni nan, guyu' te xi'nni, sa'csi huililajzni susoob Dios xtiidxni. 
HEB.11.12	Ni'cni mase siäddzuṉgajxh dxej ni guet toAbram, guyu' xhidalduxh xajgni. Si'c rebalxhaguibaa näj si'c reguibäzlule' xten yujxh ni tre' ro' nisdoo, si'c najcreni xhidalduxh, nicla gac guigabreni.
HEB.11.13	Guiraa rebejṉre gujt, direni nica' yuj nani räjp Dios gudeedni lojreni; niluxh sa'csi rajpreni yäḻrililajz, bahuiireni lo yujga zitro, ni'c bibalajzreni, sa'csi anajreni najcreni beṉzijt, cansajsireni lo guedxliuj. 
HEB.11.14	Reni rnii si'c, rniliireni caguilsijcreni cadro gac lajdxreni. 
HEB.11.15	Paru niujnreni xhigab lajdxreni najc guejdx cadro biriireni, pet niajc nibisacreni ro'c. 
HEB.11.16	Niluxh laareni rlajzreni te lajdxreni ni sajcru, nalajznu lajdx Dios xhaguibaa, ni'c rguiilreni. Ni'cni di Dios guitujy gäbreni najcni Dios xtenreni, luxh alabencheeni guejdx cadro cuääzreni xhaguibaa.
HEB.11.17	Gojpza toAbram yäḻrililajz ni'cni cheni bateed Diosni preeb, räjpni loj Abram gudeedni Isaac lojni lacuaa gudeedni xhiil, cuäjbni gugu'tni xi'nni lacuaa xhiil, luxh Dios ni najc tejtis aräjp lojni galooli: 
HEB.11.18	“Isaac guniidx chu xhidajl xajglu, xagdoolu.” 
HEB.11.19	Sa'csi nanchee toAbram rajp Dios yäḻrnibee te guspajṉni rebeṉgut. Luxh si'cza cuasacni xi'nni, ascanu loj rebeṉgut cuasacni xi'nni.
HEB.11.20	Näjza toIsaac gojp yäḻrililajz benle'ni toJacoob näjza toEsaú, räjpni xhini'c gun tejgareni. 
HEB.11.21	Gojpza toJacoob yäḻrililajz, che agojl guetni, benle'ni guiro'p rexi'n toJosé. Dxejcti huistieni guzucajni yejc bastoṉ xtenni te si'c gojṉni Dios. 
HEB.11.22	ToJosé gojp yäḻrililajz. Che agojl guetni, räjpni sirii rexpejṉ Israel lajdx Egipto, gunibeezani xho gunnäjreni xtzujtni.
HEB.11.23	Gojp rexcuzajn Moisés yäḻrililajz, ni'c cheni gojḻ Moisés, bacua'tzrenini choṉ bäii, sa'csi bahuiireni bäzdaanni. Direni niu xtidx ṟeii ni gunibeeni, räjpni ju'treni bäz niguii. 
HEB.11.24	ToMoisés gojp yäḻrililajz, ni'cni che aguroobni di rlajzni nirilajni xi'n xindxa'p ṟeii xten Egipto. 
HEB.11.25	Bejnni xhigab tednäjni trabajw rexpejṉ Dios lacuaa niujnni redzuun ni rchaglajz rujn rebeṉ Egipto, sa'csi najc reni'c dojḻ, luxh tera'tsi ruspaareni lajz bejṉ. 
HEB.11.26	Par laani maazru sajc tedni lagajc trabajw ni gudejd Jesucrist lacuaa niajpni reyäḻnasa'c xten Egipto sa'csi laani cabäjztisni reyäḻnasa'c nani churu gudeed Dios lojni. 
HEB.11.27	Gojp toMoisés yäḻrililajz biriini lajdx reEgipto, dini nidxejb yäḻrdxe'ch xten ṟeii, huinuutis gusudzu'tzni si'cni najc xhigabni, ruhuiini loj nani di guzeṉ, nalajznu Dios.
HEB.11.28	Gojp Moisés yäḻrililajz bejnni lanij xten pascw. Gunibeeni baroobreni rejn ro' xpuert rexpejṉ Israel te che ted angl xten yäḻgujt nicla te xingan galoo xten rexpejṉ Israel di guet. 
HEB.11.29	Gojp rexpejṉ Israel yäḻrililajz gudejdreni galäii nisdoo ni laa nisdoxniaa luxh asdoo loj yubijdz rsiajreni si'c gudejdreni. Niluxh che rlajz rebejṉ Egipto nidejd, gubi' nis, dxejc gulo'reni neṉ nis.
HEB.11.30	Xcuent yäḻrililajz gurebä'n paderguij xten guedx Jericó, cheni basa' gajdz dxej caded huält rexpejṉ Israel guejdxga. 
HEB.11.31	ToRahab, te gunaguijdx, gojpzani yäḻrililajz ni'c dini niejt che gujt renani di nuzobdiidx, sa'csi laani bacua'tzni gaii bejṉ nani sagula'tz xho najc guejdxga.
HEB.11.32	¿Xhiruxh guiniä? Di gaḻdi guiniä xcuent toGedeón, xcuent toBarac, xcuent toSansón, xcuent toJefté, xcuent toDavid, xcuent toSamuel, näjza xcuent retoprofe't. 
HEB.11.33	Guiraareni gojp yäḻrililajz ni'c bejnreni gaan xhidajl reguejdx, bensa'creni yäḻguxhtis, cua'reni xcäḻracnäj Dios ni bia'n diidx xca'reni, basäureni ro' rebeedz. 
HEB.11.34	Guyu'reni neṉ te balduxh luxh xhet gujcdireni, gojl baxuṉreni te di niejtreni con espaad. Reni gujc beṉrdxajg, guzutzu'tzreni gujcreni nadipduxh, gujcreni beṉduxh lo gueṟ, barilaagwreni resoldaad xten reni rdxe'ch lojreni. 
HEB.11.35	Guyu' regunaa ni cuasac rextogoolreni, gubaṉsacreni lo rebeṉgut.
HEB.11.35	Sgaiireni gujt xcuent yäḻrusacsí lacuaa nicäjbreni nusiech lajzreni te nusḻaa bejṉreni sa'csi rlajzreni xca'reni stee yäḻnabajṉ ni sajcru. 
HEB.11.36	Sgaiireni gudejd trabajw guniyaj bejṉreni, gudinnäj bejṉreni chiir, cuaduuzareni cadeṉ, guyu'zareni latzguiib. 
HEB.11.37	Guyu'za reni gujt che bacuaa bejṉ guij yejcreni o che gujcreni tio'p la' con sieṟ. Guyu'za reni basacsí bejṉ te guṟo'nreni yäḻrililajz. Guyu'za reni gujt con spaad. Guyu' reni cuanzaj nezree nezrec, gojtreni guid-xiil näjza guid-dxib, sa'csi xhet rajpdireni luxh entis rdejdreni trabajw rusacsí bejṉreni. 
HEB.11.38	Sa' rebejṉga di nungäjḻ rebeṉ guedxliuj niääd rebejṉga lojreni. Cuanzaj rebejṉga nez lo reyubijdz cad xhet yu'di xhi gaureni nicla nis te yäreni; cuanzajreni nez neṉ redajn, nez neṉ rebiliää näj nez neṉ guedduxh ni yu' neṉ yuj. 
HEB.11.39	Guiraa rebejṉga gojp yäḻrililajz, luxh ni'cni huä'p xpala'nreni, niluxh direni nica' ni bia'n diidx gudeed Dios lojreni, 
HEB.11.40	sa'csi bejn Dios xhigab gunni te dzunsa'c lojreni. Bejn Dios xhigab guniidxni yälnasa'c loonu, ṉaj tejsi guica'nu con laareni nani bia'n diidx guniidx Dios.
HEB.12.1	Ni'c najcni si'cni suga'nu galäii guiraa rebejṉre luxh cahuiireni xcäḻrililaaznu. Ni'c do'o guisa'n te laad guiraa reni rusäu lo xnejznu, näjza redojḻ ni ruxhiid nuure lo xcäḻnabajṉnu, te di jieednu chosaanu nez lo nezyuj ni sasanäänu nez cadro chonnu. 
HEB.12.2	Do'o guihuidzu'tz nez loj Dad Jesucrist nani guläxtiej, nani guluuxza xcäḻrililajznu. Jesucrist gudejd trabajw lo crujz, dini nitujy gujtni lo sa' yäḻgujtga, sa'csi najnni cheni agudejdni trabajw, sica'ni yäḻrbalajz; ṉaj agurejni xladbee Dios cadro rnibeeni.
HEB.12.3	Coḻyujn xhigab la'tu xho gudejd Jesucrist ladzṉaa rebeṉ dojḻ, te na'c guidxajgtu, na'cza jieedtu laḻ ni cabäjztuni. 
HEB.12.4	La'tu gajd xtiejntu guixe' lo yäḻrucuanäj dojḻ. 
HEB.12.5	¿La abiäḻ lajztu xho balijdx Dios la'tu si'c xi'nni, ä? Scree caj xtiidxni lo reguijtz; räjpni:
HEB.12.5	Xinä, na'c cuälazlu xcäḻnaj Dad niclaza jieedlu che tiḻnäjni luj.
HEB.12.6	Sa'csi si'c runnaj Dad renani sanälajzni,
HEB.12.6	rujnni riaa guiraa renani rca'ni si'c xi'nni.
