MAT.1.1	Ulu lwe lukoono ulwa ulukolo lwa Yesu Kilisito umwisukulu va Daudi, umwisukulu va Abulahamu:
1JN.5.18	Tukulukagula ukuta yeyeavesaga umwegalwa na Nguluvi sipigagi inzanangifu, pakuva Umwana va Nguluvi akumulolela wunofu, nayula umwanangifu sahwana ukumwananga.
1JN.5.19	Tukulukagula ukuta hwehwe twivanu vakwe Nguluvi nambi we ing'i mbeyili nzagile na yula Umwanangifu.
1JN.5.20	Tukulukagula kangi ukuta Umwana va Nguluvi akasile, ukutupela uwukagusi sambi tumukagule Nguluvi uva nachene; twikale mu uwulilumwi na Nguluvi uva nachene mukuhanga na Umwanakwe, Yesu Kilisito. Uyu ye Nguluvi uva nachene, na uwu we wumi uwutasila.
1JN.5.21	Nye vanangu, mwilegage na ifihwananguluvi!
2JN.1.1	Nene nde muvaha ngukwandikila veve ve munumwehe umuhagule pamwi na avanako vendivenda nachene. Kangi si nene hela yendivenda, pesi na mbevali vevawukagwe uwanachene, 
2JN.1.2	pakuva uwanachene wewakwikala mwahwehwe wuva na hwehwe kitasila.
2JN.1.3	Uwuwuya na ulusungu na uwikalakunoga ifihumaga kwa Nguluvi Dada na kwa Yesu Kilisito, Umwana va Dada, fivelage pamwi na hwehwe mu wanachene na uwende.
2JN.1.4	Ndahekelye hilo ukupulika ukuta avamwi va avanako vakwikala mu wanachene ndawe lwe Dada atulajee. 
2JN.1.5	Ino, ve munumwehe ngukusuka lukani lumwi: lwengukusuka si lulagilo lupya, pesi ululagilo lulula lwetwetwinalo uluhuma pamuvango ulwa twiyendage. 
2JN.1.6	Uwende widonya ukwikalaga mu kwinatila indagilo sakwe Nguluvi. Ululagilo lwemwalupulike uluhuma pamuvango lwe ulu: luvavaje mbemuli mwikalage mu wende.
2JN.1.7	Avasangavanu wolofu vakelelwike mung'i, avanu vesivakwidikila ukuta Yesu Kilisito akasile ukwetu, mu muvili gwa umunu. Umunu yeilonga ulo uyo musanga vanu na mutavangu va Kilisito. 
2JN.1.8	Ino, mwikomalilage we yinyenye mulonga mukiyase kila chemukakipigilige, pesi ukuta samwanukile amahombo genyu agakwilaniche.
2JN.1.9	Yesiakwinatila nu kunana munzigiso isa Kilisito, kangi akusipituka uyo mugaya Nguluvi. Neke yeananaga mu nzigiso iso inave Dada nu Mwana. 
2JN.1.10	Sweno, wone umunu aase ukwenyu wesiakuvaletela ulwigiso ulo, ulamwanukila mukaye, nambi ukumuhungila. 
2JN.1.11	Pakuva yeakumuhungila umunu uyo, ihanga nave mufipigo fyakwe ifyanangifu.
2JN.1.12	Nambi ndinaso nzolofu isa ukuvandikila, neke lino singembwenda ukuvandikila mwikalatasi nu wino, neke ulwene, ndihuvye ukuvasila nu kutinasa pamwi na nyenye, sambi uluhekelelo lwetu lukwilanikile. 
2JN.1.13	Avana va umuhaso umuhagule, vakukuhungila.
3JN.1.1	Nene nde muvaha, ngukwandikila veve Gayo, munyawiyendi vangu, yengwenda munachene.
3JN.1.2	Munyawende vangu, ngukusukila uwunofu wewewuvesaga, ngukusukila ulugilimati ulwa muvili ndawe lula lwewinalo munumbula. 
3JN.1.3	Nyekelye hilo pe vanyalukolo avamwi pevafikite ipa, vakolelye ulwa uwuhuvilwa wako ulwa nachene; ena, veve uhele ukwikala mbepali mu wanachene. 
3JN.1.4	Sikokili kinu chekikunogela hilo ukulutila ukupulika ulwa avanangu vakwikala mu wanachene.
3JN.1.5	Munyawende vangu, veve wimuhuvilwa mbepali peukuvapigila avanyalukolo, nambi vave avagenzi! 
3JN.1.6	Avanyalukolo iwo vakalilonje ilikanisa ipa ing'ani isa uwende wako. Ngukugongola uvatangage pevali mulugendo lwawo mung'asi iyikumunogela Nguluvi. 
3JN.1.7	Pakuva vivanga ulugendo lwawo mukumupigila Kilisito wesivakwanukila nambi uwutanzi uwewuvesaga ukuhuma kuvanu vesivafuuvitwi. 
3JN.1.8	Ino, hwehwe lutuvaje ukuvatanga avanu iva, sambi nayihwehwe tuhange mukipigo chawo ukwimila uwanachene.
3JN.1.9	Ndivandiche lukani ku likanisa; neke Diyotelefe, yeaiwenda ukwilongolesa, sakwidikila ululagi lwangu. 
3JN.1.10	Ino, wone nzuse sa nzolelela mbesili seahele ipiga na ukundonga fibi. Na kangi sindahihyo ahele ibihila pakuvanukila ukwakwe avanyalukolo na kangi akuvakanila vala aviwenda ukuvanukila avagenzi ahele akuvadaga vahume mulikanisa.
3JN.1.11	Munyawende vangu, ulonga wige imigendele imyaafu, pesi ulwa wigage iminofu. Yeyeavesaga ipiga inofu ye va Nguluvi, neke yeipiga uwaafu uyo sialamuwona Nguluvi.
3JN.1.12	Yeyeavesaga munu akumusumila Demetiliyo; ena, uwanachene wuwene wukumusumila. Nahwehwe kangi twilonga uwolelesi wetu kulumwene, nave we ukulukagula ukuta twilongela mumwene.
3JN.1.13	Pendinaso nzolofu isa ukukulongela, neke sindiwenda ukuvandikila mwikalatasi nu wino. 
3JN.1.14	Ndihuvye ukuvagendela ifilo fifi na ipo tutinasa pamwi na nyenye.
3JN.1.15	Ngukusukila uwikalakunoga. Vanyawiyendi vako vakukuhungila. Kamwene kwa vanyawiyendi vetu mbevali umunu na ilitawa lyakwe.
JUD.1.1	Nene Yuda, umukami va Yesu Kilisito, umunyalukolo va Yakobo, kwa nyenye avakemele na Nguluvi na nyenye ye Nguluvi udadetu akuvenda na ukulolelwa na Yesu Kilisito.
JUD.1.2	Ulusungu, uwikalakunoga na uwende wongelekelage kwa nyenye.
JUD.1.3	Nyevende, nditigana hilo, ukuvandikila nyenye ulwa uwupoki we tuhangite pamwi, mbwene lumbaje ukuvandikila na ukuvasukanisa muginage muwupifu ukwimila ulufuuwo lwe Nguluvi akavapelye avanu vakwe avelu sukumwi hela. 
JUD.1.4	Pakuva avangi vakinje kinyele avanu vala ve uluhuma pidaha vavikile uluhigilo ulu, avanu avagaya Nguluvi vevidulika uwuwuya wa Nguluvi vetu sambi vapige isa uwanangifu na ukumubihila Umutwa vetu, yeiyena Yesu Kilisito.
JUD.1.5	Ino ndiwenda ndiviwuse nyenye nambi we yemwemusipulike hilo, ukuta Umutwa yula yeavapokite avanu na uluhuma mung'i ya ku Misili, pambele avawulige vala vesivevafuuvitwi. 
JUD.1.6	Na vanyivaha vala vesivinatyi ikilega chawo, neke vahege pawikalo apepavanoje vapingitwe ni minyololo ulwa mbepali ku lwisa ulukomi, mbaka kukimunyi cha uluhigilo ulukomi, 
JUD.1.7	ndawe lwave ku Sodoma na ku Gomola, na mu boma isemwipi kwe avanyang'i vakwe vapigite isa uwanangifu, visopite mu sa uwugoni viva kiganiso cha ulupumo ulwa umoto gwa mbepali na mbepali.
JUD.1.8	Na ulo lweviwali kangi avanu iva mumaloto gawo gakuvatifusa imivili jawo, vibesa ululagi lwa Nguluvi na ukufiliga ifinyandolo. 
JUD.1.9	Nambi yi Mikaeli, Umunyivaha Umuvina, sapigiti ndahihyo. Mu lwitakilo na yula umwanangifu pevibesige vakwivala umuvili gwa Musa, siagesili ukulonga ulupumo ulutalamu kulumwene pesi ukutigila, “Umutwa yumwene akukenyele.” 
JUD.1.10	Neke avanu iva viligaga chechekivesaga chesivakikagwi na ifinu fila fyevakufikagula wesivakwiwusa viva nda lwefipigaga ifikanu ing'ani iso sikuvawulaga vavene! 
JUD.1.11	Vinalyo avanu iwo! Pakuva viva mumigendele ija Kayini, vakwitawula mwalulo sambi vakwave uwunono wa uwanangifu wa Balamu neke vafwile mu lubesa lwa Kola. 
JUD.1.12	Iga mambilila pemwilya ifilyo fyenyu pamwi, pakuva vilya chaka vanyalwiyendo; viva nda mafufu amagaya ululenga agisogoswa na ing'ala; vindawe imibiki imigaya maveleko pa mwesi umulagasa igifwilye ng'ani, imikuule; 
JUD.1.13	amavingo amatalamu ga inyanza agihumya ilifulo lya wuhonganyoni wawo viva nda ing'eng'esi isibumangilaga na uwutitu wa mbepali ye fuka yawo. 
JUD.1.14	Mwa isi nambi Enoki yeali mu mbegalo ya mufung'ati uluhuma kwa Adamu avilite itigila, “Lavage Umutwa aasile na avanyivaha vakwe avelu vesivahwaniti vavalilwe, 
JUD.1.15	avahige avanu mbevali ukuling'ana na ifipigo fyevapigite ifya uwanangifu ifisutine mung'asi ya Nguluvi na imbi sevalonzile isisutine na umwene.”
JUD.1.16	Avanu iva vakwilonganza mbepali na sivikwilagi na ifinu; vavisogoswa na uwudobokesi wawo, vanyalwitupyo, vanyakwiyendelesa ku vanu sambi vambule kinu.
JUD.1.17	Vanyawende ino luvavaje ukwiwuka, lwevavilite avanyigendo va Umutwa vetu Yesu Kilisito; 
JUD.1.18	Avene vavalonje ukuta, “Ifilo fya kumudugo, saveleluka avanu vanyalwelango avisogoswa na uwudobokesi wao.” 
JUD.1.19	Iwo ve vanu avakwambusaga ulwilekano; avanu avanyamahosa ga mung'i avagaya Umuhe va Nguluvi. 
JUD.1.20	Neke nyenye, vanyawende vangu, muginage ukuvina hilo mulufuuwo lwenyu ulwelu, mwifunyage muludali lwa Umuhe Umwelu, 
JUD.1.21	Nyenye, musigalage muwende wa Nguluvi; musindilage ulusungu lwa Umutwa Yesu Kilisito mbaka mupelwe uwumi wa mbepali.
JUD.1.22	Muvasukanisage vala avamwi avisina; 
JUD.1.23	muvapokage avamwi ndawe umunu yemukumuhesa uluhuma mumoto, ku vangi muvelage na ulusungu pamwi na ichoga, mwinyinyalage na gimyenda jawo imitifuse mu nzanangifu sawo isa umuvili.
JUD.1.24	Kulumwene yeahwana ukuvalolela mulongamugwe, na ukuvaleta nyenye mwivagaya wananzi mbaka pa indolo sakwe pamwi nu luhekelelo, 
JUD.1.25	kulumwene Nguluvi yeiyena, umupoki vetu ukukola kwa Yesu Kilisito Umutwa vetu, sivelage indolo, uwuvina, uwutema na ululagi, wesigilafika imisika mbegili na kulino na mbepali! Ena.
REV.1.1	Uwugubulwe Yesu Kilisito we Nguluvi amupeelye sambi avalagile avakami vakwe ing'ani isivaje ukuwoneka ulusika ululipipi, alekite lukagulanike pe amutumite umunyivaha vakwe amulongele Yohane, umukami vakwe, 
REV.1.2	nave olelye mbesili seasiwene. Na uwu we wolelesi wakwe uwa ulukani lwa Nguluvi na uwolelesi wa Yesu Kilisito na kwa sila mbesili se asiwene. 
REV.1.3	Mufunyilile umunu yula yeakwimba kwa liswi ing'ani isa uwuvisi, vafunyilile vala avanu vevipulikisa na ukwinatila inzandike umu, pakuva ulusika ulu yeluhegelye.
REV.1.4	Ye nene Yohane ngugandikila amakanisa agali ku lutanana lwa mu Asiya. Nguvasukila uwuwuya na uwikalakunoga ukuhuma kulumwene yeikwali, yeekwali na yula yeakusa; na ukuhuma ku myuhe avimufung'ati avali pa kigoda chakwe cha uwutwa, 
REV.1.5	na ukuhuma kwa Yesu Kilisito, umolelesi umuhuvilwa, uva ukutala ukusilibulwa uluhuma kuvafwe, na umwene ye mutema va avatwa va mung'i.
REV.1.5	Umwene atwenda, na kwa idanda yakwe atudindulye uluhuma mundinde isa inzanangifu setu, 
REV.1.6	swe akutuwuyapa hwehwe tuve wutwa, wutambisi kw Nguluvi, Udade, Kulumwene sivelage ndolo na uludali, mbepali na mbepali! Ena.
REV.1.7	Lavage! Akusila mumafufu! Yeyeavesaga munu saamuwona, mbevali vevamuhomite, Ing'olo mbesili isa avanu mung'i savamuvembela. Ena! Nachene.
REV.1.8	“Nene ye ndiva ukutala na ukudugilisa.” Ilonga Umutwa Nguluvi yekwali, yeeikwali na yeakusa ye umunyaludali mbeluli.
REV.1.9	Nene Yohane, ndimunyalukolo venyu, ye ndihanga pamwinga nanyenye yemukwikangasa muwutwa wakwe. Nene nde pa kigunguli ikitambulwa Patimo ndivalwa ukudalika ulukani lwa Nguluvi na uwanachene wa Yesu. 
REV.1.10	Wendisogoswa na Umuhe pa ikimunyi cha Umutwa, ndapulike umubumo mukomi kumbele kwa nene wita mubumo gwa ilipembe. 
REV.1.11	Nago gwatige, “Wandikage mukitabu mbesili seukusiwona, ukasindike ku makanisa iga agimufung'ati: Efeso, Similina, Peligamo, Tuwatila, Salide, Filadelifiya na Lawodikeya.”
REV.1.12	Ino, ndawe ndapitukige ndimulave uyo yealongige nanene, ndafiwene ifimikiso ifya itala ifimufung'ati ifiwuyapile isahabu, 
REV.1.13	na pagatinagati baho pepina kinu wita munu, nave alafwite isopeka naali na umusipi umuwuyapile isahabu mumambaga. 
REV.1.14	Umutwe na ifwili sakwe samalavadikige wita uwuhamba uwunofu, wita ikitungwi kinyawumela; amiho gakwe gamalavadikige wita moto, 
REV.1.15	amagulu gakwe gamalavadikige wita ichuma cha isaba imbuyape wunofu na ukusopwa mumoto na ukutelemesewa hilo, na iliswi lyakwe lye wita umubumo gwa ululenga ulukwitoosa. 
REV.1.16	Mwiwoko lyakwe ilya kundyo, eakolye ing'eng'esi isimufung'ati, na mumulomo gwakwe mwahumige ilimage ilinyawugi mbekuli mbekuli. Uwusu wakwe wamalavadikige wita ilisuva lyelivala.
REV.1.17	Ino, ndavelige ngumuwona hela ndagwe pamagulu gakwe siliike wita munu ye afwe. Neke umwene angelike iliwoko lyakwe lya kundyo swe itigila, “Ulava na muhwehwe! Nene ye uva ukutala na ukudugilisa. 
REV.1.18	Nene ye nene ye ndi mumi! Nde ndafwe, neke, lavage, lino ndimumi kitasila mbepali. Kangi ndinacho ikidindulilo cha Ifwa na cha Kuvafwe. 
REV.1.19	Sweno, lino wandike isi seukusiwona, ing'ani isiwoneka lino na sila isasiwoneka pambele. 
REV.1.20	Ikinyele cha ing'eng'esi sila isimufung'ati seusiwene mwiwoko lyangu lya kundyo, na ikinyele cha ifimikiso ifimufung'ati ifya isahabu ifya itala che iki: Sila ing'eng'esi isimufung'ati ve vanyivaha va amakanisa agimufung'ati, na fila ifimikiso ifimufung'ati ifya isahabu ifya itala ge amakanisa agimufung'ati.
REV.2.1	“Kwa munyivaha va likanisa lya ku Efeso wandikage de, ulu lwe lukani ukuhuma kulumwene yeakolye ing'eng'esi isi mufung'ati mwiwoko lyakwe lya kundyo, na yula ye igendaga pagatinagati pa ifimikiso ifimufung'ati ifya itala ifiwuyapile isahabu. 
REV.2.2	Ndisikagwe ing'ani sako wuwupifu wako na ulwikangaliso lwako. Ngulukagula ukuta siuhwaniti uvakangalile avanu avanangifu, na ukuta uvagelite vala avakwitigila ulwa vigendo na kumbi sindahihyo, swe uvakagwe ukuta iwo vadesi. 
REV.2.3	Veve wi munyamola, ukakangalye ulugudo ululipolofu ukwimila ilitawa lyangu, na siukadedi umutima. 
REV.2.4	Neke ndina lukani lumwi hela kwa veve, veve sipeunzenda kangi lino ndawe pamwandi. 
REV.2.5	Sweno, piwukage pala peuke wipwali peuke siulava ugwa, ukasileke inzanangifu sako, na ukupiga ndawe pala pamwandi. Pesi ndahihyo, ngusa kwa veve na ukukihesa ikimikiso cha itala yako pala pekipwali. 
REV.2.6	Neke ulwene ngukusumila kwa kinu kimwi: veve ukufivipila fyevipiga Vanikolayi
REV.2.7	“Yeina mapulikilo, sweno, apulikage sila se Umuhe akugalongela amakanisa!
REV.2.7	“Vala vevidwesa sandivapela uwukwilanifu wa ukulya amakowo ga umubiki gwa uwumi uguli mugati ya ikinyungu cha Nguluvi.
REV.2.8	“Kwa munyivaha va likanisa lya Simulina wandikage de:
REV.2.8	Ulu lwe lukani ukuhuma kulumwene uva ukutala na ukudugilisa, yula yeafwe na ukunana kangi. 
REV.2.9	Ndilukagwe ulugudo lwako; ndiwukagwe na uwumikaa wako, nambi ulwene nachene veve wimunono; ndigakagwe na maligo gevakakulisile vala avakwitigila Vayudaya neke ulwene si Vayudaya va nachene, pesi iwo lilugu lwakwe Setani. 
REV.2.10	Ulava na muhwehwe na ludodo kwa sila isikuvagila uluteseko. Lavage! Setani isaka ukuvagela ikola ukuvasopa avamwi venyu mudinde; nanye muguda kwa lusika lwa filo finyichumi. Muvelage vahuvilwa mbaka pemwifwa, nane sandivapela ingela ya uwumi.
REV.2.11	“Yeina amapulikilo, sweno, apulikage sila se Umuhe akugalongela amakanisa!
REV.2.11	“Vala vevidwesa sisavateseka na ifwa iya kavili.
REV.2.12	“Kwa munyivaha va likanisa lya ku Peligamo wandikage de:
REV.2.12	Ulu lwe lukani lwakwe yumwene yakolye ilimage ilinyawugi mbekuli mbekuli. 
REV.2.13	Ndikukagwe kwe wikwali; veve wikalite ku wikalo uwukomi wa Setani! Neke ukaali pewibatilila ilitawa lyangu; siulalubihila ulufuuwo lwako kwa nene mbaka mumisika gila je Andipa umolelesi vangu umuhuvilwa, peawulagilwe pala apono peakwilaga Setani. 
REV.2.14	Neke ndinaso ng'efu hela kwa veve; avamwi venyu mwivanyigendo va Balamu yeamufundite Balaki avagwilise avana va Isilaeli valye ifilyo ifitawule nambika ku fihwananguluvi na ukwingila muwugoni. 
REV.2.15	Lwindahihyo kangi, povali avangi mwanyenye avanu avakwinatila inzigiso isa Avanikolayi. 
REV.2.16	Sweno, silekage inzanangifu sako. Pesi ndahihyo, ngusila sinyava na ukwihoma ligalu na avanu iwo ndikola ilimage ilihuma mumulomo gwangu.
REV.2.17	“Yeina amapulikilo, sweno, apulikage sila se Umuhe akugalongela amakanisa!
REV.2.17	“Vala vevidwesa sandivapela yila imana
REV.2.18	“Kwa munyivaha va ku likanisa lya ku Tuwatila wandikage de:
REV.2.18	“Ulu lwe lukani lwa umwana va Nguluvi, ye amiho gakwe gamalavadike wita moto, na amagulu gakwe gimalavidika wita ichuma cha isaba ikiwuyapise wunofu. 
REV.2.19	Ndisikagwe ing'ani sako mbesili. Ndiwukagwe na uwende wako, ulufuuwo lwako, uwupisi wako na ulwikangaliso lwako. Veve wipiga wunofu hilo lino sindawe pamwandi. 
REV.2.20	Neke ndina lukani lumwi kwa veve; veve uhele ukumukangalila yula umung'inetu Yesebeli yeakwitigila muvisi va Nguluvi. Umwene akwigisa na ukuvayasa avakami vangu vapige uwugoni nave na ukulya ifitawule nambika ku fihwananguluvi. 
REV.2.21	Yendimupelye ikilega ahongese na ukupela inzanangifu sakwe, neke siiwenda ukwileka na uwugoni wakwe. 
REV.2.22	Lavage! Lino ngumutosa pawuhaga pala pe umwene pamwinga na mbevali avagonite nave vafikwa na ineseko inalamu. Ena, miga lulo wone valemwe ukuhongesa na ukupela ifipigo fyawo ifyaafu fyevapigite nave. 
REV.2.23	Kangi ndivawulaga avanyigendo vakwe, sambi amakanisa mbegali galukagule ukuta nene ye nene yendigosaga inumbula na amahosa ga avanu.
REV.2.24	“Neke nyenye mwevangi yemuli uko ku Tuwatila yesimukwiga inzigiso sakwe Yesebeli; na ye simukiyigisi kila chevakukitigila, ‘Ikinyele cha Setani.’ Nguvalongela ukuta sindivawila ikitegulo ikingi. 
REV.2.25	Luvavaje mwinatilage sila semwinaso lino mbaka pesanzusile.
REV.2.26+REV.2.27+REV.2.28	“Vevidwesa, na vala vevinatila mbaka ku mudugo vipiga sendiwenda, sandivapela ululagi ku vanu va ing'olo isingi, Ena, sandivapela uludali lulula lwendalwanuche kwa Dada; kwekutigila savasitema ing'olo vikola ulugoda lwa ichuma na ukusidenyanga wita ikinu ikigade na lilongo. Kangi sandivapela ing'eng'esi (inema wufuku)
REV.2.29	“Yeina amapulikilo, sweno, apulikage sila se Umuhe akugalongela amakanisa!
REV.3.1	“Kwa munyivaha va ku likanisa lya ku Salide wandike:
REV.3.1	Ulu lwe lukani ukuhuma kulumwene yeina myuhe igimufung'ati ja Nguluvi nasi ng'eng'esi isimufung'ati. Ndisikagwe ing'ani sako mbesili; ngulukagula ukuta wiwoneka nda wina wumi kumbi ufwe! 
REV.3.2	Lamuke! Kiginalisage uludali chechekivesaga ikinofu ikikusigalye nacho wesikilava kikukimbila ng'ani. Pakuva, kulino de, sindilafiwona ifipigo fyako ukuta yefikwilaniche pa Nguluvi vangu. 
REV.3.3	Wiwukage, lino, sila sewimwigise na lwewapulike, winatilage na ukupitula amahosa gako amafu. Wone ulemwe ukwikomalila ngusila kwa kutinukisa wita umuhiisi, na siukikagula ikivalilo chenzusila. 
REV.3.4	Neke povali vakefu uko ku Salide vesivalatifusa imyenda jawo. Iwo vevinoga tugendasage pamwinga nawo kono wevafwite imyenda imyelu pakuva vanoje.
REV.3.5	“Vala vevidwesa, savafwikwa imyenda imyelu ndawe vawo. Nane sinyesa amatawa gawo ukuhuma mukitabu cha uwumi. Kangi ndividikila ukuta iwo vangu pa Dada vangu na pa Vanyivaha vakwe.
REV.3.6	“Yeina amapulikilo, Sweno, apulikage sila umuhe se akugalongela amakanisa!
REV.3.7	“Kwa munyivaha va ku likanisa lya ku Filadelifiya wandikage de:
REV.3.7	Ulu lwe lukani uluhuma kulumwene ye mwelu na va nachene, yeakolye kila ikidindulilo cha Daudi, na yeidindulaga na sikwali umunu ye adinda yeahwana ukudinda na si kwali umunu ye adindula.
REV.3.8	Ndisikagwe ing'ani sako mbesili! Lino, ndindwe umulyango pawulongolo pa veve wesikwali umunu yeahwanite agudinde; ngulukagula ukuta nave wimugaya ludali lukomi, nambi ndahihyo, pewinatila indagilo sangu, ukuva na ichoga ku lukani lwangu na siukalibihyi ilitawa lyangu. 
REV.3.9	Lavagee! Ngusindikila veve ililugu lya avanu vakwe Setani, avanu vevakwitigila avene Vayudaya kumbi vadesi. Ena, ndivasindika kwa veve na ukuvawuyapa vakufugamile wewilava, sambi valukagule ukuta nachene ngwenda veve. 
REV.3.10	Pakuva veve yewinatye uwulagise wangu wukuva na ulwikangaliso, nane kangi ngulolela wunofu ulusika lula lwa ulugudo ulukusa mung'i mbesili ukuvagela mbevali avakwikala mung'i. 
REV.3.11	Ngusa na sinyava! Lolelage hilo, chewinacho lino, ulonga wanukwe na umunu yeyeavesaga ingela yako ya uludweso.
REV.3.12	“Vala vevidwesa ndivawuyapa vave kipanda mu Tembeli ya Nguluvi vangu, na sisavahuma umo nangi. Kangi nzandika mwavene ilitawa lya Nguluvi vangu, na ilitawa lya iboma ya Nguluvi vangu, i Yelusalemu imya, ye yiika ukuhuma kuchanya kwa Nguluvi vangu. Kangi nzandika mwavene ilitawa lyangu ilipya.
REV.3.13	“Yeina amapulikilo, sweno apulikage sila Umuhe se akugalongela amakanisa!
REV.3.14	“Kwa munyivaha va ku likanisa lya ku Lawodikeya wandikage de: Ulu lwe lukani ukuhuma kulumwene yeitambulwagwa, ‘Ena.’ Umwene ye molelesi umuhuvilwa na uva nachene, yemwene yekilamuko cha ifigawa mbefili fyeagafile Nguluvi. 
REV.3.15	Ndisikagwe isako mbesili! Ngulukagula ukuta veve si mufu kwa ulubali lwa ikinyamuhe nambi wimugaya uwuvafi ukwimila isa ikinyamuhe. Ikiba uke uvelage ulilubali ulumwi mwa siso. 
REV.3.16	Sweno, pakuva veve wipagatinagati hela nene lino ngutaga kutaali! 
REV.3.17	Veve ukwitigila, ‘Nene ndi munono; sinditoka kinu, sindiguluma kinu chechekivesaga.’ Kumbi, veve siukulukagula ukuta veve wi muhomefu, widedeva lusungu hela, wimumikaa, wimubofu kangi uliwufuula! 
REV.3.18	Ngukuyisa ugulage kwa nene isahabu iyikwete mumoto peyiwuyapiswa wunofu sambi uve munono nachene. Kangi ikiba ugulage isopeka inzelu, ufwale na ukugubika inyoni sa uwufuula wako. Gulage kangi amafuta wibake pamiho sambi ulave wunofu. 
REV.3.19	Nene yendikenyelaga na ukumupumya yeyeavesaga yendimwenda. Ukukola lulo kangasage umutima, silekage inzanangifu sako. 
REV.3.20	Lavage! Nene nzimile pamulyango ndikong'ona. Umunu wone apulike iliswi lyangu na ukudindula umulyango, nzingila mukaye yakwe na ukulya ikilyo pamwinga nave, nave alya pamwinga na nene.
REV.3.21	“Vala vevadwesa ndivakong'omeka pamwi nanene pa kigoda changu cha uwutwa, ndawe yinene lwendadwesise swe ndikong'omala pamwi na Dada vangu pa kigoda chakwe cha uwutwa.
REV.3.22	“Yeina amapulikilo, sweno apulikage sila Umuhe se akugalongela amakanisa!”
REV.4.1	Pesilutye iso ndalafile, ndaguwene umulyango mudindule kuchanya. Na iliswi lya gula umubumo gwendemulike pamwandi gwe nda mubumo gwa ilipembe, gwatige, “Wusage ipa pachanya nane ngulagila ing'ani sesiwoneka pambele.” 
REV.4.2	Ndawe lulusika lulo ndasogoswige na Umuhe. Kumbi uko kuchanya kokili ikigoda cha uwutwa na pachanya baho akong'ome uyumwi. 
REV.4.3	Uyo yealakong'ome pachanya amalavadikige hilo na ilikingambogo lyakipilimige kila ikigoda cha uwutwa imbali mbesili. 
REV.4.4	Fyefigombile ifigoda machumi gavili na fitayi fikipilime kila ikigoda cha uwutwa, na baho pachanya pa ifigoda fifyo, avavaha machumi gavili na vatayi vevakong'ome we vafwite imyenda myelu na ingela imbuyapile isahabu mumitwe. 
REV.4.5	Ilimemi na umubumo gwa limadadama, fyahumige mukigoda kicho cha uwutwa. Itala isimufung'ati isa umoto saakige baho pakigoda cha uwutwa. Itala iso je myuhe igimufung'ati ja Nguluvi. 
REV.4.6	Pawulongolo pa ikigoda cha uwutwa chepokili kinu wita nyanza iya ikilole, chekilangala wita wanda liganga lyelimalavadika pakomi.
REV.4.6	Mumbali mbesili sa icho ikigoda cha uwutwa na ukukipilima, pepofili ifigawa ifinyawumi fitayi. Ifigawa ifyo fyefimemile amiho kuwutalo na kumbele. 
REV.4.7	Ikigawa icha ukutala chekindawe inyalupala, na icha kavili chekindawe isenga, cha wudatu chekina ulwihwano wita lwa umunu, na icha wutayi che wita imbungu iyiguluka. 
REV.4.8	Ifigawa ifyo ifinyawunu ifitayi fyefina amapiko gimutanda chechekivesaga, na fyefimemile amiho, mugati na mwivala. Pamunyi na pakilo, wesifisuupa ukwimbaga:
REV.4.8	“Mwelu, Mwelu, Mwelu
REV.4.8	Ye Mutwa, Nguluvi Munyaludali,
REV.4.8	yeekwali, yeikwali na yeakusa!”
REV.4.9	Peluvesaga lusika ifigawa ifitayi pefimbige inzimbo isa ukumupela indolo, ichoga na ululumbo uyo yeakong'ome mukigoda cha uwutwa, yeainanaga kitasila, 
REV.4.10	vala avavaha machumi gavili na vatayi, vakwitosa pasi pa uyo yeakong'ome pa kigoda cha uwutwa na ukumusunyalila uyo yeinanaga mbepali na mbepali na ukusitoosaga ingela sawo pa ikigoda cha uwutwa wevitigila:
REV.4.11	“Lukuvaje veve uve wi Mutwa na Nguluvi vetu,
REV.4.11	wanukile indolo na ichoga na uludali
REV.4.11	pakuva wagafile ifinu mbefili
REV.4.11	na ukwimila uwende wako fyagafilwe na ukuwoneka.”
REV.5.1	Ndawe ndakiwonige ikitabu mwiwoko lya kundyo lya uyo yeakong'ome mukigoda cha uwutwa; nacho chechandike mugati na mwivala na ukuvikwa indoni simufung'ati. 
REV.5.2	Kangi ndamuwene umunyivaha munyaludali ilaalika atigine: “Ngali yenani yeahwana iso indoni na ukukidindula icho ikitabu?” 
REV.5.3	Neke sawoniki umunu yeyeavesaga kuchanya, nambi mung'i, nambi pasi kuvafwe, yeahwanite ukukidindula icho ikitabu nave ukukilava mugati. 
REV.5.4	Sweno, nene ndavefile hilo pakuva sawoniki umunu yeahwanite ukukidindula, nambi ukukilava mugati. 
REV.5.5	Ndawe uyumwi va vala avavaha swe akunigila, “Ulavemba! Lavage! Inyalupala ya ulukolo lwa Yuda, umwisukulu va Daudi adwesise. Sambi ahwana ukuhesa indoni iso isimufung'ati na ukukidindula icho ikitabu.”
REV.5.6	Pala pagatinagati pa kigoda cha uwutwa fila ifigawa ifinyawumi ifitayi, na vala avavaha ndayiwene mwana ng'olo yimite wita ndumule. Eina membe simufung'ati na amiho gimufung'ati ijo je myuhe igimufung'ati ja Nguluvi jeje misindike kukwekuvesaga mung'i, 
REV.5.7	ahele swe itegula ikitabu ukuhuma mwiwoko lya kundyo lya yula yealakong'ome mukigoda cha uwutwa. 
