GEN.1.1	Hasieran, Jainkoak zeru-lurrak egin zituen
1CO.9.15	Baina nik ez dut eskubide horretaz baliatu nahi izan; eta orain ere, hau idazten badizuet, ez da hori lortu nahi dudalako. Nahiago nuke hil… Ez, ez dit inork harrotzeko bide hori kenduko. 
1CO.9.16	Egiaz, berri ona hots egiten dudala-eta ezin naiz harrotu; ezinbesteko eginbehartzat jotzen baitut hori, eta errukarria ni, berri ona hots egingo ez banu!
1CO.9.17	Hori neure gogoz egingo banu, mereziko nuke saria; baina nik nahi gabe beste batek ezarritako eginkizuna
1CO.9.18	zer sari zor zait orduan? Hauxe besterik ez: berri ona dohainik hots egitea, berri onaren zerbitzutik datozkidan eskubideez baliatu gabe.
1CO.9.19	Guztiz libre naizen arren, guztien esklabo egin naiz, ahalik jende gehien Kristorentzat irabazteko.
1CO.9.20	Juduekin judu
1CO.9.21	Moisesen legea ezagutzen ez dutenekin, legea kontuan hartu gabe bizi izan naiz, legea ezagutzen ez dutenak irabazteko; ez, noski, Jainkoaren legerik onartzen ez dudalako, nire legea Kristo baita. 
1CO.9.22	Ahul direnekin ahul
1CO.9.23	Eta guztia berri onagatik egiten dut, berri on horretan neuk ere parte izan dezadan.
1CO.9.24	Denok dakizue kiroldegian partaide guztiek egiten dutela lasterka, baina saria batek bakarrik jasotzen duela. Beraz, egizue lasterka, irabazteko eran.
1CO.9.25	Atletek diziplina
1CO.9.26	Ni ere hala aritzen naiz; ez lasterka itsu-itsuan egiten duena edo ukabilkadak hutsean jotzen dituen borrokalaria bezala; 
1CO.9.27	baizik eta neure gorputza hezi
1CO.10.1	Senideok, jakin behar duzue, gure arbasoak denak egon zirela hodeiaren babespean eta denek igaro zutela Itsaso Gorria.
1CO.10.2	Denek hartu zuten bataioa hodeian eta itsasoan, Moisesekin bat egiteko. 
1CO.10.3	Denek jan zuten espirituzko janari
1CO.10.4	eta denek edan espirituzko edari bera; izan ere, beraiekin zihoan espirituzko harkaitzetik edaten zuten, eta harkaitz hori Kristoren irudi da
1CO.10.5	Hala ere, haietako gehienak ez ziren Jainkoaren gogoko izan, eta hilik gelditu ziren basamortuan.
1CO.10.6	Hau guztia guretzat ikasbide
1CO.10.7	Ez zaiteztela sasijainkozale izan, haietako batzuk bezala. Honela dio Liburu Santuak:
1CO.10.8	Ez dezagun haragikeriara jo, haietako batzuek bezala, eta egun bakar batean hogeita hiru mila
1CO.10.9	Ez dezagun tenta Jauna, haietako batzuek egin zuten bezala, eta sugeek zizta eginda hil ziren.
1CO.10.10	Ez zaiteztela marmarrean ari ere, haietako batzuk ari izan ziren bezala, gero aingeru suntsitzailearen esku hil zirelarik.
1CO.10.11	Haiei gertaturiko gauza horiek ikasbide dira guretzat, eta gure eskarmenturako idatzi zituzten, azkenak diren garai hauetan bizi garenok zentzarazteko.
1CO.10.12	Beraz, zutik dagoela uste duenak egin beza kontu eror ez dadin.
1CO.10.13	Ez zaizue gainera etorri giza indarrez gainditu ezin ahalako tentaldirik; leiala da Jainkoa, eta ez du utziko zeuen indarrez gaindiko tentaldirik izan dezazuen. Aitzitik, tentaldiarekin batera indarra ere emango dizue, tentaldia garaitu ahal izateko.
1CO.10.14	Ene maiteok, ihes egiozue, beraz, idolatriari.
1CO.10.15	Pertsona zentzudunei bezala mintzo natzaizue; juzgatu zeuek diodana. 
1CO.10.16	Jainkoa bedeinkatuz hartzen dugun esker oneko kopak, ez al gaitu Kristorekin bat egiten beronen odolean? Eta zatitzen dugun ogiak, ez al gaitu Kristorekin bat egiten beronen gorputzean?
1CO.10.17	Ogia bat denez, denok gorputz bat
1CO.10.18	Begira Israel herrian gertatzen denari: opariak jaten dituztenek ez al dute bat egiten aldarearekin?
1CO.10.19	Honekin ez dizuet esan nahi sasijainkoei egindako opariek baliorik dutenik, edo sasijainkoa zerbait denik.
1CO.10.20	Ez, noski! Deabruei eskaintzen zaizkie opari horiek, ez Jainkoari. Eta nik ez dut nahi zuek deabruarekin bat egiterik.
1CO.10.21	Ezin duzue edan Jaunaren kopatik eta deabruenetik. Ezin duzue parte izan Jaunaren mahaian eta deabruenean.
1CO.10.22	Edo sutu egin nahi ote dugu Jainkoaren haserrea
1CO.10.23	«Dena zilegi da»; bai, baina ez da dena komenigarri
1CO.10.24	Ez bedi inor bere buruaren onaren bila ibil, besterenaren bila baizik.
1CO.10.25	Jan azokan saltzen den guztitik, kontzientzi arazorik sortu gabe, 
1CO.10.27	Jentil batek gonbidatzen bazaituzte eta zuek gonbita onartu, jan mahaira ateratzen dizuen guztitik, kontzientzi arazorik egin gabe.
1CO.10.28	Baina norbaitek «Sasijainkoei eskainitako haragia da hori» esaten badizue, ez jan, oharra egin dizunari eta kontzientziari zor diezun errespetuagatik.
1CO.10.29	Ez dut zure kontzientziagatik esan nahi, bestearenagatik baizik. Eta zergatik mugatu behar du besteren kontzientziak nire askatasuna? 
1CO.10.30	Jatordua Jainkoari eskerrak emanez egiten badut, zergatik gaitzetsi behar naute Jainkoari eskerrak emanez
1CO.10.31	Nolanahi ere, nahiz jan, nahiz edan, nahiz beste edozer egin, egizue dena Jainkoaren aintzarako.
1CO.10.32	Eta ez izan erorbide
1CO.10.33	Ni ere guztiei atsegin ematen saiatzen naiz gauza guztietan eta ez dut bilatzen neure ona, besteena baizik, salba daitezen.
1CO.11.1	Egin zaitezte nire antzeko, ni Kristoren antzeko naizen bezala.
1CO.11.2	Zorionak zuei, beti gogoan bainauzue eta nik emandako irakaspenak zintzo gordetzen baitituzue. 
1CO.11.3	Baina nahi nuke zuek jakitea, gizon ororen buru Kristo
1CO.11.4	Burua estalirik duela otoitz egiten edo profeta bezala hitz egiten duen gizonak desohoratu egiten du bere buru duen Kristo. 
1CO.11.5	Eta buru hutsik otoitz egiten edo profeta bezala hitz egiten duen emakumeak desohoratu egiten du bere buru duen gizona; kaskamotz egotea bezala izango litzateke hori. 
1CO.11.6	Beraz, burua estali nahi ez badu, moztu dezala erabat ilea. Baina emakumeari ilea erabat mozturik edo kaskamotz egotea lotsagarri bazaio, estal dezala burua.
1CO.11.7	Gizonak, bada, ez du estali behar burua, Jainkoaren irudi eta berorren aintzaren isla baita; emakumea, berriz, gizonaren aintzaren isla da,
1CO.11.8	ez baitator gizona emakumeagandik, emakumea gizonarengandik
1CO.11.9	eta ez zen gizona egin emakumeagatik, emakumea gizonarengatik
1CO.11.10	Horregatik eta aingeruenganako begiruneagatik, emakumeak mendetasunaren ezaugarria
1CO.11.11	Hala ere, kristau-ikuspegitik, ez da emakumerik gizasemerik gabe, ezta gizasemerik ere emakumerik gabe. 
1CO.11.12	Izan ere, emakumea gizasemeagandik sortu bazen, gizasemea emakumeagandik jaiotzen da, eta gauza guztiak Jainkoarengandik datoz.
1CO.11.13	Juzga ezazue zeuek: ongi al dago emakumeak Jainkoari buru hutsik otoitz egitea? 
1CO.11.14	Ez al dizue naturak berak erakusten gizasemearentzat lotsagarri dela ilea luze eramatea, 
1CO.11.15	emakumearentzat ohoragarri den bezala? Izan ere, ile luzea buruko estalkitzat eman zion Jainkoak emakumeari. 
1CO.11.16	Halaz guztiz, norbaitek eztabaidaka hasi nahi balu, jakin beza guk ez dugula horrelako ohiturarik eta Jainkoaren eliz elkarteek ere ez.
1CO.11.17	Oharpen hauek egiten dizkizuedalarik, ezin ditut ontzat eman zuen batzarrak, on baino kalte handiagoa egiten baitizuete. 
1CO.11.18	Hasteko, zuen elkarte-otorduetan zatikatuak
1CO.11.19	izan ere, beharrezko da zuen artean alderdikeriak izatea, benetako kristauak zeintzuk diren hobeki ager dadin.
1CO.11.20	Zeuen elkarte-otorduetarako biltzen zaretenean, egiten duzuena ez da Jaunaren afaria, 
1CO.11.21	nor bere afaria jaten hasten baita; horrela, bata goseak gelditzen den bitartean, bestea mozkortu egiten da. 
1CO.11.22	Ez ote dituzue zeuen etxeak jateko eta edateko? Ala gutxietsi egin nahi duzue Jainkoaren eliz elkartea eta lotsarazi ezer ez dutenak? Zer esan diezazueket? Zorionak eman? Gai honetan ezin dizuet zorionik eman.
1CO.11.23	Jaunarengandik hartu nuen nik, neure aldetik zuei eskualdatu dizuedan hau: Jesus Jaunak, saldu zuten gauean, ogia hartu zuela
1CO.11.24	eta, esker oneko otoitza egin ondoren, zatitu eta esan zuela: «Hau nire gorputza da, zuentzat ematen dena. Egizue hau nire oroigarri». 
1CO.11.25	Berdin egin zuen koparekin afal ondoan, esanez: «Kopa hau itun berria
1CO.11.26	Beraz, ogi honetatik jaten eta kopa honetatik edaten duzuen bakoitzean, Jaunaren heriotza iragartzen duzue, bera etorri arte.
1CO.11.27	Horregatik, behar ez bezala Jaunaren ogia jaten eta kopatik edaten duena errudun bihurtzen
1CO.11.28	Azter beza, bada, nork bere burua
1CO.11.29	zeren Jaunaren gorputza dela kontuan izan gabe
1CO.11.30	Horrexegatik dago zuen artean hainbeste ahul eta gaixo, eta franko hil ere egiten da. 
1CO.11.31	Geure buruak arretaz aztertuko bagenitu, Jaunak ez gintuzke gaitzetsiko. 
1CO.11.32	Dena den, Jaunak, zigortzean, zentzarazi egiten gaitu, munduarekin batera gaitzetsiak gerta ez gaitezen.
1CO.11.33	Beraz, senideok, zeuen elkarte-otorduak egiteko biltzen zaretenean, itxaron elkarri. 
1CO.11.34	Norbait gose bada, jan dezala bere etxean, zuen batzarrak gaitzesgarri gerta ez daitezen. Gainerako gauzak, joango naizenean konponduko ditut.
1CO.12.1	Senideok, Espirituaren dohainei
1CO.12.2	Badakizue, oraindik jentil zinetenean, sasijainko mutuetara jotzen zenutela itsu-itsuan.
1CO.12.3	Horregatik jakinarazten dizuet, inork ere ez duela esaten «Madarikatua Jesus» Jainkoaren Espirituak eraginda; eta inork ezin duela esan «Jesus da Jauna» Espiritu Santuak eraginik ez bada.
1CO.12.4	Era askotakoak dira dohainak
1CO.12.5	era askotakoak zerbitzuak
1CO.12.6	era askotakoak egintzak, baina Jainkoa bat bakarra, guztiei egintza guztietara eragiten diena.
1CO.12.7	Era ezberdinean azaltzen da bakoitzarengan Jainkoak ematen duen Espiritua, baina beti denen onerako.
1CO.12.8	Honela, bati jakinduriaz hitz egitea ematen dio Jainkoak Espirituaren bidez; beste bati, Espiritu beraren arabera, ezagueraz hitz egitea; 
1CO.12.9	bati, Espirituaren egitez, sinesmen-dohaina ematen dio; beste bati, sendaketak egiteko dohaina; 
1CO.12.10	bati, mirariak egiteko ahalmena; beste bati, Jainkoaren izenean hitz egitea; bati, espiritu faltsua eta benetakoa bereiztea; besteari, hizketa arrotzez mintzatzea
1CO.12.11	Hori guztia, ordea, Espiritu bat berak egiten du, bere dohainak nahi duen bezala bakoitzari emanez.
1CO.12.12	Gorputzak, bat izan arren, atal asko ditu, baina atal guztiek, asko izan arren, gorputz bat
1CO.12.13	Gu guztiok, judu nahiz jentil, esklabo nahiz libre, Espiritu bat beraz izan gara bataiatuak, gorputz bat bakarra egiteko, eta guztioi Espiritu bat bera isuri zaigu
1CO.12.14	Gorputza, izan ere, ez du atal bakarrak osatzen, askok baizik. 
1CO.12.15	Oinak «Eskua ez naizenez gero, ez naiz gorputzarena» esango balu, ez lioke horregatik gorputzarena izateari utziko. 
1CO.12.16	Eta belarriak «Begia ez naizenez gero, ez naiz gorputzarena» esango balu, ez lioke horregatik gorputzarena izateari utziko. 
1CO.12.17	Gorputz guztia begi balitz, non entzumena? Eta dena belarri balitz, non usaimena? 
1CO.12.18	Baina Jainkoak bere tokia jarri zion atal bakoitzari gorputzean, berak nahi bezala. 
1CO.12.19	Denak atal bat balira, zer-nolakoa izango litzateke gorputz hori? 
1CO.12.20	Baina ez, atalak asko dira; gorputza, ordea, bat bakarra. 
1CO.12.21	Begiak ez diezaioke eskuari esan: «Ez dut zure beharrik»; ezta buruak ere oinei: «Ez dut zuen beharrik». 
1CO.12.22	Aitzitik, makalenak iruditzen zaizkigun gorputz-atalak beharrezkoenak dira; 
1CO.12.23	eta duintasunik gutxieneko iruditzen zaizkigunak, itzal eta begirune handienaz inguratzen eta zaintzen ditugu. 
1CO.12.24	Izan ere, berez ohoragarri direnek ez dute arreta horien beharrik. Jainkoak berak, gorputza eratzean, berez ohore gabeko ziren atalei ohorerik handiena eman zien. 
1CO.12.25	Horrela, gorputzean zatiketarik ez dago eta atal guztiak bata besteaz arduratzen dira. 
1CO.12.26	Honela, atal batek min duenean, min dute atal guztiek berarekin; eta atal bat onetsia denean, poza dute beste guztiek berarekin.
1CO.12.27	Zuek Kristoren gorputz zarete, eta zuetako bakoitza gorputz horren atal.
1CO.12.28	Eliz elkartean bakoitzari bere tokia ezarri dio Jainkoak: lehenengo apostoluak, bigarren profetak, hirugarren irakasleak; ondoren, mirarigileak datoz; gero, sendatzeko edo behartsuei laguntzeko, elkartea gidatzeko edo hizketa arrotzez mintzatzeko dohaina dutenak.
1CO.12.29	Guztiak apostolu ote dira? Guztiak profeta? Guztiak irakasle? Guztiak mirarigile? 
1CO.12.30	Guztiek ote dute sendatzeko dohaina? Guztiak mintzo ote dira hizketa arrotzez? Guztiak ote dira hizketa arrotzen interpretatzaile? 
1CO.12.31	Dena dela, irrika itzazue dohainik onenak.
1CO.12.31	Orain biderik bikainena adierazi nahi dizuet.
1CO.13.1	Nahiz eta gizakien eta aingeruen hizkuntzez hitz egin, maitasunik ez badut, brontze soinulari eta ezkila tintinlari besterik ez naiz. 
1CO.13.2	Nahiz eta profezi dohaina izan, nahiz eta misterio guztiak eta munduko jakintza guztiak ezagutu eta mendiak lekuz aldatzeko adinako sinesmena
1CO.13.3	Dudan guztia behartsuen artean banatu eta neure gorputza erretzeraino emanik ere
1CO.13.4	Maitasuna eraman onekoa
1CO.13.4	eta bihozbera da;
1CO.13.4	ez du bekaizkeriarik,
1CO.13.4	ez handiusterik, ez harropuzkeriarik.
1CO.13.5	Ez da lotsagabea, ez berekoia,
1CO.13.5	ez haserrekorra;
1CO.13.5	kaltea ez du gogoan hartzen.
1CO.13.6	Ez da bidegabekeriaz pozten,
1CO.13.6	baizik eta egian pozten da.
1CO.13.7	Maitasunak dena barkatzen du,
1CO.13.7	dena sinesten, dena itxaroten,
1CO.13.7	dena ongi eramaten.
1CO.13.8	Maitasuna ez da behin ere itzaltzen.
1CO.13.8	Profezi dohaina
1CO.13.8	desagertu egingo da,
1CO.13.8	hizketa arrotzez mintzatzea
1CO.13.8	amaituko,
1CO.13.8	ezaguera ere amaituko.
1CO.13.9	Erdizkakoa baita orain
1CO.13.9	gure ezaguera,
1CO.13.9	erdizkakoa gure profezia;
1CO.13.10	eta, bete-betekoa iristean,
1CO.13.10	desagertu egingo da erdizkakoa.
1CO.13.11	Haur nintzenean,
1CO.13.11	haur bezala mintzo nintzen,
1CO.13.11	haur bezala sentitzen nuen,
1CO.13.11	haur bezala juzgatzen.
1CO.13.11	Gizon egin naizenean,
1CO.13.11	utzi egin ditut haur-gauzak.
1CO.13.12	Orain dena ilun ikusten
1CO.13.12	ispiluan bezala;
1CO.13.12	gero aurrez aurre ikusiko dugu;
1CO.13.12	orain erdizka ezagutzen dut;
1CO.13.12	gero oso-osoan ezagutuko dut dena,
1CO.13.12	Jainkoak neu
1CO.13.12	ezagutzen nauen bezala.
1CO.13.13	Hiru gauza ditugu oraindanik,
1CO.13.13	iraunkor direnak: sinesmena,
1CO.13.13	itxaropena eta maitasuna;
1CO.13.13	baina hiruretan handiena
1CO.13.13	maitasuna da.
1CO.14.1	Saia zaitezte, beraz, elkarrenganako maitasunean. Espirituaren dohainei dagokienez, irrika ezazue batez ere profezi dohaina
1CO.14.2	Izan ere, hizketa arrotzez mintzo dena, Jainkoari mintzo zaio, ez gizakiei, inork ez baitio ulertzen: Espirituak eraginda, gauza misteriotsuak esaten ditu. 
1CO.14.3	Profeta bezala mintzo dena, berriz, gizakiei mintzo zaie: fedean hazten laguntzen die, adoretu eta kontsolatu egiten ditu.
1CO.14.4	Hizketa arrotzez mintzo dena, bere buruari bakarrik zaio lagungarri; profeta bezala mintzo denak, berriz, eliz elkartea hazarazten du. 
1CO.14.5	Nahi nuke zuek guztiok hizketa arrotzez mintzatzea; baina are nahiago profeta bezala mintzatzea. Zeren, eliz elkartea hazarazteko, hobe baita profeta bezala mintzatzea
1CO.14.6	Begira, senideok: hizketa arrotzez hitz eginez aurkeztuko banintzaizue, zer on ekarriko lizueke horrek, nire hitzak ez balizue emango agerpenik, ez ezaguerarik, ez Jainkoarengandiko mezurik, ezta irakaspenik ere? 
1CO.14.7	Gauza bera gertatzen da musika-tresnekin ere, txirula edota zitararekin, adibidez: notak argi eta garbi ematen ez badituzte, nola jakin zer jotzen duten? 
1CO.14.8	Edota turutak soinu nahasia jotzen badu, nor prestatuko da gudurako? 
1CO.14.9	Berdin zuek ere: hitz ulergarriak ez badituzue adierazten, nola jakin zer ari zareten esaten? Paretari hitz egiten ariko zinatekete.
1CO.14.10	Hainbeste eta hainbeste hizkuntza bada munduan eta denek dute zentzua. 
1CO.14.11	Baina nik ez dakidan hizkuntzan mintzatzen bazait norbait, ni arrotz izango natzaio hari eta hura niri. 
1CO.14.12	Horrela bada, Espirituaren dohainak irrikatzen dituzuenez gero, saia zaitezte dohainok ugari izaten, baina eliz elkarteari hazten laguntzeko. 
1CO.14.13	Hizketa arrotzez mintzo denak, beraz, eska biezaio Jainkoari esaten duena argitzeko dohaina ere.
1CO.14.14	Hizketa arrotzez otoitz egiten badut, nire espiritua otoitzean ari da, bai, baina adimena fruiturik gabe gelditzen da. 
1CO.14.15	Zer egin, bada? Espirituaren eraginez
1CO.14.16	Esker oneko otoitza Espirituaren eraginez bakarrik egiten baduzu, dohain hori ez duen entzule hutsak
1CO.14.17	Ederra izango da, bai, zure esker oneko otoitza, baina besteari ez zaio lagungarri gertatuko. 
1CO.14.18	Eskerrak ematen dizkiot Jainkoari, hizketa arrotzez zuek baino gehiago mintza naitekeelako. 
1CO.14.19	Hala ere, elkartea bildurik dagoenean, nahiago dut besteentzat irakasgarri izango diren bost hitz ulergarri esan, hizkera ulertezinean hamar mila baino.
1CO.14.20	Senideok, ez izan haurren antzeko zeuen irizpideetan; gaitzerako bai, izan zaitezte haur; baina irizpideetan izan zaitezte pertsona helduak.
1CO.14.21	Honela dio Jaunak Liburu Santuan
1CO.14.22	Hizketa arrotzez mintzatzea, beraz, sinesgogorrentzat da seinale, ez sinestedunentzat; profeta bezala hitz egitea, berriz, ez da sinesgogorrentzat, sinestedunentzat baizik. 
1CO.14.23	Eman dezagun, eliz elkarte osoa bildurik dagoela eta denak hizketa arrotzez mintzatzen hasten direla; entzule huts den edo kristau ez den bat sartzen bada, ez ote du esango burutik eginak zaudetela
1CO.14.24	Guztiak profeta bezala mintzo badira, ordea, eta entzule huts den edota kristau ez den bat sartzen bada, bere erruak aitortzera eramango dute denen artean, 
1CO.14.25	eta beraren bihotzeko ezkutukoak agerian geldituko dira. Orduan, ahuspeztu eta Jainkoa gurtu egingo du, eta esango: «Jainkoa benetan zuekin dago».
1CO.14.26	Zer egin, bada, senideok? Biltzen zaretenean, batek kantua egin dezala, besteak irakatsi edota goi-agerpen bat eman, hizketa arrotzez mintzatu edota mintzaira hori argitu; baina guztia elkarteari hazten laguntzeko izan dadila.
1CO.14.27	Hizketa arrotzez mintzatzekotan, bi izan daitezela edo hiru gehienez mintzo direnak, eta txandaka; eta argi dezala beste batek esanahia. 
1CO.14.28	Esanahia argitzeko inor ez bada, hizketa arroztuna isil dadila batzarrean, eta Jainkoarekin eta bere buruarekin bakarrik mintza dadila.
1CO.14.29	Profeta bezala mintzo direnei dagokienez, mintza daitezela bi edo hiru, eta gainerakoek eman dezatela beren iritzia.
1CO.14.30	Hala ere, eseria dagoenen batek goi-agerpen bat hartuko balu, isil dadila hitz egiten ari dena. 
1CO.14.31	Profeta bezala denok hitz egin dezakezue, baina banan-banan, entzuleek irakaspena eta adorea har ditzaten. 
1CO.14.32	Profetek beren kontrolpean eduki behar dute profezi espiritua, 
1CO.14.33	Jainkoak bakea
1CO.14.33	Fededunen elkarte guztietan bezala, 
1CO.14.34	emakumeei ez zaie zilegi batzarrean hitz egitea; beude isilik, beraz, eta ager bitez menpeko
1CO.14.35	Argibiderik nahi balute, galde biezaiete etxean beren senarrei, ez baita egoki emakumeek batzarrean hitz egitea.
1CO.14.36	Zer uste duzue? Zuenetik abiatu zela Jainkoaren hitza? Edota zuenera bakarrik heldu dela? 
1CO.14.37	Norbaitek profeta dela edo Jainkoaren Espiritua duela uste badu, aitor dezala idazten dudan hau Jaunaren agindua
1CO.14.38	Eta hala aitortzen ez badu, bera ere ez du aitortuko Jainkoak
1CO.14.39	Beraz, ene senideok, irrika ezazue profezi dohaina, baina hizketa arrotzez mintzatzea galarazi gabe. 
1CO.14.40	Dena den, egin guztia duintasunez eta ordenaz.
1CO.15.1	Senideok, irakatsi nizuen berri ona oroitarazten dizuet. Zuek onartu egin zenuten, hartan sendo oinarrituak zaudete 
1CO.15.2	eta salbatu ere harexek salbatzen zaituzte, nik iragarri nizuen bezala eusten badiozue. Bestela, alferrik sinetsiko zenuten. 
1CO.15.3	Neuk hartu nuena bera eskualdatu nizuen lehen-lehenik, hau da: Kristo gure bekatuengatik hil
1CO.15.4	hobiratu egin zutela eta hirugarren egunean piztu egin zela, Liburu Santuek esan bezala;
1CO.15.5	Pedrori
1CO.15.6	gero, bostehun eta gehiago senideri agertu zitzaien batera; haietatik gehienak bizirik daude oraindik, batzuk hil badira ere; 
1CO.15.7	gero, Santiagori agertu zitzaion, ondoren apostolu guztiei.
1CO.15.8	Beste guztiei agertu ondoren, neuri ere agertu zitzaidan, garaiz kanpo jaiotako haurra
1CO.15.9	izan ere, apostoluetan txikiena naiz ni, apostolu izenik ere merezi ez duena, Jainkoaren Eliza pertsegitu bainuen.
1CO.15.10	Baina Jainkoak bere onginahiaz egin nau naizen hau, eta haren onginahia ez da fruiturik gabea izan niregan: beste apostolu guztiek baino lan gehiago egin dut, izan ere; ez, noski, nik, baizik eta Jainkoak nirekin bere onginahiaz.
1CO.15.11	Dena dela, bai haiek eta bai nik, horixe da hots egiten dugun mezua, eta horixe zuek sinetsi duzuena.
1CO.15.12	Kristo hildakoen artetik piztua dela hots egiten bada, nola esaten dute zuetako batzuek hilak ez direla pizten? 
1CO.15.13	Hilak pizten ez badira, Kristo ere ez dago pizturik. 
1CO.15.14	Eta Kristo pizturik ez badago, funtsik gabea da gure predikua eta zentzurik gabea zuen sinesmena. 
1CO.15.15	Egiaz hilak pizten ez badira, Jainkoak ez zuen piztu Kristo ere; eta, hori horrela bada, gu ere Jainkoaren lekuko
1CO.15.16	Zeren hilak pizten ez badira, Kristo ere ez dago pizturik. 
1CO.15.17	Eta Kristo pizturik ez badago, alferrikakoa da zuen sinesmena: zeuen bekatuetan zaudete oraindik. 
1CO.15.18	Eta zer esanik ez, hil diren kristauak ere galduak dira. 
1CO.15.19	Kristorengan jarria dugun itxaropenak bizitza honetarako bakarrik balio badu, gizaki guztietan errukarrienak gara.
1CO.15.20	Baina ez, piztu da Kristo hildakoen artetik, heriotzatik piztuko direnen aitzindari.
1CO.15.21	Izan ere, heriotza gizon baten bidez etorri
1CO.15.22	Eta Adamekin duten batasunagatik gizaki guztiak hiltzen diren bezala, Kristorekin duten batasunagatik guztiak itzuliko dira bizira.
1CO.15.23	Baina bakoitza bere garaian: lehenengo Kristo, lehen fruitu bezala; gero, Kristorenak, hau berriro etortzean.
1CO.15.24	Gero, azkena izango da, Kristok, Jainkoaren kontrako nagusitza, aginte eta indar guztiak
1CO.15.25	Kristok errege izaten jarraitu behar baitu, Jainkoak etsai guztiak haren oinazpian ipini arte.
1CO.15.26	Azkena ezereztuko den etsaia heriotza izango da.
1CO.15.27	Izan ere, 
1CO.15.28	Jainkoak gauza guztiak menpean jarriko dizkionean, Semea bera menpean jarriko zaio gauza guztiak menpean jarri zizkionari, eta Jainkoa guztietan guztia izango da.
1CO.15.29	Badira zuen artean hildakoengatik bataiatzen direnak
1CO.15.30	Eta gu, zertarako gabiltza etengabe arriskutan?
1CO.15.31	Senideok, Jesu Kristo gure Jaunari esker, zuek nire harrotasuna zaretela bezain egia da egunero heriotza gainean dudalarik bizi naizela.
1CO.15.32	Efeson basapiztien kontra borroka
1CO.15.33	Ez zaitzatela inork engaina! Lagun txarrek ohitura onak usteldu egiten dituzte
1CO.15.34	Etor zaitezte senera eta utzi bekatu egiteari
1CO.15.35	Norbaitek galde dezake: Eta hilak nola pizten dira? Nolako gorputzez itzuliko dira bizira? 
1CO.15.36	Zoro hori, zuk ereindakoa ez da ernetzen aurrez hiltzen ez bada.
1CO.15.37	Eta ereiten duzuna ez da gero haziko den landarea, hazi hutsa baizik, gari-hazia nahiz beste edozein hazi izan. 
1CO.15.38	Jainkoak ematen dio haziari berak nahi bezalako forma, bakoitzari dagokiona.
1CO.15.39	Ez dira berdinak gorputz guztiak: gauza bat da gizakiaren gorputza, bestea aberearena, bestea hegaztiena eta bestea arrainena. 
1CO.15.40	Badira zeruko izakiak eta lurrekoak, baina zerukoek eta lurrekoek ez dute distira bera. 
1CO.15.41	Eguzkiaren distira honelakoa da, ilargiarena halakoa eta izarrena bestelakoa. Eta izarrek berek ere ez dute denek distira berdina.
1CO.15.42	Hildakoen piztuerarekin ere gauza bera gertatuko da: ereiten dena ustelkorra da, pizten dena ustelezina; 
1CO.15.43	ereiten dena mespretxagarria, pizten dena ospetsua; ereiten dena ahula, pizten dena indartsua;
1CO.15.44	haragizko gorputza ereiten da eta espirituzkoa pizten; haragizko gorputza baden bezala, espirituzkoa
1CO.15.45	Honela dio, hain zuzen, Liburu Santuak: lehenengo 
1CO.15.46	Ez zen espirituzkoa izan lehenengoa, haragizkoa baizik; espirituzkoa ondoren dator. 
1CO.15.47	Lehenbiziko gizakia lurreko hautsetik
1CO.15.48	Lurtarra, Adam, lurtarren eredu eta irudi da; zerutarra, Kristo, zerutarrena. 
1CO.15.49	Eta lurtarraren irudiko garen bezala, zerutarraren irudiko ere izango gara.
1CO.15.50	Senideok, honekin esan nahi dizuet, hezur-mamizko gorputza ezin dela Jainkoaren erreinuaren jabe egin, ezta ustelkorra dena ustelezin denaren jabe ere.
1CO.15.51	Hara, misterio bat adierazten dizuet: ez gara denok hilko, baina izatez aldatuak izango gara denok
1CO.15.52	unetxo batean, begien itxi-ireki batean, azkeneko turuta-hotsarekin batera
1CO.15.53	Gure izate ustelkorrak bizi ustelezinez jantzi behar du, eta izate hilkorrak hilezkortasunez.
1CO.15.54	Gure izate ustelkorra bizi ustelezinez jantziko denean, eta izate hilkorra hilezkortasunez, orduan beteko da Liburu Santuak dioena
1CO.15.56	Heriotza dakarren eztena bekatua da, eta bekatuak legetik hartzen du bere indarra
1CO.15.57	Eman diezazkiogun eskerrak Jainkoari, halako garaipena ematen digulako Jesu Kristo gure Jaunaren bitartez!
1CO.15.58	Beraz, senide maiteok, ez aldatu asmoz eta iraun sendo, egunetik egunera Jaunaren lanean gero eta gogotsuago jardunez, jakinik Jaunak ez duela zuen nekea saririk gabe utziko.
1CO.16.1	Jerusalemgo fededunentzat
1CO.16.2	Igandero
1CO.16.3	Ni heltzean, ziurtagiriak eman eta Jerusalemera bidaliko ditut zuek aukeratuak, zuen erregalua eramatera. 
1CO.16.4	Eta ni joatea on bada, elkarrekin joango gara.
1CO.16.5	Mazedoniatik igaro ondoren joango naiz zuenera, Mazedonian barrena egin behar baitut bidaia.
1CO.16.6	Badaiteke zuekin gelditzea eta, beharbada, negu osoan; gero, noranahi joango naizela ere, bidaiari jarraitzeko laguntza eman ahal izango didazue.
1CO.16.7	Oraingo honetan ez zaituztet bidenabar bakarrik ikusi nahi. Badut itxaropen luzaroxeago egongo naizela zuekin, Jaunak hala nahi badu.
1CO.16.8	Baina Efeson geldituko naiz Mendekoste arte,
