MRK.1.1	O glanapen o Evangeliester Jezus Kristusester o Devlester čaveste. 
MRK.15.45	ta phučes les, ob ta merdeslo. Her ta džandes job o barokuremaskereste, dejes job o Josefeste i muleskertrupo. 
MRK.15.46	Josef ta kindes pochtan, lejes la tele, job kerdas kola pochtan drumo leste, ta čides les ani handako; kai has ani baro bar kerdo, ta čides o bar glan i vuder o handakester. 
MRK.15.47	Ta Maria Magdalena, ta Maria i dai o Josefester dikhen les, kai vejeslo drin čido.
MRK.16.1	Her ta gejes kome o kurko glanopral, kerden Maria Magdalena, Maria o Jakobester dai, ta Salome hakerlai kova ta gejeslen koi ta makjen les drin. 
MRK.16.2	Ta jon vejena o ersto dives i kurkester ani taisirlakro paši handakeske, her ta gejes o kham pre. 
MRK.16.3	Ta jon phenden telavaverkend. Kon čidela men kova bar o vuderester kava handakeste nikli? 
MRK.16.4	Her ta dikhen len koi, dikhena jon ta his o bar nikli čido, ta job has baro. 
MRK.16.5	Her ta gejes jon ani handako, drin dikhenlen i murš paši čači bešdo, ridlo i parno ripenenca, ta jon darden pen. 
MRK.16.6	Kava ta phendes apo lenge: Darena tume gar! Tume rodena Jezuses o Nazaretester o trušuldeskero; job hi preštardo, job hi gar kate; dikhena o kunč, kai čiden len les. 
MRK.16.7	Džahas tume koi, phenena lesker sikermangerende ta o Petruseste: Job džala tume glan pale Galilea, kote veles ta dikhen les, her ta phendes job tume. 
MRK.16.8	Jon ta gejen len vri, ta našen penge i handakester nikli, ta o dar ta triserpen taperden len, ta jon phenden kenkes čomoni; ta jon daren pen le.
MRK.16.9	Her ta štejeslo taisirlakro o ersto dives i kurkester pre, vejeslo sikeder i Maria Magdalenake, kai traderdeslo later efta bengen vri. 
MRK.16.10	Kaja džejes koi, ta phendes les kalenge, kai his len paša leste, kala kai kaiden ta ronden pen. 
MRK.16.11	Her ta hunden jon, ta hi lo džido ta veles later dikhamen, pacena les gar. 
MRK.16.12	Ta pala sikerdeslo job ani vaver trupeste duienge lender api drom, kai ta džejen pen apo them. 
MRK.16.13	Ta jon džejena koi, ta phenden les o vaverende; jon ta pacjen lenge či.
MRK.16.14	Palduno sikerdes pes job kola dešjekenge, kai bešjen paši chamaskero; job ta čingerdes lenger bipacepen, ta lenger midžiko dzi, vel ta pacenle kolenge gar, kai dikhen les, her ta has lo preštardo. 
MRK.16.15	Ta job phendes apo lenge: Džan tume koi ani celo phub, ta rakerena o sastobičerpen hake džene. 
MRK.16.16	Kon ta pacela ta hila boldo, kava vela hilderdo, kon ta pacela či, kava vela gar hilderdo. 
MRK.16.17	Kalen kai pacena veles kome kaja botenge kandlo: Ani miro lab tradena jon bengen vri, ta rakerena o neve rakerpenca. 
MRK.16.18	Hadervena sapia pre, ta pijena čomoni merdes, pala kerene les či; api naselenge vel ta čiden jon lenger vast, ta jon velen saste.
MRK.16.19	Ta o rai Jezus, her ta rakerdeslo lenca, veles pre‐ando ani bolapen, kote bešelo paši čači o Devleste. 
MRK.16.20	Jon ta džejen koi, ta rakerden api celo phub, ta o Rai has lenca ta zordeslo o lab druchi kola botenge.
