GEN.1.1	Alguses lõi Jumal taevad ja maa.
1TH.1.6	Ja teist said meie ja Issanda järgijad, kui te võtsite sõna vastu suures viletsuses Püha Vaimu rõõmuga,
1TH.1.7	nii et te olete saanud eeskujuks kõigile usklikele Makedoonias ja Ahhaias.
1TH.1.8	Sest teie juurest on Issanda sõna kostnud mitte ainult Makedooniasse ja Ahhaiasse, vaid ka igale poole on levinud teie usk Jumalasse, nõnda et meil pole tarvis sellest midagi rääkida.
1TH.1.9	Ise nad ju jutustavad meist, kuidas me oleme tulnud teie juurde ja kuidas te olete pöördunud ebajumalaist Jumala poole teenima elavat ja tõelist Jumalat
1TH.1.10	ning ootama taevast Tema Poega, Kelle Tema on surnuist üles äratanud, Jeesust, Kes meid tõmbab välja tulevasest vihast.
1TH.2.1	Teie ise ju teate, vennad, et meie tulek teie juurde ei ole olnud tühine;
1TH.2.2	vaid, kuigi meie, nagu te teate, olime kannatanud Filipis ja saanud teotada, võtsime siiski oma Jumalas julguse kuulutada teile Jumala Evangeeliumi suure võitlusega.
1TH.2.3	Sest meie manitsus ei tule mitte eksimeelest, ei ebapuhtast mõttest ega kavalusest,
1TH.2.4	vaid nõnda nagu Jumal on meid arvanud kõlbavaks usaldada Evangeelium meie kätte, nõnda me ka räägime, ei mitte, nagu tahaksime olla inimestele, vaid Jumalale meelepärast, Kes katsub läbi meie südamed.
1TH.2.5	Sest me ei ole iialgi tarvitanud meelitavaid sõnu, nagu te teate, ega ka ettekäändeid ahnuseks: Jumal on tunnistaja.
1TH.2.6	Me ei otsi ka austust inimestelt, ei teilt ega muilt,
1TH.2.7	kuigi me Kristuse Apostlitena oleksime võinud esineda tähtsatena; vaid me oleme saanud leebeiks teie seas nagu imetaja ema, kes hellitab oma lapsi;
1TH.2.8	nõnda meie, teid ihaldades, olime valmis teile andma mitte ainult Jumala Evangeeliumi, vaid ka oma hinged, sest te olite meile armsaks saanud.
1TH.2.9	Te mäletate ju, vennad, meie tööd ja vaeva: ööd ja päevad me tegime tööd selleks, et mitte kedagi teie seast koormata, ja kuulutasime teie seas Jumala Evangeeliumi.
1TH.2.10	Teie ja Jumal olete tunnistajad, kui pühasti ja õigesti ja laitmatult me suhtusime teisse usklikesse;
1TH.2.11	nagu te ka teate, kuidas me igaüht teie seast otsekui isa oma lapsi
1TH.2.12	õhutasime ja julgustasime, teid manitsedes elama nõnda, kuidas kohus on Jumala ees, Kes teid kutsub Oma Riiki ja ausse.
1TH.2.13	Ja seepärast meiegi täname lakkamatult Jumalat, et teie, kuuldes meilt Jumala sõna, ei võtnud seda vastu mitte inimeste sõnana, vaid sellena, mida see tõesti on, Jumala sõnana, mis ka on tegev teie sees, kes usute.
1TH.2.14	Sest teie, vennad, olete saanud nende Kristuses Jeesuses olevate Jumala Koguduste järgijaiks, mis on Judeas, sest ka teie olete saanud sedasama kannatada oma suguvendade poolt, nõnda nagu nemadki juutide poolt,
1TH.2.15	kes tapsid Issanda Jeesuse ja prohvetid, ja kiusasid meid taga, ja ei ole Jumalale meelepärast, ja on kõigi inimeste vastased
1TH.2.16	ning keelavad meid rääkimast paganaile nende päästmiseks, et täita kõigiti oma pattude mõõtu. Aga viha ongi juba tulnud nende peale lõpuni.
1TH.2.17	Meie aga, vennad, olles teist lahutatud natukeseks ajaks küll palge, mitte aga südame poolest, oleme seda suurema himuga püüdnud näha saada teie palet.
1TH.2.18	Seepärast oleme tahtnud tulla teie juurde, mina, Paulus, küll üks kord ja teinegi kord, aga saatan on meid takistanud.
1TH.2.19	Sest kes on meie lootus või rõõm või kiitlemise pärg - kas mitte teiegi - meie Issanda Jeesuse Kristuse ees Tema tulemises?
1TH.2.20	Sest teie olete meie au ja rõõm.
1TH.3.1	Sellepärast meie, kui me enam ei läbenud kannatada, arvasime heaks jääda üksinda Ateenasse
1TH.3.2	ja läkitasime Timoteose, oma venna ja Jumala kaastöölise Kristuse Evangeeliumi kuulutamises, teid kinnitama ja manitsema teie usu pärast,
1TH.3.3	et ükski ennast ei laseks vintsutada neis viletsusis. Sest te isegi teate, et meid on neisse pandud.
1TH.3.4	Sest ka siis, kui olime teie juures, ütlesime teile ette, et meid vaevad ootavad, nõnda nagu ongi sündinud ja on teile teada.
1TH.3.5	Sellepärast ka mina, kui ma enam ei läbenud, läkitasin tema kuulama teie usku, kas ehk vahest kiusaja ei ole teid kiusanud ja kas meie vaev ei ole saanud tühjaks.
1TH.3.6	Aga kui Timoteos nüüd tuli meie juurde teie juurest ja tõi rõõmsaid sõnumeid teie usust ja armastusest ja et te peate meid alati heas mälestuses ning igatsete meid näha saada, nõnda nagu meiegi teid,
1TH.3.7	siis oleme trööstitud teie suhtes, vennad, kõiges oma hädas ja kitsikuses teie usu läbi,
1TH.3.8	sest et nüüd me elame, kui teie püsite kindlasti Issandas.
1TH.3.9	Sest missugust tänu me võimegi anda Jumalale teie pärast kõige selle rõõmu eest, mis meil on teist oma Jumala ees,
1TH.3.10	kuna me ööd ja päevad oleme kõige palavamas palves, et saaksime näha teie palet ja täita seda, mis teie usul veel on puudu.
1TH.3.11	Aga meie Jumal ja Isa Ise ja meie Issand Jeesus Kristus juhtigu meie tee teie juurde.
1TH.3.12	Ent teid kasvatagu Issand ja tehku teid rikkaks armastuse poolest üksteise vastu ja kõikide vastu, nagu meiegi oleme teie vastu,
1TH.3.13	et kinnitada teie südamed laitmatuiks pühitsuses Jumala ja meie Isa ees meie Issanda Jeesuse tulekul kõigi ta pühadega.
1TH.4.1	Peale selle nüüd, vennad, me palume ja manitseme teid Issandas Jeesuses, et teie, nõnda nagu te meilt olete õppinud, kuidas elada ja olla Jumalale meeltmööda, ja nõnda nagu te juba elategi, kasvaksite veel täiuslikumaks.
1TH.4.2	Sest te teate, mis käsud me teile oleme andnud Issanda Jeesuse läbi.
1TH.4.3	Sest see on Jumala tahtmine, teie pühitsus, et te hoiduksite hooruse eest,
1TH.4.4	et igaüks teie seast teaks hoida oma astjat pühaduses ja aus,
1TH.4.5	mitte himude kiimas, nõnda nagu paganad, kes ei tunne Jumalat,
1TH.4.6	et ükski teist ei teeks ülekohut ega petaks oma venda asjaajamises, sest et Issand on kättemaksja kõigi niisuguste asjade eest, nõnda nagu me olemegi teile enne öelnud ning tunnistanud.
1TH.4.7	Sest Jumal ei ole meid mitte kutsunud rüvedusele, vaid pühitsusele.
1TH.4.8	Seepärast, kes seda hülgab, ei hülga inimest, vaid Jumala, Kes ka annab Oma Püha Vaimu teie sisse.
1TH.4.9	Aga vennalikust armastusest ei ole vaja teile kirjutada, sest teid endid on Jumal õpetanud armastama üksteist;
1TH.4.10	sest te teete seda ka kõigile vendadele kogu Makedoonias. Me ainult manitseme teid, vennad, et te kasvaksite veel täiuslikumaks
1TH.4.11	ja otsiksite au selles, et elate vaiksesti ja ajate oma asju ning teete tööd oma kätega, nõnda nagu me oleme teid käskinud,
1TH.4.12	et te käitumises oleksite ausad nende vastu, kes on väljaspool, ega vajaks ühegi abi.
1TH.4.13	Aga me ei taha, et teil, vennad, oleks teadmata nende järg, kes on läinud magama, et teiegi ei läheks nõnda kurvaks nagu teised, kellel ei ole lootust.
1TH.4.14	Sest kui me usume, et Jeesus on surnud ning üles tõusnud, nõnda ka Jumal toob esile Jeesuse kaudu need, kes ühes Temaga on läinud magama.
1TH.4.15	Sest seda me ütleme teile Issanda sõnaga, et meie, kes elame ja üle jääme Issanda tulemiseni, ei jõua mitte ette neist, kes on läinud magama;
1TH.4.16	sest et Issand Ise tuleb taevast alla sõjahüüuga, peaingli hääle ning Jumala pasunaga, ja Kristuses surnud tõusevad üles esmalt;
1TH.4.17	selle järele kistakse meid, kes elame ja üle jääme, ühtlasi nendega pilvede peal Issandale vastu üles õhku, ja nõnda saame olla ikka ühes Issandaga.
1TH.4.18	Kinnitage nüüd üksteist nende sõnadega!
1TH.5.1	Aga aegadest ja tundidest ei ole teile, vennad, tarvis kirjutada,
1TH.5.2	sest te ise teate selgesti, et Issanda päev tuleb nagu varas öösel.
1TH.5.3	Kui nad ütlevad: „Nüüd on rahu ja julgeolek!”, tabab neid äkiline hukatus nõnda nagu lapsevaev naise, kes on käima peal; ja nad ei pääse mitte pakku.
1TH.5.4	Aga teie, vennad, ei ole mitte pimeduses, nii et see päev teid saaks haarata kui varas.
1TH.5.5	Teie kõik olete ju valguse lapsed ja päeva lapsed. Meie ei ole mitte öö ega pimeduse lapsed.
1TH.5.6	Siis ärgem magagem nagu teised, vaid valvakem ja olgem kained.
1TH.5.7	Sest kes magavad, need magavad öösel, ja kes joobnud on, need on öösel joobnud.
1TH.5.8	Aga meie, kes oleme päeva lapsed, olgem kained, varustatud usu ja armastuse raudrüüga ja päästelootuse kiivriga.
1TH.5.9	Sest Jumal ei ole meid pannud viha alla, vaid pääste omandamisele meie Issanda Jeesuse Kristuse läbi,
1TH.5.10	Kes meie eest suri, et meie, kas valvame või magame, ühes Temaga elaksime.
1TH.5.11	Sellepärast manitsege üksteist ja kosutage üksteist, nagu te seda teetegi.
1TH.5.12	Aga me palume teid, vennad, tunnustada neid, kes teevad tööd teie seas ja on teie ülevaatajad Issandas ning juhatavad teid,
1TH.5.13	ja pidada neid üpris väga armsaks nende töö pärast. Pidage rahu isekeskis!
1TH.5.14	Me manitseme teid, vennad: noomige korratuid, julgustage argu, toetage nõtru, olge pika meelega kõikide vastu.
1TH.5.15	Katsuge, et ükski teisele ei tasu kurja kurjaga, vaid püüdke ikka teha head üksteisele ja kõikidele.
1TH.5.16	Olge ikka rõõmsad.
1TH.5.17	Palvetage lakkamata.
1TH.5.18	Olge tänulikud kõige eest; sest see on Jumala tahtmine teie suhtes Kristuses Jeesuses.
1TH.5.19	Ärge kustutage Vaimu.
1TH.5.20	Ärge pange halvaks prohvetlikult kõnelemist.
1TH.5.21	Katsuge kõike läbi; pidage kinni, mis hea on.
1TH.5.22	Hoiduge kõiksuguse kurja eest.
1TH.5.23	Aga rahu Jumal Ise pühitsegu teid täielikult ja kogu teie vaim ja hing ja ihu säiligu laitmatuina meie Issanda Jeesuse Kristuse tulekuks.
1TH.5.24	Ustav on See, Kes teid kutsub; küll Ta teebki seda.
1TH.5.25	Vennad, palvetage meie eest!
1TH.5.26	Tervitage kõiki vendi püha suudlusega.
1TH.5.27	Ma vannutan teid Issanda juures, et te selle kirja ette loeksite kõigile vendadele.
1TH.5.28	Meie Issanda Jeesuse Kristuse arm olgu teiega!
2TH.1.1	Paulus ja Silvaanus ja Timoteos tessalooniklaste Kogudusele Jumalas, meie Isas, ja Issandas Jeesuses Kristuses.
2TH.1.2	Armu teile ja rahu Jumalalt, meie Isalt, ja Issandalt Jeesuselt Kristuselt!
2TH.1.3	Me oleme alati kohustatud Jumalat tänama teie eest, vennad, nõnda nagu on sünnis, sest et teie usk vägevasti kasvab ja armastus jõudsasti edeneb igaühes teie kõikide seas üksteise vastu,
2TH.1.4	nõnda et me isegi teist kiitleme Jumala Kogudustes, teie kannatlikkusest ja usust, kõigis teie tagakiusamistes ja viletsusis, mida te kannatate
2TH.1.5	Jumala õige kohtu tõestuseks, et teid arvataks Jumala riiki väärt olevat, mille pärast te ka kannatate,
2TH.1.6	kui see kuidagi on õige Jumala ees, et teie vaevajaile tasutaks vaevamisega
2TH.1.7	ja teile, keda vaevatakse, antaks hingamist ühes meiega, kui Issand Jeesus ilmub taevast Oma väe Inglitega
2TH.1.8	tuleleegis ja maksab kätte neile, kes ei tunne Jumalat ja kes ei alistu meie Issanda Jeesuse Kristuse Evangeeliumile,
2TH.1.9	kes saavad nuhtluseks igavese hukatuse, hülgamise Issanda palge eest ja Tema vägevuse auhiilgusest,
2TH.1.10	kui Ta sel päeval tuleb, et austatud olla Oma pühades ja imestatav kõigi usklike seas, sest et meie tunnistust teie kohta on ustud.
2TH.1.11	Selleks me palumegi alati teie eest, et meie Jumal peaks teid kutsumisväärseks ja teeks täielikuks kõik teie hea meele tubliduse ja teie usu teo väes,
2TH.1.12	et meie Issanda Jeesuse Kristuse nime austataks teie sees ja teid Tema sees meie Jumala ja meie Issanda Jeesuse Kristuse armu mööda.
2TH.2.1	Aga me palume teid, vennad, meie Issanda Jeesuse Kristuse tulemise ja meie kokkusaamise pärast Temaga,
2TH.2.2	et te ei annaks endid niipea kõigutada sinna ja tänna eemale õigest meelest ega heidutada ei vaimu läbi ega sõna läbi või kirja läbi, otsekui oleks see meie lähetatud, nagu peaks Issanda päev olema käes.
2TH.2.3	Ärgu ükski teid petku mingil kombel; sest see päev ei tule mitte enne, kui on tulnud ärataganemine ja saanud avalikuks ülekohtu-inimene, hukatusepoeg,
2TH.2.4	kes paneb vastu ja tõstab enese üle kõige, mida nimetatakse Jumalaks või jumalateenistuseks, nii et ta istub Jumala templisse ja ütleb enese olevat Jumala.
2TH.2.5	Eks te mäleta, et ma seda teile ütlesin, kui olin alles teie juures?
2TH.2.6	Ja nüüd te teate, mis takistab teda saamast avalikuks omal ajal.
2TH.2.7	Sest ülekohtu saladus on juba mõjumas; ainult peab enne vahelt kõrvaldatama see, kes teda siiamaani takistab;
2TH.2.8	ja siis saab avalikuks ülekohtune — kelle Issand Jeesus hävitab Oma suu vaimuga ja kellele ta teeb otsa Oma tulemise ilmumisega —
2TH.2.9	kelle tulemine sünnib saatana võimu mõjustusel igasuguses valeväes ja valetunnustähtedega ja valeimetegudega
2TH.2.10	ja igasuguse ülekohtu pettuses neile, kes hukka lähevad, sellepärast et nad ei võtnud vastu tõearmastust, et nad oleksid võinud pääseda.
2TH.2.11	Ja sellepärast Jumal läkitab neile vägeva eksituse, et nad hakkavad uskuma valet,
2TH.2.12	et mõistetaks hukka kõik need, kes ei ole uskunud tõde, vaid kellel on olnud hea meel ülekohtust.
2TH.2.13	Aga me peame alati tänama Jumalat teie eest, Issanda armastatud vennad, et Jumal algusest teid on valinud õndsuseks Vaimu pühitsemise ja tõeusu kaudu,
2TH.2.14	milleks ta on teidki kutsunud meie Evangeeliumi läbi, et te kätte saaksite meie Issanda Jeesuse Kristuse au.
2TH.2.15	Siis seiske nüüd, vennad, ja pidage kinni neist õpetusist, mis te meilt olete õppinud suusõnal või kirja teel.
2TH.2.16	Aga meie Issand Jeesus Kristus Ise ja Jumal, meie Isa, Kes meid on armastanud ja meile on andnud igavese troosti ja hea lootuse armuannina,
2TH.2.17	trööstigu teie südameid ja kinnitagu teid igasuguses heas teos ja sõnas!
2TH.3.1	Lõppeks, vennad, paluge meie eest, et Issanda sõna leviks ja et see tõuseks ausse nõnda nagu teiegi juures,
2TH.3.2	ja et me pääseksime nurjatute ja kurjade inimeste käest. Sest usk ei ole mitte igaühe oma.
2TH.3.3	Aga Issand on ustav, Kes teid kinnitab ja kurja eest hoiab.
2TH.3.4	Ja me loodame teist Issandas, et te nüüd ja ka edaspidi teete, mida me käsime.
2TH.3.5	Ent Issand juhtigu teie südamed Jumala armastuse ja Kristuse kannatlikkuse poole.
2TH.3.6	Aga me käsime teid, vennad, meie Issanda Jeesuse Kristuse nimel hoiduda igast vennast, kes elab korratut elu ja mitte seda pärimust mööda, mille olete meilt saanud.
2TH.3.7	Sest te teate ise, kuidas te peate meie eeskuju järgi elama, sest me ei ole elanud korratult teie keskel
2TH.3.8	ega ole kellegi juures leiba muidu söönud, vaid oleme vaeva ja rängeldamisega ööd ja päevad teinud tööd, et mitte kedagi teie seast koormata;
2TH.3.9	ei mitte, et meil poleks selleks meelevalda, vaid et me annaksime teile head eeskuju käia meie järel.
2TH.3.10	Sest ka siis, kui olime teie juures, seadsime nii, et kes ei taha tööd teha, ärgu ka söögu.
2TH.3.11	Me kuuleme ju, et mõned teie seast elavad korratut elu ega tee tööd, vaid janditavad.
2TH.3.12	Ent niisuguseid me käsime ja manitseme Issandas Jeesuses Kristuses, et nad vaikselt tööd tehes sööksid omaenese leiba!
2TH.3.13	Kuid teie, vennad, ärge tüdige head tegemast!
2TH.3.14	Aga kui keegi meie sõna, mis meie kirja kaudu on öeldud, ei võta kuulda, siis pidage teda silmas ja ärge tehke tegemist temaga, et ta häbeneks.
2TH.3.15	Ometi ärge pidage teda vaenlaseks, vaid hoiatage teda kui venda.
2TH.3.16	Aga Rahuissand Ise andku teile rahu alati ja igal viisil! Issand olgu teie kõikidega!
2TH.3.17	See tervitus on minu, Pauluse käega; see on tunnuseks igas kirjas; nõnda ma kirjutan.
2TH.3.18	Meie Issanda Jeesuse Kristuse arm olgu teie kõikidega!
1TI.1.1	Paulus, Kristuse Jeesuse Apostel Jumala, meie Õnnistegija, ja Kristuse Jeesuse, meie lootuse käsul,
1TI.1.2	Timoteosele, oma tõelisele pojale usus. Armu, halastust, rahu Jumalalt Isalt ja Kristuselt Jeesuselt, meie Issandalt!
1TI.1.3	Nõnda kuidas ma Makedooniasse minnes sind õhutasin jääma kauemaks Efesosse, et mõningaid manitseda, et nad ei õpetaks teisiti
1TI.1.4	ega teeks tegemist tühjade juttudega ja lõpmatute suguvõsade üleslugemistega, mis tekitavad rohkem küsimusi kui Jumala majapidamisest arusaamist usus, nõnda tee.
1TI.1.5	Sest käskimise eesmärk on armastus puhtast südamest ja heast südametunnistusest ja silmakirjatsematust usust.
1TI.1.6	Neist on mõned ära taganenud ja kaldunud kõrvale tühja kõne poole,
1TI.1.7	tahtes olla käsuõpetajad, kuigi nad ei mõista seda, mida nad räägivad, ega seda, mida nad kindlasti väidavad.
1TI.1.8	Me ju teame, et käsk on hea, kui keegi seda käsitleb käsu kohaselt
1TI.1.9	ja peab meeles, et käsku pole seatud õigele, vaid ülekohtustele ja kangekaelseile, jumalakartmatuile ja patustele, õelatele ja roojastele, isatapjaile ja ematapjaile, mõrtsukaile,
1TI.1.10	hoorajaile, poisipilastajaile, inimesemüüjaile, valelikele, valevandujaile ja kõigele muule, mis käib õige õpetuse vastu —
1TI.1.11	õndsa Jumala au Evangeeliumi järgi, mis on usaldatud minu kätte.
1TI.1.12	Ma tänan teda, kes mind on teinud vägevaks, Kristust Jeesust, meie Issandat, et Ta mind on pidanud ustavaks, pannes mind Oma teenistusse,
1TI.1.13	ehk ma küll enne olin pilkaja ja tagakiusaja ja vägivaldne. Aga ma olen armu saanud, sest ma olin seda teinud teadmata, uskmatus meeles.
1TI.1.14	Meie Issanda arm aga on olnud üliväga suur usu ja armastusega, mis on Kristuses Jeesuses.
1TI.1.15	Ustav on see sõna ja kõigiti vastuvõetav, et Kristus Jeesus on tulnud maailma päästma patuseid, kelle seast mina olen suurim;
1TI.1.16	kuid sellepärast ma olen saanud armu, et Jeesus Kristus kõigepealt minus osutaks kõike Oma pikka meelt eeskujuks neile, kes veel edaspidi saavad usklikuks Temasse igaveseks eluks.
1TI.1.17	Aga ajastute Kuningale, kadumatule, nähtamatule, ainule Jumalale olgu au ja austus ajastute ajastuteni! Aamen.
1TI.1.18	Selle käsu ma panen su südamele, mu poeg Timoteos, vastavalt varemaile sinu kohta käivaile ennustustele, et sa nende varal võitleksid õilsat võitlust,
1TI.1.19	omades usku ja head südametunnistust, mille mõningad on tõuganud enesest ära ja on selle tõttu usu suhtes läinud põhja nagu laev.
1TI.1.20	Nende seast on Hümenaios ja Aleksandros, keda ma olen andnud saatana meelevalda, et nad karistuse all võõrduksid pilkamisest.
1TI.2.1	Ma manitsen siis nüüd kõigepealt tegema palveid, palvusi, eestpalveid, tänupalveid kõigi inimeste eest,
1TI.2.2	kuningate ja kõigi ülemate eest, et võiksime vaikset ja rahulikku elu elada kõiges jumalakartuses ja aususes.
1TI.2.3	Sest see on hea ja armas Jumala, meie Õnnistegija meelest,
1TI.2.4	Kes tahab, et kõik inimesed õndsaks saaksid ja tõe tunnetusele tuleksid.
1TI.2.5	Sest Jumal on üks, ka vahemees üks Jumala ja inimeste vahel, inimene Kristus Jeesus,
1TI.2.6	Kes andis Iseenese lunastushinnaks kõikide eest, et sellest antaks tunnistust parajail aegadel;
1TI.2.7	ja selle tarvis olen mina pandud kuulutajaks ja Apostliks — ma räägin tõtt Kristuses ega valeta mitte — paganate õpetajaks usus ja tões.
1TI.2.8	Ma tahan siis, et mehed palvetaksid igas kogumispaigas ja tõstaksid üles pühad käed ilma vihata ja kahtlemiseta;
1TI.2.9	nõndasamuti ka, et naised, viisakalt riietatud, endid ehiksid häbeliku ja mõistliku meelega, mitte juuksepalmikutega ega kullaga ega pärlitega ega kalliste riietega,
1TI.2.10	vaid heade tegudega, nõnda kui sobib naistele, kes endid tunnistavad jumalakartlikeks.
1TI.2.11	Naine õppigu vaiksel viisil, olles kõigiti alistuv.
1TI.2.12	Aga naisele ma ei luba õpetada ega valitseda mehe üle, vaid ta elagu vaikselt.
1TI.2.13	Sest Aadam loodi enne, siis Eeva;
1TI.2.14	ega Aadamat petetud, vaid naist peteti ja ta sattus üleastumisse,
1TI.2.15	aga ta saab õndsaks lastesünnitamise läbi, kui ta jääb ususse ja armastusse ning pühitsusse mõistliku meelega.
1TI.3.1	Ustav on see sõna: kui keegi püüab Koguduse ülevaataja ametisse, siis ta igatseb kaunist tööd.
1TI.3.2	Niisiis tuleb Koguduse ülevaatajal olla laitmatu, ühe naise mees, kaine, mõistlik, viisakas, külalislahke, osav õpetama;
1TI.3.3	mitte joodik, mitte riiakas, vaid leebe, rahunõudja, mitte rahaahne,
1TI.3.4	vaid kes oma maja hästi valitseb, kes oma lapsi peab sõnakuulmises kõige aususega.
1TI.3.5	Sest kui keegi iseenese maja ei oska juhtida, kuidas ta võib hoolt kanda Jumala Koguduse eest?
1TI.3.6	Ta ärgu olgu alles vastpöördunu, et ta ei läheks uhkeks ega langeks sama nuhtluse alla kui kurat.
1TI.3.7	Ka olgu tal hea tunnistus neilt, kes on väljaspool Kogudust, et ta ei satuks naeru alla ja kuradi köitesse.
1TI.3.8	Nõndasamuti tuleb ka abilistel olla ausad, mitte kahekeelsed, mitte joomamehed, mitte liigkasuvõtjad, vaid sellised,
1TI.3.9	kellel usu saladus on puhtas südametunnistuses.
1TI.3.10	Ent nad katsutagu enne läbi ja siis, kui nad on laitmatud, astugu nad ametisse.
1TI.3.11	Nõndasamuti olgu nende naised ausad, mitte keelepeksjad, kained, ustavad kõigis asjus.
1TI.3.12	Koguduse abilised olgu ühe naise mehed, kes oma lapsi ja oma peret hästi juhivad.
1TI.3.13	Sest need, kes on hästi pidanud oma ametit, saavutavad enestele kauni lugupidamise ja suure julguse usus, mis on Kristuses Jeesuses.
1TI.3.14	Seda kirjutan sulle, ehk ma küll loodan pea tulla sinu juurde,
1TI.3.15	et kui ma viibin, sa teaksid, kuidas tuleb käituda Jumala kojas, mis on elava Jumala Kogudus, tõe sammas ja alustugi.
1TI.3.16	Ja vastuvaieldamatu suur on jumalakartuse saladus: Jumal on avalikuks saanud lihas, õigeks mõistetud Vaimus, ilmunud inglitele, kuulutatud paganate seas, usutud maailmas, üles võetud ausse!
1TI.4.1	Aga Vaim ütleb selge sõnaga, et viimsel ajal mõned taganevad usust ja hoiavad eksitajate vaimude ja kurjade vaimude õpetuste poole,
1TI.4.2	valekuulutajate silmakirjaliku vagaduse tõttu, kes oma südametunnistusse otsekui tulise märgi on põletanud
1TI.4.3	ja keelavad abiellumast ning maitsmast rooga, mis Jumal on loonud selleks, et usklikud ja tõetundjad seda vastu võtaksid tänuga.
1TI.4.4	Sest kõik, mis Jumal on loonud, on hea, ja miski ei ole hüljatav, kui seda vastu võetakse tänuga.
1TI.4.5	Sest seda pühitsetakse Jumala sõna ja palve läbi.
1TI.4.6	Kui sa seda vendadele ette paned, oled sa Kristuse Jeesuse hea abiline ja toidad ennast usu ja hea õpetuse sõnadega, mida sa oled järginud.
1TI.4.7	Ent kõlvatut ja vananaiste vada väldi, aga harjuta ennast jumalakartuses.
1TI.4.8	Sest ihulikust harjutusest on pisut kasu; aga jumalakartusest on kasu kõigile asjadele ja sellel on käesoleva ja tulevase elu tõotus.
1TI.4.9	Ustav on see sõna ja kõigiti vastuvõetav.
1TI.4.10	Sest selleks me näeme vaeva ja võitleme, et me oleme lootnud elava Jumala peale, Kes on kõigi inimeste, iseäranis usklike, Õnnistegija.
1TI.4.11	Seda käsi ja õpeta!
1TI.4.12	Ükski ärgu põlaku sinu noorust, vaid ole usklikele eeskujuks sõnas, elus, armastuses, usus, meelepuhtuses.
1TI.4.13	Kuni ma tulen, ole hoolas ette lugema, manitsema ja õpetama.
1TI.4.14	Ära jäta eneses peituvat armuannet hooletusse, mis sulle anti ennustuse läbi, kui vanemad panid oma käed sinu peale.
1TI.4.15	Seda harrasta, selles ela, et sinu edenemine oleks ilmne kõikidele.
1TI.4.16	Pane tähele iseennast ja õpetust; püsi kindlasti selles; sest kui sa seda teed, päästad sa enese ja need, kes sind kuulevad.
1TI.5.1	Vana meest ära sõitle valjusti, vaid manitse teda kui isa, nooremaid kui vendi,
1TI.5.2	vanemaid naisi kui emasid, nooremaid kui õdesid kõiges meelepuhtuses.
1TI.5.3	Austa leski, kes on õiged lesknaised.
1TI.5.4	Aga kui kellelgi lesel on lapsi või lapselapsi, siis õppigu need esiti vagalt kohtlema oma majarahvast ja tasuma, mis nad on võlgu oma vanemaile. Sest see on meelepärane Jumala ees.
1TI.5.5	Aga kes õige lesk on ja üksi maha jäänud, see loodab Jumala peale ja jääb kindlasti anumistesse ja palvetesse ööd ja päevad.
1TI.5.6	Aga kes elab lihahimus, see on elusalt surnud.
1TI.5.7	Ja sedagi pane südamele, et nad oleksid laitmatud.
1TI.5.8	Aga kui keegi enese omaste ja iseäranis kodakondsete eest ei kanna hoolt, see on usu ära salanud ja on pahem kui uskmatu.
1TI.5.9	Leskede hulka loetagu ainult niisugune, kes on vähemalt kuuskümmend aastat vana ja on olnud ühe mehe naine,
1TI.5.10	ja kes on tunnustatud heade tegude poolest, kui ta on kasvatanud lapsi, kui ta on vastu võtnud võõraid, kui ta on pühade jalgu pesnud, kui ta on aidanud hädasolijaid, kui ta on püüdnud teha kõiksugust head.
1TI.5.11	Kuid nooremaid leski keeldu vastu võtmast, sest kui iharus neid Kristuse kiuste vallutab, siis nad tahavad minna mehele,
1TI.5.12	ja neid tuleb süüdistada selles, et nad on hüljanud esimese usu.
1TI.5.13	Kui nad on pealegi jõude, harjuvad nad käima mööda maju, ja siis ei ole nad mitte ainult jõude, vaid ka lobisejad ning uudishimulikud ja räägivad sobimatuid asju.
1TI.5.14	Ma tahan siis, et nooremad läheksid mehele ja tooksid lapsi ilmale, valitseksid majatalitusi ega annaks vastasele põhjust solvamiseks.
1TI.5.15	Sest mõned ongi juba pöördunud saatana jälgedesse.
1TI.5.16	Kui kellelgi usklikul mehel või naisel on leski omaste seas, siis nad hooldagu neid ja ärgu saagu need koormaks Kogudusele, et see võiks hooldada tõelisi leski.
1TI.5.17	Vanemaid, kes hästi juhatavad Kogudusi, peetagu kahekordse austuse vääriliseks, eriti neid, kes töötavad sõnas ja õpetuses.
1TI.5.18	Sest Kiri ütleb: „Ära seo kinni härja suud, kui ta pahmast tallab!” ja: „Töötegija on oma palga väärt!”
1TI.5.19	Vanema vastu tõstetud kaebust ära võta kuulda, kui ei ole juures kaht või kolme tunnistajat.
1TI.5.20	Kes pattu teevad, neid noomi kõikide ees, et ka teistel oleks hirm.
1TI.5.21	Ma vannutan sind Jumala ja Kristuse Jeesuse ja äravalitud inglite ees, et sa seda pead silmas ilma eelarvamiseta ega tee midagi erapoolikult.
1TI.5.22	Ära ole kärmas kellelegi käsi pea peale panema ja ära tee ennast teiste pattude osaliseks. Pea ennast puhtana.
1TI.5.23	Ära joo enam ainult vett, vaid tarvita pisut viina oma kõhu pärast ja oma sageda põdemise pärast.
1TI.5.24	Mõnede inimeste patud on kohe avalikud ja on kohe hukkamõistetavad, aga mõnede omad saavad tagantjärele ilmsiks.
1TI.5.25	Samuti on ka head teod kohe avalikud, ja needki, mis seda ei ole, ei või jääda varjule.
