MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIshukhrIShTastasya pUrvvapuruShavaMshashreNI|
1JN.5.19	vayam IshvarAt jAtAH kintu kR^itsnaH saMsAraH pApAtmano vashaM gato .astIti jAnImaH|
1JN.5.20	aparam Ishvarasya putra AgatavAn vaya ncha yayA tasya satyamayasya j nAnaM prApnuyAmastAdR^ishIM dhiyam asmabhyaM dattavAn iti jAnImastasmin satyamaye .arthatastasya putre yIshukhrIShTe tiShThAmashcha; sa eva satyamaya Ishvaro .anantajIvanasvarUpashchAsti|
1JN.5.21	he priyabAlakAH, yUyaM devamUrttibhyaH svAn rakShata| Amen|
2JN.1.1	he abhiruchite kuriye, tvAM tava putrAMshcha prati prAchIno.ahaM patraM likhAmi|
2JN.1.2	satyamatAd yuShmAsu mama premAsti kevalaM mama nahi kintu satyamataj nAnAM sarvveShAmeva| yataH satyamatam asmAsu tiShThatyanantakAlaM yAvachchAsmAsu sthAsyati|
2JN.1.3	piturIshvarAt tatpituH putrAt prabho ryIshukhrIShTAchcha prApyo .anugrahaH kR^ipA shAntishcha satyatApremabhyAM sArddhaM yuShmAn adhitiShThatu|
2JN.1.4	vayaM pitR^ito yAm Aj nAM prAptavantastadanusAreNa tava kechid AtmajAH satyamatam Acharantyetasya pramANaM prApyAhaM bhR^isham AnanditavAn|
2JN.1.5	sAmprata ncha he kuriye, navInAM kA nchid Aj nAM na likhannaham Adito labdhAm Aj nAM likhan tvAm idaM vinaye yad asmAbhiH parasparaM prema karttavyaM|
2JN.1.6	aparaM premaitena prakAshate yad vayaM tasyAj nA Acharema| Adito yuShmAbhi ryA shrutA seyam Aj nA sA cha yuShmAbhirAcharitavyA|
2JN.1.7	yato bahavaH prava nchakA jagat pravishya yIshukhrIShTo narAvatAro bhUtvAgata etat nA NgIkurvvanti sa eva prava nchakaH khrIShTArishchAsti|
2JN.1.8	asmAkaM shramo yat paNDashramo na bhavet kintu sampUrNaM vetanamasmAbhi rlabhyeta tadarthaM svAnadhi sAvadhAnA bhavataH|
2JN.1.9	yaH kashchid vipathagAmI bhUtvA khrIShTasya shikShAyAM na tiShThati sa IshvaraM na dhArayati khrIShTasya shij nAyAM yastiShThati sa pitaraM putra ncha dhArayati|
2JN.1.10	yaH kashchid yuShmatsannidhimAgachChan shikShAmenAM nAnayati sa yuShmAbhiH svaveshmani na gR^ihyatAM tava ma NgalaM bhUyAditi vAgapi tasmai na kathyatAM|
2JN.1.11	yatastava ma NgalaM bhUyAditi vAchaM yaH kashchit tasmai kathayati sa tasya duShkarmmaNAm aMshI bhavati|
2JN.1.12	yuShmAn prati mayA bahUni lekhitavyAni kintu patramasIbhyAM tat karttuM nechChAmi, yato .asmAkam Anando yathA sampUrNo bhaviShyati tathA yuShmatsamIpamupasthAyAhaM sammukhIbhUya yuShmAbhiH sambhAShiShya iti pratyAshA mamAste|
2JN.1.13	tavAbhiruchitAyA bhaginyA bAlakAstvAM namaskAraM j nApayanti| Amen|
3JN.1.1	prAchIno .ahaM satyamatAd yasmin prIye taM priyatamaM gAyaM prati patraM likhAmi|
3JN.1.2	he priya, tavAtmA yAdR^ik shubhAnvitastAdR^ik sarvvaviShaye tava shubhaM svAsthya ncha bhUyAt|
3JN.1.3	bhrAtR^ibhirAgatya tava satyamatasyArthatastvaM kIdR^ik satyamatamAcharasyetasya sAkShye datte mama mahAnando jAtaH|
3JN.1.4	mama santAnAH satyamatamAcharantItivArttAto mama ya Anando jAyate tato mahattaro nAsti|
3JN.1.5	he priya, bhrAtR^in prati visheShatastAn videshino bhR^iाtR^in prati tvayA yadyat kR^itaM tat sarvvaM vishvAsino yogyaM|
3JN.1.6	te cha samiteH sAkShAt tava pramnaH pramANaM dattavantaH, aparam IshvarayogyarUpeNa tAn prasthApayatA tvayA satkarmma kAriShyate|
3JN.1.7	yataste tasya nAmnA yAtrAM vidhAya bhinnajAtIyebhyaH kimapi na gR^ihItavantaH|
3JN.1.8	tasmAd vayaM yat satyamatasya sahAyA bhavema tadarthametAdR^ishA lokA asmAbhiranugrahItavyAH|
3JN.1.9	samitiM pratyahaM patraM likhitavAn kintu teShAM madhye yo diyatriphiH pradhAnAyate so .asmAn na gR^ihlAti|
3JN.1.10	ato .ahaM yadopasthAsyAmi tadA tena yadyat kriyate tat sarvvaM taM smArayiShyAmi, yataH sa durvvAkyairasmAn apavadati, tenApi tR^iptiM na gatvA svayamapi bhrAtR^in nAnugR^ihlAti ye chAnugrahItumichChanti tAn samitito .api bahiShkaroti|
3JN.1.11	he priya, tvayA duShkarmma nAnukriyatAM kintu satkarmmaiva| yaH satkarmmAchArI sa IshvarAt jAtaH, yo duShkarmmAchArI sa IshvaraM na dR^iShTavAn|
3JN.1.12	dImItriyasya pakShe sarvvaiH sAkShyam adAyi visheShataH satyamatenApi, vayamapi tatpakShe sAkShyaM dadmaH, asmAka ncha sAkShyaM satyameveti yUyaM jAnItha|
3JN.1.13	tvAM prati mayA bahUni lekhitavyAni kintu masIlekhanIbhyAM lekhituM nechChAmi|
3JN.1.14	achireNa tvAM drakShyAmIti mama pratyAshAste tadAvAM sammukhIbhUya parasparaM sambhAShiShyAvahe|
3JN.1.15	tava shAnti rbhUyAt| asmAkaM mitrANi tvAM namaskAraM j nApayanti tvamapyekaikasya nAma prochya mitrebhyo namaskuru| iti|
JUD.1.1	yIshukhrIShTasya dAso yAkUbo bhrAtA yihUdAstAteneshvareNa pavitrIkR^itAn yIshukhrIShTena rakShitAMshchAhUtAn lokAn prati patraM likhati|
JUD.1.2	kR^ipA shAntiH prema cha bAhulyarUpeNa yuShmAsvadhitiShThatu|
JUD.1.3	he priyAH, sAdhAraNaparitrANamadhi yuShmAn prati lekhituM mama bahuyatne jAte pUrvvakAle pavitralokeShu samarpito yo dharmmastadarthaM yUyaM prANavyayenApi sacheShTA bhavateti vinayArthaM yuShmAn prati patralekhanamAvashyakam amanye|
JUD.1.4	yasmAd etadrUpadaNDaprAptaye pUrvvaM likhitAH kechijjanA asmAn upasR^iptavantaH, te .adhArmmikalokA asmAkam IshvarasyAnugrahaM dhvajIkR^itya lampaTatAm Acharanti, advitIyo .adhipati ryo .asmAkaM prabhu ryIshukhrIShTastaM nA NgIkurvvanti|
JUD.1.5	tasmAd yUyaM purA yad avagatAstat puna ryuShmAn smArayitum ichChAmi, phalataH prabhurekakR^itvaH svaprajA misaradeshAd udadhAra yat tataH param avishvAsino vyanAshayat|
JUD.1.6	ye cha svargadUtAH svIyakartR^itvapade na sthitvA svavAsasthAnaM parityaktavantastAn sa mahAdinasya vichArArtham andhakAramaye .adhaHsthAne sadAsthAyibhi rbandhanairabadhnAt|
JUD.1.7	aparaM sidomam amorA tannikaTasthanagarANi chaiteShAM nivAsinastatsamarUpaM vyabhichAraM kR^itavanto viShamamaithunasya cheShTayA vipathaM gatavantashcha tasmAt tAnyapi dR^iShTAntasvarUpANi bhUtvA sadAtanavahninA daNDaM bhu njate|
JUD.1.8	tathaiveme svapnAchAriNo.api svasharIrANi kala Nkayanti rAjAdhInatAM na svIkurvvantyuchchapadasthAn nindanti cha|
JUD.1.9	kintu pradhAnadivyadUto mIkhAyelo yadA mUsaso dehe shayatAnena vivadamAnaH samabhAShata tadA tisman nindArUpaM daNDaM samarpayituM sAhasaM na kR^itvAkathayat prabhustvAM bhartsayatAM|
JUD.1.10	kintvime yanna budhyante tannindanti yachcha nirbbodhapashava ivendriyairavagachChanti tena nashyanti|
JUD.1.11	tAn dhik, te kAbilo mArge charanti pAritoShikasyAshAto biliyamo bhrAntimanudhAvanti korahasya durmmukhatvena vinashyanti cha|
JUD.1.12	yuShmAkaM premabhojyeShu te vighnajanakA bhavanti, Atmambharayashcha bhUtvA nirlajjayA yuShmAbhiH sArddhaM bhu njate| te vAyubhishchAlitA nistoyameghA hemantakAlikA niShphalA dvi rmR^itA unmUlitA vR^ikShAH,
JUD.1.13	svakIyalajjApheNodvamakAH prachaNDAH sAmudratara NgAH sadAkAlaM yAvat ghoratimirabhAgIni bhramaNakArINi nakShatrANi cha bhavanti|
JUD.1.14	AdamataH saptamaH puruSho yo hanokaH sa tAnuddishya bhaviShyadvAkyamidaM kathitavAn, yathA, pashya svakIyapuNyAnAm ayutai rveShTitaH prabhuH|
JUD.1.15	sarvvAn prati vichArAj nAsAdhanAyAgamiShyati| tadA chAdhArmmikAH sarvve jAtA yairaparAdhinaH| vidharmmakarmmaNAM teShAM sarvveShAmeva kAraNAt| tathA tadvaiparItyenApyadharmmAchAripApinAM| uktakaThoravAkyAnAM sarvveShAmapi kAraNAt| parameshena doShitvaM teShAM prakAshayiShyate||
JUD.1.16	te vAkkalahakAriNaH svabhAgyanindakAH svechChAchAriNo darpavAdimukhavishiShTA lAbhArthaM manuShyastAvakAshcha santi|
JUD.1.17	kintu he priyatamAH, asmAkaM prabho ryIshukhrIShTasya preritai ryad vAkyaM pUrvvaM yuShmabhyaM kathitaM tat smarata,
JUD.1.18	phalataH sheShasamaye svechChAto .adharmmAchAriNo nindakA upasthAsyantIti|
JUD.1.19	ete lokAH svAn pR^ithak kurvvantaH sAMsArikA AtmahInAshcha santi|
JUD.1.20	kintu he priyatamAH, yUyaM sveShAm atipavitravishvAse nichIyamAnAH pavitreNAtmanA prArthanAM kurvvanta
JUD.1.21	Ishvarasya premnA svAn rakShata, anantajIvanAya chAsmAkaM prabho ryIshukhrIShTasya kR^ipAM pratIkShadhvaM|
JUD.1.22	aparaM yUyaM vivichya kAMshchid anukampadhvaM
JUD.1.23	kAMshchid agnita uddhR^itya bhayaM pradarshya rakShata, shArIrikabhAvena kala NkitaM vastramapi R^itIyadhvaM|
JUD.1.24	apara ncha yuShmAn skhalanAd rakShitum ullAsena svIyatejasaH sAkShAt nirddoShAn sthApayitu ncha samartho
JUD.1.25	yo .asmAkam advitIyastrANakarttA sarvvaj na Ishvarastasya gauravaM mahimA parAkramaH kartR^itva nchedAnIm anantakAlaM yAvad bhUyAt| Amen|
REV.1.1	yat prakAshitaM vAkyam IshvaraH svadAsAnAM nikaTaM shIghramupasthAsyantInAM ghaTanAnAM darshanArthaM yIshukhrIShTe samarpitavAn tat sa svIyadUtaM preShya nijasevakaM yohanaM j nApitavAn|
REV.1.2	sa cheshvarasya vAkye khrIShTasya sAkShye cha yadyad dR^iShTavAn tasya pramANaM dattavAn|
REV.1.3	etasya bhaviShyadvaktR^igranthasya vAkyAnAM pAThakaH shrotArashcha tanmadhye likhitAj nAgrAhiNashcha dhanyA yataH sa kAlaH sannikaTaH|
REV.1.4	yohan AshiyAdeshasthAH sapta samitIH prati patraM likhati| yo varttamAno bhUto bhaviShyaMshcha ye cha saptAtmAnastasya siMhAsanasya sammukheे tiShThanti
REV.1.5	yashcha yIshukhrIShTo vishvastaH sAkShI mR^itAnAM madhye prathamajAto bhUmaNDalastharAjAnAm adhipatishcha bhavati, etebhyo .anugrahaH shAntishcha yuShmAsu varttatAM|
REV.1.6	yo .asmAsu prItavAn svarudhireNAsmAn svapApebhyaH prakShAlitavAn tasya piturIshvarasya yAjakAn kR^itvAsmAn rAjavarge niyuktavAMshcha tasmin mahimA parAkramashchAnantakAlaM yAvad varttatAM| Amen|
REV.1.7	pashyata sa meghairAgachChati tenaikaikasya chakShustaM drakShyati ye cha taM viddhavantaste .api taM vilokiShyante tasya kR^ite pR^ithivIsthAH sarvve vaMshA vilapiShyanti| satyam Amen|
REV.1.8	varttamAno bhUto bhaviShyaMshcha yaH sarvvashaktimAn prabhuH parameshvaraH sa gadati, ahameva kaH kShashchArthata Adirantashcha|
REV.1.9	yuShmAkaM bhrAtA yIshukhrIShTasya klesharAjyatitikShANAM sahabhAgI chAhaM yohan Ishvarasya vAkyaheto ryIshukhrIShTasya sAkShyahetoshcha pAtmanAmaka upadvIpa AsaM|
REV.1.10	tatra prabho rdine AtmanAviShTo .ahaM svapashchAt tUrIdhvanivat mahAravam ashrauShaM,
REV.1.11	tenoktam, ahaM kaH kShashchArthata Adirantashcha| tvaM yad drakShyasi tad granthe likhitvAshiyAdeshasthAnAM sapta samitInAM samIpam iphiShaM smurNAM thuyAtIrAM sArddiM philAdilphiyAM lAyadIkeyA ncha preShaya|
REV.1.12	tato mayA sambhAShamANasya kasya ravaH shrUyate taddarshanArthaM mukhaM parAvarttitaM tat parAvartya svarNamayAH sapta dIpavR^ikShA dR^iShTAH|
REV.1.13	teShAM sapta dIpavR^ikShANAM madhye dIrghaparichChadaparihitaH suvarNashR^i Nkhalena veShTitavakShashcha manuShyaputrAkR^itireko janastiShThati,
REV.1.14	tasya shiraH keshashcha shvetameShalomAnIva himavat shretau lochane vahnishikhAsame
REV.1.15	charaNau vahnikuNDetApitasupittalasadR^ishau ravashcha bahutoyAnAM ravatulyaH|
REV.1.16	tasya dakShiNahaste sapta tArA vidyante vaktrAchcha tIkShNo dvidhAraH kha Ngo nirgachChati mukhamaNDala ncha svatejasA dedIpyamAnasya sUryyasya sadR^ishaM|
REV.1.17	taM dR^iShTvAhaM mR^itakalpastachcharaNe patitastataH svadakShiNakaraM mayi nidhAya tenoktam mA bhaiShIH; aham Adirantashcha|
REV.1.18	aham amarastathApi mR^itavAn kintu pashyAham anantakAlaM yAvat jIvAmi| Amen| mR^ityoH paralokasya cha ku njikA mama hastagatAH|
REV.1.19	ato yad bhavati yachchetaH paraM bhaviShyati tvayA dR^iShTaM tat sarvvaM likhyatAM|
REV.1.20	mama dakShiNahaste sthitA yAH sapta tArA ye cha svarNamayAH sapta dIpavR^ikShAstvayA dR^iShTAstattAtparyyamidaM tAH sapta tArAH sapta samitInAM dUtAH suvarNamayAH sapta dIpavR^ikShAshcha sapta samitayaH santi|
REV.2.1	iphiShasthasamite rdUtaM prati tvam idaM likha; yo dakShiNakareNa sapta tArA dhArayati saptAnAM suvarNadIpavR^ikShANAM madhye gamanAgamane karoti cha tenedam uchyate|
REV.2.2	tava kriyAH shramaH sahiShNutA cha mama gocharAH, tvaM duShTAn soDhuM na shaknoShi ye cha preritA na santaH svAn preritAn vadanti tvaM tAn parIkShya mR^iShAbhAShiNo vij nAtavAn,
REV.2.3	aparaM tvaM titikShAM vidadhAsi mama nAmArthaM bahu soDhavAnasi tathApi na paryyaklAmyastadapi jAnAmi|
REV.2.4	ki ncha tava viruddhaM mayaitat vaktavyaM yat tava prathamaM prema tvayA vyahIyata|
REV.2.5	ataH kutaH patito .asi tat smR^itvA manaH parAvarttya pUrvvIyakriyAH kuru na chet tvayA manasi na parivarttite .ahaM tUrNam Agatya tava dIpavR^ikShaM svasthAnAd apasArayiShyAmi|
REV.2.6	tathApi taveSha guNo vidyate yat nIkalAyatIyalokAnAM yAH kriyA aham R^itIye tAstvamapi R^itIyame|
REV.2.7	yasya shrotraM vidyate sa samitIH pratyuchyamAnAm AtmanaH kathAM shR^iNotu| yo jano jayati tasmA aham IshvarasyArAmasthajIvanataroH phalaM bhoktuM dAsyAmi|
REV.2.8	aparaM smurNAsthasamite rdUtaM pratIdaM likha; ya Adirantashcha yo mR^itavAn punarjIvitavAMshcha tenedam uchyate,
REV.2.9	tava kriyAH klesho dainya ncha mama gocharAH kintu tvaM dhanavAnasi ye cha yihUdIyA na santaH shayatAnasya samAjAH santi tathApi svAn yihUdIyAn vadanti teShAM nindAmapyahaM jAnAmi|
REV.2.10	tvayA yo yaH kleshaH soDhavyastasmAt mA bhaiShIH pashya shayatAno yuShmAkaM parIkShArthaM kAMshchit kArAyAM nikShepsyati dasha dinAni yAvat klesho yuShmAsu varttiShyate cha| tvaM mR^ityuparyyantaM vishvAsyo bhava tenAhaM jIvanakirITaM tubhyaM dAsyAmi|
REV.2.11	yasya shrotraM vidyate sa samitIH pratyuchyamAnAm AtmanaH kathAM shR^iNotu| yo jayati sa dvitIyamR^ityunA na hiMsiShyate|
REV.2.12	aparaM pargAmasthasamite rdUtaM pratIdaM likha, yastIkShNaM dvidhAraM kha NgaM dhArayati sa eva bhAShate|
REV.2.13	tava kriyA mama gocharAH, yatra shayatAnasya siMhAsanaM tatraiva tvaM vasasi tadapi jAnAmi| tvaM mama nAma dhArayasi madbhakterasvIkArastvayA na kR^ito mama vishvAsyasAkShiNa AntipAH samaye .api na kR^itaH| sa tu yuShmanmadhye .aghAni yataH shayatAnastatraiva nivasati|
REV.2.14	tathApi tava viruddhaM mama ki nchid vaktavyaM yato devaprasAdAdanAya paradAragamanAya chesrAyelaH santAnAnAM sammukha unmAthaM sthApayituM bAlAk yenAshikShyata tasya biliyamaH shikShAvalambinastava kechit janAstatra santi|
REV.2.15	tathA nIkalAyatIyAnAM shikShAvalambinastava kechit janA api santi tadevAham R^itIye|
REV.2.16	ato hetostvaM manaH parivarttaya na chedahaM tvarayA tava samIpamupasthAya madvaktasthakha Ngena taiH saha yotsyAmi|
REV.2.17	yasya shrotraM vidyate sa samitIH pratyuchyamAnAm AtmanaH kathAM shR^iNotu| yo jano jayati tasmA ahaM guptamAnnAM bhoktuM dAsyAmi shubhraprastaramapi tasmai dAsyAmi tatra prastare nUtanaM nAma likhitaM tachcha grahItAraM vinA nAnyena kenApyavagamyate|
REV.2.18	aparaM thuyAtIrAsthasamite rdUtaM pratIdaM likha| yasya lochane vahnishikhAsadR^ishe charaNau cha supittalasa NkAshau sa Ishvaraputro bhAShate,
REV.2.19	tava kriyAH prema vishvAsaH paricharyyA sahiShNutA cha mama gocharAH, tava prathamakriyAbhyaH sheShakriyAH shreShThAstadapi jAnAmi|
REV.2.20	tathApi tava viruddhaM mayA ki nchid vaktavyaM yato yA IShebalnAmikA yoShit svAM bhaviShyadvAdinIM manyate veshyAgamanAya devaprasAdAshanAya cha mama dAsAn shikShayati bhrAmayati cha sA tvayA na nivAryyate|
REV.2.21	ahaM manaHparivarttanAya tasyai samayaM dattavAn kintu sA svIyaveshyAkriyAto manaHparivarttayituM nAbhilaShati|
REV.2.22	pashyAhaM tAM shayyAyAM nikShepsyAmi, ye tayA sArddhaM vyabhichAraM kurvvanti te yadi svakriyAbhyo manAMsi na parAvarttayanti tarhi tAnapi mahAkleshe nikShepsyAmi
REV.2.23	tasyAH santAnAMshcha mR^ityunA haniShyAmi| tenAham antaHkaraNAnAM manasA nchAnusandhAnakArI yuShmAkamekaikasmai cha svakriyANAM phalaM mayA dAtavyamiti sarvvAH samitayo j nAsyanti|
REV.2.24	aparam avashiShTAn thuyAtIrasthalokAn arthato yAvantastAM shikShAM na dhArayanti ye cha kaishchit shayatAnasya gambhIrArthA uchyante tAn ye nAvagatavantastAnahaM vadAmi yuShmAsu kamapyaparaM bhAraM nAropayiShyAmi;
REV.2.25	kintu yad yuShmAkaM vidyate tat mamAgamanaM yAvad dhArayata|
REV.2.26	yo jano jayati sheShaparyyantaM mama kriyAH pAlayati cha tasmA aham anyajAtIyAnAm AdhipatyaM dAsyAmi;
REV.2.27	pitR^ito mayA yadvat kartR^itvaM labdhaM tadvat so .api lauhadaNDena tAn chArayiShyati tena mR^idbhAjanAnIva te chUrNA bhaviShyanti|
REV.2.28	aparam ahaM tasmai prabhAtIyatArAm api dAsyAmi|
REV.2.29	yasya shrotraM vidyate sa samitIH pratyuchyamAnAm AtmanaH kathAM shR^iNotu|
REV.3.1	aparaM sArddisthasamite rdUtaM pratIdaM likha, yo jana Ishvarasya saptAtmanaH sapta tArAshcha dhArayati sa eva bhAShate, tava kriyA mama gocharAH, tvaM jIvadAkhyo .asi tathApi mR^ito .asi tadapi jAnAmi|
REV.3.2	prabuddho bhava, avashiShTaM yadyat mR^itakalpaM tadapi sabalIkuru yata Ishvarasya sAkShAt tava karmmANi na siddhAnIti pramANaM mayA prAptaM|
REV.3.3	ataH kIdR^ishIM shikShAM labdhavAn shrutavAshchAsi tat smaran tAM pAlaya svamanaH parivarttaya cha| chet prabuddho na bhavestarhyahaM stena iva tava samIpam upasthAsyAmi ki ncha kasmin daNDe upasthAsyAmi tanna j nAsyasi|
REV.3.4	tathApi yaiH svavAsAMsi na kala NkitAni tAdR^ishAH katipayalokAH sArddinagare .api tava vidyante te shubhraparichChadai rmama sa Nge gamanAgamane kariShyanti yataste yogyAH|
REV.3.5	yo jano jayati sa shubhraparichChadaM paridhApayiShyante, aha ncha jIvanagranthAt tasya nAma nAntardhApayiShyAmi kintu matpituH sAkShAt tasya dUtAnAM sAkShAchcha tasya nAma svIkariShyAmi|
REV.3.6	yasya shrotraM vidyate sa samitIH pratyuchyamAnAm AtmanaH kathAM shR^iNotu|
REV.3.7	apara ncha philAdilphiyAsthasamite rdUtaM pratIdaM likha, yaH pavitraH satyamayashchAsti dAyUdaH ku njikAM dhArayati cha yena mochite .aparaH ko.api na ruNaddhi ruddhe chAparaH ko.api na mochayati sa eva bhAShate|
REV.3.8	tava kriyA mama gocharAH pashya tava samIpe .ahaM muktaM dvAraM sthApitavAn tat kenApi roddhuM na shakyate yatastavAlpaM balamAste tathApi tvaM mama vAkyaM pAlitavAn mama nAmno .asvIkAraM na kR^itavAMshcha|
REV.3.9	pashya yihUdIyA na santo ye mR^iShAvAdinaH svAn yihUdIyAn vadanti teShAM shayatAnasamAjIyAnAM kAMshchid aham AneShyAmi pashya te madAj nAta Agatya tava charaNayoH praNaMsyanti tva ncha mama priyo .asIti j nAsyanti|
REV.3.10	tvaM mama sahiShNutAsUchakaM vAkyaM rakShitavAnasi tatkAraNAt pR^ithivInivAsinAM parIkShArthaM kR^itsnaM jagad yenAgAmiparIkShAdinenAkramiShyate tasmAd ahamapi tvAM rakShiShyAmi|
REV.3.11	pashya mayA shIghram AgantavyaM tava yadasti tat dhAraya ko .api tava kirITaM nApaharatu|
REV.3.12	yo jano jayati tamahaM madIyeshvarasya mandire stambhaM kR^itvA sthApayisyAmi sa puna rna nirgamiShyati| apara ncha tasmin madIyeshvarasya nAma madIyeshvarasya puryyA api nAma arthato yA navInA yirUshAnam purI svargAt madIyeshvarasya samIpAd avarokShyati tasyA nAma mamApi nUtanaM nAma lekhiShyAmi|
REV.3.13	yasya shrotraM vidyate sa samitIH pratyuchyamAnAm AtmanaH kathAM shR^iNotu|
REV.3.14	apara ncha lAyadikeyAsthasamite rdUtaM pratIdaM likha, ya Amen arthato vishvAsyaH satyamayashcha sAkShI, Ishvarasya sR^iShTerAdishchAsti sa eva bhAShate|
REV.3.15	tava kriyA mama gocharAH tvaM shIto nAsi tapto .api nAsIti jAnAmi|
REV.3.16	tava shItatvaM taptatvaM vA varaM bhavet, shIto na bhUtvA tapto .api na bhUtvA tvamevambhUtaH kadUShNo .asi tatkAraNAd ahaM svamukhAt tvAm udvamiShyAmi|
REV.3.17	ahaM dhanI samR^iddhashchAsmi mama kasyApyabhAvo na bhavatIti tvaM vadasi kintu tvameva duHkhArtto durgato daridro .andho nagnashchAsi tat tvayA nAvagamyate|
REV.3.18	tvaM yad dhanI bhavestadarthaM matto vahnau tApitaM suvarNaM krINIhi nagnatvAt tava lajjA yanna prakAsheta tadarthaM paridhAnAya mattaH shubhravAsAMsi krINIhi yachcha tava dR^iShTiH prasannA bhavet tadarthaM chakShurlepanAyA njanaM mattaH krINIhIti mama mantraNA|
REV.3.19	yeShvahaM prIye tAn sarvvAn bhartsayAmi shAsmi cha, atastvam udyamaM vidhAya manaH parivarttaya|
REV.3.20	pashyAhaM dvAri tiShThan tad Ahanmi yadi kashchit mama ravaM shrutvA dvAraM mochayati tarhyahaM tasya sannidhiM pravishya tena sArddhaM bhokShye so .api mayA sArddhaM bhokShyate|
REV.3.21	aparamahaM yathA jitavAn mama pitrA cha saha tasya siMhAsana upaviShTashchAsmi, tathA yo jano jayati tamahaM mayA sArddhaM matsiMhAsana upaveshayiShyAmi|
REV.3.22	yasya shrotraM vidyate sa samitIH pratyuchyamAnam AtmanaH kathAM shR^iNotu|
REV.4.1	tataH paraM mayA dR^iShTipAtaM kR^itvA svarge muktaM dvAram ekaM dR^iShTaM mayA sahabhAShamANasya cha yasya tUrIvAdyatulyo ravaH pUrvvaM shrutaH sa mAm avochat sthAnametad Arohaya, itaH paraM yena yena bhavitavyaM tadahaM tvAM darshayiShye|
REV.4.2	tenAhaM tatkShaNAd AtmAviShTo bhUtvA .apashyaM svarge siMhAsanamekaM sthApitaM tatra siMhAsane eko jana upaviShTo .asti|
REV.4.3	siMhAsane upaviShTasya tasya janasya rUpaM sUryyakAntamaNeH pravAlasya cha tulyaM tat siMhAsana ncha marakatamaNivadrUpavishiShTena meghadhanuShA veShTitaM|
REV.4.4	tasya siMhAsane chaturdikShu chaturviMshatisiMhAsanAni tiShThanti teShu siMhAsaneShu chaturviMshati prAchInalokA upaviShTAste shubhravAsaHparihitAsteShAM shirAMsi cha suvarNakirITai rbhUShitAni|
REV.4.5	tasya siMhAsanasya madhyAt taDito ravAH stanitAni cha nirgachChanti siMhAsanasyAntike cha sapta dIpA jvalanti ta Ishvarasya saptAtmAnaH|
REV.4.6	aparaM siMhAsanasyAntike sphaTikatulyaH kAchamayo jalAshayo vidyate, aparam agrataH pashchAchcha bahuchakShuShmantashchatvAraH prANinaH siMhasanasya madhye chaturdikShu cha vidyante|
REV.4.7	teShAM prathamaH prANI siMhAkAro dvitIyaH prANI govAtsAkArastR^itIyaH prANI manuShyavadvadanavishiShTashchaturthashcha prANI uDDIyamAnakuraropamaH|
REV.4.8	teShAM chaturNAm ekaikasya prANinaH ShaT pakShAH santi te cha sarvvA NgeShvabhyantare cha bahuchakShurvishiShTAH, te divAnishaM na vishrAmya gadanti pavitraH pavitraH pavitraH sarvvashaktimAn varttamAno bhUto bhaviShyaMshcha prabhuH parameshvaraH|
REV.4.9	itthaM taiH prANibhistasyAnantajIvinaH siMhAsanopaviShTasya janasya prabhAve gaurave dhanyavAde cha prakIrttite
REV.4.10	te chaturviMshatiprAchInA api tasya siMhAsanopaviShTasyAntike praNinatya tam anantajIvinaM praNamanti svIyakirITAMshcha siMhAsanasyAntike nikShipya vadanti,
REV.4.11	he prabho IshvarAsmAkaM prabhAvaM gauravaM balaM| tvamevArhasi samprAptuM yat sarvvaM sasR^ije tvayA| tavAbhilAShatashchaiva sarvvaM sambhUya nirmmame||
REV.5.1	anantaraM tasya sihAsanopaviShTajanasya dakShiNaste .anta rbahishcha likhitaM patramekaM mayA dR^iShTaM tat saptamudrAbhira NkitaM|
REV.5.2	tatpashchAd eko balavAn dUto dR^iShTaH sa uchchaiH svareNa vAchamimAM ghoShayati kaH patrametad vivarItuM tammudrA mochayitu nchArhati?
REV.5.3	kintu svargamarttyapAtAleShu tat patraM vivarItuM nirIkShitu ncha kasyApi sAmarthyaM nAbhavat|
REV.5.4	ato yastat patraM vivarItuM nirIkShitu nchArhati tAdR^ishajanasyAbhAvAd ahaM bahu roditavAn|
REV.5.5	kintu teShAM prAchInAnAm eko jano mAmavadat mA rodIH pashya yo yihUdAvaMshIyaH siMho dAyUdo mUlasvarUpashchAsti sa patrasya tasya saptamudrANA ncha mochanAya pramUtavAn|
REV.5.6	aparaM siMhAsanasya chaturNAM prANinAM prAchInavargasya cha madhya eko meShashAvako mayA dR^iShTaH sa Chedita iva tasya saptashR^i NgANi saptalochanAni cha santi tAni kR^itsnAM pR^ithivIM preShitA Ishvarasya saptAtmAnaH|
REV.5.7	sa upAgatya tasya siMhAsanopaviShTajanasya dakShiNakarAt tat patraM gR^ihItavAn|
REV.5.8	patre gR^ihIte chatvAraH prANinashchaturviMMshatiprAchInAshcha tasya meShashAvakasyAntike praNipatanti teShAm ekaikasya karayo rvINAM sugandhidravyaiH paripUrNaM svarNamayapAtra ncha tiShThati tAni pavitralokAnAM prArthanAsvarUpANi|
