MAT.1.1	ibrāhīmaḥ santāno dāyūd tasya santāno yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśreṇī|
2TI.2.20	kintu bṛhanniketane kevala suvarṇamayāni raupyamayāṇi ca bhājanāni vidyanta iti tarhi kāṣṭhamayāni mṛṇmayānyapi vidyante teṣāñca kiyanti sammānāya kiyantapamānāya ca bhavanti|
2TI.2.21	ato yadi kaścid etādṛśebhyaḥ svaṁ pariṣkaroti tarhi sa pāvitaṁ prabhoḥ kāryyayogyaṁ sarvvasatkāryyāyopayuktaṁ sammānārthakañca bhājanaṁ bhaviṣyati|
2TI.2.22	yauvanāvasthāyā abhilāṣāstvayā parityajyantāṁ dharmmo viśvāsaḥ prema ye ca śucimanobhiḥ prabhum uddiśya prārthanāṁ kurvvate taiḥ sārddham aikyabhāvaścaiteṣu tvayā yatno vidhīyatāṁ|
2TI.2.23	aparaṁ tvam anarthakān ajñānāṁśca praśnān vāgyuddhotpādakān jñātvā dūrīkuru|
2TI.2.24	yataḥ prabho rdāsena yuddham akarttavyaṁ kintu sarvvān prati śāntena śikṣādānecchukena sahiṣṇunā ca bhavitavyaṁ, vipakṣāśca tena namratvena cetitavyāḥ|
2TI.2.25	tathā kṛte yadīśvaraḥ satyamatasya jñānārthaṁ tebhyo manaḥparivarttanarūpaṁ varaṁ dadyāt,
2TI.2.26	tarhi te yena śayatānena nijābhilāṣasādhanāya dhṛtāstasya jālāt cetanāṁ prāpyoddhāraṁ labdhuṁ śakṣyanti|
2TI.3.1	caramadineṣu kleśajanakāḥ samayā upasthāsyantīti jānīhi|
2TI.3.2	yatastātkālikā lokā ātmapremiṇo 'rthapremiṇa ātmaślāghino 'bhimānino nindakāḥ pitroranājñāgrāhiṇaḥ kṛtaghnā apavitrāḥ
2TI.3.3	prītivarjitā asandheyā mṛṣāpavādino 'jitendriyāḥ pracaṇḍā bhadradveṣiṇo
2TI.3.4	viśvāsaghātakā duḥsāhasino darpadhmātā īśvarāpremiṇaḥ kintu sukhapremiṇo
2TI.3.5	bhaktaveśāḥ kintvasvīkṛtabhaktiguṇā bhaviṣyanti; etādṛśānāṁ lokānāṁ saṁmargaṁ parityaja|
2TI.3.6	yato ye janāḥ pracchannaṁ gehān praviśanti pāpai rbhāragrastā nānāvidhābhilāṣaiścālitā yāḥ kāminyo
2TI.3.7	nityaṁ śikṣante kintu satyamatasya tattvajñānaṁ prāptuṁ kadācit na śaknuvanti tā dāsīvad vaśīkurvvate ca te tādṛśā lokāḥ|
2TI.3.8	yānni ryāmbriśca yathā mūsamaṁ prati vipakṣatvam akurutāṁ tathaiva bhraṣṭamanaso viśvāsaviṣaye 'grāhyāścaite lokā api satyamataṁ prati vipakṣatāṁ kurvvanti|
2TI.3.9	kintu te bahudūram agrasarā na bhaviṣyanti yatastayo rmūḍhatā yadvat tadvad eteṣāmapi mūḍhatā sarvvadṛśyā bhaviṣyati|
2TI.3.10	mamopadeśaḥ śiṣṭatābhiprāyo viśvāso rdharyyaṁ prema sahiṣṇutopadravaḥ kleśā
2TI.3.11	āntiyakhiyāyām ikaniye lūstrāyāñca māṁ prati yadyad aghaṭata yāṁścopadravān aham asahe sarvvametat tvam avagato'si kintu tatsarvvataḥ prabhu rmām uddhṛtavān|
2TI.3.12	parantu yāvanto lokāḥ khrīṣṭena yīśuneśvarabhaktim ācaritum icchanti teṣāṁ sarvveṣām upadravo bhaviṣyati|
2TI.3.13	aparaṁ pāpiṣṭhāḥ khalāśca lokā bhrāmyanto bhramayantaścottarottaraṁ duṣṭatvena varddhiṣyante|
2TI.3.14	kintu tvaṁ yad yad aśikṣathāḥ, yacca tvayi samarpitam abhūt tasmin avatiṣṭha, yataḥ kasmāt śikṣāṁ prāpto'si tad vetsi;
2TI.3.15	yāni ca dharmmaśāstrāṇi khrīṣṭe yīśau viśvāsena paritrāṇaprāptaye tvāṁ jñāninaṁ karttuṁ śaknuvanti tāni tvaṁ śaiśavakālād avagato'si|
2TI.3.16	tat sarvvaṁ śāstram īśvarasyātmanā dattaṁ śikṣāyai doṣabodhāya śodhanāya dharmmavinayāya ca phalayūktaṁ bhavati
2TI.3.17	tena ceśvarasya loko nipuṇaḥ sarvvasmai satkarmmaṇe susajjaśca bhavati|
2TI.4.1	īśvarasya gocare yaśca yīśuḥ khrīṣṭaḥ svīyāgamanakāle svarājatvena jīvatāṁ mṛtānāñca lokānāṁ vicāraṁ kariṣyati tasya gocare 'haṁ tvām idaṁ dṛḍham ājñāpayāmi|
2TI.4.2	tvaṁ vākyaṁ ghoṣaya kāle'kāle cotsuko bhava pūrṇayā sahiṣṇutayā śikṣayā ca lokān prabodhaya bhartsaya vinayasva ca|
2TI.4.3	yata etādṛśaḥ samaya āyāti yasmin lokā yathārtham upadeśam asahyamānāḥ karṇakaṇḍūyanaviśiṣṭā bhūtvā nijābhilāṣāt śikṣakān saṁgrahīṣyanti
2TI.4.4	satyamatācca śrotrāṇi nivarttya vipathagāmino bhūtvopākhyāneṣu pravarttiṣyante;
2TI.4.5	kintu tvaṁ sarvvaviṣaye prabuddho bhava duḥkhabhogaṁ svīkuru susaṁvādapracārakasya karmma sādhaya nijaparicaryyāṁ pūrṇatvena kuru ca|
2TI.4.6	mama prāṇānām utsargo bhavati mama prasthānakālaścopātiṣṭhat|
2TI.4.7	aham uttamayuddhaṁ kṛtavān gantavyamārgasyāntaṁ yāvad dhāvitavān viśvāsañca rakṣitavān|
2TI.4.8	śeṣaṁ puṇyamukuṭaṁ madarthaṁ rakṣitaṁ vidyate tacca tasmin mahādine yathārthavicārakeṇa prabhunā mahyaṁ dāyiṣyate kevalaṁ mahyam iti nahi kintu yāvanto lokāstasyāgamanam ākāṅkṣante tebhyaḥ sarvvebhyo 'pi dāyiṣyate|
2TI.4.9	tvaṁ tvarayā matsamīpam āgantuṁ yatasva,
2TI.4.10	yato dīmā aihikasaṁsāram īhamāno māṁ parityajya thiṣalanīkīṁ gatavān tathā krīṣki rgālātiyāṁ gatavān tītaśca dālmātiyāṁ gatavān|
2TI.4.11	kevalo lūko mayā sārddhaṁ vidyate| tvaṁ mārkaṁ saṅginaṁ kṛtvāgaccha yataḥ sa paricaryyayā mamopakārī bhaviṣyati,
2TI.4.12	tukhikañcāham iphiṣanagaraṁ preṣitavān|
2TI.4.13	yad ācchādanavastraṁ troyānagare kārpasya sannidhau mayā nikṣiptaṁ tvamāgamanasamaye tat pustakāni ca viśeṣataścarmmagranthān ānaya|
2TI.4.14	kāṁsyakāraḥ sikandaro mama bahvaniṣṭaṁ kṛtavān prabhustasya karmmaṇāṁ samucitaphalaṁ dadātu|
2TI.4.15	tvamapi tasmāt sāvadhānāstiṣṭha yataḥ so'smākaṁ vākyānām atīva vipakṣo jātaḥ|
2TI.4.16	mama prathamapratyuttarasamaye ko'pi mama sahāyo nābhavat sarvve māṁ paryyatyajan tān prati tasya doṣasya gaṇanā na bhūyāt;
2TI.4.17	kintu prabhu rmama sahāyo 'bhavat yathā ca mayā ghoṣaṇā sādhyeta bhinnajātīyāśca sarvve susaṁvādaṁ śṛṇuyustathā mahyaṁ śaktim adadāt tato 'haṁ siṁhasya mukhād uddhṛtaḥ|
2TI.4.18	aparaṁ sarvvasmād duṣkarmmataḥ prabhu rmām uddhariṣyati nijasvargīyarājyaṁ netuṁ māṁ tārayiṣyati ca| tasya dhanyavādaḥ sadākālaṁ bhūyāt| āmen|
2TI.4.19	tvaṁ priṣkām ākkilam anīṣipharasya parijanāṁśca namaskuru|
2TI.4.20	irāstaḥ karinthanagare 'tiṣṭhat traphimaśca pīḍitatvāt milītanagare mayā vyahīyata|
2TI.4.21	tvaṁ hemantakālāt pūrvvam āgantuṁ yatasva| ubūlaḥ pūdi rlīnaḥ klaudiyā sarvve bhrātaraśca tvāṁ namaskurvvate|
2TI.4.22	prabhu ryīśuḥ khrīṣṭastavātmanā saha bhūyāt| yuṣmāsvanugraho bhūyāt| āmen|
TIT.1.1	anantajīvanasyāśāto jātāyā īśvarabhakte ryogyasya satyamatasya yat tatvajñānaṁ yaśca viśvāsa īśvarasyābhirucitalokai rlabhyate tadarthaṁ
TIT.1.2	yīśukhrīṣṭasya prerita īśvarasya dāsaḥ paulo'haṁ sādhāraṇaviśvāsāt mama prakṛtaṁ dharmmaputraṁ tītaṁ prati likhami|
TIT.1.3	niṣkapaṭa īśvara ādikālāt pūrvvaṁ tat jīvanaṁ pratijñātavān svanirūpitasamaye ca ghoṣaṇayā tat prakāśitavān|
TIT.1.4	mama trāturīśvarasyājñayā ca tasya ghoṣaṇaṁ mayi samarpitam abhūt| asmākaṁ tāta īśvaraḥ paritrātā prabhu ryīśukhrīṣṭaśca tubhyam anugrahaṁ dayāṁ śāntiñca vitaratu|
TIT.1.5	tvaṁ yad asampūrṇakāryyāṇi sampūraye rmadīyādeśācca pratinagaraṁ prācīnagaṇān niyojayestadarthamahaṁ tvāṁ krītyupadvīpe sthāpayitvā gatavān|
TIT.1.6	tasmād yo naro 'nindita ekasyā yoṣitaḥ svāmī viśvāsinām apacayasyāvādhyatvasya vā doṣeṇāliptānāñca santānānāṁ janako bhavati sa eva yogyaḥ|
TIT.1.7	yato hetoradyakṣeṇeśvarasya gṛhādyakṣeṇevānindanīyena bhavitavyaṁ| tena svecchācāriṇā krodhinā pānāsaktena prahārakeṇa lobhinā vā na bhavitavyaṁ
TIT.1.8	kintvatithisevakena sallokānurāgiṇā vinītena nyāyyena dhārmmikeṇa jitendriyeṇa ca bhavitavyaṁ,
TIT.1.9	upadeśe ca viśvastaṁ vākyaṁ tena dhāritavyaṁ yataḥ sa yad yathārthenopadeśena lokān vinetuṁ vighnakāriṇaśca niruttarān karttuṁ śaknuyāt tad āvaśyakaṁ|
TIT.1.10	yataste bahavo 'vādhyā anarthakavākyavādinaḥ pravañcakāśca santi viśeṣataśchinnatvacāṁ madhye kecit tādṛśā lokāḥ santi|
TIT.1.11	teṣāñca vāgrodha āvaśyako yataste kutsitalābhasyāśayānucitāni vākyāni śikṣayanto nikhilaparivārāṇāṁ sumatiṁ nāśayanti|
TIT.1.12	teṣāṁ svadeśīya eko bhaviṣyadvādī vacanamidamuktavān, yathā, krītīyamānavāḥ sarvve sadā kāpaṭyavādinaḥ| hiṁsrajantusamānāste 'lasāścodarabhārataḥ||
TIT.1.13	sākṣyametat tathyaṁ, atoे hetostvaṁ tān gāḍhaṁ bhartsaya te ca yathā viśvāse svasthā bhaveyu
TIT.1.14	ryihūdīyopākhyāneṣu satyamatabhraṣṭānāṁ mānavānām ājñāsu ca manāṁsi na niveśayeyustathādiśa|
TIT.1.15	śucīnāṁ kṛte sarvvāṇyeva śucīni bhavanti kintu kalaṅkitānām aviśvāsināñca kṛte śuci kimapi na bhavati yatasteṣāṁ buddhayaḥ saṁvedāśca kalaṅkitāḥ santi|
TIT.1.16	īśvarasya jñānaṁ te pratijānanti kintu karmmabhistad anaṅgīkurvvate yataste garhitā anājñāgrāhiṇaḥ sarvvasatkarmmaṇaścāyogyāḥ santi|
TIT.2.1	yathārthasyopadeśasya vākyāni tvayā kathyantāṁ
TIT.2.2	viśeṣataḥ prācīnalokā yathā prabuddhā dhīrā vinītā viśvāse premni sahiṣṇutāyāñca svasthā bhaveyustadvat
TIT.2.3	prācīnayoṣito'pi yathā dharmmayogyam ācāraṁ kuryyuḥ paranindakā bahumadyapānasya nighnāśca na bhaveyuḥ
TIT.2.4	kintu suśikṣākāriṇyaḥ satya īśvarasya vākyaṁ yat na nindyeta tadarthaṁ yuvatīḥ suśīlatām arthataḥ patisneham apatyasnehaṁ
TIT.2.5	vinītiṁ śucitvaṁ gṛhiṇītvaṁ saujanyaṁ svāminighnañcādiśeyustathā tvayā kathyatāṁ|
TIT.2.6	tadvad yūno'pi vinītaye prabodhaya|
TIT.2.7	tvañca sarvvaviṣaye svaṁ satkarmmaṇāṁ dṛṣṭāntaṁ darśaya śikṣāyāñcāvikṛtatvaṁ dhīratāṁ yathārthaṁ
TIT.2.8	nirddoṣañca vākyaṁ prakāśaya tena vipakṣo yuṣmākam apavādasya kimapi chidraṁ na prāpya trapiṣyate|
TIT.2.9	dāsāśca yat svaprabhūnāṁ nighnāḥ sarvvaviṣaye tuṣṭijanakāśca bhaveyuḥ pratyuttaraṁ na kuryyuḥ
TIT.2.10	kimapi nāpahareyuḥ kintu pūrṇāṁ suviśvastatāṁ prakāśayeyuriti tān ādiśa| yata evamprakāreṇāsmakaṁ trāturīśvarasya śikṣā sarvvaviṣaye tai rbhūṣitavyā|
TIT.2.11	yato hetostrāṇājanaka īśvarasyānugrahaḥ sarvvān mānavān pratyuditavān
TIT.2.12	sa cāsmān idaṁ śikṣyati yad vayam adharmmaṁ sāṁsārikābhilāṣāṁścānaṅgīkṛtya vinītatvena nyāyeneśvarabhaktyā cehaloke āyu ryāpayāmaḥ,
TIT.2.13	paramasukhasyāśām arthato 'smākaṁ mahata īśvarasya trāṇakarttu ryīśukhrīṣṭasya prabhāvasyodayaṁ pratīkṣāmahe|
TIT.2.14	yataḥ sa yathāsmān sarvvasmād adharmmāt mocayitvā nijādhikārasvarūpaṁ satkarmmasūtsukam ekaṁ prajāvargaṁ pāvayet tadartham asmākaṁ kṛte ātmadānaṁ kṛtavān|
TIT.2.15	etāni bhāṣasva pūrṇasāmarthyena cādiśa prabodhaya ca, ko'pi tvāṁ nāvamanyatāṁ|
TIT.3.1	te yathā deśādhipānāṁ śāsakānāñca nighnā ājñāgrāhiṇśca sarvvasmai satkarmmaṇe susajjāśca bhaveyuḥ
TIT.3.2	kamapi na nindeyu rnivvirodhinaḥ kṣāntāśca bhaveyuḥ sarvvān prati ca pūrṇaṁ mṛdutvaṁ prakāśayeyuśceti tān ādiśa|
TIT.3.3	yataḥ pūrvvaṁ vayamapi nirbbodhā anājñāgrāhiṇo bhrāntā nānābhilāṣāṇāṁ sukhānāñca dāseyā duṣṭatverṣyācāriṇo ghṛṇitāḥ parasparaṁ dveṣiṇaścābhavāmaḥ|
TIT.3.4	kintvasmākaṁ trāturīśvarasya yā dayā marttyānāṁ prati ca yā prītistasyāḥ prādurbhāve jāte
TIT.3.5	vayam ātmakṛtebhyo dharmmakarmmabhyastannahi kintu tasya kṛpātaḥ punarjanmarūpeṇa prakṣālanena pravitrasyātmano nūtanīkaraṇena ca tasmāt paritrāṇāṁ prāptāḥ
TIT.3.6	sa cāsmākaṁ trātrā yīśukhrīṣṭenāsmadupari tam ātmānaṁ pracuratvena vṛṣṭavān|
TIT.3.7	itthaṁ vayaṁ tasyānugraheṇa sapuṇyībhūya pratyāśayānantajīvanasyādhikāriṇo jātāḥ|
TIT.3.8	vākyametad viśvasanīyam ato hetorīśvare ye viśvasitavantaste yathā satkarmmāṇyanutiṣṭheyustathā tān dṛḍham ājñāpayeti mamābhimataṁ|tānyevottamāni mānavebhyaḥ phaladāni ca bhavanti|
TIT.3.9	mūḍhebhyaḥ praśnavaṁśāvalivivādebhyo vyavasthāyā vitaṇḍābhyaśca nivarttasva yatastā niṣphalā anarthakāśca bhavanti|
TIT.3.10	yo jano bibhitsustam ekavāraṁ dvirvvā prabodhya dūrīkuru,
TIT.3.11	yatastādṛśo jano vipathagāmī pāpiṣṭha ātmadoṣakaśca bhavatīti tvayā jñāyatāṁ|
TIT.3.12	yadāham ārttimāṁ tukhikaṁ vā tava samīpaṁ preṣayiṣyāmi tadā tvaṁ nīkapalau mama samīpam āgantuṁ yatasva yatastatraivāhaṁ śītakālaṁ yāpayituṁ matim akārṣaṁ|
TIT.3.13	vyavasthāpakaḥ sīnā āpalluścaitayoḥ kasyāpyabhāvo yanna bhavet tadarthaṁ tau yatnena tvayā visṛjyetāṁ|
TIT.3.14	aparam asmadīyalokā yanniṣphalā na bhaveyustadarthaṁ prayojanīyopakārāyā satkarmmāṇyanuṣṭhātuṁ śikṣantāṁ|
TIT.3.15	mama saṅginaḥ savve tvāṁ namaskurvvate| ye viśvāsād asmāsu prīyante tān namaskuru; sarvveṣu yuṣmāsvanugraho bhūyāt| āmen|
PHM.1.1	khrīṣṭasya yīśo rbandidāsaḥ paulastīthiyanāmā bhrātā ca priyaṁ sahakāriṇaṁ philīmonaṁ
PHM.1.2	priyām āppiyāṁ sahasenām ārkhippaṁ philīmonasya gṛhe sthitāṁ samitiñca prati patraṁ likhataḥ|
PHM.1.3	asmākaṁ tāta īśvaraḥ prabhu ryīśukhrīṣṭaśca yuṣmān prati śāntim anugrahañca kriyāstāṁ|
PHM.1.4	prabhuṁ yīśuṁ prati sarvvān pavitralokān prati ca tava premaviśvāsayo rvṛttāntaṁ niśamyāhaṁ
PHM.1.5	prārthanāsamaye tava nāmoccārayan nirantaraṁ mameśvaraṁ dhanyaṁ vadāmi|
PHM.1.6	asmāsu yadyat saujanyaṁ vidyate tat sarvvaṁ khrīṣṭaṁ yīśuṁ yat prati bhavatīti jñānāya tava viśvāsamūlikā dānaśīlatā yat saphalā bhavet tadaham icchāmi|
PHM.1.7	he bhrātaḥ, tvayā pavitralokānāṁ prāṇa āpyāyitā abhavan etasmāt tava premnāsmākaṁ mahān ānandaḥ sāntvanā ca jātaḥ|
PHM.1.8	tvayā yat karttavyaṁ tat tvām ājñāpayituṁ yadyapyahaṁ khrīṣṭenātīvotsuko bhaveyaṁ tathāpi vṛddha
PHM.1.9	idānīṁ yīśukhrīṣṭasya bandidāsaścaivambhūto yaḥ paulaḥ so'haṁ tvāṁ vinetuṁ varaṁ manye|
PHM.1.10	ataḥ śṛṅkhalabaddho'haṁ yamajanayaṁ taṁ madīyatanayam onīṣimam adhi tvāṁ vinaye|
PHM.1.11	sa pūrvvaṁ tavānupakāraka āsīt kintvidānīṁ tava mama copakārī bhavati|
PHM.1.12	tamevāhaṁ tava samīpaṁ preṣayāmi, ato madīyaprāṇasvarūpaḥ sa tvayānugṛhyatāṁ|
PHM.1.13	susaṁvādasya kṛte śṛṅkhalabaddho'haṁ paricārakamiva taṁ svasannidhau varttayitum aicchaṁ|
PHM.1.14	kintu tava saujanyaṁ yad balena na bhūtvā svecchāyāḥ phalaṁ bhavet tadarthaṁ tava sammatiṁ vinā kimapi karttavyaṁ nāmanye|
PHM.1.15	ko jānāti kṣaṇakālārthaṁ tvattastasya vicchedo'bhavad etasyāyam abhiprāyo yat tvam anantakālārthaṁ taṁ lapsyase
PHM.1.16	puna rdāsamiva lapsyase tannahi kintu dāsāt śreṣṭhaṁ mama priyaṁ tava ca śārīrikasambandhāt prabhusambandhācca tato'dhikaṁ priyaṁ bhrātaramiva|
PHM.1.17	ato heto ryadi māṁ sahabhāginaṁ jānāsi tarhi māmiva tamanugṛhāṇa|
PHM.1.18	tena yadi tava kimapyaparāddhaṁ tubhyaṁ kimapi dhāryyate vā tarhi tat mameti viditvā gaṇaya|
PHM.1.19	ahaṁ tat pariśotsyāmi, etat paulo'haṁ svahastena likhāmi, yatastvaṁ svaprāṇān api mahyaṁ dhārayasi tad vaktuṁ necchāmi|
PHM.1.20	bho bhrātaḥ, prabhoḥ kṛte mama vāñchāṁ pūraya khrīṣṭasya kṛte mama prāṇān āpyāyaya|
PHM.1.21	tavājñāgrāhitve viśvasya mayā etat likhyate mayā yaducyate tato'dhikaṁ tvayā kāriṣyata iti jānāmi|
PHM.1.22	tatkaraṇasamaye madarthamapi vāsagṛhaṁ tvayā sajjīkriyatāṁ yato yuṣmākaṁ prārthanānāṁ phalarūpo vara ivāhaṁ yuṣmabhyaṁ dāyiṣye mameti pratyāśā jāyate|
PHM.1.23	khrīṣṭasya yīśāḥ kṛte mayā saha bandiripāphrā
PHM.1.24	mama sahakāriṇo mārka āriṣṭārkho dīmā lūkaśca tvāṁ namaskāraṁ vedayanti|
PHM.1.25	asmākaṁ prabho ryīśukhrīṣṭasyānugraho yuṣmākam ātmanā saha bhūyāt| āmen|
HEB.1.1	purā ya īśvaro bhaviṣyadvādibhiḥ pitṛlokebhyo nānāsamaye nānāprakāraṁ kathitavān
HEB.1.2	sa etasmin śeṣakāle nijaputreṇāsmabhyaṁ kathitavān| sa taṁ putraṁ sarvvādhikāriṇaṁ kṛtavān tenaiva ca sarvvajaganti sṛṣṭavān|
HEB.1.3	sa putrastasya prabhāvasya pratibimbastasya tattvasya mūrttiścāsti svīyaśaktivākyena sarvvaṁ dhatte ca svaprāṇairasmākaṁ pāpamārjjanaṁ kṛtvā ūrddhvasthāne mahāmahimno dakṣiṇapārśve samupaviṣṭavān|
HEB.1.4	divyadūtagaṇād yathā sa viśiṣṭanāmno 'dhikārī jātastathā tebhyo'pi śreṣṭho jātaḥ|
HEB.1.5	yato dūtānāṁ madhye kadācidīśvareṇedaṁ ka uktaḥ? yathā, "madīyatanayo 'si tvam adyaiva janito mayā|" punaśca "ahaṁ tasya pitā bhaviṣyāmi sa ca mama putro bhaviṣyati|"
HEB.1.6	aparaṁ jagati svakīyādvitīyaputrasya punarānayanakāle tenoktaṁ, yathā, "īśvarasya sakalai rdūtaireṣa eva praṇamyatāṁ|"
HEB.1.7	dūtān adhi tenedam uktaṁ, yathā, "sa karoti nijān dūtān gandhavāhasvarūpakān| vahniśikhāsvarūpāṁśca karoti nijasevakān||"
HEB.1.8	kintu putramuddiśya tenoktaṁ, yathā, "he īśvara sadā sthāyi tava siṁhāsanaṁ bhavet| yāthārthyasya bhaveddaṇḍo rājadaṇḍastvadīyakaḥ|
HEB.1.9	puṇye prema karoṣi tvaṁ kiñcādharmmam ṛtīyase| tasmād ya īśa īśaste sa te mitragaṇādapi| adhikāhlādatailena secanaṁ kṛtavān tava||"
HEB.1.10	punaśca, yathā, "he prabho pṛthivīmūlam ādau saṁsthāpitaṁ tvayā| tathā tvadīyahastena kṛtaṁ gaganamaṇḍalaṁ|
HEB.1.11	ime vinaṁkṣyatastvantu nityamevāvatiṣṭhase| idantu sakalaṁ viśvaṁ saṁjariṣyati vastravat|
HEB.1.12	saṅkocitaṁ tvayā tattu vastravat parivartsyate| tvantu nityaṁ sa evāsī rnirantāstava vatsarāḥ||"
HEB.1.13	aparaṁ dūtānāṁ madhye kaḥ kadācidīśvareṇedamuktaḥ? yathā, "tavārīn pādapīṭhaṁ te yāvannahi karomyahaṁ| mama dakṣiṇadigbhāge tāvat tvaṁ samupāviśa||"
HEB.1.14	ye paritrāṇasyādhikāriṇo bhaviṣyanti teṣāṁ paricaryyārthaṁ preṣyamāṇāḥ sevanakāriṇa ātmānaḥ kiṁ te sarvve dūtā nahi?
HEB.2.1	ato vayaṁ yad bhramasrotasā nāpanīyāmahe tadarthamasmābhi ryadyad aśrāvi tasmin manāṁsi nidhātavyāni|
HEB.2.2	yato heto dūtaiḥ kathitaṁ vākyaṁ yadyamogham abhavad yadi ca tallaṅghanakāriṇe tasyāgrāhakāya ca sarvvasmai samucitaṁ daṇḍam adīyata,
HEB.2.3	tarhyasmābhistādṛśaṁ mahāparitrāṇam avajñāya kathaṁ rakṣā prāpsyate, yat prathamataḥ prabhunā proktaṁ tato'smān yāvat tasya śrotṛbhiḥ sthirīkṛtaṁ,
HEB.2.4	aparaṁ lakṣaṇairadbhutakarmmabhi rvividhaśaktiprakāśena nijecchātaḥ pavitrasyātmano vibhāgena ca yad īśvareṇa pramāṇīkṛtam abhūt|
HEB.2.5	vayaṁ tu yasya bhāvirājyasya kathāṁ kathayāmaḥ, tat ten divyadūtānām adhīnīkṛtamiti nahi|
HEB.2.6	kintu kutrāpi kaścit pramāṇam īdṛśaṁ dattavān, yathā, "kiṁ vastu mānavo yat sa nityaṁ saṁsmaryyate tvayā| kiṁ vā mānavasantāno yat sa ālocyate tvayā|
HEB.2.7	divyadatagaṇebhyaḥ sa kiñcin nyūnaḥ kṛtastvayā| tejogauravarūpeṇa kirīṭena vibhūṣitaḥ| sṛṣṭaṁ yat te karābhyāṁ sa tatprabhutve niyojitaḥ|
HEB.2.8	caraṇādhaśca tasyaiva tvayā sarvvaṁ vaśīkṛtaṁ||" tena sarvvaṁ yasya vaśīkṛtaṁ tasyāvaśībhūtaṁ kimapi nāvaśeṣitaṁ kintvadhunāpi vayaṁ sarvvāṇi tasya vaśībhūtāni na paśyāmaḥ|
HEB.2.9	tathāpi divyadūtagaṇebhyo yaḥ kiñcin nyūnīkṛto'bhavat taṁ yīśuṁ mṛtyubhogahetostejogauravarūpeṇa kirīṭena vibhūṣitaṁ paśyāmaḥ, yata īśvarasyānugrahāt sa sarvveṣāṁ kṛte mṛtyum asvadata|
HEB.2.10	aparañca yasmai yena ca kṛtsnaṁ vastu sṛṣṭaṁ vidyate bahusantānānāṁ vibhavāyānayanakāle teṣāṁ paritrāṇāgrasarasya duḥkhabhogena siddhīkaraṇamapi tasyopayuktam abhavat|
HEB.2.11	yataḥ pāvakaḥ pūyamānāśca sarvve ekasmādevotpannā bhavanti, iti hetoḥ sa tān bhrātṛn vadituṁ na lajjate|
HEB.2.12	tena sa uktavān, yathā, "dyotayiṣyāmi te nāma bhrātṛṇāṁ madhyato mama| parantu samite rmadhye kariṣye te praśaṁsanaṁ||"
HEB.2.13	punarapi, yathā, "tasmin viśvasya sthātāhaṁ|" punarapi, yathā, "paśyāham apatyāni ca dattāni mahyam īśvarāt|"
HEB.2.14	teṣām apatyānāṁ rudhirapalalaviśiṣṭatvāt so'pi tadvat tadviśiṣṭo'bhūt tasyābhiprāyo'yaṁ yat sa mṛtyubalādhikāriṇaṁ śayatānaṁ mṛtyunā balahīnaṁ kuryyāt
HEB.2.15	ye ca mṛtyubhayād yāvajjīvanaṁ dāsatvasya nighnā āsan tān uddhārayet|
HEB.2.16	sa dūtānām upakārī na bhavati kintvibrāhīmo vaṁśasyaivopakārī bhavatī|
HEB.2.17	ato hetoḥ sa yathā kṛpāvān prajānāṁ pāpaśodhanārtham īśvaroddeśyaviṣaye viśvāsyo mahāyājako bhavet tadarthaṁ sarvvaviṣaye svabhrātṛṇāṁ sadṛśībhavanaṁ tasyocitam āsīt|
HEB.2.18	yataḥ sa svayaṁ parīkṣāṁ gatvā yaṁ duḥkhabhogam avagatastena parīkṣākrāntān upakarttuṁ śaknoti|
HEB.3.1	he svargīyasyāhvānasya sahabhāginaḥ pavitrabhrātaraḥ, asmākaṁ dharmmapratijñāyā dūto'grasaraśca yo yīśustam ālocadhvaṁ|
HEB.3.2	mūsā yadvat tasya sarvvaparivāramadhye viśvāsya āsīt, tadvat ayamapi svaniyojakasya samīpe viśvāsyo bhavati|
HEB.3.3	parivārācca yadvat tatsthāpayituradhikaṁ gauravaṁ bhavati tadvat mūsaso'yaṁ bahutaragauravasya yogyo bhavati|
HEB.3.4	ekaikasya niveśanasya parijanānāṁ sthāpayitā kaścid vidyate yaśca sarvvasthāpayitā sa īśvara eva|
HEB.3.5	mūsāśca vakṣyamāṇānāṁ sākṣī bhṛtya iva tasya sarvvaparijanamadhye viśvāsyo'bhavat kintu khrīṣṭastasya parijanānāmadhyakṣa iva|
HEB.3.6	vayaṁ tu yadi viśvāsasyotsāhaṁ ślāghanañca śeṣaṁ yāvad dhārayāmastarhi tasya parijanā bhavāmaḥ|
HEB.3.7	ato hetoḥ pavitreṇātmanā yadvat kathitaṁ, tadvat, "adya yūyaṁ kathāṁ tasya yadi saṁśrotumicchatha|
HEB.3.8	tarhi purā parīkṣāyā dine prāntaramadhyataḥ| madājñānigrahasthāne yuṣmābhistu kṛtaṁ yathā| tathā mā kurutedānīṁ kaṭhināni manāṁsi vaḥ|
HEB.3.9	yuṣmākaṁ pitarastatra matparīkṣām akurvvata| kurvvadbhi rme'nusandhānaṁ tairadṛśyanta matkriyāḥ| catvāriṁśatsamā yāvat kruddhvāhantu tadanvaye|
HEB.3.10	avādiṣam ime lokā bhrāntāntaḥkaraṇāḥ sadā| māmakīnāni vartmāni parijānanti no ime|
