MAT.1.1	ibraahiima.h santaano daayuud tasya santaano yii"sukhrii.s.tastasya puurvvapuru.sava.m"sa"sre.nii|
1CO.16.24	khrii.s.ta.m yii"sum aa"sritaan yu.smaan prati mama prema ti.s.thatu| iti||
2CO.1.1	ii"svarasyecchayaa yii"sukhrii.s.tasya prerita.h paulastimathirbhraataa ca dvaavetau karinthanagarasthaayai ii"svariiyasamitaya aakhaayaade"sasthebhya.h sarvvebhya.h pavitralokebhya"sca patra.m likhata.h|
2CO.1.2	asmaaka.m taatasye"svarasya prabhoryii"sukhrii.s.tasya caanugraha.h "saanti"sca yu.smaasu varttataa.m|
2CO.1.3	k.rpaalu.h pitaa sarvvasaantvanaakaarii"svara"sca yo.asmatprabhoryii"sukhrii.s.tasya taata ii"svara.h sa dhanyo bhavatu|
2CO.1.4	yato vayam ii"svaraat saantvanaa.m praapya tayaa saantvanayaa yat sarvvavidhakli.s.taan lokaan saantvayitu.m "saknuyaama tadartha.m so.asmaaka.m sarvvakle"sasamaye.asmaan saantvayati|
2CO.1.5	yata.h khrii.s.tasya kle"saa yadvad baahulyenaasmaasu varttante tadvad vaya.m khrii.s.tena bahusaantvanaa.dhyaa api bhavaama.h|
2CO.1.6	vaya.m yadi kli"syaamahe tarhi yu.smaaka.m saantvanaaparitraa.nayo.h k.rte kli"syaamahe yato.asmaabhi ryaad.r"saani du.hkhaani sahyante yu.smaaka.m taad.r"sadu.hkhaanaa.m sahanena tau saadhayi.syete ityasmin yu.smaanadhi mama d.r.dhaa pratyaa"saa bhavati|
2CO.1.7	yadi vaa vaya.m saantvanaa.m labhaamahe tarhi yu.smaaka.m saantvanaaparitraa.nayo.h k.rte taamapi labhaamahe| yato yuuya.m yaad.rg du.hkhaanaa.m bhaagino.abhavata taad.rk saantvanaayaa api bhaagino bhavi.syatheti vaya.m jaaniima.h|
2CO.1.8	he bhraatara.h, aa"siyaade"se ya.h kle"so.asmaan aakraamyat ta.m yuuya.m yad anavagataasti.s.thata tanmayaa bhadra.m na manyate| tenaati"saktikle"sena vayamatiiva pii.ditaastasmaat jiivanarak.sa.ne nirupaayaa jaataa"sca,
2CO.1.9	ato vaya.m sve.su na vi"svasya m.rtalokaanaam utthaapayitarii"svare yad vi"svaasa.m kurmmastadartham asmaabhi.h praa.nada.n.do bhoktavya iti svamanasi ni"scita.m|
2CO.1.10	etaad.r"sabhaya"nkaraat m.rtyo ryo .asmaan atraayatedaaniimapi traayate sa ita.h paramapyasmaan traasyate .asmaakam etaad.r"sii pratyaa"saa vidyate|
2CO.1.11	etadarthamasmatk.rte praarthanayaa vaya.m yu.smaabhirupakarttavyaastathaa k.rte bahubhi ryaacito yo.anugraho.asmaasu vartti.syate tatk.rte bahubhirii"svarasya dhanyavaado.api kaari.syate|
2CO.1.12	apara nca sa.msaaramadhye vi"se.sato yu.smanmadhye vaya.m saa.msaarikyaa dhiyaa nahi kintvii"svarasyaanugrahe.naaku.tilataam ii"svariiyasaaralya ncaacaritavanto.atraasmaaka.m mano yat pramaa.na.m dadaati tena vaya.m "slaaghaamahe|
2CO.1.13	yu.smaabhi ryad yat pa.thyate g.rhyate ca tadanyat kimapi yu.smabhyam asmaabhi rna likhyate taccaanta.m yaavad yu.smaabhi rgrahii.syata ityasmaakam aa"saa|
2CO.1.14	yuuyamita.h puurvvamapyasmaan a.m"sato g.rhiitavanta.h, yata.h prabho ryii"sukhrii.s.tasya dine yadvad yu.smaasvasmaaka.m "slaaghaa tadvad asmaasu yu.smaakamapi "slaaghaa bhavi.syati|
2CO.1.15	apara.m yuuya.m yad dvitiiya.m vara.m labhadhve tadarthamita.h puurvva.m tayaa pratyaa"sayaa yu.smatsamiipa.m gami.syaami
2CO.1.16	yu.smadde"sena maakidaniyaade"sa.m vrajitvaa punastasmaat maakidaniyaade"saat yu.smatsamiipam etya yu.smaabhi ryihuudaade"sa.m pre.sayi.sye ceti mama vaa nchaasiit|
2CO.1.17	etaad.r"sii mantra.naa mayaa ki.m caa ncalyena k.rtaa? yad yad aha.m mantraye tat ki.m vi.sayiloka_iva mantrayaa.na aadau sviik.rtya pa"scaad asviikurvve?
2CO.1.18	yu.smaan prati mayaa kathitaani vaakyaanyagre sviik.rtaani "se.se.asviik.rtaani naabhavan etene"svarasya vi"svastataa prakaa"sate|
2CO.1.19	mayaa silvaanena timathinaa ce"svarasya putro yo yii"sukhrii.s.to yu.smanmadhye gho.sita.h sa tena sviik.rta.h punarasviik.rta"sca tannahi kintu sa tasya sviikaarasvaruupaeva|
2CO.1.20	ii"svarasya mahimaa yad asmaabhi.h prakaa"seta tadartham ii"svare.na yad yat pratij naata.m tatsarvva.m khrii.s.tena sviik.rta.m satyiibhuuta nca|
2CO.1.21	yu.smaan asmaa.m"scaabhi.sicya ya.h khrii.s.te sthaasnuun karoti sa ii"svara eva|
2CO.1.22	sa caasmaan mudraa"nkitaan akaar.siit satyaa"nkaarasya pa.nakharuupam aatmaana.m asmaakam anta.hkara.ne.su nirak.sipacca|
2CO.1.23	apara.m yu.smaasu karu.naa.m kurvvan aham etaavatkaala.m yaavat karinthanagara.m na gatavaan iti satyametasmin ii"svara.m saak.si.na.m k.rtvaa mayaa svapraa.naanaa.m "sapatha.h kriyate|
2CO.1.24	vaya.m yu.smaaka.m vi"svaasasya niyantaaro na bhavaama.h kintu yu.smaakam aanandasya sahaayaa bhavaama.h, yasmaad vi"svaase yu.smaaka.m sthiti rbhavati|
2CO.2.1	apara ncaaha.m puna.h "sokaaya yu.smatsannidhi.m na gami.syaamiiti manasi niracai.sa.m|
2CO.2.2	yasmaad aha.m yadi yu.smaan "sokayuktaan karomi tarhi mayaa ya.h "sokayuktiik.rtasta.m vinaa kenaapare.naaha.m har.sayi.sye?
2CO.2.3	mama yo har.sa.h sa yu.smaaka.m sarvve.saa.m har.sa eveti ni"scita.m mayaabodhi; ataeva yairaha.m har.sayitavyastai rmadupasthitisamaye yanmama "soko na jaayeta tadarthameva yu.smabhyam etaad.r"sa.m patra.m mayaa likhita.m|
2CO.2.4	vastutastu bahukle"sasya mana.hpii.daayaa"sca samaye.aha.m bahva"srupaatena patrameka.m likhitavaan yu.smaaka.m "sokaartha.m tannahi kintu yu.smaasu madiiyapremabaahulyasya j naapanaartha.m|
2CO.2.5	yenaaha.m "sokayuktiik.rtastena kevalamaha.m "sokayuktiik.rtastannahi kintva.m"sato yuuya.m sarvve.api yato.ahamatra kasmi.m"scid do.samaaropayitu.m necchaami|
2CO.2.6	bahuunaa.m yat tarjjana.m tena janenaalambhi tat tadartha.m pracura.m|
2CO.2.7	ata.h sa du.hkhasaagare yanna nimajjati tadartha.m yu.smaabhi.h sa k.santavya.h saantvayitavya"sca|
2CO.2.8	iti heto.h prarthaye.aha.m yu.smaabhistasmin dayaa kriyataa.m|
2CO.2.9	yuuya.m sarvvakarmma.ni mamaade"sa.m g.rhliitha na veti pariik.situm aha.m yu.smaan prati likhitavaan|
2CO.2.10	yasya yo do.so yu.smaabhi.h k.samyate tasya sa do.so mayaapi k.samyate ya"sca do.so mayaa k.samyate sa yu.smaaka.m k.rte khrii.s.tasya saak.saat k.samyate|
2CO.2.11	"sayataana.h kalpanaasmaabhiraj naataa nahi, ato vaya.m yat tena na va ncyaamahe tadartham asmaabhi.h saavadhaanai rbhavitavya.m|
2CO.2.12	apara nca khrii.s.tasya susa.mvaadagho.sa.naartha.m mayi troyaanagaramaagate prabho.h karmma.ne ca madartha.m dvaare mukte
2CO.2.13	satyapi svabhraatustiitasyaavidyamaanatvaat madiiyaatmana.h kaapi "saanti rna babhuuva, tasmaad aha.m taan visarjjana.m yaacitvaa maakidaniyaade"sa.m gantu.m prasthaanam akarava.m|
2CO.2.14	ya ii"svara.h sarvvadaa khrii.s.tenaasmaan jayina.h karoti sarvvatra caasmaabhistadiiyaj naanasya gandha.m prakaa"sayati sa dhanya.h|
2CO.2.15	yasmaad ye traa.na.m lapsyante ye ca vinaa"sa.m gami.syanti taan prati vayam ii"svare.na khrii.s.tasya saugandhya.m bhavaama.h|
2CO.2.16	vayam eke.saa.m m.rtyave m.rtyugandhaa apare.saa nca jiivanaaya jiivanagandhaa bhavaama.h, kintvetaad.r"sakarmmasaadhane ka.h samartho.asti?
2CO.2.17	anye bahavo lokaa yadvad ii"svarasya vaakya.m m.r.saa"sik.sayaa mi"srayanti vaya.m tadvat tanna mi"srayanta.h saralabhaavene"svarasya saak.saad ii"svarasyaade"saat khrii.s.tena kathaa.m bhaa.saamahe|
2CO.3.1	vaya.m kim aatmapra"sa.msana.m punaraarabhaamahe? yu.smaan prati yu.smatto vaa pare.saa.m ke.saa ncid ivaasmaakamapi ki.m pra"sa.msaapatre.su prayojanam aaste?
2CO.3.2	yuuyamevaasmaaka.m pra"sa.msaapatra.m taccaasmaakam anta.hkara.ne.su likhita.m sarvvamaanavai"sca j neya.m pa.thaniiya nca|
2CO.3.3	yato .asmaabhi.h sevita.m khrii.s.tasya patra.m yuuyapeva, tacca na masyaa kintvamarasye"svarasyaatmanaa likhita.m paa.saa.napatre.su tannahi kintu kravyamaye.su h.rtpatre.su likhitamiti suspa.s.ta.m|
2CO.3.4	khrii.s.tene"svara.m pratyasmaakam iid.r"so d.r.dhavi"svaaso vidyate;
2CO.3.5	vaya.m nijagu.nena kimapi kalpayitu.m samarthaa iti nahi kintvii"svaraadasmaaka.m saamarthya.m jaayate|
2CO.3.6	tena vaya.m nuutananiyamasyaarthato .ak.sarasa.msthaanasya tannahi kintvaatmana eva sevanasaamarthya.m praaptaa.h| ak.sarasa.msthaana.m m.rtyujanaka.m kintvaatmaa jiivanadaayaka.h|
2CO.3.7	ak.sarai rvilikhitapaa.saa.naruupi.nii yaa m.rtyo.h sevaa saa yadiid.rk tejasvinii jaataa yattasyaacirasthaayinastejasa.h kaara.naat muusaso mukham israayeliiyalokai.h sa.mdra.s.tu.m naa"sakyata,
2CO.3.8	tarhyaatmana.h sevaa ki.m tato.api bahutejasvinii na bhavet?
2CO.3.9	da.n.dajanikaa sevaa yadi tejoyuktaa bhavet tarhi pu.nyajanikaa sevaa tato.adhika.m bahutejoyuktaa bhavi.syati|
2CO.3.10	ubhayostulanaayaa.m k.rtaayaam ekasyaastejo dvitiiyaayaa.h prakharatare.na tejasaa hiinatejo bhavati|
2CO.3.11	yasmaad yat lopaniiya.m tad yadi tejoyukta.m bhavet tarhi yat cirasthaayi tad bahutaratejoyuktameva bhavi.syati|
2CO.3.12	iid.r"sii.m pratyaa"saa.m labdhvaa vaya.m mahatii.m pragalbhataa.m prakaa"sayaama.h|
2CO.3.13	israayeliiyalokaa yat tasya lopaniiyasya tejasa.h "se.sa.m na vilokayeyustadartha.m muusaa yaad.rg aavara.nena svamukham aacchaadayat vaya.m taad.rk na kurmma.h|
2CO.3.14	te.saa.m manaa.msi ka.thiniibhuutaani yataste.saa.m pa.thanasamaye sa puraatano niyamastenaavara.nenaadyaapi pracchannasti.s.thati|
2CO.3.15	tacca na duuriibhavati yata.h khrii.s.tenaiva tat lupyate| muusasa.h "saastrasya paa.thasamaye.adyaapi te.saa.m manaa.msi tenaavara.nena pracchaadyante|
2CO.3.16	kintu prabhu.m prati manasi paraav.rtte tad aavara.na.m duuriikaari.syate|
2CO.3.17	ya.h prabhu.h sa eva sa aatmaa yatra ca prabhoraatmaa tatraiva mukti.h|
2CO.3.18	vaya nca sarvve.anaacchaaditenaasyena prabhostejasa.h pratibimba.m g.rhlanta aatmasvaruupe.na prabhunaa ruupaantariik.rtaa varddhamaanatejoyuktaa.m taameva pratimuurtti.m praapnuma.h|
2CO.4.1	apara nca vaya.m karu.naabhaajo bhuutvaa yad etat paricaarakapadam alabhaamahi naatra klaamyaama.h,
2CO.4.2	kintu trapaayuktaani pracchannakarmmaa.ni vihaaya ku.tilataacara.namakurvvanta ii"svariiyavaakya.m mithyaavaakyairami"srayanta.h satyadharmmasya prakaa"sanene"svarasya saak.saat sarvvamaanavaanaa.m sa.mvedagocare svaan pra"sa.msaniiyaan dar"sayaama.h|
2CO.4.3	asmaabhi rgho.sita.h susa.mvaado yadi pracchanna.h; syaat tarhi ye vina.mk.syanti te.saameva d.r.s.tita.h sa pracchanna.h;
2CO.4.4	yata ii"svarasya pratimuurtti rya.h khrii.s.tastasya tejasa.h susa.mvaadasya prabhaa yat taan na diipayet tadartham iha lokasya devo.avi"svaasinaa.m j naananayanam andhiik.rtavaan etasyodaahara.na.m te bhavanti|
2CO.4.5	vaya.m svaan gho.sayaama iti nahi kintu khrii.s.ta.m yii"su.m prabhumevaasmaa.m"sca yii"so.h k.rte yu.smaaka.m paricaarakaan gho.sayaama.h|
2CO.4.6	ya ii"svaro madhyetimira.m prabhaa.m diipanaayaadi"sat sa yii"sukhrii.s.tasyaasya ii"svariiyatejaso j naanaprabhaayaa udayaartham asmaakam anta.hkara.ne.su diipitavaan|
2CO.4.7	apara.m tad dhanam asmaabhi rm.r.nmaye.su bhaajane.su dhaaryyate yata.h saadbhutaa "sakti rnaasmaaka.m kintvii"svarasyaiveti j naatavya.m|
2CO.4.8	vaya.m pade pade pii.dyaamahe kintu naavasiidaama.h, vaya.m vyaakulaa.h santo.api nirupaayaa na bhavaama.h;
2CO.4.9	vaya.m pradraavyamaanaa api na klaamyaama.h, nipaatitaa api na vina"syaama.h|
2CO.4.10	asmaaka.m "sariire khrii.s.tasya jiivana.m yat prakaa"seta tadartha.m tasmin "sariire yii"so rmara.namapi dhaarayaama.h|
2CO.4.11	yii"so rjiivana.m yad asmaaka.m marttyadehe prakaa"seta tadartha.m jiivanto vaya.m yii"so.h k.rte nitya.m m.rtyau samarpyaamahe|
2CO.4.12	ittha.m vaya.m m.rtyaakraantaa yuuya nca jiivanaakraantaa.h|
2CO.4.13	vi"svaasakaara.naadeva samabhaa.si mayaa vaca.h| iti yathaa "saastre likhita.m tathaivaasmaabhirapi vi"svaasajanakam aatmaana.m praapya vi"svaasa.h kriyate tasmaacca vacaa.msi bhaa.syante|
2CO.4.14	prabhu ryii"su ryenotthaapita.h sa yii"sunaasmaanapyutthaapayi.syati yu.smaabhi.h saarddha.m svasamiipa upasthaapayi.syati ca, vayam etat jaaniima.h|
2CO.4.15	ataeva yu.smaaka.m hitaaya sarvvameva bhavati tasmaad bahuunaa.m pracuraanuुgrahapraapte rbahulokaanaa.m dhanyavaadene"svarasya mahimaa samyak prakaa"si.syate|
2CO.4.16	tato heto rvaya.m na klaamyaama.h kintu baahyapuru.so yadyapi k.siiyate tathaapyaantarika.h puru.so dine dine nuutanaayate|
2CO.4.17	k.sa.namaatrasthaayi yadetat laghi.s.tha.m du.hkha.m tad atibaahulyenaasmaakam anantakaalasthaayi gari.s.thasukha.m saadhayati,
2CO.4.18	yato vaya.m pratyak.saan vi.sayaan anuddi"syaapratyak.saan uddi"saama.h| yato heto.h pratyak.savi.sayaa.h k.sa.namaatrasthaayina.h kintvapratyak.saa anantakaalasthaayina.h|
2CO.5.1	aparam asmaakam etasmin paarthive duu.syaruupe ve"smani jiir.ne satii"svare.na nirmmitam akarak.rtam asmaakam anantakaalasthaayi ve"smaika.m svarge vidyata iti vaya.m jaaniima.h|
2CO.5.2	yato hetoretasmin ve"smani ti.s.thanto vaya.m ta.m svargiiya.m vaasa.m paridhaatum aakaa"nk.syamaa.naa ni.h"svasaama.h|
2CO.5.3	tathaapiidaaniimapi vaya.m tena na nagnaa.h kintu parihitavasanaa manyaamahe|
2CO.5.4	etasmin duu.sye ti.s.thanato vaya.m kli"syamaanaa ni.h"svasaama.h, yato vaya.m vaasa.m tyaktum icchaamastannahi kintu ta.m dvitiiya.m vaasa.m paridhaatum icchaama.h, yatastathaa k.rte jiivanena martya.m grasi.syate|
2CO.5.5	etadartha.m vaya.m yena s.r.s.taa.h sa ii"svara eva sa caasmabhya.m satya"nkaarasya pa.nasvaruupam aatmaana.m dattavaan|
2CO.5.6	ataeva vaya.m sarvvadotsukaa bhavaama.h ki nca "sariire yaavad asmaabhi rnyu.syate taavat prabhuto duure pro.syata iti jaaniima.h,
2CO.5.7	yato vaya.m d.r.s.timaarge na caraama.h kintu vi"svaasamaarge|
2CO.5.8	apara nca "sariiraad duure pravastu.m prabho.h sannidhau nivastu ncaakaa"nk.syamaa.naa utsukaa bhavaama.h|
2CO.5.9	tasmaadeva kaara.naad vaya.m tasya sannidhau nivasantastasmaad duure pravasanto vaa tasmai rocitu.m yataamahe|
2CO.5.10	yasmaat "sariiraavasthaayaam ekaikena k.rtaanaa.m karmma.naa.m "subhaa"subhaphalapraaptaye sarvvaismaabhi.h khrii.s.tasya vicaaraasanasammukha upasthaatavya.m|
2CO.5.11	ataeva prabho rbhayaanakatva.m vij naaya vaya.m manujaan anunayaama.h ki nce"svarasya gocare saprakaa"saa bhavaama.h, yu.smaaka.m sa.mvedagocare.api saprakaa"saa bhavaama ityaa"sa.msaamahe|
2CO.5.12	anena vaya.m yu.smaaka.m sannidhau puna.h svaan pra"sa.msaama iti nahi kintu ye mano vinaa mukhai.h "slaaghante tebhya.h pratyuttaradaanaaya yuuya.m yathaasmaabhi.h "slaaghitu.m "saknutha taad.r"sam upaaya.m yu.smabhya.m vitaraama.h|
2CO.5.13	yadi vaya.m hataj naanaa bhavaamastarhi tad ii"svaraarthaka.m yadi ca saj naanaa bhavaamastarhi tad yu.smadarthaka.m|
2CO.5.14	vaya.m khrii.s.tasya premnaa samaak.r.syaamahe yata.h sarvve.saa.m vinimayena yadyeko jano.amriyata tarhi te sarvve m.rtaa ityaasmaabhi rbudhyate|
2CO.5.15	apara nca ye jiivanti te yat svaartha.m na jiivanti kintu te.saa.m k.rte yo jano m.rta.h punarutthaapita"sca tamuddi"sya yat jiivanti tadarthameva sa sarvve.saa.m k.rte m.rtavaan|
2CO.5.16	ato hetorita.h para.m ko.apyasmaabhi rjaatito na pratij naatavya.h|yadyapi puurvva.m khrii.s.to jaatito.asmaabhi.h pratij naatastathaapiidaanii.m jaatita.h puna rna pratij naayate|
2CO.5.17	kenacit khrii.s.ta aa"srite nuutanaa s.r.s.ti rbhavati puraatanaani lupyante pa"sya nikhilaani naviinaani bhavanti|
2CO.5.18	sarvva ncaitad ii"svarasya karmma yato yii"sukhrii.s.tena sa evaasmaan svena saarddha.m sa.mhitavaan sandhaanasambandhiiyaa.m paricaryyaam asmaasu samarpitavaa.m"sca|
2CO.5.19	yata.h ii"svara.h khrii.s.tam adhi.s.thaaya jagato janaanaam aagaa.msi te.saam .r.namiva na ga.nayan svena saarddha.m taan sa.mhitavaan sandhivaarttaam asmaasu samarpitavaa.m"sca|
2CO.5.20	ato vaya.m khrii.s.tasya vinimayena dautya.m karmma sampaadayaamahe, ii"svara"scaasmaabhi ryu.smaan yaayaacyate tata.h khrii.s.tasya vinimayena vaya.m yu.smaan praarthayaamahe yuuyamii"svare.na sandhatta|
2CO.5.21	yato vaya.m tena yad ii"svariiyapu.nya.m bhavaamastadartha.m paapena saha yasya j naateya.m naasiit sa eva tenaasmaaka.m vinimayena paapa.h k.rta.h|
2CO.6.1	tasya sahaayaa vaya.m yu.smaan praarthayaamahe, ii"svarasyaanugraho yu.smaabhi rv.rthaa na g.rhyataa.m|
2CO.6.2	tenoktametat, sa.m"sro.syaami "subhe kaale tvadiiyaa.m praarthanaam aha.m| upakaara.m kari.syaami paritraa.nadine tava| pa"syataaya.m "subhakaala.h pa"syateda.m traa.nadina.m|
2CO.6.3	asmaaka.m paricaryyaa yanni.skala"nkaa bhavet tadartha.m vaya.m kutraapi vighna.m na janayaama.h,
2CO.6.4	kintu pracurasahi.s.nutaa kle"so dainya.m vipat taa.danaa kaaraabandhana.m nivaasahiinatva.m pari"sramo jaagara.nam upavasana.m
2CO.6.5	nirmmalatva.m j naana.m m.rdu"siilataa hitai.sitaa
2CO.6.6	pavitra aatmaa ni.skapa.ta.m prema satyaalaapa ii"svariiya"sakti
2CO.6.7	rdak.si.navaamaabhyaa.m karaabhyaa.m dharmmaastradhaara.na.m
2CO.6.8	maanaapamaanayorakhyaatisukhyaatyo rbhaagitvam etai.h sarvvairii"svarasya pra"sa.msyaan paricaarakaan svaan prakaa"sayaama.h|
2CO.6.9	bhramakasamaa vaya.m satyavaadino bhavaama.h, aparicitasamaa vaya.m suparicitaa bhavaama.h, m.rtakalpaa vaya.m jiivaama.h, da.n.dyamaanaa vaya.m na hanyaamahe,
2CO.6.10	"sokayuktaa"sca vaya.m sadaanandaama.h, daridraa vaya.m bahuun dhanina.h kurmma.h, aki ncanaa"sca vaya.m sarvva.m dhaarayaama.h|
2CO.6.11	he karinthina.h, yu.smaaka.m prati mamaasya.m mukta.m mamaanta.hkara.naa nca vikasita.m|
2CO.6.12	yuuya.m mamaantare na sa"nkocitaa.h ki nca yuuyameva sa"nkocitacittaa.h|
2CO.6.13	kintu mahya.m nyaayyaphaladaanaartha.m yu.smaabhirapi vikasitai rbhavitavyam ityaha.m nijabaalakaaniva yu.smaan vadaami|
2CO.6.14	aparam apratyayibhi.h saarddha.m yuuyam ekayuge baddhaa maa bhuuta, yasmaad dharmmaadharmmayo.h ka.h sambandho.asti? timire.na sarddha.m prabhaayaa vaa kaa tulanaasti?
2CO.6.15	biliiyaaladevena saaka.m khrii.s.tasya vaa kaa sandhi.h? avi"svaasinaa saarddha.m vaa vi"svaasilokasyaa.m"sa.h ka.h?
2CO.6.16	ii"svarasya mandire.na saha vaa devapratimaanaa.m kaa tulanaa? amarasye"svarasya mandira.m yuuyameva| ii"svare.na tadukta.m yathaa, te.saa.m madhye.aha.m svaavaasa.m nidhaasyaami te.saa.m madhye ca yaataayaata.m kurvvan te.saam ii"svaro bhavi.syaami te ca mallokaa bhavi.syanti|
2CO.6.17	ato heto.h parame"svara.h kathayati yuuya.m te.saa.m madhyaad bahirbhuuya p.rthag bhavata, kimapyamedhya.m na sp.r"sata; tenaaha.m yu.smaan grahii.syaami,
2CO.6.18	yu.smaaka.m pitaa bhavi.syaami ca, yuuya nca mama kanyaaputraa bhavi.syatheti sarvva"saktimataa parame"svare.nokta.m|
2CO.7.1	ataeva he priyatamaa.h, etaad.r"sii.h pratij naa.h praaptairasmaabhi.h "sariiraatmano.h sarvvamaalinyam apam.rjye"svarasya bhaktyaa pavitraacaara.h saadhyataa.m|
2CO.7.2	yuuyam asmaan g.rhliita| asmaabhi.h kasyaapyanyaayo na k.rta.h ko.api na va ncita.h|
2CO.7.3	yu.smaan do.si.na.h karttamaha.m vaakyametad vadaamiiti nahi yu.smaabhi.h saha jiivanaaya mara.naaya vaa vaya.m yu.smaan svaanta.hkara.nai rdhaarayaama iti puurvva.m mayokta.m|
2CO.7.4	yu.smaan prati mama mahetsaaho jaayate yu.smaan adhyaha.m bahu "slaaghe ca tena sarvvakle"sasamaye.aha.m saantvanayaa puur.no har.se.na praphullita"sca bhavaami|
2CO.7.5	asmaasu maakidaniyaade"sam aagate.svasmaaka.m "sariirasya kaacidapi "saanti rnaabhavat kintu sarvvato bahi rvirodhenaanta"sca bhiityaa vayam apii.dyaamahi|
2CO.7.6	kintu namraa.naa.m saantvayitaa ya ii"svara.h sa tiitasyaagamanenaasmaan asaantvayat|
2CO.7.7	kevala.m tasyaagamanena tannahi kintu yu.smatto jaatayaa tasya saantvanayaapi, yato.asmaasu yu.smaaka.m haarddavilaapaasaktatve.svasmaaka.m samiipe var.nite.su mama mahaanando jaata.h|
2CO.7.8	aha.m patre.na yu.smaan "sokayuktaan k.rtavaan ityasmaad anvatapye kintvadhunaa naanutapye| tena patre.na yuuya.m k.sa.namaatra.m "sokayuktiibhuutaa iti mayaa d.r"syate|
2CO.7.9	ityasmin yu.smaaka.m "sokenaaha.m h.r.syaami tannahi kintu mana.hparivarttanaaya yu.smaaka.m "soko.abhavad ityanena h.r.syaami yato.asmatto yu.smaaka.m kaapi haani ryanna bhavet tadartha.m yu.smaakam ii"svariiya.h "soेko jaata.h|
2CO.7.10	sa ii"svariiya.h "soka.h paritraa.najanaka.m niranutaapa.m mana.hparivarttana.m saadhayati kintu saa.msaarika.h "soko m.rtyu.m saadhayati|
2CO.7.11	pa"syata tene"svariiye.na "sokena yu.smaaka.m ki.m na saadhita.m? yatno do.saprak.saalanam asantu.s.tatva.m haarddam aasaktatva.m phaladaana ncaitaani sarvvaa.ni| tasmin karmma.ni yuuya.m nirmmalaa iti pramaa.na.m sarvve.na prakaare.na yu.smaabhi rdatta.m|
2CO.7.12	yenaaparaaddha.m tasya k.rte ki.mvaa yasyaaparaaddha.m tasya k.rte mayaa patram alekhi tannahi kintu yu.smaanadhyasmaaka.m yatno yad ii"svarasya saak.saad yu.smatsamiipe prakaa"seta tadarthameva|
2CO.7.13	uktakaara.naad vaya.m saantvanaa.m praaptaa.h; taa nca saantvanaa.m vinaavaro mahaahlaadastiitasyaahlaadaadasmaabhi rlabdha.h, yatastasyaatmaa sarvvai ryu.smaabhist.rpta.h|
2CO.7.14	puurvva.m tasya samiipe.aha.m yu.smaabhiryad a"slaaghe tena naalajje kintu vaya.m yadvad yu.smaan prati satyabhaavena sakalam abhaa.saamahi tadvat tiitasya samiipe.asmaaka.m "slaaghanamapi satya.m jaata.m|
2CO.7.15	yuuya.m kiid.rk tasyaaj naa apaalayata bhayakampaabhyaa.m ta.m g.rhiitavanta"scaitasya smara.naad yu.smaasu tasya sneho baahulyena varttate|
2CO.7.16	yu.smaasvaha.m sarvvamaa"sa.mse, ityasmin mamaahlaado jaayate|
2CO.8.1	he bhraatara.h, maakidaniyaade"sasthaasu samiti.su prakaa"sito ya ii"svarasyaanugrahastamaha.m yu.smaan j naapayaami|
2CO.8.2	vastuto bahukle"sapariik.saasamaye te.saa.m mahaanando.atiivadiinataa ca vadaanyataayaa.h pracuraphalam aphalayataa.m|
2CO.8.3	te svecchayaa yathaa"sakti ki ncaati"sakti daana udyuktaa abhavan iti mayaa pramaa.niikriyate|
2CO.8.4	vaya nca yat pavitralokebhyaste.saa.m daanam upakaaraarthakam a.m"sana nca g.rhlaamastad bahununayenaasmaan praarthitavanta.h|
2CO.8.5	vaya.m yaad.rk pratyaiQk.saamahi taad.rg ak.rtvaa te.agre prabhave tata.h param ii"svarasyecchayaasmabhyamapi svaan nyavedayan|
2CO.8.6	ato hetostva.m yathaarabdhavaan tathaiva karinthinaa.m madhye.api tad daanagraha.na.m saadhayeti yu.smaan adhi vaya.m tiita.m praarthayaamahi|
2CO.8.7	ato vi"svaaso vaakpa.tutaa j naana.m sarvvotsaaho .asmaasu prema caitai rgu.nai ryuuya.m yathaaparaan ati"sedhve tathaivaitena gu.nenaapyati"sedhva.m|
2CO.8.8	etad aham aaj nayaa kathayaamiiti nahi kintvanye.saam utsaahakaara.naad yu.smaakamapi premna.h saaralya.m pariik.situmicchataa mayaitat kathyate|
2CO.8.9	yuuya ncaasmatprabho ryii"sukhrii.s.tasyaanugraha.m jaaniitha yatastasya nirdhanatvena yuuya.m yad dhanino bhavatha tadartha.m sa dhanii sannapi yu.smatk.rte nirdhano.abhavat|
2CO.8.10	etasmin aha.m yu.smaan svavicaara.m j naapayaami| gata.m sa.mvatsaram aarabhya yuuya.m kevala.m karmma kartta.m tannahi kintvicchukataa.m prakaa"sayitumapyupaakraabhyadhva.m tato heto ryu.smatk.rte mama mantra.naa bhadraa|
2CO.8.11	ato .adhunaa tatkarmmasaadhana.m yu.smaabhi.h kriyataa.m tena yadvad icchukataayaam utsaahastadvad ekaikasya sampadanusaare.na karmmasaadhanam api jani.syate|
2CO.8.12	yasmin icchukataa vidyate tena yanna dhaaryyate tasmaat so.anug.rhyata iti nahi kintu yad dhaaryyate tasmaadeva|
2CO.8.13	yata itare.saa.m viraame.na yu.smaaka nca kle"sena bhavitavya.m tannahi kintu samatayaiva|
