GEN.1.1	En el principio, Dios creó los cielos y la tierra.
EZK.4.3	Luego toma una plancha de hierro y colócala entre tú y la ciudad. Dirígete a la ciudad y demuestra lo terrible que será el ataque contra Jerusalén. Esto será una advertencia al pueblo de Israel.
EZK.4.4	»Ahora acuéstate sobre tu lado izquierdo y pon sobre ti los pecados de Israel. Cargarás con sus pecados todos los días que permanezcas acostado sobre ese lado. 
EZK.4.5	Te exijo que cargues con los pecados de Israel durante trescientos noventa días, un día por cada año de su pecado. 
EZK.4.6	Cumplido ese tiempo, date vuelta y acuéstate sobre el lado derecho cuarenta días, un día por cada año del pecado de Judá.
EZK.4.7	»Mientras tanto, mira fijamente el sitio contra Jerusalén. Quédate acostado con el brazo descubierto y profetiza la destrucción de la ciudad. 
EZK.4.8	Te ataré con cuerdas para que no puedas moverte de un lado al otro hasta que se hayan cumplido los días del ataque.
EZK.4.9	»Ahora ve a conseguir algo de trigo, cebada, frijoles, lentejas, mijo y trigo espelta, y mézclalos en un recipiente grande. Con esta mezcla, harás pan para ti durante los trescientos noventa días que estarás acostado sobre tu lado izquierdo. 
EZK.4.10	Prepárate raciones de alimento de doscientos veintiocho gramos
EZK.4.11	Luego mide una jarra
EZK.4.12	Prepara este alimento y cómelo como si fuera un pan de cebada. Cocínalo a la vista de todo el pueblo, sobre un fuego encendido con excremento humano seco, y luego cómete el pan». 
EZK.4.13	Después el 
EZK.4.14	Entonces dije: «Oh 
EZK.4.15	«Está bien —dijo el 
EZK.4.16	Luego me dijo: «Hijo de hombre, haré que escasee el alimento en Jerusalén. Tendrán que racionarlo con mucho cuidado y lo comerán con temor. El agua se racionará, gota a gota, y el pueblo la beberá afligido. 
EZK.4.17	Por la falta de alimento y de agua, ellos se mirarán unos a otros llenos de terror, y en su castigo se irán consumiendo.
EZK.5.1	»Hijo de hombre, toma una espada afilada y úsala como navaja para afeitarte la cabeza y la barba. Toma una balanza y pesa el cabello en tres partes iguales. 
EZK.5.2	Coloca una tercera parte del cabello en el centro del mapa que hiciste de Jerusalén. Después de representar el ataque a la ciudad, quémalo allí. Esparce otra tercera parte del cabello por todo el mapa y córtalo con una espada. Arroja la otra tercera parte al viento, porque yo esparciré a mi pueblo con la espada. 
EZK.5.3	Conserva apenas un poquito del cabello y átalo en tu túnica. 
EZK.5.4	Luego toma algunos de esos cabellos y arrójalos al fuego para que se consuman. De ese remanente se esparcirá un fuego que destruirá a todo Israel.
EZK.5.5	»El 
EZK.5.6	pero ella se rebeló contra mis ordenanzas y decretos, y resultó ser aún más perversa que las naciones vecinas. Se ha negado a obedecer las ordenanzas y los decretos que le di para que siguiera.
EZK.5.7	»Por lo tanto, esto dice el 
EZK.5.8	Por lo tanto, ahora, yo mismo, el 
EZK.5.9	A causa de tus ídolos detestables, te castigaré como nunca he castigado a nadie ni volveré a hacerlo jamás. 
EZK.5.10	Los padres se comerán a sus propios hijos y los hijos se comerán a sus padres. Te castigaré, y esparciré a los pocos que sobrevivan a los cuatro vientos.
EZK.5.11	»Tan cierto como que yo vivo, dice el 
EZK.5.12	Una tercera parte del pueblo morirá de hambre y de enfermedades en la ciudad. Otra tercera parte será masacrada por el enemigo fuera de las murallas de la ciudad. A la otra tercera parte la dispersaré a los cuatro vientos y la perseguiré con mi espada. 
EZK.5.13	Entonces por fin mi enojo se habrá desahogado y quedaré satisfecho. Cuando se haya calmado mi furia contra ellos, todo Israel sabrá que yo, el 
EZK.5.14	»Así que te convertiré en ruinas, en una burla ante los ojos de las naciones vecinas y de todos los que pasen por allí. 
EZK.5.15	Te volverás objeto de burla, de mofas y de horror. Servirás de advertencia a las naciones que te rodean. Ellas verán lo que sucede cuando el 
EZK.5.16	»Haré que te lluevan las flechas mortales del hambre para destruirte. El hambre se volverá cada vez más terrible hasta que haya desaparecido la última migaja de alimento. 
EZK.5.17	Junto con el hambre, te atacarán animales salvajes y te arrebatarán a tus hijos. La enfermedad y la guerra acecharán tu tierra, y mandaré la espada del enemigo contra ti. ¡Yo, el 
EZK.6.1	Nuevamente recibí un mensaje del 
EZK.6.2	«Hijo de hombre, ponte de cara a los montes de Israel y profetiza contra ellos. 
EZK.6.3	Proclama este mensaje de parte del 
EZK.6.4	Todos sus altares serán demolidos y sus lugares de culto quedarán destruidos. Mataré a la gente delante de sus ídolos.
EZK.6.5	Arrojaré los cadáveres delante de sus ídolos y desparramaré sus huesos alrededor de sus altares. 
EZK.6.6	Dondequiera que vivan, habrá desolación y destruiré sus santuarios paganos. Sus altares serán demolidos; sus ídolos, aplastados; sus lugares de culto, derribados y todos los objetos religiosos que hayan hecho, destruidos. 
EZK.6.7	El lugar quedará sembrado de cadáveres y sabrán que solo yo soy el 
EZK.6.8	»”Sin embargo, permitiré que algunos de mi pueblo escapen de la destrucción y esos pocos serán esparcidos entre las naciones del mundo. 
EZK.6.9	Luego, cuando estén desterrados entre las naciones, se acordarán de mí. Reconocerán cuánto me duele la infidelidad de su corazón y la lujuria de sus ojos que anhelan a sus ídolos. Entonces, al fin, se odiarán a sí mismos por todos sus pecados detestables. 
EZK.6.10	Sabrán que solo yo soy el 
EZK.6.11	»”Esto dice el 
EZK.6.12	la enfermedad herirá de muerte a los que estén desterrados en lugares lejanos; la guerra destruirá a quienes estén cerca, y cualquiera que sobreviva morirá a causa del hambre. Entonces, por fin desahogaré mi furia en ellos. 
EZK.6.13	Sabrán que yo soy el 
EZK.6.14	Los aplastaré y dejaré desoladas sus ciudades, desde el desierto del sur hasta Ribla,
EZK.7.1	Después recibí este mensaje del 
EZK.7.2	«Hijo de hombre, esto dice el 
EZK.7.2	»¡Ya llegó el fin!
EZK.7.2	Dondequiera que mires
EZK.7.2	—al oriente, al occidente, al norte o al sur—
EZK.7.2	tu tierra está acabada.
EZK.7.3	No queda esperanza,
EZK.7.3	porque desataré mi enojo contra ti.
EZK.7.3	Te llamaré a rendir cuentas
EZK.7.3	de todos tus pecados detestables.
EZK.7.4	Miraré para otro lado y no te tendré compasión.
EZK.7.4	Te daré tu merecido por todos tus pecados detestables.
EZK.7.4	Entonces sabrás que yo soy el 
EZK.7.5	»Esto dice el 
EZK.7.5	¡Desastre tras desastre
EZK.7.5	se te acerca!
EZK.7.6	El fin ha llegado.
EZK.7.6	Finalmente llegó.
EZK.7.6	¡Te espera la condenación final!
EZK.7.7	Oh pueblo de Israel, ya amanece el día de tu destrucción.
EZK.7.7	Ha llegado la hora; está cerca el día de dificultad.
EZK.7.7	En las montañas se oirán gritos de angustia,
EZK.7.7	no serán gritos de alegría.
EZK.7.8	Pronto derramaré mi furia sobre ti
EZK.7.8	y contra ti desataré mi enojo.
EZK.7.8	Te llamaré a rendir cuentas
EZK.7.8	de todos tus pecados detestables.
EZK.7.9	Miraré para otro lado y no te tendré compasión.
EZK.7.9	Te daré tu merecido por todos tus pecados detestables.
EZK.7.9	Entonces sabrás que soy yo, el 
EZK.7.9	quien da el golpe.
EZK.7.10	»¡El día del juicio ha llegado;
EZK.7.10	tu destrucción está a la puerta!
EZK.7.10	La perversidad y la soberbia de la gente
EZK.7.10	han florecido en pleno.
EZK.7.11	La violencia de ellos se ha transformado en una vara
EZK.7.11	que los azotará por su perversidad.
EZK.7.11	Ninguno de esos orgullosos y perversos sobrevivirá.
EZK.7.11	Toda su riqueza y prestigio se esfumará.
EZK.7.12	Sí, ha llegado la hora,
EZK.7.12	¡este es el día!
EZK.7.12	Que los comerciantes no se alegren por las ofertas,
EZK.7.12	ni los vendedores lamenten sus pérdidas,
EZK.7.12	porque todos ellos caerán
EZK.7.12	bajo mi enojo terrible.
EZK.7.13	Aunque los mercaderes sobrevivan,
EZK.7.13	jamás regresarán a sus negocios.
EZK.7.13	Pues lo que Dios ha dicho se aplica a todos sin excepción,
EZK.7.13	¡no se cambiará!
EZK.7.13	Ninguna persona que viva descarriada por el pecado
EZK.7.13	se recuperará jamás.
EZK.7.14	»Suena la trompeta para movilizar al ejército de Israel,
EZK.7.14	pero nadie presta atención,
EZK.7.14	porque me he enfurecido contra todos ellos.
EZK.7.15	Fuera de la ciudad hay guerra,
EZK.7.15	y dentro de la ciudad, enfermedades y hambre.
EZK.7.15	Los que estén fuera de las murallas de la ciudad
EZK.7.15	morirán al filo de las espadas enemigas.
EZK.7.15	Los que estén dentro de la ciudad
EZK.7.15	morirán de hambre y enfermedades.
EZK.7.16	Los sobrevivientes que escapen hacia las montañas
EZK.7.16	gemirán como palomas, sollozando por sus pecados.
EZK.7.17	Sus manos colgarán sin fuerza,
EZK.7.17	las rodillas les quedarán débiles como el agua.
EZK.7.18	Se vestirán de tela áspera;
EZK.7.18	el horror y la vergüenza los cubrirán.
EZK.7.18	Se afeitarán la cabeza
EZK.7.18	en señal de dolor y remordimiento.
EZK.7.19	»Arrojarán su dinero a la calle,
EZK.7.19	lo tirarán como si fuera basura.
EZK.7.19	Ni su plata ni su oro los salvará
EZK.7.19	cuando llegue ese día del enojo del 
EZK.7.19	No los saciarán ni los alimentarán,
EZK.7.19	porque su avaricia solo los hace tropezar.
EZK.7.20	Estaban orgullosos de sus hermosas joyas
EZK.7.20	y con ellas hicieron ídolos detestables e imágenes repugnantes.
EZK.7.20	Por lo tanto, haré que todas sus riquezas
EZK.7.20	les resulten asquerosas.
EZK.7.21	Se las daré a los extranjeros como botín,
EZK.7.21	a las naciones más perversas,
EZK.7.21	y ellas las profanarán.
EZK.7.22	Apartaré mis ojos de ellos,
EZK.7.22	cuando esos ladrones invadan y profanen mi preciosa tierra.
EZK.7.23	»Prepara cadenas para mi pueblo,
EZK.7.23	porque la tierra está ensangrentada por crímenes terribles.
EZK.7.23	Jerusalén está llena de violencia.
EZK.7.24	Traeré a las naciones más despiadadas
EZK.7.24	para que se apoderen de sus casas.
EZK.7.24	Derrumbaré sus orgullosas fortalezas
EZK.7.24	y haré que se profanen sus santuarios.
EZK.7.25	El terror y el temblor se apoderarán de mi pueblo.
EZK.7.25	Buscarán paz, pero no la encontrarán.
EZK.7.26	Habrá calamidad tras calamidad;
EZK.7.26	un rumor seguirá a otro rumor.
EZK.7.26	En vano buscarán
EZK.7.26	una visión de los profetas.
EZK.7.26	No recibirán enseñanza de los sacerdotes
EZK.7.26	ni consejo de los líderes.
EZK.7.27	El rey y el príncipe quedarán indefensos,
EZK.7.27	sollozando de desesperación,
EZK.7.27	y las manos de la gente
EZK.7.27	temblarán de miedo.
EZK.7.27	Los haré pasar por la misma maldad
EZK.7.27	que ellos causaron a otros
EZK.7.27	y recibirán el castigo
EZK.7.27	que tanto merecen.
EZK.7.27	¡Entonces sabrán que yo soy el 
EZK.8.1	Después, el 17 de septiembre,
EZK.8.2	Vi una figura con apariencia de hombre.
EZK.8.3	Extendió algo que parecía ser una mano y me tomó del cabello. Luego el Espíritu me elevó al cielo y me transportó a Jerusalén en una visión que procedía de Dios. Me llevó a la puerta norte del atrio interior del templo, donde hay un ídolo grande que ha provocado los celos del 
EZK.8.4	De pronto, estaba allí la gloria del Dios de Israel, tal como yo la había visto antes en el valle.
EZK.8.5	Entonces el 
EZK.8.6	«Hijo de hombre —me dijo—, ¿ves lo que hacen? ¿Ves los pecados detestables que cometen los israelitas para sacarme de mi templo? ¡Pero ven y verás pecados aún más detestables que estos!». 
EZK.8.7	Luego me llevó a la puerta del atrio del templo, donde pude ver un hueco en el muro. 
EZK.8.8	Me dijo: «Ahora, hijo de hombre, cava en el muro». Entonces cavé en el muro y hallé una entrada escondida.
EZK.8.9	«¡Entra —me dijo—, y mira los pecados perversos y detestables que cometen ahí!». 
EZK.8.10	Entonces entré y vi las paredes cubiertas con grabados de toda clase de reptiles y criaturas detestables. También vi los diversos ídolos
EZK.8.11	Allí había de pie setenta líderes de Israel y en el centro estaba Jaazanías, hijo de Safán. Todos tenían en la mano un recipiente para quemar incienso y de cada recipiente se elevaba una nube de incienso por encima de sus cabezas.
EZK.8.12	Entonces el 
EZK.8.13	Entonces el 
EZK.8.14	Así que me llevó a la puerta norte del templo del 
EZK.8.15	«¿Has visto esto? —me preguntó—. ¡Pero te mostraré pecados aún más detestables!».
EZK.8.16	Entonces me llevó al atrio interior del templo del 
EZK.8.17	«¿Ves esto, hijo de hombre? —me preguntó—. ¿No le importa nada al pueblo de Judá cometer estos pecados detestables con los cuales llevan a la nación a la violencia y se burlan de mí y provocan mi enojo? 
EZK.8.18	Por lo tanto, responderé con furia. No les tendré compasión ni les perdonaré la vida y por más que clamen por misericordia, no los escucharé».
EZK.9.1	Entonces el 
EZK.9.2	Pronto entraron seis hombres por la puerta superior que da al norte y cada uno llevaba un arma mortal en la mano. Con ellos había un hombre vestido de lino, que llevaba un estuche de escriba en la cintura. Todos se dirigieron al atrio del templo y se pusieron de pie junto al altar de bronce.
EZK.9.3	Entonces la gloria del Dios de Israel se elevó de entre los querubines, donde había reposado, y se movió hacia la entrada del templo. Luego el 
EZK.9.4	Le dijo: «Recorre las calles de Jerusalén y pon una marca en la frente de todos los que lloren y suspiren por los pecados detestables que se cometen en la ciudad».
EZK.9.5	Luego oí al 
EZK.9.6	Mátenlos a todos: ancianos, jóvenes, muchachas, mujeres y niños. Sin embargo, no toquen a ninguno que tenga la marca. Comiencen aquí mismo, en el templo». Entonces ellos comenzaron matando a los setenta líderes.
EZK.9.7	«¡Contaminen el templo! —mandó el 
EZK.9.8	Mientras mataban a la gente, yo me quedé solo. Caí con el rostro en tierra y clamé:
EZK.9.8	—¡Oh 
EZK.9.9	Me contestó:
EZK.9.9	—Los pecados del pueblo de Israel y Judá son muy, pero muy grandes. La tierra está llena de homicidios; la ciudad está colmada de injusticia. Ellos dicen: “¡El 
EZK.9.10	Por eso no les perdonaré la vida ni les tendré compasión. Les daré todo su merecido por lo que han hecho.
EZK.9.11	Luego regresó el hombre vestido de lino, que llevaba el estuche de escriba, e informó: «Ya hice lo que me ordenaste».
EZK.10.1	En mi visión, vi que, por encima de la superficie de cristal que estaba sobre las cabezas de los querubines, había algo que parecía un trono de lapislázuli. 
EZK.10.2	Entonces el 
EZK.10.3	Cuando el hombre entró allí, los querubines estaban de pie en la parte sur del templo y la nube de gloria llenaba el atrio interior. 
EZK.10.4	Entonces la gloria del 
EZK.10.5	El sonido de las alas de los querubines sonaban como la voz del Dios Todopoderoso
EZK.10.6	El 
EZK.10.7	Luego uno de los querubines extendió la mano y tomó algunas brasas de en medio del fuego que ardía entre ellos. Puso las brasas en las manos del hombre vestido de lino y el hombre las tomó y salió de allí. 
EZK.10.8	(Todos los querubines tenían debajo de sus alas lo que parecían ser manos humanas).
EZK.10.9	Me fijé y cada uno de los cuatro querubines tenía una rueda a su lado y las ruedas brillaban como el berilo. 
EZK.10.10	Las cuatro ruedas eran semejantes entre sí y estaban hechas de la misma manera; dentro de cada rueda había otra rueda que giraba en forma transversal. 
EZK.10.11	Los querubines podían avanzar de frente en las cuatro direcciones, sin girar mientras se movían. Iban derecho en la dirección que tuvieran frente a ellos y nunca se desviaban. 
EZK.10.12	Tanto los querubines como las ruedas estaban cubiertos de ojos. Los querubines tenían ojos por todo el cuerpo, incluso las manos, la espalda y las alas. 
EZK.10.13	Oí que alguien hablaba de las ruedas como «las ruedas que giran». 
EZK.10.14	Cada uno de los cuatro querubines tenía cuatro caras: la primera era la cara de un buey,
EZK.10.15	Luego los querubines se elevaron. Eran los mismos seres vivientes que yo había visto junto al río Quebar. 
EZK.10.16	Cuando los querubines se movían, las ruedas se movían con ellos. Cuando elevaban las alas para volar, las ruedas permanecían con ellos. 
EZK.10.17	Cuando los querubines se detenían, las ruedas también se detenían. Cuando volaban hacia arriba, las ruedas subían, porque el espíritu de los seres vivientes estaba en las ruedas.
EZK.10.18	Luego la gloria del 
EZK.10.19	Entonces, mientras yo observaba, los querubines volaron con sus ruedas a la puerta oriental del templo del 
EZK.10.20	Eran los mismos seres vivientes que yo había visto debajo del Dios de Israel cuando me encontraba junto al río Quebar. Sabía que eran querubines, 
EZK.10.21	porque cada uno tenía cuatro caras y cuatro alas y lo que parecían ser manos humanas debajo de las alas. 
EZK.10.22	Además, sus caras eran como las caras de los seres que yo había visto junto al Quebar y se movían de frente y hacia adelante, tal como los otros.
EZK.11.1	Luego el Espíritu me levantó y me llevó a la entrada oriental del templo del 
EZK.11.2	El Espíritu me dijo: «Hijo de hombre, estos son los hombres que piensan hacer maldades y dan consejos perversos en esta ciudad. 
EZK.11.3	Le dicen al pueblo: “¿Acaso no es un buen momento para construir casas? Esta ciudad es como una olla de hierro. Aquí adentro estamos a salvo, como la carne en la olla
EZK.11.4	Por lo tanto, hijo de hombre, profetiza contra ellos en forma clara y a viva voz».
EZK.11.5	Entonces vino sobre mí el Espíritu del 
EZK.11.6	Ustedes asesinaron a muchos en esta ciudad y llenaron las calles con cadáveres.
EZK.11.7	»”Por lo tanto, esto dice el 
EZK.11.8	Les haré caer la espada de la guerra que tanto temen, dice el 
EZK.11.9	Los expulsaré de Jerusalén y los entregaré a extranjeros que ejecutarán mis castigos contra ustedes. 
EZK.11.10	Serán masacrados hasta las fronteras de Israel. Ejecutaré juicio contra ustedes y sabrán que yo soy el 
EZK.11.11	No, esta ciudad no será una olla de hierro para ustedes ni estarán a salvo como la carne dentro de ella. Los juzgaré, incluso hasta las fronteras de Israel, 
EZK.11.12	y sabrán que yo soy el 
EZK.11.13	Mientras yo aún profetizaba, murió de repente Pelatías, hijo de Benaía. Entonces caí rostro en tierra y clamé: «Oh 
EZK.11.14	Luego recibí este mensaje del 
EZK.11.15	«Hijo de hombre, el pueblo que aún queda en Jerusalén habla de ti, de tus parientes y de todos los israelitas desterrados. Dicen: “¡Ellos están lejos del 
EZK.11.16	»Por lo tanto, diles a los desterrados: “Esto dice el 
EZK.11.17	Yo, el 
EZK.11.18	»Cuando los israelitas regresen a su patria, quitarán todo rastro de sus imágenes repugnantes y sus ídolos detestables. 
EZK.11.19	Les daré integridad de corazón y pondré un espíritu nuevo dentro de ellos. Les quitaré su terco corazón de piedra y les daré un corazón tierno y receptivo,
EZK.11.20	para que obedezcan mis decretos y ordenanzas. Entonces, verdaderamente serán mi pueblo y yo seré su Dios. 
EZK.11.21	Sin embargo, a todos los que añoren las imágenes repugnantes y los ídolos detestables, les daré su merecido por sus pecados. ¡Yo, el 
EZK.11.22	Luego los querubines desplegaron las alas y se elevaron por el aire con las ruedas junto a ellos y la gloria del Dios de Israel se sostenía en el aire por encima de ellos. 
EZK.11.23	Entonces la gloria del 
EZK.11.24	Después el Espíritu de Dios me llevó de regreso a Babilonia,
EZK.11.25	Entonces les relaté a los desterrados todo lo que el 
EZK.12.1	Nuevamente recibí un mensaje del 
EZK.12.2	«Hijo de hombre, tú vives entre rebeldes que tienen ojos pero se niegan a ver; tienen oídos pero se niegan a oír, porque son un pueblo rebelde.
EZK.12.3	»De modo que ahora, hijo de hombre, haz como si te enviaran al destierro. Prepara tu equipaje con las pocas pertenencias que podría llevarse un desterrado y sal de tu casa para ir a otro lugar. Hazlo a la vista de todos para que te vean. Pues quizás presten atención a eso, por muy rebeldes que sean. 
EZK.12.4	Saca tu equipaje en pleno día para que te vean. Luego, por la tarde, mientras aún estén mirándote, sal de tu casa como lo hacen los cautivos cuando inician una larga marcha a tierras lejanas. 
EZK.12.5	Cava un hueco en la muralla a la vista de todos y sal por ese hueco. 
EZK.12.6	Mientras todos observan, carga el equipaje sobre los hombros y aléjate caminando en la oscuridad de la noche. Cúbrete el rostro para que no puedas ver la tierra que dejas atrás. Pues yo he hecho de ti una señal para el pueblo de Israel».
EZK.12.7	Por lo tanto, hice lo que se me ordenó. A plena luz del día, saqué mi equipaje, lleno de cosas que llevaría al destierro. Por la tarde, mientras el pueblo seguía observando, cavé con las manos un hueco en la muralla y salí en la oscuridad de la noche con el equipaje sobre los hombros.
EZK.12.8	A la mañana siguiente, recibí este mensaje del 
EZK.12.9	«Hijo de hombre, esos rebeldes —el pueblo de Israel— te han preguntado qué significa todo lo que haces. 
EZK.12.10	Diles: “Esto dice el 
EZK.12.11	Explica, entonces, que tus acciones son una señal para mostrar lo que pronto les sucederá a ellos, pues serán llevados cautivos al destierro.
EZK.12.12	»Hasta Sedequías se irá de Jerusalén de noche por un hueco en la muralla, cargando solo lo que pueda llevar consigo. Se cubrirá el rostro y sus ojos no verán la tierra que deja atrás. 
EZK.12.13	Luego lanzaré mi red sobre él y lo capturaré con mi trampa. Lo llevaré a Babilonia, el territorio de los babilonios,
EZK.12.14	Esparciré a los cuatro vientos a sus siervos y guerreros, y mandaré la espada tras ellos. 
EZK.12.15	Entonces, cuando los disperse entre las naciones, sabrán que yo soy el 
EZK.12.16	No obstante, a algunos los libraré de morir en la guerra o por enfermedades o de hambre, para que confiesen sus pecados detestables a sus captores. ¡Entonces sabrán que yo soy el 
EZK.12.17	Luego recibí este mensaje del 
EZK.12.18	«Hijo de hombre, estremécete al comer tu alimento; tiembla de miedo al beber tu agua. 
EZK.12.19	Dile al pueblo: “Esto dice el 
EZK.12.20	Las ciudades serán destruidas y los campos quedarán hechos desiertos. Entonces ustedes sabrán que yo soy el 
EZK.12.21	Nuevamente recibí un mensaje del 
EZK.12.22	«Hijo de hombre, has oído ese proverbio que citan en Israel: “El tiempo pasa y las profecías quedan en nada”. 
EZK.12.23	Dile al pueblo: “Esto dice el 
EZK.12.24	»Ya no habrá más visiones falsas ni predicciones aduladoras en Israel. 
EZK.12.25	¡Pues yo soy el 
EZK.12.26	Luego recibí este mensaje del 
EZK.12.27	«Hijo de hombre, los israelitas andan diciendo: “Él habla de un futuro lejano. Sus visiones no se cumplirán por muchísimo tiempo”. 
EZK.12.28	Por lo tanto, diles: “Esto dice el 
EZK.13.1	Después recibí este mensaje del 
EZK.13.2	«Hijo de hombre, profetiza contra los falsos profetas de Israel que inventan sus propias profecías. Diles: “Escuchen la palabra del 
EZK.13.3	Esto dice el 
EZK.13.4	»Oh pueblo de Israel, estos profetas tuyos son como chacales que escarban en las ruinas. 
EZK.13.5	No han hecho nada para reparar las grietas de las murallas que rodean la nación. No la han ayudado a mantenerse firme en la batalla el día del 
EZK.13.6	En cambio, han mentido y han hecho predicciones falsas. Dicen: “Este mensaje es del 
EZK.13.7	¿No son acaso totalmente falsas sus visiones si ustedes afirman: “Este mensaje es del 
EZK.13.8	»Por lo tanto, esto dice el 
EZK.13.9	Alzaré mi puño contra todos los profetas que tengan visiones falsas y hagan predicciones mentirosas, y serán expulsados de la comunidad de Israel. Tacharé sus nombres de los registros de Israel, y jamás volverán a pisar su propia tierra. Entonces ustedes sabrán que yo soy el 
EZK.13.10	»Esto ocurrirá porque estos profetas malvados engañan a mi pueblo cuando dicen: “Todo está en paz”, ¡pero en realidad no hay paz en absoluto! Es como si el pueblo hubiera construido un muro frágil, ¡y estos profetas pretenden reforzarlo cubriéndolo con cal! 
EZK.13.11	Diles a esos que pintan con cal que pronto se les derrumbará el muro. Una lluvia torrencial debilitará sus cimientos; fuertes tormentas de granizo y vientos impetuosos lo demolerán. 
EZK.13.12	Entonces, cuando caiga el muro, la gente exclamará: “¿Qué pasó con la cal que pusieron ustedes?”.
EZK.13.13	»Por lo tanto, esto dice el 
EZK.13.14	Derribaré su muro hasta los cimientos y cuando caiga los aplastará a ustedes. Entonces sabrán que yo soy el 
EZK.13.15	Por fin se saciará mi enojo contra el muro y quienes lo blanquearon con cal. Luego les diré a ustedes: “Ya desaparecieron el muro y quienes lo blanquearon con cal. 
EZK.13.16	Eran los profetas mentirosos que afirmaban que la paz llegaría a Jerusalén, cuando no había paz. ¡Yo, el 
EZK.13.17	»Ahora, hijo de hombre, denuncia a las mujeres que profetizan según su propia imaginación. 
EZK.13.18	Esto dice el 
EZK.13.19	Ustedes me deshonran delante de mi pueblo por unos puñados de cebada o un trozo de pan. Al mentirle a mi pueblo —que disfruta de las mentiras—, ustedes matan a quienes no deben morir y prometen vida a quienes no deben vivir”.
EZK.13.20	»Esto dice el 
EZK.13.21	Les quitaré los velos mágicos y rescataré a mi pueblo de las garras de ustedes. Ellos ya no serán más sus víctimas. Entonces ustedes sabrán que yo soy el 
EZK.13.22	Con sus mentiras desalentaron a los justos, pero yo no quería que estuvieran tristes; ustedes alentaron a los perversos al prometerles vida, aunque ellos continuaran pecando. 
EZK.13.23	Por todo eso, ustedes ya no hablarán de visiones que jamás vieron ni harán más predicciones. Pues yo rescataré a mi pueblo de sus garras. Entonces ustedes sabrán que yo soy el 
EZK.14.1	Después me visitaron algunos de los líderes de Israel y, mientras estaban sentados conmigo, 
EZK.14.2	recibí este mensaje del 
EZK.14.3	«Hijo de hombre, estos líderes han levantado ídolos
EZK.14.4	Diles: “Esto dice el 
EZK.14.5	a fin de conquistar la mente y el corazón de mi pueblo que me ha abandonado para rendir culto a sus ídolos detestables’”.
EZK.14.6	»Por lo tanto, diles a los israelitas: “Esto dice el 
EZK.14.7	Yo, el 
EZK.14.8	Me pondré en contra de esas personas y haré de ellas un ejemplo espantoso cuando las elimine de mi pueblo. Entonces ustedes sabrán que yo soy el 
EZK.14.9	»’Además, si un profeta es engañado para que dé un mensaje, es porque yo, el 
EZK.14.10	Tanto los falsos profetas como quienes los consultan serán castigados por sus pecados. 
EZK.14.11	De este modo, los israelitas aprenderán a no alejarse de mí y por tanto a no contaminarse con el pecado. Ellos serán mi pueblo y yo seré su Dios. ¡Yo, el 
EZK.14.12	Luego recibí este mensaje del 
EZK.14.13	«Hijo de hombre, supongamos que los habitantes de un país pecaran contra mí y yo alzara mi puño para aplastarlos al cortarles la provisión de alimento y al hacerles pasar un hambre que destruyera tanto a personas como a animales. 
EZK.14.14	Aunque Noé, Daniel y Job estuvieran allí, su justicia los salvaría solo a ellos y no a ningún otro, dice el 
EZK.14.15	»O supongamos que yo les enviara animales salvajes que invadieran el país, mataran a los habitantes y dejaran la tierra desolada y demasiado peligrosa para ser transitada. 
EZK.14.16	Tan cierto como que yo vivo, dice el 
EZK.14.17	»O supongamos que yo provocara guerra contra el país y mandara ejércitos enemigos para destruir tanto a personas como a animales. 
EZK.14.18	Tan cierto como que yo vivo, dice el 
EZK.14.19	»O supongamos que yo derramara mi furia y enviara una epidemia al país que matara tanto a personas como a animales. 
EZK.14.20	Tan cierto como que yo vivo, dice el 
EZK.14.21	»Ahora esto dice el 
EZK.14.22	Sin embargo, habrá sobrevivientes, quienes vendrán aquí, desterrados como ustedes en Babilonia. Ustedes verán con sus propios ojos lo perversos que ellos son y entonces no se sentirán tan mal por lo que hice en Jerusalén. 
EZK.14.23	Cuando se reúnan con ellos y vean cómo se comportan, entenderán que lo que hice a Israel no fue sin motivo. ¡Yo, el 
EZK.15.1	Luego recibí este mensaje del 
EZK.15.2	«Hijo de hombre, ¿cómo se compara una vid con un árbol? ¿Es la madera de una vid tan útil como la de un árbol? 
EZK.15.3	¿Sirve su madera para hacer objetos, como ganchos para colgar ollas y sartenes? 
EZK.15.4	No, solo sirve para leña y aun como leña se consume demasiado rápido. 
EZK.15.5	¡Las vides son inútiles antes y después de arrojarlas al fuego!
EZK.15.6	»Esto dice el 
EZK.15.7	Si escapan de un fuego, me encargaré de que caigan en otro. Cuando me ponga en su contra, ustedes sabrán que yo soy el 
EZK.15.8	Haré que el país quede desolado porque mi pueblo me ha sido infiel. ¡Yo, el 
EZK.16.1	Después recibí otro mensaje del 
EZK.16.2	«Hijo de hombre, enfrenta a Jerusalén con sus pecados detestables. 
EZK.16.3	Dale este mensaje de parte del 
EZK.16.4	El día en que naciste, nadie se preocupó por ti. No te cortaron el cordón umbilical ni te lavaron ni te frotaron con sal ni te envolvieron en pañales. 
EZK.16.5	Nadie puso el más mínimo interés en ti; nadie tuvo compasión de ti ni te cuidó. El día de tu nacimiento, no fuiste deseada; te arrojaron en el campo y te abandonaron para que murieras.
