MAT.1.1	Hawe Daawita zariyaanne Abraahaame zare gideedda Yesuusi Kiristtoosa yeletaa odiyaa maxaafaa.
1JN.4.13	Xoossay bare Ayyaanaa nuussi immeedda diraw, nuuni Xoossaa giddon de7iyaawaanne ikka nu giddon de7iyaawaa ereetto. 
1JN.4.14	Xoossaa Aawuu bare Na7aa ha alamiyaa ashshiyaawaa gidanaw kiitteeddawaa nuuni be7iide markkatteetto. 
1JN.4.15	Yesuusi Xoossaa Na7aa gidiyaawaa markkattiyaa O gidduwaaninne Xoossay de7ee; ikka Xoossaa giddon de7ee. 
1JN.4.16	Xoossay nuuna siiqiyaawaa nuuni nu huuphew ereettonne ammaneetto.
1JN.4.16	Xoossay siiquwaa. Siiquwan de7iya ooninne Xoossaa giddon de7ee; Xoossaykka A giddon de7ee. 
1JN.4.17	Nu de7uu ha alamiyaan Kiristtoosi de7eeddawaa mala gidiyaa diraw, pirddaa gallassi nuuni yayyenna mala, siiquu nu giddon poletteedda. 
1JN.4.18	Siiquwan yashshi baawa; gaasuukka tumu siiquu yashshaa kessi olee. Yashshaynne muray ittippe biya diraw, yayyiyaa uraa siiquu kumentha gidenna.
1JN.4.19	Xoossay koyro nuuna siiqeedda diraw, nuuni A siiqeeddo. 
1JN.4.20	Ooninne, <<Taani Xoossaa siiqay>> giidde bare ishaa ixxooppe, I wordduwaa. Ayissi gooppe, be7eedda bare ishaa siiqennawe be7ibeenna Xoossaa siiqanaw waani danddayii? 
1JN.4.21	Qassi Kiristtoosi nuussi immeedda azazu hawaa; Xoossaa siiqiyaa uray bare ishaakka siiqanaw bessee.
1JN.5.1	Oketteedda Kiristtoosa yaagiide, Yesuusa ammaniyaa ubbay Xoossaa nanaa; qassi Xoossaa Aawuwaa siiqiyaa ooninne A naanatuwaakka siiqee. 
1JN.5.2	Nuuni Xoossaa siiqiyaawaaninne A azazuwaa naagiyaawan, Xoossaa naanatuwaa siiqiyaawaa ereetto. 
1JN.5.3	Ayissi gooppe, nuuni Xoossaa siiqiyaawe A azazuwaa naagiyaawaa; A azazuukka deexo gidenna. 
1JN.5.4	Ayissi gooppe, Xoossaa Na7aa gidiyaa ooninne ha alamiyaa xoonanaw danddayee; nuunikka ha alamiyaa xoonanawe nu ammanuwaana. 
1JN.5.5	Ha alamiyaa xoonanaw danddayiyaawe oonee? Yesuusi Xoossaa Na7aa gidiyaawaa ammaniyaawaa xalalay xoonana.
1JN.5.6	Xinqqataa haathaannanne hayquwaa suuthaanna yeeddawe hawaa; ikka Yesuusi Kiristtoosa; haathaannanne suuthaanna 
1JN.5.7	Ayissi gooppe, heezzu markkatuu de7iino. 
1JN.5.8	Hewanttu, Xoossaa Ayyaanaa, haathaanne suuthaa; ha heezzatuu ittuu ittuwawaa phalqqikkino. 
1JN.5.9	Nuuni asay markkattiyaawaa ammanooppe, Xoossay markkattiyaawe asaawaappe loythi aadhdhee; ayissi gooppe, Xoossay bare Na7abaa markkatteedda markkatethay hawaa. 
1JN.5.10	Xoossaa Na7aa ammaniyaa uraa wozanaan ha markkatethay de7ee. Xoossaa ammanenna uray ooninne Xoossay bare Na7aw markkatteedda markkatethaa ammanibeenna diraw, Xoossaa wordduwaa gee.
1JN.5.11	Simmi markkatethay hawaa; Xoossay nuussi medhinaa de7uwaa immeedda; hewekka A Na7an de7ee. 
1JN.5.12	Xoossaa Na7ay de7iya oossinne de7uu de7ee; Xoossaa Na7ay baynna oossinne de7uu baawa.
1JN.5.13	Xoossaa Na7aa sunthan ammaniyaa hinttenttoo medhinaa de7uu de7iyaawaa hintte erana mala, hawaa hinttenttoo xaafaaddi. 
1JN.5.14	Xoossay koyyiyaawaadan, ayinne nuuni A woossooppe, I sisiyaawaa nuuni eriya diraw, A sinthan yayyokko. 
1JN.5.15	Nuuni woossiyaa ubbaan I sisiyaawaa erooppe, nuuni A woosseeddawaa I zaareeddawaa ereetto.
1JN.5.16	Ooninne hayquu bessenna nagaraa bare ishay oothishshin be7ooppe, Xoossaa woossanaw bessee; hayquu bessenna nagaraa ootheeddawanttoo Xoossay de7uwaa immana. Hayquu bessiyaa nagaray de7ee; taani hinttena hewoo Xoossaa woossite giikke. 
1JN.5.17	Bayizzo oosuu ubbay nagaraa; shin hayquu bessenna nagaray de7ee.
1JN.5.18	Xoossaa naanay ooninne nagaraa ubba wode oothennawaa nuuni ereetto. Ayissi gooppe, Xoossaa Na7ay unttuntta naagee; qassi xalahiyaa kaappuukka unttuntta qohanaw danddayenna. 
1JN.5.19	Nuuni Xoossawantta gidiyaawaanne ha alamii ubay xalahiyaa kaappuwan moodetteeddawe ereetto.
1JN.5.20	Nuuni tumu Xoossaa eranaadan, Xoossaa Na7ay yeeddawaanne nuussi akeekaa immeeddawaa ereetto. Nuuni tumu Xoossaa giddon, A Na7aa Yesuusi Kiristtoosa giddon de7eetto; I tumu Xoossaanne medhinaa de7uwaa.
1JN.5.21	Ta naatoo, eeqatuwaappe hintte huuphiyaa naagite.
2JN.1.1+2JN.1.2	Taani ammaniyaawantta kaalethiyaa cimay, hinttenttoo, dooretteedda genniwunne izi naanaw 
2JN.1.3	Xoossaa nu Aawuwaanne A Na7aa Yesuusi Kiristtoosa aadho keekatethay, maarotethaynne sarotethay tumatethaaninne siiquwan nuunanna ittippe gido.
2JN.1.4	Xoossaa Aawuu nuuna azazeedawaadan, ne naanatuwaappe amareeddawanttu, tumatethaan de7iyaawaa be7aade taani daro nashettaaddi. 
2JN.1.5	Siiqo gennee, ha77ikka nuuni ubbay ittuu ittuwaanna siiqettana mala, taani neena woossay; ha azazu kaseedeppe nuunanna de7iya azazuwaappe attin, taani new ooratha azazuwaa xaafikke. 
2JN.1.6	Siiquwaa giyaawe nuuni Xoossaa azazuwaa naagiidde de7iyaawaa giyaawaa. Qassi koyiruwaappe hintte siseeddawaadankka, A azazuu ayee gooppe, hintte ubbay siiquwan de7anawaa.
2JN.1.7	Ayissi gooppe, Yesuusi Kiristtoosi asaa gidiide yeeddawaa ammanokko giyaawanttu, balethiya daro asatuu, gade giddo geleeddino. Hewaa mala uray ooninne asaa balethiyaawaanne Kiristtoosa eqettiyaawaa. 
2JN.1.8	Hintte ootheeddawoo kumentha woytaa akkanaappe attin, nuuni 
2JN.1.9	Kiristtoosa timirttiyaappe haakkiyaa urawunne qassi A timirttiyaan de7enna uraw Xoossaanna ittippetethay baawa. Kiristtoosa timirttiyaan de7iya uraw Xoossaa Aawuwannanne A Na7aanna ittippetethay de7ee. 
2JN.1.10	Ooninne hinttekko yiide, ha timirttiyaa ahennaan aggooppe, hintte golle A gelissoppite; sarokka gooppite. 
2JN.1.11	Ayissi gooppe, A saro giya uray A iita oosuwaa aananna gishettee.
2JN.1.12	Taani hinttenttoo xaafanaw koyyeedda darobay de7ee; shin waraqataaninne qalamiyaan xaafanaw koyyabeykke; shin nu nashechchay polettana mala, hinttenanna doonan haasayanaw hinttekko baana gaade qoppay.
2JN.1.13	Siiqo gennee, Xoossay dooreedda ne michchatti naanay neena saro saro yaagiino.
3JN.1.1	Taani ammaniyaawantta kaalethiyaa cimay, tumu siiqiyaa ta siiquwaa Gaayoosaw ha dabidaabbiyaa xaafay. 
3JN.1.2	Ta siiqoo, neeni Xoossaanna de7iyaa de7uu lo77a gidiyaawaa taani eriyaawaadan, neena ayayiinne waayissenna malanne qassi ne asatethay paxa gidana mala, Xoossaa woossay. 
3JN.1.3	Ayissi gooppe, amareedda ishatuu yiide, ubba wode neeni tumatethaan de7iyaawaanne ne tumatethaabaa markkatteedda wode, taani daro nashettaaddi. 
3JN.1.4	Ta naanay 
3JN.1.5	Ta siiqoo, nu ishatuu imatha gidooppekka, neeni unttunttoo oothiyaa oosuwaa ubbaan ammanetteedda oosuwaa oothaadda. 
3JN.1.6	Qassi unttunttu ne siiquwaabaa ammaniyaa asatoo markkatteeddino; unttunttu qanxxennaan bare ogiyaa baana mala Xoossay dosiyaawaadan, neeni lo77obaa oothaade unttuntta maaddaarikkii. 
3JN.1.7	Ayissi gooppe, Xoossaa ammanennawnttuppe ayinne akkennaan, Kiristtoosa sunthaa diraw keseeddino. 
3JN.1.8	Hewaa diraw, nuuni tumatethaa unttunttunna ittippe oothana mala, hawanttu mala asatuwaa maaddanaw bessee.
3JN.1.9	Taani ammaniyaawanttoo, dabidaabbiyaa xaafaaddi; shin unttunttu kaappuwaa gidanaw koyyiyaa Diyootiraafise nuuni giyaawaa akkenna. 
3JN.1.10	Hewaa diraw, taani yaa biya wode, I nu bollan haasayiyaa iita haasayaanne I ootheedda oosuwaa hinttenttoo odana; qassi I hewe guuxxeedda giide, nu ishatuu yiyaa wode mokkenna; haray atto unttuntta mokkanaw koyyiyaawanttakka diggiide, ammaniyaawanttu giddoppe kessee.
3JN.1.11	Ta siiqoo, lo77obaappe attin, iitabaa malatoppa. Lo77obaa oothiyaa ooninne Xoossaa asaa; shin iitabaa oothiyaa ooninne Xoossaa erenna.
3JN.1.12	Dimexiroosi lo77a gidiyaawaa asay ubbay markkattee; tumatethay bare huuphiyankka aabaa markkattee. Nuunikka qassi aabaa markkatteetto; nu markkatethay tuma gidiyaawaa hinttekka eriita.
3JN.1.13	Taani new xaafanaw koyyeedda darobay de7ee; shin waraqataaninne qalamiyaaninne xaafanaw koyyikke. 
3JN.1.14	Shin taani matan neenanna gakkettanaw qoppay; he wode nuuni gakeettiide haasayana.
3JN.1.15	Sarotethay neenanna gido.
3JN.1.15	Ne dabbatuu neena saro saro yaagiino. Nu dabbatuwaa ubbaa unttunttu sunthaa sunthaa xeesaade, taana saro saro geedda yaaga.
JUD.1.1	Taani Yesuusi Kiristtoosa qoomay Yihuday, Yayiqqooba ishay, Xoossay xeeseeddawanttoo, Xoossay Aawuu siiqiyaawanttoo, qassi Yesuusi Kiristtoosi naagiyaawanttoo, ha dabidaabbiyaa xaafay.
JUD.1.2	Maarotethay, sarotethaynne siiqotethay hinttenan kumo.
JUD.1.3	Ta siiqatoo, nuuni ittippe shaakki akkana atotethaabaa hinttenttoo xaafanaw taani daro daaburiyaa wode, Xoossay bare naanatoo laa7ethennaan itti gede immeedda ammanoo hintte baaxetana mala, hinttena zoraade xaafanaw koshshiyaawaa akeekaaddi. 
JUD.1.4	Ayissi gooppe, Xoossaa erenna itti itti asatuu ooninne be7ennaan hintte giddo geleeddino. Hewanttu nu Xoossaa aadho keekatethaabaa odiyaa kiitaa iita tunatethaw geellay tamaarisiino; unttunttu nu itti Kaatiyaa, nu Godaa Yesuusi Kiristtoosa erokko yaagiino; qassi unttunttu pirddaa akkanawaa Xoossaa Maxaafatuu daro wodiyaappe kase odeeddino.
JUD.1.5	Shin hintte ha ubbabaa eriyaawaa gidooppekka, Goday Israa7eeliyaa asaa Gibxe gadiyaappe wooti ashsheeddenttonne qassi ammanibeennawantta guyyeppe wooti dhayisseeddentto, taani hinttena hassayissanaw koyyay. 
JUD.1.6	Qassi barenttu de7iyaasaa aggiide, barenttoo imetteedda kaappotethaa naagibeenna kiitanchchatuu pirddaa akkiya wolqqaama gallassay gakkanaw Xoossay unttuntta naagiyaasan, dhumaappe garssan medhinaw qachchi wothee. 
JUD.1.7	Hewaadan Sodoomaanne Gamooraa giya katamatuwaaninne unttunttu heeran de7iya katamatuwaan de7iya asay he kiitanchchatuwaadan woshummeeddinonne woshummanaw loythi kajjeeleeddino; hewanttu medhinaa tamaan eexxiide, haratoo leemisuwaa gideeddino. 
JUD.1.8	Hewaadan qassi he akumettiyaa asatuu barenttu asatethaa tunissiino; Xoossaa godatethaa kadhiino; bonchcho medhetatuwaakka boriino. 
JUD.1.9	Shin kiitanchchatuwaa kaappuu Mikaa7eeli Muse anhaabaa 
JUD.1.10	Shin he asatuu barew akeekennabaa ubbaa boriino; qassi unttunttu yuushshi qoppenna do7atuwaadan, medhetaa eratethan eriya yewatuu unttuntta dhayissiyaawantta. 
JUD.1.11	Unttunttoo aayyeero! Ayissi gooppe, unttunttu Qaayeeli hametteedda ogiyaa 
JUD.1.12	Hewanttu siiquwan shoobbiyaa hintte miyasaan hinttenanna yashshi bayinnaan miyaa wode, qosetteedda dhubuwaa mala. Unttunttu barenttu xalalaa naagiino. Unttunttu carkkuu afiyaa iray bayinna shaariyaa mala; qassi unttunttu boniyan ayfiyaa ayifenna, xaphuwaanna shodettiide, mulekka meleedda mithaa mala. 
JUD.1.13	Unttunttu barenttu pokkuwaa genthenna hoommotiya, iita abbaa beetaa mala. Unttunttu, Xoossay, medhinaw sakkana dhumaani sa7aa giigissi wotheedda yuuyyiyaa xoolinttatuwaa mala.
JUD.1.14+JUD.1.15	Heenooki Addaamappe doommina, laappuntha yeletaa gidiyaawe, daro wodiyaappe kase unttunttuwaa timbbitiyaa odiidde, hawaadan yaageedda;
JUD.1.14+JUD.1.15	<<Akeekite; Xoossaa erenna nagaranchcha
JUD.1.14+JUD.1.15	asatuu ootheedda iita oosuwaa ubbawunne
JUD.1.14+JUD.1.15	qassi Xoossaa erenna he iita asatuu
JUD.1.14+JUD.1.15	Xoossaa bolla haasayeedda iita haasayaa ubbaw,
JUD.1.14+JUD.1.15	Goday unttunttu ubbaa bolla pirddanaw,
JUD.1.14+JUD.1.15	bare cora sha77a geeshshatuwaanna ittippe yaana>>
JUD.1.14+JUD.1.15	yaageedda. 
JUD.1.16	He asatuu ubba wode zuuzummiinonne haratuwaa amaassaliino; qassi barenttu iita amuwaa kaalliino; barenttu huuphew go77a demmanaw haratuwaa sabbiinonne barenttu kooshshaa wogaappe aathiide, dhoqqu oothi haasayiino.
JUD.1.17	Shin ta siiqatoo, nu Godaa Yesuusi Kiristtoosi kiitteeddawanttu hinttenttoo beni haasayeedda qaalaa akeekite. 
JUD.1.18	Unttunttu hinttenttoo, <<Wurssethaa wodiyaan, barenttoo xoossay bayinnawanttu, barenttu amuwaa kaalliyaawanttu, qassi hintte bolla qilliicciyaawanttu yaana>> yaageeddino. 
JUD.1.19	Hewanttu asaa giddon shaakotethaa medhdhiyaawanttanne, barenttu iita amoo moodetteeddawantta; qassi Geeshsha Ayyaanay baynnawantta.
JUD.1.20	Shin ta siiqatoo, ubbaappe aadhdhiyaa geeshsha ammanuwan hintte huuphiyaa keexxite; qassi Geeshsha Ayyaanaa wolqqaan Xoossaa woossite. 
JUD.1.21	Qassi nu Goday Yesuusi Kiristtoosi bare maarotethan hinttenttoo immana medhinaa de7uwaa naagiidde, hintte huuphiyaa Xoossaa siiquwan wothite.
JUD.1.22	Itti itti sidhii de7iya asatoo qarettite. 
JUD.1.23	Ittuwaa ittuwaa tamaappe dafi kessiide ashshite. Qassi haray atto unttunttu iita amuwan tuneedda mayuwaa ixxiiddekka, ittoo ittoo yashshatethaan qarettite.
JUD.1.24+JUD.1.25	Hintte kunddennaadan, hinttena naaganawunne pokkuu baynnawantta udiide, bare bonchchuwaa sintha wolqqaama nashechchaan shiishshanaw danddayiyaa nuuna ashshiya itti Xoossaw, nu Godaa Yesuusi Kiristtoosa bagganna bonchchuu, gitatethay, wolqqaynne maatay, aadhdheedda wode ubbaappenne ha77inne medhinaa gakkanaw gido. Amen77i.
REV.1.1	Elleelli hananaw bessiyaawaa bare oosanchchatuwaa bessana mala, Xoossay Yesuusi Kiristtoosaw immeedda saxay hawaa; Yesuusi bare kiitanchchaa kiittiide, ha saxaa bare oosanchchaa Yohaannisa erisseedda. 
REV.1.2	Yohaannisi be77iide tumatethaan odeedda ubbaby, Xoossaa qaalaanne Yesuusi Kiristtoosa markkatethaa. 
REV.1.3	Ha maxaafaa nabbabiyaa uray 
REV.1.4	Taani Yohaannisi, Iisiyaa gadiyan 
REV.1.4	kase de7iyaa Xoossaappe,
REV.1.4	ha77ikka de7iyaa Xoossaappe,
REV.1.4	sinthappekka yaana Xoossaappe,
REV.1.4	qassi A kawutethaa oydiyaa sinthan
REV.1.4	de7iya laappu ayyaanatuwaappe,
REV.1.4	aadho keekatethaynne sarotethay
REV.1.4	hinttenttussi gido. 
REV.1.5	Qassi ammanetteedda markkaa,
REV.1.5	hayquwaappe koyro denddeedda
REV.1.5	Na7aappe,
REV.1.5	sa7aa kaatatuwaa mooddiyaa
REV.1.5	Yesuusi Kiristtoosappe
REV.1.5	aadho keekatethaynne sarotethay
REV.1.5	hinttenttussi gido.
REV.1.5	I nuuna siiqeenne
REV.1.5	qassi nu nagaraa aylletethaappekka
REV.1.5	bare suuthan
REV.1.5	nuuna kesseedda. 
REV.1.6	Nuuni bare Xoossawunne Aawoo
REV.1.6	oothana mala,
REV.1.6	I nuuna kaatatuwaanne
REV.1.6	qeesatuwaa ootheedda;
REV.1.6	aw medhinaappe medhinaa gakkanaw
REV.1.6	bonchchuunne
REV.1.6	mooddiyaa wolqqay gido. Amen77i. 
REV.1.7	Be7ite,
REV.1.7	Yesuusi shaaryaani yee.
REV.1.7	Asay ubbay, haray atto,
REV.1.7	A caddeeddawanttukka
REV.1.7	A be7ana;
REV.1.7	sa7an de7iya asay ubbay
REV.1.7	A gaasuwan yeekkanawantta.
REV.1.7	Hawe tumuppe hananawaa. Amen77i. 
REV.1.8	Kase de7iyaawe, ha77ikka de7iyaawe, sinthappekka yaana Goday, Ubbaappe Wolqqaama Xoossay, <<Ubbabbaw Alfaynne Omeegay, koyruunne wursethay Taana>> 
REV.1.9	Taani Yohaannisi, hinttenttu ishay, hinttenaana Yesuusi Kiristtoosa waayyiyaanne A kawutethaa qassi A danddayaa ittippe shaakettiyaawe, Xoossaa qaalaa odeedda dirawunne Yesuusawaa markkatteedda diraw, Piiximo giyaa haathay dooddo biittaan de7aaddi. 
REV.1.10	Godaa gallassan taani Ayyaanan de7ay; taani taappe guyyenna malakataa waasuwaa mala wolqqaama kooshshaa sisaaddi. 
REV.1.11	He kooshshay taana, <<Neeni be7iyaawaa maxaafan xaafa; Iisiyan de7iya laappu woosa golletoo, Efesoona, Samirineesa, Pherggaamoona, Tiyaaxiroona, Sarddeesa, Pilaadelifiyaa, Lodooqiyaa woosa golletoo yeedda>> yaageedda.
REV.1.12	Taani taw odiyaa kooshshaa be7anaw guyye simmaaddi; xomppiyaa wothiyaa laappu worqqaa ballatuwaa be7aaddi. 
REV.1.13	He ballatuwaa giddon Asaa Na7aa malatiyaawaa be7aaddi; adussa afilaa bare gediya gathi mayyiide, worqqaa danccuwaa bare tiraan yuushshi aatheedda. 
REV.1.14	A huuphiinne A huuphiya binnanay bootha dorssaa isikiyaanne hewaappekka aadhdhiide shachchaa malatee; A ayfiikka tamaa lacuwaa malatee. 
REV.1.15	A gediikka coociyaa tamaan teeriide phooliyaa nahaasiyaa giyaa birataa malatee; A kooshshaykka wolqqaama shaafaa gunthaa mala. 
REV.1.16	I bare ushechcha kushiyan laappu xoolinttatuwaa oyqqeedda. A doonaappe laa77u bagganna qaaretteedda mashshay keseedda. A deemuukka loythi poo7iyaa awayfiyaa malatee.
REV.1.17	Taani A be7eedda wode hayqqeeddawaadan hanaade, A gediyaa matan kunddaaddi. Bare ushechcha kushiyaa ta bolla wothiide, taana hawaadan yaageedda; <<Yayyoppa; koyruukka wurssethaykka taana. 
REV.1.18	Taani de7uwan de7iyaawaa. Taani hayqqaaddi; shin be7a, medhi medhinawukka de7uwan de7ay. Hayquwaa qulppiinne Si7ooliyaa qulppii ta kushiyan de7ee. 
REV.1.19	Simmi neeni be7eeddabaanne ha77i de7iyaawaa, qassi sinthappe hananabaa xaafa. 
REV.1.20	Neeni ta ushechcha kushiyan be7eedda laappu xoolinttatuwaa bilethaynne qassi xomppatuwaa wothiyaa laappu worqqaa ballatuwaa bilethay hawaa; laappu xoolinttatuu laappu Woosa Golletuwaa kiitanchchatuwaa; 
REV.2.1	<<Efesoonen de7iya woosa golle kiitanchchaw hawaadan yaagaade xaafa:
REV.2.1	<Bare ushechcha kushiyan laappu xoolinttiyaa oyqqeeddawe, xomppatuwaa wothiyaa laappu worqqaa ballatuwaa gidduwaanna hamettiyaawe hawaadan yaagee. 
REV.2.2	Taani ne kiitaa, ne daaburaanne ne genccuwaa eray. Qassi neeni iita asatuwaa genccanaw danddayabeennawaakka taani eray; Yesuusi kiitteeddawantta gidennaan de7iidde barentta, <Nuuni Yesuusi kiitteeddawantta> giyaawantta neeni xomoosaade, unttunttu worddo gidiyaawaa demmeeddawaakka eray. 
REV.2.3	Neeni genccaadda; qassi ta sunthaa dirawukka metuwaa danddayaadda; daaburabeykka. 
REV.2.4	Shin taani neena kadhiyaabay de7ee; ayissi gooppe, neeni kase ne siiquwaa aggaadda. 
REV.2.5	Simmi neeni haqappe kunddaaddinttonne akeeka. Ne nagaraappe simma; neeni kase oothiyaa oosuwaa ootha. Hewe dhayooppe, taani neekko yaana; yaade neeni ne nagaraappe simmana dhayooppe, neeni xomppiyaa wothiyaa ne ballaa A sa7aappe akkadiggana. 
REV.2.6	Shin ittibaa loythaadda; Niiqoolaawatuwaa oosuwaa, taani ixxiyaawaa neenikka ixxaadda.
REV.2.7	<Sisanaw haythay de7iyaa uray Geeshsha Ayyaanay woosa golletoo giyawaa siso; taani xooniyaa uraw Xoossaa gennetiyan mokkiyaa de7uwa mithaa ayfiya maanaw immana> yaagee>>
REV.2.7	yaagaade xaafa. 
REV.2.8	<<Samirineesan de7iyaa woosa golle kiitanchchaw hawaadan yaagaade xaafa:
REV.2.8	<Hayqqeeddawe, hayquwaappekka denddeeddawe, koyruunne wurssethay hawaadan yaagee. 
REV.2.9	<Taani ne waayyiyaanne ne hiyyeesatethaa eray; shin neeni dure. Ayihuda gidennaan de7iidde barentta, <Nuuni Ayihuda> giyaawanttu boriyaawaa taani eray; shin unttunttu Seexaanaa maabaran de7iino. 
REV.2.10	Neeni waayyettana waayyew yayyoppa. Be7a, xalahiyaa kaappuu hintteppe amareeddawantta xomoosanaw qasho gollen yeggana; tammu gallassa gakkanaw hinttenttu waayyettana. Hayqqana gakkanaassikka ammanetteeddawaa gida; taani new de7uwa akililiyaa 
REV.2.11	<Haythay de7iyaa uray Geeshsha Ayyaanay woosa golletoo giyawaa siso; xooniyaa uray laa7ethuwa hayquwan 
REV.2.11	yaagaade xaafa.
REV.2.12	<<Pherggaamoonan de7iya woosa golle kiitanchchaw hawaadan yaagaade xaafa:
REV.2.12	<Laa77u bagganna leefetteedda mashshay de7iyaawe hawaadan yaagee.
REV.2.13	<Taani neeni de7iyaa sa7aa eray. Neeni Seexaanaa kawutethaa oydii de7iyaa sa7an 
REV.2.14	Shin taani neena boriyaa guuthabay de7ee; Israa7eliyaa asay eeqaw yarshsheedda qumaa maanaadaaninne woshummanaadan unttuntta nagaraa oosisseedda Baalaaqa tamaarisseedda Balaama timirttiyaa tamaariyaa amareedda asatuu neenanna de7iino. 
REV.2.15	Hewaadankka, qassi Niiqoolaawatuwaa timirttiyaa tamaariyaa asatuu neenanna de7iino. 
REV.2.16	Hewaa diraw, neeni ne nagaraappe simma; hewe dhayooppe, taani neekko ellekka yaana; yaade he asatuwaanna ta doonaappe kesiyaa mashshaan olettana.
REV.2.17	<Haythay de7iyaa uray Geeshsha Ayyaanay woosa golletoo giyawaa siso. Xooniyaa uraw taani geeman de7iya mannaappe amareeddawaa immana. Qassi taani bootha shuchchaakka aw immana; akkiya uraappe attin, ooninne erenna ooratha sunthay he shuchchaa bolla xaafetti utteedda> yaagee>>
REV.2.17	yaagaade xaafa. 
REV.2.18	<<Tiyaaxiroonen de7iya woosa golliya kiitanchchaw hawaadan yaagaade xaafa:
REV.2.18	<Xoossaa Na7ay, tamaa lacuwaa malatiyaa ayfi de7iyaawe, qassi coociyaa tamaan teeriide phooliyaa nahaasiyaa geetettiyaa birataa malatiyaa gedi de7iyaawe, hawaadan yaagee.
REV.2.19	<Taani ne oosuwaa, ne siiquwaa, ne ammanuwaa, ne maaduwaanne ne genccuwaa eray; neeni koyro oothiyaawappe ha77i darissaade oothiyaawaa taani eray. 
REV.2.20	Shin taani neena kadhiyaabay de7ee; barena, <Taani nabatto> yaagiyaa mishiratto Elzzaabeelo sheneko gaadda; he mishiratta ta oosanchchatuu woshummanaadaaninne eeqaw yarshsheedda qumaa maanaadan, tamaarissawunne balethaw. 
REV.2.21	Iza bare nagaraappe simmana mala, taani iziw wodiyaa immaaddi; shin woshummanaw kajjeeliyaawaappe iza simmanaw koyyabeykku. 
REV.2.22	Be7ite, taani izo gisuwan kundissina; sakuwan iza waayyettana. Izinna woshummiyaawanttu he izinna oothiyaa nagaraappe simmana dhayooppe, unttunttakka wolqqaama waayyiyan yeggana. 
REV.2.23	Taani izi naanaakka wodhana; qassi woosa golliyaa ubbaykka taani asaa qofaanne amuwaa eriyaawaa gidiyaawaa erana; taani hinttenttussi hinttenttu kiitaa malaa immana. 
REV.2.24	<Tiyaaxiroonen de7iya haratoo, ha iita timirttiyaa tamaaribeennawantoo, haratuu, <<Seexaanaa ciimmo yewuwaa>> giyaawaa hinttenttu tamaaribeeyikkita; taani hinttentta hara deexuwaa toossikke gay. 
REV.2.25	Shin taani yaana gakkanaw hinttenttussi de7iyaawaa loythi naagite.
REV.2.26+REV.2.27	<Xooneeddawoonne wurssethay gakkanaw ta kiitaa naageeddawoo, asaa zariyaa ubbaa mooddana mala, taani ta Aawuwaappe akkeedda maataa malaa aw immana;
REV.2.26+REV.2.27	<<I asaa zariyaa ubbaa birataa xam77aan mooddananne urqqaappe
REV.2.26+REV.2.27	medhetta miishshaa menthiyaawaadan menthana.>> 
REV.2.28	Qassi taani aw bakkaaliyaa xoolinttiyaa immana. 
REV.2.29	Sisanaw haythay de7iyaa uray Geeshsha Ayyaanay woosa golletoo giyawaa siso> yaagee>>
REV.2.29	yaagaade xaafa.
REV.3.1	<<Sarddeesan de7iya woosa golliya kiitanchchaw hawaadan yaagaade xaafa:
REV.3.1	<Xoossaa ayyaana laappunatuunne laappu xoolinttatuu de7iyaawe hawaadan yaagee.
REV.3.1	<Taani ne kiitaa eray; asay neena shemppuwaanna de7aasa ginttokka, neeni hayqqaadda. 
REV.3.2	Beegotta! Atteeddawaanne hayqqanaw mateeddawaa menthetha. Ayissi gooppe, ne kiitay ta Xoossaa sinthan polo gidennawaa taani demmadi. 
REV.3.3	Simmi neeni akkeeddawaanne siseeddawaa akeeka; naaga; ne nagaraappekka simma. Neeni beegottennawaa gidooppe, taani neekko kayisuwaadan yaana; taani woysaade yaanentto neeni erakka. 
REV.3.4	Shin barenttu mayuwaa qitissibeenna amareedda asatuu Sarddeesan neenanna de7iino. Unttunttu bootha mayuwaa mayyiide taananna hamettana; ayissi gooppe, unttunttu bootha mayuwaa mayyanaw bessiyaawantta. 
REV.3.5	Xooniyaawe hewaaddankka bootha mayuwaa mayyana. Taani A sunthaa de7uwa maxaafaappe 
REV.3.6	<Sisanaw haythay de7iyaa uray Geeshsha Ayyaanay woosa golletoo giyawaa siso> yaagee>>
REV.3.6	yaagaade xaafa.
REV.3.7	<<Pilaadelifiyan de7iya woosa golliya kiitanchchaw hawaadan yaagaade xaafa:
REV.3.7	<Daawite qulppiyaa 
REV.3.8	<Taani ne kiitaa eray. Be7a, taani ne sinthan ooninne gorddanaw danddayenna penggiyaa wothaaddi; ayissi gooppe, ne wolqqay guutha gidooppenne, ta qaalaa naagaaddanne ta sunthaakka erikke gabeykka. 
REV.3.9	Be7a, Ayihuda gidikkino shin barena, <Nuuni Ayihuda> giide worddotiyaa Seexaana Ayihuda woosa golliyaa taani ahaadde, ne sinthan goynissananne neena siiqiyaawaakka unttuntta erissana. 
REV.3.10	Neeni genccuwan ta azazuwaa naageedda diraw, sa7an de7iya asaa paaccanaw kumentha sa7aa bolla yiyaa waayyiyaa wodiyaappe taanikka neena naagana. 
REV.3.11	Taani ellekka yaana; ooninne ne akililiyaa akkenna mala, new de7iyaawaa minissa oyqqa. 
