GEN.1.1	Kitu inanggayát na, ay pinarsuwa ne Dios ya lángit se iya kalawagán. 
JAS.2.1	Gapu ta mangurug tada ngin ke Jesu-Cristo wawwági, ay áwan tada din pagdudúmán kadaya tolay, gapu wala kadaya singasingan da. 
JAS.2.2	Kas pangarígan nu atán duwa nga sangaíli tada nga mepagday-dáyaw kadàtada, nga ya isa ay nakasangkilat ka balitù se napiya daya lúpus na, ay se ya isa ay napubri nga rugrugà ya lúpus na. 
JAS.2.3	Ay nu nán ta kiya tolay ya napiya nga lúpus nga, “Ye idi tugaw, magtugaw ka,” nán tada, ngamay nán tada kiya napubri, “Magsisíkád ka ngala kiyán nu lùsawam ya magtugaw kiya datág,” nán tada, 
JAS.2.4	ay mamagdudúma tada ki ummán kiyán. Nadakè yán na agbasarán kiya kinatutolay naya isa nga tolay.
JAS.2.5	Ammuwán nu wawwági, nga daya napubri kídi ya kalawagán, ay aggída daya piníli ne Dios. Gapu kiya angngurug da, ay bíláng da ya nabànáng. Aggída pe ya alà na kiya pangiturayán na. Ittu yán tu nekari na kadaya ngámin maminya kaggína. 
JAS.2.6	Ngamay tura tada irupat daya napubri! Daya nabànáng mán kammin ya pàgan tada, ay aggída daya mamal-pallà kadàtada, ay se aggída pe daya mangidarum kadàtada. 
JAS.2.7	Ay aggída pe daya mangug-og kiya napatag nga ngágan ne Jesus nga kur-kurugan tada.
JAS.2.8	Napiya mà kurug nu ikurug tada ya kapàgán na lintag nga ittu ya, “Piyán nu daya kasittolay nu nga ummán kiya amminya nu kiya baggi nu,” nán na. 
JAS.2.9	Ngamay nu pagdudúmán tada daya tolay, ay makabásul tada, áta akkan tada kinurug ya lintag ne Dios. 
JAS.2.10	Ata oray nu nán tada nga kinurug tada ngámin ya lintag, nu atán isa nga pakabasúlán tada, ay bíláng pakabasúlán tada ya ngámin nin. 
JAS.2.11	Ata e Dios nga ittu ya nagkuna nga, “Akkan kayu manaládag,” ay aggína pe ya nagkuna ka “Akkan kayu pumatay.” Díkod oray nu akkan tada manaládag, nu pumatay tada, ay ittu na kam ma nakabásul tada kiya lintag na.
JAS.2.12	Dàtada ay guwesan nitta nge Dios. Ya pagbasarán ki angguwes na ay tu lintag nga ittu ya mangwaya kadàtada. Ay lugud, napiya din daya kag-kagiyan tada se daya kuk-kuwaan tada. 
JAS.2.13	Ata akkan nitta kalakkán nge Dios nu akkan tada pe kalakkán daya kasittolay tada. Ngamay nu maragkallà tada, ay akkan nitta pe pabasúlan.
JAS.2.14	Atán kadi surbi na wawwági, oray nán tada nga mangurug tada ke Jesu-Cristo, nu akkan tada mepassingan kadaya kuk-kuwaan tada ya angngurug tada? Wayya nitta la nga alà nge Dios nu ummán kiyán ya angngurug tada? 
JAS.2.15	Ay kas pangarígan nu atán wagi tada nga mangurug ga áwan na nga kanan se paglilíyán, 
JAS.2.16	ay se tada nán kaggína nga, “Akkan ka nga malídug. Maglíli ka ngala, ta senu akkan ka masiyam, se magbattug ka ngala,” nán tada, ngamay akkan tada nga iddán ka kanan na se paglilíyán na. Ay nágan lugud naya surbi natu kinagi tada? 
JAS.2.17	Ay ummán pe kiyán ya angngurug tada, nu akkan tada mepassingan kadaya napiya nga kuk-kuwaan tada. Arig natay.
JAS.2.18	May get nán daya duddúma nga angngurug gala ya atán kadaya duddúma, ay kadaya duddúma, ay get mangwa kadaya napiya ngala ya nengáni kaggída. May akkan mà mabalin, ta nu kurug ga mangurug tada, ay akkan mabalin na di tada nga mangwa kadaya napiya. Ay nu napiya daya kuk-kuwaan tada, ay mepassingan ya angngurug tada. 
JAS.2.19	Ay nu nán nu nga mangurug kayu wa atán sissa nga Dios, ay túyán ya kurug. Ngamay oray pe daya ar-áran, ay kurugan da pe se ikansing da pe.
JAS.2.20	Dakayu wa umang-ang-ang nga tolay! Nu piyán nu wa ammuwan nga áwan surbi naya angngurug tada nu akkan tada mepassingan kadaya napiya nga kuk-kuwaan tada, ay gìnán nu kod idi. 
JAS.2.21	Tu Abraham ma ama tada, ay nepassingan na tu angngurug na ke Dios kane kuwaan na tu bílin ne Dios nga pebasu na kaggína tu an-anà na nga Isaac. Ay díkod nebíláng ne Dios ka áwan bas-básul gapu kitun na kinuwa na. 
JAS.2.22	Sinnan nu kod tu kinuwa na. Pinagbulun na tu angngurug na se itu kinuwa na. Nepassingan na nga kurug tutu wala tu angngurug na kitu kinuwa na. 
JAS.2.23	Ay díkod nàwa kurug tu nesúrát kiya bàbànán ne Dios nga nán na, “Kinurug ne Abraham tu kinagi ne Dios, ay túya nebíláng na ka áwan bas-básul,” nán na. Ay se nebíláng pe ne Dios tu Abraham ka opun na. 
JAS.2.24	Ay díkod ammu tada lugud din nga akkan nitta ibíláng ne Dios ka namáru nu mangurug tada ngala nga áwan tada tagge kuwaan na napiya ka angngipassingan tada kiya angngurug tada.
JAS.2.25	Ay oray pe tu Rahab nga nagpúta kitun, ay nebíláng ne Dios ka namáru win, gapu kitu kinuwa na nga napiya, ta pinalnà na datu nebon tu Josua nga ispiya na, ay sinengán nada pe nga naglíbát nawe. 
JAS.2.26	Ay nu akkan tada mepassingan ya angngurug tada kiya angwa tada kadaya napiya, ay áwan na sur-surbi. Arig na ya tolay ya sibbabaggi ngamay áwan na ángat!
JAS.3.1	Bittì ala kuma kadakayu, wawwági, daya mangisúru, áta ammu nu mà nga dakami nga mangisúru ay nadà-dammat ya mepabásul kadakami nu makabásul kami. 
JAS.3.2	Ngámin tada, ay makabásul tada ngámin. Ay nu atán tolay ya áwan na nga pakabasúlán kadaya bal-balìtan na, ay túyán ya tolay nga áwan pagkur-kurángan nin, áta maannadán na ngámin ya baggi na.
JAS.3.3	Daya kabalyu, ay siluwán tada daya bugung da, ta senu meturung tadada kadaya piyán tada nga pangipeyaggán kaggída. 
JAS.3.4	Ay ummán pe kadaya dadakkal la bapor. Bì-bitì daya ikkakawil da, may oray mìpur da kiya naggat ta báli, ay mabalin naya pillútu nga ipeyag kiya oray wà naya piyán na nga pangipeyaggán kaggína. 
JAS.3.5+JAS.3.6	Ay ummán pe kiyán ya kàwaán daya bugung
JAS.3.7	Adu bal-baláki ya ul-ulolag se an-anù, idaw, se daya sissida ya mapaámu, ay adu kaggída ya napaámu win. 
JAS.3.8	Ngamay áwan tolay ya maketurung tutu wala kiya bugung na. Arig na ya nadakè a nagdíta nga ulolag ga akkan makasinád. 
JAS.3.9	Ittu ya pagdáyaw tada ke Apu wa Ama tada, may ittu pe ya pamad-padakè tada kadaya kasittolay tada nga kinuwa ne Dios ka ummán kaggína pe. 
JAS.3.10	Díkod sissa kam ma bugung ya usaran ta nga magdáyaw ke Dios, se mamadakè kadaya kasittolay tada. Nadakè yán wawwági. 
JAS.3.11	Ya gabbuwà, ay akkan wayya nga nasablè se namit nga danum ya igbuwà na. 
JAS.3.12	Ay páda na pe, ya káyu wa gígus, ay akkan magbúnga ka búnga olíbo, se ya múla nga úbas, ay akkan magbúnga ka búnga gígus. Ya gabbuwà a napet ya igbuwà na, ay akkan mangigbuwà ka namit pe.
JAS.3.13	Nu atán kadakayu ya manguna nga nasírib, ay ipassingan na din nala ya kinasírib na kiya kabiy-biyág na, kiya angwa na kadaya napiya nga mà-màwa, se kiya kinapakumbaba na. 
JAS.3.14	May nu magasiásil kayu, se tittu ya pagpíyán nu kampela ngin ya lam-lamtan nu, ay akkan nu lugud pagkidáyaw ya sírib nu, ta butal. 
JAS.3.15	Daya ummán kadayán na sírib, ay akkan da gayát ke Dios, nu di da gayát kampela ngin nin kiya sírib tolay se Sairu. 
JAS.3.16	Ata nu tittu daya pagpíyán tada kampela ngin ya lam-lamtan tada se magasiásil tada, ay ittu ya akkan tada pagkikinnawátan, ay ittu pe ya akàwa tada kadaya ngámin baláki nga kinadakè.
JAS.3.17	Ngamay nu ya kinasírib ba gayát ke Dios ya atán kadàtada, ay namáru tada. Ay díkod magkikinnawátan tada se natulù tada se nindù tada. Napiya daya kuk-kuwaan tada se maragkallà tada pe. Akkan tada magpì-pìmáru se akkan tada pagdudúmán pe daya tolay. 
JAS.3.18	Magmáru daya kasittolay tada nu masingan da ya agkikinnawátan tada, ay se nu dàtada pe ya gapu naya agkikinnawátan da.
JAS.4.1	Nágan naya gapu naya akkan nu pagkikinnawátan se ya agsasáwad nu ta, nu di gapu kadaya pagray-rayuwán nu kampela ngin nin na magtap-tappál ki lammat nu. 
JAS.4.2	Atán da kelugán nu ngamay akkan nuda málà, ay túya pumatay kayu. Makisáwad kayu gapu ta akkan nu málà daya tal-talingkagúman nu. Awan nu málà, áta akkan kayu mà magadang ke Dios. 
JAS.4.3	Ay oray mán pe nu magadang kayu, ay áwan nu málà ta nadakè ya panggap nu. Nu tura la atán málà nu, ay usaran nu kadaya paganggammán nu kampela ngin nin. 
JAS.4.4	Meárig kayu kadaya manaládag, ta akkan nu pàgan ne Dios sin. Daya mà-màwa kídi kalawagán ya pà-pàgan nu win. Ammu nu mà a lùsawan na daya tolay ya ittu da la nga pà-pàgan daya mà-màwa kídi ya kalawagán. Díkod nu daya mà-màwa kídi kalawagán ya pà-pàgan nu win, ay magbalin kayu ka kalínga ne Dios.
JAS.4.5	Nán nu kid nga áwan sarut naya bàbànán ne Dios nga nán na kídi, “Ya Ispiritu nga nealúbu ne Dios nga magyán kadàtada, ay iabugu na,” nán na. 
JAS.4.6	Ay nu magpakumbaba kayu, ay sengán nakayu nge Dios. Ay túya nán naya bàbànán na kídi: “Lùsawan ne Dios daya magpang-pangátu, ngamay daya magpakumbaba kaggína, ay sengán nada ngala,” nán na.
JAS.4.7	Ay díkod peturayán kayu lugud ke Dios se pàkadan nu nge Sairu ta senu magtálaw. 
JAS.4.8	Umadanni kayu ke Dios ta senu umadanni pe kadakayu. Dakayu wa maragbásul, ay akkan kayu lugud din na mangwa ka nadakè. Dakayu wa maggad-gadduwa, ay kappiyánan nu ya magur-uray. 
JAS.4.9	Magpannakit se sumángit kayu din gapu kadaya bas-básul nu, nga akkan kayu din na makang-anggam se makapatapatag. 
JAS.4.10	Magpakumbaba kayu ngala nga makiseng ke Apu Dios, ta senu mepangátu kayu ta sengán nakayu se pàgan nakayu pe.
JAS.4.11	Akkan kayu din na magpipinnadakè, wawwági. Ata nu pakunán nu kiyán, onu pabasúlan nu ya wagi nu, ay ya lintag ne Dios ya bíláng pad-padàsán nu. Ay nu padàsan nu ya lintag na, ay akkan nu ngin ikur-kurug ya lintag, ta pabasúlan nu mà in. 
JAS.4.12	Ay sissa mà nge Dios nga nangidde ka lintag na, ay aggína pe yala ya mabalin mamabásul. Aggína ngala pe ya makabalin na mangalà se mamánis kadaya tolay. Ngamay tura tada ngala nga agginpapabásul kadaya wawwági tada!
JAS.4.13	Gìnán nu pe idi wawwági, dakayu nga magkuna ka, “Ki daddán ni, onu kaláwa, ay mawe kami kattoni nga íli. Matangadagun kami kannán na magláku, ta senu adu ya maganansiya mi,” nán nu. 
JAS.4.14	May akkan nu mà ammu nu nágan naya màwa nu kaláwa. Akkan nu wa ammu gà-gàdan ya biyág nu. Ata ummán kayu kadaya angap nga makaru magaligsap. 
JAS.4.15	Ya kagiyan nu kuma ay, “Nu ipalúbus ne Apu Dios nga mabiyág kami pikam, ay kuwaan mi dedi se idi,” nán nu din nala. 
JAS.4.16	May tura kayu nga nakasigúru nga mamìkammu kiya biyág nu. Nadakè ya ummán kiyán na kuk-kuwaan. 
JAS.4.17	Nu akkan nu kuwaan ya ammu nu wa napiya nga kuwaan, ay magbásul kayu.
JAS.5.1	Gìnán nu idi, dakayu wa nabànáng. Magpannakit kayu se sumángit kayu, gapu kadaya narígát nga mà-màwa kadakayu nu kuwa.
JAS.5.2	Nadadál daya inurnúngán nu wa kuw-kuwa nu ta itagàna nu wa usaran. Naípat pe daya lúpulúpus nu 
JAS.5.3	se nakíráng pe daya pir-pirà se daya bal-balitù nu win. Ya kíráng da, ay ittu ya mangipakammu nga nakabásul kayu. Ay túya madadál kayu pe tutu wala ngin nu ukuman ne Dios ya kalawagán. Awan patapatag datu inurnúngán nu nga bànáng nu kiya kamuddiyánan na al-algaw. 
JAS.5.4	Nagìna ne Apu nga mannakabalin ya agríri datu pinagballát nu gapu kiya angngultit nu kaggída kiya tangdán da. Ay ummán pe datu pinaggáni nu, nagìna ne Apu pe ya ríri da gapu pe kiya angngultit nu kaggída. 
JAS.5.5	Napiya mà tutu wala ngin ya biy-biyág nu kídi kalawagán. Nakappag kayu pe yin kadaya pagang-anggammán nu kampela ngin nin. May pabasúlan nakayu nge Dios sin nu kuwa, ay ummán kayu ka mapal-palùmag para kiya katay nu. 
JAS.5.6	Dakayu, ay pinabásul nu datu áwan bas-básul la tolay. Pinapatay nuda pe, oray áwan da kammala mabà-baal nga bumálat kadakayu.
JAS.5.7	Magan-ánus kayu lugud dala, wawwági, panda kiya ilalbet kammin ne Apu Jesus. Ummán kayu din kadaya manguma, nga napatag ya ammay kaggída, ay túya maanúsán da nga idaggán ya aggagáni, áta ammu da nga masápul maar-arnabán se maan-annaggán pikam ya ammay da. 
JAS.5.8	Ay túya magánus kayu pe. Pabagkaddan nu lugud daya uray nu. Akkan kayu din na molaw, áta tagay yin ya ilalbet ne Apu Jesus. 
JAS.5.9	Akkan kayu din magpipinnanangi wawwági, gapu kadaya kapar-parigátan nu, ta senu akkan nakayu pabasúlan nge Dios. Ay tagay yin ya ilalbet naya mangguwes kadaya ngámin tolay.
JAS.5.10	Lam-lamtan nu kod, wawwági, datu profeta
JAS.5.11	Ammu tada nga naganggam mà datun na nagánus kitun. Nammuwán tada mà pe yin nu wà ummán natu kinaánus tu Job kitun. Ammu tada pe nga napiya tu nekàwaán na ngin, áta e Apu, ay maramminya se maragkallà.
JAS.5.12	Ay ya nang-nangrúna nga akkan tada pe nga kuwaan wawwági, ay ya magsingán. Akkan tada din magsingán ke Dios se oray nágan na nga atán kídi kalawagán. “Ò” nán tada ngala nu ò, ay “Akkan” nán tada ngala nu akkan, ta senu akkan nitta pabasúlan nge Dios.
JAS.5.13	Nu atán da kadakayu daya atán pagrigátan, ay ikarárag da din nala ke Dios. Ay daya napiya daya ur-uray da, ay dayáwan da din nala nge Dios. 
JAS.5.14	Ay nu atán ya magtakit kadakayu, ay ayabán nu daya pangapuwan nu kiya kapilya, ta senu ilútan da ka denu se da nga ikarárag ke Apu. 
JAS.5.15	Ay bumílag ya magtakit nu kurugan ta nga sungbátan ne Apu ya karárag tada kaggína, ta pabilgan ne Apu kurug. Ay nu gapu ki básul na ya namagtakit kaggína, ay pakawanan pe ne Dios. 
JAS.5.16	Ay díkod, ikagi tada lugud ya básul tada kiya isaisa kadàtada, ay se magkikinnarárag tada, ta senu pabilgan nitta nge Dios. Napágus ya karárag daya tolay nga namáru ki àráng ne Dios.
JAS.5.17	Ummán kitu Elias kitun nga páda tada nga tolay pe, kane ikarárag na ke Dios nga akkan din magudán, ay akkan tutu wala kurug nga nagudán ka tallu dagun se annam búlán. 
JAS.5.18	Ay se la nagkarárag manin nga magudán kuma, ay tútu nagudán kurug gin, ay bummílag pe yin datu mul-múla.
JAS.5.19	Nu tura la atán kadakayu ya maglikud kiya angngurug na ke Jesu-Cristo, wawwági, ay napiya nu atán mamul-poli kammin kaggína. 
JAS.5.20	Ay nu màpoli na kammin, ay árig biniyág kammin natu nangpoli kaggína. Ay pinapakawan na pe daya adu wa bas-básul na ke Dios.
1PE.1.1	Iyà e Pedro nga isa kadatu apostol ne Jesu-Cristo.
1PE.1.1	Súrát ku idi kadakayu ngámin na píli ne Dios nga tolay na nga agtangeli kadaya nepariparitán nu nga il-íli ka probinsiya Ponto, se Galacia, se Capadocia, se Asia ay se ka Bitinia. 
1PE.1.2	Dakayu, ay nekísi nakayun ne Dios nga Ama oray kitun kam, nga pagbalinan naya Ispiritu na ka tolay na nga mangikur-kurug ke Jesu-Cristo. Ay napakawan kayun kadaya bas-básul nu gapu kitu nearúyut ta dága na kitu nekatay na.
1PE.1.2	Ay mammuwán nu kuma pànang ya agtagasíngan ne Dios kadakayu se iya angngidde na kadakayu kiya napiya nga panaggur-uray nu.
1PE.1.3	Ay day-dayáwan tada nge Dios, nga Dios se Ama naya Apu tada nga Jesu-Cristo. Gapu kiya abay pànang nga agkallà na kadàtada, ay niddán nitta ka baru wa kabiy-biyág gapu kitu inammaltu na kammin ke Jesu-Cristo. Ay ittu pe ya gapu na nga atán kurug ya namnamáan tada. 
1PE.1.4	Ay ka lángit ay atán pe ya iid-iddag ne Dios nga ipakin-kuwa na kadàtada. Ay áwan na makaulis se makadadál kiyanin, ay se akkan pe wayya nga dumakè in. 
1PE.1.5	Ay kiya akkan na pikam ma angngalà kadakayu, ay e Dios ya magtag-tagasíngan peyang kadakayu gapu kiya angngurug nu. Màwa na yán gapu kiya ammanakabalin na. Ay se nakayu wa alà in nu iya kamuddiyánan na algaw.
1PE.1.6	Ay túya maganggam kayu wala, oray nu màwa nga magpan-pannakit kayu kídi ka tangapurù gapu kadaya adu wa nagbal-baláki ya kapar-parigátan nu. 
1PE.1.7	Màwa dayán ta senu mammuwán nu nga kurug tutu wala ya angngurug nu win. Ya balitù ay nabanor may akkan magnanáyun. May melúnág kiya apuy ka angngammu ta nu napabeg gin onu akkan. Ay tú nád agpà in ya angngurug nu, ay nabà-banor may ya balitù! Ay díkod mapadayáwan kayu se pàgan nakayu we Dios nu iya ilalbet kammin ne Jesu-Cristo gapu kiya kurug ga angngurug nu kaggína.
1PE.1.8	Ay ammù nga pàgan nu we Jesu-Cristo oray akkan nu wa nasingan. Ay oray kídi ya akkan nu pikam pe masingan, ay kurugan nu mà kammala, ay se maganggam kayu pà-pànang pe ka áwan páda nga agganggam, 
1PE.1.9	áta alà nakayu we Dios ka áwan panda gapu kiya angngurug nu.
1PE.1.10	Ay mepanggap kídi nga angngalà ne Dios kadàtada ka áwan panda tu tagge da la sap-sapúlán se ammuwán datu profeta
1PE.1.11	Tagge da la ammuwán nu nungay naya kàwa na se nu mapaanna ya kàwa na. Ngamay ya Ispiritu ne Cristo nga ittu tu atán kaggída, ay nepakammu na ya mepanggap kiya kapal-palakkán naya Cristo se iya mepanggap kiya kepangátu na nu mabalin na magrígát.
1PE.1.12	Ay nepakammu ne Dios kadatun na profeta nga akkan aggída tu magkapiya tutu wala kadatun na kuk-kuwaan da nu di dàtada. Ay kídi yin ay nepakammu daya bobonan ne Dios kadakayu win ya Napiya nga Dámag mepanggap ke Jesu-Cristo. Ya Ispiritu na nga ittu ya nebon na nga gayát ka lángit, ay aggína ya nagpapekagi kaggída. Ay ummán pe daya anghel ne Dios, piyán da tutu wala pe nga ammuwan dayán.
1PE.1.13	Ay díkod kappiyánan nu lugud ya magurauray. Magan-annád kayu kiya aglam-lammat nu. Ay maginnanáma kayu wala kiya idde ne Dios kadàtada gapu kiya kinamáru na nu umbet ya oras nga ilalbet kammin ne Jesu-Cristo. 
1PE.1.14	Ay gapu ta annánà nakayu nge Dios sin, ay masápul la kurugan nu daya bil-bílin na. Akkan nu ittu wa sur-surútan nin datu nadakè a kuk-kuwaan nu kitun, kitu áwan nu pikam ammu mepanggap kiya Napiya nga Dámag. 
1PE.1.15	Ya kuwaan nu kuma, ay akkan kayu wa magbásul lin, áta áwan bas-básul ne Dios nga ittu ya nagayáb kadakayu. 
1PE.1.16	Ata nán mà naya nesúrát nga bàbànán na, “Akkan kayu wa magbásul ta áwan ku wa bas-básul,” nán na.
1PE.1.17	Ya angguwes ne Dios, ay mepà-pàbà kampela ngin nin kadaya kuk-kuwaan tada nga tolay. Ay lugud gapu ta makiAma kayu kaggína ngin, ay masápul la ipatag nu peyang kiya kaatán nu kídi ya kalawagán. 
1PE.1.18	Ay ammu nu win na winayaán nakayu nge Dios sin kadatu áwan sur-surbi nga nepagangay kadakayu nga gagángay datu mannákam nu. Ay ya pinangwaya na kadakayu, ay akkan daya balitù se daya pir-pirà a mabalin na madadál, 
1PE.1.19	nu di iya napatag pànang nga dága ne Jesu-Cristo nga nearúyut kitu nekatay na. Arig na ya karneru wa áwan tutu wala nga pagdàsán nga nebasu. 
1PE.1.20	Ata oray kitu akkan pikam ma naparsuwa idi ya kalawagán, ay aggína tu piníli ne Dios nga ibon na. May kadedi yin nala nga al-algaw ya nekepakammu na gapu kadàtada, ta senu málà nitta nge Dios sin. 
1PE.1.21	Ay gapu ke Cristo, ay e Dios ya kur-kurugan nu win. E Dios tu namaltu kaggína se ya nangidde ka turáy na, senu e Dios ya kur-kurugan se namnamáan nun.
1PE.1.22	Ay gapu lugud ta nippà in daya nadakè a gagángay nu kane mangurug kayu kiya kurug ga mepanggap ke Jesu-Cristo, ay kurug ga piyán nu pe yin daya páda nu wa mangurug. Ay lugud ipas-pasnà nu ya agpipininya nu. 
1PE.1.23	Ay bíláng nga naulis kayu wa neanà gapu kitu inangngurug nu kiya magnanáyun peyang se mamagbiyág nga bàbànán ne Dios. Naulis kayu wa neanà ngamay akkan na ummán ka neanà ka tolay ya matay pe. Ata akkan mataatay ya namagbalin kadakayu ka annánà na. 
1PE.1.24	Ata,
1PE.1.24	“Ngámin tolay, ay meárig da kadaya kad-kaddat. Ay se ngámin na day-dáyaw da, ay meárig pe kadaya but-bútà dayán na kad-kaddat. Ata daya kad-kaddat nu malaylay da, ay túya ketànagán daya but-bútà da. 
1PE.1.25	Ngamay ya bàbànán ne Dios, ay áwan na nga kippaán.”
1PE.1.25	Ay iyán na bàbànán na, ay ittu kam ya Napiya nga Dámag ga nebàbànán mi kadakayu win.
1PE.2.1	Ay masápul la ippà nu win daya nadakè a gagángay nu. Ummán kadaya magbusibusid se daya magpì-pìmáru, se ya umasiásil, se ya mamad-padakè kadaya kasittolay nu. 
1PE.2.2	Dakayu, ay árig nu ya apangngianà. Nu mapaanna lugud ya aggasissúsu naya apangngianà, ay ummán din pe ya agsap-sápul nu kiya bàbànán ne Dios, ta senu lumigda ya angngurug nu, ay díkod magun-ud nu ya pagrabngán na, nga ittu ya biyág ga áwan panda. 
1PE.2.3	Ay ummán kuma kiyán ya kuwaan nu ta nammuwán nu win ya kinamáru ne Apu.
1PE.2.4	Umadanni kayu peyang ke Apu, nga árig sibbiyág ga batu. Lùsawan daya tolay, ngamay aggína ya píli ne Dios, ay se napatag pànang kaggína. 
1PE.2.5	Ay umadanni kayu lugud kaggína, ta senu meárig kayu ka batu wa sibbiyág nga mabalin na usaran ne Dios kiya agbalay na. Ay dakayu pe daya bátug pappádi nga magsir-sirbi ke Dios nga magday-dáyaw kaggína. Ay ya agday-dáyaw nu kaggína ya bátug pagbasu nu kaggína, nga ittu yán ya napatag kaggína gapu ki angngurug nu ke Cristo. 
1PE.2.6	Ata nán naya bàbànán ne Dios nga,
1PE.2.6	“Atán píli ku wa meárig ka batu wa napatag pànang. Ay ippáy ku ka íli Sion ta meárig ka batu wa paniínán nga ittu ya pagligdaán naya balay. Ay ngámin daya mangurug kaggína, ay áwan da nga keap-appattán,”
1PE.2.6	nán na.
1PE.2.7	Ay kadàtada lugud nga mangurug kaggína, ay napatag pànang kadàtada. Ngamay kadaya akkan na mangurug, ay aggída ya kàwaán kurug natu nesúrát ta bàbànán ne Dios kitun nga nán na,
1PE.2.7	“Ya batu wa lùsawan daya magbabalay, ay ittu ya nesulalit ta nasurbi pànang,”
1PE.2.7	nán na. 
1PE.2.8	Ay nán na pe nga,
1PE.2.8	“Ay idi ya batu, nu ittu ya kebàdúlán daya tolay, ay ittu ya gapu naya kedùláp da,”
1PE.2.8	nán na. Nán na kiya bàbànán na nga medùláp da, áta di da mangurug kiya bàbànán ne Dios, ay ittu kammala pe yán ya nán ne Dios nga màwa kaggída.
1PE.2.9	Ngamay dàtada ya piníli ne Dios nga inannánà na. Ay se dàtada pe ya bátug pappádi nga magdáyaw peyang kaggína nga ári tada. Ay dàtada pe ya nekísi na kadaya ngámin na tolay kídi kalawagán nga magsirbi kaggína. Ay se dàtada pe ya nengagánan na ka tolay na nga mangiwar-waragáwag kadaya ngámin na nakas-kasdáaw nga kuk-kuwaan na. Aggína ya nangiadayyu kadàtada kiya kagìbattán, se nitta nippan kiya nakas-kasdáaw wa wada na. 
1PE.2.10	Kitun ay akkan nakayu tolay nge Dios, may kídi yin ay tolay nakayun. Ay akkan nu pe am-ammu ya agkallà na kitun may kídi yin, ay nammuwán nu win ta nepakammu na ngin kadàtada.
1PE.2.11	Ay ya nán ku kurug kadakayu wawwági, ay gapu ta bíláng tada ya mepagíli ked kalawagán ni, ay túya ikagì kadakayu nga akkan daya nadakè a piyán daya baggi nu daya ikurug nu, ta ittu dayán daya mamadakè kadakayu. 
1PE.2.12	Ipassingan nu peyang kadaya tolay kannán nga akkan mangurug ke Dios daya napiya nga gagángay nu. Ta senu oray nu padalínán dakayu ka nadakè a tolay, ay masingan da nga napiya daya kuk-kuwaan nu nu umbet ya oras nga agpakammu ne Dios kaggída. Ay díkod day-dayáwan da nge Dios.
1PE.2.13	Ay gapu kiya amminya nu ke Apu, ay masápul la ikurug nu daya ngámin na agtuturáy nu. Peturayán kayu kadaya ári, ta aggída daya naturáy. 
1PE.2.14	Ay ummán pe kadaya gubernador ra niddán naya ári ka turáy da nga mamánis kadaya maragbásul se mamatag kadaya namáru. 
1PE.2.15	Ata ya piyán ne Dios, ay anawáan nu daya tolay ya kúráng ka pannakaáwat nga mamad-padakè kadakayu kiya angwa nu kadaya napiya.
1PE.2.16	Dakayu ay áwan na mangiallang kadakayu kadaya piyán nu, ta e Jesu-Cristo ya apuwan nu win. Ngamay akkan din na ittu ya pambarán nu wa mangwa kadaya nadakè, nu di nu kuma nga ipassingan kiya kabiy-biyág nu nga bobonan nakayu we Dios. 
1PE.2.17	Rispitaran nu daya ngámin tolay. Piyán nu daya páda nu wa mangurug. Ay managgansing kayu din pe ke Dios, ay se rispitaran nu pe daya nangátu wa ap-apu nu, ummán kadaya ári.
1PE.2.18	Dakayu wa asassu, ay masápul la ipassingan nu ya kinasunud nu kadaya apu nu. Rispitaran nuda. Ay akkan nala daya namáru wa ap-apu nu, nu di oray pe daya narungat. 
1PE.2.19	Ata pàgan ne Dios daya magánus kiya kapar-parigátan da, nga akkan kuma rumbang nga màwa kaggída ngamay iturad da ngala gapu ta siddadamdam da peyang kadaya piyán na nga kuwaan da. 
1PE.2.20	Ata akkan nitta wayya nga pàgan ne Dios oray nu magánus ta kiya kapar-parigátan ta nu gapu kadaya nàwa ta nga nadakè. May nu pal-palakkan ditta nga áwan kuk-kuwaan na nadakè, ay se ta nga magturad, ay pàgan nitta nge Dios. 
1PE.2.21	Ata ittu ya nagayabán ne Dios kadàtada, ya magpin-penám nga magturad kadaya kapal-palakkán tada. Ata oray e Cristo, ay napal-pallà pe gapu kadàtada. Nangipassingan ka pagtaldán tada ta senu aggína ya tal-taldan tada peyapeyang. 
1PE.2.22	Awan na tutu wala nga bas-básul, ay akkan tutu wala pe ya nagbusid oray namissán nala. 
1PE.2.23	Ay oray kitu namad-padakè da kaggína, ay akkan tagge ya bumal-bálat ka nadakè. Ay oray nu pinal-pallà da pe, ay akkan wayya namanansing, nu di na nepiyár ngámin ke Dios nga ittu ya kurug ga angguwes.
1PE.2.24	Nekaruwán ne Cristo daya bas-básul tada kitu nekelansa na kitu krus, ta senu pandanán tada ngin ya magbas-básul, se tada magbiyág ga magasikkuwa peyang ngin kadaya napiya. Ay gapu kadatu big-bígád na, ay nippà daya bas-básul tada. 
1PE.2.25	Kitun, ay ummán kayu kadaya kar-karneru wa magal-aliwagwag, may kídi yin, ay nasmà nu win ne Cristo wa magtar-tarakan kadakayu nga ittu ya magtag-tagasíngan nin kadakayu.
