MAT.1.1	Ɛnjɔ́ɔ cɛ ɔbɔ́ta ú *Yésus *Kilís, *Ɔɔ́nɔ́ u Táfit, a wáŋa ɔɔ́nɔ́ u *Abɛ́laham : 
1TH.3.6	Mbá aámbáya, ta híáná ayɛ́ Timoté maá ka hálɔ́mɔ́na aaha, weé húlúkúne náánɔ́,
1TH.3.7	Yaátɛ́ asana, ta yɛ́ cáŋa á bá muasɔ́ muuyé ne úúsú ɔtɛ́má ɔnua a yáánɔ́ asana, benyíinyí, tu ŋa sɔ́ bɔ́ŋɔ makɛ́nda ɛ ɛtɛ́má. Yááŋa taaká anyía úúnú olumitinine ú ŋaá basɔ́ kíndisi ɛtɛ́má. 
1TH.3.8	Ɛ́ɛhɛ́ nú ma háná anɔ́ basɔ́ hélúmúnyi ɛtɛ́má aámbáya, anyía nú me nú bíínjie na makɛ́nda ɔ ɔlátɛ́na Otéŋí a Waáŋá. 
1TH.3.9	Nyɛnamá nyí bitéŋíti bɛ́ yaátɛ́ aná tua sɔ́ŋa tú owiínjíékíne Bandɔ́mɛsɛ́ a yáánɔ́ asana o obíléne okime awɔ́ nu ŋa nɔ́ basɔ́ iínjie eéyé e buúse e ? 
1TH.3.10	Ne nebutúé na nabuɔ́sɛ́ tu ŋe sú wuúci bɛ́cɔ́kɔ́lɛ́na, tu tɛ tɔmbɔ, anyía wé lumítíne anyía tú ka sɔ́ banɔ́ téŋíti basɔ́ bɛ́muátá, túɔ́ banɔ́ eékúnyíki bɛsana ebí nu ti ŋé nú menyi a asana ne úúnú olumitinine.
1TH.3.11	Ɛ́ɛhɛ́ tu ŋa sɔ́ bɛ́cɔ́kɔ́lɛ́na Síkíne Bandɔ́mɛsɛ́ wuúci bɛ́muátá, tu bɛ́cɔ́kɔ́lɛ́na Otéŋí a Waáŋá Yésus anyía bá basɔ́ tóŋínyi ohónyí wú ɔfaaya náánɔ́. 
1TH.3.12	Otéŋí a Waáŋá á banɔ́ sólínyínyi nulénéne enú nu ŋe nú lénéne banɔ́ na banɔ́, nu lénéke tɔ́na baacɔ bekime háyɛ núásɔ́ nulénéne anɔ́ tu ŋa sɔ́ banɔ́ léne. 
1TH.3.13	Aáná u kéé kíndísíki cíínú ɛtɛ́má anyía núánɔ́ bámɔ́kɔ́na befúúménénú tɛ́ka na hɛkɔma eé buúse bú Síkíne Bandɔ́mɛsɛ́, ekúlú eyí Otéŋí a Waáŋá Yésus ká ka hálɔ́mɔ́na ɔlɔŋɔ na bááyɛ́ baacɔ bekime.
1TH.4.1	Ɛ ŋa mɛ́ aamba okuenyinyi ɔ banɔ́ láana, banɔ́ báámɛ benyíinyí, anyía tu ŋa sɔ́ banɔ́ eékúnyíkí anyána nuánɔ́ nyɛ́mana nu olíhéke a nyɛnamá anyɛ́ nua nɔ́ŋa nu obílénékíne Bandɔ́mɛsɛ́. Ɛ́ɛ, yááŋa taaká anyía nua nuáŋa o olíhe aáná. Mbá aámbáya tu ŋa sɔ́ banɔ́ báta, tu tɛ tɔmbɔ, eé nyiínyi nyí Yésus anyía anɔ́ cɔbá ne buúse o olíhe híáná ɔ ɔhɔla. 
1TH.4.2	Nú ŋe nú ményi bɛsana abɛ́ tu ŋa sɔ́ banɔ́ éékúnyíkí a asana na makɛ́nda me Yésus. 
1TH.4.3	Nyiléne nyí Bandɔ́mɛsɛ́ áŋa anyía núánɔ́ bámɔ́kɔ́na befúúménénú eéyé eé buúse, ɛ́cɛ anyía núánɔ́ nyɛ́ánáka ɛnjɔkɔ́nɔ́nɔ. 
1TH.4.4	Ɔɔcɔ okime aá banɔ́ é menyí otimbie bɔmbányɛ nyíáyɛ́ nyɛtɔ́nɔ́ ne e bufúúménénú ne e nuúmi noómi.
1TH.4.5	Nɔtɛ bɛ́nyɛ́ána anyía ibíkéti a cɛɛbɛ́ á banɔ́ kéndísíki. Be-ti-menyí Bandɔ́mɛsɛ́ bá naŋa bábɔ́ kɛlaka aáná.
1TH.4.6	Ta ɔɔcɔ ɔmɔtɛ́ aá banɔ́ tɛ aambɛ́na sɔ́ɔ́kɔ́ asana buúse bukime a asana eéyé, anyía Bandɔ́mɛsɛ́ kéé yébíki bɔɔbɛ́ baacɔ a bá ŋa bɔ́ kɛla aáná ; tu na maá sɔ́ banɔ́ oókísíki asana eéyé bɔmbányɛ bɔmbányɛ. 
1TH.4.7	Yááŋa anyía Bandɔ́mɛsɛ́ ŋaá basɔ́ lɔ́ŋɔ́kɔ́ ; tɛ́ cáŋa a asana yɛ́ mɔnyɔ́kɔ́lɔ́, mbá a asana yɛ́ ɔbá befúúménénú eéyé eé buúse. 
1TH.4.8	Yaátɛ́ asana yááŋa anyía ɔɔcɔ é kiné ɔlátɛ́na esúŋe eécé, tɛ́ cáŋa hú ɔɔcɔ u ŋa bábɛ́na, mbá u ŋa bábɛ́na Bandɔ́mɛsɛ́, Mu-banɔ́-iínjíé *Efúúménénú yí Elilé.
1TH.4.9	A asana ayɛ́ nu ŋe nú léne bɔsɔ́ɔ́kɔ́ belumitinine, bú tɛ ŋɔ́ yɔ́ɔ́lɔ tɔ́na anyía yá háná ámɛ banɔ́ ɔ́ɔ́ŋɔ́kɛ́na, ananyía Bandɔ́mɛsɛ́ na maá banɔ́ eékúnyíki anyía nuénú lénékénéne. 
1TH.4.10	Aá taaká nua nuáŋa o oléne benyíinyí bé olumitinine bekime bá Masɛtuán ikime. Mbá ta híáná, ánɔ cɔbá ne buúse ɔ ɔkɛla aáná ɔ ɔhɔla. 
1TH.4.11	Ánɔ aambáka ohónyí okime wú olíhéke e mbuumu noómi, nu látákɛ́na hú bíánɔ́ bɛsana bɛ́ bɛ́muátá ; nu nyiɔkɔ buólí na cáánɔ́ aabá cá bɛ́muátá, háyɛ tu na maá sɔ́ cáŋa ɔ banɔ́ láakɛna. 
1TH.4.12	Aáná be-ti-lumítíníne Yésus ké búle abɔ́ banɔ́ kéké. Nɔtɛ lɛ́báka ta bɔkɔ ná ɔɔcɔ.
1TH.4.13	Buamɛ eé, tu ŋa sɔ́ aamba anyía núénú ményi bɔmbányɛ asana a yɛ́ ŋa lɛ́ca eebe e bé ne meé bú wéékúne, anyía ɛtɛ́má tɛ banɔ́ nuá háyɛ cɛ́ ŋaá nua baacɔ bé etémbí a bá tɛ ábɔ́ bá na mɔŋɔlɛ́ ɔ yɔɔ́sɔɔ́sɔ yí olíhe yí ekúlú ekime. 
1TH.4.14	Tu ŋe sú lúmitinine anyía Yésus ŋeé wé, yɔ́ háanyua e biwéewé. Yaátɛ́ asana énu menyí tɔ́na anyía Bandɔ́mɛsɛ́ kéé héényutune baacɔ e biwéewé anyía bábɔ́ bámɔ́kɔ́na ne Yésus, beébe eébé bé ŋe bú lúmitekinine ɛ́cɛ bé ti ŋe bú wéékúne.
1TH.4.15	Asana ayɛ́ túɔ́ cɔba ɔ ɔ banɔ́ laana aámbáya áŋa anyía Otéŋí a Waáŋá ŋe yéékúnyíkí baacɔ anyía buɔ́sɛ́ abɔ́ u ká ka hálɔ́mɔ́na, basɔ́ abá tu ká sɔ́ bá tua suanaŋa bɔɔ́sɔ, tú tɛ ká sɔ́ cáŋacaŋa ɔhatɔna na bɔsɔ́ɔ́kɔ́ e bé ŋe bú wéékúné. 
1TH.4.16	Buɔ́sɛ́ eébú okelú káá bɛ́átábɔ́tɔ́na, mutéŋínyi *bililé bɛ́ masɔ́ma bɛ́ Bandɔ́mɛsɛ́ yɔ́ táŋɛ́ta okelú ɔ ɔmuaná, ɛsɛ́bɛ́ cɛ Bandɔ́mɛsɛ́ cɛ́ɔ táŋɛ́ta ; aáná Otéŋí a Waáŋá kéé húle ɔ Ɔmuaná, baacɔ bekime e bé ŋe bú wéékúné, beébe e nyimónjóló ne *Kilís, ká bɔ́ cáŋacaŋa ɔhaanyuaka e biwéewé. 
1TH.4.17	E elime eécí, Bandɔ́mɛsɛ́ káá basɔ́ bándáka basɔ́ ɔ bɔɔ́sɔ bekime ɔlɔŋɔ na bɔsɔ́ɔ́kɔ́ eébé a bɛlɔndɔ́ noómi ; aáná tu ká ká sɔ́ ɔ́ɔ́ndɛ́mákánána ne Otéŋí a Waáŋá ɔ ɔmuaná, túɔ́ bá ɔlɔŋɔ ne Otéŋí haála ahá wáŋa ekúlú ekime. 
1TH.4.18	Yaátɛ́ asana énu kíndísíkínyínyi banɔ́ na banɔ́ a bɛsana eébí.
1TH.5.1	Banɔ́ báásɔ́ benyíinyí bé olumitinine, bú tɛ ŋa háná ɔ yɔɔ́lɔ anyía túásɔ́ banɔ́ ɔɔ́ŋɔ́kɛ́na nufule a asana ne bikúlú na mɔɔ́sɛ́ amá bɛsana eébí káá bɛ́kɛ́láka, 
1TH.5.2	anyía banɔ́ bɛ́muátá nu ŋe nú ményi bɔmbányɛ bɔmbányɛ anyía buɔ́sɛ́ ebú Otéŋí a Waáŋá ká ka hálɔ́mɔ́na, u ká ka hálɔ́mɔ́na hú huasɛ háyɛ weébi naŋa waá fáaya nebutúé, ɔɔcɔ tɛ bɛ́táta.
1TH.5.3	Ekúlú a yɛ́mɔtɛ́ ayɛ́ baacɔ ká bɔ́ bá bábɔ́ kɔ́ɔnaka anyía bɔmbányɛ áŋa hɔ́á, bɔkɔ bú olíkíméke tɛ á bá, hí e ekúlú eéyé bé ké bú túme ɔlɛca muuyé, bá tɛ bɛ́táta ; bú káá bá háyɛ inúmí cí obíéne naŋa cɛ́á hátɛna oónjú, u tɛ bɛ́táta ; bá tɛ ká bɔ́ bɔ́ŋɔ ohónyí wú ɔcabakɛna.
1TH.5.4	Mbá banɔ́ báásɔ́ benyíinyí bé olumitinine, buɔ́sɛ́ eébú tɛ ɔ́mɔ́ nyɛ́mana bú ɔ banɔ́ béletenyi háyɛ weébi naŋa weé béletenyi ɔɔcɔ, anyía nu tɛ anɔ́ bá i ibíne noómi. 
1TH.5.5	Yááŋa anyía nua nɔ́ŋa banɔ́ bekime baáná bé eese yɛ́ nabuɔ́sɛ́ ; tu tɛ asɔ́ bá baáná bé ibíne ci nebutúé.
1TH.5.6	Yaátɛ́ asana tu tɛ ɔ́mɔ́ sɔ́ nyɛ́mana tú ɔhɛ́táka háyɛ bɔsɔ́ɔ́kɔ́ ; mbá túé limíne bahaanyúánɔ́, basɔ́ tɛ́ka ne olóŋólóŋó a bɔkɔ bukime. 
1TH.5.7	Nebutúé baacɔ naŋa bábɔ́ hɛ́táka, nebutúé tɔ́na ɛ naŋa bébú híólóko meluku. 
1TH.5.8	Mbá basɔ́, tua sɔ́ŋa baáná bé eese yɛ́ nabuɔ́sɛ́, tu tɛ ɔ́mɔ sɔ́ nyɛ́mana tú ɔbá ne olóŋólóŋó. Yaátɛ́ asana tuásɔ́ nyɛ́mana tú ɔbɛ́háya ne olumitinine ne nulénéne ɛ ɛtɛ́má háyɛ bɔlaka bú eléŋú, túɔ́ bámɔ́kɔ́nɛ́na na mɔŋɔlɛ́ a buɔ́sɛ́ abɔ́ Bandɔ́mɛsɛ́ káá basɔ́ nóhiki, mɔŋɔlɛ́ eémé mɔ́ bá háyɛ atamba yí eléŋú ayɛ́ bá ŋa bɛ́háya a aatɔ́.
1TH.5.9	Yááŋa anyía Bandɔ́mɛsɛ́ tɛ ɔ́mɔ́ basɔ́ táfáka anyía wá basɔ́ lóbísíkínyi, mbá u ŋaá basɔ́ táfáka anyía wá basɔ́ nóhiki e elime ci uusú Otéŋí a Waáŋá Yésus *Kilís. 
1TH.5.10	Wuúci u ŋeé wé a yáásɔ́ asana anyía túésú líhéke ne wuúci ; ta basɔ́ bɔɔ́sɔ ta basɔ́ bewéékúnénú, ekúlú ayɛ́ u ká ka hálɔ́mɔ́na. 
1TH.5.11	Yaátɛ́ asana, énu hélúmúkúnyínyi ɛtɛ́má, nu kíndísíkínyínyi banɔ́ na banɔ́ háyɛ nua núáŋa ɔ ɔkɛla aámbáya.
1TH.5.12	Benyíinyí, tu ŋa sɔ́ banɔ́ láana anyía énu kékéke bɔmbányɛ bɔnyiɔnɔ Bandɔ́mɛsɛ́ buólí bá cianɔ́ ɛkatɛ́katɛ́, beébe eébé Otéŋí a Waáŋá ŋeé télímíkínyi eénú eé buúse anyía bábɔ́ banɔ́ eékúnyíki ɔlátɛ́na uúyé ohónyí. 
1TH.5.13	Nu beébe kékéke buéŋí, nu beébe lénéke buéŋí tɔ́na a asana ne buólí abɔ́ bá ŋa bɔ́ nyiɔ. Banɔ́ bɛ́muátá, énu líhéke e mbuumu noómi ne belumitinine bekime.
1TH.5.14	Benyíinyí, tu ŋa sɔ́ banɔ́ láana anyía énu lébéke betisetise, énu kíndísíki ɛtɛ́má cí belíkílíki, nu ɔ́ɔ́lɔ́kɔ banɔ́nɔ́nɔ́nɔ, énu eéhíkínyínyi buéŋí baacɔ bekime. 
1TH.5.15	Énu bíkékényíki anyía ta ɔɔcɔ aá banɔ́ ti hélúmúnyínyi sɔ́ɔ́kɔ́ bɔɔbɛ́, mbá ánɔ aambáka ohónyí wú ɔkɛlakana bɔmbányɛ ekúlú ekime banɔ́ na banɔ́, na baacɔ bekime áyá.
1TH.5.16	Énu bílénéke ekúlú ekime, 
1TH.5.17	nu bɛ́cɔ́kɔ́lɔ́kɛ́na Bandɔ́mɛsɛ́ nɔtɛ tɔmbɔ, 
1TH.5.18	énu iínjíékíne Bandɔ́mɛsɛ́ bitéŋíti ekúlú ekime. Bandɔ́mɛsɛ́ ŋeé léne anyía núánɔ́ kɛ́láka aáná, banɔ́ baacɔ abá nua nɔ́ŋa e nyimónjóló ne Yésus *Kilís.
1TH.5.19	Nɔtɛ bɛ́kɛ́ŋɛ́lɛ́ánɛ́na buólí bú *Efúúménénú yí Elilé.
1TH.5.20	Nɔtɛ bábákɛ́na bɛsana bí *behémúnyi bɛsana bá Bandɔ́mɛsɛ́. 
1TH.5.21	Énu bílúmíkínyi yáaŋa bɔmbányɛ bɛsana bikime abɛ́ nu ŋa nɔ́ lɔ́kɔ́ma ; mbá nɔ látákɛ́na a bɛ́áŋa bɛmbányɛ. 
1TH.5.22	Énu bíkékényíki ; nɔtɛ kɛláka anamánamá cá bɛsana a bɛɛbɛ́.
1TH.5.23	Bandɔ́mɛsɛ́ bɛ́muátá ewú u ŋe yíínjie baacɔ mbuumu á banɔ́ fúúmíkínyi bɔmbányɛ bɔmbányɛ, wé tétényíki tɔ́na na yáánɔ́ elilé, na túánɔ́ tɔtányɛ́, na cianɔ́ cɛɛ́tɔ,
1TH.5.24	Bandɔ́mɛsɛ́ ŋaá banɔ́ lɔ́ŋɔ́kɔ́, wuúci u káá kɛ́laka aáná anyía u ŋo nyíóyísinyi nyíáyɛ́ nyɛkɔɔna.
1TH.5.25	Benyíinyí, ánɔ bɛ́cɔ́kɔ́lɔ́kɛ́na tɔ́na Bandɔ́mɛsɛ́ a yáásɔ́ asana. 
1TH.5.26	Énu téŋíki bɔmbányɛ benyíinyí bé olumitinine Yésus. 
1TH.5.27	Ɛ ŋa mɛ́ banɔ́ óókísi eé nyiínyi nyí Otéŋí a Waáŋá anyía ánɔ fanáka nufule eénú ɛ ɛkatɛ́katɛ́ ci benyíinyí bekime.
1TH.5.28	Otéŋí a Waáŋá Yésus Kilís á banɔ́ sáyábákɛ́na banɔ́ bekimeʼo !
2TH.1.1	Yaŋɔ́ Bóol, ɛ ŋá mɛ ɔ́ɔ́ŋɔ nufule eenu. Tua sɔ́ŋa ne Sílas ne Timoté. Tu ŋa sɔ́ banɔ́ ɔ́ɔ́ŋɛ́na nufule eenu, banɔ́ hiɔ́bɔ hí belumitinine *Yésus a hɛ́áŋa a bálɛ́ka cɛ Tɛsaloníke. Nua nɔ́ŋa baacɔ bá na ciasɔ́ Síkíne *Bandɔ́mɛsɛ́ ne Otéŋí a Waáŋá Yésus *Kilís. 
2TH.1.2	Ne Síkíne Bandɔ́mɛsɛ́ ne Otéŋí a Waáŋá Yésus Kilís bá banɔ́ sáyábɛ́na, bá banɔ́ háya mbuumu ɛ ɛtɛ́má noómi.
2TH.1.3	Banɔ́ báásɔ́ benyíinyí, tu ŋá sɔ́ nyɛ́mana tú owiínjíékíne Bandɔ́mɛsɛ́ bitéŋíti a yáánɔ́ asana ekúlú ekime, tu tɛ tɔmbɔ. Búáŋa bɔmbányɛ anyía túásɔ́ kɛ́láka aáná, ananyía úúnú olumitinine ŋa kɔ́ma buéŋí. Híáná tɔ́na, nulénéne enú nu ŋe nú lénene banɔ́ na banɔ́ ŋe bísólínyi mɔɔ́sɛ́ mekime. 
2TH.1.4	Yaátɛ́ asana ekúlú ayɛ́ tua sɔ́ŋa eé buúse bú tuɔ́bɔ tú belumitinine Yésus tú etémbí, tu ŋe sú beébe bíkétínyi yáánɔ́ asana na bɔɔcɔ bukime, anyía nu me nú tímbie olumitinine na makɛ́nda mekime ta yɛ́ cáŋa á bá anyía baacɔ ŋa bɔ́ banɔ́ tékése ne muuyé.
2TH.1.5	Bú ŋo tóŋínyi bɔmbányɛ bɔmbányɛ anyía Bandɔ́mɛsɛ́ kéé kélísíki baacɔ. Nyíáyɛ́ nyikélísi nyɛ́ bɛsana káá bá nyɛtálɛ́mánánɔ́. Ayɛ́ nú ŋe nú ééhínyínyi muuyé aáná, Bandɔ́mɛsɛ́ káá kɛ́la anyía núánɔ́ bámɔ́kɔ́nɛ́na banyɛmánánɔ́ o owoofokine a búáyɛ́ Butéŋí. A asana ne Butéŋí eébú nu ŋa nɔ́ lɔ́kɔ́ma muuyé. 
2TH.1.6	Ɛ́ɛ, Bandɔ́mɛsɛ́ áŋa ɔtálɛ́mánánɔ́ ; u kéé hélúmúkúnyínyi muuyé a baacɔ a bá ŋa bɔ́ banɔ́ iínjíékíne muuyé. 
2TH.1.7	Aá banɔ́ abá nu ŋa nɔ́ lɔ́kɔ́ma muuyé aámbáya, Bandɔ́mɛsɛ́ káá banɔ́ muúmu aáŋíáka, na aá basɔ́ tɔ́na, ekúlú eyí Otéŋí a Waáŋá Yésus káá lɛ́cana, weé húlúkúne ɔ Ɔmuaná ɔlɔŋɔ na bíáyɛ́ bɛkɛndákɛ́nda bí *bililé bɛ́ masɔ́ma. 
2TH.1.8	U káá fáaya a nɔbɛ́mbɛ nú oocó noómi, yó bífúnéke ne be-ti-menyí Bandɔ́mɛsɛ́ ne eebe e bé tí ŋe bú lumitinine Ambányɛ yɛ́ Ɛsɔ́ma yí uusú Otéŋí a Waáŋá Yésus. 
2TH.1.9	Ciabɔ́ bɔ́nɔ́sɛa káá bá bunyímé bú ekúlú ekime ; bó límekine haaca ne buúse bú Otéŋí a Waáŋá, bá tɛ lɛcá makɛ́nda ma núáyɛ́ nuúmi.
2TH.1.10	Bɛsana eébí káá bɛ́kɛ́láka a buɔ́sɛ́ abɔ́ u ká ka hálɔ́mɔ́na. Ekúlú ayɛ́ u ká ka hálɔ́mɔ́na aá yaandándá yɛ́ buɔ́sɛ́ etéebú anyía bááyɛ́ baacɔ bekime,
2TH.1.11	Yaátɛ́ asana tú ŋa sɔ́ bɛ́cɔ́kɔ́lɛ́na Bandɔ́mɛsɛ́ ekúlú ekime, tu tɛ tɔmbɔ, a yáánɔ́ asana. Tu ŋe sú wuúci báta anyía wáa kɛlá anyía núénú líhéke a nyɛnamá nyí olíhe anyɛ́ u ŋaá banɔ́ lɔ́ŋɔ́kɔ́ ; tu ŋe sú wuúci báta tɔ́na anyía wá banɔ́ ɔ́ɔ́lɛ́ta na mááyɛ́ makɛ́nda o onyíóyísínyi na ɔ ɔkɛla bɔmbányɛ ebú nu ŋe nú léne ɔkɛla na ɔ ɔnyiɔkɔ buólí bukime abɔ́ nu ŋa nɔ́ nyiɔ, anyía nu ŋa nɔ́ háya mɔŋɔlɛ́ nááyá. 
2TH.1.12	Aáná nu ké nú óómísíki buáŋá bú nyiínyi nyí úúsú Otéŋí a Waáŋá Yésus, yɔ́ kɛ́la anyía bé óómísíki tɔ́na cáánɔ́ eénye a yááyɛ́ asana. Bú káá bɛ́kɛ́láka aáná, anyía na ciasɔ́ Bandɔ́mɛsɛ́ ne Otéŋí a Waáŋá Yésus *Kilís ŋa bɔ́ banɔ́ sáyabɛna.
2TH.2.1	Banɔ́ báásɔ́ benyíinyí bé olumitinine, tu ŋa sɔ́ banɔ́ bɛ́cɔ́kɔ́lɛ́na a asana na nyɛkahálɔ́mɔ́na nyí úúsú Otéŋí a Waáŋá Yésus *Kilís, na nyíásɔ́ nyɛbɛ́bándána anyɛ́ tu ká sɔ́ bɛ́bándákána nááyá, anyía 
2TH.2.2	nuti tényí nyímísi cianɔ́ injiŋé ; ta anyía nuti líkíméke a nyɛkɔɔna anyɛ́ baacɔ ŋa bɔ́ kɔ́ɔ́na anyía buɔ́sɛ́ ebú Otéŋí a Waáŋá ká ka hálɔ́mɔ́na na maá ká háma ; te *behémúnyi bɛsana a bɔ́mɔtɛ́ ŋa bɔ́ kɔ́ɔ́náka aáná, ta anyía yáakɛlá nu ŋa nɔ́ lɔ́kɔ́máká a bɔ́mɔtɛ́ ébú húlikinyi baacɔ aáná, ta anyía tɔ́na baacɔ a bɔ́mɔtɛ́ ŋa bɔ́ kɔ́ɔ́na anyía yaŋɔ́ ɛ ŋa mɛ́ ɔɔ́ŋɔ́kɔ aáná, nuti lumítíne. 
2TH.2.3	Nuti lumítíne buúse bukime anyía ɔɔcɔ á banɔ́ néŋé, anyía buɔ́sɛ́ ebú Otéŋí a Waáŋá káá faáya, baacɔ beéŋí káá bá ɛ́cɛ bá ma bɔ́ kɛ́lakɛna Bandɔ́mɛsɛ́ aatɔ́ ɔnata;
2TH.2.4	U kéé núusiki bɛnyɛ́ma bikime abɛ́ baacɔ ŋe bú nyemi ; ta yɛ́ cáŋa á bá Bandɔ́mɛsɛ́ bɛ́muátá,
2TH.2.5	Yáakɛlá nu tɛ ŋá háná ánɔ́ bɛ́táá anyía ekúlú ayɛ́ tú ŋa sɔ́ bá náánɔ́, ɛ ŋa mɛ́ banɔ́ láákɛ́na bɛsana eébí.
2TH.2.6	Ta híáná, bɔkɔ a bumɔtɛ́ áŋa hɔ́á e bú mo kóti bɛsana eébí ɔbɛ́kɛ́la aámbáya ; nu ŋe nú ményi buátɛ́ bɔkɔ, ɔŋána kéé bítóŋínyi a baacɔ hú ekúlú ayɛ́ Bandɔ́mɛsɛ́ ŋaá táná. 
2TH.2.7	Yááŋa taaká anyía baacɔ beéŋí a bɔ́áŋa ɔ ɔkɛlɛna Bandɔ́mɛsɛ́ aatɔ́ ɔnata ; tu ŋe sú menyi aáná hú anyía Bandɔ́mɛsɛ́ u ŋaá basɔ́ tóŋínyi. Mbá bɛsana eébí tɛ káá bɛ́kɛ́láka ɔ ɔkɔɔ́háma ekúlú ayɛ́ Bandɔ́mɛsɛ́ ká yáaŋia ɔɔcɔ ewú ú mo koti ɔŋána ɔ ɔfaaya. 
2TH.2.8	E elime eécí ɔŋána kéé bítóŋínyi a baacɔ. Ekúlú eyí Otéŋí a Waáŋá Yésus ká ka hálɔ́mɔ́na a núáyɛ́ nuúmi noómi, u kéé wuúci ɔɔ́nɔ́ ne mehúne a má ŋaá háma a nyíáyɛ́ nyuúté.
2TH.2.9	Ɔŋána oócí, awɔ́ u káá cɔba o obítóŋínyi a baacɔ, káá fáaya na makɛ́nda amá *Sátan kéé wuúci iínjie ; u káá kɛ́laka anamánamá cé ne bikéki ne bikémése bɛ́ bɛsana anyía wé néŋéke baacɔ ne biíbi. 
2TH.2.10	U káá kɛ́laka anamánamá ekime cá bɛɛbɛ́ bɛ́ bɛsana anyía wé néŋéke baacɔ e bé ké bú nyímúkúne. Bé ké bú nyímúkúne anyía bó ti ómo bú lúmitinine taaká, bé ti ciíci léne ; mbɔ́kɔ bébú ciíci lumítíníne, keyé Bandɔ́mɛsɛ́ ŋeé beébe nohíki. 
2TH.2.11	Yaátɛ́ asana Bandɔ́mɛsɛ́ káá kɛ́la anyía bábɔ́ bɛ́tááka bɛsana a bɛ́kɔ́tɛ́mákánánɔ́, bó lúmitekinine bɛfala. 
2TH.2.12	U kéé kélísíki baacɔ bekime e bé ŋe bú kíne olumitinine taaká, bé lénéke ɔkɛla bɔɔbɛ́, yó beébe iínjíékíne muuyé.
2TH.2.13	Mbá a yáánɔ́ asana, banɔ́ báásɔ́ benyíinyí bé olumitinine ebé Otéŋí a Waáŋá ŋeé léne, tu ŋá sɔ́ nyɛ́mana tú owiínjíékíne Bandɔ́mɛsɛ́ bitéŋíti bikúlú bikime, anyía u ŋaá banɔ́ táfáká o otúme e nyitúme.
2TH.2.14	Aá yaátɛ́ asana Bandɔ́mɛsɛ́ ŋaá banɔ́ lɔ́ŋɔ́kɔ́ nááyá na Ambányɛ yɛ́ Ɛsɔ́ma ayɛ́ tu ŋa sɔ́ banɔ́ húlíkínyi, na anyía núénú bílénéke tɔ́na e elime ci nuúmi nú úúsú Otéŋí a Waáŋá Yésus *Kilís. 
2TH.2.15	Buátɛ́ bɔkɔ, banɔ́ báásɔ́ benyíinyí bé olumitinine, énu bíínjíé na makɛ́nda o olumitinine noómi, nu tétényíki bɛsana abɛ́ tú ŋa sɔ́ banɔ́ éékúnyíkí, te ne nyuúté, ta na núásɔ́ nufule a númɔtɛ́ anɔ́ tú ŋa sɔ́ banɔ́ ɔ́ɔ́ŋɔ́kɛ́ná.
2TH.2.16	Ɛ ŋaá mɛ bɛ́cɔ́kɔ́lɛ́na ne uusú Otéŋí a Waáŋá Yésus Kilís bɛ́muátá na ciasɔ́ Síkíne Bandɔ́mɛsɛ́ awɔ́ ú ŋa basɔ́ léne anyía bá cɔbá ne buúse ɔ ɔ basɔ́ kíndísi ɛtɛ́má, bá basɔ́ hákɛ́na taaká cɛ mɔŋɔlɛ́ ɛ ɛtɛ́má a yáábɔ́ yaála yí nuubo noómi, 
2TH.2.17	bá banɔ́ kíndísíki ɛtɛ́má, bá banɔ́ iínjíékíne tɔ́na makɛ́nda na ma ɔkɛlaka na ma ɔtáŋáka ekúlú ekime bɛmbányɛ bɛ́ bɛsana.
2TH.3.1	Banɔ́, báásɔ́ benyíinyí, ɛ ŋa mɛ́ aamba okuenyinyi ɔ banɔ́ laána anyía : Ánɔ basɔ́ bɛ́cɔ́kɔ́lɔ́kɛ́nɛ́na Bandɔ́mɛsɛ́, anyía Ambányɛ yɛ́ Ɛsɔ́ma yí Otéŋí a Waáŋá á cɔ́cɔ́báka ne buúse fiaŋɔ fiaŋɔ, yí óómóko a nyɛnamá anyɛ́ yɛ́ ŋaá bɛ́kɛ́láka aanɔ́ ɛ ɛkatɛ́katɛ́. 
2TH.3.2	Ánɔ basɔ́ bɛ́cɔ́kɔ́lɔ́kɛ́nɛ́na Bandɔ́mɛsɛ́ tɔ́na anyía wá basɔ́ tétényíki, anyía na baŋána na bɛɛbɛ́ bɛ́ baacɔ tɛ basɔ́ kɛla bɔkɔ a bɔɔbɛ́;
2TH.3.3	Otéŋí a Waáŋá ŋo nyióyísínyi cááyɛ́ esúŋe bikúlú bikime. Wuúci u káá banɔ́ kíndísíki, yɔ́ banɔ́ tétényíki anyía Sátan tɛ banɔ́ kɛlá bɔkɔ a bɔɔbɛ́.
2TH.3.4	Otéŋí a Waáŋá ŋa kɛ́la anyía túásɔ́ bá na mɔŋɔlɛ́ a yáánɔ́ asana ; tu ŋe sú ményi anyía nu ŋa nɔ́ látɛ́na bɛsana abɛ́ tu ŋa sɔ́ banɔ́ láákɛ́na, tu menyukune tɔ́na anyía nu ké nú biíbi látákɛ́na. 
2TH.3.5	Otéŋí a Waáŋá é kendíki cíínú ɛtɛ́má ɔ ɔlɔ́kɔ́ma bɔmbányɛ na anyána Bandɔ́mɛsɛ́ ŋaá basɔ́ léne na anyána nua nɔ́ŋa nú oweéhíkínyínyi muuyé háyɛ *Kilís.
