MAT.1.1	Mukaanda kinkaaka kya Yesu Kiristo, mwaana Davidi, mwaana Abalaami.
2CO.9.8	Nzaambi wakuka mu kululuulusa mu mabweese ma bitsuumbu-bitsuumbu, mpisi heki mu mantaangu momanso beenu luba na byakuka, na luba se na bya mansaalisi mu kweyirika momanso mamabwe, 
2CO.9.9	bunu bu diri dyatinu:
2CO.9.9	«Nde kookabulaa, nde koohaanaa kuri bawelu,
2CO.9.9	nsungumunu yaandi yinamitina kwakinkulu.»
2CO.9.10	Wunde wuhaanaa nsaangi kuri mukuni, na byandya bya kudya, sa kaluha nsaangi, sa kafunisa dzo, na sa kamenise bimbutu bya nsungumunu yeenu. 
2CO.9.11	Beenu sa lwaba bisina mu myominso, mpisi lweha bikabu bya bitsuumbu-bitsuumbu, bisa kuri ti mu kisalu kya beetu, baatu babvutula matoondo kuri Nzaambi; 
2CO.9.12	bukuri kisalu kikyo kya ntolulu bikabu, kari lunu lubakusu kiha kuri bangisi ko, ngo se kisa kuri ti, baatu babvutula matoondo malaka kuri Nzaambi. 
2CO.9.13	Bamonaa bubwe bwa kisalu kikyo, bo sa bakeembese Nzaambi, mu ntoono kutumuma ku luri mu kusoongo beenu, mu Musamu Wamubwete wa Kiristo, na mu kukabula lubakusu lweenu kintwaari na bo, na baatu bobanso. 
2CO.9.14	Mu nsaambulu dza bo mu beenu, bo sa basoongo musoongo walaka wu bari na nde, mu ntoono bweese bwa mansaalisi bwaluha Nzaambi. 
2CO.9.15	Matoondo kuri Nzaambi mu ntoono kikabu kyaandi kyankimukunu!
2CO.10.1	Me Pawulo, nyilusyaamisa me-meene mu bundeembu, na mu mutima-bubwete wa Kiristo. Bakweleele ti, me nyiri na nsoni habaanaa nyiri ha kakati dya beenu, ngo kasi nyakasuka habaanaa nyiri la na beenu; 
2CO.10.2	me nyisaambila mu kuri ti, mpele kuba nyakasuka ha nyikwiisa kuri beenu, mu kitsimi kya kusoongo ti nyakasuka, ha busu bwa bakweleele ti, beetu tukwedyaatila mu kimuutu. 
2CO.10.3	Mukwongo, mu kimuutu turi mu kwedyaatila, ngo kari mu kimuutu turi mu kwenwaanina ko. 
2CO.10.4	Bukuri binwaanunu bituri mu kwenwaanina kikiindu, biri bya kimuutu ko; ngo kasi bya mpinu dza Nzaambi, byakuka mu kutsyaamuna bisweemunu bya makwa. Beetu tukwetsyaamuna nzoonsulu dzadzibi, 
2CO.10.5	na mpinu dzodzinso dza masiiku dzikwetungukula nyaabulu ya Nzaambi, mpisi tukitula bitsimi bya baatu kuri heki batumuma kuri Kiristo, 
2CO.10.6	na tuba twayirima mu kuseembe babo bahele kutumuma, mu ntaangu yiri beenu-banso lumwaamana kutumuma. 
2CO.10.7	Yirikee kutala bitotolo bunu bu biri. Mbuti muutu wumono dyo ti nde wuri wa Kiristo, lo kayirika kuyaaba ti nde bukari wa Kiristo beetu se turi ba Kiristo. 
2CO.10.8	Mukwongo, ti bukuri me nyasii mwaa-kimweese mu bumfumu bwa tuha Mfumu, mu kulutuunga nkani ka mu kulutsyaamuna ko, lo me nyiri na nsoni mu mimyo ko. 
2CO.10.9	Me ntii kumonokono, buni ti me nyilusa boomo mu mikaanda myaami ko; 
2CO.10.10	bukuri bakweleele ti, mikaanda mimyo miri na musundu na mya makwa, koomosoko nde-meene mu kumumono wahele na makwa, na nzoonsulu dzaandi dzahele kitotolo. 
2CO.10.11	Ngo mpisi wunde wuleele bubwo lo kayaaba ti: bu nyiri me mu maampu ma nyitina mikaanda kuri nyiri la, bunu bubwo se nyiri mu biyiriki ha busu bwa beenu. 
2CO.10.12	Beetu ka tutsiitsa kuba nsiisa, bunu pe kusaka nsobokoso, dzi turi na dzo na baatu bamosi, bakweha ntumunu mu bo-meene ko. Baatu babo bahele kubakula, bukuri bo bakweteese bambaasi mu kiteesulu kya bo-meene, na bakwesaka nsobokoso ha kakati dya bo-meene. 
2CO.10.13	Beetu ngo bari twahele kusa kimweese kwa mansaalisi, ngo beetu kusiila bunu buri kiteesu kya kisalu kya tuha Nzaambi, mu kutubuka natee kuri beenu. 
2CO.10.14	Mukwongo, beetu twahele kuluta mandilu, ngo beetu twatubuka na Musamu Wamubwete wa Kiristo natee kuri beenu. 
2CO.10.15	Beetu twahele kusa kimweese kya mansaalisi mu bisalu bya ŋani, ngo beetu turi na nsiitu ti kanyi dya beenu dihamisaana, lo kisalu kya beetu se sa kyahamisa kubuuka bunu buri kiteesu ki turi twatsima, 
2CO.10.16	mu kweyaabisa Musamu Wamubwete mu mankoonsi mabvuriri la na beenu, kwahele kusa kimweese mu biteesu bya ŋani mu bisalu byeki byayirima. 
2CO.10.17	Ngo kasi, «wunde wutiiri kusa masiiku, lo kasa masiiku mu Mfumu.» 
2CO.10.18	Mukwongo, kari wunde wusalaa mu ntumunu ya nde-meene bateela kimbaangi ko, ngo wunde wasala mu ntumunu ya Mfumu.
2CO.11.1	Mbuti beenu lo lukuundiri mwaa-bulawuku bwa me, lo katee kukuunda me. 
2CO.11.2	Mukwongo, me nyilusiila bukwa mu kiteesu kya bukwa bwa Nzaambi, bukuri me nyaluyakisa mu lulelusunu lwa makweele kuri bakala dimosi, bunu mwaa-ntuumba ya nswaasa yatsyeemeke ya kusoongo kuri Kiristo. 
2CO.11.3	Ngo bunu bwaba wuna nyoko Eva mu lupyelu lwaandi, me nyibata ti bitsimi bibiya na biba la na nkulukulu na nsyemukunu ha busu bwa Kiristo. 
2CO.11.4	Mukwongo, mbuti muutu wiisiri kuri beenu, wuluyaabisiri Yesu dikimi diri beetu twasii yaabisa ko, bunu pe lutaamburi mpeeve yasoboko na yiyo yi lwataamburi, bunu pe Musamu Wamubwe wasoboko na wunde wu lwataamburi, lo beenu mya bubwo ngo miri lukuundaa.
2CO.11.5	Mukwongo, me nsimini ti nyahele kubvula buntele, na bantumu ba beenu babanene babo, mu ntoono ti mosi. 
2CO.11.6	Mbuti mu mya kudzoonso me nyahele na lungweensu, ngo kari mu mya nyaabulu ko; mimyo beetu twasoongo mu mpisi mpwaani, na mu biteesu byobinso kuri beenu.
2CO.11.7	Hoti masumu me nyiri nyayirika mu kuba wakuluka me-meene, mpisi beenu luba lwadzaangusu, bukuri twaluyaabisa Musamu Wamubwete kwa mungengi? 
2CO.11.8	Me nyakuukusa mabuundu makaka, mu kutaambula mufutu kuri bo mu kusalila beenu. 
2CO.11.9	Ha nyaba kuri beenu, bu nyaba na nzala lubakusu, me nyasii diila muutu manene ko; ngo me nyataambula lubakusu kuri bampaangi bafumini ku Makedonya; mu myominso me nyabisiri kuri ti beenu lumbuungula, na sa nyanamitina kubisa ntoono yiyo. 
2CO.11.10	Yiyo ngwanwa ya Kiristo yiri mu me, kuri muutu wudika me ko mu kuba na kimweese kikyo mu mankoonsi ma Akaya. 
2CO.11.11	Bukuri nki? Mu kuri ti me nyahele ku lutya? Nzaambi yaari.
2CO.11.12	Ma nyiri mu kuyirika, me sa mbweese kumayirika, mpisi me nyisila mpwaani, kuri babo batiiri kubaka mpwaani ya kusa kimweese bunu beetu. 
2CO.11.13	Bukuri baatu babo ngo bantumu bampya, bisari byamawunu, bikweswemekene mu kifwaani kya bantumu ba Kiristo. 
2CO.11.14	Diri dya nkimukunu ko, bukuri Satana nde-meene wuswemekinaa mu kifwaani kya mbasi ya buungi. 
2CO.11.15	Ngo diri dyansisi ko, mbuti bisari bya nde se bikweswemekene mu kifwaani kya bisari bya nsungumunu. Nsukulu bo sa yaba bunu buri biyiriki byaaku.
2CO.11.16	Me nyibweese kuleele ti, ya kuba muutu wuhololo me bunu kilawuku ko, ngo mbuti ka bubwo ko, lo taambulee me bunu kilawuku, mpisi me se mba na mwaa-kimweese. 
2CO.11.17	Ma nyiri mu kuleele, me nyahele kuleele mo bunu bu tiriri Mfumu, ngo bunu ti kunsa bulawuku, mu nsiitu yiyo ya kuba na kimweese. 
2CO.11.18	Ngo bukuri baatu balaka bakwesa kimweese mu muswinyi, me se sa nsa kimweese. 
2CO.11.19	Mukwongo, beenu luri na madyeele, lukwekuunda mu ntiilu ya beenu-meene, babo bahele na madyeele! 
2CO.11.20	Mukwongo, mbuti muutu wulusiiri bunkutu, mbuti muutu wuludiila manene, mbuti muutu horiri bi luri na byo, mbuti muutu wubilika mu beenu, na mbuti muutu wululeti ku busu, lo beenu lukuunda momanso mamo. 
2CO.11.21	Me nyiri na nsoni mu kuleele mimyo, beetuneenu twasoongiri buyonsi. Ngo me nyiri mu kudzoonsolo bunu ti kunsa bulawuku. Mbuti muutu wakuka mu mpisi diba, lo me se nyakuka. 
2CO.11.22	Bo Bahebeleho bari? Me se. Bahisaheli bari? Me se. Basundukila mu Abalaami bari? Me se. 
2CO.11.23	Bisari bya Kiristo bari? Me nzoonsulu bunu kilawuku, mu kuleele ti me mvuriri na bo; mu bisalu bya makwa, me mvuriri na bo; mu maboroko, me mvuriri na bo; mu nkuba kubwilikila, me mvuriri na bo; na me mvuriri kuba mu nsisi dza lufwa mu ntaangu ngo ntaangu. 
2CO.11.24	Mbala taanu, me nyiri nyabwilikila nkwaasulu makuumi matatu na wa kuri Bayudayo; 
2CO.11.25	mbala tatu me bari bandata nkwaasulu, mbala mosi me bari bandatila mu matari, mbala tatu me nyiri nyadyaama mu bwaatu, butsuku na mwiini me nyiri nyalutisa kunsa maampa. 
2CO.11.26	Me nyasa budyeengi bwa mu miilu mu ntaangu ngo ntaangu, nyakoto mu nsisi dza manyari, mu nsisi dza bangaa-bumfuna, mu nsisi dza ba turi kitsuumbu kimosi, mu nsisi dza makaanda, mu nsisi dza kunsa bvula, mu nsisi dza ku nsi yankatu, mu nsisi dza mu mubu, mu nsisi dza bampaangi bampya. 
2CO.11.27	Me nyasala na nyamono mpasi, me nyakyeelele bitulu bya bwiisi ntaangu ngo ntaangu, nyakolo nzala na mpwiisu, nyakoto maloomi ntaangu ngo ntaangu, nyakuukila kyoosi na nyaba mpene. 
2CO.11.28	Nyahele kutaanga kwaandi ti mi siiri, ngo musamu wu mbinikini me mpisi kiluumbu, musoongo wu nyiri na nde mu mabuundu momanso. 
2CO.11.29	Na wuri na buyonsi, kuri lo me se nyahele kuba na buyonsi? Na wubwa kuri lo me mutima wahele kusa mambaawu?
2CO.11.30	Ngo mbuti mu kusa kimweese, lo me nsiiri kimweese mu misamu mitariri buyonsi bwaami. 
2CO.11.31	Nzaambi, Taayi dya Mfumu Yesu, nde wasakumunu mu mibvu ngo mibvu, yaari kuri ti me nyahele kusa mpya. 
2CO.11.32	Ku Damasiko mfumu yaba mumonikisi mbyaasi Areta, watelemisi bari Damasiko mu kukebe bvula mpisi bansiimba. 
2CO.11.33	Ngo me bansudukila munsa mpiri, mu mwaa-mweelu wantele, waba mu kibaka kya lupaangu, na me nyapatika mu myooko mya nde.
2CO.12.1	Buri me nsa kimweese? Kwahele mufunu! Ngo me nzoonsulu mu mitariri mamono-miisu, na manyabusulu ma Mfumu. 
2CO.12.2	Me nyaari muutu mosi mu Kiristo wuri, mibvu kuumi na mina mimwaaluta, kari mu nyutu yaandi, kari kwahele nyutu yaandi me nyaari ko, ngo Nzaambi yaari, muutu wunde bamunaakisa natee ku yulu dya matatu. 
2CO.12.3	Ngo me nyaari ti muutu wunde, ti diba mu nyutu yaandi, ti diba kwahele nyutu yaandi, me nyahele kuyaaba, ngo Nzaambi yaari 
2CO.12.4	kuri ti bamunaakisa ku paradiso, na nde wayuka mantoono mahele ndelulu, mari muutu ti mosi wakiri kubaka pe miswa mya kuleele. 
2CO.12.5	Mu muutu wa bubwo, lo me nsiiri kimweese, ngo mu me-meene me nyahele kusa kimweese mbuti ka mu buyonsi bwaami ko. 
2CO.12.6	Mukwongo, mbuti me ngo mbeeri nyatya kusa kimweese, nkani me nketi kuba kilawuku ko, bukuri ngwanwa me nyileele. Me nyibisa kwaami mu kubata kuri ti, baatu bahele kumono me, mu kiteesu kibvuriri na mimyo mi bamono mu me, bunu pe mi bayuka kuri me.
2CO.12.7	Mu ntoono manyabusulu mankimukunu. Hango-nkuumbu, mu kuri ti me mpele kuba na masiiku, me bankotoso lunseende mu nyutu, mbasi ya Satana yikwendata, mpisi heki me mpele kuba na masiiku. 
2CO.12.8	Me nyayingukiri Mfumu mbala tatu, mpisi kayisila mpasi dzidzo mu me. 
2CO.12.9	Ngo nde wandeele ti: «Bweese bwa me bwakuka mu ye, bukuri mpinu dzaami dzimonokinaa kunsa buyonsi.» Ngo me mvuriri kutya kusa kimweese mu buyonsi bwaami, mpisi heki mpinu dza Kiristo dzidzakala mu me. 
2CO.12.10	Hango-nkuumbu, me nyimono kiminu mu buyonsi, mu bitari, mu mbamusunu, mu nkwamusunu na kinkuukulu mu ntoono Kiristo; bukuri me mbaanaa nyiri na buyonsi, lo haho ngo ha nyiri na makwa.
2CO.12.11	Me nyeki kilawuku bukuri beenu lwankwikisiri. Mukwongo me nyaketi kubaka ntumunu kuri beenu, bukuri me nyahele kubvula buntele, na bantumu ba beenu babanene babo, mu ntoono ti mosi, ti hayuku nyiri wabuunu. 
2CO.12.12	Bidiimbu bisoongo kuri ti me ntumu, byayirimini ha kakati dya beenu mu ntaangu ngo ntaangu: bidiimbu, biyiriki byankimukunu, na bimaangu. 
2CO.12.13	Mukwongo, nki beenu luri lwabaka biri mwaa-byantele, ti na biri na mabuundu makaka, buti ka kuri ti, me nyahele kuludiila manene ko? Hemesenee me mu bubayi bubwo.
2CO.12.14	Yimayi ngo mbala yatatu, me mwaayirima mu kwiisa kuri beenu, ngo nyahele kwiisa kuludiila manene; bukuri me bi nyiri na nzala byo kari bitotolo bya beenu ko, ngo beenu-meene. Mukwongo, kari baala bayelemini kuwungukila babuti bitotolo ko, ngo babuti bayelemini kuwungukila baala bitotolo. 
2CO.12.15	Me ngo wuri, nyiri na kutya mu kuha bi nyiri na byo, na sa nyaha kidziingu kyaami mu ntoono miheebulu mya beenu. Habaanaa me nyiri na ntiilu yalaka mu beenu, buri lo beenu ntiilu yantele luba na yo mu me?
2CO.12.16	Ngo leelee kwaandi ti, beenu lwahele kubuungula me, ngo me bu nyiri ngaa-lupyelu, nyiri nyalubaka mu mawunu. 
2CO.12.17	Buri me manene nyiri nyaludiila, ha lumbisa lwa mosi mu baatu ba nyiri nyaluheekele? 
2CO.12.18	Me nyayingukiri Tito, na nyamuheekiri kuri beenu kintwaari na mpaangi mosi; buri Tito waludiiriri manene? Buri beetu na nde twasii dyaatila mu kitsimi kimosi ko? Bunu pe mu bitaambi bimosi ko?
2CO.12.19	Kuholosono na kidzika, beenu kutsima ti beetu manyutu turi mu kukalila ha busu bweenu. Ngo ha busu bwa Nzaambi, mu Kiristo, beetu turi mu kudzoonso; na myominso mimyo, banduku ba mutima mu ntoono ya kulutuunga. 
2CO.12.20	Mukwongo, me nyibata kuri ti, ha nyikwiisa me mpele kulumono mu kiteesu ki ntiiriri me; na beenu se luhele kumono me mu kiteesu ki lutiiriri beenu. Me nyibata ti ha kakati dya beenu, haba mayumu, musoki, mankesi, nkalikisi, makele, kintori, kinwa, na kisaangila. 
2CO.12.21	Me nyibata kuri ti, ha nyibweese kwiisa, Nzaambi kankulula ha busu bwa beenu, na me nkoto bufwiiri, mu ntoono balaka bayirikiri masumu mu ntaangu yayikulu, na bahele kuyiinga madyeele mu kuhoto kuyirika, mya nsumukunu, mya kimpala na mya buyala.
2CO.13.1	Yimayi ngo mbala yatatu me nyeki kwiisa kuri beenu; «Mu munwa wa bambaangi boolo bunu pe batatu musamu ndemunso sa kawa.» 
2CO.13.2	Me nyaleeriri ha busu bwa beenu, mu luyisu lwadzoolo, na lumalu se nyibweese kuleele kuri nyahele ha busu bwa beenu, kuri bayirikiri masumu mu ntaangu yaluta, na kuri bobanso bakaka ti, mbuti me bweesiri kwiisa lukimi lo nyiluhemese ko, 
2CO.13.3	bukuri beenu luri mu kusaka kimbaangi ti Kiristo wudzoonsaa mu me. Nde wahele na buyonsi kuri beenu, ngo kasi wusoongaa mpinu dzaandi mu beenu. 
2CO.13.4	Mukwongo, nde bamukomini ha kuruwa mu ntoono buyonsi, ngo kasi wuri mwooyo mu mpinu dza Nzaambi. Na beetu se turi na buyonsi mu nde, ngo kasi sa twaba mwooyo mu mpinu dza Nzaambi kuri beenu. 
2CO.13.5	Fyongokinee mitima myeenu beenu-meene, mu kumono kari luri mu kanyi, tswiikiseenu mitima myeenu; hoti lwahele kubakula beenu-meene, ti Yesu Kiristo wuri mu beenu? Mbuti pele, lo beenu lwahele kuba batswiikama. 
2CO.13.6	Me nsimini ti, sa lwabakula ti beetu ngo bari, turi batswiikama. 
2CO.13.7	Ngo beetu tusaambila Nzaambi, mpisi beenu luhele kuyirika ntoono ti mosi yayibi; kari mu kuri ti beetu twaswiikama tumonokono ko, ngo mu kuri beenu luyirika mamabwe, ti hayuku beetu turi bunu twahele kuswiikama. 
2CO.13.8	Bukuri beetu turi na di tubangisina kuyirika ko, mu kunwaanisa ngwanwa, ngo kasi beetu kubangisina kusalila ngwanwa. 
2CO.13.9	Mukwongo, beetu tumonaa kiminu mpisi ntaangu yiri, beetu turi na buyonsi kasi beenu luri na makwa; mi turi mu kusambikilaa beetu miri ti beenu lubaanguka. 
2CO.13.10	Hango-nkuumbu, bu nyiri la na beenu me nyilutinina misamu mimyo, mpisi heki ha nyiba ha busu bwa beenu, me mpele kusalila kibakala, bunu buri lutumu lwa mpa Mfumu, mu kutuunga nkani ka mu kutsyaamuna ko. 
2CO.13.11	Mu misiiri ngo miri, bampaangi, monee kiminu, sakeenu kuba babaanguka, syamisinee beenu na beenu, beenee kitsimi kimosi, beenee na kiyeengi, na Nzaambi ya ntiilu na ya kiyeengi sa kaba na beenu. 
2CO.13.12	Helesenee mamboto beenu na beenu, mu nyumutunu yangisi. Bangisi bobanso baluheekiri mamboto. 
2CO.13.13	Bweese bwa Mfumu Yesu Kiristo, ntiilu ya Nzaambi, na kintwaari kya Mpeeve Yangisi biba na beenu-banso.
GAL.1.1	Me Pawulo ntumu, kari bu tiiri baatu bunu pe muutu ko, ngo bu tiiriri Yesu Kiristo na taayi Nzaambi wamufulukisa mu bafwa. 
GAL.1.2	Mu kintwaari na bampaangi bobanso bari na me, turi mu kutina kuri mabuundu ma mu nkoonsi ya Ngalatya. 
GAL.1.3	Bweese na kiyeengi, bifumunaa kuri Taayi dyeetu Nzaambi, na kuri Mfumu Yesu Kiristo, biba na beenu. 
GAL.1.4	Yesu Kiristo wayekiri nyutu yaandi mu ntoono masumu ma beetu, mpisi heki katukuula mu ntaangu yayibi yimayi, bunu buri kutya kwa Nzaambi wuri Taayi dyeetu. 
GAL.1.5	Kuri nde kuba nkeembu mu mibvu ngo mibvu! Amene.
GAL.1.6	Me nyimono dyo dya nkimukunu, ti mu mawasu-mawasu, beenu lutekele mbisa, kuri wunde waluteele mbila mu bweese [bwa Kiristo], mu ntoono Musamu mukimi Wamubwete. 
GAL.1.7	Mukwongo, kuri Musamu mukimi ko, mbuti ka bangaa-kisaangila ko, batiiri kukitula Musamu Wamubwete wa Kiristo. 
GAL.1.8	Ngo ti hayuku beetu, bunu pe mbasi ya ku mayulu wuluyaabisiri Musamu Wamubwete wasoboko na wunde wu turi twaluyikisa, lo kabwilikila mpopi! 
GAL.1.9	Bunu bu twaleele, na mu lumalu nyibweese kuleele ti: mbuti muutu wuluyaabisa Musamu Wamubwete wasoboko na wunde wu luri lwataambula, lo kabwiilikila mpopi!
GAL.1.10	Mukwongo, mu lumalu, me nsalila makwa mu kuyirika ma tiiri baatu hoti ma tiiri Nzaambi? Buri haho mbweeyulu kuri baatu nyisaka? Mbuti mbee nyakiri kwesaka mbweeyulu kuri baatu, lo nketyee kuba nkutu Kiristo ko.
GAL.1.11	Kuri beenu bampaangi nyiyaabisa ti: Musamu Wamubwete wu nyiri nyayaabisa kari bu tiiriri baatu ko. 
GAL.1.12	Nyahele se kutaambula nde kuri muutu; kuri muutu ti mosi se ko wanyikisa nde, ngo me nyataambula nde mu nyabusulu ya nde-meene Yesu Kiristo.
GAL.1.13	Beenu lwayukiri bwaba ndyaatulu yaami, mu ntaangu yi nyaba mu Nzaambi Bayudayo. Me nyakwaamisa dibuundu dya Nzaambi mu kiteesu kyabvulila, na nyadibamisa. 
GAL.1.14	Mu kinzaambi kya Bayudayo, me nyaba mvuriri kiteesu na ba turi kiseendu kimosi, ba kitsuumbu kya me. Me nyaba nyakaangama kwalaka mu kikulu kya bakuutu baami.
GAL.1.15	Ngo [Nzaambi], wansoolo kuholosono mu mwooyo nguri yaami, wanteele mbila mu bweese bwaandi, bu kamono dyo ti dyadibwete, 
GAL.1.16	mu kumonokoso Mwaana waandi kuri me, mpisi heki me nyimuyaabisa ha kakati dya makaanda; ha nsi na nsi, me nyasii loombo ndoongi kuri muutu ko. 
GAL.1.17	Me nyasii kweende se ku Yerusalemi kuri bantumu batekisiri mu kisalu na me ko, ngo me nyateleme na nyayende ku nsi ya Arabya, na nyabweese kubvutuka ku Damasiko. 
GAL.1.18	Tumi, mibvu mitatu bu myaluta, me nyatoomboko ku Yerusalemi mu kuyaabisina na Kefa, na nyadzakala kuri nde biluumbu kuumi na bitaanu. 
GAL.1.19	Me nyasii mono bantumu bakaka ko, ngo wuni Yakobo, mpaangi Mfumu. 
GAL.1.20	Ma nyiri mu kutinina beenu, nkati ha busu bwa Nzaambi, me nyahele kusa mpya.
GAL.1.21	Tumi, ha nyeki kweendana, mu nkoonsi ya Sirya na ya Kilikya. 
GAL.1.22	Mabuundu ma Kiristo ma ku Yudaya, maba mahele kunyaaba mu kidziri. 
GAL.1.23	Ngo bo bunu bu bayukiri ti: «Wunde waba kwetukwamisaana mu ntaangu yayikulu, mu lumalu weki kweyikisa kanyi di kaba kwebamisaana haba tete.» 
GAL.1.24	Mabuundu mamo masiika Nzaambi mu ntoono me.
GAL.2.1	Ha mambisa ma kuumi na mina mya mibvu, me nyabweese kutoomboko ku Yerusalemi beetu na Barnaba, nyaholo se Tito. 
GAL.2.2	Me nyatoomboko kukwo, bunu bwaba nyaabusulu, me nyabaangula kuri bo Musamu Wamubwete, wu nyiri mu kweyikisa ha kakati dya makaanda; nyabaangula se mu buwungu-buwungu kuri bakuutu ba kibvumi, mu kubata kuri ti kisalu ki nyiri mu kusala, bunu pe ki mwaamana kusala kikwiisa kuba kyamungengi. 
GAL.2.3	Tito, Muhelene waba na me, basii kumukwiikisa kuteende bubakala ko. 
GAL.2.4	Kwaba kwaandi na bampaangi bampya, ba mumpitu, bayolimiki ha kakati dya beetu mu kwetukete kunsa bunsaalisi bweetu, bu turi na bwo mu Kiristo Yesu, mpisi heki batusa bankutu, 
GAL.2.5	ngo kasi kuri bo, ti mu kilookolo kimosi, beetu twasii kubaheele nyutu ko, mpisi heki ngwanwa ya Musamu Wamubwete yisa kikuundi kuri beenu.
GAL.2.6	Kwaba se baatu ba lukiinsu, ngo me nyasii mono byasobokono mu bo ko; Nzaambi ka koomonaa buri muutu ko. Kuri me, bakuutu ba kibvumi babo basii nkwiikisa ntoono ti mosi ko. 
GAL.2.7	Ngo kasi, bo bamwiini kuri ti me bampeeri Musamu Wamubwete mu kunata kuri bahele kuteende bubakala, bunu bu baheeri se, Musamu Wamubwete kuri Petelo, mu kunata kuri bateende bubakala. 
GAL.2.8	Bukuri wunde wasariri mu Petelo, kuri ti kaba ntumu kuri bateende bubakala, wasariri se mu me, kuri ti me mba ntumu kuri makaanda. 
GAL.2.9	Yakobo, Kefa na Yowane, bari kubahololo bunu makuunsi, bamanaa kubakula ti me bampeeri bweese, batuha mamboto, beetu na Barnaba mu kusoongo kidiimbu kya nyukusunu, mpisi heki beetu tweende kuri makaanda, na bo beende kuri bateende bubakala. 
GAL.2.10	Ngo kasi, kunu kuloombo batuloombo ti tubambukila bawelu mwooyo. Dyaambu didyo, me se nyaba nyasiila mutima, mu kudiyirika.
GAL.2.11	Ntaangu ya yisiri Kefa ku nsi ya Antyoke, me nyamutungukila ha kidziri, bukuri nde waba wayelemene kutaambula maseembu. 
GAL.2.12	Tekesele baatu bafumini kuri Yakobo batubuka, nde wadya ha kimosi na bahele kuba Bayudayo. Ngo baatu babo bamanaa kutubuka, nde wakoso nyutu na weki kweba luteke-luteke, mu kubata bakwesyaamisa nteendulu bubakala. 
GAL.2.13	Bayudayo bakaka se basalila bubwo kintwaari na nde. Barnaba se wayendekele mu kitukulu kya bo mu bumpitu-bumpyoongo. 
GAL.2.14	Kasi me monaana ti, bahele kwedyaatila kunsa ngwanwa ya Musamu Wamubwete, me nyaleele kuri Kefa ha busu bwa bobanso ti: «Mbuti ye Muyudayo, wahele kwedyaatila bunu Muyudayo kasi bunu muutu wahele kuba Muyudayo, lo dyaburi ye wutsiitsa kukwiikisa bahele kuba Bayudayo mu kuba na mbeelu Bayudayo?»
GAL.2.15	Beetuneenu twabutuka Bayudayo, twahele kufumuna mu kaanda dya bahele kuba Bayudayo, bangaa-masumu. 
GAL.2.16	Tuyaari se ti, muutu wahele kuba walulukusu mu biyiriki bya Mangisi, ngo mu kanyi mu Yesu Kiristo. Na beetu twasa kanyi mu Kiristo Yesu, mpisi heki tuba twalulukusu mu kanyi mu Kiristo, nkani ka mu biyiriki bya Mangisi ko, bukuri mu biyiriki bya Mangisi, lo kuri muutu ti mosi ko wuba walulukusu. 
GAL.2.17	Na mbuti heki mu kusaka kuba balulukusu mu Kiristo, tumonokini beetu-meene se, ti turi bangaa-masumu, buri lo Kiristo beeri kisari kya masumu? Pele, kuri ti bele ko. 
GAL.2.18	Mukwongo, mbuti heki, me nyeki bweese kutuunga bibyo bi nyiri nyatsyaamuna, lo me-meene nkitukiri musinini Mangisi. 
GAL.2.19	Mukwongo, mbuti mu mitariri Mangisi, lo me nyafwa mu Mangisi, mpisi heki me mba mwooyo mu Nzaambi. Me bayeki bankomono ha kuruwa kintwaari na Kiristo. 
GAL.2.20	Me nyiri mwooyo, ngo kari me ko, kasi Kiristo wuri mwooyo mu me. Mi nyikwemono me lumalu, mu kidziingu kya me mu muswinyi, me nyikwenata myo mu kanyi di nyiri na dyo mu Mwaana Nzaambi, wantya na wayekiri nyutu yaandi mu ntoono me. 
GAL.2.21	Me nyahele kulooso bweese bwa Nzaambi. Mukwongo, mbuti ndulukulu yiri mu ntoono Mangisi, lo Kiristo kwa buunu kari kafwiila.
GAL.3.1	Sa beenu bari Ngalatya bimpuumbulu! Na waluloko? Buri kari ha miisu mya beenu, bari bayirika kubaangula bunu bu bakomini Yesu Kiristo ha yulu kuruwa ko? 
GAL.3.2	Yaabiseenu me ntoono mosi: Mpeeve yi luri lwataambula, haho mu biyiriki bya mangisi, hoti mu ma luri lwayuka ma kanyi? 
GAL.3.3	Nkati ngwanwa ti beenu bimpuumbulu luri? Bu lwabaandikiri mu Mpeeve, ngo mu lumalu lweki manisa mu muswinyi? 
GAL.3.4	Buri momanso ma luri lwayika mamo mabuunu? Heki mbuti ngwanwa ti mabuunu! 
GAL.3.5	Wunde wuri mu kuluha Mpeeve, na wuri mu kweyirika bimaangu ha kakati dya beenu, haho mu biyiriki bya mangisi, hoti mu Maampu ma luri lwayuka ma kanyi?
GAL.3.6	Ngo bukuri Abalaami kasaana kanyi mu Nzaambi, mu didyo bari bamutaangula mamo bunu nsungumunu, 
GAL.3.7	lo yaabeenu ti, babo bari na kanyi ngo baala ba Abalaami. 
GAL.3.8	Matinu bu matekisiri kuyaaba, ti Nzaambi wululukisaana bahele kuba Bayudayo mu kanyi, matekisiri se kuyaabisa Musamu Wamubwete wumawu kuri Abalaami ti: «mu ye makaanda momanso sa maba masakumunu.» 
GAL.3.9	Mu kiteesu kikyo, baatu bari mu kanyi, bari basakumunu ha kimosi na Abalaami ngaa-kanyi. 
