MRK.1.1	Ine a kamkamna ana Wakak a Warwara o e Iesu Karisito, a Nat e God. 
MRK.14.2	La atongi mange, “Gong dala toli ana lotu, sakana a tarai lar arsakai.”
MRK.14.3	E Iesu kaning ot e Betani, ana rumai ane Saimon, esaning lanigo i kurah ana lepra. Kaning ot i hangan, ning a hane i hanot teteki taum ana koto na tomtobo ning di atongi mang a nad. I ngangaten, pa kaning ana koto di toli ana hat. I pagal sen a matana koto, pa i peki ana pukul e Iesu. 
MRK.14.4	Dingla na tarai ning la kes tingia, la balakut pa la awara artalai mange, “Sur asa ning di amus oros ka a tomtobo ne? 
MRK.14.5	I toh pasi sur dir siurani, pa dir kubas a mani i arlar lar a arlou ana ning a rau ning di titol pasi, sur dir tabar a kapan a taraila ono.” Pa la balakut a hane ning.
MRK.14.6	E Iesu i atai la mange, “Mulo noreni. Sur asa mulo atapunuki? I ka tol tar a wakak a toltol hok. 
MRK.14.7	A kapan na tarai la laun taum ot o mulo. Ning mulo mang sur mulor awakak la, mulor toli ka. Ika iau bel ar kes tikin taum o mulo. 
MRK.14.8	I ka tolsot pas a utna ning i toh pasi sur ir toli. I pek tar a tomtobo ana palaok sur ir sang nigon iau sur anuk a pukakiar na minat. 
MRK.14.9	A atong momoli ta mulo, ting ana rakrakan hanua rop, ning dir warawai ana Wakak a Warwara, dir warwara otleng ana utna ne a hane ka tol tari hok, sur a risana ir tur na akinalang.”
MRK.14.10	E Judas Iskariot, takai tagun a ning a bonot pa pisir naur a kakak a asasaerla, i han tetek a leklek na tena artabarla tetek e God, sur ir tuam tar e Iesu tetek la. 
MRK.14.11	Ning la longori, la gas, pa la lele sur lar lowi. Pa e Judas i nuknuk sur ta ngas ning ir tuam tar e Iesu onoi.
MRK.14.12	Ana ningnigo na pukakiar ana lotu na bret ning bel ta is ono, ning di sira umkol a natnatara sipsip onoi sur a lotu na Han Lakai, a kakak a asasaerla ane Iesu la dekeni, “U mang sur milar han utaha, sur milar sang pas a utna na hangan sur u ana lotu na Han Lakai?” 
MRK.14.13	I sune sen naur tagun anuna kakak a asasaerla, pa i atai diau mange, “Mur kas usaot e Jerusalem. Pa ning a barsan i los a tnan koto na malum, ir songo mu, pa mur muri. 
MRK.14.14	Ning ir kas ana ta rumai, mur atai a tamana rumai mange, ‘A Tena Asaer i atongi mang: Kanaha a tuka rumai ning mila taum ana nuk a kakak a asasaerla, milar ien a utna na hangan na Han Lakai ano?’ 
MRK.14.15	Pa ir asangan tar mu ana tnan tuka rumai tisaot, ning di ka sang tari, pa mur sang a utna na hangan ano.” 
MRK.14.16	Naura kaklik asasaer dia han usaot e Jerusalem, pa dia pastetek rop ot a ututnala ning e Iesu i atong tari tan diau. Pa dia sang a utna na hangan na Han Lakai.
MRK.14.17	Ning a rah ma, e Iesu taum ana nuna ning a bonot pa pisir naur a kakak a asasaer la hanot. 
MRK.14.18	Kaning ot la hangan, i atongi mange, “A atong momoli ta mulo, ning a halim mulo ir tuam tar iau, takai ot tagun mulo ne dala hangan taum.”
MRK.14.19	La balmamahat, pa la rop taktakai la dekeni mange, “Belsur iau ngadek?” 
MRK.14.20	Pa e Iesu i keles la mange, “Takai tagun mulo ot ning a bonot pa pisir naur, ning mia amurung amia naur a bret taum ana dis. 
MRK.14.21	A Nat a Barsan ir hirua larning di ka tumus tari ana Buk Tabu. Ika ir laulau kol tetek a barsan ning ir tuam tari. Ir wakak kol ning bel di agon tari sur gong i kilang a kankan ana warkurai.”
MRK.14.22	Kaning ot la hangan, e Iesu i los pas a bret, i atong wakak pas onoi, i kibiki, pa i tabar anuna kakak a asasaerla ono. I atongi mang, “Mulor kubasi, ine a palaok.” 
MRK.14.23	Lamur i los pas a kap, i atong wakak pas onoi, i sarani tan la, pa la rop la hisop taguni. 
MRK.14.24	I atai la, “Ine a sulukik, a kunubus i dat taum tar e God pa taraila. A sulukik ne i tapek sur a galis. 
MRK.14.25	A atong momoli ta mulo mang, belar hisop ulak ta wain, tuk ning ar hisop a tona wain ting na matanitu ane God.”
MRK.14.26	Pa la saken pas ning a saksak a lotu, pa la purum usaot ana Mangir na Oliw.
MRK.14.27	E Iesu i atai la mange, “Mulo rop mulor han pas kusun iau, larning di ka tumus tari ana Buk Tabu mang,
MRK.14.27	E God i atongi mange, ‘Ar umkol a tena tai alar a sipsip,
MRK.14.27	pa a sipsipla lar liu sarara.’ 
MRK.14.28	Ika ning a ka kamtur ulak kusun a minat, ar nigo utumo e Galili.”
MRK.14.29	E Pita i atai i mange, “Ning la rop lar han kusun u, iau bel.” 
MRK.14.30	E Iesu i atai i mange, “A atong momoli tam, onone ana morom, ning a kok belot ir areur a kurkurirakuk, ur munatol na puai mang bel u tasman iau.” 
MRK.14.31	Ika e Pita i warwara rakrakai teteki mange, “Bel ar puai sen u. Madeki ar mat taum hom.” A kakak a asasaerla rop otleng la atongi manglarning.
MRK.14.32	E Iesu taum ana nuna kakak a asasaer la hanot ting ana ning a pukna di atongi e Getsemani, pa i atai la mange, “Mulor kes te, pa iau ar nunung pas.” 
MRK.14.33	Pa i ben e Pita, e Jems pa e Jon. Ana mahis a pukakiar ning i kilang a tnan balmamahat pa i nuknuk kol. 
MRK.14.34	I atai ditol mange, “A balmamahat ting na inguk i laulau kol, pa milau ar mat ono. Mutol ar kes ot te, pa mutol ar tai alar.”
MRK.14.35	I han siklik utisa, i punga tuntudu ting lapiu, pa i nunung sur a mahis a pukakiar na mamahat ir han lakai, ngadek ning ir wakak manglarning. 
MRK.14.36	I nunung mange, “Tata, Tata, a ututnala rop i toh pas u sur ur toli, ur kepsen a mamahat a kap ne kusun iau. Ika gong u mur a nuknukik, ur mur ot a nuknukim.”
MRK.14.37	Ning i ulak, i oroi ditol ka borbor duman. I deken e Pita mange, “Saimon, kaning ot u borbor duman? Bel ur tolsot sur ur tai alar ana tik ta mahis a pukakiar ka? 
MRK.14.38	Mutol ar tai alar, pa mutol ar nunung, sur gong mutol punga ana larlarla. A ingumutol i mang sur ir longor, ika a palaomutol i ngol.”
MRK.14.39	Pa i han, pa i nunung ulak ana nunung ning ka atong tari kabah. 
MRK.14.40	Ning i ulak, i oroi ditol ka borbor duman kale, anasa a matanditol i sulam kol. Bel ditol tasman asa ning ditol ar kelesi ono. 
MRK.14.41	Ning i aretol a tinan anunai tetek ditol, i atongi mange, “Mutol ar borbor liklik kama? I sot ka! A tuka pukakiar ka hanot. Oroi, di ka tuam tar a Nat a Barsan ting ana kuna tena laulaula. 
MRK.14.42	Mutol tur, dalar han! Oroi, a barsan ning ir tuam iau imaine.”
MRK.14.43	Kaning ot e Iesu i warwara, e Judas, ning tagun a ning a bonot pa pisir naur a kakak a asasaerla, i hanot taum ana kunum a taraila. La los a liwanla na harum taum ana puka buturla. A leklek na tena artabarla tetek e God, taum ana tena asaerla tagun a Warkurai pa a ningnigola la sune la. 
MRK.14.44	Esaning ir tuam tar e Iesu ka atai nigon tar a kunum a tarai ana akinalang ning ir toli o e Iesu mange, “Esining ar goro i, i ot ning. Mulor tong akes pasi, mulor ben maskan pasi pa mulor tai alar wakaki.”
MRK.14.45	Pa e Judas i han kapit tetek e Iesu, pa i atai i mange, “Tena Asaer!” Pa i goro i. 
MRK.14.46	A tarai la dat pas e Iesu pa la tong akesi.
MRK.14.47	A halinla ning i tur milau, i lasur pas anuna liwan na harum, pa i umsem a talngana tena longor anuna ningnigo na tena artabar tetek e God. 
MRK.14.48	Pa e Iesu i atai la mang, “Mangmangasa, ngadek iau a tnan tena harum pa kinkinau, pa ne mulo hanot taum ana liwanla na harum pa a puka buturla sur mulor tong akes iau? 
MRK.14.49	Ana pukakiarla rop dala kes taum ana rumai a artabar, a sira asaer a taraila, pa bel mulo tong akes iau. Ika di toli larne sur dir tolsot pas a warwara ting na Buk Tabu.” 
MRK.14.50	Pa a kakak a asasaerla rop la liu pas kusuni.
MRK.14.51	Ning a barman, i mermer pas ka ana kaen, i mur e Iesu. La tong akes pasi, 
MRK.14.52	i migen sen anuna kaen, pa i liu mengere kama.
MRK.14.53	La ben pas e Iesu tetek a ningnigo na tena artabar tetek e God. Pa a leklek na tena artabarla rop tetek e God, a ningnigola, taum ana tena asaerla tagun a Warkurai la hanot taum tingia. 
MRK.14.54	E Pita i mur amon e Iesu, ika i bakbak ot, pa i kas ting na pukna anuna ningnigo na tena artabar tetek e God. Pa i marnan a iah taum ana tena tai alarla.
MRK.14.55	A leklek na tena artabarla tetek e God, taum ana tarai a kiwung rop la tai sur ta rongo ning e Iesu ka tol tari, sur lar tiwi ono, pa lar umkoli, ika bel la tai pas ta utna. 
MRK.14.56	A galis la atong a asasongo na warwara o e Iesu, ika anunla na warwara bel i han taum. 
MRK.14.57	Dingla na tarai la tur pa la atong a asasongo na warwara o e Iesu mange, 
MRK.14.58	“Mila longori i atongi mange, ‘Ar regen sen a rumai a artabar ne ning a tarai la toli, pa ana natol a pukakiar ka ar tol pas tik ning bel a tarai la toli.’” 
MRK.14.59	Ika anunla na warwara otleng bel i han taum.
MRK.14.60	A ningnigo na tena artabar tetek e God i tur salanigo tan la, pa i deken e Iesu mange, “I mangasa, bel ur keles a warwarala na artitiu ne tetek u?” 
MRK.14.61	Ika e Iesu bel i warwara. A tena artabar ne i deken ulaki mange, “U a Karisito, a Nat e God, ning i ngis, o bel?” 
MRK.14.62	E Iesu i kelesi mange, “Iau ot ning, pa lamur mulor oroi a Nat a Barsan ir kes ana ris a sot a kuna e God, ning i rakrakai kol, pa ir hanot ana laukap misaot na langit.”
MRK.14.63	A ningnigo na tena artabar i dat silir anuna kaen ot, pa i atongi mange, “Dala mang ulak sur ta warwara na artitiu sur asa? 
MRK.14.64	Mulo ka longor tar anuna na warwara laulau o e God. Asa mulo nuki?” Pa la rop la malmaling sur dir umkol e Iesu. 
MRK.14.65	Dingla na tarai tagun la, la namsan e Iesu, la poroi alar tar a matana, la tubuli pa la atai i mange, “U a propet, atai mila, esining i tubul u!” A tena tai alarla la ben pasi pa la umi.
MRK.14.66	Ning e Pita kanumot lapiu ana rumai, ning a hane, a tena titol anuna ningnigo na tena artabar tetek e God i hanot. 
MRK.14.67	Ning i oroi e Pita kaning i marmarim, i ngoson rakrakai i, pa i atai i mange, “U otleng u keskes taum o e Iesu a te Nasaret.” 
MRK.14.68	Ika i puai mange, “Bel a tasman asa ning u warwara ono, pa bel a talapor ono.” Pa i purum utumo ana taman na woroh. Pa a kok i kurkurirakuk kakat. 
MRK.14.69	A hane ning i oroi ulak pasi, pa i atai la ning la tur tingia mange, “A barsan ne i otleng takai tagun la.” 
MRK.14.70	E Pita i puai ulak.
MRK.14.70	Lamur siklik, la ning la tur milau e Pita, la atai i mange, “A momolna ot, u otleng takai tagun la, anasa u a te Galili.” 
MRK.14.71	Pa i lele tetek la, i atongi mange, “E God ir warkurai laulau iau ning ar asongo. Bel a tasman a barsan ning mulo warwara ono.” 
MRK.14.72	Pa a kok i munaur na kurkurirakuk kakat. Pa e Pita i nuk pas a warwara ning e Iesu ka atong tari tana mange, “Ning a kok belot ir areur a kurkurirakuk, ur munatol na puai mang bel u tasman iau.” I nuk pasi pa i tangis kol.
MRK.15.1	Kabakiar kobot ning ot, a leklek na tena artabarla tetek e God, a ningnigola, pa a tena asaerla tagun a Warkurai taum ana tarai a kiwung rop, la warwara taum. La dot pas naur a kuna e Iesu, la ben pasi pa la saran tari ta e Pailat. 
MRK.15.2	E Pailat i dekeni mange, “U a King anuna tarai Juda?” Pa e Iesu i kelesi mange, “Lar ot ning u ka atongi.” 
MRK.15.3	A leklek na tena artabarla tetek e God la tiu e Iesu ana galis a utna. 
MRK.15.4	E Pailat i deken ulaki mange, “Bel anum ta warwara na arkeles? Oroi, a galis a utna kol la tiu u ono.” 
MRK.15.5	Ika e Iesu bel i kelesi ana ta warwara, pa e Pailat i kulkulan.
MRK.15.6	Ana lotula rop na Han Lakai, e Pailat i sira pak sen ta mainla ning i dodot ning a tarai la nunung suri. 
MRK.15.7	Ning a barsan a risana e Barabas i kes ana rumai dodot. A halinla ning la harum taum ana matanitu, pa la umkol a taraila ana arsakai. 
MRK.15.8	Ning a kunum a tarai la hanot tetek e Pailat, la nunungi mang ir pak sen ulak ta mainla ning i dodot. 
MRK.15.9	Pa e Pailat i deken la mange, “Mulo mang sur ar pak sen a ‘king anuna tarai Juda’ tetek mulo?” 
MRK.15.10	I atongi manglarne anasa ka tasmani mang a leklek na tena artabarla tetek e God la saran tar e Iesu teteki ana nuknuk laulau. 
MRK.15.11	Ika a leklek na tena artabarla tetek e God la angongos a kunum a tarai sur lar nunung e Pailat sur ir pak sen tar e Barabas tetek la. 
MRK.15.12	E Pailat i deken ulak la mange, “Asa ning ar toli o esane ning mulo atongi mang a king anuna tarai Juda?” 
MRK.15.13	Pa la kukuk rakrakai mange, “Sai ahati ana rakai kutus!” 
MRK.15.14	E Pailat i deke mang, “Sur asa? Esi na rongo ning ka tol tari?” Ika la kukuk rakrakai ka mange, “Sai ahati ana rakai kutus!” 
MRK.15.15	E Pailat i mang sur ir agasgas a taraila, pa i pak sen e Barabas tetek la. Ning di ka dapis tar e Iesu, e Pailat i saran seni sur lar sai ahati ana rakai kutus.
MRK.15.16	A tarai a harum la ben e Iesu utisaui ana woroh ana tnan rumai anuna ningnigo, pa la kabah arop pas a kunum a tarai a harum. 
MRK.15.17	La apipis tari ana kubar a kaen, la gonoi pas a inau ning a suksukna pa la sua tari ana pukulna arlar ana kukuh anuna king.
MRK.15.18	Pa la turpas a arkabah teteki mange, “U a king anuna tarai Juda!” 
MRK.15.19	La dapis a pukulna ana rakai, la namsani, la kes ana bokona hanla pa la saran a hanrawai teteki. 
MRK.15.20	Ning la ka morot pas onoi, la paksen a kubar a kaen kusuni. La apipis ulaki taum ana nuna kaenla, pa la ben purumi sur dir sai ahati ana rakai kutus.
MRK.15.21	Ting na ngas a tena harumla la pastetek pas ning a barsan a risana e Saimon, a te Sairini, e tamana e Aleksander pa e Rupus, i han kusun ning a hanua sur ir han usaot e Jerusalem. La angongosi sur ir los a rakai kutus ane Iesu.
MRK.15.22	La ben e Iesu sur a pukna ning di atongi e Golgata, a kamkamna “Pukna na Lasana Pukulna.” 
MRK.15.23	La saran a wain tana, ning di sua taumi ana mira, ika bel i hisopi. 
MRK.15.24	La sai ahat tari ana rakai kutus. La asauran pas anuna na kaenla ana pilai laki, sur esi on la ir los ta kaen.
MRK.15.25	La sai ahati ana rakai kutus ana sihuk a mahis a kamis ana kobot. 
MRK.15.26	La tumus a warwara na artitiu onoi saot ana rakai kutus manglarne,
MRK.15.26	“
MRK.15.27+MRK.15.28	La sai ahat otleng naur a tena kinkinau taum ono ana naur a rakai kutus, takai ana sot a kuna, pa takai ana kair.
MRK.15.29	Pa la ning la han bolos e Iesu, la hanani pa la halalen pukulunla teteki. Pa la atongi mange, “U ma ning u atongi mang ur regen sen a rumai a artabar, pa ur tol ulak pasi ana natol a pukakiar, 
MRK.15.30	purum kusun a rakai kutus pa ur alaun u.” 
MRK.15.31	A leklek na tena artabarla tetek e God taum ana tena asaerla tagun a Warkurai la otleng la morot o e Iesu. La awara artalai tan la mange, “I alaun pas a taraila masik, ika i ot bel ir alaun lar pasi. 
MRK.15.32	Ning i a Karisito, a King anuna tarai Israel, ono otne ir purum kusun a rakai kutus, sur dalar oroi, pa dalar tortorot onoi.” Pa diau otleng, ning di sai ahat tar diau ana naur a rakai kutus ting na pirna, dia hanani.
MRK.15.33	Ana mahis a kamis tostos, a hanhanua rop i mormorom tuk ana natola mahis a kamis ana rah. 
MRK.15.34	Ana natola matanakamis ana rah ning, e Iesu i kukuk rakrakai mange, “Eloi, Eloi, lema sabakatani?” A kamkam a warwara ne i manglarne, “Anuk a God, anuk a God, i mangasa ning u han kusun iau?” 
MRK.15.35	Dingla na tarai ning la tur milau, la longori pa la atongi mange, “Longori, i arkabah sur e Elaija.” 
MRK.15.36	Ning a barsan i dun pa i los pas ning a utna i sira dop akes a malum. I amurung pasi ana wain ning i nginngin, i sua i ana rakai pa i tuslani usaot sur e Iesu ir hisop. Pa i atai la mange, “Nanani, dalar oroi, sur ning e Elaija ir hanot sur ir los purum pasi kusun a rakai kutus, o bel.” 
MRK.15.37	E Iesu i kukuk rakrakai pas, pa i sua sen a malwasna.
MRK.15.38	A kaen na babat kutus tingui na rumai a artabar i taradak potor, turpasi misaot tuk tumot lahin. 
MRK.15.39	A ningnigo anuna tena harumla i tur salanigo ta e Iesu, i longor e Iesu i kukuk, pa i oroi a ngas a minat anunai, pa i atongi mange, “I momol ot, a barsan ne a Nat e God.”
MRK.15.40	Dingla na gurarala otleng la ororoi miting na bakbak. Ting na arpotor inla, e Maria Magdalen, pa e Salome pa e Maria otleng tana e Josep pa e Jems a barman. 
MRK.15.41	Ditol ne ditol murmur e Iesu ning i kes Galili, pa ditol sira nangani. Pa a galis a gurarala otleng, ning la han taum onoi usaot e Jerusalem, la kes tingia.
MRK.15.42+MRK.15.43	Ning a barsan a risana e Iosep, a te Arimatea, takai tagun a tarai a kiwung, a tnan barsan ning a tarai la hanrawai i, i arnanai sur a matanitu ane God. Ning a rah ma ana pukakiar asang, a pukakiar lanigo ana Pukakiar Sabat, i han tetek e Pailat, bel i matmataut, pa i nunung sur a minat e Iesu. 
MRK.15.44	E Pailat i kulkulan ning i longori mang e Iesu ka mat. I kabah pas a ningnigo anuna tena harumla, i dekeni mange, “E Iesu ka mat?” 
MRK.15.45	Ning ka mananos pas tana ningnigo ne, i malmaling sen a minat e Iesu tetek e Iosep. 
MRK.15.46	E Josep i lou pas a wakak a kaen, i los purum pas e Iesu, pa i poroi pasi ana kaen ning. Lamur i akas tari ana kulam a minat, ning di ka kot tari ana ris a hat, pa i lingir alar a taman ana kulam a minat taum ana tnan hat. 
MRK.15.47	E Maria Magdalen pa e Maria, tana e Josep, dia oroi a pukna ning di aborbor e Iesu ono.
MRK.16.1	Ning a Pukakiar Sabat ka rop, e Maria Magdalen, pa e Maria tana e Jems, pa e Salome ditol lou pas a ututnala ning i tomtobo sur ditol ar atomtobo a minat e Iesu ono. 
MRK.16.2	Ana kobot ning ot ana ningnigo na pukakiar ana wik, ditol han sur a kulam a minat. 
MRK.16.3	Ning ditol han amon ditol deken artalai ditol, “Esi ma ir nangan datol sur ir lingir sen a hat numo kusun a taman ana kulam a minat?” 
MRK.16.4	Ning ditol tai tostos utumo, ditol oroi mang di ka lingir sen a tnan hat ning. 
MRK.16.5	Ning ditol kas uting na kulam a minat, ditol oroi ning a barman, i kes tar ana sot a kunditol, i mermer taum ana kokok a kaen. Pa ditol matmataut.
MRK.16.6	I atai ditol mange, “Gong mutol matmataut. A tasmani mang mutol tai sur e Iesu a te Nasaret, esining di sai ahat tari ana rakai kutus. Belbel i ma te, ka laun ulak. Mutol oroi a pukna ne di aborbor tari ano. 
MRK.16.7	Mutol han, mutol ar atai anuna na kakak a asasaerla pa e Pita otleng mange, ‘E Iesu ir nigo utumo e Galili. Mulor oroi tumo, lar ot ning ka atai nigon tar mulo.’”
MRK.16.8	Pa ditol purum pa la dun kusun a kulam a minat taum ana nuknuk kol pa ditol koloron. Bel ditol atai tik ana ta warwara anasa ditol matmataut kol.
MRK.16.9	[Ning e Iesu ka laun ot ulak ana kobot ning ot ana ningnigo na pukakiar ana wik, i hanot tetek e Maria Magdalen, esining i kepsen dionomahis a mot kusuni. 
MRK.16.10	E Maria Magdalen i han pa i atai la ning la sira mur e Iesu, ning la balmamahat pa la tangis suri. 
MRK.16.11	Ning la longori mang e Iesu ka laun ulak pa e Maria ka oroi tari, bel la tortorot ono.
MRK.16.12	Lamur e Iesu i hanot tetek naur a kaklik asasaer ning dia han amon ana ngas. A palaona e Iesu i ries. 
MRK.16.13	Dia ulak, pa dia atai a kakak a asasaerla, ika bel la tortorot otleng on diau.
MRK.16.14	Lamur i hanot pas tetek ning a bonot pa pisir takai a kakak a asasaerla kaning la hangan. Pa i warwara rakrakai on la, anasa bel la tortorot, pa a balanla i rakrakai, pa bel la tortorot on la ning la ka oroi tari ning ka laun ulak. 
MRK.16.15	I atai la mange, “Mulor han uting na rakrakan hanua rop, pa mulor warawai ana Wakak a Warwara tetek a taraila rop. 
MRK.16.16	Esining i tortorot pa di baptaisi dir alauni. Ika esining bel i tortorot, God ir saran a rakrakai a warkurai teteki sur ir mat. 
MRK.16.17	A tena tortorotla lar tol a ututnala na kulkulan larne: Lar kepsen a motla ana risak, lar warwara ana urmatana tona warwara, 
MRK.16.18	lar tong a soila, pa ning lar hisop a malum laulau, bel ir alaulau la, pa lar sua a kunla ana tinsamanla, pa lar langolango.”
MRK.16.19	Ning a Leklek e Iesu ka warwara tar tan la, e God i rakan pasi usaot na langit, pa i kes ana sot a kuna. 
MRK.16.20	Anuna kakak a asasaer la han, pa la warawai ana hanhanua rop. Pa a Leklek i nangan la, pa i amomol tar anuna na warwara ana ututnala na kulkulan ning i han taum ono.]
