GEN.1.1	Ti kucangtsi ti Rimam mam apupwen ti riben, 
2CO.1.17	Ira yi ti ame myae ne, ko ani tang baa, ame na ku kafe kafe ti ukaen ahoo? Ko ame pangma unde ti utense ti ku ri baa, “Een” ti “Iyee” ti uwae kiye kinjo ahoo?
2CO.1.18	Iyee. Ame ku ben uben yi kubenti na ira unju Rimam baa, ira-ti ti ati ri te ni si-yi ira ti ku kafe kafe ahan be. 
2CO.1.19	Ikyaen ti, ira na Umbae Rimam, Yesu Kristi, ti ame ti Silivanu ti Timoti tsag te ni, si-yi ira ti u kafe kafe u nda unde kab uwae risu-yi be. Iyee. Uwog na Yesu, awu a ri ira, ayi tsikunn een. 
2CO.1.20	Ko unju ti yer Rimam a ko rimang, meme-yi u kumunn tag uwog Yesu Kristi. Ayine si iken ti nde nee, ati ku cwe baa, “Ayi ā si ahan” yi rinyi na Yesu, ama Rimam ku tu rurob atang. 
2CO.1.21	Ayi si Rimam ti nda ti, fa te ani meme, ati ti Kristi ren atso. Cwucwo ayi si sí awu Rimam ti tsab ti tsi, 
2CO.1.22	u taen ti iwaen ti ku tso baa, ati na si ana-wu. Awu nda ti Kusung-wu uwae riyaen utob-ti ikyaen ti ayi ā tso baa, itinyang-wu u ru ba kang risu-ti.
2CO.1.23	Ame kunn Rimam, awu ti u ri unju-m. Kiye ti ame ru ba myae ira baa, ame na u ba-m Korinti cwucwo be, i si ikyaen ti ame u ko si na ni rikaen. 
2CO.1.24	Ira ti ame ri ne tatso-yi baa, ati na ku tso ni kuko uwae fengo Rimam be. Ati nung pu ti baa, ani tsi pu ni ting ting uwae fengo Rimam. Ana-ti, ati ku sha ti ti te ni na u nde wande tetso ikyaen ti ni na tu utob ti tsen.
2CO.2.1	Ikyaen yine, ame sa tsi baa, ame na u nda-m ani rikaen ti itiba-m uwog-ni cwucwo be. 
2CO.2.2	Asiti ame a ndembeb ni utob, aye ti u ri jim m utob cwucwo? Ayi si sí ani ande ti ame ndembeb ni utob a. 
2CO.2.3	Ayine si iken ti nde nee ame bae na ni kutsingken wu. Kiye wu, ame ku sha-m ti ame na u ru ba tu ni uwe ti uwe u ndembeb utob risu-ni be, ani ande ti ayi si sí ani ti pang ti ni ri jim me utob. Ame sa utob-m tsi baa, utob ti tsen-m u nda ni utob ti tsen ama. 
2CO.2.4	Kutsingken ti ame bae na ni kucang, ame bae wu ti ijwe ti fwer ti utob ti ndembeb ka ti aten ayib ti ten. Ame bae yi ikyaen ti ni na nung baa, ame na site ure te ni uwae utob-m jang timambe, si-yi ti ame na u ndembeb ni utob be.
2CO.2.5	Unde wu ti raen ira, ame u nde tu ti m ri baa, ayi caeb-yi ame amam be, awu nde ku caeb ni meme. 
2CO.2.6	Tine ama upae ti ariki yang-ba akwen uwae-ni yer na wu pang pu yi. 
2CO.2.7	Ikyaen na yine, i nyang skeb ti ni yata na wu ikentitibi-wu, u ri bom wu utob barabe utob ti byir u shir wu ru ti isim. 
2CO.2.8	Ame ku jwam ni ti ni tso wu baa, ani na site ure te wu pangma ti kucang. 
2CO.2.9	Ayine si iken ti nde ne ame bae na ni kutsingken-m ti kucang. Ame myae ni baa, ko ani ku nae risu riben ti iken ti ame ri te ni bara. 
2CO.2.10	Kiye ti ani a yata na unde iki ikentitibi-wu, ame yata na wu ama. Ama asiti ame a ya ta na unde iki, ko ayi a si ira imi, ame nde yi ikyaen-ni, yi uwe Yesu Kristi, 
2CO.2.11	ikyaen ti Shetann ā ci-wu rika risu-ti be. Ati nung pu ti itsab ti ana-wu.
2CO.2.12	Kiye ti ame ba uten Turowas ti ame u ba ya iskin ira Kristi, ame nung baa, Itsekuru na mbubta na pu wu ame fengo ti ame u nde wande na-wu atang. 
2CO.2.13	Amaa utob-m nae-wu riben be, ikyaen ti ame tu-m inja-ti Titus be. Ikyaen yine ame nwunn u ya ba ta u ru yi Makedoniya.
2CO.2.14	Ati fxaefa te Rimam! Yi uwae wande na Kristi, awu ci pu wu rika, awu Rimam ti ku tae ti putsa ukwe rika-ti, Yesu Kristi, u nda ti ati te wu ku kam ashwu te atso. Cwucwo, yi kujwo wande ti ana-ti, Rimam ku nda ande ti ko aka patag nung ira Yesu pangma kuyang iken ti ku shag kyi fe uwog meme. 
2CO.2.15	Kubenti, ati pangma iken ti ku nung kuyang ti Kristi ku ten na Rimam. Kuyang-yi ku ru ka tu ande ti tu itinwangru fa ti ande ti ta unju iticwu. 
2CO.2.16	Uwog ande ti ku cwucwu, ira Yesu si kurwa na iken ti cwucwu u ku shir iticwu ba. Amaa, uwog ande ti ku nwangruru, ayi si iken ti ku nung kuyang ti tinyang u ku nda ande unyang tishe. Aye ti u nde tu wande na atom Yesu yine? 
2CO.2.17	Ati si-ti pangma ariki ti kyang ku jaebci ti ira Rimam be. Ana-ti, ati si ana Kristi. Ati ku ri ira-ti uwae kubenti uwe Rimam ikyaen ti awu ti tom ti baa, ati na nde wande yine.
2CO.3.1	Ira ti ame ri ne, ati ku teb risu-ti a? Ariki ku ri baa, se a ri nyang rinyi unde uwae kutsingken titawe aba u cwe ira-wu. Ira-ti te ni si-yi ahan be. Ati ku sha-ti itso kutsingken wune risu-ni be. Ani ama ku sha-ni itso kutsingken wune risu-ti be. 
2CO.3.2	Ani ti risu-ni ti si kutsingken-ti ti ati sa bae si uwae riyaen utob-ti, ikyaen ti ande meme na sae u nùng putsa. 
2CO.3.3	Ani ti risu-ni ti si kutsingken ti ru uwog Kristi ba, ti si kujwo wande-ti ti ti nde. Ira yi ama, a bae-ba yi te rikàen ti a ku bae iken atang be. A bae yi te Kusung Rimam ti tsi kukunn. A bae-ba yi risu kupám be, a bae yi riyaen utob ande.
2CO.3.4	Ati tsi ting ting uwae ira yine ikyaen ti, ati sa ijwe-ti konje uwog Rimam uwae kujwo wande na Kristi. 
2CO.3.5	Ati ti risu-ti u nde tu-ti iken iki be. Ati u nde tu-ti wande iki ti ribom ijwe-ti be. Rimam amam ti nda ti, ati nde tu iken. 
2CO.3.6	Awu ti nda ti kuko ti ti na si apyi na unju ti yer ti tishe ti awu sa ba. Unju ti yer tishe yine si-yi icwe iki ti ukaen amam ti ande iki bae uwae kutsingken be, ayi si iken na Kusung Rimam. Icwe yi ti a bae tsi kucang, ayi shir iticwu ba risu ande, iken ti Kusung Rimam shir ba na ande si unyang.
2CO.3.7	Itimyae ti Rimam myae yi fengo na icwe ti a bae ijwe kutxom, ayi shir iticwu ru ba. Ko ti ayi si ahan, Rimam tatso kuko-wu atang u nda kutxuwe Musa tsen u ku jijaen ku wur wur ka sang ti ande ti Isirela sae tu-ba yi te ayib be, ko ti uwog ti saen kyag wu yag ku ti ta. Itimyae ti kucang yi ti shir iticwu ba né, ayi ru ba ti kuko Rimam. 
2CO.3.8	Itimyae ti Kusung Rimam u sa ba uwe ike, u site-yi te kuko siskeb be a. 
2CO.3.9	Itimyae na Rimam ti kucang ti a ku pwen ande rikwén iticwu atang ku tso kuko na Rimam. Itimyae tishe ti Rimam ku pwen ande rikwén ti tinyang atang u ba tso kang kuko Rimam skeb kyi-yi ayi ti kucang be a. 
2CO.3.10	Kubenti, riyinn na itimyae ti kucang, ti kuko-wu, si-yi iken iki uwog-ti cwucwo be ikyaen ti, itimyae tishe skeb yi te kuko ti riyinn. 
2CO.3.11	Itimyae ti kucang, ti tsi-yi tsi be u wur ru, site riyinn na Rimam. Itimyae ti u tsi kukunn u site kang riyinn na Rimam skeb kyi ti kucang yang-yi akwen cwucwo.
2CO.3.12	Ti ati site itso iken yine ti ati sa uwae tsi atang, ati ku tsi uwe ande u ku wae-ti rukwae be ko tikiyib. 
2CO.3.13	Ati ku tam-ti uwe-ti pangma ti Musa nde be. Awu pu kutupwa takyi kutxuwe-wu ikyaen ti ande ti Isirela na nung-ba itisaen kyag yi kiye ti ayi ku yagtita be.
2CO.3.14	Kubenti, utob-ba kwenkyi pu yi. Ba ku kwer ti yaka ne, kiye ti aba a sae ayib si uwae ira risu unju ti yer titikyi, kutupwa wune ta ti atang. Awu u mbubta-wu be ama. Ikyaen ti, ayi si Kristi amam ti ku ye ra wu ru. 
2CO.3.15	Ko yaka ne ma, kiye ti ande bane a sae ayib si uwae kutsingken na Icwe, kutupwa wu bur kyi riyaen utob-ba. 
2CO.3.16	Amaa, kiye ti unde a kafe uwe tag Itsekuru, kutupwa wune u yagta. 
2CO.3.17	Ira risu “Itsekuru” ti a bae ne, si Kusung. Ama uwog ti Kusung Itsekuru a ta atang, ande u tu itisaenta. 
2CO.3.18	Meme-ti tine, kutupwa takyi-yi uwe-ti be. Ikyaen na yine uwe-ti si pangma iken ti ku sae ayib ti ande ku sae uwog ti saen kyag na rurob Rimam atang. Ati ti risu-ti, rurob Rimam wune ku nda ti kafe pangma awu Rimam, u ku nda ti riyinn ti ko ku fufa ru ku fife yi uwe. Ayine si wande na awu Itsekuru-ti, awu ti si Kusung Rimam wu.
2CO.4.1	Ati u yer-ti anying utob be, ikyaen ti, Rimam ti risu-wu nda ti wande yine uwae ayibrisi-wu. 
2CO.4.2	Uwae wande-ti yine, ati ku nde-ti itsab ti kitam be. Ati pyir pu ti itso iken ti ku wae rukwae yine. Ati ku kyaefa-ti unde iki be. Cwucwo ati ku yer-ti itikong uwae ira Rimam ti ati ku ri be. Ati ku som usom ti kubenti uwe ande meme u ku ri ira te ba paenine uwe Rimam, ikyaen ti unde titini ā nung kubenti na ira yi ti ajwo-wu. 
2CO.4.3	Asiti ira Rimam ti ati ku ri na si pangma a na burkyi yi kyi, kubenti, a burkyi yi nyáng uwog ande ti ta fengo iticwu. 
2CO.4.4	Aba si ande ti ru-ba uwae kinjo be, ikyaen ti, Shetann ukwe utense wune byi kyi pu wu utob-ba, ikyaen ti aba ā nung-ba uwog ti paenine ti ku ba uwog-ba be. Uwog ti saen kyag ne si Ira Tinyang risu Yesu Kristi, awu ti site kuko, ku tso ti itso unde ti Rimam tsi. 
2CO.4.5	Ira yi ti ati kyang ku ri te ande si-yi ira-ti be. Ayi si ira risu Yesu Kristi wu ti ati ku ri baa, awu na si Itsekuru-ti. Ati ama si anyisu afxen-ni ikyaen na Yesu. 
2CO.4.6	Ti kute, Rimam ri baa, “Uwog ti paenine ā ruye uwae kufub.” Si sí awu ti nda pu wu ati uwog ti sisaen uwae riyaen utob-ti, ikyaen ti ati ama na u tso ande ti tsitsi kuko ti riyinn ti awu site, ayi kuko ti riyinn ti a ku nung yi kutxuwe Yesu Kristi.
2CO.4.7	Ati ande ti tu rifunn yine, ati pangma atutong ti tsi-yi tsi be ku mbumbub. Ayine si ikyaen ti ti na nung baa, kuko ti skeb titag ti ta uwae-ti ne na si ana Rimam, si-yi ana-ti be. 
2CO.4.8	Ati ku ngwa rikaen ko kiye titini, ati sa-ti uwae tika be. Kiye iki ati ku kab uwae, ati ku yer-ti anying utob be. 
2CO.4.9	Ande ku nda ti rikaen ti tsotso, amaa Rimam ya ti ta-wu be. Ko ti a byinn ti si riben, a wen-ba ati be. 
2CO.4.10	Ti ati a kyang ku ru, ayi pangma iticwu na Yesu ta uwae ijwe-ti ko kiye titini. Ayine si ikyaen ti ande ā nung baa, itiser Yesu na ta ijwe-ti ama. 
2CO.4.11	Ti ti ati tsi ti user uwae utense ike, ati ta unju iticwu ko kiye titini ikyaen ira Yesu. Ayine si ikyaen ti ande ā nung itiser ti ana-wu uwae ijwe-ti yine ti u wur ru ru. 
2CO.4.12	Nee iken ti nde, uwog-ti, ati ta unju iticwu ikyaen ti ani na tu unyang.
2CO.4.13	A bae uwae Kutsingken Rimam baa, “Ame ru uwae kinjo, nee iken ti nde ame ri ira.” Ati ama sa ijwe-ti konje uwog Rimam pangma ti awu nde. Ati ama ku ri ira ikyaen ti ati ru kubenti. 
2CO.4.14	Ati nung pu ti baa, pangma ti Rimam kunn nwunn Itsekuru-ti Yesu uwae iticwu, awu u kunn nwunn ti ama te wu tetso. Awu u pu ti fa te ani meme ba byir ti uwog kinjo uwe-wu. 
2CO.4.15	Iken yine meme si ikyaen-ni. Ti itinyang na Rimam kyang ku ba uwog ande ko ku fufa ru ku fife yi uwe, ande ti u nde na Rimam fxaefa ko ku fufa ru ku fife yi uwe ama. Rimam ku tu kuko atang ama.
2CO.4.16	Ikyaen yine, ati yer-ti anying utob be. Ko ti ati ku fxen ti kicaeb ijwe-ti, ati ku shishab ko usir titini uwae riyaen utob-ti. 
2CO.4.17	Rikaen ti pang ti ati ku ngwa utense ike u wur ru ti ritsen, amaa ikyaen-yi, ati u tu kuko ti riyinn ti itimyae-yi ta-yi be uwog Rimam apupwen, uwog ti ati u som kukunn atang. Riyinn yine, si-yi ti a u myae yi ti rikaen ti ati ku ngwa utense ike be. 
2CO.4.18	Ati sa uwae tsi-ti ijwe iken ti ande ku nung te ayib be. Uwae-ti tsi risu iken ti ande u sae tu-ba yi te ayib be. Iken ti ande ku sae te ayib ku yafife, iken ti ande ku sae tu-ba yi te ayib be ku yafe-yi fe ama be.
2CO.5.1	Ati nung baa, asiti ijwe-ti ayine na u twenji pangma afug ti ku kyaen sisi. Ama ati a cwu, Rimam u nda ti kusog tishe ti si-yi unde iki ti kyae be, si Rimam ti kyae te ajwo-wu. Asog-ti yine u tsi kukunn. 
2CO.5.2	Uwae utense ike ati ku jwub u ku sae ayib kiye ti Rimam u nda ti ijwe tishe, ti si kusog ti Rimam kyae tsika ikyaen-ti apupwen akwen. Ati ku sha ti wu u burkyi ti te wu pangma kutupwa, 
2CO.5.3	ikyaen ti kiye ti a burkyi pu ba ati te wu, ande ā nung-ba ati ti ribam be. 
2CO.5.4	Ti ti ati ta ti uwae ijwe-ti ayine, ayi si pangma ti usu ti rurob naetsa ti risu u ku nda ti jwub ira. Ayi si-yi ti ati ku sha ti ti sa ijwe-ti yine jwunn tika be, amaa ati ku sha ti Rimam na sa ijwe ti ana apupwen fen kyi ayi ti si ana utense ne, ikyaen ti unyang ti tsi kukunn ā ru ba fen kyi iticwu ti ta uwae ijwe-ti tine. 
2CO.5.5	Rimam ti risu-wu ti sa tsi baa, iken ayine na u ba tu ti, ama awu nda pu wu ati Kusung-wu ti ku tso baa, meme iken ti awu yer unju baa, awu na u nda ti, ati u tu kang yi.
2CO.5.6	Ikyaen yine ati tsi kunn ti ribom utob-ti ko kiye titini. Ati nung pu ti baa, kiye ti ati som usom uwae ijwe-ti na utense wune, ati ta riren te Itsekuru-ti. 
2CO.5.7	Ati ku kyang ikyi te uwae kinjo baa, awu na ta atang, si-yi ti ayib ti ati ku nung wu be. 
2CO.5.8	Ikyaen yine, ati ku bom utob. Ayi u nyang skeb uwog-ti ti ti u ya ijwe-ti yine ta u ru ka tu Itsekuru-ti uwae kuru-ti akwen. 
2CO.5.9	Ama, ko ti ati a ta utense ike ko apupwen akwen, ati ku kwab ti ti u nde iken ti nyang uwae-wu. 
2CO.5.10	Ikyaen ti, uwe ike meme-ti u tsi kang uwe Kristi. Awu u pwen ti rikwen. Unde titini u tu kujwojang-wu uwae wande ti tinyang ko wande titibi ti awu nde uwae utense ike.
2CO.5.11	Ayi si ikyaen ti ati site ikyenricwu Itsekuru-ti uwae utob-ti, né ati ku kwab ti ti u shir ande ba fengo Rimam. Rimam nungye pu wu iken ti ta utob-ti. Ame ku kab baa, uwae utob-ni, ani ama nungye utso ande ti ati si. 
2CO.5.12	Ira ti ame ku ri ne, si-yi ti ati na ku teb ijwe-ti uwog-ni be, ati ku kwab ti ti u nda ni riya ti ni na pam ipam ikyaen ira-ti. Ati ku sha ti ani na site ira ti ani u ri te ande ba ti ku ri ira te ni. Ana-ba, a ndub ijwe risu fengo ti unde ku kyae ijwe-wu, si-yi risu iken ti ta utob unde be. 
2CO.5.13	Asiti ani a ku kab baa, risu-ti na kafife, ira iki ta-yi be. Ayi si ikyaen kuko Rimam. Ama asiti ati a ku jwub-ti kijaen be, itinyang-yi si ikyaen-ni. 
2CO.5.14	Iken ti tsi ti uwae akwen si ure ti Kristi ye te ti. Ikyaen ti, ati ba nungye pu ti baa, awu kinjo-wu na cwu ricwu ikyaen ande meme. Ama kiye ti awu cwu, ande meme te wu cwu te atso. Ikyaen iticwu ana-wu meme ande na cwu ricwu yi ama. 
2CO.5.15	Awu cwu ti wu u nwangru ande meme, ikyaen ti ande ti som user ā som-ba ikyaen risu-ba amam cwucwo be, amaa, aba ā som usom-ba ikyaen na awu Itsekuru-ba, ikyaen ti, awu cwu a kunn nwunn wu uwae iticwu ikyaen-ba.
2CO.5.16	Ikyaen na yine, ati ku sae-ti unde iki pangma ti ande ti utense ku sae cwucwo be. Ko ti kucang ati sae Yesu Kristi te ayib na ande ti utense, ati ku nde-ti ahan cwucwo be. 
2CO.5.17	Asiti unde a si ana Kristi, awu kafe pu wu unde tishe. Iken titikyi wur ru pu yi, itishe ba pu yi. 
2CO.5.18	Iken yine meme ru uwog Rimam ba, awu ti sa ti ande ti ku ta rika te wu kafe ande ti ure-wu ikyaen wande na Kristi, u nda ti wande ti ti pu ande ti tsitsi ba uwog-wu. 
2CO.5.19	Ati ku ri te ba baa, yi uwae wande na Kristi, Rimam na nde fengo ti ande na kafe ande ti ure-wu. Awu ku pwen-wu ande rikwen kujwo wande-ba ti aba nde uwe-wu cwucwo be. Ama awu sa ira wande-wu ayine na ti kujwo baa, ati na kyang ku ri te ande.
2CO.5.20	Ikyaen na yine ati si ande ti tsi risu unju Yesu Kristi u ku ri ira te ni. Ayi si Rimam ti ku jwam ni ti ajwo-wu ruye yi uwae wande-ti. Ati ku jwam ni yi rinyi Yesu Kristi baa, ni ba kyaenyang usom-ni te Rimam. 
2CO.5.21	Ayi si ikyaen-ti ti Rimam sa Yesu Kristi tsi pangma awu na si unde ti nde ikentitibi, ko ti awu ndeji-wu ikentitibi be, ikyaen ti, yi uwae wande-wu, ati u si ande ti kubenti uwe Rimam.
2CO.6.1	Ikyaen yine, ati ti si ande ti ku nde wande te Rimam tetso, ati ku jwam ni baa, ti ani tu pu ni itinyang Rimam, ni sae ru-ni ayi baa, ayi na si ti ukaen uwog-ni be. 
2CO.6.2	Rimam ti risu-wu ri baa,
2CO.6.2	“Uwae kiye ti pang atang
2CO.6.2	ame fxen ira ti jwub-ni.
2CO.6.2	Uwae usir itinwangru
2CO.6.2	ame ru ba ndeya ni.”
2CO.6.2	Ame ku ri te ni baa, kiye ti pang atang wu si tine. Usir itinwangru wu si yaka ne.
2CO.6.3	Ati ku nde-ti iken ti u nda unde kyen kufxen uwae fengo Rimam be, ikyaen ti ande ā nung-ba ati te riraen u ye ira wande-ti ri ndembeb be. 
2CO.6.4	Ana-ti, ati ku kwab yi fengo meme ku tatso ande baa, ati na si apyi Rimam. Ati ku kwab yi fengo na utob ti ye ti ati tsi ku ye uwae rikaen ti tsotso. 
2CO.6.5	A byinn ti, u ye ti sang pursuna. Ande ti rinae tebshi ti. A nda ti wande ti skeb risu-ti. Ati skang ayib kucwag, rimenn nde ti.
2CO.6.6	Ati ku tatso ande yi fengo na usom ti som-ti ti saen kyag, u ku nde iken-ti te itinungye, ku ye utob te ande, ku nde itinyang na ande, uwae Kusung ti Saen Kyag, ama te ure ti kubenti. 
2CO.6.7	Ira ti ati kyang ku ri si kubenti, ama kuko na Rimam te ti ku nde wande tetso. Wande ti pang atang si isu rika-ti ti ati ye su kujwo rici ti kujwo ife ikyaen rika ti ta. 
2CO.6.8	Ati ku tu kuko uwog ande u ku tu ira ti unghae ama. Ande iki ku txun ti asu, ariki ku teb ti. Ande sa ti tsi pangma ande ti ku kyaefa ande, ama ati ku ri kubenti. 
2CO.6.9	Ande sae ti pangma ati na si-ti ande be, amaa, ande meme nung ti. Ati ta unju iticwu ko kiye titini, ama ati tsi user ti atang. Ko ti a ku byinn ti kimbab, a wen fob-ba ati be. 
2CO.6.10	Ko ti ati ku byir utob, ati ku tsen utob ku kam ashwu ko kiye titini. Ati sae ayib pangma ande ti rikaen, ama ati nda ande yang-ba tu rifunn. Ayi pangma ati na site-ti iken kujwo be, ama ati, uwae kubenti, ati munn ti rifunn.
2CO.6.11	Ani arwan-m ti ta Korinti, ati tam-ti ani ira iki be. Ati ku ri te ni iken ti ta utob-ti paenine. 
2CO.6.12	Ati kyangte pu ti ani te utob kinjo, se ani ti kyangte-ni ati te utob kinjo be. 
2CO.6.13	Tine ame ku ri ira te ni pangma ani na si anyisu-m. Ame ku jwam ni, ni kafe uwe tag ti pangma ti ati nde te ni.
2CO.6.14	Ni ren-ni risu te ande ti kufub uwae wande ti ti nde be. Ira tikong ti ira ti kubenti u som usom te atso a? Uwog ti saen kyag ti kufub u som usom te atso a. 
2CO.6.15	Imi ti ren Kristi ti Shetann? Imi ti unde ti ru-wu uwae kinjo be site ti awu u nde te unde ti ru uwae kinjo? 
2CO.6.16	Imi ti ren kusog Rimam te kufug apxin? Ati ande Rimam si kusog Rimam, awu Rimam ti si Rimam ti site unyang. Pangma ti awu ri baa,
2CO.6.16	“Ame u som usom te ba;
2CO.6.16	ame u kyang ikyin kutampwa-ba.
2CO.6.16	Ame u si Rimam-ba;
2CO.6.16	aba ama u si ande-m.”
2CO.6.17	Ikyaen yine Itsekuru-ti Rimam ri baa,
2CO.6.17	“Ni nwaen ruye risu-ni
2CO.6.17	kutampwa ande bane.
2CO.6.17	Ni ya ba ta!
2CO.6.17	Ni pu ajwo ye-ni
2CO.6.17	iken ti ku txi iyib be,
2CO.6.17	titawe ame u kyangte ni
2CO.6.17	uwog-m.
2CO.6.18	Ame u si Itse-ni,
2CO.6.18	ani ama u si anyisu-m
2CO.6.18	ti arom te ti anda.
2CO.6.18	Ayine si ira Itsekuru-ni Rimam ti kuko ti ri.”
2CO.7.1	Ande-m ti ayib ricwu-m ti Rimam yer unju yine meme te ti, ame ku jwam baa, ti na jwo saen ijwe-ti. Iken meme ti ku nda ijwe-ti ko utob-ti kafe iken ti ku txi iyib uwe Rimam, ti yi ta. Ti kwab ti ti si ande ti sisaen uwe Rimam ti ti som usom-ti uwae ikyenricwu-wu.
2CO.7.2	Ame ku jwam ni ande-m, ni kyangte ti uwae riyaen utob-ni. Ati raen-ti unde iki uwae-ni ira be, ati ndembeb-ti usom ti som unde iki be, ati ci-ti iken unde iki ti kufum be. 
2CO.7.3	Ame ku ri-m ira yine ti ame u tu ni ti riraen be, ikyaen ti, pangma ti ame ri te ni kucang, ani si ande ti ayib ricwu-ti. Ko ayi a si iticwu, ko itiser, ati te ni ta te atso. 
2CO.7.4	Ame ru kubenti uwog-ni ko timambe. Ame ku pam ipam risu-ni. Ko ti ati ta uwae rikaen, utob-m nae riben kushwur. Utob-m tsen porr.
2CO.7.5	Isim ti ati ru ka sang Makedoniya, ati pu ti unyang be, ko tikiyib. Rikaen ti tsotso ru ba tu ti. Ande ku fwan kibyag te ti yaka ti ucwe. Uwae utob-ti ama, se ikyenricwu. 
2CO.7.6	Amaa Rimam ku ri jim utob ande ti uwae-ba ndembembeb. Awu ri jim ti utob ama yi fengo na itiba na Titus. 
2CO.7.7	Ayi si-yi nyáng uwe Titus amam ti nda ti utob ti tsen be, ira ti awu ba ri te ti risu-ni tsen-ti utob ama. Awu ri tag te ti ira risu itso utob ti jim ti awu ti risu-wu tu uwog-ni. Awu ri te ti ira ure-ni ti jang ken tag risu-m. Awu ri te ti ira na uwae-ni ti ndembeb ikyaen usom ti som-ni te m. Awu ri te ti itso utob ure ti ani sa tsi risu-m u ku sae m te ayibrisi ikyaen iken ti ku tu m. Ayine nda m ame tsen utob skeb ti kucang.
2CO.7.8	Ko ti ame ndembeb ni utob uwae kutsingken ti ame bae ru ka ni kucang, ayi caeb-yi ame uwae ti ame bae yi be. Kubenti, isim ti ani tu yi, ayi caeb m uwae ikyaen ti ame nung baa, ayi ndembeb ni utob uwae kiye pang. 
2CO.7.9	Amaa, tine ame ku tsen utob. I si-yi ikyaen ti ame na ndembeb ni utob be, amaa, ikyaen ti utob ti ti ndembeb-ni nda ni kafe isim ta ikentitibi-ni. Utob ti ndembeb yine ru uwog Rimam ba, ikyaen yine, iken ti ati nde ne nde caeb-yi ani be. 
2CO.7.10	Itso utob ti ndembeb ti ru uwog Rimam ba ku nda unde kafe isim ta ikentitibi-wu u kafe ba uwog Rimam ti Rimam na nwangru wu. Unde u kab-wu uwae risu ayine be, amaa itso utob ti ndembeb ti ande ti nung-ba Yesu be ku nde, ayi ku shir iticwu ru ba risu-ba. 
2CO.7.11	Ande-m! Nung itso itinyang ti ru ba tu ni ikyaen utob ti ndembeb yine. Ayi nda ni ani sa utob-ni na iken na Rimam si-yi ti ti ri be. Ayi nda ni ani byir utob risu iken ti ani nde u ku kwab ti ni tso ande baa, ani na si ande ti kubenti. Ayi nda ni ikyenricwu. Ayi nda ni ani ku sae ayib itiba-m ti utob-ni meme. Ayi nda ni kwab timambe fengo Rimam. Ayi nda ni ani ku kwab ti ni kyae nyang riraen ti ariki nde. Uwae ira yine meme, ani tso baa, ani na nde-ni ikentitibi be.
2CO.7.12	Ikyaen na yine, ame ku kab baa, ko ti ame bae na ni kutsingken wune, ame bae-m awu ikyaen unde wu ti raen ira yi amam be. Ayi si-yi ikyaen unde wu ti a raen wu ira be ama. Ame bae wu ti ame u tatso ni paenine uwe Rimam itso ure ti ani site ikyaen-ti. 
2CO.7.13	Ayine si iken ti nda ti ribom utob. Si-yi ribom utob amam ti ati tu be. Ati tsen utob ikyaen utob ti tsen ti Titus tu uwae itindeya ti ani ndeya wu. Kubenti, ani sa utob-wu nae riben kushwur.
2CO.7.14	Ti kucang-yi ame pam ipam te wu risu-ni, ama ani nda-ni ame rikwae ti wae be. Ame ba nung tine baa, ijwe ti ati ndub uwe Titus risu ni, kumunn pu yi kubenti-yi, pangma ti ira meme ti ati ri te ni si pu yi kubenti. 
2CO.7.15	Tine, awu site ure te ni ti ko ku fufa ru fife yi uwe, ikyaen ti awu ku tangsom te fengo ti ani nae risu riben na wu, u nda wu rurob u fxen wu ti ikyenricwu. 
2CO.7.16	Ame ku tsen utob ikyaen ti, ame u nde tu ti m sa ijwe-m konje ni ko kiye titini.
2CO.8.1	Ameinja, ati ku sha ti ni na nung fengo ti ande na Yesu ti ta Makedoniya tu itinyang na Rimam. 
2CO.8.2	Aba ngwa rikaen ko timambe, amaa, utob ti tsen-ba ko shishag, ikyaen yine aba pu rinyangwae-ba ba ikyaen itindeya na ande iki, ko ti aba ti risu-ba si ande ti rikaen. 
2CO.8.3	Ame ku ri te ni kubenti, ande ti Makedoniya pu iken ba uwog Rimam ti utob-ba kinjo, unde iki jwam-wu aba jwam be. Aba kwab u nde iken ti aba nde tu, u ba nde kyi iken ti skeb kyi cwucwo! 
2CO.8.4	Aba jwam ti, ti a na u tu riyae ti a na u ndeya ande Rimam ti ku ngwa rikaen. 
2CO.8.5	Aba kwab skeb pu ba iken ti ati sa uwae tsi baa, aba na u nde yi. Ti kucang aba sa ijwe-ba meme na Itsekuru-ti; ti fa kyi, aba sa utob bur fa ti uwae ure, pangma ti Rimam ku sha.
2CO.8.6	Ikyaen yine ati jwam Titus ti wu na ba uwog-ni, ama ti awu na ndeya ni ti ni nde tag kujwo wande ti tinyang ti ani ku nde ne, nee awu bag yi uwog-ni ti kucang.
2CO.8.7	Ani ande ti Korinti ta uwe uwae iken ti ani ku nde meme. Ko ayi a si uwae kinjo ti ani ku ru, ko ayi a si ira Rimam ti ani ku ri te ande, ko itinung na ira ti kubenti, ko ayi a si itikwab-ni fengo Rimam, ko ayi a si ure ti ati ye nwunn uwae-ni, ani ti skeb tag. 
2CO.8.8	Ayi si-yi icwe ti ame nda ni be, ame ku tso ni itso itikwab ti ariki ku kwab ti ira rinyangwae yine ikyaen ti ame na nung ko ure-ni si kubenti pangma ana-ba. 
