MAT.1.2	Abraham Aisaak vaa apa, Aisaak Jakop vaa apa, Jakop Judah leh anaovaa anpa. 
2PE.2.6	Sodom mahche Komorah na khuuboom meita meivut maol phah ah amahta amlotnoh ankuungah tamna veile, 
2PE.2.7	mahche khalmo thranoh mii anlamchat intirhsa trihkhop klah amiphah akchimlamseh Lot ta kalleva, 
2PE.2.8	(alamva akchimlamseh miikhan anmah ankaara amma anmah aiilta amjuihnoh thloukhata muh a che aknirel amahvaa akchim lita amilah), 
2PE.2.9	Akpu amlot eita chaang an jikchanata khatloh a akalume mahche Akchimlamsehnoh eita tandi malannatu pichaar tlohnatu pichaarnikha phah a khatloh mangaak a asih tueime Akpu in arom. 
2PE.2.10	Amuveia akmot kdi ruung in akdit nujuih a akseh mii mahche akchek amneh eita usitnoh a aktloh mii.
2PE.2.10	Anmah in karaang kanga, anmah in amidonta antloh, anmahva akchek amnehsei, antak ah thranoh a trong intrinoh ei. 
2PE.2.11	Chulata ringroi eiin akchek amneh a mahche tuuia ralla liin seilakho, Akpu maikuunga thranoh pichaartalva trongnoh ei; 
2PE.2.12	chuta mahmii ei in, suurnatu mahche mamaangnatu anpoklaia sa nanga pok ei, tuur amsa nanga suura thatna turella poksei, che antakva anmah in anromnoh khanna khatleh khat inhuui tuei. 
2PE.2.13	Anmah in chimnoh antlohrella chimnoh anphah. Anmah in suunna sa iin tlan roomthokta andit. Anmah in nannihsoh tuiibuh inruia sajou iinjou nantlohlai anmah antakva chimnoh khanna hou masuuk anphah. 
2PE.2.14	Anmah anmitvah miimei miimasal laal che aleh tlohjahang khanna anril sipsa, anmah in marnop eita amidoi, anmah anrilta salok anromnatu amitheih. Anmahvah phool akphah asasei! 
2PE.2.15	Akchimlamta mathlah a anmah in invaia sehsei; chimnoh tlohta akdi Beor asa kupa Balaam asehnata anjuihpei, 
2PE.2.16	chuta amah in chimnoh lamma asehrella insaal aphahpei; atrong suuknoh smong in miihou ah tronga ringraan anhoongta akhaarpei.
2PE.2.17	Amah miiei i tuii amnoh dopsei mahche khusuur thliraang in araan sumphai nangsei, alamva kdong amnoh inthimva khurkha anmah anta veisa. 
2PE.2.18	Alamva kanana amnoh in orh trongsonna, chimnoh akringnata aktlaan mii che thranoh ruunga akdimii eita chaang doh a suurnatu amisoh. 
2PE.2.19	Anmah in ankuungah ningtanmatu trongchet antloh, chuta antaktalva chimnohtu naichisei; alamva jangmekhat in miikhatta chekle, miikha mahkhavaa naichisa. 
2PE.2.20	Alamva inihta inikal Akpu Jisu Khrista vaa khiialta room apaalla anmah in tukleiramna akbuur jikchanata anlitche, veikhat inlenga anmahta ansuurche chek seileva, anmah turella juktoolla aringna anhoongkha matsah anringnahoong khannata ralla thranoh eia. 
2PE.2.21	Alamva anmah in akchimlamsehna lam anromche ankuungah inpe akseeng trongthuun khannata inheia ansehngut ah mahchu romma indomin anmah turella ralla thrauta. 
2PE.2.22	Akchim tronglam nujuih a mah i ankuungah suuksa, uii in amluuknatal amunkhanna veikhat inleng, mahche insilche vok in philchop ah veikhat inbuul.
2PE.3.1	Kirilvol eio, pek mah i keiin nankuungah kimjih innih tihpi trongjhthuunsa, che mah trongjihthuun innih tihpi inna nannihta keiin intheihna veia nannih akseeng rilta kimthohnachou; 
2PE.3.2	tihva akseeng ringraan in anrouphoong trongta mahche nannih raangroi anpaalla inikal Akpu vaa trongthuunta nannih in nantheihnatu. 
2PE.3.3	Matsahremma mah i romve, mah chuvah acheni chunna mii manuih samanuih thlengtuei, anmah antaktal in anditta antlohtu 
2PE.3.4	che ansonlamang, “Amah in athlengnasam trongchetchu ramnasame? Alamva ipa ipuin anthih khannata kutseem amthron lainata louampoot anaamte pekkho amning.” 
2PE.3.5	Mah aksuuktak i anmah in romrerea indah ei, mah chuvah leithingnata Ringpu atrongah ringramva nga tloh a veisa, thalei i tuiinata mahche tuii apaalla vei, 
2PE.3.6	mai apaalla louamche tukleiramta tuiiliin in athlumche ammangpei. 
2PE.3.7	Chuta mah trongtalkhan pek am ringram mahche thaleita meiturella khaak a mahche Ringpu amlotnoh mii eita mamaangnatu pichaar aknikha aphahnohmiil asih ei.
2PE.3.8	Chuta Kirilvol unaoeio, mah aksuuk i indah tlohnohve, mah chuvah Akpu kuungah nikhat i kum akpul inkhatnang, che kum akpulkhat i nikhatnang. 
2PE.3.9	Akpu trongchetta mathlungi tapnoh, mii arouin tap tih a amidon, chuta nannih turella soot adou, tukhatkho amaangnohnatu, chuta miinaam in rilthlenga thlengta akdit. 
2PE.3.10	Chuta Akpu aknikha inruin athlengnanga thlengtu, cheva mahni khanna marvaan in khalmo ahou inringsoh inruuia maangtu, che amuvei aktrang in meia innoiutuei, mahche thalei khatkho asuungah am thlou naamte meia kaangtuei,
2PE.3.11	Mah naamte i nga tloh a tumkir tupot taningva, nannih in seenga ring mahche Ringpu malot a jaknangmii veitungme madonve, 
2PE.3.12	Ringpu vaa akni intha a thlengtu ta ngaakve, alamva mah aknichun ringram in meia kaangtu che amuvei aktrang poot eita meia innoikirtu! 
2PE.3.13	Chuta amah atrongchet nujuih a akchimlamseh mii in an amna akthar ringram mahche akthar thaleita ingaak.
2PE.3.14	Alamchunna kirilvol eio, nannih in maita nanngaak taningva, amaraal nohle aleh a daak amnoh aleh oi veia am nanituuknatu insuulve. 
2PE.3.15	Che inih Akpu in soot thoa ammi inih turella amah chaanringta mii naamte amphahnatu relna tih i nantak in romve. Nga tloh a inih in iringvol unao Paul akuungah lousing amlan nujuih a nankuung akho amjihpei, 
2PE.3.16	mah trongjihthuun naamte atlohnanga amah inkho mahtrong irella ason. Mahsuunga amram steva rom klahme, mahchu theihnoh singnoh mahche chet amnoh mii in aktlei ringjihta amithlengtlam nanga antaktal in kmaang kremna phah a amiharhpei. 
2PE.3.17	Alamchunna kirilvol eio, matsah a mah i romma, trongsuur jaonoh inlaal mii in nannihta naniphurh a nantak in chet a nan amnata nanmaangnoh natu cheksilve. 
2PE.3.18	Chuta malungsi ah che inih Akpu chuche Jisu khrista vaa khiialla liinve. Amah kuungah peknata ache amnoh akni phah a paarthra veiso. Amen.
1JN.1.2	Chaanta amdangpei, che mahkhata inih in imuhpei, che amahkharella inih in chimta sakhi imlan, che Pasoh amjouta inihting inimdang ache amnoh chaanta nankuungah kanson peichou. 
1JN.1.3	Kannih in kanmuhche khatkho kantheihcheta nankuung akho sonna kamidangchou, chunna nannih in kannihsoh nanruuijounatu; che inih in inruuijoume i Pa leh Asa kupa Jisu Khrista in ninruuipi. 
1JN.1.4	Chuche inih in iroomthokta mapung imphanatu mah i nankuunga kamjihpei.
1JN.1.6	Inih in inthimkaar isehlaia amahsoh inruuijoume tihmele, inihvah imchinthime, che akchim nujuih a ringnohme; 
1JN.1.7	chuta amah in kvaarah amnanga inih inkho akvaara sehmele, inih in khatleh khat inruuijoume, che amah Asa kupa Jisu athii in inih ileh naamte nata inimseeng. 
1JN.1.8	Inih inta kannihvah aleh amnoh ung tihmele, inih ikroua insimna same, che akchim itak ah amnoh. 
1JN.1.9	Itak in inih ilehta phoongmele, inih ilehta ipnatu mahchu chimnoh lamseh anaamte nata inimseengnatu amahva malot aja mahche akchim. 
1JN.1.10	Inih inta aleh tlohnohluungang tihmele, inih in amahta machinthi imthlakpei, che amah trongta itak a amnoh.
1JN.2.2	inih ileh rella inithloknatu inkatpot veisa, inih ikroukhoptu relna noh chuta tukleiram apumtevaa anleh turelna.
1JN.2.4	Tukhat in, “Keiva amahta kirom” atihche chuta amah trongthuunta majuihnoh lehvah amahva amchinthi che akchimkha akuunga amnoh, 
1JN.2.5	chuta atrongta akngaak tukhat in atak a Ringpu arilvolta amah in mapung amphapei. Onna inih in amah kuungah amme tih i seengme: 
1JN.2.6	tukhat in akuungah ammang tihle amah in aseh alonnasoh intrimma amah inkho sehtutla.
1JN.2.8	Chulata veikhatla keiin nankuungah akthar trongthuunta kimjih mah i amahtingkho che nannihtingkho akchim alam inthimta amvaarpei mahche akchim kvaarkha intlesa. 
1JN.2.9	Tukhat in amahvah akvaara ammang atihche amah unao pasata intirhleh amahva pekphah a inthimmah ammang. 
1JN.2.10	Amah unao pasata rilvol mii khanna akvaara am, che mah khanna keh masuihnatu amnoh. 
1JN.2.11	Chuta amah unao pasata intirh tukhat in inthimmah ammangche amah in inthimma sehmang, chuche amah in ramma seh angme tihkho romnoh, alamva inthim in amah amitta amchohpei. 
1JN.2.12	Indih naoeio, keiin nankuungah kimjih, alamva amah alehta a ippei. 
1JN.2.13	Pa eio, keiin nankuungah kimjihchou, alamva kulkung nata am amahta nannih in nanrom. Intlangeio, keiin nankuungah kimjihchou, alamva nannih in thranoh khata nanchekpei. Naoeio, keiin nankuungah kimjihchou, alamva nannih in Pa ta nanrom. 
1JN.2.14	Apa eio, keiin nankuungah kimjihchou, alamva kulkung nata louam amahta nannih in nanrom. Intlangeio, keiin nankuungah kimjihchou, alamva nannihvah trongchou, mahche Ringpu trongkha nankuungah am mahche nannih in thranohta nanchekpei.
1JN.2.15	Tukleiram nohleh tukleiram asuunga am poot eita nanrilvolnohve. Tukhat in tukleiramta aril involle, Pa ta rilvolkha atak a amnoh. 
1JN.2.16	Alamva tukeiramma am anaamte, ruung in akdit che mit in akdit chaanta in orh i Pa ningnanoh chuta tukleiramna. 
1JN.2.17	Tukleiram mahche tukleiramta kdikha maang umang; chuta Ringpu in amdon aktlohmii in ache amnoh a ringa amtu.
1JN.2.19	Anmah in inihkuungnata inthruhsei; chuta anmahva inih itanoh ei; alamva anmah inta inih mii vei eileva, anmah in inihsoh amjou tuei; chuta annaamteva inih imiinohsei tih i aseengnatu anmahva sehsei. 
1JN.2.20	Chuta nannihva Akseeng khat in thao naniteipei, che nannaamte in nanrom. 
1JN.2.21	Nannih in akchimta romnohchou tihrella keiin mah i majih tanoh ang, chuta nannih in akchim nanromrella, che masimna trongi tikniakho akchimnata thlengnoh tih a romve. 
1JN.2.22	Jisu vah Khrista sa ta andah mii khanoh a amchinthikha Apata mahche Asa kupata indah miikhan Khrista ta jekna vei. 
1JN.2.23	Asa kupata indah miikhan Apata indahsa. Asa kupa kuungah amah alehta phoonga akluut miikhan Apakho aphah. 
1JN.2.24	Nannih in kulkung nata nantheihkha nantak a amso. Nannih in kulkung nata nantheihkha nantak ata amleh, chuleva nannih inkho Asa kupa kuungah che Apakuungah incheknoh a am muchou. 
1JN.2.25	Amah in inihkuungah trongchet amlanchuva maire, mah chuvah ache amnoh chaan khasa.
1JN.2.26	Nannihta nanisimnasam miiei kharella mah ita kimjihchou; 
1JN.2.27	chuta akuungnata nanphah thao naniteikha nantak ah am, mahche tunangkhat in nannihta nanimtheihnatu nankuungah darkaar amnoh; amah in thao naniteikhanna bilam nannihta nanimtheih, mah i chim, mii masimnanoh, oh inna nannihta nanimtheih khananga, amah kuungah chet a amve.
1JN.2.29	Amah i akchim tih a romchoule, akchim aktloh miirel in amahkuungnata pok ta nantak a seenga nanromnatu.
1JN.3.2	Kirilvol eio, ipek inih i Ringpu asame; inih in jangvei umeme mah chuvah inihkuungah madangnohmang, chuta amah in andanglaia inih in amahnang vei umeta irom, alamva amah atakta amahnanga imuhtu. 
1JN.3.3	Che amah kuungah matuur ak am mii naamte in Akpu vah akseeng taningva, ataktalkho amseeng.
1JN.3.4	Aleh aktloh miinaam in trongsuur majuihnoh rella amraal amsa; alehvah trongsuur amnoh. 
1JN.3.5	Nannih in nanrom mah chuvah alehta alohnatu atak indangsa, che amahningva aleh amnoh. 
1JN.3.6	Amah kuungah chet a am mii in aleh tlohnoh; aleh aktlohmii in amahta muhkho muhnoei che romkho romnoh ei. 
1JN.3.7	Indih naoeio, tukhat inkho nannihta nanisimnanoh eiso. Akpu va akchim, akchim aktlohmii in akchimlamseh veitu. 
1JN.3.8	Aleh aktloh miiva rapputasa; alamva rappuva kulkuung nata aleh tloh a thlengsa. Jarelna tihva rappu athloueita mamaangnatu Ringpu Asa kupata amdangpei. 
1JN.3.9	Ringpu nata akpokmii in aleh tloh a amnoh; alamva Ringpu ningah louam akringkha amahningkho chet a am, che amahva aleh tlohcheknoh alamva amahva Ringpu kuungnata pok. 
1JN.3.10	Onna tunang in Ringpu asanohme che tunang in rappu asame tihchu imuhnatu tukhat akchim aktlohnoh miikho nohle amah unao pasata rilvolnoh miikha Ringpu tingnanoh.
1JN.3.12	che Ken in thranohkhat veia anaokupata athat khananga veinohrei. Jarella anaota athatme? Alamva amah athloukha thranoh che anaovah chim. 
1JN.3.13	Unaoeio, tukleiram in nannihta nantirh eileh salungkhou nohve. 
1JN.3.14	Inih in thinata chaantingah ikvanpei tih a irom, alamva unao pasata iringvol. Tukhat in rilvolta dinohle mahmii khavah akthi veia ammang. 
1JN.3.15	Tukhat in amah unao pasata intirhleh amahvah miithat mii, che miithat mii in ache amnoh chaan akuungah amnoh tih a nanrom. 
1JN.3.16	Mairella innih in ringvol irom, mah chuvah inihrella amah chaan amthlahpei; che inih in unaopasa turella chaan imthlatutla. 
1JN.3.17	Chuta tukhat in tukleiramna lal adoonche chuta amah unaopasa andarkaar amta amuhche ringvolril atak a amnohleh, khatloh a Ringpu rilvol akuungah ammume? 
1JN.3.18	Indih naoeio, inih in trongah nohleh nar ah ril involnohrei chuta athlouin khatkho akchimmah ril involrei.
1JN.3.19	Mairella inihvah akchim atasame, che amah amaikuungah iril lumme tih a iromtutla. 
1JN.3.20	Iril in inihta inimlaal laia; Ringpu in inih irilchungah ralla liin, che bilam naamte aromkir. 
1JN.3.21	Unaoeio, iril inta inimlaal nohle, Ringpu amaikuungah iril lumme; 
1JN.3.22	che inih in ingennaamte amahkuungnata iphahkir, alamva amah trongthuun eita inih in ingaak amahta mapelnatu itloh.
1JN.3.24	Amah trongthuunta amjuih akngaak miinaamtea che amah inkho ankuungah am. Che mairella inih in irom, amah in inimlan livaa apaalla mah in inikuungah am.
1JN.4.1	Kirilvol eio, li naamteta malotnohve, chuta li eita Ringpu atame chunoh a atanohme nanromnatu chaang anve; alamva tukleiramma chimnoh ringraan khalmo intheksei. 
1JN.4.2	Ohkhanna Ringpu vaa Li li noh ta nanromtu: Jisu Khrista in ruung veia thlengsa tih a akphoong khavah Ringpu tingnasa, 
1JN.4.3	Jisu vah Ringpu tingnanoh tih a akphoong li naamte khavah Ringpu tingnanoh. Mah i Khrista ta andah lisa, che ipektel tukleiramma amsa. 
1JN.4.4	Indih naoeio, nannihva Ringpu tingnachou, nannih in anmahta nanchekpei; alamva tukleiramma ak am amahkhachunga nankuungah ak am amah in ralla liin. 
1JN.4.5	Ringpu vaa Asa kupa Jisu khanoh a che Jisu i Ringpu vaa Asa kupa tih a amlot mii khanoh a tukleiramta akchek miikha tume? 
1JN.4.6	Inihva Ringpu atasame. Ringpu akrom mii tukhat in itrongta arungeih, Ringpu tingnanoh amahkhan itrongta rungainoh; onna akchim linohme tih a irom.
1JN.4.8	Rilvol amnoh mii in Ringpu romnoh; alamva Ringpu vah rilvol arom. 
1JN.4.9	Ringpu arilvolta inih ikaara inimmuh, mah chuvah Ringpu in Asa kupa khalekruta tukleiramma amthlahpei, onna inih in amah apaalla ring iphahnatu relnasa. 
1JN.4.10	Amah rilvolchu oisa inih in Ringpu ta irilvol tihtanohme chuta amah in inihta inirilvol che inih ileh turella Asa kupa inkhatruta amthlahpei. 
1JN.4.11	Kirilvol unaoeio, Ringpu in inihta vachah inirilvol taningvah, inih inkho khatleh khat ril involtu tlasame. 
1JN.4.12	Tukhat inkho Ringpu ta roumuhnoh; inih inta khatleh khat ril involmele, Ringpu in inihkuungah am, che amah arilvolkha inihkuungah mapung phasa.
1JN.4.14	Che tukleiramta akal Akpu veia Apa in Asa kupa amthlah peita inih in imuhpei, che chim tih ta sakhi imlanpei. 
1JN.4.15	Tunangkhat in Jisu i Ringpu vaa Asa kupa tih a phoongleva, Ringpu in amah kuungah am, mahche amah inkho Ringpu kuungah amsa. 
1JN.4.16	Chunna Ringpu in inihta inirilvolli inih in irom che imlot. Ringpu vaa rilvoltheih che amah rilvolkhanna am mii in Ringpu kuungah am; che Ringpu inkho amah kuungah am. 
1JN.4.17	Onna amah rilvolta inihkuungah mapung amphapei, chunna pichaar aknia inih in iriltuia iamnatu, alamva amahnanga inihkho tukleiramma veime. 
1JN.4.18	Rilvol in intritna amnoh, chuta rilvol in intri hangta ammaang. Alamva intriva tandi phahna veitu, che intri mii in rilvolta mapung maphanoh. 
1JN.4.19	Inih in irilvol, alamva amah in matsah a inihta inirilvol. 
1JN.4.20	Tukhat in, “Keiva Ringpu kirilvol” atihche amah unao pasata intirhleh, amahvah chinthimii; alamva amah in amuh unaopsata rilvolnoh a amuhnoh Ringpu ta rilvolva cheknohtu. 
1JN.4.21	Amah ningnata iphah trongthuun chuva maisa, Ringpu ta arilvol amahkhan amah unao pasakho arilvoltu.
1JN.5.2	Onna inih in Ringpu ta rilvolla amah trongthuun eita imjuihlai khanna Ringpu asaeikho iringvolsei tih a irommang. 
1JN.5.3	Ringpu ta rilvolli maire, mah chuvah inih in amah trongthuunta ingaak. Amah trongthuunvah pootriknoh. 
1JN.5.4	Alamva Ringpu nata akpokmii in tukleiramta achekpei; tukleiramta ichek i inih in imlot apaalla raal ichek. 
1JN.5.5	Tukleiramta akchek chuche Jisu i Ringpu vaa Asa kupa tih a amlot miichu tunangme?
1JN.5.7	Che Li in sakhisa alamva Li vah akchimkhasa. 
1JN.5.8	Sakhi inthum am, ohchuva Li, tuii, mahche thii, mah inthummi injaei. 
1JN.5.9	Inih in miivaa sakhita loumele, Ringpu vaa sakhi in ralla liin; alamva Asa kupa rella amlan sakhikha Ringpu tingna sakhisa. 
1JN.5.10	Ringpu Asa kupata amlot mii in ataktalla sakhikha amsa. Ringpu ta amlotnoh miikhan amahta amchinthi amthlaak, alamva Ringpu Asa kupa rella amlan sakhikhata amah in malotnohsa. 
1JN.5.11	Sakhi chuva Ringpu in ache amnoh chaan inimlanpei, mah chaanni Asa kupa ah am. 
1JN.5.12	Tukhat in Asa kupata amah kuungah amle akring punsikha amah kuungah amsa; tukhat in Ringpu vaa Asa kupata atak kuungah amnohleh akuungah chaankha amnoh.
1JN.5.14	Che amah kuungah iril imthrumnavah oire, mah chuvah amah in amdon nujuih a jangmekhat darkaar amchu nihmele amah in atheih. 
1JN.5.15	Inih in inihkhata amah in atheih tih a inih in irom, inih in amah kuungah inihkha akuungnata iphahtuta irom. 
1JN.5.16	Tukhat unaopasa in thihna vanoh tupot a aleh atlohta muhleh nangin ngenro, che Ringpu in chaan amahta amlantu, alamva anmah alehkho am; mah kharella amah in ngensota keiin tihnoh ang. 
1JN.5.17	Chimnoh thlou anaam aleh, chuta athih nainoh aleh am.
1JN.5.19	Inihvah Ringpu atame mahche tukleiram apumte thranoh tuuikhat athlangah amme tih a irom. 
1JN.5.20	Che Ringpu Asa kupa thlengsa, akchim amahta romma roulou itheihnatu rilta inimlanpei tih a irom; che inihvah amah Asa kupa Jisu Khrista akchimkuungah amsame. Amahvah akchim Ringpu, che ache amnoh chaan khasa.
1JN.5.21	Indih naoeio, leili mathruunnata nanroua inseel inkemve.
2JN.1.2	alamva inihting am akchim mahche inihsoh ache amnoh a amjoutupot akchim relna:
2JN.1.3	Pa Ringpu tingna mahche Pa vaa Asa kupa Jisu Khrista tingna malungsi, rilvoltheih mahche leh oi achim khatkho rilvol in inihkuungah am veiso.
2JN.1.4	Ipa in inihta initirh nanga nisa eiin akchim amijuihta kitheih in khalmo kiroomthok ang. 
2JN.1.5	Mahche chonnu o, ipek keiin kinoolche keiin akthar trongthuun nikuungah kimjih apaalla inih khatleh khat ril involreio tihrella kulkung nata kankuungah amkhata kimjih. 
2JN.1.6	Che mah i rilvol chusa mah chuvah inih in amah trongthuunta aknujuih a sehme; mah i trongthuunsa mahchuvah nannih in kulkung nata nantheih mahche nannih in nanjuih khatkho nanrilvolpei.
2JN.1.8	Nannih in nantloh nankhalkha amaangnohnatu chuta nannih in nantloh khaankha chek a sip a nanphahnatu nantak nanroua cheksilve. 
2JN.1.9	Tukhat in akchimnata raldoia seh mahche Khrista rilla matheihna amnoh mii in atak ah Ringpu amnoh; akchimta matheihna ah incheknoh ak am amah in Pa mahche Asa kupa annih ta amah kuungah am. 
2JN.1.10	Tunangkhat in nankuungah thlenga akchim matheihnatu thlennohle nan inn akho lousoong nohve nohle saambaankho malannohve; 
2JN.1.11	alamva amahta saambaan amlan mii khanna akthleng miisoh thranoh thloua chuum ajajoupei.
2JN.1.13	Nang niser asa eiin nangta saambaan namlanei.
3JN.1.2	Kirilvollo, bilam thra ringdamma nitloh nikhalnatu mahche akthraruung niveinatu nang turella kingen; nang niruung akli thra tih a keiin kirom. 
3JN.1.3	Alamva unaopasa arouin thlenga nang nichaan akchimta mahche nangin akchimta namjuih tih a sakhi amilan in, khalmo kiroomthoksang. 
3JN.1.4	Kei kisaeiin akchim amijuih tih a kitheih in onnata ralla aktlei kiroomthokna amnohsang. Kaias ta kimpaak.
3JN.1.5	Kirilvol nangin niuh ninaoeita, amuveia rapkheina akthleng ankuungah nangin rou nitloh ei i khalmo akliinthlousa. 
3JN.1.6	Khakla maikuungah nangin nirilvolrella amah in sakhi amilanpei. Nangin thratea routloh a anmahta rapkheia nimthlahpei ei. 
3JN.1.7	Alamva amahrella anmah in rappu amthruunei tingnata jakhatkho lounoh a sehsei. 
3JN.1.8	Chunna inih in mahchunang mii eita majoomphu mah chuvah inih in akchimthlou aktlohjou iveinatu.
3JN.1.9	Keiin khakla ah ste kimjihpei; chuta ankaara akthloirem akveija Diotrephes invah keiin tlohkichek kimneh tih a keilounoh. 
3JN.1.10	Chunna keiin thleng angle, amah in jangatlohme kiksuitu, amah in keiandah a thranoh tronga amahnoh mahnoh trongtlam che mahkhankho pelnoh a, amah in unaopasa eita lousoonga roulou indah, che anmahta roulou aja luungta malotnoh a amah khakla ta amnommei.
3JN.1.11	Kirilvollo, thranoh hoonta majuihnohro chuta akthra hoongta majuihro. Akthra tlohmii in Ringpu tingna thranoh tlohmii in Ringpu ta muhnoh. 
3JN.1.12	Miinaam in mahche akchimkhanna Demetrius rella aringtukna akthrata amilan; keiinkho amahrella akchim sakhi kimlan, mahche kei kiringtukna thamnin i chim tih a nannih in nanrom.
3JN.1.14	keiin nangta intha a inmuhpinatu kimtuur, mahche inih in khatleh khat intuukjoua trong umangme.
3JN.1.15	Nangkuungah leh oi am veiso. Ipai eiin nangta saambaan namlanei. Ipai naamteta keiinkho saambaan kamlanei.
JUD.1.2	Nankuungah malungsitheih, leh oi mahche rilvol in hanral veiso.
JUD.1.3	Kirilvol eio, keiin nankuungah inih inaamtu vei chaanring rella kimijihnatu kansuullai akseeng ankuungah veikhatru amlan malotkharella ril luut a thrulhnatu nannihta tak a majih i keitu veia tlohnoh janoh veisa. 
JUD.1.4	Alamva mii arouta inruk a luut a malaannatu amijapei ammahturella matsah a ringjih in alouphoongchepei. Anmahvah Ringpu malot mii veisinna Ringpu vaa malungsita chimnohtingah anthlengche inihtu khalekru vei lulok mahche Akpu Jisu Khrista ta akjanohsei. 
JUD.1.5	Nannih in veikhatrua anaamteta rom sachoulakho ipek nannih in veikhatla nantheihnatu keiin kikdit, mah chuvah Ijip ramna miita akkal amah in aknua amahta amlotnoh mii eita ammaangei. 
JUD.1.6	Ringroiei phomta rimta sihnoh chuta anmah anphomta cheknoh a an amnata akmah ringroi eita amah in akliin pichaar aknikha aphahnohmiil thirhanga ache amnoh a khit a asihtuei; 
JUD.1.7	Sodom mahche Komorah che akomma ak am khuuboomei nanga, kumei kupa ah inlaalla tlohphunoh ruung in akditta mathlungnatu aktloh mii eita ache amnoh meia tanti atlohsam khata khudam veia amtheih ei.
JUD.1.8	Mainangjimma amahmi in anrui i ruungta mabuurnatu madonna ammei, akchek amneh eita indah ei che paarthra ak ameita aminuih. 
JUD.1.9	Chuta aklok Maikel in seitansoh insuulla Moses aruungrella trong inkharhlaia tronga pichaar tlohnatu amah in karaangnoh, chuta ason, “Akpu in nakalso.” 
JUD.1.10	Chuta anmah invah romnoh a trongei, raprilsa in antlohnanga anmah in antrongtlam khanna antak anrouta insok a amimaang. 
JUD.1.11	Anmah turelvah lahnasa a! Alamva anmah in Kain asehna ah sehsei, che Balaam in asoi khananga anmah in anchuungna jonna sehsei, che Korah invah alaal intheih a atrong majuihnoh nanga animaangpei. 
JUD.1.12	Anmah ivah nannih rilvol buhdoonna ah maraal am miisei, anmah in intri intra amnoh a anroua rou intlohjousei; tuii jaonoh sumphai thli in araan akthil kumveia inrahnoh theih, akjung inlong; 
JUD.1.13	antak anroua jakhatnoh thlouta apolsuuk tuiiboomvaa trihkhopna tuiiboom nangsei; aksehtlam arsisei anmah turelvah inthimma am athlangnungrem ache amnohta khaak a asihpei.
JUD.1.14	Anmahkho Adam nata ringnatluun sirih tihpina Enok in phoonga ason, “Anve, Akpu in amah akseeng mii akpulsomsoh thleng, 
JUD.1.15	mii naamte chungah pichaar tlohnatu, Ringpu malotnoh mii naamte in Ringpu malotnoh thlou antloh; kanlaalpei tih a ril masuuknatu, che Ringpu malotnoh thranoh aleh am mii in amahta indangpia thranoh a trongei.” 
JUD.1.16	Anmahvah inso trang, anpel amnoh miisei, antak in anditta majuih a seh, annar ah in orh a trong, anchuungna anphahnatu miita amipaaksin.
JUD.1.17	Chuta kirilvol eio, inih Akpu Jisu Khrista vaa raangroi in matsah a ansonkha intheihve: 
JUD.1.18	Anmah in nanisonvah, “Achetum laia mii manuih samanuih amtu; antak a Ringpu malotnoh a ring anditta majuih a sehtuei.” 
JUD.1.19	Onna inthrek baak amsuuk, tukleiramtu veimii antak a akchim amnoh. 
JUD.1.20	Chuta kirilvol eio, nantak ah akseengrem malot khanna nanroua inseemve; Li Akseengah ngenve; 
JUD.1.21	ache amnoh a ringnatu inih Akpu Jisu Khrista vaa rilvoltheihta nanngaaklai, Ringpu vaa rilvoltheihta nantak ah amve. 
JUD.1.22	Ril inhalmii aroueita rilvol mamuhve; 
JUD.1.23	anmahta meinata kaia kal eive; mahche trihsoh inruuia aroueita rilvol eive, ruung in ambuur puunreita intirhve.
JUD.1.24	Pekva inriilnata nanikalchek amah kuungah daak amnoh roomthoksoh inruuia amah paarthra amaikuungah inimngirhtu, 
JUD.1.25	Ringpu, inih Akpu Jisu Khrista apaalla inihta inikal, paarthra mahche akthloi achungah akpaal khatkho akchek amneh, leithingnata ipekphah chuche ache amnoh. Amen.
REV.1.1	Inlitnoh a intha a aksuuksam Khrista in amah roijuih ankuungah mamuhnatu Ringpu in Khrista kuungah amlan Jisu Khrista in amdangkha oire; amah roijuih John kuungah amah ringroita mathlah a mahchuta amrompei. 
REV.1.2	John in Ringpu atrongta mahche Jisu Khrista vaa sakhi khatkho amah in amuh naamteta sakhi amlan. 
REV.1.3	Mah inphoong trong ita rool inkaanga akpaa arungai mahche mah asuunga injihta ngaak a akseh ankuungah doi akphahsei; alamva lai i innaisa.
REV.1.4	Ipek ak am, ak amche khatkho akthlengsam amah akuungnata che amah phompii amaikuungah am li sirih nata, 
REV.1.5	mahche Jisu Khrista tingna malot aja sakhi, akthi ankaar nata matsah a akpok mahche thaleichungah kurung anchungah akpu veia akpaal Jisu Khrista ningah malungsi mahche leh oi nankuungah amso. 
REV.1.6	Che amah Apa Ringpu akuungah inihtu kurung mahche thiimpu amvei amah kuungah, paarthra mahche akchek amnehveia paalkha ache amnoh veiso. Amen. 
REV.1.7	Anve, amah in sumphaisoh inruuia thlengtu. Mii naamte mit in amahta anmuhtu, amahta kusei a akkho miiluung inkho amahta anmuhtu; mahche thaleina jaat naamtein amahrella sinthruui tuei. Mahchu veitu. Amen.
