GEN.1.1	I begynnelsen skapte Gud himmelen og jorden. 
JHN.6.50	Dette er brødet som kommer ned fra himmelen, for at en skal ete av det og ikke dø. 
JHN.6.51	Jeg er det levende brødet som er kommet ned fra himmelen. Om noen eter av dette brødet, skal han leve i evighet. Og det brødet som jeg vil gi, er mitt kjød, som jeg vil gi for verdens liv. 
JHN.6.52	Jødene trettet nå seg imellom og sa: Hvordan kan han gi oss sitt kjød å ete? 
JHN.6.53	Jesus sa da til dem: Sannelig, sannelig sier jeg dere: Dersom dere ikke eter Menneskesønnens kjød og drikker hans blod, har dere ikke liv i dere! 
JHN.6.54	Den som eter mitt kjød og drikker mitt blod, har evig liv. Og jeg skal reise ham opp på den siste dag. 
JHN.6.55	For mitt kjød er i sannhet mat, og mitt blod er i sannhet drikke. 
JHN.6.56	Den som eter mitt kjød og drikker mitt blod, han blir i meg og jeg i ham. 
JHN.6.57	Likesom den levende Faderen har sendt meg, og jeg lever ved Faderen, slik skal også den som eter meg, leve ved meg. 
JHN.6.58	Dette er brødet som er kommet ned fra himmelen - ikke slik som fedrene åt, og døde. Den som eter dette brødet, skal leve i evighet. 
JHN.6.59	Dette sa han mens han lærte i en synagoge i Kapernaum. 
JHN.6.60	Mange av disiplene hans som hørte dette, sa da: Dette er harde ord! Hvem kan høre dem? 
JHN.6.61	Men da Jesus visste med seg selv at disiplene hans knurret over dette, sa han til dem: Tar dere anstøt av dette? 
JHN.6.62	Hva så når dere får se Menneskesønnen stige opp dit hvor han var før? 
JHN.6.63	Det er Ånden som gjør levende, kjødet gagner ikke noe. De ordene jeg har talt til dere, er ånd og er liv. 
JHN.6.64	Men det er noen av dere som ikke tror. - For Jesus visste fra begynnelsen hvem det var som ikke trodde, og hvem det var som skulle forråde ham. 
JHN.6.65	Og han sa: Derfor har jeg sagt dere at ingen kan komme til meg uten at det er gitt ham av Faderen. 
JHN.6.66	Etter dette trakk mange av disiplene hans seg tilbake og gikk ikke lenger omkring med ham. 
JHN.6.67	Jesus sa da til de tolv: Vil også dere gå bort? 
JHN.6.68	Simon Peter svarte ham: Herre, hvem skal vi gå til? Du har det evige livs ord, 
JHN.6.69	og vi tror og vet at du er Guds Hellige! 
JHN.6.70	Jesus svarte dem: Har jeg ikke utvalgt dere tolv? Og én av dere er en djevel. 
JHN.6.71	Han talte om Judas, Simon Iskariots sønn. For det var han som skulle forråde ham, enda han var en av de tolv. 
JHN.7.1	Etter dette gikk Jesus omkring i Galilea. For han ville ikke gå omkring i Judea, fordi judeerne sto ham etter livet. 
JHN.7.2	Men jødenes høytid, løvhyttefesten, var nær. 
JHN.7.3	Brødrene hans sa da til ham: Dra herfra og gå til Judea, for at også disiplene dine kan få se de gjerningene som du gjør! 
JHN.7.4	For ingen gjør noe i det skjulte når han selv søker å være alminnelig kjent. Gjør du slike ting, da vis deg for verden. 
JHN.7.5	For heller ikke brødrene hans trodde på ham. 
JHN.7.6	Jesus sier da til dem: Min tid er ennå ikke kommet, men for dere er det alltid den rette tid! 
JHN.7.7	Verden kan ikke hate dere. Men meg hater den, fordi jeg vitner om den at dens gjerninger er onde. 
JHN.7.8	Dra selv opp til høytiden! Jeg går ennå ikke opp til denne høytiden, for min tid er ennå ikke fullendt. 
JHN.7.9	Dette sa han til dem, og han ble værende i Galilea. 
JHN.7.10	Men etter at brødrene hans var gått opp til høytiden, da dro også han opp - ikke åpenlyst, men i det skjulte. 
JHN.7.11	Jødene lette da etter ham under høytiden og sa: Hvor er han? 
JHN.7.12	Og det ble mumlet mye om ham blant folket. Noen sa: Han er en god mann! Men andre sa: Nei, han villleder folket! 
JHN.7.13	Men ingen talte fritt ut om ham av frykt for judeerne. 
JHN.7.14	Men da det alt var midt i høytiden, gikk Jesus opp i templet og lærte. 
JHN.7.15	Judeerne undret seg og sa: Hvor har han skriftkunnskapen sin fra, han som ikke er opplært? 
JHN.7.16	Jesus svarte dem og sa: Min lære er ikke min, men hans som har sendt meg. 
JHN.7.17	Om noen vil gjøre hans vilje, da skal han kjenne om læren er av Gud, eller om jeg taler av meg selv. 
JHN.7.18	Den som taler av seg selv, søker sin egen ære. Men den som søker hans ære som har sendt ham, er sannferdig, og det er ikke urettferdighet i ham. 
JHN.7.19	Har ikke Moses gitt dere loven? Og ingen av dere holder loven! Hvorfor søker dere å drepe meg? 
JHN.7.20	Folket svarte: Du er besatt av en ond ånd! Hvem søker å drepe deg? 
JHN.7.21	Jesus svarte og sa til dem: Én gjerning gjorde jeg, og dere undrer dere alle over den. 
JHN.7.22	Moses har gitt dere omskjærelsen - ikke så at den er fra Moses, men fra fedrene - og dere omskjærer et menneske på sabbaten. 
JHN.7.23	Hvis nå et menneske blir omskåret på en sabbat for at Mose lov ikke skal brytes, blir dere da harme på meg fordi jeg har gjort et helt menneske friskt på en sabbat? 
JHN.7.24	Døm ikke etter synet, men fell en rettferdig dom! 
JHN.7.25	Da sa noen av dem som bodde i Jerusalem: Er ikke dette han som de står etter livet? 
JHN.7.26	Og se, her taler han fritt ut, og de sier ikke noe imot ham! Våre rådsherrer kan vel ikke ha erkjent at han virkelig skulle være Messias? 
JHN.7.27	Men vi vet hvor denne mannen er fra. Når Messias kommer, vet ingen hvor han er fra. 
JHN.7.28	Mens nå Jesus lærte i templet, ropte han ut: Dere kjenner meg, og dere vet hvor jeg er fra. Men av meg selv er jeg ikke kommet. Han som har sendt meg, er sannferdig - han som dere ikke kjenner. 
JHN.7.29	Jeg kjenner ham, for fra ham er jeg, og han har sendt meg. 
JHN.7.30	De søkte da å få grepet ham, men ingen la hånd på ham, for hans time var ennå ikke kommet. 
JHN.7.31	Men blant folket var det mange som trodde på ham, og de sa: Når Messias kommer, mon han da vil gjøre flere tegn enn denne har gjort? 
JHN.7.32	Fariseerne hørte at folket mumlet slik om ham, og yppersteprestene og fariseerne sendte noen tjenere for å gripe ham. 
JHN.7.33	Jesus sa da: Ennå en kort tid er jeg hos dere, så går jeg bort til ham som har sendt meg. 
JHN.7.34	Dere skal søke meg og ikke finne meg. Og der hvor jeg er, kan dere ikke komme. 
JHN.7.35	Judeerne sa da til hverandre: Hvor vil han dra hen, siden vi ikke skal finne ham? Han vil vel ikke dra bort til dem som er spredt omkring blant grekerne, og lære grekerne? 
JHN.7.36	Hva betyr dette ordet som han sa: Dere skal søke meg og ikke finne meg, og der hvor jeg er, dit kan dere ikke komme? 
JHN.7.37	Men på den siste, den store dagen i høytiden, sto Jesus og ropte ut: Om noen tørster, han komme til meg og drikke! 
JHN.7.38	Den som tror på meg, som Skriften har sagt, fra hans indre skal det flyte strømmer av levende vann. 
JHN.7.39	Dette sa han om den Ånd de skulle få, de som trodde på ham. For Ånden var ennå ikke gitt, fordi Jesus ennå ikke var herliggjort. 
JHN.7.40	Noen i folkemengden sa da de hørte disse ordene: Han er i sannhet profeten! 
JHN.7.41	Andre sa: Han er Messias! Andre igjen sa: Messias kommer da vel ikke fra Galilea? 
JHN.7.42	Har ikke Skriften sagt at Messias kommer av Davids ætt og fra Betlehem, byen hvor David var? 
JHN.7.43	Det ble da splittelse i folket på grunn av ham. 
JHN.7.44	Noen av dem ville gripe ham, men ingen la hånd på ham. 
JHN.7.45	Tjenerne kom så tilbake til yppersteprestene og fariseerne, og disse sa til dem: Hvorfor har dere ikke ført ham hit? 
JHN.7.46	Tjenerne svarte: Aldri har noe menneske talt slik som denne mannen! 
JHN.7.47	Da svarte fariseerne dem: Er også dere ført vill? 
JHN.7.48	Har vel noen av rådsherrene trodd på ham, eller noen av fariseerne? 
JHN.7.49	Men denne hopen som ikke kjenner loven, er forbannet. 
JHN.7.50	Nikodemus, han som før en gang var kommet til Jesus, og som var en av rådsherrene, sier til dem: 
JHN.7.51	Vår lov dømmer da vel ikke en mann uten at en først har hørt på ham og fått vite hva han har gjort? 
JHN.7.52	De svarte og sa til ham: Kanskje du også er fra Galilea? Gransk, så skal du se at det ikke står fram noen profet fra Galilea! 
JHN.7.53	Og de gikk hjem, hver til sitt. 
JHN.8.1	Men Jesus gikk ut til Oljeberget. 
JHN.8.2	Tidlig om morgenen kom han igjen til templet. Folkemengden samlet seg om ham. Han satte seg og lærte dem. 
JHN.8.3	De skriftlærde og fariseerne førte da til ham en kvinne som var grepet i ekteskapsbrudd, og de stilte henne fram for ham. 
JHN.8.4	Og de sa til ham: Mester, denne kvinnen er grepet på fersk gjerning i ekteskapsbrudd. 
JHN.8.5	I loven har Moses påbudt oss at slike kvinner skal steines. Hva sier nå du? 
JHN.8.6	Dette sa de for å sette ham på prøve, så de kunne ha noe å anklage ham for. Men Jesus bøyde seg ned og skrev med fingeren på jorden. 
JHN.8.7	Men da de fortsatte å spørre ham, rettet han seg opp og sa til dem: Den av dere som er uten synd, han skal kaste den første steinen på henne! 
JHN.8.8	Så bøyde han seg ned igjen, og skrev på jorden. 
JHN.8.9	Men da de hørte dette, gikk de bort en etter en, de eldste først. Jesus ble alene tilbake med kvinnen som sto der. 
JHN.8.10	Da rettet Jesus seg opp og sa til henne: Kvinne, hvor er de? Har ingen fordømt deg? 
JHN.8.11	Hun sa: Ingen, herre! Og Jesus sa: Heller ikke jeg fordømmer deg. Gå bort, og synd ikke mer! 
JHN.8.12	Igjen talte Jesus til dem og sa: Jeg er verdens lys! Den som følger meg, skal ikke vandre i mørket, men ha livets lys. 
JHN.8.13	Fariseerne sa da til ham: Du vitner om deg selv! Ditt vitnesbyrd er ikke sant. 
JHN.8.14	Jesus svarte og sa til dem: Om jeg så vitner om meg selv, er mitt vitnesbyrd sant. For jeg vet hvor jeg er kommet fra, og hvor jeg går hen. Men dere vet ikke hvor jeg kommer fra, eller hvor jeg går hen. 
JHN.8.15	Dere dømmer etter kjødet. Jeg dømmer ingen. 
JHN.8.16	Men også om jeg dømmer, så er min dom rett. For jeg er ikke alene, men jeg og Faderen, som har sendt meg. 
JHN.8.17	Men også i deres lov står det skrevet at to menneskers vitnesbyrd er sant. 
JHN.8.18	Jeg er den som vitner om meg selv, og Faderen som har sendt meg, vitner om meg. 
JHN.8.19	De sa da til ham: Hvor er din Far? Jesus svarte: Dere kjenner verken meg eller min Far. Hvis dere kjente meg, da kjente dere også min Far. 
JHN.8.20	Disse ordene talte han ved tempelkisten, mens han lærte i templet. Og ingen grep ham, for hans time var ennå ikke kommet. 
JHN.8.21	Igjen talte han til dem: Jeg går bort, og dere skal lete etter meg. Og dere skal dø i deres synd. Dit jeg går, kan dere ikke komme. 
JHN.8.22	Judeerne sa da: Han vil vel ikke ta sitt eget liv, siden han sier: Dit jeg går, kan dere ikke komme? 
JHN.8.23	Han sa til dem: Dere er nedenfra, jeg er ovenfra. Dere er av denne verden, jeg er ikke av denne verden. 
JHN.8.24	Derfor sa jeg til dere at dere skal dø i deres synder. For dersom dere ikke tror at JEG ER* den jeg er, skal dere dø i deres synder. 
JHN.8.25	De sa da til ham: Hvem er du? Jesus sa til dem: Nettopp det jeg sier dere! 
JHN.8.26	Mangt har jeg å si og dømme om dere! Men han som har sendt meg, er sanndru, og det jeg har hørt av ham, det taler jeg til verden. 
JHN.8.27	De skjønte ikke at det var om Faderen han talte til dem. 
JHN.8.28	Jesus sa da: Når dere får opphøyet Menneskesønnen, da skal dere forstå at JEG ER den jeg er. Og av meg selv gjør jeg ingenting, men slik som Faderen har lært meg, slik taler jeg dette. 
JHN.8.29	Han som har sendt meg, er med meg. Han har ikke latt meg bli alene, for jeg gjør alltid det som er til behag for ham. 
JHN.8.30	Da han talte dette, var det mange som trodde på ham. 
JHN.8.31	Jesus sa da til de judeerne som var kommet til tro på ham: Dersom dere blir i mitt ord, da er dere i sannhet mine disipler. 
JHN.8.32	Og dere skal kjenne sannheten, og sannheten skal frigjøre dere. 
JHN.8.33	De svarte ham: Vi er Abrahams ætt og har aldri vært treller under noen! Hvordan kan du da si: Dere skal bli fri? 
JHN.8.34	Jesus svarte dem: Sannelig, sannelig sier jeg dere: Hver den som gjør synd, er syndens trell. 
JHN.8.35	Men trellen blir ikke i huset til evig tid. Sønnen blir der til evig tid. 
JHN.8.36	Får da Sønnen frigjort dere, da blir dere virkelig fri. 
JHN.8.37	Jeg vet at dere er av Abrahams ætt. Men dere søker å drepe meg, fordi mitt ord ikke får rom hos dere. 
JHN.8.38	Jeg taler det jeg har sett hos min Far, og dere gjør det dere har hørt av deres far. 
JHN.8.39	De svarte og sa til ham: Vår far er Abraham! Jesus sier til dem: Var dere Abrahams barn, da gjorde dere Abrahams gjerninger. 
JHN.8.40	Men nå søker dere å drepe meg - et menneske som har sagt dere sannheten, den som jeg har hørt av Gud. Det gjorde ikke Abraham. 
JHN.8.41	Dere gjør deres fars gjerninger. De sa da til ham: Vi er ikke født i hor! Vi har én far, Gud. 
JHN.8.42	Jesus sa til dem: Var Gud deres far, da hadde dere elsket meg. For jeg kommer fra Gud og er utgått fra ham. For jeg er heller ikke kommet av meg selv, men han har utsendt meg. 
JHN.8.43	Hvorfor skjønner dere ikke det jeg taler? Fordi dere ikke tåler å høre mitt ord! 
JHN.8.44	Dere har djevelen til far, og dere vil gjøre etter deres fars lyster. Han var en drapsmann fra begynnelsen og står ikke i sannheten. For det er ikke sannhet i ham. Når han taler løgn, taler han av sitt eget, for han er en løgner og løgnens far. 
JHN.8.45	Men fordi jeg sier sannheten, tror dere meg ikke. 
JHN.8.46	Hvem av dere kan overbevise meg om synd? Men sier jeg sannheten, hvorfor tror dere meg da ikke? 
JHN.8.47	Den som er av Gud, hører Guds ord. Dere hører ikke, fordi dere ikke er av Gud. 
JHN.8.48	Judeerne svarte og sa til ham: Sier vi ikke med rette at du er en samaritan og en besatt? 
JHN.8.49	Jesus svarte: Jeg er ikke besatt. Men jeg ærer min Far, og dere vanærer meg. 
JHN.8.50	Jeg søker ikke min egen ære. Det er en som søker den, og han dømmer. 
JHN.8.51	Sannelig, sannelig sier jeg dere: Om noen holder fast på mitt ord, skal han aldri i evighet se døden. 
JHN.8.52	Da sa judeerne til ham: Nå skjønner vi at du er besatt. Abraham døde, og profetene likeså, men du sier: Den som holder fast på mitt ord, skal aldri i evighet smake døden! 
JHN.8.53	Du er da vel ikke større enn vår far Abraham som døde? Også profetene døde. Hvem gjør du deg selv til? 
JHN.8.54	Jesus svarte: Dersom jeg ærer meg selv, da er min ære ingenting. Det er min Far som ærer meg, han som dere sier er deres Gud. 
JHN.8.55	Dere kjenner ham ikke, men jeg kjenner ham. Dersom jeg sier at jeg ikke kjenner ham, da blir jeg en løgner som dere. Men jeg kjenner ham og holder fast på hans ord. 
JHN.8.56	Abraham, deres far, frydet seg til å se min dag. Og han så den og gledet seg. 
JHN.8.57	Judeerne sa da til ham: Du er ennå ikke femti år og har sett Abraham? 
JHN.8.58	Jesus sa til dem: Sannelig, sannelig sier jeg dere: JEG ER før Abraham ble til. 
JHN.8.59	De tok da opp steiner for å kaste på ham. Men Jesus skjulte seg og gikk ut av templet. 
JHN.9.1	Og da han gikk videre, så han en mann som var født blind. 
JHN.9.2	Disiplene hans spurte ham: Rabbi, hvem har syndet, han eller foreldrene hans, siden han ble født blind? 
JHN.9.3	Jesus svarte: Verken han eller foreldrene hans har syndet. Men det er skjedd for at Guds gjerninger skulle åpenbares på ham. 
JHN.9.4	Jeg må gjøre hans gjerninger som har sendt meg, så lenge det er dag. Natten kommer da ingen kan arbeide. 
JHN.9.5	Mens jeg er i verden, er jeg verdens lys. 
JHN.9.6	Da han hadde sagt dette, spyttet han på jorden, laget en deig av spyttet og smurte deigen på øynene hans. 
JHN.9.7	Og han sa til ham: Gå og vask deg i dammen Siloa! - det betyr: utsendt. Han gikk da bort og vasket seg, og kom tilbake seende. 
JHN.9.8	Naboene og de som før hadde sett ham sitte og tigge, sa da: Er det ikke han som satt og tigget? 
JHN.9.9	Noen sa: Jo, det er han! Andre sa: Nei, men han ligner ham! Han selv sa: Det er meg. 
JHN.9.10	De sa da til ham: Hvordan ble dine øyne åpnet? 
JHN.9.11	Han svarte: Den mannen som heter Jesus, gjorde en deig og smurte på øynene mine og sa til meg: Gå til Siloa og vask deg! Da jeg så gikk bort og vasket meg, kunne jeg se. 
JHN.9.12	De sa til ham: Hvor er han? Han sier: Jeg vet ikke. 
JHN.9.13	De førte da ham som hadde vært blind til fariseerne. 
JHN.9.14	Det var sabbat den dagen da Jesus laget deigen og åpnet øynene hans. 
JHN.9.15	Også fariseerne spurte ham da igjen om hvordan han hadde fått synet. Han sa til dem: Han la en deig på øynene mine, jeg vasket meg, og nå ser jeg. 
JHN.9.16	Noen av fariseerne sa da: Denne mannen er ikke fra Gud, siden han ikke holder sabbaten. Andre sa: Hvordan kan et menneske som er en synder, gjøre slike tegn? Og det var uenighet blant dem. 
JHN.9.17	Da sier de igjen til den blinde: Hva sier du om ham, siden det var dine øyne han åpnet? Han sa: Han er en profet! 
JHN.9.18	Judeerne trodde da ikke om ham at han hadde vært blind og fått sitt syn, før de fikk kalt for seg foreldrene til ham som hadde fått synet. 
JHN.9.19	De spurte dem: Er dette sønnen deres, som dere sier er født blind? Hvordan har det seg da at han nå ser? 
JHN.9.20	Hans foreldre svarte: Vi vet at dette er sønnen vår, og at han ble født blind. 
JHN.9.21	Men hvordan det har seg at han nå ser, det vet vi ikke. Og hvem som har åpnet øynene hans, vet vi heller ikke. Spør ham selv, han er gammel nok til å svare for seg. 
JHN.9.22	Dette sa foreldrene hans fordi de var redde for judeerne. For judeerne var allerede blitt enige om at dersom noen bekjente at Jesus var Messias, skulle han utstøtes av synagogen. 
JHN.9.23	Derfor sa hans foreldre: Han er gammel nok! Spør ham selv. 
JHN.9.24	De kalte da for andre gang til seg mannen som hadde vært blind, og sa til ham: Gi Gud ære! Vi vet at denne mannen er en synder. 
JHN.9.25	Han svarte da: Om han er en synder, vet jeg ikke. Ett vet jeg: at jeg som var blind, nå ser! 
JHN.9.26	De sa til ham: Hva gjorde han med deg? Hvordan åpnet han øynene dine? 
JHN.9.27	Han svarte dem: Jeg har allerede sagt dere det, og dere hørte ikke på det. Hvorfor vil dere høre det nå igjen? Kanskje også dere vil bli disiplene hans? 
JHN.9.28	Da skjelte de ham ut og sa: Du er hans disippel! Men vi er disipler av Moses. 
JHN.9.29	Vi vet at til Moses har Gud talt. Men hvor denne mannen er fra, vet vi ikke. 
JHN.9.30	Mannen svarte dem: Dette er da merkelig! Dere vet ikke hvor han er fra, enda han har åpnet øynene mine! 
JHN.9.31	Vi vet at Gud ikke hører syndere, men han hører den som er gudfryktig og gjør hans vilje. 
JHN.9.32	Aldri fra verden ble til, har en hørt at noen har åpnet øynene på en blindfødt. 
JHN.9.33	Var ikke denne mannen fra Gud, kunne han ingenting gjøre. 
JHN.9.34	De svarte og sa til ham: Du er helt og fullt født i synder, og du vil lære oss? Og de kastet ham ut. 
JHN.9.35	Jesus fikk høre at de hadde kastet ham ut. Da han hadde funnet ham, sa han: Tror du på Guds Sønn? 
JHN.9.36	Mannen svarte: Hvem er han, Herre, så jeg kan tro på ham? 
JHN.9.37	Jesus sa til ham: Du har sett ham. Han som taler med deg, han er det. 
JHN.9.38	Han sa: Jeg tror, Herre! Og han falt ned for ham i tilbedelse. 
JHN.9.39	Og Jesus sa: Til dom er jeg kommet til denne verden, for at de som ikke ser, skal se, og de som ser, skal bli blinde. 
JHN.9.40	Noen av fariseerne som var der sammen med ham, hørte dette, og de sa til ham: Vi er kanskje også blinde? 
JHN.9.41	Jesus sa til dem: Var dere blinde, da hadde dere ikke synd. Men nå sier dere: Vi ser! Derfor er dere fremdeles skyldige. 
JHN.10.1	Sannelig, sannelig sier jeg dere: Den som ikke går inn i fårekveen gjennom døren, men stiger over et annet sted, han er en tyv og en røver. 
JHN.10.2	Men den som går inn gjennom døren, han er fårenes hyrde. 
JHN.10.3	For ham lukker dørvokteren opp. Fårene hører hans røst, og han kaller sine får ved navn og fører dem ut. 
JHN.10.4	Når han har fått alle sine får ut, går han foran dem, og fårene følger ham, fordi de kjenner hans røst. 
JHN.10.5	Men en fremmed vil de ikke følge. De vil flykte fra ham, for de kjenner ikke de fremmedes røst. 
JHN.10.6	Denne lignelsen fortalte Jesus til dem, men de skjønte ikke hva det var han talte til dem. 
JHN.10.7	Jesus talte da igjen: Sannelig, sannelig sier jeg dere: Jeg er døren inn til fårene. 
JHN.10.8	Alle de som er kommet før meg, er tyver og røvere. Men fårene hørte ikke på dem. 
JHN.10.9	Jeg er døren. Om noen går inn gjennom meg, skal han bli frelst. Og han skal gå inn og gå ut og finne føde. 
JHN.10.10	Tyven kommer bare for å stjele og myrde og ødelegge. Jeg er kommet for at de skal ha liv og ha overflod. 
JHN.10.11	Jeg er den gode hyrde. Den gode hyrde setter sitt liv til for fårene. 
JHN.10.12	Men den som er leiekar og ikke hyrde, den som ikke eier fårene, forlater fårene og flykter når han ser ulven komme. Og ulven røver dem og jager dem fra hverandre. 
JHN.10.13	For han er leiekar og har ingen omsorg for fårene. 
JHN.10.14	Jeg er den gode hyrde. Jeg kjenner mine, og mine kjenner meg, 
JHN.10.15	likesom Faderen kjenner meg, og jeg kjenner Faderen. Jeg setter mitt liv til for fårene. 
JHN.10.16	Jeg har også andre får, som ikke hører til i denne innhegningen. Også dem må jeg lede, og de skal høre min røst. Og det skal bli én hjord og én hyrde. 
JHN.10.17	Derfor elsker Faderen meg, fordi jeg setter mitt liv til for at jeg skal ta det igjen. 
JHN.10.18	Ingen tar det fra meg, men jeg setter det til av meg selv. Jeg har makt til å sette det til, og jeg har makt til å ta det igjen. Dette budet fikk jeg av min Far. 
JHN.10.19	Det ble igjen splittelse blant jødene på grunn av disse ordene. 
JHN.10.20	Mange av dem sa: Han er besatt av en ond ånd og er gal. Hvorfor hører dere på ham? 
JHN.10.21	Andre sa: Dette er ikke en besatt manns ord. En ond ånd kan vel ikke åpne øynene på blinde? 
JHN.10.22	Men det var tempelvielsens fest i Jerusalem. Det var vinter. 
JHN.10.23	Jesus gikk omkring i templet, i Salomos søylegang. 
JHN.10.24	Judeerne flokket seg da om ham og sa til ham: Hvor lenge vil du holde oss i uvisshet? Er du Messias, så si oss det rett ut! 
JHN.10.25	Jesus svarte dem: Jeg har sagt dere det, og dere tror det ikke. De gjerningene jeg gjør i min Fars navn, de vitner om meg. 
JHN.10.26	Men dere tror ikke, fordi dere ikke er av mine får. 
JHN.10.27	Mine får hører min røst, jeg kjenner dem, og de følger meg. 
JHN.10.28	Og jeg gir dem evig liv, de skal aldri i evighet gå fortapt, og ingen skal rive dem ut av min hånd. 
JHN.10.29	Min Far, som har gitt meg dem, er større enn alle, og ingen kan rive dem ut av min Fars hånd. 
JHN.10.30	Jeg og Faderen er ett. 
JHN.10.31	Judeerne tok da igjen opp steiner for å steine ham. 
JHN.10.32	Jesus svarte dem: Mange gode gjerninger fra min Far har jeg vist dere. Hvilken av dem er det dere vil steine meg for? 
JHN.10.33	Judeerne svarte ham: For noen god gjerning steiner vi deg ikke, men for gudsbespottelse, fordi du som er et menneske, gjør deg selv til Gud. 
JHN.10.34	Jesus svarte dem: Står det ikke skrevet i deres lov: Jeg har sagt: Dere er guder? 
JHN.10.35	Når loven har kalt dem som Guds ord kom til, for guder - og Skriften kan ikke gjøres ugyldig - 
JHN.10.36	hvordan kan dere da si til ham som Faderen har helliget og sendt til verden: Du spotter Gud! - fordi jeg har sagt: Jeg er Guds Sønn? 
JHN.10.37	Dersom jeg ikke gjør min Fars gjerninger, så tro meg ikke! 
JHN.10.38	Men hvis jeg gjør dem, da tro gjerningene, om dere ikke vil tro meg, for at dere kan forstå og vite at Faderen er i meg, og jeg i Faderen. 
JHN.10.39	Da prøvde de igjen å gripe ham, men han slapp ut av deres hånd. 
JHN.10.40	Så dro han igjen over til den andre siden av Jordan, til det stedet der Johannes først var og døpte. Der ble han en tid. 
JHN.10.41	Mange kom til ham, og de sa: Johannes gjorde nok ingen tegn, men alt det Johannes sa om denne mannen, var sant. 
JHN.10.42	Og mange trodde på ham der. 
JHN.11.1	Det var en mann som var syk, Lasarus fra Betania, byen som Maria og hennes søster Marta bodde i. 
JHN.11.2	Det var Maria som salvet Herren med salve og tørket føttene hans med sitt hår. Det var hennes bror, Lasarus, som var syk. 
JHN.11.3	Søstrene sendte nå bud til ham og sa: Herre! se, han som du elsker, er syk. 
JHN.11.4	Men da Jesus hørte det, sa han: Denne sykdommen er ikke til døden, men til Guds ære, for at Guds Sønn skal bli æret ved den. 
JHN.11.5	Jesus elsket Marta og hennes søster og Lasarus. 
JHN.11.6	Da han nå hørte at han var syk, ble han likevel enda to dager på det stedet der han var. 
JHN.11.7	Da først sier han til disiplene: La oss dra tilbake til Judea. 
JHN.11.8	Disiplene sa til ham: Rabbi, nylig prøvde judeerne å steine deg, og du drar dit igjen? 
JHN.11.9	Jesus svarte: Er det ikke tolv timer i en dag? Den som vandrer om dagen, snubler ikke, for han ser denne verdens lys. 
JHN.11.10	Men den som vandrer om natten, han snubler, fordi lyset ikke er i ham. 
JHN.11.11	Dette talte han. Deretter sier han til dem: Vår venn Lasarus er sovnet inn, men jeg går for å vekke ham. 
JHN.11.12	Disiplene sa da til ham: Herre, hvis han er sovnet, da blir han frisk igjen. 
JHN.11.13	Jesus hadde talt om hans død, men de tenkte at han talte om vanlig søvn. 
JHN.11.14	Da sa Jesus rett ut til dem: Lasarus er død! 
JHN.11.15	Og for deres skyld er jeg glad at jeg ikke var der, for at dere skal tro. Men la oss gå til ham! 
JHN.11.16	Tomas, han som ble kalt tvilling, sa da til sine med-disipler: La oss gå med, også vi, så vi kan dø sammen med ham! 
JHN.11.17	Da nå Jesus kom fram, fant han at Lasarus allerede hadde ligget fire dager i graven. 
JHN.11.18	Betania ligger nær ved Jerusalem, omtrent femten stadier borte. 
JHN.11.19	Og mange av jødene var kommet til Marta og Maria for å trøste dem i sorgen over deres bror. 
JHN.11.20	Da Marta nå fikk høre at Jesus kom, gikk hun for å møte ham. Men Maria satt hjemme i huset. 
JHN.11.21	Marta sa da til Jesus: Herre, hadde du vært her, da var min bror ikke død! 
JHN.11.22	Men også nå vet jeg at alt det du ber Gud om, vil Gud gi deg. 
JHN.11.23	Jesus sier til henne: Din bror skal stå opp! 
JHN.11.24	Marta sier til ham: Jeg vet at han skal stå opp i oppstandelsen på den siste dag. 
JHN.11.25	Jesus sa til henne: Jeg er oppstandelsen og livet. Den som tror på meg, skal leve om han enn dør. 
JHN.11.26	Og hver den som lever og tror på meg, skal aldri i evighet dø. Tror du dette? 
JHN.11.27	Hun sier til ham: Ja, Herre! Jeg tror at du er Messias, Guds Sønn, han som skal komme til verden. 
JHN.11.28	Da hun hadde sagt dette, gikk hun og kalte i stillhet på sin søster Maria, og sa: Mesteren er her og kaller på deg. 
JHN.11.29	Da hun hørte det, sto hun fort opp og gikk til ham. 
JHN.11.30	Jesus var ennå ikke kommet inn i landsbyen, men var på det stedet hvor Marta hadde møtt ham. 
JHN.11.31	Da nå de jødene som var hjemme hos Maria for å trøste henne, så at hun brått reiste seg og gikk ut, fulgte de etter. De tenkte at hun ville gå til graven for å gråte der. 
JHN.11.32	Da Maria kom dit hvor Jesus var, og fikk se ham, falt hun ned for hans føtter og sa til ham: Herre, hadde du vært her, da var min bror ikke død! 
JHN.11.33	Da nå Jesus så henne gråte, og så de jødene gråte som var kommet sammen med henne, ble han opprørt i sin ånd og rystet. 
JHN.11.34	Og han sa: Hvor har dere lagt ham? De sier til ham: Herre, kom og se! 
JHN.11.35	Jesus gråt. 
JHN.11.36	Jødene sa da: Se hvor han elsket ham! 
JHN.11.37	Men noen av dem sa: Kunne ikke han som har åpnet den blindes øyne, også ha gjort det slik at denne mannen ikke var død? 
JHN.11.38	Jesus ble da igjen opprørt i sitt indre. Han kom til graven. Det var en hule, og en stein lå foran den. 
