GEN.1.1	Ala y'a ka danni daminɛ tuma min na, a kɔnna ka sankolo ni dugukolo le dan.
SIR.43.27	nga an te se k'a bɛɛ ban.
SIR.43.27	O la, an daan ye k'a fɔ ko koo bɛɛ b'a bolo.
SIR.43.28	An be se k'a tanufanga sɔrɔ min?
SIR.43.28	Bari a ka bon, a tɛmɛn'a ka danfɛnw bɛɛ kan.
SIR.43.29	Matigi ye siranfɛn ye,
SIR.43.29	a ka bon kosɔbɛ,
SIR.43.29	a ka sebagaya ɲɔgɔn te yen.
SIR.43.30	N'aw b'a fɛ ka Matigi tanu,
SIR.43.30	aw k'a ka boɲa fɔ n'aw barika bɛɛ ye,
SIR.43.30	nga aw tena se a ka boɲa daan na.
SIR.43.30	N'aw b'a fɛ k'a bato fana,
SIR.43.30	aw k'aw fanga bɛɛ don,
SIR.43.30	aw kan'a dabila,
SIR.43.30	nga aw tena se a bato daan na.
SIR.43.31	Jɔn le ye Ala ye n'o tigi bena se k'a cogo fɔ?
SIR.43.31	Jɔn be se k'a boɲa ka kɛɲɛ n'a cogo ye?
SIR.43.32	An kɔni ɲaa b'a ka kɛwali damani le la,
SIR.43.32	nga an ɲaa te caaman na,
SIR.43.32	olu ka bon bon haali.
SIR.43.33	Matigi le ye fɛɛn bɛɛ dan,
SIR.43.33	a ye lɔnniya di Alaɲasiranbagaw ma.
SIR.44.1	Mɔgɔ minw ye tɔgɔ sɔrɔ,
SIR.44.1	an ka olu makiri.
SIR.44.1	An k'an bɛmaw makiri ka kɛɲɛ n'u nacogo ye.
SIR.44.2	Matigi ye boɲa la u kan kosɔbɛ,
SIR.44.2	mɔgɔbabaw tun lo, fɔlɔfɔlɔ la.
SIR.44.3	Mɔgɔ dɔw tun sɔrɔla ka kɛ masaw ye k'u ka yɔrɔ mara,
SIR.44.3	minw ye tɔgɔw sɔrɔ u ka sebagaya kosɔn,
SIR.44.3	minw kɛra ladilikɛlaŋanaw ye u ka hakilitigiya kama,
SIR.44.3	ka kɛ lagwɛlikɛlaw ye.
SIR.44.4	Dɔw kɛra jama kuntigisɔbɛw ye,
SIR.44.4	dɔw kɛra ɲamɔgɔ hakilimanw ye,
SIR.44.4	dɔw kɛra lɔnnikɛlaw ye k'u ka miiriyaw sɛbɛn,
SIR.44.4	dɔw kɛra kalanfa lɔnnikɛlaw ye.
SIR.44.5	Dɔw ye dɔnkiliw labɛn,
SIR.44.5	dɔw ye makirikuma sɛbɛn.
SIR.44.6	Dɔw tun ye barika sɔrɔ u ka nafolo sababu la,
SIR.44.6	u fana tora hɛrɛ la u ka yɔrɔ la.
SIR.44.7	U bɛɛ ye boɲa sɔrɔ u ka waati la,
SIR.44.7	u y'u tanu k'u to sii la.
SIR.44.8	U dɔw tɔgɔ ma tunu u tɛmɛnin kɔ,
SIR.44.8	u b'u makirila halibi.
SIR.44.9	Nga dɔw be yen minw tununa pewu,
SIR.44.9	u tɛmɛna i ko u yɛrɛ tun ma wolo,
SIR.44.9	u ka koo kɛra i ko u ma kɛ yen ka ye fewu.
SIR.44.9	U deenw fana ta kɛra ten u kɔfɛ.
SIR.44.10	Nga mɔgɔɲuman dɔw filɛ,
SIR.44.10	mɔgɔ ma se ka ɲinɛ u kɔ,
SIR.44.10	u ka kɛwaliɲumanw kosɔn.
SIR.44.11	U ka nafolo sera u kɔmɔgɔw ma,
SIR.44.11	u tulomasamaw ye cɛɛn sɔrɔ u fɛ.
SIR.44.12	U kɔmɔgɔw b'u ka bɛɛn bato ni Ala ye,
SIR.44.12	u deenw tora o le kama.
SIR.44.13	U kɔmɔgɔw tena ban ka ye fewu,
SIR.44.13	boɲa min b'u kan,
SIR.44.13	foyi tena se k'o bɔ.
SIR.44.14	U lanin be hɛrɛ la kaburu kɔnɔ,
SIR.44.14	u tɔgɔ do be welela kudayi.
SIR.44.15	Mɔgɔw bɛɛ be u ka lɔnniya fɔ,
SIR.44.15	jama be u makiri la.
SIR.44.16	Enɔki koo diyara Matigi ye,
SIR.44.16	a y'a ta ka taga n'a ye a fɛ.
SIR.44.16	Ale ka koo kɛra ka sɔnyɛlɛma hakili di mɔgɔw ma
SIR.44.16	Alaɲasiran kosɔn.
SIR.44.17	Nuhun kɛra mɔgɔtilennin ye.
SIR.44.17	Ala ka dimi waati la,
SIR.44.17	ale lo kɛra sababu ye adamaden sii tora.
SIR.44.17	Ale lo barika la,
SIR.44.17	danfɛnw tɔɔ tora dugukolo kan
SIR.44.17	jiba tɛmɛnin kɔ.
SIR.44.18	Ala ye bɛɛn cɛnbaliw kɛ n'a ye,
SIR.44.18	ko a tena o balawu ɲɔgɔn kɛ tugu,
SIR.44.18	ka fɛɛn bɛɛ cɛn.
SIR.44.19	Ibrayima kɛra siya caaman faa ye,
SIR.44.19	a ka boɲa ɲɔgɔn tun te yen.
SIR.44.20	A ye Fɛɛn bɛɛ kuntigi ka sariya bato,
SIR.44.20	a bɛnna n'a ye fana,
SIR.44.20	a ye o bɛɛn nin taamasiɲɛ kɛ a yɛrɛ fari la,
SIR.44.20	o kɛra kɛnɛkɛnɛ ye.
SIR.44.20	Ala y'a kɔrɔbɔ tuma min na fana,
SIR.44.20	a kɛra kantigi ye.
SIR.44.21	O le y'a to,
SIR.44.21	Ala ye layidu ta a ye ko
SIR.44.21	siya wɛrɛw bena hɛrɛ sɔrɔ ka bɔ a kɔmɔgɔw fɛ.
SIR.44.21	A ye layidu t'a ye fana ko
SIR.44.21	a kɔmɔgɔw bena caya i ko cɛncɛn,
SIR.44.21	ko u bena boɲa sɔrɔ i ko lolow,
SIR.44.21	ko u bena jamana sɔrɔ u faso ye,
SIR.44.21	ko a daan bena kɛ kɔgɔji fila ye,
SIR.44.21	k'a ta Efarati baji ma,
SIR.44.21	fɔɔ ka se dugukolo daan na.
SIR.44.22	A y'o koo kelen le fɔ Isiyaka ye,
SIR.44.22	a y'o kɛ a facɛ Ibrayima kama.
SIR.44.23	K'a fɔ ko mɔgɔ bɛɛ bena hɛrɛ sɔrɔ,
SIR.44.23	a y'o koo nin kɛ kɛta ye Yakuba ka waati la le.
SIR.44.23	A y'o hɛrɛ nin sɔrɔ kɛ kɛta ye,
SIR.44.23	ka jamana d'a ma k'o kɛ a faso ye,
SIR.44.23	a ye min tilan sigiyɔrɔ sigiyɔrɔ
SIR.44.23	k'a di Yakuba deen tan ni fila kɔmɔgɔw ma.
SIR.44.23	Ala ye mɔgɔ dɔ woloma Yakuba kɔmɔgɔw cɛma,
SIR.44.23	mɔgɔɲuman dɔ,
SIR.44.23	a koo diyara mɔgɔ bɛɛ ye.
SIR.45.1	Musa koo diyara Ala ni mɔgɔw ye,
SIR.45.1	n'an miiril'a la,
SIR.45.1	an be Ala fo le dɔrɔn.
SIR.45.2	Ala ye mɛlɛkɛw ka boɲa ɲɔgɔn le l'a kan,
SIR.45.2	a y'a boɲa fɔɔ a juguw tun be siran a ɲa.
SIR.45.3	Ni Musa tun ye kabako min koo fɔ,
SIR.45.3	o tun be kɛ joona Ala fɛ,
SIR.45.3	Ala ye boɲa l'a kan faamaw ɲakɔrɔ,
SIR.45.3	a ye sariya d'a ma min kɛr'a ka jama ta ye,
SIR.45.3	a y'a to a y'ale Ala ka sebagaya dɔɔni ye.
SIR.45.4	Musa tun tilennin lo,
SIR.45.4	a ka koo tun ka di,
SIR.45.4	o la, Ala y'a kɛ a yɛrɛ ta ye,
SIR.45.4	k'a woloma ka bɔ tɔ nunu cɛma.
SIR.45.5	A kuman'a fɛ tigitigi,
SIR.45.5	a bilar'a ɲa sankabafin na.
SIR.45.5	A ye sariya d'a ma ɲaa ni ɲaa.
SIR.45.5	Sariya min b'a to mɔgɔ be to nii na,
SIR.45.5	ani ka hakili sɔrɔ,
SIR.45.5	janko ka Yakuba kɔmɔgɔw kalan bɛɛn la,
SIR.45.5	ani ka Isirayɛlidenw kalan a ka kolatigɛninw na.
SIR.45.6	Ala ye Arɔn kɛ mɔgɔbaba ye ka bɔ Levi kɔmɔgɔw la,
SIR.45.6	ale kɛra Ala ka mɔgɔ ye i ko a balimacɛ Musa.
SIR.45.7	Ala ye lɔyɔrɔ d'a ma ka kɛɲɛ ni sariya wilibali ye.
SIR.45.7	A y'a kɛ jama ka sarakalasebaga ye.
SIR.45.7	A ye masirifɛnw d'a ma k'a kɛ a dagamuna,
SIR.45.7	a ye foroca dakamana d'a ma.
SIR.45.8	A y'a masiri ni masirifɛnɲuman ɲumanw ye.
SIR.45.8	A y'a yɛrɛ ka sebagaya taamasiɲɛw l'a kan,
SIR.45.8	a ye kurusi ni foroca ani sarakalasefani d'a ma.
SIR.45.9	A tun ye gerenadiyiriden bisigi dilan fani dagolo la k'a lamini,
SIR.45.9	ani welennin sanulaman caaman,
SIR.45.9	olu tun be to ka mankan kɛ Arɔn taamatuma na,
SIR.45.9	u mankan tun be mɛn ten Alabatosoba kɔnɔ,
SIR.45.9	ka Ala hakili jigi a ka jama la.
SIR.45.10	Fanidanbagaŋana dɔ tun ye fani min dan ni jese kɔlɔbolaman ye,
SIR.45.10	ni wuleman ani sanu ye,
SIR.45.10	o le tun be Arɔn fɛ.
SIR.45.10	Kititigɛ disilafani tun be fani nin kan,
SIR.45.10	ni tiɲɛ yira fɛɛn.
SIR.45.11	Fanidanbagaŋana dɔ tun ye disilafani nin dan
SIR.45.11	ni jese wuleman cɔncɔn ye,
SIR.45.11	k'a masiri ni kabakuru sɔngɔgwɛlɛnw ye,
SIR.45.11	minw tun ɲɛgɛnna i ko taamasiɲɛlafɛn.
SIR.45.11	U tun ye Isirayɛli deen tan ni fila le tɔgɔ ɲɛgɛn u kan,
SIR.45.11	k'u don minɛfɛn sanulaman dɔ kɔnɔ,
SIR.45.11	sanubaaralaŋana ye minw lalaga.
SIR.45.12	Tulolanigɛ bisigi sanulaman dɔ tun dulonnin be Arɔn ka kunmelekefani na,
SIR.45.12	ni sɛbɛnɔ dɔ b'a kan ko:
SIR.45.12	«Matigi ta.»
SIR.45.12	Boɲa taamasiɲɛ tun lo,
SIR.45.12	nigɛbaarabagaŋana bulonɔ tun lo,
SIR.45.12	a filɛli tun ka di,
SIR.45.12	a kɛra masirifɛn dafanin ye.
SIR.45.13	O fani nunu ɲɔgɔn tun ma ye Arɔn ka tile ɲa,
SIR.45.13	u tun ka ɲi kosɔbɛ.
SIR.45.13	Mɔgɔ wɛrɛ tun t'u don fewu,
SIR.45.13	fɔɔ Arɔn dencɛw n'a kɔmɔgɔw,
SIR.45.13	olu le tun b'u don kudayi.
SIR.45.14	A tun be to ka saraka minw bɔ siɲɛ fila tile kɔnɔ kudayi,
SIR.45.14	olu tun be to ka jɛni le pewu.
SIR.45.15	Musa le tun y'a don o baara la,
SIR.45.15	ka tulu bɔn a kunna.
SIR.45.15	O ye bɛɛn cɛnbali ye kudayi,
SIR.45.15	a be to yen Arɔn n'a deenw faan fɛ
SIR.45.15	ka taga se diɲɛ wili ma.
SIR.45.15	U kɛra sarakalasebagaw ye,
SIR.45.15	u be yen ka Ala batoko ɲanabɔ,
SIR.45.15	ani ka duba kɛ jama ye Ala tɔgɔ la.
SIR.45.16	Arɔn le wolomana ka bɔ tɔɔ bɛɛ cɛma,
SIR.45.16	janko a ka to ka saraka jɛni sarakabɔyɔrɔ kan,
SIR.45.16	ani wusulan, o ka kɛ hakilijigifɛn ye,
SIR.45.16	ani ka jama ka kojuguw yafa sɔrɔ.
SIR.45.17	Ala tun y'a ka sariya ɲafɔko see di Arɔn ma,
SIR.45.17	janko a k'ale sago yira Yakuba kɔmɔgɔw la,
SIR.45.17	ani ka Isirayɛlidenw ɲaa yɛlɛ n'a ye.
SIR.45.18	Mɔgɔ wɛrɛw wilil'a kama kongokolon kɔnɔ,
SIR.45.18	a keliya donna u la,
SIR.45.18	u dimina kosɔbɛ,
SIR.45.18	olu tun ye Datan ni Abiramu kɔmɔgɔw ye,
SIR.45.18	ani Kore ka jɛnkulu.
SIR.45.19	Matigi y'o ye, o ma diy'a ye,
SIR.45.19	a dimina kosɔbɛ,
SIR.45.19	a y'a to kabako dɔ y'u sɔrɔ,
SIR.45.19	tasuma y'u jɛni ka ban pewu.
SIR.45.20	Matigi ye dɔ fara Arɔn ka kunkɔrɔta kan,
SIR.45.20	ka niyɔrɔ d'a ma,
SIR.45.20	a ye suman deen fɔlɔw kɛ a ta ye.
SIR.45.20	O seen fɛ, a ye balocogo di ale n'a kɔmɔgɔw ma.
SIR.45.21	O kama, olu ka dumuni ye sarakafɛnw ye,
SIR.45.21	minw bɔra Matigi ye,
SIR.45.21	Matigi y'o di ale n'a deenw ma.
SIR.45.22	U ma niyɔrɔ sɔrɔ dugukolo la Isirayɛlidenw cɛma,
SIR.45.22	niyɔrɔ t'u fɛ jama cɛma,
SIR.45.22	bari Ala le y'a fɔ ko:
SIR.45.22	«Ne le y'i niyɔrɔ ye,
SIR.45.22	n'i ka nafolo ye.»
SIR.45.23	Pinasi ye Eleyazari deen ye,
SIR.45.23	ale lo kɛra mɔgɔ sabanan ye boɲa lara min kan,
SIR.45.23	a ka jijali kama Alaɲasiran la.
SIR.45.23	O la, Ala yafara Isirayɛlidenw ma u ka kojuguw la.
SIR.45.24	O le kosɔn,
SIR.45.24	Ala ye hɛrɛ bɛɛn kɛ n'a ye
SIR.45.24	k'o kɛ a ka sara ye,
SIR.45.24	k'a kɛ sarakalasebaga ye a ka yɔrɔ la,
SIR.45.24	ani a ka jama kuntigi ye,
SIR.45.24	janko sarakabɔko kuntigiya ka to ale n'a deenw bolo kudayi.
SIR.45.25	Ala y'a daa di Zuda kɔmɔgɔ Zese deen Dawuda ma ko
SIR.45.25	Masaya bena to ka tɛmɛtɛmɛ faa n'a deen bolo,
SIR.45.25	nga o bena kɛ deen kelen dɔrɔn ye.
SIR.45.25	K'a sɔrɔ Arɔn cɛɛn ye a kɔmɔgɔw bɛɛ ta ye.
SIR.45.26	Ne be Ala dali aw Arɔn kɔmɔgɔw ye ko a ka lɔnniya d'aw ma,
SIR.45.26	janko aw ka se k'a ka jama ka koow ɲanabɔ tilenninya la,
SIR.45.26	aw kana fɔn aw ka tɔnɔw n'aw ka boɲa la waati nataw la.
SIR.46.1	Nun dencɛ Zozuwe tun kɛra kɛlɛkɛlaŋana ye.
SIR.46.1	Ale lo tun ye Musa nɔɔ ta ka kɛ kira ye,
SIR.46.1	a kɛra mɔgɔbaba ye,
SIR.46.1	ka tɔgɔ sɔrɔ ka Matigi ka jama wolomanin kisi.
SIR.46.1	A ye jama ni juguw ɲaa gwan,
SIR.46.1	minw tun wilila u kama,
SIR.46.1	a kɛra sababu ye,
SIR.46.1	Isirayɛlidenw ye dugukolo sɔrɔ.
SIR.46.2	A y'a bolo wili,
SIR.46.2	ani ka murujan bɔ duguw kama tuma min na,
SIR.46.2	boɲa jumɛn be yen a ma min sɔrɔ?
SIR.46.3	Mɔgɔ ma tɛmɛ a ɲa min tun kɛra cɛfari ye ten,
SIR.46.3	ale lo tun be Matigi ka kɛlɛbolo ɲa.
SIR.46.4	Tile tun ma lɔ ale lo sababu la wa?
SIR.46.4	Fɔɔ tile kelen jaɲana ka se tile fila ma.
SIR.46.5	Juguw tun y'a laminɛ k'a dɛrɛ tuma min na,
SIR.46.5	a ye Fɛɛn bɛɛ kuntigi, Setigi dali,
SIR.46.5	Matigi, Fɛnba y'a jaabi,
SIR.46.5	ka sanbɛrɛ jigi u kan kosɔbɛ.
SIR.46.6	A tun ye dɔ jigi u juguw kan,
SIR.46.6	a y'u kɛlɛbagaw halaki kulu jigijigiyɔrɔ la.
SIR.46.6	Siya wɛrɛ minw tun be Matigi kɛlɛla,
SIR.46.6	a tun ka kan olu k'a ka kɛlɛkɛminanw bɛɛ ye.
SIR.46.6	Bari, Zozuwe tun b'a Kuntigi ka fɔta dɔrɔn le kɛ.
SIR.46.7	Musa ka tile la,
SIR.46.7	Zozuwe ye kantigiya kɛ,
SIR.46.7	a ni Yefunɛ dencɛ Kalɛbu.
SIR.46.7	U tun banna jama ta ma,
SIR.46.7	ka jama bali u kana hakɛ kɛ,
SIR.46.7	ka ŋunuŋunukan bɔ u daa la.
SIR.46.8	O la, olu mɔgɔ fila dama le tora
SIR.46.8	kɛlɛden waa kɛmɛ wɔɔrɔ (600 000) cɛma,
SIR.46.8	olu le donna ni Ala ka jama ye jamana kɔnɔ,
SIR.46.8	k'a tigiya kɛ,
SIR.46.8	jamana min ka di kosɔbɛ.
SIR.46.9	Matigi ye barika don Kalɛbu la,
SIR.46.9	a tora n'o barika ye fɔɔ ka taga kɔrɔ.
SIR.46.9	A tagara kuluyɔrɔ mara kɛlɛ,
SIR.46.9	o yɔrɔ kɛr'a kɔmɔgɔw niyɔrɔ ye.
SIR.46.10	Isirayɛlidenw bɛɛ y'a faamu ten ko,
SIR.46.10	ka Matigi ka fɔta bato,
SIR.46.10	k'o le ka fisa.
SIR.46.11	Dɔ ka kan ka fɔ cɛfariw fana ka koo la!
SIR.46.11	U kelen kelen bɛɛ ye u ta kɛ.
SIR.46.11	Olu minw ma sɔn ka batofɛn wɛrɛw bato Matigi kɔ,
SIR.46.11	an k'an hakili to u la ka Ala tanu.
SIR.46.12	Hali k'u kolow to kaburu kɔnɔ,
SIR.46.12	Ala m'a kɛra nɔtabaga ka sɔrɔ u la,
SIR.46.12	o ka bɔ u deenw cɛma.
SIR.46.13	Samuyɛli koo tun ka di Ala ye.
SIR.46.13	A kɛra Matigi ka kira ye,
SIR.46.13	ale lo ye masayako dabɔ.
SIR.46.13	A tora ka kuntigiw woloma k'u kɛ masaw ye a ka jama kunna.
SIR.46.14	A tun be jama ka koow ɲanabɔ
SIR.46.14	ka kɛɲɛ ni Matigi ka sariya ye.
SIR.46.14	O la, Ala tora ni Yakuba kɔmɔgɔw ye.
SIR.46.15	U y'a lɔn kirasɔbɛ ye
SIR.46.15	a ka kantigiya fɛ.
SIR.46.15	A fana lɔnna yelikɛlaɲuman ye
SIR.46.15	tiɲɛ fɔ kama.
SIR.46.16	A juguw tun y'a dɛrɛ tuma min na,
SIR.46.16	a ye Matigi Setigi dali
SIR.46.16	ka sagadennin kɛ saraka ye.
SIR.46.17	Ka Matigi to sankolo la,
SIR.46.17	a pɛrɛnna,
SIR.46.17	a y'a kaan bɔ mankanba kɔnɔ.
SIR.46.18	A y'a kɛ juguw kuntigiw bɛɛ majigira,
SIR.46.18	olu minw ye filisiw ɲamɔgɔw ye.
SIR.46.19	Sanni a ka sa, a y'a fɔ
SIR.46.19	Matigi n'a ka masacɛ ɲana ko
SIR.46.19	ale ma mɔgɔ ka nafolo minɛ ka ye,
SIR.46.19	hali sanbara yɛrɛ.
SIR.46.19	Ko mɔgɔ si te se k'ale jalaki.
SIR.46.20	A fana sanin kɔ,
SIR.46.20	a tora ka kirayakuma fɔ,
SIR.46.20	a ye masacɛ dɔ laban cogo fɔ a ye.
SIR.46.20	K'a to kaburu kɔnɔ, a kaan mɛnna,
SIR.46.20	a ye Ala ka cii fɔ,
SIR.46.20	janko jama ka kojuguw ka yafa.
SIR.47.1	Samuyɛli tɛmɛnin kɔ,
SIR.47.1	Natan le tugura,
SIR.47.1	a ye kiraya kɛ Dawuda ka tile la.
SIR.47.2	U be jɛnɲɔgɔnya saraka bɔ,
SIR.47.2	k'a tulu bɔ danna cogo min na,
SIR.47.2	a kɛra ten,
SIR.47.2	Dawuda wolomana ka bɔ Isirayɛlidenw cɛma.
SIR.47.3	A tun be to ka tolon kɛ jaraw la i ko badenw,
SIR.47.3	ka waraw kɛ i ko sagadenw.
SIR.47.4	K'a to a ka denmisɛnya la,
SIR.47.4	a ye cɛjan dɔ faga,
SIR.47.4	o cogo la,
SIR.47.4	a ye maloya bɔ a ka siya kunna.
SIR.47.4	A ye bɛrɛ don a ka bɛrɛbonnan kɔnɔ tuma min na,
SIR.47.4	a ye dabayakuma fɔbaga Goliyati faga.
SIR.47.5	A tun ye Matigi,
SIR.47.5	Fɛɛn bɛɛ kuntigi dali,
SIR.47.5	ale ye barika don a la,
SIR.47.5	a ye kɛlɛdenŋana faga,
SIR.47.5	ka fanga di a ka siya ma.
SIR.47.6	O le y'a to a ye boɲa sɔrɔ,
SIR.47.6	u ko a ye jugu mɔgɔ waa tan (10 000) faga,
SIR.47.6	u y'a tanu ka to ka Matigi fo.
SIR.47.6	U ye masafugulan biri a kunna.
SIR.47.7	Bari a y'u laminijuguw kolo u ye,
SIR.47.7	a y'a kɛlɛbaga filisiw halaki,
SIR.47.7	a y'u ka fanga cɛn pepewu.
SIR.47.8	O bɛɛ la fana,
SIR.47.8	a ye Fɛɛn bɛɛ kuntigi Ala boɲa,
SIR.47.8	a y'a tanu kuma na.
SIR.47.8	A ye dɔnkili la a ye n'a dusu bɛɛ ye,
SIR.47.8	a Danbaga koo diyar'a ye.
SIR.47.9	A ye dɔnkililabagaw ka jɛnkulu sigi sarakabɔyɔrɔ kɔrɔ,
SIR.47.9	janko olu ka to ka dɔnkili la yen.
SIR.47.10	A ye ɲanagwɛw koo boɲa,
SIR.47.10	a y'o kɛcogo ɲanabɔ kosɔbɛ,
SIR.47.10	janko u ka se ka Matigi tɔgɔɲuman fɔ,
SIR.47.10	kabini dugugwɛdafɛ fɔli ka kɛ Ala ka yɔrɔ la.
SIR.47.11	Matigi ye Dawuda ka fili yafa a ma,
SIR.47.11	a ye see d'a ma kudayi.
SIR.47.11	A ye bɛɛn kɛ n'a ye masaya kosɔn
SIR.47.11	k'a ka masaya sabati Isirayɛlidenw kunna.
SIR.47.12	Dawuda tɛmɛnin kɔ,
SIR.47.12	a deen hakilitigi dɔ tugur'a kɔ.
SIR.47.12	O deen nin ka koo sabatira Dawuda le barika la.
SIR.47.13	Solomani y'a ka waati kɛ ɲasuma na,
SIR.47.13	hɛrɛ tun be ale n'a juguw bɛɛ cɛ.
SIR.47.13	A kɛra ten,
SIR.47.13	Solomani sera ka batoso lɔ k'a di Matigi ma,
SIR.47.13	a ye sigiyɔrɔ labɛn Matigi ye kudayi.
SIR.47.14	Solomani, e kɔni ye lɔnniya sɔrɔ e denmisɛn tuma!
SIR.47.14	Hakili b'i fɛ kosɔbɛ i ko baa fanin be jii la cogo min na.
SIR.47.15	E ka lɔnniya sera dugukolo yɔrɔ bɛɛ la,
SIR.47.15	e ka siirinw n'i ka talenw y'a fa.
SIR.47.16	E tɔgɔ bɔra fɔɔ ka se dugukolodenninw kan yɔrɔjan kɔgɔji cɛma,
SIR.47.16	e koo diyara mɔgɔw ye e ka hɛrɛ ɲini kosɔn.
SIR.47.17	E ka dɔnkiliw, ani e ka talenw n'i ka siirinw,
SIR.47.17	an'i ka jaabiliw tun ka di mɔgɔ bɛɛ ye.
SIR.47.18	E tun ye sanu sɔrɔ i ko fugan,
SIR.47.18	ka warigwɛ sɔrɔ i ko nigɛ gwansan.
SIR.47.18	Matigi Ala tɔgɔ la,
SIR.47.18	min tɔgɔ ko Isirayɛli ka Ala.
SIR.47.19	Nga i ye musoko diya i yɛrɛ ye kosɔbɛ,
SIR.47.19	o la, e tun kɛra i ko jɔɔn,
SIR.47.19	musoko fɛ.
SIR.47.20	E y'a kɛ ten, dɔ bɔra e ka boɲa na,
SIR.47.20	e y'i kɔmɔgɔw nɔgɔ,
SIR.47.20	k'a kɛ Ala dimina u kɔrɔ.
SIR.47.21	E ka jamana nana tilan ka kɛ fila ye,
SIR.47.21	Efarayimu kɔmɔgɔw murutira ka dɔ kɛ.
SIR.47.22	Nga o bɛɛ n'a ta,
SIR.47.22	Matigi m'a ka ɲumanya dabila,
SIR.47.22	a ka layidu ma to dafabali,
SIR.47.22	A m'a to a ka mɔgɔ wolomanin kɔmɔgɔw ka ban.
SIR.47.22	Mɔgɔ min koo diyar'a ye,
SIR.47.22	a ma sɔn o tigi ka siya ka tunu.
SIR.47.22	A ye tɔɔ to Yakuba ka siya la,
SIR.47.22	ka nɔtabaga di Dawuda ma a kɔmɔgɔw la.
SIR.47.23	Solomani sara u y'a la n'a faaw ye tuma min na,
SIR.47.23	a tun y'a kɔmɔgɔ nalomanba hakilitan to a kɔfɛ.
SIR.47.23	Orobowamu wilila ka koo dɔ latigɛ,
SIR.47.23	min kɛra sababu ye jama murutira.
SIR.47.23	Nebati dencɛ Zerobowamu ye hakɛ kɛ,
SIR.47.23	a fana ye hakɛ kɛ sira yira Efarayimu kɔmɔgɔw la.
SIR.47.24	Olu ye hakɛ kɛ kosɔbɛ
SIR.47.24	fɔɔ u y'u minɛ ka taga n'u ye jamana wɛrɛ la.
SIR.47.25	U tora kodagabali la
SIR.47.25	fɔɔ u tagara halaki.
SIR.48.1	Kira Eli wilila i ko tasuma,
SIR.48.1	a ka kuma tun be manamana i ko tasuma.
SIR.48.2	A tun y'a kɛ kɔngɔ donna u fɛ,
SIR.48.2	a ka jijali barika la,
SIR.48.2	a y'a kɛ u tɔɔ tora fitini.
SIR.48.3	Ka kɛɲɛ ni Matigi ka fɔta ye,
SIR.48.3	a y'a kɛ saan lɔra,
SIR.48.3	a fana y'a kɛ tasuma bɔra sanfɛ ka ben siɲɛ saba.
SIR.48.4	Eli, i ye tɔgɔ sɔrɔ i ka kabakow kosɔn!
SIR.48.4	Jɔn be se k'a yɛrɛ boɲa ko a be se i ta ɲɔgɔn na?
SIR.48.5	Ka kɛɲɛ ni Fɛɛn bɛɛ kuntigi Ala ka fɔta ye,
SIR.48.5	i ye mɔgɔ sanin kunun,
SIR.48.5	i ye suu wili ka bɔ kaburu la.
SIR.48.6	I ye masacɛw halaki,
SIR.48.6	ka mɔgɔbabaw kɛ u bɔra u ka dilanw kan
SIR.48.6	ka don kaburu kɔnɔ.
SIR.48.7	K'i to Sinayi kulu kan min ye 
SIR.48.7	Matigi y'i halaki, a y'i kiti kosɔbɛ.
SIR.48.8	I ye masacɛw mɔ ni tulu ye dɔw nɔɔ na,
SIR.48.8	i ye kira wɛrɛw woloma k'u bila i nɔɔ na.
SIR.48.9	E min yɛlɛla sanfɛ,
SIR.48.9	funufunu tasumalaman kɔnɔ,
SIR.48.9	ni wotoro ye soo tasumalamanw be min samana,
SIR.48.10	ka kɛɲɛ ni Ala ka kuma ye,
SIR.48.10	e kɔni labɛnnin lo loon kama,
SIR.48.10	e bena Ala ka dimi manla loon min na fɔlɔ sanni a ka wili.
SIR.48.10	Ele le bena faa ni deen kɛ u be bɛn,
SIR.48.10	e bena Isirayɛli deen tan ni fila kɔmɔgɔw kɛ u be sigi ka ɲa.
SIR.48.11	Mɔgɔ minw y'i ye,
SIR.48.11	olu dagamunin lo,
SIR.48.11	ani minw sara k'u to Ala kanu la.
SIR.48.11	An fana, an bena to nii na.
SIR.48.12	Funufunu tagara ni Eli ye ka ban tuma min na,
SIR.48.12	sebagaya min tun be Eli fɛ,
SIR.48.12	o yɛlɛmana Elize fɛ.
SIR.48.12	Elize ma sɔn k'a yɛrɛ to faama si ka se a kɔrɔ,
SIR.48.12	mɔgɔ si ma se k'a bali foyi la.
SIR.48.13	Fɛɛn si tun te yen min tun ka gwɛlɛ Elize ma,
SIR.48.13	hali k'a to kaburu kɔnɔ,
SIR.48.13	a ye kiraya kɛ.
SIR.48.14	K'a to nii na, a ye kabakow kɛ.
SIR.48.14	Hali a sanin kɔ, a ka kobabaw yera kosɔbɛ.
SIR.48.15	O n'a ta bɛɛ,
SIR.48.15	jama ma se ka nimisa
SIR.48.15	ka faran u ka kojuguw la.
SIR.48.15	U ma ban u ka hakɛ la,
SIR.48.15	fɔɔ u y'u minɛ ka bɔ u ka jamana na,
SIR.48.15	k'u jɛnsɛn dugukolo kan.
SIR.48.15	U tɔɔ tora dɔɔni dama,
SIR.48.15	ani masacɛ kelen ka bɔ Dawuda ka soo kɔnɔ.
SIR.48.16	U dɔ ye Ala sago kɛ,
SIR.48.16	dɔ fana ye hakɛ kɛ kosɔbɛ.
