GEN.1.1	Nang pasimula ay nilikha ng Diyos ang langit at ang lupa;
JDT.7.25	Tingnan ninyo, walang tumulong ngayon sa atin. Ipinailalim na tayo ng Diyos sa kanilang kapangyarihan. Mararatnan nila tayong patay bunga ng matinding pagkauhaw, at nakakalat sa buong lupain ang ating mga bangkay. 
JDT.7.26	Sumuko na tayo! Hayaan na nating samsamin ng hukbo ni Holofernes ang lahat ng maibigan nila rito. 
JDT.7.27	Mas mabuting magpabihag tayo; kahit tayo'y maging mga alipin ay buháy naman tayo. Hindi tulad nitong nakikita nating unti-unting namamatay ang ating mga anak at asawa. 
JDT.7.28	Ang langit at pati na ang lupa ang siyang saksi; ang ating Diyos, ang Diyos ng ating mga ninuno, ang saksi laban sa inyo—pinaparusahan tayo ng Diyos dahil sa ating mga kasalanan at sa kasalanan ng mga ninuno natin. Nawa'y huwag magkatotoo ang aming babala sa araw na ito.”
JDT.7.29	Pagkasabi niyon, ang buong kapulungan ay nanaghoy nang malakas at tumawag sa Panginoong Diyos. 
JDT.7.30	At sinabi naman sa kanila ni Uzias, “Magpakatatag kayo, mga kaibigan. Magtiis pa tayo ng limang araw, at ipadarama sa atin ng ating Panginoong Diyos ang kanyang pagkahabag. Sigurado kong hindi niya tayo pababayaan! 
JDT.7.31	Ngunit kung wala tayong tanggaping tulong pagkalipas ng limang araw, saka ko gagawin ang inyong hinihiling sa akin.” 
JDT.7.32	At pinabalik niya sa kanya-kanyang pook na binabantayan ang mga kalalakihan. Nagtungo na nga sila sa mga muog at pintong binabantayan. Ang mga babae at mga bata ay pinauwi sa kani-kanilang mga bahay, kaya't ang kalagayan nila'y larawan ng kawalang-pag-asa.
JDT.8.1	Ang lahat ng nagaganap ay nakarating sa kaalaman ni Judith, anak na babae ni Merari, at apo ni Ox. Si Ox ang anak ni Jose na nagmula sa lahi nina Uziel, Elkias, Ananias, Gideon, Rafaim, Ahitub, Elias, Hilkias, Eliab, Nathanael, Salumiel, Sarasadai at Israel. 
JDT.8.2	Ang asawa ni Judith ay si Manases na mula rin sa kanyang lipi at sambahayan. Namatay ito noong panahon ng anihan ng sebada. 
JDT.8.3	Sa tindi ng init ng araw, bigla siyang nagkasakit samantalang pinamamahalaan niya ang pagbibigkis ng inaning sebada. Namatay siya sa Bethulia na kanyang bayan. Siya'y inilibing sa piling ng kanyang mga ninuno sa isang bukiring nasa pagitan ng Dotan at ng Balamon.
JDT.8.4	Tatlong taon at apat na buwan nang biyuda si Judith. 
JDT.8.5	Nang
JDT.8.6	Sa loob ng panahong iyon, nag-aayuno siya araw-araw, maliban kung bisperas ng Araw ng Pamamahinga at kung mismong Araw ng Pamamahinga, kung bisperas ng bagong buwan at kung mismong bagong buwan, at kapag may kapistahan at mga araw ng pagdiriwang ang Israel. 
JDT.8.7	Napakaganda at kaakit-akit si Judith. Naiwanan siya ni Manases ng mga ginto at pilak, mga aliping lalaki't babae, bakahan at lupain. Siya ang namamahala sa mga naiwang ari-ariang ito ng kanyang asawa. 
JDT.8.8	Walang sinumang makapagpaparatang ng masama kay Judith, sapagkat isa siyang babaing may takot sa Diyos at laging nananalangin.
JDT.8.9	Nang mabalitaan nga ni Judith ang matinding pagrereklamo ng mga tao kay Uzias at sa mga pinuno ng bayan dahil sa kakulangan ng tubig, at kung paanong ipinangako ni Uzias na isusuko na sa mga taga-Asiria ang lunsod pagkalipas ng limang araw, 
JDT.8.10	tinawag niya ang isang alilang babae na namamahala sa lahat niyang ari-arian. Pinapunta niya ito sa pinuno ng lunsod upang hilingin kina Uzias,
JDT.8.11	Nang dumating ang mga pinuno, sinabi ni Judith, “Pakinggan ninyo ang sasabihin ko, kayong mga pinuno ng Bethulia. Wala kayong karapatang sabihin sa mga tao at isumpa sa harapan ng Diyos na isusuko ninyo sa kaaway ang lunsod natin kung hindi tutulong ang Panginoon sa loob ng limang araw. 
JDT.8.12	Bakit
JDT.8.13	Ano't sinusubok ninyo ang Panginoong Makapangyarihan sa lahat? Hindi na ba kayo natuto? 
JDT.8.14	Kung
JDT.8.15	Pagkat kung ayaw niyang tumulong sa atin sa loob ng limang araw, malaya pa rin niya tayong matutulungan kung kailan niya naisin, o kaya'y maipapasya rin niyang hayaan tayong mapahamak sa kaaway. 
JDT.8.16	Hindi ninyo dapat limitahan ang Panginoon nating Diyos; hindi siya maaaring bantaan o pakitunguhang gaya ng isang tao lamang. 
JDT.8.17	Kaya, hintayin natin ang kanyang pagliligtas sa atin. Samantala, manalangin tayo sa kanya. Kung kanyang mamarapatin, tutulungan niya tayo.
JDT.8.18	“Wala ni isa man ngayon sa ating lipi o sambahayan, purok o bayan, na sumasamba sa mga diyus-diyosang gawa ng tao bagaman iyon ay ginawa ng ating mga ninuno. 
JDT.8.19	Nangyari ito nang nakaraang panahon at siya ngang naging dahilan ng pagkahulog ng ating mga ninuno sa kamay ng kaaway. Sila'y pinatay, sinamsaman ang kanilang lunsod at mga bahay; kahindik-hindik ang pagkawasak nila! 
JDT.8.20	Subalit tayo'y walang ibang kinikilala kundi ang Panginoon nating Diyos, at nagtitiwala tayong hindi niya itatakwil ang sinuman sa ating lahi. 
JDT.8.21	Sapagkat ang pagkabihag natin ay mangangahulugan ng pagkalipol ng buong Juda at pagkasira ng ating templo. Mananagot tayo sa Diyos kapag iyon ay nilapastangan. 
JDT.8.22	Saanman tayo dalhin bilang mga alipin ng mga Hentil, susunod sa atin ang parusa ng Diyos, tulad ng pagkasawi at pagkabihag ng ating mga kababayan, at pagkatiwangwang ng minana nating lupain. 
JDT.8.23	Wala tayong mapapala kung susuko't magpapaalipin tayo sa ating mga kaaway; ito'y loloobin ng Panginoon nating Diyos na maging ating kahihiyan.
JDT.8.24	“Kaya nga, mga kaibigan, maging huwaran tayo sa ating mga kababayan, sapagkat nasa mga kamay natin ang kaligtasan nila, pati ng santuwaryo, templo, at altar. 
JDT.8.25	Dapat tayong magpasalamat sa Panginoon nating Diyos; sinusubok lamang niya tayo, gaya ng ginawa sa ating mga ninuno. 
JDT.8.26	Alalahanin
JDT.8.27	Hindi tayo ipinaiilalim ng Diyos sa mahigpit na kahirapan para subukin ang katapatan tulad ng nangyari sa ating mga ninunong iyon. At hindi rin siya naghihiganti sa atin; manapa'y dinidisiplina niya tayo para ituwid.”
JDT.8.28	At sumagot si Uzias, “Tama ang sinabi mo; totoong lahat ang iyong binanggit, at walang makapagpapabulaan diyan. 
JDT.8.29	Hindi lamang ito ang kauna-unahang pagkakataon na pinatunayan mo ang iyong karunungan. Sapul pa sa iyong pagkabata, 
JDT.8.30	napatunayan na namin ang matuwid mong paghatol. Subalit nagkakamatay na ang mga tao dahil sa uhaw, kaya't napilitan kaming mangako at sumumpang gayon ang gagawing hakbang. 
JDT.8.31	Ikaw ay babaing may takot sa Diyos. Ipanalangin mo kami. Hingin mo sa Panginoon na magpaulan para mapuno ang ating mga balon nang hindi tayo manlupaypay sa kawalan ng tubig.”
JDT.8.32	Sumagot naman si Judith, “Pakinggan ninyo akong mabuti. Ako'y may gagawin at magugunita ito ng lahat ng salinlahi. 
JDT.8.33	Magbantay kayo mamayang gabi sa pintuang-pasukan at ako nama'y lalabas na kasama ang aking lingkod. Bago sumapit ang araw na ipinangako ninyo upang isuko sa ating kaaway ang lunsod na ito, ililigtas ng Panginoon ang bansang Israel sa pamamagitan ko. 
JDT.8.34	Subalit huwag ninyong sikapin pang malaman ang aking balak. Hindi ko sasabihin sa inyo hanggang hindi natutupad.” 
JDT.8.35	Nang magkagayon, sinabi sa kanya ni Uzias at ng ibang pinunong-bayan, “Lumakad kang taglay ang pagpapala namin. Sumaiyo ang Diyos sa paghihiganting gagawin mo sa ating mga kaaway.” 
JDT.8.36	At nilisan nila ang tahanan ng babae at nagbalik sa kanilang lugar.
JDT.9.1	Naglagay si Judith ng abo sa kanyang ulo, binuksan ang damit upang ipakita ang damit-panluksa na suot niya sa ilalim, saka nagpatirapa. Nang mga sandaling iyon, ginaganap ang paghahandog ng panggabing insenso sa templo ng Diyos sa Jerusalem. Malakas na nanalangin si Judith; sabi niya,
JDT.9.2	“Panginoong
JDT.9.3	Dahil dito, ibinigay ninyo sa kaaway ang kanilang mga pinuno; sila'y pinatay at natigmak ng dugo sa higaang ginamit nila sa kanilang pagsasamantala sa dalaga. Inyong pinatay ang mga alipin at ang kanilang mga panginoon sa kanilang mga luklukang trono. 
JDT.9.4	Hinayaan ninyong maagaw ang mga asawa nila at dalhing-bihag ang kanilang mga anak na dalaga. Ang kanilang kayamanan ay sinamsam at ipinamahagi sa inyong minamahal na mga anak na lalaki na masigasig na naglilingkod sa inyo. Ang mga kapatid ni Dina'y labis na nagulat sa kalapastanganang ito sa kanilang pamilya, kaya't sila'y napasaklolo sa inyo.
JDT.9.4	“O Diyos, aking Diyos, dinggin din ninyo ang samo ko, na isang biyuda. 
JDT.9.5	Lahat ng naganap noon, ang nangyayari ngayon, at ang susunod pang magaganap ay pawang may kapahintulutan ninyo. Kayo ang nagbalak ng mga umiiral, gayon din ng mangyayari pa; at ang itinakda ninyo'y nagaganap nga. 
JDT.9.6	Ang mga bagay na hinahangad ninyo ay nagsasabi ngayon, ‘Narito na kami.’ Sapagkat handa nang lahat ang inyong mga kapasyahan, at humahatol kayo ayon sa nababatid ninyo mula pa noong una. 
JDT.9.7	Inyong nakikita ang nagkakatipong mga taga-Asiria na nagyayabang dahil sa dami ng kanilang mga hukbong-lakad at nakakabayo, at dahil sa lakas ng taglay nilang mga sandata. Marami nga silang kalasag at sibat, pana't palaso, ngunit di nila kilala ang Diyos na nagpapahinto ng lahat ng digmaan; Panginoon ang inyong pangalan. 
JDT.9.8	Igupo ninyo ang kanilang hukbo, at durugin ng inyong galit ang kapangyarihan nila. Sapagkat balak nilang lapastanganin ang inyong templo, na doo'y sinasamba kayo, at tigpasin ang mga hawakan ng inyong altar. 
JDT.9.9	Masdan ninyo ang kanilang kapalaluan, ibuhos ninyo sa ulo nila ang inyong poot. Bagama't ako'y isang biyuda lamang, palakasin pa ninyo ako. Upang maisagawa ko ang aking binabalak. 
JDT.9.10	Gamitin ninyo ang panlilinlang na sasabihin ko upang sila'y mapuksang lahat— ang alipin kasama ng kanyang panginoon! Ibagsak ninyo ang kanilang kataasan sa pamamagitan ng kamay ng isang babae, 
JDT.9.11	sapagkat ang inyong kapangyarihan ay di nasasalig sa dami o sa lakas ng mga tao. Manapa'y kayo ang Diyos ng mapagpakumbabá, tumutulong sa mahihirap, umaalalay sa mahihina, lumilingap sa mga walang kakayahan, at nagliligtas sa mga nawawalan ng pag-asa. 
JDT.9.12	Diyos ng aking ninuno, Diyos ng lahing Israel, Panginoon ng langit at lupa, lumikha ng karagatan, hari ng buong mundo—dinggin po ninyo ang aking dalangin. 
JDT.9.13	Loobin
JDT.9.14	Loobin din po ninyo na maunawaan ng buong bansa at bawat lipi, na kayo ang Diyos na Makapangyarihan at nananaig sa lahat, at walang iba pang makapagsasanggalang sa sambayanan ng Israel kundi kayo lamang.”
JDT.10.1	Matapos manalangin sa Diyos ng Israel, tumayo si Judith 
JDT.10.2	at tinawag ang kanyang lingkod na babae saka bumabâ at pumasok sa silid na tinitigilan niya kung Araw ng Pamamahinga at mga kapistahan. 
JDT.10.3	Hinubad niya ang damit-panluksa, gayon din ang kanyang kasuotang pambiyuda. Pagkatapos, naligo siya at nagpabango. Sinuklay niya ang kanyang buhok at nilagyan ng mga palamuti. Nagbihis siya ng pinakamagara niyang damit na ginagamit niya kapag may mga tanging kasayahan noong nabubuhay pa ang kanyang asawang si Manases. 
JDT.10.4	Nagsuot siya ng sandalyas, pulseras para sa binti at bisig, mga singsing at hikaw, at lahat ng panggayak. Nagpaganda siyang mabuti para maakit ang sinumang lalaking makakakita sa kanya. 
JDT.10.5	Pinapagdala niya ang kanyang lingkod ng sisidlang puno ng alak at isang lalagyang may langis. Kumuha siya ng isang bag at pinuno ito ng binusang trigo, tinuyong igos at pinakamasarap na tinapay, at ipinadala sa lingkod.
JDT.10.6	Sila'y lumabas sa pintuan ng Bethulia at doo'y naraanang nakatayo't nagbabantay si Uzias, kasama sina Cabris at Carmis na pinuno ng bayan. 
JDT.10.7	Pagkakita nila kay Judith na iba na ang anyo at kagayakan, gayon na lamang ang kanilang paghanga sa kanyang kagandahan. At sinabi nila rito, 
JDT.10.8	“Samahan ka nawa ng Diyos ng ating mga ninuno at matupad mong matagumpay ang iyong binabalak upang magwagi ang Israel at matanyag ang Jerusalem.”
JDT.10.8	Sumamba si Judith sa Diyos. 
JDT.10.9	Pagkatapos ay sinabi sa kanila, “Pabuksan na ninyo ang pinto at ako'y lalabas upang gawin ang napag-usapan natin.” Iniutos nga nila sa mga kabataang lalaki na buksan ang pinto 
JDT.10.10	at lumabas si Judith, kasama ang kanyang lingkod. Sinundan siya ng tingin ng mga kalalakihan sa bayan habang bumababa ng burol hanggang sa makatawid ng kapatagan at hindi na nila makita.
JDT.10.11	Nang ang dalawang babae ay dumadaan sa kapatagan, nasalubong nila ang isang pangkat ng mga kawal na taga-Asiria na nagpapatrolya. 
JDT.10.12	Pinigil nila si Judith at tinanong, “Anong lahi ka? Saan ka nanggaling, at saan ka pupunta?”
JDT.10.12	Sumagot si Judith, “Ako'y isang Hebreo, ngunit tumakas ako sa aking bayan sapagkat sila'y mahuhulog sa inyong mga kamay at masasawi. 
JDT.10.13	Pupunta ako kay Holofernes na inyong pinuno; may dala akong ulat para sa kanya. Maituturo ko sa kanya ang daanan papasok sa lunsod na nasa burol upang masakop niya ang buong bayang iyon nang walang mamamatay ni isa man.”
JDT.10.14	Habang nakikinig kay Judith ang mga lalaki, minamasdan nila ang mukha niya dahil hangang-hanga sila sa taglay niyang kariktan. 
JDT.10.15	“Ligtas ka na,” sabi nila, “sapagkat naisipan mong puntahan agad ang aming panginoon. Pumunta ka na sa kanyang tolda. Sasamahan ka ng ilan sa amin upang iharap sa kanya. 
JDT.10.16	Huwag kang matatakot sa kanya. Sabihin mo ang iyong sinabi sa amin, at pagpapakitaan ka niya ng kabutihang-loob.” 
JDT.10.17	Pinasamahan sa sandaang kawal ang dalawang babae at dinala ang mga ito kay Holofernes.
JDT.10.18	Kumalat sa bawat tolda ang balita tungkol sa pagdating ni Judith, at nagdatingan ang mga lalaki buhat sa lahat ng panig ng kampo. Pinagkalipumpunan nila si Judith na nakatayo sa labas ng tolda ni Holofernes at naghihintay hanggang sa maibalita rito ang tungkol sa kanya. 
JDT.10.19	Dahil sa kanyang kagandahan, naisip nilang ang mga Israelita ay kahanga-hangang lahi. Ganito ang usap-usapan nila, “Paano mo hahamakin ang isang bansang may magagandang kababaihan? Huwag nating paligtasin kahit isang lalaki; kung hindi, makukuha nila ang buong sanlibutan sa pamamagitan ng gayuma.”
JDT.10.20	Maya-maya, lumabas ang bantay ni Holofernes at lahat ng katulong niya at dinala si Judith sa loob ng tolda. 
JDT.10.21	Nagpapahinga si Holofernes sa kanyang higaang may kulay ubeng kulambo na ginayakan ng ginto, esmeralda, at iba pang bato. 
JDT.10.22	Nang sabihin sa kanya na naroon na ang babae, lumabas siya sa kanyang tulugan. Mayroong mga tagadala ng mga ilawang pilak sa unahan niya. 
JDT.10.23	Lahat sila'y humanga sa kagandahan ni Judith. Nagpatirapa naman ito sa harapan ni Holofernes, subalit siya'y itinayo ng mga alipin.
JDT.11.1	“Pumanatag ka,” sabi ni Holofernes. “Huwag kang matakot. Hindi ko sinasaktan ang sinumang gustong maglingkod kay Nebucadnezar, na hari ng sangkalupaan. 
JDT.11.2	Hindi ko pag-iisipang digmain ang mga kababayan mong nakatira sa kaburulan kung di nila ako hinamak. Sila na rin ang nag-udyok sa akin na gawin ito. 
JDT.11.3	Ngayon, sabihin mo kung bakit ka humiwalay sa kanila at umaanib sa amin. Nailigtas mo ang iyong buhay sa iyong pagparito. Pumanatag ka. Ligtas ka na sa panganib. 
JDT.11.4	Walang sinumang mananakit sa iyo rito. Papakitunguhan ka tulad ng mga nasasakupan ng aking panginoon na si Haring Nebucadnezar.”
JDT.11.5	Sumagot si Judith, “Panginoon ko, pahintulutan po ninyong makapagsalita ang inyong abang alipin. Ang sasabihin ko sa inyo sa gabing ito'y siyang katotohanan. 
JDT.11.6	Kung susundin ninyo ang aking ipapayo, gagawa ang Diyos ng isang bagay sa pamamagitan ninyo, at tiyak na kayo'y hindi mabibigo. 
JDT.11.7	Mabuhay
JDT.11.8	Nabalitaan namin ang tungkol sa inyong karunungan at kakayahan. Alam ng buong daigdig na sa buong Imperyo ng Asiria, kayo'y walang kapantay sa karunungan at kasanayan bilang mandirigma. 
JDT.11.9	Alam namin ang tungkol sa mga sinabi ni Aquior sa inyong kapulungan, sapagkat sinabi niya ito sa mga taga-Bethulia na nagligtas sa kanya. 
JDT.11.10	Huwag ninyong ipagwalang-bahala ang sinabi niya, panginoon. Paniwalaan po ninyo sapagkat iyon ay totoo. Talaga pong hindi dumaranas ng parusa ang aming lahi at hindi kami natatalo ng kaaway, maliban kung kami'y magkasala laban sa aming Diyos.
JDT.11.11	“Subalit hindi kayo mabibigo ngayon, panginoon, sapagkat nakatakda na silang mamatay. Nasa ilalim sila ng kapangyarihan ng kasalanan, at kapag sila'y gumawa ng kamalian, mag-aalab sa kanila ang poot ng Diyos. 
JDT.11.12	Dahil sa pagkaubos ng pagkain at inumin, ipinasya nilang patayin ang kanilang mga hayop, at kumain na rin ng mga bagay na ipinagbabawal ng Diyos na kainin. 
JDT.11.13	Ipinasya
JDT.11.14	Nagsugo sila ng ilan para humingi ng pahintulot sa mga pinuno sa Jerusalem, sapagkat ang mga tagaroon ay gumawa na rin nito. 
JDT.11.15	Sa sandaling tumanggap sila ng pasabi tungkol dito at kanilang isagawa ito, sa araw ring iyon ay ipalilipol sila sa inyo.
JDT.11.16	“Kaya't nang ito'y malaman ko, lumayo ako sa kanila. At dinala ako rito ng Diyos upang gawing kasama ninyo ang mga bagay na ikamamangha ng sanlibutan, kapag nabalitaan ng mga tao. 
JDT.11.17	Ako na inyong alipin ay babaing relihiyosa. Araw-gabi, sinasamba ko ang Diyos na nasa langit. Mananatili ako rito, panginoon ko, at gabi-gabi, pupunta ako sa kapatagan at mananalangin sa Diyos. Ipapaalam niya sa akin kung nagkasala na sila. 
JDT.11.18	Agad akong babalik at sasabihin ito sa inyo; at pangunahan na ninyo ang inyong mga kawal. Hindi makakalaban sa inyo ang sinuman sa kanila. 
JDT.11.19	Ituturo ko sa inyo ang daang patawid sa Juda hanggang marating ninyo ang Jerusalem, at ilalagay ko ang inyong trono sa gitna ng lunsod. Susunod sila sa inyo na parang mga tupang nawalan ng pastol. Kahit na isang aso'y hindi tatahol sa inyo. Ipinahayag sa akin ng Diyos ang mga magaganap na ito at isinugo ako upang ipahayag naman sa inyo.”
JDT.11.20	Nasiyahan si Holofernes at ang lahat ng kasama niya sa mga sinabing iyon ni Judith. Namangha sila sa kanyang karunungan. 
JDT.11.21	Sabi nila, “Sa buong daigdig ay walang babaing makakapantay sa kagandahan at katalinuhan niya.”
JDT.11.22	At sinabi ni Holofernes, “Salamat sa Diyos sa pagsusugo sa iyo rito mula sa inyong bayan upang bigyan kami ng tagumpay at ng kapahamakan naman sa mga humamak sa aking hari! 
JDT.11.23	Napakaganda mo at mabubuti ang iyong sinabi. Kung gagawin mo ang iyong ipinangako, ang iyong Diyos ay magiging aking Diyos. Ikaw naman ay titira sa palasyo ni Haring Nebucadnezar at matatanyag sa buong daigdig!”
JDT.12.1	Pagkatapos, iniutos ni Holofernes na dalhin si Judith sa kinalalagyan ng kanyang hapag na may nakahanda nang mga kagamitang pilak. Nagpahanda siya ng pagkain para sa babae at nagpalabas din ng alak mula sa mga pagkain at inuming nakalaan para sa kanyang sarili. 
JDT.12.2	Subalit
JDT.12.3	Kakainin ko na lang po ang baon ko.”
JDT.12.3	Ngunit ang sabi ni Holofernes, “Kung maubos na ang baon mo, saan kami magpapakuha ng ganyan? Wala ka namang kalahi dito sa aming kampo.”
JDT.12.4	Sumagot si Judith, “Kung paanong ikaw ay buháy, panginoon ko, tinitiyak ko sa inyo na hindi mauubos ang dala kong pagkain bago gawin ng Panginoon sa pamamagitan ko ang kanyang itinakda.”
JDT.12.5	Dinala siya ng mga tauhan ni Holofernes sa isang tolda at doon siya natulog. 
JDT.12.6	Nang madaling-araw na, gumising si Judith at nagpasabi kay Holofernes, “Panginoon, maaari po bang iutos ninyong ako'y payagang lumabas at manalangin?” 
JDT.12.7	Iniutos naman ni Holofernes sa kanyang mga tauhan na palabasin sa kampo ang babae. Tatlong araw siyang namalagi sa kampo at gabi-gabi'y lumalabas siya sa kapatagan ng Bethulia upang maligo sa bukal. 
JDT.12.8	Pagkapaligo, nananalangin siya sa Panginoong Diyos ng Israel para pagpalain ang kanyang binabalak para sa kanyang bayan. 
JDT.12.9	Pagkaraan nito, nagbabalik na siyang malinis sa kampo, at nasa loob ng tolda hanggang sa dalhin sa kanya ang kanyang hapunan.
JDT.12.10	Nang ikaapat na araw, nagdaos si Holofernes ng isang salu-salo para sa matataas na pinuno ng kanyang hukbo, ngunit hindi kasama rito ang mga pinunong magbabantay noong araw na iyon. 
JDT.12.11	Sinabi niya kay Bagoas, ang eunukong nakakaalam ng kanyang personal na kapakanan, “Puntahan mo ang babaing Hebreo na nasa ilalim ng iyong pangangalaga, at himukin mong makisalo sa atin at uminom kasama natin. 
JDT.12.12	Kahiya-hiya tayo kung palalampasin natin ang pagkakataong makatalik ang isang babaing kasingganda niya. Pagtatawanan lang niya tayo kapag hindi natin siya nakuha.”
JDT.12.13	Pinuntahan nga ni Bagoas si Judith at sinabi rito, “Magandang dilag, inaanyayahan ka ng aking panginoon sa kanyang tolda bilang panauhing pandangal sa kanyang salu-salo. Halika't makipag-inuman sa amin at magpakasaya. Ipalagay mong ikaw ay isang babaing taga-Asiria na dumalo sa palasyo ni Nebucadnezar.”
JDT.12.14	“Sino akong tatanggi sa aking panginoon?” tugon ni Judith. “Ikagagalak kong gawin ang anumang makalulugod sa kanya. At iyon ay ikararangal ko hanggang sa araw ng aking kamatayan.”
JDT.12.15	Nagbihis nga si Judith ng magarang damit at isinuot ang lahat ng panggayak at alahas. Naunang lumakad ang kanyang kasamang lingkod at inilatag sa lupa, sa harapan ni Holofernes, ang mga balahibo ng tupa na bigay ni Bagoas para gamiting sandalan ni Judith kapag siya'y kumakain. 
JDT.12.16	Nang dumating si Judith at maupo sa kanyang lugar, gayon na lamang ang paghanga ni Holofernes. Nakadama siya ng masidhing pagnanasang angkinin ang kagandahan nito. Katunayan, mula pa noong una niyang makita ito, naghahanap na siya ng pagkakataon para maangkin ito. 
JDT.12.17	Kaya't ang sabi niya rito, “Uminom ka at makipagsaya sa amin.” 
JDT.12.18	Sumagot si Judith, “Talagang iyan po ang gagawin ko, aking panginoon. Ito na ang pinakadakilang araw sa buong buhay ko.” 
JDT.12.19	Pagkatapos, kinuha niya ang inihanda ng kanyang lingkod, at siya'y kumain at uminom sa harapan ni Holofernes. 
JDT.12.20	Tuwang-tuwa naman si Holofernes sa babae at napakaraming alak ang nainom niya nang sandaling iyon, higit kailanman sa buong buhay niya.
JDT.13.1	Nang gumabi na, nagpaalam ang mga panauhin at umalis. Isinara ni Bagoas ang pinto ng tolda para wala nang makapasok na alipin. At natulog na silang lahat. Napakatagal ng handaan kaya't pagod na pagod sila. 
JDT.13.2	Naiwan si Judith sa loob ng tolda, walang kasama kundi si Holofernes na nakabulagta sa kanyang higaan dahil sa labis na kalasingan.
JDT.13.3	Sa labas ng tolda, naghihintay ang lingkod ni Judith sa kanyang paglabas upang manalangin, tulad ng ginagawa niya araw-araw. Nasabi na rin ni Judith kay Bagoas bago ito lumabas, na siya ay lalabas at mananalangin gaya ng nakagawian.
JDT.13.4	Nang makaalis na ang lahat at walang natira kundi siya, si Judith ay tumayo sa tabi ng higaan ni Holofernes at tahimik na nanalangin. “Panginoong Diyos na Makapangyarihan sa lahat, pagpalain po ninyo ako sa aking gagawin upang maghatid ito ng kadakilaan sa Jerusalem. 
JDT.13.5	Sapagkat ngayon na ang panahon para tulungan ninyo ang inyong bayan at papagtagumpayin ang aking balak na paglupig sa mga kaaway na nakahandang sumalakay sa amin.” 
JDT.13.6	Pagkasambit nito, lumapit siya sa may ulunan ni Holofernes, 
JDT.13.7	at kinuha niya ang tabak nito sa kinasasabitan, at paglapit sa tabi ng higaan, dinaklot niya ang buhok ng lalaki. “Palakasin mo po ako, Panginoong Diyos ng Israel, para magawâ ko ito,” sabi niya. 
JDT.13.8	Pagkatapos, makalawang ulit niyang tinaga nang ubod-lakas ang leeg nito, at natigpas ang ulo. 
JDT.13.9	Iginulong niyang pahulog sa higaan ang katawan at kinuha ang kulambo sa kinasasabitan. Ilang sandali pa'y lumabas na siya at ibinigay sa lingkod ang ulo ni Holofernes. 
JDT.13.10	Isinilid ito ng lingkod sa dala niyang sisidlan ng pagkain.
JDT.13.10	Magkasamang lumabas ang dalawang babae, gaya ng karaniwan nilang ginagawa kapag patungo sa pananalangin. Tinawid nila ang kampo, bumabâ sa kapatagan, at umakyat sa burol papuntang Bethulia hanggang sa makarating sa pintuang-pasukan. 
JDT.13.11	Nang malapit na sila, tumawag si Judith sa mga bantay sa pintuang-pasukan, “Buksan ninyo ang pinto! Ang Diyos, ang ating Diyos, ay sumasaatin. Ipinapakita pa rin niya sa Israel ang kanyang kalakasan at kapangyarihan laban sa ating mga kaaway. Ito'y pinatunayan niya ngayon!”
JDT.13.12	Nang marinig ng mga mamamayan ang kanyang tinig, nagmamadali silang pumunta sa pintuang-pasukan at tinawag ang pinuno ng bayan. 
JDT.13.13	Nagtakbuhan ang lahat, matanda't bata, at hindi halos makapaniwalang si Judith ay nakabalik. Binuksan nila ang pinto at pinatuloy ang dalawang babae. Nagsindi pa sila ng sulo para siya makita, at pinagkalipumpunan ang dalawa. 
JDT.13.14	Malakas na sinabi ni Judith, “Purihin ang Diyos! O purihin natin siya! Purihin ang Diyos na hindi nagkakait ng awa sa sambahayan ni Israel. Ngayong gabi'y dinurog niya ang ating mga kaaway sa pamamagitan ko.” 
JDT.13.15	At kinuha niya ang sisidlan at ipinakita sa kanila ang laman. “Tingnan ninyo!” aniya, “Narito ang ulo ni Holofernes na punong tagapagpaganap ng mga taga-Asiria! Narito rin ang kulambong ginamit niya samantalang nakahiga siyang lasing na lasing! Ginamit ng Panginoon ang isang babae para patayin siya. 
JDT.13.16	Bagama't ang aking mukha ang umakit sa kanya tungo sa kapahamakan, ang Panginoon ang nag-iingat sa akin kaya hindi niya ako nagalaw. Nanatiling walang dungis ang pagkababae ko.”
JDT.13.17	Namangha ang mga tao. At kasabay ng pagpapatirapa bilang pagsamba sa Diyos, sabay-sabay silang nagsabi, “Purihin ang Panginoon nating Diyos! Hiniya niya sa araw na ito ang mga kaaway natin.”
JDT.13.18	At
JDT.13.19	Ang pananalig sa Diyos na nag-udyok sa iyo ay hindi na mapaparam sa isip ng mga tao habang ginugunita nila ang kapangyarihan ng Diyos. 
JDT.13.20	Ang iyong ginawa ay maghatid nawa sa iyo ng karangalan sa habang panahon, at ng maraming pagpapala! Inilagay mo sa panganib ang iyong buhay alang-alang sa ating bayan nang ito'y nabibingit sa malaking kahihiyan. Matatag mong tinalunton ang matuwid na daan ng Diyos.”
JDT.13.20	Tumugon ang lahat, “Amen! Amen!”
JDT.14.1	Pagkatapos ay sinabi ni Judith sa kanila, “Makinig kayo, mga kababayan. Kunin ninyo ang ulong ito at isabit sa labas ng pader. 
JDT.14.2	Pagsikat ng araw, ang bawat matapang na lalaki ay kumuha ng sandata at lumabas ng bayan. Pumili kayo ng isang tagapanguna nila at kumilos kayo na parang kayo'y bababâ sa kapatagan upang sumalakay sa kampo ng mga taga-Asiria, ngunit huwag kayong bababâ. 
