MAT.1.1	Tèntə diʼ təzhiʼ tə vətìʼ Yesò Klistò, wàyn Devìt yì a tìʼì wen ndiʼ Ablaham. 
PHP.1.3	Ma kù kəzòŋ a Nyìngòŋ a ma kuʼsə no zhʉ̀ko a mà kwòʼtə ghə̀ŋ, 
PHP.1.4	Ma diʼ nə̀ saŋlə a zhʉ ma jɨ̀mə̀ a ghə̀ŋ no zhʉ̀ko. 
PHP.1.5	Ma kù kəzòŋ alə̀ byìʼì ando ghə̀ŋ gyàmtə̀ li mò ə shə̀ʼtə̀ ntɨm ə jùŋ ghèn ə zìtə̀ fa kətsi yi a ghə̀ŋ zhʉ ntɨm na ghèn ə zàʼa fa layn. 
PHP.1.6	Ma be ku alə̀ byìʼì ando ma kɨli nəmwèʼè la shyèʼ ə jùŋghə ghenə a Nyìngòŋ ə zìtə̀ a ghə̀ŋ a ntìntìn lə dyʉ̀ to nə̀ mbì ə zàʼa fa kətsi yi a Yesò Klistò lù bwenə vì. 
PHP.1.7	Mà zizi ko ma lu faŋ ke ə̀ ku to alə kumə ghə̀ŋ və tsèm byìʼì ando ma kòŋ ghə̀ŋ nəkwoŋ. Nyìngòŋ ə tom li kəvu, vəghəŋ sə ə̀ shyèʼ to muʼ, kò ma diʼ a nfɨŋ, kò ma ti nchwò nsòʼ kumə ntɨm ə jùŋ. Nyìngòŋ diʼi li ətyɨm ə jùŋ ghə̀ ə wen a vəghəŋ no vətsèm ando vəghəŋ ə shwèʼ a wen. 
PHP.1.8	Nyìngòŋ zi ghə̀ tɨmə a nə̀ ncho nsoʼ la ma kòŋ ghə̀ŋ no nə̀ tyɨm ə ghomə no tsèm nə̀ kòŋ yì a Yesò Klistò ə diʼi fa wen ngə̀ŋ.
PHP.1.9	Ma jɨ̀mə̀ la əkòŋ ghə̀ŋ a Nyìngòŋ nə yi ghə̀ŋ kiʼ a ghə̀ŋ təwen ə tò dyʉ̀ to nə̀ mbì be jɨ̀mə̀ la ghə̀ŋ kɨ ənyʉ̀ Nyìngòŋ, be kɨ nəkwoŋ fa nyʉ̀ byɨvə benə nyʉ̀ jùŋvə. 
PHP.1.10	Ma jɨ̀mə̀ alə̀ ndiʼ ghə̀ŋ kɨ kənyʉ̀ ki a kə bòŋ kwʉ̀ʼʉ̀ ə lu ndiʼ ə̀ laynə a kə̀ʼə̀ Nyìngòŋ, ko ndiʼ la ghə̀ŋ kiʼi ə mbyɨ, ko wìʼ ə ghamə tebè ghə̀ŋ a kənyʉ̀ a kətsi yi a Yesò lə bwenə vì. 
PHP.1.11	Kə sətsen ə ndiʼ alə̀ Yesò Klistò a nè, ghə̀ŋ ne ntsi ntsìnə̀ ə tɨmə, ndi viʼi yen ə ku əkuʼsə a Nyìngòŋ ə, be bwomsə wen.
PHP.1.12	Vəlemə, ma kəŋ la ghə̀ŋ kɨ la nyʉ̀ venə a və fʉ̀ a mò boŋsə gyamtə ə ne la ntɨm ə jùŋ ə dyʉ̀ nə̀ mbì. 
PHP.1.13	Nò vəsugyèʼ vyi a və ntsɨŋ ntuʼ no və tsèm, nə̀ viʼi ashə no və tsèm ə kɨ la ma diʼ a ngə̀ŋ nfɨŋ byìʼì ando ma shyèʼ a Yesò. 
PHP.1.14	Ngə̀ŋ nfɨŋ ghèn a ma diʼi tsu nè li viʼi və byɨməvə be tuʼ ku tətyɨm tə vəwenə a Bobo. Vəwenə sə shə̀ʼtə̀ ntɨmə Nyìngòŋ luwen nə̀ ətyɨm ə toghə, ko və fwàynə̀ tebè wìʼ.
PHP.1.15	Viʼi vətsenvə əshəʼtə ntɨm ə jùŋ Yesò byìʼì kənghə̀ʼ ə be diʼ la vəwenə ə chò mo ando vəwenə yènə ando shyèʼ ə ghomə əshɨtə dyʉ̀, ali, vətsevə shə̀ʼtə̀ ntɨm a ghèn no nə̀ ətyɨm ə jùŋə̀ ghə̀. 
PHP.1.16	Viʼi a venə a və shə̀ʼtə̀ ətɨm ə jùŋə nə̀ tyɨmə jùŋ ghə̀ lə̀, əshəʼtə byìʼì ando vəwenə kòŋ mo, kɨ la və shwin mò a ngə̀ŋ nfɨŋ byìʼì ando ma ti nchwò nsòʼ kumə ntɨm ə jùŋə ghə̀ Nyìngòŋ la ghə̀ diʼ nəmwèʼè. 
PHP.1.17	Viʼi vyi a və shə̀ʼtə̀ kənyʉ̀ kə Yesò, kiʼ kənghə̀ʼ, vəwenə shə̀ʼtə̀ ndi kiʼi əfò. Vəwenə kəŋ ə kwʉ̀ʼsə ngəʼ ə shomsə ando ma diʼ a ngə̀ŋ nfɨŋ ashə̀. 
PHP.1.18	Alì ngəʼ ko diʼ! Ko wìʼ nshə̀ʼtə̀ ntɨm ə Yesò zhuŋsə ne tèbe nè, kò ghə̀ ne nəmwèʼè, ma saŋlə byìʼì ando vəwenə shə̀ʼtə̀ ntɨm ə jùŋ Yesò ghə̀ kwi dyʉ̀ to ambì. 
PHP.1.19	Ma saŋlə byìʼì ando ma kɨli la əjɨ̀m ə ghəŋə nə̀ gyamtə kəzhwì kə Yesò Klistò kə gyàmtə̀ mà nè bwòŋ ə fʉ̀ fa nfɨŋ ashə. 
PHP.1.20	Nò kənyʉ̀ kə ghoʼokə ki a kə diʼ a mo kwòʼtə nə̀ kikə a ma kəʼtə diʼ la kə mà lù ne kənyʉ̀ kə diʼsə kətʉ. No mənzhʉ̀ ntsèm ə zìtə̀ fa luwen ma kəŋ ə nè shyèʼ ə Yesò nə̀ ətyɨm ə toghə to ando mà tə ne, kòŋ la ntsìnə̀ ghom ə nvi to nə̀ əkuʼsə a wen, kò ma pfʉ pfʉ, kò ma faŋ ə ntsi. 
PHP.1.21	A diʼ a mò, ma tsi ə nshyèʼè a Klistò, mu mà sətsen pfʉ, kə a boŋsə diʼ akayn. 
PHP.1.22	Kə sətsen ə kuʼ la mà faŋ ə ntsi a wen kətsoʼ ashə̀, mà kiʼi ji ə tuʼtə ə nè shyèʼ ə jùŋghə. Ma ko kɨ la à bòŋ kəko a mò lo, pfʉ mu ə ntsi lo. 
PHP.1.23	Mà sə fɨŋmə fa ntìntìn nyʉ̀ a ghèn, kòŋ ə moʼtə nse ghèn ə dyʉ̀ ə ndiʼ yo Klistò, a diʼ kənyʉ̀ ki a kə bòŋ kwʉʼʉ a mò. 
PHP.1.24	Ali yen la à diʼ no kənyʉ̀ kə tokə la mà faŋ ə ntsi a kətsoʼ kə wèn ken byìʼì ando ma kəŋ ə gyamtə ghə̀ŋ. 
PHP.1.25	A le kənyʉ̀ ki a kə ne ma sə diʼ ə faŋ vəghəŋ ndiʼ mà gyamtə ghə̀ŋ kwi ə nə̀ saŋlə a ghə̀ŋ a byɨmə. 
PHP.1.26	Ma ne alə̀ ndiʼ mà sə bwenə ə vi a ghə̀ŋ, ghə̀ŋ be tuʼtə kùm kədyʉ̀ʼ kùmə̀ kənyʉ̀ ki a Yesò Klistò ne a mò chò fa a ghə̀ŋ.
PHP.1.27	Ko a fʉ no te ghò, ghə̀ŋ tsi ando ntɨm ə jùŋ ə Klistò ə kəŋ ndi mà sətsen vi tèbe vi ə yen ghə̀ŋ, kò zhʉ byìʼì ghə̀ŋ a zhʉ a ma ko diʼ, mà ə kɨ la ghə̀ŋ ə ko kwitə fa kiʼi kwoʼtə ə mùʼ, tsi to a kənyʉ̀ kə mùʼ, shyèʼ no nə̀ kədyoʼkə be soynə ə ghaʼa əbyɨmə yì a ntɨm ə jùŋ ə ziʼi. 
PHP.1.28	Kə ghə̀ŋ nè fwàynə̀ viʼi vyi a və tamə ghə̀ŋ. Ghə̀ŋ nè kiʼ ətyɨm ə to ghə̀. Ghə̀ŋ sətsen ə nè alə, ghə̀ŋ diʼi a vəwenə la Nyìngòŋ a byɨbsə vəwenə ə bwoŋsə ghə̀ŋ. A diʼ shyèʼ Nyìngòŋ. 
PHP.1.29	Ma gàʼà alə̀ byìʼì ando Nyìngòŋ ə diʼi li ə tyɨmə jùŋə ghə̀ a ghə̀ŋ ə ne la ghə̀ŋ byɨmə Klistò ə be yènə ngəʼ byìʼì wen. 
PHP.1.30	Ghə̀ŋ ə̀ soynə to soynə. Ghə̀ŋ kɨli la nakèn kə diʼ əsoyn yì a ghə̀ŋ nzhʉ̀ la ma nsoynə, luwen sə diʼ ma bo soynə to soynə.
PHP.2.1	Ghə̀ŋ ndìʼ a kənyʉ̀ kəmùʼ Ghə̀ŋ və Klistò, nakènkə ku tətyɨm tə totə à ghə̀ŋ. Klistò ə kòŋə̀ ghə̀ŋ, ə kòŋ a ghenə bè ku tətyɨm tə zhʉtə tə à ghə̀ŋ. Ghə̀ŋ və Kəzhwì kə ŋwoʼkə diʼ a kənyʉ̀ kəmùʼ. Ghə̀ŋ ə nkìʼ tətyɨm tə bwaʼmətə bènə̀ kusə nshinsə à ghə̀ŋ ə ntìntìn. 
PHP.2.2	Ando ənyʉ̀ avenə diʼ nəmwèʼè lə̀, mà sensə̀ ghə̀ŋ la ghə̀ŋ be ə nè ənyʉ̀ tsenəvə venə ndi saŋlə ghomə kwʉʼ ə̀ mè. Ghə̀ŋ ə nkiʼ tò kwòʼtə̀ mùʼ, kòŋmə̀ təwen ə təŋtə be shyèʼè tò nè ə tyɨmə mùʼ. 
PHP.2.3	Kə ghə̀ŋ a nkwòʼtə̀ tò byìʼì təwen ə təŋtə, kə wìʼ a ə nè kənyʉ̀ ə kuʼsə wèn ə wen. Ghə̀ŋ ə mbòŋsə̀ kiʼ ə shiʼsə wèn à ghə̀ŋ ə ntìntìn be lyɨ̀ la viʼi vətsenvə chò ghə̀ŋ. 
PHP.2.4	Kə ghə̀ŋ a ə nè tò ənyʉ̀ a və ku əsè tò à ghə̀ŋ. Ghə̀ŋ ə nè vi a və bè a ku əsè à viʼi vətsenvə. 
PHP.2.5	Ghə̀ŋ ə nkiʼ tò ntsìnə̀ yì a Yesò Klistò ə̀ nkìʼ lì. 
PHP.2.6	Ghə̀ ə̀ mbè ndiʼ Nyìngòŋ alì kò ghə̀ lù kwòʼtə̀ əlyɨ̀ əwen ə wen ndə̀ŋndəŋ wenə Nyìngòŋ. 
PHP.2.7	Ghə̀ bòŋsə̀ ghʉ̀sə no tè ghò ə̀ wen və bwi wen ə nə̀ Wùmə̀nsòŋ, Ghə̀ kaʼkə sə̀ diʼ wù shwèʼ. 
PHP.2.8	Ghə̀ mbè shiʼsə wen ə wen a nse ə̀ byɨmə ə pfʉ ə pfʉ byɨghə a kəntò. 
PHP.2.9	Byìʼì nakènkə, Nyìngòŋ kuʼsə wen a kəshi a kə ŋaŋtə chò no shì tsèm ə̀ kù zhiʼ à wen a ghə̀ chò no təzhiʼ tə tsèm. 
PHP.2.10	Nyìngòŋ ə nè ali ndi no tè ghò yì a ghə̀ diʼì a kàŋ ko a nse ko a loʼ vəmpfʉ və nse ə gʉtə nchiʼsə a lwi a nse ə ngumlə̀ əzhiʼ ə Yesò. 
PHP.2.11	No tè ndò be ə ngàʼà a ndayn la Yesò Klistò dìʼ Bobo gàʼà a lì, ghoʼsə̀ Nyìngòŋ a diʼì Nyìngòŋ ə̀ Tìʼ.
PHP.2.12	Luwen a vəlèmə̀ və kòŋ ə̀ mò, ando ghə̀ŋ tə zhʉ gɨ̀ ghom, ando mà ndiʼ vəghəŋ, kə a mbòŋsə̀ bòŋə̀ no nkàyn la ghə̀ŋ ntùʼtə̀ zhʉ gɨ̀ ghom ando mà ko bè diʼ vəghəŋ. Ghə̀ŋ myetə nè əshyèʼ yi a ghə̀ faŋə̀ nə̀ gumlə ghə bènə̀ fwàyn ə Nyìngòŋ ndi Nyìngòŋ myetə li bwoŋsə̀ ghə̀ŋ. 
PHP.2.13	Kədiʼ a li byìʼàndo Nyìngòŋ diʼ wenə vəwenə no məzhʉ tsèm, ku kədyòʼ la ghə̀ŋ ə nkòŋ ənè nyʉ̀ a ghə̀ kəŋə la ghə̀ŋ ə nè.
PHP.2.14	Ghə̀ŋ ə nè ənyʉ̀ tsèm tò achi achi, kə ghə̀ŋ ə dèmkə̀ ko ə ntaŋmə̀. 
PHP.2.15	Sətsen ghə̀ŋ ne alə ko wìʼ lù ghàm ghə̀ŋ a kənyʉ̀. Ghə̀ŋ be ə ndiʼ viʼi kənyʉ̀ kə tɨməkə bè kwʉ̀ʼ mè a nə vunə və juŋəvə Nyìngòŋ a və tsi a tyì mbyi mbyɨsə nə̀ viʼi mbyɨsə. Ghə̀ŋ diʼi ə ndiʼ à vəwenə ntìntìn alì diʼ əbayn à vəwenə to nə mədzɨ̀ŋ. 
PHP.2.16	Ghə̀ŋ ə ntsi ando ntɨm ə̀bwòŋ ghèn ə ziʼì la və ntsi ndi à lu ndiʼ a kətsi a Klistò ə bwènə̀ vì, mà ə nsaŋlə̀ la mà ko nshwèʼè kwàʼtə̀ əwen ə ghomə tò kədyàŋ.
PHP.2.17	Mà ne saŋlə̀ be nàynə̀ vəghəŋ a muʼu. Və sətsèn ə̀ zhwì tè mò luwèn mənlyuŋ ə̀ mwomə̀ à dyʉ̀ kwʉ̀ʼsə̀ kəku kì a ghə̀ŋ ə ku à Nyìngòŋ byìʼì əbyɨmə ghəŋə. 
PHP.2.18	Ghə̀ŋ diʼ be ə nsaŋlə̀ be nàynə̀ vəghəŋ a muʼu to ndə̀ŋndəŋ.
PHP.2.19	Sətsen Bobo Yesò a tomsə mo ə mà tɨm Timotì à ghə̀ŋ to mətsi ghèn ndi ghə̀ bwenə vì ə̀ shyə̀ʼtə̀ soʼgho à mò byìʼì ghə̀ŋ ə̀ nè ma ə nsaŋlə̀. 
PHP.2.20	A dìʼ tò wen a ghə̀ kiʼì əkwoʼtə a mà kiʼì byìʼì ghə̀ŋ be kòŋə̀ ə ngyàmtə̀ ghə̀ŋ. 
PHP.2.21	No tè ndò ə nè tò kənyʉ̀ kə ngəŋ ə wen kò vəwenə lu nkòŋə̀ ənè ənyʉ̀ vyi a Yesò Klistò ə kəŋə. 
PHP.2.22	No nkàntə̀ ghə̀ŋ ə kɨ əshwèʼ Timotì. Ghə̀ shyèʼè li yo wen ənè la viʼi byɨmə ntɨm ə jùŋ to ndə̀ŋndəŋ ji a wàyn nə̀ shyèʼè à tìʼ wen. 
PHP.2.23	Mà kwòʼtə̀ ətɨm ə wen à ghə̀ŋ no zhʉ̀ kò a mà kɨ kənyʉ̀ a kə a fʉ̀ à mò. 
PHP.2.24	Mà choʼsə̀ à Bobo la kəghaf kə ko be a dyə̀fə ə nkàntə̀ mò vi ə̀ yèn ghə̀ŋ.
PHP.2.25	Mà yen li kə be bòŋə̀ la mà be bwensə ə̀ tɨ̀m lèmə̀ vəghəŋ ə Èbàfàlòditùs à ghə̀ŋ. Yo wen ə shyèʼè əsoyn be ntem əghoŋ ghenə a muʼu. A dìʼ wù ntɨm a ghə̀ŋ ə ntɨm li la ghə̀ vi ə̀ ngyàmtə̀ mò. 
PHP.2.26	Ghə̀ kòŋə̀ no nkàyn əvi yen ghə̀ŋ Ghə̀ ko tə nsaŋlə̀ byìʼàndo ghə̀ŋ tə zhʉ̀ la ghə̀ tə nkwaʼa. 
PHP.2.27	Ghə̀ tə nkwaʼa no nəmwèʼè ə̀ shwètə̀ to a lə̀ mu ghə̀ əpfʉ alì Nyìngòŋ kusə nshinsə à wen. Nyìngòŋ ko tə kùsə nshinsə tò à wen, Ghə̀ be tə kùsə nshinsə à mò ndi kə mà yèn ə ngəʼ ə̀ chò ando mà yenə. 
PHP.2.28	A lè kənyʉ̀ a kə ne mà sə lutə̀ kəŋ ətɨm wen à ghə̀ŋ kɨ la ghə̀ŋ ə nsaŋlə̀ ə be yenə wen, ko əkwoʼtə ghomə be a ku ngəʼ à mò. 
PHP.2.29	Ghə̀ŋ shisə wen a nə̀ lèmə̀ ghə̀ŋ a ghə̀ŋ kiʼi Bobo muʼ. Ghə̀ŋ ə ngumlə̀ nki viʼi venə to nə̀ wen lə̀, 
PHP.2.30	byìʼàndo ghə̀ tə shwètə̀ əpfʉ byìʼì əshyèʼ Klistò ando ghə̀ tə gyàmtə̀ mò ənè shwèʼ yi a ghə̀ŋ ko zi ghə̀ŋ nè.
PHP.3.1	Ə myètə̀ a vəlèmə̀ vwomə, ghə̀ŋ ə nsaŋlə̀ la ghə̀ŋ dìʼ a kənyʉ̀ kə mùʼ wenə və Bobo. Kə ko ku ngəʼ à mò ə mà be ə̀ zòmtə nyòʼ ənyʉ̀ à ghə̀ŋ a mà sə̀ diʼ mu mà nyòʼò li. Ə nyʉ̀ avenə be a ntsɨ̀ŋə̀ ghə̀ŋ. 
PHP.3.2	Ghə̀ŋ tuʼmə wen və viʼi nè ənyʉ̀ byɨvə venə a vəwenə diʼ to nə̀ bʉsə lə̀. Vəwenə ghʉ tò la və diʼ shɨtə ndyə̀ ə̀ wìʼ. 
PHP.3.3	A dìʼ nə yes a yes ə kuʼsə to a ji kəzhwì kə Nyìngòŋ kə tisə yes fa tsu, à diʼ yes a və shətə li ndyə̀ yes nəmwèʼè. Yes ə tsi to kənyʉ̀ a Yesò Klistò ə ne li a yes. Kèn la yes ə choʼsə la wìʼ zi ghə̀ gyamtə yes.
PHP.3.4	No tè ando mà zì mà choʼsə ə viʼi, ma kiʼi kənyʉ̀ a kə nè, no a ndò a kwòʼtə̀ la ghə̀ kiʼi kənyʉ̀ a kə nè la ghə̀ choʼsə viʼi, mu mà zì mà kiʼi ə̀ chò wen. 
PHP.3.5	Və mbwì mo, à sə ndiʼ mətsi fwomə və shɨ̀tə̀ ə̀ ndyə̀ ghom. Mà diʼ wù Islel mu mà fʉ fa ngwàʼa ngə̀ŋ ə̀ Benjamìn. Tìʼ ghom nè lì ghom ndìʼ no kayntə viʼi Hibùlù. Mà ndìʼ wù nòyn ə̀ Və Falàsi, ghʉ ə̀soʼ ə Mosìs no nkàyn. 
PHP.3.6	Na ki kə nè tyɨmə ghomə sə lɨmə, ma sə tsuʼu kəghʉ kə ntsèntə̀sə viʼi vəbyɨməvə Yesò Klistò. A kənyʉ̀ kə tɨməkə, ma nghʉ təsoʼ no tə tsèm to nkayn.
PHP.3.7	Ənyʉ̀ avenə no tsèm ndiʼ sə a ndiʼ sè, mà lyɨ̀ luwèn la a dìʼ kənlè byìʼì əshwèʼ Klistò. 
PHP.3.8	A ko diʼ to Wokèn. Mà yenə luwèn la ənyʉ̀ avenə tə nsù diʼ kənlè byìʼàndo kənyʉ̀ kə tokə à mò dìʼ la mà diʼi kɨ Yesò Klistò ə Bobo ə̀ ghom. Mà maʼà li no tè ghò a mà tə nè. Ma yen li luwen la a diʼ kəmɨ̀ŋ ndi ə ndiʼ wù Klistò 
PHP.3.9	Mà kəŋə la yo wen ə ntsèntə̀ diʼ a kənyʉ̀ kə mùʼ, ko ndiʼ la a dìʼ byìʼì kənyʉ̀ kə tɨməkə ə ngəŋ mo byìʼàndo ma ghʉ ə̀soʼ. Ali, mà sə̀ diʼ wù kənyʉ̀ kə tɨməkə byìʼì byɨmə ghomə à Klistò. Ali kənyʉ̀ kətɨməkə a kenkə vi fa Nyìngòŋ a diʼ byìʼì choʼsə a Klistò. 
PHP.3.10	Mème kənyʉ̀ a mà kəŋə dìʼ la mà kəŋə kɨ Klistò ə be kiʼ kədyòʼ kì a Nyìngòŋ ə̀ nku à wen ghə̀ lù fa pfʉ, mà kəŋə yen ə ngəʼ to nè wen ə be pfʉ to nè wen. 
PHP.3.11	Ndi Nyìngòŋ lə lusə mo fa pfʉ.
PHP.3.12	Mà ko gàʼà la mà kwʉʼʉ̀ li a kənyʉ̀ akènkə, ko la ma tɨmə ə nkwʉʼ alì la mà mwòmsə̀ no nə̀ kədyòʼ kə əkɨ Yesò Klistò ə be ə ndiʼ to nə̀ wen byìʼàndo à dìʼ kənyʉ̀ a ghə̀ ntsuʼ mo la ə ma ndiʼ wù wen. 
PHP.3.13	Vəlèmə̀ vwomə, mà ko lyɨ̀ la mà mwetə li kənyʉ̀ akènkə, alì kənyʉ̀ kə diʼ tò kə mùʼ a ma nè à diʼ la mà ko be ghʉ kətʉ a ənyʉ̀ chovə, mà shyèʼè dyʉ̀ tò nə̀ mbì. 
PHP.3.14	Mà shwèʼè dyʉ̀ tò nə̀ mbì ndi ə kiʼi zhùʼtə̀ yi a Nyìngòŋ ə dzàŋə̀ mò fa kaŋ ə chò fà Yesò Klistò.
PHP.3.15	Mà sə kəŋə la vəghəŋ vətsèm a vəghəŋ ə to li ə nkwʉʼ à vəghəŋ ə byɨmə a nyʉ̀ venə nkiʼ tò kwòʼtə̀ aghenə. A sətsèn ghə̀ŋ vətsenvə nkiʼ əkwoʼtə kədyàŋ a nyʉ̀ venə mu Nyìngòŋ a nè ə ghə̀ŋ ə nzhʉ kɨ ənyʉ̀ avenə no nkàyn. 
PHP.3.16	No tè be ali, vəghəŋ diʼ ə nè tò a ənyʉ̀ vyi a Nyìngòŋ ə ndiʼì li à vəghəŋ, vəghəŋ sə̀ nè fa ambì.
PHP.3.17	Vəlèmə vwomə ghə̀ŋ nè tò ə ndzɨ̀mtə̀ ənyʉ̀ a ma nè. Ghə̀ŋ ə ntùʼtə̀ lyè viʼi vyi a və jèʼè a jisə jùŋə sə shì a yès tə̀ dìʼ la ghə̀ŋ ə njèʼè fa tsu. 
PHP.3.18	Ando ma ngaʼa li a ghə̀ŋ to ghaynə ghayn ə be sə gyisə gàʼà luwèn nə̀ məshɨ à mo ashɨ la viʼi no vəghoʼ a ma tə ngaʼa ghə̀ŋ byìʼì ji a vəwenə ətsi ədiʼ la vəwenə diʼ viʼi ə kəbàyn ziʼi yi a ghə̀ gaʼa byìʼì əpfʉ Klistò a kəntò. 
PHP.3.19	Nyìngòŋ ə ne byɨsə vəwenə byìʼàndo Nyìngòŋ ə̀ vəwenə dìʼ njòsə wèn ə̀ vəwenə kəŋ. Vəwenə bòŋsə̀ kuʼsə̀ wen byìʼì ənyʉ̀ ə kətʉ kə diʼikə be kwòʼtə̀ tò byìʼì ə̀fo mbyi venə. 
PHP.3.20	Alì fà vəghəŋ, vəghəŋ ə kɨ la ə̀ loʼ ə vəghəŋ ə diʼ akàŋ. Adìʼ fa tsu a vəghəŋ ə kə̀ʼtə̀ mbwòŋsə̀ vəghəŋ ə Bobo Yesò Klistò. 
PHP.3.21	Ghə̀ nè ə lyɨ kədyòʼ kì a kə nè la ə̀fo ə̀ tsèm ə ndiʼ à wen ə tyi əsoʼ ə kwitə wèn ə vəghəŋ ghenə a ghə̀ diʼ ə lu pfʉ lə̀, ghə̀ kaʼkə ndiʼ tò nə̀ əwèn ə̀ ŋwoʼghə wen.
PHP.4.1	Vəlèmə vwomə mà gàʼà à ghə̀ŋ a la, mà kòŋə̀ ghə̀ŋ no nkàyn be kòŋə̀ əyen ghə̀ŋ. Ghə̀ŋ ə nè mà saŋlə̀ no nkàyn. Ghə̀ŋ dìʼ əmoʼtə shyèʼ ə̀ mò. Mà kuʼsə̀ əwen ə ghomə byìʼì ghə̀ŋ. Vəlèmə vwomə ma kòŋ Luwen ghə̀ŋ diʼi tɨmə tò a ghə̀ŋ əbyɨmə a Bobo. 
PHP.4.2	Ma sensə la Euodiyà wenə̀ Syntychè ə ndiʼ a kənyʉ̀ kə mùʼ byìʼàndo ghə̀ŋ dìʼ vəlèmə̀ a byɨmə. 
PHP.4.3	Mà gaʼa à wù a ma ghʉ ə tyɨmə ghomə a wù a yowù tsentə̀ ə̀ shyèʼ a muʼu, Mà kəŋ la wù gyamtə ki venə byìʼe yo vəwenə nshə̀ʼtə̀ ntɨm ə jùŋ amuʼ əboʼsə nə̀ Clemèn bènə̀ viʼi vətsenvə a təzhiʼ tə vəwenə sə̀ diʼ a ŋwàʼlə̀ əbwòŋ. 
PHP.4.4	Ghə̀ŋ ə saŋlə̀ a Bobo no mənzhʉ̀ tsèm. Mà gàʼà be kùmtə̀ la ghə̀ŋ ə nsaŋlə̀. 
PHP.4.5	Ghə̀ŋ ə ntsi ntsìnə̀ bwaʼmə à viʼi vətsèm. Əzhʉ boʼsə ə Bobo bwenə vì. 
PHP.4.6	Kə tətyɨm ə təŋtə a lɨmə kənyʉ̀ kətsenkə, alì ghə̀ŋ ə njɨ̀mə̀ tò jɨ̀mə̀ loynə no tè ghò a ghə̀ŋ ə kəŋə fà Nyìngòŋ. Ghə̀ŋ sə nloynə ghə̀ŋ ə nku kəzòŋ à Nyìngòŋ. 
PHP.4.7	Ghə̀ŋ sətsen ənè alə̀, Nyìngòŋ a ku əbwaʼmə a ghə̀ŋ a diʼ mbwaʼmə a ghə̀ cho no ghò, ko no wìʼ zi ghə̀ kwoʼtə. Əbwaʼmə ghèn a nè tətyɨm təŋtə nə̀ təkwòʼtə̀ təŋtə əzhʉtə byiʼə ghə̀ŋ diʼ wenə və Yesò Klistò.
PHP.4.8	Vəlèmə̀ vwomə ə kəmwetə, ghə̀ŋ ghʉ təkwòʼtə̀ təŋtə no tè a ghò yì a ghə̀ bòŋə̀ be diʼ və nghoʼsə̀,nyʉ venə diʼ ənyʉ̀ vyi a diʼì ənyʉ̀ nəmwèʼè, ənyʉ̀ vyi a və diʼì ə və jùŋvə, ənyʉ̀ vyi a diʼ ənyʉ̀ ə̀ tɨməvə, ənyʉ̀ vyi a diʼ ənyʉ̀ ŋwoʼvə, ənyʉ̀ a viʼi diʼ ə nkòŋə̀ bènə̀ ənyʉ̀ a və diʼì ə və ntemə təpfem tsu. 
PHP.4.9	Ghə̀ŋ ə nè ənyʉ̀ vyi a ghə̀ŋ ziʼì fà mò, vyi a ghə̀ŋ shi fà mò, vi a ghə̀ŋ zhʉ ando mà gàʼà bènə̀ vi a ghə̀ŋ yenə ando mà nè. Sətsen ghə̀ŋ ə nè alə Nyìngòŋ a ku mbwaʼmə̀ a ghə̀ŋ mbe ndi və̀ vəwenə.
PHP.4.10	Ando mà diʼi yo Bobo, ma saŋlə̀ no nkàyn byìʼàndo ghə̀ŋ ə be dìʼ à mò luwèn la ghə̀ŋ tuʼmə nè mò no tèbe ando kəghaf kə dyʉ̀ li. Mà kɨ li la ghə̀ŋ tə nkiʼ ə tyɨmə tuʼmə nè mò alì jì ə ko tə ndiʼ. 
PHP.4.11	Mà ko gàʼà nakènkə luwèn byìʼàndo ma gho kəfo. Mà ziʼi li ə ntsi tò nə̀ kikə a mà kiʼì 
PHP.4.12	Mà nkɨ li ji a wìʼ ətsi tè a zhʉ a ghə̀ gho kəfo ə be ə nkɨ ji a wìʼ ətsi tè a zhʉ a ghə̀ kiʼì ə̀fo no ghoʼo. Mà ziʼi li ə ntsi tò nə̀ kikə a mà kiʼì. Ma myəʼsə li ndiʼ to a kayn a zhʉ ma kiʼi no əghoʼ mbe myəʼsə əndiʼ nè jɨŋ. Ma myəʼsə li ndiʼ to a kayn a zhʉ a ma kiʼi cho to ando ma kəŋ mbe myəʼsə ndiʼ to kayn te azhʉ ma ko kiʼi tè kəfo a ma kəŋ. 
PHP.4.13	No kənyʉ̀ kə ko a kə fʉ̀ a mò, ma tɨmə ə tò byìʼì kədyòʼ ki kə a Yesò Klistò ə ku à mò.
PHP.4.14	Alì, ghə̀ŋ ə tə nè a nkàyn ando ghə̀ŋ tə gyàmtə̀ mò à mo tì ngəʼsə. 
PHP.4.15	No nkàyntə̀ ghə̀ŋ ə viʼi Fìlìbày ə kɨ la ando mà nzìtə̀ shə̀ʼtə ntɨm ə jùŋ ando ma əlù fa Macedonia, no ntsèntə̀ viʼi və byɨməvə tsen nko gyamtə mo ə chò tò ghə̀ŋ, 
PHP.4.16	Tə̀ ando mà ə̀ ndìʼ a Tèsàlonikà, ghə̀ŋ bè tɨ̀m ə gyamtə à mò to aghayn aghayn. 
PHP.4.17	Mà ko gàʼà a lə̀ la mà be kəŋə la ghə̀ŋ ku kəfo à mò, mà bòŋsə̀ kəŋə la Nyìngòŋ kwʉʼsə̀ mòʼtə̀ ə ghəŋə. 
