MAT.1.1	Neꞌeŋa a Yesu one a David yaaŋ, ka a Abraham yaaŋ la yaanam yela. 
PHP.2.24	Ka m meŋ me mor tiꞌir Zugsobin la ye li ku yuuge ka m me na kena.
PHP.2.25	M gbanꞌe li ka li nar ye m tumi m baꞌabiig, Epafroditus one a m tumtum tiraan ka lem a m sogia tiraan ka a one ka ya tum o ye o suŋi m la. 
PHP.2.26	Ka o bood hale ye o nyee ya wusa; ka o sunf saꞌam yaname wumi o banꞌas yela la. 
PHP.2.27	Sida, o daa benꞌedne ka nwaas kum. Ka Winaꞌam zo o nimbaanlig, ka li kaꞌane on maꞌaa nimbaanliga, amaa laꞌam ne mam men, ka m susaꞌaŋ da lem peꞌese. 
PHP.2.28	Dinzug ka m mood ne nimmua hale ye m tum o ya saꞌan na, ka ya yaꞌa nye o, ya sunya na malis, ka m yaꞌam na maꞌae men. 
PHP.2.29	Diꞌemin o ne sumalisim hale Zugsob la zug. 
PHP.2.30	O daa nwaasne kum Kiristo tuuma yela, ka keesi o nyovur ye o suŋi man ne line ka ya meŋ pu nyaŋe suŋi m la. Naꞌasimi niŋkan buudi.
PHP.3.1	Baꞌasugo, m baꞌabiise, more sumalisim ne Zugsob la ni. Li pu daam man ye m lem sob bun kan yela yaꞌase, bozugo li ane suŋir tisi ya.
PHP.3.2	Guꞌusimi ya meŋ ne nimbeꞌednam la, bane tum tuumbeꞌed la, laꞌam ne bane kpenꞌesid nidib baŋo la, ka paꞌan ye ba ane Winaꞌam nidib la. 
PHP.3.3	Ka tiname baŋo kpenꞌeb la paꞌal ye ti sid puꞌusid Winaꞌam ne o Siig Suŋ paŋ, ka nweꞌed nyoꞌog Yesu Kiristo ni. Ti pu tie ninsaali niŋid siꞌel yela. 
PHP.3.4	Hale baa m meŋi naani moren suekane na keen ka m nweꞌ nyoꞌog ne saalib yela laa.
PHP.3.4	Soꞌ yaꞌa tenꞌes ye o mor suekane na ke ka o nweꞌ nyoꞌog ne saalib niŋire, mane lee gat. 
PHP.3.5	Ban n duꞌa man daba anii daar ka ba kpenꞌesi m baŋo. Mane a Israel nid, Benjamin doog buudi ka a Hibiru nid yelmeŋir, ka Jew dim wada la dolisug yela ka m a Farisee nid. 
PHP.3.6	Ka li yaꞌa ane nimmua yela m da namisid Winaꞌam nidib bane niŋ Yesu yadda. Ka popielim line a wada siakir la yela la, m daa kaꞌ gbaꞌaree.
PHP.3.7	Ka yelbane wusa ka m naani nokin ka li da aa m nyood la, ka Kiristo yela, ka m noki li ka li a zaalim. 
PHP.3.8	Asida, m tenꞌes ye siꞌel mekama ane zaalim. Ka Yesu Kiristo baŋir yela a suꞌum gati li wusa. On yela ka m lu siꞌel mekama ni ka noki li ka li a saꞌad, ye Kiristo lee na a m nyood, 
PHP.3.9	ne mam be o saꞌan la. M pu lem mor popielim line a m meŋ din ne, line a wada suer dolim. M yuꞌun mor ne popielim line yi Yesu Kiristo yadda niŋirin ka a Winaꞌam din line ka ti diꞌed ne yadda niŋir. 
PHP.3.10	Ka bood ye m baŋ o ne o kuꞌum vuꞌugir la paŋ, ka laꞌam namis ne o ka wenne o ne o kumin, 
PHP.3.11	ye daasiꞌere m na tunꞌe nye kuꞌum vuꞌugir.
PHP.3.12	Li kaꞌane ye m pun deŋim nye piini la bee lieb suꞌum naae, amaa m nyidigid ye m gbanꞌe piinkane yela ka Yesu Kiristo gaŋi m la. 
PHP.3.13	M baꞌabiise m pu tenꞌes ye m nyaŋe li nanne. Lin ka m nyidigid la ane ye m tam nyaꞌaŋ bun ka lee mood ye m paam line be tuon la. 
PHP.3.14	M zotne hale ye m paae naar la ben, ye m di piini la. Ka piini la ane ye Winaꞌam buoli man arazana ni ka li yi Yesu Kiristo ni na.
PHP.3.15	Keli ka tinam bane yadda biꞌ la mor potenꞌer kan men, ka soꞌ yaꞌa mor potenꞌer siꞌa, Winaꞌam na nie li ka ya baŋ. 
PHP.3.16	Keli ka ti gbanꞌe line ka ti deŋim siak la kiŋ kiŋ.
PHP.3.17	M baꞌabiise, laꞌamini taaba tuꞌasi mam tuuma, ka kpansimi bane beilim tuꞌasi ti beilim a siꞌem la. 
PHP.3.18	M deŋim yeli ya noor bedego, ka lem yeti ya ne nintoꞌom ye nidib bedego be ka a dataas ne Yesu Kiristo dapuudir la yela. 
PHP.3.19	Ba baꞌasug ane saꞌuŋ, ka ba niŋgbiŋ boodim aa ba Winaꞌam. Ba nokid line a nyan la, n nweꞌedi ba nyoꞌog, ka ba yaꞌam kpenꞌed ne line a dunia bun maꞌaa. 
PHP.3.20	Ka tiname a arazana nidib la, zinꞌikan ka ti guri ti faangid Yesu Kiristo yiib na la. 
PHP.3.21	One na tiakedi ti taduŋ niŋgbiŋ ka li wen wuu o niŋgbiŋ line venl pilpil la. O na niŋ ala ne o paŋ kane ket ka o nyaŋ ka soꞌe siꞌel mekama la.
PHP.4.1	Ala zug m baꞌabiise, yanam ban ka m noŋ hale ka bood ye m nye ya la, li ket ka m mor sumalisim ka lem a m nyood la. M zuanoŋa, ziꞌenimi kiŋ kiŋ yanam a yinni ne Zugsob la.
PHP.4.2	M belim ne poꞌabama, Yuodia ne Sintike ye ban a yinni ne Zugsob la, ba niŋim noor yinni ne taaba. 
PHP.4.3	M zoongo ameŋa, m me sosid uf ye fu suŋ poꞌab la. Ba daa laꞌas ne man n tum Kiristo labasuŋ tuuma la ne Kelement ne tumtum taab bane kpelim ka ba yuda sob nyovur paal dim gbauŋin la.
PHP.4.4	More sumalisim saŋa wusa yanam a yinni ne Zugsob la. Ka m na lem yel yaꞌas ye, more sumalisim. 
PHP.4.5	Kel ka nidib wusa nye ya suguru. Zugsob la kenna la liꞌelne. 
PHP.4.6	Da ke ka siꞌel yela paki yaa, amaa puꞌusum Winaꞌam siꞌel wusa ni ne sosug laꞌam ne bareka puꞌusug, ka o baŋi ya sosug yela. 
PHP.4.7	Winaꞌam na tisi ya sumalisim line gat din ka ninsaalib na baŋi li gbin ka na guri ya sunya ne ya tenꞌesa Yesu Kiristo ni.
PHP.4.8	M Baꞌabiise, li baꞌasug ane anwa. Keli ka ya yaꞌam kpenꞌe siꞌel mekama line a sida, ne line mor zunꞌor, ne line a yelsida, ne line a popielim ne line venl, ne tuumsuma ne siꞌel mekama ka li a suꞌum ka nar pianꞌasuŋ. Tenꞌesimi bama yela. 
PHP.4.9	Niŋimi line ka ya zamis, ka diꞌe, ka wum, ka nye m saꞌan la, ka Winaꞌam one tisidi ti sumalisim na be ne ya.
PHP.4.10	Li malisi m hale Zugsob saꞌan la ya baꞌa lem be ne man yaꞌas la. Ya baꞌa sid daa be ne mam, amaa ya daa kaꞌ suer siaꞌ na paꞌali lii. 
PHP.4.11	Li kaꞌane m yel ye siꞌeli poꞌogi ma. M pun zamis ye m beilim yaꞌa a siꞌem wusa li ku paki ma. 
PHP.4.12	M miꞌilim taduŋo a siꞌem ka lem miꞌ morem a siꞌem. M zamis ye m tunꞌe bei ne yela mekama wusa ni, li yaꞌa a tigir bee koꞌom bee kpanꞌam bee noŋ. 
PHP.4.13	M tunꞌe tum siꞌel mekama wusa ne paŋ kan ka Kiristo tisidi m la.
PHP.4.14	Ka laꞌam ne wala sa ya maal suꞌum yaname laꞌam suŋi m ne m namisugin la. 
PHP.4.15	Ka yanam Filipi dim miꞌ ye labasuŋ moolug pinꞌilugin ya teŋin la, mam daa yi Masedonia ka toom la, Winaꞌam nidibi be teŋ siꞌa pu tisi m bee diꞌe siꞌeli m saꞌane asee yanam maꞌaa. 
PHP.4.16	Bozugo mam daa be Tesalonika teŋin la, ya daa tum n suŋim noor bedego. 
PHP.4.17	Li kaꞌa piini ka mam booda, amaa m bood ye ya diꞌe li nyood. 
PHP.4.18	M diꞌe piinbane wusa ka ya tis Epafroditus ye o mor na la ka li siaki m boodim. Li wen wuu bun line ka li nyuug malis ka ba nyuꞌe tis Winaꞌam ka o diꞌed ne sumalisim. 
PHP.4.19	Ka m Winaꞌam on ka m siak na tisi ya line mekama nar ne ya, ka li dolne o kpaꞌam titaꞌar line be Yesu Kiristo ni la.
PHP.4.20	Ti Baꞌ Winaꞌam na nye zunꞌor saŋa kane kaꞌ benne. Ami.
PHP.4.21	Puꞌusum Winaꞌam nidib mekama wusa bane a yinni ne Yesu Kiristo la. Ti baꞌabiis bane laꞌam be ne m la puꞌusidi ya. 
PHP.4.22	Winaꞌam nidib wusa puꞌusidi ya hale line gat ane naꞌab Kaisa yidim la.
PHP.4.23	Ti Zugsob Yesu Kiristo yelsum na be ne ya.
COL.1.1	Mam, Paul one ka Winaꞌam gaŋ ka m a Yesu Kiristo Tumtum, ne ti baꞌabiig Timoti 
COL.1.2	n sobid gbauŋ kaŋa tisid yanam bane a Winaꞌam nidib, ka a yinni ne Kiristo ka be Kolose teŋin ka a ti baꞌabiis bane a yadda dim la.
COL.1.2	Ti Baꞌ Winaꞌam na tisi ya yelsum ne sumalisim.
COL.1.3	Tinam yiti puꞌusid Winaꞌam one aa ti Zugsob Yesu Kiristo Baꞌ la tisidi ya saŋa mekama. 
COL.1.4	Ti puꞌusid o bareka tiname wum ye ya niŋid Yesu Kiristo yadda ka noŋ Winaꞌam nidib wusa la, 
COL.1.5	yaname mor tiꞌir ne line ka Winaꞌam digil arazana ni n guri ya la zug. Ya pun deŋim wum tiꞌir la yela sida pianꞌadin line a Winaꞌam labasuŋ la, 
COL.1.6	ka ba mooli tisi ya la. Ka zinꞌis bedego ka nidib bedego siak Winaꞌam labasuŋ la, ka ba kal peꞌesid. Ala men ka li me niŋidi ya saꞌan saŋa kan ka ya wum Winaꞌam popielim yela ka sid baŋi li n ti paae nannanna la. 
COL.1.7	Ya zamis neꞌeŋa Epafras saꞌan one aa ti tumtum tiraan Yesu Kiristo ni, ka lem a Kiristo tumtum yelmeŋir ka ziꞌe ti noba zug ya yela la. 
COL.1.8	O yeli ti yanam mor noŋilim Winaꞌam Siig Suŋ ni siꞌem la.
COL.1.9	Dinzug ka ti pu basi ka kpelim sosid Winaꞌam tisidi ya, saŋa kan ka ti wum ya labaar la n ti paae nannanna, ka sosid Winaꞌam ye ya baŋ o potenꞌer bood siꞌem suꞌuŋa, ne yaꞌamsuŋ ne baŋir line ka Winaꞌam Siig la tisid. 
COL.1.10	Ti sosid ye ya tuuma n nar Zugsob la, ka li maꞌae o suunr bedego, ka ya tum tuumsuŋ wusa, ka ya Winaꞌam yela baŋir peꞌes. 
COL.1.11	Ka Winaꞌam paŋ titaꞌar la zug ka ya na mor paŋ bedego men, ye ya tunꞌe modig suꞌuŋa ne sumalisim 
COL.1.12	ka na puꞌusidi ti Baꞌ Winaꞌam bareka. On maali ya ka ya nar ye yanam laꞌam ne ya Winaꞌam nidib taaba n diꞌe line a ya din ka be Winaꞌam soꞌolim line a nyain la ni. 
COL.1.13	Winaꞌam faann ti Sutaana soꞌolimin line a likine n taꞌasi ti o Binoŋir soꞌolimin. 
COL.1.14	On zug ka ti nye yolisim ka Winaꞌam yiisi ti tuumbeꞌedi bas la.
COL.1.15	Winaꞌam one ka ba pu nyet la a siꞌem la Yesu me sid ane ala. O ane bun kane maal wusa la kpeenm. 
COL.1.16	Ka li yine o saꞌan na ka Winaꞌam maali li wusa, bun bane be dunia ni bee saazug, bee bun nyeta, bee bane pu nyetaa, bee bane mor naꞌam bee soꞌolim, bee paŋ, bee kpiꞌeuŋ la. Ka bun wusa maalug yine o saꞌan ka ane o meŋ yela. 
COL.1.17	O pun deŋim be ka siꞌel siꞌel nam kaeꞌ, ka o paŋ ket ka li wusa a gumm. 
COL.1.18	One a Winaꞌam nidib kpeenm wuu zugu a yiiga siꞌem niŋgbiŋin la, ka lem a yiiga sob bane vuꞌug kumin la, ye o a siꞌel wusa kpeenm. 
COL.1.19	Ka li malis Winaꞌam ye on a siꞌem la wusa Yesu me ane ala. 
COL.1.20	Li yine o saꞌan ka Winaꞌam zaŋ o ziim kane yi kuꞌum dapuudir zug la naal noor ne bun line be saazug ne dunia ni wusa.
COL.1.21	Saŋsiꞌen la ya daa ane biꞌemnam ne Winaꞌam, ka mor potenꞌebeꞌed ne tuumbeꞌed. 
COL.1.22	Amaa Yesu Kiristo kuꞌum la yela o naal noor ne yanam, ka na ziꞌel ya nyain Winaꞌam tuon ka ya ku lem mor gbaꞌar bee taale. 
COL.1.23	Ala zug ya yaꞌa kpelim mor ya yadda la kiŋ kiŋ wuu eenb suŋ ne, ka pu bas tiꞌir line ka ya wum labasuŋin laa, li na niŋi ala. Nwa ane labasuŋ kane ka ba daa mool tis soꞌ wusa one be dunia ni. Labaar kan la ka mam Paul liebi li tumtum la.
COL.1.24	Li malis man Paul ne mane namisidi ya yela la. Namisug kan ka m namisid la ye li niŋne paae li ben wenne Kiristo n daa yel ye m na namis la. Ka li ane o niŋgbiŋ line a o nidib la yela ka m namisid. 
COL.1.25	Ka ya yela ka Winaꞌam gaŋi m ye m liebi o nidib la suŋid ka mooni o labaar la suꞌuŋa. 
COL.1.26	Labaar la da ane yelsuaꞌadir saŋa kane gaad la wusa, amaa nannanna li yuꞌun nie tis o nidib. 
COL.1.27	Ka Winaꞌam gbanꞌe ye o ke ka o nidib baŋ ye yelsuaꞌadir la ane yelsum titaꞌar n me tis buudi wusa. Yelsuaꞌadir la ane ye Kiristo a yinni ne ya ka tisi ya tiꞌir ka ya na be ne Winaꞌam.
COL.1.28	Ti moon Kiristo yela, ka saꞌan soꞌ mekama, ka paꞌani ya ne yaꞌamsuŋ ye ya biꞌ Kiristo ni ka ti zaŋi ya n paꞌal Winaꞌam. 
COL.1.29	Linzug ka m kpeꞌeŋi m meŋ n mo hale ne paŋ titaꞌar line ka Kiristo tisi m la.
COL.2.1	Ka m bood ye ya baŋ mam kpeꞌeŋi m meŋ siꞌem wusa, ya yela ne bane be Laodisea ne bane pu nyee m ne nif nan la, 
COL.2.2	ye ya laꞌam taaba ne noŋir n kpeꞌeŋi ya sunya, ka baŋ Winaꞌam yelsuaꞌadir line a Kiristo la nyain nyain ka pu biꞌesidi li yela baa biꞌelaa. 
COL.2.3	Ka Kiristo saꞌan ka baŋir ne miꞌilim wusa wusa be. 
COL.2.4	M yeli ya nwa ne ka soꞌ da maꞌa ya ne yaꞌam gonluŋo, 
COL.2.5	ka m baꞌa be ne ya, hale baa man kaꞌa ya saꞌan la, ka m sunf malis ne ya suer la dolim ne yaname siak Kiristo kiŋ kiŋ la.
COL.2.6	Dinzugo yaname sadigim siak ye Yesu Kiristo a Zugsob la, bei ne o ne noor yinni, 
COL.2.7	ka gbanꞌe o wenne tiig nyaꞌa gbanꞌ teŋ kiŋ kiŋ siꞌem la, ka ya yadda niŋir nobug, ka ke ka ya beilim Yesu ni a wuu tiname paꞌali ya siꞌem la, ka tisidi Winaꞌam bareka puꞌusum bedego.
COL.2.8	Guꞌusimi, ka soꞌ da panꞌasi ya ne paꞌalug line wen wuu yaꞌam paꞌalugo, ka a damaꞌa zaal, ka a paꞌalkuda ne saalib yiiga paꞌala, ka pu yi Kiristo ni na laa.
COL.2.9	Ka Winaꞌam a siꞌem wusa la, Kiristo me da ane ala o niŋgbiŋin. 
COL.2.10	Ka yaname a yinni ne o la zug ka ya nye nyovur bedego. Kiristo ane kpeenm ka soꞌe line wusa mor paŋ ne kpiꞌeuŋ. 
COL.2.11	Yanam a Winaꞌam nidib n a yinni ne Kiristo la, ka zanbin line paꞌal ye ya a o nidib la, kaꞌane baŋo kpenꞌesug niŋgbiŋinee, ka ane ye Kiristo yiisi ya potenꞌebeꞌed ya ni. 
COL.2.12	Yaname daa diꞌe kuꞌom suub la, li nwaasne wuu ba laꞌam mumi ya ne Kiristo. Ka yaname niŋ Winaꞌam yadda on vuꞌug Kiristo kumin siꞌem la, li me nwaasne wuu ya laꞌam vuꞌugi ne o.
COL.2.13	Ya tuumbeꞌed ne ya saalib boodim line pu dol suer la da ke ka ya ziꞌ Winaꞌam ka wenne bane kpine. Ka Winaꞌam ke ka ya laꞌam vuꞌug ne o. O da yiisi ti tuumbeꞌed wusa bas. 
COL.2.14	Yesu yiis wada kan daa sob, ka li kati ti saria la, ka li moŋidi ti buod la, n zaŋi li kpaꞌa tabil o dapuudir la zug. 
COL.2.15	Kiristo kuꞌum dapuudir la yela ke ka o saꞌam siisbeꞌednam bane mor paŋ ne kpiꞌeuŋ wusa ka diisi ba nyan paalo ni, on nyaŋe ba la zug.
COL.2.16	Dinzug, da ke ka soꞌ yel ye ya niŋimi anwa ne anwaa, diib sieba yela bee nuub yela bee yuum yuum malima bee nwadipaalis malima bee daba ayopoi vuꞌusum daar yela. 
COL.2.17	Bama nwa da nwaasne line na ti kena la, ka li ameŋa a Kiristo. 
COL.2.18	Da ke ka one maꞌa ye o kpiꞌem gat uf panꞌas uf ka maꞌa ye Winaꞌam nie siꞌel paꞌal on ne, ka nyidigid n maꞌadi siedi o meŋ ka puꞌusid maleknama. Ninkaŋa duꞌosidi o meŋ ka li gbin kaeꞌ, bozugo li ane ninsaalib tenꞌesug ka o dol, 
COL.2.19	ka pu dol Kiristo yela. Kiristo wenne zugne, ka ket ka yadda niŋidib wusa a gumm ka nobugid wuu Winaꞌam bood siꞌem, wuu niŋgbiŋ duta ne giinla ke ka niŋgbiŋ a gumm ka mor paŋ siꞌem la.
COL.2.20	Yaname sadigim wen wuu ya laꞌam kpine ne Kiristo ka bas saalib yiiga paꞌala la, da niŋidi wuu ya beilim kudug la ka siak wada bama buudi bane ye, 
COL.2.21	“Da di neꞌenam, bee da lemi li, bee da siꞌisi li laa.” 
COL.2.22	Ban yela ka lin ka ba dit la mor kpienr poogin la. Li ane saalib maꞌaa wada tisib ne paꞌalug. 
COL.2.23	Ka wadkaŋa tuꞌasne wuu yaꞌam paꞌalug ka ket ka namisug puꞌusug ne meŋsier ne niŋgbiŋ namisug nobugid, amaa ka kaꞌ paŋ ye li kad ninsaal boodim yaꞌamleogo.
COL.3.1	Yaname laꞌam sadigim vuꞌug kumin ne Kiristo la, more boodim ne bun line be arazana ni, zinꞌikan ka o zinꞌi Winaꞌam datiuŋ la. 
COL.3.2	Keli ka ya potenꞌer gbanꞌe ne bun line be arazana ni, ka kaꞌane bun line be dunia nii; 
COL.3.3	ka ya kpiya ka mor nyovur paal, ka Kiristo guri li Winaꞌam saꞌan. 
COL.3.4	Ka Kiristo one a ti nyovur la yaꞌa nie ya na laꞌam nie ne o, n be o naꞌamin.
COL.3.5	Basimi ya niŋgbiŋ boodim line a poꞌasaꞌuŋ bee dianꞌad tuuma bee yaꞌamleog galisug bee potenꞌebeꞌed bee fufum, ka fufum a beꞌed wenne baꞌamaanib ne. 
COL.3.6	Tuum ban yela ka Winaꞌam supeen ken bane zanꞌasidi o noor la ni na. 
COL.3.7	Ya da niŋidi ala men yaname da laꞌam be ne ba la. 
COL.3.8	Amaa nannanna, basimi supeen, ne endug, ne potenꞌebeꞌed, ne yuꞌusaꞌuŋ, ne pianꞌayaalis wusa. 
COL.3.9	Da maꞌadi tisidi taaba yaname basi ya beilim kudug tuuma la, 
COL.3.10	ka tiak beilim paal line ka Winaꞌam kpelim maani li saŋa mekama, ka ti wenne o meŋ ka baŋi o yela n paasid suꞌuŋa. 
COL.3.11	Beilim paalin la, li baꞌa kaeꞌ ye oŋa a Greek nid, bee Jew nid, bee o kpenꞌ baŋo, bee o pu kpenꞌe, bee o a saan bee o yi moogin na, bee o a yamug bee o kaꞌ yamuga, amaa Kiristo maꞌaa gaad siꞌel wusa ka be o nidib wusa ni.
COL.3.12	Yaname a bane ka Winaꞌam gaŋ ye ya a o nidib bane ka o noŋ la, more nimbaanlzoor, ka suŋidi nidib, ka siedi ya meŋ, ka a potenꞌesuŋ dim, ka a suguru dim 
COL.3.13	ne bane gbanꞌadi ba meŋ ka ket taaba tuumbeꞌedi basid wuu Zugsob la yiisi ya tuumbeꞌedi bas siꞌem la, niŋimini ala men. 
COL.3.14	Ka line gaad li wusa ane ye ya mor noŋilim ka line laꞌased siꞌel wusa ka li a gumm.
COL.3.15	Keli ka Kiristo sumalisim la soꞌe ya sunya ka li ane sumaliskan yela ka Winaꞌam buoli ya, ka ya a niŋgbiŋ yinni. More Winaꞌam bareka puꞌusug. 
COL.3.16	More Kiristo labaar la suꞌuŋa ya sunya ni, n zamisid ka saꞌan taaba ne yaꞌamsuŋ ka yuum yuuma line be Winaꞌam gbauŋin la, ne Winaꞌam nidib yuuma ne yuumbane ka Winaꞌam Siig Suŋ tisi ya la, ka kpelim mor Winaꞌam bareka puꞌusug ya sunya ni. 
COL.3.17	Line mekama ka ya niŋid, li ane tuuma bee pianꞌade, niŋimi li Zugsob Yesu Kiristo yuꞌurin, ka puꞌusidi ti Baꞌ Winaꞌam bareka ne Yesu Kiristo yuꞌur zug.
COL.3.18	Poꞌaba, siakimi ya sidib noya, ka li nar ka poꞌab bane dol Zugsob la niŋidi ala.
COL.3.19	Sidiba, noŋimi ya poꞌab, ka da toe ne baa.
COL.3.20	Biise, siakimi ya saamnam ne ya manam noya wusa ka line malis Zugsob la.
COL.3.21	Duꞌadiba, da sanꞌasi ya biis galise, ka ba na sinꞌig.
COL.3.22	Yamise, siakimi ya zugsobnam noya wusa ka da tummi ban na be ne ya maꞌanee, ka ba tenꞌes ye ya ane tuumsuma dima, amaa ka lee tumi li ne poog yinni, Zugsob la naꞌasi yela. 
COL.3.23	Lin wusa ka ya tumid, tumi li ne poog yinni wen wuu ya tumne tisid Zugsob la, ka kaꞌ nidiba. 
COL.3.24	Ya miꞌ ye Zugsob la na tisi ya nyood lin ka o da yeli ziꞌel ye o na tis o nidib la. Li ane Kiristo one a Zugsob la ka ya tumi tisid. 
COL.3.25	Tuumbeꞌed sob la na diꞌe o tuumbeꞌed la yood bozugo Winaꞌam pu mor baragaŋa.
COL.4.1	Zugsobnama, niŋimini line a suꞌum ne line zemis tisi ya yamis. Ka baŋi ya potenda ni ye ya me mor Zugsob one be arazana ni.
COL.4.2	Kpen sosimi Winaꞌam saŋa wusa ka tis o bareka puꞌusum. 
COL.4.3	Laꞌam sosi tisi ti ye Winaꞌam na tisi ti suer ka ti mool o labaar la, n nie o yelsuaꞌadir line a Kiristo la. Ka li yela, ka m be sarega ni. 
COL.4.4	Sosimi Winaꞌam ye m nyaŋe pianꞌ n nie li nyain, bozugo li nar ka m niŋi ala.
COL.4.5	More yaꞌamsuŋ ne yaname niŋid siꞌem n tisid bane kaꞌ yadda niŋidib la, ka noki ya saŋa la n tum line a suꞌum. 
COL.4.6	Keli ka ya noor pianꞌad more mimilim wuu yaarum ne, ka baŋ yaname na lebis line nar n tis soꞌ mekama.
COL.4.7	Tikikus one a ti baꞌabinoŋir ne ti sida suŋid ne ti tumtum tiraan n a yinni ne Zugsob la na yeli ya m yela. 
COL.4.8	Lin yela ka m tum o ya saꞌan na, ye ya baŋ tiname a siꞌem, ka kpeꞌeŋi ya sunya. 
COL.4.9	Ka m tum on ne Onesimus one a ti sida baꞌabinoŋir ka aa ya teŋ nid la. Ba na yeli ya line wusa naamid kpela.
COL.4.10	Aristarkus one ka ti laꞌam be sarega ni la puꞌusidi ya. Maak one a Barnabas ansiŋ me puꞌusidi ya. M pun deŋim paꞌali ya o yela, ka o yaꞌa kena yanam on diꞌem o ne nuꞌusa ayiꞌiŋa. 
COL.4.11	Ka Josua one ka ba buon Justus la me puꞌusidi ya. Nidib atanꞌ bama maꞌaa a Jew dim bane laꞌam tum ne man ye Winaꞌam soꞌolim la yela keŋ tuon. Ban niŋid siꞌem la bugun ne m suunr. 
COL.4.12	Epafras one a ya teŋ nid ka a Yesu Kiristo tumtum la me puꞌusidi ya. O tenꞌesidi ya yela saŋa mekama ka sosid Winaꞌam ne nimmua, ye ya ziꞌe kiŋ kiŋ ka biꞌ ka baŋ suꞌuŋa line ka Winaꞌam bood. 
COL.4.13	M nye on tum namisi ya yela ne Laodisea dim ne Hierapolis dim la. 
COL.4.14	Luuk one a duꞌata kan ka ti noŋ la ne Demas puꞌusidi ya. 
COL.4.15	Puꞌusimi ti baꞌabiis bane be Laodisea teŋin, ne Nimfa ne Winaꞌam nidib bane laꞌased o yin la.
COL.4.16	Ya yaꞌa karem gbauŋ kaŋa nidibin n naae, keli ka ba karemi li n tis Winaꞌam nidib bane be Laodisea men. Ka yanam me karem Laodisea dim gbauŋ la.
COL.4.17	Yelimi Arikipus ye on a yinni ne Zugsob la, o gosimi o tuuma line ka o diꞌe Zugsobin la ka tum li naae.
COL.4.18	Mam Pauli sob puꞌuskaŋa ne m meŋ nuꞌug. Tenꞌesimi man be sarega ni la yela.
COL.4.18	Winaꞌam yelsum na be ne ya.
1TH.1.1	Man Paul ne Silvanus ne Timoti sobid gbauŋ kaŋa n tisid yanam Winaꞌam nidib bane be Tesalonika teŋin la n be ti Baꞌ Winaꞌam ne Zugsob Yesu Kiristo ni la.
1TH.1.1	Winaꞌam na tisi ya yelsum ne sumalisim.
1TH.1.2	Ti puꞌusid Winaꞌam bareka saŋa wusa ya zug, ka tiendi ya yela ti winsosugin. 
1TH.1.3	Ka tenr ti Baꞌ Winaꞌam la tuon ya yadda niŋir ne ya noŋilim line ke ka ya tum bedego ka ya tiꞌir kpemisi ya, ka ya modig be ti Zugsob Yesu Kiristo ni.
1TH.1.4+1TH.1.5	Ti baꞌabiis ban ka Winaꞌam noŋ la. Ti daa mor labasuŋ la na tisi ya ka li kaꞌane pianꞌad maꞌanee, ka lee ane ne Winaꞌam Siig Suŋ paŋ. Ka ti daa miꞌ suꞌuŋa ye Winaꞌam tumi ya saꞌan, ka daa baŋ ye o gaŋi ya. Tinam daa be ne ya la, ya daa miꞌ ti belim daa a siꞌem. Ka li ane yanam suꞌum zug. 
1TH.1.6	Ya daa ane ti tuꞌasim taas ne Zugsob la, ka diꞌe labaar n nye namisug bedego li zug la, ka laꞌam diꞌe sumalisim line yi Winaꞌam Siig Suŋ la ni na. 
1TH.1.7	Linzug ka yadda niŋidib bane be Masedonia ne Akaia soꞌolimin me a ya tuꞌasim taas. 
1TH.1.8	Ka nidib bedego bane be ani wum Zugsob labaar la ya saꞌan. Ka li kaꞌ bama maꞌanee, ka ane bane be zinꞌis wusa me wum ya yadda niŋir Winaꞌam ni la yela. Ka siꞌel kaeꞌ ka ti na len yeli baa. 
1TH.1.9	Nimbama la wusa pianꞌad yanam daa diꞌe ti suꞌuŋa siꞌem, ka bas baga ka dol Winaꞌam one voe ka sid a Winaꞌam la, 
1TH.1.10	ka gur o Biig Yesu ken la one na ti yi arazana ni la na. Winaꞌam da vuꞌug o kumin la, ka o faann ti Winaꞌam supeen kane na ti kena la ni.
1TH.2.1	Ti baꞌabiise, yanam miꞌ ye tinam daa kena kaae ya la, li daa kaꞌa zaalim, 
1TH.2.2	ka miꞌ ye hale ba daa namisi ti, ka diisi ti nyan Filipi teŋin, ka ti nyaan kenn yanam saꞌan Tesalonika teŋin na. Winaꞌam daa tisi ti sukpiꞌeuŋ ka ti tuꞌas labasuŋ dine yi o ni na la tisi ya, hale laꞌam ne sieba daa daami ti bedego la.
1TH.2.3	Ti saꞌalug pu yi damaꞌarin bee potenꞌebeꞌedinee. Ka li kaꞌ ye ti bood ye ti zam nidiba. 
1TH.2.4	Winaꞌam gosi ti ka ti nar ye o guꞌul ti o labasuŋ la zug, ka ti yiti pianꞌad wuu on bood siꞌem la. Ti pu mood ye ti maꞌae ninsaalib sunfo, ka lee mood ye ti maꞌae Winaꞌam one kpansi ti potenꞌer la sunf. 
1TH.2.5	Ya miꞌ suꞌuŋa ye ti daa pu tuꞌas damaꞌar zunꞌor pianꞌad bee pianꞌad line suaꞌ maal ne fufum ne. Winaꞌam miꞌ ye li a sida.
