GEN.1.1	A tîra Pathianin lei leh vân a siam khân 
ACT.20.20	In tâna sâwt tûr chu eng mah zêp lovin, vântlâng zîngah leh inahte ka hrilh ṭhîn che u a, ka zirtîr bawk ṭhin che u kha. 
ACT.20.21	Juda-te leh Grik-te hnênah pawh, sima Pathian lam hawi tûr leh kan Lalpa Isua ring tûrin urhsûn takin thu ka hril ṭhîn. 
ACT.20.22	Tûnah hian hre rawh u; Thlarauvin mi tirh tlat avângin Jerusalem-ah ka kal dâwn a, chutah chuan ka chunga thil lo thleng tûr chin ka hre lo ve. 
ACT.20.23	Amaherawhchu, Thlarau Thianghlimin lung in tân leh hrehawm tuar ka hmabâk tih chauh khaw tinah mi hrilh ṭhîn. 
ACT.20.24	Lalpa Isua hnên ata ka hmuh rawngbâwl hna thawh tûr ka hmabâk, Pathian khawngaihna Chanchin Ṭha puan darh tûr hi ka hlen theih phawt chuan, ka nun pawh hi thlâkhlelh tûrah ka ngai lo. 
ACT.20.25	Tûnah hian hre rawh u, nangni zawng zawng, Pathian ram thu hrila ka vah ka vah ṭhinnate hian ka hmêl in hmu leh tawh lo vang tih ka hria e. 
ACT.20.26	Chuvângin, mi zawng zawng thisenah ka fihlîm tih vawiin hian ka hriattîr a che u. 
ACT.20.27	Pathian remruat dân zawng zawng eng mah zêp lovin ka hrilh vek tawh che u kha. 
ACT.20.28	Pathian kohhran, ama tâna thisena a lei chu châwm tûrin nangmahni leh in berâmte tân fîmkhur rawh u; Thlarau Thianghlimin an chunga hotu-ah a dah che u hi. 
ACT.20.29	Ka kal hnuin chinghne kawlhte in zîngah an lo lût ang a, berâmte chu an zuah lo vang tih ka hria. 
ACT.20.30	Nangni zînga mi ngei pawh hi zirtîrhote mahni lama ṭantîr tumin thu hran sawi in la awm ang. 
ACT.20.31	Chuvângin, invêng ngun rawh u, kum thum meuh a chhûn a zâna mittui nên mi tin ka zilh ṭhin che u kha hre reng rawh u. 
ACT.20.32	Tûnah hian Pathian hnênah leh a khawngaihna thu-ah ka hlân a che u; chu chuan a tipuitling thei che u a, mi thianghlimte zîngah rochan a neihtîr thei bawk ang che u. 
ACT.20.33	Tu ma tangka emaw, rangkachak emaw, silhfên emaw ka awh ngai loh kha. 
ACT.20.34	Hêng kutte hian keimah leh ka ṭhiante mamawh a thawh chhuah ṭhin kha nangmahni ngeiin in hria e. 
ACT.20.35	Chutianga thawkrimin mi chak lote in ṭanpui tûr a ni tih kawng engkimah ka tihhmuh ṭhin che u kha; kan Lalpa ngeiin, ‘Lâk aiin pêk a hlâwk zâwk,’ a tih kha hre reng rawh u,” a ti a.
ACT.20.36	Chûng thu a sawi zawh chuan an za-in a ṭhingṭhitpui a, an ṭawngṭai a. 
ACT.20.37	An vaiin an ṭap ta a, Paula nghâwngah an kuah a, an fâwp ngawih ngawih a. 
ACT.20.38	An lung tichhetu ber chu a hmêl an hmuh leh tawh loh tûr thu a sawi chu a ni. Tichuan, lawng thlengin amah chu an thlah ta a.
ACT.21.1	Kan inthlah fel hnu chuan lawngin kan chhuak a, ngîl takin Kaw thliarkâr kan thleng a, a tûkah Rodo thliarkâr kan thleng a, chuta ṭang chuan Patara khua kan thleng a. 
ACT.21.2	Foiniki rama kal tûr lawng pakhat kan hmu a, kan chuang a, kan kal leh ta a. 
ACT.21.3	Kupra thliarkâr kan hmu a, vei lamah kan pêl a. Suria ram panin Tura khua kan thleng a, chutah chuan lawng bungrua thiar chhuah tûr a ni. 
ACT.21.4	Zirtîrhote kan zawng chhuak a, an hnênah ni sarih kan châm a, anni chuan Thlarauvin a hrilh anga Paula chu Jerusalem-a kal lo tûrin an ti a. 
ACT.21.5	Nimahsela, chûng zawhah chuan kan chhuak a, kan kal chu zirtîrte chuan an vaiin, an nupui fanaute nên kawtchhuah thlengin min thlah a, tuipui kamah chuan kan ṭhingṭhi a, kan ṭawngṭai a. 
ACT.21.6	Chibai kan inbûk a, lawngah kan chuang a, anni chu in lamah an haw leh ta a.
ACT.21.7	Tura aṭang chuan lawngin Tolemai khua kan thleng a, unaute chibai kan bûk a, an hnênah ni khat kan châm a. 
ACT.21.8	A tûkah kan chhuak leh a, Kaisari khua kan thleng a, Chanchin Ṭha hriltu Filipa inah kan lût a; ani chu upa pasarihte zînga mi kha a ni. A inah kan thleng ta a. 
ACT.21.9	Fanu, nula thianghlim pali a nei a, Pathian thu an hril ṭhîn a. 
ACT.21.10	Ni rei tak kan châm a, kan châm chhûng chuan Judai ram aṭangin zâwlnei pakhat Agaba a lo chhuk a. 
ACT.21.11	Kan hnênah a lo kal a, Paula kâwnghrên chu a la a, a ke leh a kut a inphuar a, “Jerusalem-a Juda-ten hetiang hian he kâwnghrên neitu hi an phuar ang a, Jentail-te kutah an pe ang, Thlarau Thianghlimin a ti a ni,” a ti a.
ACT.21.12	Chûng thu chu kan hriatin keini leh chu khuaa mite chuan Paula chu Jerusalem-a kal lo tûrin kan ngên chiam a. 
ACT.21.13	Paula chuan, “Engtizia nge in ṭah in ṭaha, mi tihlungchhiata mi tihzâm in tum? Lalpa Isua hming avâng chuan Jerusalem-a phuar chang ka huam hlei nêm, thih pawh ka huam asin,” tiin min chhâng a. 
ACT.21.14	Thlêm thlûk rual a nih loh ahnu chuan, ‘Lalpa thu thu ni rawh se,’ kan ti a, kan bâng ta a.
ACT.21.15	Chûng hnuah chuan kan insiam a, Jerusalem-ah kan chho ta a. 
ACT.21.16	Kaisari khuaa zirtîr ṭhenkhatten min zui a, kan thlenna tûr Nasona inah min hruai a; ani chu Kupra thliarkâra zirtîr hmasate zînga mi a ni.
ACT.21.17	Jerusalem kan thlen chuan unauten hlim takin min lo lâwm a. 
ACT.21.18	A tûkah chuan Paula hovin Jakoba hnênah kan lêng a. Kohhran upa zawng zawng pawh an lo awm a. 
ACT.21.19	Paulan anni chu chibai a bûk zawhin a rawngbâwlna hmanga Pathianin Jentail-te zînga thil a tih apiang chu kimchang takin a hrilh a. 
ACT.21.20	Unaute chuan chûng thu chu an hriatin Pathian an fak a. Paula hnênah chuan, “Unaupa, Juda-te zîngah ringtu an tam tâkzia i hmu a, kan Dân ngaina tak vek an ni si a. 
ACT.21.21	Nangin Jentail-te zînga Juda awm zawng zawng chu Mosia Dân bânsana, an fate serh tan lo tûr leh Juda-te dân zâwm lo tûrin i zirtîr ṭhîn tih mi sawi an hria a ni. 
ACT.21.22	Engtin nge ni ta ang le? I lo thleng tih an hre ngei dâwn si a. 
ACT.21.23	Tichuan, i hnênah kan sawi ang hian ti ta che: Thutiam nei lai kan zîngah mipa pali an awm a. 
ACT.21.24	Chûng mite chu hruai la, an zîngah inthian ve la, lu an meh man tumsak rawh; tichuan, mi zawng zawngin i chanchin an hriat hi dâwt a ni a, nangmah ngei pawh Dân zâwmin Dân ang takin i la awm zêl zâwk a ni tih an hre dâwn nia. 
ACT.21.25	Jentail-te zînga ringtute chungchâng thu zawng, milem biakna thil ei lo tûr te, sa thisen ei lo tûr te, sa reh hlum sa ei lo tûr te leh, inngaih bânsan tûra kan thu rêlte kan thawn kha,” an ti a. 
ACT.21.26	Tichuan, a tûkah Paulan chu mite chu a hruai a, an rual chuan a inthian ve ta a. Tin, Tempulah a lût a, an inthen zawh hun tûr ni leh an hming kima inthawina a hlansak hun tûr ni puithiam a hriattîr a. 
ACT.21.27	Ni sarih a tlin dâwn ruaiin Asia rama Juda-ten Paula chu Tempulah an hmu a. Mipui zawng zawng an fuihpawrh a, Paula chu an man ta a. 
ACT.21.28	“Israel mite u, min pui rawh u. He mi hi kan chi te, kan Dân te leh he hmun kalh zâwnga ram tina mi zawng zawng zirtîr ṭhîna kha a nih hi, tûnah pawh Tempulah hian Grik mite a luhpui a, he Hmun Thianghlim hi a tibawlhhlawh a ni,” an ti a. 
ACT.21.29	Efesi khaw mi Trofima chu khawpuiah amah nên an hmuh hmasak tawh avângin, Paulan ani chu Tempulah a hruai lût emaw an ti a ni. 
ACT.21.30	A khuain an buai zo ta a, mipui an lo tlân khâwm tup tup a; Paula chu an man a, Tempul ata an hnûk chhuak a, kawngte an khâr ta nghâl a. 
ACT.21.31	Ani chu thah an tum lai chuan Jerusalem khaw pum a buai tih sipai hotu lalberin a lo hria a. 
ACT.21.32	Ani chu sipaite leh sipai za hotute hruaiin an zîngah a tlân thla a. Mipui chuan sipai hotu lalber leh sipaite chu an hmuh veleh Paula vuak an bâng ta a. 
ACT.21.33	Sipai hotu lalber chuan a rawn hnaih a, Paula chu a man a, khaidiat pahnihin a hlintîr a, tu nge a niha, eng nge a tih a zâwt a. 
ACT.21.34	Mipui zînga a ṭhen thu khatin an au va, a ṭhen thu dangin an au bawk si a, buai avâng chuan a eng mah chu a hre chiang thei ta lo va; kulhbîng chhûngah a hruaitîr ta a. 
ACT.21.35	Kailâwn an thlen chuan mipuiin an bawh nasat êm avângin Paula chu sipaiten an chawi kâng a. 
ACT.21.36	Mipui tam takin, “Tiboral rawh u,” tia auvin an zui hum hum si a. 
ACT.21.37	Kulhbînga an hruai luh dâwn lai chuan Paulan sipai hotu lalber hnênah, “I hnênah thu kam khat ka sawi thei ang em?” a ti a. Ani chuan, “Grik ṭawng i thiam a ni maw? 
ACT.21.38	Chuti chu, Aigupta mi pakhat hmân deuhva helna chawk chhuaka mi thah chîng sângli rual thlalêra hruai chhuaktu kha i ni lo maw?” a ti a. 
ACT.21.39	Paula chuan, “Kei zawng, Juda mi, Kilikia rama Tarsa khaw mi ka ni, khaw narâna mi ka ni lo; khawngaih takin mipui hnênah hian thu mi sawitîr rawh,” a ti a. 
ACT.21.40	A remtih veleh Paula chu kailâwnah chuan a ding a, mipui chu ngawi tûrin a kutin a zâp a, an ngawi ta ṭhuap a, Hebrai ṭawngin thu a sawi ta a.
ACT.22.1	“Unaute leh pute u, tûna in hnêna ka thiam thu sawi hi ngaithla teh u,” a han ti a. 
ACT.22.2	Hebrai ṭawngin thu a sawi tih an hriat chuan an ngawi lehzual a. Ani chuan, 
ACT.22.3	“Juda mi, Kilikia rama Tarsa khuaa piang ka ni; nimahsela, he khawpuia sei lian hi ka ni. Gamaliela hnênah min thlahtute Dân khermei taka zawm ka zir a, vawiina nangniho ang bawk hian Pathian tân ṭhahnem ka ngai ṭhîn a. 
ACT.22.4	He kawnga mite hi tihlum hial khawpin ka tiduhdah ṭhîn a, a hmei a pain ka man a, tân inah ka khung ṭhîn. 
ACT.22.5	Puithiam lalber leh upate rorêl ṭhu khâwm pawhin mi hriatpui alâwm. An hnên aṭangin Damaska khuaa unaute pêk tûr lehkha ka la a, chuta awmte chu hrem atân phuar chunga Jerusalem-a rawn hruai tûrin ka kal a.
ACT.22.6	“Tichuan, ka kal a, Damaska ka thlen dâwn ruai chuan, chhûn lai tak a ni a, vân aṭangin êng nasa tak mai ka vêlah a lo êng ta phut a. 
ACT.22.7	Leiah ka tlu a, aw ka hria a, aw chuan, ‘Saula, Saula, engah nge mi tihduhdah?’ mi ti a. 
ACT.22.8	Keiin, ‘Lalpa, tu nge i nih?’ ka ti a. Ani chuan ‘Isua, i tihduhdah hi ka ni,’ a ti a. 
ACT.22.9	Ka ṭhiante chuan êng chu an hmu na a, mi betu aw erawh chu an hre lo. 
ACT.22.10	Tin, keiin, ‘Lalpa, eng nge ka tih ang?’ ka ti a. Lalpa chuan, ‘Tho la, Damaska-ah lût rawh, tah chuan thil engkim i tih tûra ruatte chu an lo hrilh ang che,’ a ti a. 
ACT.22.11	Chu êng ropui avâng chuan khua rêng ka hmu thei ta lo va, ka ṭhianten mi kai a, Damaska-ah kan lût ta a. 
ACT.22.12	Mi pakhat, Anania, Dân ang thlapa Pathian be mi, chu khuaa Juda zawng zawngten an fak chu 
ACT.22.13	ka hnênah a lo kal a, ka kiangah a ding a, ka hnênah, ‘Unau Saul, i mit lo vâr rawh se,’ mi ti a. Chu veleh ka hmu leh thei ta a, amah ka han en a.
ACT.22.14	“Ani chuan, ‘Min thlahtute Pathianin a duhzâwng hriaa, Mi Feltak chu hmua, a aw ngei hre tûrin a thlang ta a che. 
ACT.22.15	I thil hmuh leh hriat thu-ah khân mi zawng zawng hnênah thuhretu i ni dâwn si a. 
ACT.22.16	Muangchâng lovin tho la, a hming lamin baptisma chang la, i sualte tlêng fai rawh,’ mi ti a.
ACT.22.17	“Tin, Jerusalem-a ka haw leha, Tempula ka ṭawngṭai laiin, zêlin ka awm a. 
ACT.22.18	Lalpa ka hmu a, ani chuan, ‘Hmanhmawh la, Jerusalem hi chhuahsan rawh; ka chanchin i hril an pawm dâwn lo ve,’ mi ti a. 
ACT.22.19	Keiin, ‘Lalpa, sunagog tina lûta, nangmah ringtute ka vuaka, tân ina ka khung ṭhin kha anmahni ngeiin an hre si a. 
ACT.22.20	I thuhretu Stefana thisen an chhuah lai khân, kei pawh an zîngah ka ding a, ka remtihpui a, a thattute puan ka lo vênsak bawk a,’ ka ti a. 
ACT.22.21	Ani chuan ‘Kal rawh, hla takah Jentail-te hnênah ka tîr dâwn che a ni,’ mi ti ta a,” a ti a.
ACT.22.22	Chumi a sawi thleng chuan an ngaithla a, ring takin, “Mi hetiang hrep hi khawvêl ata tiboral rawh u, nung tlâk a ni lo ve,” an ti a. 
ACT.22.23	An au va, an puante an hlîp a, vaivut an vawrh a. 
ACT.22.24	Sipai hotu lalber chuan Paula chu kulhbîngah a hruai luhtîr a, a chunga chuti taka an au chhan chu a hmuh chhuah theih nân hruihruala vuaka, dâwp tûrin thu a pe a. 
ACT.22.25	Vuak tûra savun hruia an phuar zawhin, Paulan a kianga ding sipai za hotu hnênah, “Rom mi, thiam loh chantîr pawh la ni si lo hi vuak a thiang em ni?” a ti a. 
ACT.22.26	Sipai za hotu chuan chu thu chu a hriat veleh, sipai hotu lalber hnênah a kal a, “Engtin nge i tih dâwn? He mi hi Rom mi a lo ni reng mai,” a ti a. 
ACT.22.27	Sipai hotu lalber chu a lo kal a, a hnênah, “Rom mi i ni maw? Mi hrilh rawh,” a ti a. Ani chuan, “Ni e,” a ti a. 
ACT.22.28	Sipai hotu lalber chuan, “Kei chuan Rom mi nihna nei tûrin sum tam tak ka sêng asin,” a ti a. Paula erawh chuan, “Kei zawng Rom mi rênga piang ka ni,” a ti a. 
ACT.22.29	Tichuan, sawisa chunga dâwp tumte chuan Paula chu an ṭînsan ta nghâl a, sipai hotu lalber pawh chuan Rom mi a lo phuar mai tih a han hriatin a hlauthâwng hle a.
ACT.22.30	A tûkah chuan Juda-ten Paula chungah thu eng nge an neih hriat chian tumin, sipai hotu lalber chuan puithiam lalte leh Sanhedrin mite inkhâwm tûrin thu a pe a. Paula chu a phelh a, a hruai chhuk a, an hmaah a dintîr a.
ACT.23.1	Paula chuan rorêltute chu a han en chiang a, “Unaute u, vawiin thleng hian Pathian hmaa ka awm dânah, ka chhia leh ṭha hriatnaah mahni inthiam lohna eng mah ka nei lo,” a ti a. 
ACT.23.2	Puithiam lalber Anania chuan Paula kianga dingte hnênah, “A ka kha bensak rawh u,” a ti a. 
ACT.23.3	Paula chuan, “Nang, bang hnawih vârpa. Pathianin a bêng zâwk ang che. Dân anga mi ngaihtuah tûrin i ṭhu a, dân lo anga mi ben tûr i ti maw?” a ti a. 
ACT.23.4	A kianga dingte chuan, “Puithiam lalber i hau vei maw?” an ti a. 
ACT.23.5	Paula chuan, “Puithiam lalber a ni tih ka hre lo va ni, ‘In hnam rorêltu chungah thu ṭha lo sawi suh,’ tih ziak a ni si a,” a ti a. 
ACT.23.6	Paulan a ṭhen Sadukai te, a ṭhen Farisai te an ni tih a hria a, Sanhedrin-ah chuan a au va, “Unaute u, kei pawh Farisai ka ni a, Farisai fapa pawh ka ni. Mitthi thawhleh beiseina thu-ah rorêlna hmaah ka ding a nih hi,” a ti a. 
ACT.23.7	Chu chu a sawi zawh chuan Farisai-te leh Sadukai-te chu an inhnial a, Sanhedrin mite chu an inṭhen ta a. 
ACT.23.8	Sadukai-te chuan, “Thawhlehna rêng a awm lo, vântirhkoh te, thlarau te pawh a awm hek lo,” an ti a. Farisai-te erawh chuan chûng chu an ring si a. 
ACT.23.9	Tichuan, an râwl a ring ta hle a, Farisai lama mi Dân zirtîrtu ṭhenkhat an ding a, an ṭang ta tlat a, “He mi chungah hian thil dik lo eng mah kan hmu lo ve, Thlarauvin emaw, vântirhkohvin emaw an bia a ni mahna,” an ti a. 
ACT.23.10	An inhnial nasat deuh deuh avângin, sipai hotu lalber chuan Paula chu an pawh sawm a hlau va, zuk kala, an zîng ata Paula la chhuaka, kulhbînga hruai tûrin sipaite chu thu a pe a.
ACT.23.11	Chumi zân chuan Lalpa chu Paula kiangah a lo ding a, “Huai takin awm rawh; Jerusalem-a ka thu i hril ang bawk hian, Rom khuaah pawh i hril tûr a ni,” a ti a. 
ACT.23.12	A tûk zîngah chuan Juda-te chu Paula phiarin an inkhâwm a, an thah hma chu eng mah eia in lo tûrin chhia an chham a. 
ACT.23.13	Chutianga phiartute chu sawmli aia tam mah an ni. 
ACT.23.14	Puithiam lalte leh upate hnênah an kal a, “Paula kan thah hma chuan eng mah ei lo tûrin chhia kan chham ta vek a ni. 
ACT.23.15	Chuvângin, tûnah nangni leh rorêltuten a thu chiang lehzuala ngaihtuah tum angin, Paula chu in hnêna hruai thla tûrin sipai hotu lalber hnênah han sawi rawh u; a lo thlen thlâk hmaa that tûrin kan inpeih reng a ni,” an ti a. 
ACT.23.16	Nimahsela, Paula farnua fapain thah tuma an lo chân rûk tûr thu chu a lo hria a, a han kal a, kulhbîng chhûngah a lût a, Paula a hrilh a. 
ACT.23.17	Paula chuan sipai zahotu zînga pakhat a ko va, “He tlangvâl hian sipai hotu lalber hnênah thu eng emaw sawi tûr a nei e,” a ti a. 
ACT.23.18	Tichuan, sipai hotu lalber hnênah chuan a va hruai a, “Mi tâng, Paula khân mi ko va, he tlangvâl hi i hnêna rawn hruai tûrin mi ngên a, i hnênah thu eng emaw sawi tûr a nei a ni âwm e,” a ti a. 
ACT.23.19	Sipai hotu lalber chuan a kutah a vuan a, a kai hrang a, a rûkin, “Eng nge mi hrilh tûr i neih chu?” a ti a. 
ACT.23.20	Ani chuan, “Paula thu hi chiang lehzuala ngaihtuah tûr angin naktûkah Sanhedrin hmaa hruai chhuk tûrin Juda-ten dîl che an remti tlâng a. 
ACT.23.21	Nimahsela, an thu lo awih suh ang che. An zînga mi sawmli aia tamin an châng reng a, chu mite chuan an thah hma chu eng mah eia in lo tûrin chhia an chham a. Tûnah hian i thu nghâkin inpeih sa-in an awm reng a ni,” a ti a. 
ACT.23.22	Sipai hotu lalber chuan tlangvâl chu a kaltîr a, “Hêng thu hi mi hrilh tih tu hnênah mah sawi suh ang che,” a ti tlat a.
ACT.23.23	Sipai za hotu pahnih a ko va, “Kaisari-ah zânin dâr kuaa kal tûrin sipai zahnih leh sakawr chungchuang mi sawmsarih leh fei keng mi zahnih buatsaih rawh u. 
ACT.23.24	Tin, Paula chuanna tûr sakawrte buatsaih bawk ula, him takin Ramawptu Felika hnên in thlen tûr a ni,” a ti a.
ACT.23.25	Hetiang hian lehkha a ziak a.
ACT.23.26	“Klaudia Lusian ramawptu zahawm ber Felika chibai a bûk e. 
ACT.23.27	He mi hi Juda-ten an man a, an thah dâwn laiin sipaite hruaiin ka zuk kal a, Rom mi a ni tih ka hriatin ka chhan chhuak a. 
ACT.23.28	Tin, tihhlum an duh chhan hriat ka duh a, an Sanhedrin hmaah ka hruai a. 
ACT.23.29	An Dân engahte emaw hêk a ni tih ka hmu a; nimahsela, thihna khawp meuh emaw, tânna khawp meuh emaw eng mah a tih ka hre thei si lo. 
ACT.23.30	Juda-ten thah tumin an phiar ru tih miin mi hrilh veleh i hnênah ka rawn tîr ta nghâl a ni: a hêktute pawh a chunga thu pawi an neih apiang i hnêna sawi tûrin ka hriattîr tawh e,” tiin.
ACT.23.31	Chutichuan, sipaite chuan thupêk angin a zân a zânin Paula chu an hruai a, Antipatri khua an thleng a. 
ACT.23.32	A tûkah chuan sakawr chunga chuang mite chu Paula hruai zêl tûrin an kal a, sipai dangte chuan an kîrsan a, kulhbîng lamah an haw leh ta a. 
ACT.23.33	Anni chuan Kaisari chu an thleng a, Ramawptu hnênah lehkha chu an pe a, Paula pawh a hmaah an dintîr a. 
ACT.23.34	Ramawptu chuan a chhiar zawhin, khawi lama mi nge a nih a zâwt a, Kilikia rama mi a ni tih a hre ta a. 
ACT.23.35	“Nangmah hêktute an lo thlen hunah i thu ka ngaihtuah ang,” a ti a; Heroda ina daha vên tûr thu a pe a.
ACT.24.1	Ni nga hnuah chuan puithiam lalber Anania leh upa ṭhenkhatte chu ukil pakhat Tertula hruaiin an lo thleng a, Paula chu Ramawptu hmaah an khing ta a.
ACT.24.2	Paula an koh chhuah hnu chuan Tertula chuan an khinna thu a han sawi ta a: “Felik zahawm ber, nangma zârah thlamuang takin rei tak kan lo awm ta a, i finna avângin he rama mite tân hian thil ṭha lo tak tak te chu, 
ACT.24.3	kawng tinrêngin hmun tinah siam ṭhat a lo ni ta hi ṭha kan ti a, kan lâwm takmeuh a ni. 
ACT.24.4	I tân ninawm ka nih loh nân tawi têin ka han sawi ang e, khawngaih taka min ngaihthlâksak tûrin ka ngên a che. 
ACT.24.5	He pa hi mi hnawksak tak, ram tina Juda zawng zawng zînga buaina tichhuaktu, Nazaret pâwl hotu ber a ni tih kan hria a. 
ACT.24.6	Tempul pawh tihbawlhhlawh a tum a, kan man ta a ni. 
ACT.24.8	Nangmah ngeiin chhâl la, kan hêkna zawng zawng hi a hnên aṭangin i hre chiang thei ang,” a ti a. 
ACT.24.9	Juda-te pawhin a hêkna chu an lo thlâwp a, ‘chutiang chu a ni’ an lo ti a.
ACT.24.10	Ramawptu chuan thu sawi tûra a han mitmei veleh Paula chuan, “He chite rorêltuah hian kum tam tak i ṭan tawh avângin ngaihṭha takin ka thiam thu ka sawi dâwn a ni. 
ACT.24.11	Jerusalem-a Pathian be tûra ka han kal chu ni sâwm leh ni hnih lo liam a la ni lo tih i hre thei ang. 
ACT.24.12	Tempulah emaw, sunagog-ah emaw, khawpui khawi laiah mah mi ka hnial leh buaina siam tûra mi ka fuihpawrh tu man an hre lo. 
ACT.24.13	Tûna an mi hêkna pawh hi a bulbâl i hnêna sawi tûr eng mah an hre hek lo vang. 
ACT.24.14	Thil pakhat ka hrilh ang che. ‘Pâwl hrang,’ an tih Kawng thu angin min thlahtute Pathian ka be ṭhîn a, Dân leh zâwlneite Lehkhabu ziak zawng zawng ka ring tho va. 
ACT.24.15	Pathian ka ring a, mi fel leh fel lote thawhlehna a awm ka ring bawk a; chu chu anmahni ngei pawhin an ring ve si a. 
ACT.24.16	Chuvângin, eng lai pawha Pathian leh mihring hmaa sawisêl kai lo, chhia leh ṭha hriatna thiang neih ka tum hrâm hrâm ṭhîn a ni.
ACT.24.17	“Kum tam tak ka thang bo hnuah, ka chipuite chhawmdâwlna pe tûr leh inthawina hlân tûrin Jerusalem-ah ka han kal a. 
ACT.24.18	Chutianga ka ti lai chu Tempulah mi hmu a; mahse, mipui punkhâwmna a awm lo va, buaina a awm hek lo. 
ACT.24.19	Asia rama mi Juda ṭhenkhat an awm ve a, chûngte chuan ka chunga thu pawi an neih chuan hetah lo kalin i hmaah mi hêk rawh se. 
ACT.24.20	A nih loh leh heta lo kalte hian Sanhedrin hmaa ka din lai khân eng nge ka tihsual an sawi tûr a ni; 
ACT.24.21	an hmaa ka din laia he thu kam khat, ‘Mitthi thawhlehna thu-ah vawiin hian in hmaah chhâlin ka awm a nih hi,’ ka tih kha a nih nghâl loh chuan,” a ti a. 
ACT.24.22	Felika chuan Kawng thu chu a lo hre hle tawh a, “Sipai hotu lalber Lusia a lo thlen thlâk hunah i thu ka la ngaihtuah ang e,” a ti a, an thu chu a dah ta rih a.
ACT.24.23	Paula chu zalên deuhva awmtîra, a ṭhianten a rawng an bâwlsak pawh khap lova vêng tûrin sipai za hotu chu thu a pe a.
ACT.24.24	Tin, ni eng emaw zât hnuah Felika chu a nupui Drusili, Juda mi hruaiin a lo kal a, Paula chu a kohtîr a, Krista Isua rinna thu a sawi chu a ngaithla a. 
ACT.24.25	Thiam chantîrna thu te, insûm theihna thu te, rorêlna lo awm tûr thu te Paulan a sawi lai chuan Felika chuan hlauhawm a ti hle a, “Kal leh ta rih la, hun remchâng ka neih hunah ka la rawn ko vang che,” a ti a. 
ACT.24.26	Paulan tangka a pêk a beisei tel bawk a; chuvângin, a ko fo va, a be ṭhîn a ni.
ACT.24.27	Kum hnih a vei hnu chuan Felika chu Porkia Festan a thlâk a. Felika chuan Juda-te tihlâwm a duh a, Paula chu lung inah a hnutchhiah ta a.
ACT.25.1	Festa chuan ram a awp aṭanga ni thum hnuah chuan Kaisari aṭangin Jerusalem-ah a han kal a. 
ACT.25.2	Puithiam lalte leh Juda-te chuan Paula nêna an thubuai chu an lo hrilh a. 
ACT.25.3	“Khawngaih takin Jerusalemah han hruaitîr rawh,” tiin an lo ngên a, kawng laka lo chân rûka thah an tum a ni. 
ACT.25.4	Festa chuan, “Paula chu Kaisari lung inah a awm reng a, kei pawh ka haw thla thuai dâwn a, 
ACT.25.5	sualna a neih chuan in hotuten mi zui thla sela, hêk rawh se,” a ti a.
ACT.25.6	An zîngah chuan ni riat emaw, ni sâwm emaw vêl a châm a. Kaisari-ah a haw thla leh ta a. A tûkah chuan rorêlna ṭhutthlêngah a ṭhu a, Paula chu a hruaitîr a. 
ACT.25.7	A lo thlen chuan Jerusalem aṭanga Juda lo chhukte chu a vêlah an ding a, thu lian fe fe tam takin an hêk a; mahse, an hêknate chu a dik a ni tih an finfiah thei si lo. 
ACT.25.8	Paula chuan a thiam thu a sawi ve a, “Juda-te Dân ka bawhchhe lo va, Tempul ka tibawlhhlawh lo va, Kaisara pawi eng mah ka sawi hek lo,” a ti a.
ACT.25.9	Festa chuan Juda-te lakah tlâktlum a duh a, Paula hnênah chuan, “Jerusalem-a chhohva ka hmaa in thu hi rem i duh em?” a ti a.
ACT.25.10	Paula erawh chuan, “Kaisara rorêlna ṭhutthlêng hmaah ka ding a, hetah ngei hian rêlsak tûr ka ni. Juda-te chungah thil eng mah ka tisual lo tih nangmah ngeiin chiang takin i hria a. 
ACT.25.11	Thil sual ka tiha, thihna khawp meuh thil ti ka nih chuan thih ka hnial lo ve. Nimahsela, hêngho mi hêkna hi engmahlo mai a nih si chuan, anni lâwm nân an hnênah tu man mi pe tûr a ni lo. Kan thu hi Kaisara hnêna thlen ka ngên e,” a ti a. 
ACT.25.12	Festa chuan a rorêlpuite a biakrâwn hnu chuan, “Kaisara hnêna thlen i duh chuan Kaisara hnênah kal ang che,” a ti a.
ACT.25.13	Ni eng emaw zât a ral hnu chuan Lal Agripa leh Berniki chu Kaisari-ah Festa lâwm tûrin an lo kal a. 
ACT.25.14	Ni tam tak an châm a, Festa chuan Paula chungchâng thu chu lal a hrilh a, “Felika khân mi tâng pakhat a hnutchhiah a, 
ACT.25.15	Jerusalem-a ka han kalin Juda Puithiam lalte leh an upaten a thu chu mi lo hrilh a, thiam loh chantîr tûrin mi lo ngên a. 
ACT.25.16	Kei chuan an hnênah, ‘Mi tu mah, amah hêktute nên inhmatawna an inchhâl hmaa thiam loh chantîr mai chu Rom sawrkâr dân a ni lo ve,’ ka ti a. 
ACT.25.17	Hetah an lo chhuk a, muang lovin a tûkah rorêlna ṭhutthlêngah ka ṭhu a, chu mi chu ka kohtîr a. 
ACT.25.18	A hêktute chu a kiangah an ding a, ka rin ang he huin eng mah thu pawi an sawi ta mang si lo va. 
ACT.25.19	Anmahni sakhaw thu leh mi pakhat thi tawh, Paulan a nung leha a sawi, Isua chungthu-ah an buai a lo ni lek a. 
