MAT.1.1	Jijajiji palka-jarrija Tapiti-kirlangu-ngurlu manu Yipuruyamu-kurlangu-ngurlu turnu-warnu-ngurlu. 
HEB.8.8+HEB.8.9	Kujarlanya, Kaatuju kuja wangkaja nyurru-wiyi Payipulurlaju:
HEB.8.8+HEB.8.9	“Ngaka kapurna-jana kuruwarri jinta-kari yinyi yapaku Yijirali-pinkiki manu Juurda-kurlangu-patuku yungulu purami. Kula Mujuju-kurlangu kuruwarri rampaku-piya karri, lawa. Nyanungurrakupalangu nyurnunyurnurna-jana kangurnu walya Yijipi-ngirli, manurnarla kuruwarri ngaju-nyangu yungu Mujujuku yungulu jungangku purami. Kala kulalu jungangku puraja kuruwarriji. Kujarlanyarna-jana yampija, warla-pajurnurna-jana Kanana-kujaku yukanja-kujaku. 
HEB.8.10	Ngajujurna Warlalja-Wiri. Jungangku karna-nyarra yimi-ngarrirni. Ngakarna-jana Yijirali-pinkiki yinyi kuruwarri jinta-kari puranjaku. Kapurna kuruwarri-kari yirrarni nyanungurra-nyangu nginyinginyirla. Ngajuju nyanungurra-nyangu Kaatu, manu nyanungurrajulu ngaju-nyangu yapa. 
HEB.8.11	Yuwayi, kapurna ngaju-nyangu kuruwarri yirrarni yali-paturla yapangka kaninjarni watingka, karntangka, yaparranjirla, kaminarla, manu purlkapurlkarla, tala-kurlurla, marlajarrarla. Kapurna kuruwarri jurrku-juku yirrarni panungka-juku. Ngula-jangka, kulalu-jana warlaljakulku warrirni yungulu-jana pinarri-mani ngaju-kurlu, lawa. Kapujulu nyurru-juku milya-pinyilki jintawarlayirli. 
HEB.8.12	Yuwayi, kajili yapa yinya majungka-jarrimi, kapurna-jana yawuru-jarrimi-jiki. Kularna warrarda manngu-nyanyi kujalpalu majungka-jarrija warrarda, lawa. Kapurna-jana yawuru-jarrimi-mipa. Kujarlanya kapujulu junga-nyayirnirliji milya-pinyi.”
HEB.8.13	Yuwayi, Kaatu wangkaja kapu-jana kuruwarri jalangu-warnu yinyi yapaku yungulu purami. Nyiya-jangka kujaju wangkaja? Yapangkulpalu puraja Mujuju-kurlangu kuruwarriji tarnngangku, manu kalu purami-jiki jalangurlu. Kala kulalpa nyarrparlu yawuru-mantarla Kaatuju. Kapu jalangu-karrikarri yawu-pardimi kuruwarriji.
HEB.9.1+HEB.9.2	Nyurru-wiyi, ngularla Kaaturlu nyanungu-nyangu kuruwarri yungu Mujujuku, nyanungurluju nyiyarningkijarra yimi-ngarrurnu yungulurla yapangku pulka-pinyi jungangku. Ngulalurla nganturnu Kaluku Tarruku yungulurla pulka-pinyi Kaatuku yinyarla. Kaluku wiringki yinyarlulpa-palangu ruumu jirrama mardarnu, jinta-kari kamparru manu jinta-kari purdangirli. Pangkarra wirilparla wapirrija tuwakuju, manu pangkarra-karilparla wapirrija tuwa kulkurru-warnuku. Kamparru-warnu ruumu, yapangkuju kalalu ngarrurnu ngulaju ‘Ruumu Maralypi’. Ngulangkajulpa karrija rdili-kirlangu kirrirdi jampu-purdanji, manu jungarni-purdanji karrijalpa tayipulu. Tayipulu yinyarla maralypikingarduyu-paturlu kalalurla mangarriji yirrarnu parra-kari parra-kari warntarri Kaatuku. 
HEB.9.3	Murrarni-nginti pangkarra-karikiji karrijalpa ruumu jinta-kari. Yapangku kalalu nyampuju yirdi-manu ‘Ruumu Tarruku-nyayirni’.
HEB.9.4	Ruumu kamparru-warnurlalpa karrija pakujurlangu wiri kujalu yapangku maparnu kawurlu-kurlurlu. Kankarlu yinya pakujurla kalalu maralypikingarduyu-paturlu purraja ngurrju-nyayirni parntinja-kurlangu watiya. Ruumu jinta-karirla, jinta-karilpa pakuju ngunaja kujalu yapangku maparnu kawurlu-kurlurlu-yijala. Yapangku kalalu yirdi-manu yinyaju ‘Pakuju-nyayirni-wangu’. Pakuju yinyarla kaninjarni ngunajalpa murlukunpa jinta kawurlu-yijala ‘maana’-kurlu,
HEB.9.5	Kankarlu Pakuju-nyayirni-wangurlalpa-pala ngunaja jirrama pinkirrpa-kurlu-piya kujalu yapangku ngurrju-manu. Yinya-jarrarlulpa-pala-nyanu jarnku-nyangu, manulpa-palarla pinkirrpaju wapirrija Pakuju-nyayirni-wanguku. Kala-palarla marlaja nyinaja yartarnarri wiri-kirli Kaatukuju. Yangka kuja kalalu yapa majungka-jarrija, kalalurla maralypikingarduyu-paturluju yalyungku yaku-maninjarla yarlurnu Pakuju-nyayirni-wangurlaju. Kujarlaju kala-jana Kaatuju yawuru-jarrija. Kajikarna-nyarra warrarda wangkami-jala Kaluku Tarruku-kurluju. Kala ngari karna yampimi-wiyi. 
HEB.9.6	Kujalu Yijirali-pinkirli Kaluku Tarruku ngurrju-manu nyurru-wiyi, maralypikingarduyu-paturlulu nyiyarningkijarra yirrarnu kaninjarni kuja-jana Mujuju wangkaja. Ngula-jangka, kalalu parra-kari parra-kari maralypikingarduyu-patuju yukaja Kaluku-kurraju yungulurla warrki-jarrimi Kaatuku. Kalalu rdili-kirlangu manu tayipulu mangarri-kirli warrawarra-kangu. 
HEB.9.7	Kala kula kalalu yukaja ruumu-kari-kirra yangka-kurra purdangirli-warnu-kurra, lawa. Ngari kala Maralypikingarduyu Wiri-mipa jinta yukaja jintaku yulyurrpu-kari yulyurrpu-karirla. Yulyurrpu-kari yulyurrpu-kari kala ruumu purdangirli-warnu-kurra yukaja jintaku, kula marlajarra rdaka-jarra-mipa, lawa. Kala yalyu kangu marda puluku-jangka, jiyipi-jangka marda, marda narnukutu-jangka. Nyiyaku? Marda yinya Maralypikingarduyu Wiri majungka-jarrijarlangu. Kala yalyuju kangu Kaatuku yinjaku yungurla Kaatu yawuru-jarrimi nyanunguku-wiyi. Manu ngalya-kari yalyuju kalarla Kaatuku yungu yungu-jana yapa-patu-karirlanguku yawuru-jarrimi. Mardalu milya-pinja-wangu majungka-jarrija. Ngula Kaaturlu yalyu nyangu, kala-jana yawuru-jarrija pinja-wangu. 
HEB.9.8	Kalalu maralypikingarduyu-patuju warrarda warrki-jarrija Ruumu Maralypirla yangka ruumu-pardu kamparru-warnurla yangka kujalpa karrija kaninjarni Kaluku Tarrukurla. Kula kalalu yukaja Ruumu-kari Tarruku-nyayirni-kirra yangka-kurra purdangirli-warnu-kurra, lawa. Kujarlunya kangalpa Pirlirrpa Kaatu-kurlangurluju pinarri-mani yungurlipa milya-pinyi Mujuju-kurlangu kuruwarri ngulaju rampaku-nyayirni. Ngurrpa-juku kalalu nyinaja, kulalurla nyarrpa kutu-jarriyarla Kaatukuju. 
HEB.9.9	Yimi nyampurlu, nyiya kangalpa pinarri-mani jalangurluju? Manngu-nyanyi karlipa-jana maralypikingarduyu-patu yangka kuja kalalurla warntarri manu kuyu purraja Kaatuku. Ngulaju ngula-juku. Kala yapangku kalalu manngu-nyangu-juku Kaatu nganta kala-jana kulu-juku nyinaja. Kalalu kurnta-juku karrija. 
HEB.9.10	Nyiyaku yinyarraju kuruwarri yangka kujarla Kaaturlu Mujujuku yungu nyurru-wiyi? Kuruwarri yinyarluju ngarijilpa-jana yapa ngarrurnu nyiyaku ngarninjaku manu nyiyaku yampinjaku. Kuruwarri yinyarlu ngarijilpa-jana yapaju ngarrurnu yungulu-nyanu parljirni manu nyiyarningkijarrarlanguku. Nyampuju kuruwarri ngarilpa witaku karrija yungulu yapangku purayarla ngaka kaji-jana Kaaturlu milki-yirrarni kuruwarri jalangu-warnu.
HEB.9.11	Jijaji Kirajiji ngalipa-nyangu wiri maralypikingarduyu kuja-ka yalyu nyanungu-nyangu-kurlu yawuru-mani Kaatu. Kujarlanya walya nyampu-kurra yanurnu yungurliparla marlaja nyina wankaru tarnnga Kaatuku. Ngula-jangka, pina-yanu nguru-nyayirni-wangu-kurralku. Ngurra yinya kula walya nyampurla, manu kulalu yapangku ngurrju-manu, lawa. Kaluku ngurrju-nyayirni-piya kuja Kaaturlu-juku ngurrju-manu. 
HEB.9.12	Ngula Jijaji Kiraji pina-yukajarra nguru-nyayirni-wangu-kurra, kula yalyu kangu narnukutu manu puluku-jangka, lawa. Nyiyalkurla Kaatukuju yungu yawuru-maninjakuju? Nyanunguju jintaku-mipa yanu yinya-kurra nyanungu-nyangu yalyu-kurlu kuja karlija warntawarntarla. Yungurla Kaatuku yalyu yinyaju yungu-ngalpa Kaaturlu yapa pina-kanyirni nyanungu-kurra, ngalipa kujarlipa majungka-jarrija. Kaaturlu nyangu yinyaju yalyu, ngula-kurlunya-ngalpa yawuru-jarrija. Kujarlanya kapurliparla nyanungukulku tarnnga jirrnganja nyinami. 
HEB.9.13	Nyarrpalku karliparla kirlka-jarri Kaatuku yungurliparla jungarni warrki-jarri? Kajilpa Juwungku palka marnpikarla yapa nyurnu-kurlangu, Mujuju-kurlangu kuruwarri-ka wangkami kulalpa-jana jinta-jarriyarla Juwu-patu-kariki purlapakuju. Ngulakungarntirliji-ka maralypikingarduyurlu puluku wita pinyi, manu-ka purrami yurlpulypa-karda. Ngula-jangka-ka ngapangkalku yirrarni, ngula-jangka-ka mani yalyu narnukutu-jangka, manu karla wati yinyaku winjirni manu ngapa-kurlurlu yangka yurlpulypa-kurlurlu. Ngula-jangka wangkami karla maralypikingarduyu, “Ngurrju, nyuntujunpa kirlkalku manu jungarni. Yantarni-nganpa purlapa-kurra.” 
HEB.9.14	Nyarrpa-mani kangalpa yalyu Jijaji-kirlangurluju? Yalyungku kangalpa kirlka-mani yungurliparla warrki-jarrimi Kaatuku. Nyanunguju-ka JUKURRARNU nyina. Kala kajikarlipa marda wajampa-jarrinjarla manngu-nyanyi, “Warrarda karliparla yinyi warntarri manu kuyu Kaatuku purlapa-puru. Kala nyiyaku? Marda kajika-ngalpa kulu-jarrimi-jiki.” Kuja-juku kajikarlipa marda manngu-nyanyi. Junga-wangu kujaju. Jalangurluju karlipa purami Jijaji Kiraji. Kaatu-kurlangu Pirlirrpa-ka wankaru nyina tarnnga. Ngulalpa Jijaji nyinaja walya nyampurla, Pirlirrparlu pirrjirdi-manu jungarni nyinanjaku. Kula jintarlangu Kaatu-kurlangu kuruwarri rdilyki-pungu. Ngurrju-nyayirnilpa nyinaja. Kuja-piyarlu-kula-nyanu yungu Kaatu-kurraju kuja-ngalpa palija warntawarntarla ngalipaku. Junga kujaju. Kujalpa Jijaji Kiraji waraly-karrija warntawarntarla, yalyu-ngalpa ngalipaku karlija. Kujarlanya karlipa milya-pinyi Kaatu kula kangalpa kulu nyina ngalipakulku.
HEB.9.15	Ngaliparlu yapangkurlipa kuruwarriji rdilyki-pungu yangka kujarla Kaaturlu yungu Mujujuku nyurru-wiyi. Kala Jijaji-ngalpa palija ngalipaku yungu-ngalpa Kaatu yawuru-jarrimi pinja-wangulku. Kujanya-ngalpa kuruwarri jalangu-warnuju Jijajirli kangurnu. Milarninjarla-ngalpa wangkaja Kaatuju yungurlipa nyiyarningkijarra mani kuja-ngalpa jangku-pungu nyurru-wiyi. 
HEB.9.16+HEB.9.17	Kaaturlu-ngalpa kuruwarri-kari jalangu-warnu nyampuju yungu yangka kuja Jijaji palija warntawarntarla. Kujanya-ngalpa Kaatu wangkaja nyanungu-kurra kutu kanjakuju. Manngu-nyangkalu wati purlka. Palinjakungarnti kajikarla marda ngalapi-nyanuku wangka kuja, “Wapirra, kajinpa ngalapi-puka-jarri, ngula-jangkaju kapunpa nyiyarningkijarra mani yampinyi ngaju-nyangu-jangka.” Palinja-wangurla, ngalapi-nyanurlu kula nyiyarlangu mani yampinyi-jangkaju, lawa murnma-juku. Kuja-piyarlu-yijala karlipa Jijajiji manngu-nyanyi. Kaji palinja-wangu Jijaji nyinakarla, kula-ngalpa Kaatuju yawuru-jarriyarla.
HEB.9.18	Nyangurlarlu-puka kujalpa-jana Kaaturlu nyiyarlangu jangku-pungu yapaku yungu nganta-jana marda warrawarra-kanyi marda muurl-mardarni nganta, ngulakungarntiji yungu nganta yalyu nyanyi puluku-kurlangu-puka marda jiyipi-kirlangu marda karlinja-kurra. Yalyu nyanja-wangurlaju kula-jana ngungkurr-nyinaja. 
HEB.9.19	Yuwayi, Mujujurlu-jana yapa yinya-patukuju yimi-ngarrurnu kuruwarri-kari kuruwarri-kariji kujarla Kaaturlu yungu. Ngula-jangka, pungu-jana puluku wita manu narnukutu. Ngula-jangkaju manulku yalyuju. Jinta-manu yalyuju ngapa-kurlurlu ngamingka. Ngula manu jirrirdi yalyuyalyu, ngula warurnu watiya parla-kurlu. Ngulaju julyurl-yirrarnu yalyungka, manu yarlurnu yalyu-kurlurlu puku-wiyi kuja Mujujurlu kuruwarri yirrarnu. Ngula-jangka, yapalku-jana yarlurnu.
HEB.9.20	Ngulalpa kuja-jarrija, wangkaja-jana yapa-patukuju, “Kaatu-ngalpa wangkaja kapu-ngalpa tarnngangku-juku warrawarra-kanyi. Nyurrurlankulu wangkaja kapunkulu nganta tarnngangku-juku purda-nyanyi nyarrpa kuja-nyarra nyanungu nyiyarningkijarra wangkaja nyampurla pukungka. Kujarlanyarna-nyarra yalyu-kurlurluju yarlurnu.”
HEB.9.21	Ngula-jangka, Mujujurluju yalyu-kurlurluju yarlurnu-jana Kaluku Tarruku manu nyiyarningkijarra kujalpalu ngunaja kaninjarni Kalukurla. Yinyarra-kula nyiyarningkijarra kujalu yirrarnu kaninjarni purlapakungarnti. 
HEB.9.22	Purlapa yinyarra-puru kalalu yalyu-kurlurluju yarlurnu warru nyiyarningkijarrarla. Kala ngalya-kari-mipa kalalu yampija yalyu-kurlurluju yarlirninja-wangurlu. Kalalu yalyu-kurlurluju yarlurnu nyiyarningkijarrarla yungu-jana Kaatu yawuru-jarrimi maju-jangkakuju. Kala kajili yantarla kutu Kaatu-kurra puluku manu narnukutu pinja-wangu yalyu-wangu, kapu-jana Kaaturluju mamparl-pungkarla yawuru-jarrinja-wangurlu. Kujakunya karliparla Jijajikiji wala nyina kuja-ngalpa yalyu karlija ngalipaku.
HEB.9.23	Nyiyarningkijarra kujalu maralypikingarduyu-paturlu yirrarnu Kaluku Tarrukurla, ngulaju wita ngari yangkarra-piya kuja kalu nguna nguru-nyayirni-wangurla. Mujuju-kurlangu kuruwarrirli-jana ngarrurnu yalyu-kurlurlu yarlirninjaku nyiyarningkijarrarlaku yangka kuja-ka Kaluku Tarrukurla nguna yungu-jana tarruku-mani. Jijaji Kirajiji ngurrju-nyayirni, kula puluku-piya manu jiyipi, narnukutu-piya. Kaaturla nyanungukuju wangkaja palinjaku yungu yalyu nyanungu-nyangurlu tarruku-mani nyiyarningkijarra nguru-nyayirni-wangurla. 
HEB.9.24	Kaluku Tarruku nyampurla walyangka, ngulaju yapangkulu ngurrju-manu. Ngulaju wita ngari ngurra tarruku-piya-juku nguru-nyayirni-wangurla kuja-ka Kaatu nyinami. Jijaji Kirajiji kula yukaja yali Kaluku Tarruku-kurra yungurla warrki-jarri Kaatuku, lawa. Pina-yanu nguru-nyayirni-wangu-kurra yungu Kaatu-kurlu nyina manu yungu-ngalparla payirni Kaatu ngalipaku. 
HEB.9.25	Jijaji Kiraji kula yinya-piya Maralypikingarduyu Wiri-piya. Yulyurrpu-kari yulyurrpu-kari kala yanu pina Tarruku-nyayirni Ruumu-kurraju. Kala Jijaji Kiraji kulalpa warrarda pinapina-yanu nguru-nyayirni-wangu-kurra yungurla Kaatuku yalyu yinyi, lawa. Manu kula yalyu puluku-jangka kangu. Nyanungu ngari pina-yanu nguru-nyayirni-wangu-kurraju jintaku-mipa yalyu nyanungu-nyangu-kurlu kuja-ngalpa karlija. 
HEB.9.26	Kaji Jijaji Kiraji warrarda yantarla pina nguru-nyayirni-wangu-kurra nyanungu-nyangu yalyu-kurlu, ngulakungarntiji kapu yardayarda paliyarla-wiyi. Kapu yardayarda paliyarla nyurru-wiyi yangka-puru kuja Kaaturlu nyiyarningkijarra ngurrju-manu lawa-jangkaju. Junga-wangu kujaju. Walya nyampuju kapu lawa-jarrimi. Kala Jijaji Kirajiji nyurru-juku warraja-jarrija walya nyampurlaju jintaku ngari yungu-ngalpa pali ngalipaku yapaku kujarlipa majungka-jarrija. Yanurnu nyanunguju ngari jintaku-mipa yungu-ngalpa Kaatu kulu-jarrinja-wangu nyina. 
HEB.9.27	Ngalipa yapa kapurlipa palimi jintaku ngari, manu ngula-jangka Kaaturlu kapu-ngalpa miimii-nyanyi ngurrju-japalparlipa nyinaja, marda maju. 
HEB.9.28	Kuja-piya-yijala Jijaji Kirajirliji-nyanu yungu jintaku ngari Kaatu-kurraju yungu-ngalpa palimi ngalipaku kujarlipa jintawarlayi majungka-jarrija. Kapu mayi walya nyampu-kurraju pina-yanirni yungu-ngalpa yarda palimi? Lawa. Jijaji Kiraji kapu pina-yanirni yungurliparla tarnnga-juku marlaja nyina wankaru Kaatukuju. Kujarlanya karliparla pardarni nyanungukuju.
HEB.10.1	Kuja karlipa manngu-nyanyi Mujuju-kurlangu kuruwarri, ngulaju pija-piya. Ngula-kurlurlu karlipa putaputa milya-pinyi yangka nyiyarningkijarra ngurrju-nyayirni kuja-ngalpa Kaaturlu jangku-pungu kapu-ngalpa ngaka yinyi. Yapa yinya-patu yangka kuja kalalu Mujuju-kurlangu kuruwarri puraja, yulyurrpu-kari yulyurrpu-kari kalalurla warrarda kangurnu puluku, jiyipi manu narnukutu Kaatuku purranjaku. Kuja-jarrinjarla kalalu-nyanu putaputa kangurnu kutu-karda Kaatu-kurraju. Kala yinyarra kuyu-kari kuyu-kari yangka kuja kalalurla purraja, ngulangkuju kula kala-jana jungarni-manu, lawa. 
HEB.10.2	Yulyurrpu-kari yulyurrpu-kari yangka kuja kalalurla kuyu kangurnu Kaatuku, ngulaju kala kuyuju kutu-manu yawuru-jarrinjakungarntirli. Yawuru-jarrinjarla kala-jana kirlka-manu yungulurla jungarni nyinayarla. Kala lawa! Kalalu majungka-jarrija-juku, kalalu milya-pungu kujalpalu maju-juku nyinaja. Kujarlanya kalalurla warrarda kuyu kanjarla yungu. 
HEB.10.3	Kujarlanya, kalalurla kuyuju warrarda kangurnu yulyurrpu-kari yulyurrpu-kari. Kalalu-nyanu kuja wangkaja, “Ngalipa karlipa nyina maju-juku.” 
HEB.10.4	Junga kujaju. Yapa yinya-paturluju kalalurla warrarda kangurnu puluku manu narnukutu Kaatuku. Kalalu-jana pinjarla kangurnu yalyuju Kaatu-kurra. Kala yalyu yinya-kurlurlu Kaaturlu kula kala-jana majuju jurnta kangu yapa-kujakuju yungu ngantalurla ngurrjulku nyinayarla nganta tarnnga-juku.
HEB.10.5	Ngula Jijaji Kiraji walya nyampu-kurra yanurnu, kujakungarntiji wangkaja-wiyirla nyanungukupalanguku Kirda-nyanuku:
HEB.10.5	“Kula kanpa ngampurrpa nyuntuju nyina kuja kangkulu yapangku warrarda kanyirni puluku manu narnukutu nyuntukuju yungungkulu nganta kuyu purrami nyuntuku. Kula kanpa ngampurrpa nyuntuju nyina kujakuju, lawa. Kala jalangurlu, yilyamilki kanpaju walya-kurra. Kularna pirlirrpa ngajuju yani, lawa. Palka-nyayirni kanpaju ngajukuju yinyi yapa-piya.”
HEB.10.6	Jijaji Kirajirla yarda wangkaja nyanungukupalanguku Kirda-nyanuku:
HEB.10.6	“Ngula kangkulu yapangku kuyu purrami nyuntuku yungunpa-jana maju nganta jurnta kanyi nyanungurrakuju, ngulakuju kula kanpa ngampurrpa nyina, lawa. 
HEB.10.7	Junga kujaju! Kujarlanyarnangku wangkaja yarda nyuntukuju:
HEB.10.7	‘Ngaju-nyangu Kaatu. Ngaju-kurlu yimi, ngulaju-ka nyurru nguna Payipulurla. Wangkami-ka kujanya, “Ngajurna walya-kurraju yanurnu yungurnangku warrki-jarrimi kajinpaju nyarrparlangu wangkami.” ’ ”
HEB.10.8	Nyiya-jangkarla Jijaji Kirajiji kujaju wangkaja nyanungukupalangukuju? Junga kujaju yangka Mujuju-jana yapaku wangkaja nyurru-wiyi yungulurla puluku manu jiyipi kanyirni Kaatuku yungulurla purrami. Jijaji Kirajijirla kuja wangkaja nyanungukupalangukuju, “Kuja kangkulu yapangku kuyu purrami nyuntuku yungu ngantanpa-jana maju jurnta kanyi, kula kanpa kujakuju nyuntuju ngampurrpa nyina, lawa.” 
HEB.10.9	Ngula-jangka, Jijaji Kirajirla yarda wangkaja Kirda-nyanukuju, “Ngajurna walya-kurraju yanurnu yungurnangku warrki-jarrimi kajinpaju nyarrparlangu wangkami.” Ngula Jijaji Kiraji kujarra wangkaja, yampija yangkaju nyurru-warnu kuruwarri Mujuju-kurlangu purdangirli. Ngula-jangka, kuruwarri jinta-kari-ngalpa yungu yungurlipa purami. 
HEB.10.10	Kaaturlu yungu-nyanu yapa jintawarlayi kanyirni nyanunguku. Kujarlanya Jijaji Kirajiji yilyajarni nyampu-kurraju yungu-ngalpa jintaku-juku pali ngalipakuju. Ngula-jangkanya karliparla Kaatu-mipakulku jungarni nyinami.
HEB.10.11	Jijaji Kiraji kula-ka yangka-patu maralypikingarduyu-piya nyina. Parra-kari parra-kari kalurla warrki-jarrimi Kaatuku Yuwarli Maralypirlaju. Ngulangka-juku kalurla kuyu warrarda purrami Kaatuku. Kuja-jarrinjarla kulalpalu-jana yapakuju majuju jurnta kangkarla. 
HEB.10.12	Kala Jijaji Kirajirli-nyanu yungu Kaatu-kurraju jintaku-mipa yungu-ngalpa palimi ngalipaku yapa-patuku kujarlipa majungka-jarrija. Nyanunguju palija yungu-ngalpa Kaatu yawuru-jarrimi. Ngula-jangka, Jijaji Kirajiji yanu kankarlarra manu nyinanjunu Kaaturla jungarni-pirdinypa yungu Kaaturlu nyanunguju wiri-pajirni. 
HEB.10.13	Nyanunguju-ka jalanguju nyinami-jiki. Pardarni karla yangka ngaka kaji-jana Kaaturlu nyurunyuru wita-wangu yapa yirrarni Jijajirla wirliyarla kanunju yungu-nyanurla Jijajirli kunka-mani yangka kujalpalurla nyurunyuru-jarrija. 
HEB.10.14	Ngula-nyanu Jijaji Kirajirli jintaku-mipa ngari yungu Kaatu-kurraju, kujarlu-kula-jana yapakuju majuju jurnta kangu tarnnga-juku. Yinyarra-kula yapa-patuju kuja kajana Kaaturlu jungarni-mani yungulurla jungarni nyina nyanungu-mipaku. Kujarlanya, yapa yinyaju kalu ngurrju-nyayirni-nyina Jijaji-piyaju.
HEB.10.15	Pirlirrpa Kaatu-kurlangurlu kangalpa yimi-ngarrirni yimi jurrku-juku Jijaji Kiraji-kirliji. Payipulurla-ngalpa Pirlirrpaju kujanya ngalipakuju wangkaja:
HEB.10.16	“Nyampu-kula kajana Warlalja-Wiriji wangkami yapakuju, ‘Ngajulu karna-jana yapakuju wangka yangka ngaka kapurna-jana ngaju-nyangu kuruwarri yirrarni nyanungurra-nyangu kurturdurrurla manu nginyinginyirla. Ngula-jangka kapujulu milya-pinjarla purami jungangku.’ ”
HEB.10.17	Pirlirrpa Kaatu-kurlanguju kujarlangu wangkaja Payipulurlaju:
HEB.10.17	“Yapa yinyarra kujalu majungka-jarrija, kapurna-jana yawuru-jarrimi. Kularna warrarda manngu-nyanyi yangka kujalpalu majungka-jarrija.”
HEB.10.18	Junga kujaju! Kuja kajana Kaatu yapaku yawuru-jarrimi yangka kujalpalu majungka-jarrija, ngulaju yungulu jupu-karrimilki puluku manu jiyipi kanjarni-wangu, yungulu yampimi purranja-wangurlu nyanungukuju. Nyiya-jangka kujaju? Nyanunguju-jana nyurru yawuru-jarrija, manu-nyanu nyanunguku pina-kangu.
HEB.10.19+HEB.10.20	Ngajukupurdangka-purnu Kirijini-patu, Jijajirli-nyanu nyanungu-nyangu palka yungu kutu Kaatu-kurra yungu-ngalpa palimi ngalipaku. Ngula nyanungu palija, ngurrju-manu-ngalpa yirdiyi-kari yungurliparla warrarda yanirni kutu-karda Kaatukuju. Kaninjarni yinya Yuwarli Maralypirla, ruumu witalpa karrija kuja yapangku kalalu yirdi-manu Ruumu Tarruku-nyayirni. Pangkarra kirrirdilparla wapirrija ruumu-kari tarrukukuju yapa yukanja-kujaku. Kula kalalu Kaatu-kurra kutu-karda yanurnu. Kala kuja Jijaji palija warntawarntarla, kuja-ngalpa yalyu karlija, ngula-jangkanya karliparla Kaatukuju kutulku yanirni lani-wangu. 
HEB.10.21+HEB.10.22	Kujalparlipa majungka-jarrija, kurnta-jarrijarlipa, manurlipa manngu-nyangu Kaaturlu nganta kapu-ngalpa pinyi. Kala Jijaji Kiraji kangalpa Maralypikingarduyu Wiri nyinami ngalipaku yapa-patuku yangka kuja karliparla Kaatuku nyinami. Wala karliparla warrarda nyinami. Yalyu-kurlurlu-ngalpa yarlurnu ngalipa-nyangu kurturdurru yungurlipa kurnta-wangulku nyinami. Parljurnu-ngalpa ngalipa-nyangu palkaju ngapangku kirlkangku yungurlipa majungka-jarrinja-wangu nyinami. Yuwayi, Jijaji Kirajiji ngalipa-nyangu Maralypikingarduyu Wiri kuja kangalpa kanyirni Kaatu-kurra kutu-karda. Kujarlanya, yanirlipa kutu-karda Kaatu-kurra. 
HEB.10.23	Kuja kangalpa nyiyarlangu-puka jangku-pinyi, kula kangalpa yulyurlku-yinyi, lawa. Kujarlanya karlipa-nyanu jarnkujarnku wangkami Kaatu-kurluju, “Milya-pinyi karlipa yangka Kaaturlu kapu-ngalpa warrarda warrawarra-kanyi.” Kujarlanyarliparla pardarni nyanungukuju, kapuru nyinanja-wangu. 
HEB.10.24	Ngula-jangkaju, yungulparlipa-nyanu jarnkujarnku manngu-nyangkarla jungarnirli. Pirrjirdi-manirlipa-nyanu yungurlipa-nyanu yulkami manu yungurlipa-nyanu ngurrjungka-jarrimi. 
HEB.10.25	Warrardarlipa jinta-jarrimi yungurlipa-nyanu pirrjirdi-mani. Ngalipa Kirijini-patu karliparla jinta-jarrinjarla pulka-pinyi Kaatukuju. Ngalya-kari Kirijini-patu kalu jupu-karrimi, manu kalu yangarlu nyinami turnu-jarrinja-wangu. Kuja piya-wangurlipa nyinami! Nyampunya karlipa milya-pinyi kapu Jijaji pina-yanirni walya-kurra murnma-juku ngari. Kujarlanya yungurlipa warrarda jinta-jarrimi.
HEB.10.26	Milya-pinyi karlipa yimi junga Jijaji Kiraji-kirliji. Kala kajilparlipa maju-juku warrarda wilji-nyinakarla yalala-yirrarninja-wangu, kujarlaju kulalpa-ngalpa nganalku paliyarla yarda yungu-ngalpa Kaatuju yawuru-jarrimi, lawa. 
HEB.10.27	Kajilparlipa maju-juku warrarda nyinakarla, kujarlaju kajikarliparla warrarda-juku lani-jarrimi Kaatukuju. Kajikarliparla pardarni yangka ngaka kaji-ngalpa miimii-nyanjarla maju-pajirni. Junga kujaju. Milya-pinyi karlipa yangka Kaatu kajika-ngalpa kulu-jarrimi-nyayirni, manu kajika-ngalpa pinyi muku warlu-kurlurlu.
HEB.10.28	Manngu-nyangkalu Mujuju-kurlangu kuruwarri. Marda yapa jintangku kajika rdilyki-pinyi yinyaju kuruwarri puranja-wangurlu. Kujaju maju. Ngulajangka, yapa-jarrarlu marda marnkurrparlu kajikalu nyanunguju jiily-ngarrirni, manu kajikalu kuja marda wangkami, “Yuwa! Yapa nyampurluju Mujuju-kurlangu kuruwarriji rdilyki-pungu-jala!” Kajili kuja wangkami yapa yinya-kurlu, ngulaju kajikalu yapa panungku-juku pinyi tarnnga-kurra mari-jarrinja-wangurlu, kulalpalu nyarrparlu pinja-wangurluju yampiyarla, lawa. 
