MAT.1.1	Ибрайымның урпағы, Даўыттың урпағы Ийса Масихтың
HEB.12.8	Ҳәр бир адам алатуғын тәрбияны алмай атырған болсаңыз, онда сизлер ҳақыйқый уллар емес, ал некесиз туўылған балаларсыз. 
HEB.12.9	Сондай-ақ, бизлерди тәрбиялаған дүньядағы әкелеримизди бизлер ҳүрмет ететуғын едик. Ондай болса, руўхый Әкемиз болған Қудайға еле де көбирек бойсынып жасаўымыз керек емес пе? 
HEB.12.10	Әкелеримиз бизлерди өзлери дурыс деп ойлаған жол бойынша қысқа ўақыт ишинде тәрбиялады. Бирақ Қудай Оның мухаддеслигине шерик болыўымыз ушын, бизлердиң пайдамызды ойлап тәрбиялайды. 
HEB.12.11	Тәрбиялаў ушын берилген ҳәр бир жаза ўақтында қуўаныш емес, ал қапагершилик алып келеди. Бирақ кейин ала ол усылай тәрбияланған адамларға тынышлық бериўши ҳақлық алып келеди.
HEB.12.12	Солай етип, түскен еңсеңизди көтерип, аяқларыңызда тик турыңлар
HEB.12.13	Араңызда исеними ақсағанлар жаман жолға түспей туўрыланыўы ушын, дүзиў жол менен жүриңлер
HEB.12.14	Ҳәмме менен татыў болып жасаўға ҳәм мухаддес болыўға тырысыңлар. Мухаддесликке ийе болмай турып, ҳеш ким де Ийемизди көрмейди. 
HEB.12.15	Араңыздағы ҳеш бириңиз Қудайдың мийриминен айырылып қалмаўы ушын ҳәм араңызда сизлерге зыян тийгизип, көплерди зәҳәрлейтуғын ашшы тамыр көгерип шықпаўы ушын, бир-бириңизге жақсылап қараңлар. 
HEB.12.16	Ишиңизде ҳеш ким бузықшылық ислемесин ямаса туңғышлық ҳуқықын бир аўқат ушын сатқан Исаб сыяқлы қудайсыз болмасын. 
HEB.12.17	Хабарыңыз бар, Исаб соңынан әкесиниң пәтиясын алыўды қәлегенде, тилеги қабыл етилмеди. Ол көз жасларын төгип жалбарынса да, өзи ислеп қойған исти өзгерте алмады.
HEB.12.18	Сизлер жақынлаған таў – көзге көринетуғын, лаўлап жанған, қараңғылық пенен түнекке шөккен, даўыл басқан, 
HEB.12.19	кәрнай сести ҳәм Қудайдың сөзи жаңлаған Синай таўы емес. Қудайдың сол даўысын еситкенлер бизлерге қайтып айтылмасын, деп жалбарынған еди. 
HEB.12.20	Өйткени олар: 
HEB.12.21	Бул көринис соншелли қорқынышлы болғанлықтан, Муўса да: 
HEB.12.22	Бирақ сизлер Сион таўына, яғный тири Қудайдың қаласы – аспандағы Ерусалимге, ондағы мың-мыңлаған периштелердиң қуўанышлы жыйынына 
HEB.12.23	ҳәм атлары аспанда жазылған, Қудайдың туңғыш балалары сыяқлы болған биринши исениўшилер жыйнағына жақынладыңлар. Сизлер және де ҳәмме адамды ҳүким етиўши Қудайға, минсизликке ерискен ҳақ адамлардың руўхларына, 
HEB.12.24	жаңа келисимниң тәўеллешиси Ийсаға ҳәм Абылдың қанынан да артық болған Ийсаның кеширим беретуғын себилген қанына жақынладыңлар.
HEB.12.25	Абайлы болыңлар, сөйлеп турған Қудайға қулақ аспай кетпеңлер. Оның тапсырмасы менен жер бетинде ескертип сөйлеген Муўсаға қулақ аспаған Израил халқы жазадан қашып қутыла алмаған еди. Егер бизлер де аспаннан өзлеримизге ескертип сөйлеп турған Қудайға қулақ аспасақ, буннан да аўырырақ жазадан қалай қашып қутыла аламыз? 
HEB.12.26	Қудай Синай таўында сөйлегенде, Оның даўысы жерди силкиндирип жиберген еди. Ол тағы да: 
HEB.12.27	«Және бир мәртебе» деген сөзлер силкинбейтуғын нәрселердиң мәңгиге қалыўы ушын, силкинетуғын нәрселердиң, яғный жаратылған нәрселердиң жоқ болатуғынын аңлатады. 
HEB.12.28	Солай етип, бизлер силкинбес патшалыққа ерискенимиз ушын шүкирлик билдирип, Қудайға унамлы түрде, Оған ҳүрмет ҳәм қорқыныш пенен сыйынайық. 
HEB.12.29	Себеби бизиң Қудайымыз – жандырып жоқ қылатуғын от.
HEB.13.1	Бир-бириңизди туўысқанларша сүйиўди даўам етиңлер. 
HEB.13.2	Миймандослықты умытпаңлар. Өйткени айырымлар усылай ислеп, өзлери билмей, периштелерди қонақ қылған. 
HEB.13.3	Қамақта болғанларды өзлериңиз олар менен бирге тутқын болғандай есте тутыңлар. Және де, азап шегип атырғанларды да өзлериңиз азап шегип атырғандай ядыңыздан шығармаңлар. 
HEB.13.4	Ҳәммеңиз некеге ҳүрмет пенен қараңлар. Некеңиздиң төсеги гүна менен былғанбасын. Себеби Қудай бузықшылық ислегенлерди ҳәм неке ҳадаллығын бузғанларды ҳүким етеди. 
HEB.13.5	Ақшаны сүйиўден аўлақ болып жасаңлар. Өзлериңизде барға қанаат етиңлер. Өйткени Қудай былай деген:
HEB.13.6	Сонлықтан бизлер батырлық пенен былай деймиз:
HEB.13.7	Сизлерге Қудайдың сөзин айтқан жетекшилериңизди еске түсириңлер. Олардың қалай жасағанына ҳәм өмириниң ақыры қандай болғанына қарап, олардың исениминен өрнек алыңлар. 
HEB.13.8	Ийса Масих кеше, бүгин ҳәм мәңгиликке бирдей. 
HEB.13.9	Ҳәр түрли жат тәлийматларға берилип, азғырылмаңлар. Кеўилдиң аўқатқа байланыслы қағыйдаларды орынлаў менен емес, ал Қудайдың мийрими менен беккемленгени жақсы. Бундай қағыйдаларды орынлаўшылар ҳеш қандай пайда көрмеди.
HEB.13.10	Бизлердиң қурбанлық шалынатуғын орнымыз бар. Оның үстинде Ийса Масих бизлер ушын қурбан болды. Мухаддес шатырда хызмет ететуғын яҳудий руўханийлериниң сол қурбанлықтан пайда көриўге ҳақысы жоқ
HEB.13.11	Яҳудий бас руўханийи гүна ушын қурбанлыққа берилген маллардың қанын Ең мухаддес бөлмеге апарады. Ал шалынған маллардың денеси елаттың сыртында өртеп жибериледи. 
HEB.13.12	Сол сыяқлы Ийса да Өз қаны менен адамларды мухаддес қылыў ушын, қала дәрўазасының сыртында азап шекти. 
HEB.13.13	Олай болса, бизлер де Оның көрген хорлығын бөлисиўимиз ушын, елаттың сыртына шығып, Оған барайық. 
HEB.13.14	Себеби бул жерде бизлердиң мәңгилик қаламыз жоқ. Бизлер келешекте аспаннан түсетуғын қаланы әрман етемиз.
HEB.13.15	Сонлықтан Ийса арқалы Қудайға үзликсиз мақтаўларымызды қурбанлық сыпатында усынайық. Яғный, Оның атына деген алғысларымыз аўзымыздан түспесин. 
HEB.13.16	Жақсылық ислеўди ҳәм өзлериңизде болған нәрсени басқалар менен бөлисиўди умытпаңлар. Өйткени бундай қурбанлықлар Қудайға унайды.
HEB.13.17	Жетекшилериңиздиң сөзлерин тыңлаңлар ҳәм оларға бойсыныңлар. Себеби олар сизлер ушын Қудайға есап беретуғын адамлар болғанлықтан, жанларыңызды қараўыллайды. Олар бул хызметин қуўаныш пенен, налымай атқарыў ушын, оларға қулақ асыңлар. Болмаса, өзлериңиз зыян көресизлер.
HEB.13.18	Бизлер ушын дуўа етиңлер. Бизлер өзлеримиздиң пәк ҳүжданға ийе екенимизге ҳәм ҳәр тәреплеме ҳадал өмир сүриўди қәлейтуғынымызға исенемиз. 
HEB.13.19	Әсиресе жаныңызға тез қайтып барыўым ушын дуўа етиўиңизди өтиниш етемен.
HEB.13.20	Өз қанын төгип, мәңгилик келисимди бекитиўи арқалы қойлардың уллы Шопаны болған Ийемиз Ийсаны тынышлық бериўши Қудай өлимнен тирилтти. 
HEB.13.21	Усы Қудай Оның еркин орынлаўыңыз ушын, сизлерге ҳәр бир жақсы нәрсени жеткизсин. Өзине унайтуғын нәрсени Ол Ийса Масих арқалы бизлерде әмелге асырсын. Масихқа мәңгиге даңқ болсын! Аўмийин.
HEB.13.22	Туўысқанларым, сизлерге өтиниш етемен, усы нәсият сөзлеримди қабыл етиңлер. Өйткени мен сизлерге қысқаша жаздым. 
HEB.13.23	Туўысқанымыз Тимофейдиң азат етилгенин билиўиңизди қәлеймен. Ол жақын арада жаныма келсе, оның менен бирликте сизлерди көриўге бараман. 
HEB.13.24	Жетекшилериңиздиң ҳәммесине ҳәм пүткил исениўшилерге
HEB.13.25	Қудайдың мийрими ҳәммеңизге яр болсын!
REV.1.1	Бул – тез арада жүз бериўи керек болған ўақыяларды Өз хызметшилерине билдириў ушын Қудайдың Ийса Масихқа
REV.1.2	Юхан Қудайдың сөзин ҳәм Ийса Масихтың гүўалығын, яғный өзи көрген нәрселериниң ҳәммесин баян етти. 
REV.1.3	Бул пайғамбаршылық сөзлерди оқыйтуғын ҳәм бул жерде жазылғанларды тыңлап, орынлайтуғынлар қандай бахытлы! Себеби бул ўақыялардың болатуғын ўақты жақын.
REV.1.4+REV.1.5	Мен, Юханнан, Азия үлкесиндеги жети жәмәәтке сәлем! Ҳәзир бар, бурыннан бар болған, келешекте де бар болатуғын ҳәм келетуғын Қудайдан, Оның тахты алдында турған жети руўхтан
REV.1.4+REV.1.5	Ийса Масих бизлерди сүйип, Өз қаны менен бизлерди гүналарымыздан азат қылды 
REV.1.6	ҳәм бизлерди Өз Патшалығына еристирип, Әкеси Қудайдың хызметиндеги руўханийлери етти. Уллылық ҳәм қүдирет мәңгиге Оныки болсын!
REV.1.6	Аўмийин.
REV.1.7	Аўа, усылай болады, аўмийин.
REV.1.8	Ҳәзир бар, бурыннан болған, келешекте де бар болатуғын ҳәм келетуғын, ҳәмме нәрсеге қүдиретли Қудай Ийемиз былай дейди: «Мен – Альфа ҳәм Омегаман
REV.1.9	Мен, Ийсаның қайғы-ҳәсиретине, патшалығына ҳәм сабырлығына сизлер менен бирге шерик болған туўысқаныңыз Юхан, Қудайдың сөзин ҳәм Ийса ҳаққында жәриялағаным ушын Патмос атлы атаўға сүргин етилген едим. 
REV.1.10	Ийемиздиң күнинде
REV.1.11	«Көрип турғанларыңды китапқа жаз ҳәм жети жәмәәтке, яғный Ефес, Смирна
REV.1.12	Сөйлеп турғанды көриў ушын, мен арқама бурылдым. Бурылып, жети алтын шыра қойғышты көрдим. 
REV.1.13	Олардың ортасында үстине узынлығы аяғына түсетуғын кийим кийген, көкирегине алтын өңирше байлаған Адам Улына
REV.1.14	Оның басы ҳәм шашлары ақ жүн сыяқлы, қардай аппақ еди. Көзлери болса, оттың жалынындай жарқырап турған еди. 
REV.1.15	Оның аяқлары пеште қыздырылған жылтырақ қолаға уқсаған болып, даўысы сарқырап аққан суўдың сестиндей еди. 
REV.1.16	Ал оң қолында жети жулдыз бар болып, аўзынан еки жүзли өткир қылыш шығып турған еди. Жүзи күшли жарқырап турған қуяштай еди.
REV.1.17	Мен Оны көриўден-ақ, өли сыяқлы аяқларына жығылдым. Ал Ол оң қолын үстиме қойып, былай деди:
REV.1.17	– Қорқпа! Мен – биринши ҳәм соңғыман.
REV.1.18	Мен тиримен. Өлген едим, бирақ, мине, мәңгиге тиримен. Өлимниң ҳәм өлилер мәканының гилтлери Мениң қолымда.
REV.1.19	Сонлықтан көргенлериңди, ҳәзир жүз берип атырған нәрселерди ҳәм буннан соң болатуғынларды жаз. 
REV.1.20	Оң қолымда сен көрген жети жулдыздың ҳәм жети алтын шыра қойғыштың сыры мынаў: жети жулдыз – жети жәмәәттиң жетекшилери
REV.2.1	– Ефес жәмәәтиниң жетекшисине
REV.2.1	Оң қолына жети жулдыз услаған, жети алтын шыра қойғыштың ортасында жүретуғын былай дейди: 
REV.2.2	«Сениң ислериңди, аўыр мийнетиңди ҳәм сабырлылығыңды билемен. Жаман адамлардың жаманлық ислеўине жол қоймайтуғыныңды да билемен. Елши емес болып турып, өзлерин елши деп атағанларды сынадың ҳәм олардың өтирикши екенин билип алдың. 
REV.2.3	Аўа, сен сабырлысаң. Мениң атым ушын қыйыншылықларға шыдам бердиң ҳәм шаршамадың.
REV.2.4	Бирақ, саған бир қарсылығым бар: сен биринши исенген ўақтыңдағы сүйиспеншилигиңди жойттың. 
REV.2.5	Солай етип, не нәрседе алжасқаныңды есиңе түсир! Тәўбе қылып, дәслепки ислериңди даўам ет. Егер тәўбе қылмасаң, саған келип, шыра қойғышыңды орнынан алып таслайман. 
REV.2.6	Деген менен, сенде бир унамлы қәсийет бар: сен Николас уйымының ислерин жек көресең. Оларды Мен де жек көремен.
REV.2.7	Қулағы бар Мухаддес Руўхтың жәмәәтлерге айтып атырған сөзлерин еситсин. Жеңип шыққанға Қудайдың жәннетиндеги өмир терегиниң мийўесин жеў ҳуқықын беремен».
REV.2.8	– Смирна жәмәәтиниң жетекшисине
REV.2.8	Өлип, өлимнен қайта тирилген, биринши ҳәм соңғы болған былай дейди: 
REV.2.9	«Сениң қайғы-ҳәсиретиңди ҳәм кәмбағаллығыңды билемен. Бирақ, сен байсаң. Өзлерин яҳудийлермиз дейтуғынлардың сени масқаралап айтқан сөзлерин де билемен. Бирақ олар яҳудий емес, ал шайтан жыйыны. 
REV.2.10	Басыңа түсетуғын қыйыншылықлардан қорқпа! Мине, шайтан сизлерди сынаў ушын араңыздағы базыларыңызды қамаққа таслайды. Он күн азап шегесизлер. Өлиўге туўра келсе де, Маған садық қал, сонда Мен саған өмир тажын беремен.
REV.2.11	Қулағы бар Мухаддес Руўхтың жәмәәтлерге айтып атырған сөзлерин еситсин. Жеңип шыққан екинши өлимнен ҳеш қандай зәлел көрмейди».
REV.2.12	– Пергам жәмәәтиниң жетекшисине
REV.2.12	Еки жүзли өткир қылышқа ийе болған былай дейди: 
REV.2.13	«Шайтанның тахты турған жерде жасайтуғыныңды билемен. Атыма садық екениңди де билемен. Ҳәтте, садық гүўам Антипа араңызда, шайтан отырған жерде өлтирилген күнлерде де сен Маған деген исенимиңнен қайтпадың.
REV.2.14	Бирақ, саған бираз қарсылығым бар: араңызда Балаам тәлийматын тутыўшылар бар. Бутқа сойылған қурбанлық гөшин жеўге ҳәм бузықшылық қылыўға үйретиў ушын, Балаам Балакқа Израил халқын жолдан урыўды үгитлеген еди. 
REV.2.15	Сол сыяқлы, сизлердиң араңызда Николас уйымының тәлийматын тутыўшылар да бар. 
REV.2.16	Бул ушын тәўбе қыл! Болмаса, тез жаныңа келип, оларға қарсы аўзымдағы қылыш пенен урысаман.
REV.2.17	Қулағы бар Мухаддес Руўхтың жәмәәтлерге айтып атырған сөзлерин еситсин. Жеңип шыққанға сырлы манна
REV.2.18	– Тиатира жәмәәтиниң жетекшисине
REV.2.18	Көзлери лаўлап жанған отқа, аяқлары жылтыраған қолаға уқсаған Қудайдың Улы былай дейди: 
REV.2.19	«Сениң ислериңди, сүйиспеншилигиңди, исенимиңди, хызметиңди ҳәм сабырлылығыңды билемен. Соңғы ислериңниң биринши исенген ўақтыңдағы ислериңнен көбирек екенин де билемен.
REV.2.20	Деген менен, саған бир қарсылығым бар: өзин пайғамбар деп атаған Изабел атлы ҳаялға жол қойып атырсаң. Бул ҳаял хызметшилеримди жолдан урып, бузықшылық ислеўге ҳәм бутларға сойылған қурбанлық гөшин жеўге үйретпекте. 
REV.2.21	Тәўбе етиўи
REV.2.22	Мине, Мен оны кеселлик төсегине қулатаман. Оның менен бузықшылық ислейтуғынларды да оның менен биргеликте ислеген жаман ислери ушын тәўбе етпесе, үлкен қайғы-ҳәсиретке дуўшар етемен. 
REV.2.23	Оның изине ергенлерди
REV.2.24+REV.2.25	Бирақ, Тиатирадағы басқаларға, яғный сол ҳаялдың тәлийматын тутпай, „шайтанның тәлийматының терең сырларын“ үйренбеген сизлерге айтатуғыным мынаў: „Мен келемен дегенше, өзлериңизде бар болғанларға беккем болыңлар“. Сизлерге буннан басқа аўырманлық салмайман.
REV.2.26	Жеңип шығып, Мениң буйырғанларымды ақырына дейин орынлағанға миллетлер үстинен бийлик беремен.
REV.2.27	Әкемнен Мен алған усындай бийликти ол да алады. 
REV.2.28	Жеңип шыққанға таң жулдызын да беремен. 
REV.2.29	Қулағы бар Мухаддес Руўхтың жәмәәтлерге айтып атырған сөзлерин еситсин».
REV.3.1	– Сардис жәмәәтиниң жетекшисине
REV.3.1	Қудайдың жети руўхына
REV.3.2	Сергек бол! Еле өлмей қалған, енди өлейин деп атырғанларды беккемле. Себеби Қудайымның алдында сениң ислериңниң жеткиликсиз екенлигин көрдим. 
REV.3.3	Сонлықтан өзиң қабыл алып еситкен тәлийматыңды есиңе түсир. Оны тутынып, тәўбе ет! Егер сергек болмасаң, Мен уры сыяқлы күтилмегенде келемен, саған қашан келетуғынымды билмей қаласаң.
REV.3.4	Бирақ Сардисте, сизлердиң араңызда, ипласланбаған
REV.3.5	Жеңип шыққан усындай ақ кийим кийеди. Бундай адамның атын Өмир китабынан
REV.3.6	Қулағы бар Мухаддес Руўхтың жәмәәтлерге айтып атырған сөзлерин еситсин».
REV.3.7	– Филадельфия жәмәәтиниң жетекшисине
REV.3.7	Мухаддес ҳәм ҳақыйқат болған, Даўыттың гилтине ийе, Ол ашса ҳеш ким жаба алмайтуғын, жапса, ҳеш ким аша алмайтуғын былай дейди: 
REV.3.8	«Сениң ислериңди билемен. Мине, сениң алдыңа ҳеш ким жаба алмайтуғын ашық бир қапы қойдым. Күшиң аз болса да сөзимди орынлап, атымнан ўаз кешпедиң. 
REV.3.9	Қара, шайтанның жыйынынан болғанларды, өзлерин яҳудиймиз деп атап, бирақ яҳудий болмаған өтирикшилерди саған тапсыраман. Оларды саған келиўге ҳәм сениң аяғыңа бас урыўға мәжбүр етип, оларға Мениң сени сүйетуғынымды көрсетемен. 
REV.3.10	Сабырлылық пенен шыда деген буйрығымды орынлағаның ушын, жер жүзинде жасайтуғынларды сынаў мақсети менен пүткил дүнья жүзине келетуғын сынақ ўақтынан Мен де сени сақлайман.
REV.3.11	Мен жылдам келемен. Тажыңды ҳеш ким алып қоймаўы ушын, өзиңде бар нәрсеге беккем бол. 
REV.3.12	Жеңип шыққанды Қудайымның Ибадатханасының сүтини қыламан. Сол адам ол жерден ҳеш қашан шықпайды. Оның үстине Қудайымның атын, Қудайымның қаласының атын, яғный аспаннан, Қудайдың жанынан түсетуғын жаңа Ерусалимниң атын ҳәм Өзимниң жаңа атымды жазаман. 
REV.3.13	Қулағы бар Мухаддес Руўхтың жәмәәтлерге айтып атырған сөзлерин еситсин».
REV.3.14	– Лаодикия жәмәәтиниң жетекшисине
REV.3.14	Аўмийин, садық ҳәм ҳақыйқый гүўа, Қудайдың жаратқанларының Ҳүкимдары былай дейди: 
REV.3.15	«Сениң ислериңди билемен. Сен я суўық, я ыссы емессең. Қәне енди, я суўық, я ыссы болсаң! 
REV.3.16	Сен ыссы да, суўық та емес, ал жыллы болғаның ушын, сени аўзымнан қусып жиберемен. 
REV.3.17	Байман, байыдым, ҳеш нәрсеге мүтәж емеспен, дейсең. Бирақ өзиңниң бахытсыз, аянышлы, жарлы, соқыр ҳәм жалаңаш екенлигиңди билмейсең. 
REV.3.18	Сонлықтан Мениң саған айтатуғын мәсләҳәтим мынаў: бай болыўың ушын, Меннен отта тазаланған алтын, жалаңашлығыңның айыбы көринбеў ушын ақ кийимлер, көриўиң ушын көзлериңе сүртетуғын дәри сатып ал.
REV.3.19	Мен сүйгенлеримниң ҳәммесин әшкара етип, тәрбиялайман. Сол себепли инталы болып, тәўбе ет. 
REV.3.20	Мине, Мен қапы алдында қағып турман. Егер ким де ким даўысымды еситип, қапыны ашса, оның үйине киремен. Мен оның менен, ол Мениң менен бирге аўқат жеймиз.
REV.3.21	Мен жеңип шығып, Әкем менен бирге Оның тахтына отырғанымдай, жеңип шыққанға да Мениң менен бирге тахтыма отырыў ҳуқықын беремен. 
REV.3.22	Қулағы бар Мухаддес Руўхтың жәмәәтлерге айтып атырған сөзлерин еситсин».
REV.4.1	Буннан соң, аспанда ашық турған бир қапыны көрдим. Мен бурын еситкен даўыс, яғный кәрнай сестине уқсаған сес маған былай деди: «Бул жерге көтерил! Мен саған буннан соң болыўы тийис ўақыяларды көрсетемен». 
REV.4.2	Сонда мен дәрҳал Мухаддес Руўхқа толып, аспанда бир тахты ҳәм онда Отырғанды
REV.4.3	Тахтта Отырғанның көриниси яспис, сардис сыяқлы ҳасыл таслардай жарқырап, ал тахтың әтирапын жарқыраған ҳасыл зумрат тасы сыяқлы радуга
REV.4.4	Тахтың дөгерегинде басқа жигирма төрт тахт болып, бул тахтларда ақ кийимли, басларына алтын таж кийген жигирма төрт ақсақал отырған еди. 
REV.4.5	Тахттан шақмақ шағып, гүрсилдеген даўыс шығып, гүлдирмаманың гүркирегени еситилип турған еди. Ал тахтың алдында жети шыра жанып турған еди. Бул – Қудайдың жети руўхы. 
REV.4.6	Және тахтың алдында кристалл сыяқлы шийше теңиз бар еди.
REV.4.6	Тахттың төрт тәрепинде
REV.4.7	Олардың бириншиси арысланға, екиншиси бузаўға уқсаған еди. Ал үшиншисиниң жүзи адамның түриндей, төртиншиси ушып баратырған бүркит сыяқлы еди. 
REV.4.8	Ҳәр бириниң алты қанаты болып, қанатларының иши-сырты толған көз еди. Олар күни-түни тоқтамастан: «Бар болған, ҳәзир бар ҳәм келешекте бар болатуғын ҳәм келетуғын, ҳәмме нәрсеге қүдиретли Қудай Ийемиз мухаддес, мухаддес, мухаддес!» – дейди.
REV.4.9	Төрт мақлуқ мәңги өмир сүретуғын тахтта Отырғанды уллылап, Оған ҳүрмет көрсетип шүкирлик билдирген сайын, 
REV.4.10	жигирма төрт ақсақал тахтың үстинде отырған мәңги өмир Сүретуғынның алдына жығылып, Оған табынды. Олар тажларын тахтың алдына қойып былай деди: 
REV.4.11	«Қудай Ийемиз! Сен даңқ, ҳүрмет ҳәм қүдиретти алыўға ылайықлысаң. Себеби ҳәмме нәрсени Сен жаратқансаң. Ҳәммеси Сениң еркиң менен жаратылды ҳәм бар болды».
REV.5.1	Сонда тахтта Отырғанның оң қолында иши-сырты жазылған, жети мөр басылып бекитилген бир китапты
REV.5.2	Және мен бәлент даўыс пенен жәриялап бақырған бир күшли периштени де көрдим. Ол жар салып: «Ким бекитилген мөрлерди бузып, китапты ашыўға ылайықлы?» – деди. 
REV.5.3	Бирақ аспанда да, жерде де, жердиң астында да китапты ашып, оның ишине қараўға ылайықлы ҳеш ким болмады. 
REV.5.4	Китапты ашып, оның ишине қараўға ылайықлы ҳеш ким табылмағанлықтан, мен қатты жыладым. 
REV.5.5	Сонда ақсақаллардың бири маған:
REV.5.5	– Жылама! Қара, Яҳуда урыўынан шыққан Арыслан, Даўыттың Урпағы жеңип шықты! Ол бекитилген мөрлерди бузып, китапты аша алады, – деди.
REV.5.6	Сол ўақытта мен төрт мақлуқ пенен ақсақаллар қоршап турған тахтың ортасында баўызланғанға уқсаған бир Қозыны
REV.5.6	Қозының жети мүйизи ҳәм жети көзи бар еди. Бул көзлер – Қудайдың пүткил жер жүзине жиберген жети руўхы. 
REV.5.7	Қозы жақынлап барып, тахтта Отырғанның оң қолынан китапты алды.
REV.5.8	Қозы китапты алғанда, төрт мақлуқ ҳәм жигирма төрт ақсақал Оның аяғына жығылды. Ҳәр бириниң қолында тарлы әсбап ҳәм хош ийисли затларға толған алтын кеселер бар еди. Бул хош ийисли затлар мухаддеслердиң
REV.5.9	Олар жаңа алғыс-мақтаў қосығын айтып былай деди:
REV.5.9	«Сен китапты алыўға ҳәм бекитилген мөрлерди бузып ашыўға ылайықлысаң!
REV.5.9	Өйткени Сен Өзиңди қурбан еттиң ҳәм ҳәр бир урыў, тил,
REV.5.9	халық ҳәм миллеттен шыққан адамларды Қудайға арнаў ушын,
REV.5.9	Өз қаныңды төгип, олардың төлемлерин өтедиң.
REV.5.10	Оларды патшалығыңа еристирип,
REV.5.10	Қудайдың хызметиндеги руўханийлер қылдың.
REV.5.10	Олар жер жүзинде ҳәкимлик етеди».
REV.5.11	Соңынан тахтты, мақлуқларды ҳәм ақсақалларды қоршаған есап-сансыз, мыңлаған, миллионлаған периштелерди көрдим ҳәм олардың даўысларын еситтим. 
REV.5.12	Олар даўыслап қосық айтып былай деди:
REV.5.12	«Баўызланған Қозы күш, байлық, даналық, қүдирет,
REV.5.12	ҳүрмет, даңқ ҳәм алғыс-мақтаўды алыўға ылайықлы».
REV.5.13	Және мен аспандағы, жер жүзиндеги, жердиң астындағы ҳәм теңиздеги пүткил жаратылыстың, олардағы пүткил барлықтың былай деп қосық айтқанын еситтим:
REV.5.13	«Тахтта отырған ҳәм Қозы
REV.5.13	алғыс-мақтаўға, ҳүрметке, даңққа
REV.5.13	ҳәм қүдиретке мәңгиге ийе болсын!»
REV.5.14	Төрт мақлуқ: «Аўмийин!» деп жуўап берди, ал жигирма төрт ақсақал жерге жығылып табынды.
REV.6.1	Соңынан мен Қозының бекитилген жети мөрдиң бириншисин бузып ашқанын көрдим. Сонда төрт мақлуқтың бириниң гүлдирмаманың гүркирегенине уқсаған даўыс пенен: «Кел» дегенин еситтим. 
REV.6.2	Мен қарап, бир ақ атты көрдим. Аттың үстиндегиниң оқ жайы бар еди. Оған бир таж берилди. Ол жеңимпаз болып, және жеңиске ерисиўге атланды.
REV.6.3	Қозы бекитилген екинши мөрди бузып ашқанда, екинши мақлуқтың: «Кел» дегенин еситтим. 
REV.6.4	Сонда оттай қызыл бир ат шықты. Атқа мингенге адамлардың бир-бирин өлтириўи ушын, дүнья жүзиндеги парахатшылықты жоқ қылыў бийлиги берилди. Оған үлкен бир қылыш та берилди.
REV.6.5	Қозы бекитилген үшинши мөрди бузып ашқанда, үшинши мақлуқтың: «Кел» дегенин еситтим. Мен қарап, бир қара атты көрдим. Атқа мингенниң қолында пәлле тәрези бар еди. 
REV.6.6	Төрт мақлуқтың ортасынан шыққан бир даўыстың: «Бир күнлик ис ҳақыға бир қадақ бийдай ямаса үш қадақ арпа бериледи. Бирақ, зәйтүн майына ҳәм шарапқа зыян тийгизбе!» – дегенин еситтим.
REV.6.7	Қозы бекитилген төртинши мөрди бузып ашқанда, төртинши мақлуқтың: «Кел!» дегенин еситтим. 
REV.6.8	Мен қарап, ақшыл сур атты көрдим. Атқа мингенниң аты өлим болып, оның изинен биреў ерип киятыр еди. Бул – өлилер мәканы еди. Оларға қылыш, ашлық, жуқпалы аўырыўлар ҳәм жердеги жыртқыш ҳайўанлар менен адамларды өлтириў ушын, дүньяның төрттен бир бөлегиниң үстинен бийлик берилди.
REV.6.9	Қозы бекитилген бесинши мөрди бузып ашқанда, қурбанлық шалынатуғын орынның астында Қудайдың сөзи ҳәм өзлери айтқан гүўалықлары ушын өлтирилгенлердиң жанларын көрдим. 
REV.6.10	Олар бәлент даўыс пенен бақырып былай деди: «Мухаддес ҳәм ҳақыйқый Ийемиз! Сен енди қашан жер жүзинде жасайтуғынларды ҳүким етип, олардан төгилген қанымыз ушын өш аласаң?» 
REV.6.11	Сонда олардың ҳәр бирине ақ кийим берилип: «Сизлер сыяқлы өлтирилетуғын өзлериңиздей хызметшилердиң ҳәм туўысқанларыңыздың саны толық болғанға шекем аз-маз күтип турыңлар», – делинди.
REV.6.12	Қозы бекитилген алтыншы мөрди бузып ашқанда қарасам, жер күшли силкинип, қуяш қара жүннен тоқылған қаптай, ал ай толығы менен қан сыяқлы қып-қызыл болып кетти. 
REV.6.13	Ал аспандағы жулдызлар күшли самал себепли шайқалған әнжир ағашынан төгилген писпеген мийўелер сыяқлы жерге түсти. 
REV.6.14	Аспан болса, оралған қағаз сыяқлы жоқ болып кетти. Ҳәр бир таў ҳәм атаў орнынан көширилди.
REV.6.15	Сонда дүньяның патшалары, ҳәмелдарлары, әскербасылары, байлары, күшлилери, барлық қул ҳәм азат адамлары үңгирлер менен таўдағы жартаслар арасына жасырынды. 
REV.6.16	Олар таўлар ҳәм жартасларға жалынып: «Үстимизге қулап, тахтың үстинде Отырғаннан ҳәм Қозының ғәзебинен бизлерди жасыра гөриң! 
REV.6.17	Себеби олардың қәҳәрли ғәзебиниң күни келди, буған ким шыдай алады», – деди.
