GEN.1.1	Yakapde hikngä Anätutä kepkät yekäpkät yawän yiwikin. 
GEN.43.32	Tiwänä sike, Josepde gwenu inätä imike, notnä täkwäkge inätä yämike, Isip nanä Josepde yolune nakayingu inätä sikyämikin. Isip nanätä naxu Hibru nanäxät näningge mähe hikngä natäxakin. Ge unekänu nänangäsändo. Ile tiwän inäinä sikyämikin. 
GEN.43.33	Notnä uläkwäxu alakin using, yakap täpänetä ku wasekngä täpäne yäxawä, yiwitäke kukin. Yiwitäke kuwä, “Krismasninu ämbä natäxak?” yake, kawäkawän tahakin. 
GEN.43.34	Naxu sikyämikinu, päyänä täkwäkge inäinä yämikin. Tike teyä Bensaminde sikin gwenu, äminu 5-dä nänangäsä gwen sikin. Naxu naxälä näxäwik, wainkäyä naxälä tängopgin
GEN.44.1	Naxu napä puluwänä, Josepdä puyä äminäle kuhitde yiwixak täpä wepdäkän using inikut. “Naxu yäkngäne meyä kekngälukyämi dopäyä, moningäxäyä yäk mawu inäinäne kekngalukyämiyo. 
GEN.44.2	Tikengä silwa käpna ulapnä wasekngä täpäle yäk mawune moningu wit uhiwikge päkapgutkät kekngälukngämiyo,” yawän, inä Josepdä yakut using tahakut.
GEN.44.3	Kwepdätä tembänä hikngä gusilu akoxawän, Josepde puyä ämindä yäning yäpiwä, dongginä päke kukin. 
GEN.44.4	Taun teke kuwä, belakngä dolixawän, Josepdä puyä äminä inikut. “Äminu uläkwäxu yupsäng yäwaläke ku pänggänggänuke, using yäniyo. ‘Nindä ginde nomän tahana teyä, gindä ninde wäyi hikngä täknga inale hikngä tahaying? Bulämbam täpänale käwu kukäle inale täying? 
GEN.44.5	Käwu unggomune tängoxäwik, natändetdelu wepdä yiwixayingkäyä unggomune päxäwik yatapmänggaxunin. Ginu wäyi hikngä tahaying,’ yang yäniyo,” yang inikut.
GEN.44.6	Tiwän ku pänggänggänuke, wamu Josepdä yakut using yänikut. 
GEN.44.7	Tiwänä using yakin. “O bulämbam täpä, dasingge hikngä natäke nininggaläk? Ninu hiyäkän hikngä yäkamäng. Usingu dohikngä tahamäng. 
GEN.44.8	Moningu yäknginune dayipgumängu, Kenandä hipdu äwäkapna dayipguläk. Ge ‘Silva bä gol kukäle päying,’ yangu inale natäke nininggaläk? 
GEN.44.9	Ninu apumängu äminu täpätutä täkngä kakengu, täke tänguwä kungäxawän, äwä ninu dolämängu puyä ämin moyoyikale yiwitnim,” yang inikin.
GEN.44.10	“Täke un. U yäkaying using tiwik. Imindäka täkngä kakengu, uläpä näle puyä ämin moyoyi däkngaxawän, ginu täkwäkgu meyä dowäning,” yang yänikut. 
GEN.44.11	Yang yäniwän, yäkngä inäinä kewune yupsäng päkepu peke sikin. 
GEN.44.12	Sixawä Josepde puyä ämindä dayitäke kukut. Payänäle yäxunetä dayitäke kuhikangu, käp gomu Bensaminde yäxune kakut. 
GEN.44.13	Tiwän unin kake, meyä hikngä natäke, inä täwik wehekin. Tikengä yäkngä donggi tängäne päko peke, hipdu taunde kukin.
GEN.44.14	Josewu yotnäne yiwixawän, Judaxät notnä täkwäkälu “Asing tahana, ninde butayä äpmembä natäpik,” yake okopi päko, Josepde kayine pimakin.
GEN.44.15	Tiwänä Josepdä using yänikut. “Ginu käpna kukäle inale täying? ‘Natändetdelu wepdä yiwixayingunin yatäpmänggaxunin,’ yangu donatäke tahaying?” yang yänikut.
GEN.44.16	Yäniwän, Judatä yäkwäle wamu using inikut. “O bulämbam täpänin, ‘Gutongä dolahamäng,’ yangu dasing ganinim? Anätutä wäyininu aläpän tapmäk. Nin äwä käp täkngä kaying täpä yangu undä puyä ämin moyoyika däknganim,” yang inikut.
GEN.44.17	Tiwänä Josepdä using yakut. “Usingu dohikngä pewa pahaning. Käpna kukäle täk täpätäkän näle puyä ämin moyoyi däkngake yiwixawän, ginu nansäle bänip kwikwik täkngane kunong,” yang yänikut.
GEN.44.18	Tiwän Judatä täku, Josepdä yiwikulune inälängän yiwike, using inikut. “O bulämbam täpänin, wamu täkembä ganiwit? Kingkät gäxälu bulämbam täpäyat. Usäkän. Tike nä puyä ämindatä yäwa, tokngä manatängamiyo. 
GEN.44.19	Tupä ninu using ninikuläk. ‘Ginu nansä ayiwänak? Tiwän notsä täpätu käyä?’ yang niniwi, 
GEN.44.20	nindä using ganikumäng. ‘Hii, naninu äminäläke alikengä, ulapninu wasekngä täpä towikut. Ngä undan yiwälak. Mingätä wäwi täpäyaläkän dukngikut. Dukngikutnä payänä axumgut. Tixawän wawakngä wasekngä täpätäkän yiwixak. Uläpä naninde bänip,’ yang ganikumäng.
GEN.44.21	“Tiwän gätä using ninikuläk. ‘Aläkepnong tiwän käwit,’ yang niniwi, 
GEN.44.22	nindä using ganikumäng, o bulämbam täpänin. ‘Wawakdäkä uläpä nanä teke epnangäsändo, inale aleke epänu, nanä axupixunin,’ yang ganikumäng.
GEN.44.23	“Tiwändeyä gätä puyä äminda using ninikuläk. ‘Ulapsä wasekngä täpä doläkepä, ginde nomu hipdu dondandupit,’ yang ninikuläk. 
GEN.44.24	Tiwänä naninde hipdu kokengu, wamu uninikuläk usinggän inikumäng.
GEN.44.25	“Tiwänä nandä using yakut. ‘Hipdu puku naxu uhinong,’ yang niniwän, 
GEN.44.26	nindä using yakumäng. ‘Ninu dowukunim, inale ulapninu wasekngä täpäxälu dowukuna, äminu uläpätä ninde nomu dohikngä nindupikge yakut. Tike ulapninu aapänu, täke äpme pukunim,’ yang inikumäng.
GEN.44.27	“Tiwänä nanindä using ninikut. ‘Ginu anatäxaying. Mängätnatä wawakngä täpäyaläkän hikngä dukngikut. 
GEN.44.28	Täpätu ahopikut. Tiwän nä doxakum. Dasingga? Kälap tukgämbä tänguke yahandekin? 
GEN.44.29	Tiwän äpmanu aläpäxäyä aläke kunggäwä, kahit bänäkängän meyä päpänu, gindä näle butayä bulämbam hikngä naminingunin. Nä äminäläke alit. Ge nä butayä uläkngatä nuwän kupilunin,’ yang ninikut.
GEN.44.30+GEN.44.31	“Bulämbam täpä, nana wawakdäkä aläpä näxälu doxuta kakengu, axupixunin, inale wawakdäkä aläpä nandäne bäniyä hikngä. Naninu äminäläke hikngä damänsimu alik. Ge wawakdäkä aläpä ninkälu hipdu doxuna, nindä naninde butayä bulämbam hikngä iminimunin, tiwänu axupixunin. 
GEN.44.32	Tiwänä unetäkänu, nätä wamu kitokngä hikngä täkngatu nanu using inikum. ‘Bensaminu nina äpme kang yiwit. Ge doläkapukengu, täpduk täpduxu yiwilu, meyä uläknga ninalekän yiwik,’ yang inikum.
GEN.44.33	“Ge using kakengu, nä Bensaminde tangge täkembä gäle puyä ämin moyoyikale ane yiwixawa, wawakdäkä aläpä payänä täkwäkät hipdu kopning? 
GEN.44.34	Tike wawakdäkä aläpä doxuwänu, nä nanale hipdu doxuwit, inale meyä nanale apik täknga kawitde mähe natäxat,” yang inikut, Judatän.
GEN.45.1	Josewu butayä hikngä natäke, kwänäm titnangäsä hikngä tikin. Tiwän puyä äminä Isip nanä “Ginu undä hikngä yolu anggwenu teke epuxunong,” yang yänikut. Inale puyä äminä une yiwixawä, notnä “Nä Josep,” yang yäniwikge donatäpgut. Tike inäkän yiwixawäyä yäniwikge natäput. 
GEN.45.2	Ge puyä äminu teke epuxawäyä, Josewu kwänämu bulämbam hikngä yangotixawän, Isip nanä natäxawä, kingge yolune yiwäxaying äminkäyä “Josewu using tik,” yang ku yawä natäpgin.
GEN.45.3	Tixawänä Josepdä notnä täkwäxu “Nä Josep. Nana undan ayiwänak?” yang yänikut. Tiwänä notnä täkwäxu anaxälake, yäkwäle wamu doinikin.
GEN.45.4	Tiwänä Josepdä notnä using yänikut. “Ane inälängän hikngä apnong,” yawän, apgin. Tiwänä using yänikut. “Nä notsä Josep, tupä gindä Isip nanäle yämä uhikinunin. 
GEN.45.5	Tiwändeyä äpmanu näle u tahakinde, bänipsäxätanu meyä mawänong. Bä tokngä täkngatu gihäle manatäpnong. Inale Anätutä ämin gatangyämikge natäke tewän, nätä gämäxu apgum. 
GEN.45.6	Nak takgä yiwixätna, krismasu gwenalä apuxunggak. Tiwän nak puyä dowahake dowäke, krismasu 5-käyä äpme yiwitnim. 
GEN.45.7	Anätutä kahitnä inätä hikngä täkngatune gatängdamän, gindä yiwike, bapuha mahande sakngälawikge natäke tewän, nätä gämäxu apgum.
GEN.45.8	“Nä yolu awomune gindä dolahawä apgum. Tike Anätutä tewän apgum. Tiwänä Anätutä napmämbän, Isipde kingge natändetdet inixäwik, kingge yolune yiwixaying äminunin dayingyiwäxäwik, Isipde kuhiläle yiwixat.
GEN.45.9	Ge ginu yupsäng ko, nana using ininong. ‘Nä Josep dika wawakgä wamu aläknga tewa apunggak. Anätutä tahawän Isip kewu awomde bulämbam täpäle yiwixat. Ge mayiwiyo. Tike näle yupsäng hikngä epso. 
GEN.45.10	Päkepu nina wäkngasim, distrik Gosenu kewu uwomune yiwiläk. Ge wawakga, bapuka, towiyä gämända, sipsipda, hängä täpäka yangu ane päkepu peke yiwiläk. 
GEN.45.11	Äminbamu undä nakge dapmäxawä, krismasu 5 apixunin. Ge ane epnong. Tiwän nätä dandung yiwit. Tike dondanduyiwa, ginu undä nakge dapnäng,’ yak wawakga Josepdän,’ yang ininong.
GEN.45.12	“Nä Josepdä daninggat. Ginu undä nä nandukengu, anatäpnangäsä. Bensamin, gä ulapna hikngä. Gäxäyä näle anatäpnagäsä. 
GEN.45.13	Ge ko nana ahikngä ininong. ‘Josewu kantili Isipkätanu, umanä bulämbam hikngä,’ yang inike, hängä ane inaka dayiyinggexät inike, yupsäng täkepnong,” yang yänikut.
GEN.45.14	Yänikengä Bensaminu täku betake, kwänämu initikut. Tiwän yäkwälexäyä Bensamindä betaxäwik initikut. 
GEN.45.15	Tiwän Josepdä notnä undä yänitixäwik, kis pahangyämitäke kukut. Tiwänä notnätä wamu une inikin.
GEN.45.16	Tiwänä “Josepde notnä aapuying,” yangu kingge yolune yatäke kuwä natäke, king äwä puyä äminäle kuhiläle yiwixaying yanggä täke hikngä natäpgin. 
GEN.45.17	Tiwänä kinggä Josewu using inikut. “Notda using yäniyo. ‘Wilu donggihäne päko peke, Kenande hipdu kunong. 
GEN.45.18	Ku nansä, gihäxät nanä yangu undä ane näle päkapnong. Tiwän Isipde kewu nomän hikngä womdu dama, une yiwitning. Yiwike pahawä, naxu nomängän alaxawä päke näning,’ yang yäniyo.”
GEN.45.19	“Yänike unetäkänu using tahaningge yäniyo. ‘Engangsä, mängätsä, nansä yang päkapningge, kalbimä bulämbamu Isip nanätäne gwenduyi päke kunong. 
GEN.45.20	Hängä täpähäle manatäpnong, inale hängä Isip nanä gwälamgwälamu äpme damit,’ yang yäniyo,” yang inikut, kinggän.
GEN.45.21	Tiwänä Israelde wawaxu using tahakin. Kinggä yakut using, Josepdä notnäle kal bimä bulämbamu gwenduyi yämike, naxu kahitde näninggexät yämikut. 
GEN.45.22	Unetäkänu täwik käluxu notnäle kwämbätdu kwämbätdu yämikut. Tikengä Bensaminde täwik käluxu 5 äwä moningu 300 silwa yang imikut. 
GEN.45.23	Tike nanäle päku iminingge using pekut: Hängä gwälamgwälamu Isip nanä donggi 10-une päko peke, donggixät inäle pengämikut. Tikengä wit, bret, äwä naxu kahitde näpikge yangu donggi mängälä 10-une päko peke, donggixät inäle pengämikut. 
GEN.45.24	Pengämike notnä yäning yäpiwän kuningge tahaxawä, using yänikut. “Kahit täpäne täkungu, mayanganinong,” yang yänikut.
GEN.45.25	Tiwänä notnä täkwäxu Isip teke, nanä Jekopde Kenan kopgin. 
GEN.45.26	Ko nanä using inikin. “Josewu doxumgut. Ayiwäxak. Tiwän unetäkänu äpmanu Isipde kuhiläle yiwäxak,” yang inikin. Unin yawä, hatnäxäwik, “Hiyäkän yäkaying,” yangu donatäpgut. 
GEN.45.27	Tiwän wamu Josepdä u yänikulu undä inikin. Tiwänä kalbimä bulämbamu Josepdä yämikut gwengwenunin dayike, nanäle bäniwu tangäne yiwikut.
GEN.45.28	Tikengä using yakut. “Hiyäkände hikngä. Wawaknga Josewu ayiwäxak. Ge pukuke kakengä kupit,” yang yakut.
GEN.46.1	Tiwän Israelu hängä täpänä undä päke, yotnä teke kukut. Kuhikangä Berseba kundopgut. Une kundoke, nanäle Anätunäle kälawu sipmäke hawän yähäkukin.
GEN.46.2	Tiwän kupiläne Anätutä tahawän, dambu bimä tikut. Tixawän Anätutä “Jekop, Jekop” yang iniwän, Israeldä “We! Nä ane,” yang inikut.
GEN.46.3	Iniwän Anätutä using yakut. “Nä Anätu. Bapukale Anätu, nä unin. Gä Isip kuwiläkge manaxälayo. Isipkätanu nätä äpme pahawa, gäle bapuka sakngälawän, kantri inulung hikngä dakngawän yiwitning. 
GEN.46.4	Isiwu gäxät pukunimunin. Tikengä hipdu Kenanu päkakopit. Gä Josepkät yiwixäwik kupiyä, itä kwayiwik. Ge Isip kuwiläkge, manaxälayo,” yang inikut, Anätutän.
GEN.46.5	Tiwän Jekowu Berseba teke kukut. Wawakngä uläkwäkgä Jekop, mängätnä, engangä yangu kalbimä inulungu kinggä pewän kukinu unggwenggwenkätan päko peke, päke kukin. 
GEN.46.6	Unetäkänu kälawu äminsak äwa hängä täpänä Kenan päkin yangu undä unuxät pake kukin. 
GEN.46.7	Jekopdä ixät nanä undä päke, Isip kukut. Wawakngä, yäpanä, bapunä wäwi, bapunä mängälä yang unda päke kukut.
GEN.46.8	Jekopde wawakngä, bapunä yangu Isip kukinu umanä using.
GEN.46.8	Yakap täpä Ruben. 
GEN.46.9	Tiwänu Rubende wawaxu Hanok, Palu, Hesron, Karmi yang. 
GEN.46.10	Tiwänu Simeonde wawaxu Jemuel, Jamin, Ohat, Jakin, Sohar Saul yang. Saulde mingä Kenan nanä. 
GEN.46.11	Tiwänu Livaile wawaxu Gerson, Kohat, Merari yang. 
GEN.46.12	Tiwänu Judale wawaxu Er, Onan, Sela, Peres, Sera yang. Tiwändeyä Erkät Onankälu Kenan kumgumäläk. Judale wawaxu Peres, uläpäle wawaxu Hesron, Hamul yang. 
GEN.46.13	Tiwänu Isakarde wawaxu Tola, Pua, Jasup, Simron yang. 
GEN.46.14	Tiwänu Sebulunde wawaxu Seret, Elon, Jalel yang. 
GEN.46.15	Jekopde wawaxu uläkwaxu, mängätnä Lea itä Mesopotemia yiwixäwik dukngikut. Yäpanä täpätuxäyä andukngikut. Umanä Daina. Jekopde mängälu Leatä dukngikutkät bapunä uläkwäkälu unekänu 33.
GEN.46.16	Tiwänu Gatde wawaxu Sifion, Hagi, Suni, Esbon, Eri, Arodi, Areli yang. 
GEN.46.17	Tiwänu Aserde wawaxu Imna, Isva, Isvi, Beria yang. Tiwänä haminä Sera. Aserde wawaxu Beria, uläpäle wawaxu Heber, Malkiel yang. 
GEN.46.18	Gat Aser yangu, Jekopkät Silpaxätde wawak. Silpa uläpä Labandä yäpanä Leale puyä äminäle imikulunin. Jekopkät Silpaxätdä dukngikumäläkät bapunä uläkwäkälu unekänu 16.
GEN.46.19	Jekopde mängälu Resel ile wawaxu Josep, Bensamin yang. 
GEN.46.20	Josepde mängälu Asenatdä wawakngä Isip dukngikulu Manase, Epraim yang. Asenalu Potipera Onde prisu uläpäle yäpa. 
GEN.46.21	Tiwänu Bensaminde wawaxu Bela, Beker, Asbel, Gera, Naman, Ehi, Ros, Mupim, Hupim, Art yang. 
GEN.46.22	Jekopde mängälu Reseldä dukngikutkät bapunä uläkwäkälu unekänu 14.
GEN.46.23	Tiwänu Dande wawaxu Husim. 
GEN.46.24	Tiwänu Naptalile wawaxu Jasel, Guni, Jeser, Silem yang. 
GEN.46.25	Dan, Naptali yangu Jekopkät Bilhaxätde wawak. Bilha uläpä Labandä yäpanä Reselde puyä äminäle imikulunin. Jekopkät Bilhaxätdä dukngikumäläkät bapunä uläkwäkälu unekänu 7.
GEN.46.26	Inä Jekopde wawak äwä bapunä yangu Kenan teke Isip kukinu unekänu 66. Wawakngäle mängät täkwäkäyä using kukin, tiwändeyä unuxälu doxendekin. 
GEN.46.27	Tike Josepde wawaxu Isip alakumäläxu uläpäyatkät Jekopde wawak, bapunä Kenan teke Isip kukinu uläkwäkälu unekänu 70.
GEN.46.28	Isiwu axundokengu, Jekopdä Josewu Gosen apu dayipikge natäke, Juda gämäk iningyäpiwän, Josepde kukut. Tiwänä Jekop yänggwälu Gosen kundoxawä, 
GEN.46.29	Josepkäyä Gosen kuwikge kalisu inäne gwenu tändäkngake, täko yiwike, nanä Israel kawikge kukut. Ku nanä kake täku betaxäwik, belakngä initikut.
GEN.46.30	Tiwänä nanätä Josewu using inikut. “Nina kayitä angganduke, ‘Käluk yiwixaläk,’ yangu anatäxat. Ge äpmanu axupitdekän,” yang inikut.
GEN.46.31	Tiwänä Josepdä notnä, nanä, äwä nanäxät nanä yangu using yänikut. “Kingu using ku iniwit. ‘Notna, nana, äwä nanaxät nanä yangu Kenan kewu uwomune yiwixayingu näle aapuying. 
GEN.46.32	Äminu uläkwäxu sipsip, towiyä gämän yang daying yiwäxayingunin. Ngä sipsipnä, towiyä gämänä, äwä hängä täpänä yangu undä päkapuying,’ yang iniwit. 
GEN.46.33	Ge kinggä yawän kuwä, ‘Ginu ina puyä bimä pahakayingunin?’ yang daniwänu, using ininong. 
GEN.46.34	‘O bulämbam täpänin, ninu tupä bapunindä pahakakin using pahakamängunin. Wawakdäkänetä sipsip, towiyä gämän yang daying yiwixakumängä, using daying yiwäxamäng,’ yang ininong. Using iniwä, kinggä Gosen kewu awomune äpme pewän yiwitning, inale Isip nanä sipsip dayingyiwäxaying äminde mähe natäxayingunin,” yang yänikut, Josepdän.
GEN.47.1+GEN.47.2	Tiwänä Josepdä notnä 5 tuwänguwän, Gosen kep womu teke, kingge kukin. Kuke Josepdä kingu using inikut. “O king, nana, notna yangu sipsipnä, towiyä gämänä, äwä hängä täpänä undä päke, Kenanu aleke apuhika, Gosen kep womune aapuyingä undan yiwayak,” yang inikut. Inikengä notnä uläkwäxu yawän, kingge kayine kopgin.
GEN.47.3	Tiwän kinggä using yänikut. “Ginu ina puyä bimä pahakayingunin?” yang yänikut.
GEN.47.3	Yäniwän yäkwäle wamu using yakin. “O bulämbam täpänin, ninu tupä bapunindä pahakakin usinggän, sipsip dayingyiwäxamängunin,” yang inikin.
GEN.47.4	Unetäkänu using inikin. “Kenankätanu naxu wenä hikngä tiwän, sipsipdä nänangäsäxäyä wenä tinggäwä, mätekngä womsimu ane yiwitnimde apumäng. Ge gätä täkembä yawi, ninu Gosen yiwitnim?” yang inikin.
GEN.47.5+GEN.47.6	Tiwänä kinggä Josewu using inikut. “Isip kewu awomu gätäne. Nangga äwä notda yangu gäle apuying. Tiwän Isipkätanu kewu nomän hikngä Gosendän. Ge une yawi yiwitnong.
GEN.47.5+GEN.47.6	“Tiwänu notda uläkwäkätanu, iminimindäka kälawu nomängän daying yiwixayingä kakengu, u äminuningän tuwänguyo. Tiwän nätäne itä daying yiwitining,” yang inikut.
GEN.47.7	Tiwänä Josepdä nanä Jekowu kingge kayine initäkapän, Jekopdä kingu wam gwaläng imikut. 
GEN.47.8	Imän kinggä “Gä krismasda dasingdasing?” yawän, 
GEN.47.9	using inikut. “Kewu anggomune tihikuxäwik, krismasna 130 yiwixat. Tiwän u tihikukumu meyä bulak tihikukum. Bapunatä tihikuxäwixu, krismasu meyä ayiwikin. Tike näle krismasu mätekngä,” yang inikut. 
GEN.47.10	Tikengä wam gwalängu hipdu imixäwixu, aepuxukut.
GEN.47.11	Tiwänä kinggä inikut using, Josepdä nanä, notnä yangu Ramses Distrikätanu
GEN.47.12	Unetäkänu Josepdä nanä, notnä, nanäxät nanä, äwä engang yangge natäke, naxu ämin apmäng yämixawän, näxäwik yiwikin.
GEN.47.13	Isip nanä, Kenan nanä yangu naxu wenä hikngä tinggawän, takgä yiwixäwä, kitokngänä wenä tikin. 
GEN.47.14	Tiwänu moningu Isip nanätäne awä Kenan nanätäne yangu undä hikngä nakge tahaxäwik, Josepde imä päke, kingge yolune päku pekut. 
GEN.47.15	Isip nanä Kenan nanä yangu moningä undä mumbä pulukgäwä, Isip nanä undätä apu, Josewu using inikin. “Moninginu undä amutna puluying. Tiwändeyä gä inale nindung yiwixawi kumnangge tikamäng? Naxu niming,” yang inikin.
GEN.47.16	Tiwänä Josepdä using yänikut. “Moningsä awulukge tiwänu, kälawu alowikayingunin päkapu namixawä, yäkwäle naxu äpme damit,” yang yänikut. 
GEN.47.17	Yäniwän sipsip, meme, towiyä gämän, hos, äwä donggi yangu undä päkapu imikin. Tixawän yäkwäle nak yämän näxäwik, yiwixawä krismasu unggwenu apgut.
GEN.47.18	Krismasu unggwenu apuxuwän puluwänä, hipdu apu Josewu using inikin. “Bulämbam täpänin, ‘Naxu nimiyo,’ yangu dongganinangäsä teyä, moningninu wenä. Tiwän kälawu äminsakäyä gäle undä anggamikumäng. Ge äpmanu hängä täpätu nakge gaminangäsä wenä. Tike nihäxät kepninkätgän. 
GEN.47.19	Gä inale nindung yiwixawi kungäxätna, kepninu moyo yiwitnanggenggak? Nihäxät kepninkät päxäwik, naxu nimiyo. Tiwän ninu kingge puyä ämin moyoyi däkngana, itä nihä äwä kepnin yangu towikngä däkngawik. Nak salin nimiyo. Tiwän unin pahana, kewu wäyi doliwik. Tiwän bulä alawä, unin päke nake, doxumnim,” yang inikin.
GEN.47.20	Naxu wenä hikngä tiwän, Isip nanä undä kepnä pewä, Josepdä kewu undä kingge umande uhiwän, kinggä päke, towikngä däkngakut. 
GEN.47.21	Josepdä kepnä uhiwän, äminu Isip nanä undä hikngä kingge puyä ämin moyoyi däkngakin. 
GEN.47.22	Tike prisu moningu kinggä iwikge yämixawän, naxu uhingnäkakin. Ge nakge dondapmäke, kepnä dowewä päkut.
GEN.47.23	Tiwänä Josepdä äminu Isip nanä using yänikut. “Äpmanu kingge umande kepsä, gihä yangu auhinggat. Ge nak salinu anin päku, puyäne pahanong. 
GEN.47.24	Itä bulä alawä päkengu, äupuke 1-u kingge imixäwik, 4 gihäle penong. Tikengu gihäle peningune nanä käwutdu sakngäyile pexäwik, käwutdu gihä, gihäxät nanä, äwä engangsä yang näningge, penong,” yang yänikut.
GEN.47.25	Yäniwän using inikin. “O bulämbam täpänin, ninu axumnangäsä teyä, gätä ilakngä ninduke, gatängnimitäkapunggawi, käluk yiwitnanggekamäng. Ge kingge puyä ämin moyoyile äpme yiwitnim,” yang inikin.
GEN.47.26	Tiwän Josepdä mämä wamu using tekut. “Isipkätanu kewu kinggänekän. Ge äminu undä naxu puyäne nanä päkengu, äupuke, 1-u kingge imixäwik, 4 inäle pening.” Mämä wamu uläknga äpmankäyä using yiwäxak. Kinggä äminbamde kewu awäke teyä, prisde kewu dowäkut.
GEN.47.27	Israel yänggwälu Isip päku, Gosen kep womune yiwikin. Une yiwixäwik, kepnä pätäke kuke, engangu dukngixawä, meyä sakngälakut.
GEN.47.28	Jekowu Isip yiwixawän, krismasu 17 apuxukut. Unekänu krismasnä 147 yiwikut. 
GEN.47.29+GEN.47.30	Täpduxu axupikge däpi tiwän, wawakngä Josewu yawän apän, using inikut. “Gätä ilakngä nanduxaläkngä kakengu, näle natäke, gwälam hikngä tahaxäwik, wamu ganiwilu kätakga bakanale kematde täxäwik, ‘Usingu äpme tahawit,’ yangu hiyäkände hikngä naniyo. Nätä kupa, Isipkätanu maxwayinong. Tike nätä kungäke bapunale kuwa, gupna Isipdä täke, bapuna kwayikin womune täku kwayinong,” yang inikut, Josewun.
GEN.47.29+GEN.47.30	Iniwän “Usingu äpme tahawit,” yang inikut.
GEN.47.31	Tiwänä Jekopdä “Anätule umande hiyäkände hikngä naniyo,” yang iniwän, Anätule umande hiyäkände hikngä inikut. Tiwän Israelu däme däpmunä pekgak womune täpu temäke, Anätule eu wam yakut.
GEN.48.1	Täpduxu womdu yiwihikangä, ämindä Josewu using inikin. “Nangga amalik,” yang iniwä, Josepdä wawakngä Manase Epraim yang yänipäke, nanäle kukut.
GEN.48.2	Kuwän “Wawakga gäle aapuk,” yawä, Israelu awekulu, kwätän hikngä tahake, enake yiwikut.
GEN.48.3	Tikengä Josewu using inikut. “Nä Kenankätanu taunu Lus unggäpangune
GEN.48.4	‘Nätä pahawa, gä engangu naxälä towimbi, meyä sakngälawik. Nätä pahawa, bapuka kantrinä inätä täke yiwitning. Tiwän kewu awomu, bapukale tupäkände äpme yämit,’ yang nanikut,” yang inikut, Josewun.
GEN.48.5	Unetäkanu using inikut. “Nä ane gäle doapuxäwa, wawakga Isip alakumäläxu aläpäyalu nina wawak däkngakamäläk. Ruben Simeon yang towikum bimä, Epraim, Manase yangkäyä wawaknga däkgnakamäläk. 
GEN.48.6	Tiwän engangu Epraim, Manase yangge mehene towimbiläxu, gikale. Tiwän näle wawakgä kewu Kenan uwomune päningu, Epraim, Manase yangkäyä awähimäläk. Tike ulapnä ile mehene alatningu payänäle kewune yiwitning. 
GEN.48.7	Wamu u yänggalu, mingga Reselde natäke yänggat. Kewu Mesopotemia uwom teke, Kenan kewu uwomune taunu Epratde wäkngäsim kuxäwik, Reselu kumgut. Tiwän butayä hikngä natäke, Epratde kahit kwayimune kwayikum,” yang inikut. (Epralu, äpmanu Betlehem yang inikaying.)
GEN.48.8	Tikengä Israeldä Josepde wawak dayike, “Aläpäyalu imin?” yang iniwän, 
GEN.48.9	Josepdä yäkwäle wamu using inikut. “Aläpäyalu wawaknga Anätutä ane Isip yiwixäwa namikulunin,” yang inikut.
GEN.48.9	Tiwän “Näle päkapso. Tiwän wam gwaläng yämit,” yang inikut.
GEN.48.10	Israelu äminäläke tiwän, kayi kupilä tiwä, nomänu dondayipgut. Ge Josepdä wawakngä yänipäkapän, Israeldä bapunä päku betake, kis tahangyämikut. 
GEN.48.11	Betake Josewu using inikut. “Gäle nomu dombänggandupit yang natäxakum deyä, Anätutä pahawän, gikakänu donggandut. Tike wawakgaxät undä dandupa yiwimäng,” yang inikut.
GEN.48.12	Tiwäna Josepdä wawakngä Israelde bälängäne wäkngäsim yiwikumäläxu yäniwän, kwayimune päku yiwixawät, Josepdä sopäsopä nanäle nomune puke, däme kepkätan täpu temgut.
GEN.48.13	Josepde wawaxu uläpäyalu, yakap täpä Manase, tiwän ulapnä Epraim. Ge Josepdä Manase kätakngä dambunä hamändä täke, Epraimu kätakngä hiyänä hamändä täke, Israelde yänipäkapän, Manase Israelde hiyä käwut yiwän, Epraimu Israelde dambu käwut yiwikut. 
GEN.48.14	Tiwändeyä Israeldä kätakngä hiyä hamändä Epraimde kuhilune täke, kätakngä dambu hamändä Manasele kuhilune täkut. Manasetä gämäk alakut deyä, kätakngä hiyä hamändä doläkut.
GEN.48.15	Tixäwik wam gwalängu using yämikut.
GEN.48.15	“Bapuna Abraham, nana Aisak yangu Anätule wam täwake, ile gepbine yiwikumäläk.
GEN.48.15	Anätu uläpätä yiwikyiwiknga yiwitäkapulu, iwikge nandung yiwik.
GEN.48.16	Meyä näle apginu nä axumnangäsä teyä, itä ängela däkngake gatängamixawän yiwitäkaput.
GEN.48.16	Ge Anätu uläpätä wakwakdäkä aläpäyalu bänip kwikwixu äpme yämik.
GEN.48.16	Ämindä wawakdäkä aläpäyatde uman yakengu, nina, bapuna Abraham, äwä nana Aisak yangge dombulämdäning.
GEN.48.16	Tiwän wawakdäkä aläpäyalu engangu äpme towimbät, meyä sakngälawik, kewu anggomunen,” yang yakut, Jekopdän.
GEN.48.17	Nanätä kätakngä hiyä hamändä Epraimde kuhit täpän kake, Josepdä “Uhamänu Manasele kuhit tänangäsä tahanggak?” yang natäke, nanäle kätaxu uhamänu Manasele kuhiläne täku tewikge täxäwik, 
GEN.48.18	using inikut. “Nan, usingundo. Yakawu aläpänin. Ge kätakga hiyä hamändä ile kuhit täyo,” yang inikut.
