GEN.1.1	Худа һәммидин бурун пүтүн аләмни яратти. 
1CO.2.2	Чүнки араңларда болған вақтимда пәқәт Әйса Мәсиһ вә Униң чапрас яғачқа миқланғанлиғидин башқа бир нәрсә демәсликни қарар қилған едим. 
1CO.2.3	Силәрниң йениң­ларға барғинимда, аҗизлиғимдин бу вәзипини қандақ орунлармән, дәп қорқуп, һәтта титрәп кәткән едим. 
1CO.2.4	Мән силәргә Хуш Хәвәр йәткү­зүп, тәлим бәргинимдә, инсанлар дана дәп һесаплайдиған, силәрни қайил қилалайдиған сөзләрни ишләтмидим. Лекин Муқәддәс Роһ Өзиниң күч-қудритини көрситип, мән йәткүзгән Хуш Хәвәрниң һәқиқәтән Худадин кәлгәнлиги һәққидә силәргә ишәнч бәрди. 
1CO.2.5	Бундақ қилиштики мәхситим, ишәнчиңлар инсанларниң даналиғиға әмәс, бәлки Худаниң күч-қудритигә асаслансун дегәндин ибарәт еди. 
1CO.2.6	Әлвәттә, Әйса Мәсиһкә ишәнгүчиләр 
1CO.2.7	Әксичә Худаниң инсан­ларға бурун ашкарилимиған даналиғидур. Бу даналиқни Худа дунияни яритиштин илгири бизниң асмандики шан-шәрәпкә еришишимиз үчүн алдин-ала бәлгүлигән. 
1CO.2.8	Бу даналиқни бу дунияниң һоқуқдарли­ридин һеч қайсиси чүшинип йәтмиди. Чүшинип йәткән болсиди, улуқлуқниң Егиси болған Рәббимизни чапрас яғачқа миқлимиған болатти. 
1CO.2.9	Һалбуки, Муқәддәс Язмиларда йезилғинидәк: 
1CO.2.9	«Худани сөйгәнләргә Худаниң тәйярлиғанлири 
1CO.2.9	Дәл һеч қандақ көз көрүп бақмиған, 
1CO.2.9	Һеч қандақ қулақ аңлап бақмиған, 
1CO.2.9	Һеч қандақ адәм ойлап бақмиған нәрсиләрдур». 
1CO.2.10	Лекин Худа бу сирларни бизгә Муқәддәс Роһ арқилиқ ашкари­лиди. Чүнки Муқәддәс Роһ һәммә ишни, һәтта Худаниң чоңқур ой-пикирлириниму билиду. 
1CO.2.11	Бир адәмниң қәлбидики ойлирини шу адәмдин башқа һеч ким биләлмигинидәк, Худаниң қәлбидики ойлириниму Худаниң Роһидин башқа һеч ким биләлмәйду. 
1CO.2.12	Биз болсақ бу дунияниң даналиғини әмәс, бәлки Худаниң Муқәддәс Роһини қобул қилдуқ. Шуңа биз Худаниң бизгә мәртлик билән ата қилған меһир-шәпқитини чүшинәләймиз. 
1CO.2.13	Бу меһир-шәпқәт тоғрисида сөзлигинимиздә, дуниядики даналар­дин үгәнгән сөзләрни әмәс, бәлки Муқәддәс Роһ арқилиқ үгәнгән сөзләрни ишлитимиз. Биз бундақ сөзләр билән Худадин кәлгән һәқиқәт­ләрни чүшәндүримиз. 
1CO.2.14	Лекин қәлбидә Худаниң Роһи болми­ған кишиләр Худаниң Роһи ата қилған бу һәқиқәтләрни қобул қилал­майду, шундақла бу ишлар уларға бемәна туюлиду. Бундақ кишиләр бу ишларни чүшинәлмәйду. Чүнки бу ишларни пәқәт Худаниң Роһиниң ярдими арқилиқла чүшәнгили болиду. 
1CO.2.15	Қәлбидә Худаниң Роһи бар болған киши һәммә ишқа баһа берәләйду. Лекин униңға қәлбидә Худаниң Роһи болмиған һеч қандақ киши баһа берәлмәйду. 
1CO.2.16	Муқәддәс Язмиларда мундақ йезилған: 
1CO.2.16	«Пәрвәрдигарниң ой-пикирлирини ким биләлисун? 
1CO.2.16	Униңға ким йол көрситәлисун?» 
1CO.2.16	Лекин биз болсақ, Худаниң ой-пикирлирини чүшинәләймиз. Чүнки бизниң ой-пикримиз Әйса Мәсиһниңкигә охшаштур. 
1CO.3.1	Қериндашлар, мән араңларда болған чеғимда, силәргә Муқәддәс Роһниң йетәкчилигидә яшаватқанларға тәлим бәргәндәк тәлим берәлмидим. Әксичә силәргә гунаниң илкидә яшаватқанларға яки ишәнч җәһәттә худди бовақларға охшаш адәмләргә сөзлигәндәк сөзләшкә мәҗбур болдум. 
1CO.3.2	Мән силәргә бәргән тәлим чоңларниң озуғи әмәс, бәлки у худди бовақлар ичидиған сүткә охшайду. Бундақ қилишимдики сәвәп, силәр жирик йемәкликни йәләлмәттиңлар, һазирму йәләлмәйватисиләр. 
1CO.3.3	Чүнки силәр техичә гунаниң илкидә яшаватисиләр. Араңлардики көрәлмәслик вә җедәл-маҗраларниң болуши буни испатлимамду? Бу йәнә силәрниң Әйса Мәсиһкә мәнсүп болмиған кишиләрдәк яшаватқиниңларни көрсәтмәмду? 
1CO.3.4	Бириңлар: «Мән Павлус тәрәпдари», йәнә бириңлар: «Мән Аполлос тәрәпдари» десәңлар, Әйса Мәсиһкә ишәнмигән кишиләрдин немә пәрқиңлар болсун? 
1CO.3.5	Аполлос яки мәнки Павлус силәрниң бөлүнүшүңларға сәвәп болғи­дәк муһим кишиләрдин әмәсмиз. Биз пәқәт Худа йолида силәрни Рәббимизгә ишинишкә башлайдиған хизмәткарлармиз. Рәббимиз һәр биримизгә бирдин вәзипә бәргән. 
1CO.3.6	Мән силәргә Хуш Хәвәр йәткүзүш билән ишәнч уруғини теридим, Аполлос силәргә тәлим бериш арқилиқ уни суғарди, бирақ қәлбиңлардики уруқни өстүргүчи йәнила Худадур. 
1CO.3.7	Демәк, муһими териғучи яки суғарғучи әмәс, бәлки уни өстүргүчи Худадур. Чүнки пәқәт Худала силәрни ишәнч җәһәттә пишип йетилдүрәләйду. 
1CO.3.8	Териғучи билән суғарғучиниң иши өз-ара маслашқан болуп, иккисиниң мәхсити бирдур вә һәр иккиси қилған әҗригә яриша Худаниң мукапитиға еришиду. 
1CO.3.9	Биз иккимиз Худа үчүн ишләйдиған хизмәтдашлар, силәр болсаңлар гоя биз ишләватқан, Худаға мәнсүп болған етизға охшайсиләр. 
1CO.3.9	Шундақла силәр йәнә биз арқилиқ селиниватқан Худаниң имари­тигә охшайсиләр. 
1CO.3.10	Мән Худа маңа ата қилған меһир-шәпқәт билән бу Хуш Хәвәрни йәткүзүш арқилиқ бу имарәтниң һулини худди бир уста қурулушчидәк қойдум. Башқилар силәргә тәлим бериш арқилиқ бу һулниң үстигә имарәт селиватиду. Бирақ һәр ким бу имарәтниң тоғра селинишиға диққәт қилсун. 
1CO.3.11	Чүнки һеч ким қуюлуп болған һулдин, йәни Әйса Мәсиһ тоғрисидики Хуш Хәвәрдин башқа һеч қандақ һул қуялмайду. 
1CO.3.12	Бир киши тоғра тәлим бәрсә, у худди һул үстигә алтун, күмүч яки башқа чидамлиқ вә қиммәтлик ташларни қойғандәк иш қилған болиду. Лекин бир киши намувапиқ тәлим бәрсә, у худди һул үстигә яғач, саман яки қомучтин ибарәт асан көйүп кетидиған нәрсиләрни қойғандәк иш қилған болиду. 
1CO.3.13	Қиямәт күни һәр кимниң сиңдүргән әҗриниң қандақлиғи ашкарә болиду. У күни һәммә адәмниң сиңдүргән әҗриниң қиммити отта синилиду. 
1CO.3.14	Әгәр бир кишиниң һул үстигә қойған материаллири отқа бәрдашлиқ берәлисә, у киши Худадин мукапат алиду. 
1CO.3.15	Қойған материаллири көйүп кәтсә, у мукапаттин мәһрум болиду. Һалбуки, у Әйса Мәсиһкә мәнсүп болғанлиғи үчүн қутқузулиду. Лекин у худди от ичидин қутулуп чиққан адәмгә охшайду. 
1CO.3.16	Һәҗәва, силәр өзәңларниң Худаниң ибадәтханиси екәнлигиң­ларни вә Худаниң Роһи силәрниң араңларда болидиғанлиғини билмәм­силәр? 
1CO.3.17	Әгәр бир киши Худаниң ибадәтханисини харап қилса, Худаму уни харап қилиду. Чүнки Худаниң ибадәтханиси Худа­ға беғишланғандур. Силәр һәммиңлар, йәни Худаға мәнсүп болған мәсиһийләр җамаити дәл Худаниң ибадәтханиси. 
1CO.3.18	Силәр өзәңларни башқилардин дана чағлап, өз-өзәңларни алдимаң­лар. Әгәр араңлардин бирәрси Худани тонумайдиғанларниң көз-қариши бойичә өзини дана дәп һесаплиса, ундақта у бу даналиғидин ваз кәчсун. Бундақ болғанда, у гәрчә Худани тонумайдиғанларниң нәзәридә «надан» дәп қаралсиму, лекин Худаниң нәзәридә дана һесап­линиду. 
1CO.3.19	Чүнки Худани тонумайдиғанлар немини даналиқ дәп һесаплиса, Худаниң нәзәридә бу хил «даналиқ» әқилсизликтур. Муқәддәс Язмиларда бундақ даналар тоғрисида: «Худа өзлирини дана дәп санайдиғанларни, өзлириниң һейлә-микирлири билән өзлириниң қапқиниға дәсситиду», дәп йезилған. 
1CO.3.20	Муқәддәс Язмиларниң йәнә бир йеридә: «Худа данишмәнләрниң ой-пикриниң бекар хиял екәнлигини билиду», дәп йезилған. 
1CO.3.21+1CO.3.22	Шуниң үчүн һеч ким: «Мән бу киши яки у кишиниң тәрәпдари», дәп махтанмисун. Чүнки мәйли Павлус, Аполлос яки Петруслар болсун, уларниң һәммиси Худа тәрипи­дин әвәтилгән, силәр үчүн ишләватқан кишиләрдур. Һәтта бу дуния, һаят-маматлиқ, һазир яки кәлгүси болсун, һәммиси силәргә мәнсүп­тур. 
1CO.3.23	Силәр болсаңлар Әйса Мәсиһкә, Әйса Мәсиһ болса Худаға мәнсүптур. 
1CO.4.1	Шундақ екән, силәр бизни пәқәт Әйса Мәсиһниң хизмәткарлири, дәп қаришиңлар керәк. Худа бизгә Өзиниң бурун ашкарилимиған һәқиқәтлирини силәргә чүшәндүрүш вәзиписини тапшурған. 
1CO.4.2	Бирәр вәзипини иҗра қилғучилардин тәләп қилинидиғини ишәнчлик болуштур. 
1CO.4.3	Силәр ейтиңларчу, мән ишәнчлик хизмәткарму? Кишиләр маңа қандақ баһа бәрсә беривәрсун. Иш қилип, уларниң баһаси маңа нисбәтән әрзимәс бир иштур. Һәтта өзәмму өзәмгә баһа бәрмәймән. 
1CO.4.4	Мән өз хизмитимдә хаталиқ йоқ дәп қарисамму, лекин бу пикрим өзәмни ақлалмайду. Хизмитимни баһалиғучи пәқәт Рәббимдур. 
1CO.4.5	Шуниң үчүн Рәббимиз қайтип кәлмигичә, башқиларниң хизмитигә баһа бәрмәңлар. Чүнки У қайтип кәлгәндә, кишиләрниң қараңғулуқ ичидә йошурунған барлиқ ишлирини йоруқлуққа чиқириду вә инсанларниң қәлбидики мәхсәтлирини ашкарилайду. У чағда Худа һәр кимни өзигә тегишлик махташқа сазавәр қилиду. 
1CO.4.6	Қериндашлар, силәрниң мәнпийитиңлар үчүн бу ишларға өзәм­ни вә Аполлосни мисал қилдим. Мениң мәхситим, силәрниң «Муқәддәс Язмиларда йезилғанларға хилаплиқ қилмаңлар», дегән сөзниң мәнасини чүшинип, биримизни йәнә биримиздин үстүн баһалап махтан­маслиғиңлар үчүндур. 
1CO.4.7	Немишкә силәр өзәңларни башқилар­дин үстүн дәп қарайсиләр? Һәҗәва, силәрдә бар болған барлиқ илтипатлар Худа тәрипидин берилмигәнму? Ундақта, силәр немишкә бу илтипатларға худди өзәңларға тайинип еришкәндәк махтини­силәр? 
1CO.4.8	Силәр һазир биз муһтаҗ болған һәммә илтипатларға егә болдуқ, ишәнч җәһәттики барлиқ қабилийәтләргә ериштуқ, дәп ойлайдикән­силәрдә?! Силәр өзәңларчә көрәңләп, бизни көзгә илмай, өзәңларла падишадәк болувапсиләрдә?! Мән һәқиқәтәнму силәрниң Худаниң падишалиғида һөкүм сүрүшүңларни үмүт қилимән. Чүнки расттинла шундақ болған болсаңлар, бизму силәр билән биллә һөкүм сүргән болаттуқ! 
1CO.4.9	Лекин мениңчә Худа биз әлчиләрни әң төвән орунға қойди. Чүнки биз худди өлүмгә һөкүм қилинип, сазайи қилинған мәһбуслардәк, пүткүл каинат, йәни периштәләр вә инсанлар алдида тамашиға қалдуқ. 
1CO.4.10	Биз Әйса Мәсиһкә мәнсүп болғанлиғимиз үчүн, көпчилик тәрипидин наданлар дәп қаралдуқ, лекин силәр болсаңлар Әйса Мәсиһкә мәнсүп болғанлиғиңлар үчүн, өзәңларни «әқиллиқ» дәп қараватисиләр. Биз аҗиз дәп қаралдуқ. Лекин силәр болсаңлар өзәңларни ишәнчимиз «күчлүк» дәп һесаплаватисиләр. Силәр һөрмәткә сазавәр болдуңлар, лекин биз болсақ камситилдуқ! 
1CO.4.11	Биз та һазирғичә пат-патла ач-ялиңач, уруп-соқулуш, сәрсанлиқ-сәргәрданлиқта жүрүватимиз. 
1CO.4.12	Икки билигимизгә тайинип, ишләп җан беқиватимиз. Бизгә тил-аһанәт қилғанларға бәхит тиләватимиз, зиянкәшликкә учрисақ, бәрдашлиқ бериватимиз. 
1CO.4.13	Төһмәт қилинсақ, меһриванларчә җавап қайтуруватимиз. Биз та һазирғичә дунияниң әхлити, инсанларниң сүпүрүндиси, дәп қариливатимиз. 
1CO.4.14	Бу сөзләрни йезиштики мәхситим, силәрни хиҗил қилиш әмәс, бәлки силәрни сөйүмлүк пәрзәнтлирим дәп қарап, силәргә тәлим бериштур. 
1CO.4.15	Әйса Мәсиһкә бағланған йеңи һаятиңларда силәргә тәлим бәргүчиләр көп болсиму, лекин атаңлар пәқәт мән бирла. Чүнки силәр мән йәткүзгән Хуш Хәвәрни қобул қилғанда, мән силәрниң ишәнч җәһәттики атаңлар болдум. 
1CO.4.16	Шуниң үчүн силәрниң мени үлгә қилишиңларни өтүнимән. 
1CO.4.17	Ишәнч йолида өз оғлумдәк қәдирлик вә ишәнчлик болған Тимотийни мошундақ қилишиңларға ярдәм бәрсун дәп, йениңларға әвәтимән. У силәргә мениң Әйса Мәсиһкә мәнсүп болған йеңи һаятимни қандақ өткүзгәнлигимни әслитиду. Бу дәл мениң һәр қайси җайлардики җамаәткә үгәткәнлирим билән бирдәк. 
1CO.4.18	Араңларда бәзиләр мени йенимизға кәлмәйду дәп ойлап, тәкәббур­луқ қиливатиду. 
1CO.4.19	Лекин Худа буйриса, йеқинда чоқум йениңларға баримән. У чағда бу һакавурларниң немини сөзләйдиғанлиғини әмәс, бәлки уларда Муқәддәс Роһниң күч-қудритиниң зади бар яки йоқлуғини көрүп бақимән. 
1CO.4.20	Чүнки Худаниң Падишалиғи сөз арқилиқ әмәс, бәлки Муқәддәс Роһниң күч-қудрити арқилиқ аян болиду. 
1CO.4.21	Силәргә таяқ елип барайму яки меһир-муһәббәт вә мулайимлиқму? Қайсисини халайсиләр? 
1CO.5.1	Мән һәқиқәтән араңларда җинсий әхлақсизлиқниң бар екәнли­гини аңлидим. Бу хил әхлақсизлиқ һәтта бутпәрәсләрниң ичидиму учримайду. Бири өгәй аниси билән давамлиқ бир орунда йетипту! 
1CO.5.2	Шундақ туруп, силәр йәнә ишәнчимиз камаләткә йәтти, дәп махтинип жүрисиләр. Силәр бу ишқа қаттиқ қайғуруп, бундақ қилғучини араңлардин қоғлап чиқиришиңлар керәк әмәсму? 
1CO.5.3	Мән силәрдин жирақта болсамму, қәлбим силәр билән биллә. Худди мән араңларда турғандәк, бу гунани қилғучини Рәббимиз Әйсаниң нами билән көңлүмдә сораққа тарттим. 
1CO.5.4	Шуңа силәр һәммә мәсиһийләрни чақирип, Рәббимиз Әйсаниң нами билән бир йәргә җәм болғанда, мениму силәр билән биллә дәп қарап, Рәббимиз Әйсаниң күч-қудрити билән 
1CO.5.5	у адәмни мәсиһийләр җамаитидин қоғлап чиқирип, шәйтанниң илкигә қайтуруңлар. Буниң билән у яман йолдин йенип, гунакар тәбиитиниң күчидин қутулуп, Рәббимиз Әйса қайта кәлгән күни қутқузулсун. 
1CO.5.6	Силәрниң махтинишиңлар тоғра әмәс. «Кичик­кинә хемиртуруч пүтүн хемирни болдуралайду», дегән сөзни яхши билисиләрғу? 
1CO.5.7	Шуңа җамаәтниң пак болуши үчүн, бундақ гунакарни араңлардин чиқириветиңлар. Силәр аллибурун пакланғансиләр. Чүнки «Өтүп кетиш» һейтиниң қурванлиқ Қозиси болған Әйса Мәсиһ бизниң гуналиримизниң кәчүрүм қилиниши үчүн қурванлиқ қилинған. 
1CO.5.8	Шуниң үчүн худди йәһудийлар «Өтүп кетиш» һейтини өткүзүштин илгири өйлирини хемиртуручтин хали қилғандәк, бизму бурунқи һаятимиздики хемиртуручни, йәни яманлиқ вә өчмәнликни ташлап, Әйса Мәсиһкә бағланған йеңи һаятимизни сәмимийлик вә һәқиқәт ичидә шат-хорамлиқта өткүзәйли. 
1CO.5.9	Алдинқи хетимдә силәргә шәһваний һәвәсләргә берилгән әхлақсиз адәмләр билән алақә қилмаслиқ тоғрисида язған едим. 
1CO.5.10	Шүбһисизки, мән Әйса Мәсиһкә ишәнмәйдиғанлар арисидики шәһваний һәвәсләргә берилгән әхлақсизлар, ачкөзлүкләр, алдамчилар яки бутпәрәсләр билән алақә қилмаңлар, демәкчи әмәсмән. Әгәр шундақ дегән болсам, бу дуниядин айрилишқа мәҗбур болаттиңлар. 
1CO.5.11	Лекин һазир мән өзини мәсиһий дәп атавалған, әмәлиятта шәһваний, ачкөз, бутпәрәс, төһмәт­хор, һарақкәш яки алдамчи кишиләр билән алақә қилмаслиғиң­ларни, һәтта улар билән һәмдәстиханму болмаслиғиңларни яздим. 
1CO.5.12+1CO.5.13	Чүнки мәсиһийләр җамаитиниң әзаси әмәсләрни сорақ қилишқа бизниң немә һоқуқумиз бар? Уларни Худа Өзи сорақ қилиду. Лекин мәсиһий­ләр җамаитиниң әзалирини сорақ қилишқа бизниң һоқуқумиз бар. Шуңа Муқәддәс Язмиларда йезилғинидәк: «Яманлиқ қилғучини араң­лар­дин қоғлап чиқириңлар». 
1CO.6.1	Араңларда бир мәсиһийниң йәнә бир мәсиһий үстидин давалири болса, уни мәсиһийләрниң бир тәрәп қилишиға тапшурмай, Худани тонумайдиған сорақчиға әризә қилип барғини қандақ болғини? 
1CO.6.2	Әйса Мәсиһ қайтип кәлгәндин кейин, бу дунияни сорақ қилидиғанларниң Худаниң муқәддәс хәлқи екәнлигини билмәмсиләр? Силәр дунияни сорақ қилидиғанлардин екәнсиләр, ундақта бундақ кичиккинә даваларни бир тәрәп қилишқа яримамсиләр? 
1CO.6.3	Кәлгүсидә периштәләрни сорақ қилидиғанлиғиңларни билмәмсиләр?! Шундақ екән, һазирқи турмушуңларда мәсиһийләр арисидики кичик давалар­ларни һәл қилишни чоқум билишиңлар керәк. 
1CO.6.4	Шундақ туруп, араңларда давалар көрүлгинидә, немишкә уни һәл қилиш үчүн Әйса Мәсиһни тонумайдиған, мәсиһийләр җамаити билән охшимайдиған көз қарашта болған сорақчиларға барисиләр? 
1CO.6.5	Бу немә дегән шәрмәндә иш-һә! Мәсиһийләр арисида бу даваларларни һәл қилғидәк парасәтлик бирәр киши йоқму? 
1CO.6.6	Йәнә келип, силәр қериндашлар бир-бириңлар билән давалишиватисиләр, йәнә келип ишәнмәйдиған­лар алдида давалишиватисиләр! 
1CO.6.7	Әмәлиятта бир-бириңлар үстидин давалишиш силәр үчүн чоң мәғлубийәттур. Ундақ қилиштин көрә, өз ара бәзи бир наһәқлиқкә учрисаңлар яки аз-тола алдансаңлар немә бопту? 
1CO.6.8	Бирақ силәр наһәқ­лиқкә учримай, әксичә өзәңлар наһәқлиқ қиливатисиләр вә башқи­ларни алдаватисиләр, һәтта қериндашлириңларғиму шундақ қиливатисиләр! 
1CO.6.9	Яманлиқ қилғучиларниң Худаниң Падишалиғиға кирәлмәйдиғанлиғини билмәмсиләр? Силәр өз-өзәңларни алдимаңлар! Барлиқ җинсий әхлақсизлиқ қилғучилар, бутпәрәсләр, нека садиқ­лиғини бузғучилар, һәзиләкләр, әр билән әр яки аял билән аял ара җинсий мунасивәт қилғучилар, 
1CO.6.10	оғрилар, ачкөзләр, һарақкәшләр, төһмәтхорлар вә алдамчиларға Худаниң Падишалиғида орун йоқ. 
1CO.6.11	Бәзилириңлар бурун мана шундақлардин едиңлар. Лекин Рәббимиз Әйса Мәсиһниң күч-қудрити вә Худаниң Роһи арқилиқ гунайиңлар жуюлуп, Худаға беғишландиңлар вә Худа тәрипидин һәққаний адәм дәп җакаландиңлар. 
1CO.6.12	Бәзиләр: «Худа тәрипидин мәнъий қилинмиған болса, немә қилимән десәм, өз ихтиярим», дейиши мүмкин. Лекин һәммә иш пайдилиқ болувәрмәйду. «Немә қилимән десәм, өз ихтиярим» дейилсиму, лекин һеч нәрсигә қул болмаслиғимиз керәк. 
1CO.6.13	«Тамақ қосақ үчүн, қосақ тамақ үчүн» дегәнлик тоғра. Лекин бәзиләр худди шуниңдәк, җинсий әхлақсизлиқму тән үчүндур, дәп қарайду. Бундақ қараш тоғра әмәс. Қосақ вә тамақ пәқәт бу дуниядила болуп, Худа һәр иккилисини йоқитиду. Тенимиз болса, у дуниядиму болиду. Билишиңлар керәкки, тенимиз у җинсий әхлақсизлиқ үчүн әмәс, бәлки Рәббимиз үчүндур. Рәббимиз болса тенимизниң еһтияҗини тәминләйду. 
1CO.6.14	Худа Өз қудрити билән Рәббимизни тирилдүргинидәк, бизниму тирилдүриду. 
1CO.6.15	Бизниң тенимизниң Әйса Мәсиһниң тени­ниң әзалири екәнлигини билмәмсиләр? Ундақта, араңларда бири Әйса Мәсиһниң тениниң әзаси болған өз тенини бир паһишә аял билән бирләштүрсә боламду? Һәргиз болмайду. 
1CO.6.16	Паһишә аял билән биргә болған кишиниң униң билән бир тән болидиғанлиғини билмәм­силәр? Чүнки Муқәддәс Язмиларда әр-аял тоғрилиқ: «Иккиси бир тән болиду», дейилгән. 
1CO.6.17	Һалбуки, Рәббимиз билән бирләшкән киши болса, Униң билән роһий җәһәттә бир болиду. 
1CO.6.18	Шуниң үчүн җинсий әхлақсизлиқтин жирақ болуңлар. Инсанлар қилған башқа гуналарниң һәммиси тәнниң сиртида болиду. Лекин җинсий әхлақсизлиқ қилғучи өз тенигә қарши гуна қилған болиду. 
1CO.6.19	Тениңларниң Муқәддәс Роһниң ибадәтханиси екәнлигини билмәм­силәр? Худа силәргә ата қилған Муқәддәс Роһ қәлбиңларда яшайду. Силәр өзәңларға әмәс, бәлки Худаға мәнсүпсиләр. 
1CO.6.20	Чүнки У силәрни Әйса Мәсиһниң қиммәтлик қени билән Өзигә мәнсүп қилди. Шуниң үчүн тениңларни Худани улуқлашқа атаңлар. 
1CO.7.1	Әнди силәр хетиңларда оттуриға қойған мәсилиләргә келәйли. Силәр «Әрләрниң өз аяллириға йеқинлашмаслиғи яхшиму?» дәп сорапсиләр. 
1CO.7.2	Мениң җававим шуки, араңларда йүз бәргән җинсий әхлақсизлиқтин сақлиниш үчүн, һәр бир җүп әр-аял өз җүплири билән бир орунда ятсун. 
1CO.7.3	Әр аялиға нисбәтән әрлик мәҗбурийитини ада қилиши, аялму еригә нисбәтән аяллиқ мәҗбурийитини ада қилиши керәк. 
1CO.7.4	Аялниң тени пәқәт өзигила әмәс, еригиму тәәллуқтур. Шуниңға охшашла, әрниң тениму өзигила әмәс, аялиғиму тәәллуқтур. 
1CO.7.5	Әр-аял бир-бириниң җинсий тәливини рәт қилмаслиғи керәк. Пәқәт пүтүн зеһниңлар билән дуа қилиш мәхситидә өз мақуллуғуңлар билән вақитлиқ биргә ятмаслиққа келишкәндин башқа вақитларда бир-бириңлардин айрилип ятмаңлар. Болмиса, шәйтан силәрниң өзәңларни тутувалалмиғанлиғиңлардин пайдилинип, силәрни нека садиқлиғини бузушқа аздуруп кетиши мүмкин. 
1CO.7.6	Вақитлиқ айрилип туруш тоғрисидики бу сөзлирим пәқәтла бир тәклип, буйруқ әмәс. 
1CO.7.7	Әлвәттә, һәммиңларниң маңа охшаш той қилмаслиғиңларни халат­тим. Лекин бу ишта һәммә адәм охшаш әмәс. Чүнки Худа илтипат көрситип, бәзиләргә той қилишни, бәзиләргә болса той қилмай өтүшни бәргән. 
1CO.7.8	Әнди җориси өлүп кәткән әр вә аялларға кәлсәк, силәргә шуни ейтип қояйки, силәрниң маңа охшаш той қилмай яшиғиниңларни яхши дәймән. 
1CO.7.9	Лекин өзәңларни тутувалалмисаңлар, некалиниңлар. Чүнки шәһвәт отида көйгәндин көрә, некалиқ болған яхшидур. 
1CO.7.10	Некалиқ болған мәсиһийләргә кәлсәк, уларға шуни буйруймәнки, аял еридин аҗрашмисун. Бу мениңла әмәс, бәлки Рәббимизниңму буйруғидур. 
1CO.7.11	Аҗрашқан болса, қайта той қилмисун яки өз ери билән қайтидин яришивалсун. Әрму аялини қоювәтмисун. 
1CO.7.12	Қалғанлириңларға кәлсәм, гәрчә бу тоғрилиқ Рәббимиздин һеч қандақ буйруқ алмиған болсамму, лекин мән силәргә шуни ейтимән­ки, әгәр той қилғандин кейин әр Әйса Мәсиһкә ишинип, аяли ишәнмигән болса, бирақ давамлиқ биргә яшашқа рази болса, у чағда ери уни қоювәтмисун. 
1CO.7.13	Әгәр той қилғандин кейин аял Әйса Мәсиһкә ишинип, ери ишәнмигән болса, бирақ давамлиқ биргә яшашқа рази болса, у чағда аяли униңдин аҗрашмисун. 
1CO.7.14	Чүнки Әйса Мәсиһ­кә ишәнмигән җүпти униң мәсиһий ери яки аяли арқилиқ Худа тәрипидин қобул қилинип, уларниң некаси Худаниң нәзәридә йәнила пак болиду. 
1CO.7.15	Бирақ ишәнмигән тәрәп айрилимән десә, айрилсун. Мәсиһий әр болсун яки аял болсун, бундақ әһвалда өз некасини зорлап давамлаштурушиниң һаҗити йоқ. Һалбуки, Худа силәрни җүптиңлар билән инақлиқта яшашқа чақирған. 
1CO.7.16	Әй мәсиһий аял, бәлким ериң сән арқилиқ Әйса Мәсиһкә ишинип, қутқузулуши мүмкин. Әй мәсиһий әр, бәлким аялиң сән арқилиқ Әйса Мәсиһкә ишинип, қутқузулуши мүмкин. 
1CO.7.17	Һәр ким Худа тәрипидин чақирилғанда Рәббимиз Әйса униңға ата қилған салаһийәт бойичә яшавәрсун. Буни һәммә мәсиһийләр җамаитигә буйруймән. 
1CO.7.18	Мәсилән, бир киши Худа тәрипидин чақири­лиштин бурун йәһудий диниға кириш үчүн хәтнә қилинған болса, у буни йошурмисун. Бир киши Худа тәрипидин чақирилғанда хәтнә қилинмиған болса, шундақ туривәрсун. 
1CO.7.19	Ишәнгүчиниң хәтнә қилинған яки қилинмиғанлиғи муһим әмәс, әң муһими униң Худаниң әмирлиригә әмәл қилишидур. 
1CO.7.20	Һәр ким Худа тәрипидин чақирилғанда қандақ салаһийәттә болған болса, шу салаһийәтни сақлисун. 
1CO.7.21	Әгәр сән Худа тәрипидин чақирилғанда қул болған болсаң, өзәңниң қул болғанлиғиңдин қайғурма. Лекин әркин болалисаң, пурсәтни қолдин бәрмә. 
1CO.7.22	Худа тәрипидин чақирилған киши қул болса, у Рәббимиз Әйсаға мәнсүп болғанлиғидин роһий җәһәттә азат қилинған әркин адәмгә айлиниду. Шуниңдәк Худа тәрипидин чақирилған киши әркин адәм болса, у Әйса Мәсиһкә бойсунғанлиғидин Униң қулиға айлиниду. 
1CO.7.23	Худа Әйса Мәсиһниң қиммәтлик қени билән силәрни гунаниң илкидин әркинликкә чиқарди. Шуңа әнди силәр Худаға бойсунуңлар, инсанларниң ой-пикирлиригә қул болмаңлар. 
1CO.7.24	Қериндашлар, һәр ким Худа тәрипидин чақирилғанда қандақ салаһийәттә болған болса, Худаға бағланған йеңи һаятида шу бойичә яшисун. 
1CO.7.25	Хетиңлардики бойиға йәткән қизлар мәсилисигә кәлсәк, Рәбби­миз­дин улар тоғрисида бирәр әмир алмидим. Шундақтиму өз пикирли­римни оттуриға қоймақчимән. Рәббимиз маңа рәһим-шәпқәт көрсәт­кәнлиги үчүн, мениң сөзлирим ишәнчликтур. 
1CO.7.26	Мән шундақ қараймәнки, бүгүнки қийинчилиқларға нәзәр салғанда, һәр ким Әйса Мәсиһкә ишәнгән чағдики салаһийитидә қалғини яхши. 
