GEN.1.1	Blŭng-a Kră Yang 'Bok Kei-Dei pơjing plĕnh păng teh. 
1KI.20.11	Na Ahap tơl: “Brŏk khan kơ sư: ‘Bơngai hrŭk ao mam 'nĕ kơ pơang akâu kơdih thoi bơngai mă plôh lê̆ ao.’ ”
1KI.20.12	Ben Hadat oei et tơdrô hơdai hăm lu pơtao lăm kơđông, lăp sư kơtơ̆ng dôm nơ̆r 'noh, na khan hloi kơ lu linh sư: “Iĕm athei hơmet năm blah.” Đơ̆ng noh lu linh năm hloi wă blah pơlei 'noh.
1KI.20.13	Đei minh 'nu bơngai khan lê̆ adrol năm tơ'bơ̆p Ahap, pơtao đe Isơrael păng khan: “Kră Yang khan: ‘Ih hăm 'bôh ưh minh khŭl linh lơlap 'nâu? Năr 'nâu Inh gô pơjao lu sư lăm tơpang ti ih, wă kơ ih băt Inh bơih Kră Yang.’ ”
1KI.20.14	Ahap jet dơ̆ng: “Bu gô pơm tơdrong 'nâu?”
1KI.20.14	'Bok khan lê̆ adrol tơl. “'Nâu Kră Yang khan: “Ih athei yua lu bơngai tơdăm bơ̆jang ala kơ lu 'bok pơgơ̆r tơring char gô pơm.’ ”
1KI.20.14	Ahap apinh dơ̆ng. “Lei bu wă pơtơm năm tơblah?” 'Bok khan lê̆ adrol tơl: “Ih bơih.”
1KI.20.15	Na Ahap krao akŭm đĭ-đăng lu bơngai tơdăm bơ̆jang ala kơ lu 'bok pơgơ̆r tơring, đei 'bar-hrĕng pêng-jĭt 'bar 'nu. Sư kư̆m krao akŭm đĭ-đăng lu bơngai Isơrael đei tơpơh-rơbâu 'nu dơ̆ng. 
1KI.20.16	Lu Sư lĕch năm 'bơ̆t tŏk-bŏk 'năr dơ̆ng kơplah Ben Hadat hơdai hăm pêng-jĭt 'bar 'nu pơtao buăl dơ̆ng sư et tơdrô suai lăm kơđông. 
1KI.20.17	Lu bơngai tơdăm bơ̆jang ala lu 'bok pơgơ̆r tơring char lĕch adrol:
1KI.20.17	'Ben Hadat wơh bơngai năm chop lăng lu sư; wih roi kơ Ben Hadat. “Đei bơngai lĕch đơ̆ng Pơlei Samari.”
1KI.20.18	Sư khan: “Tơdah lu sư năm tơ âu apinh tơdrong hiôk-hian, lei iĕm athei rong arih; dah mă lu sư năm tơ âu wă tơblah iĕm kư̆m athei rôp arih mơ̆n.”
1KI.20.19	Lu bơngai tơdăm bơ̆jang ala kơ lu 'bok pơgơ̆r tơring char lĕch hlôi kơ pơlei tih boih păng lu linh kiơ̆ đơ̆ng rŏng lu sư. 
1KI.20.20	Lu sư pơlôch lu bơngai ayăt 'noh mơ̆ng kơ tơ'bơ̆p 'bơ̆t anăp. Đĭ-đăng lu linh Siri kơdâu tơklah tơklang na lu linh Isơrael druh 'moi. Ben Hadat klaih, kơdâu hao seh hơdai hăm minh 'bar 'nu lu linh hao seh. 
1KI.20.21	Pơtao đe Isơrael năm blah lu linh hao aseh, pơlôch lu bơngai Siri lơ dêh.
1KI.20.22	Kơplah noh 'bok khan lê̆ adrol năm dơ̆ng jê̆ pơtao đe Isơrael păng khan: “Ih athei năm pơjing ming lu linh ih mă pran kơtang đơ̆ng, ih athei lăng hơmet mă hơlen tơdrong kiơ wă pơm, yua kơ bơyan puih sơnăm anăp kơnh pơtao Siri gô năm blah ih dơ̆ng.
1KI.20.23	Lu đam Siri bơ̆jang kơ pơtao siri khan kơ pơtao sư: “Yang lu sư 'noh yang kông, thoi noh na lu sư pran hloh kơ bơ̆n. Mă-lei tơdah bơ̆n tơblah hăm lu sư tơ lăm thŭng dơnă, lei sĭt bơ̆n pran hloh kơ lu sư. 
1KI.20.24	Apinh pơtao athei pơm thoi âu: Tơjur đĭ lu pơtao 'noh đơ̆ng anih lu sư pơgơ̆r linh, na pôk atŏk lu yŏng linh pơgơ̆r tơplih lu sư. 
1KI.20.25	Păng ih athei chă tơmơ̆t linh mă tôm dôm linh ih mă hiong adrol 'noh, chă aseh păng gre aseh kư̆m tôm lei-lăi thoi so; đơ̆ng noh lu bơ̆n gô tơblah hăm lu sư tơ lăm thŭng dơnă. Sĭt lu bơ̆n gô pran hloh kơ lu sư.” Pơtao đe Siri mơ̆ng păng pơm kiơ̆ hloi thoi noh.
1KI.20.26	Lăm sơnăm đơ̆ng rŏng Ben Hadat krao akŭm lu linh Siri tŏk năm tơ Pơlei Aphek wă tơblah hăm lu bơngai Isơrael. 
1KI.20.27	Bơngai Isơrael kư̆m krao akŭm đĭ-đăng, hơmet tơmam sa wă tơblah. Kon pơlei Isơrael pơm kơđông lu sư 'bơ̆t anăp tơklă kon pơlei Siri thoi 'bar khŭl bơbe tŏ-ĕt, gah lu linh bơngai Siri lơ dêh 'bĕnh-'bang kơ tơring char.
1KI.20.28	Đei minh 'nu bơngai Kră Yang 'Bok Kei-Dei yua năm jê̆ pơtao Isơrael păng khan: “Kră Yang khan: Yua kơ kon pơlei Siri khan kơ Kră Yang noh yang kông, ưh kơ trŏ kơ yang thŭng dơnă ôh. Thoi noh na inh gô pơjao lu linh lơlap 'nâu lăm tơpang ti ih păng iĕm gô băt Inh bơih Kră Yang.”
1KI.20.29	'Bar khŭl sư tơdơ̆ng tơklă băl lăm tơpơh năr. Năr mă tơpơh lu sư tơblah băl; lăm minh năr lu linh Isơrael pơlôch lu linh Siri yak jơ̆ng hloh minh-hrĕng rơbâu 'nu. 
1KI.20.30	Dôm lu bơngai klaih đơ̆ng anih tơblah 'noh kơdâu ôn tơ lăm Pơlei Aphek, mă-lei dur pơlei pơchah kơtĭt lu sư lôch đei 'bar-jĭt tơpơh 'nu. Ben Hadat kư̆m kơdâu mơ̆t lăm pơlei, sư ôn tơ minh anih hlơp.
1KI.20.31	Lu bơngai jang kơ pơtao khan kơ pơtao: “Lu nhôn kơtơ̆ng đe khan pơtao đe Isơrael đei tơdrong mơnat. Dang ei apinh ih ăn kơ nhôn tơ̆n 'bi tơ kơiĕng păng pơ̆n tơlei tơ kơ̆l đơ̆ng noh yơ̆r ti năm tơ'bơ̆p pơtao đe Isơrael. Rŏ lăng sư kư̆m ăn kơ ih arih mơ̆n.”
1KI.20.32	Thoi noh lu sư tơ̆n 'bi tơ kơiĕng păng pơ̆n tơlei tơ kơ̆l lu sư lĕch yơ̆r ti chu thuơ kơ pơtao Isơrael păng khan: “Ben Hadat đĭch đam ih khan: ‘Apinh ih ăn kơ inh arih.’ ”
1KI.20.32	Ahap jet: “Sư oei arih hă? Sư 'noh 'nhŏng oh inh.”
1KI.20.33	Lu bơngai 'noh mơ̆ng nơ̆r pơtao Ahap pơma 'noh 'lơ̆ng tơpă na lu sư lui hloi, khan: “Ben Hadat 'noh 'nhŏng oh ih tơpă.”
1KI.20.33	Ahap khan dơ̆ng: “Lu iĕm năm iŏk sư tơ âu.” Na 'Ben Hadat năm tơ'bơ̆p Ahap. Pơtao Ahap pơtơm 'Ben Hadat hao gre aseh sư.
1KI.20.34	Ben Hadat khan kơ Ahap: “Inh gô pơdrâu ăn kơ ih dôm lu pơlei mă 'bă inh tơgar iŏk đơ̆ng 'bă ih. Ih gô pơm hnam mơdro sa tih tơ lăm Pơlei Đamas, kư̆m thoi 'bă inh đei pơm bơih tơ lăm Pơlei Samari.”
1KI.20.34	Ahap tơl: “Gah inh, gô drơ̆ng ăn kơ ih brŏk kiơ̆ thoi nơ̆r ih pơkă 'nâu.” Thoi noh Ahap pơkă pơkăm pơgơ̆p hăm 'Ben Hadat, đơ̆ng noh ăn kơ Ben Hadat brŏk.
1KI.20.35	Chu nơ̆r Kră Yang, đei minh 'nu lăm lu bơngai khan lê̆ adrol khan kơ buăl sư: “Apinh ih teh inh,” Mă-lei buăl sư ưh kơ teh sư.
1KI.20.36	Na sư khan: “Yua kơ ih ưh kơ chu nơ̆r Kră Yang, na lăp ih weh đơ̆ng inh kơnh dăm-brang gô châu pơlôch ih.” Lăp sư weh, đei minh pôm Dăm-brang châu sư lôch hloi.
1KI.20.37	Đơ̆ng noh bơngai khan lê̆ adrol tơ'bơ̆p bơngai nai dơ̆ng, na sư khan: “Apinh ih teh inh.” Bơngai 'noh teh hloi bơngai khan Lê̆ adrol truh đei rơka. 
1KI.20.38	Đơ̆ng noh bơngai khan lê̆ adrol 'noh năm ngôi 'bơ̆t trong gô pơtao. Sư gom muh măt sư hăm che pơm bơngai nai. 
1KI.20.39	Lăp pơtao năm brih trong 'noh sư ôr apinh pơtao: “Đĭch đam ih oei lăm anih tơblah; na đei minh 'nu năm ba kơ inh minh 'nu bơngai bơnă păng khan kơ inh: ‘Ih athei wei bơngai 'nâu; tơdah sư kơdâu klĕnh tơ nai, lei tơdrong arih ih gô tơplih kơ sư 'noh, dah mă ih duh minh talâng hu.’ 
1KI.20.40	Mă-lei kơplah đĭch đam ih oei hăt kơ tơdrong jang 'nâu tơdrong jang to, na bơngai bơnă 'noh kơdâu klĕnh.”
1KI.20.40	Pơtao Isơrael khan kơ sư: “Tơdrong 'noh, kơdih ih gô pŭ iŏk tơdrong sek tơlang.”
1KI.20.41	Đơ̆ng noh sư pơih lê̆ che đơ̆ng gom muh măt sư 'noh na pơtao Isơrael kơnăl sư 'noh bơngai khan lê̆ adrol. 
1KI.20.42	Bơngai khan lê̆ adrol 'noh khan kơ pơtao Isơrael: “Kiơ̆ thoi nơ̆r Kră Yang khan: ‘Yua kơ ih achăng bơngai mă Inh jao ăn kơ ih wă kơ ih pơlôch sư. Na tơdrong arih ih gô tơplih tơdrong arih sư, păng tơdrong arih lu kon pơlei ih gô tơplih tơdrong arih lu kon pơlei pơla sư.’ ” 
1KI.20.43	Pơtao Isơrael brŏk tơ hnam sư kơdih, lăm char Samari, jơhngơ̆m sư blĕk ơh hơ'ngon ưh pă băt dang yơ.
1KI.21.1	Đơ̆ng rŏng kơ lu tơdrong 'noh, đei dơ̆ng tơdrong 'nâu: Nabôt Pơlei Jêsreel, đei minh hlak pơgar hơmu jê̆ hnam Ahap pơtao dêh Samari. 
1KI.21.2	Ahap khan kơ Nabôt. “Apinh ih ăn kơ inh pơgar hơmu ih 'noh, inh wă pơm pơgar pơtăm hla 'nhot, yua kơ jê̆ hnam inh. Ba tơplih hăm pơgar hơmu inh 'lơ̆ng hloh kơ pơgar hơmu ih 'nâu, dah ih wă tĕch dôm yơ, inh gô ăn kơ ih jên.”
1KI.21.3	Mă-lei Nabôt khan kơ Ahap: “Apinh Kră Yang wei 'nĕ ăn inh ăn kơ ih tơmam đơ̆ng 'bok kơdră inh.
1KI.21.4	Ahap mơ̆t tơ lăm hnam jơhngơ̆m ưh kơ hiôk păng sơ'ngon dêh yua kơ nơ̆r Nabôt, bơngai Jêsreel; đei khan kơ pơtao: “Inh ưh kơ gơh ăn kơ ih ôh tơmam đơ̆ng lu 'bok kơdră inh. Ahap mơ̆t 'bĭch tơ giơng tep om ơh sơ'ngon ưh kơ sŏng sa.
1KI.21.5	Jêsebel akăn sư năm jê̆ sư păng jet sư: “Yua kơ kiơ ih ơh Sơ'ngon păng ưh kơ sŏng sa?”
1KI.21.6	Sư tơl: “Yua kơ inh khan kơ Nabôt bơngai Jêsreel: ‘Tĕch ăn kơ inh mir hơmu ih 'noh inh gô ăn jên dah mă tơplih băl hăm mir hơmu inh nai kư̆m bưh, mă-lei sư khan: ‘Inh ưh kơ gơh ăn kơ ih mir hơmu inh.’ ”
1KI.21.7	Jêsebel akăn sư khan kơ sư: “Dang ei hăm trŏ kơ ih pơgơ̆r lu bơngai Isơrael ưh? Jah iung păng sŏng bĕ, chơt hiôk bĕ, Inh gô ăn kơ ih mir hơmu Nabôt, bơngai Jêsreel.”
1KI.21.8	Jêsebel chih hla bơar yua hăm anăn pơtao Ahap păng chơ̆m tơdra đơ̆ng pơtao, đơ̆ng noh gơih ăn kơ lu kră pơlei păng lu bơngai đe pơyom oei hơdai hăm pơlei Nabôt. 
1KI.21.9	Sư chih lăm hla bơar 'noh:
1KI.21.9	“Tơbăt tơtă kơ kon pơlei athei kơ̆m giĕng ơ̆t kơ sŏng sa. Athei ăn kơ Nabôt hơ-oei 'bơ̆t anăp kon pơlei. 
1KI.21.10	Athei ăn 'bar 'nu bơngai pơm kơdranh hơlĕnh hơ-oei 'bơ̆t anăp sư, 'bar 'nu pơm kơdranh hơlĕnh khan. Nabôt hiap Kră Yang 'Bok Kei-Dei păng hiap pơtao. Đang kơ noh athei dui tơlĕch sư tơ jih pơlei klơ̆m pơlôch sư păng tơmo.”
1KI.21.11	Lu bơngai lăm pơlei, kră pơlei păng lu bơngai mă đe pơyom lăm pơlei pơm kiơ̆ kơ nơ̆r Jêsebel pơkă lăm kơthơ chih gơih ăn kơ lu sư. 
1KI.21.12	Lu sư tơbăt tơdrong kơ̆m giĕng ơ̆t kơ sŏng sa păng ăn kơ Nabôt oei 'bơ̆t anăp kon pơlei. 
1KI.21.13	Đơ̆ng noh ăn 'bar 'nu bơngai hơ-oei 'bơ̆t anăp Nabôt; na jâu sư 'bơ̆t anăp kon pơlei pơla khan: “Nabôt hiap Kră Yang 'Bok Kei-Dei păng hiap pơtao.” Na lu sư dui Nabôt lĕch tơ jih pơlei klơ̆m pơlôch sư păng tơmo. 
1KI.21.14	Na lu sư wơh đe năm roi kơ Jêsebel khan: “Đe klơ̆m bơih Nabôt păng tơmo sư lôch bơih.”
1KI.21.15	Lăp Jêsebel kơtơ̆ng đe roi khan đe klơ̆m pơlôch Nabôt păng tơmo bơih, sư iung hloi năm khan kơ Ahap klo sư: “Iung bĕ, năm iŏk mir hơmu Nabôt Pơlei Jêsreel mir mă đêl sư ưh kơ wă tĕch ăn kơ ih 'noh, yua kơ Nabôt lôch bơih.” 
1KI.21.16	Lăp Ahap kơtơ̆ng khan Nabôt lôch bơih, sư iung năm hloi tơ mir hơmu Nabôt Pơlei Jêsreel păng iŏk hloi mir 'noh jing mir sư kơdih.
1KI.21.17	Đơ̆ng noh đei nơ̆r Kră Yang khan kơ Êli pơlei Tisbit: 
1KI.21.18	Iung bĕ jur năm tơ'bơ̆p Ahap pơtao đe Isơrael oei tơ pơlei Samari, dang ei sư oei tơ lăm mir hơmu Nabôt, yua kơ sư iŏk mir hơmu 'noh kơ sư kơdih. 
1KI.21.19	Ih khan kơ sư: “Kră Yang khan: Hăm trŏ kơ ih pơlôch tơ'ngla sư bơih păng tơgar iŏk mir sư?” Ih kư̆m khan kơ sư: Kră Yang khan: ‘Tơ anih mă kŏ liah bơih pham Nabôt, kŏ kư̆m gô liah pham ih.’ ”
1KI.21.20	Ahap khan kơ Êli: “Ơ bơngai ayăt kơ inh, ih rôp tơm măt hă?”
1KI.21.20	Êli tơl: “Inh rôp ih tơm măt boih,” yua kơ ih tĕch akâu ih kơdih wă pơm tơdrong yoch kơnê̆ 'bơ̆t anăp Kră Yang. Na Sư khan: 
1KI.21.21	‘Inh gô ăn tơdrong gleh truh kơ ih. Inh gô tơhiong pơtôch lê̆ ih, păng pơrăm pơđĭ hnam Ahap truh tơ đĭ-đăng đĭch dah bơngai rơngei lăm dêh char Isơrael; 
1KI.21.22	Inh gô ăn kơ adrĕch hnam ih đei tơdrong răm truh thoi adrĕch hnam Jêrôbôam, kon drŏ-nglo Nêbat păng thoi adrĕch hnam Baasa kon drŏ-nglo Ahija.’
1KI.21.22	Yua kơ ih pơm tơblĕk wă kơ inh hil păng pơhlŭ bơngai Isơrael pơm yoch.
1KI.21.23	Kră Yang kư̆m khan gah Jêsebel: ‘Kŏ gô sa sĕch Jêsebel tơ lăm pơlei Jêsreel.’
1KI.21.24	“Bơngai bu adrĕch hnam Ahap, tơdah sư lôch lăm pơlei, kŏ gô sa, bơngai bu lôch tơ bri brah sem păr gô choh sa.”
1KI.21.25	Tơpă, ưh kơ đei bơngai bu thoi Ahap tĕch akâu sư pơm tơdrong yoch kơnê̆ 'bơ̆t anăp Kră Yang, kiơ̆ kơ Jêsebel akăn sư pơhlŭ. 
1KI.21.26	Dôm tơdrong sư pơm kơ Kră Yang areh dêh, sư kơkuh kơ rup yang thoi lu bơngai Amôrit kơkuh, lu sư noh kon pơlei pơla mă Kră Yang pơpuh tơlĕch bơih lu sư đơ̆ng anăp lu bơngai Isơrael.
1KI.21.27	Lăp Ahap kơtơ̆ng nơ̆r pơma noh, sư hek ao sư kơdih. Sư iŏk hrŭk ao 'bi păng ơ̆t kơ sŏng sa; sư 'bĭch kơpal 'bi păng chu iŏk đon ala.
1KI.21.28	Kră Yang khan kơ Êli Pơlei Tisbit: 
1KI.21.29	“Ih hăm 'bôh Ahap tơjur akâu iŏk đon ala 'bơ̆t anăp Inh ưh? Yua kơ sư tơjur akâu iŏk đon ala 'bơ̆t anăp Inh, na Inh ưh kơ ăn tơdrong pơmat truh, 'bơ̆t chăl sư 'nâu ôh; mă-lei lăm chăl kon drŏ-nglo sư Inh gô ăn tơdrong gleh truh kơ hnam sư.”
1KI.22.1	Lăm pêng sơnăm Aram păng Isơrael ưh kơ đei tơdrong tơblah. 
1KI.22.2	Mă-lei lăm sơnăm mă pêng, Jêhôsaphat pơtao đe Juđa, jur năm ngôi hơpong tơ pơtao đe Isơrael. 
1KI.22.3	Pơtao đe Isơrael khan kơ lu bơngai bơ̆jang kơ sư. “Lu iĕm hăm băt ưh pơlei Ramôt Gileat 'noh teh lu bơ̆n, mă-lei lu bơ̆n kư̆m oei hreh ưh kơ đei pơm kiơ, wă pơdrâu iŏk sư đơ̆ng tơpang ti pơtao Aram?”
1KI.22.4	Pơtao khan kơ Jêhôsaphat: “Ih hăm wă blah iŏk Pơlei Ramôt Gileat hơdai hăm inh ưh?”
1KI.22.4	Jêhôsaphat tơl pơtao đe Isơrael: Inh kư̆m thoi ih, kon pơlei pơla inh kư̆m thoi kon pơlei pơla ih, aseh inh kư̆m thoi aseh ih mơ̆n.”
1KI.22.5	Jêhôsaphat khan kơ pơtao đe Isơrael dơ̆ng: “Mă adrol hloh bơ̆n athei krao apinh jet Kră Yang 'mơ̆i.”
1KI.22.6	Thoi noh na pơtao đe Isơrael krao akŭm đei puăn-hrĕng 'nu lu 'bok khan lê̆ adrol, na jet lu sư: “Inh hăm gơh năm blah pơlei Ramôt Gileat ưh dah lê̆ đĕch?”
1KI.22.6	Lu sư khan: “Gơh mơ̆n, năm blah bĕ, yua kơ Kră Yang gô jao pơlei 'noh lăm tơpang ti ih.”
1KI.22.7	Mă-lei Jêhôsaphat jet: “Tơ âu hăm pă đei 'bok khan lê̆ adrol nai Kră Yang wă kơ bơ̆n apinh jet sư?”
1KI.22.8	Pơtao Isơrael tơl Jêhôsaphat khan: “Đei oei pă minh 'nu anăn sư Mikai kon drŏ-nglo Imla; đơ̆ng sư 'noh bơ̆n gơh krao apinh jet Kră Yang; mă-lei inh areh kơ sư dêh, yua kơ sư ưh kơ khan lê̆ adrol tơdrong 'lơ̆ng gah inh, tă tơdrong kơnê̆ ngăl.” Jêhôsaphat tơl: “Pơtao ih 'nĕ kơ pơma thoi noh.”
1KI.22.9	Pơtao đe Isơrael krao minh 'nu bơngai yŏng păng khan: “Krao Mikai kon drŏ-nglo Imla năm tơ âu mă tĕnh.”
1KI.22.10	Kơplah noh pơtao đe Isơrael păng Jêhôsaphat pơtao đe Juđa hrŭk ao pơtao hơ-oei kơpal tang-dŏ pơtao tơ anih đe preh 'ba 'bơ̆t jê̆ 'măng jang Pơlei Samari. Đĭ-đăng 'bok khan lê̆ adrol oei pơma khan lê̆ adrol 'bơ̆t anăp bre sư. 
1KI.22.11	Sêđekia, kon drŏ-nglo Kênaana hơjơ̆m pơm hơke păng bơsei khan: “'Nâu Kră Yang khan: ‘Hăm hơke 'nâu ih gô tơ̆m pơlôch pơrăm pơđĭ lu bơngai Aram!’ ”
1KI.22.12	Đĭ-đăng lu bơngai khan lê̆ adrol pơma lei-lăi: “Tŏk blah bĕ pơlei Ramôt Gileat gô jei ih tơpă; “Kră Yang gô pơjao pơlei 'nâu lăm tơpang ti ih.”
1KI.22.13	Bơngai mă đe wơh năm krao Mikai 'noh, sư khan: “Lu 'bok khan lê̆ adrol, lu sư pôm jơhngơ̆m hăm nơ̆r pơtao hơpơi rŏ kơ nơ̆r ih kư̆m khan lê̆ adrol trŏ thoi lu sư. Pơma bĕ mă 'lơ̆ng.” 
1KI.22.14	Mă-lei Mikai khan: “Sĭt tơpă Kră Yang mă arih, inh gơh pơma tơdrong kiơ mă Sư athei inh pơma.”
1KI.22.15	Lăp Mikai tơ'bơ̆p pơtao, pơtao jet sư: “Ơ Mikai, bơ̆n hăm gơh năm blah Pơlei Ramôt Gileat ưh, dah mă lê̆ kơ năm blah đĕch?” Mikai tơl:
1KI.22.15	“Năm blah bĕ, gô jei bơ̆n; Kră Yang gô pơjao pơlei 'noh lăm tơpang ti ih.”
1KI.22.16	Mă-lei pơtao khan: “Dôm wơ̆t bơih inh athei ih pơma mă tơpăt 'bơ̆t anăp inh pơkă hăm anăn Kră Yang.”
1KI.22.17	Mikai khan: “Inh 'bôh đĭ-đăng bơngai Isơrael tơklah tơklang jơ̆p kơ kông kŏ thoi triu ưh kơ đei bơngai wei; păng Kră Yang khan: ‘Lu sư ưh kơ đei tơ'ngla, rim 'nu kơ lu sư athei brŏk tơ hnam kơdih hăm tơdrong hiôk-hian.’ ”
1KI.22.18	Pơtao đe Isơrael khan kơ Jêhôsaphat: “Inh đei roi kơ ih bơih sư 'nâu ưh kơ đei khan lê̆ adrol 'lơ̆ng kiơ gah inh, sư ling-lang khan lê̆ adrol kơnê̆ ngăl”
1KI.22.19	Mikai tơl: “Thoi noh, mơ̆ng bĕ nơ̆r Kră Yang khan: Inh 'bôh Kră Yang hơ-oei kơpal tang-dŏ pơtao păng đĭ-đăng linh jang 'lơ̆ng dơ̆ng awih awăn gah 'ma gah 'ngiĕo kơ Sư. 
1KI.22.20	Kră Yang jet: ‘Bu gô năm pơhlŭ Ahap, wă kơ sư tŏk tơ Pơlei Ramôt Gileat, na pơ̆k lôch tơ noh?’
1KI.22.20	Đei mơ'nah tơl khan thoi âu, đei mơ'nah khan thoi noh. 
1KI.22.21	Đei minh 'nu yang truh dơ̆ng 'bơ̆t anăp Kră Yang khan: ‘Lê̆ inh năm pơhlŭ sư.’
1KI.22.22	Kră Yang jet: ‘Ih pơhlŭ sư thoi yơ?’ Yang 'noh tơl:
1KI.22.22	‘Inh gô năm pơm yang pơma hơlĕnh lăm 'bơ̆r lu bơngai khan lê̆ adrol mă jang kơ sư.’ Kră Yang khan:
1KI.22.22	“Trŏ bơih, ih gơh năm, pơhlŭ sư lei ih năm bĕ păng pơhlŭ sư thoi nơ̆r ih pơma 'noh.’
1KI.22.23	Thoi noh na Kră Yang đei ăn minh 'nu yang pơma hơlĕnh lăm 'bơ̆r lu bơngai khan lê̆ adrol mă jang kơ ih. Kră Yang wă pơm kơnê̆ truh tơ ih.”
1KI.22.24	Kơplah noh Sêđekia, kon drŏ-nglo Kênaana, năm jê̆ Mikai, tap tơ'bŏk sư, na khan: “Yang bơhngol Kră Yang lĕch đơ̆ng inh trong ayơ, mă năm khan kơ ih?”
1KI.22.25	Mikai tơl: “Ih gô băt tơdrong noh, lăm năr ih kơdâu ôn tơ anih hrĕp kơnh.”
1KI.22.26	Pơtao đe Isơrael athei. “Rôp Mikai pơjao sư tơ Ammôn, kră pơgơ̆r pơlei păng jao kơ Jôas kon pơtao, 
1KI.22.27	khan: “Pơtao khan thoi âu: Rôp chĭt bơngai 'nâu lăm hnam bơnă, iŏk 'bĕng păng đak tŏ sĕt, rong pơmat sư dĭng truh năr inh brŏk hiôk-hian.”
1KI.22.28	Mikai tơl: “Tơdah ih brŏk hiôk-hian lei Kră Yang ưh kơ yua nơ̆r inh pơma ôh.” Sư khan dơ̆ng: “Ơ rim 'nu kon pơlei pơla, iĕm athei 'blŏk nơ̆r inh pơma.”
1KI.22.29	Thoi noh pơtao đe Isơrael păng Jêhôsaphat pơtao đe Juđa tŏk tơ pơlei Ramôt Gileat.
1KI.22.30	Pơtao Isơrael khan kơ Jêhôsaphat: “Inh năm tơ anih tơblah hrŭk hơbĕn ao hmă đĕch, mă-lei, ih kư̆ kơ hrŭk hơbĕn ao pơtao.” Thoi noh pơtao đe Isơrael hrŭk hơbĕn ao hmă pơm wă kơ đe ưh kơ băt na năm tơblah.
1KI.22.31	Kơplah noh pơtao đe Aram đei krao păng pơkă ăn kơ pêng-jĭt 'bar 'nu yŏng linh đei lu gre aseh: “Iĕm 'nĕ kơ blah bu hŏ, lu hơ'lơ̆p dah mă lu bơngai 'lŏ, iĕm athei blah rĕng kơ minh 'nu pơtao đe Isơrael đĕch.” 
1KI.22.32	Lăp lu yŏng linh gre aseh 'bôh Jêhôsaphat, lu sư khan: “To pơtao Isơrael tơ âu boih.” Na lu sư năm blah hloi pơtao mă-lei Jêhôsaphat ôr, 
1KI.22.33	lu yŏng linh wei gre aseh băt noh ưh kơ trŏ kơ pơtao đe Isơrael, na lu sư kơdŭn wih tơ rŏng ưh pă druh pơtao dơ̆ng.
1KI.22.34	Mă-lei đei minh 'nu linh lăm lu sư gŭt hră dan 'brơ̆m, na hră sư phanh tă tơ 'bơm hloi pơtao đe Isơrael, 'bơm 'bơ̆t pơtrơp ao mam klĕch tơ kơtơh sư hloi. Pơtao khan kơ bơngai mă chĕp gre aseh sư: “Dui gre aseh wih tơ rŏng ba inh weh đơ̆ng anih tơblah 'nâu, yua kơ inh 'bơm 'brơ̆m bơih.”
1KI.22.35	Lăm năr 'noh đei tơdrong tơblah rai tih; na đei bơngai bơring pơdơ̆ng pơtao lăm gre aseh sư, blah lu kon pơlei Aram. Truh kơsơ̆ sư lôch, pham lĕch 'bĕnh đơ̆ng rơka sư 'bĕnh kơ hơnă gre aseh. 
1KI.22.36	Lăp 'năr wă mơ̆t bơih đei nơ̆r pơma rơ̆n đơ̆ng lăm lu linh khan: “Rim 'nu athei brŏk tơ pơlei sư kơdih păng rim 'nu athei weh tơ char sư kơdih!”
1KI.22.37	Pơtao lôch, na đe chơ ba atâu sư tơ plei Samari 'bŭ sư lăm Pơlei Samari. 
1KI.22.38	Đe ôp gre aseh pơtao tơ dơnâu đak Samari, anih mă lu drŏ-kăn đi juăt kơ hum păng kŏ liah pham sư tơ noh, trŏ thoi nơ̆r Kră Yang đei khan bơih.
1KI.22.39	Dôm tơdrong jang Ahap, đĭ-đăng tơdrong jang pơtao đei pơm, hnam pơtao sư pơm păng bơla rôih păng đĭ-đăng lu pơlei sư man pơjing, đe đei chih lê̆ bơih lăm hla bơar hơ'mon lu pơtao đe Isơrael. 
1KI.22.40	Thoi noh Ahap lôch năm oei hơdai lu 'bok kơdră sư; Ahasia kon drŏ-nglo sư pơgơ̆r pơtrơp sư.
1KI.22.41	Jêhôsaphat, kon drŏ-nglo Asa pơm pơtao đe Juđa lăm sơnăm mă puăn lăm chăl Ahap pơm pơtao đe Isơrael. 
1KI.22.42	Jêhôsaphat pơm pơtao đe Juđa sư 'nao pêng-jĭt pơđăm sơnăm đĕch; sư pơgơ̆r 'bar-jĭt pơđăm sơnăm tơ Pơlei Jêrusalem. Mĕ pơtao anăn Asuba, kon drŏ-kăn 'bok Sihli. 
1KI.22.43	Sư năm kiơ̆ trong gơlong Asa, 'bă sư ưh kơ weh trong nai, sư pơm 'lơ̆ng tơpăt 'bơ̆t anăp Kră Yang. 
1KI.22.44	Mă-lei pơtao ưh kơ đei yuih lê̆ lu anih kơkuh tơ anih kơjung, na lu kon pơlei oei năm pơm yang păng oei soh 'long pơgang 'bâu phu tơ lu hnam yang tơ anih kơjung noh. 
1KI.22.45	Jêhôsaphat oei pơgơ̆p hiôk hơiă dih băl hăm pơtao đe Isơrael.
