GEN.1.1	Di katbuan, Dwata mimò langit na banwe. 
1PE.1.5	Fagu di kafaglutyu smalig gamu toon gamu kanlung fagu di kgal tulusan, kloyu fatan i kagalwàyu landè gusenan, i tagatlagad fiten di gamu di fulé duh.
1PE.1.6	Taman too gamu flehew, balù di là mlo ani gnaguyu dee bung kaflayam. 
1PE.1.7	Nun kaflayamyu, du neye ku untù i kafaglutyu. Du balù i blawen fakay malmo, tnaga di lifoh, du neye ku untù blawen, na mabtas fa i kafaglutyu di blawen, taman là fakay ku là tnilew, du fye mgal. Na ku untù i kafaglutyu, gamdawat gamu kdayen, kdatah, na afè di duh kasfulê Dyisas Krayst.
1PE.1.8	Na balù làyu lmen mite ku Dyisas Krayst, knean bong nawayu kenen. Na balù làyu fa kenen teen, knean too gamu faglut di kenen, na too nun klehewyu, i klehew mdà di Dwata di langit, i làyu gagan tulen i kafyen. 
1PE.1.9	Too nun klehewyu du mdà di kafaglutyu di ku Dyisas, gdawatyu i kagalwàyu.
1PE.1.10	Na gablà di kagalwà ani, i dad tugad Dwata di muna, tagnè tmulen gablà di kafye blé Dwata di gito, na toola fandam na mngabal ale, 
1PE.1.11	ku kilen na ku tan kfagu Dwata dmohò i tafgadè Tulusan di dale. Na én bang tagatdò Tulus Krayst dale, dunan funa gagu Krayst di kaflayam, bay kafnge ani, fdatah Dwata kenen. 
1PE.1.12	Fite Dwata di dale i tafgadèla ise dale gufye, bay gamu gufye. Na kdee tatulenla tagatdò di gamu fagu di dad to tamdò i Fye Tulen, fagu di gnagan Mtiu Tulus dek Dwata mdà di langit. Balù dad kasaligan Dwata toola kayè moon ku glabatla kdee én.
1PE.1.13	Taman tooyu fkah di fandamyu klalòyu Dwata, du fye landè gablabal di klalòyu kenen. Na too gamu fgeye na fnè di nawayu i kfatanyu, dunan i kafye blé Dwata gamu kadang di duh kasfulê Dyisas Krayst. 
1PE.1.14	Na du gamu sa dad ngà Dwata, nimenyu kenen, na nangyu nimen i sasè knayèyu, salngad kimenyu di lamyu fa là gmadè kenen. 
1PE.1.15	Kabay di kdee nimòyu nang gamu fagsalà, bay fasngadyu i nimòyu di nimò Dwata i malék gamu, du là kenen fagsalà. 
1PE.1.16	Du nun fsulat Dwata, manan, “Nang gamu fagsalà, du là agu fagsalà.”
1PE.1.17	Nangyu glifet i Màyu ditù di langit i gudmasalyu, landè fnalabin di kukuman, na nukuman gamu kadang fagu di mgimòyu ku fye demen sasè, taman fye ku too nun klikòyu kenen, kloyu mnè di tah tanà ani. 
1PE.1.18	Du tagadèyu ise ku salafì demen blawen i nun gusenan, i sò Dwata gamu mdà di dad nimòyu i landè gukmamu, i nimò taganbetyu mdà di dad gutambulyu, 
1PE.1.19	bay i sò gamu, dunan i too mabtas litè Krayst. Salngad kenen tingà bilibili too landè gukulangan dsù di Dwata. 
1PE.1.20	Di là fa mgimò i banwe, tanalék kenen Dwata du fye falwaan i dad to, bay silangan fite Krayst di tah tanà ani, di bang ani, du fye tnabengan gamu. 
1PE.1.21	Fagu di kenen, too gamu faglut di Dwata i mték kenen mdà di fatin na fdatah kenen. Taman ani gumdàyu faglut na smalig di Dwata.
1PE.1.22	Na du tagimenyu i kaglut mlaneb gamu, na nun glut kasakdoyu di dad demeyu faglut. Taman tooyu tananù i kasakdoyu, mdà di nawayu. 
1PE.1.23	Du ani, tambaling gamu dad ngà Dwata, na tanun falami nawayu ise nawa mdà di dad tuayu i nun gusenan, bay i nawa landè sen mdà di Dwata. Tagdawatyu nawa ani di kdawatyu Tnaluan i landè gusenan, 
1PE.1.24	du man Tnalù Dwata,
1PE.1.24	“I kdee dad to mlal mati,
1PE.1.24	salngad i bnas.
1PE.1.24	I kafye kagkahla mlal magwè,
1PE.1.24	salngad i bulek di bnas mlanas na mtatek,
1PE.1.25	bay Tnalù Amuito Dwata landè gusenan.”
1PE.1.25	Na Tnaluan ani, dunan i Fye Tulen tagatdò di gamu.
1PE.2.1	Du tamgimò gamu dad ngà Dwata, tnagakyu i kdee sasè nimòyu, i klimbungyu, kaflinguyu, kingà nawayu, na ktalùyu sasè gablà di demeyu to. 
1PE.2.2	Kabay salngad i dad ngà falami sut too mibal tmutù gatas, tooyu nibal i mtiu gatas, dunan Tnalù Dwata, du fagu déén lamnok i kafaglutyu na fye sikof i kagalwàyu. 
1PE.2.3	Fye ku én tooyu nibal, du tagnemyu i bong kafye Amuyu Dyisas Krayst.
1PE.2.4	Fdadong gamu di ku Dyisas, du kenen gumdà i nawa landè sen. Kenen salngad i batu knang i dad to fdak gumnè, du man nawala landè gukmamula dun, bay knean, kenen mgalék Dwata, du kenen too mabtas di Dwata. 
1PE.2.5	Na gamu i tagumlén i falami nawa, fdadong gamu di kenen, du fye mbaling gamu dad batu imò Dwata i gumangamfù di kenen. Na fbalingan gamu dad to damsù di kenen, fagu di kalak Tulus Dwata. I dsùyu dnawat Dwata, dunan i kabléyu ktoyu di kenen, na kdayenyu kenen fagu di mgimò Dyisas Krayst, 
1PE.2.6	du gman Dwata di Tnaluan, manan,
1PE.2.6	“Fkahgu satu to di banwe Sion,
1PE.2.6	salngad kenen i mabtas batu tamgalékgu du gufdak i gumnègu,
1PE.2.6	na ku simto smalig di kenen
1PE.2.6	landè gugdanà i nawala.”
1PE.2.7	Na di gamu dad faglut, too mabtas batu ani. Kabay dad to là faglut knangla kenen, du ani gman Dwata di Tnaluan, manan,
1PE.2.7	“I batu knang i dad to fdak gumnè batu,
1PE.2.7	én baling i too mabtas batu di kdee.”
1PE.2.8	Na lêmanan man,
1PE.2.8	“I batu ani gugsindul i dad to,
1PE.2.8	i batu gutlaabla.”
1PE.2.8	Tagnè fandam Dwata gsindul ale na tlaab, du là ale mimen Tnaluan.
1PE.2.9	Kabay gamu sa i dad to mgalék Dwata du fbalingan gamu dad ton, i dad to mgimò Hariito Dwata i damsù di kenen, dad to matlu gakuf di kagotan, dad to nfunan fye gamtulen i dad fye mgimoan, du tatlon gamu mdà di gukmifun, na fsalun di gumalwan. 
1PE.2.10	Du di muna fa, ise gamu fa dad to Dwata, bay ani, gamu dad ton. Di muna, làyu fa gdawat kakdo Dwata gamu, bay ani tatooyu gdawat.
1PE.2.11	Dad flanekgu toogu kando, ani toogu man di gamu, du alò gamu flo mnè di tah tanà ani, na banwe ani ise glut gumnèyu. Nangyu nimen i sasè knayè i lawehyu, du ani gal sfati di lam nawayu. 
1PE.2.12	Tooyu fite di dad to là faglut i katlu nimòyu, du fye balù nun dmalam gamu, teenla baling dad nimòyu too fye, na dnayenla Dwata di duh kukuman dale.
1PE.2.13	Tooyu nafè i kdee dad ganlalyu, du én knayè Amuito Dwata mdà di too mdatah ganlal magot i banwe, 
1PE.2.14	kel di dad gubirnador, du dale i mablé glal mlayam i dad to mimò sasè, na dmayen i dad to mimò fye. 
1PE.2.15	Knayè Dwata ku fagu di kimòyu fye, landè timel i dad to là fulung faldam i là mayè gamlabat i kaglut. 
1PE.2.16	Balù tafalwà gamu Krayst Dyisas, nangyu fandam ku fakayyu snafang sasè nimòyu, bay fiteyu gamu dad salig Dwata fagu di fye nimòyu. 
1PE.2.17	Tooyu nafè kdee dad to, kandoyu dad demeyu faglut, kanlikòyu Dwata, na nafèyu i gumdatah magot gamu.
1PE.2.18	Na gamu dad fasak tooyu nafè i amuyu, na tooyu nimen i dekla gamu, balù ku fye ku demen sasè kibòla gamu. 
1PE.2.19	Du Dwata mlé gamu kafye ku gamtayud gamu di sasè kibòla gamu balù landè salàyu du mdà di klalòyu knayean.
1PE.2.20	Kabay ku gamtayud gamu di kaflayam mdà di dad sasè nimòyu là mlé Dwata gamu kafye. Kabay ku gamtayud gamu i kaflayam balù ku fye nimòyu, én sa gumlé Dwata gamu kafye. 
1PE.2.21	Gamtayud Dyisas Krayst di kaflayaman, du fye galwà gamu di kaflayam landè gusenan, taman kenen sa i guflingen fye lalòyu, du tanalék gamu Dwata, du fye lalòyu i nimò Krayst Dyisas.
1PE.2.22	Laan lmen gamsalà, na laan lmen tmulen kéng. 
1PE.2.23	Di ksilola kenen landè timelan sasè, di kaflayamla kenen laan man ku malas. Kabay balingan salig i kton di Dwata, du matlu kukuman. 
1PE.2.24	Kenen mebe kdee salaito di lawehan di klansang kenen di krus, du fye galwà ito di kgikat di salà, na gimoito i matlu nimò i knayean. Fagu di kdee kaflayaman ani tamgulê gamu. 
1PE.2.25	Du di muna, di làyu fa gadè Dyisas Krayst, salngad gamu i dad bilibili tatlas, bay ani, taneben gamu samfulê fye lalòyu Krayst i Mifat na Kamlung gamu.
1PE.3.1	Na salngad kafngewegu gamu dad libun nun yaan, fdanàyu i ktoyu di yaanyu, du fye i dad yaanyu là faglut Tnalù Dwata, gebeyu di kafaglut balù landè manyu di dale 
1PE.3.2	di kitela i kafèyu Dwata na i katlu nimòyu di dale.
1PE.3.3	Nangyu fandam ku én gumdà i kafye bawehyu di kafkahyu wakyu, dad kas blawen lsakyu, na kalsakyu i klaweh too mabtas. 
1PE.3.4	Du én baling gumdà kafye baweh i libun, dunan i kafye mnè di lam nawan, fye ldam, na ktanak nawa, du ani too mabtas di kite Dwata. Ani too glut kafye baweh landè gufwaan. 
1PE.3.5	Du i dad libun di muna fa, i smalig di Dwata, én nimòla du fye too fye bawehla. Mimen ale dad yaanla. 
1PE.3.6	Salngad ku Sara, du nimenan yaanan Abraham, na katlon kenen amun, na gamu sa dad bel Sara ku matlu nimòyu na landè kanlikòyu.
1PE.3.7	Salngad gamu dad lagi nun yaan, di knèyu di yaanyu, nifatyu ale du gadèyu mlungay fa dad libun di gamu. Nafèyu ale, du salngad gamu, banlé ale Dwata nawa landè sen. Ani nimòyu, du fye landè gamlabal kdasalyu di Dwata.
1PE.3.8	Na nun fa mangu di kdeeyu, tooyu sansatu i fandamyu na nawayu, na sagin gamu di klehew na klidù nawa, sakdo gamu du saflanek gamu di kafaglut, safye gamu, na safdanà gamu nawa. 
1PE.3.9	Ku nun to mimò sasè di gamu, nang gamu malas sasè. Na ku nun smilo gamu nangyu kenen snilo. Kabay én baling balasyu dale i kafye mdà di Dwata, du mgalék gamu Dwata, du fye banlén gamu kafye, 
1PE.3.10	du gman di Tnalù Dwata,
1PE.3.10	“Mayè gamu kè ku nun fye knèyu na ku mlawil gamu?
1PE.3.10	Mayè gamu kè ku nun klehewyu?
1PE.3.10	Ani kibòyu, too fgeye du fye là gamu talù sasè,
1PE.3.10	na nang gamu tmulen kéng.
1PE.3.11	Tnagakyu dad sasè nimòyu, na nimòyu i fye,
1PE.3.11	na tooyu lalò dalan kasaglabat na ksasatu nawa.
1PE.3.12	I Amuito Dwata, toon neye i dad to matlu,
1PE.3.12	na fanlingen i dasalla di kenen.
1PE.3.12	Kabay dad to mimò sasè toon knang, talaan ale fnalê.”
1PE.3.13	Ku tooyu kah di nawayu mimò fye, landè sa to fsasè gamu. 
1PE.3.14	Kabay balù ku maflayam gamu mdà di nimòyu fye, banlén gamu klehew! Nang gamu likò i demeyu to mayè mlayam gamu, na nangyu fsamuk nawayu. 
1PE.3.15	Kabay nafèyu Krayst mdà di nawayu, du kenen sa Amuyu. Na fatlagadyu i fandamyu tmimel dad to smalek gamu gablà di kafaglutyu di kenen.
1PE.3.16	Kabay di ktimelyu dale, fanganagyu i kastulenyu, na fiteyu kafèyu dale, du fye landè gumyàyu di Dwata, du fye myà i dad to mangman sasè gablà di fye nimòyu du lalòyu Krayst. 
1PE.3.17	Du fye fa ku mdà di knayè Dwata maflayam gamu mdà di fye nimòyu, ise ku mdà di kimòyu sasè.
1PE.3.18	Fandamyu Krayst du maflayam duenan gamu, du magu di fati di kbayadan dad salà, bay alò sulê. Tagnè kenen matlu, bay mati kenen tlas dad to là matlu, du fye geben gamu di Dwata. Gfatila i lawehan, bay layefan tamto. 
1PE.3.19	Di kafto i nawan, i layefan salu di gumilanggù i dad to tamati di muna fa, na tamdò dale. 
1PE.3.20	Na ani layef i dad to di muna là mimen Dwata balù fantahaan nawan fatan i ksalla di klo Nowa mimò i aweng. Kabay là dee, alò walu dad to fusuk di aweng na galwà di dunuk mlimun i klamang tanà.
1PE.3.21	Na i yéél gugalwàla ani i guflingen i kbunyag gafalwà gamu. I kbunyag ise dalan kalob i laweh, bay satu ilè takafniyu di Dwata fye nlaneban i sasè di nawayu. Galwà gamu du tamték Dyisas Krayst mdà di fati. 
1PE.3.22	Tasalu kenen di langit, na mnè di gsen kwanan Dwata, du kenen magot i kdee dad kasaligan, i kdee nun glal di langit, na kdee dad mtulus.
1PE.4.1	Taman du maflayam Dyisas di tah tanà ani, di kakel i kaflayam di gamu, tooyu fangal nawayu tmayud, salngad kenen, du ku maflayam laweh i satu to, talandè ayean mimò salà. 
1PE.4.2	Taman mdà ani, tooyu fkah di nawayu mimen knayè Dwata kloyu fa mnè di tah tanà, na nangyu nimen i sasè knayèyu. 
1PE.4.3	Du di muna, dee sasè nimòyu i knayè nimò i dad to là faglut, dunan i magagyà nimò, i sasè knayè lawehyu, gal gamu flangal na dee sasè nimòyu di kaflangalyu, na kfangamfùyu di ise glut dwata. 
1PE.4.4	Kabay di bang ani, i dademeyu sagbet di kimòyu dad sasè nimò, too ale tikeng, du talà gamu sa samnagin dale di dad sasè nimòla ani. Taman galla gamu nadoy. 
1PE.4.5	Kabay kadang di fulé duh, tmimel ale di Dwata gablà di kdee dad mgimòla, du gatlagad kenen mukum i dad to là fa mati na dad to tamati. 
1PE.4.6	Taman tamatdò i Fye Tulen mdà di Dwata di dad to tamati, du fye gamdawat ale nawa landè sen salngad nawa Dwata, balù gagu lawehla di fati. Mati lawehla, du ani gnagu i kdee dad to.
1PE.4.7	Tamdadong gusen i kdee di tah tanà ani, taman tooyu fkah i kaglut di fandamyu, na dnanyu ktoyu, du fye landè gamlabal i kdasalyu di Dwata. 
1PE.4.8	Mabtas di kdee, too gamu sakdo, du kasakdo i gamlimun i dee dad salà. 
1PE.4.9	Too gamu fyak i dad demeyu magu di klaan nawayu, na nang mugak.
1PE.4.10	Kat satu gamu, faguyu i dad sahal gnagan gablé Dwata di gamu, di ktabengyu demeyu dad to, na fiteyu di dale i dad dee bung kafye gablé Dwata. 
1PE.4.11	Kaflingengu dun, ku i gnagan blé Dwata di satu to i kfulung tamdò, fye ku too kenen tamdò Tnalù Dwata salngad ku Dwata tamdò. Ku i gnagan blé Dwata di kenen i kfulung tmabeng i demen to, toon nimò gusen i gal blé Dwata kenen, du fye di kdee nimoito, too magdayen Dwata fagu di ksasatuito di ku Dyisas Krayst. Du alò kenen gablà dnayen, na kenen alò nun eneg na glal magot i kdee kel di landè sen. Amén.
1PE.4.12	Na dad flanekgu toogu kando, nang gamu tikeng di blat kaflayam tamkel du tmilew gamu. Nangyu fandam ku mahal i gnaguyu di gnagu i demeyu dad faglut. 
1PE.4.13	Kabay too gamu flehew, du gakuf gamu di kaflayam Krayst, fye matnù klehewyu di duh kasfuléan, di kfite i kdatahan. 
1PE.4.14	Nun kafyeyu ku nadoy gamu i dad to mdà di klalòyu ku Krayst, du ani ilè tamnè di nawayu Tulus Dwata too mdatah. 
1PE.4.15	Ku maflayam gamu, fye ku là mdà di kbanòyu demeyu to, di ktakuyu, di dademe sasè nimòyu, na balù di klabetyu di nimò i demeyu to. 
1PE.4.16	Kabay ku maflayam gamu, du mdà di klalòyu ku Krayst Dyisas, nang gamu myà, bay balingyu dnayen Dwata du tanfun gamu Krayst.
1PE.4.17	Takel i bang Dwata tambù mukum, na funan nukum i dad to faglut di kenen. Na ku tanbuan i kukuman di gito dad faglut, tan i gukel i dad to là mayè mimen i Fye Tulen mdà di kenen, 
1PE.4.18	du gmanan di Tnalù Dwata, manan,
1PE.4.18	“Ku malima galwà i dad to fye,
1PE.4.18	lumban fa kalima kagalwà i to sasè na i to gamsalà.”
1PE.4.19	Taman i dad to maflayam mdà di knayè Dwata, fadlug ale mimò fye, na saligla i ktola di Dwata i mimò dale, du toon dnohò i kdee fakangan.
1PE.5.1	Na nun fnigu gamu dad ulu i dad to faglut, du deg satu demeyu ulu, na tateengu dad kaflayam gnagu Krayst, na nun alelgu di kdatahan fiten di kasfuléan. 
1PE.5.2	Taman tooyu nifat dad to tasalig Dwata di gamu, du ale gambet dad bilibili na gamu mifat dale. Na di kifatyu dale nang ku fagu di kleges i nawayu, bay mdà di ayèyu mimò dun, du ani kayè Dwata. Nang ku én duenyu mimò dun, du alòyu kayè i taden, bay nifatyu ale du kayèyu too tmabeng dale. 
1PE.5.3	Na nangyu fdatah ktoyu di dad to fifat Dwata gamu di kebeyu dale, bay fiteyu di dale gamu i dad to fye gumlalòla. 
1PE.5.4	Na di kasfulê Too Mdatah Mifat, blén di gamu alelyu di kdatahan i landè gufwà i knengan.
1PE.5.5	Na gamu fa dad lamnok lagi, nimenyu dad tua di gamu. Na kdeeyu fdanàyu ktoyu di dad demeyu na stabeng gamu, du gman di Tnalù Dwata,
1PE.5.5	“I dad to fdatah i ktola, knang Dwata,
1PE.5.5	bay blén kafye di dad to fdanà i ktola.”
1PE.5.6	Taman fdanàyu ktoyu di Dwata, i too mtulus, du fye toon gamu fdatah kadang kakel i bang knayean. 
1PE.5.7	Tooyu salig di Dwata kdee gamsamuk i nawayu, du kenen too mifat gamu.
1PE.5.8	Na tooyu dnan i ktoyu, na tooyu fangeye kdee nimòyu, du Satanas dmuen gamu, lamngab salngad i bong labè lmanaf liyun, du mngabal i to fakayan falmo. 
1PE.5.9	Taman tooyu tangal i kafaglutyu di Dwata, du fye gaganyu misan ku Satanas, du gadèyu kdee dad flanekyu faglut dini di tah tanà lê magu i dad kaflayam gnaguyu. 
1PE.5.10	Kafngeyu magu di kaflayam là mlo, Dwata gumdà kdee kafye, i malék gamu du fye gagin gamu di kdatah Krayst kel di landè sen, snikofan i gukulangyu, na tangalan i kafaglutyu, du fye gamtayud gamu di kdee mkel di gamu. 
1PE.5.11	Dwata magot i kdee, na landè gusen i kagotan. Amén.
1PE.5.12	Na di ksulatgu i fukal sulat ani di gamu, én tmabeng deg smulat Silbanus, satu flanekito faglut fandamgu too gsalig. I duengu smulat du fye tangalgu i kafaglutyu, na di sulatgu ani fgadègu i glut kafye Dwata. Taman ani tooyu gutadag.
1PE.5.13	I demeyu faglut dini di banwe Babilon i mgalék Dwata, na Mark i too tingàgu di kafaglut, manla fandamla gamu kun. 
1PE.5.14	Tooyu fite i kasakdoyu du tasaflanek gamu di kafaglutyu di ku Krayst Dyisas.
1PE.5.14	Kayègu ku blé Dwata di kdeeyu nfun Krayst ktanak nawa.
2PE.1.1	Agu Simon Fiter satu salig Dyisas Krayst na satu to galan dek.
2PE.1.1	Smulat agu di gamu i dad to gamdawat i mabtas kafaglut, salngad i tagdawatmi fagu di katlu Dwata na Dyisas Krayst, i To Falwà gito.
2PE.1.2	Kayègu ku too gamu banlé Dwata kafye na ktanak nawa, fagu di kgadèyu kenen na Amuito Dyisas.
2PE.1.3	Na fagu di kgal tulus Dwata, tagablén di gito kdee gukulangito, du fye gfunito falami nawa, na fye gaganito lalò i kdee knayean. Tagablén ani fagu di kgadeito Dwata, i malék gito, du fye nun alelito di kdatahan na kafyen. 
2PE.1.4	Fagu dini tablén di gito dad mabtas kafye fakangan, du fye fagu di kablén ani, nun alelyu di katlu Dwata, du fye galwà gamu di kalmo i dad to di tah tanà ani, mdà di dad sasè knayèla.
2PE.1.5	Du ani sa mgimò Dwata di gamu, taman, tooyu tnù di kafaglutyu i fye nimò, tnùyu di fye nimò i kgadè gablà di Dwata, 
2PE.1.6	tnùyu di kgadèyu i kagadnan i ktoyu, tnùyu di kagadnan i ktoyu i ktayud, tnùyu di ktayudyu i klalòyu knayè Dwata, 
2PE.1.7	tnùyu di klalòyu kenen knayè i kasakdo di demeyu faglut, na tnùyu di kasakdo i kakdo i kdee dad to. 
2PE.1.8	Na ku nun di gamu dad fye nimò ani, na ku fadlug matnù, too nun gukmamu i kafaglutyu, na nun too fye bungen fagu di kgadèyu Amuito Dyisas Krayst. 
2PE.1.9	Kabay ku nun to laan lalò i kdee gmangu ani, butè kenen du laan fa glabat i kaglut na taglifetan klaneb kenen mdà di dad muna salaan.
2PE.1.10	Taman dad flanekgu, tooyu fkah di nawayu i kalék Dwata gamu na mimò i kdee gmangu di gamu, du fye fiteyu too glut gamu i dad tamgalék Dwata, na ku ani i nimòyu, là gamu tlaab, 
2PE.1.11	na gamdawat gamu i kaglut fusuk di banwe nagot Dyisas Krayst, i Amuito na To Falwà gito, na landè sen i kagotan dun.
2PE.1.12	Na balù tagadèyu i dad gmangu di gamu én, na tooyu gadè i kaglut tagdawatyu, knean kayègu gal fafaldam gamu du kdee ani slame mabtas. 
2PE.1.13	Klogu fa di tah tanà ani, fandamgu fye ku fafaldamgu gamu gablà di dad mangu én, 
2PE.1.14	du gadègu là sa mlo mati agu, du ani fgadè Amuito Dyisas Krayst deg. 
2PE.1.15	Én duengu too mimò ani, du fye ku tamati agu làyu glifet i tagatdògu di gamu.
2PE.1.16	Na di muna, di katdòmi gamu gablà di ktulus Amuito Dyisas Krayst na i kasfuléan dini, ise én lalòmi i dad santulen gal nimò dad to mdà di fandamla. Kabay toomi gadè i kaglutan, du tateenmi bong kneng i kdatahan. 
2PE.1.17	Du tadéén gami di kdawatan i kafè na kdatah mdà di Maito Dwata, na talingemi talù Dwata mdà di bong kneng langit, manan, “Ani Tingàgu toogu kanbong nawa, na too fye nawagu kenen.” 
2PE.1.18	Gami sa mlinge i talù Dwata mdà di langit, di kaginmi ku Dyisas di bulul di kafdadong Dwata di kenen.
2PE.1.19	Taman matnù kgadèmi i kaglut i gman dad tugad Dwata di muna fa, na fye ku tooyu fkah di nawayu i gmanla, du i gmanla gambet salò gamtuyal dini di too gukmifun kel flafus na msut i blatik smitong i lwa, na too magtuyal di lam nawayu.
2PE.1.20	Na tooyu fkah di nawayu i mangu ani, du fye làyu glifet, dunan én gman i dad tugad Dwata ise di dale fandam gumdaan.
2PE.1.21	Du ise én gumdà dad tdò dad tugad Dwata di fandam i dad to, bay i dad to én nebe Mtiu Tulus na tulenla mdà sa di Dwata.
2PE.2.1	Di muna fa, nun di dad to flingu ale kun tugad Dwata. Na lêman ani, nun dad to kadang mdà di gamu flingu ale dad tamdò Tnalù Dwata. Na i tdòla kakakéng gafalmo i kafaglutyu, na knangla Amuito, i magot kdee na tamayad i dad salàla. Taman too makto kel di dale i kalmola. 
2PE.2.2	Balù én, too dee dad to kadang mlalò i magagyà nimòla. Taman fagu di sasè nimòla ani, i dalan i kaglut salu di Dwata magsilo. 
2PE.2.3	Mdà di klom nawala filak, fangawla gamu fagu di dad santulen alò mdà di dale fandam, du fye gamwè ale filak di gamu. Kabay tasana ale nukum Dwata, na gatlagad i kafalmo dale.
2PE.2.4	Du balù dad kasaligan ditù di langit i gamsalà, là fbayà Dwata dad salàla, bay batan ale di lam sol too kmifu gumilanggù dale, na déén gufatanla i Duh Kukum. 
2PE.2.5	Salngad én i dad to di klamang banwe di muna fa, di bang Nowa, là fbayà Dwata i dad salàla, du fanlayaman ale fagu di bong dunuk, na gakuf i kdee dad to mimò sasè. Én alò falwaan, Nowa, i tamdò matlu nimò, na fitu dademe. 
2PE.2.6	Nukum Dwata di salà i dad to di dad banwe Sodom na Gomora du fagu di lifoh, fti snakuf lwe banwe ani, du nimoan guflingen i mkel di dad to là mlalò kenen. 
2PE.2.7	Kabay falwaan Lat, satu to matlu. Too msamuk i nawa Lat, gablà di magagyà nimò dad sasè to di lwe banwe ani. 
2PE.2.8	Du i matlu to ani, klon mnè di saféd dad to én, too msamuk i nawan mdà di magagyà nimòla teenan na lingen klit i duh.
2PE.2.9	Taman too fulung Dwata falwà i dad to mlalò kenen mdà di dad tilew, na lê kenen fulung makus na mlayam i dad to mimò sasè kel di Duh Kukum. 
2PE.2.10	Lumban flayaman i dad to too mlalò i sasè knayè lawehla, na i dad to madoy kdee nun glal.
2PE.2.10	I dad to tamdò kakakéng, too ale labè na too fdag, na landè afèla dad mdatah kasaligan Dwata, bay balingla ale nadoy. 
2PE.2.11	Kabay dad kasaligan balù mtulus ale na bong fa gnaganla di dad to tamdò kakakéng, knean là ale dmalam gagin i kadoy i dad demela di muna Dwata.
2PE.2.12	Kabay i dad to én, i mebe dale i knayèla, du là ale fulung faldam, salngad ale dad labè lmanaf di bnas, alò sut du fye kanfè na fnati. Nadoyla na knangla kdee làla glabat, bay kadang satu duh, nun falmo dale, salngad dad lmanaf di bnas.
2PE.2.13	Bnalas ale kadang i kaflayam flayamla i dademe. Én toola kanlehew mimò i kdee bung knayè lawehla balù mduh. Na ale gumdàyu myà ku makuf ale di gamu kmaan, du falmola dengeg i dad faglut, na lehew ale di kafgawla gamu. 
2PE.2.14	Én alò fanngaballa dad sasè libun. Landè gubsolla di kimòla salà. Na gamgebe ale dad to mlungay di kafaglutla. Too lom i nawala, na fulung ale mwè i toola kayè. Kabay falmo ale Dwata!
2PE.2.15	Knagolla i matlu dalan, taman tlas ale, na balingla lalò i dalan Balaam tingà Biyor i mbong nawa filak gwean di too sasè nimoan. 
2PE.2.16	Kabay nngak tugad Dwata mdà di salaan, du ftalù Dwata i dongki snakayan fye mngak kenen fagu di talù to, du fye là gafles Balaam di kbook nimò.
2PE.2.17	I dad to tamdò kakakéng, salngad ale sfuten tamti, na i labun ku falis nus. Na tanun gumnèla too mgat kifu i tatagà Dwata dale. 
2PE.2.18	Na i manla slame fdatah i ktola fagu di katdòla i tdò landè gukmamu dun. Na dad to falami galwà mdà di dademe mnè fa di salà, fangawla fagu di dad sasè knayè lawehla.
2PE.2.19	Fakangla di dad to én, balù tan kayèla nimò fakayla nimò, bay dale, magfasak ale di sasè nimò i galla nimò, i gafalmo dale, du balù tan magot i nawa satu to, én sa gumagfasakan. 
2PE.2.20	Ku tagalwà i dad to di magagyà nimò i dad to di tah tanà, fagu di kgadèla Amuito Dyisas Krayst i Falwà gito, na baling ale lêman mgikat na gfisan di dad sasè nimò én, too lumban fa i ksasè kagkahla di muna. 
2PE.2.21	Fye fa ku làla glabat gablà di dalan gumbalingla matlu, di kaglabatla na balingla knagol i mtiu tdò i gatdò di dale. 
2PE.2.22	I kasfulê dad to én di muna sasè nimòla, kagdohò i fléd gman, “I ayem, sanfuléan knaan i utaan,” na, “I sdè kafnge danyo lêmanan flulid di fitak.”
2PE.3.1	Dad flanekgu kanbonggu nawa, ani i galwe sulatgu di gamu. Di lwe sulatgu, fafaldamgu gamu i dad tagadèyu, du fye matlu i fandamyu dun. 
2PE.3.2	Kayègu ku làyu glifet i dad gman dad tugad Dwata di muna fa, na i dek Amuito i Falwà gito fagu di gami i dad to galan dek.
2PE.3.3	Funa, too mabtas ku gadèyu ku mdadong gusen i banwe, kel i dad to madoy. Lalòla i sasè knayèla, na nadoyla gamu, 
2PE.3.4	na snalekla, “Tanè sa Dyisas, ise kè makang kenen samfulê? Mdà di kfati i dad gutambulmi kel ani, knean i knean landè gumgili i banweito mdà fa di kimò dun.”
2PE.3.5	Kabay balingla nlifet, di muna fa fagu alò di talù Dwata, mgimò i langit na tanà, na yéél imoan i tanà, na fsutan i tanà mdà di yéél. 
2PE.3.6	Na lêman fagu di yéél fdunukan i tanà, du di bang én falmon kdee dad to di tah tanà. 
2PE.3.7	Na lêman fagu di talù Dwata, falmon kadang i langit na tanà teenito ani fagu di lifoh, bay ani, nifatan fa kel di bangan mukum na falmo i dad to sasè là mlalò kenen.
2PE.3.8	Kabay dad flanekgu kanbonggu nawa, nangyu glifet ani, dunan di fandam Amuito Dwata i sduh salngad klo i mlibu fali, na i mlibu fali salngad klo alò i sduh. 
