GEN.1.1	A tung in Pathian in lei leh van a siam.
ACT.20.35	Bangkim ka hih peuhmah na chin ding ua ka hih ahi, huchibang a semgim leh, Toupa Jesu thu theigige kawm in mihatloute na panpih ding uh ahi; amahmah in, ‘laksang in piak in lukhong a neizaw’ a chih” a chi hi.
ACT.20.36	Huai thu a genkhit in a khukdin a, avek un a thum uhi. 
ACT.20.37	Huan avek un a kap huphup ua, Paul ngawng ah kawi in a tawp uhi. 
ACT.20.38	A mel a muhnawn taklouh ding thu a gen a lungkhamna pen uh ahi. Huan long pha in amah a va kha uhi.
ACT.21.1	Huan hichi a honghi a, amaute toh ka kikhen ua, long in ka pawt ua, huaikhit in tangtak in Kos tuikulh ka tung ua, a zing in Rodi tuikulh ka tung nawn ua, huai a kipan in ka pai zel ua, Patara khua ka tung uhi. 
ACT.21.2	Phoinisia gam paiding long khat ka mu ua, ka tuang ua, ka pai zel uhi. 
ACT.21.3	Huan Kupra tuikulh ka mu ua, veilam pang ah ka kheng ua, Suria gam ah ka pai zel ua, Tair khua ah longvan nawnkhiak ding a om manin ka kumphot uhi. 
ACT.21.4	Nungzuite ka zongkhia ua, huai ah ni sagih ka tam uhi; huan Kha theihsak in Paul kiang ah, Jerusalem khua a hohtou lou ding in a chi uhi. 
ACT.21.5	Himahleh huai nite khitin ka pawt ua ka paita ua, unaute’n avek un, a zi a tate utoh khopi pua dong a hongkha ua; tuipi piau ah ka khukdin ua, ka thum uhi. 
ACT.21.6	Huan Mangpha ka kikhak zohun, long ah ka tuang ua, amau bel a inn uah a pai nawnta uhi.
ACT.21.7	Tair khua a kipan long a ka paikhit un Ptolema khua ka tung ua, unaute chibai ka buk uhi, a kiang uah ni khat ka nituang uhi. 
ACT.21.8	Huan a zing in ka pawt ua Kaisaria khua ka tung ua huai ah Tanchinhoih genpa, Philip inn ah ka lut ua, amah tuh sagihte lak a khat ahi a, a kiang ah ka tam uhi. 
ACT.21.9	Huai mi’n tanu li, nungak siangthou ngen a nei a, amau zawlnei bang in thu a genkhol zel uhi. 
ACT.21.10	Huai ah ni tampi ka tam ua, huailai in Judia gam a kipan a min Agaba zawlnei khat a hongsuk hi. 
ACT.21.11	Ka kiang uah a hong a, Paul kawnggak a la a, a khete, a khutte amah in a kigak a, “Jerusalem khua a Judate’n hichibang in hiai kawnggak neipa a gak ding ua, Jentelte khut ah a pelai ding uhi, Kha Siangthou in a chi” a chi hi.
ACT.21.12	Huan huai thu ka zaktak un, kou leh huai khua a mite’n Paul Jerusalem khua a hohlou ding in ka khou chiat uhi. 
ACT.21.13	Himahleh Paul in a dawng a, “Bangchi na hi ua, na kahkah uh, n’on khasiatsak uh? Toupa Jesu min ziak in Jerusalem khua a hen kia hilou in, sih leng ngap ka hi” a chi hi. 
ACT.21.14	Huan khouhzoh vual ahihlouh tak in, ka tawpta ua, “Toupa thuthu hi hen aw” ka chi uhi.
ACT.21.15	Huai nung in ka van uh ka bawl ua, Jerusalem khua ah ka hohtou uhi. 
ACT.21.16	Kaisaria khua a mi nungzuite kuate hiam, ka kiang uah a pai ua, amau, a min Mnason inn, nungzui masa pawl Kupra tuikulh a mi khat ka tunna dingpa uh a pi sam uhi. 
ACT.21.17	Huan Jerusalem khua ka tun un unaute’n nuamtak in a hon na kipahpih uhi. 
ACT.21.18	A zing in Paul toh Jakob kiang ah ka lut ua; huai ah saptuam upate tengteng leng a om uhi. 
ACT.21.19	Paul in amau chibai a buk khit in, a nasepna zang a Pathian in Jentelte lak a thil a hihsak peuhmah avek in a gen hi. 
ACT.21.20	Unaute’n huai thu a zak un Pathian a pahtawi uh; huan Paul kiang ah, “Unaupa, Judate lak a gingtami tamdan na mu a; avek un dan lam ah phatuam a ngailai uhi. 
ACT.21.21	Nang Jentelte lak a Juda omte tengteng kiang ah a tate uh zeksum louh ding leh dan bang a omlouh ding chi in, Mosi dan paihkhiakna ding na thuhilh zel chih mi kam ah na thu a thei vek uhi,” a chi uhi. 
ACT.21.22	Bangchi hita ding ahia le? Na hongtung chih a za ngal ding uhi. 
ACT.21.23	Huaiziak in na kiang a ka gen bang un hih in; thuchiam nei pasal li ka kiang uah a om uhi; 
ACT.21.24	Huai mite pi in la, a kiang uah kisiangsak sam inla, a sam uh a met theihna ding un amau din sum seng in; huchi in mi tengteng in mi kam a na thu a zak teng uh gentham ahi kei chih a thei ding ua, nangmah mah Dan zui in kichiantak in na omzaw chih a thei ding uhi. 
ACT.21.25	Jentelte lak a gingtate thu zaw, milim biakna thil neklam ah, sa sisan nek thu ah, sa heklup neklam ah, kingaihlam a kipan in a kihulsak ding uh ahi, chi in, ka gen ua, ka gelhta uhi” a chi uhi.
ACT.21.26	Huan a zing in Paul in pasalte a pia, a kiang uah a kisiangsak a, Pathian biakin ah a lut a, amau dia sagoh ding a piaksak chiat masiah kisiansakna ni a neiphot ding uh chih, siampu kiang ah a hilh hi.
ACT.21.27	Kisiansuahna ni sagih a chin dektak in Asia gam a Judate’n Pathian biakin ah Paul a mu ua, mipi tengteng a hanthawn ua, amah a man ua, a kikou uhi; 
ACT.21.28	“Israel mite aw, hong huh un! Hiai mi, gam teng a mi tengteng kiang a Judamite dante, hiai innte gensepa ahi; huailou leng, Pathian biakin ah Grik mite a lutpih a, hiai in siangthou a hihbuah khin” a chi uhi. 
ACT.21.29	Huai ma in khua ah Ephesa khua a mi Trophimas a kiang ah a mu ua, Paul in huai mi Pathian biakin ah a lutpih a gingta uhi.
ACT.21.30	Huan a khua in a kising kheukhou ua, mite a taikhawm ua; Paul a man ua, Pathian biakin a kipan a kaikhia ua; kongkhakte a khakpah ngal uhi. 
ACT.21.31	Amah hihlup a tup laitak un Jerusalem khua a mi tengteng a buai uh chih sepaih pawl heutu lianpen kiang a tungtou hi. 
ACT.21.32	Aman sepaihte leh sepaih za heutute a pipah a, a kiang uah a taisuk uhi; heutu lianpen leh sepaihte a muhtak un Paul vuak a tawpta uhi. 
ACT.21.33	Sepaih heutu lianpen in a honnaih a, Paul a len a, khainiang nih butsak ding thu a pia a; kua ahia a hih a bang ahia a hih a dong hi. 
ACT.21.34	Mipite a khen thukhat in a kikou ua, a khen thu dang in a kikou ziak un, buaina ziak diktak a theikei a, kulh a pilut thu a pia hi. 
ACT.21.35	Paul kalbi a tunlai in mipi a hiamgam ziak un sepaihte’n amah a pumzawn uhi; 
ACT.21.36	Mitengteng in, “Hih mangthang un” chi a kikou in, a zui uhi.
ACT.21.37	Sepaihte’n kulhsung a a pilut deklai un Paul in, sepaih heutu lianpen kiang ah, “Na kiang ah thu kamkhat ka gen thei diam?” a chi hi. 
ACT.21.38	Huan aman, “Grik pau na thei maw? Tuma a mite hanthawn a, gamdai mun a mihing sang li suam a thatte heutupa Aigupta mi na hi kei maw?” a chi hi.
ACT.21.39	Paul in, “Silisia gam a Tarsa khua a om Judami ka hi, khopi neu liailou khat khua leh tui ka hi; hon hehpih inla, mi tengteng kiang ah thu hon gensak in” a chi hi.
ACT.21.40	Huan a lemsaktakin kalbi ah Paul ading a, mi tengteng daihna ding in a khutvan a; huan a daih duam tak un Hebru pau in a kiang uah thu a gen hi.
ACT.22.1	“Unaute aw, pate aw, tun ah na kiang uah ka siamna thu k’on hilh ding hi, ngaikhia un, a chi hi. 
ACT.22.2	Huan Hebru pau in a kiang uah thu a gen chih a zaktak un, a dai nawnsem ua; huan aman:
ACT.22.3	“Judami ka hi a, Silisia gam a Tarsa khua a piang ka hi. Himahleh hiai khua ah Gamaliel khebul a zila khanglian ka hi, i pipute Dan omdan kimtak zilzel a om ka hia, tuni a noumau tengteng bang in Pathian ading a phatuam ka ngaisam hi. 
ACT.22.4	Hiai Lam a mite that hial khop in ka sawizela, numei pasal ka hen a, suangkulh ah ka khumsak hi. 
ACT.22.5	Siampu Lianpen leh upate tengteng in leng huai thu hon theihpih ua, amau a kipan in leng unaute piak ding in lai ka mu hi, huan Damaska khua a omte sawi ding leh hensa a Jerusalem khua a pi ding in ka hoh hi.
ACT.22.6	“Huan hichi a honghi a, ka pai a Damaska khaw kiang ka tun in, sunlai in, thakhat in van a kipan vak thupitak ka kim ah a hongvak hi. 
ACT.22.7	Huan lei ah ka puk a, ka kiang ah, Saul, Saul, nang bang a chia honsawi? chi in aw ka za hi. 
ACT.22.8	Huan ken Toupa kua na hia? chi in, ka dong hi. Aman ka kiang ah, Nazaret Jesu na sawi ka hi, a chi hi. 
ACT.22.9	Ka lawmte’n vak a mu ua, hon houpihpa aw a za kei uhi. 
ACT.22.10	Ken, Toupa, bang ka hihdia? ka chi a. Toupa’n ka kiang ah, thou inla, Damaska khua ah lut in, thil tengteng na hihding a chih peuhmah a honhilh ding uh, a chi hi. 
ACT.22.11	Huan huai vak thupi ziak in khua ka mu theita kei a, ka lawmte’n khut in a honkai ua, Damaska khua ah ka lutta uhi.
ACT.22.12	“Huan mi khat, Ananias Dan lam a Pathian limsak leh huai a Judate tengteng lak a min hoih, 
ACT.22.13	amah a hong a ka kiang ah ading a, ‘Unau Saul, mitvakna nei in,’ a honchi hi. Huaitak in amah ka mu theita hi. 
ACT.22.14	Aman i pipute Pathian in a deihlam thei ding in hondeih a, Diktatpa hon musak a, a kamsuak za ding a honsep ahi, a chi hi. 
ACT.22.15	Na muh leh na zak thu ah mitengteng kiang ah amah thu theihpihpa na hi ding. 
ACT.22.16	Huan bangdia om maimai na hia? Thou inla, amah min in baptisma tang inla, na khelhna hihsiang tanla, a honchi hi.
ACT.22.17	“Jerusalem khua a ka pai nawn nung in, Pathian biakin a ka thum lai in, mengmu bang in ka om hi. 
ACT.22.18	Huan kin inla, Jerusalem khua a kipan pawt in; ka tanchin na gen ding a pomtuak kei uh a hon chihlai ka mu hi. 
ACT.22.19	Huan ken, Toupa kikhopnain teng a nang gingta peuhmah ka hentasak a, ka vuak zel dan a thei uhi. 
ACT.22.20	Huan na thu theihpihpa Stephen sisan a suahlai un kei leng a kiang uah ka ding a, a sihding lem ka nasa a, a hihlumte puante leng ka nakem hi, ka chi hi. 
ACT.22.21	Huan aman, pai in, hiai a kipan in gamla tak a Jentelte kiang ah k’on sawl ding ahi, a hon chita hi, a chi hi.
ACT.22.22	Huan huai thutan in a ngaikhia ua; aw ngaihtak in a kikou ua, “Mi hichibang hingtak ahi kei, khovel a kipan hih mangthang un” a chi uhi. 
ACT.22.23	A kikou ua a puan uh a lem ua, a pai ua, leivui a vik uhi, 
ACT.22.24	huchi in sepaih heutu lianpen in Paul kulhsung a pilut thu a pia a, a tung ah huchitel a a kikouna uh a theihna ding in vuak kawm a dottel ding, a chi hi. 
ACT.22.25	Savun khau a a leh hensawm khit un, Paul in a kiang a ding sepaih zaheutu kiang ah, “Siamlouh tansak louh Rome mi vuak ding dan toh kituak hia?” a chi hi.
ACT.22.26	Sepaih zaheutu in huai a zaktak in, sepaih heutu lianpen kiang ah a hoh a, “Na thilhih ding pilvang dih aw; hiai mi Rome mi a na hi” a chi a, a hilh hi. 
ACT.22.27	Sepaih heutu lianpen a hong a, a kiang ah, “Rome mi na hi maw? honhilh in” a chi hi.
ACT.22.28	Aman “Hi e” a chi hi. Sepaih heutu lianpen in, “Hiai khomi hihna ken sum tampi a ka lei ahi” chi in, a dawng hi. Paul in, “Kei zaw Rome mi a piang him ka hi” a chi hi.
ACT.22.29	Huchi in, dottel tumte’n amah a paisan pah ngal ua; sepaih heutu lianpen in Rome mi ahi chih a theih in a kihta a, a hen ziak in a lau hi.
ACT.22.30	A zing in Judate’n bangziak a Paul a hek uhiam chih theihtel tum in, sepaih heutu lianpen in amah a phel a, siampu liante leh vaihawm tengteng kikhop ding thu a pia a, Paul pisuk in, a ma uah a dingsak hi.
ACT.23.1	Paul in vaihawmte a en kilkel a: “Unaute aw, tunitan in Pathian mitmuh a hoihlam a ka theih peuhmah hih in ka om hi” a chi hi. 
ACT.23.2	Huan siampu lianpen Ananias in, Paul kiang a dingte kiang ah, a kam betsak ding in thu a pia hi. 
ACT.23.3	Paul in a kiang ah, “Nang bang nuhngou bang lelpa, Pathian in a honbeng zaw ding hi, nang Dan bang a vaihawm ding a tu a, Dan lou bang a mibet ding na chi vial maw?” a chi hi. 
ACT.23.4	Huan a kiang a dingte’n, “Pathian siampu lianpen bangdia tai?” a chi uhi. 
ACT.23.5	Paul in, “Unaute aw, siampu lianpen ahi chih ka theikei a ahi; na chipihte tung vaihawmte tung ah thu hoihlou gen ken, chih gelh ahi ngal a” a chi hi.
ACT.23.6	Paul in a khen Saddukaite, a khen Pharisaite ahi uh chih a theih in vaihawmte lak ah a kikou a, “Unaute aw, Pharisai ka hi, Pharisai tapa leng ka hi; misi lametna leh thohnawnna thu ah vaihawmte mai a dinsak a om ka hi” a chi hi.
ACT.23.7	Huai a gentakin, Pharisaite leh Saddukaite a nakisel ua, vaihawmte a kilangta uhi. 
ACT.23.8	Saddukaite, misi thohnawnna a omkei, angelte, khate leng a om tuankei, a chi uhi; Pharisaite’n huai tegel a om chih a gen uhi. 
ACT.23.9	Huai thu in nakpitak in a buaita uhi; Pharisaite lam a mi laigelhmite khenkhat ading ua; a sel ua, “Hiai mi bangmah a gitlouhna i mu kei uhi; Kha hiam Angel hiam in a kiang a thugen hileh eite Pathian dou suak ding ihi uh” a chi uhi.
ACT.23.10	Huan kituahlouhna lianpi a hongom tak in, sepaih heutu lianpen in Paul a bohzan uh a lau a, sepaihte kiang ah, a va hohsuk a, a lak ua kipan kulh a va pitou teitei ding a chi hi.
ACT.23.11	Huan a zanin “Toupa Paul kiang ah ading a, “Khamuangtak in om in, Jerusalem khua a ka thu na theihsak bang in Rome khua ah leng na theisak ding hi,” a chi hi.
ACT.23.12	Huan ni a suah in Judate a panghuan ua, Paul a thah masiah uh bangmah ne a dawnlou ding in a kichiamta uhi. 
ACT.23.13	Huai thubawlte sawmli sang a tamzaw ahi uhi. 
ACT.23.14	Amau siampu liante leh upate kiang ah a hoh ua, “Paul ka thah masiah uh bangmah chiamlou ding in ka kichiam uh a chi uhi. 
ACT.23.15	Huaiziak in, nou vaihawmte toh a thu kichian nawnsem a ngaihtuah tum bang in, na kiang ua pekhe ding in sepaih heutu lianpen kiang ah a hem deuh in va gentou un; na kiang nai uh a tunma in kou amah that ding in ka mankhin uhi” a chi uhi.
ACT.23.16	Himahleh Paul sanggam nu tapa in a thusawm uh a naza a, kulh ah a valut a, Paul a vahilhta hi. 
ACT.23.17	Paul in sepaih zaheutu khat a sam a, “Hiai tangval sepaih heutu lianpen kiang ah pi in, a kiang ah thu banghiam gending nei a hihtuak” a chi hi. 
ACT.23.18	Huchi in sepaih heutu lianpen kiang ah a pi a, “Paul, hentapa’n, honsama, hiai tangval na kiang a honpi ding in a honsawla, na kiang ah thu banghiam gen ding a nei a hihtuak” a chi hi.
ACT.23.19	Sepaih heutu lianpen in a khut in a len a, a simin a tuam paipiha, “Bang ahia honhilh ding na neih?” chi in a dong hi.
ACT.23.20	Aman, “Paul thu kichian nawnsema na ngaihtuah ding mah bang in, zingchiah vaihawmte kiang ah pisuk ding in Judate’n honnget hoih a sa chiat uh. 
ACT.23.21	Himahleh a thu uh na gingta ken; a lak ua mi sawmli sang a tamzaw in thah a sawm ua, huai mite’n amah a thah masiah uh bangmah ne a dawn lou ding in a kichiam uh; tuin na thu ngakin mansa in a om uhi” a chi hi.
ACT.23.22	Sepaih lianpen in tangval a paisaka, “Hiai thute n’on theisak chih kuamah hilh ken” a chi bikbek hi.
ACT.23.23	Huan sepaih zaheutu nih a sam a, “Zan ihsip hun in Kaisaria khaw pha a pai ding in sepaih za nih toh, sakol tungtuangmi sawmsagih toh, teitawimi za nih toh bawl un, a chi hi. 
ACT.23.24	Gamukpa Felik kiang bita a tunsak theihna ding in Paul a tuanna ding un sakol na bawl ding in leng” a chi hi; 
ACT.23.25	Huan hichibang in lai a gelhta hi.
ACT.23.26	“Klaudia Lisia in Felik Gamukpa hoihpa chibai a buk hi. 
ACT.23.27	Hiai mi Judate’n a mu ua, a thah deklai un a kiang uah sepaihte pi in ka hoh a, Rome mi ahi chih ka theih in ka honkheta hi. 
ACT.23.28	Huan a hekna uh theih ut in, vaihawmte kiang ah ka pisuk hi, 
ACT.23.29	huchi in a danthu uh banghiam a hek ahi chih ka thei a, himahleh a hekna thu uah sihna leh henna ding bangmah ka theikei hi. 
ACT.23.30	Huan Judate’n amah a tang uh chih min a hon theihsaktak un, na kiang ah amah k’on sawl ngal ahi, a hekte leng a tung a thubuai a neih peuh uh na ma a gen ding in thu leng ka pia hi” a chi hi.
ACT.23.31	Huchi in sepaihte’n a thupiak bang in Paul a zanzan in a pi ua, Antipatri a tunpih uhi. 
ACT.23.32	Huan a zing in sakol tungtuangmite a kiang a pai zel ding in a kiksan ua, kulh ah a hoh nawnta uhi; 
ACT.23.33	Huan amau Kaisaria khua a tung ua, Gamukpa kiang ah lai a pia ua, Paul leng a ma ah a dingsak uhi.
ACT.23.34	Gamukpa’n a simkhit in, Paul omna gam a dong hi. Huan Silisia gam a ahi chih a theih in, 
ACT.23.35	“Nang hon hekte a hongtun chiang un na thubuai ka ngaihtuah ding” a chi hi. Herod thukhenna inn a vending thu a pia hi.
ACT.24.1	Huan ni nga nung in siampu lianpen Ananias a hong tungsuk a, Upa kuate hiam toh, a min Tertulla thugensiam khat toh; Paul tung a thubuai Gamukpa kiang ah a gen uhi. 
ACT.24.2	Paul a sapkhiak nung un Tertulla in amah a hek pan a:
ACT.24.2	“Felik hoihpen, nangmah vanga khamuang petpet a ka om ziak un leh n’on kepna ziak a hiai chite ading a giloute kham hoih a om zel ziak in, 
ACT.24.3	Chiklaipeuh in koipeuh ah leng lungkimtakin ka pom gige uhi. 
ACT.24.4	Abang abang hitaleh, nang adia chimtakhuai hih ka ut kei hi, na migitna in thu kamkhat ahihleh hon ngaihkhiak sak ding in k’on ngen hi. 
ACT.24.5	Hiai mi huathuai pi, khovel a Judate tengteng tokbuaipa leh, Nazarit mite pawl a a makaipen khat uh a hih ka thei uhi. 
ACT.24.6	Pathian biakin hihbuah leng a tuma; huaiziak in ka man uhi, 
ACT.24.7	Ka dan bang ua a tung a vaihawm tum hi ung a, himahleh sepaih heutu lianpen Lisia hong kuan a, ngongtat kawm in amah ka khut ua kipan a lamang a, a tung a thubuai neite na kiang a hongpai ding in thu a pia hi. 
ACT.24.8	Nangmah ngei in amah dongtel in ka hekna tengteng uh na theithei ding hi” a chi hi. 
ACT.24.9	Huan Judate’n leng huai thu huchibang ahi, chi in, a panpih uhi.
ACT.24.10	Huan Gamukpa’n thugen ding a Paul khut a a zaptakin:
ACT.24.10	“Aman nang kum tampi hiai chite vaihawmsakpa na hih ka theih ziak in kipaktak in ka siamna thu ka gen ding ahi. 
ACT.24.11	Jerusalem khua a Pathian be ding a ka hohtouh nung ni sawmlehnih a val naikei ding chih nana thei ding hi. 
ACT.24.12	Pathian biakin ah leh kikhopnain ah leng khua ah leng kuamah ka sel leh mipi ka hanthawn amau zong a hon mu kei uh. 
ACT.24.13	Tun ah leng a honhekna thu uh na theih in a bul a suikhe theikei ding uh. 
ACT.24.14	Himahleh hiai thu na kiang ah ka genkhe ding, Dan leh zawlneite thugelh tengteng gingta in, Lam dan, pawl tuam a chihte uh bang in ka pipute uh Pathian ka be zel hi. 
ACT.24.15	Mi diktatte leh diktatloute thohnawnna a om ding chih Pathian ah ka lamen a, hiai khawngte’n leng huai tuh a gingta sam uhi; 
ACT.24.16	Tua ziak in Pathian leh mihing tung a hihkhiallou ding in sialehpha siangtak nei ding in ka kibawl gige hi.
ACT.24.17	Huan kum tampi nung in ka chipihte kiang ah thilpiak ding leh thillat ding hontawi in ka honghi. 
ACT.24.18	Huai thil ka piaklai in, Asia gam a kipan Judami khenkhatte’n Tempul ah mipi panglou leh buaina omlou a, Pathian biakin ah kisiangsak in a honmu uhi. 
ACT.24.19	Hiai mite’n ka tung a thubuai nei hile uh na ma ah hongpai in a hong hekkhinta ding uhi. 
ACT.24.20	Ahihkeileh hiai mite ngei in vaihawmte ma a ka din lai in, ka hihkhelh bang ahia a muh uh, gen uhen. 
ACT.24.21	Hiai thu kam khat ziak houh a hih kei ngal leh, a lak ua ding in, Misi thohnawnna thu ah tuni’n na ma uah salhin ka om ahi, ka chih a chi a, a dawng hi.
ACT.24.22	Huan Felikin Lam thu a theihchet ziak in, “Sepaih heutu lianpen Lisia a hong tunsuk hun chiah na thu uh ka lem ding” chi in, a koih tadih hi. 
ACT.24.23	Sepaih zaheutu kiang ah, Paul zalentak leh a lawmte a hongveh leh nektak a bawlsak utte khamlou a, vensak ding in thu a pia hi. 
ACT.24.24	Huan ni bangzah hiam nung in Felik a hong nawn a, a zi Drusilla Judanumei toh, Paul a samsaka, Khrist Jesu ginna thu a ngaikhia hi. 
ACT.24.25	Paul in diktatna thu, kidek thu, thukhen vaihawmna hongtung dingte a suipih detdet lai in, Felik in lauhuai a sa mahmah a, “Pai nawn phot inla, hunlem ka neih hun chiang in k’on sam ding” a chi hi. 
ACT.24.26	Paul in dangka a piak peuh a lamen a, huaiziak in a sam mun sim a, a houpih zihzeh hi. 
ACT.24.27	Himahleh kum nih a kivei sung in Porsia Festa in Felik a hon khengta hi; Felik in Judate lak a minhoih deih in, Paul hensa in a nuseta hi.
ACT.25.1	Huchi in Festa in gamukna a lak in; ni thum nung in Kaisaria khua a kipan Jerusalem khua ah a hohtou hi. 
ACT.25.2	Siampu liante leh Juda makaite’n a kiang ah Paul tungtang thu a selam in a na theisak uhi. 
ACT.25.3	Jerusalem khua a pitouh sak ding in hehpihna leng a na ngen ua; lampi a na buka thah a tum uhi. 
ACT.25.4	Himahleh Festa in, “Paul Kaisaria khua a kep ding leh amah leng huailam a ka hohpah ding.” a chi hi. 
ACT.25.5	Huaiziak in “Huai mi’n gitlouhna nei ahihleh na lak ua thunei peuhmah in hon zuisuk in honghek uhen” chi in, a dawng hi.
ACT.25.6	A lak ua ni sawmval a tam nung in, Kaisaria khua ah a paisuka; a zing in thukhenna tutphah a tuin, Paul honpi ding in thu a pia hi. 
ACT.25.7	Paul a hongtun phet in, Jerusalem khua kipan Juda hongsukte a kim ah ading ua, suikhiak vuallouh ding thubuai tampi giktak tak a gen uhi. 
ACT.25.8	Paul in a siamna thu a gen a, “Judate Dan hi in Pathian Biakin thu hi in, Kaisar tung ah leng bangmah hihkhelh ka neikei” a chi hi.
ACT.25.9	Himahleh Festa in Judate lak a min hoih a deihman in Paul kiang ah, “Jerusalem khua a hohtouha, huailai a ka ma a hiai thute lepsak na deih hia?” chi in a dong hi.
ACT.25.10	Paul in, “Kaisar thukhenna tutphah ma a, vaihawmsak a om ding in ka ding hi. Judate tung ah thil bangmah ka hihkhial kei chih nangmah in leng na theichian mahmah hi. 
ACT.25.11	Migilou ka hih a, sihna khophial khelhna ka hihleh, sih leng ka nial kei; himahleh hiaite honhekna a bul bangmah a omkei leh, kuamah in a kiang uah hon pekhe theikei ding. Kaisar kiang ah ka tun ding” a chi hi.
ACT.25.12	Huan Festa in a vaihawmpihte a houlimpih kimvel nung in, “Kaisar kiang ah thu natuna: Kaisar kiang ah na pai mahmah ding” chi in a dawng hi.
ACT.25.13	Ni bangzah hiam nung in kumpipa Agrippa leh Barnisi Kaisaria khua a hongtung ua, Festa chibai a buk uhi. 
ACT.25.14	Huaia ni tampi a tam ziak un Festa in Paul thubuai kumpipa kiang ah a gen a, “Felik in mitang kuahiam a nusia hi 
ACT.25.15	Jerusalem khua a ka omlai in siampu liante leh Juda upate’n a tungtang thu a honhilh ua, siamlouh tansak a hon ngen uhi. 
ACT.25.16	Ken amaute kiang ah, a hekpa uleh a hekte a kimaituah ua, a hekna thu ua a siamna thu genna hunlem a neih ma in, mi kuahiam thah ding a piakkhiak Rome mite dan ahi kei hi, chi in, ka dawng hi. 
ACT.25.17	Huchi in hiai lai ka hongtun un, sawt hallou in a zing in thukhenna tutphah ah ka tu a, huai mi tuh honpi ding in thu ka pia hi. 
ACT.25.18	A hekte a dinlai un, ka muanmoh dan ngohna a tung ah gitlouhna thubuai a genkei uhi. 
ACT.25.19	A sabiak thu ua, Jesu, mi khat sisa, Paul in a hingnawn ahi, chi a a gup ziak in a tung ah thubuai a nei uh a na hi zaw hi. 
ACT.25.20	Ken huai thute ngaihtuah ding dan ka theikei a, Jerusalem khua a hoh a, huailai a huai thu lepsak a ut leh utlouh ka dong hi. 
ACT.25.21	Himahleh Paul in Kumpipa lepdia sit a ngen zawta hi. Huaiziak in Kaisar kiang a ka hohsak theih masiah veng ding in thu ka pia hi” a chi hi.
ACT.25.22	Huan Agrippa in Festa kiang ah, hiai mi thu keimahmah in zak ka ut gige ahi, a chi hi. Aman, zingchiah a thugen na ngaikhe ding, a chi hi.
ACT.25.23	Huchi in a zing in Agrippa leh Barnisi thupitak in a hong ua, thugenna in ah a lut ua, sepaih heutuliante toh, khua a milian deuhte toh; huan Festa thu in Paul a pilut sak uhi. 
ACT.25.24	Huan Festa in, “Kumpipa Agrippa leh hiai lai a om tengtengte aw, hiai mi na muh uh ahi, a tungtang thu a Judate tengteng in, hingtak nawnlou ding chi a kikou a, Jerusalem khua leh hiai lai a ka kiang a a hek uh ahi. 
ACT.25.25	Himahleh sihna ding khop bangmah ahihkei chih ka thei hi. Huan aman Kumpipa kiang a tut a tup ziak in sawl ka tum ahi; 
ACT.25.26	Himahleh a thu ginatakin bangmah gelh ding ka theikei hi. Huaiziak in na ma uah k’on pikhia hi, Kumpipa Agrippa nangmah ma a honpi tuanse ka hi a, etchet nung in banghiam bek gelh ding ka muh theihna ding in. 
ACT.25.27	Hekna kiteltak omloupi a henta kuahiam Kumpipa kiang a sawl thil haihuai hi in ka thei hi” a chi hi.
ACT.26.1	Huaizoh in Agrippa in Paul kiang ah, “Na siamna thu na genthei hi, a chi hi. Huan Paul in a khutvan a, a siamna thu a gen hi.
ACT.26.2	“Kumpipa Agrippa, Judate’n a hon hekna tengteng uah ka siamna thu gen ding a tuni a na ma a ka din theih hampha ka kisa hi. 
ACT.26.3	Judate tawndan leh pupa ngeinate theisiam leh pil mahmah na hih ziak in ka kipak tuanse hi. Huaiziak in thuakzou tak in ka thugen hon ngaihkhiak sak ding in k’on ngen hi.
ACT.26.4	“Ka tuailai hun a kipan ka chipihte lak leh Jerusalem khua a ka omdan Judate tengteng in a thei uhi. 
ACT.26.5	A tung a kipan ka tanchin theite ahi ua, huchi a ka sabiak dan ua ngentel pen a khosa Pharisai ka hih dan a ut ua leh a hon genpih thei uhi. 
ACT.26.6	Pathian in ka pipute uh kiang a thu a chiam lametna ziak in hiai ah tuin vaihawmsak in ka ding hi. 
ACT.26.7	Huai thuchiam lametna ziak in ka nam uh sawmlehnih in, sun leh zan in Pathian na phatuamngai tak a sem in muh a lamen uhi. Kumpipa aw, huai lametna tungthu ah Judate’n a hon hek uhi. 
ACT.26.8	Pathian in misite a kaithou ding chih bangchidan a thil hitheilou a ngaihtuah na hi ua?
ACT.26.9	“Kei mahmah in Nazaret Jesu min kalh a hihtheih teng hih thil hoih in ka na ngaihtuah hi. 
ACT.26.10	Huai bang Jerusalem khua ah leng ka hih zel hi; siampu liante kiang a thu mu in, misiangthoute lak a mi tampi suangkulh ah ka khum zel hi; a hihlup lai un lemsa lam ah leng ka na pang zel hi. 
ACT.26.11	Huan kikhopnain teng ah ka sawi gige a, Jesu thu gensiatsak ka tum teitei hi. Huan a tung uah ka gilou mahmah a, gamdang khua tanpha in leng ka sawi zel hi.
ACT.26.12	“Huchibang a hih ding in siampu liante thu mu in leh a sawlna lai uh tawi in Damaska khua ah ka hoh hi. 
ACT.26.13	Kumpipa aw, huchi a ka pailai in sunlaitakin, nivak sang a vakphazaw van a kipan in keimah leh ka paipihte kim ah hongvak ka mu hi. 
