MAT.1.1	Carte de generațiune a luĭ Iisusŭ Christosŭ hilĭlu alŭ Davidŭ hilĭlualŭ Avraamŭ.
MAT.15.31	In câtŭ s’ciudusea ghimta cându vedea muțilĭi că sburâscu, ologilĭi sănătoșĭ, sclĭopĭ ca imnă, și că orghi vedŭ, și măriră Dumneḑeŭlu aluĭ Israil.
MAT.15.32	Iară Iisusŭ clĭemă pre discipulĭi a luĭ și lĕ ḑise: m̄ĭ e m̄ilă de aestă ghimtă, că écă sŭntu de treĭ ḑile çe ședu cu mine, și n’au çe s’măcă; și nu voiu s’lĭi sălăghiescu agiun̄ĭ, s’nupu çeva de s’curmă în cale. 
MAT.15.33	Și discipulĭi a luĭ ’lĭ ḑicŭ: De iu avemŭ noĭ açia în deșertŭ ahâte pânĭ, în cătŭ să săturamŭ ahâtă mulțime? 
MAT.15.34	Și Iîsusŭ lĕ ḑise: câte pânĭ avețĭ? Iară elĭ respunseră; șépte, și puțin̄ĭ pesci. 
MAT.15.35	Și dimândă a mulțimilĭeĭ să șédă în pade. 
MAT.15.36	Apoia luă açele șépte pânĭ, și pescilĭ, lĕ déde urăciune, le frâmse și și le déde a discipŭlĭlorŭ a luĭ, iară discipulĭi a mulțimelĭeĭ. 
MAT.15.37	Și mâncară tuțĭ și se săturară, și adunară de arĕmăsăturĭle de bucățĭ, șépte cănistre ’mpline. 
MAT.15.38	Iară açelĭ çe măcară era patru m̄ilĭ de bărbațĭ, afară de mulĭerĭ și de feciorĭ. 
MAT.15.39	Și decara sălăghi mulțimea întră în luntre, și m̄érse în sinorĭle a Magdalŭluĭ.
MAT.16.2	Ma elŭ rĕspunse și lĕ ḑise: cându întunérecă ḑiçețĭ: 
MAT.16.3	Serinu 
MAT.16.4	Generațiune rea și curvă, semnu caftă; și semnu nu va s’lĭ se da, de câtŭ mașĭ semnulŭ a profetŭluĭ Iona. Și ’lĭ alasă și fugi.
MAT.16.5	Și viniră discipulĭi a luĭ în partea alantă, și s’agărșiră, s’lĭa pâne. 
MAT.16.6	Iară Iisusŭ lĕ ḑise: Mutrițĭ și avegliațĭ ve de aluatŭlu a Fariseilorŭ și Sadukeilorŭ. Ma nĕșĭ s’minduiea în mintea lĕ, 
MAT.16.7	și ḑiçea că pâne nu luămŭ. 
MAT.16.8	Iară Iisusŭ cându cunoscu 
MAT.16.9	Nică nu acăchisițĭ, niçi v’aduçețĭ aminte açéle çinçi pânĭ, açelorŭ çinçi m̄ilĭ și câte coșurĭ luatŭ? 
MAT.16.10	Niçi açéle șépte pânĭ, açelorŭ patru m̄ilĭ și câte cănistre luatŭ? 
MAT.16.11	Cumŭ n’acăchisițĭ că nu vĕ grăiĭ a vóuĕ tră pâne, ma s’vĕ aveglĭațĭ de aluatulŭ a Fariseilorŭ și Sadukeilorŭ? 
MAT.16.12	Atunçea acăchisiră că nu lĕ ḑise s’avéglĭe de aluatŭ u a pânelĭeĭ ma de învĕțătura Fariseilorŭ și Sadukeilorŭ.
MAT.16.13	Și cându vine Iisusŭ în părțile Çesarielĭeĭ a luĭ Filipŭ, întreba pre discipulĭi și lĕ ḑiçea: care ḑicŭ ómenilĭi că escu eu hilĭlŭ a omŭluĭ? 
MAT.16.14	Iară elĭ ḑiseră: Nescănțĭ ḑicŭ că escĭ Ioanŭ Botezătorŭlŭ; Alțĭ Ilia, și alțĭ Ieremia, ică unŭ din profeți. 
MAT.16.15	Elŭ lĕ ḑiçe: Ma voĭ care ḑiçețĭ că escu? 
MAT.16.16	Și respunse Simon Petru și ḑise: Tine esci Christolu hilĭlu a v̄iŭluĭ Dumneḑeŭ. 
MAT.16.17	Și respunse Iisusŭ și ’lĭ ḑise: Fericitŭ escĭ Simone hilĭlu a luĭ Iona, că trupŭ și sănge nu țĭ descoperi aestă, ma Tată‐m̄eŭ açelŭ din çerŭ. 
MAT.16.18	Și eŭ țĭ ḑicŭ că tine esci Petru, și pre aestă chétră va s’adarŭ biserica mea, și porțile a chisĕlĭei nu va s’lĭ o pótă.
MAT.16.19	Și va s’țĭ dau clĭeile a amirărilĭeĭ din çerŭ; și içe‐va s’legĭ peste locŭ, legatŭ va s’hibă și în çerŭ; și içe va s’deslegĭ preste locŭ, deslegatŭ va s’hibă și în çerŭ. 
MAT.16.20	Atunçea dimândă a discipulĭlorŭ a luĭ, s’nu spună la vêr‐nu că elŭ éste Iisusŭ Christosŭ. 
MAT.16.21	De atunçea înçepu Iisusŭ să spună discipulĭi a luĭ, că prinde elŭ s’m̄érgă la Ierusalimŭ, și s’pată multe de la Aușilĭi, și s’hibă omorîtŭ și să ’nv̄iéza a treia‐ḑi. 
MAT.16.22	 Petru ’lŭ luă singurŭ, și ’lŭ încăcie dicêndŭ‐lĭ: s’țĭ hibă m̄ilă de vetea ta, Dómne; nu va să s’facă aestă la tine. 
MAT.16.23	Iară elŭ s’turnă și ’lĭ ḑise a luĭ Petru: fugĭ de la mine Satano m̄ĭ escĭ scandalŭ; că nu te minduescĭ la lucrele a luĭ Dumneḑeŭ, ma la açéle a ómen̄ĭlorŭ.
MAT.16.24	Atunçea Iisusŭ ḑise: a discipulĭlorŭ a luĭ: s’vrure çine‐va s’v̄ină după mine, la să se lépădă de vetea luĭ, și să ’șĭ lĭa crucea luĭ, și s’v̄ină după urma mea. 
MAT.16.25	Că açelŭ care va s’ascapă bana luĭ, va s’ochéră; ma açelŭ care va s’chéra banaluĭ tră mine, va s’o află. 
MAT.16.26	Că çe diaforŭ are omŭlu s’fure că amintă tută lumea, și ’șĭ chére bana luĭ? Ică çe va s’ da omŭlu în locŭlu a sufletŭluĭ a luĭ? 
MAT.16.27	Că hilĭlu a omŭluĭ va s’v̄ină în gloria Tată‐sĕuĭ cu Anghelĭi aluĭ, și atunçea va s’ plătéscă a cuĭ‐çe‐do după fapta luĭ. 
MAT.16.28	Dealihea vĕ ḑicŭ, 
MAT.17.1	După șése ḑile Isusŭ lĭa cu elŭ pe Petru și Iacovŭ, și Ioanŭ fratele a luĭ, și’lĭ alină pre unŭ munte înaltŭ aparte. 
MAT.17.2	Și ’șĭ alĕxi fața înaintea lorŭ, și’lĭ luçi fața ca sórĕle, iară stran̄iele a luĭ ’lĭ se féçeră albe ca lumina.
MAT.17.3	Și écă lĕ se spuse a lorŭ Moisi și Ilia și s’sbura cu elŭ. 
MAT.17.4	Și respunse Petru și ḑise a luĭ Isusŭ: Dómne, ghine éste s’himŭ noĭ aóçe; s’éste că vreĭ s’façemŭ açia treĭ tende, ună tră tine, una tră Moisi, și ună tră Ilia. 
MAT.17.5	Cându elŭ nică sbura, écă unŭ nuorŭ lum̄inosŭ lĭ aumbrî; și écă ună bóçe din nuorŭ care ḑiçea: Aestu éste vrutŭlu a meu hilĭu, în care avuĭ bună vrére; pre nĕsŭ ascultațĭ. 
MAT.17.6	Și cându avḑiră discipulĭi, căḑură pe față, și s’aspĕriară multŭ. 
MAT.17.7	Și s’aprochie Iisusŭ, băgă mâna pre nĕșĭ și lĕ ḑise: Sculați‐vĕ și nu v’aspĕriațĭ. 
MAT.17.8	Și sculândaluĭ oclĭi a lorŭ, nu veḑură niçi unŭ, afară de Iisusŭ singurŭ.
MAT.17.9	Și cându s’depunea elĭ de pe munte, lĕ dimândă Iisusŭ și lĕ ḑise: S’nu spunețĭ a vêr‐nuĭ çe avețĭ veḑută până cându hilĭlu a omŭluĭ, va s’înviéză din morțĭ. 
MAT.17.10	Și discipulĭi a luĭ lŭ întrebară, și lĭ ḑiseră: tră çe decara ḑicŭ cărturarĭlĭi că Ilia prinde s’vină cama nainte? 
MAT.17.11	Iară Iisusŭ respunse și lĕ ḑise: Dealihea că Ilia va s’v̄ină cama nainte și va s’îndrégă tute. 
MAT.17.12	Ma eu vĕ ḑicŭ, că Ilia are vinită și nu lŭ cunosçură, ma féçeră cu nĕsŭ tute câte vrură. Ași și hilĭlu a omŭluĭ are s’pată de la nĕșĭ. 
MAT.17.13	Atunçea acăchisiră discipulĭi că elŭ lĕ sbura tră Ioanŭ Botezătorŭlu.
MAT.17.14	Si cându elĭ viniră la mulțime, s’aprochie de nĕsŭ unŭ omŭ, și îngenuclĭe d’inaintea luĭ. 
MAT.17.15	Și ’lĭ ḑiçe: Dómne m̄iluea pre hilĭlu a m̄eu că éste lunaticŭ, și pate rĕu; că de multe orĭ cade în focŭ, și de multe orĭ în apă. 
MAT.17.16	Și îlŭ adușu la discipulĭi a tĕĭ, și nu putură s’lŭ vindecă. 
MAT.17.17	Iară Iisusŭ respunse și ḑise: O generație fără credință și aspartă! până cându va s’hiu cu voĭ? Până cându va s’vĕ aravdŭ? Aduçețĭ m̄ĭ lŭ aó. 
MAT.17.18	Și ’lŭ încâce Iisusŭ, și eși de tru nĕsu demonŭlu, și s’vindecă feçiorŭlu de tru açea óra.
MAT.17.19	Atunçea viniră discipulĭi la Iisusŭ a parte, și ’lĭ ḑisera: De çe noĭ nu putemŭ s’lu scótemŭ? 
MAT.17.20	Și Iisusŭ lĕ ḑise: De necredința vóstră; ca dealihea vĕ ḑicŭ: s’avurețĭ credință câtŭ unŭ grănuțŭ de sinape va s’ḑiçețĭ aestui munte: Mută‐te de aóçe acolo, și va să s’mută; și çeva nu va s’vĕ hibă preste putință. 
MAT.17.21	Și aestu genŭ nu ése de câtu mașĭ cu rugăciune și agiunare.
MAT.17.22	Și cându se afla elĭ în Galilea, Iisusŭ lĕ ḑise: Hilĭlu a omŭluĭ are să s’preda în mân̄ĭle a ómen̄ĭlorŭ. 
MAT.17.23	Și va s’lŭ omóră, și a treia‐ḑi va s’înv̄iéză. Și vĕrtosŭ se invirinară. 
MAT.17.24	Și cându viniră în Capernaumŭ, agiunseră la Petru açelĭ çe aduna datŭlu de dóuĕ drahme, și lĭ ḑiseră: Invețătorŭlu â vostru nu plătésçe dóule drahme. 
MAT.17.25	Și elŭ ḑise: da! Și cându întră în casă, lŭ apucă ma năinte Iisusŭ, și ’lĭ ḑise: Cumŭ ți se pare Simonŭ? Amirăraḑĭlĭi a locŭluĭ de la care, lĭau datŭ ică tributŭ? De la hiliĭ a lorŭ, ică de la streinĭ. 
MAT.17.26	Și cându Petru ’lĭ grăi de la strĕin̄ĭ, Iisusŭ ’lĭ ḑise: Atunçea hilĭlĭi sŭntu liberĭ. 
MAT.17.27	Ma tra s’nu lĭ scandalisămŭ, dute la amare, arucă nă mréje, și primŭlu pescu çe va să se acață, scólă lŭ, desclĭde‐lĭ gura, și va s’afli unŭ statirŭ. Lĭa‐lŭ açelŭ și dălŭ a lorŭ tră mine și tră tine.
MAT.18.1	Tru açea óră s’aprochiară de Iisusŭ discipulĭi a luĭ și ’lĭ ḑiseră: Care éste óre cama mare tru amirărilĭea çeruluĭ? 
MAT.18.2	Iară Iisusŭ clĭemă unŭ m̄icŭ feciorŭ, și lŭ apuse nolgica lorŭ, Și ḑise: 
MAT.18.3	Dealihea vĕ ḑicŭ, s’fure că nu vĕ turnațĭ și s’vĕ façețĭ ca feciorĭlĭi aeștĭ, nu va s’intrațĭ tru amirarilĭea çerŭluĭ. 
MAT.18.4	Că açelŭ çe va ’șĭ plécă vetea luĭ ca aestu feciorŭ, açelŭ éste cama mare tru amirărărilĭea çerŭluĭ. 
MAT.18.5	Și açelŭ çe va s’ascéptă unŭ ahtare feciorŭ, in numa mea, pe mine ascéptă. 
MAT.18.6	Ma açelŭ çe va să scandaliséscă unŭ din miçĭlĭi aestĭ, carĭ credu în mine, cama ghine éste tra nĕsŭ să lĭ se spĕnḑură ună chétră de móră pre gușa luĭ, și să se afundă în apele a marilĭeĭ.
MAT.18.7	Cavaĭ a lumelĭeĭ de scandale; că lipsésce s’v̄ină scandalĕle, ma cavaĭ de açelŭ omŭ, de la care vine scandalŭlu. 
MAT.18.8	Și s’fure că mâna‐țĭ, ică cicioru‐țĭ te scanliséză, talĭe‐le și arucă le de la tine. Cama ghine‐țĭ éste s’întri tru bană scliopŭ ică ologŭ, de câtu s’aĭ dóuĕ mânĭ dóuĕ cicióre, și s’hĭi arŭcatŭ în focŭlu eternŭ.
MAT.18.9	Și s’éste că oclĭulŭ a tĕu te scandalisésce, scóte‐lŭ și arucă‐lŭ de la tine; că cama ghine tĭ éste cu unŭ oclĭu să întri tru bană, de câtŭ cu doĭ oclĭi, și s’hĭi arŭcatŭ în gheena foculuĭ.
MAT.18.10	Aferițĭ‐vĕ s’nu mutrițĭ na rĕuluĭ vêrnu de aesti m̄içĭ; că vĕ ḑicŭ a vóuĕ că anghelĭi a lorŭ în çerŭ, tot‐una vedŭ fața a tată‐m̄euĭ care éste în çerŭ. 
MAT.18.11	Că hilĭlu a omuluĭ are venită s’ascapă cherdutŭlu. 
MAT.18.12	Çe vĕ se pare? Cându unŭ omŭ are ună sută de oĭ, și s’cherdure ună din ele, nu alasă açéle nóuĕ‐ḑeçĭ și nóuĕ, și s’duçe pre tru munțĭ s’caftă açea cherdută? 
MAT.18.13	Și s’fure că o află, de alihea vĕ ḑicŭ că se bucură tră nĕsă cama multu de câtŭ tră açéle nóuĕ‐ḑeçĭ și nóuĕ, çe nu suntu cherdute. 
MAT.18.14	Ași nu éste vrérea Tatăluĭ a vostru din çerŭ, ca s’chéră unŭ de aeștĭ m̄içĭlĭi. 
MAT.18.15	Și s’fure că frate tĕu stepsésce çeva contra ta, dute și spune‐lĭ stépsurĭle d’înaintea ta și a luĭ singurŭ; s’te ascultare, amintașĭ pre frate‐tĕu. 
MAT.18.16	Ma s’nu te ascultare, lĭa cu tine nică unŭ ică doĭ, tra să s’asigură içe‐do graiŭ, prin gura a doĭ ică a trei martorĭ.
MAT.18.17	Și s’fure că nu lĭ ascultă nĕșĭ, spune a Biséricălĭeĭ; și s’éste că nu ascultă niçi bisérica, la s’țĭ hibă ca pângănŭlu și vameșŭlu. 
MAT.18.18	Dealihea vĕ ḑicŭ: câte va s’legațĭ preste locŭ, legate va s’hibă și în çerŭ; și câte va s’deslegațĭ preste locŭ, deslegate va s’hibă și în çerŭ. 
MAT.18.19	Iară vĕ ḑicŭ a vóuĕ; că s’fure că doĭ din voĭ s’unescŭ preste locŭ tră ice‐do lucru çe va s’caftă, va s’lĕ se da de la Tatălŭ a meu açelŭ din çerŭ. 
MAT.18.20	Că iu sŭntu adunațĭ doi ică treĭ în numa mea, acolo escu și eu niḑă de elĭ.
MAT.18.21	Atunçea s’aprochie de elŭ Petru și ’lĭ ḑise: Dómne de câte orĭ ma s’ mĭ stepséscă frate‐m̄eu și s’lu lĭertŭ? De sépte orĭ? 
MAT.18.22	Isusŭ lĭ ḑise: nu țĭ ḑicŭ până la șépte ori, ma până la sépte‐ḑecĭ‐șépte de orĭ, câte șépte. 
MAT.18.23	Tr’açea unzésce amirărilĭea çerŭluĭ cu unŭ omŭ amiră, care vru s’facă cuitélă cu servitorĭlĭi a luĭ. 
MAT.18.24	Și cându înçepu s’facă cuitéla ’lĭ se aduse unŭ datorŭ de ḑéçe milĭ de talante. 
MAT.18.25	Și decara nu avea elŭ cu çe s’plătéscă, dimândă Domnu‐sĕu, să se vindă elŭ și mulĭérea‐sa, și fumélĭa luĭ, și tute câte avea, și să se p’ătéscă 
MAT.18.26	Atunçea căḑu servitorŭlu, se ruga la elŭ și ḑiçea: Dómne aĭ răbdare câtră mine și tute va s’țĭ le plătescu. 
MAT.18.27	Și îlĭ fu milă a Domnu‐sĕuĭ de açelŭ servitorŭ, lŭ alăsă și îlĭ lĭertă împrumutŭlu. 
MAT.18.28	Și cându eși açelŭ servitorŭ, află unŭ din soçĭlĭi a luĭ, care ’lĭ avea tră dare ună sută de dinarĭ; și lŭ acață și ’lŭ sŭgruma și ’lĭ ḑiçea: plătea‐m̄ĭ açea ce ’m̄ĭ aĭ tră dare. 
MAT.18.29	Și ași servitorŭlu soçŭlu a luĭ, ’lĭ căḑu la ciciorĭle a luĭ, și lŭ ruga ḑicênda‐luĭ: Aĭ răbdare câtrĕ mine, și tute va s’țĭ le plătescu. 
MAT.18.30	Iară elŭ nu vrea, ma s’duse și lŭ băgă tru înclĭsóre, până cându s’lĭ plătéscă datoria. 
MAT.18.31	Ma cându veḑură servitorĭlĭi soçĭlĭi a luĭ açéle çe s’féçeră, se înverinară vêrtosŭ și viniră și spuseră a Domnuluĭ a lorŭ, tute câte s’avea faptă. 
MAT.18.32	Atunçea lu clĭemă Domnu sĕu, și’lĭ ḑise: servitorŭ rĕu; 
MAT.18.33	Nu prindea și tine s’m̄iluesci pre servitorŭlu soçŭlu a tĕu, cumŭ te m̄iluĭ și eu pre tine? 
MAT.18.34	Și s’nâiri Domnu sĕu, și’lŭ prédede la açelĭ çe pedepsescu, până cându s’plătéscă tuta datoria luĭ. 
MAT.18.35	Ași va s’facă și Tatălŭ a m̄eu açe ŭ din çerŭ, fure çă și voĭ nu lĭertațĭ din inimĭle a vóstre, stepsurĭle a frațĭlorŭ a voștrorŭ.
MAT.19.1	Şi cându fini Iisusŭ aeste graie, trapse din Galilea, și vine la sinorĭle a Iudeilĭeĭ, naparte de Iordanŭ, 
MAT.19.2	Și s’duseră după nĕsŭ mulțime mare, și ’lĭ vindecă acolo.
MAT.19.3	Și viniră la elŭ Fariseilĭi cărtindŭ‐lŭ și ’lĭ ḑiçea. Di‐se éste lĭertată a omŭluĭ să ’șĭ alasă mulĭérea sa tră içe‐do causă? 
MAT.19.4	Iară elŭ respunse și ’ĕ ḑîse: N’avețĭ cântată ca açelŭ çe lĭ féçe de la înçeputŭ, mascurŭ și feminŭ lĭ féçe? 
MAT.19.5	Și ḑise: „Tr’ açea va s’alasă omŭlu tată‐sĕŭ și mama sa, și va s’alichéscă de mulĭérea‐sa, și va s’hibă amêndoĭ unŭ trupŭ“. 
MAT.19.6	In câtu nu maĭ sŭntu doĭ, ma unŭ trupŭ. Că açea çe Dumneḑĕu o are unită, omŭlu s’nu o despartă. 
MAT.19.7	Elĭ lĭ ḑicŭ a luĭ: Că çe decara Moisi dimândă s’lĭ se da carte de despărțire, și s’o alasă? 
MAT.19.8	Elŭ ’lĭ ḑiçe: Că Moisi di tra inima vóstră açea de chétră, vĕ alăsă, s’vĕ alăsațĭ mulĭerĭle, ma de la înçeputŭ nu fu ași. 
MAT.19.9	Ma vĕ ḑicŭ că açelŭ ce ’șĭ alasă mulĭérea‐sa afară de lucru de curvilĭe, și se însóră cu altă, curvésce; și açelŭ çe s’însóră cu 
MAT.19.10	Lĭ ḑicŭ discipulĭi a luĭ; Ma‐că éste ași lucrulŭ a omŭluĭ cu mulĭérea, nu e ghine să s’însóră. 
MAT.19.11	Ma elŭ lĕ ḑise: Nu încape la tuțĭ grailu aestu, ma la açelĭ çe lĕ éste datŭ. 
MAT.19.12	Că sŭntu eunuchĭ, carĭ ași sŭntu fapțĭ din pânteca mameĭ a lorŭ; și sŭntu eunuchi carĭ s’féçeră eunuchi de ómen̄ĭ; și sŭntu enuchi carĭ s’féçeră nĕșĭ singurĭ, tră amirărilĭea din çerŭ. Açelŭ çe póte s’acăchiséscă 
MAT.19.13	Atunçea lĭ aduseră feciorĭ tră s’apună mânĕle pre elĭ, și să se rógă. Și discipulĭi a luĭ ’lĭ încăciară. 
MAT.19.14	Iară Iisusŭ ḑise: Alăsațĭ feciorĭlĭi și nu lĭ ținețĭ tra s’v̄ină la mine; că ahtărorŭ éste amirărilĭea din çerŭ. 
MAT.19.15	Și cara apuse mânĕle pre elĭ, s’depărtă d’acolo.
MAT.19.16	Și écă unŭ v̄ine 
MAT.19.17	Iară elŭ lĭ ḑise: çe m̄ĭ ḑiçĭ bunŭ? Niçĭ unŭ nu éste bunŭde câtŭ mașĭ unŭ Dumneḑĕŭ. Ma s’vréreșĭ s’intrĭ tru bană, 
MAT.19.18	avéglĭe dimândăciu nĭle. Elŭ lĭ ḑiçe: Carĭ? Și Iisusŭ l ḑise: Să nu vatăm̄ĭ, s’nu curvesci, s’nu furĭ, 
MAT.19.19	și s’nu mărturisesci marturie minciunósă; Tinisea pre tată‐tĕu, și pre muma ta, 
MAT.19.20	și s’vreĭ aprópele a tĕu ca pre tine singurŭ. Tinerŭlu lĭ ḑiçe: Tute aeste le am aveglĭată din tinerețile a méle; 
MAT.19.21	çe mĭ lipsésce nică? Iisusŭ ’lĭ ḑise: s’fure că vrei s’hĭi perfectu, dute vinde çe aĭ, și dă‐e a órfănĭlorŭ, și va s’aĭ v̄istére in çerŭ, 
MAT.19.22	și v̄ino după mine. Și cându avḑî tinerŭlu, grailu 
MAT.19.23	Iară Iisusu ḑise a discipulĭlorŭ a luĭ: Dealihea vĕ ḑicŭ, că cu greu va s’întră avutŭlu tru amirărilĭea çerŭluĭ. 
MAT.19.24	Și iară vĕ ḑiçŭ: cama lișiorŭ éste, s’trécă cămila prin guva de acŭ, de câtŭ avutŭlu s’întră tru amirărilĭea a luĭ Dumneḑêu. 
MAT.19.25	Și cându avḑiră discipulĭi, s’ciudusea multu, și ḑiçea: 
MAT.19.26	Care decara póte s’asçapă? Și arucândŭ și oclĭilĭ Iisusŭ 
MAT.19.27	Atunçea Petru respunse și ’lĭ ḑise: Éca noĭ alăsămŭ tute, și vinemŭ după tine; ma çe va s’avemŭ? Iară Iisusu lĕ ḑise: 
MAT.19.28	Dealihea vĕ ḑicŭ, cá voĭ care vinetŭ după mine, in nóua generație cându hilĭlu a omŭlui va s’șéḑă pre thronŭlu a glorielĭeĭ a luĭ, va s’ședețĭ și voĭ pre doĭ‐sprĕ‐ḑéçe thronurĭ, și va s’giudecațĭ dóue‐sprĕ‐ḑéçĕle semênțe a luĭ Israilŭ. 
MAT.19.29	Și orĭ care ’șĭ alasă case, ică frațĭ, ică surorĭ, ică tată, ică mumă, ică mulĭére, ică feciorĭ, ică agre, tră numa mea, va s’lĭa tră ună, ună sută, și va s’moștenéscă bană eternă. 
MAT.19.30	Și mulți primĭ va s’hibă în códă și açelĭ din códă primĭ.
MAT.20.1	Că unzésce amirărilĭea çerŭlui ca unŭ omŭ domnŭ de casă, eși de diminéță, să păituéscă lucrătorĭ tră av̄in̄ia luĭ. 
MAT.20.2	Și cara ’lĭ păitui lucrătorĭlĭi câte unŭ dinarŭ pe ḑiuă, lĭ petrecu la av̄in̄ia luĭ. 
MAT.20.3	Și eșindaluĭ pe la óra treĭ, vĕḑu alțĭ care stătea în pazare fără lucru. 
MAT.20.4	Și ḑise și açelorŭ: Duçețĭ vĕ și voĭ la av̄inie, și çe va s’hibă dreptŭ va s’vĕ daŭ. 
MAT.20.5	Și elĭ s’duseră; Iară eși pre la óra șése și nóuĕ și féçe tutŭ ași. 
MAT.20.6	Și cându eși pre la óra ună‐sprĕḑéçe, află alțĭ iu stătea fâră lucru, și lĕ ḑiçe; câçe stațĭ açia tută ḑiua fâră lucru? 
MAT.20.7	Elĭ lĭ ḑieŭ: că vêrnu nu ne păitui. 
MAT.20.8	Iară cându întunecă, Domnulu a av̄in̄ilĭeĭ, ḑiçe câtre epitropŭlu a luĭ: clĭémă lucrătorĭlĭi și dă‐le plata, și înçepe de la açelĭ din códă pănă la açelĭ d’întân̄iŭ. 
MAT.20.9	Și cându vineră açelĭ çe s’păituiră la óra ună‐sprĕ‐ḑéçe, luară câte unŭ dinarŭ. 
MAT.20.10	Venindaluĭ apoĭ açelĭ d’întân̄iŭ, lĕ se păru că va s’lĭa ma multu; ma și elĭ câte unŭ dinarŭ luară. 
MAT.20.11	Și după ce luară, murmura contra Domnului a casălĭeĭ, 
MAT.20.12	Și ḑiçea: Că aești din urmă ună óra féçeră, și lĭ féçeșĭ ună cu noĭ, care avemŭ purtată greutatea ḑiuălĭeĭ, și cărórea. 
MAT.20.13	Ma elŭ respunse și ḑise a unuĭ de elĭ: Ospe nu țĭ facŭ strămbătate; nu te păituiĭ tră unŭ dinarŭ? 
MAT.20.14	Lĭa‐țĭ a téu și du‐te; eu voiŭ s’lĭ daŭ și aestuĭ din urmă ca și a țié. 
MAT.20.15	Orĭ n’am dreptu s’facŭ çe voiŭ cu ale méle? i țĭ éste oclĭulŭ rĕu, că escu bunŭ? 
MAT.20.16	Ași va shibă açelĭ din urmă, primĭ, și primilĭi la urmă; că mulțĭ sŭntu cl’emațí ma puțĭnĭ alepțĭ.
MAT.20.17	Și cându s’alină Iisusŭ la Ierusalimŭ, luă ’na‐’nă parte în cale açelĭ doĭ‐sprĕḑéçe discipulĭ, și lĕ ḑise: 
MAT.20.18	Écă nĕ alinămŭ la Ierusalimŭ, și hilĭlu a omŭluĭ va s’hibă predatŭ la Archiereĭ, și Cărturarĭ, 
MAT.20.19	și va s’lu giudecă la mórte; Și va s’lu preda a ginteloru să ’șĭ arădă de nĕsŭ, și s’lŭ bată cu sviciu, și s’lu cruçifică, și a treia ḑĭ va să înv̄iéză.
MAT.20.20	Atunçea vine la elŭ muma a hilĭlorŭ a luĭ Zevedeu, împreună cu hilĭi a lĭeĭ, și se înclĭna căftânda’uĭ çeva de la nĕsŭ. 
MAT.20.21	Și elŭ lĭ ḑise: çe vreĭ? ia îlĭ ḑiçe: Tra s’șédă aesti doĭ hilĭ a meĭ, unŭ la dréptă‐țĭ și unŭ la stânga‐țĭ tru amirărilĭea ta. 
MAT.20.22	Iară Iisusŭ respunse și ḑise: Nu scițĭ çe çérețĭ. Putețĭ voĭ s’bețĭ scafa çe va s’beau eŭ, și s’vĕ botezațĭ cu botezarea cu care me botezŭ eŭ? 
MAT.20.23	Lĭ ḑicŭ a luĭ: Putemŭ. Și 
MAT.20.24	Și cândŭ avḑiră ḑéçelĭ, s’năĭriră pre açeli doĭ frațĭ. 
MAT.20.25	Iará Iisulsŭ lĭ clĭemă și lĕ ḑise: Scițĭ cá Domnilĭ a gintelorŭ domnescŭ preste ele, și marĭlĭi le ursescŭ? 
MAT.20.26	Iará la voĭ, nu va s’hibá ași: ma care din voĭ va s’hibă mare, la s’vĕ hibă servitorŭ. 
MAT.20.27	Și care din voĭ va s’ vrea s’hibă primŭ, la s’vĕ hibă servitorŭ; 
MAT.20.28	după cumŭ hilĭlu a omŭluĭ, nu vine tra s’hibă servitŭ 
MAT.20.29	Și cându eșia elĭ din Ieriho, s’duse după nĕsŭ poporŭ multu. 
MAT.20.30	Și éca doi orghi carĭ ședeau în cale, avḑîndaluĭ că treçea Iisusŭ, strigară și ḑiserá: Milué‐nĕ 
MAT.20.31	pre noĭ Dómne hilĭlu a luĭ Davidŭ Și ghimta lĭ încacie tra s’tacă; ma elĭ striga și ḑiçea: Milué‐ne pre noĭ hilĭlu a luĭ Davidŭ. 
MAT.20.32	Și stătu Iisusŭ și ’li clĭemă și lĕ ḑise: çe vrĕțĭ s’ vĕ facŭ? 
MAT.20.33	Eli ’lĭ ḑicŭ: Dómne sá nĕ se deșclĭdă oclĭilĭ. 
MAT.20.34	Și lĭ v̄ine m̄ilă luĭ Iisusŭ, și băgă mâna pe oclĭilĭ a lorŭ, și tru‐óră veḑură oclĭilĭ a lorŭ, și s’duséră dupá urma luĭ.
MAT.21.1	Și cându s’aprochiară de Ierusalimŭ, și vineră la Bithfaghi câtre muntele a masinelor; atunçea petrecu Iisusŭ doĭ discipulĭ și lĕ ḑise: 
MAT.21.2	Duçetĭ vĕ tru hóra care éste naparte de voĭ, și tru‐óră s’căftațĭ ună asină legată, și unŭ mânzu cu ea; deslegațĭ
MAT.21.3	Și s’fure că çineva vĕ ḑiçe çeva, s’lĭ ḑiçețĭ că a Domnuluĭ îlĭ lipsescu, și de ună‐óră va s’vĕ le petrécă.
MAT.21.4	Și aestă tută s’féçe tra să se împlinéscă açea çe éste ḑisă, prin profetŭlu care ḑiçe: 
MAT.21.5	„Spunețĭ a hilĭlĭei a luĭ Sion“ Éca amirălŭ a tĕu vine la tine blăndu, și încalarŭ pre asină, și pre mânzu, hiĭlu açelĭeĭ de sum jugŭ; 
