MAT.1.1	Rìfuu yì ɗi Yeesus Kiris man à Davit, man à Abiraham ɗi ri fɛlɛ: 
COL.2.11	Ɓi nyi, ɓì kɛ̀rɛ̀ngà rìkuu ɗi kɛ̀rɛ̀n ɗi ɗi yin ɗi ɓum ɓɛɛ kɛri rì ɓyàg ɓyaa, kìɓan kifog, ɓì kɛ̀rɛ̀ngà kɛ̀rɛ̀n à Kiris ànɛ à rì lɛ mum a leg ɓi rìkpàn ɗi nyoo ì kìɓe. 
COL.2.12	Ɓɛ ɓomgà mìni ǹɗaŋ ri nyi yɛ̀ɛ ɓì ɓàɓtɛ̀ngà, ɓì mɛ ghèmɓɛn girig ɓi nyi, ǹɗaŋ ɗi nyi lɛ rìgherɛ̀n ɗi ɓì gherɛɛ ìtèɗ wu Bɛ̀ll ànɛ à ghèmzìghày nyi a ɓìloŋ. 
COL.2.13	Mìni ɓɛ ɓì ɓaghà ɓìloŋ abɛ̀y lɛ ɓìɓe ɓin, ɗì rìɓa ɗi ɓì ɓaghà kɛ̀ɛ̀ kìkɛ̀rɛɛ, Bɛ̀ll à mɛ fati mini cɛɓ ǹɗaŋ ɗi Kiris, yɛ̀ɛ à cenɛ̀ngà ɓisi ɓìɓe ɓis ɓìcèm. 
COL.2.14	À pisighà sɔmìnà à m̀ɓeɓɛn ànɛ à ɓaghà ɓisi ɓi nyoo innɛ ɓìɓan ɓi miì ɓi nɔɔ̀nɔ̀ɔ̀tìghà ɓìsi; à pisìghà ɓìsi nyi yɛ̀ɛ à kpangà nyi ɓi kɔrɔs. 
COL.2.15	À dùŋzìghà ɓɛ̀làmì rì mɛ̀tèɗ mɛ mɛghay, à ghanì ɓɔ ɓi mis mɛ ɓum ɓɛ̀cèm yɛ̀ɛ à yagsàkà ɓɔ ɓi kɔrɔs aɗyòò.
COL.2.16	Nni fɔɔnnɛ mum kɛ̀ɛ yɔ̀mdi mini ɓi ɓìɗilàg ɓi ɓì rì lɛ ɓì ɗi, rì com ki ɓì rì lɛ ɓì nɔ, nsoò ɓi kìɓan ki ticàɓ tidɛŋ nsoò lɛ ǹtaasi wu ŋwii, nsoò lɛ saɓàt. 
COL.2.17	Ɓyom ɓìn ɓìcèm ɓi ri lɔŋ cììziŋ ki ɓiɓan ɓi ɓi riì, wɔ̀lɛ kɔɔ̀kɔɔ̀ à kìɓan a rì lɔŋ ɓi Kiris. 
COL.2.18	Kɛ̀ ɓi càrɛn lɛ mɛ̀lèɓ mɛ ɓi mɛ̀ree mɛ ɓi ghɛghɛŋì ŋwaàdɛŋ a ɓatɛn mìni mɔ yɛ̀ɛ ki kɔni nyi, rì ìghèy lɛ à rì ǹsɛɛ̀dɛn nyimiɗ ɓi zi, rì tì lɛ, a ɓɔɔɓɔgsì ɓum ɓɛ titom; rìkuu ɗi mum ɗìn ɗi ti ɗi ɓiisàg kì kuughraagh ɓiɓan ɓi ɗi ghɛɛ fɛlɛ yɛ̀ɛ ɓìdɛ̀ndɛm̀; ɗi ki ɓalag ɗi ronɛn ɗi ɓìdaŋà ɓi kɛ̀ɛ̀-su, ɓi ɓɔɔ mɛyitì ɓii ɓɛ à rì rì ɓɔ, ɓi rìɓa ɗii ɗi lɛ mum. 
COL.2.19	Rìkuu ɗi mum ɗìn ɗi yin ɗi ràrɛn ri ǹto wu wu ɓanɓani nyoo bimiɗ, wu ki kì lɛ nyoo ìnɛ̀n yɛ̀ɛ rarag lɛ syeesyee ɓi jàŋ yi ì rì miì ǹwògakɛn ì ki tɔɔtɔɔ kitɔɔ ki Bɛ̀ll a fafa yɔ̀.
COL.2.20	I ɓì wughà ǹɗaŋ ri Kiris ɓi ɓɛg ànɛ a mɛ̀tèɗ mɛ mɛghay mɛ ɓi ziinɛ, ɓisuucɛ nnɛ ɓɛ kaŋkàŋ tì mìni rì ɓìɓan ɓiǹ yɛ̀ɛ ɓɛɛ̀ kali lɛ ɓì kaka ɓì ghɛghɛ̀ɓ ɓi ɓìsyɔ̀ɔ̀ ɓi ɓi ziinɛ? 
COL.2.21	Kɔ̀ɔ teɗ, kɔ̀ɔ ɓoɓti, kɔ̀ɔ kòm! 
COL.2.22	Ɓìcèlì ɓiǹ ɓìcèm ɓi koŋkomi ɓyom ɓi ɓi ti ɓi ɗyogì di ɓɛ kii kìsay miì gɛ̀mbog; ɓìɓan ɓiǹ ɓi ri lɔŋ ɓidɔ̀gsɛna rì mɛ̀rèsàg mɛ ɓum ɓɛɛ foŋi. 
COL.2.23	Ki ri saaɗ lɛ ɓìcèlì ɓiǹ, ɓi rìseèsèèrɛ̀n ɗi ɓi mis, ɓi ri lɛ ɓɛ sɛg lɛ, ɗì rìɓɔgsàg ɗi Bɛ̀ll ɗi miì ɗi ɗi ri kìɓan ki ɓum ɓɛɛ ɓekii, ɗì rìsɛɛ̀dɛ̀n ɗi ɓi zi, rì kìɓan ki lɛ, mum a ki nyoo yìì rìgɛn; kìɓan kifog gɛ ɓìɓan anɛ̀n à ghɛɓsii ɓi bimiɗ à com, à rì lɔŋ ɓisuu kinyàà ki mɛmùù.
COL.3.1	I ɓì mɛ ghèmɓɛn min nɗaŋ ri Kiris, kaakaana ɓìɓan ɓi aɗyoo, jàŋ inɛ Kiris à rì ǹkɔ̀kɔriyɛn ɓi weèlem à Bɛ̀ll. 
COL.3.2	Foŋina ǹɗem rì ɓìɓan ɓi aɗyoo, kɛ̀ ɓi fèfeg ɓi ɓi ziinɛ. 
COL.3.3	Ɓisuulɛ, ɓì rì ɓìloŋ, cɛɓ kin ki ri kì nyamɛn nɗaŋ ɗi Kiris ɓi Bɛ̀ll. 
COL.3.4	Yɛ̀ɛ Kiris ànɛ à rì cɛɓ kin, à ɓiì rèsɛɛ, fɔlɔɔ nnɛ, mìni girig ɓì ɓiì rèsɛɛ nɗaŋ ri nyi ɓi rìkem ɓi ɗùm.
COL.3.5	Wolina ɓìɓan ɓi ɓi zi ɓìcèm ɓi ɓì rì rì ɓyɔ ɓi mìniìɓɔmiɗ, ɓyɛɛ ri lɛ, cɛɓ ki tisɔ̀mɔ̀g, cɛɓ ki tifin, ɗì rìfalɛ̀n ɗi ɓi ɓìɓan ɓi ɓeɓtɛn, rì kìsee ki ikum, kɛɛ ri fɛlɛ yɛ̀ɛ rìɓɔgsì ɗi ɓinùn. 
COL.3.6	Ɓìɓan ɓiǹ ɓyɛɛ ti ɓi kilàg lɛ Bɛ̀ll a wog bim, ri ɓumɓɛ ɓɛ ɓeni nyi kì kìi mɛwog
COL.3.7	Cɛɓ ki ɓì ghɛghɛ̀ɓkà abɛ̀y kɛɛ ri lɔɔ, di ɓì kaka ɓi ɓìɓe ɓiǹ ɓi ɗùm. 
COL.3.8	Nni à tumɛ̀n ɓigomìnɛ, mìni girig, càrina ɓìɓan ɓiǹ ɓìcèm lɛ rì bim, rì kìnyɛn, rì kìɓeɓtàg ki nɗem, rì tìfena, rì ɓìtòkì ɓi kɛ̀ ǹtoòrìɗ ɓi ɓi ti ɓi kpagìì ɓi myɔm min.
COL.3.9	Pwàà à ghɛ̀ɛ̀sɛɛ tì ɓi ki ɓaà ɓi nyìinyìm wìn, ɓisuulɛ ɓì mɛ rini lɛ rì fìɗyàɓ fin fi riɓa fi ɓi mɛ̀mùù rì ɓìɓan ɓi miì. 
COL.3.10	Ɓì teɗ nyɔɔnyɔn à rìɓa, ànɛ à rì rìɓa ɗi ŋwaànɛ à ti ncenɗɛn, à ɓa cààmɛ̀n kìcèm à suùsùgtì nyɔn ɓi kìpisɛn ki roànɛ à kìghà nyi, lɛ di a konag lɔŋ nyi kì yiì kɔɔ̀kɔɔ̀ à rìyi. 
COL.3.11	Foo ǹlànag wu yiìdi ɓi nyìinyìm ànɛ lɛ, rì muu Gìrɛg, rì muu Ɓɛ̀yudɛ̀n, nsoò lɛ rì ŋwaànɛ à rì ǹkɛ̀rɛn, rì roànɛ à yin nkɛ̀rɛn, ǹkèn a mum, rì muu Sit, nsoò lɛ rì ǹkpàn rì ŋwaànɛ à yin ǹkpàn, lɔŋ Kiris yɛɛ ri com kìcèm ɓi ɓum ɓɛ̀cèm.
COL.3.12	Nni yɛ̀ɛ Bɛ̀ll à ɓɔ̀ngà mìni, à tɛɛ̀zì mìni, à ki keesi mini, ɓì ghɛ̀ɛ̀sɛɛ lɛ ɓì waatɛ̀n nɗem wu nyìinyìg, rì wu geesɛ̀n, rì wu sɛɛ̀dɛn ɓi zi, rì wu tɛ̀tɛ̀rɛ̀ɛ̀, rì rìnìɗ ɗi nɗem. 
COL.3.13	Ɓì ghɛ̀ɛ̀sɛɛ kì ceecenɛ̀n mìni rì mìni, i ki kpaŋi lɛ ŋwaàdɛŋ à rì rì kìɓan ki ki kɛŋi nyi rì geni, ɓaana rì rìcenɛ̀n ɓi nyìinyìm wìn; fɛlɛ yɛ̀ɛ Kan à cenɛ̀ngà mìni, mìni girig ɓaana ɗì ricenɛ̀n ɓi nyìinyìm wìn. 
COL.3.14	Wɔ̀lɛ ɓi ɓìɓan ɓiǹ ɓìcèm, ɓaana rì ǹkɔ̀nɛ̀n. Ǹkɔ̀nɛ̀n à rì com ki ki ti ki raɗkì ɓum syeesyee à rìràɗ. 
COL.3.15	Fyòoog à Kiris ànɛ Bɛ̀ll à reŋìghà mìniìcèm miì lɛ, ɓi ɓa ɓìkàɓ ɓi ɓi nyoo bog, a lami mɛ̀rem min. Ɓì ghɛ̀ɛ̀sɛɛ kì yiì rìfa ɗi ɓìtògsɛ̀n.
COL.3.16	Jɛ̀ɛ̀ ì Kiris yɛ̀ɛ kɔri mìni ɓi mɛ̀rem rì ɓìɓan ɓi syeesyee ɓìcèm ɓi ì rì rì ɓyɔ; ki ghɛɛ̀sɛɛ lɛ, ɓi nyìinyìm wìn, ɓɛ̀ro ɓɛdɛŋ ɓɛ reèrèsàg ɓɛ̀ro ɓɛmbog, ɓì reèrèɓɓɛ̀n mìni rì mìni rì ɗyomzɛ̀n lɛɛ̀gwey; ɓì kɛkɛ̀ɛ̀gh Bɛ̀ll tyem ti ɓi ɓɛ̀sam, rì mɛ̀ɓàlì rì ɓìgheesì ɓi Ǹghay à resii, kìina kìɓan kiǹ rì nɗem win wucèm. 
COL.3.17	Com kìcèm ki ɓì rì lɛ ɓì kpaa, nsoò lɛ ɓì kì, kìina kɔ ɓi ɗii ɗi Kan Yeesus, ɓì fafà Bɛ̀ll à Seŋi wìs ɓìtògsɛ̀n rì ɗii ɗìì.
COL.3.18	Mìni ɓɛ̀yiɓ ɓaana rì mɛ̀wog ɓi ɓɛg ànɛ a ɓɛ̀yii ɓin, yɛ̀ɛ kɛɛ̀ kɔ̀ɔkɔnɛ̀n ɓi mis mɛ Kan.
COL.3.19	Mìni ɓɛ̀baŋì, keesiina ɓɛ̀yiɓ ɓin, kɛ̀ ɓi biibimɓɛ̀n rì ɓɔ.
COL.3.20	Mìni ɓɔn, kìina ɓɛ̀yalì ɓin mɛwog ɓi ɓìɓan ɓìcèm, ɓisuulɛ kìɓan kiǹ ki ri lɛ syeesyee ɓi mis mɛ Kan.
COL.3.21	Mìni ɓɛ̀seŋi ɓɔn, kɛ̀ ɓi ǹyɛɛnyɛɛ̀dɛ̀n ɓɔn ɓin, di mùm mɛ ri ɓɔ ɓiì sɛ̀nsɛni.
COL.3.22	Mìni ɓɛ̀kìì-ɓìsay, kìina ɓɛ̀masà ɓin ɓɛ ɓi mɛ̀mùù mɛ̀wog ɓi ɓìɓan ɓìcèm, kɛ̀ ɓi kì lɔŋ ɓɔ mɛ̀wog cààmɛ̀n ki ɓɛɛ̀ seesee mini kɔ rì kɔ, yɛ̀ɛ ɓɛɛ̀ kali lɛ, ɓum ɓɛɛ̀ɓɛ ɓi kɔ̀nkɔn lɛ ɓi puɓsi ǹɗem, kìɓan kifog kìina ɓɔ mɛ̀wog rì nɗem wu sɛɛghi sɛɛghi ɓisuu bɔgsɛ̀n ìnɛ ɓì rì rì yɔ̀ ɓi san ànɛ yɛ̀ɛ Kan. 
COL.3.23	Nsoò cɛ kɛɛ̀ki ɓyaà kìkì, kìina ɓìɓan ɓìcèm rì nɗem win wucèm lɔŋ yɛ̀ɛ ɓi kìki ɓyɔ ɓisuu Kan, àa ɓisuu ɓum, 
COL.3.24	ɓì ki yi lɛ, ɓyom ɓi syeesyee ɓi ɓi ri ɓì nyamɛn, ɓì ɓiì teri ɓyɔ yɛ̀ɛ Kan ɓisuu mɛlèɓ min. Kiris ànɛ à rì Kan innɛ ɓi kìki kisay. 
COL.3.25	Lɛ ŋwaànɛ a kìki ɓiɓan ɓi ɓeɓtɛn à ɓiì terì mɛ̀lèɓ mɛ mɛ ghɛɛ̀sɛɛ rì kìɓeɓtàg kii ki rikì, lɛ Bɛ̀ll à yin ɓiì làlanii ɓum.
COL.4.1	Mìni ɓɛ̀masà ɓɛ ɓì rì rì ɓɛ̀kìì-ɓìsay, kìina ɓɔ ɓìɓan ɓi saaɗ yɛ̀ɛ ki ghɛɛ̀sɛɛ, ɓì yitì lɛ mìnii ri girig rì masà aɗyòò.
COL.4.2	Sììrɛɛna ɓi bɔ̀ŋzɛ̀n; ɓì ɓa cem miì ɓi rìfafà ɗi Bɛ̀ll ɓìtògsɛ̀n. 
COL.4.3	Ɓì ɓɔ̀ŋzàg girig Bɛ̀ll ɓisu wis lɛ a nɛm̀ ɓìsi bee inɛ ti lamɓɛn jɛ̀ɛ̀ yìì, di fɔɔnnɛ mɛ̀ɛ nghagsi ɓum dwìɗ inɛ ì seesee Kiris, lɛ kiɓan kiǹ kɛɛ̀ki ǹɗì miì nkàgakɛn bɛn. 
COL.4.4	Ɓì ɓɔ̀ŋzàg girig lɛ nkakali kìɓan kiǹ lɛ tɛntɛ̀ɛ̀n lèg ànɛ ki ghɛɛ̀sɛɛ lɛ nkpaà.
COL.4.5	Ɓaanà rì ɗyomzɛ̀n ɓi rìghɛghɛ̀ɓ ɗin ɗi rì ɓumɓɛ ɓɛ yin ɓɛ̀kìristɛ̀n, kɛ̀ ɓi yogsi cààmɛ̀n ki ɓì rì rì kɔ. 
COL.4.6	Ɓìtòkì ɓin ɓi ghɛɛ̀sɛɛ kì ɓalaagh ɓitòkì ɓi geesɛ̀n, ɓi yɛyɛ̀y yɛ̀ɛ kìkòn; fɔɔnnɛ ɓì ɓiì yiì lannɛ ɓì ghɛ̀ɛ̀sɛɛ lɛ ɓì ɓàg mum ǹcèm ànɛ ɓi ɓɔ, di à tɔɔgh mìni kìɓan.
COL.4.7	Ɓi kìɓan ki ki seesee rìɓa ɗyɛ̀m, Tisig à geni wɛ̀m à nɗem, ànɛ à rì ǹkìì-kìsay a Kan à ǹtyweeyi, ànɛ ti kìki kisay ki Kan ɗì nyi nɗaŋ, à rì mìni ɓiì kalii ɓiɓan ɓìcèm. 
COL.4.8	Nɗomiì mìni nyi rì azi lɛ, ɓi yi rìɓa ɗis, à ki fɔɔsi mini mɛ̀rem. 
COL.4.9	Ɓɛ riì nɗaŋ ri Onezim, geni wìs a ǹɗem, ànɛ à rì mum à ǹtyweeyi, nyi tì maaseŋi wìn. Ɓɛ ri mìni ɓiì wogsii ɓiɓan ɓìcèm ɓi ɓyɛɛ̀ kìikilɛ̀n fɛ.
COL.4.10	Aristarikɛ ànɛ à rì ɓi naà-zày rì mɛ̀ à tògsii yì mìni, nsoò Marikus ànɛ ɓɛ ri ɓɔn rì ɓɔn ɓɛɛ̀ Ɓarinaɓas. Marikus ànɛ̀n innɛ tì mɛ kpaa mini lɛ i à yùu foo a lɔ̀ŋkin, ɓì ghàɓ nyi lɛ syeesyee. 
COL.4.11	Yeesus ànɛ ɓɛɛ̀ regi lɛ Yustus, à tògsii yì girig mìni; lɔŋ kìraa ki ɓum kìn kɔ rì kɔ, kɛɛ ri Ɓɛ̀yudɛ̀n ɓɛ ɓɛɛ̀ sasay nɗaŋ ri mɛ̀ ɓisuu kilɔ̀ŋ ki Bɛ̀ll, ɓɛ ki rì ɓumɓɛ ɓɛ fatìghà mɛ̀ ìtèɗ ɓi nɗem. 
COL.4.12	Epafiras à maaseŋi wìn à tògsii yì mìni, à rì ǹkìì-kìsay a Yeesus Kiris ànɛ à fɔli ɓi riɗùù ɓi bɔ̀ŋzɛ̀n ɓisu wìn, lɛ ɓi ɓa ɓɛ̀sììrɛn, ɓì ɓa ɓɛ̀syeesyee ɓɛ ɓum, ɓì ki gherɛn rikɔ̀n ɗi Bɛ̀ll syeesyee à rìgherɛ̀n. 
COL.4.13	Ǹɗì nyi wusìnɛ̀ɗ lɛ a woowolɛ̀n lɛɛ̀gwey ɓisu win, rì ɓisuu ɓumɓɛ a Lawodise rì ɓɛ a Iyerapolis. 
COL.4.14	Lukas à reŋkàŋ wìs a nɗem, ànɛ à rì dɔgtà ɓɛɛ̀ Demas ɓɛ togsii yì mìni.
COL.4.15	Ɓì tògsàg ɓɛ̀geni ɓis ɓɛ ɓɛ ri a Lawodise, rì Nɛmfa, rì kìseŋi ki Kiris ki ki ri ɓi naa yìì.
COL.4.16	I ɓɛ mɛ ɓày kaàtà ànɛ foo a lɔ̀ŋkin, ɓì ghɛ̀ɛ̀sɛɛ kì kìi lɛ ɓɛɛ ɓay girig kìseŋi ki a Lawodise nyi; fɔɔnnɛ mìni girig ɓì ghɛ̀ɛ̀sɛɛ kì ɓàli kaàtà ànɛ à rì ɓiì ɓaà yì mìni a Lawodise. 
COL.4.17	Kaliina Arisip lɛ: Ù konàg rì kìsay ki Kan à faghà wɔ̀, tèèsi nyoo lɛ u konag kɔ kì kìi.
COL.4.18	Mɛ̀ɛmiɗ Pol yɛɛ kaniì mìni ɓìtɔkì rì càg kɛm̀, kɛ̀ ɓi ɗimzɛn lɛ ǹɗì ɓi naà-zày. Geesɛ̀n ì Bɛ̀ll yɛ̀ɛ ɓa rì mìni!
1TH.1.1	Mɛ̀ Pol, ɓɛɛ Silas rì Timote, tì kàni ɓumɓɛ ɓi Kìseŋi ki a Tesalonika ki ki ri ɓi Bɛ̀ll Seŋi rì ɓi Yeesus Kiris Kan. Geesɛ̀n, rì fyòoog ɓyɛɛ ɓa ɓìfayɛn a lɔ̀ŋkin.
1TH.1.2	Ɓisiì fafa lɔŋ Bɛ̀ll ɓìtògsɛ̀n cààmɛ̀n kìcèm ɓisu wiǹ mìniìcèm, tì ki ɓùŋɓuŋ mini ɓi bɔ̀ŋzɛ̀n yis. 
1TH.1.3	Ɓi mis mɛ Bɛ̀ll à Seŋi wìs tì ti tì yitàg ɓyààmɛ̀n ɓìcèm mɛ̀kìkìì min mɛ ɓi rìgherɛ̀n, rì kìsay ki ǹkɔ̀nɛ̀n wiǹ a kìkì, rì rìsììrɛ̀n ɗin ɓi dyàɓɛn inɛ tì rì rì yɔ̀ ɓì Kan wìs Yeesus Kiris. 
1TH.1.4	Ɓɔɔsoŋ̀, tì yii lɛ Bɛ̀ll à keesìghà mìni, à ki ɓɔ̀n mini. 
1TH.1.5	Ɓisuulɛ tì ghagsìghà ɓi mini Syeesyee à Ɓɔlɛ ànɛ tì ɓaghày rì nyi rì jɛ̀ɛ̀ ì ŋwɔm yɔ̀ ri yɔ̀, tì ghagsìghà girig nyi ɓi dàm yi tì kìkìghà rì ìteɗ wu Kitɛntɛ̀ɛ̀n ki Nghay, tì ki konag kiyiì saaɗ bimiɗ ànɛ ɓi Ɓɔlɛ ànɛ̀n. Ɓi saaɗ, ɓì yii cɛɓ ki tì ghɛɓkà ɓi nyìinyìm wìn; fɔlɔɔ a ɓaghà ɓi kìrɔɔ kin. 
1TH.1.6	Ɓì nɔ̀ɔ̀tìghà lɛ rì mɛ̀kòò mis, rì mɛ̀kòò mɛ Kan, ɓì ki tulɛn rì mɛ̀tɔɓ lɛɛ̀gwey yɛ̀ɛ bì ghàɓkà Syeesyee à Ɓɔlɛ rì kìnyàà ki Kìtɛntɛ̀ɛ̀n ki Nghay kɛɛ̀ falàg. 
1TH.1.7	Fɔɔnnɛ ɓì ti kìfèèghrɛnà ɓisuu ɓɛgherɛ̀n ɓɛ̀cèm ɓɛ a Masedwan, rì ɓɛ a Akayi. 
1TH.1.8	Lɛ jɛ̀ɛ̀ ì Kan ì mɛ pɛ̀sɛn yi a lɔ̀ŋkin, ì kpaŋ à Masedwan rì a Akayi, nni àa lɔŋ foo nyi rì nyi, gom ì rìgherɛ̀n ɗin ɗi ɓì gherɛɛ Bɛ̀ll, ì mɛ sàà jàŋ bimiɗ à kpaŋ ɓi lèg ànɛ tì yin gi lɛ tì kpaakpàà. 
1TH.1.9	Ɓum ɓɛɛ̀ kpaakpaa righàɓ ɗi ɓì ghàɓkà ɓìsi yɛ̀ɛ tì kpagà a lɔ̀ŋkin rì yɛ̀ɛ ɓì càɗkàkày ɓìnùn, ɓì lɔ̀ɔ̀ghrɛ̀n yɛ̀ɛ Bɛ̀ll lɛ ɓi ɓɔgsi nyi, lɛ nnyɛɛ ri kɔɔ̀kɔɔ̀ à Bɛ̀ll ànɛ a rì cem, 
1TH.1.10	ɓì ɓoŋɓòŋ lɛ Man wiì Yeesus, ànɛ à ghèmzìghày a ɓìloŋ, a sɛǹ yì aɗyoo, di a kweɗ ɓìsi ɓi rìbaŋì ɗi Bɛ̀ll ɗi ɗi riì.
1TH.2.1	Ɓɔɔsoŋ̀, mìniìɓɔmiɗ ɓì yii lɛ, rìyù ɗi tì yùghà a lɔ̀ŋkin ɗi wughà ɓi zɛy. 
1TH.2.2	Di tì ka kpaŋ ɓi a lɔ̀ŋkin, tì ghɛngà mɛ̀tɔɓ, ɓum ɓɛ ki yeesi ɓisi a Filiɓ lɔŋ yɛ̀ɛ ɓì yii, wɔ̀lɛ Bɛ̀ll à faghà ɓìsi ìtèɗ wulɛ ti ghagsi mìni Syeesyee à Ɓɔlɛ wìì nsoò yɛ̀ɛ ki ɓaghà bimiɗ à wɛ̀y. 
1TH.2.3	Ɓìɓan ɓi Bɛ̀ll ɓi tì kakàlìghà ɓum ɓi rooghày ɓi ǹɗuŋ ɓi rìnàn ǹsoò lɛ ɓi ɓìɓan ɓi tifin, fɔɔnnɛ ɓi ki yin ɗi ǹ-yègsɛ̀n. 
1TH.2.4	Wɔ̀lɛ Bɛ̀ll à timgà rìɓa ɗis à ki fa ɓisi kìsay ki Syeesyee à Ɓɔlɛ. Fɔlɔɔ nnɛ tì yin ɓiì kpaakpaa ɓiɓan ɓi Bɛ̀ll lɛ ti puɓsi ɓum mɛ̀rem, kìɓan kìfog, ti kpaakpaa ɓi ɓyɛɛ̀ kɔ̀ngi Bɛ̀ll ànɛ à ti à ghɛngì yɛ̀ɛ mɛ̀rem mɛ ɓum, mɛ ri ɓi ɗùm.
1TH.2.5	Ɓì yii lɛ tì ka ɓaghà ɓi ri jɛ̀ɛ̀ ì fìɗyɛɓi, nsoò rìyitì ɗi lɛ ti fɔǹ mɔ̀ɔ̀ni ŋwos adɛŋ, Bɛ̀ll à rì ɓìsi wusìnɛ̀ɗ. 
1TH.2.6	Tì kaaghà ɓi lɛ ɓum ɓɛɛ kemzi ɓisi, nsoò a lɔ̀ŋkin, nsoò a ɓum ɓɛm̀bog, kɔlɛ tì ɓaghà lɛ tì làmì mìni ɓi-tèɗ ɓi ɗii ɗi lɛ ɓɛ̀kɛ̀nì-fìtom ɓɛ Kiris. 
1TH.2.7	Wɔ̀lɛ tì ghɛɓkà ɓi nyìinyìm wìn rì nɗem wu tɛ̀tɛ̀rɛ̀ɛ̀ lɔŋ yɛ̀ɛ jɛɛ ɓɔn à ti à ɓègì ɓɔn ɓii. 
1TH.2.8	Ɓi rìkeesì ɗi tì keesìghà mìni, àa Syeesyee à Ɓɔlɛ à Bɛ̀ll nyi rì nyi innɛ tì ɓaghà lɛ tì kɔ̀n lɛ ti fa mìni, ti ɓaghà lɛ ti fa mìni lɔŋ lɛ rì ɓyɛɓ ɓis miì, lɛ ɓì ɓaghà di ɓì ti ɓum ɓis ɓɛ nɗem lɛ kɔɔ̀kɔɔ̀. 
1TH.2.9	Ɓɔɔsoŋ̀ ɓì rì lɛ ɓì yitì kìsay ki tì kìghà, rì ǹtɔɓ wu tì wokà; tì ghagsìghà mìni Syeesyee à Ɓɔlɛ à Bɛ̀ll tì ki sasay lɛ rì ìru rì ŋwos lɛ ǹtɛ̀g wis wɛ̀ kɛɛ̀ siŋ wààdɛŋ ɓi nyòò. 
1TH.2.10	Ɓì rì ɓɛ̀wusìnɛ̀ɗ ɓis, nsoò Bɛ̀ll à rì girig wusìnɛ̀ɗ lɛ cɛɓ ki tì ghɛɓkà rì mìni ɓɛ ɓì rì ɓɛ̀gherɛ̀n ki ɓaghà kìtɛnɛn, kɔ tì lɛ saaɗ, kɛ̀ɛ̀ kìɓan kifenɛn miì. 
1TH.2.11	Ɓì yii girig lɛ tì ghɛɓkà rì mum ǹcèm ànɛ ɓi mìni fɛlɛ yɛ̀ɛ seŋi à rì lɛ à ghɛɓ rì ɓɔn ɓii. 
1TH.2.12	Tì kìghà lɛ tì reɓ mìni, tì fɔɔsì mìni mɛ̀rem, tì ki ɓɔ̀ɔɓɔ̀ŋzì mìni lɛ ɓi ghɛɓ lɔŋ yɛ̀ɛ kɛɛ̀ kɔ̀ngi Bɛ̀ll ànɛ a regi mini lɛ ɓi ɓa rì gàɓ ɓi kìlɔ̀ŋ kii, rì ɓi rìkem ɗii.
1TH.2.13	Kìɓan kiǹ kɛɛ̀ki tì fafa Bɛ̀ll ɓìtògsɛ̀n cààmɛ̀n kìcèm lɛ, yɛ̀ɛ bì ghàɓkà jɛ̀ɛ̀ yìì ìnɛ tì wogsìghà mìni, ɓì ghàɓkà ɓi yɔ̀ yɛ̀ɛ jɛ̀ɛ̀ ì mum; ɓì ghàɓkà lɔŋ yɔ̀ yɛ̀ɛ ì rì a tààkaà, lɛ ì rì jɛ̀ɛ̀ ì Bɛ̀ll ìnɛ yɛ̀ɛ kìki kisay ɓi mìni ɓɛ ɓì rì ɓɛ̀gherɛ̀n. 
1TH.2.14	Ɓɔɔsoŋ̀, ɓì mɛ pisɛn Ɓiseŋi ɓi Bɛ̀ll ɓi ɓi ri a Zyude ɓi Yeesus Kiris, ɓisuulɛ ɓumɓɛ ɓi kìlɔ̀ŋ kin ɓɛ yeesìghà mìni lɔŋ yɛ̀ɛ ɓɛroɓɛ a Zyude ɓɛ yeesìghà ɓɛ̀gherɛ̀n ɓɛ wɔ̀ɔ̀. 
1TH.2.15	Ɓɛ̀yudɛ̀n ɓɛǹ ɓɛɛ wolà Kan Yeesus, ɓɛ ki cuusi ɓɛ̀kpaŋzì-ɓìɓan, ɓɛɛ yeeyèèsìghà ɓìsi; ɓɛ ti ɓɛ ɓeɓkì Bɛ̀ll, ɓɛ ki ɓèèzag ɓum ɓɛ̀cèm. 
1TH.2.16	Ɓɛ ti ɓɛ rekì ɓìsi lɛ tyɛ̀ ki ghagsi jɛ̀ɛ̀ ì Bɛ̀ll a ɓumɓɛ ɓɛ yin Ɓɛ̀yudɛ̀n lɛ ɓɛɛ ɓa rì cɛɓ. Rìkì ɗiǹ ɗyɛɛ̀ɗi ɓɛɛ̀ kɛ̀nkɛn beèbɛ̀y ɓɛ teètègsì kìɓe kaa cààmɛ̀n kìcèm rì ɗyɔ̀; wɔ̀lɛ rìbaŋì ɗi Bɛ̀ll ɗi mɛ syɔn ɓɔ kìkòmi.
