MAT.1.1	Hên né dɔ̀gɔ̀tì bɔ̀ nùàr Yeésò *Kristò. À né *ndùté ndùtù Davîd; Davîd né ndùté ndùtù Abrahâm.
1TI.1.6	Wanɔɔ́ŋ bɔ̀ nuaré déì durá yuo gi aá te ceér gècên hên. Bɔ́ né seér lè saáne ndugó yilá. 
1TI.1.7	Dé kàn ye, kɔ júée nyí ŋa nde né nùà fèh-sóú Càŋ kɔɔ́; dé kân ye, kɔ nùà fèh-njèh júée nyí ndɔ. Á sâ, bɔ́ ndègè bɔ̀ njèh hèllè ŋgwé kòmò bèh ndɔ. Né mene sònò bɔɔ̀n yuo, bɔ́ bú ŋgwé kòmò bèh lág.
1TI.1.8	Béh né gi kɔɔ́ ye, *sóú né njèh bagaà. Njèh cén, kɔ wò jolo bú faá tueé nê nɔ. 
1TI.1.9	Dé nùà gècên, sóú bú kɔɔ́ tágá cú. Càŋ sóú sou njií né mé bɔ̀ vevenê bɔ̀, bɔ̀ kwá-sóú bɔ̀ o, bɔ̀ táré-feh bɔ̀ o, bɔ̀ jéré-temé bɔ̀ o, bɔ̀ ŋgén-sòn Càŋ bɔ̀ o, bɔ̀ sèb-Càŋ bɔ̀ o, bɔ̀ wúlá-feh bɔ̀ o, bɔ̀ wúlá-tele bɔ̀ o, bɔ̀ wúlá-meí bɔ̀ o, 
1TI.1.10	bɔ̀ gwá sár bɔ̀ o, bɔ̀ siíb mé cer seér né bɔ́ mbeí bɔɔ̀n o, bɔ̀ gò kwer bɔ̀ o, bɔ̀ nyeén bɔ̀ o, bɔ̀ jègè kòb bɔ̀ o, dɔɔ́ŋ Càŋ sóú sou njií né mé bɔ́. Bɔ̀ɔ́ mé gècên faá tueé nê nɔ bèlè bèh dɔɔ́ŋ, Càŋ sóú sou njií cu né mé bɔ́ ndɔ. 
1TI.1.11	Njàgà Bagaà né gi ménâ tueé. Càŋ lé jege kwaá naâ beè mò, ye mè a, ndé ménâ feh. Né Njàgà Bagaà mé tueé né felè Càŋ *Sùsùm, Nùà Ŋgùrmò.
1TI.1.12	Mè né lom Fehtoò beèh Yeésò *Kristò vra dé gècên; à mè terreb lè seé hên haá né kɔɔ́. À lé naá giì kwàgà mò yieé, te à nde ye mè nùà seê seèn mân sie kwaá. 
1TI.1.13	Sâ léí toò mè lé naá beh bú bunó, mè né bú gèr feh, mè né bú teèn selé yií. Mé njéh mene, Fehtoò beèh dé sâ táŋ ŋgwéh, à né seér mè jere teèn dé kɔɔ̂ kɔɔ́ yií, ye mè née temé yoòr nyî kwá njí ŋgwéeh ye lòù, wa mè bɔɔ́ cur den né mbaá ma. 
1TI.1.14	Yeé baá mân, húɔ́m-temé seèn ka sie mè beè ndɔ, à kweh seér mè, te mè sie lom bú mé temé cén, mè gwaán bɔ̀ nùàr seèn mé temé seèn lè.
1TI.1.15	Kwá mè tueé bí jéjég ŋgòr; bɔ̀ nùàr a, sìè be mé njéh tég. Jéjég ŋgòr sâ ye: Yeésò Kristò lé ndeè naâ ká te wɔ́ŋe bɔ̀ vevenê bɔ̀ yili sɔm. Káŋkáŋ nùà veên sâ lètenè bɔɔ̀n dɔɔ́ŋ né mè hên. 
1TI.1.16	Mé njéh mene, mè káŋkáŋ nùà veên la jɔ̀gɔ̀ hèllè, Càŋ né cu mè bagaà lòù bɔɔ́ seér. Sâ dɔɔ́ŋ ye te bɔ̀ nùàr ŋene kɔ sìè-temé Yeésò Kristò teèn, te haá bɔ̀ jomo bɔ̀ terreb, bɔ́ kwaá njií taré temé yoòr nyî, bɔ́ ndeè kwa yɔ̀ŋ tètàgà.
1TI.1.17	Bɔ̀ nùàr a, sén Càŋ seèn. Terreb seèn a, sùmù yùò kelà cie dé kèì cên. Nùà Dueè dé cu dɔɔ̂ŋ né bú. Nùàr bú mé njolo ŋéné bèh ndɔ. Càŋ ndeèr né lom bú. È môn.
1TI.1.18	Huaán mò Timotê, mè ŋgòr hên dɔɔ́ŋ kwaá lɔ aá beè yeè, te yuo faá bɔ̀ *sòn-Càŋ bɔ̀ lé tueé naâ felè yeè nɔ. Mè ye te wò sie be mé njéh, wò lie yií taáb teèn. 
1TI.1.19	Mɔ wò baá mân bɔɔ́, kwá njí lòm temé yoòr Càŋ tég, wò bɔ́ gí njèh dɔɔ́ŋ mé ŋágá-temé mene ndɔ. Bɔ̀ nuaré déì lé naâ ceér bagaà hên berɔ́ŋ, bɔ́ sɔm gi temé yoòr Càŋ. Yeé baá mân, bɔ́ lé naâ lòù leér le gií ndɔ. 
1TI.1.20	Lètenè bɔɔ̀n sâ Himenê mé Alesándà né teèn. Mè lé naâ be felè bɔɔ̀n sɔm, te bɔ́ yila nde kɔ beè *Sátàn, bɔ́ né njèh teèn maán, te bɔ́ Càŋ sèb cú.
1TI.2.1	Mè toò jɔ̀gɔ̀ tueé lɔgɔ́ né ye bɔ̀ nùàr a: dùà làrè Càŋ felè nùàr dɔɔ̂ŋ, bɔ́ kúgór bú kugòr, bɔ́ vra laré bú felè nùàr dɔɔ̂ŋ ndɔ ma. 
1TI.2.2	Bɔ́ dùà bú felè bɔ̀ mgbèémgbè mé bɔ̀ kokoô bɔ̀ mene, te bɔ́ sie dilí nyegé njèh, béh ŋgweé ye fu, temé die béh lè, béh sie lom Càŋ mé temé cén, béh den dene bɔ̀ kàm bɔ̀. 
1TI.2.3	Mɔ bí né Càŋ Yìlì nùàr mân dua laré, sâ bí bɔɔ́ né njií mé né bú njolò dilí huɔɔ́m. 
1TI.2.4	À gwaán né ménâ ndɔ, ye te bɔ̀ nùàr dɔɔ́ŋ ŋene kɔ gècên nyî, bɔ́ yili yuo gi.
1TI.2.5	Lòù sam, Càŋ gi cegé né bú mé huún. Lètenè Càŋ bɔ́ bɔ̀ nùàr kòù né cegé cén ndɔ. Kòù sâ né lom nùà cén; nùà cén sâ né Yeésò *Kristò. 
1TI.2.6	À lé bɔ̀ nùàr mé húɔ́m seèn ŋge weéh naâ kɔɔ́. Lé naâ te cu mé Càŋ lé nyegé kwaá naâ ndɔ. Yeé baá môn, ŋené yuo kelà bèsɔ́nè, ye Càŋ gwaán né bɔ̀ nùàr dɔɔ́ŋ yili sɔm ma. 
1TI.2.7	Càŋ lé mè mbɔ̀ŋ tebê seèn hên sie kwaá naâ dé cî, ye mè a, ndé ŋgòr nyî lètenè bɔ̀ɔ́ mé Jûf sam se yɔŋ; wa fèh bɔ́ feèh, né ŋgòr gècên, te bɔ́ kwaá njií temé cén teèn ma. Né ka môn jég, mè nyeén túé ŋgwéh.
1TI.2.8	Yeé baá môn, mè né lom gwaán, ye bɔ̀ siíb a, dùà làrè bú bèh dɔɔ́ŋ, bɔ́ sɔ̀m njí be Càŋ duaà ter, bɔ́ dùà lòm bú mé temé ŋagâ. Tɔgɔ mé saân a, té lètenè bɔɔ̀n fúrú kè.
1TI.2.10	Bɔ́ bɔ́ sér bɔ̀ seé dé bebagaà mé né teèn yilá, te feh keéh ye bɔ́ né Càŋ veéh.
1TI.2.11	Mɔ bɔ̀ véh baá ju Càŋ maán, bɔ́ té sòn kòmò, bɔ́ léb sér teèn lòù. 
1TI.2.12	Mè né ma vêh yiín; bú a, té bɔ̀ siíb njèh kɔɔ́ fèh sér, à mé sòn toò bɔ̀ siîb sam ndɔ; bú a, húné lòm nɔɔ́ŋ. 
1TI.2.13	Lòù sam, Càŋ lé me lɔgɔ́ naâ Ádàm, te à nde ye Evà meé. 
1TI.2.14	*Sátàn lé Ádàm bèlè ná ŋgwêh, à lé belé naâ Evà. Evà lé *sóú Càŋ kwaà naâ kɔɔ́. 
1TI.2.15	Mé njéh mene, ma vêh nde né mé bɔ̀ huaán yili yuo; kɔ à né temé yoòr Càŋ kwaá njií ndɔ, à né bɔ̀ mbeí mé temé cén gwaán, à bɔ̀ nùàr doó káré sì ŋgwéh, à né veên nyenné, sâ ye.
1TI.3.1	Kwá mè tueé wò jéjég ŋgòr. Jéjég ŋgòr sâ né: nuaá mé gwaán né dé seèn seé gwà Càŋ, ye te bɔ́ haá beè nyî, fɔɔ́n kwa baá seé dé bagaà kèn. 
1TI.3.2	Sâ bú a, dèn nuaá mé yilí seèn ŋgúlí vé ŋgwéh, à dèn lòm mé véh cén, à té mbè sèlà, à dèn nùà kɔ́gɔ̀n, à bɔ́ yí njèh te ceér-e. Bú a, dèn nùà wèh-kìn; bú a, dèn lòm nùà fèh-njèh dé gècên; 
1TI.3.3	à té sìbì, à té sà fɔ́n, à té nùàr mgbé, à dèn sér dɔlésé, à té kàgàlɔ̀ŋ gwàn sèlà ndɔ. 
1TI.3.4	Bú a, dèn nuaá mé né mbàgà seèn nyegé komo, à kɔ nyegé bagasé ye bɔ̀ huaán nyî né tie ŋgweé, bɔ́ né leéb, sâ ye. 
1TI.3.5	Wanɔɔ́ŋ mɔ nùàr mbàgà seèn nùà njèh nyégé kɔ́ ŋgwéh, à mbàgà dé Càŋ nyegé komo nde né naàn wa?
1TI.3.6	Mɔ bí nde aá nùà koô sie, bí té nùà feê sìè. Mɔ sam, à nde né mé njéh lòù punó seér, te à die ju beè Càŋ, faá *Sátàn lɔ dieé naâ nɔ. 
1TI.3.7	Mɔ bí nde aá nùà koô sie, kɔ bú a, dèn dene bɔ̀ kàm bɔ̀, te bɔ̀ lɔɔ́ bɔ̀ veéh ye bú ndɔ. Mɔ sam, bɔ́ nde né bú seb; fegùlì sé ye baá bú sie, à sela yuií Sátàn.
1TI.3.8	Bɔ̀ mabɔn gwà Càŋ a, dèn lòm cu dɔɔ́ŋ dene bɔ̀ kàm bɔ̀ ménâ ndɔ, bɔ́ té sòn fà túé. Bɔ́ a, té mbè sìbì, bɔ́ té kàgàlɔ̀ŋ mé kòb mene fɔ́n; 
1TI.3.9	bɔ́ kwá njí gí temé te ŋgòr gècên mé Càŋ né béh feh hên, bɔ́ ŋaga seér temé lè. 
1TI.3.10	Mɔ bí nde aá mabɔn gwà Càŋ sie, bí jɔ̀gɔ̀ kwé nyége bú bagasé ye; mɔ à kela né kelà, à yila ye seé sâ.
1TI.3.11	Bɔ̀ véh bɔɔ̀n a, dèn lòm dene bɔ̀ kàm bɔ̀ ménâ ndɔ, bɔ́ té sòn túágá sàr gɔ̀, bɔ́ té mbè sèlà, bɔ́ dèn lòm te njèh dɔɔ́ŋe kɔ́bè sâ.
1TI.3.12	Mabɔn gwà Càŋ a, dèn lòm mé véh cén; bú a, dèn nuaá mé né bɔ̀ huaán nyegé komo, à né mbàgà seèn nyegé komo ndɔ. 
1TI.3.13	Bɔ̀ mabɔn gwà Càŋ mé né gi seé bɔɔ̀n faá Càŋ tueé nê nɔ bɔɔ́ komo dɔɔ́ŋ nde gi né njolò bɔ̀ nùàr lieé huɔɔ́m. Bɔ́ ŋgòr Càŋ sâ tueé lom nde né mé terreb teèn, ye bɔ̀ nùàr a, bɔ́ temé kwá njí gí yoòr Yeésò *Kristò ma.
1TI.3.14	Mè né munó ye, mè ndeè né ké yoòr yeè ndeé. Mé njéh mene, mè ye, kwá mè nyagá njií ŋgɔgɔ̂ wò lòù ye. 
1TI.3.15	Mɔ mè né mene ŋgagá, te wò ŋene mvù hên, wò kɔ gèh dé mé bɔ̀ nùàr Càŋ nde né den. Bɔ̀ nùàr Càŋ sâ, mè jue né mbàgà Càŋ. Càŋ mé né Càŋ làŋ lé naâ gècên seèn teèn nyeén kwaá, te kù den bú sâ, à taá kwaá gècên sâ ter kɔɔ́. 
1TI.3.16	Mè tueé bí, dé saân sam, bɔ̀ njèh nâb mé Càŋ né béh te ceér seène feh hên né lom tàŋɔ̀r, ye:
1TI.3.16	À lɔ naâ nùàr ŋaá.
1TI.3.16	Cúcuí Ŋagâ feh keéh ye à né dilísé.
1TI.3.16	Bɔ̀ cìlì Càŋ lé naâ bú mé njolo ŋené.
1TI.3.16	Lò nùàr ŋgweé gi ju seèn.
1TI.3.16	Bèh dɔɔ́ŋ bɔ̀ nùàr né temé yoòr seèn kwaá njií.
1TI.3.16	À ŋaá nde cu aá ké te vulúu kèn.»
1TI.4.1	Sâ Cúcuí Ŋagâ lé naá giì bèsɔ́nè tueé kwaá, ye mɔ wɔ́ŋ nde aá gií wa, bɔ̀ nuaré déì nde né temé yoòr Yeésò *Kristò sɔm, bɔ́ kwaá njií seér yoòr bɔ̀ cècàŋ mé nde né bɔ́ bele weh gií, wa bɔ́ nde né ŋgòr bɔ̀ tándulù ŋgweé seér ndɔ. 
1TI.4.2	Ye bɔ́ nde né mé feh bɔɔ̀n beè bɔ̀ tánágá bɔ̀ leér le gií. Lòù sam, bɔ̀ sâ bɔ̀ mé ndòn lè sam cuú; ndòn bɔɔ̀n fií yuo aá kèn. 
1TI.4.3	Bɔ̀ nyeén bɔ̀ sâ nde né bɔ̀ nùàr ndéb vevenê tieè kurá kwaá; bɔ́ nde né bɔ̀ nùàr tueé, ye bɔ́ a: té véh jɔ́gɔ́, bɔ́ té gèh yáb dé kàn yíé, bɔ́ té dé kân yíé ndɔ. Á sâ, Càŋ lé bɔ̀ yáb sâ dɔɔ́ŋ si giì naâ kɔɔ́ ndɔ, ye te bɔ̀ɔ́ mé né temé yoòr nyî kwaá njií, mé né gècên nyî kɔɔ́ dɔɔ́ŋ yieé beh ménâ, bɔ́ né nyí teèn vra ma. 
1TI.4.4	Mè tueé bí, sâ bɔ̀ njií mé Càŋ lé si giì naâ dɔɔ́ŋ né gi baga. Mɔ né mân, nùàr té déì teèn mbaá jìnè kú; bú a, vrà lòm Càŋ dé vraà, à yieé njií sònò. 
1TI.4.5	Ŋgòr Càŋ bɔ̂ Càŋ duaà nyegé gi aá bɔ̀ njií sâ beè Càŋ kèn.
1TI.4.6	Mɔ wò né bɔ̀ nùàr ndéb mân leéb nyegé, sâ wò né nùà seê Yeésò Kristò dé bagaà, wò né te ŋgòr Càŋe kulá ndeé. Lòù sam, wò né temé te ŋgòr gècên kwaá njií, wò né ceér Yeésò bele. 
1TI.4.7	Mɔ né mân, té be yeè te dèbbè bɔ̀ jɔ̀gɔ̀ bɔ̀ yí, né gènnè tándugô, ceér Càŋ sam. Màn sér dé yeè gò nùà Càŋ. 
1TI.4.8	Gò dé ká te *wɔ́ŋe mé yo taré nde né mé njéh né ka teèn huɔɔ́m weh ndɔ. Mé njéh mene, gò dé beè Càŋ huɔm kela né kɔɔ́. Mɔ wò né faá Càŋ gwaán nê nɔ gɔ, sâ wò baá gi kènê mé yɔ̀ŋ teèn, te wò ndeé kwa cu ye yɔ̀ŋ dé tètàgà.
1TI.4.9	Bèlè môn, jéjég ŋgòr né cí; bɔ̀ nùàr a, sìè be mé njéh tég. 
1TI.4.10	Béh seé hên lege kuú né dé cî. Lòù sam, ndèm beèh dɔɔ́ŋ né gi yoòr Càŋ; à né Càŋ làŋ, Yìlì nùàr né bú; à né dé bɔ̀ nùàr dɔɔ́ŋ ndɔ. Tétég né dé bɔ̀ɔ́ mé né temé bɔɔ̀n yoòr seèn kwaá njií.
1TI.4.11	Fèh gí bɔ̀ nùàr ŋgòr hên dɔɔ́ŋ, ŋéí lòm bɔ́ yoòr tég. 
1TI.4.12	Té gwàn mé nuaré déì seb wò, wa wò née huaán maàn ye. Mè tueé wò, dèn lòm dé yeè toò bɔ̀ Yeésò bɔ̀ faá mòù nɔ, wò gɔ feh seér bɔ́ gò bɔ̀ Yeésò bɔ̀. Ŋgòr yeè a, dèn môn; dene yeè môn. Ŋgɔ̀ fèh bɔ́ gwaân yeè, wò ŋgɔ feh bɔ́ temé yoòr Yeésò kwaá njiî, wò jolo feh bɔ́ ndɔ.
1TI.4.13	Cu mé wò née mè kela den hên, fágá lòm feh tég, wò né ŋgòr Càŋ ké ter toò bɔ̀ nùàr jaŋé njií, wò né bɔ́ se, wò né bɔ́ feh nyegé ndɔ. 
1TI.4.14	Té seé yeè mé Càŋ lé haá kwaá naâ beè yeè sâ sèb. Wò lé terreb sâ kwaá naâ cu mé bɔ̀ *sòn-Càŋ bɔ̀ lé naâ felè yeè tueé doô, bɔ̀ kokoô bɔ̀ lé naâ wò be felè baá ndɔ. 
1TI.4.15	Mè tueé wò, kè nyégé seé sâ bagasé, bɔ́ lòm bú mé temé cén, te bɔ̀ nùàr ke njií njolo teèn, bɔ́ kɔ ye wò né te ceér Càŋe tetoò yaám ndeé. 
1TI.4.16	Bɔ̀ŋ feh yeè mé dene yeè. Njií mé wò né bɔ̀ nùàr feh dɔɔ́ŋ, bɔ̀ŋ feh yeè mé njéh ndɔ. Dèn lòm teèn tég, te wò yili sɔm gùm yeè nùà njèh, wò yili sɔm keéh bɔ̀ɔ́ mé né sòn yeè ŋgweé ndɔ.
1TI.5.1	Mɔ wò nde aá nùà kàm njèh tueé, té bú lòù ndè, né tele yeè, túé njí bú mé hueh dɔlê. Kè nyégé bɔ̀ ndà bagasé ndɔ, kè njí bɔ́ dɔɔ́ŋ faá bɔ̀ dé yeè nɔ. 
1TI.5.2	Bɔ̀ véh mé né ké toò yeè, wèh kwá bɔ́ faá bɔ̀ meí yeè nɔ; bɔ̀ɔ́ mé né jomo yeè faá bɔ̀ tie yeè ndɔ, jòlò lòm bɔ́ mé temé cén.
1TI.5.3	*Sùmù nyégé ma kû bagasé. Mɔ né ma kû dé gècên, té njolo mé bú cì. 
1TI.5.4	Á, mɔ ma kû né mé bɔ̀ huaán teèn, wa né bɔ̀ ndù seèn wa, sâ júée bɔ́ a, bɔ́ jɔ̀gɔ̀ gàm lɔ́gɔ̂ bú kɔɔ́ ye, wa seé bɔ̀ Càŋ bɔ̀ né cí ma, te bɔ́ meh mé njéh meèh. Bɔ́ a, kɔ́ɔ ye bɔ̀ tele bɔɔ̀n lé naâ bɔ́ ménâ koó ndɔ ma. Mɔ bɔ́ né ménâ bɔɔ́, nde né Càŋ njolò dilí huɔɔ́m. 
1TI.5.5	Mɔ ma kû mé bɔ́ jue né ma kû sâ né lom dé seèn mé huún, nùà gàm déì toò sam, sâ ndèm seèn dɔɔ́ŋ né gi yoòr Càŋ, à dé seèn sòn mé Càŋ duaà dù ndé ŋgwéh, à nde né bú cíbí mé lou mene dua den, ye bú a, gàm nyí teèn ma. 
1TI.5.6	Dé ma kû mé né *wɔ́ŋ gwaán, môn sam; à née mene làŋ, à baá gi dé seèn komó. Dé sâ né môn. 
1TI.5.7	Ndɔ̀gɔ̀ nyégé bɔ́ tie mé ŋgòr hên bagasé, te yilí bɔɔ̀n ŋgúlí vé cú. 
1TI.5.8	Mɔ nùàr temé yoòr bɔ̀ nùàr seèn kwá njí ŋgwéh, tétég mè jue né mbàgà seèn, mɔ à temé teèn kwá njí ŋgwéh, sâ à né ceér Yeésò *Kristò seb; sâ nùà bú sénâ veên seèn né dé bɔ̀ Càŋ-kɔ̂ dɔɔ́ŋ dulí yɔgɔ́.
1TI.5.9	Mɔ wò nde aá yilí ma kû déì lètenè bɔ̀ mbeî nyagá yií, kɔ à yɔgɔ́ keéh baá nyèmà yulà ténjén; kɔ à gwɔ̀m cùm bèh ndɔ; 
1TI.5.10	kɔ bɔ̀ nùàr né yeé seé seèn keí, ye à lé naâ bɔ̀ huaán bagasé koó nyegé, sâ ye. Kɔ bɔ́ ye à lé naá beh kìn ké lɔ seèn weh njií; à né bɔ̀ Càŋ bɔ̀ gule beè yaga kwaá, à né bɔ̀ nùàr te gèr-e gam, sâ ye; kɔ à lé naâ bɔ̀ njèh bebagaà mé temé seèn mene bɔɔ́ laré. Mɔ né gi ménâ, wò nyagá ye yilí seèn.
1TI.5.11	Mɔ ma kû né cui, té yilí seèn te mvù mbaá nyàgà kú. Lòù sam, cu mé njií sâ nde cuù né bú ŋaá, à nde né ceér Yeésò Kristò doó si njií, à nde siíb seèn jɔgɔ́. 
1TI.5.12	Sé yeé baá môn, sòn mé à lé komó naâ toò bɔ̀ nùàr ye nyí siíb jɔ́gɔ́ ndé cú hèllè sie bú ndɔ. 
1TI.5.13	Mɔ sam, wò sé yeé baá bú nyagá, à lɔgɔ le, à yila baá-re gùgwò mvuaán gɔɔ̀. Sé yeé yɔgɔ́ baá, à yila tuaga sar gɔɔ̀, à né ŋgòr bɔ̀ nùàr hua weh bele. Bɔ̀ njií mé à sé la sònò fèlà ná ŋgwêh, à suaré seér cí. 
1TI.5.14	Mɔ né mân, sâ ma kû mé né cui a, jɔ́gɔ́ kɔ́ dé seèn siíb, à sie nyegé gwà; bɔ́ ŋar kwa huaán teèn, te bɔ̀ bùnò bɔ̀ veên yoòr beèh túé njí cú. 
1TI.5.15	Wanɔɔ́ŋ bɔ̀ ma kû déì si lɔ gi aá ceér Yeésò Kristò, bɔ́ né *Sátàn ŋgɔ seér.
1TI.5.16	Mɔ ma Yeésò Kristò déì né mé ma kû déì jomo, bú a, ndé gàm sér ma kû sâ kɔɔ́, te bɔ̀ Càŋ bɔ̀ gèr mé njéh ŋéné cú; te bɔ̀ ma kû mé né bɔ̀ dé gècên le lom beè bɔ̀ Yeésò bɔ̀ kɔɔ́.
1TI.5.17	Bɔ̀ kokoô bɔ̀ mé né seé lètenè bɔ̀ Càŋ bɔ̀ bɔɔ́ dilí huɔɔ́m dɔɔ́ŋ, bí vrà bɔ́ dé bɔɔ̀n te mbeí fà. Mè tétég jue né bɔ̀ɔ́ mé se yeé ŋgòr Càŋ mé temé cén, mé né ŋgòr Càŋ feh ndɔ. 
1TI.5.18	Lòù sam, né te mvù Càŋe ménâ nyagá den, ye: Nàgà mé né yolo mé gule lobo, bí té bú kagá sònò yí kwá!» Ye nùà seé a, dèn mé sàgà seê dé seèn teèn ndɔ ma.
1TI.5.20	Mɔ bɔ̀ nuaré déì né veên bɔɔ́, ndè sɔ̀m bɔ́ cie toò bɔ̀ nùàr dɔɔ́ŋ, te veéh sie bɔ̀ jomo bɔ̀ sieè.
1TI.5.21	Mè né wò tueé; mè tueé né wò toò Càŋ mé toò Yeésò Kristò. Bɔ̀ cìlì Càŋ mé à lé balé kwaá naâ, né gi ŋgweé ndɔ. Mè ye wò a, té ŋgòr hên nyèn, bɔ́ lòm ménâ, té gwèn teèn kwá. Bɔ̀ njií mé wò né bɔɔ́ dɔɔ́ŋ, bɔ́ lòm be cén. 
1TI.5.22	Tée nuaré déì be felè kwar cén mbaá bá, ye bú a: ndé bèh seé Càŋ. Jɔ̀gɔ̀ kè née seé seèn keè ye. Té te veên nuaré déì dìè yílá, dèn lòm dé yeè ŋagásé.
1TI.5.23	Kènê té ndândaà nòmò ŋúé cú, ŋúé téná wèh mbè teèn ŋgɔ́b, te gam lèì mé né wò yulá doô.
1TI.5.24	Veên né hihiné. Veên bɔ̀ nuaré déì jɔ̀gɔ̀ ŋgumó yuo kela lɔgɔ̂ née cie ye, te bɔ̀ nùàr nde ye ju teèn tená; bɔ̀ déì kɔ bɔ́ tena gi aá ju, ŋené yuo kela ye cie. 
1TI.5.25	Bɔ̀ seé bebagaà né gi ménâ ndɔ, bɔ́ né gi bèsɔ́nè ŋené den. Bɔ̀ɔ́ mé née mene lòù leér den, nde gi né cie yuo kelá.
1TI.6.1	Júée bɔ̀ kwer a, ŋgwé nyégé sòn bɔ̀ tele seê bɔɔ̀n bagasé; bɔ́ a, sùmù húɔ́m lòm bɔ́ mé temé cén, te nuaré déì yilí Càŋ fèlà béh cú, te bɔ́ njií mé béh né feh hên bɔ́ béh cú ndɔ. 
1TI.6.2	Bɔ̀ kwer mé tele seê bɔɔ̀n né bɔ̀ Yeésò bɔ̀, mè ye bɔ́ a, bɔ́ té bɔ̀ tele seê bɔɔ̀n sèb, wa lòù sam, bɔ́ bɔ́ né gi kèì cén toò Yeésò *Kristò ma. Mɔ sé la né bèh keì wa, bɔ́ sé la seé bɔɔ́ kela seér naâ mé bɔ́. Lòù sam, bɔ́ gam né bɔ̀ Yeésò bɔ̀, bɔ́ bɔ́ né gi mé ceér cên, bɔ́ né bɔ́ gwaán ndɔ.
1TI.6.2	Ndé bɔ̀ nùàr ŋgòr hên feh, ŋéí lòm teèn tég. 
1TI.6.3	Mɔ nuaré déì né bɔ̀ nùàr ŋgòr dé hiîn feh seér, à ŋgòr gècên mé lé yuoó naâ sònò Fehtoò beèh Yeésò Kristò fèh ŋgwéh, mɔ à tòù seèn mé béh né yeé feh doô fèh ŋgwéh ndɔ, 
1TI.6.4	sâ nùà hèllè njeré déì kɔ́ ŋgwéh, à punó mbou gɔ né lòù. Lè seèn kurú lom né saân, à dé seèn tɔgɔ nde lom né felè bɔ̀ njàb ŋgòr ndɔ. Sé yeé baá môn, huer yuo teèn, tɔgɔ bɔ̂ séb kɔlé die teèn, júéb nde né cie bomó sue ndɔ. 
1TI.6.5	Bɔ́ yeé leér lɔ aá ceér gècên, bɔ́ baá lòù gɔ cur seér, madar saân kɔ die lètenè bɔɔ̀n ndɔ. Sâ dɔɔ́ŋ bɔ́ munó gi né ye, mɔ nùàr baá tòù Càŋ feh wa, à nde né kàgàlɔ̀ŋ ŋgún teèn kwa ma. Kàmbér sâ ndɔ́g dé kàgàlɔ̀ŋ sam.
1TI.6.6	Mè gwaán aá ndɔ, tòù Càŋ né ŋgúlú dueè bɔ̀n. Njèh cén, kɔ temé nùàr né lè mé bɔ̀ njèh dé seèn nùà njèh huɔɔ́m ndɔ, sâ ye. 
1TI.6.7	Béh lé ká te *wɔ́ŋe waà naâ be be. Mɔ béh baá kuú, béh cu cu nde né be be ndɔ. 
1TI.6.8	Mɔ waà ká toò, béh baá yáb mé cɔ̀gɔ̀ mene teèn kwa, sâ wulu né wulù mà. 
1TI.6.9	Bɔ̀ɔ́ mé gwaán gi né njèh dɔɔ́ŋ kwa larê, *Sátàn nde né bɔ́ sòn teèn felá sie, à nde né bɔ́ mé njèh hihiné nyuagá keéh, bɔ́ nde né teèn ndugó yilá, bɔ́ sela yuií seèn, bɔ́ sibí le teèn ndɔ. 
1TI.6.10	Tétán né yeé kàgàlɔ̀ŋ. Dɔ̀gɔ̀tì yúlá-temê bɔ̀ nùàr dɔɔ́ŋ bilí gi né felè kàgàlɔ̀ŋ gwaân. Bɔ̀ nùàr kókoó mbaá yuo kwaá lɔ gi aá ceér Càŋ felè kàgàlɔ̀ŋ, bɔ́ né te gèr-e sielé yilá, gèr né lom bɔ́ seé faá cí nɔ weh ndɔ.
1TI.6.11	Dé yeè, wò nùà Càŋ, beè yeè a, té ménâ dèn; sɔ̀m be yeè te bɔ̀ njií sâ dɔɔ́ŋ, lègè lòm tég te wò den dilísé, màn sér dé yeè gò nùà Càŋ, kwá njí lòm temé yoòr seèn, kɔ́ lòm bɔ̀ mbeí yeè gwaân, yóló bɔ́ yolò, dèn lòm toò bɔɔ̀n yébbè yébbè mân ndɔ. 
1TI.6.12	Líé lòm taáb mé temé cén faá nùà Càŋ nɔ, kúmó kwá yɔ̀ŋ tètàgà beè tég; Càŋ lé wò hên yilá kuú naâ dé cî. Wò lé naá giì toò bɔ̀ nùàr ŋgún mé gècên mene tueé, ye nyí kwaá njií aá temé teèn. 
1TI.6.13	Mè nde né wò ndéb tieè kwaá kwaá. Càŋ né ŋgweé; yɔ̀ŋ dɔɔ́ŋ haá yeé bú. Yeésò Kristò né ŋgweé ndɔ; à lé naâ gècên seèn toò Pɔ́nsè *Pilátò ménâ tueé. Bɔ́ né gi ŋgweé. Mè ye wò a: 
1TI.6.14	jòlò nyégé *sóú Càŋ bagasé, kébbé nyégé bagasé, te Fehtoò beèh Yeésò Kristò ndeè cuù, sâ née ŋagásé tâŋ, veên déì teèn kèmà ŋgwéh. 
1TI.6.15	Càŋ nùà njèh ndeè cu sâ tueé nde né kɔɔ́.
1TI.6.15	Terreb dɔɔ́ŋ né gi beè seèn, bú Nùà ŋgùrmò.
1TI.6.15	Mgbè bɔ̀ mgbè né lom bú.
1TI.6.15	Nùà Dueè felè bɔ̀ dudueèr bɔ̀ dɔɔ́ŋ gi lom né bú ndɔ.
