GEN.1.1	Sa ginsugoran gintuga sang Dios ang kalangitan kag ang duta.
ESG.1_2.34+ESG.1_2.35	 Sa tion nga mahibaluan ini sang aton mga asawa kon ano ang ginhimo sang rayna, manginmaisog sila sa paglalis sa ila mga bana kag indi na sila magtahod subong nga si Rayna Vasti wala nagtahod sa hari. 
ESG.1_2.36	 Gani, kon magpasugot ka, ang imo kamahalan magsulat sang isa ka mando kag ilakip ini sa kasugoan sang Persia kag Media nga si Vasti indi na magpakita sa imo atubang. Magpangita ka sang isa ka maayo nga babayi nga magatal-os sa iya subong rayna. Amo lamang ini ang paagi. 
ESG.1_2.37	 Kon ang imo mando nahibaluan sa bug-os nga ginharian, dayon ang tanan nga mga kababayin-an magatahod sa ila mga bana, imol man ukon manggaranon.”
ESG.1_2.38	 Naluyagan sang hari kag sang iya mga opisyal ang ginpamulong ni Mucaeus kag sa gilayon nagsulat sia sang mando. 
ESG.1_2.39	 Ginpadala ini sa tagsa ka probinsya kag nasulat ini sa linggwahe nga ginagamit sina nga probinsya. Ang mando nagasiling nga ang tagsa ka bana kinahanglan tahuron sa iya kaugalingon nga panimalay.
ESG.2.1	Nag-ugdaw gid man ang kaakig ni Haring Ahasuero samtang naglipas ang mga inadlaw, pero, walay sapayan nga wala na niya ginahinambitan si Vasti, padayon ang iya pagpanumdom kon paano ang pagkondenar niya sa iya. 
ESG.2.2	Gani ang mga palamangkutan sang hari nagpanugyan sa iya, “Ngaa indi ka magpangita sang lamharon, matahom kag maayo sing pamatasan nga mga dalaga? 
ESG.2.3	Magpili ka sang isa ka opisyal sa tagsa ka probinsya sang ginharian nga mangita sining matahom kag lamharon nga mga birhen kag magdala sini sa ila sa palasyo sang hari diri sa Susa. Ipatatap ini sila kay Hegay, ang kapon nga nagaasikaso sang imo mga babayi. Hatagan ini sila sang mga sangkap sa pagpatahom kag sang tanan nga mga kinahanglanon nila. 
ESG.2.4	Dayon gikan sa sining mga dalaga, magpili ka sang imo naluyagan nga magatal-os kay Rayna Vasti.”
ESG.2.4	Kag ginpakamaayo sang hari ini nga laygay, gani iya ini ginsunod.
ESG.2.5	Didto sa Susa may isa ka Judio nga ginahingalanan kay Mardoqueo nga anak ni Jair kag apo ni Simei nga anak ni Kis sa tribo ni Benjamin. 
ESG.2.6	Isa
ESG.2.7	Si Mardoqueo may matahom nga pakaisa, si Ester nga anak ni Aminadab. Si Ester ilo molomolo kag gani si Mardoqueo ang nagsapupo sa iya halin sang diutay pa sia tubtob sa iya pagdaku.
ESG.2.8	Sa tapos mapahibalo ang bag-o nga mando sang hari, madamo nga mga dalaga ang ginpangdala sa Susa. Si Ester isa sini sa ila. Nag-estar man sia sa palasyo kag ginbutang sa idalom sang pagtatap sang kapon nga si Hegay nga nagaasikaso sang mga babayi sang hari. 
ESG.2.9	Nahamut-an ni Hegay si Ester kag iya dayon ginsugoran ang mga bulohaton sa pagpatahom, ang masahe kag ang pinasahi nga pagdiyeta. Pito ka pinili nga mga suloguon nga babayi halin sa palasyo ang ginhatag ni Hegay kay Ester. Gintatap gid niya sing maayo si Ester kag subong man ang iya mga suloguon.
ESG.2.10	Karon sa pangabay ni Mardoqueo, si Ester wala gid magpanugid nga sia isa ka Judia. 
ESG.2.11	Sa adlaw-adlaw nga tanan, si Mardoqueo nagalakatlakat pakadto-pakari sa atubangan sang pasiyuhan sang mga babayi sang hari sa pagpanilag kon ano ang nagakatabo kay Ester.
ESG.2.12	Ang kinaandan nga bulohaton sa pagpatahom nagalawig sing isa ka tuig: anom ka bulan nga pagmasahe nga nabanyusan sang lana sang mira, anom man ka bulan nga pagpahamot kag pagbutang sang iban nga sari sang pagpatahom. 
ESG.2.13	Pagkatapos sini, ang tagsa ka dalaga ginahatagan sang iya kaugalingon nga manugbantay nga amo ang magadala sa iya sa palasyo sang hari. 
ESG.2.14	Magakadto sia sa gab-i kag sa madason nga aga ginahalin sia sa lain naman nga lugar sang mga babayi sang hari kag ginatugyan sa idalom sang pagtatap sang kapon nga si Hegay. Indi sia magbalik liwat sa hari luas lamang kon ipatawag sang hari ang iya gid ngalan.
ESG.2.15	Nag-abot ang tion ni Ester nga anak ni Aminadab nga tiyo ni Mardoqueo, sa pagkadto sa hari. Natuman niya ang tanan nga panugyan ni Hegay kag ginkahamut-an sia sang tanan nga nakakita sa iya. 
ESG.2.16	Gani gindala si Ester sa hari sa bulan sang Adar, sa ika-12 nga bulan sa ikapito ka tuig nga paggahom ni Haring Ahasuero. 
ESG.2.17	Nabihag sing lubos ang hari sa katahom ni Ester kag ginhigugma niya sia sing labi sang sa iban nga mga dalaga. Gani, ginkoronahan sang hari si Ester subong rayna. 
ESG.2.18	Dayon naghiwat ang hari sang isa ka simana nga bangkite para sa iya mga palamangkutan kag manugdumala sa pagsaulog sang iya pagpangasawa kay Ester. Subong man ginpanuboan niya ang mga buhis sa bug-os nga sakop sang ginharian.
ESG.2.19	Sa sini nga tion si Mardoqueo ginpahamtang sa mataas nga palangakuan sang palasyo. 
ESG.2.20	Kon natungod kay Ester, wala gid ini sia magpanugid nga isa sia ka Judia suno sa ginsugo sa iya ni Mardoqueo. Nagmasinulondon sia halin sang diutay pa sia tubtob sa iya pagdaku sa idalom sang pag-inakop ni Mardoqueo. Padayon si Ester sa pagsimba sa Dios kag sa pagtuman sa iya mga sugo suno sa kinabatasan sang mga Judio.
ESG.2.21	Sang mapasaka na sang hari si Mardoqueo sa mataas nga palangakuan, ang duha ka mga tawo nga kapon nga mga opisyal sang badigard sang hari nagkaakig sing daku sa hari kag nagplano sa pagpatay sa iya. 
ESG.2.22	Nahibaluan ini ni Mardoqueo kag ginsugiran niya si Ester nga nagsugid man sini dayon sa hari. 
ESG.2.23	Ginpausisa sang hari ang duha ka opisyales kag gani ginpabitay sila sang hari. Sa pagpasidungog kay Mardoqueo kag agod indi malipatan ang maayo niya nga binuhatan, ini nga hitabo ginsulat sa maragtas sang ginharian.
ESG.3.1	Paglipas sang malip-ot nga panahon, si Haring Ahasuero nagpili kay Haman nga manginpangulo nga ministro. Si Haman anak ni Hamedata nga Agagnon. 
ESG.3.2	Nagmando ang hari sa tanan nga mga opisyal nga magtahod sila kay Haman paagi sa pagsaludo sa iya. Gintuman ini sang mga opisyal luas lamang kay Mardoqueo. 
ESG.3.3	Ginpamangkot sia sang iya mga kaupdanan kon ngaa nga ginalalis niya ang mando sang hari. 
ESG.3.4	Sa adlaw-adlaw nga tanan ginaliwatliwat nila kay Mardoqueo ang pagpatuman sang mando, pero wala gid sia magpamati sa ila. Nagsiling si Mardoqueo, “Isa ako ka Judio kag indi ako magsaludo kay Haman.” Gani ginsugiran nila si Haman natungod sining paglalis ni Mardoqueo sa mando sang hari. 
ESG.3.5	Sang natalupangdan ni Haman nga si Mardoqueo indi magsaludo sa iya, nangakig gid sia, 
ESG.3.6	kag gani nagplano sia sa pagpapatay sang tanan nga mga Judio sa bug-os nga ginharian sang Persia.
ESG.3.7	Bulan sadto sang Nisan, nahauna nga bulan sa ika-12 ka tuig sang paggahom ni Haring Ahasuero, si Haman nagmando nga magpagabutgabot agod mahibaluan kon san-o gid ipapatay ang tanan nga mga Judio sa sulod lamang sang isa ka adlaw. Napilian nila ang ika-14 nga adlaw sa bulan sang Adar nga amo ang ika-12 nga bulan.
ESG.3.8	Gani si Haman nagsiling sa hari “Kamahalan, may mga tawo nga lain ang rasa nga nagaestar sa mga kapungsoran sa bug-os nimo nga ginharian. May mga kinaugali sila nga lain sang sa iban nga mga tawo. Kag luas sina, wala nila ginatuman ang mga kasugoan sang ginharian, kag gani wala ini nagapadulong sa imo kaayuhan kon pabayaan lamang sila. 
ESG.3.9	Kon magpasugot ka, Kamahalan, magmando ka nga ipapatay ini sila tanan. Kag kon imo ini buhaton, nagapangako ako sa paghatag sang pilak nga nagatimbang sang 375 ka tonelada para sa talaguan sang manggad sang ginharian.”
ESG.3.10	Ginhukas sang hari ang iya singsing nga ginagamit sa pagsilyo sa ginapatuman nga mga mando, kag ginhatag ini kay Haman sa pagsilyo sang nasulat nga mando sa pagpapatay sa mga Judio. 
ESG.3.11	Ang hari nagsiling sa iya, “Tagoa ang imo kwarta kag himua ang imo luyag batok sa sining mga tawo nga imo ginasiling.”
ESG.3.12	Gani, sang ika-13 nga adlaw sa nahauna nga bulan ginpatawag ni Haman ang mga tagsulat sang hari kag gindikta sa ila ang mando batok sa mga Judio. Ginbadbad ini sa nagakalainlain nga linggwahe nga ginagamit sa sulod sang ginharian kag ginpadala ini sa tanan nga mga manugdumala kag mga gobernador sa tanan nga 127 ka mga probinsya, nga nagasakop halin sa India pakadto sa Etiopia. Ang mando nasulat sa ngalan ni Haring Ahasuero kag naselyohan ini sang iya singsing. 
ESG.3.13	Ang mga manugdala sang sulat nagdala sini nga mando sa tagsa ka probinsya sang ginharian. Ang kaundan sang mga mando naglakip sang isa ka sugo nga ang tanan nga mga Judio pamatyon sa sulod lamang sang isa ka adlaw sa ika-12 nga bulan, ang bulan sang Adar, kag ang ila mga pagkabutang pagakuhaon.
ESG.3_1.14	 Amo ini ang nasulat sa mando ni Ahasuero: “Ako, si Ahasuero, Hari nga gamhanan, nagasulat sa mga gobernador kag sa ila mga sakop nga opisyal sa 127 ka mga probinsya halin sa India tubtob sa Etiopia.
ESG.3_1.15	 “Bilang pangulo sang madamo nga pungsod kag agalon sang bug-os nga kalibutan, nagpat-od ako nga ang akon mga ginsakpan mag-estar sing mahidaiton. Ginpakamaayo ko ini indi tungod sang akon bugal kag gahom kundi tungod kay akon ginatan-aw pirme ang pagdumala nga suno sa rason kag pagkaluoy. Ginpat-od ko ang pagpaluntad liwat sining kalinong nga ginahandom sang tanan kag tinguhaon ko ang pagbuhat nga manginsibilisado ining ginharian agod nga maayo ang pagpanglakaton gikan sa isa ka dulonan pakadto sa isa.
ESG.3_1.16	 “Ginpakigsugilanonan ko ang akon mga palamangkutan kon paano mahimo ini. Si Haman naghatag sang iya panugyan. Kinilala ini sia sa tunga sang mga mangin-alamon kag ginpakita niya sa tanan nga oras ang iya pagkabalaka sa kaayuhan sang ginharian. Tungod sining iya wala nagalubad nga pagkamainunongon ginhatagan ko sia sang kadungganan nga mangin-ikaduha nga tawo sa bug-os nga ginharian. 
ESG.3_1.17	 Sa wala pa lamang madugay, ginsugid niya sa amon nga may yara nga mga tawo nga indi magpasweto. Kag ini sila nagalalapta sa bug-os nga ginharian. Ginsaysay niya sa amon nga ining mga tawo may kinaugalingon nga mga kasugoan, nga nagapamatok ini sila sa tagsa ka pungsod kag sa masunson wala nila ginasapak ang harianon nga mga mando. Tungod sining ila wala pagsapak, indi nakon matuman ang pag-isa sa panghimanwa nga akon ginahandom para sa bug-os nga ginharian.
ESG.3_1.18	 “Ining mga tawo nagapamatok pirme sa gubyerno kag nagabuhat sang krimen nga nagapahuyang sang kalig-on sang bug-os nga ginharian. Ginasunod nila ang ila makatalanhaga nga pagbinatasan, ginatuman nila ang ila mga kasugoan kag nagapamatok sila sing masunson sa paghugpong sang tanan nga mga katawhan. 
ESG.3_1.19	 Tungod sining mga kamatuoran, ginapanugyan namon nga pamatyon ini sila tanan—mga lalaki, babayi kag kabataan suno sa nahinambitan ni Haman nga pangulo nga ministro. Tungod kay kaaway naton sila, indi kita magkaluoy sa ila. Ini nga mando pagatumanon sa sini nga tuig, sa ika-14 nga adlaw sang ika-12 nga bulan, sa bulan sang Adar. 
ESG.3_1.20	 Ining mga tawo nga nagtuga sang kagamo sa malawig na nga mga panahon, pagapatyon nga wala sing luoyluoy sa sulod sang isa lamang ka adlaw. Pagkatapos sini, manginmapag-on kag malig-on ang aton gubyerno.”
ESG.3_2.21	 Ang kaundan sang mando ginpahibalo sa kabug-osan sang mga probinsya kag ang tanan naghanda para sa sina nga adlaw suno sa ginsugo sa ila.
ESG.3_2.22	 Ang mando madali man nga ginpahibalo sa siudad sang Susa sa diin ang mga tawo nagsalangisag samtang ang hari kag si Haman nagapahubog.
ESG.4.1	Sang mahibaluan ni Mardoqueo ang mga nagkalatabo, gingisi niya ang iya bayu sa daku nga pagpangalisod. Nagbayo sia sing sako, nagbutang sing abo sa iya ulo kag naglibot sa bug-os nga siudad kag sa mabaskog nga tingog nagsiling, “Pagalaglagon ang pungsod nga wala sing sala!” 
ESG.4.2	Sang pagsampot niya sa ganhaan sang palasyo, wala sia magsulod kay wala ginatugotan nga makasulod ang bisan sin-o man nga nagabayo sing sako kag nagabutang sang abo sa iya ulo. 
ESG.4.3	Sa tanan nga mga probinsya sa diin ginpahibalo ang sulat sang hari, nagluntad ang matunog nga paglalaw sang mga Judio. Naghinibi sila, nagpanalambiton kag nagbayo sang sako kag nagbutang sang abo sa ila mga ulo.
ESG.4.4	Nahibaluan lamang ni Ester paagi sa iya mga suloguon nga babayi kag kapon nga mga tawo ang ginhimo ni Mardoqueo. Natublag gid si Ester kag iya ginpadalhan si Mardoqueo sang mga bayu sa tuyo nga mag-ilis ini sang iya ginasuklob nga sako, pero wala niya ini ginbaton. 
ESG.4.5	Gani, pinatawag ni Ester ang kapon nga si Hatak, isa sang mga kapon sa palasyo nga gintugyanan sa pag-alagad sa iya. Ginpadala niya ini kay Mardoqueo agod hisayran ang kabug-osan sang mga hitabo.
ESG.4.7	Ginsaysay ni Mardoqueo sa iya ang tanan kag kon paano nagpanaad si Haman sa paghatag sing 375 ka tonelada nga pilak sa talaguan sang manggad sang hari, lamang nga mapapatay ang tanan nga mga Judio. 
ESG.4.8	Ginhatagan niya si Hatak sang kopya sang sulat nga ginbalhag sa Susa nga nagamando sa paglaglag sang mga Judio. Ginpangabay ni Mardoqueo si Hatak nga iya ihatag kay Ester ang kopya sang sulat agod nga pangayuon ni Ester sa hari ang pagkaluoy para sa mga Judio. Nagsiling si Mardoqueo “Ihambal sa iya nga dumdomon niya ang mga inadlaw sang indi pa sia rayna kag nagdaku sia sa idalom sang akon pag-atipan. Sa karon kay si Haman nga pangulong ministro sang hari nagpamat-od nga pamatyon kami, dapat sia magpangamuyo sa Ginoo kag magpakighambal sia sa hari natungod sa amon. Kinahanglan nga luwason niya kami sa kamatayon.”
ESG.4.9	Gani gintuman ni Hatak ang ginpangabay ni Mardoqueo. 
ESG.4.10	Ginpabalik ni Ester si Hatak sa kay Mardoqueo nga dala ini nga mensahe: 
ESG.4.11	“Ang bisan sin-o man, lalaki ukon babayi, nga magakadto sa hari sa nasulod nga bahin sang korte nga wala ginpatawag, ginapamatbatan sing kamatayon luas lamang kon ang hari maghakyaw sang iya bulawan nga setro. Ang tanan sa ginharian nakahibalo sini. Isa na ka bulan ang nagligad nga ginpatawag ako sang hari.”
ESG.4.12	Sang mabaton ni Mardoqueo ang sulat ni Ester, 
ESG.4.13	pinadalhan niya sia sining paandam: “Ester, indi ka maghunahuna nga indi makatalagam ang imo kahimtangan sang sa iban nga mga Judio sa ginharian. 
ESG.4.14	Kon maghipos ka lamang sa subong nga kahimtangan, ayhan magaabot sa mga Judio ang bulig sa iban nga paagi kag maluwas sila. Pero ikaw pagapatyon kag madula ang linahi sang imo amay. Pero sin-o ang makapakot? Ayhan ginbuhat ka nga rayna para magbulig sa tagsubong sini nga kahigayunan!”
ESG.4.15	Si Ester nagpadala kay Mardoqueo sini nga sulat: 
ESG.4.16	“Lakat ka kag tipuna ang tanan nga mga Judio sa siudad sang Susa. Magpuasa kamo kag magpangamuyo para sa akon. Sa sulod sang tatlo ka adlaw kag tatlo ka gab-i indi kamo magkaon kag mag-inom. Ako kag ang akon mga suloguon nga babayi magahimo man sing subong. Pagkatapos sini magakadto ako sa hari bisan pa nga batok sa kasugoan. Handa ako nga mapatay kon kamatayon ang balos sining akon pagahimuon.”
ESG.4.17	Si Mardoqueo naglakat kag iya ginbuhat ang tanan nga ginpanugyan ni Ester.
ESG.4_1.18	 Si Mardoqueo nagpangamuyo sa Ginoo. Ginpanumdom niya ang nagliligad nga mga buhat sang Ginoo. 
ESG.4_1.19	 Nagsiling sia, “O Ginoo, ikaw ang Ginoo kag Hari sang bug-os nga mga tinuga kag sang tanan nga nagatuman sang imo mga sugo. Wala sing bisan sin-o nga sarang makaupang sa imo kon luyag mo luwason ang Israel. 
ESG.4_1.20	 Gintuga mo ang langit kag ang duta kag ang tanan nga makatilingala nga mga butang sa duta. 
ESG.4_1.21	 Ikaw ang Ginoo sang tanan kag wala sing sarang makapamatok sa imo. 
ESG.4_1.22	 Nahibaluan mo ang tanan nga mga butang. Imo nahibaluan nga ang katahuran sa sinang bugalon nga Haman, indi tungod kay bugalon ako ukon agod nga dayawon ako sang mga tawo. 
ESG.4_1.23+ESG.4_1.24	 Imo nahibaluan nga indi ako luyag magtahod sa tawo labaw sang sa Dios. Nagalalis ako sa pagsaludo sa bisan kay sin-o luas lamang sa imo, O Ginoo, kay ini indi tungod sang bugal. Pero kon ini makaluwas sa Israel, ti pagahalukan ko bisan pa ang mga dapadapa ni Haman.
ESG.4_1.25+ESG.4_1.26	 “Sa
ESG.4_1.27	 Pinili mo kami nga mga tawo, gani pamatii ang akon pangamuyo kag kaluoyi kami. Bayluhi sing kalipay ang amon kalalat-an agod nga magakabuhi kami kag magkanta sa pagdayaw sa imo. Luwasa kami sa kamatayon agod nga pagadayawon namon ikaw sa gihapon.”
ESG.4_1.28	 Hantop kag mabaskog ang pangamuyo sang mga Israelinhon tungod kay ginhunahuna nila nga pamatyon gid sila.
ESG.4_1.29	 Sa daku nga pagkalisod, nagpangamuyo si Ester sa Ginoo. 
ESG.4_1.30	 Gin-uba niya ang bayu sang pagkarayna kag ginsuksok ang bayu sang kasubo kag kalisod. Sa baylo sang mga pahamot, nagbutang sia sang abo kag ipot sa iya ulo. Ginbuhat niya ini tanan agod lamang nga mapanas ang dignidad sang isa ka rayna. Ang buhok nga sadto anay matahom, sa karon gumon nga nagatabon sa iya lawas. 
ESG.4_1.31	 Nagpangamuyo sia sa Ginoong Dios sang Israel, “Ginoo ko kag Hari, ikaw lamang ang Dios. Nagaisahanon ako kag wala ako sing sarang dangpan luwas lamang sa imo. Buligi ako! 
ESG.4_1.32	 Sa karon buot ko itaya ang akon kabuhi. 
ESG.4_1.33	 O Ginoo, sa nadumdoman ko pa, gintudloan ako halin sang bata pa ako nga ginpili mo ang Israel gikan sa tanan nga mga kapungsoran kag ang amon mga katigulangan nangin-imo pinili nga mga katawhan sa wala sing katapusan. Gintuman mo sa ila ang tanan mo nga mga saad.
ESG.4_1.34	 “Pero nagpakasala kami batok sa imo. Gintugyan mo kami sa amon mga kaaway tungod kay nagsimba kami sa ila mga dios. 
ESG.4_1.35	 Bagay sa amon ang imo silot, O Ginoo. 
ESG.4_1.36	 Pero sa karon, ang amon mga kaaway indi pa ayawan nga mangin-ulipon kami. Nagsumpa sila sa ila mga diosdios 
ESG.4_1.37	 indi lamang sa paglaglag sa mga tawo nga nagadayaw sa imo kundi subong man nga dulaon nila ang imo Kasugoan kag dulaon tubtob san-o ang himaya sang imo balay kag altar. 
ESG.4_1.38	 Luyag sila nga ang bug-os nga kalibutan magdayaw sa walay pulos nga mga diosdios kag magpasidungog sing walay katubtoban sa isa ka mamalatyon nga hari.
ESG.4_1.39	 “Ginoo, walay pulos ining mga dios. Indi pag-itugyan sa ila ang imo gahom kag indi pag-ihatag ang kahigayunan nga kadlawan kami sang amon mga kaaway tungod sang amon pagkapukan. Sa baylo, sila ang paantusa sa ila malain nga mga plano kag himua para sa ila nga isa ka halimbawa yadtong tawo nga una nagplano sa paglaglag sa amon.
ESG.4_1.40	 “Dumdoma kami, O Ginoo. Palapit ka sa amon sa sining tinion sang kagamo. O Hari sang tanan nga mga dios kag Manuggahom sang tanan nga umalagi nga gahom, hatagi ako sing kaisog. 
ESG.4_1.41	 Hatagi
ESG.4_1.42	 Palapit ka, O Ginoo, sa pagluwas sa amon kag buligi ako. Nagaisahanon ako kag wala ako sing sarang dangpan luas lamang sa imo.
ESG.4_1.43	 “Nahibaluan mo ang tanan, O Ginoo. Imo nahibaluan nga wala ko ginakalipay ining kadungganan nga nabaton ko sa sining mga pagano. Ginakangil-aran ko ang paghigda upod sa sining wala matuli nga pagano ukon sang bisan sin-o nga dumoluong. 
ESG.4_1.44	 Pero imo nahibaluan nga wala ako sing sarang mahimo. Wala ko ginakalipay ang paggamit sang korona subong rayna sa opisyal nga mga kahiwatan. Wala ko ginagamit ini kon indi gid man kinahanglanon kay daw subong ini sang panapton nga ginagamit sang babayi sa nagligad niya nga pamulanon. 
ESG.4_1.45	 Wala
ESG.4_1.46	 O Ginoong Dios ni Abraham, sugod sadtong pagkadto ko diri, ang nakahatag lamang sing kalipay sa akon amo ang pagsimba ko sa imo.
ESG.4_1.47	 “O Gamhanan nga Dios, pamatii ang pangamuyo sang imo mga katawhan. Luwasa kami sa sining malaut nga mga tawo kag hilwaya ako sa akon kahadlok.”
ESG.5_1.1	Sa sulod sang tatlo ka adlaw nagpangamuyo si Rayna Ester. Dayon gin-uba niya ang bayu sang pagpenitensya kag ginsuklob niya liwat ang iya bayu sa pagkarayna.
ESG.5_1.2+ESG.5_1.3	Sa tapos sia makailis, nagpangamuyo sia liwat sa iya Dios kag manunubos nga makakita sang tanan. Naggwa sia sa iya kwarto kag naglakat kaangay sang isa ka rayna nga ginaupdan sang duha niya ka mga suloguon nga babayi. Ang isa nagauyat sang iya butkon kag ang 
ESG.5_1.4	ikaduha nagauyat sang iya kapa. 
ESG.5_1.5	Matahom kaayo tulokon si Rayna Ester. Makita nga manayanaya kag malipayon ang iya guya, pero napun-an sing kahadlok ang iya tagipusoon. 
ESG.5_1.6	Nag-agi sia sa tanan nga mga pwertahan kag nagsulod sa kwarto sa diin nahamtang ang trono. Nagapungko didto ang hari nga nagabayo sang labing malahalon nga panapton nga napugtakan sang bulawan kag malahalon nga mga bato. Makahalawhaw tan-awon ang hari. 
ESG.5_1.7	Sang makita niya si Ester, ang guya sang hari nga sa wala pa lamang madugay napun-an sang himaya, binuslan sang daku nga kaakig. Nangluya si Ester kag nagpalamuti. Diutayan lang sia mapunaw kag gani ginsandiay niya ang iya ulo sa abaga sang iya suloguon nga babayi.
ESG.5_1.8	Pero ang Dios nagbaylo sang balatyagon sang hari. Ang iya kaakig binuslan sang daku nga pagkabalaka. Nagtindog sia gilayon gikan sa iya trono kag iya gin-alay-ay si Ester tubtob nga naumpawan ini. Ginpakaisog sang hari ang balatyagon ni Ester kag sa pulong nga malulo nagsiling, 
ESG.5_1.9	“Ano bala ang luyag mo, Ester? Ako ang bana mo kag gani indi ka magkahadlok. 
ESG.5_1.10	Ang aton kasugoan para lamang sa mga tawo sang ginharian. Indi ka mapatay. 
ESG.5_1.11	Palapit ka sa akon.” 
ESG.5_1.12	Ginbayaw niya ang iya bulawan nga setro kag gintandog ini sa liog ni Ester. Pagkatapos sini ginhalukan niya si Ester kag ginsilingan, “Isugid sa akon, kon ano bala ang luyag mo?”
ESG.5_1.13	Si Rayna Ester nagsabat, “Sang pagkakita ko sa imo, O Mahal nga Hari, daw subong nga nakita ko ang isa ka anghel sang Dios kag nadaog ako sang imo makatalanhaga nga pagkahalangdon. 
ESG.5_1.14	Makahalawhaw ang imo guya kag napun-an ini sang pagkaluoy.”
ESG.5_1.15	Samtang nagahambal pa sia sini, liwat nga napunaw sia. Nabalaka gid ang hari, kag ang tanan nga mga suloguon nagtinguha sa pagbulig agod maumpawan sia.
ESG.5_2.17	 Ang
ESG.5_2.18	 Si Ester nagsabat, “Ini nga adlaw pinasahi para sa akon. Kon igakalipay mo, luyag ko nga ikaw kag si Haman magpanihapon upod sa akon sa isa ka bangkite nga igahanda ko para sa inyo.”
ESG.5_2.19	 Ginpasugoan sang hari si Haman nga magkadto sa palasyo sa labing madali agod nga magpanihapon sila upod kay Ester. Dayon nagkadto ang hari kag si Haman sa bangkite ni Ester. 
ESG.5_2.20	 Samtang sila nagaininom, ang hari nagpamangkot, “Isiling sa akon, ‘Ano bala ang luyag mo, Rayna Ester.’”
ESG.5_2.21	 Si Ester nagsabat, 
ESG.5_2.22	 “Kamahalan, kon ako nakapahamuot sa imo, luyag ko nga ikaw kag si Haman magtambong sa bangkite nga igahanda ko liwat para sa inyo buas. Manginkaangay man ini sa gihapon.”
ESG.5_2.23	 Malipayon si Haman sang makahalin sia sa hari, pero nagbaylo ang iya balatyagon sang makita niya si Mardoqueo didto sa pasiyuhan sang palasyo. Nagpaakig sing daku ini sa iya, 
ESG.5_2.24	 pero nagpadayon sia sa pagpauli. Dayon gin-agda niya ang iya mga abyan sa iya balay upod ang iya asawa nga si Seres. 
ESG.5_2.25	 Ginpabugal niya sa ila ang iya manggad, ang iya madamo nga mga kabataan kag ang kadungganan nga ginhatag sa iya sang hari sang buhaton ini sia bilang nahauna nga ministro sang ginharian. 
ESG.5_2.26	 Nagsiling sia, “Dugang sini, si Rayna Ester naghanda sang bangkite para lamang sa hari kag sa akon. Magakadto kami liwat didto buas. 
ESG.5_2.27	 Pero ini tanan wala sing pulos para sa akon tubtob nga makita ko man gihapon inang Judio nga si Mardoqueo nga nagapungko sa pasiyuhan sang palasyo.”
ESG.5_2.28	 Gani ang iya asawa upod ang iya mga abyan nagpanugyan sa iya, “Ngaa nga indi ka magpatindog sang isa ka bitayan nga nagataas sing setentay singko ka tapak? Buas sa aga pangayua sa hari nga ipabitay si Mardoqueo sa sina nga bitayan kag pagkatapos makakadto ka upod sa hari sa bangkite ni Ester sa paglipay sang imo kaugalingon.” Naluyagan ni Haman ini nga panugyan, gani ginpabuhat niya ang bitayan.
ESG.6.1	Sang sina nga gab-i, ginbuot sang Ginoo nga indi pagpatulogon ang hari. Gani ginmanduan niya ang iya kaugalingon nga tagsulat sa pagdala sang libro tuhoy sa maragtas sang ginharian kag ginpabasa niya ini sa iya. 
ESG.6.2	Ginbasa niya ang hitabo natungod sa pagtukib ni Mardoqueo sang plano nga ipapatay ang hari—ang malaut nga plano sang duha ka mga kapon nga nagaalagad subong mga gwardya sa palasyo. 
ESG.6.3	Ang hari nagpamangkot, “Paano naton napasidunggan kag nabalusan si Mardoqueo sa sining iya maayo nga buhat?”
ESG.6.3	Ang mga suloguon nagsabat, “Wala ka sing nabuhat sa iya natungod sini.”
ESG.6.4	Samtang nagapamangkot ang hari natungod sining maayo nga binuhatan ni Mardoqueo, amo man ang pagsulod ni Haman sa pasiyuhan sa tuyo nga pangayuon sa hari ang pagbitay kay Mardoqueo sa bitayan nga iya ginhanda.
ESG.6.4	Nagpamangkot ang hari, “Sin-o inang sa pasiyuhan?”
ESG.6.5	Ang mga suloguon nagsabat, “Si Haman nga luyag magpakigkita sa imo.”
ESG.6.5	Nagsiling ang hari, “Pasudla sia.”
ESG.6.6	Gani ginpasulod si Haman kag ang hari nagsiling sa iya, “May yara ako nga luyag pasidunggan, ano ang dapat ko himuon para sa sina nga tawo?”
ESG.6.6	Si Haman naghunahuna nga sia ang luyag sang hari pasidunggan.
ESG.6.7+ESG.6.8	Gani nagsabat sia, “Ipadala sa mga suloguon ang imo pinakaali nga bayu para sa sini nga tawo nga imo ginasiling. Kag ipadala man sa ila ang kabayo nga imo mismo ginasakyan. 
ESG.6.9	Dayon ipasuksok ang bayu sa sining tawo nga luyag mo gid pasidunggan kag pasakyon sia sa kabayo samtang ginalibot sa siudad kag dayon ang dungganon nga tawo sa ginharian mag-una nga nagapahibalo: ‘Tan-awa ninyo kon paano ang pagbalos sang hari sa tawo nga luyag niya pasidunggan!’”
ESG.6.10	Gani ang hari nagsiling kay Haman, “Maayo! Himua ina tanan kay Mardoqueo, ang Judio nga may mataas nga palangakuan sa palasyo Indi pagkalimti ang bisan ano nga butang nga ginsiling mo.”
