GEN.1.1	Sang ginsuguran gintuga sang Dios ang kalangitan kag ang kalibutan. 
1JN.1.9	Pero kon ituad ta sa Dios ang aton mga sala, masaligan siya sa pagpatawad sang aton mga sala kag sa pagtinlo sa tanan ta nga mga kalainan. Himuon niya ini tungod nga matarong siya. 
1JN.1.10	Kon magsiling kita nga wala kita nakasala, ginahimo ta ang Dios nga butigon, kag wala kita kahibalo sang iya pulong.
1JN.2.1	Ginasulatan ko kamo nga akon mga anak, agod indi kamo magpakasala. Pero kon may ara nga makasala, may nagapakitluoy sa Amay para sa aton, kag siya amo si Jesu-Cristo nga amo ang matarong. 
1JN.2.2	Ang iya kaugalingon mismo ang iya ginhalad bilang bayad para sa aton mga sala agod mapatawad kita, kag indi lang para sa aton kundi para man sa mga sala sang mga tawo sa bug-os nga kalibutan. 
1JN.2.3	Nasiguro ta gid nga kilala ta ang Dios kon ginatuman ta ang iya mga sugo. 
1JN.2.4	Ang nagasiling nga kilala niya ang Dios, pero wala siya nagatuman sang iya mga sugo butigon, kag ang kamatuoran wala sa iya. 
1JN.2.5	Pero ang tawo nga nagatuman sang pulong sang Dios, matuod nga wala na sing kulang sa iya ang gugma sang Dios.
1JN.2.6	ang nagasiling nga siya ara sa Dios kinahanglan magkabuhi pareho kay Jesu-Cristo.
1JN.2.7	Mga hinigugma, indi bag-o nga sugo ining ginasulat ko sa inyo 
1JN.2.8	Pero makasiling man kita nga ini nga sugo bag-o, kay ang kadudulman nagataliwan kag ang matuod nga kasanag nagasilak na, kag ang kamatuoran sini nakita sa kabuhi ni Cristo kag sa inyo man. 
1JN.2.9	Ang nagasiling nga siya ara sa kasanag, pero wala nagahigugma sa iya utod, ina nga tawo ara pa sa kadudulman. 
1JN.2.10	Ang tawo nga nagahigugma sa iya utod nagapadayon sa pagkabuhi sa kasanag, kag wala sing bisan ano sa iya kabuhi nga mangin kabangdanan sang pagpakasala sang iban.
1JN.2.11	Pero ang tawo nga wala nagahigugma sa iya utod ara sa kadudulman. Nagalakat siya sa kadudulman kag wala kahibalo kon diin siya nagapakadto, tungod kay ginabulag siya sang kadudulman.
1JN.2.12	Nagasulat ako sa inyo, mga anak, kay ginpatawad na kamo 
1JN.2.13	Nagasulat ako sa inyo, mga amay, tungod kay nakilala na ninyo siya, nga ara na nga daan halin pa sang ginsuguran.
1JN.2.13	Nagasulat man ako sa inyo, mga pamatan-on nga lalaki, kay nadaog na ninyo si Satanas.
1JN.2.14	Nagasulat ako sa inyo mga anak, kay nakilala na ninyo ang 
1JN.2.14	Nagasulat ako sa inyo, mga amay, tungod kay nakilala na ninyo siya, nga ara na nga daan halin pa sang ginsuguran.
1JN.2.14	Nagasulat man ako sa inyo, mga pamatan-on nga lalaki, kay mabakod kamo 
1JN.2.15	Indi ninyo paghigugmaa ang kalibutan ukon ang kalibutanon nga mga butang. Kon ginahigugma ninyo ang kalibutan, wala kamo nagahigugma sa Amay. 
1JN.2.16	Kay ang tanan nga kalibutanon nga ginahandom sang tawhanon nga balatyagon, nga ginakawilihan sang mga mata, kag ginapabugal sang mga tawo, wala nagahalin sa Amay kundi sa kalibutan. 
1JN.2.17	Ining kalibutan kag ang tanan nga butang diri nga ginahandom sang mga tawo magataliwan, pero ang nagatuman sang kabubut-on sang Dios nagakabuhi sa wala sing katapusan.
1JN.2.18	Mga anak, nakabati na kamo nga magaabot ang anti-Cristo. Kag kon mag-abot na siya, malapit na kita sa katapusan nga mga inadlaw. Bisan gani subong madamo na ang mga anti-Cristo, gani nahibaluan ta nga malapit na kita sa katapusan nga mga inadlaw. 
1JN.2.19	Ini sila naghalin sa aton, pero indi naton sila matuod nga mga kaupod. Kay kon sila aton gid man kaupod, nagpabilin kuntani sila sa aton. Pero naghalin sila, kag ini nagapakilala nga indi naton sila matuod nga mga kaupod.
1JN.2.20	Pero kamo ginhatagan ni Cristo sang Espiritu Santo.
1JN.2.21	Gani nagasulat ako sa inyo, indi tungod kay wala kamo kahibalo sang kamatuoran, kundi tungod kay kamo nakahibalo na, kag nahibaluan man ninyo nga wala sing kabutigan nga nagahalin sa kamatuoran. 
1JN.2.22	Sin-o ang butigon? Siya nga nagasiling nga si Jesus indi amo ang Cristo. Amo ini ang anti-Cristo, ang nagapanginwala sang Amay kag sang Anak. 
1JN.2.23	Ang nagapanginwala sang Anak wala sa iya ang Amay, pero ang nagakilala sang Anak ara sa iya ang Amay. 
1JN.2.24	Gani indi gid ninyo pagkalimtan ang mga gintudlo sa inyo sugod sang nagtuo kamo. Kon ginatuman ninyo ini, magapabilin kamo sa paghiusa sa Anak kag sa Amay. 
1JN.2.25	Kag ang ginapromisa ni Cristo sa aton amo ang kabuhi nga wala sing katapusan. 
1JN.2.26	Nagasulat ako sini sa inyo 
1JN.2.27	Kon parte sa inyo, ang Espiritu Santo
1JN.2.28	Mga anak, magpabilin kamo sa iya, agod indi kita magkahadlok ukon magpanago sa kahuya kon mag-abot na siya. 
1JN.2.29	Nahibaluan ninyo nga si Cristo matarong, gani makasiguro gid kamo nga ang tanan nga tawo nga nagahimo sang matarong mga anak sang Dios.
1JN.3.1	Hunahunaa ninyo kon daw ano ka dako ang paghigugma sang Amay sa aton! Ginatawag niya kita nga iya mga anak. Matuod gid nga kita iya mga anak. Gani wala nakakilala sa aton ang mga tawo diri sa kalibutan tungod kay wala man sila nakakilala sa Dios. 
1JN.3.2	Mga hinigugma, karon mga anak na kita sang Dios. Pero wala pa mapahayag kon mangin ano gid kita sa ulihi. Nahibaluan ta nga kon mag-abot na si Cristo mangin kaangay kita sa iya, kay makita gid naton kon sin-o gid siya. 
1JN.3.3	Gani ang tagsa-tagsa nga may ara sini nga paglaom kay Cristo dapat magkabuhi sing matinlo subong nga ang kabuhi ni Cristo matinlo.
1JN.3.4	Ang bisan sin-o nga nagapakasala nagalapas sang mga sugo sang Dios, kay ang sala amo ang paglapas sang mga sugo sang Dios. 
1JN.3.5	Nahibaluan ninyo nga si Cristo nga wala gid sing sala nagkadto diri sa kalibutan sa pagkuha sang aton mga sala. 
1JN.3.6	Gani ang mga tawo nga nagakabuhi kay Cristo wala nagapadayon sa pagpakasala. Pero ang bisan sin-o nga nagapadayon sa pagpakasala wala gid makakita ukon makakilala sa iya.
1JN.3.7	Mga anak, indi kamo magtugot nga patalangon ni bisan sin-o! Ang tawo nga nagahimo sing matarong nagapakilala nga siya matarong, subong nga si Cristo matarong. 
1JN.3.8	Pero ang tawo nga nagapadayon sa pagpakasala, iya ni Satanas, kay si Satanas nagapakasala halin pa sang ginsuguran. Tungod sina, ang Anak sang Dios nagkadto diri sa pagguba sang ginahimo ni Satanas. 
1JN.3.9	Ang tawo nga nangin anak sang Dios wala nagapadayon sa pagpakasala, kay ang kinaugali sang Dios ara na sa iya. Kag tungod nga ang Dios amo ang iya Amay, indi na siya makapadayon sa pagpakasala. 
1JN.3.10	Sa sini makilala kon sin-o gid ang mga anak sang Dios kag kon sin-o ang mga anak ni Satanas: Ang tawo nga wala nagahimo sang matarong ukon wala nagahigugma sa iya utod indi anak sang Dios.
1JN.3.11	Amo ini ang pagpanudlo nga inyo nabatian sugod sang nagtuo kamo: dapat gid kita maghigugmaanay. 
1JN.3.12	Indi kita dapat magsunod kay Cain. Sakop siya ni Satanas, gani ginpatay niya ang iya utod. Pero ngaa ginpatay gid niya ang iya utod? Kay ang mga binuhatan sang iya utod matarong kag ang iya malaot. 
1JN.3.13	Gani mga utod 
1JN.3.14	Nahibaluan ta nga ginsaylo kita halin sa kamatayon pakadto sa kabuhi tungod nga ginahigugma ta ang 
1JN.3.15	Ang tawo nga wala nagahigugma sa iya utod manugpatay. Kag nahibaluan ninyo nga wala sing manugpatay nga may kabuhi nga wala sing katapusan. 
1JN.3.16	Sa sini nahibaluan ta ang matuod nga paghigugma: ginhatag ni Jesus ang iya kabuhi para sa aton. Gani kita dapat man maghatag sang aton kabuhi para sa aton mga utod. 
1JN.3.17	Kon maayo ang aton pangabuhi pero wala kita nagabulig bisan nakita ta nga ginapigaduhan ang aton utod, makasiling bala kita nga ang gugma sang Dios ari sa aton? 
1JN.3.18	Mga anak, indi lang kita maghambal nga nagahigugma kita, kundi ipakita ta sa aton mga ginahimo nga matuod nga nagahigugma kita. 
1JN.3.19	Sa sini nga paagi, nahibaluan naton nga ara kita sa kamatuoran, kag sarang na kita makaatubang sa Dios nga wala sing kahadlok 
1JN.3.20	bisan kon ginasuknaan
1JN.3.21	Mga hinigugma, kon wala na kita ginasuknaan sang aton konsensya, mas may kaisog kita sa pagpalapit sa Dios. 
1JN.3.22	Kag bisan ano ang aton pangayuon sa iya mabaton ta, kay ginatuman ta ang iya mga sugo kag ginahimo ang iya luyag. 
1JN.3.23	Amo ini ang iya sugo: magtuo kita sa iya Anak
1JN.3.24	Ang tawo nga nagatuman sang mga sugo sang Dios nagakabuhi sa Dios, kag ang Dios nagakabuhi sa iya. Nahibaluan ta nga ang Dios nagakabuhi sa aton paagi sa 
1JN.4.1	Mga hinigugma, indi kamo magdali-dali pati sa mga tawo nga nagasiling nga ang ila ginatudlo halin sa Espiritu Santo, kundi usisaon ninyo anay kon bala ang ila ginatudlo halin sa Dios ukon indi. Kay madamo na nga indi matuod nga mga propeta ang naglalapta sa bug-os nga kalibutan. 
1JN.4.2	Sa sini nga paagi mahibaluan ninyo nga ang espiritu nga ara sa ila iya gid sang Dios: kon nagakilala sila nga si Jesu-Cristo nagpakatawo, ang Dios ang nagsugo sa ila. 
1JN.4.3	Pero ang wala nagakilala nga si Jesus nagpakatawo, ang nagsugo sa iya indi ang Dios kundi ang 
1JN.4.4	Pero mga anak 
1JN.4.5	Ining indi matuod nga mga propeta iya sang kalibutan, gani ang mga butang nga iya sang kalibutan amo ang ila ginasugid, kag ang 
1JN.4.6	Pero kita mga anak sang Dios. Ang mga nagakilala sa Dios nagapamati sang aton ginatudlo, pero ang wala nagakilala sa Dios wala nagapamati sa aton. Gani sa sini nga paagi mahibaluan ta kon sin-o ang nagatudlo sang kamatuoran nga halin sa Espiritu sang Dios kag kon sin-o ang nagatudlo sang kabutigan nga halin sa iban nga espiritu.
1JN.4.7	Mga hinigugma, maghigugmaanay kita kay ang gugma halin sa Dios. Ang nagahigugma anak sang Dios, kag nakakilala sa Dios. 
1JN.4.8	Ang wala nagahigugma wala nakakilala sa Dios, kay ang Dios gugma. 
1JN.4.9	Ginpakita sang Dios ang iya gugma sa aton paagi sa iya pagpadala sang iya bugtong nga Anak diri sa kalibutan, agod nga paagi sa iya makabaton kita sang kabuhi nga wala sing katapusan. 
1JN.4.10	Amo ini ang 
1JN.4.11	Mga hinigugma, kon amo ini ang paghigugma sang Dios sa aton, dapat man kita maghigugmaanay. 
1JN.4.12	Wala pa gid sing tawo nga nakakita sa Dios. Pero kon nagahigugmaanay kita, ang Dios nagakabuhi sa aton kag ang iya gugma wala na sing kulang sa aton.
1JN.4.13	Nasiguro ta nga kita ara sa Dios kag ang Dios ari sa aton, kay ginhatag niya sa aton ang iya Espiritu. 
1JN.4.14	Nakita namon kag nagasugid kami nga ginpadala sang Amay ang iya Anak bilang Manluluwas sang kalibutan. 
1JN.4.15	Ang bisan sin-o nga nagasiling nga si Jesus Anak sang Dios, ang Dios ara sa iya, kag siya ara sa Dios. 
1JN.4.16	Nakahibalo na kita sang gugma sang Dios kag nagatuo nga kita ginahigugma niya.
1JN.4.16	Ang Dios gugma. Kag ang nagakabuhi nga may paghigugma, ara sa Dios, kag ang Dios ara sa iya. 
1JN.4.17	Ini nga gugma ginakompleto sa aton hasta nga wala na sing kulang, agod indi na kita magkahadlok sa adlaw sang paghukom, kay ang aton kabuhi diri sa kalibutan pareho sang pagkabuhi ni Cristo. 
1JN.4.18	Kon nagahigugma kita wala kita nahadlok 
1JN.4.19	Nagahigugma kita 
1JN.4.20	Ang nagasiling nga siya nagahigugma sa Dios, pero wala nagahigugma sa iya utod, ina nga tawo butigon. Kay kon ang iya utod mismo nga iya makita indi niya mahigugma, paano siya makahigugma sa Dios nga indi niya makita? 
1JN.4.21	Gani amo ini ang sugo nga ginhatag sa aton ni Cristo: ang tawo nga nagahigugma sa Dios dapat man nga maghigugma sa iya utod.
1JN.5.1	Ang bisan sin-o nga nagatuo nga si Jesus amo ang Cristo, anak sang Dios. Kag ang bisan sin-o nga nagahigugma sa ginikanan nagahigugma man sa iya anak. 
1JN.5.2	Kag nahibaluan ta nga ginahigugma ta ang mga anak sang Dios kon nagahigugma kita sa Dios kag nagatuman sang iya mga sugo. 
1JN.5.3	Kay nagahigugma kita sa Dios kon nagatuman kita sang iya mga sugo. Kag ang iya mga sugo indi gid man mabudlay tumanon. 
1JN.5.4	Kay ginadaog sang tagsa ka anak sang Dios ang kalibutan.
1JN.5.5	Gani sin-o bala ang makadaog sa kalibutan? Ang tawo nga nagatuo nga si Jesus amo ang Anak sang Dios. 
1JN.5.6	Ang nag-abot nga si Jesu-Cristo 
1JN.5.7	Gani may tatlo nga nagapamatuod 
1JN.5.8	ang Espiritu 
1JN.5.9	Nagapati kita sa pagpamatuod sang mga tawo. Pero mas masaligan pa gid ang pagpamatuod sang Dios, kag siya mismo ang nagpamatuod nga si Jesus iya Anak. 
1JN.5.10	Ang nagatuo sa Anak sang Dios nagapati sa pagpamatuod sang Dios. Pero ang wala nagapati sa pagpamatuod sang Dios nagahimo sa Dios nga butigon, kay wala siya nagapati sa pagpamatuod sang Dios parte sa iya Anak. 
1JN.5.11	Kag amo ini ang ginapamatuod sang Dios: nga kita ginhatagan niya sing kabuhi nga wala sing katapusan, kag ining kabuhi ara sa iya Anak. 
1JN.5.12	Ang bisan sin-o nga ara sa iya ang Anak may kabuhi 
1JN.5.13	Ginasulat ko ini sa inyo, kamo nga nagatuo sa Anak sang Dios,
1JN.5.14	Kag may pagsalig kita sa pagpalapit sa Dios kay nagatuo kita nga pamatian niya ang bisan ano nga aton pangayuon suno sa iya kabubut-on. 
1JN.5.15	Kag kon nahibaluan ta nga nagapamati ang Dios sa aton kon magpangayo kita sa iya, nahibaluan ta man nga nabaton na naton ang bisan ano nga aton ginapangayo sa iya.
1JN.5.16	Kon makita ninyo ang inyo utod 
1JN.5.17	Ang tanan nga buhat nga indi matarong sala. Pero may ara nga sala nga indi magaresulta sang 
1JN.5.18	Nahibaluan ta nga wala sing tawo nga nangin anak sang Dios nga nagapadayon sa pagpakasala, kundi ginatipigan siya sang Anak sang Dios, gani indi siya matandog ni Satanas. 
1JN.5.19	Ining bug-os nga kalibutan ara sa idalom sang gahom ni Satanas, pero nahibaluan ta nga kita iya na sang Dios. 
1JN.5.20	Kag nahibaluan ta nga nagkadto diri sa kalibutan ang Anak sang Dios, kag ginhatagan niya kita sing pag-intiendi agod makilala ta ang matuod 
1JN.5.21	Gani mga anak, maglikaw kamo sa mga dios-dios.
2JN.1.1	Ako nga manugdumala sang mga tumuluo 
2JN.1.2	 tungod sang kamatuoran nga aton nabaton, kag ina nga kamatuoran magapabilin sa aton sa wala sing katapusan.
2JN.1.3	Kabay pa nga magapabilin sa aton ang bugay,
2JN.1.4	Nalipay gid ako sang pagkahibalo ko nga may mga anak ka nga nagasunod sa kamatuoran, suno sa ginsugo sa aton sang 
2JN.1.5	Gani, nagapangabay ako sa imo nga maghigugmaanay kita tanan. Ining akon ginasulat sa imo indi bag-o nga sugo, kundi amo ini ang sugo nga ginhatag sa aton sugod sang nagtuo kita. 
2JN.1.6	Ang gugma makita sa aton kon ginatuman ta ang mga sugo sang Dios. Kag ang iya sugo nga inyo nabatian sugod sang nagtuo kamo amo ini: dapat magkabuhi kamo nga may paghigugma.
2JN.1.8	Gani mag-andam gid kamo agod indi madula ang inyo ginpangabudlayan, kundi makabaton kamo sang bug-os nga padya.
2JN.1.9	Ang wala nagasunod sa mga pagtulun-an ni Cristo, kundi nagatudlo sang sobra pa sini, wala sa iya ang Dios. Pero ang nagasunod sa sina nga mga pagtulun-an, ara sa iya ang Amay kag ang Anak. 
2JN.1.10	Gani kon may magkadto sa inyo nga wala nagadala sang mga pagtulun-an ni Cristo, indi ninyo siya pagbatuna sa inyo balay, kag indi siya pagsapaka. 
2JN.1.11	Kay ang tawo nga nagasapak sa mga pareho sina nagakaumid sa kalautan nga ila ginahimo.
2JN.1.12	Madamo pa kuntani ang akon isugid sa inyo, pero indi ko na lang pag-isulat, kay nagalaom ako nga makabisita man ako dira kag makapakigsugilanon sa inyo agod mangin malipayon gid kita.
2JN.1.13	Nagapangamusta sa imo ang mga anak sang imo utod nga babayi nga isa man sang mga pinili sang Dios.
3JN.1.1	Ako nga manugdumala sang mga tumuluo 
3JN.1.2	Kabay pa nga maayo ang imo lawas kag ang imo kahimtangan dira, subong nga 
3JN.1.3	Nalipay gid ako sang pag-abot diri sang pila ka mga utod naton nga nagsugid nga matutom ka gid sa kamatuoran, subong nga 
3JN.1.4	Wala na sang makahatag kalipay sa akon nga sobra pa sang mabatian ko nga ang akon mga anak sa pagtuo nagakabuhi suno sa kamatuoran.
3JN.1.5	Hinigugma 
3JN.1.6	Ginsugiran nila ang iglesya 
3JN.1.7	Kay nagapanglakaton sila sa pagtudlo parte kay Cristo, kag wala gid sila nagabaton sing bulig halin sa mga tawo nga wala nakakilala sa Dios. 
3JN.1.8	Gani kita 
3JN.1.9	Ginsulatan ko ang iglesya 
3JN.1.10	Gani sa pag-abot ko dira isugid ko sa inyo ang tanan niya nga ginahimo, tungod nga tama kalain sang iya mga ginapanghambal nga butig parte sa amon. Kag indi lang ina, kundi indi man niya pagbatunon ang aton mga utod 
3JN.1.11	Hinigugma 
3JN.1.12	Tan-awa si Demetrius. Ang tanan nga tumuluo nagasugid nga maayo siya nga tawo, kag makita sa iya kabuhi nga nagasunod siya sa kamatuoran. Kami nagapamatuod man nga maayo siya nga tawo, kag nahibaluan mo nga matuod ang amon ginasugid.
3JN.1.13	Madamo pa kuntani ang akon isugid sa imo, pero indi ko na lang pag-isulat. 
3JN.1.14	Masugilanon lang kita ugaling kon mag-abot ako dira kay may plano ako nga magpakigkita sa imo sa labing madali.
3JN.1.15	Kabay pa nga maayo ang imo kahimtangan. Ang 
JUD.1.2	Kabay pa nga mabaton ninyo ang dugang pa gid nga kaluoy, paghidaet,
JUD.1.3	Mga hinigugma, gusto ko gid kuntani nga magsulat sa inyo parte sa kaluwasan nga aton nabaton, ugaling naghunahuna ako nga mas kinahanglan gid nga sulatan ko kamo agod paisugon sa pagpamatok sa mga tawo nga buot magbaylo sang mga pagpanudlo parte sa aton pagtuo. Ini nga mga pagpanudlo ginhatag sang Dios sa 
JUD.1.4	Ginasulatan ko kamo sini tungod nga may mga tawo nga sa sekreto nakaintra dira sa inyo. Indi sila diosnon kag ginabayluhan nila ang matuod nga mga pagpanudlo parte sa bugay sang aton Dios agod makapagusto sila sa paghimo sang kalautan.
JUD.1.5	Bisan nahibaluan na ninyo, gusto ko pa gid nga padumdumon kamo nga ginluwas sang Ginoo ang 
JUD.1.6	Dumduma man ninyo ang mga anghel nga wala nagpabilin sa ila katungdanan sadto, kundi ginbayaan nila ang ila lugar. Amo ato nga gin-gapos sila 
JUD.1.7	Dumduma man ninyo ang mga tawo sa Sodom kag Gomora kag sa mga banwa sa palibot nila. Nagpakasala man sila pareho sang mga anghel. Kay luyag nila nga magpakighilawas sa indi nila kapareho. Atong silot sa ila sa kalayo nagapaandam sa tanan nga sa ulihi nga mga inadlaw may silot nga wala sing katapusan sa kalayo nga indi gid mapatay.
JUD.1.8	Amo man sa sini nga mga tawo nga akon ginasiling nga nakaintra na dira sa inyo. May mga damgo sila nga nagatulod sa ila sa pagpakasala kontra sa ila kaugalingon nga lawas. Kag tungod man sa ila mga damgo nga ini, indi sila magpasakop sa Ginoo kag ginapakalain nila bisan ang gamhanan nga mga tinuga. 
JUD.1.9	Bisan pa gani si Micael nga pangulo nga anghel wala naghimo sang pareho sina. Kay sang pagbaisay nila ni Satanas kon sin-o sa ila ang magkuha sang bangkay ni Moises, wala siya nagpangahas nga sentensyahan si Satanas nga silutan sa iya pagpasipala kay Moises. Ang ginsiling lang niya, “Ang Ginoo ang magsabdong sa imo!” 
JUD.1.10	Pero ina nga mga tawo nagapakalain sa mga butang nga wala nila maintiendihan. Pareho sila sa mga sapat nga wala nagahunahuna, kay wala sila sing iban nga ginasunod kundi ang ila kinaandan nga mga balatyagon, nga amo man ang nagalaglag sa ila. 
JUD.1.11	Kaluluoy sila! Kay ginasunod nila ang pamatasan ni Cain. Kag ginasunod man nila si Balaam, kay bisan nahibaluan nila nga malain ang ila ginahimo sige pa gid ang ila himo tungod sang ila sobra nga handom sang kuwarta. Pareho man sila kay Kora nga nagrebelde sa Dios, gani pagasilutan man sila kaangay niya. 
JUD.1.12	Ina nga mga tawo nagaguba
JUD.1.13	Pareho sila sa mabaskog nga balod, kag kon paano nga makita ang bukal nga nagaguwa sa mga balod, makita man ang ila mga binuhatan nga makahuluya. Pareho sila sa mga bituon nga nagtalang. Gani may lugar nga madulom gid nga ginatigana 
JUD.1.14	Si Enoc nga ikaanom nga kaliwat halin kay Adan nagtagna na parte sa ila. Nagsiling siya, “Magaabot ang Ginoo kaupod sang iya linibo nga mga anghel 
JUD.1.15	sa paghukom sa tanan, kag sa pagsilot sang mga indi diosnon tungod sang ila indi diosnon nga mga binuhatan, kag tungod sang malaot nga mga pulong nga ginahambal nila kontra sa iya.”
JUD.1.16	Ini nga mga tawo 
JUD.1.17	Pero mga hinigugma, dumduma ninyo ang ginsiling sa inyo sadto sang mga apostoles sang aton Ginoong Jesu-Cristo. 
JUD.1.18	Indi bala nagsiling sila, “Sa ulihi nga mga inadlaw magaguwa ang mga tawo nga magayaguta sa inyo, kag ang ila pagasundon amo lang ang ila malaot nga mga handom.” 
JUD.1.19	Amo ini nga mga tawo ang nagapahito agod kamo nga mga tumuluo magbinahin-bahin. Ginagamhan sila sang ila kinaandan nga mga balatyagon. Wala sa ila ang Espiritu 
JUD.1.20	Pero kamo mga hinigugma, magpalig-unanay kamo sa inyo balaan nga ginatuohan. Magpangamuyo kamo paagi sa 
JUD.1.21	Tipigi gid ang inyo kaugalingon sa gugma sang Dios samtang nagahulat kamo sang kabuhi nga wala sing katapusan nga igahatag sang aton Ginoong Jesu-Cristo tungod sa iya kaluoy. 
JUD.1.22	Kaluoyi ninyo ang mga nagapangduhaduha. 
JUD.1.23	Buligi ninyo ang iban agod maluwas sila sa silot, pareho nga nagasabnit kamo sang isa ka butang nga masunog na. Kaluoyi ninyo bisan ang mga tawo nga malaot gid, pero mag-andam kamo 
JUD.1.24	Ang Dios makasarang sa pagbantay sa inyo agod indi kamo mahulog sa sala, kag madala niya kamo nga wala sing kasawayan kag malipayon gid sa iya presensya. 
JUD.1.25	 Siya gid lang ang Dios kag aton Manluluwas paagi kay Jesu-Cristo nga aton Ginoo. Sa iya ang kadungganan, pagkahalangdon, gahom, kag awtoridad halin pa sang una, hasta subong, kag sa wala sing katapusan! Amen.
REV.1.2	Ako si Juan kag ginasugid ko ang tanan nga butang nga akon nakita nga ginpahayag sang Dios kag ginsugid ni Jesu-Cristo. 
REV.1.3	Bulahan ang nagabasa kag ang mga nagapamati sa sini nga sulat kon ginatuman nila ang nasulat diri. Kay ang mga tagna diri madali na lang magakalatabo.
REV.1.4+REV.1.5	Kabay pa nga ang Dios, ang Espiritu, kag si Jesu-Cristo maghatag sa inyo sang bugay
REV.1.6	Ginhimo niya kita nga mga hari
REV.1.7	Magpreparar kamo! Magaabot si Jesu-Cristo nga makita sa mga panganod. Ang tanan nga tawo makakita sa iya pati ang mga tawo nga nagpatay sa iya. Kag ang mga tawo sa tanan nga banwa sa kalibutan magahibi tungod sa ila kahadlok nga silutan na niya sila. Matuod gid ini!
REV.1.8	Ang Ginoong Dios ang makagagahom sa tanan. Kon ano siya subong, amo siya sang una, kag sa palaabuton. Gani nagsiling siya, “Ako ang Alpha kag ang Omega.”
REV.1.9	Ako si Juan nga inyo utod nga kaupod man ninyo sa kabudlayan, sa paghari, kag sa pag-antos tungod kay kita ara kay Jesus. Gindala ako sa isla sang Patmos tungod sang 
REV.1.10	Sa adlaw sang Ginoo gin-gamhan ako sang Espiritu 
REV.1.11	nga nagasiling, “Isulat mo kon ano ang imo makita, kag ipadala dayon sa sining pito ka iglesya: Efeso, Smirna, Pergamum, Tiatira, Sardis, Filadelpia, kag Laodicea.”
REV.1.12	Pagkabati ko sadto, nagbalikid dayon ako agod tan-awon kon sin-o ang nagahambal sa akon. Kag nakita ko ang pito ka suga nga bulawan. 
REV.1.13	Sa tunga sang mga suga may nagatindog nga daw isa ka tawo. Malaba ang iya bayo nga lab-ot sa iya tiil, kag sa iya dughan may wagkos nga bulawan. 
REV.1.14	Ang iya buhok puwerte kaputi pareho sa tela nga maputi gid, kag ang iya mata nagabaga nga daw sa kalayo. 
REV.1.15	Ang iya mga tiil nagaidlak nga daw sa saway nga gintunaw sa kalayo kag ginpahining. Ang iya tingog mabaskog gid nga daw sa daganas sang busay. 
REV.1.16	May ginauyatan siya nga pito ka bituon sa iya tuo nga kamot, kag sa iya baba may nagaguwa nga matalom nga espada nga duha ang sulab. Ang iya guya tama kasilaw pareho sang adlaw kon udto.
REV.1.17	Pagkakita ko sa iya, natumba ako sa iya tiilan nga daw sa patay. Gintungtong niya dayon ang iya tuo nga kamot sa akon kag nagsiling, “Indi ka magkahadlok! Ako ang ginsuguran kag ang katapusan 
REV.1.18	May kabuhi ako nga wala sing katapusan. Napatay ako, pero tan-awa, buhi ako, kag indi na gid mapatay. May gahom ako sa kamatayon kag sa lugar sang mga patay.
REV.1.19	Gani isulat mo ang mga butang nga akon ginapakita sa imo, ang mga butang nga nagakatabo subong kag ang matabo sa ulihi. 
REV.1.20	Amo ini ang tinago nga kahulugan sang pito ka bituon nga imo nakita sa akon tuo nga kamot kag ang pito ka suga nga bulawan: ang pito ka bituon amo ang pito ka anghel nga nagabantay sa pito ka iglesya, kag ang pito ka suga nga bulawan amo ang pito ka iglesya.
REV.2.1	“Isulat mo ini para sa anghel nga nagabantay sa iglesya sa Efeso:
REV.2.1	“Amo ini ang ginasiling sang nagauyat sang pito ka bituon sa iya tuo nga kamot kag nagalakat sa tunga sang pito ka suga nga bulawan: 
REV.2.2	Nahibaluan ko ang inyo mga ginahimo pati ang inyo mga pagpangabudlay kag pag-antos. Nahibaluan ko man nga indi ninyo maagwanta ang malain nga mga tawo. Gin-usisa ninyo ang mga nagapakaapostoles, kag nasapwan ninyo nga mga butigon gali sila. 
REV.2.3	Gin-antos ninyo ang mga kabudlayan tungod sa inyo pagtuo sa akon, kag wala gid kamo nagluya. 
REV.2.4	Pero ang akon nasawayan sa inyo amo ini: ang inyo paghigugma sa akon subong indi na pareho sang una. 
REV.2.5	Hunahunaa bala ninyo kon daw ano ang inyo paglas-ay. Maghinulsol kamo kag himua ninyo liwat ang inyo mga ginahimo sang una. Kon indi, kadtuan ko kamo kag kuhaon ko ang inyo suga. 
REV.2.6	Pero amo ini ang maayo sa inyo: ginakaugtan ninyo ang mga ginahimo sang mga Nicolaita
REV.2.7	“Kamo nga nagapamati, dapat intiendihon gid ninyo ang ginasiling sang Espiritu 
REV.2.7	“Ang mga mandadaog tugutan ko nga magkaon sang bunga sang kahoy nga nagahatag sang kabuhi, kag ina nga kahoy didto sa Paraiso sang Dios.
REV.2.8	“Isulat mo ini para sa anghel nga nagabantay sa iglesya sa Smirna:
REV.2.8	“Amo ini ang ginasiling niya nga amo ang ginsuguran kag ang katapusan 
REV.2.9	Nahibaluan ko ang inyo mga pag-antos. Nahibaluan ko man nga pobre kamo, pero 
