GEN.1.1	Tetenzük nung Tsüngremi anüng aser alima poktetdaktsü.
ISA.59.12	Kechiyong onok ozüng raksaba ne madang jenti lir, aser onok temenen agi onok anema kuli agütsür; onok ozüng raksabatem onok den lir aser onok tai temenen indang onoki metet; 
ISA.59.13	tashi mangai apusoba, 
ISA.59.14	Ochiba tesüleni atsüngzüka ogo, aser temeshiba talang nung oagi lir; kechiyong yimdong nung ochiba laoa lir, aser tindang jakla aitsü makoker. 
ISA.59.15	Hau, ochi agi anünga lir; aser shibai tamajung nungi piladir, pei sasa tetepsettsü kümdaktsür; aser 
ISA.59.17	 Aser tuku semoktsü asoshi pai temeshiba sobu, aser pa tekolak nung tekümtet merang korang aser süoshi asoshi pai mangyangba sü aben aser tema sepoktsü tejangraba sobua liasü. 
ISA.59.18	Parnok mapa yari yamaji pai taa agütsütsü, pa temerirtem ain aitba, pa tsükchirtem nem lepa agütsüba, tzüküm linük nung pai tanaben lepa agütsütsü. 
ISA.59.19	Yamaji parnoki 
ISA.59.21	Aser ni asoshibo ibai nenok den kü tezüngzüktepba lir, ta 
ISA.60.1	Sakang, pelatepang, kechiyong ne tesangwa arua lir, aser 
ISA.60.2	Kechiyong ajiangjo, tammang agi alima nembangtsü, aser tammang temelem agi nisungtem nembangtsü, saka ne madak 
ISA.60.3	Kintem ne sangwa nung jajatsü, aser chubatem na adokba sentsüprang nung jajatsü.
ISA.60.4	Ne tenük akasoa meketa reprangang, parnok ajak külemi senteper, parnok ne dangi arur; ne jabasotem talang nungi arutsü, aser ne jalatem teka nung ajungtsü. 
ISA.60.5	Idangji nai angutsü, aser sangwa akümtsü, aser ne mulungjang arakzütsü aser tongtonglatsü atutsü; kechiaser tzüyim rongsentem ne dangi meyiptsü, aser kintem rongsen ne dangi arutsü. 
ISA.60.6	Ut teloki na nungbangtsü, Media aser Efa ut chanutem, item ajak Sheba nungi arutsü, parnoki hon aser liangmesen bener arutsü, aser 
ISA.60.7	Kedar san telok ajak ne dangi külemi sententsü, aser Nebaiot san tepungtemi na tenüngdaktsü agütsütsü; parnok kü tenladak manung agizüka atutsü, aser kü sentsüwangshi ki ni mera ketdaktsütsü.
ISA.60.8	Mepet ama yimzüba aser guduru kichiba nung yimzüba ama itemi shirnok? 
ISA.60.9	Atangji tzüküm limai ni asoshi atar, tamasa Tarshis rongtem, ne jabasotem talang nungi parnok taribi aser parnok hon 
ISA.60.10	Bendangertemi ne jaratem yanglutsütsü, aser parnok chubatemi ne dang tenzüktsü, kechiyong kü ain adok dang ni ne dak azük, saka kü maongka agi ni ne dak yimlibilem aka. 
ISA.60.11	 Ne süngkhüm ano maneni lapoka alitsü; aser chubatemi anir nisungtemi kintem rongsen bener ne dangi arutsüsa, anüngdang mesüra aonung itemji meshi-i alitsü. 
ISA.60.12	Kechiyong na metenzükba kin aser chuba yimli samadoktsü; hau, item kin meshimeshia endokadoktsü. 
ISA.60.13	Kü temeshidak tobur jungdaktsütsü asoshi, Lebanon sentsüwangshi, fir süngdong, mitsüktsü süngdong, aser lareg süngdong, ne dangi arutsü, aser ni kü tetsüng alidak sentsüwangshidaktsütsü. 
ISA.60.14	 Shirnoki na timtemdaktsü, parnok chirtem ne dangi apudaka arutsü, aser na sensatsür ajaki ne tsüng temepu züngdang parnok sasa apudaktsü; aser parnoki ne dang 
ISA.60.15	Na senzüka tokja aser sempadakja, aser nisungi senzüka yuja aliba melena ni na teti tatem maka tejak tenteta alitsü aser putu aika tepela kümdaktsütsü. 
ISA.60.16	Nai kintem nungi mamatzü meseptsü, aser chubatem tukubang nungi meseptsü aser ni 
ISA.60.17	Yongmenyin melena ni hon bener arutsütsü, aser merang melena ni taribi bener arutsütsü, süng melena yongmenyin, lung melena merang; aser nenok yimsüsürtem tesünep, aser ne mapa kibur temeshiba kümdaktsütsü. 
ISA.60.18	Teka yitepba mapa joko ne lima nung mangashitsü, azüngazünga toktsüba mesüra teraksa ne linük nung joko mangashitsü; saka nai ne jara dang Tekümtet aser ne süngkhüm dang Tenüngsang ta ajatsü.
ISA.60.20	Ne anü joko maitsü, mesüra ne ita pei sasa mesamatsü, aser ne mangyimba anogo tatem akümtsü. 
ISA.60.21	Na sentsüwangshidaktsütsü asoshi ni atemba kongsang, kü ket agi inyakba mapa, ano ne nübur ajak temeshi kümdaktsütsü, teti asoshi parnok lima amangtsü. 
ISA.60.22	Tajemzüksangji meyirijang ka akümtsü, aser tilasangji tashi tait kin ka akümtsü. Ni 
ISA.61.2	 pelaba sangoktsütsü, aser asen Tsüngrem mangyangba anogo sangoktsütsü, mangyimer ajak süneptsütsü; 
ISA.61.3	Zion nung mangyimertem asoshi anebalutsütsü, parnok nem aut melena naro zük agütsütsü, mangyimba melena tepelatsü totzü, zürepa aliba tanela melena tenüngsang sobutsü agütsütsü, oda pa sentsüwangshi atema parnok dang temeshi süngdong 
ISA.61.4	Parnoki akhidang raksabatem yanglushitsü, alemli azüngazünga toktsüba, putu aika sendokadokba, aser endoka aliba yimtitem parnoki yanglushitsü.
ISA.61.5	Bendangertem noktaktsü aser ne santem mesütsü aser aener semloka alirtem nenok alu alartem aser nenok tsükmenatzü menüngertem asütsü. 
ISA.61.6	Saka nenokbo 
ISA.61.7	Nenok maksüba asoshi nenok anasü akatsü, aser rongrongshishi melena parnoki pei shilem nung pelateptsü; anungji parnok lima nung parnok anasü angutsü. Teti tatem maka tepela parnok asoshi alitsü.
ISA.61.8	Kechiyong ni 
ISA.61.9	Parnok metsü kin rongnung, aser parnok chirnur nisung rongnung meteta akümtsü, parnok angur ajaki oda parnok 
ISA.61.11	Kechiyong alimai pei temeshiba adokdaktsü ama, aser atsüki nung prokba osettem adokdaktsü ama, yamaji 
ISA.62.1	Zion atema ni ajemajema malitsü, aser Yirusalem atema pa temeshiba prangpranga madok tashi, aser pa tekümtetet jangrua aliba milen ama madok tashi ni anisüngzüka malitsü. 
ISA.62.2	Aser kin ajaki ne temeshiba, aser chuba ajaki ne sentsüwangshi angutsü; aser 
ISA.62.3	Ano, na 
ISA.62.4	Joko ne dang, “Senzüka yutsüba” ta majatsü, mesüra joko ne lima dang, “Azüngmeyakdak” ta majatsü. Saka ne dang Hefziba ta aser ne lima dang Beula ta ajatsü.
ISA.62.5	Kechiyong asangur kati tasüngtet aiür ka den ki ayimba ama, yamaji ne jabasotemi ne den ki ayimtsü; aser kiyimsangi kiyimla dang pelaba ama, yamaji ne Tsüngremi ne dang pelatsü.
ISA.62.6	Oh Yirusalem, ne jara manung ni mitkar yuja lir; anüngdang süshia, aonung süshia parnoki kodanga ola madoki malitsü; nenok shir 
ISA.62.7	Alima nung Yirusalem nüngsang nüngtugu kümdakja 
ISA.62.8	i pa teka tajichi agi aser pa teka tashi tait agi azüngashi; atangji joko ne tsükchirtem chiyungtsü asoshi magütsütsü; aser yi koba asoshi nai belema inyak aji bendangertemi majemtsü. 
ISA.62.9	Saka shirnoki aji ongtena ayur, parnoki aji achitsü, aser 
ISA.62.10	Ajanga oang, süngkhüm ajanga oang, nenoki nübur lenmang renemang; lentongbang süsüang, lung shitenang, nisungtem madak nisan ajungketang. 
ISA.62.11	 Ajiang, alima tatem tashi 
ISA.62.12	Aser parnoki parnok dang “Temeshi nübur 
ISA.63.2	Kechiba ne süoshi tsükmenatzü menüngdak ajemshiba nisung süoshi ama temerem lir? 
ISA.63.3	 Tsükmenatzü menüngdak ni kija jaja, kü den nisung shinga maliasü, hau, ni ain adokdang ajemshi, aser kü mit tulu nung parnok ajemzüka yok; aser parnok zü kü süoshi nung rüklok, aser ni kü süoshi ajak menenogo. 
ISA.63.4	Kechiyong mangyangba anogo kü mulungjang nung liasü, aser kü talangzükba küm arua lir. 
ISA.63.5	 Ni reprang, aser teyaritsü shinga maliasü; aser ajungkettsütsü shinga maliba agi ni süngmang, anungji kü pei tepen agi ni yari, aser kü ain adokba agi ni ajungket. 
ISA.63.6	Kü ain adokba nung ni nisungtem ajemzüka yok, aser kü mit nung parnok anüka ajasatsü, aser parnok taküm zü ali nung shiloktsü.”
ISA.63.8	Kechiyong pai ashi, “Atangji parnok kü nübur kü madang meyazütsüba techirtem lir;” anungji pa parnok kümtettsüba aküm. 
ISA.63.9	Parnok timtem tekangshi angu, aser pa dena aliba tenyari parnok kümzük; pa temeim agi aser pa mulung ayangba agi pai parnok kümzük aser pai parnok bena aru, aser alemli anogo ajak nung pai parnok aben.
ISA.63.10	Saka parnoki tashi manga aser pa Tanela Temeshi jashidaktsü; anungji pa parnok tsükchir kümdaktsü aser pa sasa parnok anema rara. 
ISA.63.11	Idangji pa nüburi alemli Mosa anogotem bilemteta ashi, “Sannüker shiba pei san telok dena tzüyim nungi parnok shibai anitet pa kong ali? Parnok rongnung Tanela Temeshi shibai yutsü pa kong ali? 
ISA.63.12	 Shibai pei sentsüwangshi tepen Mosa teka tajichileni odaktsü? Shibai pei sasa teti tatem maka tenüng asoshi parnok jakdang tzü sadangtsü? 
ISA.63.13	Shibai parnok taroktem ajanga, parnok memetsüdaktsü asoshi arem nung kor ama, 
ISA.63.14	nashi telok lenteni aluba ama anir alu?” Yamaji 
ISA.63.15	Kotak nungi reprangzüka yokang, aser ne temeshi aser sentsüwangshi talidak nungi ajiang; ne tejangraba aser ne tashi tulu mapa nai jangraa temulung ayangba aser aria bilemba onok asoshi kong ali? Ne sasa tim tetem. 
ISA.63.16	Kechiyong Abrahami onok memetetaka aser Israeli onok magizükaka na onok tebu lir, na Oh 
ISA.63.17	Oh 
ISA.63.18	Ne temeshi nüburi kenpiga asoshi aji agi, onok tsükchirtemi ne temeshidak nung ajemshitsüogo. 
ISA.63.19	Shirnok ne tenüng agi maja parnok ama, alemli nungi shir madak nai yimsü masü parnok mesüka onok kümzükogo.
ISA.64.1	Oh nai anüngtem rakpoker, tenemtemi ne tsüngdang arakzütsüsa na alu asübo, 
ISA.64.2	kodang ai takong nung mi kaodir, aser mi jagi tzü jaa muludaktsüba ama ne tenüng ne tsükchirtem dang metetdaktsütsü aser oda kintemi ne madang atententsü. 
ISA.64.3	Onoki meimlai aliba tetsübutsü mapatem koba alemli nungi nisungi mangashidang, 
ISA.64.4	 mesüra tenarongi mangashidang, tenüki na Tsüngrem ne dak alema mungudang, shibai pa asoshi ata-a alirtem asoshi inyaker. 
ISA.64.5	Shiri temeshiba inyaker aser tepela angur, shiri ne lenmangtem bilemteter nai pa sota ayur; ajiang, na ain adoka liasü, aser onoki temenen mena. Onoki inyakba ajanga onoki tai nung tsük. 
ISA.64.6	Onok ajak memerükba nisung ama kümogo, aser onok temeshiba ajak süjen temenen ama lir; onok süngo to ama azülar, aser onok tai agi mopung ama onok bener aor. 
ISA.64.7	Ne tenüng ajar nisung mesüra ne dak azüita alitsü pei sasa ajongmesoba shinga mali; kechiaser nai pei tejak onok nungi atsükadok, aser onok temenen tashi nem bendanga agütsü.
ISA.64.8	Saka tang, Oh 
ISA.64.9	Oh 
ISA.64.10	Ne temeshi yimtitem arem kümogo, Zion arem kümogo, Yirusalem azüngmeyakdak kümogo. 
ISA.64.11	Ozü temeshi aser tobur tajung ki, kong ozü tsüraburtemi ne tenüng asang, aji mi agi rongtokogo, aser onoki aginüba osettem endokadokogo. 
ISA.64.12	Item asoshi, Oh 
ISA.65.1	Shirnoki kü dang masüngdang parnoki kü den tongtepa jembidaktsütsüba ni renema liasü, shirnoki ni mebushi parnoki bushidaktsütsüba ni renema liasü; kü tenüng nung majaba kin dang ni shiogo, Ni yangi lir! Ni yangi lir! 
ISA.65.2	Shirnoki pei tebilemba sülen lenmang tamajung nung jaja, tashi mangaba nübur parnok dang ni anogo tepiyong kü teka songtok; 
ISA.65.3	nübur shirnoki maneni kü jakdang atsüki nung shiruru tenla tepseta, lungru manung teronem menemtsü ronga ali ni adokdaktsü; 
ISA.65.4	parnoki leper rongnung amener, aser temiimdak alir; shirnoki ak shi achir aser memerükba shi parnok po nung lir; parnoki ashir. 
ISA.65.5	“Pila-a oagi noktakang, ni anasa taru kechiaser ni na asoshi kanga temeshi lir.” Itemi kü teni telung nung mokozü lir, maneni arongba mi lir. 
ISA.65.6	Ajiang, aji kü madang zülur noktaka lir; ni mokorai malitsü, saka meyipa agütsütsü; 
ISA.65.7	i ashi, hau, tenem nung liangmesen arongdang aser tenemtem manung ni sensatsüba nenok temenen aser nebu nunger temenen nenok tuku tonga meyipa agütsütsü; anungji parnok tuku nung parnok mapa tamasa ni asadangtsü.
ISA.65.8	Yamai 
ISA.65.9	Ni Yakob metsü nungi metsü ka aser Yihuda nungi kü tenem senmanger adokdaktsütsü aser kü teshimtet puri aji amangtsü, aser kü tenzükertem yangji alitsü. 
ISA.65.10	 Ni bushiba kü nübur asoshi Sharon san telok asoshi ki akümtsü, aser Akhor lenten nashi telok asoshi chiyimdak alitsü. 
ISA.65.11	Saka 
ISA.65.12	Ni nenok nok agi tepsettsü tiatsütsü, aser nenok ajaki tetepsetba madang apudaktsü, kechiaser ni ajadang nenoki melangzü, kodang ni jembi nenoki anga-a mali; saka kü nükdang kechi majung aji nenoki inyak aser kechi agi ni mepeladaktsü aji shimtet.”
ISA.65.13	Anungji yamai 
ISA.65.14	ajiang, kü tenzükertem temulungjang pelaba agi ken atentsü; saka nenok temulungjang tejashi agi ajebtsü, aser tanela raksaba yong ajebtsü. 
ISA.65.15	Nenoki nenok tenüng teshimtet pur asoshi atakatemtsü toktsütsü; yamaji 
ISA.65.16	Idangji shibai linük nung temoatsü asoshi sarasademdir, atangji Tsüngrem ajanga sarasademtsü, aser shibai linük nung azüngashiba ka züngyazüngkodir, atangji Tsüngrem ajanga azüngashitsü; kechiyong taoba mapang timtem amadokogo aser kü tenük nungi miimogo.”
ISA.65.18	Saka ni kechi yanglur iba nung nisungi pelateptsü aser teti tatem maka ajungkettsü; kechiaser ajiang ni Yirusalem ulutsütsü aser kü nübur tepela akümtsü yangludagi; 
ISA.65.19	 aser ni Yirusalem madak ulutsü aser kü nübur dak pelatsü; joko la dak tajepba ola mesüra ayimtenba ola mangashitsü. 
ISA.65.20	Joko la dak nungi tanur süshia tain süshia pei taküm arishi mabensai mesüitemtsü; saka tanubutiba küm noklang ka lir-ang asütsü, aser shirnok küm noklang ka mejungi tsükdir atakatem ta züngshitsü. 
ISA.65.21	Parnoki ki süa yangji nisung alitsü aser parnoki tsükmenatzü lu ayimtsü, aser item süngjang achitsü. 
ISA.65.22	Tangar alitsü parnoki meyanglutsü, tangar achitsü parnoki metsünütsü, kechiyong süngdong arishi anogo ama kü nübur arishi alitsü, aser parnok teka agi inyakba mapa kü teshimtet puri tatem tonga agitsü. 
ISA.65.23	Amajok nung parnoki mebelemtsü, mesüra tesamatsü asoshi chirnur, mesotentsü, kechiyong parnok 
ISA.65.24	Parnoki majadang ni langzütsü, parnoki jembia alidang ni angashitsü. 
ISA.65.25	 Tsünü aser san chanu külemi chiyimtsü, aser nashi pungchi ama molusongzüi monü achitsü, saka perbo pa chiyungtsü ali asütsü, parnoki kü temeshi tenem ajak nung tamajung kecha meinyaktsü mesüra mesamatsütsü” ta 
ISA.66.2	Kü ket agi ya ajak yanglu, ya ajak kü meyong lir, ta Tsüngremi ashir; aji saka shiba ajemalu aser tanela teraksa ali aser shibai kü o nung atentena ali, pa dang ni reprangtsü.”
ISA.66.3	Shibai nashi pungchi ka tepsetdir pa nisung ka tepsetba ama alitsü; shibai san ka tepseta tenladir, pa azü tekong nung lenseta südaktsür ama alitsü; shibai chiyungtsü tenla tenladir pa ak zü agi tenlaba ama alitsü; shibai tebilemtettsü liangmesen tenla tenlar, pa süngyanglu moatsür ama alitsü: parnoki pei lenmangtem shimogo, aser parnok tanelai parnok tesempatsütem nung pelar. 
ISA.66.4	Anungji nia parnok sensamasatsü shimtettsü aser parnok madak parnok tetsübutsü bena arutsütsü, kechiaser ni ajadang shingaia melangzü, ni jembidang parnoki mangashi: saka kü nükdang kechi tamajung aji parnoki inyak aser ni kechi nung mepelar aji parnoki shimtet.
ISA.66.6	“Angang yimti nungi rongrongshishi ola, tenla ki nungi ola, pa tsükchirtem nem meyipa agütsüba 
ISA.66.7	 Saka la nuso mashidang lai sotsüogo; la mekangshidang lai tebur ka sotsüogo. 
ISA.66.8	Shibai iba amai angashidang? Shibai iba amai ngudang? Kenüyongi linüki pei nübur adokdaktsüdi ma? Khenyongi kin ka adokdaktsüdi ma? Kechiyong Zion nuso ashitsü tenzükli lai pei chirtem sotsü. 
ISA.66.9	Tasotsü ni kechi bena arutsü aji ni mesodaktsüli ma? 
ISA.66.10	Nenok pa meimer ajaki Yirusalem den pelatepang, aser la asoshi pelaseta liang, nenok la asoshi mang ayimertem. 
ISA.66.11	Kechiaser la tesüneptsüba mama nungi nenoki sünga meseptsü, la dak nungi moshia ayimba sentsüwangshi agi nenok jangratema ajemtsü.
ISA.66.12	Kechiyong 
ISA.66.13	Pei tetsüi süneptsüba ama ni nenok süneptsütsü; aser nenok Yirusalem nung süneptsütsü. 
ISA.66.14	Aji nenoki angutsü, aser nenok temulungjangi pelateptsü, aser rem lanu ama nenok teret akümtsü, aser 
ISA.66.15	Kechiyong ajiang, 
ISA.66.16	Kechiyong mi agi aser pa nok agi shi ajak madak pai o bendang akatsü aser 
ISA.66.17	Shirnoki atsüki nung külemtsü asoshi pei sasa bendanga merüktetdir, tiyong nung ka sülen anidaka, ak shi aser temenen aser koya chia, külemi tatem kümdaktsütsü ta 
ISA.66.18	Kechiyong parnok mapa aser parnok tebilemba ni metet aser kin aser oshi ajak anitenba ni metet aser kin aser oshi ajak anitentsü ni arudagi; parnok arutsü aser kü sentsüwangshi angutsü. 
ISA.66.19	Parnok ajanga ni temaitsü ka ayutsü, shirnok parnok nungi jentetdir kintem dangi ni yoktsü. Tarshis, Put aser Lud dangi, Tubal aser Yavan dangi talang nung tzüküm linük kobaisa kü nüngsang mangashi mesüra kü sentsüwangshi mangu parnok dangi yoktsü. Parnoki kin rongnung kü sentsüwangshi metetdaktsütsü. 
ISA.66.20	Nisungtemi nenok adianu ajak nungi anir arutsü, kor nung talungtsü nung, oset abenba kor nung nembanger, gado aser ut manung kü temeshi tenem
ISA.66.21	Aser item karbo ni putirtem aser Levitem asoshi agitsü ta 
ISA.66.22	“Kechiyong anüng tasen aser alima tasen koba ni yangludagi kü madang maneni alitsü, ta 
ISA.66.23	Ita lanu nungi ita lanu tashi, amungnü nungi amungnü tashi shi ajaki kü madang külemtsü arutsü” ta 
ISA.66.24	Aser parnok adoktsü aser ni anema apusor nisung tasü mang dak parnoki reprangtsü; kechiyong parnok mesen masütsü mesüra parnok mi meremseptsü, saka shi ajak madang parnok tesempatsü alitsü.
JER.1.1	Benjamin lima, Anathot nung putir rongnung Hilkia chir Yerimia otem; 
JER.1.2	 shiba dangi Yihuda chuba, Amon chir Yosia, chubaba küm terasembuba nung, pa tendak 
JER.1.3	 Ano Yihuda chuba Yosia chir Yehoiakim tendak, Yihuda chuba Yosia chir Zedekia küm terkabuba tatem tashi; ita pungububa nung Yirusalem tepuokdaki anir aoba tashi ibaji aru.
JER.1.4	Tang 
JER.1.5	“Ni na nu menden nung meyangludang na meteta liasü, aser na masodang yongi ni na meshiteta yutsü; kintem dangi ainkar ka asütsü ni na shimtet.” 
JER.1.6	Idangji ni ashi, “Ah, 
JER.1.7	Saka 
JER.1.8	Parnok tetsübu, kechiyong na kümzüktsü ni ne den lir,” ta 
JER.1.9	Idangji 
JER.1.10	reprangang, tanü kintem madak aser yimlitem madak, atsütettsü aser raksatsü, samatsütsü aser meküptoktsü, yanglutsü aser atemtsü ni na yutsür.”
JER.1.11	Ano 
JER.1.12	Idangji 
JER.1.13	Tanaben 
JER.1.14	Idangji 
JER.1.15	Kechiyong angang, anüdoklentip yimli ajak ni jatentsü ta 
JER.1.16	Parnok majungba indang ni parnok anema obendang ashitsü; kechiyong parnoki ni senzüka toktsü, aser tangar tsüngremtem dang liangmesen arong, aser parnoki pei teka mapatem külem. 
JER.1.17	Saka na! Nangri kangang, aser aramesoang, aser parnok dang ni ne dang melaba ajak jembiang; parnok ngua taoksa, angji ni na parnok madang maoksadaktsütsü. 
JER.1.18	Kechiyong ajiang, ni na tanü linük ajonga anema, Yihuda chubatem anema, iba tongtipur anema, iba putirtem anema, aser linük nübur anema noktanga aliba yimti ka, aser merang tongshi ka, aser yongmenyin jara kümdaktsüogo. 
JER.1.19	Aser parnoki na anema raratsü, saka na anema parnoki makoktsü, kechiyong ni ne den na kümzüktsü asoshi lir,” ta 
JER.2.2	“Oang, aser Yirusalem tenarong nung ayimtena jembiang, 
JER.2.3	Pa meyong mezüng atangba süngjang, Israelji 
JER.2.4	Oh Yakob kidong, aser Israel kidong kinunger ajak, nenoki 
JER.2.5	i yamai ashir, “Nenok tsüraburtemi kü dak kechi tai anguba agi, parnoki kü dang nungi talangka pila-a ao aser amajok mapa sülen jaja, aser amajok aküm? 
JER.2.6	Arem ajanga asenok anir aruba, lisem lima aser ongken ajanga, tzünglu marudak lima aser tasü akhüm ajanga, aser shinga mesenzüba lima aser nisung shinga malidak, Ijip nungi onok anitetba 
JER.2.7	Ni na jenti akaba linüki, iba süngjang aser iba tajungtem achitsü anir aru; saka kodang nenok ai, nenoki kü lima menentsü, aser kü meyong senmang tesempatsü kümdaktsü. 
JER.2.8	 kong ali? ta putirtemi mashi, aser shirnoki ozüng nung amtaker, parnoki ni memetet; yimsüsürtemia ni anema apuso, aser ainkartemi Baal atemer shin jembi, aser tajangzük magütsüba sülen anidak.”
JER.2.9	“Anungji ni nenok den ano kepteptsü aser parnok chirnur den ni kepteptsü” ta 
JER.2.10	Saiprus tzükümtem ajanga oang, aser Kedari yokang, aser jungjunga shisadangang; aser iba amai liasü asü masü ajiang. 
JER.2.11	Kin kari pei tsüngremtem, oda atangji tsüngrem mesüaka, itemji melenshi asü? Saka kü nüburtemi parnok sentsüwangshi melena koba agi tajangzük magütsür aji melenogo. 
JER.2.12	Oh anüngtem, iba nung nenok aoksa-a liang, aser kanga tsübuseta liang ta 
JER.2.13	Kechiyong kü nüburtemi tamajung ana inyakogo, parnoki ni, taküm tzü ayong senzüka toktsü, aser parnok asoshi tzüshi, tzü sota melitetba teraksa tzüpongtem angenteta yangluogo.
JER.2.14	“Israel alar ka asü? Pa kidang asoba alar ka asü? Ajangla kechiba pa tepsettsü ka aküm? 
JER.2.15	Pa anema molusongzü pungtui arrloktsü, aser ola agütsü; aser parnoki par lima teraksa kümdaktsü, par yimtitem nisung melidaktsüi rongtokadok. 
JER.2.16	Ano Memfis aser Tahpanhes nisungtemi ne kolak korang raksatsü. 
JER.2.17	Saka pai na lenmang nung anidang 
JER.2.18	Aser tang Nile tzü ajemtsü asoshi Ijip lenmang nung aoba agi na kechi ajangzüktsü? Mesüra Eufrata tzü ajemtsü asoshi Asiria lenmang nung aoba agi na kechi ajangzüktsü? 
JER.2.19	Na pei tamajung agi na merenshitsü, aser na atsüngzükba agi na arütsütsü; aji asünung 
JER.2.20	“Kechiyong akhidang nai ne süngra raksa aser ne talenba poksa, aser nai ashi, ‘Ni metenzüktsü.’ Kechiyong ungsem talang shia nung aser sangshia aliba süngdong kübok shia nai ne sasa mangadak aser jabujaria ali. 
JER.2.21	Aji saka ni na teshimtet tsükmenatzü dong ka atem, khenyongi metsü temeja ka liasü, ajangla kechiba na kü madang samesa arem tsükmenatzü dong aküm? 
JER.2.22	Kechiyong nai sabon tzü agi na shitokaka aser sabon jenti agiaka aji saka ne tai menaba kü madang tarak lir, ta 
JER.2.23	Ni memeneni lir, ni Baaltem sülen mao ta nai koda shitet? Lisem lima na aolen ajiang, nai kechi inyak metetdang; tekara ut chanu pei lenmang nung meketzüa aobaji na lir; 
JER.2.24	arem gado arem yimya sübaba, lai jangra-a mopung asüketa; la tsüngkhüm nungi shibai la meyipa odaktsütsü? Shiri la bushir parnok mebelemtsü, la tsüngkhüm nungbo parnoki la angutsü. 
JER.2.25	Ne tetsüng tesa teli, aser ne terok konga tasüm; saka nai ashir, ‘teimlatsü maka, kechiyong ni bendanger tsüngremtem meimer, aser parnok sülen ni aotsü.’ ”
JER.2.26	“Auür putetdang pa akseta aliba ama yamaji Israel kidong aktsü; parnok, parnok chubatem, tongtipur, putirtem, ainkartem, 
JER.2.27	shirnoki süngdong ka dang, ‘Kübu ta, aser lung dang nai ni poktetdaktsü’ ta ashir, kechiyong parnok tejak masü, parnoki parnok terongdong kü tsütsü shitsü. Saka parnok timtem mapang nung parnoki ashitsü, ‘Aramesoang, aser onok kümzükangma.’ 
JER.2.28	Saka nai yangluba ne tsüngremtem kong ali? Ne timtem mapang nung parnoki na kümzüktsü kokra, parnok aramesodakjang; kechiyong Oh Yihuda, ne yimtitem kwi ali paikaji ne tsüngremtem lir.”
JER.2.29	“Ajangla nenoki ni anema kechiba jembir? Nenok ajaki ni anema ozüng raksaogo. 
JER.2.30	Amajok nung ni nenok chirtem dak azük, parnoki temulung matang, nenok pei nok agi nenok ainkartem tesamatsüba molusongzüi amato meyokadok. 
JER.2.31	Oh nüburtem, 
JER.2.32	Aiüri pei sobusolemtsü amadi ma? Mesüra kiyimlai pei sobutsü amadi ma? Aji saka kü nüburtemi anogotem mezüngdangteti ni amadok. 
JER.2.33	Temeimertem bushitsü nai ne lenmang koma asameyanger! Oda tamajung tetsürtem danga nai ne lenmangtem sayua lir. 
JER.2.34	Ne sü nung tai makaba zü mezüa angur. Nai aji ateta aiba mangu, saka item ajak manung angu, 
JER.2.35	aji saka nai ashir, ‘Ni tai mali; atangji pa ain kü dak nungi meyipa ogo. Ajiang, ni temenen mebenshi’ ta nai ashiba yong ni na aitsütsü. 
JER.2.36	Kechiba ne lenmang ya oda melenshia senzür? Asiriai na maksüdaktsüba ama na ano Ijipi maksüdaktsütsü. 
JER.2.37	Ne kolak nung ne ket ataloker pa nungia na aotsü; kechiyong nai temulung alemba pur 
JER.3.1	“Nisung kati pei kibutsü balara aser lai pa nungi oadokra; aser tangar kibutsü kümra, pai la dangi tanaben meyipa odi ma? Iba limaji kanga menena mekümli ma? Nai temeimer jenti den jabujari inyakaka ano nai tanaben kü dangi arudi ma?” ta 
JER.3.2	Tenem moalen jagi ne tenük yokang, aser reprangang kong na ontaka malidak ali? Arab nungeri arem nung amen ama, lenmang nung nai meimertem asoshi mena ali; aser ne nüktapangta mapa agi aser ne tamajung agi nai linük menentsü? 
JER.3.3	Anungji tzünglu sot, aser tsükla tzünglu maru; aji saka na nüktapangtar jakten tener maki alir. 
JER.3.4	Iba mapang nungi nai kü dang, “Oba na kü lanuwa medemer” ta mayimtentsü no? 
JER.3.5	Pai teti ain adoka lidi ma? Pai aji tatem tashi lidi ma? Ajiang, nai jembiogo, saka koktetba tashi nai temenen inyakogo.
JER.3.7	Aser lai item ajak inyaker, la kü dangi meyiptsü ta ni bilem; saka lai memeyip; aser aji adianu tashioktsür Yihudai angu. 
JER.3.8	Kodang tamang makaba Israeli nüktapangta benshi, ni la endokadok, aser la nem tepalaba kaket agütsü ta lai angu, aji saka tashioktsür Yihuda la adianu lai metsübu, saka ano la-a ao aser nüktapangta benshi. 
JER.3.9	La jabujari nung züzüa aliba ajanga linükji menen aser lai lung den aser süngdong den nüktapangta inyak. 
JER.3.10	Ya ajak atalokaka, temulung matangba la adianu Yihudai, la mulungjang ajak agi kü dangi meyipa maru, saka temulung tezüba agi liasü” ta 
JER.3.11	Idangji 
JER.3.12	Oang, aser item anüdoklentip tsütsü sangdongang, aser shiang, ‘Tesüleni atsünga aoba Israel, meyipang’ ta 
JER.3.13	Nai ne 
JER.3.14	i ashir, “Meyipang, Oh tamang makaba chirtem, kechiyong ni ne 
JER.3.15	Ni nenok nem kü mulung asüba sannükertem agütsütsü shirnoki nenok temetetba shisatsü aser tangatetba agi mesütsü.” 
JER.3.16	Aser item anogo nungji, 
