LUK.1.1	Mullc ômënj ar llôtë pisuprë tas spunë aceli ci sënt fapti ku noj, 
LUK.11.35	Tiaca s'aj mintja ci llunjina a ta s'nu hjibё skutidhi. 
LUK.11.36	Ma kё tut prosupu a tell esti plin di llunjinё shi fërё skutidhi tu tuti përcli, ell us hjibё ntreg ku llunjinё, ashё kum esti llunjinёsitё llombadha aprasё”.
LUK.11.37	Ako ju zburra Jezus, un farise o-kjëmë tas mëkë lla kasa a lluj. Jezus nesi shi stëtu tu trapeze. 
LUK.11.38	Fariseu s'çudusi kënd vëxu ci Ell nu l'i llë mënjli dininti ali mëkari. 
LUK.11.39	Sh Jezus i'j xësi a lluj: “Tora, voj farisenjjë pëstric partja di nafôrë ali kupi sh ali pjati, ma di nunt hjic tut rrutjacë sh babëzii. 
LUK.11.40	Zurr sh tëvëqej! Acell ci feci partja di nafarë a nu adërë shi partja di nunt? 
LUK.11.41	Tiaca dac prota di aceli ci avec nunt, shi us l'avec pëstriti tuti. 
LUK.11.42	Ma, kavaj di voj farisenj! Voj i'j dëdec a Dumëxë unë di xaci përc di mëndra ci avec, unë di xaci përc di njej sh di jarbë, ma allësac di-unë-parti ndreptjaca shi vrera a Dumëxë. Aisti lipseshti s'fëcec, sh nu allësac di-unë-parti allanti. 
LUK.11.43	Kavaj di voj farisenj ci v'arëseshti tas akëcac bilokërrë ma buni pit sinagogi shi vrec s'vi fakë tinjii tu padi!
LUK.11.44	Kavaj di voj ci hjic ka miriminc fërë shënjë, ci ômënjjë l'i kallkë n'i shtjutë”.
LUK.11.45	Un di dhaskalënjjë a nomlu i'j xësi: “Mvëcëtor, tini ma n'i apunj mullt ci ma n'i xëc aisti zbôrri.” 
LUK.11.46	Ma Jezus i'j xësi: “Kavaj sh voj dhaskalënj a nomlu a Moisiu, kë i'j ngërkac ômënjjë ku unë sarcënë grau, ma ishish voj nu zbëtac niki xedëtu tas i'j cënec!
LUK.11.47	Kavaj di voj ci skullac miriminc ti profecjë ci i'j vëtëmarë përincjë a voç. 
LUK.11.48	Ashё spunec kё hjic tu unё minti ku llukërrë ci fëcërë përincjë a voç, kë ej i'j vëtëmarë profecje shi voj llu skullac miriminc. 
LUK.11.49	Tiaca shi Dumëxë tu ndreptjaca a lluj ari xësë: ‘Mini us v'i pëtrek profec shi apostuj, ma ej us i'j vatëmë shi ndoj allc us j'ashtjarrë, 
LUK.11.50	ci ômënjjë a shtëlluj qërollu s'arrëmënë tu steps ti sënxili ci esti vërsat di tuc profecjë, di kënd s'feci dunea, 
LUK.11.51	di sënxëli a Abel, pën tu sënxëli a Zakaria, ci u vëtëmarë namësa di altar shi di ajodhimë. Ashë, ashë us v'i xëk, kë ti aistë gjëji us arrëmënë ku steps aistë farë di ômënj. 
LUK.11.52	Kavaj di voj dhaskalënj di nomlu a Moisiu, kë avec llôtë ti sinia a vôstë keja ali mvëcari! Ashë, niki ishish voj nu intrat, sh allanc i'j qëdëkat tas intrë nunt.” 
LUK.11.53	Kënd Jezus ishë, skribënjjë shi farisenjjë ahurhjirë s'i nërrastë shi s'aminë soj di soj di zbôrri, 
LUK.11.54	tas i'j kaftë mintja, shi si'j skulla kurthi ti cëvë ci us xëcja.
LUK.12.1	Astumsëna, kënd ômënjjë ara adunac tu un bilok, kit këllka un allant, Jezus ahurhji tas ll'u grastë ma ninti a dishepujllu a lluj: “Vëgjacvë di psematli a farisenjllu, kë sent munafic. 
LUK.12.2	Nu ari cëva amvëlitë ci nu us'i zdëvëlastë, sh cëva askumtë ci nu us'i ja di hëbari. 
LUK.12.3	Tiaca, cëdo ci avec xësë tu skutidhi us'i avdë tu llunjinë, sh ci avec xhudukatë ku ushëli nkisi us'i avdë dit çatii.”
LUK.12.4	“Ôspëcje a njej! Mini us v'i xëk: Nu v'i aspërac di acej ci vatëmë trupu, ma, ma nëpoj nu pot s'fakë içcëva ma mullt. 
LUK.12.5	Ja, kaj lipseshti s'avec frikë: acell ci dupi môrti ari forcë s'v'i aminë tu pisë. Ashë, ashë ma v'i xëc, di aist s'avec frikë. 
LUK.12.6	A nu s'vind cinci puj ti doj prax? Sh ku-tutë-aca Dumëxë nu agërshështi içvërr di nësh. 
LUK.12.7	Sh perjë dit kap sënt tuc misurac. Tiaca nu v'i aspërac! Voj hjic ma skungj di mullc puj”.
LUK.12.8	“Mini us v'i xëk kë kajcëdo ci us spunë ti mini dininti a ômënjllu, sh Hjiju a Omu us spunë ti nës dininti a ëngjëllu a Dumëxë. 
LUK.12.9	Ma kaj m'i faci asha dininti a ômënjllu, shi Hjiju a Omu us'u fakë asha acell dininti a ëngjëllu a Dumëxë. 
LUK.12.10	Kaj greshti kondra ti Hjiju a Omu us'i hërxjastë, ma acell ci us o-ngrakë Sëmtul Duh, nu us'i hërxjastë.
LUK.12.11	Kënd s'vi pëtrakë pit sinagogi, dininti a ma mërëllu, ako nu v'i stinahorsic kë kum us zburrac shi ci us xëcec. 
LUK.12.12	Sëmtul Duh us v'i mvjacë kë ci us xëcec ako”.
LUK.12.13	Tu acell qëro un om i'j xësi: “Mvëcëtor, xëj a fratënju tas s'u parcë malla sh avera a nôstë ku mini”. 
LUK.12.14	Ma Jezus i'j xësi “Kaj m'jari bëgatë anjia dhiqigor tas parc aca ci avec voj, more om?” 
LUK.12.15	Dapoja ll'u xësi: “S'avec mintja! Vëgjacvë di cëdo tamaqarllëqi ti averi, kë bana a omu nu s'i spinxurë di avera a lluj.” 
LUK.12.16	Astumsëna ll'u spusi unë meselei: “Agërrë a unuj avutu fecerë mullt. Ashë ell mindui: 
LUK.12.17	‘Ci s'fak kë nu am ju s'o-dun gërru?’ 
LUK.12.18	Dapoja xësi: ‘Ja ci us fak: Us l'i asparg hëmbarili a njeli shi us fak ndau ma mër. Ashë us adun tu nësi tut gërru. 
LUK.12.19	Shi us i'j xëk a sufulltu a njell: Aj mulltë averi ti mullc anj. Zdëkurmëti, mëkë, bja shi hërësjati!’ 
LUK.12.20	Ma Dumëxë i'j xësi: ‘Teveqele! Di torasjara us t'u ja sufulltu. Ma aceli ci adunash a kuj us j'a rrëmënë?’ 
LUK.12.21	Ashë pat acej ci o-dunë avera ti nësh, shi nu s'fak avuc dininti a Dumëxë”.
LUK.12.22	Jezus ll'u xësi a dishepujllu a lluj. “Nu v'i fëcec mërak ti bana a vostë kë ci us mëkac, niki ti trupu a vost, kë ci us vështec. 
LUK.12.23	Bana esti ma skumpë di pënia ci mëkac, shi trupu esti ma skump di stranjli. 
LUK.12.24	Mutric pujë! Ej niki sjamënë, niki adunë, nu ar niki qilar, niki hëmbari, shi ku-tutë-aca Dumëxë i'j hërreshti. Ma voj hjic ma skungj di pujë. 
LUK.12.25	Kaj di voj ku tutë yzmetja ci i'j faci ali sënëtati us putja s'o-vdagë sh nihjamë bana a lluj? 
LUK.12.26	Ma kë voj nu putec tas fëcec un lluk ahtënt njik ka aist, këce bëgac mërak ti allanti? 
LUK.12.27	Vëdec kum kresk lëluçëli. Eli niki llukraxë, niki orxë, ma mini us v'i xëk kë sh Solomon, ku tutë mushutjaca a lluj nu ara mvëskut ka vërrë di nësi.
LUK.12.28	Ma kë Dumëxë mveshti jarba di këmp, ci azë esti sh mëni s'ja rrukë tu çërap, a nu us fakë ma mullt kështigë ti voj, ômënj ci nu pistusic? 
LUK.12.29	Sh voj nu bëgac stinahori kë ci us mëkac shi ci us bjec. 
LUK.12.30	Sënt paganëjë a shtëje dunei ci l'i kaft tuti aisti gjeji, ma Përintili a vost u shti kë tuti aisti lipsest ti voj. 
LUK.12.31	Këftac pisti tuti kratu a Dumëxë shi Ell us v'i l'i da sh aceli. 
LUK.12.32	Nu t'ja spari kupii njikë, kë a Përintëlu a vost j'arëseshti s'vu da avau kratu. 
LUK.12.33	Vindecu avera a vôstë shi dëdecu ti buniacë. Adunac ti voj avera ci nu us'i fakë veqi pote, sh adunac ti tu cerl averi ci nu us bitisjastë pote. Ako furru nu pôti s'ja prôqë, shi tenja nu pôti su mëkë. 
LUK.12.34	Kë ako ju esti avera a vôstë ako us hjibë sh inëma a vôstë.
LUK.12.35	Strinxec ijëli a vôsti ti lluk, shi cënec llambadhili a vôsti aprasi. 
LUK.12.36	Fëcecvë ka acej ci ashtjaptë domësu a llor, ci s'i tôrrë di pi numtë, tas i'j zhdikidë usha kit s'da pi nësë.
LUK.12.37	Hara di acej ysmeqar ci kënd jini domësu, i'j afllë zhdëpëtac. Shi ku tutë minti us v'i xëk kë ell us ll'u xëkë tas s'ja punë ti mëkari. Dapoja us jinë shi us ll'u fakë ysmeti.
LUK.12.38	Ma kë us jinë namësa di nôpti iti dimjaca ni apëritë gjini, shi us i'j afllë zhdëpëtac, hara di nësh! 
LUK.12.39	S'u shtic kë ma s'u shtja domësu ali kasi kë tu ci sati us vinia furru, nu us o-llësa tas i'j fura kasa. 
LUK.12.40	S'hjic etëm, kë nu u shtic kë kënd us jinë Hjiju a Omu.”
LUK.12.41	Pjetru i'j xësi: “Domne, aistë meselei u spunj ti noj ama ti tuc?” 
LUK.12.42	Astumsëna Jezus i'j xësi: “Kaj esti acell ysmeqar mintimen, shi ku besë, ci domësu a lluj ôri bëgatë pisti tuc ysmeqarjë allanc tas ll'u da ti mëkari tu satja ci lipseshti? 
LUK.12.43	Hara di acell ysmeqar ci kënd us jinë domësu us u afllë ashë pi lluk. 
LUK.12.44	Shi darihënja us v'i xëk, kë a shtëlluj yzmeqarru us j'u pistusjastë tutë avera a lluj. 
LUK.12.45	Ma kë aist ysmeqar mindueshti:
LUK.12.45	‘Domnu a njell ma s'ja mënë ti vineri’, shi ahurhjeshti s'batë ysmeqarjë allanc, mujer shi burbac, s'mëkë, s'bja shi si mbjatë, 
LUK.12.46	astumsëna domësu a shtëlluj ysmeqarru us jinë xua ci ell nu o-shtjaptë shi tu satja ci ell nu u shti, us'u tajë pi disa sh us'o-minë ako ju s'bagë acej ci nu pistusest. 
LUK.12.47	Acell ysmeqar ci u shti kë ci vra domësu a lluj, ma nu esti etëm s'fakë aca ci vra domësu, us'i batë mullt. 
LUK.12.48	Ma acell ci nu u shtja, shi feci steps greu, us'i batë ma pucën. Acelluj ci j'esti datë ma mullt, us i'j s'i kaftë ma mullt. Acelluj ci j'esti pistusitë mullt, us i'j s'i kaftë shi ma mullt.”
LUK.12.49	“Mini vinj tas aduk foku tu aistë dunei, sh kit mullt voj tas s'ja prindë! 
LUK.12.50	Am unë pëtëxari ci mezi o-shtjept tas mi pëtex. 
LUK.12.51	Naka vëhj minduic ci vinj tas aduk irini tu aistë dunei? Nu us aduk irini ma përcari. 
LUK.12.52	Di tora shi nëpoj ma kë tu unë kasë us hjibë cinci ish, us'i parcë tre kondra doj, sh doj kondra tre. 
LUK.12.53	Us'i parcë përintili di hjijësa shi hjiju di përintili, mësa di hjijësa shi hjija di mësa, sokra di mvjastë shi mvjasta di sokrë”.
LUK.12.54	Dapoja ll'u xësi ali mileti:
LUK.12.54	“Kënd vëdec norru ci s'i skôllë këtu skapërë sôrrë, voj di-unôrë xëcec kë us kadë plloji, shi ashë s'faci. 
LUK.12.55	Kënd vëdec ci sufllë vimtu di jugë, voj xëcec ci us fakë mulltë këllduri, shi ashë s'faci. 
LUK.12.56	Munafic! Aceli ci s'fak tu dunei shi tu cerl voj, shtic tas l'i aduqic, ma kum nu shtic tas aduqic qërollu ci noj ma bënëm?”
LUK.12.57	Këce nu mintuic ishish kaj esti ndreptjaca? 
LUK.12.58	Ma kë esht nqësit kala ti lla dhiqigoru dadun ku nivrutu a tëll, çukutjati tas t'i jaj di hëbari ku nës di kala, ci kënd s'nex lla dhiqigoru, ell s'nu t'i parada lla xhandarru shi ell s'ti hjigë tu hapsani. 
LUK.12.59	Mini us'ic xëk kë nu us esh di ako ni pulltitë pën di unë.
LUK.13.1	Tu aist qëro vinërë ndoj ômënj lla Jezus shi i'j spusërë ti galileasjë ci sënxëli a llor Pilat o-vja mëstëkat ku sënxëli di kurbani. 
LUK.13.2	Jezus i'j tërbë: “Kum mintuic kë galileasjë ci pëcarë aistë gjëji, ara nkërkac ma mullt ku amartii di galileasjë allanc? 
LUK.13.3	Us v'i xëk ci, ma kë nu us v'i fëcec pishmani ti amartiili a vôsti, us u pëcac tuc ashë ka ej. 
LUK.13.4	Ma ti acej optuspërxacëjë ci ll'u gëxu kulla a Siloam, sh i'j vëtëmë, v'i nexi mintja ci avja steps ma mullt di allanc ômënj, ci bëniaxë tu Jerusalem? 
LUK.13.5	Nu! Us v'i xëk, ma kë nu v'i fëcec pishmani us pëcac tuc ka acej”.
LUK.13.6	Dapoja Jezus spusi aistë meselei: “Un ôm avja un pom di hjik sëmënat tu agërru a lluj. Vini tas kaftë hjici pi nës, ma nu afllë. 
LUK.13.7	Astumsëna i'j xësi a baçevanu: ‘Am vënitë tre anj pja radhë tas jau hjici di aist pom, ma ninga nu am afllatë cëva. Taju! Këce s'a kacë biloku xhaba?’ 
LUK.13.8	Baçevanu ju turrë: ‘Domne, allasu sh aist an, tas i'j fak ysmeti, shi s'ja min kurpëji, 
LUK.13.9	kë vëhj faci hjici anu ci jini. Ma kë nu faci, taju’”.
LUK.13.10	Unë sëmbëtë Jezus ma mvëca ômënjjë tu unë sinagogë. 
LUK.13.11	Ako ara shi unë mujeri, umpllutë di un sufullt ci o-vja cënutë optuspërxaci di anj kurrusitë. Ija nu putja tas stëtja ndrept. 
LUK.13.12	Jezus u vëxu, i'j gri shi i'j xësi: “Mujeri, esht skëpatë di llëngôra a ta”.
LUK.13.13	Kënd bëgë mëna pi nësë, ija s'i ndreptë shi ahurhji tas allavdë Dumëxë. 
LUK.13.14	Ma marrë ali sinagogi s'i nërri ci Jezus vindëkë sëmbëta, tiaca ll'u xësi a ômënjllu: “Sënt shasi xëli ci omu pôti s'llukraxë. Aisti xëli ajdic tas v'i vindëkac, nu sëmbëta.”
LUK.13.15	Astumsëna Jezus ju turrë: “Psematar! Nu u zdelëgac kathi di voj bou shi gumarru dit grazhdi sëmbëta, shi o-ducec si'j dac apë? 
LUK.13.16	Aistë mujeri ci esti hjijë di'a Abraham shi ci Satan ôri lëgate optuspërxaci di anj, nu prindi s'i zdëlagë di aisti hjarrë unë xuë ka kum esti sëmbëta?” 
LUK.13.17	Kënd xësi aisti Jezus, tuc acej ci ara kondra ku nës, s'ja rrushunarë shi tuc ômënjjë s'hërësirë ti aisti llukëri buni ci fëcja Ell.
LUK.13.18	Astumsëna Jezus xësi: “Ku kaj unxeshti kratu a Dumëxë? Kum pot s'vu spun? 
LUK.13.19	Ell unxeshti ku sëmica di sinap ci un om u llo shi u sëmënë tu agur. Sëmica kërsku shi s'feci pom, shi pujë a cerlu fecërë kubajur pit dexli a lluj” 
LUK.13.20	Jezus xësi napoj: “Kum pot s'vu spun kratu a Dumëxë? 
LUK.13.21	Ell unxeshti ku allôtu ci u llo unë mujeri, u mëstëkë ku tre masë di frinë, pën kënd vini tut allôtu.”
LUK.13.22	Kala ti Jerusalem, Jezus tërku pit hor shi kasabai, shi mvëca ômënjjë. 
LUK.13.23	Un om u tërbë: “Domne, a sënt pucënj acej ci us'i skapë?” Astumsëna Jezus i'j xësi:
LUK.13.24	“Çukuticvë s'intrac pit usha strrimtë, kë us v'i xëk, ci mullc us'i çukutjastë s'intrë, ma nu us pôtë. 
LUK.13.25	Ma kë domësu ali kasi esti skullat, shi ari nkisë usha, sh voj stëtec nafôrë, dëdec pi ushë sh xëcec: ‘Domne, zhdikidënë usha!’, ell us v'i xëkë: ‘Nu u shtiu di këtu vinic.’ 
LUK.13.26	Astumsëna us ahurhjic s'xëcec: ‘Noj avem mëkatë sh avem bjutë ku tini, sh tini n'i aj mvëcatë tu padi’. 
LUK.13.27	Ma ell us v'i xëkë: ‘Nu u shtiu di këtu vinic. Dëpërtacvë di mini tuc voj ci fëcec llukëri anapudhi’. 
LUK.13.28	Ako us ajbë pllënxeri shi ômënj ci us strringë dincjë, kënd s'vëdec Abraham, Isak shi Jakob dadun ku profecjë allanc tu kratu a Dumëxë, sh avau us v'ja rrukë nafôrë. 
LUK.13.29	Dapoja us jinë di na ndrapta sh di na stënga, di sus, sh di hjima, shi us mëkë tu kratu a Dumëxë. 
LUK.13.30	Shi ja, apusjë us s'ja nallcë nxjanë shi acej ci sënt prota us hjibë tu fund”.
LUK.13.31	Ndoj farisenj vinërë shi i'j xësërë a Jezus: “Dëpërtjaxëti di aô, kë Herod vra s'ti vatëme”. 
LUK.13.32	Shi Jezus ll'u xësi: “Fuxic sh xëcecij acëje vulpi: ‘Ja, mini us aurr djavujë sh ma vinduk azë shi mëni. Dupi tre xëli us'u bitisest llukurru a njell. 
LUK.13.33	Shi ku-tutë-aca, azë, mëni sh pujmëni mini us trek tu kala a mja, kë nu esti tu ndreptjacë ci un profet s'i vatëmë nafôrë di Jerusalem’. 
LUK.13.34	Jerusalem, Jerusalem, tini ci vacinj profecje sh ku shkëmbi vacinj pëtërkucjë a Dumëxë! Kit or am vrutë tas s'ij adun evlatëjë a tëj, kum adunë klloçka pujë a je sum brace, ma voj nu vrat. 
LUK.13.35	Ja kasa a vôstë us arrëmënë shkretë. Mini us v'i xëk kë nu us m'i vëdec më pën s'xëcec: ‘S'ajbë rucënjli acell ci jini pi numa a Domnu’”.
LUK.14.1	Unë xuë Jezus nesi tas mëkë tu kasa a unuj di ma mërjë a farisenjllu, shi ej ma u bëga ôrë mullt. 
LUK.14.2	Qandra ku Jezus stëtja un om ci ara llënxut ku llëngôra ali hidropizi. 
LUK.14.3	Jezus i'j tërbë dhaskalënjjë a nomlu a Moisiu, shi farisenjjë; “O-prôqë nomlu a Moisiu ci, pôti s'vindic sëmbëta ama nu?” 
LUK.14.4	Ma ej nu grirë. Astumsëna Jezus bëgë mëna pi llënxëtu, u vindëkë shi o-llësë s'fugë. 
LUK.14.5	Dapoja ll'u xësi a llor: “Kaj esti acell ci ma s'i'j këdja cilëmanu iti bou tu pus sëmbëta, nu us u skutja di-uôrë?” 
LUK.14.6	Ej nu putja s'i'j turra xhuvapi.
LUK.14.7	Jezus bëgë ôrë, kë kum acej ci ara akjëmac, alëxja bëlokërrë ma buni, sh llu spusi unë meselei. 
LUK.14.8	“Kënd t'ja kjamë pi numtë, nu t'ja punë tu biloku ma bun sh alept, kë vëhj esti akjëmat vërr ma tinjësit di tini, 
LUK.14.9	sh acell ci v'jari akjëmatë dojë, pôti s'jinë shi s'ic xëkë: ‘Allasëju aist bilok ashtëlluj’. Shi astumsëna, arrushënat us akac biloku ci esti tu fund. 
LUK.14.10	Ma kënd s'tja kjamë, fux sh apunëti tu biloku di fund, ci kënd s'jinë acell ci t'jari akjëmatë sic xëkë: ‘Ôspi, hajdi ma sus!’ Shi ashë us esht tinjësit di tuc acej ci sënt tu trapezë ku tini. 
LUK.14.11	Kë acell ci o-nallcë sinia a lluj, us'i apunë, shi kaj o-punë sinia a lluj us hjibë tinjësit” 
LUK.14.12	Acëlluj ci ara akjëmat Jezus i'j xësi: “Kënd s'ashtjerr vërr prrënx, iti vërrë cinë, nu akjamë ôspëcjë a tëj, fracjë, kusurinjjë a tëj, iti gjitonëjë avuc, kë us'ic nagë mintja ci sh ej us t'ja kjamë shi ashë esht llat. 
LUK.14.13	Ajumtra, kënd s'ashtjerr vërrë gostii, akjamë ômënjjë fukërenj, kurrusicjë, shqopënjjë shi orgjë. 
LUK.14.14	Astumsëna us esht mullt hërësit kë ej nu us ajbë ku ci s'tu torrë, shi tini us jaj ruçënjli shi pulltera tu injjara a ndreptëllor”.
LUK.14.15	Un di akjëmacjë, ci l'avja avxatë tuti, i'j xësi a Jezus: “Hara di acell ci mëkë pëni tu kratu a Dumëxë!” 
LUK.14.16	Ma Jezus i'j xësi: “Un om ashtërrë unë gostii mari, shi akjëmë mullc ômënj. 
LUK.14.17	Kënd vini qërollu ali cini pëtërku ysmeqarru a lluj tas ll'u xëkë acëllor ci avja akjëmatë: ‘Hajdic kë tuti sënt etëmi.’ 
LUK.14.18	Ma tuc un dupi allant ahurhjirë tas afllë sebepi tas nu nëxja. Un di prota i'j xësi: ‘Am kupuratë unë bukatë di agur, shi prindi s'neg tas u ved. C'fak rixhai s'mi hërxesht!’ 
LUK.14.19	Un allt xësi: ‘Mini am kupuratë cinci pëjur di boj, shi us neg tas i'j ved kum llukraxë. C'fak rixhai s'mi hërxesht!’ 
LUK.14.20	Un allt xësi: ‘Kit est surat, tiaca nu pot s'jin.’ 
LUK.14.21	Shi ashë ysmeqarru s'turrë shi i'j xësi a domësy ti tuti. Astumsëna domësu ali kasi s'nërri, shi i'j xësi a ysmeqarru a lluj: ‘Esh di-unarë pit këjur shi pit pëx ali kasabai sh adu aô tuc fukërenjjë, kurrusicjë, qorrjë shi shqopënjjë.’ 
LUK.14.22	Shi ysmeqarru i'j xësi: ‘Domne, fecum kum ni xësesh, ma ari ninga bilok.’ 
LUK.14.23	Astumsëna domësu i'j xësi a ysmeqarru: ‘Esh nafôrë pit këjur shi pit rrux, shi jaj ômënjjë nunt ku force, tas s'i umpllë kasa a mja.’ 
LUK.14.24	Mini ma v'i xëk: ‘Içvërr di acej ci ara akjëmac nu us mëkë di cina a mja’”.
LUK.14.25	Jezus ma o'shtërra mullc ômënj, ma Ell s'turrë sh ll'u xësi: 
LUK.14.26	“Kaj jini dupi mini sh nu o-llasë diunë-parti tatësu sh mësa, mujera shi cilëmanjjë, fracjë shi surërrë shi bana a lluj, nu pôti s'hjibë dishepullu a njell. 
LUK.14.27	Kaj nu u ja kërucja a lluj tas jinë dupi mini, nu pôti s'hjibë dishepullu a njell. 
LUK.14.28	Kaj di voj, ci vra tas skôllë unë kasë, nu s'ja punë ma ninti s'fakë esapja, tas vjadë, ari ama nu ari prax kit s'u bitisjastë kasa? 
LUK.14.29	Ajumtra, ma l'ari amënatë themejurrë sh nu pôti s'u bitisjastë, acej ci u ved us ahurhjastë s'i arrëdë ku nës, 
LUK.14.30	shi us xëkë: ‘Aist om ahurhji tas skôllë kasa, ma nu fu xhoni s'u bitisjastë’. 
LUK.14.31	Kaj vësëjë, kënd nqiseshti tas fakë polum ku un allt vësëjë, nu s'ja punë ma ninti tas s'i minduastë, a pôti ell ku xaci njijë di ish s'i'j fakë ballë acëlluj ci jini ku jinjic njijë? 
LUK.14.32	Ma kë nu pôti, i'j pitreci ndoj ômënj di alluj, tas i'j kaftë irini, kënd allant esti ninga dëparti. 
LUK.14.33	Tiaca içvërr di voj nu pôti s'i fakë dishepullu a njell, ma kë nu strraxi mënë di avera ci ari”.
LUK.14.34	“Sara esti bunë, ma, ma u qëru nostëmadha, kum pôti s'u tôrrë dot? 
LUK.14.35	Nu faci më niki ti llok, niki ti kurpëi, ma gôllë ti arrukari. Kaj ari ureq, as avdë”.
LUK.15.1	Tuc acej ci aduna xhelepja shi acej ci fëcja amartii, ma s'ja purqa ningi Jezus tas avxa.
LUK.15.2	Farisenjjë shi skribënjjë xhuduka shi xëcja: “Aist aprôqë acej ci fak amartii, mëkë shi bja ku nësh.” 
LUK.15.3	Astumsëna Jezus ll'u spusi aistë meselei: 
LUK.15.4	“Kaj di voj ci, ma s'ajbë unësutë di oj, sh unë di nësi qeri, nu us l'i allasë nauxëc i nau oj tu padi tas kaftë aca ci ari qërutë pën s'u afllë? 
LUK.15.5	Shi kënd u afllë, u ja pi numëri mullt hërësit. 
LUK.15.6	Kënd si tôrrë akasë, adunë ôspëcjë a lluj, shi kusurinjjë sh llu xëci: ‘Hërësicvë ku mini kë o-fllaj ôja ci nj'avja qërutë.’ 
LUK.15.7	Mini ma v'i xëk kë ashë esti shi tu cerl. Ako ari ma mulltë hërau ti un amartios ci esti fapt pishmani, dipi ti nauxëc i nau ndrepc ci nu ar ti ci s'i fakë pishmani”.
LUK.15.8	“Shi napoj, ma kë unë mujeri ari xaci monedhi di asimi, shi unë i'j qeri, a nu nexi s'aprindë unë këndillë tas fakë llunjinë pit kasë, tas u kaftë pën kënd s'u afllë. 
LUK.15.9	Shi kënd u afllë, ll'u greshti a sôcëllu a je shi a gjitonëllu, shi ll'u xëci: ‘Hërësicvë ku mini, kë o-fllaj përëllu ci nj'avja qërutë.’ 
LUK.15.10	Mini ma v'i xëk: ‘Ashë s'hërësest shi ëngjëjë a Dumëxë ti un qërut ci s'tôrrë, shi s'faci pishmani’”.
LUK.15.11	Dapoja Jezus xësi: “Un om avja doj fiçor. 
LUK.15.12	Ma njiku i'j xësi a tatësu: ‘Tate, dënj pjesa ali averi ci nj'tukueshti’. 
LUK.15.13	Dupi ndau xëli fiçorru acell njiku adunë pleçkëli ci avja shi fuxi tu un bilok allt, dëpërtos. Ako ell o-dusi qërutë avera a lluj kë fëcja unë banë fërë namustrë. 
LUK.15.14	Shi kënd l'asparsi tuti, tu acell bilok gëxu unë urfanjë ti pëni, shi ell arrëmasi fërë cëva. 
LUK.15.15	Astumsëna nesi shi afllë lluk lla un om di aca kasabai, shi aist u petërku tas pashtë porrcjë. 
LUK.15.16	Ako us vra tas s'i hërra ku ginduri ci mëka porrcjë, ma içvërr nu i'j dëdja. 
LUK.15.17	Ell s'ja duqi shi xësi: ‘Mullc di acej ci llukraxë lla tati a njell, ar pëni kit ll'u tupureshti, sh mini aô ma mor ti pëni. 
LUK.15.18	Us m'i skoll shi us neg lla tatënju, shi us i'j xëk: Tate, mini am faptë llath mari dininti a cerlu shi dininti a tau. 
LUK.15.19	Nu i'nj tukueshti tas est hjiju a tell. Cënëmi ka un di acej ci llukraxë lla tini.’ 
LUK.15.20	Ashë nqësi shi nesi lla tatësu. Ma kënd ara ninga dëparti, tatësu u vëxu shi i'j vini rrëu ti nës, s'i siligji kiti nës, o-vërti tu bracëli a lluj shi u bëshë. 
LUK.15.21	Astumsëna hjijësu i'j xësi: ‘Tate, mini am faptë amartii dininti a cerlu shi dininti a ta. Nu i'nj tukueshti tas est hjiju a tëll.’ 
LUK.15.22	Ma tatësu ll'u xësi a ysmeqarëllu: ‘Aducec ntrôrë stranjli ma buni shi mvështecu. Bëgaci'j tu xedut nellu shi tu çëçôri sandalili. 
LUK.15.23	Lloc viçu ma bun shi tëjacu. S'mëkëm shi s'fëcem daveti, 
LUK.15.24	kë aist hjiju a njell ara mort shi injjë, avja qërut shi s'ja fllë!’ Shi ahurhjirë s'hërësjastë. 
LUK.15.25	Fiçorru a lluj, ma marrë ara tu agur. Kënd vini, shi s'ja purqë di kasë, avxë tëmpinj sh xhok. 
LUK.15.26	Dapoja i'j gri a unuj di ysmeqarjë shi u tërbë, ci ma s'fëcja. 
LUK.15.27	Ell j'u turrë: ‘Ari vinitë fratëtu, shi tatëtu ari tëjatë viçu ma gras, kë ell esti turrat gjini sh ku sënëtati.’ 
LUK.15.28	Astumsëna ell s'nërri, sh nu vra s'intra nunt. Tatësu ishë nafôrë tas i'j fëcja rixhai s'intra n'kasë, 
LUK.15.29	ma ell ju turrë: ‘Mini am llukratë ka ysmeqar tuc aiç anj ti tini, shi nu c'ôm turratë zbôrru içvërrorë, sh ku-tutë-aca, tini nu nj'aj datë niki un ed tas fak daveti ku ôspëcjë a njej. 
LUK.15.30	Shi tora, ci s'turrë hjijëtu, acell ci o-sparsi tutë avera a ta ku putanili, tëjash ti nës viçu ma gras.’
LUK.15.31	Dapoja tatësu i'j xësi: ‘Hjij, tini esht totëna ku mini, shi tuti aisti ci am mini sënt sh a tëli. 
LUK.15.32	Ma noj prindi s'fëcem gostii, shi s'hërësim kë fratëtu ara mort shi s'turrë tu banë, avja qërut shi s'afllë’”.
LUK.16.1	Dapoja Jezus ll'u xësi a dishepujllu a lluj: “Un avut avja bëgatë tas i'j vëgja avera a lluj, un om ci o-mënë tu gjyqi, kë j'avja aspartë avera a domësu. 
