GEN.1.1	Atankih ching Thrünpuhnü thüningbo tüsho alomi thrün. 
JON.1.16	Judüki mihtsürübonü alü 
JON.1.17	Tüshe 
JON.2.1	Judüki Jonanü thüngüh buk chingnü 
JON.2.2	“ Inü I lümthsünü chingnü 
JON.2.2	tüsho apinü I ki alojih;
JON.2.2	Ashe-lomi asük chingnü inü zhi,
JON.2.2	tüsho nünü I düsheak so.
JON.2.3	Nünü I ketobo asük phulung ching jipyuk,
JON.2.3	tüsho kekingnü I mükamdo;
JON.2.3	nü abükkhi alala tüsho keto-bukkhi I kheaknü lungho.
JON.2.4	Judüki inü tha, ‘ I nü mikinü limshude tsoshihdo,
JON.2.4	küde thsah inü nü amüsüh arüngyam kheak kheahloba?’
JON.2.5	Kebonü I kurung zhidoabah; asüknü I mükamdo;
JON.2.5	kenipbonü I ku mükamde hingdo.
JON.2.6	I a müzüng yingbo ching, lünnü chipi rihkhi lomi ching yüzah;
JON.2.6	tütüshe nünü alokhün chingnü I rhangdung bekhit,
JON.2.6	O 
JON.2.7	I rhangdung keamyukde atsochoki,
JON.2.7	inü 
JON.2.7	tüsho I tamkhüntamnü, nü amüsüh arüngyam ching arü.
JON.2.8	Sherünü akeangkeang sangthsübo kingaünchonü nü ki arü thiyuro bahyukdo.
JON.2.9	Tüshe inü makshe-jihkhi düsheaknü nü ki laksah-a kingaünbah;
JON.2.9	tümü inü thiyuchihchimkheanü inü ajihbah.
JON.2.9	Akhümkhitpü ju 
JON.2.10	Judüki 
JON.3.2	“Asürang, kiuto ato Nineve lim yüang, tüsho inü nü ki thakhi thiyusheak ju ching zhiyukang.” 
JON.3.3	Jumonü Jonanü 
JON.3.4	Jonanü nimung khülang tsahde kiuto ching yüzahpü tsahmusu. Tüsho apinü zhi, “ Nimung yirü labah Nineve thsümünimbah!” 
JON.3.5	Tüsho Nineve mihtsürübonü Thrünpuh kin; arünü khümkeak thsüpü zhiyuk tüsho mihbüm aban ato tüsho anininü shungliukhim phuyu.
JON.3.6	Küyimki thiyusheakbo ju Nineve kiulongthsüpuh khiungkhea, apinü anihbuh kiulongthsü-binkiu chingnü asürü, api shulünkhim yihkhit, shungliukhimnü anihbuh lüpdo, tüsho awah ching bin. 
JON.3.7	Judüki apinü Nineve ching zhiyukkhi khülang lakheah: “ Kiulongthsüpuh tüsho api yo atorübo yuzüng hode: Mihtsürü yungsho shiwüh, moshi yungsho mihnunü tümü she mütsühake. Arübo müyimkip, yungsho arünü ke muyung. 
JON.3.8	Mihtsürübo tüsho shiwühbo shungliukhim phuyubah, tüsho arünü sühmüh lade Thrünpuh ki zhibah. Alalanü arü amütsü limrobo tüsho athsümünim chingnü arholobah. 
JON.3.9	Shenü mükheahla? Thrünpuhnü lümalobah tüsho api lüm müthribah; api buk müshakde akhiukkhi chingnü apinü atuklobah, junangde isa müdükheak.”
JON.3.10	Küyimki arünü arhimokhi, arü amütsü limrobo chingnü rholokhi Thrünpuhnü angükhea, apinü arü kheak thsümütsü hande arüpü thakhi Thrünpuhnü api lüm müthri; tüsho apinü ju mürhimo.
JON.4.1	Tüshe ha Jona ki khide masühbe lakheah, tüsho api bukakhiukde kam. 
JON.4.2	Apinü 
JON.4.3	Tüsho kheakü, O 
JON.4.4	Tüshe 
JON.4.5	Judüki Jona nü kiuto chingnü wukhiuk tüsho kiuto aniakhiuklim bin, tüsho anihbuh thsungkheak ju ching yünshim khülang thsü. Kiuto ju tümü kambanü kheahde aleangpü, apinü ju alamme khüp bin.
JON.4.7	Tüshe küyimki ashidopü yapsu kamkhea, Thrünpuhnü ari arüshihbah sangrung müjakabahshih, junangde ju yiuhabah. 
JON.4.8	Küyimki ani akhiukkhea, Thrünpuhnü aniakhiuklim pung atak khülang thsakham, tüsho aninü Jona ku kheak thsahkih, junangde Jona lungabah tüsho apinü ashepü kün. Apinü tha, “ I alapü kheaknü ashekhi lang atsübe ah.”
JON.4.9	Tüshe Thrünpuhnü Jona ki tha, “Sangrung dünkheaknü nü bukakhiukpü alim la de?” Tüsho apinü alo, “Am, ashepü bukakhiukchoh.” 
JON.4.10	Judüki 
JON.4.11	Dale küdükhüh inü ju kiuto ato Nineve kheak amuzho mülapü. Ju ching amülim mülakhi mihtsürübo 120,000, tüsho shiwühbo she ahihdo lah!”
MIC.1.1	Juda kiulongthsürübo Jotham, Ahaz tüsho Hezekia nimungbo ching apinü Samaria tüsho Jirusalem dünkheak ngükhi Moreshethrü Mika ki arükhi 
MIC.1.2	Soang, nüsa mihtsürü alala;
MIC.1.2	aniang, O alomi, tüsho ju ching lakhi alala;
MIC.1.2	tüsho Atungpuh 
MIC.1.2	nüsa azhihkhi thiyumütsan labah.
MIC.1.3	Tümüde kheahang, 
MIC.1.3	tüsho akibahle alomi achang dangpungbo kheak jungbah.
MIC.1.4	Judüki mo phünide thürip lakhi nangde,
MIC.1.4	kebonü awung zünkheamkhi nangde api khüp müzüngbo niubah tüsho jindükhünbo zhibeakbah.
MIC.1.5	Ha alala Jakobnü alakmihkhi thsungkheaknü tüsho Israel yamkhün neakbo thsungkheaknü ah. Jakobnü alakmihkhi ju tümü a? Ha Samaria yung de? Tüsho achang dangpung tümü a? Ha Jirusalem yung de? 
MIC.1.6	Jumonü inü Samaria ju mükeak ching kurungaso yangpü dangpung amujung kamshihbah. Inü anihbe lungbo jindükhün ching zünde yükishihbah, tüsho anihbe khimtanbo lahkhitjihbah. 
MIC.1.7	Anihbe mejakbo alala adütre kamde kingnakbah, anihbe arüngyam mihkhah-mulokhi alala monü atakbah tüsho anihbe sangthsübo alala thsümünimbah; tümüde anihbenü müzammüramkhi mihkhahnü jurü hanmukhung, tüsho müzammüramkhi mihkhah nangde jurübo ahorilobah.
MIC.1.8	Ha thsungkheak I tüzhobah tüsho mitripbah; inü I jing keangkeang tüsho bünkeang yübah; inü shirungbo nangde tüzhobah, tüsho lothsuktopübo nangde mulong rozhakbah. 
MIC.1.9	Tümüde anihbe mü müthsüngube lah. Ha Juda ching arüdo; ha I mihtsürü, Jirusalem chipiripit khiungdo.
MIC.1.10	Ha Gath ching dütha, judü lang midütrip; Beth-ophra ching nüsabonü asungthulung ching awuhang. 
MIC.1.11	Shaphir ching larübo, bünkeang tüsho achih ngüde nüsa limro ching yüang; Zaanan ching larübo mikhuh ching marü; Eth-ezel mulong rozhakchoh tüsho atsunglobe nüsa kheaknü alubah. 
MIC.1.12	Tümüde Maroth ching larübonü arung thsungkheak mulong dukde aleanglah, tütüshe thsümütsü 
MIC.1.13	Nüsa Lakish ching larübo, khorabo ju khora-lolungbe kheak chingkihang; ha Zion kilim neak atankih lakheah, tümüde nüsa kheak Israelnü alakmihkhibo ngükhit. 
MIC.1.14	Jumonü nüsanü Moresheth-gath kilim achamachih thsambahbo jihang; Akzib yamkhün ju Israel kiulongthsürübo kilim mülapmüjikhi labah.
MIC.1.15	Maresha ching larübo, inü kheaküshe nüsa kheak akuk ngükhi hande arübah; Israel müretahkhi Adullam ching arübah. 
MIC.1.16	Nüsanü asühkhi tsührübo thsungkheak tüzhode kuyü hütang; nüsanü müleangtopü nangde rakrak hütang tümüde arübo nüsa kheaknü ramtso ching yüdo.
MIC.2.1	Sherünü arü yapkiu kheaknü mihbukmuyuk tüsho amütsü rhimo lümkhi thsüchonü ayokhe! Küyimki yinkhibanü, arünü ju asahchoh, tümütüsho ju arü wu ching lah. 
MIC.2.2	Arünü thulubo lunechoh, tüsho jurübo jangkhichoh; thüyambo she lude tsochoh; arünü thüyam putungrü tüsho thüyam, mihtsürü tüsho arü yamrüplurüp junochoh.
MIC.2.3	Jumonü 
MIC.2.4	Ju nimung arünü nüsa azhihde korak-khün thsübah, tüsho khühde tüzhokhinü mulong rozhakbah, tüsho athabah,
MIC.2.4	“ Isa shahde thsümünimdo;
MIC.2.4	künangde apinü ju I kheaknü luakhinkhea!
MIC.2.4	Isa ramrü kilim apinü isa lubo chama jihdo.”
MIC.2.5	Jumonü 
MIC.2.6	“Düthsangyuthsangra” arünü hade thsangyuthsangrachoh– “ Khürünü hadürü thsangyuthsangra müthsübeah; mihmüthsüm mülakhinü isa müyanphuh.” 
MIC.2.7	Ha athabea de, O Jakob yamkhün? 
MIC.2.8	Tüshe nüsanü thiriri nangde I mihtsürü azhihde wusudo; nüsanü thirithsüpü tümü mülümde atsahrü kheaknü shulünkhim züngkhia ludo. 
MIC.2.9	I mihtsürü liberübo arü yambo atsü chingnü yankhitdo; arü tsührü athunu chingnü nüsanü lünnü I müretah lude tsodo. 
MIC.2.10	Asürang tüsho yüang; tümüde ha sühakhim dangpung yung, tümütüsho mümüsühkhinü ha khitode thsümünima lah.
MIC.2.11	Khürünü akeangyu thade arüsho, “ Inü nüsa ki suhdahkhi yukhu tüsho ayungbe dünkheak müchitbah,” api ju ha mihtsürü thsungkheak wukihrü lakhi labah!
MIC.2.12	Inü tsükjide nüsa alala bemukhungbah, O Jakob, inü Israel arhang larü bemukhungbah; inü arübo rimlopung ching namfimihnu boto nangde, ayam ching bemukhungbah; ju mihtsürünü mide akambah.
MIC.2.13	Shepünü lakashungchonü arü müngüh yübah; arünü lakashungbah tüsho chipiripit hode junü awukhiukbah. Arü kiulongthsüpuh arü müngüh yübah, 
MIC.3.1	Tüsho inü tha: Aniang, nüsa Jakob akuthsürübo tüsho Israel yamkhün yakzanshuhrübo! Nüsanü thiyuro mümükheahbea de?– 
MIC.3.2	nüsa sherünü atsü thraneancho tüsho amütsü muzhocho, sherünü I mihtsürü küp tüsho arü robo kheaknü shihtsü khukkhicho; 
MIC.3.3	sherünü I mihtsürü shih tsühcho, arü küp khukkhicho, arü robo adütre kamde yihnakcho, tüsho dubo le phühto ching lakhi shih nangde khapthünakcho. 
MIC.3.4	Judüki arünü 
MIC.3.6	Jumonü michih mülade nüsa azhing labah tüsho akhiuka huhkhi mülade nüsa ki mitingbah. Wukihrübo kheak ani yüzahbah tüsho arü kurungkheak nimung amürak labah; 
MIC.3.7	angürübo mungchihbah, tüsho müchitrü achih ngübah; arü alalanü arü münküp muhiudobah, tümüde Thrünpuh kilimnü alojihkhi müla.
MIC.3.8	Tüshe I thsungkheak a, Jakob ki apinü alakmihkhi tüsho Israel ki api neak thapü, I kheak wu, 
MIC.3.9	Ha aniang, nüsa Jakob yamkhün limberübo tüsho Israel yamkhün yakzanshuhrübo, sherünü thiyuro thraneancho tüsho alim alala bephülapcho, 
MIC.3.10	sherünü thiyih bukkhinü Zion thsücho tüsho amülimnü Jirusalem thsücho! 
MIC.3.11	Yakzanshuhrübonü buknim dün mahkhapchoh, amükeamrübonü adün mo thsangyuchoh, wukihrübonü sho mo müchitchoh; tütüshe arünü 
MIC.3.12	Jumonü nüsa dünkheaknü thulu nangde Zion wochakbah; Jirusalem ju athsümünim mujung kambah, tüsho arüngyam wung ju murung kambah.
MIC.4.1	Arübe nimung ching 
MIC.4.1	tüsho awungbo kumung shuhkihbah.
MIC.4.1	Mihtsürübonü ju kheak shobah,
MIC.4.2	tüsho trükshih ahihdonü arübah tüsho athabah:
MIC.4.2	“Arang, isanü 
MIC.4.2	Jakob Thrünpuh yam ching wutuanü;
MIC.4.2	junangde apinü isa ki api limrobo thsangyubah tüsho isanü api tsahpungbo ching tsahbah.”
MIC.4.2	Tümüde Zion chingnü thsangdankhi,
MIC.4.2	tüsho Jirusalem chingnü
MIC.4.3	Apinü mihtsürü ahihdo dükeak mahkhapbah,
MIC.4.3	tüsho limshu ching sühmüh lakhi trükshihbo dükeak alim-amülim mokhitbah;
MIC.4.3	arünü nukshangbonü thuwuhbo kingbah,
MIC.4.3	tüsho arü thsühbonü hirhüpbe kingbah;
MIC.4.3	trükshihnü trükshih azhihde nukshang mushuhkih,
MIC.4.3	arünü kheaküa thirithsüpü mümükheahde alabah;
MIC.4.4	tüshe arü alala arü nihbuh kurungaso tüsho khubasodung khüp binbah,
MIC.4.4	tüsho shenü arü mütreshih;
MIC.4.4	tümüde Wuto 
MIC.4.5	Mihtsürü alalanü nihbuh thrünpuh mung ching tsahchoh, tüshe isanü 
MIC.4.7	Inü jingkikrübo aninga larü kamshihbah, tüsho yanyuka bahrübo, sühmüh lakhi trükshih kamshihbah; tüsho 
MIC.4.8	Tüsho nü, O namfimihnu aheangsadam, Zion wung, akhuhlim yakzan shuhkhi nü kheak arübah, Jirusalem kheak kiulongthsü arübah. 
MIC.4.9	Kheakü tümüde nünü achangnü zhicho! Nü lung kiulongthsürü müla de? Nü lümthiyan-jihrü dükheakbah aliberü thsünükhi nangde nü thsünüla de? 
MIC.4.10	O Zion mihtsürü, aliberü thsünüchoki nangde kolahang tüsho asheang; tümüde kheakü nü kiuto chingnü ayübah tüsho mükeak ching binkheambah; nü Babilon lim yübah. Ju ching nü bekhitbah, ju ching 
MIC.4.11	Kheakü trükshih ahihdo nü azhihde mukhungbah thachoh, “Anihbe müneanshang, tüsho isa mükbonü Zion kheak kheahshang.” 
MIC.4.12	Tüshe arünü 
MIC.4.13	Asürang tüsho nitang, O Zion mihtsürü, tümüde inü nü juh yinchi tüsho nü biuo müwayinchi kamshihbah; nünü mihtsürü ahihdo adütre kamde akingbah, tüsho arü yo ahühkhi lakhit 
MIC.5.1	Jirusalem mihtsürü, nüsa thirithsürübo bemukhungang! Isa yandoa lah! Arünü Israel limberü müchip kheak tsonü rhapchoh.
MIC.5.2	Tüshe nü, O Bethlehem Ephratha shepü Juda gukbo ching aninibe la, nü kheaknü I thsungkheak Israel ching yakzan shuhpü arübah, shepü ying awün chingnü, jipü nimungbo chingnü la.
MIC.5.3	Jumonü thsünüde alakhi liberünü müzübeyi kim khiungde apinü arü bahyukbah; jushu aningkhi api keoniorü Israel mihtsürü kilim alode arübah. 
MIC.5.4	Api azhipbah tüsho 
MIC.5.5	tüsho api ju mungtsü khülang labah.
MIC.5.5	Mürangkhüh Asiriarü isa lomi ching azahsho tüsho isa lo kheak jungsho, isanü isa limberü sühmüh larü arü bede keochihshihpü yüshihbah. 
MIC.5.6	Arünü Asiria lomi nukshangnü, tüsho Nimrod lomi nukshang dukkhitbah yakzan shuhbah; mürangkhüh arünü isa lomi ching yungsho isa aredungyean ching thrümsho arünü Asiriarü kheaknü isa khümkhitbah.
MIC.5.7	Judüki mihtsürü ahihdonü zündoa lakhi aningkhi, mihtsürü kheak mangükhi yungsho mihtsürü she maleangkhi Jakob ju 
MIC.5.8	Tüsho trükshih bolung ching aningkhi Jakob, mihtsürü ahihdonü zündoa lakhi ju, mütüm shiwüh bolung kekhüzü khülang nangde, namfimihnu boto lung hode yüchoki junakkhi, abekhitrü she mülade adütre kamde thonakkhi kekhüzü nunu khülang nangde alabah. 
MIC.5.9	Nü azhihrü kheak nü khah shuhkihbah, tüsho nü riri alala dükheakshihbah.
MIC.5.11	tüsho nüsa lomi kiutobo dükheakshihbah tüsho nüsa chipibo thokheambah; 
MIC.5.12	tüsho inü nüsa khah chingnü wurük dükheakshihbah tüsho kuhi-kheahrü mülade alabah; 
MIC.5.13	tüsho inü nüsa bolungnü mejakbo tüsho dungjingbo dükheakshihbah, tüsho kheaküa nüsanü nüsa khah rhimo ki mukhukning; 
MIC.5.14	tüsho inü Ashera sangthsübo nüsa bolungnü arukkhitbah tüsho nüsa kiutobo thsümünimbah. 
MIC.5.15	Bukakhiukkhi tüsho mulong zhipzhip ching inü mihyumanikhi trükshihbo kheak royimbah.
MIC.6.1	Asürang, nü lümkhi müzüngbo müngüh hande arang,
MIC.6.1	tüsho awungbonü nü düsheak soshang.
MIC.6.2	Nüsa müzüngbo, tüsho nüsa akheam mülakhi alomi khimtanbo, 
MIC.6.3	“ O I mihtsürü, inü nüsa ki tümü rhimoa la? Tümü ching inü nüsa khishih-a la? I ki aloang! 
MIC.6.4	Tümüde inü nüsa Ijip lomi chingnü bekhit, tüsho azhorü yamkhün chingnü nüsa rhokhit; tüsho inü nüsa müngüh Mosa, Aron, tüsho Miriam yüshih. 
MIC.6.5	O I mihtsürü, Moab kiulongthsüpuh Balaknü tümü rük thsükheanü kheakü lümkhitang, Beor tsührü Balaamnü api ki tümü alokhea, tüsho Shittim chingnü Gilgal khiungde tümü dünjikhea, junangde nüsanü 
MIC.6.6	“Tümü lubah inü 
MIC.6.7	 namfimihnupung chithürübo, müdangke ayung chithürübo kheak asühba de? Inü alakmihkhi thsungkheak I tsührü jihba shi, I me neak thsungkheaknü I pang chingnü asokhi jihba shi?” 
MIC.6.8	O mihtsürü tsührü, tümü atsüanü apinü nü ki huhdo; tüsho 
MIC.6.10	Mihbukmuyukrü yambo ching, arünü thiyuronü müngükhi rahpungbo lah. Arünü inü athraneankhi mukhiukdahkhi akesang ahorichoh. 
MIC.6.11	Mukhiukdahkhi akesang tüsho adünarabo ahorikhi mihtsürü ki küde thsah inü neak bahjihkhukpü? 
MIC.6.12	Anihbe alarübo athsümünimrü ah; anihbe mihtsürübo akeangyu tharü ah, tüsho arü mulonü mülapmüjide thachoh. 
MIC.6.13	Jumonü inü nü neakbo dünkheaknü nü shikpü tankihkheah. 
MIC.6.14	Nünü atsühbah, tüshe reangmükeam, nü buk kheaküshe akeangkeang labah. Nünü zomukhungbah tüshe tümü she muzokhit, tümütüsho nünü tümü zokhita lanü inü thirithsü ching thsümünimbah. 
MIC.6.15	Nünü ayangbah tüshe müyimlu; nünü olivbo nitbah tüshe nü kheak müdangke mumuju, nünü kurungaso thsünbah tüshe yukhu muyung. 
MIC.6.16	Nünü Omri yakzan thsükhibo tüsho Ahab yamkhün rhimobo zodo, tüsho nünü arü lalimlakobo yando. Jumonü inü nü ju athsümünim, tüsho nü kheak larübo ish thsüpü kamshihkheah; jumonü I mihtsürünü abahyukkhi nünü ahanbah.
MIC.7.1	Ayokhe! Tümüde I a muzhu sangaso rho dunglim, kurungaso rho dunglim, atsühpü adüchi müngürü ruk kamdo; I khümkhi thsungkheaknü akhuh münkhi khubaso müla. 
MIC.7.2	Athülünkhi alomi chingnü kheamabahdo tüsho alungki larü sheshe müla; arü alalanü thiyih bukpü aleangde binchoh, tüsho arünü keang lubah jimachihchoh. 
MIC.7.3	Arü khahbo amütsü thsüpü yuklah; atorü tüsho mahkhaprünü buknim kheangchoh, tüsho wularübonü arü künkhi thachoh; hanangde arünü lümkhi amütsü thsüchoh. 
MIC.7.4	Arü bolung atsüdakbe ju khingphu nangde lah, arü bolung khide alungki ju ayangrung lah. Arü aheangrü nimungbo arü thsümüchipü arüdo; kheakü arü yingyingpü khah ki lah. 
MIC.7.5	Müyamrü kheak akin düla, amuzhokhi kheak mulongram düla; niube-niubuh ki she nü mün kümkangang; 
MIC.7.6	tümüde tsührünü buhrü bahyukde rhimochoh, tsührübenü berü azhihde wusuchoh, tsühmeakbenü anihbe ani azhihchoh; nü riribo ju nihbuh betsührü ah. 
MIC.7.7	Tüshe I a, inü 
MIC.7.8	I kurungkheak dasühachih, O I riri; küyimki I angakbanü, I asürübah, küyimki I amiting ching binbanü, 
MIC.7.9	Tümütüsho inü api azhihde neak yihbeak, api I kilim tsangkhi tüsho I mahkhapkhi khiungde inü 
MIC.7.10	Judüki I ririnü angübah, tüsho achihnü anihbe lüpdobah, shepünü I ki tha, “
MIC.7.11	Nü chipibo thsüpü nimung arüchoh! Ju nimungnü aredung shude akhinbah. 
MIC.7.12	Ju nimung arünü Asiria chingnü Ijip, tüsho Ijip chingnü Ayung, keto chingnü keto tüsho müzüng chingnü müzüng nü kilim arübah. 
MIC.7.13	Tüshe ju ching larü rhimo sangasobo dünkheaknü alomi zhikrangkhündo alabah.
MIC.7.14	Nü tsonü nü mihtsürü, nü yo namfimihnu boto neakang, küpü murung khülang ching alo atsü phulung la; arübo awün nimungbo nangde Bashan tüsho Gilead ching yimtsühshang.
MIC.7.15	Nünü isa Ijip chingnü bekhitkhi nimungbo ching nangde, isa ki amüyinsahbebo huhang. 
MIC.7.16	Trükshihbonü angübah tüsho arü sühmüh alala dünkheak achihbah; arünü arü khahbo arü mün hümbah; arü nükhün peangbah; 
MIC.7.17	arünü alo kheak chinde abükhi phuruto nangde asungthulung müleakbah; arübonü arü chipibo chingnü ajande akhiukbah; arünü 
MIC.7.18	Nü nangde she Thrünpuh la, shepünü api yamrüplurüp aningkhi neak tüsho alakmihkhi bahjihcho? Nünü lünnü bukakhiukde müla tüshe mihmüthsüm huhpü mulungchoh. 
MIC.7.19	Nünü isa kheak mihmuzholobah; nünü isa mülimkhibo müphü khüp thrümbah. Nünü isa neakbo alala keto asük ching bahjihbah. 
MIC.7.20	Nünü awün nimungbo ching isa jipürü ki thiyuchihchimkhi nangde Jakob ki thiyuro tüsho Abraham ki mihmüthsüm huhbah.
NAM.1.1	Nineve dünkheak müchityu. Elkoshrü Nahum michih hüm.
NAM.1.2	Mükthsükhi tüsho royimkhi Thrünpuh ju 
NAM.1.2	royimpü tüsho mulong zhipzhip ju 
NAM.1.3	tüsho 
NAM.1.3	müthsümüchidüa mülachoh.
NAM.1.3	Api limro ju chinthrüm tüsho tsüngpungtsüngpung ching lah,
NAM.1.3	tüsho amobo ju api jing yo asungthulung ah.
NAM.1.4	Apinü keto thürühchoh tüsho ngahshihchoh,
NAM.1.4	tüsho apinü ayungbo alala ngahshihchoh;
NAM.1.4	Bashan tüsho Karmel mukuhabahchoh tüsho Lebanon pungkhi yiuhabahchoh.
NAM.1.5	Api miki müzüngbo niukchoh tüsho awungbo niuchoh;
NAM.1.5	api miki alomi, alomiküp tüsho ju ching larü alala ajanchoh.
NAM.1.6	Api bukakhiukkhi müngüh shenü azhipkhukpü?
NAM.1.6	Api bukakhiukkhi atak shenü arümkhukpü?
NAM.1.6	Api mulong zhipzhip ju mo nangde dungkhitchoh,
NAM.1.6	tüsho api hode lungtobo adütre kamde yihnakchoh.
NAM.1.7	küpkhuk nimung ching chipi khülang lah;
NAM.1.7	api kheak tsoyukrü apinü kümchoh.
NAM.1.8	Tüshe azündokhi kekingnü apinü api azhihrü shahde akheamshihbah,
NAM.1.8	tüsho apinü api riribo amiting ching yanyukbah.
NAM.1.9	Tümüde nünü 
NAM.1.9	Apinü akheam thsüshihbah;
NAM.1.9	azhihrü sheshe mahne kipü masürü.
NAM.1.10	Arübo ayangbo nangde thrukrama lah,
NAM.1.10	amüshangrü nangde arübo müshanga lah;
NAM.1.10	arübo amukuh sünit nangde aniua lah.
NAM.1.11	Nü kheaknü rük amütsü thsüde 
NAM.1.12	 ha thachoh, “Arübo sühmüh lakhi tüsho hih-a lalashe, arü athsümünimbah tüsho adükheakbah. Inü nü thsümüchia lalashe, inü kheaküa nü müthsümüchi. 
NAM.1.13	Tüsho kheaküa inü api sangkaplak nü kheaknü ayihshakbah tüsho nü rhükkhi wuhrünliu yihshakbah.”
NAM.1.15	Kheahang! Müzüngbo kheak, thiyusheak atsü handarürü, mungtsü zhiyukrü arüchoh! Nü thüniobo arüngang, O Juda, nünü thiyuchihchimkhi jihang, tümüde kheaküa mihbukmuyuknü nü lomi ching mazah; arü shahde adükheakbah.
NAM.2.1	Nü azhihde ayanrü atua lah!
NAM.2.1	Chipibo aheangang;
NAM.2.1	limro kheahang;
NAM.2.1	nü chimbo rümang;
NAM.2.1	keochihpü thsakhamang.
NAM.2.2	( Tümüde 
NAM.2.2	Israel wüntre-müretah jihlochoh,
NAM.2.2	tümüde yankhia-lurünü arübo rhoa lu tüsho akhahbo thsümünima lakheah.)
NAM.2.3	Api thirithsürü tsung ju amürüm ah;
NAM.2.3	api bonungrü aneakrüm khim yihlah.
NAM.2.3	Apinü arü bemukhungkhi nimung khora-lolungbebo kheak yinchi phürapchoh;
NAM.2.3	arü khorabo jukkihchoh.
NAM.2.4	Khora-lolungbebonü kiudunglimrobo hode yingying alihchoh,
NAM.2.4	arübo wungdo hode yüla arüla de nanachihchoh;
NAM.2.4	arübo tsün nangde rakrakde chinchobe nangde alihchoh.
NAM.2.5	Apinü anihbuh torübo jichoh;
NAM.2.5	arü khuhto ching arüchoki jing mükhechoh;
NAM.2.5	arübo chipi lim niokheamde arüchoh
NAM.2.5	tüsho atsunglobe tsung thsakhamlah.
NAM.2.6	Ayung yean chipiripitbo lakashunga lah,
NAM.2.6	kiulongthsürü-yam ajanchoh.
NAM.2.7	Kiuto yana lubah tsodo,
NAM.2.7	azhorü liberübo müthrithrümpü nangde ashede tüzhochoh,
NAM.2.7	tüsho arü khüh yümchoh.
NAM.2.8	Nineve ju ke bukkhita bahkhi kekung nangde lah.
NAM.2.8	“Tukloang! Tukloang!” de alanchoh–
NAM.2.8	tüshe she murholo.
NAM.2.9	“Shotoyinchi luang, suna luang!
NAM.2.9	Ju ching lakhit akheam müthsü!
NAM.2.9	Shoto kukruk lüpdükhi suhdahlah!”
NAM.2.10	Thsümünimdo, bahyukdo, zhikabahdo!
NAM.2.10	atrekhinü mulongbo niuthünakdo;
NAM.2.10	mukhukbo ajanchoh, sühmüh tsodo;
NAM.2.10	mirobo pheakmulukdo kamdo!
NAM.2.11	Kheakü kekhüzü yam küching la,
NAM.2.11	küpü dangpung ching arü nunu yimkipkhea,
NAM.2.11	küpü ching kekhüzü tüsho kekhüzü dreto,
NAM.2.11	tüsho anunubo mütrede ayükhea?
NAM.2.12	Kekhüzünü amüyambe tüsho anunu khilim
NAM.2.12	shih laksah tüsho adütre kamde thonak;
NAM.2.12	apinü shih thonakkhinü ayam mishih.
NAM.2.13	Kheahang, inü nü azhihde lah, Wuto 
NAM.3.1	Ayokhe! thiyih bukkhi kiuto,
NAM.3.1	akeangyunü amikhi,
NAM.3.1	ayankhikhinü amikhi,
NAM.3.1	ayankhikhinü akheam müla!
NAM.3.2	Shitso düsheak tüsho lolungbe jingkhün,
NAM.3.2	khora jukkihchoh tüsho khora-lolungbe dükhiungchoh!
NAM.3.3	Khoraberünü müneahchoh,
NAM.3.3	nukshang phürapchoh tüsho thsüh rakrakchoh,
NAM.3.3	ashekhi keamkihchoh, ashemibo mujunglah,
NAM.3.3	ashemi pangbo mükhebin–
NAM.3.3	arübo ju mibo kheaknü mürhelochoh!
NAM.3.4	Tümütüsho mükhebinkhi müzammüram amülim thsükhinü,
NAM.3.4	münitphülapkhi, anihbe wurük,
NAM.3.4	shepünü lomi tüsho mihtsürü anihbenü bemüchihkhi tüsho wurük hode azhorü kamshih,
NAM.3.5	inü nü azhihde lah, Wuto 
NAM.3.5	tüsho nü rungthsün nü miro kheak lahkihjihbah;
NAM.3.5	tüsho inü trükshihbonü nü bünkeang kheak tüsho kiulongthsübonü nü achih ngükhi kheahshihbah.
NAM.3.6	Inü müneanmuru nü kheak bahbah tüsho bahyukde nü jungbah,
NAM.3.6	tüsho mükkheahdung kamshihbah.
NAM.3.7	Judüki nü ngürü alalanü nü kheaknü arholobah tüsho athabah,
NAM.3.7	“ Nineve thsümünima lah;
NAM.3.7	shepünü anihbe lümrhihba?”
NAM.3.7	Nü shukheamrü inü küchingnü ayimba?
NAM.3.8	Nü a Nile kheak lakhi Thebes, kenü mükamdoa lakhi a shi? Ayung ju anihbe tsunglobe, kebo anihbe chipi lakheah. 
NAM.3.9	Kush tüsho Ijip ju anihbe sühmüh arün mülakhi lakheah; Put tüsho Libya anihbe müshiprü bolung lakheah. 
NAM.3.10	Tütüshe anihbe rama lubah ramtso ching yü; anihbe khungarübo she kiudunglimro yean aban ching adütre kamde kingthünak; anihbe mükheahmudurü dünkheaknü azanbo thsü, tüsho anihbe torü alala wuhrünliubo yuk.
NAM.3.11	Nü she amüshangbah, nü jikde ayübah; nü thiriri kheaknü tsoyukpung yimbah. 
NAM.3.12	Nü chipibo alala akhuh asokihkhi kurungasodung nangde–aniungsho atsührü mün ching keamchoh. 
NAM.3.13	Nü rithsürübo kheahang: arübo azoberü nangde lah, nü lomi chipiripitbo nü riribo kilim khimshuhmülih-a lah; nü chipiripit rihbebo monü aniuabahdo. 
